-0.026269-0.0043753i,-0.022741-0.0076692i,-0.014785-0.015396i,-0.03674-0.0098963i,-0.027435+0.00058165i,-0.036594-0.002866i,-0.068821-0.036233i,-0.034826-0.015602i,-0.024174+0.0035342i,0.0070737+0.0065727i,-0.0056353+0.0081895i,-0.0081797+0.01886i,0.006529+0.0089655i,-0.00070708+0.0036177i,0.0045371+0.0040834i,0.0056452+0.025463i,0.024471+0.019978i,0.0014622-0.0004969i,0.00078568-0.0042937i,0.0090888+4.5175e-05i,0.0055261-0.00010571i,0.0024432+0.0015092i,0.0013719-0.0005952i,-0.024361+0.00056747i,-0.0049402-0.0039739i,-0.00038327+0.0034505i,0.0049806-0.0039105i,-0.0017294-0.00050491i,-0.00032358+0.0012217i,-0.0020933-0.0016473i,-0.0037873-0.00027881i,-0.0072718-0.0080214i,-0.0050432-0.0075479i,-0.00061728+0.00022815i,-0.00011328-0.002253i,0.00087273+0.021119i,0.0028842-0.0037173i,0.00090009-0.0045454i,0.0032717-0.0019051i,-0.0028455-0.002635i,0.00094637+0.00016416i,0.0083102-0.0021871i,0.0034038-0.0021083i,0.00036843+0.0028748i,-0.014585+0.016192i,-0.024207+0.05154i,-0.0097558-0.037022i,-0.01685-0.019075i,-0.041045-0.016077i,-0.028277-0.010971i,0.030299-0.012887i,0.0037552-0.029157i,0.010087-0.039043i,-0.011197-0.02955i,0.024853-0.024097i,0.01367+0.0064614i,0.026881-0.036597i,-0.0013743-0.0041088i,0.0053521-0.0088989i,-0.0005952-0.0055449i,-0.001688-0.03436i,-0.011152+0.029208i,0.007986-0.012102i,-0.0085024-0.0043864i,-0.0025584-0.0022905i,-0.00090583-0.015413i,-0.0075522+0.0061182i,0.0042224+0.0057753i,0.0010788+0.027875i,0.0017532+0.0001329i,-0.0072925-0.0038019i,-0.0045069-0.0061692i,-0.015185-0.0097058i,-0.0027893-0.005723i,-0.032712+0.0072639i,-0.0060344-0.0078794i,-0.013134-0.00039104i,-0.011079-0.0058476i,0.0012573-0.001629i,-0.013951+0.0021568i,-0.0017031-0.00082226i,0.0052498+0.0049808i,0.0030405-0.0057674i,-0.014476-0.013777i,0.0079257+0.0075958i,-0.015168+0.0056044i,0.0054093-0.00046619i,-0.01875-0.0014939i,-0.014959-0.0037862i,-0.017831-0.034551i,0.019894-0.011523i,-0.039741-0.022419i,-0.0087947+0.0063469i,0.018221+0.01424i,-0.020805+0.017956i,-0.004138-0.0024692i
0.0048674+0.015012i,-0.0028243+0.016804i,-0.0020333+0.029136i,0.00048484+0.027488i,-0.00089337+0.030534i,0.011147+0.023203i,-0.009076+0.027422i,-0.0060252+0.023322i,0.012474+0.0061403i,0.0018931-0.0050887i,0.0023357+7.0052e-05i,0.0058823-0.0027926i,0.00086423-0.0017744i,0.0003985-0.0038008i,9.2453e-05-0.0019681i,0.0061184-0.0067178i,-0.0032145-0.0043634i,-0.0013245+0.0026738i,0.00024725+0.00030342i,-0.00019636+0.0019874i,-0.0028577-8.9843e-05i,-0.00010182+0.00015565i,0.0014146+0.00036282i,-0.0080895-0.0035821i,-0.00087406-0.0006592i,-0.002444+0.00056596i,-0.0041802+0.00016014i,-0.001735+0.00027749i,-0.0021509+0.00056102i,-0.00029871-0.00036243i,-0.0031518+0.00054682i,0.0014355-0.0021463i,0.00087152-0.0029563i,-9.4263e-05-0.001188i,-0.0015401+0.00075093i,-0.00096241-0.0036236i,-0.002047+0.001545i,0.0019439-0.00024088i,-0.00042539+0.0025795i,0.0025394+0.006398i,2.668e-06+0.00093835i,-0.0014811+0.00062778i,-0.0015776-0.0016513i,0.0029158+0.0039486i,0.015179+0.0078143i,0.038659-0.050011i,-0.0249+0.0082016i,0.017359-0.025768i,-0.023879-0.031215i,-0.010356+0.003969i,-0.029216+0.0344i,-0.018374+0.0067196i,-0.015996+0.0094096i,-0.0024123-0.015479i,-0.040226-0.018761i,-0.0081639+0.0015552i,-0.027998+0.012295i,0.0020654+0.013022i,0.0013566+0.0045877i,-0.0035959-0.0047521i,0.00023045+0.001718i,-0.013591-0.0041736i,0.0054378+0.012652i,-0.00071152+0.0081101i,-0.0016394+0.0042891i,0.0010059+0.006071i,0.0023156+0.0029357i,-0.00043077+0.018363i,0.004716+0.014977i,0.0052023-0.005061i,0.011286-0.004855i,0.0090892+0.0021972i,-0.0036583-0.0062429i,0.00019231-0.001987i,0.017054-0.03009i,0.009225+0.0029918i,0.0078082-0.0023702i,0.0028812-0.0010041i,0.0063626-0.0089677i,0.021963-0.00051899i,0.0061326-0.0028599i,0.0016023-0.0062262i,0.0052423-0.0031722i,0.018047+0.0028518i,0.0066509+0.0033282i,0.0037309-0.0027656i,0.009798+0.0099639i,-0.0011836+0.004732i,0.0083782+0.0086265i,-0.013753-0.011241i,-0.008402+0.0012908i,-0.0083824-0.013646i,-0.0072163-0.0045055i,-0.038699+0.0079939i,-0.0062588+0.0035006i,-0.010522+0.00055062i
0.007456+0.013584i,-0.00074179+0.014111i,0.0047528+0.024446i,0.0046913+0.025132i,0.0034899+0.028717i,0.014461+0.020818i,-0.0052102+0.028179i,-0.0014678+0.02332i,0.01239+0.0019793i,0.00014575-0.0051888i,0.0027058+0.00038422i,0.0046757-0.0051113i,0.00022201-0.0025757i,0.00030233-0.0034963i,-0.00060027-0.0018416i,0.0024666-0.0064233i,-0.0053626-0.0021714i,-0.00021155+0.0029244i,0.0013736+0.00015616i,0.0011448+0.0017092i,-0.0020506+0.0015494i,0.00045214+0.00061291i,0.0016943-0.00031106i,-0.0076157-0.00095758i,-0.00077522-0.00020325i,-0.0020624+0.0014944i,-0.0030755+0.0019856i,-0.0012425+0.00074141i,-0.0016122+0.0011127i,-7.8217e-05-7.0042e-05i,-0.0025092+0.0018843i,1.6809e-05-0.0017264i,-0.00093273-0.0029783i,-0.0012547-0.0011042i,-0.0020554+0.0011207i,0.00014239-0.0029337i,-0.0011041+0.0021189i,0.0010688-0.00097928i,0.00017256+0.0028304i,0.0041119+0.004179i,0.00050541+0.00090427i,-0.0015142+0.00097309i,-0.0022033-0.0012561i,0.0040493+0.0028704i,0.016097+0.0033074i,0.020213-0.058283i,-0.018801+0.014984i,0.0070297-0.033711i,-0.034468-0.022963i,-0.0077756+0.0066399i,-0.018297+0.039443i,-0.01442+0.01184i,-0.005355+0.0040908i,-0.004315-0.014348i,-0.044018-0.0033862i,-0.0083254+0.002261i,-0.022666+0.023793i,0.0052135+0.0090494i,0.0014585+0.0027942i,-0.0083614-0.0066128i,-0.0020704+0.004531i,-0.013344+0.0036286i,0.010754+0.0088898i,0.0017915+0.0095647i,-7.8203e-06+0.0042787i,0.0032407+0.0066093i,0.0037646+0.0028809i,0.0068059+0.014314i,0.0094145+0.0084979i,-0.0010874-0.0072472i,0.005957-0.0061038i,0.0081441+0.00038596i,-0.0061463+1.2476e-05i,-1.4601e-05+0.00028905i,0.0040107-0.029883i,0.010575+0.0005665i,0.007608-0.0052427i,0.0043737-0.0023812i,0.0014655-0.0064421i,0.020274-0.010171i,0.0035304-0.0045672i,-0.0015591-0.005227i,0.0016407-0.0026409i,0.015477-0.0036928i,0.0075776+0.001923i,0.0027504-0.0017384i,0.012391+0.0060836i,0.0001192+0.0052119i,0.0092987+0.0047651i,-0.018354-0.009138i,-0.0051154-0.012762i,-0.0073643-0.011763i,-0.0072269-0.0031651i,-0.032262+0.020869i,-0.0040529+0.004572i,-0.0085309+0.0022308i
0.010608+0.011665i,0.00066755+0.012559i,0.0079099+0.018663i,0.0078983+0.022599i,0.0085264+0.027142i,0.017547+0.017826i,-0.00060439+0.028439i,0.0031278+0.02216i,0.010826-0.0010506i,-0.0014535-0.0045535i,0.0036797-3.3186e-05i,0.00099656-0.0058741i,-0.00064678-0.0026943i,-0.00044886-0.0035363i,-0.0011379-0.001551i,-0.0006523-0.0045105i,-0.0058794+0.00071609i,0.0010749+0.0027475i,0.0018606-0.001209i,0.0022662+0.00049637i,-0.00072606+0.0020056i,0.0013365+0.00021644i,0.0015937-0.0010242i,-0.0072999+0.00030025i,-0.00061709+0.00019343i,-0.00085657+0.0024761i,-0.0014115+0.0025059i,-0.00056227+0.0010966i,-0.00090048+0.0014423i,-6.4879e-05-0.00021072i,-0.0014336+0.0025991i,-0.00060075-0.0012164i,-0.0021685-0.0017238i,-0.0019824-0.00033903i,-0.0015239+0.002185i,0.0010552-0.0037072i,-0.00039248+0.0020409i,0.00024551-0.0013422i,0.0018895+0.0023309i,0.0044578+0.0023267i,0.00090378+0.00078754i,-0.00057513+0.0016927i,-0.0026638-0.00080127i,0.004426+0.0008213i,0.015549-0.00068935i,0.00043725-0.057446i,-0.0091127+0.017857i,-0.0049753-0.035283i,-0.037508-0.013885i,-0.0026886+0.0075264i,-0.0048488+0.039384i,-0.0037674+0.012544i,-0.0046944-0.0030207i,-0.0058667-0.013246i,-0.040534+0.010435i,-0.0074642+0.0040466i,-0.010716+0.030147i,0.0060734+0.0055963i,-0.00066639+0.00076193i,-0.016179-0.0030145i,-0.0010391+0.0057558i,-0.0088991+0.0083539i,0.012219+0.0025209i,0.0050946+0.0091418i,-0.00057609+0.0047846i,0.0045602+0.004892i,0.0053237+0.00078197i,0.0087936+0.0082126i,0.0088251+0.0030625i,-0.0058479-0.0028688i,0.0040182-0.0057513i,0.0088944-0.00099239i,-0.0020081+0.0067954i,0.0023126+0.0014347i,-0.004866-0.025463i,0.011312-0.0041989i,0.0047738-0.0075319i,0.0028297-0.0041378i,0.0011133-0.0048795i,0.012572-0.016737i,0.00092519-0.0019841i,-0.0033724-0.003019i,0.0006085+0.00014681i,0.010996-0.0070642i,0.010146-0.0019342i,0.003455-0.002923i,0.014583+0.00030381i,0.0036322+0.0041306i,0.0087882+0.0014159i,-0.020933-0.001827i,-0.015878-0.020102i,-0.0065002-0.013873i,-0.0054185-0.0035919i,-0.021927+0.026373i,-0.0042074+0.00012571i,-0.0072282-0.001449i
0.013356+0.0081464i,0.0025685+0.011686i,0.0086328+0.013425i,0.010914+0.020412i,0.013108+0.023483i,0.020188+0.01403i,0.0047378+0.027816i,0.0072846+0.019865i,0.0092073-0.0024601i,-0.0026599-0.0034531i,0.0041009-0.001865i,-0.0014673-0.0040415i,-0.0016641-0.0025561i,-0.0016405-0.0028514i,-0.0017572-0.0011743i,-0.0015713-0.0015805i,-0.0044679+0.0033923i,0.0019841+0.0018493i,0.0011969-0.0017836i,0.0020838-0.0012023i,0.00024457+0.0018449i,0.0017821-0.00059584i,0.001163-0.0017588i,-0.0071649+0.0021122i,-0.00019207+0.0001424i,0.00088765+0.0016753i,-7.0853e-05+0.0020498i,0.00012789+0.00087698i,-4.2329e-05+0.0016618i,-8.2151e-05+1.9003e-05i,-0.00035521+0.0026921i,-0.00122-0.00085566i,-0.0028578-0.00044524i,-0.0020996+0.00084544i,-0.00046824+0.0024151i,0.00087089-0.0057706i,0.00064375+0.0020321i,-0.00059716-0.001039i,0.0023515+0.00078878i,0.0044372+0.00091377i,0.0013982+0.00022047i,0.00045151+0.0012139i,-0.0029492+2.9064e-06i,0.0027811-0.0015973i,0.014368-0.0038615i,-0.015195-0.04642i,-0.00065464+0.014865i,-0.015165-0.031905i,-0.040185-0.0048646i,0.0019008+0.0051937i,0.0058129+0.034413i,0.0035463+0.0054833i,-0.0052186-0.0041447i,-0.0057362-0.010811i,-0.033481+0.019707i,-0.0064734+0.0054393i,0.001167+0.029149i,0.0063594+0.0027665i,-0.0037697+0.0020694i,-0.018807+0.006557i,-0.00084631+0.0077229i,-0.0040767+0.0088709i,0.0094765-0.0030362i,0.0081082+0.0074635i,0.00059854+0.0066961i,0.0043856+0.0046743i,0.0055407-0.0028731i,0.0073521+0.0032833i,0.0057867+0.00026266i,-0.0044008+0.00088118i,0.0021413-0.005826i,0.0083133-0.0033903i,0.0060177+0.0071479i,0.0035853-0.00013238i,-0.0094792-0.020072i,0.0082641-0.0077906i,0.0019277-0.008447i,0.0017456-0.0035627i,-0.00010958-0.0052781i,0.0051002-0.017603i,0.003287-0.0014474i,-0.0035815-0.00029547i,0.0030824+0.0013928i,0.0074674-0.0074763i,0.0082163-0.0067534i,0.0015767-0.003453i,0.011403-0.0071262i,0.0039933+0.00078523i,0.008324-0.0023031i,-0.016225+0.0055761i,-0.027274-0.016819i,-0.010699-0.018075i,-0.0058615-0.0056399i,-0.013623+0.026777i,-0.008825+1.1719e-06i,-0.010639-0.00056548i
0.014378+0.0042724i,0.0033677+0.009568i,0.0074646+0.0098039i,0.013853+0.017675i,0.016265+0.019251i,0.021722+0.0098687i,0.0099729+0.025379i,0.01047+0.016706i,0.0082598-0.0032443i,-0.0029336-0.0022758i,0.0027775-0.0031987i,-0.0022161-0.0021427i,-0.0025003-0.002073i,-0.0018776-0.0018306i,-0.0021345-0.0004343i,-0.00097533+0.00045496i,-0.002152+0.0049872i,0.0022062+0.00087587i,0.00087258-0.0018597i,0.0010497-0.0021101i,0.00073381+0.0013722i,0.0014908-0.0013912i,0.00024738-0.0021018i,-0.0053352+0.0035262i,-0.00018311-0.00029246i,0.0010521+0.00015309i,0.00087049+0.0012395i,0.00046275+0.00047883i,0.00086959+0.0013023i,0.00039222+5.9162e-05i,0.00045675+0.0024938i,-0.0015195-0.00051806i,-0.0027718+0.0012011i,-0.001629+0.0017948i,0.00026264+0.0023522i,-0.0010785-0.0076404i,0.0011968+0.0013548i,-0.00079142-0.0002024i,0.0019977-0.00010588i,0.0039399-4.5106e-05i,0.0012982-0.00061777i,0.00071175+0.00055696i,-0.0026686+0.00081957i,0.00061959-0.00087238i,0.012854-0.0060505i,-0.017942-0.032969i,0.0038149+0.0097512i,-0.023589-0.025256i,-0.040713+0.0064134i,0.0040723+0.00070559i,0.013615+0.027212i,0.0056189-0.0015399i,-0.0046754-0.0059885i,-0.0045253-0.011063i,-0.025831+0.026633i,-0.0049414+0.0063696i,0.012287+0.023644i,0.0058367+0.00041712i,-0.0046905+0.0057405i,-0.015953+0.014369i,0.0017669+0.0090054i,9.7166e-05+0.0093448i,0.004412-0.0040284i,0.010167+0.0045744i,0.0032732+0.0073115i,0.0054994+0.0046907i,0.004158-0.0054619i,0.0047372+0.0030186i,0.0033298+0.00097822i,-0.0033903+0.002624i,0.0006094-0.0049034i,0.006684-0.0056562i,0.0097239+0.0018887i,0.0035412-0.0021511i,-0.012299-0.017816i,0.0044503-0.0095968i,-0.0014168-0.0083639i,0.0026514-0.0033784i,-0.0017717-0.0038854i,-0.00028047-0.016111i,0.0036475-0.0038046i,-0.0017946+0.0017265i,0.0053775-0.00029815i,0.0058326-0.0081567i,0.003718-0.010552i,0.0012997-0.0033154i,0.0053743-0.010278i,0.0020908-0.00053666i,0.0044715-0.0058021i,-0.0095109+0.0061117i,-0.036312-0.0061941i,-0.016956-0.017668i,-0.0075774-0.0071333i,-0.0075191+0.026032i,-0.011989+0.0036862i,-0.010324+0.0031915i
0.014473+0.00071669i,0.0035562+0.0086637i,0.0063014+0.0083403i,0.016232+0.014377i,0.017972+0.01489i,0.022815+0.0058902i,0.014743+0.021425i,0.012638+0.013196i,0.0079232-0.0043175i,-0.0032223-0.0018233i,0.0007791-0.0035678i,-0.0023422-0.00046989i,-0.0034219-0.0012296i,-0.0018951-0.0014529i,-0.0022885+0.00034054i,0.00016341+0.0014159i,0.00060178+0.0052034i,0.0021698+0.00017521i,0.00017427-0.0021305i,-0.00011692-0.0023203i,0.001359+0.0010533i,0.0010284-0.0019857i,-0.00049821-0.001868i,-0.0042284+0.0034797i,-0.00038369-0.000275i,0.00031384-0.00067436i,0.001054+0.0001726i,0.00068557-5.4638e-05i,0.0014037+0.00048071i,0.00056235-0.00052174i,0.0012678+0.0021732i,-0.0017401+5.6102e-06i,-0.0017626+0.0024082i,-0.00069297+0.0022595i,0.00083118+0.0021614i,-0.0040928-0.0084327i,0.0013551+0.00043255i,-0.00042817+6.696e-05i,0.0016802-0.00080124i,0.003468-0.00047002i,0.0008582-0.00082166i,0.00069535+0.0002529i,-0.0021438+0.0012044i,7.6269e-05+0.00062507i,0.011455-0.0074663i,-0.015397-0.026888i,0.0057399+0.0056252i,-0.027454-0.014751i,-0.034696+0.019548i,0.001569-0.0034593i,0.017435+0.019652i,0.0055997-0.0074215i,-0.0047821-0.0067967i,-0.0057311-0.011006i,-0.017657+0.030524i,-0.003991+0.0074291i,0.017521+0.011211i,0.0051665-0.0018052i,-0.0027237+0.009035i,-0.0091641+0.020052i,0.0043779+0.0079301i,0.0045824+0.0066269i,0.0020539-0.002192i,0.011519+0.00040959i,0.0057064+0.0068471i,0.0066468+0.0035214i,-0.00066815-0.007845i,0.0047319+0.0044084i,0.0038535+0.0023025i,-0.0009594+0.0054752i,0.00048466-0.0044079i,0.004917-0.0065698i,0.0098604-0.0034246i,0.0025399-0.0040609i,-0.017773-0.015821i,0.00071139-0.0099845i,-0.0046721-0.0066808i,0.0010807-0.0047663i,-0.0019615-0.0021244i,-0.0032197-0.013084i,0.001765-0.0055415i,0.00028157+0.0016149i,0.005193-0.0042458i,0.0027077-0.0095499i,-0.0029479-0.010382i,0.00050517-0.0045295i,0.00065825-0.0093302i,0.0016305-0.0014129i,-0.00010842-0.0050599i,-0.0064828+0.0051749i,-0.032947+0.0097194i,-0.022617-0.014658i,-0.009907-0.0069299i,-0.0036344+0.025072i,-0.01069+0.0087398i,-0.0065144+0.0042406i
0.013852-0.0026587i,0.0045219+0.0085528i,0.0058305+0.0078499i,0.017804+0.010596i,0.018841+0.011221i,0.023408+0.0013966i,0.018261+0.016397i,0.013863+0.0097641i,0.0074501-0.005522i,-0.0037463-0.00090497i,-0.00076473-0.002672i,-0.0012338+0.00088497i,-0.0038892+5.2735e-05i,-0.0024281-0.0014011i,-0.0022268+0.0011464i,0.001144+0.0016985i,0.0027522+0.0041425i,0.0019707-0.00035659i,-0.00031697-0.0020703i,-0.0010774-0.0017954i,0.0018264+0.000395i,0.00026727-0.0024038i,-0.001004-0.0014255i,-0.0038586+0.0043369i,-0.00045711-0.00044105i,-0.00048972-0.00070786i,0.00083567-0.00055131i,0.00047437-0.00078586i,0.0013885-0.00056795i,0.00012262-0.0011096i,0.0019388+0.0015012i,-0.0013742+0.00093424i,-5.6219e-05+0.0025913i,0.00029481+0.0022277i,0.0014348+0.0015287i,-0.0075802-0.0077955i,0.0013052-0.00024648i,-0.00037697-0.00019471i,0.0011495-0.0015166i,0.0031778-0.00086612i,0.00059649-0.00095292i,0.0010216-5.6141e-05i,-0.0018492+0.0012856i,0.00055291+0.0013048i,0.01068-0.0093852i,-0.015457-0.026142i,0.0069729+0.0025725i,-0.024705-0.0057406i,-0.023133+0.028317i,-0.0003978-0.0036828i,0.019962+0.013333i,0.0030659-0.012387i,-0.0048197-0.0076677i,-0.0058666-0.0093118i,-0.0096667+0.032778i,-0.0013961+0.0074643i,0.012031+0.00037606i,0.0030523-0.0040221i,0.00061898+0.010271i,-0.0017176+0.020967i,0.0056126+0.0059155i,0.0056475+0.0024411i,0.0024641-0.0011634i,0.010928-0.0031234i,0.0096457+0.0047802i,0.0074937+0.0028367i,-0.0048373-0.0035374i,0.0065811+0.0043388i,0.0048686+0.0023944i,0.0025656+0.0050195i,-0.00072128-0.0045465i,0.0031527-0.0077654i,0.0076655-0.0095395i,-0.00053018-0.00437i,-0.023412-0.0094562i,-0.0023607-0.0090729i,-0.0064883-0.0034863i,0.00041652-0.0029747i,-0.0020236-0.0016274i,-0.0050559-0.012616i,-0.00064173-0.006433i,0.0010231+0.00012336i,0.0022397-0.0059652i,4.5974e-05-0.0090015i,-0.0064332-0.0060201i,-0.0017537-0.0048051i,-0.002966-0.007966i,0.00011496-0.0018163i,-0.0016834-0.0027011i,-0.0036076+0.0048534i,-0.025052+0.011848i,-0.02291-0.010176i,-0.011585-0.0059904i,0.0012608+0.022791i,-0.0086949+0.010777i,-0.0050036+0.0031069i
0.012471-0.0055765i,0.0062092+0.0082686i,0.0061957+0.0079035i,0.018562+0.0069018i,0.019165+0.0079547i,0.022829-0.0030758i,0.020623+0.01098i,0.014474+0.006728i,0.0067377-0.0070009i,-0.0038475+0.000153i,-0.0010405-0.0012931i,-2.7633e-05+0.00072602i,-0.0039199+0.0015352i,-0.0033832-0.00047932i,-0.001743+0.0020194i,0.0020987+0.0012409i,0.00402+0.0026469i,0.0018621-0.0007598i,-0.00081181-0.0019111i,-0.0013689-0.00084338i,0.001918-0.00040522i,-0.00053115-0.0021535i,-0.0012109-0.00092557i,-0.002164+0.0052621i,-0.00093045-0.0004731i,-0.00088474-0.00045025i,0.0002073-0.0012044i,-0.00024329-0.0012763i,0.00074439-0.0015013i,-0.0005916-0.0012523i,0.0021353+0.00064376i,-0.00055496+0.00081699i,0.00069012+0.0017712i,0.00096994+0.0018153i,0.0015626+0.00084618i,-0.010614-0.0052572i,0.00076356-0.00095103i,-0.00069822-0.00010716i,0.00014441-0.0021858i,0.0030604-0.0011616i,0.00040364-0.0010509i,0.0010821-0.00048174i,-0.0017388+0.0013729i,0.0010991+0.0015311i,0.0090791-0.011764i,-0.018781-0.025017i,0.0066536-0.0011436i,-0.021879-1.25e-05i,-0.010729+0.029951i,-0.0024657-0.0038451i,0.021801+0.0066303i,0.00028601-0.014495i,-0.0053039-0.0081186i,-0.0047369-0.0075173i,-0.00047748+0.032746i,0.0007576+0.00662i,0.0064686-0.000567i,0.00039927-0.0047729i,0.005033+0.010613i,0.0049607+0.018633i,0.0058484+0.003552i,0.0045814-0.0011825i,0.0017755-0.00089392i,0.008602-0.0071844i,0.011804+0.00041347i,0.008686+0.0012212i,-0.0046729-0.0003641i,0.0083541+0.0033138i,0.0063946+0.0020412i,0.0057011+0.0027768i,-0.0017805-0.0037305i,0.0013871-0.008852i,0.0020557-0.012522i,-0.0017683-0.0023745i,-0.025988-0.00056201i,-0.0045231-0.0077887i,-0.0063842-1.8882e-05i,0.00085966-0.0022207i,-0.0025207-0.0009031i,-0.0085467-0.011798i,-0.003581-0.0057756i,0.0012654-0.00051762i,-0.00019687-0.0059692i,-0.0014803-0.0085385i,-0.0076548-0.0028342i,-0.0039441-0.0030423i,-0.0059283-0.0054379i,-0.00050638-0.0019324i,-0.0015456-0.0012607i,-0.00073426+0.003848i,-0.022698+0.013217i,-0.022117-0.0078652i,-0.0133-0.0043954i,0.0030021+0.021079i,-0.0075915+0.011438i,-0.0039275+0.0024161i
0.010692-0.0078608i,0.008603+0.0069285i,0.0078594+0.0075877i,0.01863+0.0033549i,0.019692+0.0051238i,0.021377-0.0071718i,0.021376+0.004683i,0.014719+0.0037568i,0.0054638-0.0083706i,-0.0037583+0.0010906i,-0.0008588-0.00079612i,0.00013817-0.00010746i,-0.0032562+0.0030164i,-0.0032728+0.00089712i,-0.00091154+0.0025198i,0.0022067+0.00025769i,0.0043445+0.0008018i,0.0014-0.0013383i,-0.0013624-0.0013364i,-0.0010269-0.00023764i,0.0018613-0.0012783i,-0.00086892-0.001725i,-0.0011298-0.00048426i,-0.00019918+0.0051174i,-0.0013519-0.0001716i,-0.0013685-6.4224e-05i,-0.0010367-0.0013963i,-0.0011003-0.0011628i,-0.00033682-0.0020353i,-0.0012675-0.0010281i,0.0020171-9.1875e-05i,-0.00064743+0.00091347i,0.00086553+0.0013173i,0.0014458+0.0012181i,0.0014726+0.00033722i,-0.012155-0.0015124i,-0.00014749-0.0012766i,-0.00065852+0.000131i,-0.0011142-0.0022416i,0.002921-0.0016582i,0.00015152-0.00099058i,0.0010184-0.00078263i,-0.0015992+0.0016429i,0.0016771+0.0015216i,0.0064266-0.013188i,-0.022985-0.019938i,0.0054911-0.0040413i,-0.015793+0.0049206i,-2.9037e-05+0.029266i,-0.003804-0.0013258i,0.021909-0.0009559i,-0.00015573-0.017323i,-0.0048836-0.0075534i,-0.0020577-0.0055803i,0.0076806+0.0298i,0.0019397+0.0047321i,0.0034198-0.0011099i,-0.0027763-0.0044363i,0.0098893+0.0075617i,0.0087639+0.014704i,0.004485+0.0019881i,0.002666-0.0037626i,0.0027509+0.0013445i,0.0041834-0.0092663i,0.011519-0.0054702i,0.009231-0.0014077i,-0.0045033+0.002355i,0.010606+0.0012909i,0.0086241-0.00033179i,0.0064696-0.0013352i,-0.00229-0.0028379i,-0.0015791-0.0089421i,-0.0049511-0.011771i,-0.0011798-0.00059028i,-0.024932+0.0089956i,-0.0063875-0.0064271i,-0.0046208+0.0026039i,0.0013215-0.0044411i,-0.0023577+0.00064435i,-0.012417-0.0087754i,-0.0060422-0.003001i,0.00083714-0.0016756i,-0.0023036-0.0050159i,-0.0038879-0.0078484i,-0.0074496+0.0016281i,-0.0041564-0.00050096i,-0.0078272-0.0019383i,-0.0019822-0.0025004i,-0.0011959-0.0011146i,0.0013682+0.0027163i,-0.020977+0.019039i,-0.022504-0.0084599i,-0.012433-0.0022839i,0.0063913+0.019665i,-0.0067401+0.013789i,-0.0024977+0.0002877i
0.0088628-0.0095438i,0.010521+0.004675i,0.0096184+0.0058009i,0.018055-0.00012304i,0.019978+0.0020846i,0.019443-0.010532i,0.020101-0.0009839i,0.014429+0.00097541i,0.0040491-0.0094119i,-0.0035583+0.0021428i,-0.00099222-0.00045864i,-0.00050438-0.00030045i,-0.0021155+0.0038985i,-0.0026959+0.001987i,-0.00012097+0.002648i,0.0014849-0.00033037i,0.0038777-0.0007278i,0.00092834-0.001494i,-0.0013131-0.00067682i,-0.00054362-1.7692e-05i,0.0015927-0.002087i,-0.00096681-0.0014951i,-0.00083987-0.00027001i,0.0012599+0.0046914i,-0.001566+0.00021391i,-0.0016365+0.00070998i,-0.0021984-0.00077535i,-0.001623-0.0006283i,-0.0016205-0.0019177i,-0.0019166-0.00050337i,0.0017036-0.00063468i,-0.00039047+0.001358i,0.0011604+0.00087783i,0.0016975+0.00050184i,0.0012432-5.2178e-05i,-0.012137+0.0024047i,-0.0010595-0.0010853i,-0.00074966+1.1223e-05i,-0.002283-0.0015634i,0.0025717-0.0023851i,9.7404e-05-0.00086753i,0.00091677-0.0012383i,-0.0014103+0.0019856i,0.0022029+0.0012282i,0.0040996-0.013575i,-0.022964-0.012787i,0.002729-0.005638i,-0.0093798+0.005111i,0.010314+0.025885i,-0.0026494+0.002095i,0.018991-0.0074509i,-0.0031829-0.022144i,-0.0030765-0.0079917i,0.0024737-0.0047631i,0.014706+0.023993i,0.0019118+0.0032874i,0.00059672-0.0004294i,-0.0047098-0.002234i,0.011772+0.0018506i,0.011433+0.011344i,0.0024171+0.0023839i,-0.00038877-0.0059188i,0.0057589+8.5195e-05i,-0.00029127-0.0085366i,0.0076308-0.0093532i,0.0085557-0.004451i,-0.0040334+0.004345i,0.011481-0.0034623i,0.0079702-0.0052262i,0.0046966-0.0050328i,-0.0027242-0.0022323i,-0.0043279-0.0078815i,-0.0093934-0.0066145i,-2.8685e-05-0.00075579i,-0.019514+0.018842i,-0.0081312-0.0044929i,-0.0022114+0.0037255i,-0.0017282-0.0052932i,-0.0011626+0.0011728i,-0.015048-0.003926i,-0.0054075+0.00053125i,-0.00038223-0.0023469i,-0.0042426-0.0033724i,-0.0058657-0.0057442i,-0.0046691+0.0043074i,-0.0029012+0.001198i,-0.0075811+0.0025747i,-0.0041135-0.0019521i,-0.0016827-0.0010116i,0.0050664+0.0017065i,-0.010512+0.024003i,-0.026076-0.0070504i,-0.011022-0.0023571i,0.0082756+0.017199i,-0.0039278+0.015882i,-0.0031891-0.0030419i
