-0.023894-0.03793i,-0.012401-0.048845i,-0.017856-0.044543i,-0.030902-0.035252i,-0.030104-0.016161i,-0.050092-0.027039i,-0.05764-0.025287i,-0.044276-0.036683i,-0.029797-0.036125i,0.0073859+0.012613i,-0.0054505+0.015725i,-0.0045419+0.013983i,0.0099611+0.021491i,0.00043731+0.0042874i,0.0032977+0.0031825i,0.0069277+0.018065i,0.026619+0.038373i,-0.002447-0.0012718i,-0.0043958-0.0057521i,0.0078978+0.0016765i,-0.00032362-0.00097121i,-0.00102+0.0012969i,0.00012344-0.00032969i,-0.030992-0.0032131i,-0.0012584-0.0057377i,0.0014025+0.0046093i,0.0039283-0.00025058i,-0.00057171+0.00069839i,0.00055127-0.00066302i,-0.00019246-0.0024829i,-0.0013811-0.0061855i,-0.0044901-0.0039929i,-0.0016914-0.0048172i,0.0022821-0.00067732i,0.0023296-0.0028593i,0.0025452+0.025643i,0.0019422-0.0027456i,0.0027056+0.00060475i,0.0062524+0.0011819i,-0.010542-0.0041101i,-0.0031571+0.00071295i,0.0066425+0.0014522i,0.0056165+4.6884e-06i,-0.0033692+0.0054383i,0.00096572-0.0082394i,-0.011806+0.018744i,0.036228-0.090496i,0.012217-0.069929i,-0.015962-0.059554i,-0.016512-0.055541i,0.040078-0.04579i,0.017486-0.062158i,0.034605-0.055375i,0.029807-0.059853i,0.015645-0.014075i,0.0045444+0.016531i,0.016785-0.026552i,-0.011508+0.0055543i,-0.00022469+0.0056124i,-0.0047997-0.001836i,-0.0023698-0.029337i,-0.023781+0.031941i,0.01021-0.01151i,-0.013109-0.0022765i,-1.9247e-05-0.0049674i,-0.0010845-0.016211i,-0.0075289+0.0047261i,0.0050194+0.0068058i,-0.0089261+0.03113i,0.0048791+0.0063251i,-0.0050482-0.00083136i,-0.0032499-0.00064479i,-0.011842-0.007664i,-0.00050346-0.0046176i,-0.030014+0.006508i,-8.1807e-05-0.010044i,-0.0095935-0.0023057i,-0.0067347-0.0026831i,0.0073055+0.0026825i,-0.0078587+0.0011055i,-2.9374e-05+0.00038476i,0.0058899+0.010566i,0.004176+0.0015794i,-0.0093505-0.0097555i,0.0030541+0.0085337i,-0.02167+0.0060596i,0.0083923+0.0007256i,-0.028838-0.0037467i,-0.041619+0.0017823i,0.019429-0.09637i,-0.0015455-0.012796i,-0.053011-0.021779i,-0.023388-0.00068365i,0.01765+0.010833i,-0.024631+0.0134i,-0.017871-0.012514i
-0.031217+0.018923i,-0.051158+0.020299i,-0.031423+0.045626i,-0.030053+0.024748i,-0.027059+0.039432i,0.0061864+0.045685i,-0.00171+0.023348i,-0.014743+0.03896i,-0.012848+0.022466i,-0.0033808-0.0050912i,-0.0042028-0.0030181i,-0.0019256-0.0034041i,-0.0038001-0.00065866i,-0.0067102-0.0041998i,-0.001759+0.0042492i,-0.002348-0.0013929i,-0.01136-0.0041434i,-0.0016717-0.00096536i,0.0025167-0.0012692i,0.0018787-0.00053561i,0.0026706-0.0035196i,0.0022923-0.0038155i,0.0013689-0.0024315i,-0.0093609-0.0078799i,-0.0019481+0.00069078i,-0.0040009+0.0012484i,-0.0018684-0.00013262i,-0.0031803-0.0012426i,-0.0011875-0.0015363i,0.0009186-0.0018895i,-0.0016167+0.0064365i,0.0014472+6.9749e-05i,0.0028858+6.11e-05i,0.001206+0.0015519i,-0.0016031+0.0033966i,-0.00070228-0.0059783i,-0.0013525+0.0009169i,0.00024587+3.3126e-05i,-0.00017245+0.0038259i,0.0071829+0.0054424i,0.0014553-0.0027769i,0.0013333-0.003665i,-0.0039133+0.0013468i,0.00063112+0.0027876i,-0.031078-0.0063037i,0.012216-0.078503i,-0.092872-0.030064i,-0.051487-0.035936i,-0.075648-0.049576i,-0.057967-0.0057761i,-0.092829+0.019127i,-0.058265+0.011323i,-0.049469-0.022556i,-0.032261-0.056753i,-0.025994-0.029639i,0.0025873+0.0051837i,-0.018551+0.010957i,0.0094477+0.0037338i,0.011129+0.0042312i,0.00093484-0.0062661i,0.0080094+0.0015229i,-0.0084118-0.003078i,0.0024823+0.014884i,-0.0015285+0.0092847i,0.00071024+0.0014952i,0.0058766+0.0030192i,0.002016-0.0011802i,-0.00060307+0.014872i,0.00066348+0.01177i,0.0030491-0.0055091i,0.010392-0.0069252i,0.0024078+0.0024889i,-0.0078189-0.007365i,-0.0020833-0.0030441i,0.018622-0.026332i,0.0062001+0.00424i,0.0034633+0.0043259i,-0.0033607+0.0026082i,0.0025977-0.0039267i,0.021924+0.0022093i,0.0023077-0.0026538i,-0.00063046-0.0097687i,0.00075092-0.0027549i,0.01333+0.0032051i,0.0050166+0.00056927i,0.0047378-0.0065849i,0.0036184+0.0085679i,0.0037375-0.0002787i,0.024679+0.0045806i,-0.079396-0.035646i,-0.00623+0.018241i,0.0072432-0.0034466i,-0.0030208+0.0042542i,-0.03623+0.012474i,-0.0075166+0.0064759i,-0.016914+0.01346i
-0.026563+0.022667i,-0.047103+0.025206i,-0.02035+0.044081i,-0.02615+0.028432i,-0.020503+0.04074i,0.014641+0.042752i,0.0012912+0.022662i,-0.0070766+0.03952i,-0.0081005+0.019558i,-0.004939-0.003039i,-0.0043462-0.00062468i,-0.0028305-0.0035361i,-0.0044905-0.00012731i,-0.0069472-0.0014453i,-0.00057674+0.0050635i,-0.0046483+0.00043467i,-0.01354+0.0013793i,-0.0016287+0.00018644i,0.0029891-0.0018151i,0.0020124-0.0015295i,0.0014891-0.0039262i,0.0015411-0.0037558i,0.0010137-0.0025567i,-0.01032-0.0049277i,-0.0011715+0.0009221i,-0.003617+0.0025338i,-0.0014583+0.0004622i,-0.0032879-0.00020796i,-0.0017663-0.0013224i,0.00051835-0.001711i,0.001099+0.0066769i,0.001113-0.00022934i,0.0023135-0.0011442i,0.001018+0.0011309i,-0.0013207+0.0030064i,-0.00089163-0.0053308i,-0.00080301+0.00085519i,-0.00047448-0.00023918i,0.00010775+0.0044311i,0.0075478+0.0013104i,0.00060335-0.0029764i,-0.00076553-0.0041264i,-0.0036618+0.0023059i,0.0016223+0.0027352i,-0.032026-0.0058187i,-0.011776-0.089291i,-0.089762-0.011378i,-0.060698-0.034167i,-0.087419-0.037965i,-0.057133+0.0042096i,-0.082782+0.036386i,-0.054012+0.023639i,-0.039962-0.02105i,-0.039484-0.051963i,-0.034186-0.018563i,0.0038614+0.0023009i,-0.012122+0.019656i,0.0093148-0.00042528i,0.011814-0.0020707i,-0.0043762-0.01026i,0.0041937+0.00097779i,-0.0085088+0.0032902i,0.0082574+0.012426i,0.0011347+0.01118i,0.00083552+0.0012537i,0.0072617+0.0029976i,0.0023231-0.0001226i,0.0055595+0.011064i,0.0058291+0.0068146i,-0.0019178-0.0070474i,0.0033493-0.0079059i,0.0033861+0.0029148i,-0.010962-0.00039454i,-0.0026831-0.00028094i,0.0069928-0.027691i,0.0074535+0.0031903i,0.0070867+0.0026953i,-0.00052193+0.0027914i,-0.00033734-0.001622i,0.018879-0.0072921i,0.00055199-0.0034232i,-0.0053188-0.0077532i,-0.0026088-0.0017397i,0.011493-0.0019952i,0.0047034+0.00083891i,0.0021947-0.0048865i,0.0061007+0.0070442i,0.0027445-0.000775i,0.023994-0.0031866i,-0.084019-0.026326i,0.002174+0.0076024i,0.0059147-0.0063888i,-0.00056201+0.0027021i,-0.029799+0.022531i,-0.0058445+0.0078335i,-0.013317+0.016205i
-0.021145+0.025102i,-0.043964+0.030138i,-0.013518+0.040116i,-0.021709+0.030782i,-0.013106+0.042475i,0.022068+0.037767i,0.0045482+0.021906i,0.00036845+0.038357i,-0.0072166+0.017182i,-0.0054959-0.00069257i,-0.003461+0.0011705i,-0.0059316-0.0029609i,-0.0047481+0.0018566i,-0.0069243+0.00066894i,0.0012683+0.0055216i,-0.0054604+0.0036561i,-0.012138+0.0078239i,-0.00058624+0.0010783i,0.0030167-0.0034539i,0.00181-0.0027159i,0.00017555-0.0044697i,0.00070579-0.004558i,0.00057724-0.0027567i,-0.011056-0.0021437i,-0.00093493+0.0011911i,-0.0022357+0.0040387i,-0.0010099+0.00038358i,-0.0027658+0.0013891i,-0.0021154-0.00080445i,-0.00043185-0.0025177i,0.0037635+0.0053087i,0.0007979-0.00035908i,0.0016415-0.0015072i,0.0014248+0.00057826i,-0.00025787+0.0038814i,-0.0010178-0.0055148i,-0.0010135+0.00054302i,-0.00086698-0.00011705i,0.0035697+0.0030729i,0.0061149-0.0011159i,-0.00014493-0.0027551i,-0.0012294-0.0025825i,-0.0034447+0.0030641i,0.0021462+0.0011393i,-0.034522-0.003296i,-0.040663-0.088871i,-0.079666+0.0022849i,-0.070493-0.026907i,-0.094655-0.022829i,-0.052979+0.012586i,-0.067617+0.047978i,-0.039459+0.033419i,-0.040821-0.024972i,-0.045987-0.048457i,-0.035501-0.0058943i,0.0041078-0.00075194i,-0.0021676+0.021953i,0.0082319-0.0034304i,0.0077748-0.0074254i,-0.014107-0.0090351i,0.0035393-5.5075e-06i,-0.0042087+0.0065136i,0.011415+0.0070081i,0.0043949+0.011669i,-9.0093e-05+0.0018372i,0.0077158-0.0011557i,0.0039464-0.0014066i,0.0071246+0.0060218i,0.0053625+0.0020093i,-0.007085-0.0038128i,0.00094586-0.0061846i,0.0054496+0.0018627i,-0.0073154+0.0090304i,-0.0011512+0.0014508i,-0.0023275-0.024997i,0.0093879-0.00022407i,0.0069935-0.0007687i,0.00041338+0.0021664i,0.00085185+0.00024007i,0.012309-0.012233i,-0.002137-0.00049778i,-0.008257-0.0039897i,-0.0037163+0.0015937i,0.0071148-0.0046311i,0.0076681-0.0012867i,0.0030739-0.0044334i,0.0096464+0.0038508i,0.0040692-0.0013405i,0.02072-0.010059i,-0.087595-0.012724i,-0.00079583-0.0022799i,0.0052824-0.0086062i,0.0013125-0.00045323i,-0.019933+0.02698i,-0.0046232+0.0032746i,-0.0074825+0.013056i
-0.015874+0.02524i,-0.039597+0.036105i,-0.0099476+0.03681i,-0.016717+0.033581i,-0.0047072+0.041409i,0.02809+0.031399i,0.0083014+0.020843i,0.0068308+0.035399i,-0.0068778+0.017238i,-0.0049518+0.0016296i,-0.0026635+0.0014785i,-0.0078258+0.00079826i,-0.0042532+0.0034637i,-0.0068739+0.0031164i,0.0029921+0.0048875i,-0.0042455+0.007174i,-0.0072877+0.012672i,0.00042032+0.00046353i,0.001508-0.0044819i,0.00028002-0.0038936i,-0.0013948-0.0042476i,-0.0006048-0.0046368i,2.6006e-05-0.0032716i,-0.010956+0.001104i,-0.0002892+0.00089441i,9.9321e-05+0.0035118i,-0.0010664+0.00021057i,-0.0015704+0.0018298i,-0.0024212+9.2621e-05i,-0.0020631-0.0019361i,0.005208+0.0031243i,0.00050323-0.00035335i,0.0008081-0.0020322i,0.0013988+1.3378e-05i,0.0019348+0.0034922i,-0.0017671-0.0068563i,-0.00091587+0.0010607i,-0.0011655+0.00041951i,0.003237-0.00042283i,0.0047123-0.002318i,-0.00074255-0.0026642i,-0.000982-0.0021968i,-0.0027516+0.0043132i,-0.00023983-0.0012186i,-0.037116+0.00088281i,-0.066348-0.073242i,-0.069408+0.0077346i,-0.078501-0.015413i,-0.098556-0.0064204i,-0.04713+0.018366i,-0.053784+0.053474i,-0.025181+0.032321i,-0.045339-0.021805i,-0.052971-0.041005i,-0.033038+0.0028516i,0.0023428-0.0033209i,0.0061759+0.019758i,0.006671-0.0059062i,0.0021621-0.0086753i,-0.020262-0.0001088i,0.00012721+0.00051694i,-0.00019686+0.0059927i,0.010736+0.0013231i,0.0091507+0.011206i,0.00044141+0.0032561i,0.0044579-0.0025477i,0.0037792-0.0048415i,0.0058006+0.0016037i,0.0025707+0.0001939i,-0.0071658+0.00051137i,-0.0011696-0.0050973i,0.0058528-0.00016525i,0.0022508+0.010659i,0.00033952+0.0010425i,-0.0077244-0.020024i,0.0083326-0.0034655i,0.0062005-0.0031104i,0.0017102+0.0027172i,0.0013484+3.6389e-05i,0.0067576-0.012915i,-3.2678e-05+0.001745i,-0.0094662+0.00055849i,-0.0013189+0.0041413i,0.0042858-0.0040448i,0.0064646-0.0051077i,0.00081999-0.0051893i,0.0095081-0.0016336i,0.0031219-0.0046096i,0.016612-0.015975i,-0.084852+0.0019013i,-0.0080323-0.0053518i,0.0030708-0.013016i,0.00074244-0.0048371i,-0.01255+0.026746i,-0.0088044+0.0026739i,-0.0080376+0.011238i
-0.011977+0.024804i,-0.034546+0.041202i,-0.0085627+0.035198i,-0.010618+0.035343i,0.002133+0.038337i,0.032008+0.024319i,0.012373+0.018609i,0.012143+0.031811i,-0.0051293+0.018613i,-0.0034608+0.0033893i,-0.0026071+0.0022616i,-0.0070632+0.0044642i,-0.0033376+0.0047627i,-0.005193+0.0057754i,0.0044572+0.0037955i,-0.0012954+0.0094389i,-0.0013909+0.014583i,0.000596-0.00010861i,0.00043661-0.0045054i,-0.001635-0.0037029i,-0.0028771-0.0033743i,-0.0019165-0.0041672i,-0.0012685-0.0033622i,-0.0090484+0.0036505i,-0.00073962+0.00031726i,0.00033876+0.0019904i,-0.0011933+0.00030397i,-0.00077822+0.0017571i,-0.0020872+0.001138i,-0.0020958-0.0004405i,0.0054579+0.0008193i,0.00039766-0.00047275i,-0.00014194-0.0018702i,0.0010936-0.00041565i,0.0026181+0.0019592i,-0.0042877-0.0074292i,-0.00063777+0.0015141i,-0.00099771+0.0013239i,0.00095949-0.00129i,0.0034362-0.0025679i,-0.0013625-0.0024011i,-0.0012637-0.0021911i,-0.0010972+0.0050748i,-0.0026709+0.0014198i,-0.03815+0.0075675i,-0.076551-0.049248i,-0.063804+0.0090493i,-0.083247-0.0010465i,-0.099459+0.011877i,-0.04271+0.021202i,-0.040502+0.056414i,-0.016044+0.028541i,-0.047403-0.017653i,-0.056673-0.033238i,-0.029567+0.010892i,0.00024514-0.0046964i,0.01478+0.014174i,0.0048329-0.0072581i,-0.0028312-0.007082i,-0.019961+0.0091132i,-0.00083229+0.0030045i,0.0027275+0.0054509i,0.0066126-0.0011879i,0.01373+0.0078584i,0.0018637+0.0036702i,0.0025875-0.0012951i,0.0014436-0.0068855i,0.0026108+0.0013132i,0.00047188+0.0013136i,-0.0063623+0.004802i,-0.0028896-0.0025273i,0.0051512-0.0022373i,0.007353+0.0060477i,0.00088961+0.00054783i,-0.010497-0.017643i,0.006123-0.0060175i,0.0043281-0.0049628i,0.0044237+0.0020183i,0.0017578+3.2544e-06i,0.0032396-0.011941i,0.0017853+0.0013605i,-0.0070688+0.0061364i,0.0018824+0.0039416i,0.0034258-0.0035363i,0.0031613-0.0089779i,-7.6733e-05-0.0043171i,0.005964-0.0052596i,-8.4784e-06-0.0060518i,0.0085918-0.021612i,-0.078592+0.011821i,-0.015305-0.0016998i,-0.0012496-0.015515i,-0.0021185-0.0082614i,-0.0074858+0.025723i,-0.012067+0.0057265i,-0.0072598+0.012082i
-0.0088332+0.02465i,-0.028546+0.045957i,-0.0072101+0.036489i,-0.0044396+0.035091i,0.0064307+0.034142i,0.034688+0.017526i,0.016238+0.015039i,0.016342+0.027918i,-0.0023996+0.018751i,-0.0019634+0.0036561i,-0.0027713+0.0035383i,-0.0050089+0.0069816i,-0.0018651+0.0061962i,-0.0026946+0.0067674i,0.0051378+0.0022316i,0.0021726+0.010028i,0.0048609+0.013689i,0.00065354-0.00013506i,-0.00099436-0.0047156i,-0.0029098-0.0026583i,-0.0032884-0.0018117i,-0.0027121-0.0033595i,-0.0021748-0.0025958i,-0.0077401+0.0046963i,-0.0012978+0.00073631i,-1.8591e-05+0.0017726i,-0.0013503+0.00066373i,-0.00010955+0.0013842i,-0.0012438+0.0016727i,-0.0016539+0.00034923i,0.0050217-0.0011381i,0.00011259-0.00058241i,-0.00071966-0.0014485i,0.00068577-0.00087733i,0.0026275+0.0012537i,-0.0070093-0.0065223i,-0.00025782+0.0014531i,-0.00017672+0.0018019i,-2.7769e-05-0.0011009i,0.0025345-0.0024899i,-0.0019605-0.0016651i,-0.0018977-0.0018034i,0.00074755+0.0048967i,-0.0022499+0.0045506i,-0.037027+0.015199i,-0.074852-0.032007i,-0.0612+0.01159i,-0.083129+0.016211i,-0.093897+0.032344i,-0.041141+0.02405i,-0.029153+0.055849i,-0.0090088+0.024221i,-0.048283-0.011804i,-0.060345-0.025434i,-0.024694+0.015663i,-0.0032823-0.0045551i,0.017749+0.0020509i,0.0030509-0.0091846i,-0.0058921-0.0033401i,-0.014691+0.017006i,0.00065027+0.0039935i,0.0058154+0.0031505i,0.0048133-2.9212e-06i,0.017184+0.00085613i,0.0029619+0.0034668i,0.0023231-0.00063534i,-0.0030653-0.0083969i,0.0016716+0.0033206i,0.00058938+0.0032912i,-0.0021642+0.008619i,-0.0018358+9.4933e-05i,0.0037467-0.0032617i,0.0087187+0.0013191i,0.0014903-0.00038248i,-0.015958-0.016179i,0.0030775-0.007187i,0.0014437-0.0059032i,0.00412-0.0004275i,0.0017844+0.00035981i,0.0016999-0.010295i,0.0024237+0.00019255i,-0.0024555+0.0084716i,0.0027881+0.0018333i,0.0024754-0.0037979i,-0.0025438-0.0092086i,-0.001065-0.0051293i,0.0023546-0.0055062i,-0.0021423-0.0058848i,-0.0017543-0.021648i,-0.074368+0.019632i,-0.01392+0.008346i,-0.0061336-0.016414i,-0.0064605-0.0085143i,-0.0043186+0.024987i,-0.011639+0.010799i,-0.0031971+0.011928i
-0.0057886+0.024688i,-0.021413+0.050233i,-0.0034665+0.038982i,0.00051174+0.033643i,0.0086558+0.031423i,0.036271+0.010493i,0.018879+0.010545i,0.019661+0.02404i,0.00031866+0.018936i,-0.0012381+0.0038767i,-0.0016393+0.005707i,-0.0019733+0.0086507i,0.00012356+0.006817i,-0.00037496+0.0066181i,0.0051883+0.0007455i,0.0054755+0.0091411i,0.0095338+0.010132i,0.0009391-0.00030345i,-0.0024247-0.0041875i,-0.0035024-0.0011324i,-0.0030282-0.00060412i,-0.0035002-0.002532i,-0.0026502-0.0017289i,-0.0071622+0.0067008i,-0.0011605+0.0014849i,8.7773e-05+0.0021858i,-0.0011755+0.0013897i,-0.0001047+0.00098424i,-0.0006068+0.001636i,-0.0011886+0.00066707i,0.0039319-0.0027111i,0.0001513-0.00024209i,-0.00081622-0.0011436i,0.00020436-0.001004i,0.0029166-1.3013e-05i,-0.0093178-0.004686i,0.00019452+0.0014733i,0.00056272+0.0015096i,-0.00093351-0.00097006i,0.0019976-0.0024297i,-0.0020834-0.00087215i,-0.0018807-0.001082i,0.0017967+0.0037799i,-0.00058602+0.0058916i,-0.032916+0.02144i,-0.073982-0.025055i,-0.060277+0.015698i,-0.076316+0.031343i,-0.082323+0.049574i,-0.038512+0.030059i,-0.019603+0.055357i,-0.0051651+0.01922i,-0.048245-0.0062593i,-0.062452-0.016024i,-0.020039+0.019564i,-0.0042759-0.0042482i,0.011318-0.0081127i,-0.00033964-0.011081i,-0.0063238+5.8143e-05i,-0.0070926+0.019646i,0.0012827+0.0033487i,0.0070539-0.0015209i,0.0060837-0.00013182i,0.01507-0.0053389i,0.0049742+0.0027718i,0.0024179+0.00066404i,-0.0072439-0.0036542i,0.0032844+0.0046507i,0.0019501+0.004699i,0.0029206+0.0086354i,-0.00096677+0.00022988i,0.002617-0.0039191i,0.0084263-0.0044882i,0.00012654-0.00085204i,-0.02182-0.010252i,0.00074655-0.0069164i,-0.00091641-0.0043985i,0.0045312-4.4626e-05i,0.0020241-6.7788e-05i,0.00091537-0.011349i,0.0022126-0.0011589i,0.0012243+0.0067973i,0.0029732+0.0012334i,0.0022155-0.0030908i,-0.0058917-0.0055263i,-0.0038549-0.0052373i,-0.00032389-0.005179i,-0.0045152-0.0053825i,-0.0086587-0.017692i,-0.06885+0.028051i,-0.008871+0.0078453i,-0.0076021-0.015371i,-0.0090053-0.0071036i,-6.7163e-05+0.023239i,-0.010134+0.012737i,-0.0015389+0.009809i
-0.0025357+0.024234i,-0.013183+0.053358i,0.002214+0.041233i,0.0048238+0.032429i,0.010875+0.029944i,0.036395+0.0036797i,0.020543+0.0057122i,0.022678+0.020311i,0.0034272+0.018522i,-0.00038897+0.0041821i,0.0011421+0.0066433i,0.0015652+0.0084107i,0.0020743+0.0066676i,0.0010775+0.0062693i,0.0050422-0.00043377i,0.0081387+0.0069302i,0.011929+0.0056333i,0.0013083-0.0012266i,-0.0034395-0.0032847i,-0.0032047+0.00055151i,-0.0025218+0.00029495i,-0.0039511-0.0010704i,-0.002814-0.001018i,-0.0044041+0.0086523i,-0.00071326+0.0021667i,0.00098435+0.0023028i,-0.00055127+0.0019751i,-0.0004269+0.0010575i,-0.00013119+0.0016182i,-0.000731+0.00099447i,0.0022297-0.0036061i,0.00049913-0.00057063i,-0.0012802-0.00099302i,-0.00026668-0.0010054i,0.0022689-0.0012615i,-0.01084-0.0015379i,0.00060319+0.0014178i,0.00097747+0.0012402i,-0.0017972-0.00049823i,0.0017624-0.0024046i,-0.0017646-0.00035237i,-0.0017394-0.00070023i,0.0022253+0.0027366i,0.001411+0.0066933i,-0.028378+0.02512i,-0.079206-0.018493i,-0.059216+0.021372i,-0.067733+0.042965i,-0.066812+0.06092i,-0.034323+0.035206i,-0.010079+0.05344i,-0.002872+0.016197i,-0.047152-0.00018004i,-0.062263-0.0056549i,-0.014934+0.022441i,-0.0058164-0.0032662i,0.0032079-0.009599i,-0.0045588-0.011205i,-0.0050381+0.0038368i,-0.00018266+0.018662i,0.00092533+0.0026461i,0.0050733-0.0059103i,0.0052265-0.0016368i,0.011388-0.010526i,0.0065883+0.00072619i,0.0035994+0.00083768i,-0.0076662-0.000401i,0.0053048+0.0048545i,0.004455+0.005231i,0.0072721+0.0061128i,-0.00066095+0.00095044i,0.0020623-0.0041269i,0.004954-0.0082151i,-0.00019387+0.00060224i,-0.02472-0.0017678i,-0.00079899-0.0064501i,-0.0018133-0.0024896i,0.0052133-0.00079252i,0.0020908-0.0005758i,-0.0017842-0.012895i,0.00094232-0.0016453i,0.0038673+0.0059717i,0.0034642+0.0001274i,0.003068-0.0035201i,-0.0073983-0.002817i,-0.0070382-0.0024241i,-0.0033443-0.0036344i,-0.0058815-0.0046973i,-0.012665-0.012812i,-0.062657+0.034762i,-0.007969+0.0065377i,-0.0082765-0.017617i,-0.010619-0.005343i,0.0011396+0.021959i,-0.0097623+0.014199i,-0.00040248+0.0083656i
0.00099604+0.023778i,-0.0036712+0.054746i,0.010131+0.041656i,0.0088691+0.031008i,0.014234+0.029642i,0.035595-0.0026187i,0.020997+0.00033002i,0.025682+0.016029i,0.0065648+0.017268i,0.00043171+0.0042967i,0.0035686+0.005275i,0.0038465+0.0063485i,0.0039514+0.0061448i,0.0027528+0.0057968i,0.0046216-0.0016437i,0.0093515+0.0038294i,0.011988+0.00096266i,0.00024226-0.0020527i,-0.0044783-0.0018139i,-0.0019868+0.0015154i,-0.0015959+0.00054897i,-0.0035298+3.8355e-05i,-0.0029069-0.00013572i,-0.0010024+0.0089823i,0.0001402+0.0024603i,0.0017637+0.0017081i,0.00037136+0.0020728i,-0.00017589+0.0015927i,0.00051801+0.0013253i,-0.00033972+0.00098196i,0.0005203-0.0037051i,2.8953e-06-0.00098135i,-0.0016351-0.00031834i,-0.00071005-0.00086115i,0.001248-0.0020313i,-0.0108+0.002132i,0.0009045+0.0011947i,0.0014129+0.00078261i,-0.0021576+0.0003676i,0.0013323-0.0027169i,-0.0016638-9.5651e-05i,-0.0016881-0.00056207i,0.0021331+0.0019707i,0.0036861+0.0064937i,-0.02441+0.028787i,-0.087398-0.0052633i,-0.055034+0.027115i,-0.056393+0.051241i,-0.051672+0.068473i,-0.029265+0.041498i,-0.00079876+0.049533i,0.00213+0.012993i,-0.044456+0.0059387i,-0.059441+0.0042465i,-0.010344+0.024639i,-0.007547-0.0020899i,-0.002463-0.0090243i,-0.0088293-0.0096056i,-0.0011019+0.0053446i,0.0040583+0.015392i,-0.00021913+0.0027529i,0.0024196-0.0086831i,0.0054911-0.0013743i,0.0047747-0.013342i,0.0068147-0.0028038i,0.0047503-6.9032e-05i,-0.0079992+0.003721i,0.0083262+0.0039691i,0.0077991+0.0030443i,0.009199+0.0016505i,0.00042604+0.0017404i,0.0011817-0.0043653i,-0.00090844-0.008844i,0.00098932+0.0020406i,-0.024337+0.0076768i,-0.0022368-0.0059307i,-0.0013672-0.00053637i,0.0057094-0.0041123i,0.0021416-0.0008761i,-0.007109-0.013021i,-0.00011874-0.0011753i,0.0060007+0.0033691i,0.0033402-0.0004715i,0.0023517-0.0044918i,-0.0072766+0.0015812i,-0.0071046+0.0021771i,-0.0047824-0.001186i,-0.0078823-0.0038971i,-0.014888-0.0079994i,-0.057279+0.040614i,-0.008102+0.0086739i,-0.01237-0.021359i,-0.0093972-0.0032437i,0.0038714+0.021644i,-0.009195+0.017747i,0.0014454+0.0059996i
0.0046293+0.022502i,0.0057896+0.053805i,0.018041+0.039019i,0.01309+0.029123i,0.018891+0.028492i,0.034139-0.0084381i,0.019769-0.0048214i,0.027723+0.011i,0.0093005+0.015436i,0.0010886+0.0043578i,0.0043402+0.0037839i,0.0044847+0.0044731i,0.0055997+0.0046835i,0.0040809+0.0046056i,0.0038338-0.0026134i,0.0090963+0.000937i,0.010594-0.0023713i,-0.00066027-0.0017882i,-0.0043486-0.00010805i,-0.00074829+0.0015855i,-0.00086456+0.0002264i,-0.003064+0.00072105i,-0.0024666+0.00061873i,0.0016621+0.0084703i,0.0011827+0.0020891i,0.0021412+0.0011341i,0.0011812+0.0017077i,0.00051741+0.0017175i,0.00080797+0.00072085i,-0.00020329+0.0009758i,-0.0009942-0.0030865i,-0.00068903-0.00090323i,-0.0015769+0.00034634i,-0.0010803-0.00051707i,0.00022884-0.0021892i,-0.0093895+0.0052803i,0.0011698+0.00074213i,0.0015186+5.5951e-05i,-0.0018432+0.0016054i,0.00070639-0.0031514i,-0.0015148+0.00025105i,-0.0016703-0.0006513i,0.0021111+0.0016352i,0.005585+0.0054769i,-0.019383+0.031905i,-0.089143+0.014902i,-0.052428+0.031119i,-0.04601+0.05573i,-0.034548+0.07331i,-0.020886+0.04771i,0.0057056+0.043388i,0.0048361+0.005717i,-0.039304+0.010572i,-0.053432+0.014121i,-0.0034625+0.025714i,-0.0088085+0.00049757i,-0.0080131-0.0057918i,-0.011995-0.0063887i,0.0019106+0.0035706i,0.0061872+0.012403i,-0.0017743+0.0040133i,-0.0014682-0.01081i,0.0065608-0.0034478i,-0.0016929-0.012031i,0.0043851-0.0052292i,0.0052955-0.002427i,-0.0062479+0.0070142i,0.010581-0.00012593i,0.0085903-0.0019584i,0.0079871-0.0035894i,0.0024953+0.0012128i,5.1314e-05-0.0045176i,-0.0045711-0.0050719i,0.002959+0.0012181i,-0.019739+0.017883i,-0.0036635-0.0047441i,0.00014618+0.0003903i,0.0027848-0.0063409i,0.0019778-0.0010654i,-0.012578-0.0095827i,-7.5389e-05+7.0849e-05i,0.0065447-9.7715e-05i,0.0027064-0.001214i,0.0014047-0.0046393i,-0.0045946+0.004874i,-0.0046615+0.0053276i,-0.0047906+0.0021158i,-0.01018-0.0018719i,-0.015035-0.0037554i,-0.050492+0.048701i,-0.002578+0.01149i,-0.019721-0.021215i,-0.007835-0.0040369i,0.0062352+0.020593i,-0.005962+0.021385i,0.0018593+0.0024488i
