-0.029608-0.040528i,-0.021545-0.019465i,-0.012798-0.035845i,-0.029804-0.020492i,-0.02221-0.00035614i,-0.013652-0.0059451i,-0.055701-0.059246i,-0.047318-0.018019i,-0.037887-0.014094i,0.010255+0.012064i,-0.0078185+0.0053628i,-0.019948+0.019207i,0.0024322+0.01168i,-0.0063585-0.0034644i,0.00021435+0.0012386i,-0.0020681+0.030574i,0.027368+0.028647i,0.0023081-0.0019185i,-0.0020292-0.006794i,0.0080041+0.0025719i,0.00308+0.001137i,0.00026285+0.0038153i,-0.00035088+0.00020336i,-0.037136-0.011105i,9.3669e-05-0.0077292i,0.0014911+0.0021799i,0.005844+0.0018319i,0.002182+0.00040271i,0.0010719-0.00055663i,-0.00052874-0.0025181i,0.0015275-0.0027711i,-0.0026942-0.0057843i,-0.00036643-0.0046039i,0.0029927-0.00075591i,0.0046968-0.0026732i,0.0022958+0.030601i,0.0040496-0.0035347i,0.0030116-0.0015921i,0.0083548-0.001289i,-0.0051075-0.0025395i,-0.00029101+0.0010737i,0.0095521+4.0971e-05i,0.0042349-0.0023939i,-0.001282+0.0091546i,-0.017319-0.0064473i,-0.018744+0.015298i,-0.0025959-0.061005i,-0.004929-0.027285i,-0.026458-0.032396i,-0.011079-0.026597i,0.055337-0.020321i,0.016668-0.043064i,0.022893-0.048907i,0.0059766-0.055327i,0.026209-0.020964i,0.0084098+0.0060471i,0.025576-0.034099i,-0.0080376-0.006478i,0.0035222-0.0050853i,-0.0046764-0.007342i,-0.001844-0.033236i,-0.018567+0.028695i,0.0086482-0.011971i,-0.0091712-0.0038524i,-0.0042037-0.0013809i,0.0013666-0.012663i,-0.011062+0.0043546i,0.0027672+0.010379i,-0.0054305+0.026605i,0.0050545+0.0023918i,-0.0051225-0.0019849i,-0.0018993-0.0019666i,-0.01229-0.0070395i,-0.00053809-0.0042075i,-0.035977+0.0010501i,0.0015019-0.010871i,-0.0081744-5.3957e-05i,-0.0065403-0.0023059i,0.0053321+0.00093539i,-0.008556-0.00049236i,0.0020296-0.00036835i,0.0036633+0.0072993i,0.0043532+0.0004981i,-0.0087068-0.013241i,0.0026221+0.0093911i,-0.015444+0.0046649i,0.0066314+4.7769e-05i,-0.022014-8.5487e-05i,-0.017353+0.0050386i,-0.0078265-0.064618i,0.0081899-0.013197i,-0.049312-0.022766i,-0.020868+0.00061911i,0.017015+0.011648i,-0.023325+0.014538i,-0.018766-0.0055897i
-0.043121+0.032622i,-0.015866+0.017723i,-0.021379+0.042263i,-0.026997+0.013348i,-0.004671+0.021013i,-0.00078689+0.0076915i,-0.030423+0.01711i,-0.0040655+0.029444i,0.0082047+0.018663i,-0.0041181-0.0065278i,0.0025224+0.0029019i,0.0080257+0.00011141i,0.005421+0.00026083i,-0.00047258+0.0035844i,0.00065339+0.0020717i,0.0061705-0.0048975i,-0.0068835-0.00049498i,-0.0030908-0.0010124i,0.0038968-0.0015912i,2.403e-05-0.00089761i,0.0030779-0.0052147i,0.0017369-0.0028978i,0.0013422-0.0024685i,-0.0095516-0.010869i,-0.00066459+0.0016894i,-0.001785-3.7063e-06i,-0.0041788-0.0014224i,-0.0029555-0.00018895i,-0.00078036-0.0016717i,-0.00027229-0.00078377i,-0.00087934+0.0035034i,0.00064794+0.00079225i,0.0015983+0.00055273i,-0.00051104+0.00076127i,-0.0029475+0.002737i,-0.0012315-0.0078628i,-0.002604+0.0011233i,0.00085247-0.00055013i,-0.0015248+0.0032121i,0.0039035+0.002708i,-0.00051093-0.0017378i,-0.00034538-0.0030589i,-0.0030874-0.00042113i,0.0036576+9.7074e-05i,-0.016047+0.023152i,0.0087734-0.037412i,-0.053567+0.0040094i,0.0082505-0.032271i,-0.030691-0.049263i,-0.028904-0.02022i,-0.063117+0.020913i,-0.038226+0.00059917i,-0.033403-0.0068742i,-0.029324-0.022018i,-0.038866-0.023927i,-0.0054167+0.0031926i,-0.028067+0.0092908i,0.0059928+0.019512i,0.0026595+0.0085662i,-0.0038406-0.0050238i,0.0018658+0.001245i,-0.011004-0.0036464i,0.0055337+0.011522i,-0.00047187+0.0059855i,-0.0021188-0.0017619i,0.0012389+0.0021046i,0.003843-0.0011504i,-0.0035992+0.018319i,0.0029792+0.014125i,0.0040426-0.0011708i,0.0098136-0.0063492i,0.0044245+0.0033432i,-0.0089407-0.0074339i,-0.00086896-0.0031552i,0.026592-0.034974i,0.0077743+0.0097509i,0.0052828+0.0024279i,-0.0028308+0.0028228i,0.0037349-0.0053216i,0.021306+0.0083281i,0.0037018+0.002166i,3.0862e-05-0.006326i,0.00069677-0.0026026i,0.014886+0.0071356i,0.0052352+0.00093573i,0.0028789-0.0047344i,0.0044475+0.0085125i,-0.00085709+0.0011164i,0.0092832+0.0029743i,-0.042182-0.016904i,-0.0065263+0.012069i,-0.0022689-0.0050836i,-0.0069348+0.0049723i,-0.036755+0.012419i,-0.0054998+0.0074542i,-0.0096224+0.01376i
-0.0371+0.039218i,-0.012972+0.017392i,-0.010826+0.038179i,-0.024167+0.016299i,-0.0018406+0.019225i,0.00060287+0.007651i,-0.029042+0.022175i,0.0017626+0.02869i,0.010745+0.013052i,-0.005562-0.0040932i,0.0035105+0.0033056i,0.0072497-0.0027349i,0.0049151-0.0017191i,0.0017243+0.0040743i,0.00091222+0.002084i,0.0017528-0.0041569i,-0.0078342+0.0034278i,-0.0028533+0.00016187i,0.0039547-0.0024027i,0.00034372-0.0008882i,0.0011452-0.0056015i,0.001409-0.0025796i,0.00070081-0.0025183i,-0.011674-0.0077024i,0.00021317+0.0011805i,-0.0018858+0.000533i,-0.0037556+0.00023917i,-0.0022351+0.00058734i,-0.0014399-0.001497i,-0.00016758-0.00059424i,0.00054171+0.0035931i,0.00027561+0.0006648i,0.0013424-0.00028933i,-0.00062+0.00092693i,-0.0028933+0.0030455i,-0.0014716-0.006766i,-0.0020827+0.0016025i,-0.00020471-0.0011799i,-0.00097012+0.0037975i,0.0037017+0.00036228i,-0.00076129-0.0015883i,-0.0020835-0.0028427i,-0.0032474+0.00060243i,0.0039976-0.00083934i,-0.012084+0.022332i,-0.0048678-0.043265i,-0.047124+0.014461i,-0.0013437-0.039765i,-0.045025-0.043611i,-0.029418-0.013386i,-0.051157+0.033064i,-0.035584+0.0095299i,-0.024772-0.009554i,-0.031032-0.017469i,-0.044835-0.0084444i,-0.0043734+0.0029677i,-0.023714+0.021418i,0.011442+0.013504i,0.0053967+0.0049087i,-0.0089779-0.0073638i,-0.0017657+0.0036415i,-0.010557+0.0031801i,0.0097457+0.0082589i,0.00046321+0.0075399i,-0.0020859-0.00015327i,0.0020587+0.0032379i,0.0041396-0.0017305i,0.0051634+0.015137i,0.0083616+0.0082182i,-0.00082821-0.0045415i,0.0033999-0.0078181i,0.0049093+0.0028346i,-0.01147+0.00092845i,-0.0022531-0.0008964i,0.0097223-0.03781i,0.011616+0.0076068i,0.0070346-0.00010587i,0.00055461+0.0025517i,7.0974e-05-0.0032974i,0.022672-0.0020136i,0.00319+0.00044603i,-0.0032966-0.0051184i,-0.0025854-0.0012775i,0.014279+0.0010159i,0.0052186+0.0008181i,0.0010187-0.0036425i,0.0070363+0.00678i,-0.0007054+0.0023982i,0.0095074-0.00031398i,-0.046188-0.012936i,-0.00077644-0.0023357i,-0.0012298-0.004427i,-0.0052604+0.0047951i,-0.03021+0.023778i,-0.0031194+0.0082466i,-0.0055334+0.014562i
-0.029613+0.044481i,-0.011216+0.017363i,-0.0054549+0.031796i,-0.02142+0.019144i,0.0015975+0.018377i,0.00216+0.0070945i,-0.025193+0.027942i,0.0072361+0.026375i,0.010194+0.0088196i,-0.0060565-0.0014656i,0.005312+0.0029436i,0.0030197-0.004031i,0.0036869-0.0028917i,0.0026237+0.0034655i,0.0014598+0.0020643i,-0.0013132-0.0013796i,-0.0063475+0.0075261i,-0.0019053+0.00073081i,0.0036687-0.0042176i,0.0006612-0.0015536i,-0.0007836-0.0052385i,0.0015043-0.003055i,0.00021224-0.0025025i,-0.013683-0.0049838i,0.00042291+0.00075782i,-0.0013394+0.0013687i,-0.0025512+0.00081768i,-0.0011237+0.0011945i,-0.0016774-0.0011745i,-0.00043485-0.0008796i,0.0018271+0.0028706i,0.00027204+0.00079547i,0.00088841-0.00069853i,-0.00038618+0.0008598i,-0.0014337+0.0042625i,-0.001168-0.0067136i,-0.0018604+0.0018401i,-0.0011153-0.0010234i,0.0017558+0.0026816i,0.0027333-0.00076689i,-0.0010881-0.0012835i,-0.0017013-0.0013438i,-0.0030281+0.0014881i,0.0035392-0.0025413i,-0.0095839+0.022161i,-0.021535-0.041773i,-0.037278+0.020658i,-0.013306-0.041509i,-0.053427-0.034153i,-0.026067-0.0079359i,-0.034988+0.039404i,-0.023877+0.015252i,-0.02748-0.0128i,-0.031768-0.013782i,-0.042722+0.0061186i,-0.0037141+0.0030677i,-0.01232+0.028855i,0.013406+0.0071703i,0.0034644-0.00019592i,-0.018113-0.0045093i,-0.00086967+0.0055448i,-0.0059953+0.0067279i,0.011352+0.002486i,0.0032698+0.0078908i,-0.0034597+0.0014492i,0.0024353+0.0013877i,0.0041493-0.0032933i,0.0079074+0.0081836i,0.008181+0.0025442i,-0.0054672-0.0011493i,0.00026576-0.0060207i,0.0066304+0.0015512i,-0.0070703+0.009856i,-0.0006947+0.0013165i,-0.003286-0.033937i,0.015201+0.0016203i,0.0058558-0.0026683i,0.0011015+0.0012742i,8.3074e-05-0.0015493i,0.017599-0.010399i,0.0013709+0.002273i,-0.00537-0.0026776i,-0.0028654+0.0025852i,0.011013-0.0029557i,0.0085585-0.0013384i,0.00081586-0.0034781i,0.010294+0.0030449i,0.0023529+0.0021995i,0.0085882-0.0035859i,-0.049904-0.0034997i,-0.0093905-0.010738i,0.00097243-0.0075962i,-0.0039621+0.00374i,-0.019675+0.028282i,-0.0032477+0.0032829i,-0.0023443+0.010185i
-0.021174+0.04761i,-0.0089865+0.01841i,-0.0039942+0.026665i,-0.017413+0.021956i,0.0047976+0.015414i,0.0036926+0.0055817i,-0.018693+0.032433i,0.011698+0.022429i,0.0096017+0.0067812i,-0.0053045+0.00088795i,0.0062655+0.00076051i,0.00068146-0.0015777i,0.0022653-0.0032667i,0.0024515+0.0034675i,0.0018651+0.0016298i,-0.0014877+0.0027611i,-0.0021521+0.010698i,-0.0014908+0.00062022i,0.0019871-0.004912i,-0.00010008-0.0023121i,-0.0016793-0.0041315i,0.0011683-0.0034085i,-0.00030804-0.0026684i,-0.015511-0.0004032i,0.00071289-0.00014573i,-0.00036463+0.001021i,-0.002224+0.00080099i,-3.8944e-05+0.00055548i,-0.0018251-0.00047906i,-0.00089088-0.00046279i,0.0025658+0.0017317i,0.00034384+0.00096193i,0.00010354-0.00095414i,-0.00021595+0.00090293i,0.00061352+0.003666i,-0.0023321-0.0086421i,-0.001096+0.0025295i,-0.0017119-0.00038938i,0.0014976-3.9157e-05i,0.0018501-0.0011105i,-0.001126-0.00088543i,-0.0013087-0.0015303i,-0.0023644+0.0023672i,0.0009466-0.0044718i,-0.0070349+0.02305i,-0.034544-0.029857i,-0.028002+0.021397i,-0.024489-0.038215i,-0.061398-0.023445i,-0.021432-0.0062601i,-0.02077+0.038317i,-0.013689+0.011185i,-0.028634-0.009598i,-0.032092-0.0088321i,-0.036768+0.016551i,-0.0034675+0.0032024i,-6.7188e-05+0.029131i,0.013656+0.0015308i,-0.0013787-0.00087637i,-0.02278+0.006231i,-0.00047009+0.007235i,-0.0022289+0.0062319i,0.0088238-0.0034711i,0.0059388+0.0067741i,-0.0028379+0.0044052i,0.00031789+0.0017109i,0.0032546-0.0059105i,0.0063224+0.0025194i,0.0052589-9.5071e-05i,-0.0040024+0.002393i,-0.0014491-0.0044517i,0.006748-0.00086083i,0.0027979+0.011471i,0.00036448+0.00067598i,-0.010653-0.027169i,0.013344-0.0045267i,0.0044443-0.004251i,0.0020547+0.0022797i,0.00036477-0.0014587i,0.011154-0.013505i,0.0043722+0.003416i,-0.0058986+0.00048956i,-0.00065782+0.0041701i,0.0081193-0.003803i,0.0078693-0.0066432i,-0.00066607-0.0028987i,0.0093379-0.0029816i,0.0026182-0.00071095i,0.00685-0.0067946i,-0.046275+0.0080473i,-0.019174-0.0096995i,-0.0018148-0.012954i,-0.0026693+0.0018723i,-0.0115+0.028061i,-0.0072126+0.0029887i,-0.002892+0.008979i
-0.013085+0.049437i,-0.0069255+0.018588i,-0.0049557+0.024243i,-0.012796+0.023342i,0.0064248+0.012129i,0.0039398+0.0037891i,-0.011169+0.034291i,0.014495+0.017965i,0.0099501+0.0054004i,-0.0036607+0.0022861i,0.0055504-0.00081737i,0.0010282+0.00048726i,0.0012421-0.0033194i,0.0036977+0.0038291i,0.0021541+0.0012242i,0.00058637+0.005418i,0.0030224+0.011001i,-0.0013287+0.00085794i,0.00082637-0.005166i,-0.0011378-0.0022866i,-0.002537-0.0033217i,0.00036923-0.0036621i,-0.0011424-0.0025382i,-0.013389+0.0045161i,-0.00019869-0.0013357i,-0.00038016+0.00034201i,-0.0018684+0.0009306i,7.8413e-05-0.00043077i,-0.0017121+4.2451e-05i,-0.0006026-2.2452e-05i,0.0026169+0.00053736i,0.0010648+0.00039519i,-0.00056699-0.00055155i,-0.00032875+0.00093695i,0.0011365+0.002753i,-0.0055993-0.0095028i,-0.00022674+0.0026407i,-0.0017417+0.00073641i,-0.0002891-0.00046767i,0.0010098-0.00082681i,-0.0011446-0.00059007i,-0.0018191-0.0014427i,-0.0012182+0.0027957i,-0.0015654-0.0029393i,-0.0032597+0.024162i,-0.035702-0.014555i,-0.021895+0.019705i,-0.033969-0.031545i,-0.066623-0.0084644i,-0.018671-0.0084723i,-0.0093339+0.03369i,-0.0092531+0.0060263i,-0.028244-0.007522i,-0.030637-0.0053612i,-0.029553+0.024458i,-0.0026739+0.0034012i,0.012318+0.02441i,0.012337-0.0031233i,-0.0046538+0.0017364i,-0.020119+0.015805i,0.0019314+0.00829i,0.00048074+0.0071581i,0.0027116-0.0049422i,0.0080435+0.0047263i,-0.00078192+0.0062567i,0.00015788+0.0038206i,0.0012631-0.00728i,0.0020769+0.0022803i,0.0024084+0.00057654i,-0.0033887+0.0043528i,-0.0026049-0.002355i,0.0058873-0.0029479i,0.0080584+0.0067258i,0.00042544+0.00016552i,-0.01485-0.02413i,0.0097944-0.0083584i,0.0023676-0.0053355i,0.004934+0.0019016i,4.5015e-05-0.00076532i,0.0065793-0.013768i,0.007042+0.00084752i,-0.0040061+0.0037542i,0.001994+0.0042646i,0.0073731-0.0043181i,0.0029208-0.011368i,-0.00065733-0.0020801i,0.0047955-0.0063078i,0.00046898-0.0016793i,0.0027636-0.00968i,-0.038499+0.013518i,-0.02678-0.0021846i,-0.0066438-0.014678i,-0.003039-0.00058235i,-0.0065737+0.026834i,-0.009946+0.0058318i,-0.0018152+0.0094138i
-0.0048543+0.050047i,-0.0049976+0.019326i,-0.0053199+0.025163i,-0.0084688+0.023356i,0.006542+0.0090882i,0.0040086+0.0026993i,-0.0030184+0.033514i,0.016054+0.013677i,0.010454+0.0031523i,-0.0024163+0.002278i,0.0040023-0.0018075i,0.0021138+0.0014818i,0.00017567-0.0031874i,0.0052755+0.002593i,0.0022059+0.00073906i,0.0034784+0.0062009i,0.007917+0.0088326i,-0.00092092+0.0011724i,-0.0010152-0.0052644i,-0.0019886-0.001753i,-0.0028195-0.0020739i,-0.00036159-0.0037229i,-0.0017122-0.0019994i,-0.011158+0.0062889i,-0.0015426-0.00096631i,-0.00085212+0.00022151i,-0.0016158+0.0012028i,-0.00028739-0.0012909i,-0.0013764+0.00044661i,-0.00048244-0.00010573i,0.0023546-0.00043733i,0.00097584-0.00042676i,-0.00070217-9.6003e-05i,-0.00015914+0.00093883i,0.001323+0.0023579i,-0.0090534-0.0085321i,0.00024717+0.0022542i,-0.0011115+0.0013819i,-0.00117+0.00046186i,0.00067935-0.00029947i,-0.0010906-0.0001804i,-0.0020606-0.00081443i,-0.00019151+0.0025368i,-0.0022712-0.00061177i,0.00063589+0.024991i,-0.030374-0.006229i,-0.017971+0.018175i,-0.039621-0.020782i,-0.06434+0.010432i,-0.022138-0.011154i,-0.0023404+0.026688i,-0.0064939+0.0016428i,-0.02691-0.0047483i,-0.030513-0.0024154i,-0.021525+0.029302i,-0.0028+0.0035947i,0.01886+0.011031i,0.010014-0.0076029i,-0.0055765+0.0057305i,-0.012294+0.023438i,0.0046695+0.0068574i,0.0044436+0.005525i,-5.5366e-05-0.001783i,0.0098014+0.0011302i,0.0016747+0.0077876i,0.0014644+0.0049945i,-0.0036064-0.0092039i,0.0010384+0.0053115i,0.0024029+0.0023686i,-0.00060051+0.0077364i,-0.0018388-0.00054031i,0.0044115-0.0039597i,0.0097181+0.0016923i,0.0010061-0.00050663i,-0.022738-0.021945i,0.0055624-0.010224i,4.3719e-05-0.0054794i,0.0049885-0.00085325i,0.00013128+0.00043422i,0.0040424-0.012959i,0.0068273-0.002539i,-0.0012636+0.0049157i,0.003595+0.0020731i,0.005654-0.0058072i,-0.0038964-0.010669i,-0.00090822-0.002263i,0.0014664-0.0056523i,-0.00013878-0.0025354i,-0.002296-0.0091164i,-0.034119+0.016243i,-0.024239+0.010993i,-0.011221-0.014473i,-0.0047866-0.001497i,-0.002886+0.026288i,-0.009196+0.01054i,0.0017156+0.0080812i
0.0033621+0.049226i,-0.0024417+0.020303i,-0.003621+0.027193i,-0.0052423+0.022315i,0.005682+0.0073779i,0.0041195+0.0016252i,0.0038551+0.030605i,0.016649+0.0098743i,0.010543+0.0013596i,-0.0018903+0.0023785i,0.0029362-0.001371i,0.0042862+0.0019187i,-0.00080596-0.0027057i,0.0057295-0.00018728i,0.0020504+0.00036947i,0.0060437+0.0053769i,0.010676+0.0047975i,-0.0005549+0.0014724i,-0.0023136-0.0045444i,-0.0024397-0.0007946i,-0.0024551-0.00090225i,-0.0013949-0.0035751i,-0.0020755-0.0014281i,-0.0099037+0.009186i,-0.0021371-0.00013718i,-0.0011804+0.00072575i,-0.0012142+0.0015429i,-0.0013417-0.00168i,-0.0010943+0.00047441i,-0.00063425-0.00019103i,0.0018344-0.0011672i,0.00083225-0.00050785i,-0.00037328-2.9791e-05i,6.4248e-05+0.00086858i,0.0019871+0.0012782i,-0.012313-0.0064562i,0.00078537+0.0021067i,-0.00061824+0.0014354i,-0.0010677+0.0010877i,0.00078543+1.3842e-07i,-0.00090697+0.00014823i,-0.0016916-0.00040494i,0.00039292+0.0019025i,-0.0019554+0.00069956i,0.0055364+0.024293i,-0.026451-0.0047126i,-0.015132+0.017375i,-0.039549-0.010618i,-0.054598+0.026071i,-0.025551-0.0087126i,0.0017977+0.021268i,-0.0064945-0.0027984i,-0.024911-0.0032058i,-0.029826+0.0021735i,-0.013397+0.032583i,-0.0018085+0.0038157i,0.013422-0.0014828i,0.0056319-0.011064i,-0.003927+0.0091144i,-0.0032692+0.024363i,0.005491+0.0041544i,0.0054381+0.0014611i,0.0010524-0.00030889i,0.0092616-0.0019956i,0.0063087+0.0068839i,0.0032276+0.0062158i,-0.0081879-0.0037441i,0.0034101+0.0070891i,0.0039494+0.0031149i,0.0035739+0.0076942i,-0.0012471+3.8064e-05i,0.0034219-0.0047322i,0.0093501-0.0046419i,-0.00057448-0.00084582i,-0.031146-0.012948i,0.0017981-0.010251i,-0.0019461-0.0041105i,0.0053532-0.00067635i,0.00063574+0.00060768i,0.0025438-0.014665i,0.0051206-0.0051032i,0.0010349+0.0040553i,0.0034287+0.00096139i,0.0042126-0.006302i,-0.0073232-0.006318i,-0.0021262-0.0020518i,-0.0010925-0.0050514i,-0.0015524-0.0031107i,-0.0051775-0.0068502i,-0.028714+0.01912i,-0.017848+0.011901i,-0.012312-0.013211i,-0.0062024-0.0012443i,0.0016818+0.024259i,-0.0075512+0.01241i,0.0021997+0.0053834i
0.011057+0.047105i,0.00092022+0.021177i,-2.7363e-05+0.02972i,-0.0024852+0.022038i,0.0047804+0.0069115i,0.0037829+0.00076875i,0.0093578+0.026438i,0.016837+0.0066891i,0.010793-0.0011316i,-0.0013598+0.0025068i,0.0030908-0.00083415i,0.0063302-0.00017937i,-0.0015696-0.0018855i,0.0038994-0.0015102i,0.0019892+0.00018977i,0.0079605+0.0032789i,0.011237+0.00089932i,0.0001662+0.0013i,-0.003359-0.0037203i,-0.0022277+0.00041269i,-0.0017057-0.00030915i,-0.0022403-0.0026205i,-0.0022929-0.00084069i,-0.0054153+0.011658i,-0.0023623+0.00088018i,-0.00086849+0.0013382i,-0.00088984+0.0018593i,-0.0026278-0.0010362i,-0.00098828+0.0005509i,-0.00078348-2.3945e-05i,0.0010343-0.0015657i,0.0011325-0.0013631i,-0.00054403-2.0401e-05i,0.00012443+0.00074146i,0.0018012+0.00043511i,-0.014885-0.0023997i,0.0012445+0.0016792i,-0.0002385+0.0016271i,-0.0011046+0.0013646i,0.0011574+0.00016158i,-0.00047101+0.0002709i,-0.0015673-0.00012133i,0.00043911+0.0012296i,-0.0011156+0.001732i,0.00974+0.021866i,-0.026807-0.0037241i,-0.013183+0.016204i,-0.038823-0.0023113i,-0.041176+0.034338i,-0.028895-0.0055699i,0.0055155+0.015213i,-0.0074623-0.0049069i,-0.024123-0.002476i,-0.027732+0.0071917i,-0.0044291+0.033516i,-0.0008232+0.0036292i,0.0063615-0.0033144i,0.00057384-0.012447i,5.8565e-05+0.012204i,0.0044395+0.021371i,0.0048359+0.0017877i,0.0042829-0.0021549i,0.00075682+0.00011211i,0.0075655-0.0054934i,0.0093601+0.0034112i,0.0060683+0.00593i,-0.0081289+0.00036436i,0.0063809+0.0076121i,0.0058248+0.002864i,0.0080111+0.0055544i,-0.00071019+0.00077339i,0.00288-0.0053766i,0.0055326-0.008401i,-0.00078252+0.0010305i,-0.034596-0.00042858i,-0.00076229-0.009558i,-0.0028304-0.0022086i,0.0057647-0.0018862i,0.00081281+0.00045812i,-0.0015557-0.016759i,0.0022926-0.006363i,0.002663+0.0035066i,0.0037027-5.3098e-05i,0.0037411-0.0070812i,-0.009141-0.0033412i,-0.0034459-0.0004869i,-0.003573-0.0033817i,-0.0025851-0.0028299i,-0.006605-0.0042147i,-0.024107+0.01978i,-0.016345+0.012167i,-0.013205-0.013957i,-0.0073234-0.000118i,0.003606+0.023186i,-0.0063588+0.013208i,0.0026467+0.0039789i
0.018582+0.043905i,0.0054742+0.021053i,0.006083+0.030762i,0.00049732+0.021731i,0.0050921+0.0074944i,0.0036001+0.00040283i,0.013118+0.021129i,0.017039+0.003654i,0.010204-0.0036949i,-0.0011476+0.0025959i,0.003411-0.0015526i,0.0057642-0.0034789i,-0.0018738-0.00089667i,0.0030173-0.0017003i,0.0020278-3.509e-05i,0.0081891+0.00035464i,0.010339-0.0029032i,0.00022921+0.00081457i,-0.0044782-0.0023927i,-0.0013154+0.0010335i,-0.00099644-0.0004959i,-0.0023116-0.0018956i,-0.002324-0.00014056i,-0.00071963+0.011527i,-0.0019289+0.0017905i,-0.00028986+0.0015769i,4.0876e-05+0.0020845i,-0.0032097+0.00035894i,-0.00072584+0.00051341i,-0.00078386+7.7955e-05i,0.00023125-0.001577i,5.2458e-05-0.0019831i,-0.00063376+0.00020893i,0.0001806+0.00068283i,0.0012437-0.00014318i,-0.014917+0.0026958i,0.0014157+0.0012001i,0.0004135+0.0015778i,-0.0010889+0.001742i,0.001501-9.9089e-05i,-0.00026856+6.0241e-05i,-0.0011724+6.4097e-05i,0.00011289+0.0008411i,-3.4854e-06+0.0022777i,0.012666+0.019418i,-0.02919+0.00029416i,-0.011546+0.015414i,-0.03372+0.0058292i,-0.028684+0.038867i,-0.031261+0.0015764i,0.0075868+0.0078362i,-0.0057359-0.007263i,-0.023246-9.5024e-05i,-0.02336+0.012194i,0.0036191+0.032073i,-0.00043131+0.0028728i,0.0022931-0.003489i,-0.0050485-0.012047i,0.0062837+0.011552i,0.0084078+0.016189i,0.0026706+0.00043277i,0.0022337-0.0047067i,0.0017835+0.0026261i,0.003786-0.0075889i,0.010388-0.0020351i,0.0084287+0.0038396i,-0.0073711+0.0043249i,0.010723+0.0064995i,0.0078842+0.00054459i,0.010047+0.00054052i,0.0001676+0.0013227i,0.0015013-0.0059925i,-0.00016881-0.0091907i,0.00096149+0.0024859i,-0.033332+0.012883i,-0.0028477-0.008776i,-0.0025215-0.00027989i,0.005482-0.0055967i,0.0013285+0.00082058i,-0.0080482-0.016181i,-0.00034471-0.006093i,0.0039999+0.0018168i,0.0038749-0.00036451i,0.0018484-0.0082941i,-0.0095591+0.0023139i,-0.0031796+0.0017391i,-0.0049388-0.0013253i,-0.0038908-0.0029088i,-0.0066129-0.001876i,-0.021869+0.020709i,-0.01543+0.016366i,-0.016393-0.016294i,-0.005696+0.0016617i,0.0077106+0.02248i,-0.0058431+0.015311i,0.0036932+0.001258i
0.025332+0.039266i,0.0098361+0.01935i,0.012445+0.02867i,0.0036824+0.020722i,0.0064077+0.007631i,0.0039265+0.00011982i,0.014783+0.015915i,0.016745+0.00065315i,0.0090696-0.0058954i,-0.00099098+0.0030412i,0.0028862-0.002338i,0.0034117-0.0051466i,-0.0018326-7.0956e-05i,0.0021236-0.0017711i,0.0020171-0.00033124i,0.0068204-0.0019782i,0.0081411-0.0054753i,0.00019657+0.00071569i,-0.0046696-0.00065019i,-0.00048034+0.0010065i,-0.00050155-0.00084092i,-0.0023789-0.0014302i,-0.0020366+0.00045853i,0.0026394+0.010405i,-0.0012365+0.0022756i,0.00023079+0.0016512i,0.00082+0.0016321i,-0.0028051+0.0017808i,-0.00070047+0.0003375i,-0.00099156+0.00028443i,-0.0004402-0.0012707i,-0.0012592-0.0016693i,-0.0003864+0.000403i,0.00039555+0.00068284i,0.00073829-0.00047817i,-0.012992+0.0070258i,0.0015673+0.00065526i,0.00078407+0.0010712i,-0.0004865+0.0023539i,0.0016744-0.00079736i,-0.00023674-5.5865e-05i,-0.0010722-0.00029261i,-0.0002143+0.00086119i,0.0010847+0.0021961i,0.015223+0.01743i,-0.028647+0.0075341i,-0.011443+0.014852i,-0.027445+0.0094324i,-0.015628+0.040361i,-0.029419+0.010722i,0.0058915+0.00070842i,-0.0063017-0.013051i,-0.02021+0.0012723i,-0.016439+0.016307i,0.012095+0.028329i,-0.00072118+0.0027206i,-0.001678-0.0021388i,-0.0096906-0.0087827i,0.010496+0.0070024i,0.010098+0.012751i,-0.00062573+0.0015151i,-0.00070803-0.0071299i,0.0054566+0.0017319i,-0.00029979-0.0071579i,0.007408-0.0062149i,0.0097601+0.00044068i,-0.0059011+0.006926i,0.014203+0.0011888i,0.0079-0.004153i,0.0089508-0.0047969i,0.0016287+0.0012622i,-0.00042526-0.0063148i,-0.0042207-0.0058669i,0.0031677+0.001399i,-0.025545+0.026872i,-0.0051154-0.0076203i,-0.0013225+0.00093848i,0.0017319-0.0071344i,0.002004+0.00038702i,-0.014059-0.012116i,-0.0015918-0.0043088i,0.004156-0.00058177i,0.0036771-0.0014821i,-0.0008024-0.0083115i,-0.0057669+0.0068797i,-0.0017547+0.003261i,-0.0051887+0.0018861i,-0.0058674-0.0020439i,-0.0062736-0.00066551i,-0.017579+0.024379i,-0.0074928+0.020725i,-0.022753-0.015362i,-0.0033985+0.0003006i,0.010885+0.019877i,-0.0033926+0.018157i,0.0027297-0.002254i
