-0.03129-0.038866i,-0.021478-0.019137i,-0.013484-0.035589i,-0.029818-0.020031i,-0.022366+3.8275e-05i,-0.013679-0.0055783i,-0.054944-0.058035i,-0.046828-0.017464i,-0.038749-0.012066i,0.011371+0.010713i,-0.0079373+0.0045705i,-0.019471+0.018985i,0.0018494+0.010988i,-0.0064728-0.0024742i,0.00015095+0.0013987i,-0.0016878+0.030464i,0.025448+0.030312i,0.0024903-0.0022186i,-0.002562-0.0070416i,0.0072502+0.0024575i,0.0026767+0.00097925i,0.00038226+0.0045006i,-0.00031344+0.00025183i,-0.033337-0.011622i,-0.00057145-0.0082279i,0.0012852+0.0021049i,0.0077164+0.00094i,0.0016974+0.0009236i,0.0010981-0.00028476i,-0.00062824-0.0025742i,0.001525-0.0025086i,-0.0024452-0.0063062i,-0.00050886-0.0047746i,0.0029561-0.00057519i,0.0045836-0.0027977i,0.00070194+0.031142i,0.0038895-0.0035098i,0.0031199-0.0016495i,0.0075159-0.0014258i,-0.0068481-0.002329i,-0.00020722+0.0008487i,0.0093617-8.9229e-05i,0.0043791-0.0027863i,-0.0013775+0.0089135i,-0.017899-0.0073366i,-0.018441+0.015284i,-0.00349-0.061182i,-0.0049715-0.026908i,-0.027128-0.032234i,-0.010647-0.026823i,0.055205-0.020009i,0.016483-0.042804i,0.022942-0.047904i,0.0047831-0.05499i,0.026386-0.021711i,0.0081675+0.0059362i,0.025359-0.033249i,-0.0077147-0.0066233i,0.0039449-0.0050412i,-0.0044782-0.0073233i,-0.0015247-0.033247i,-0.017525+0.029815i,0.0090196-0.012017i,-0.0092774-0.0043663i,-0.0042789-0.0012961i,0.00084674-0.013163i,-0.010813+0.0041756i,0.0025723+0.010455i,-0.0037013+0.02587i,0.0048911+0.0026216i,-0.0057015-0.0017239i,-0.0021779-0.0022273i,-0.012866-0.0077065i,-0.00061022-0.0039081i,-0.036001+0.006757i,0.00083457-0.010861i,-0.0085652+0.00039765i,-0.0068676-0.0024963i,0.0049843+0.0012646i,-0.0079379-0.00027503i,0.0022017+0.00019862i,0.0039995+0.0071569i,0.0043158+0.00059177i,-0.0088546-0.012493i,0.002522+0.0096319i,-0.014848+0.0063119i,0.0065685+0.00066199i,-0.022418-2.7389e-05i,-0.017525+0.0063074i,-0.0096227-0.068005i,0.0080964-0.013519i,-0.0487-0.022746i,-0.021646+0.00068112i,0.018004+0.011183i,-0.023053+0.013855i,-0.01927-0.0051718i
-0.038079+0.031974i,-0.016112+0.019082i,-0.020822+0.042476i,-0.026647+0.013683i,-0.0042547+0.021037i,-0.00066923+0.00768i,-0.029758+0.017173i,-0.0043775+0.02991i,0.0080218+0.017537i,-0.0060831-0.0056569i,0.0026294+0.003718i,0.0076833-0.00031671i,0.0055783+0.00038462i,-0.00048735+0.0032929i,0.00063584+0.0021111i,0.0069192-0.0047406i,-0.0060715-0.0009381i,-0.0031762-2.063e-05i,0.0039576-0.0012318i,-5.0446e-05-0.00098907i,0.0029057-0.0049706i,0.0016288-0.0028386i,0.0014061-0.0024921i,-0.0089996-0.010862i,-0.0010171+0.0026349i,-0.0015092+0.00026252i,-0.0041524-0.0016409i,-0.0026627+9.2557e-05i,-0.0010988-0.0017043i,3.7933e-05-0.00051641i,-0.00095402+0.0046602i,0.0007268+0.00085194i,0.0014871+0.0014167i,-0.00035904+0.00079309i,-0.0026638+0.0030992i,-0.00098073-0.0069785i,-0.0023873+0.0014018i,0.00085355-0.00049741i,-0.001434+0.0037222i,0.0034726+0.003235i,-0.00070095-0.0015022i,-0.00048078-0.0031632i,-0.0038169+0.00017699i,0.0040692-6.3676e-05i,-0.015385+0.025085i,0.0074775-0.035935i,-0.0537+0.0047796i,0.0076329-0.03161i,-0.031029-0.048992i,-0.029079-0.01985i,-0.061971+0.021598i,-0.037733+0.0015051i,-0.033259-0.0073605i,-0.028892-0.020641i,-0.037267-0.022143i,-0.0051443+0.0029917i,-0.028061+0.0096302i,0.0061167+0.018517i,0.0025384+0.0082437i,-0.0023881-0.0063354i,0.0019817+0.0011096i,-0.014647-0.0055304i,0.0069107+0.011235i,-0.001085+0.0055424i,-0.0019862-0.0014854i,0.0011987+0.0018987i,0.0040648-0.00098972i,-0.003419+0.018477i,0.0021757+0.015958i,0.0043247-0.00013914i,0.0095746-0.0067491i,0.0042604+0.0029864i,-0.0085817-0.0074245i,-0.00079991-0.0029773i,0.025726-0.037626i,0.0078165+0.010451i,0.0050669+0.0023511i,-0.003049+0.0029018i,0.0034753-0.005551i,0.020887+0.0084975i,0.0027842+0.0028466i,-4.0533e-05-0.0070673i,0.00086963-0.0028255i,0.01362+0.008781i,0.0045003+0.0016594i,0.0024784-0.0047138i,0.0034137+0.0087071i,-0.00032146+0.00084362i,0.009371+0.0030007i,-0.046276-0.01257i,-0.0069364+0.011296i,-0.0025303-0.0046428i,-0.0067407+0.0058644i,-0.036938+0.012634i,-0.0055637+0.0072204i,-0.0093318+0.012654i
-0.032582+0.036852i,-0.012791+0.019021i,-0.010022+0.038033i,-0.023674+0.016502i,-0.0015897+0.019147i,0.00070524+0.0075473i,-0.02845+0.022034i,0.0015485+0.029195i,0.010001+0.01227i,-0.0068581-0.0027467i,0.0039015+0.0041146i,0.0067288-0.0029508i,0.0049979-0.0016298i,0.0017352+0.0038121i,0.00092476+0.0021893i,0.002242-0.004439i,-0.0073363+0.0028366i,-0.0027416+0.0011955i,0.004345-0.002185i,0.00013728-0.00094842i,0.0012588-0.0052219i,0.00127-0.0025235i,0.00078204-0.0025538i,-0.011251-0.0077545i,0.00026995+0.0021202i,-0.0015519+0.00069597i,-0.003846+0.00024224i,-0.0020275+0.00077332i,-0.0016524-0.0013088i,0.00013819-0.00044891i,0.0010555+0.0043562i,0.00033753+0.00084737i,0.001796-3.9118e-05i,-0.00057709+0.00077201i,-0.0025196+0.0035099i,-0.00075401-0.0059728i,-0.0020016+0.0019524i,-0.00010034-0.0011227i,-0.00059451+0.0042219i,0.0036023+0.0011023i,-0.00086603-0.0012723i,-0.0022656-0.0028708i,-0.0037393+0.0013847i,0.004287-0.0009639i,-0.011177+0.02414i,-0.0057697-0.041545i,-0.046864+0.015547i,-0.0015527-0.038924i,-0.04539-0.043255i,-0.029902-0.013023i,-0.050598+0.033012i,-0.034492+0.0097592i,-0.024444-0.0093488i,-0.030466-0.016199i,-0.042046-0.0077147i,-0.004271+0.0028189i,-0.023475+0.021778i,0.011015+0.013266i,0.0053627+0.0049347i,-0.0083775-0.0078091i,-0.0011697+0.0034421i,-0.011257+0.0046819i,0.010426+0.0074965i,0.00039348+0.0079051i,-0.0020135-0.00019557i,0.0020122+0.0030079i,0.0041855-0.0016169i,0.0054112+0.01471i,0.0085452+0.0088908i,-5.7096e-05-0.0036397i,0.0031514-0.0079403i,0.0046285+0.0025257i,-0.013479+0.00055903i,-0.0021519-0.00067057i,0.0091825-0.040319i,0.011712+0.0080953i,0.0066102-6.29e-06i,0.0004148+0.0028408i,-0.00032215-0.0033061i,0.022066-0.0017962i,0.0030297+0.0012678i,-0.0032569-0.0052884i,-0.0028976-0.0015873i,0.012274+0.0014525i,0.0047075+0.0019491i,0.00074916-0.0033282i,0.0065496+0.0071916i,-0.00063268+0.0022364i,0.0096348-0.0004129i,-0.049087-0.007924i,-5.0172e-05-0.002636i,-0.0011521-0.0040339i,-0.0042491+0.0055779i,-0.029966+0.024911i,-0.003626+0.0079113i,-0.0062073+0.019041i
-0.025901+0.041264i,-0.010451+0.018911i,-0.005181+0.031309i,-0.02094+0.019378i,0.0019338+0.018315i,0.0021996+0.0069703i,-0.024636+0.02752i,0.0071669+0.027024i,0.0092677+0.0085306i,-0.0069898-8.9782e-05i,0.0058227+0.0033092i,0.0026775-0.0039811i,0.0040552-0.0027609i,0.0024274+0.0032033i,0.0014518+0.0023148i,-0.0011588-0.0017698i,-0.006153+0.0067039i,-0.0013429+0.00182i,0.0039029-0.0041064i,0.00043523-0.0015962i,-0.00026608-0.0049747i,0.0013145-0.0030549i,0.00029489-0.0026155i,-0.012931-0.0041573i,0.00086515+0.0016054i,-0.0010655+0.0014709i,-0.0027696+0.00079997i,-0.00081709+0.0012069i,-0.0017735-0.0010193i,-0.00011408-0.00078576i,0.0020103+0.0031999i,0.00056444+0.0010284i,0.0011895-0.00058446i,-0.00039567+0.00077611i,-0.00088147+0.0045765i,-0.00016173-0.0060641i,-0.0019662+0.0023387i,-0.00096613-0.0009801i,0.0020302+0.0029743i,0.002964-0.00012253i,-0.00096961-0.00090212i,-0.0019137-0.0011132i,-0.003343+0.0024462i,0.0038677-0.0026986i,-0.0082706+0.02392i,-0.021803-0.039578i,-0.036784+0.02146i,-0.013045-0.040873i,-0.053579-0.033894i,-0.026418-0.0071364i,-0.034711+0.038813i,-0.023161+0.014757i,-0.02674-0.012556i,-0.030715-0.012517i,-0.040454+0.0074103i,-0.0036385+0.0028526i,-0.012024+0.028859i,0.013328+0.0068975i,0.0035595+7.5536e-07i,-0.016734-0.0048418i,-0.00065333+0.005275i,-0.0061014+0.0077008i,0.011625+0.0018432i,0.003682+0.0080255i,-0.0037081+0.0016726i,0.00223+0.0011848i,0.0040255-0.0031858i,0.0080201+0.0078436i,0.008297+0.003428i,-0.004705-0.0004441i,0.00042804-0.006188i,0.0062823+0.0014508i,-0.0070793+0.0083335i,-0.00042659+0.0014435i,-0.0072949-0.034429i,0.015485+0.0019013i,0.0059403-0.0019573i,0.001092+0.0015192i,-0.00010577-0.00139i,0.017055-0.0096242i,0.0014559+0.0028673i,-0.0051135-0.0027925i,-0.0033967+0.0024755i,0.0098008-0.0031746i,0.0089053-0.00032657i,0.00082303-0.0033749i,0.010091+0.0032961i,0.0025986+0.0025658i,0.0083451-0.0035496i,-0.052085+0.0015903i,-0.0092649-0.011781i,0.001512-0.0078252i,-0.0023488+0.0033491i,-0.017941+0.028268i,-0.0039716+0.0031819i,-0.001966+0.010698i
-0.018381+0.043888i,-0.0075981+0.019645i,-0.0039884+0.026501i,-0.016767+0.022082i,0.005137+0.015263i,0.0036782+0.0054746i,-0.018479+0.032074i,0.011836+0.023065i,0.0086928+0.0071406i,-0.006216+0.0025128i,0.0065807+0.0012367i,0.00049641-0.0013923i,0.0023936-0.0034814i,0.0021295+0.0033318i,0.0016538+0.0017278i,-0.0015867+0.002262i,-0.0024811+0.0095706i,-0.00042211+0.0014377i,0.0022965-0.0052245i,-0.00032712-0.0022288i,-0.001554-0.004247i,0.00090939-0.0033009i,-0.00025035-0.002808i,-0.013668+0.00083767i,0.0012655+0.00056948i,5.9632e-07+0.00097242i,-0.0033001+0.00054539i,0.00014293+0.00040422i,-0.002138-0.00041562i,-0.00047221-0.00046959i,0.0026785+0.002362i,0.0010404+0.0008672i,0.00057209-0.00087031i,-0.00018228+0.0008071i,0.0011846+0.0037601i,-0.0011919-0.0080266i,-0.0010477+0.0031447i,-0.0014033-0.00032647i,0.0018717+8.6323e-05i,0.0025581-0.00054681i,-0.00091236-0.00047687i,-0.00127-0.0011805i,-0.0025027+0.003373i,0.0012323-0.0048961i,-0.005222+0.024379i,-0.034116-0.027633i,-0.027716+0.02189i,-0.024372-0.037885i,-0.06186-0.023046i,-0.021185-0.0055154i,-0.021143+0.037589i,-0.013247+0.011019i,-0.027464-0.0096208i,-0.031474-0.007929i,-0.032126+0.017016i,-0.0035435+0.003177i,-0.00028164+0.028756i,0.015149+0.00298i,-0.0011555-0.00071585i,-0.022307+0.0050863i,-0.00021018+0.0067152i,-0.0023074+0.0069867i,0.0088206-0.004012i,0.0064495+0.006761i,-0.0027583+0.0046505i,0.00023279+0.0017195i,0.0032565-0.0057501i,0.0062097+0.0020334i,0.0055909+0.00044248i,-0.0030616+0.0027836i,-0.0015374-0.0046674i,0.0065726-0.00070613i,0.0014607+0.0086068i,0.00061086+0.00073757i,-0.012303-0.025946i,0.013636-0.0042573i,0.0052366-0.0045492i,0.0016539+0.0020715i,-9.7564e-05-0.0015703i,0.011323-0.012521i,0.0049944+0.0036529i,-0.0056888+9.2191e-05i,-0.00085487+0.0045268i,0.0076413-0.0035154i,0.0083354-0.0054107i,-0.00079038-0.0032244i,0.0090568-0.0023913i,0.0029473-0.00056565i,0.00699-0.0066152i,-0.04739+0.013381i,-0.018826-0.010596i,-0.0030848-0.012559i,-0.002058+0.00068309i,-0.012233+0.027889i,-0.0074748+0.0031586i,-0.0023655+0.0088079i
-0.0114+0.044854i,-0.0052149+0.019396i,-0.0048756+0.024274i,-0.012154+0.023338i,0.0067653+0.011957i,0.0039399+0.0037136i,-0.010951+0.033928i,0.014892+0.018313i,0.009458+0.006216i,-0.0039572+0.0042524i,0.0065412-0.0014882i,0.00099582+0.00065872i,0.0012638-0.0034721i,0.003455+0.0037411i,0.0021151+0.0012426i,0.0001756+0.0048981i,0.0021333+0.010235i,-0.00017753+0.001116i,0.00074148-0.0053661i,-0.0012243-0.0021342i,-0.0027079-0.0033063i,0.00026972-0.0034367i,-0.0011569-0.002673i,-0.010207+0.004724i,0.0019385-0.0017915i,-0.00010611+6.1894e-05i,-0.0013156+0.00023272i,0.00016737-0.00064964i,-0.0017716+0.00063058i,-0.00023628-0.00026054i,0.0030247+0.00070767i,0.0017432-0.00016703i,-0.00021982-0.00068305i,-0.00023751+0.00082311i,0.0017774+0.0026592i,-0.0040902-0.0091431i,-2.564e-05+0.0030687i,-0.00029658+0.0012655i,0.00018247-0.00029212i,0.0019623-0.00057367i,-0.00076894-0.00032795i,-0.0014717-0.0012957i,-0.00093887+0.0037211i,-0.0016075-0.003603i,-0.001286+0.025074i,-0.034419-0.013499i,-0.021566+0.020322i,-0.034008-0.031206i,-0.066924-0.0074311i,-0.018211-0.0080802i,-0.010031+0.033422i,-0.0088895+0.0054849i,-0.027352-0.0080827i,-0.030531-0.0039518i,-0.027422+0.021934i,-0.0027167+0.0034604i,0.012159+0.024367i,0.012454-0.0025906i,-0.0045308+0.0018287i,-0.020655+0.014611i,0.0020987+0.0076886i,0.00015676+0.007363i,0.0026246-0.0051521i,0.0082691+0.0047174i,-0.00050993+0.0060597i,0.00031883+0.0040026i,0.00096302-0.0068056i,0.0017213+0.00243i,0.002828+0.0011864i,-0.002324+0.0045081i,-0.0024921-0.0022678i,0.0058354-0.0028957i,0.0057114+0.005489i,0.00082689-3.4018e-05i,-0.016031-0.02366i,0.0096103-0.0081265i,0.0023271-0.005652i,0.0049776+0.0020109i,-0.00035431-0.00069448i,0.0074961-0.01314i,0.0073147+0.00074793i,-0.0039687+0.003449i,0.0022462+0.0044752i,0.0072515-0.0038367i,0.0041209-0.011872i,-0.0007284-0.0021231i,0.0049538-0.0051741i,0.00087757-0.0016826i,0.0030216-0.0095813i,-0.038395+0.01822i,-0.02704-0.0034556i,-0.0057136-0.015619i,-0.0029819-0.0015347i,-0.0069511+0.026376i,-0.010292+0.0061494i,-0.0015471+0.0090282i
-0.0047802+0.045264i,-0.0031723+0.019532i,-0.0050022+0.025265i,-0.0077949+0.023281i,0.0068617+0.0089791i,0.004008+0.0026006i,-0.0029169+0.03305i,0.016508+0.013895i,0.010543+0.004046i,-0.0021458+0.0041307i,0.004125-0.0025314i,0.0021067+0.0016382i,0.0001885-0.0033294i,0.0051501+0.0024561i,0.0021885+0.0007258i,0.0028922+0.0058129i,0.0066473+0.008522i,4.5885e-06+0.0010817i,-0.0011031-0.0052339i,-0.0019719-0.0016596i,-0.0028736-0.0020004i,-0.00035856-0.0035782i,-0.0018349-0.0021127i,-0.0078285+0.004753i,-0.00067687-0.00082379i,-0.00073906-6.792e-05i,-0.001277+0.00094975i,-0.00039661-0.0015706i,-0.00088042+0.00078238i,-0.00014278-0.00042934i,0.0027634-0.00083254i,0.0014507-0.0012578i,-0.00059172-0.0003765i,-0.00012497+0.00077822i,0.0019519+0.0020538i,-0.0073357-0.0086531i,0.00056439+0.0025192i,-0.0015539+0.0017758i,-0.001024+0.00054976i,0.0017894-0.00026971i,-0.00059673-4.9057e-05i,-0.0019503-0.00058195i,0.00018411+0.003385i,-0.0025188-0.0011811i,0.002959+0.025458i,-0.029486-0.0054262i,-0.017591+0.018527i,-0.039236-0.020312i,-0.064394+0.011547i,-0.021698-0.011248i,-0.0032034+0.026817i,-0.0065952+0.0010948i,-0.026638-0.005496i,-0.029636-0.00039265i,-0.022196+0.028186i,-0.0028091+0.0035948i,0.018996+0.010565i,0.010592-0.0071529i,-0.0055746+0.0058754i,-0.013516+0.022539i,0.0044926+0.0067045i,0.0037261+0.005145i,2.3573e-05-0.001819i,0.009884+0.0012417i,0.0017626+0.0071087i,0.0017607+0.005157i,-0.0033718-0.0090039i,0.0012881+0.0057598i,0.0030498+0.0025561i,1.6874e-05+0.0075387i,-0.0016814-0.00046032i,0.004261-0.0039196i,0.0086765+0.00165i,0.0010727-0.00094254i,-0.023189-0.021454i,0.005584-0.0099657i,-1.233e-05-0.005304i,0.0043863+0.00096651i,0.00027947+0.0005064i,0.0049342-0.012579i,0.0073298-0.0025128i,-0.0010941+0.0045222i,0.0040875+0.001803i,0.0057155-0.0056321i,-0.0042139-0.010729i,-0.00076279-0.0024252i,0.0019041-0.0042591i,0.00049709-0.0027575i,-0.0016565-0.0089708i,-0.033517+0.020937i,-0.024454+0.010471i,-0.011151-0.014769i,-0.0053146-0.0024246i,-0.0033729+0.025547i,-0.00901+0.010861i,0.0019681+0.0080274i
0.002117+0.044985i,-0.00063447+0.019996i,-0.0031606+0.027216i,-0.0046115+0.022234i,0.0058773+0.007273i,0.0041595+0.0015061i,0.0038611+0.030289i,0.016816+0.0099415i,0.011237+0.0018751i,-0.0012907+0.004052i,0.0028905-0.0019597i,0.004336+0.0018981i,-0.00086271-0.0028132i,0.0056301-0.00028061i,0.0019705+0.00034192i,0.0053691+0.0052498i,0.0093932+0.0050198i,0.00030265+0.0011546i,-0.002365-0.0045114i,-0.0022834-0.00076914i,-0.0025515-0.00087464i,-0.00132-0.0034759i,-0.002252-0.0014574i,-0.0073708+0.0063909i,-0.0010526-0.00030155i,-0.0012268+0.00042265i,-0.00094333+0.0013817i,-0.0016246-0.0016364i,-0.00077384+0.00056598i,-0.0003659-0.00065021i,0.0020775-0.0017672i,0.00066224-0.0014814i,-0.0002304-0.00017432i,8.6109e-05+0.00073655i,0.0024103+0.00089345i,-0.010783-0.0070041i,0.0011354+0.0022402i,-0.00075214+0.0015266i,-0.0012986+0.0013215i,0.001962-0.00021537i,-0.00038498+9.4457e-05i,-0.0013121+0.00021721i,0.00074534+0.0026778i,-0.0022033+6.1614e-05i,0.0081603+0.024057i,-0.025858-0.0036825i,-0.014766+0.017429i,-0.039435-0.01053i,-0.053994+0.027054i,-0.02525-0.0088333i,0.0013904+0.021632i,-0.0070228-0.0030567i,-0.025149-0.0040141i,-0.027784+0.0038655i,-0.014421+0.032235i,-0.0017161+0.0036563i,0.013255-0.0014313i,0.0063432-0.011233i,-0.0038607+0.009116i,-0.0045608+0.024891i,0.005468+0.0045262i,0.004581+0.0011428i,0.0012296-0.00042412i,0.0092359-0.0023145i,0.0060688+0.0065379i,0.0035299+0.0061195i,-0.0080155-0.0036265i,0.0042695+0.0074808i,0.0043038+0.0028134i,0.0039801+0.0085997i,-0.0011345+6.9396e-05i,0.0031835-0.0044491i,0.009656-0.0046452i,-0.00076248-0.0011797i,-0.031875-0.012548i,0.0018821-0.010291i,-0.0018075-0.0042297i,0.0045683-0.00057519i,0.0005568+0.00038165i,0.0034153-0.014478i,0.0056119-0.005173i,0.001013+0.003531i,0.0040719+0.00057243i,0.0041995-0.006281i,-0.0070746-0.005975i,-0.0021866-0.002456i,0.00021113-0.0049209i,-0.0012337-0.0035204i,-0.0043494-0.0069636i,-0.027471+0.023119i,-0.017953+0.011227i,-0.012435-0.013076i,-0.0072027-0.0017514i,0.00013998+0.023856i,-0.006961+0.012601i,0.0024914+0.0052912i
0.0089603+0.043551i,0.0026113+0.020443i,0.00049656+0.029583i,-0.0016628+0.021884i,0.0049412+0.0067529i,0.0038579+0.00063989i,0.0092688+0.026315i,0.016766+0.0068012i,0.011643-0.0011322i,-0.00033444+0.0041549i,0.0028161-0.0013799i,0.0063141-0.00027149i,-0.0016821-0.0019439i,0.0039219-0.0016379i,0.0019116+0.00020694i,0.0072035+0.0033926i,0.010558+0.0017641i,0.0008349+0.00071703i,-0.0034997-0.0036737i,-0.001988+0.00025045i,-0.001869-0.00020619i,-0.0021146-0.0026183i,-0.0024789-0.00081214i,-0.0053363+0.0081547i,-0.0013359+0.00025198i,-0.0010007+0.0011104i,-0.00054832+0.0016731i,-0.0027049-0.00076125i,-0.00081768+0.00058319i,-0.00068996-0.00057513i,0.0012282-0.0022645i,0.0007045-0.0021603i,-0.00046837-0.00029381i,8.8077e-05+0.0005205i,0.0020466-0.00032746i,-0.013685-0.0034111i,0.0016325+0.0016235i,-0.00047821+0.0015516i,-0.0013385+0.0017607i,5.6626e-05+0.001687i,6.7525e-05+0.00011413i,-0.00075148+0.00034152i,0.0009499+0.0019248i,-0.001727+0.00090512i,0.012166+0.020709i,-0.026055-0.0027527i,-0.013025+0.016195i,-0.038902-0.0021444i,-0.040107+0.034751i,-0.028674-0.005695i,0.0052523+0.015676i,-0.0082268-0.0045721i,-0.024466-0.0029103i,-0.024963+0.0080196i,-0.0053907+0.03274i,-0.00085819+0.0035338i,0.006336-0.0032521i,0.00075917-0.012957i,9.5183e-05+0.012153i,0.0035055+0.02258i,0.0050117+0.0023968i,0.0033323-0.0018988i,0.00066505+2.7929e-06i,0.0070662-0.0057823i,0.0092702+0.0033797i,0.0061328+0.0056434i,-0.0078781+0.00050308i,0.0075123+0.0073193i,0.0057855+0.0027821i,0.0090395+0.0057038i,-0.00074847+0.0007356i,0.0028219-0.0050351i,0.0055695-0.0089894i,-0.0010512+0.00099818i,-0.03543-0.00036389i,-0.00079649-0.0096851i,-0.0028317-0.0023375i,0.0053843-0.0034767i,0.00047631+0.00022969i,-0.0009206-0.017092i,0.0028228-0.0065519i,0.0024575+0.0030655i,0.0042137-0.00066869i,0.0036832-0.0072054i,-0.0087994-0.0031963i,-0.0036806-0.00087312i,-0.0031879-0.0040365i,-0.0025053-0.0034109i,-0.0056465-0.0047001i,-0.022623+0.023451i,-0.016474+0.011254i,-0.013295-0.013562i,-0.0083311+6.8598e-05i,0.0019263+0.0235i,-0.0056871+0.013053i,0.0028791+0.003754i
0.015648+0.041216i,0.0069039+0.019826i,0.0067981+0.030361i,0.0012133+0.02119i,0.0053066+0.0073722i,0.0036387+0.00020599i,0.013001+0.021067i,0.016837+0.00391i,0.010891-0.0041834i,0.00064974+0.003974i,0.0028898-0.0019552i,0.0057043-0.0034415i,-0.0020246-0.0008939i,0.0030764-0.0018417i,0.001964+3.8492e-05i,0.0075443+0.00076701i,0.010333-0.00155i,0.00058054+0.00010988i,-0.0047169-0.002302i,-0.0012968+0.00059045i,-0.0010597-0.00020726i,-0.002254-0.0020057i,-0.0024531-5.4097e-05i,-0.002262+0.0092843i,-0.0012116+0.00081243i,-0.00042952+0.0014115i,7.5537e-05+0.0017535i,-0.0030019+0.00051595i,-0.00062835+0.00052688i,-0.00088732-0.00044907i,0.00012232-0.0025304i,-0.0006994-0.0026335i,-0.00066637+6.1178e-05i,7.6688e-05+0.00046642i,0.0012754-0.0008715i,-0.01413+0.0014608i,0.0016839+0.00099408i,0.00018617+0.0016883i,-0.0012093+0.0022183i,0.00064113-0.00089264i,0.00042506-0.00015076i,-0.00025828+0.00024561i,0.00066497+0.0015377i,-0.0010829+0.0014121i,0.014578+0.017779i,-0.028285+0.0011441i,-0.011394+0.015544i,-0.033691+0.0062644i,-0.02749+0.038409i,-0.031224+0.0014867i,0.007804+0.0083701i,-0.0063991-0.0067724i,-0.023647-0.00018671i,-0.020277+0.011842i,0.0010681+0.032636i,-0.00049034+0.0027912i,0.0022984-0.0032671i,-0.0052112-0.01235i,0.006499+0.011452i,0.0087057+0.018136i,0.002909+0.0011202i,0.0016703-0.0038917i,0.0018074+0.0025827i,0.0033349-0.0076512i,0.010311-0.002104i,0.0085389+0.0036606i,-0.0072757+0.004275i,0.011326+0.0052211i,0.0081949+0.00045511i,0.010096-0.00012384i,0.00012969+0.0013271i,0.0014966-0.0058134i,-0.00064662-0.0092761i,0.00086848+0.0024671i,-0.034378+0.013212i,-0.0033495-0.0093037i,-0.0024658-0.00026036i,0.0043741-0.0062364i,0.0011086+0.00089875i,-0.0077605-0.016221i,2.1329e-05-0.0062611i,0.0037636+0.0017226i,0.0036013-0.00095855i,0.0017776-0.008974i,-0.0089631+0.0020162i,-0.0034039+0.0015459i,-0.0046882-0.001283i,-0.0040576-0.0031885i,-0.0059505-0.0027293i,-0.020021+0.024653i,-0.016229+0.01567i,-0.016118-0.01625i,-0.0057639+0.002349i,0.0062917+0.022974i,-0.0053637+0.015179i,0.0037525+0.0011737i
0.021932+0.037817i,0.0109+0.017621i,0.013036+0.028088i,0.0041502+0.020113i,0.0066316+0.007412i,0.003903-7.8807e-05i,0.014746+0.015953i,0.016525+0.0010432i,0.0093563-0.0065174i,0.0012325+0.0038572i,0.002323-0.0024093i,0.0033126-0.0050183i,-0.0020348+2.2338e-05i,0.0020675-0.0019098i,0.0019575-0.00023877i,0.0066213-0.0012261i,0.0088594-0.0048989i,0.00034021+9.7347e-06i,-0.0049882-0.00039334i,-0.00073096+0.00094593i,-0.00043441-0.00058048i,-0.0024133-0.0016459i,-0.0020938+0.00054823i,0.00082117+0.0092385i,-0.00085826+0.00099669i,1.0758e-05+0.0014989i,0.00065757+0.0013621i,-0.0024922+0.0017669i,-0.00067148+0.00039862i,-0.0012493-0.0001361i,-0.00092883-0.0021906i,-0.0025434-0.0017103i,-0.00042513+0.00018886i,0.00021333+0.00045837i,0.00044154-0.001142i,-0.012534+0.0053052i,0.0017127+0.00042447i,0.00065248+0.0013033i,-0.00030946+0.0031016i,0.00079573-0.0013774i,-0.0002-0.00048442i,0.00035689-0.00042372i,0.00037245+0.0015932i,-0.00040342+0.0016354i,0.01678+0.015445i,-0.027496+0.0084429i,-0.0113+0.014924i,-0.027111+0.0097965i,-0.014958+0.039442i,-0.02949+0.010644i,0.0061051+0.0014982i,-0.0070935-0.011948i,-0.019906+0.0013771i,-0.013801+0.015085i,0.011787+0.029177i,-0.00107+0.002614i,-0.0015167-0.0019747i,-0.0099136-0.0088765i,0.010462+0.0070098i,0.010446+0.012354i,2.6653e-05+0.0020702i,-0.00056824-0.0061017i,0.0054774+0.0013125i,-0.00052436-0.0070938i,0.0073295-0.0060839i,0.0098165+7.7767e-05i,-0.0057588+0.0068325i,0.014263-0.00049432i,0.0081004-0.0041653i,0.0090627-0.0055695i,0.0013692+0.0012289i,-0.00033743-0.0061239i,-0.0044331-0.0056119i,0.0028487+0.0013922i,-0.023506+0.03007i,-0.0054247-0.0083049i,-0.0011734+0.00086975i,0.000884-0.0084172i,0.0019756+0.00059656i,-0.013786-0.012068i,-0.00089241-0.0044419i,0.0039866-0.00064059i,0.003075-0.0015452i,-0.00099647-0.0088681i,-0.0052129+0.006581i,-0.0020272+0.0030104i,-0.0046099+0.0021807i,-0.0058805-0.0022211i,-0.0059333-0.001616i,-0.014615+0.028356i,-0.0081926+0.020398i,-0.023767-0.01478i,-0.0029131+0.00072043i,0.0099099+0.020875i,-0.0029169+0.017835i,0.0028321-0.0022725i
