-0.024849-0.0043374i,-0.021351-0.007915i,-0.012851-0.013588i,-0.035345-0.0082835i,-0.027177+0.0016816i,-0.035892-0.0026279i,-0.069041-0.035323i,-0.033681-0.014928i,-0.022964+0.0031714i,0.0066766+0.0056233i,-0.0054771+0.0070285i,-0.0083458+0.017968i,0.0053366+0.0079017i,-0.0012595+0.0035151i,0.0040895+0.0041122i,0.0052012+0.025246i,0.023453+0.019629i,0.0013089-0.00070814i,0.00047484-0.0051924i,0.0089346+0.00032601i,0.0051757-0.0016247i,0.0024068+0.0023359i,0.0010514-0.00050407i,-0.023622-1.0948e-06i,-0.0063512-0.0036137i,-0.0012803+0.0030272i,0.0034681-0.0038218i,-0.0018127-0.00010919i,-0.00066558+0.0011182i,-0.0024874-0.0016867i,-0.0037675-0.00053763i,-0.0070491-0.0091702i,-0.0045491-0.006089i,-0.00074195+9.7908e-05i,-0.00064973-0.0023208i,-0.00094419+0.020764i,0.0027261-0.00405i,0.0011252-0.0045467i,0.002529-0.0021859i,-0.0025933-0.003785i,0.00081596-0.00011744i,0.0066173-0.00052146i,0.0038882-0.002087i,0.00020201+0.0022176i,-0.013759+0.015247i,-0.025864+0.052535i,-0.0068566-0.037302i,-0.014994-0.018621i,-0.040403-0.016405i,-0.027888-0.012282i,0.035423-0.011926i,0.005432-0.030232i,0.012465-0.039075i,-0.0080303-0.030129i,0.025828-0.023729i,0.01319+0.0068271i,0.028525-0.037111i,-0.0016075-0.0039246i,0.005689-0.0084981i,-0.00053235-0.0060724i,-0.00021128-0.035397i,-0.014352+0.028505i,0.0087673-0.011695i,-0.0085941-0.0048923i,-0.0027233-0.0019522i,-0.00087233-0.015416i,-0.0079184+0.0059553i,0.0040263+0.0069011i,-0.0010855+0.028099i,0.0024388+0.00037783i,-0.0073611-0.0046043i,-0.0040968-0.0065334i,-0.015161-0.0098607i,-0.0022941-0.0058292i,-0.04047+0.014676i,-0.0050869-0.0089739i,-0.013234-0.00096552i,-0.010602-0.0054917i,0.0016663-0.0017201i,-0.013151+0.001917i,-0.0014893-0.00058387i,0.0058904+0.0055678i,0.0038145-0.0050992i,-0.012385-0.016703i,0.0077117+0.0086366i,-0.014758+0.0086447i,0.0047221+0.0007262i,-0.019517-0.002833i,-0.016003-0.0039254i,-0.016025-0.034798i,0.020509-0.010893i,-0.039143-0.029307i,-0.0090375+0.0056085i,0.018618+0.014621i,-0.022686+0.016191i,-0.0041299-0.0033174i
0.0038306+0.013501i,-0.0031127+0.016184i,-0.002008+0.026087i,0.0018252+0.024682i,-8.2448e-05+0.02917i,0.011111+0.022599i,-0.0099402+0.026133i,-0.0044958+0.022066i,0.011582+0.0052148i,0.0013194-0.0043452i,0.002166+0.00049177i,0.0062401-0.0022066i,0.00060609-0.0015145i,0.00054966-0.0036806i,3.6441e-05-0.0017094i,0.0064063-0.0071063i,-0.0026981-0.0056057i,0.00030531+0.0028343i,0.00041973+0.00023138i,-0.00018587+0.0017114i,0.0013286+0.00078034i,-0.00019546-0.00013293i,0.0014059+0.00022346i,-0.007735-0.0033421i,-0.00028874-0.00062867i,-0.0022896+0.00082904i,-0.0042184+0.00022639i,-0.0016787+0.0003303i,-0.0014149+0.00074089i,-0.00017436-0.00053641i,-0.0030349+0.00079842i,0.0014443-0.0018598i,0.0004995-0.0032745i,3.1715e-05-0.0012879i,-0.0013292+0.00075451i,-0.00028581-0.0037618i,-0.0016066+0.0017524i,0.0019396+0.00022978i,0.0008296+0.003731i,0.0022089+0.0040869i,-0.00042152+0.0010091i,-0.0013084+0.0004948i,-0.0016598-0.00099767i,0.0032735+0.0050145i,0.014472+0.0065957i,0.043924-0.0536i,-0.026208+0.0068471i,0.019172-0.026239i,-0.021553-0.033407i,-0.01201+0.0032327i,-0.032478+0.034694i,-0.019207+0.0050177i,-0.015854+0.0085524i,-0.0024883-0.017773i,-0.040158-0.019943i,-0.0082926+0.0018984i,-0.028336+0.012719i,0.0021397+0.014134i,0.00063808+0.005067i,-0.0052287-0.006052i,-0.00047683+0.0019491i,-0.01365-0.0032702i,0.0054232+0.012579i,-0.00087505+0.0078883i,-0.0023176+0.0038395i,0.001162+0.0059146i,0.0023014+0.0027952i,-0.0015353+0.018658i,0.0046553+0.015705i,0.0048898-0.0053615i,0.011695-0.0048738i,0.0081415+0.0026246i,-0.0040277-0.0072032i,-0.00045082-0.0017627i,0.019168-0.03516i,0.0093693+0.0039295i,0.0081213-0.0013626i,0.0023545-0.00095522i,0.0058355-0.0083927i,0.022608-0.00012688i,0.0057455-0.0029297i,0.0013984-0.0074003i,0.0043265-0.0031427i,0.017656+0.0038864i,0.0059957+0.0035477i,0.0032617-0.0037286i,0.0087715+0.0096015i,-0.0024015+0.0048779i,0.0082935+0.0086113i,-0.013206-0.014606i,-0.0090496+0.0017312i,-0.0098078-0.013387i,-0.007355-0.0045832i,-0.040169+0.0074814i,-0.0054796+0.0038701i,-0.012074+0.0013297i
0.0059576+0.012448i,-0.00086859+0.013843i,0.0044535+0.021571i,0.0054537+0.022212i,0.0040327+0.027252i,0.01451+0.020225i,-0.0065438+0.02703i,0.00011354+0.021647i,0.011543+0.0012116i,0.00017019-0.0041754i,0.0025484+0.00076082i,0.0050396-0.0048644i,0.00022197-0.0022752i,0.00067057-0.0031838i,-0.00055184-0.0015517i,0.0026549-0.0068082i,-0.005566-0.0035543i,0.00039894+0.0027225i,0.0016328+0.00010473i,0.0011236+0.0014709i,-0.0024582+0.0028483i,0.00027651+0.00042236i,0.0016714-0.00041562i,-0.0068899-0.00079546i,-0.00023551-0.00033122i,-0.0018732+0.0017004i,-0.0031549+0.0024998i,-0.001105+0.00079213i,7.7717e-05+0.00036103i,6.4622e-05-0.0002333i,-0.0023984+0.0024681i,0.0001164-0.0015076i,-0.0011389-0.0031345i,-0.0012906-0.0011752i,-0.0019005+0.0010592i,0.00061364-0.0027941i,-0.00031807+0.0021151i,0.0013558-0.00064045i,0.0022878+0.0040797i,0.0031806+0.0026949i,8.7887e-05+0.0012683i,-0.0013462+0.00084994i,-0.0020351-0.00051649i,0.0046624+0.0038941i,0.014998+0.0023206i,0.023599-0.063554i,-0.019932+0.014281i,0.0088319-0.034727i,-0.032789-0.026411i,-0.009173+0.006461i,-0.020632+0.040251i,-0.017007+0.010454i,-0.0049621+0.0033459i,-0.0044878-0.016212i,-0.043304-0.0042826i,-0.0083146+0.0024639i,-0.022549+0.024176i,0.005626+0.010277i,0.0014074+0.0034173i,-0.0095997-0.006485i,-0.0028926+0.0050389i,-0.013533+0.0045193i,0.0097504+0.0089257i,0.0011794+0.010028i,-0.0004586+0.0040922i,0.0032531+0.0067256i,0.0039013+0.0027761i,0.0064939+0.014882i,0.009134+0.0084772i,-0.0019434-0.0075045i,0.0060376-0.0063345i,0.0074364+0.0012422i,-0.007368-0.00029818i,-0.00056213+0.00084811i,0.0043971-0.035742i,0.01094+0.0012283i,0.008458-0.0051056i,0.0039647-0.0022881i,0.00098948-0.0057061i,0.020658-0.010154i,0.0028913-0.0043917i,-0.0017085-0.0078005i,0.00036479-0.0023567i,0.016042-0.0023988i,0.0069657+0.0026904i,0.0025195-0.0025652i,0.011933+0.0057475i,-0.00091014+0.0057284i,0.0096902+0.0044119i,-0.019131-0.012655i,-0.0048273-0.012549i,-0.0083819-0.010469i,-0.0072707-0.0033634i,-0.035225+0.021472i,-0.0033064+0.0045656i,-0.0092719+0.0024369i
0.0087267+0.011098i,0.00055442+0.012186i,0.0073472+0.015844i,0.0081729+0.019692i,0.0087453+0.025546i,0.017565+0.016992i,-0.0022645+0.027965i,0.0045365+0.019854i,0.010005-0.0016764i,-0.001-0.0037566i,0.0036148+0.00033624i,0.0015408-0.0058747i,-0.00057998-0.0024815i,1.703e-05-0.0032445i,-0.00097839-0.001217i,-0.00072679-0.0047526i,-0.0070944-0.00010906i,0.0015677+0.0025574i,0.0020815-0.0013139i,0.0022738+0.00025232i,-0.00066362+0.0022668i,0.0011738+0.00012909i,0.0015122-0.0011696i,-0.0063486+0.00023044i,-0.00013467-6.8291e-05i,-0.00069274+0.0025651i,-0.0013047+0.0030883i,-0.00039697+0.0010331i,-0.00039925+0.00061502i,-3.7434e-05-0.00043852i,-0.00074878+0.0035303i,-0.00046002-0.00098732i,-0.0022684-0.0019439i,-0.0020596-0.00037927i,-0.0014064+0.0020501i,0.0017164-0.0031998i,0.00042397+0.0017812i,0.00061831-0.0011801i,0.0087904+0.0047635i,0.0034048+0.0015922i,0.00073703+0.0011307i,-0.00042657+0.0015616i,-0.0022772-5.2134e-05i,0.0051967+0.0016294i,0.014342-0.0012938i,0.0021171-0.062383i,-0.0097236+0.017372i,-0.002763-0.036917i,-0.036985-0.01735i,-0.0035559+0.0073544i,-0.0060601+0.040807i,-0.00418+0.012704i,-0.004227-0.0040247i,-0.0059421-0.015388i,-0.040285+0.0082734i,-0.0073631+0.0043691i,-0.010524+0.0295i,0.0061541+0.006819i,-0.00043352+0.0011396i,-0.016815-0.0021999i,-0.0017056+0.0066818i,-0.0094513+0.0097433i,0.011046+0.0032212i,0.0047357+0.010098i,-0.0012479+0.0048303i,0.0048266+0.0051572i,0.0052016+0.00049337i,0.0087877+0.0084476i,0.0082622+0.0034364i,-0.0067112-0.0025671i,0.0039287-0.005593i,0.0087564-0.00012769i,-0.002359+0.0074434i,0.0020459+0.0021801i,-0.0095-0.037729i,0.011766-0.0036465i,0.005054-0.0074822i,0.0023618-0.0044868i,0.00088186-0.0039879i,0.012946-0.016642i,0.00013858-0.0014595i,0.00088022-0.0017919i,-0.00051599+0.00075125i,0.011293-0.0067162i,0.01013-0.0008421i,0.0031949-0.0036464i,0.014631-0.00034472i,0.0027684+0.0052563i,0.0091183+0.00088518i,-0.022516-0.0050947i,-0.015158-0.020076i,-0.006434-0.012242i,-0.0058867-0.0041245i,-0.024246+0.025803i,-0.0037879+0.00014657i,-0.0077213-0.00099132i
0.0116+0.0082684i,0.002451+0.011334i,0.0079549+0.010743i,0.010611+0.017594i,0.013145+0.021991i,0.019966+0.013126i,0.0032022+0.02787i,0.0080397+0.016809i,0.0084-0.0029534i,-0.0020592-0.0029416i,0.0040647-0.0013455i,-0.0011239-0.0042441i,-0.0014952-0.0024536i,-0.0012193-0.0026605i,-0.0013614-0.00079644i,-0.001799-0.0015899i,-0.0057628+0.0037574i,0.0023823+0.0014428i,0.0014906-0.0017804i,0.0019521-0.0015096i,0.0003574+0.0018325i,0.0016729-0.00056027i,0.0010316-0.0018194i,-0.0061716+0.0017087i,0.00019768-0.00019542i,0.0012651+0.0016508i,0.00013982+0.0028759i,0.00015782+0.00068216i,0.00036131+0.00015836i,-0.00010898-0.00024565i,0.00065165+0.0030567i,-0.0010884-0.00065476i,-0.0030401-0.00063223i,-0.0021458+0.00076533i,-0.00048662+0.0024337i,0.0020105-0.0053024i,0.0014831+0.0014157i,-0.00016108-0.001069i,0.00010474-0.0021119i,0.0036754+0.00036046i,0.0011254+0.00056717i,0.00055014+0.0012814i,-0.0024498+0.00079354i,0.0034167-0.0011696i,0.013239-0.0042676i,-0.0146-0.051129i,-0.00098151+0.014264i,-0.013814-0.034632i,-0.040479-0.0086685i,0.0013849+0.0048922i,0.005754+0.037613i,0.0032223+0.0042684i,-0.0047272-0.005279i,-0.006544-0.013121i,-0.034604+0.018422i,-0.006152+0.0054974i,0.0007384+0.028978i,0.007226+0.0032678i,-0.0035214+0.0023266i,-0.019344+0.0069289i,-0.00099916+0.0086085i,-0.0051446+0.010734i,0.0089682-0.002061i,0.008545+0.0084742i,0.00014067+0.0071611i,0.0043636+0.004638i,0.0053353-0.0028014i,0.0074494+0.0030271i,0.005266+0.00092737i,-0.0049457+0.0014767i,0.0022192-0.0054587i,0.0087553-0.0029363i,0.006114+0.0071054i,0.0037148+0.00059334i,-0.015316-0.018091i,0.0090025-0.0073451i,0.002268-0.0079937i,0.0010248-0.0031357i,2.8418e-05-0.0047278i,0.0050453-0.017629i,0.0028479-0.00011524i,-0.0036306+0.00054359i,0.0020058+0.0023811i,0.0077506-0.0068021i,0.0090791-0.0060669i,0.0012196-0.0038177i,0.010861-0.0087548i,0.003755+0.001834i,0.0084557-0.0028075i,-0.018231+0.0027198i,-0.026921-0.017309i,-0.0088511-0.017293i,-0.0066969-0.0058543i,-0.015378+0.026502i,-0.0087321+2.8024e-05i,-0.010911-0.00030091i
0.012871+0.0050208i,0.0033646+0.0093362i,0.0063909+0.0071637i,0.013026+0.0151i,0.016112+0.017713i,0.021305+0.0088818i,0.008824+0.025863i,0.010023+0.01337i,0.0074264-0.0037364i,-0.002246-0.0019585i,0.0028644-0.0025668i,-0.0020954-0.0024832i,-0.0022562-0.0022382i,-0.0014981-0.001726i,-0.0015551+0.00024775i,-0.0012276+0.00067153i,-0.0027609+0.006022i,0.0022024+0.00040608i,0.0011644-0.0018093i,0.00072156-0.0024781i,0.00074213+0.0013239i,0.0015-0.0013254i,0.00014753-0.0021501i,-0.0046317+0.0027526i,0.00019963-0.00058498i,0.0014175-0.00029118i,0.0010613+0.0018562i,0.00042384+0.00030018i,-8.7045e-05+0.0013733i,0.00029768-0.00017457i,0.0016414+0.0027293i,-0.0012107-0.0002687i,-0.0029654+0.0012528i,-0.0016915+0.0017325i,0.00022731+0.0025052i,0.00075039-0.0073684i,0.002147+0.00020402i,-0.00041015-0.00043997i,0.0014093-0.0012942i,0.0033232-0.00066033i,0.001167-6.4522e-05i,0.00080649+0.00063749i,-0.0016378+0.0020188i,0.0011349-0.00047902i,0.011776-0.0063666i,-0.018648-0.035935i,0.0035903+0.0091347i,-0.023723-0.027868i,-0.042554+0.0033236i,0.0036236-6.2179e-05i,0.012186+0.030271i,0.0048016-0.0026802i,-0.0042049-0.00699i,-0.0059081-0.012965i,-0.028388+0.025994i,-0.0045249+0.0062864i,0.012627+0.024564i,0.0066444+0.00047807i,-0.0044582+0.0057177i,-0.016555+0.014524i,0.002435+0.009885i,-0.0015831+0.011222i,0.0043-0.0034489i,0.011158+0.0051499i,0.0031671+0.0077808i,0.0050901+0.0048617i,0.0039772-0.0051407i,0.0040032+0.0026213i,0.0029836+0.0018479i,-0.0036342+0.0033821i,0.0007537-0.004595i,0.0070926-0.0054743i,0.0095139+0.0018795i,0.0038593-0.0016639i,-0.016149-0.017577i,0.0052512-0.0094226i,-0.0008163-0.0081597i,0.0024017-0.002726i,-0.0014368-0.0037459i,-0.00020002-0.015985i,0.0040523-0.002192i,-0.0018763+0.0023435i,0.0050238+0.00074373i,0.0066949-0.0070197i,0.0054171-0.011033i,0.00091884-0.0036195i,0.0038974-0.010797i,0.0024441+0.0002006i,0.0047385-0.006396i,-0.012307+0.0038578i,-0.037001-0.007366i,-0.014994-0.018416i,-0.0080821-0.0071564i,-0.0098167+0.026056i,-0.012093+0.0037484i,-0.010764+0.0032894i
0.013408+0.0020464i,0.0037949+0.0083963i,0.0047353+0.0058817i,0.015028+0.012079i,0.017587+0.013339i,0.022076+0.004866i,0.014123+0.022325i,0.011079+0.010333i,0.0069081-0.0048054i,-0.0025553-0.0015976i,0.001166-0.0029004i,-0.0024304-0.00082034i,-0.0033767-0.0015558i,-0.0014829-0.0014186i,-0.0018651+0.00097181i,-8.8028e-05+0.0018765i,0.00072045+0.0066237i,0.0020578-0.00021058i,0.00044001-0.0021134i,-0.00059536-0.0024326i,0.0013809+0.0010249i,0.0011246-0.0018764i,-0.00063797-0.0018822i,-0.0039477+0.0025214i,-0.00016825-0.00049078i,0.000472-0.0013356i,0.0010519+0.0003072i,0.00064201-0.00022054i,0.00086307+0.0005225i,0.0004142-0.00072982i,0.0024451+0.0017922i,-0.0012981+7.0179e-06i,-0.0018929+0.002558i,-0.00077522+0.0021981i,0.00088641+0.0023323i,-0.0014464-0.0078791i,0.0010298-0.0014003i,-0.00023488-0.00026258i,0.00090431-0.0019058i,0.002623-0.0010444i,0.00096753-0.00027662i,0.00079758+0.00038945i,-0.00082855+0.00047525i,0.00073159+0.0011583i,0.010344-0.0076795i,-0.016608-0.029035i,0.0054365+0.0048883i,-0.028308-0.016785i,-0.036753+0.016251i,0.00055441-0.0043849i,0.016925+0.021493i,0.0046443-0.0085441i,-0.0041483-0.0078207i,-0.0080215-0.012727i,-0.020878+0.031073i,-0.0036856+0.0072075i,0.017777+0.01093i,0.0059715-0.0019795i,-0.0027779+0.0089118i,-0.0096696+0.020362i,0.0058922+0.0081813i,0.0021713+0.0092585i,0.0018638-0.0019553i,0.012611+0.00045594i,0.0058909+0.0073127i,0.0063379+0.0039022i,-0.00027105-0.0078064i,0.0039482+0.0045536i,0.0037327+0.003528i,-0.00088642+0.0058097i,0.00072442-0.0039724i,0.0054715-0.0062376i,0.0096565-0.0030439i,0.0029373-0.0038223i,-0.022012-0.014603i,0.0015841-0.0098162i,-0.00452-0.0063218i,0.0011545-0.0041289i,-0.0015611-0.0022231i,-0.0030268-0.012986i,0.0029398-0.0041113i,0.00026687+0.0021964i,0.0048316-0.0036579i,0.00392-0.0087275i,-0.0018698-0.012472i,-0.00010904-0.0044805i,-2.9415e-05-0.0085397i,0.0021929-0.0010535i,-0.00050763-0.0056812i,-0.0091057+0.0036672i,-0.03396+0.0087861i,-0.021582-0.015752i,-0.010956-0.0069089i,-0.0049915+0.026337i,-0.011151+0.0088725i,-0.0064372+0.0044928i
0.013474-0.0011011i,0.0047826+0.007879i,0.0037931+0.0057574i,0.016232+0.0086124i,0.018218+0.0097146i,0.022377+0.00053422i,0.018375+0.017156i,0.011446+0.0078803i,0.0062858-0.0058353i,-0.0029342-0.00062948i,-0.00033169-0.0021171i,-0.0014974+0.00065044i,-0.0040947-8.1799e-05i,-0.001936-0.0015209i,-0.001727+0.0014853i,0.0010764+0.002377i,0.0039817+0.0051496i,0.0017364-0.0006101i,5.8844e-05-0.002177i,-0.0014262-0.0016441i,0.0018592+0.00039388i,0.00050652-0.0023117i,-0.0011101-0.0013564i,-0.0040538+0.0033215i,-0.00039245-0.00050379i,-0.00046616-0.0015332i,0.0007406-0.00059997i,0.000401-0.0009787i,0.00096705-0.00035296i,-9.6802e-05-0.0012963i,0.0031102+0.0008274i,-0.0010461+0.00075693i,-4.5405e-05+0.0027401i,0.00017413+0.0021736i,0.0016118+0.0016145i,-0.0042433-0.0076599i,0.00050518-0.00074151i,-0.00030981-0.00044703i,1.9159e-05-0.0019047i,0.0022343-0.0013006i,0.00087125-0.00058135i,0.0010552+9.3127e-05i,-0.0010164+0.00053626i,0.001444+0.0016524i,0.0095779-0.0093809i,-0.016718-0.028014i,0.0066127+0.0018361i,-0.025792-0.007454i,-0.0266+0.026417i,-0.001826-0.0043819i,0.020002+0.014351i,0.0021486-0.012924i,-0.0041983-0.0091284i,-0.0083091-0.010226i,-0.012904+0.034817i,-0.0011283+0.0072445i,0.012099+0.00049084i,0.0036015-0.004598i,0.00033194+0.010236i,-0.0023246+0.021371i,0.0072888+0.0053523i,0.0039804+0.005935i,0.0022105-0.00057408i,0.01185-0.0038349i,0.0098876+0.0053002i,0.0074602+0.003199i,-0.0049065-0.0038772i,0.0059558+0.0047806i,0.0053576+0.0037608i,0.0026701+0.005552i,-0.00016288-0.0042467i,0.0037501-0.0075084i,0.0076956-0.0094805i,-0.00024181-0.0044451i,-0.026768-0.0075108i,-0.0016447-0.0092552i,-0.0051554-0.0029627i,0.00086994-0.0027456i,-0.0017081-0.0017672i,-0.0044603-0.012508i,0.00044835-0.0049127i,0.0011874+0.00065686i,0.0021641-0.0048756i,0.0015032-0.0086469i,-0.0071202-0.0079577i,-0.0024041-0.0044046i,-0.003326-0.0059972i,0.00043203-0.0018655i,-0.0023566-0.0028019i,-0.0059708+0.0037574i,-0.026211+0.010806i,-0.023136-0.011643i,-0.01304-0.0050264i,0.00091388+0.023453i,-0.0094121+0.01127i,-0.0048073+0.0030163i
0.012498-0.0040933i,0.0063803+0.007368i,0.0038001+0.0062978i,0.016668+0.0053202i,0.018306+0.0065139i,0.021576-0.0036217i,0.021058+0.011048i,0.011855+0.005868i,0.0054513-0.0070769i,-0.0027032+0.00040109i,-0.00096583-0.00054609i,-0.00029822+0.00066663i,-0.0040839+0.0015187i,-0.0029182-0.000794i,-0.001156+0.0021358i,0.0023216+0.001882i,0.0054866+0.0024065i,0.0014628-0.0009202i,-0.00039404-0.0021417i,-0.0014867-0.00059634i,0.0020442-0.00042031i,-0.00027121-0.0021999i,-0.0012537-0.00082268i,-0.0028335+0.0044943i,-0.00081264-0.00041514i,-0.0010479-0.0010677i,4.9581e-05-0.0012571i,-0.00037451-0.0014083i,0.00056074-0.0011113i,-0.00081099-0.0013021i,0.0035894-0.0014512i,-0.00037791+0.00053025i,0.00071542+0.0019568i,0.00081967+0.0018018i,0.0017155+0.00085851i,-0.0071894-0.0055759i,0.00021548-0.00112i,-0.00067171-0.00030334i,-0.00073607-0.0021115i,0.0020187-0.0014848i,0.00068841-0.0007789i,0.00115-0.00029832i,-0.0012463+0.00054434i,0.002008+0.0015615i,0.0080079-0.011688i,-0.02035-0.026844i,0.0062452-0.0020639i,-0.023479-0.0012577i,-0.013962+0.03012i,-0.0041246-0.0041791i,0.022022+0.0066242i,-0.00029608-0.015144i,-0.0050052-0.0096799i,-0.0071358-0.0074827i,-0.0029076+0.036033i,0.00085197+0.0061039i,0.0066233-0.00080048i,0.0005383-0.0056217i,0.0046226+0.010942i,0.0038728+0.019289i,0.0072818+0.0021918i,0.0061319+0.001626i,0.0020032-0.00017992i,0.0092438-0.0081929i,0.012343+0.00084479i,0.0089036+0.0013045i,-0.0051266-0.00053066i,0.008139+0.0039278i,0.0076593+0.0030976i,0.0059827+0.003174i,-0.0011448-0.0038505i,0.0019753-0.0086869i,0.00064866-0.012122i,-0.0015013-0.0023532i,-0.028481+0.0015429i,-0.0040106-0.0084485i,-0.0051466-0.00096419i,0.0013523-0.002248i,-0.002064-0.001027i,-0.0078454-0.012091i,-0.0022864-0.0042695i,0.0016895-4.351e-05i,0.0004176-0.0050544i,0.0003175-0.0082162i,-0.0085238-0.0041612i,-0.0043236-0.0024001i,-0.0036785-0.0038202i,-0.00014848-0.0018201i,-0.0021768-0.0011895i,-0.0033697+0.0031503i,-0.024608+0.012432i,-0.02281-0.0090359i,-0.01403-0.0018873i,0.0026572+0.022158i,-0.0078049+0.011876i,-0.0039483+0.0020476i
0.01118-0.0065664i,0.0084593+0.0058439i,0.0052436+0.0065037i,0.016583+0.0022739i,0.018487+0.0038502i,0.019965-0.0073685i,0.021663+0.0041104i,0.012279+0.0038272i,0.0041145-0.0081823i,-0.0020926+0.00087014i,0.002219-0.0035187i,-0.00012501-0.00011273i,-0.0034896+0.0030415i,-0.002936+0.00049359i,-0.00030366+0.0024796i,0.0026738+0.00079376i,0.0051156+0.00011035i,0.00096329-0.0013488i,-0.00091789-0.0019085i,-0.0009863-2.0866e-05i,0.0019691-0.0014412i,-0.00058598-0.0019373i,-0.001125-0.00041005i,-0.00096976+0.0048609i,-0.0011622-0.00019264i,-0.0017173-0.00050586i,-0.0010465-0.0015144i,-0.0012488-0.0012283i,-0.00025345-0.0015958i,-0.001457-0.00097115i,0.0014771-0.0016558i,-0.00052857+0.00064733i,0.00088585+0.0015213i,0.0013057+0.0012735i,0.0016484+0.00030127i,-0.0091796-0.0016199i,-0.00057528-0.0010348i,-0.00073834-3.0971e-05i,-0.0017466-0.0017622i,0.0017736-0.0017532i,0.00050238-0.00091792i,0.0010584-0.00062552i,-0.001388+0.00077724i,0.0025574+0.0013019i,0.0052719-0.013048i,-0.025457-0.020864i,0.0049491-0.0051765i,-0.017251+0.0040717i,-0.0023908+0.030343i,-0.0055086-0.0011438i,0.022029-0.0018986i,-0.00067508-0.018011i,-0.0046847-0.009374i,-0.0044976-0.0051311i,0.0071277+0.03327i,0.0012603+0.0047234i,0.0035179-0.0017398i,-0.0030577-0.0053087i,0.009756+0.0082767i,0.0074009+0.016258i,0.0051557+0.00059514i,0.0049281-0.0035605i,0.0032567+0.0018678i,0.0043417-0.010582i,0.012056-0.0055228i,0.0091692-0.0016293i,-0.0051355+0.0024909i,0.010507+0.0018685i,0.01032+0.00033195i,0.0064488-0.00080634i,-0.0018235-0.0033264i,-0.00088249-0.0090288i,-0.00736-0.0069008i,-0.00091413-0.00070097i,-0.027043+0.011967i,-0.0066382-0.0074226i,-0.0043002+0.001839i,0.0015687-0.0053027i,-0.0018677+0.00049492i,-0.011898-0.009243i,-0.0044234-0.0021517i,0.0012018-0.0015117i,-0.0012008-0.0046581i,-0.0019778-0.0080862i,-0.008362+0.001018i,-0.0044227+2.6926e-05i,-0.0070226-0.0036667i,-0.0010518-0.0032433i,-0.0014864-0.00083162i,-0.0013338+0.0026208i,-0.023153+0.019102i,-0.023384-0.0092817i,-0.010238-5.0182e-05i,0.0068741+0.020862i,-0.0072199+0.014008i,-0.0027031-0.00016215i
0.0096004-0.0085579i,0.010073+0.0035283i,0.0069498+0.005296i,0.015899-0.00078363i,0.018539+0.0011344i,0.017932-0.010344i,0.019812-0.0018599i,0.012557+0.0015864i,0.0027743-0.0089232i,-0.0019182+0.0013251i,-0.00059554-0.0016285i,-0.00068011-0.00022833i,-0.002246+0.004136i,-0.0025217+0.0014915i,0.00051347+0.0023326i,0.0020739-1.5957e-05i,0.004212-0.0014668i,0.00050062-0.0013076i,-0.00083605-0.0017059i,-0.00044369+0.00015013i,0.0016359-0.0022889i,-0.00083423-0.0019123i,-0.00084469-0.00022215i,0.00060588+0.0047505i,-0.0014291+0.00011378i,-0.0020821+0.00041424i,-0.0021442-0.00096619i,-0.0017732-0.00061579i,-0.0012691-0.0015263i,-0.0020723-0.00034762i,0.00090216-0.0013679i,-0.00035945+0.0010645i,0.0012694+0.0010709i,0.0016962+0.00075355i,0.0013491-0.00015129i,-0.0096853+0.0022472i,-0.0010126-0.00080787i,-0.00085778+1.7705e-05i,-0.0024373-0.00086566i,0.0014945-0.0019568i,0.00031376-0.00098648i,0.0010467-0.00089063i,-0.0013827+0.0011068i,0.0030661+0.00081683i,0.0029335-0.013153i,-0.024761-0.013109i,0.0017923-0.0071106i,-0.010687+0.004032i,0.0080383+0.027906i,-0.0041293+0.0028066i,0.018352-0.0091077i,-0.0034356-0.022507i,-0.0043338-0.0099102i,0.0010587-0.0048703i,0.016288+0.025733i,-1.4629e-05+0.0043042i,0.00033059-0.0012126i,-0.0052265-0.0028536i,0.012154+0.0026636i,0.01165+0.015302i,0.0027418+0.0014895i,0.0010321-0.0068659i,0.0063025+0.00043329i,-0.00065921-0.0097025i,0.0078556-0.0098551i,0.0083029-0.0044142i,-0.0046015+0.004849i,0.011555-0.0029461i,0.010153-0.0052383i,0.0052752-0.0044276i,-0.0023875-0.0026883i,-0.0037651-0.008097i,-0.0035384-0.0090996i,0.0001647-0.00089574i,-0.019848+0.02478i,-0.0091281-0.00532i,-0.0020213+0.0031393i,-0.002536-0.0063351i,-0.00070824+0.00094218i,-0.014822-0.0040969i,-0.0037967+0.00041374i,-0.00028421-0.0023893i,-0.0031866-0.0035346i,-0.0042978-0.0062801i,-0.0059833+0.003902i,-0.0029012+0.0018555i,-0.0077921+0.0016951i,-0.004168-0.0029203i,-0.0017716-0.0010133i,0.0030261+0.002478i,-0.01211+0.024593i,-0.027639-0.0074291i,-0.0098724-0.0021451i,0.0091343+0.018518i,-0.0043042+0.016285i,-0.0035852-0.0034974i
