-0.023867-0.03756i,-0.012097-0.049818i,-0.018079-0.044597i,-0.030667-0.035471i,-0.030002-0.01565i,-0.050221-0.02723i,-0.057755-0.025588i,-0.044016-0.03613i,-0.033546-0.030834i,0.0079994+0.012628i,-0.0050958+0.01505i,-0.0044511+0.014228i,0.0092678+0.021131i,0.00055633+0.0041375i,0.0033687+0.003532i,0.0072647+0.018017i,0.022593+0.044008i,-0.0025768-0.0010266i,-0.0046337-0.0061309i,0.0083597+0.003036i,-0.00031394-0.00072983i,-0.0010126+0.0015053i,0.00014613-0.00033116i,-0.029722-0.0019622i,-0.0014732-0.0059091i,0.0016642+0.0045635i,0.0032289-9.5062e-06i,-0.0003352+0.00090232i,0.00076737-0.00025939i,-0.00074239-0.0027557i,-0.0017224-0.0058975i,-0.0046036-0.0045314i,-0.0021-0.0044103i,0.0025528-0.00031695i,0.0020421-0.0027464i,-0.0011525+0.026161i,0.0014546-0.0032711i,0.002586+0.00070841i,0.0058953+0.0013574i,-0.011171-0.0036399i,-0.0034149+0.00037069i,0.0060053+0.0015876i,0.0056887-0.00078138i,-0.0033353+0.0048782i,0.0021578-0.0082425i,-0.011848+0.018166i,0.035869-0.090277i,0.012142-0.06997i,-0.01575-0.059598i,-0.016697-0.055402i,0.040499-0.04518i,0.016862-0.062801i,0.035124-0.05501i,0.029234-0.059433i,0.016103-0.013539i,0.0046798+0.016577i,0.01663-0.026478i,-0.012063+0.0056144i,-3.6046e-05+0.005297i,-0.0049458-0.0020199i,-0.0021996-0.029088i,-0.023642+0.031586i,0.010218-0.011662i,-0.012985-0.0024047i,5.6881e-05-0.0049634i,-0.0012889-0.016266i,-0.0075108+0.0046179i,0.0049876+0.0069125i,-0.0096082+0.031405i,0.0050992+0.0061183i,-0.0053679-0.00073298i,-0.0029821-0.00066202i,-0.012362-0.0086511i,-0.00069064-0.0043573i,-0.024971+0.022417i,0.00056526-0.010211i,-0.0095777-0.001947i,-0.0066114-0.0028798i,0.00717+0.00281i,-0.0077985+0.0017494i,-0.00018932+0.00029178i,0.0061948+0.011705i,0.0038123+0.0014312i,-0.0091386-0.010511i,0.0032047+0.008224i,-0.02223+0.0061325i,0.0082767+0.0005385i,-0.028628-0.0038905i,-0.041697+0.003475i,0.0184-0.09979i,-0.0012278-0.012327i,-0.052896-0.022059i,-0.023029-0.0013462i,0.017637+0.010953i,-0.024504+0.013494i,-0.019562-0.012141i
-0.031644+0.018007i,-0.050917+0.020616i,-0.030648+0.045584i,-0.030398+0.024666i,-0.026924+0.039465i,0.0059422+0.045768i,-0.0016095+0.02335i,-0.015673+0.038971i,-0.012901+0.021806i,-0.0039365-0.0043423i,-0.0041275-0.0031808i,-0.0019059-0.0033064i,-0.0037928-0.00074727i,-0.0067395-0.0040779i,-0.0018995+0.0043596i,-0.0022472-0.0013043i,-0.01093-0.0042846i,-0.0010367-0.00056071i,0.0025733-0.0012275i,0.0020712-0.00070685i,0.0026131-0.0035544i,0.0022438-0.0038023i,0.0014437-0.0024628i,-0.0092536-0.0078463i,-0.0017616+0.00071735i,-0.0037702+0.0011032i,-0.001821-0.00015026i,-0.0033459-0.0011098i,-0.0011668-0.0011499i,0.0013948-0.0019584i,-0.0017216+0.0060291i,0.0017014-4.2967e-05i,0.0026773+0.00017016i,0.00098993+0.0017376i,-0.0010398+0.0034204i,-0.0011192-0.0057983i,-0.0012804-0.00043448i,0.00023838-0.00020847i,-0.00036987+0.0044163i,0.0073805+0.0047548i,0.0013446-0.0028938i,0.0028643-0.0048886i,-0.003624+0.0021993i,-0.00023109+0.0031i,-0.032006-0.0048252i,0.011958-0.078486i,-0.092791-0.029935i,-0.051579-0.035481i,-0.075254-0.04985i,-0.058098-0.0057556i,-0.092909+0.019175i,-0.058505+0.011334i,-0.049308-0.022121i,-0.0311-0.056572i,-0.024896-0.030137i,0.0027599+0.0051107i,-0.018625+0.010971i,0.0093719+0.003765i,0.011192+0.0042904i,0.00089664-0.0062915i,0.007832+0.0013472i,-0.0070967-0.0041722i,0.0036891+0.014899i,-0.0014594+0.0090186i,0.0006851+0.0015596i,0.0066085+0.0030898i,0.0018362-0.00096927i,-0.00092175+0.015086i,0.000718+0.01257i,0.0032867-0.004892i,0.010699-0.0081321i,0.0021156+0.0024344i,-0.007376-0.0070711i,-0.0022713-0.0031978i,0.017179-0.028206i,0.0059628+0.0041362i,0.0038209+0.0043596i,-0.0035056+0.0024984i,0.0025025-0.0038301i,0.022047+0.0022776i,0.0024627-0.0023217i,-0.00073624-0.010488i,0.00057262-0.0026185i,0.014277+0.0027912i,0.0047839+0.00063143i,0.0038155-0.0065574i,0.0028111+0.0091985i,0.0040339-0.0010221i,0.024726+0.0048474i,-0.080808-0.036113i,-0.0057678+0.01872i,0.0068462-0.0030344i,-0.0030036+0.0045527i,-0.036391+0.012037i,-0.007435+0.0065647i,-0.017553+0.012912i
-0.027201+0.022002i,-0.046689+0.025444i,-0.020122+0.043908i,-0.026343+0.028573i,-0.020476+0.040724i,0.014706+0.042946i,0.0013091+0.022495i,-0.008112+0.039905i,-0.0081009+0.019193i,-0.0051499-0.0020515i,-0.0043592-0.00070321i,-0.0027855-0.0035183i,-0.0045346-0.00019119i,-0.0068278-0.0013577i,-0.00059269+0.0051716i,-0.0044853+0.00038111i,-0.012818+0.0011004i,-0.0010638+0.00034783i,0.0029243-0.0019614i,0.0020891-0.0016062i,0.0014858-0.0038794i,0.0015407-0.0038462i,0.0010497-0.0025881i,-0.010134-0.0046625i,-0.0010378+0.00093577i,-0.0035353+0.0024353i,-0.0014216+0.0004172i,-0.0033967+3.853e-05i,-0.001554-0.0010659i,0.00076545-0.0018571i,0.00064294+0.0065331i,0.0011912-0.00039682i,0.002268-0.001018i,0.00096834+0.0013636i,-0.0008885+0.0027456i,-0.0014064-0.0051096i,-0.00050511+0.00064943i,-0.00063048-0.00046858i,-0.00028765+0.0050017i,0.0071386+0.0010584i,0.0004391-0.0032847i,0.00098444-0.005651i,-0.0032111+0.0032378i,0.00064204+0.0033729i,-0.032491-0.0043847i,-0.012441-0.089807i,-0.089777-0.011315i,-0.060468-0.033672i,-0.087158-0.038241i,-0.057313+0.0043081i,-0.082653+0.036382i,-0.054135+0.023532i,-0.039928-0.020622i,-0.038225-0.052085i,-0.03277-0.019602i,0.0040088+0.002115i,-0.012143+0.019742i,0.009207-0.00039467i,0.011907-0.0021073i,-0.0045847-0.010631i,0.0041584+0.00089538i,-0.0076897+0.001552i,0.0089674+0.011695i,0.0012458+0.010932i,0.00082503+0.0012958i,0.0080801+0.0034152i,0.0020984-8.9875e-05i,0.0054518+0.011187i,0.0064407+0.0076463i,-0.0020799-0.0067186i,0.0033113-0.0082655i,0.0031383+0.0028275i,-0.010223+7.6564e-05i,-0.0029245-0.00044415i,0.0097452-0.029309i,0.0072742+0.0031904i,0.0082311+0.0027509i,-0.00082604+0.0024285i,-0.0004622-0.0015494i,0.01889-0.0079386i,0.00036936-0.0031074i,-0.0057766-0.0069787i,-0.0026891-0.0019208i,0.012116-0.0013975i,0.0045644+0.00064005i,0.0018845-0.0044466i,0.0057015+0.0077489i,0.0029434-0.0013392i,0.024318-0.0029422i,-0.085143-0.02659i,0.0026144+0.0081263i,0.0054744-0.0057946i,-0.00056509+0.0028933i,-0.029412+0.023154i,-0.0059842+0.0077026i,-0.01314+0.01491i
-0.021989+0.024527i,-0.04347+0.030494i,-0.013503+0.039999i,-0.021762+0.030936i,-0.013083+0.042476i,0.022082+0.037687i,0.0044636+0.021837i,-0.00054747+0.039243i,-0.0069989+0.016871i,-0.0055108+0.00037568i,-0.0033367+0.0010346i,-0.0061055-0.0030084i,-0.0047321+0.0018103i,-0.0067896+0.00063556i,0.0012986+0.00558i,-0.0053886+0.0035587i,-0.011544+0.0068433i,3.0362e-05+0.00099669i,0.0030199-0.0035467i,0.0018106-0.0028524i,0.00010766-0.0044085i,0.00074629-0.0046145i,0.00061734-0.0027669i,-0.010884-0.0020024i,-0.00086033+0.001125i,-0.0020991+0.0038612i,-0.0010357+0.00036844i,-0.002727+0.0015751i,-0.002043-0.00058418i,-0.00019665-0.0026005i,0.0027884+0.0061053i,0.00076996-0.00053066i,0.0014702-0.0014751i,0.0014813+0.00075714i,-6.0658e-05+0.0034862i,-0.00098964-0.0051787i,-0.00085685+0.00047553i,-0.0010488-0.0001759i,0.00403+0.0037085i,0.00579-0.0011572i,-0.0004691-0.0029043i,0.00084712-0.0032507i,-0.0024346+0.0044929i,0.00143+0.0020376i,-0.034674-0.0019168i,-0.042104-0.088496i,-0.079639+0.0019296i,-0.070207-0.026565i,-0.094767-0.023048i,-0.052907+0.012771i,-0.067526+0.047649i,-0.039546+0.03323i,-0.041-0.024731i,-0.045112-0.048386i,-0.033701-0.0091238i,0.0040937-0.0012502i,-0.0021511+0.022176i,0.0080814-0.0033846i,0.007953-0.0072812i,-0.014635-0.0095403i,0.0034623-0.00017668i,-0.0051606+0.0049468i,0.011657+0.006054i,0.0045037+0.011969i,-8.563e-05+0.0018221i,0.0079416-0.00047963i,0.0037896-0.0016555i,0.0067622+0.0061649i,0.0058456+0.0018219i,-0.0071503-0.0029054i,0.00097482-0.006309i,0.0052656+0.0018014i,-0.0070207+0.0097698i,-0.001236+0.0013622i,0.00060486-0.022615i,0.0092927+7.2211e-06i,0.0076066-0.0014016i,0.00081971+0.0016195i,0.00080385+0.00057894i,0.011972-0.012468i,-0.0023855-0.00030208i,-0.0079824-0.0033426i,-0.003873+0.0016577i,0.0081049-0.00387i,0.0073332-0.00080729i,0.0026657-0.004722i,0.009132+0.0048568i,0.0039185-0.0022501i,0.021181-0.010058i,-0.088852-0.013452i,8.1995e-05-0.0020637i,0.0053388-0.0086122i,0.0013224-0.00042652i,-0.018778+0.025062i,-0.0049284+0.0035403i,-0.0020957+0.017386i
-0.016712+0.025019i,-0.039061+0.036313i,-0.009927+0.036625i,-0.016692+0.033836i,-0.0047036+0.041373i,0.027998+0.031432i,0.0081955+0.020749i,0.0064699+0.036484i,-0.0067675+0.016857i,-0.0045563+0.0025752i,-0.0026846+0.0013342i,-0.0078553+0.00089916i,-0.0042716+0.0034092i,-0.0067908+0.0030136i,0.0030865+0.0049077i,-0.0041884+0.0069747i,-0.0074872+0.011524i,0.0009423+0.00022825i,0.0014153-0.0044448i,0.0001448-0.0040754i,-0.0014058-0.00418i,-0.00061763-0.0047127i,0.00013531-0.0032687i,-0.010649+0.0013616i,-0.00040709+0.0008853i,9.9838e-05+0.0033523i,-0.0010987+0.00020932i,-0.0013942+0.0019213i,-0.0023917+0.00037708i,-0.0016378-0.0021117i,0.0048897+0.0050541i,0.00037917-0.00047347i,0.00065642-0.001756i,0.001606+0.00014095i,0.0018242+0.0030296i,-0.0014307-0.0067307i,-0.00077348+0.001029i,-0.0012907+0.00037323i,0.0034567-0.00088049i,0.0046677-0.0023538i,-0.00096439-0.0025729i,0.00050615-0.0014734i,-0.010843+0.0037363i,-0.00044164-0.00042295i,-0.03692+0.0022537i,-0.0671-0.072224i,-0.069756+0.0074555i,-0.077875-0.015223i,-0.098922-0.0064406i,-0.046918+0.018426i,-0.053746+0.053213i,-0.025311+0.032382i,-0.045062-0.021528i,-0.052226-0.040987i,-0.032077-0.00047391i,0.0020206-0.0036691i,0.0062005+0.019907i,0.0066047-0.0058534i,0.0023685-0.0086756i,-0.01857+0.0025139i,9.1898e-05+0.00059687i,-0.00086752+0.0052889i,0.010356+0.00063612i,0.0095073+0.011659i,0.00049772+0.0032106i,0.0046852-0.0023244i,0.003378-0.0048939i,0.0054872+0.0019613i,0.0027556+0.00010919i,-0.0069013+0.00069844i,-0.0012368-0.0050781i,0.0057602-0.00013902i,0.0031826+0.010742i,0.00026714+0.0010669i,-0.008171-0.016784i,0.0082461-0.0032475i,0.0063445-0.0031637i,0.0016873+0.0022219i,0.0015166+0.00015035i,0.0067537-0.013137i,-0.00021547+0.0019384i,-0.0089514+0.00083043i,-0.0014187+0.0042488i,0.0048756-0.0040716i,0.0064696-0.0047389i,0.00029759-0.0052023i,0.0098989-0.00065068i,0.0028625-0.0051131i,0.016714-0.016329i,-0.086735+0.0016157i,-0.0072992-0.0057591i,0.003477-0.012993i,0.00078223-0.0048431i,-0.012565+0.026103i,-0.0089515+0.0028157i,-0.0068561+0.012467i
-0.01274+0.024698i,-0.033846+0.041066i,-0.0086622+0.03518i,-0.010528+0.035473i,0.0022339+0.038375i,0.031899+0.024367i,0.01219+0.018556i,0.012227+0.032874i,-0.0050219+0.018243i,-0.0027493+0.0040202i,-0.0028584+0.0021181i,-0.0068133+0.0045203i,-0.0034517+0.00478i,-0.0051274+0.0056783i,0.0045258+0.0037755i,-0.0014881+0.0092989i,-0.0020678+0.013526i,0.00098337-0.00050758i,0.00035685-0.0043183i,-0.001881-0.0038038i,-0.0028101-0.0034379i,-0.0020056-0.0040891i,-0.0011368-0.0034323i,-0.0087933+0.003985i,-0.00090794+0.00035504i,0.000279+0.0018849i,-0.0012349+0.00032083i,-0.00063479+0.0017131i,-0.0020006+0.0013012i,-0.0019551-0.0006605i,0.0063653+0.0023409i,0.0002673-0.00049472i,-0.00010909-0.0016115i,0.0012636-0.00044341i,0.0024276+0.001697i,-0.0038766-0.0076999i,-0.00045864+0.0014526i,-0.00093818+0.0013064i,0.001012-0.0012813i,0.0033365-0.0026181i,-0.0014807-0.0023594i,-0.00013517-0.0013898i,-0.0013949+0.0045818i,-0.0030334+0.0017186i,-0.037737+0.0087191i,-0.076651-0.048282i,-0.064275+0.0093159i,-0.082726-0.0016375i,-0.099804+0.012405i,-0.042472+0.021053i,-0.040441+0.056084i,-0.016024+0.0286i,-0.046976-0.017681i,-0.056009-0.033273i,-0.0296+0.008416i,-0.00016453-0.0047307i,0.014772+0.014684i,0.0046622-0.0071838i,-0.0027707-0.0072021i,-0.019386+0.0084329i,-0.00066288+0.003219i,0.0020305+0.0053333i,0.0064712-0.0012626i,0.01455+0.0086842i,0.0018611+0.0034999i,0.0024606-0.0013416i,0.001425-0.0069241i,0.0024461+0.0013913i,0.00054006+0.0014466i,-0.0066823+0.0054256i,-0.0026839-0.0024655i,0.0052403-0.0022419i,0.0096109+0.0054535i,0.00069231+0.00060042i,-0.011272-0.017098i,0.0061321-0.0056521i,0.0042727-0.0049053i,0.0041808+0.0021879i,0.0018316-0.00014591i,0.0032907-0.012297i,0.0016946+0.001368i,-0.0066559+0.0061969i,0.0017838+0.003936i,0.003621-0.0034108i,0.0033323-0.008426i,-0.00042615-0.0042956i,0.0062696-0.0049021i,-0.00041701-0.0063016i,0.0088196-0.021872i,-0.080525+0.01213i,-0.015041-0.0022351i,-0.0011656-0.015733i,-0.0021333-0.0084071i,-0.0077289+0.02524i,-0.012164+0.0059824i,-0.0065818+0.012192i
-0.0096179+0.024638i,-0.028226+0.045468i,-0.0071861+0.036726i,-0.0043409+0.035103i,0.0065327+0.034098i,0.034672+0.017524i,0.01598+0.015141i,0.016706+0.028743i,-0.0022697+0.018409i,-0.0013428+0.003788i,-0.003074+0.0036698i,-0.0047855+0.0068638i,-0.0018839+0.0062451i,-0.0027244+0.0066514i,0.0052074+0.002201i,0.0019395+0.0099978i,0.0036307+0.012904i,0.0008838-0.00053185i,-0.0010134-0.0043451i,-0.0031643-0.00265i,-0.0033077-0.0018864i,-0.0027103-0.0031919i,-0.0021763-0.0027719i,-0.0073206+0.004718i,-0.0014698+0.00093774i,-5.4738e-05+0.0016294i,-0.0014551+0.0007479i,-8.3515e-05+0.0013i,-0.0011005+0.001862i,-0.0015828+0.0001138i,0.0059232-0.00060521i,5.3854e-05-0.00061614i,-0.00055847-0.0011651i,0.00085539-0.0010409i,0.0023584+0.00096909i,-0.0064899-0.0066108i,-0.00014174+0.001423i,0.00027389+0.0017306i,0.00032471-0.0010882i,0.0024016-0.0026117i,-0.0019959-0.0015754i,-0.0005586-0.0017096i,0.00068867+0.0046782i,-0.0027452+0.0050597i,-0.036291+0.016185i,-0.074914-0.031035i,-0.061601+0.011858i,-0.083089+0.015497i,-0.093602+0.032893i,-0.041019+0.02382i,-0.029205+0.055327i,-0.0091075+0.024308i,-0.047858-0.011741i,-0.059595-0.025472i,-0.024286+0.013955i,-0.0036844-0.0044464i,0.017992+0.0023011i,0.0030518-0.0089908i,-0.0059669-0.0034144i,-0.014946+0.016649i,0.00081473+0.0040859i,0.0051522+0.0031925i,0.0049877+7.3742e-05i,0.017899+0.0010988i,0.0030377+0.0034435i,0.0022119-0.00068589i,-0.0028358-0.0082263i,0.001354+0.0035995i,0.00087391+0.0033309i,-0.0018284+0.0098302i,-0.0016854+4.3971e-06i,0.0037766-0.0033139i,0.009209+0.0010374i,0.0014577-0.00032971i,-0.015845-0.017518i,0.0034095-0.0068482i,0.0013921-0.0057313i,0.0043273+4.0724e-05i,0.001769+7.7108e-05i,0.0016237-0.010692i,0.0022554+0.0001088i,-0.0025822+0.0084265i,0.0027381+0.0017029i,0.0025844-0.0037599i,-0.0026703-0.0087883i,-0.0011926-0.0048911i,0.0025521-0.0054026i,-0.0027346-0.0059769i,-0.00092002-0.022109i,-0.07626+0.020417i,-0.013605+0.0083619i,-0.0064571-0.016189i,-0.006353-0.0088158i,-0.004864+0.024327i,-0.011603+0.011346i,-0.0033112+0.011961i
-0.0065453+0.024834i,-0.021388+0.050008i,-0.0033465+0.039087i,0.00061382+0.033613i,0.0087368+0.031396i,0.036143+0.010527i,0.01882+0.01076i,0.02003+0.024522i,0.00040493+0.018603i,-0.00076744+0.0037988i,-0.0017192+0.005995i,-0.0018337+0.008553i,0.00013365+0.0067872i,-0.00048326+0.0066182i,0.0052062+0.00070093i,0.0053059+0.0091847i,0.0076813+0.010083i,0.0010086-0.00059991i,-0.0022948-0.0038117i,-0.0037256-0.001115i,-0.0030795-0.00056709i,-0.0033524-0.0024045i,-0.0027598-0.0018531i,-0.006891+0.0061785i,-0.0011073+0.0018125i,-3.2046e-06+0.0020004i,-0.0011764+0.0015824i,-0.00013368+0.00097106i,-0.00030613+0.0016423i,-0.0012824+0.00041745i,0.0046932-0.0025272i,9.717e-05-0.00027948i,-0.00065789-0.00098898i,0.0002992-0.0011034i,0.0026066-0.00017113i,-0.0090848-0.0048733i,0.00027912+0.0013662i,0.0011958+0.0014172i,-0.00035385-0.0011562i,0.0018256-0.0026554i,-0.0020447-0.00082431i,-0.0012764-0.0014905i,0.0019479+0.003805i,-0.0008178+0.0064352i,-0.031962+0.022066i,-0.073818-0.023812i,-0.060567+0.016151i,-0.076521+0.030593i,-0.081923+0.05005i,-0.038471+0.029868i,-0.019928+0.054815i,-0.0053005+0.019417i,-0.047518-0.0061089i,-0.061904-0.016284i,-0.020255+0.018216i,-0.00448-0.0040137i,0.011502-0.0080556i,-0.00025659-0.010945i,-0.0063905+8.0854e-05i,-0.006531+0.020362i,0.0013877+0.0034477i,0.0062944-0.00093825i,0.005919-0.00024159i,0.015469-0.005407i,0.0050101+0.0027899i,0.0023824+0.00056688i,-0.0070779-0.0035887i,0.0032144+0.0050047i,0.0019358+0.0046507i,0.0041165+0.007985i,-0.0010223+9.6381e-05i,0.0026248-0.0038871i,0.0093145-0.0033561i,-1.2164e-05-0.0008392i,-0.022157-0.010975i,0.0013727-0.0067702i,-0.00099574-0.0041952i,0.0045654+0.00077825i,0.0019717-0.00046298i,0.00039349-0.011687i,0.0021135-0.0011168i,0.0014442+0.0068446i,0.0027575+0.0012249i,0.0023559-0.0032144i,-0.005569-0.0051495i,-0.0044956-0.0053746i,5.6888e-05-0.005163i,-0.0050445-0.0055067i,-0.0083948-0.018461i,-0.070454+0.028899i,-0.0085031+0.007695i,-0.0076215-0.015054i,-0.0091274-0.0074027i,-0.0011279+0.022677i,-0.0097523+0.013509i,-0.0016501+0.010035i
-0.0032746+0.024679i,-0.013107+0.053189i,0.0023+0.041306i,0.0049658+0.032312i,0.010949+0.029943i,0.036306+0.0038662i,0.020605+0.0058571i,0.023112+0.020666i,0.0033828+0.01811i,0.0001116+0.0039934i,0.0011119+0.0068647i,0.0015965+0.0083174i,0.0021183+0.0066365i,0.00097193+0.0063249i,0.0050516-0.0004786i,0.0080174+0.006945i,0.01022+0.006852i,0.0012958-0.0013896i,-0.0032031-0.0030277i,-0.0033489+0.00063532i,-0.0025076+0.00035521i,-0.0037835-0.0011192i,-0.0029743-0.0010476i,-0.0045464+0.0081718i,-0.00041978+0.0023076i,0.00090436+0.0022799i,-0.00036952+0.0020078i,-0.00046242+0.0011138i,0.000169+0.0015653i,-0.00093449+0.00075632i,0.003201-0.0040026i,0.0004165-0.00061463i,-0.0011846-0.00088534i,-0.00019278-0.0010437i,0.001986-0.0012537i,-0.01088-0.0016386i,0.00060115+0.001257i,0.0013651+0.0012353i,-0.0014569-0.0009856i,0.0014503-0.0025421i,-0.0017372-0.00037534i,-0.0016482-0.00099568i,0.0025778+0.0025613i,0.0010592+0.0072621i,-0.027242+0.025437i,-0.07843-0.017386i,-0.059314+0.022011i,-0.068283+0.042395i,-0.066118+0.06141i,-0.034438+0.034974i,-0.010456+0.053151i,-0.002863+0.01635i,-0.046329-0.00026521i,-0.061603-0.0062763i,-0.015982+0.021579i,-0.0059422-0.002962i,0.0032632-0.0095057i,-0.0043249-0.011151i,-0.0050979+0.0038997i,0.00012393+0.01798i,0.0011552+0.0028113i,0.0050338-0.0048139i,0.0051986-0.0014625i,0.011278-0.010874i,0.0064817+0.00082986i,0.0036326+0.00076492i,-0.0073863-0.00028359i,0.0053422+0.005056i,0.0043328+0.0055691i,0.0070955+0.005184i,-0.00079641+0.0010122i,0.0020127-0.0039643i,0.0028151-0.0059977i,-0.00036114+0.00087056i,-0.024048-0.00232i,-3.7488e-05-0.0067398i,-0.0016923-0.002398i,0.0058711-0.00036258i,0.0017751-0.00080413i,-0.0026534-0.012865i,0.00087695-0.0016852i,0.0038575+0.0059835i,0.0033756+0.00035324i,0.0030291-0.0037578i,-0.0071511-0.0026661i,-0.0081339-0.0016466i,-0.002811-0.0036442i,-0.0065874-0.0046395i,-0.012713-0.0131i,-0.064518+0.036119i,-0.0080446+0.0062575i,-0.0081584-0.017298i,-0.010888-0.00541i,-0.00016862+0.021661i,-0.0090323+0.014979i,-0.0002403+0.0084255i
0.00032618+0.024503i,-0.0033909+0.054568i,0.01014+0.041724i,0.0089035+0.030827i,0.014353+0.029681i,0.035672-0.0025433i,0.021032+0.00041434i,0.025976+0.016421i,0.0064604+0.017014i,0.00089081+0.003969i,0.0036255+0.0056207i,0.0038183+0.0062932i,0.0039268+0.0061001i,0.0026831+0.005841i,0.0046143-0.0016936i,0.0091575+0.003722i,0.01152+0.0031629i,0.0001822-0.002263i,-0.0041297-0.001771i,-0.0020412+0.0015885i,-0.0015678+0.00058831i,-0.0034137+1.1907e-07i,-0.0030697-9.4217e-05i,-0.0013735+0.0085744i,0.00048375+0.002437i,0.0016675+0.0017244i,0.0005507+0.0020712i,-0.00013467+0.0016611i,0.00077294+0.0012023i,-0.00058145+0.00077964i,0.001056-0.0045365i,-5.3177e-05-0.00098729i,-0.001454-0.0001751i,-0.0006524-0.00095609i,0.0010001-0.0018305i,-0.010634+0.0023085i,0.00085438+0.001089i,0.0016758+0.00084481i,-0.0021055-2.9509e-05i,0.0010265-0.0028131i,-0.0017314-7.3538e-05i,-0.0015108-0.00073752i,0.0023595+0.0015249i,0.0034033+0.0073767i,-0.022847+0.028694i,-0.086471-0.004445i,-0.05499+0.027765i,-0.056875+0.051017i,-0.051152+0.06854i,-0.029424+0.041496i,-0.001272+0.049027i,0.0022105+0.013034i,-0.044142+0.0055953i,-0.058832+0.00362i,-0.0107+0.024987i,-0.0074841-0.0018634i,-0.0022966-0.008887i,-0.0090036-0.0098403i,-0.0011253+0.0053073i,0.0041607+0.015319i,-0.00014437+0.002888i,0.0027998-0.0076166i,0.0055662-0.001086i,0.0046495-0.013438i,0.0068701-0.0026215i,0.0048862-0.00019305i,-0.0075757+0.0036201i,0.0083956+0.0040555i,0.0077751+0.0035508i,0.0090383+0.0022303i,0.0005647+0.0017484i,0.0012742-0.0042806i,-0.0011524-0.008271i,0.0010812+0.0022235i,-0.021703+0.0067895i,-0.0019354-0.0066215i,-0.0012541-0.00054012i,0.0062629-0.0043911i,0.0019132-0.00087875i,-0.0080978-0.012372i,-0.00013486-0.0012852i,0.0060897+0.003574i,0.0032355-0.00035276i,0.0022307-0.0045713i,-0.007076+0.0018717i,-0.0069092+0.0028914i,-0.0046935-0.0014154i,-0.008755-0.0036145i,-0.014545-0.0082244i,-0.058801+0.042234i,-0.0084805+0.0090876i,-0.012267-0.021363i,-0.0096031-0.0033245i,0.0029676+0.02159i,-0.0085459+0.018264i,0.0013768+0.0056095i
0.0042289+0.023372i,0.0060668+0.053705i,0.017995+0.039071i,0.013065+0.028927i,0.018941+0.028473i,0.034197-0.0085355i,0.019836-0.0047428i,0.028092+0.011365i,0.0092205+0.015267i,0.0015604+0.0039725i,0.0045917+0.0040302i,0.0043921+0.0044723i,0.0055221+0.0045681i,0.0040582+0.0047241i,0.0038172-0.0026524i,0.0088511+0.00095814i,0.011513-0.00043104i,-0.00078633-0.001947i,-0.0039241-0.00016511i,-0.00080357+0.0016596i,-0.00086772+0.00026607i,-0.0029184+0.00061326i,-0.002554+0.00071678i,0.0013788+0.0082972i,0.0014238+0.0020229i,0.0021231+0.0010414i,0.0012997+0.0017569i,0.00058156+0.001671i,0.00096117+0.00049753i,-0.00051058+0.00081622i,-0.00089078-0.0040016i,-0.00073614-0.00097156i,-0.0013307+0.00043316i,-0.0010182-0.00062287i,6.0291e-06-0.0018841i,-0.0091161+0.0055766i,0.0010943+0.00066391i,0.0017524+9.9645e-05i,-0.0019098+0.0012531i,0.00046903-0.0030925i,-0.0015496+0.00027893i,-0.0015695-0.00080272i,0.0020694+0.0011i,0.0055806+0.0066547i,-0.017913+0.031193i,-0.088385+0.015604i,-0.052182+0.031578i,-0.046394+0.055714i,-0.034128+0.073178i,-0.020966+0.047781i,0.0053259+0.042537i,0.0048884+0.0058633i,-0.038877+0.010487i,-0.053136+0.013315i,-0.0034103+0.025531i,-0.0086723+0.0006367i,-0.0080977-0.0059675i,-0.011713-0.0064224i,0.0019329+0.0035999i,0.0067622+0.011755i,-0.0020712+0.004178i,-0.00090567-0.0099129i,0.006528-0.0031439i,-0.0020225-0.011988i,0.0045105-0.0050897i,0.0052523-0.0025409i,-0.0060862+0.0069893i,0.010696+0.00010401i,0.0087844-0.0016538i,0.0086677-0.0042673i,0.0023653+0.0011963i,7.9969e-05-0.0045079i,-0.0044832-0.0049379i,0.0031432+0.0011829i,0.0056078+0.022001i,-0.001813-0.0053591i,0.00024696+0.00038768i,0.0028038-0.0063883i,0.0019386-0.0010955i,-0.013013-0.0080547i,-0.00011325-4.1598e-05i,0.0067887+0.00034221i,0.0024739-0.0010928i,0.0012948-0.004665i,-0.0044978+0.0050502i,-0.0043686+0.0054892i,-0.004872+0.002081i,-0.011038-0.0011486i,-0.014777-0.0044513i,-0.051384+0.050446i,-0.0024783+0.01162i,-0.020058-0.02111i,-0.0079904-0.0042622i,0.0051935+0.020814i,-0.0049108+0.021719i,0.0017646+0.0023637i
