-0.023241-0.018826i,-0.03217-0.034205i,-0.022526-0.019628i,-0.032285-0.020195i,-0.023974+0.0039935i,-0.029054-0.017519i,-0.05939-0.04106i,-0.039873-0.043383i,-0.032307-0.019848i,0.0055844+0.0054394i,-0.0037398+0.0060113i,-0.010786+0.011249i,0.0039308+0.0072178i,-0.0038968-0.0026434i,0.0026436+0.0017612i,0.0049055+0.030251i,0.02225+0.027264i,-5.8067e-05+0.00017378i,-0.0030553-0.0027478i,0.0078626+0.004506i,0.0019456+0.00050629i,-0.00035862+0.0022668i,-0.00062557+0.0004748i,-0.031814-0.00090817i,-0.0033001-0.005253i,7.1146e-05+0.0024836i,0.0042605-0.00036311i,0.00084-0.00051928i,-0.00036927-0.000579i,-0.001216-0.001552i,-0.0023692-0.00089553i,-0.0038759-0.0040605i,-0.0027076-0.0052413i,0.00022601-0.0014168i,0.00031151-0.0025982i,-0.0044943+0.025349i,0.0019891-0.0030477i,0.0022145-0.0045457i,0.0040621-0.002274i,-0.0085598-0.0028412i,0.00084236+0.00099928i,0.0037082+0.0038306i,-0.0026866-3.731e-05i,-0.0030221+0.00094683i,-0.0090511-0.0030782i,-0.018975+0.021397i,-0.0077991-0.085937i,-0.0018541-0.06075i,-0.021799-0.054075i,-0.01039-0.045476i,0.053741-0.025902i,0.02441-0.067509i,0.04117-0.053073i,0.018598-0.039431i,0.026168-0.019757i,0.012248+0.011924i,0.024643-0.028613i,-0.012976-0.0017233i,-0.00078334-0.00094766i,-0.0070703-0.0018829i,-0.0050535-0.029078i,-0.02116+0.027202i,0.0078368-0.0091662i,-0.0098776-0.0029157i,-0.0023227-0.0018532i,-0.00066024-0.014377i,-0.0079643+0.0049456i,0.0051084+0.010377i,-0.010331+0.031164i,0.0064679+0.0072895i,-0.003369-0.001735i,-0.0024002-0.0017625i,-0.012707-0.0063699i,5.4749e-05-0.0038494i,-0.030185+0.0047047i,0.0037295-0.0088487i,-0.0077096-0.0017267i,-0.0053558-0.002718i,0.0064623+0.0020688i,-0.010391+0.00084763i,0.0024595-0.00034593i,0.0070457+0.0080798i,0.0052535+0.0015563i,-0.0079298-0.0099355i,0.0025205+0.0078074i,-0.01955+0.0080778i,0.0032051+0.0057765i,-0.021304-0.0088481i,-0.026957-0.0054008i,0.011034-0.061294i,0.018542-0.015027i,-0.051884-0.030089i,-0.02318+0.0021673i,0.01908+0.010345i,-0.026937+0.011532i,-0.012666-0.0078941i
-0.011564+0.013628i,-0.021662+0.041976i,0.001428+0.040253i,-0.010763+0.024901i,-0.00024286+0.021052i,0.0016239+0.023134i,-0.025162+0.015176i,-0.025598+0.03421i,-0.00020419+0.017116i,-0.0011687-0.0010758i,-0.0010374+0.0017953i,0.0042772+0.0034672i,0.0036547+0.0050186i,-0.0031855+0.0018175i,-0.003362+0.003074i,-0.00012984-0.0076403i,-0.007501-0.0013888i,-0.0021015+8.3929e-05i,9.716e-05-0.0012944i,-0.0011019-0.00043284i,0.0009157-0.0034636i,0.0011009-0.0025687i,0.00095937-0.0014736i,-0.010417-0.0084006i,-5.1056e-05-0.0004053i,-0.001418+0.00032718i,-0.0026408+1.6225e-05i,-0.0030403-8.2112e-05i,-0.00084459-0.00081763i,0.00114-0.00077543i,-0.0017003-0.00015534i,0.0015756-0.00027347i,0.0014703-0.00046821i,0.00088624+0.00056133i,-0.00040183+0.0018299i,-4.4716e-05-0.0064165i,-0.0013467+0.00099249i,0.0019046+0.00011429i,0.0019283+0.0022704i,0.0042418+0.0055912i,0.00098115-0.0017794i,-0.0014695-0.0011341i,-0.0017193-0.0019128i,0.00276+0.0073592i,-0.0072926+0.0073072i,0.020325-0.058187i,-0.074089+0.014077i,-0.027073-0.018458i,-0.060625-0.048291i,-0.052761-0.017585i,-0.085879+0.004347i,-0.073112+0.0022852i,-0.047606-0.0337i,-0.0080475-0.044632i,-0.038791-0.024566i,-0.0063256+0.00035517i,-0.031538+0.0099981i,0.0077592+0.011529i,0.0099618+0.0069092i,0.0024583-0.0064843i,0.010376+0.0038647i,-0.010056-0.002381i,0.0032843+0.011212i,0.0014639+0.0069212i,-0.00016232-0.0015985i,0.0056967+0.0016971i,0.0041665+0.00012524i,-0.0060129+0.019282i,0.0012481+0.0091516i,0.00050515-0.0039858i,0.0080685-0.0062519i,0.0010789+0.0041395i,-0.0084519-0.0074722i,-0.0026768-0.0011397i,0.023555-0.028661i,0.0053084+0.008817i,0.0020229+0.002706i,-0.002081+0.0043738i,0.0031253-0.0038449i,0.020306+0.0030869i,0.0013887-0.0018647i,-0.0018621-0.0084185i,-0.0007089-0.0018098i,0.011303+0.0042176i,0.0052989-0.00054876i,0.00344-0.0088904i,0.0041293+0.0053115i,-0.0059993+0.003412i,0.013253+0.0068573i,-0.042136-0.039124i,-0.012731+0.0059517i,-0.002158-0.0014499i,-0.001189+0.0029217i,-0.041703+0.010592i,-0.0061203+0.00873i,-0.012747+0.0035239i
-0.0086443+0.01447i,-0.014431+0.042686i,0.010313+0.034023i,-0.0056603+0.025543i,0.0026989+0.018722i,0.0060455+0.021972i,-0.023643+0.019033i,-0.017661+0.036108i,0.0036353+0.012252i,-0.0015807-0.00044695i,-4.9002e-05+0.0030216i,0.0047956+0.0012187i,0.0043813+0.0030755i,-0.0015644+0.0028652i,-0.0026179+0.0039344i,-0.0047287-0.005204i,-0.0084831+0.0025371i,-0.0017173+0.0010688i,0.00081309-0.00074515i,-0.00052734+2.1665e-05i,-0.00015649-0.0031145i,0.0011362-0.0020774i,0.0007822-0.0013043i,-0.011813-0.0043881i,0.00010181-0.00038679i,-0.0013812+0.00062993i,-0.0018206+0.00099836i,-0.0022897+0.00072605i,-0.00096793-0.00069904i,0.00098507-0.00095254i,-0.0016926+0.00070625i,0.0011841-0.00053274i,0.0011436-0.00050199i,0.0004709+0.00041864i,-0.00099086+0.0015969i,0.00039406-0.005093i,-0.00081346+0.0010735i,0.0010127-0.000493i,0.00098323+0.001126i,0.0055588+0.0029542i,0.00048593-0.002009i,-0.0021745-0.00087906i,-0.0027033-0.0008322i,0.0044591+0.0062552i,-0.0053825+0.0054189i,0.0020058-0.067516i,-0.064895+0.027795i,-0.034292-0.02155i,-0.073721-0.039334i,-0.053202-0.0062234i,-0.076808+0.021105i,-0.069683+0.016169i,-0.041592-0.030912i,-0.013492-0.043136i,-0.044904-0.0111i,-0.0070688+0.00056693i,-0.025513+0.022418i,0.010241+0.0057797i,0.011656+0.00089282i,-0.0025741-0.012228i,0.0072823+0.0031029i,-0.010529+0.0028808i,0.0074052+0.0096323i,0.0036782+0.0083432i,-0.00066238-0.0010294i,0.0065491+0.0021599i,0.005027-0.00025634i,0.0027869+0.017307i,0.0045436+0.0045094i,-0.0033735-0.0055873i,0.0018148-0.0068227i,0.0027101+0.0049882i,-0.011854-0.00054912i,-0.0020827+0.0017346i,0.0073612-0.033482i,0.0082887+0.0077902i,0.0041193+0.0020303i,0.0021529+0.0032153i,-0.00017038-0.0019361i,0.017426-0.0061455i,-0.00021888-0.0025213i,-0.0050584-0.0054022i,-0.0032462-0.00040825i,0.010276-0.00016045i,0.0045509-0.00032915i,0.00012417-0.0066185i,0.0062455+0.0037415i,-0.0055336+0.0056884i,0.013327+0.0020957i,-0.049605-0.033115i,-0.007341-0.0048343i,-0.0025492-0.0023318i,0.00044335+0.0017682i,-0.035105+0.023867i,-0.0040746+0.0091373i,-0.012408+0.005213i
-0.0055109+0.014452i,-0.0075357+0.043156i,0.015153+0.026622i,-0.00080919+0.024389i,0.0062397+0.01751i,0.010134+0.019462i,-0.02092+0.02302i,-0.0097969+0.034531i,0.0035126+0.0082181i,-0.0018409+0.00056099i,0.0018733+0.0033425i,0.0023438-0.0002436i,0.004514+0.0018344i,-0.00071453+0.0029617i,-0.0012866+0.0047853i,-0.0072986-0.00066936i,-0.0072886+0.0070683i,-0.000847+0.0015486i,0.0013691-0.0015918i,0.00022407-0.00037307i,-0.0011017-0.003015i,0.00098578-0.0027845i,0.00086538-0.0014964i,-0.011949-0.0011187i,-6.3848e-05-0.00036752i,-0.0011179+0.0015178i,-0.00088542+0.0007362i,-0.0013361+0.0015936i,-0.0012446-0.00069058i,0.00051766-0.0014347i,-0.0010501+0.0015179i,0.00075825-0.00073243i,0.00043494-0.0011536i,0.0006075+0.00011712i,-0.00045606+0.0025257i,0.0014278-0.0060396i,-0.00068791+0.00077078i,0.00034398-0.00082461i,0.0017274+0.0007976i,0.0054052+0.00074996i,-0.00014803-0.0019112i,-0.001688+0.0002708i,-0.0031918+0.00037904i,0.0055024+0.0037851i,-0.0047854+0.0039924i,-0.020333-0.068186i,-0.051871+0.037045i,-0.043054-0.01835i,-0.081712-0.024659i,-0.048835+0.0028231i,-0.061999+0.031824i,-0.057724+0.028377i,-0.043252-0.032406i,-0.018786-0.042745i,-0.044218+0.0038321i,-0.0073599+0.0016982i,-0.013214+0.02895i,0.01046+0.001097i,0.0083439-0.0049143i,-0.013431-0.012079i,0.0076186+0.00091153i,-0.0067275+0.0065944i,0.010844+0.0048856i,0.0060111+0.0067578i,-0.0028931+0.000359i,0.0067146-0.0016252i,0.00597-0.0026296i,0.0073635+0.011584i,0.004018+0.0012479i,-0.0082693-0.0026622i,-0.0003203-0.0047739i,0.0058314+0.0039158i,-0.0071785+0.0084883i,0.0003877+0.0029643i,-0.0023197-0.031475i,0.012223+0.0036302i,0.0038245+0.0001009i,0.0013045+0.0010368i,0.00061963-2.5007e-05i,0.011264-0.010958i,-0.0024491+0.00045479i,-0.0064942-0.0022166i,-0.0030811+0.003309i,0.0068964-0.0025467i,0.0073898-0.0016515i,-0.00011162-0.005915i,0.0086965+0.00079329i,-0.0025725+0.0068013i,0.012244-0.002402i,-0.054623-0.022225i,-0.01362-0.011422i,-0.0015392-0.0035432i,0.0030373-0.00020707i,-0.023883+0.031045i,-0.0035411+0.0048144i,-0.0074847+0.0018877i
-0.0026186+0.013299i,-0.00016899+0.042606i,0.017464+0.019549i,0.0039389+0.02313i,0.010325+0.014055i,0.01336+0.015951i,-0.016661+0.026641i,-0.0050916+0.031217i,0.0030849+0.0065888i,-0.0013565+0.0016904i,0.0029849+0.0019727i,0.0011062+0.0014193i,0.0041762+0.00067323i,-0.00056834+0.0036957i,0.00025334+0.0050995i,-0.0067536+0.0046554i,-0.0028994+0.0098861i,7.7621e-05+0.001453i,0.00060994-0.0023144i,-3.5007e-05-0.0010432i,-0.0019287-0.0024685i,0.00044014-0.0029681i,0.00065218-0.0021729i,-0.011379+0.0024712i,7.9167e-05-0.00050163i,0.00045636+0.0013389i,-0.00075764+0.00021277i,-0.00026132+0.001413i,-0.0015914+3.5858e-05i,-0.00024644-0.0013333i,4.1971e-05+0.0017501i,0.00024072-0.00076663i,-0.00046526-0.0012054i,0.00042717-7.3866e-05i,0.00086728+0.0021884i,0.00090888-0.0084989i,-0.00025258+0.0010864i,-0.00037829-0.00056002i,0.0018835-0.00062742i,0.0048717-0.00054287i,-0.00051282-0.001936i,-0.0009071+0.00032169i,-0.003101+0.0019361i,0.004732+0.00079373i,-0.0051094+0.0036201i,-0.039482-0.056927i,-0.038213+0.040325i,-0.04975-0.011148i,-0.085894-0.0090259i,-0.042636+0.0082081i,-0.049313+0.03536i,-0.044109+0.031065i,-0.046948-0.028801i,-0.024439-0.038653i,-0.039321+0.014814i,-0.0074889+0.0031805i,-0.0011605+0.02925i,0.0093358-0.0033427i,0.0029034-0.0066142i,-0.020962-0.0025268i,0.0048941+2.9328e-06i,-0.0027986+0.007412i,0.0094633-0.0017587i,0.0081563+0.0051402i,-0.002925+0.0031526i,0.0034413-0.0026234i,0.0052681-0.0064554i,0.0076988+0.0056376i,0.0012864-0.00030046i,-0.0088321+0.0019257i,-0.0017313-0.003549i,0.0070276+0.0012697i,0.0021139+0.010255i,0.001903+0.0018589i,-0.0089832-0.025527i,0.01238-0.0012486i,0.0037213-0.001129i,0.0018744+0.0012298i,0.00090772-0.00042945i,0.005838-0.011513i,0.00010941+0.0025317i,-0.0066467+0.0012803i,-0.00024921+0.0049772i,0.0048875-0.0021358i,0.007227-0.0056554i,-0.0024546-0.0053045i,0.0077932-0.0042631i,-0.00058886+0.0056832i,0.010269-0.0067408i,-0.053437-0.0095339i,-0.022566-0.014317i,-0.0022317-0.0077033i,0.0035957-0.0053644i,-0.014388+0.030332i,-0.007394+0.0044609i,-0.010693-0.0001266i
-0.00091231+0.011929i,0.00622+0.040717i,0.01685+0.013899i,0.0084701+0.02044i,0.012702+0.0094685i,0.015186+0.01213i,-0.011017+0.028848i,-0.0020227+0.028768i,0.0036974+0.0055029i,-6.8478e-05+0.0021891i,0.0031202+0.001106i,0.0020018+0.002436i,0.0039171-0.00034794i,0.0010862+0.0045492i,0.0017662+0.0050514i,-0.0035167+0.008257i,0.0018124+0.010223i,0.00063738+0.0011762i,0.00023573-0.0021859i,-0.00055156-0.0011927i,-0.0025987-0.0017058i,-0.00043577-0.0029518i,-0.0002455-0.0024776i,-0.0089331+0.0049184i,-0.00018577-0.0010877i,0.00018824+0.00022371i,-0.00076334+9.2637e-05i,0.00021762+0.0007466i,-0.0013558+0.00079753i,-0.00041842-0.00080639i,0.00042829+0.0014347i,-5.698e-05-0.00095648i,-0.00075706-0.00087414i,0.00015676-0.00020043i,0.0010876+0.0014891i,-0.0020187-0.010202i,8.039e-05+0.0011102i,-0.00028807+0.00024978i,0.00073163-0.00097274i,0.0042622-0.0013136i,-0.0011139-0.0017085i,-0.00073552+0.00022494i,-0.0017274+0.0027532i,0.0034071+0.00099137i,-0.0050432+0.0043356i,-0.046954-0.039975i,-0.027539+0.03835i,-0.054657-0.0015296i,-0.087192+0.0080018i,-0.038368+0.009234i,-0.038748+0.036353i,-0.034751+0.030644i,-0.049287-0.02529i,-0.027053-0.034653i,-0.032705+0.024648i,-0.0068942+0.004681i,0.012006+0.024982i,0.0067814-0.0057299i,-0.001767-0.005391i,-0.021609+0.0066661i,0.0038257+0.00037465i,0.00057832+0.007245i,0.0042999-0.0036309i,0.010141+0.0024373i,-0.0012093+0.0048777i,0.0013752-0.0013616i,0.0022707-0.0090765i,0.0041617+0.0020988i,-0.00067263+0.0011926i,-0.0086037+0.0071325i,-0.0029211-0.0014047i,0.0069486-0.0014266i,0.0065374+0.0053909i,0.002548+0.00095671i,-0.012109-0.023305i,0.010097-0.0060325i,0.0024635-0.0023441i,0.0044469+0.0022676i,0.00071874-0.00020565i,0.0030786-0.0097517i,0.0019111+0.0015001i,-0.004197+0.0052693i,0.0026383+0.0046202i,0.0044693-0.0023689i,0.004128-0.010693i,-0.0029885-0.0034896i,0.0035176-0.0071379i,-0.0002648+0.0047369i,0.0053539-0.010286i,-0.047748-0.0025895i,-0.033264-0.0064878i,-0.0055429-0.0096258i,0.00073697-0.0097904i,-0.0081762+0.028953i,-0.010383+0.007507i,-0.012418+0.0020931i
0.00039188+0.011006i,0.012047+0.038543i,0.015863+0.01101i,0.011742+0.016455i,0.012801+0.0046854i,0.016509+0.0088363i,-0.004753+0.028726i,0.00044046+0.027055i,0.0042663+0.0033364i,0.0006456+0.0014556i,0.0026986+0.00034704i,0.0030831+0.0024337i,0.003323-0.0012833i,0.0027474+0.0036423i,0.0030121+0.0044726i,0.00066925+0.0094024i,0.0056435+0.0083463i,0.00099503+0.00085934i,-0.00029794-0.0023787i,-0.0011805-0.001054i,-0.0026431-0.00053537i,-0.00093399-0.0026941i,-0.00098339-0.0020847i,-0.0072277+0.0056673i,-0.0010343-0.00036962i,-0.00025719-5.0867e-06i,-0.00092961+0.00013343i,0.00031674+6.7959e-05i,-0.00062784+0.0011608i,-0.00040053-0.0006039i,0.00086616+0.001265i,-0.00059454-0.00094049i,-0.00054745-0.00042763i,-0.0001802-0.00021821i,0.0013149+0.0014709i,-0.0058982-0.010752i,0.00010798+0.00076184i,0.00026601+0.00029496i,0.00018626-0.00082934i,0.0034803-0.0019658i,-0.0013868-0.00099237i,-0.00080514+0.00026695i,-0.00057073+0.0027564i,0.0038087+0.0016212i,-0.0039298+0.0053086i,-0.04571-0.027434i,-0.020863+0.036087i,-0.055414+0.011763i,-0.082368+0.028204i,-0.038977+0.010114i,-0.030259+0.035129i,-0.026828+0.029601i,-0.050504-0.019831i,-0.03061-0.031537i,-0.022837+0.030223i,-0.0065117+0.0066316i,0.018847+0.01136i,0.0044437-0.0078442i,-0.0047481-0.0019476i,-0.017413+0.01525i,0.0037277-0.00061507i,0.0038027+0.0054695i,0.0015615-0.0018435i,0.011411-0.001856i,0.00087061+0.0061818i,0.00091613-0.00020166i,-0.003057-0.010234i,0.0026169+0.0042889i,-0.00032649+0.0034673i,-0.002519+0.011676i,-0.0017843+0.000773i,0.0058203-0.0032683i,0.0075648+0.0016659i,0.0034662-0.00071553i,-0.020288-0.021192i,0.0062385-0.008175i,0.00081348-0.002613i,0.004963-0.0024677i,0.00086993+0.00095802i,0.0020199-0.0080576i,0.0024995+6.9512e-05i,-0.00097055+0.0063866i,0.0042361+0.0013917i,0.0035532-0.003028i,-0.0032671-0.010939i,-0.0032132-0.003146i,0.0010115-0.0064054i,0.00062796+0.0036055i,-0.00069748-0.010573i,-0.04481+0.0016861i,-0.030744+0.0086446i,-0.0092744-0.0097178i,-0.0034174-0.011382i,-0.0041668+0.027861i,-0.008527+0.012477i,-0.0097564+0.0040859i
0.0017273+0.010012i,0.017871+0.036169i,0.015916+0.0089277i,0.013261+0.012044i,0.011341+0.0013833i,0.017463+0.0052455i,0.00050128+0.02711i,0.0029255+0.026125i,0.0041429+0.0018203i,0.00077439+0.0012143i,0.0022598+0.00038948i,0.0045424+0.0021785i,0.0024261-0.0017813i,0.0035625+0.0019505i,0.0037409+0.0036365i,0.0042861+0.0087031i,0.0077989+0.0054715i,0.0013372+0.00057035i,-0.00094851-0.0024052i,-0.0015933-0.00042954i,-0.0021968+0.00028152i,-0.0015324-0.0025151i,-0.0014297-0.0015882i,-0.0062248+0.0071552i,-0.0010006-7.7327e-05i,-0.00068712+0.00024802i,-0.00068095+0.0006096i,-0.00020827-0.00033317i,-0.00023544+0.00084898i,-0.00051589-0.0005955i,0.0013502+0.00081802i,-0.00069021-0.00041388i,-0.00032088-0.00011783i,-0.0002743-8.9859e-05i,0.0018609+0.00058184i,-0.0099456-0.0085844i,0.00031698+0.00047045i,0.00020581-0.00017687i,-0.00012664-0.00071829i,0.0024308-0.0023839i,-0.0012628-0.00037872i,-0.00053232+0.00042481i,0.00026292+0.0021639i,0.0041921+0.001001i,-0.0022029+0.0053485i,-0.043857-0.02269i,-0.015631+0.034802i,-0.049914+0.024173i,-0.070567+0.045011i,-0.039444+0.0156i,-0.023814+0.03445i,-0.021814+0.026921i,-0.050879-0.014985i,-0.033423-0.026636i,-0.014174+0.032596i,-0.0039365+0.0075712i,0.013594-0.001547i,0.00080729-0.010331i,-0.0048165+0.0010777i,-0.010656+0.018138i,0.0023064-0.0019345i,0.0046311+0.0020534i,0.0019303-0.00062344i,0.0095843-0.0055223i,0.0046413+0.0057678i,0.0011625+0.0015926i,-0.0079332-0.0050395i,0.0038975+0.0054388i,0.0012269+0.005031i,0.003024+0.010517i,-0.00087005+0.0011652i,0.0044218-0.004769i,0.0081115-0.0034088i,0.0014931-0.0017858i,-0.027017-0.010615i,0.0033835-0.0083452i,-0.00023841-0.001665i,0.0043376-0.0010296i,0.0019582+0.00072282i,0.0024215-0.0091603i,0.0020653-0.0011968i,0.0019469+0.0054141i,0.0031908+0.00041498i,0.0034024-0.0025529i,-0.0068573-0.0067304i,-0.004633-0.0026531i,-0.0029334-0.0063932i,0.00053691+0.0021969i,-0.0047258-0.0077621i,-0.04137+0.0067496i,-0.024068+0.010254i,-0.0096982-0.0090157i,-0.0071513-0.011276i,0.00077099+0.024749i,-0.0062029+0.013464i,-0.0085655+0.0039352i
0.0028133+0.0088561i,0.023388+0.032969i,0.016822+0.0071661i,0.013412+0.0084831i,0.0094324-0.00056752i,0.017552+0.0017582i,0.0051307+0.024736i,0.0058828+0.025395i,0.0037248+0.00023332i,0.00098854+0.0010296i,0.0026381+0.00051479i,0.0059887+0.0003554i,0.0015175-0.0018379i,0.0029179+0.00089323i,0.0043551+0.0028908i,0.0069213+0.0062238i,0.0088825+0.0029016i,0.0017186-0.00014359i,-0.001631-0.0022422i,-0.0014719+0.00053017i,-0.0015241+0.0009062i,-0.0020772-0.0018361i,-0.0015956-0.0011114i,-0.0035623+0.0087095i,-0.0010006+0.00037649i,-0.00043986+0.00073584i,-0.00057998+0.0012098i,-0.00089278-8.7345e-05i,-8.2768e-05+0.00077213i,-0.00064977-0.00048551i,0.0015674+0.00049557i,-0.00033296-0.00042102i,-0.00043214-8.1584e-05i,-0.00033294+7.8499e-05i,0.0016375-0.0003065i,-0.012566-0.005492i,0.00043129-0.00024034i,-2.2942e-05-6.3302e-05i,-0.00082566-0.00079973i,0.0017737-0.0021434i,-0.00087626-0.00034153i,-0.00021006+0.00045089i,0.00045337+0.0016289i,0.0039671+0.00044719i,-0.0008232+0.0043932i,-0.046109-0.019274i,-0.011225+0.033201i,-0.042367+0.033186i,-0.055208+0.055428i,-0.038196+0.021223i,-0.01723+0.032748i,-0.018285+0.02582i,-0.051294-0.0097136i,-0.034596-0.021049i,-0.0062916+0.03329i,-0.0019061+0.00736i,0.0058951-0.0042343i,-0.0035799-0.01067i,-0.003287+0.0044201i,-0.0031419+0.017428i,2.2831e-05-0.002436i,0.0037768+1.2174e-05i,0.0015581-0.00028234i,0.0068241-0.0085521i,0.0078602+0.0033277i,0.0027609+0.0019188i,-0.0083542-0.001214i,0.0060842+0.0058513i,0.0037548+0.0058652i,0.0070421+0.0082156i,-0.00030962+0.0016892i,0.0034756-0.0055022i,0.004487-0.0068258i,0.00066336-0.0005269i,-0.030089+0.00041221i,0.0020177-0.0095399i,-0.00032953-0.00046965i,0.0047182-0.0013684i,0.0024226+0.00015061i,0.0010079-0.011461i,0.00049071-0.0016515i,0.0039723+0.0041582i,0.003386+2.8669e-06i,0.0042142-0.0032816i,-0.008314-0.003786i,-0.0064701-1.8674e-05i,-0.0057675-0.0048905i,0.00051814+0.0008715i,-0.0061568-0.0045275i,-0.037535+0.010201i,-0.021538+0.01135i,-0.0095366-0.010597i,-0.0099304-0.0095253i,0.00098406+0.022491i,-0.0053466+0.013288i,-0.0071198+0.0039489i
0.0039241+0.0079184i,0.029387+0.02823i,0.01871+0.0047269i,0.013067+0.005976i,0.0082245-0.0010452i,0.017148-0.0013893i,0.0088724+0.021241i,0.010017+0.025187i,0.0029185-0.001057i,0.0010597+0.00070896i,0.0030207-0.00017536i,0.0054705-0.0024619i,0.0010238-0.0016169i,0.0027146+0.00041099i,0.0050336+0.0018152i,0.0076707+0.0033254i,0.0091981-5.3273e-05i,0.0012104-0.00091184i,-0.0024588-0.0014812i,-0.00073333+0.0010167i,-0.00055573+0.00086763i,-0.0021185-0.0013628i,-0.001756-0.00063626i,-0.0003098+0.0087838i,-0.00066368+0.00065791i,-3.546e-05+0.00073975i,-3.2477e-06+0.0015638i,-0.0010526+0.00065805i,0.00027197+0.00042703i,-0.00069768-0.00039421i,0.0015076-0.00034102i,-0.00070793-0.00035492i,-0.00064216+0.0002041i,-0.00032512+0.00018565i,0.0010537-0.00086794i,-0.015278+0.00020644i,0.00029884+7.6456e-05i,-5.3315e-06-2.1868e-05i,-0.001474-0.00014017i,0.0014577-0.0023065i,-0.00066888-0.00026872i,0.00010901+0.00024787i,0.0004013+0.0013995i,0.0038918-0.00011261i,-0.00033834+0.0035098i,-0.05106-0.012835i,-0.0070121+0.031083i,-0.031637+0.039122i,-0.040459+0.06183i,-0.035832+0.029094i,-0.010915+0.029412i,-0.012318+0.024327i,-0.050733-0.0032928i,-0.033666-0.015111i,0.00081505+0.032398i,-0.0012375+0.0063651i,0.00075405-0.0049655i,-0.0079906-0.0097179i,0.00069641+0.0054136i,0.00073643+0.016658i,-0.002787-0.0013839i,0.0033873-0.0061861i,0.0026701+0.0016342i,0.0022996-0.010304i,0.0093199-0.0013027i,0.0038239+0.0011264i,-0.0085641+0.0032508i,0.0098268+0.0051767i,0.0077067+0.0043641i,0.011274+0.0043122i,0.00073787+0.0021928i,0.0019458-0.0061573i,0.00037519-0.0086117i,0.0017199+0.00078534i,-0.028824+0.011458i,-0.0010756-0.0071028i,0.00036146+0.0006823i,0.0053329-0.0050837i,0.0028206-0.00022246i,-0.0036305-0.012752i,-0.0005131-0.00088722i,0.0051728+0.0020052i,0.0031636-0.00051999i,0.003807-0.0046159i,-0.0084316+0.00081766i,-0.0057305+0.0032432i,-0.0078839-0.0008326i,-0.00090922-0.00036292i,-0.0060647-0.0021038i,-0.034473+0.01264i,-0.019779+0.01596i,-0.011855-0.014008i,-0.0098883-0.008103i,0.0033395+0.021972i,-0.0055472+0.015379i,-0.005154+0.0021536i
0.0050516+0.0066112i,0.033843+0.021807i,0.020091+0.00050763i,0.012902+0.0038013i,0.0079075-0.0012918i,0.016582-0.0042657i,0.011041+0.017498i,0.014535+0.024212i,0.0019865-0.0018443i,0.00093583+0.00063076i,0.0027959-0.00094106i,0.0033174-0.0039781i,0.000612-0.0014556i,0.0023357-2.0888e-05i,0.0052281+0.00047454i,0.0069616+0.0013547i,0.0083107-0.0028414i,0.00066279-0.0011301i,-0.0025467-0.0005051i,2.1575e-05+0.0010009i,0.00018757+0.0004528i,-0.0020661-0.00097902i,-0.0016211-0.00021132i,0.002351+0.0084937i,-0.00031177+0.00060439i,0.00012846+0.00068248i,0.00057319+0.0013582i,-0.00052256+0.00099723i,0.00024951-5.5284e-05i,-0.00089969-0.00029042i,0.0011429-0.00079338i,-0.00093893+0.00013897i,-0.00050615+0.00053036i,-0.00024593+0.00034404i,0.00044242-0.0012099i,-0.014068+0.0049646i,0.00048427+4.1264e-05i,-0.00016271-0.00011939i,-0.0016224+0.00088154i,0.00084213-0.0028149i,-0.00073267+0.00071483i,0.00013736-0.00021702i,0.00050707+0.0014382i,0.0041023-0.00087681i,0.00011426+0.0028449i,-0.053652-0.0015654i,-0.0049512+0.029233i,-0.021832+0.040384i,-0.02406+0.065787i,-0.029244+0.037787i,-0.007228+0.024387i,-0.0084335+0.019058i,-0.047553+0.0024684i,-0.030389-0.009513i,0.0089962+0.030142i,-0.00098819+0.0061032i,-0.0051008-0.0029986i,-0.011736-0.0064806i,0.0033918+0.003002i,0.0037256+0.016313i,-0.0054907+0.0012373i,-0.0013907-0.0070936i,0.004826+0.00062192i,-0.0027974-0.0094625i,0.0070964-0.0048536i,0.0047482-0.0004154i,-0.0068994+0.0071168i,0.013011+0.00030499i,0.008976-0.0008257i,0.012212-0.0036764i,0.0022669+0.0019101i,6.6828e-06-0.0063573i,-0.0040375-0.0054359i,0.0033165-0.00032128i,-0.020503+0.025198i,-0.003334-0.00646i,0.0018198+0.00094975i,0.0025232-0.0069681i,0.0029415-0.00074835i,-0.0094148-0.010969i,-2.3159e-05+0.00057713i,0.0049736-0.00026634i,0.0026193-0.0014068i,0.0027147-0.0053964i,-0.00625+0.004352i,-0.0035029+0.0051684i,-0.007746+0.0039498i,-0.0032152-5.8157e-05i,-0.0056526-0.00076434i,-0.030411+0.016861i,-0.012117+0.019304i,-0.017876-0.014851i,-0.010323-0.0087333i,0.0052229+0.021068i,-0.003296+0.018349i,-0.0049451-0.0010253i
