-0.022861-0.019914i,-0.031889-0.035135i,-0.023193-0.019766i,-0.031983-0.02066i,-0.024388+0.0036708i,-0.029211-0.018244i,-0.055193-0.048223i,-0.041621-0.044546i,-0.029061-0.020416i,0.0055736+0.0049631i,-0.0034983+0.0061103i,-0.010734+0.011753i,0.0037235+0.0071159i,-0.003675-0.0024419i,0.0028993+0.0018816i,0.0014023+0.029449i,0.016399+0.032045i,-0.00039912+0.00024042i,-0.0031511-0.002858i,0.0082991+0.0042209i,0.0015197+0.00044024i,-0.00030969+0.0025896i,-0.0006812+0.00026709i,-0.030772-0.0010048i,-0.0038432-0.0048949i,-8.8244e-05+0.0023727i,0.0043717-0.0014411i,0.00097355-0.00024685i,-0.00067551-0.00040675i,-0.0012164-0.0019229i,-0.0023002-0.00043605i,-0.0038826-0.0042406i,-0.0034315-0.0049597i,0.00065871-0.0013275i,0.00043595-0.0032348i,-0.0033438+0.02687i,0.0020127-0.003128i,0.002631-0.0039224i,0.004191-0.0022451i,-0.0068557-0.0014573i,0.00047471+0.001422i,0.0068707-0.0081287i,-0.0017296+0.00030371i,-0.0035192+0.00061511i,-0.0085282-0.0035742i,-0.018535+0.021558i,-0.0086267-0.087297i,-0.0024597-0.061864i,-0.021088-0.054458i,-0.011519-0.045665i,0.053113-0.027358i,0.023553-0.066725i,0.039742-0.054919i,0.019606-0.039151i,0.026111-0.020387i,0.012231+0.012083i,0.025192-0.028719i,-0.01101-0.0012386i,-0.0013611-0.00023334i,-0.0083556-0.0012304i,-0.0051365-0.030003i,-0.021451+0.026047i,0.0072852-0.0098508i,-0.010972-0.0034046i,-0.0025357-0.0018007i,-0.00079587-0.014777i,-0.0083721+0.005656i,0.0061051+0.010465i,-0.0097756+0.029511i,0.0065735+0.0072773i,-0.0039399-0.0019381i,-0.0021941-0.0015499i,-0.012636-0.0054479i,0.00047524-0.0044356i,-0.02936+0.0021281i,0.0028429-0.0094449i,-0.0075737-0.0023279i,-0.0049989-0.0031619i,0.0070194+0.0016126i,-0.01021+0.00038035i,0.0027421-0.0007186i,0.0059012+0.008133i,0.0056048+0.0011553i,-0.0076119-0.0090562i,0.0028193+0.0081004i,-0.018724+0.0061962i,0.0034235+0.0056415i,-0.021439-0.0091116i,-0.027226-0.0045733i,0.0069104-0.062232i,0.019242-0.015737i,-0.050054-0.028533i,-0.021993+0.0005091i,0.019081+0.010633i,-0.026635+0.011941i,-0.012376-0.007838i
-0.012007+0.013695i,-0.022933+0.042585i,0.001656+0.041205i,-0.010286+0.025483i,-0.00033184+0.021572i,0.0014034+0.023803i,-0.026544+0.015118i,-0.026452+0.032931i,0.00012061+0.016351i,-0.0014519-0.0012665i,-0.00092157+0.0016102i,0.0040983+0.0035302i,0.0031475+0.0051233i,-0.0031691+0.0017961i,-0.003088+0.0036643i,0.0012294-0.0073413i,-0.0080684-0.0015006i,-0.0020273+0.00029643i,1.0239e-05-0.0013361i,-0.0010893-0.00037282i,0.00093302-0.0033758i,0.0011078-0.0027444i,0.0010685-0.0015107i,-0.009678-0.0094519i,-1.4477e-05-0.00034054i,-0.0014103+0.00034517i,-0.0023456-5.6813e-05i,-0.0026804+0.0001527i,-0.00090782-0.0010326i,0.0011291-0.00063007i,-0.0017653+0.00014931i,0.0012515-0.00020668i,0.0018449-0.0011009i,0.00059072+0.0007595i,-0.0001326+0.0016871i,-0.00084978-0.0072432i,-0.0014293+0.00090974i,0.0017567+1.9644e-05i,0.0019333+0.0031698i,0.0041418+0.0062434i,0.0014189-0.0013566i,-0.0016882-0.00062354i,-0.0017982-0.0025169i,0.0027138+0.0056842i,-0.0079626+0.0077211i,0.018997-0.058372i,-0.074417+0.015485i,-0.028256-0.018435i,-0.06195-0.047084i,-0.053364-0.017093i,-0.086624+0.0039217i,-0.073888+0.0022803i,-0.046392-0.034749i,-0.0092995-0.046164i,-0.036683-0.024156i,-0.0062378+0.00048496i,-0.030807+0.0098542i,0.0082128+0.011119i,0.0097121+0.0070911i,0.0011684-0.0070984i,0.010856+0.0027878i,-0.010879-0.0030008i,0.0026408+0.012706i,0.0013827+0.0064722i,-0.00023482-0.001471i,0.0054029+0.0017563i,0.0040973+0.00040247i,-0.0049097+0.018456i,-0.00043439+0.0092812i,0.00047814-0.0039831i,0.00861-0.0061032i,0.0012752+0.0038781i,-0.0083086-0.0072848i,-0.0020798-0.0012754i,0.02537-0.026233i,0.0050872+0.0092239i,0.0016381+0.0025889i,-0.0017129+0.0046167i,0.0029362-0.0036962i,0.019863+0.0029488i,0.0010571-0.0020316i,-0.0022504-0.0065003i,-0.00060849-0.0016203i,0.0099524+0.0037359i,0.0054485-0.00083107i,0.0027721-0.0089402i,0.004046+0.0049014i,-0.0057188+0.0030454i,0.013947+0.0062735i,-0.042965-0.038526i,-0.012108+0.0055149i,-0.0023108-0.0015161i,-0.0011424+0.0028241i,-0.040966+0.011244i,-0.0062924+0.0083824i,-0.013698+0.0038307i
-0.0091659+0.014613i,-0.015678+0.043436i,0.010691+0.035055i,-0.0053893+0.026002i,0.0027633+0.019098i,0.0059434+0.022397i,-0.025416+0.019497i,-0.018651+0.03472i,0.0032257+0.011148i,-0.0017083-0.00041536i,-4.788e-05+0.0028955i,0.0046984+0.0012167i,0.0040753+0.0032521i,-0.0015265+0.0029997i,-0.0023845+0.0047279i,-0.0034833-0.0056637i,-0.0090432+0.0026202i,-0.0017955+0.0010654i,0.00061536-0.00089913i,-0.0005064+2.7187e-05i,-2.5922e-05-0.0032306i,0.0010413-0.0021899i,0.00083331-0.00148i,-0.011585-0.0058534i,0.0002396-0.00032207i,-0.001356+0.00069588i,-0.0016716+0.0010662i,-0.0022465+0.00071077i,-0.0012859-0.00078289i,0.0010903-0.0007929i,-0.0014837+0.0010077i,0.0010255-0.0005025i,0.00060466-0.0010423i,0.00031575+0.00054137i,-0.00083757+0.0013253i,-0.00071621-0.0056939i,-0.00076678+0.00098341i,0.0008607-0.00056238i,0.0013258+0.00189i,0.0054473+0.003552i,0.00079877-0.0021287i,-0.0023437-0.00046306i,-0.0031235-0.0012994i,0.0043542+0.0051123i,-0.0059343+0.0055289i,0.0005063-0.067849i,-0.065733+0.029488i,-0.035558-0.021089i,-0.07478-0.038095i,-0.053587-0.0055443i,-0.077526+0.021488i,-0.071081+0.01683i,-0.040706-0.0331i,-0.015354-0.043861i,-0.045177-0.010832i,-0.0068547+0.00024667i,-0.024841+0.022637i,0.010213+0.0054887i,0.011757+0.0010462i,-0.0036286-0.011548i,0.0070845+0.0020928i,-0.010695+0.0026335i,0.0083489+0.010042i,0.0042259+0.0068998i,-0.00082811-0.0011094i,0.0060958+0.0021805i,0.0051256+0.00045966i,0.003607+0.015809i,0.0040139+0.005562i,-0.0035343-0.0052699i,0.0019791-0.0072603i,0.0030285+0.0047397i,-0.0097031+0.00028837i,-0.0024234+0.0016303i,0.011002-0.02821i,0.0085206+0.0080119i,0.0037371+0.0023221i,0.0023704+0.0028518i,-0.00020506-0.0021061i,0.017407-0.0063788i,-0.00053989-0.0024447i,-0.0057612-0.0044674i,-0.0025963-0.00052491i,0.0098322+9.132e-05i,0.0047762-0.00042554i,-0.00046133-0.0063512i,0.0060134+0.0037534i,-0.0058458+0.0052628i,0.013575+0.0015504i,-0.049995-0.032721i,-0.0072222-0.0047752i,-0.0027737-0.0021454i,0.00070388+0.0014846i,-0.033965+0.024351i,-0.0045223+0.0098832i,-0.011587+0.0065899i
-0.0059637+0.014677i,-0.0089611+0.044007i,0.015699+0.027121i,-0.00046683+0.024763i,0.0062775+0.017929i,0.009902+0.019964i,-0.022133+0.024258i,-0.011586+0.032875i,0.0024334+0.0073987i,-0.0018176+0.00069545i,0.0015627+0.0031722i,0.0023219-0.00029149i,0.0042946+0.0017875i,-0.00063919+0.0029886i,-0.0010127+0.005722i,-0.0066975-0.0015264i,-0.0080023+0.0071631i,-0.00084034+0.0017705i,0.0013723-0.0015423i,0.00015982-0.00031201i,-0.0010175-0.0029926i,0.00095853-0.0029445i,0.00071568-0.0016161i,-0.012898-0.0023781i,5.935e-05-0.00029831i,-0.00077157+0.0013523i,-0.00077836+0.00081886i,-0.0013855+0.0015919i,-0.0013859-0.00063416i,0.00067523-0.001475i,-0.00081772+0.0014961i,0.00059754-0.0007817i,0.00024734-0.00097849i,0.00056572+0.00026468i,-0.00039042+0.0023762i,2.2437e-06-0.0057573i,-0.00070839+0.00082877i,0.00024504-0.00077408i,0.0033858+0.00128i,0.0054163+0.0013064i,0.00012313-0.0022779i,-0.0016819+0.0005987i,-0.0036839+0.00015477i,0.0054889+0.0036955i,-0.0056704+0.0040629i,-0.021416-0.067887i,-0.052218+0.038773i,-0.044486-0.017447i,-0.082293-0.023293i,-0.048867+0.0032432i,-0.062839+0.032383i,-0.05832+0.029598i,-0.04385-0.035024i,-0.020678-0.042521i,-0.044611+0.0052687i,-0.0071317+0.0013704i,-0.012333+0.029247i,0.010481+0.0011577i,0.0084874-0.0050287i,-0.013999-0.011251i,0.0068258+0.00068652i,-0.0082208+0.0065859i,0.010481+0.0039645i,0.0065347+0.0063337i,-0.0028115+0.00033994i,0.0066378-0.0014004i,0.0064823-0.0022548i,0.0075467+0.010253i,0.0040013+0.001996i,-0.0081124-0.0015443i,-0.0004927-0.0049771i,0.005993+0.0035998i,-0.0065362+0.0083191i,0.00047232+0.0031996i,-0.0010528-0.022672i,0.012101+0.0035232i,0.0041005+0.00056144i,0.0020397+0.00096922i,0.00049428+7.5961e-05i,0.011288-0.011097i,-0.0025342+0.00068909i,-0.00676-0.0010762i,-0.0032772+0.0025382i,0.0066127-0.002641i,0.0074618-0.0021617i,-0.00032438-0.0056945i,0.0087392+0.0012304i,-0.0025862+0.0061855i,0.011832-0.0025896i,-0.055092-0.021859i,-0.012487-0.012605i,-0.0020085-0.0029786i,0.0028657-0.00056663i,-0.021613+0.028767i,-0.0026541+0.005627i,-0.0073058+0.0028491i
-0.0030817+0.013685i,-0.0015273+0.044214i,0.017526+0.019786i,0.0043195+0.023396i,0.010479+0.014579i,0.013451+0.01657i,-0.017126+0.027774i,-0.0078091+0.030888i,0.0017536+0.0061958i,-0.0011258+0.0017516i,0.0029313+0.0018415i,0.00098799+0.0015749i,0.0042314+0.00079116i,-0.00057868+0.0035714i,0.0005551+0.0058617i,-0.006569+0.0038123i,-0.0037009+0.010684i,0.00024606+0.0014934i,0.00069201-0.0021182i,-3.2139e-05-0.0010496i,-0.0017279-0.0023838i,0.00024232-0.0031783i,0.00052606-0.0021565i,-0.012852+0.0020426i,0.00015231-0.00050202i,5.6787e-05+0.00098351i,-0.00067019+0.00046386i,-0.00024414+0.0015705i,-0.0016068+7.05e-05i,-0.00020199-0.0014137i,-8.7158e-05+0.0016993i,0.00016336-0.0007858i,-0.0002334-0.00091108i,0.0005416+7.3655e-05i,0.00096104+0.0020537i,-0.0006022-0.007742i,-0.00028563+0.0011856i,-0.00041261-0.00053772i,0.0016849-0.0013275i,0.0050309-0.00020635i,-0.00058102-0.0023234i,-0.00089179+0.00045687i,-0.0036509+0.0019499i,0.0048606+0.0011931i,-0.0061654+0.0037797i,-0.040334-0.056943i,-0.038408+0.041429i,-0.050962-0.0094404i,-0.086199-0.007878i,-0.043106+0.0085034i,-0.049832+0.036346i,-0.044682+0.032194i,-0.048518-0.03035i,-0.02628-0.037661i,-0.038657+0.015593i,-0.0074389+0.0029651i,-0.0010167+0.028841i,0.0093391-0.0033462i,0.0030314-0.006885i,-0.021032-0.0023667i,0.004435-4.6356e-05i,-0.0039668+0.0088214i,0.0090563-0.0017601i,0.0088387+0.0048151i,-0.0026373+0.0030854i,0.0034713-0.0027088i,0.0056092-0.0062834i,0.00753+0.0043588i,0.0016978+9.4963e-05i,-0.0080066+0.0022402i,-0.0018492-0.0035346i,0.0070568+0.0012713i,0.0021651+0.010798i,0.0019217+0.0017687i,-0.0072477-0.018898i,0.012138-0.0010752i,0.0038459-0.0013027i,0.0022426+0.00088593i,0.001076-0.00029939i,0.0057379-0.011524i,0.00044841+0.0027106i,-0.0061681+0.0021389i,-0.0006991+0.0049569i,0.0046098-0.0020436i,0.0069604-0.0062466i,-0.0023076-0.0048453i,0.0086411-0.0038127i,-0.0012583+0.0052141i,0.0097823-0.0066812i,-0.05426-0.0092011i,-0.02275-0.0142i,-0.0025798-0.007204i,0.0036731-0.0052322i,-0.016064+0.02878i,-0.006543+0.0039946i,-0.0098691+0.00078982i
-0.0012044+0.012446i,0.0052865+0.04261i,0.016918+0.014297i,0.0087647+0.02059i,0.012945+0.0099061i,0.015512+0.012604i,-0.011212+0.029522i,-0.004114+0.029784i,0.0021822+0.0058867i,0.00023441+0.0022294i,0.0029247+0.0011013i,0.0020528+0.0027027i,0.0040716-0.00035705i,0.00085079+0.004398i,0.0021761+0.0055913i,-0.0038124+0.0072692i,0.0011046+0.011376i,0.00067479+0.0011285i,0.00042215-0.002148i,-0.00066625-0.0011898i,-0.0024173-0.0017969i,-0.00056686-0.0029615i,-0.00029293-0.0024886i,-0.01014+0.0053249i,-0.00011785-0.00087326i,6.6689e-05+0.00021733i,-0.0006993+0.00040775i,0.00035343+0.00095516i,-0.0012982+0.00077923i,-0.00032335-0.00082622i,0.00054999+0.0016285i,1.4163e-05-0.00091728i,-0.00058104-0.00049119i,0.00038396-0.00012552i,0.0011008+0.0013567i,-0.0030043-0.008535i,-5.0969e-05+0.0012285i,-0.00042591+0.0002737i,0.0006203-0.0010746i,0.0044296-0.0010616i,-0.001253-0.0022422i,-0.00059999+0.00033998i,-0.0020852+0.0031425i,0.0037077+0.0013447i,-0.0059759+0.0047571i,-0.048094-0.040351i,-0.027802+0.039147i,-0.055216+0.00072465i,-0.087445+0.0091426i,-0.038655+0.0098064i,-0.038499+0.037358i,-0.035152+0.031739i,-0.050862-0.025051i,-0.027391-0.033255i,-0.03253+0.024913i,-0.0066316+0.0046445i,0.011056+0.024973i,0.0068075-0.0058369i,-0.0018555-0.0054521i,-0.021373+0.0062549i,0.0033674+0.0001737i,0.00075168+0.0092925i,0.0038519-0.0035978i,0.010284+0.0019588i,-0.0013955+0.0046908i,0.0013881-0.0016293i,0.0028212-0.0092673i,0.0034746+0.0030624i,-0.00052461+0.0011097i,-0.0070244+0.0068388i,-0.0028325-0.0013914i,0.0070257-0.0013776i,0.0079039+0.0056454i,0.0023938+0.00092979i,-0.010157-0.016598i,0.010382-0.005632i,0.0025632-0.0022867i,0.0033638+0.00044194i,0.0011817-0.00046409i,0.0027294-0.010051i,0.0023878+0.001905i,-0.0039597+0.0050971i,0.0025133+0.0043639i,0.0042645-0.0018122i,0.0035218-0.010942i,-0.0027594-0.0032534i,0.0056133-0.0079475i,-0.00096689+0.0045151i,0.0051636-0.0099085i,-0.048471-0.0021231i,-0.032046-0.0059416i,-0.0055798-0.0088572i,0.0010998-0.010388i,-0.0089042+0.029061i,-0.01011+0.0067681i,-0.011197+0.0025902i
0.00040293+0.011405i,0.011566+0.040468i,0.016139+0.011543i,0.011981+0.016723i,0.012997+0.0051978i,0.016763+0.0091171i,-0.0050243+0.029231i,-0.0011476+0.027761i,0.0031602+0.0042584i,0.00092201+0.001478i,0.0026357+0.00046253i,0.0031839+0.0027083i,0.0033978-0.00138i,0.002617+0.0037112i,0.003411+0.0047743i,-0.00039174+0.008815i,0.0058195+0.0097214i,0.0011166+0.00079735i,-0.00017637-0.0025755i,-0.0012479-0.0010389i,-0.0027096-0.00064493i,-0.00097404-0.0027387i,-0.0010492-0.0021734i,-0.0079458+0.0063522i,-0.0011638-0.0006736i,-0.00031322+8.6406e-05i,-0.00080263+0.00037592i,0.00055689+0.0002378i,-0.00059451+0.0011658i,-0.00030359-0.00073531i,0.0012489+0.0013014i,-0.00031872-0.0010932i,-0.00049005+0.00019325i,9.0331e-05-0.00031126i,0.0012876+0.0014651i,-0.0056802-0.0085609i,8.0926e-06+0.00097935i,0.00010406+0.00031377i,-7.9773e-05-0.00092833i,0.0038371-0.002003i,-0.0016878-0.0011367i,-0.00064288+0.00028168i,-0.00055494+0.0031593i,0.0039768+0.0020292i,-0.0048285+0.0060695i,-0.047123-0.027777i,-0.020948+0.036722i,-0.055403+0.013899i,-0.08238+0.029759i,-0.039119+0.010492i,-0.03006+0.035606i,-0.02693+0.030605i,-0.051155-0.018738i,-0.030288-0.031332i,-0.022576+0.031104i,-0.0065317+0.0062655i,0.018392+0.010773i,0.0048028-0.0080172i,-0.0047267-0.0018441i,-0.01743+0.014611i,0.0033072-0.00060545i,0.0056947+0.0059231i,0.001387-0.0011604i,0.011331-0.0019706i,0.00030684+0.0082655i,0.00071317-0.00034421i,-0.0029015-0.01083i,0.0023024+0.0051373i,-0.00048574+0.0032599i,-0.0021324+0.010959i,-0.0019063+0.00075663i,0.0058803-0.003234i,0.0081364+0.0012531i,0.0033681-0.00077401i,-0.015676-0.016115i,0.0067062-0.008279i,0.00099326-0.0025641i,0.0049199-0.001009i,0.00080506+0.00053619i,0.0015229-0.0081283i,0.0031302+0.0002002i,-0.0010167+0.0061135i,0.0032638+0.0014009i,0.0038339-0.0031615i,-0.0035903-0.010867i,-0.0027812-0.0032211i,-0.00021676-0.010431i,-0.00023345+0.003587i,-0.00066648-0.010079i,-0.045187+0.0027782i,-0.029938+0.0081013i,-0.0084435-0.0091065i,-0.0036642-0.012317i,-0.0041912+0.027719i,-0.0086175+0.012129i,-0.0083602+0.0037246i
0.0017433+0.010324i,0.017371+0.037711i,0.016571+0.009315i,0.013765+0.012471i,0.011661+0.0019542i,0.017721+0.0056357i,0.00041044+0.027768i,0.0017276+0.026918i,0.0036016+0.002883i,0.00093895+0.0011712i,0.0022831+0.00062775i,0.0047687+0.0023241i,0.0023765-0.0018327i,0.0035015+0.0020242i,0.0042291+0.0038079i,0.0030066+0.0086202i,0.0086149+0.0070045i,0.0014546+0.00041923i,-0.0009459-0.0026616i,-0.0016671-0.00042591i,-0.0022433+0.00029547i,-0.0015917-0.0025269i,-0.0014923-0.0016443i,-0.0066861+0.0080894i,-0.0013149-6.2826e-05i,-0.00056583+0.0004587i,-0.0005558+0.0009022i,-0.0001161-0.00034502i,-0.0001657+0.00093452i,-0.00044029-0.00074821i,0.0016657+0.00066801i,-0.00073753-0.0008354i,-3.3074e-05+0.0001819i,-0.00013801-0.00023432i,0.0018572+0.00065639i,-0.0085946-0.0075575i,5.7982e-05+0.00031218i,9.2589e-05-0.00017026i,-0.00046858-0.00069976i,0.0030135-0.0027412i,-0.0014074-0.0006281i,-0.00034837+0.0004317i,0.00030653+0.0023244i,0.0049302+0.0010208i,-0.0028556+0.0063977i,-0.045635-0.022276i,-0.015728+0.03524i,-0.049451+0.025955i,-0.070114+0.046114i,-0.039358+0.016039i,-0.023846+0.034811i,-0.021623+0.027703i,-0.051074-0.014553i,-0.032833-0.026802i,-0.01363+0.03288i,-0.0039279+0.0072712i,0.012838-0.0018325i,0.0011431-0.010535i,-0.0047566+0.0011737i,-0.011672+0.017732i,0.0018735-0.0017352i,0.0056654+0.0011944i,0.0018417-0.00010339i,0.0096566-0.0056152i,0.0049633+0.0056391i,0.0011784+0.0013616i,-0.0082135-0.0054508i,0.0046452+0.0062744i,0.00090918+0.0050589i,0.0028765+0.01045i,-0.0008534+0.0011944i,0.0044942-0.0045053i,0.00775-0.0038821i,0.0016219-0.0022916i,-0.023583-0.010606i,0.0026032-0.0087245i,-0.0002377-0.0019129i,0.0040056-0.0012965i,0.0016985+0.00074556i,0.0021577-0.0088552i,0.0022073-0.0014792i,0.0017496+0.0053958i,0.0026597+0.0011069i,0.0029819-0.0028769i,-0.0066241-0.0068215i,-0.0044705-0.0026263i,-0.0048839-0.0069444i,0.00014246+0.0024358i,-0.0045075-0.0074513i,-0.041456+0.0078614i,-0.023819+0.010533i,-0.0087925-0.0091392i,-0.0078802-0.01163i,0.0017527+0.025264i,-0.0063527+0.012924i,-0.0076644+0.003099i
0.0028026+0.0091756i,0.023118+0.034515i,0.017454+0.0073328i,0.01426+0.0089263i,0.0098203-9.6136e-05i,0.01797+0.0021205i,0.0051158+0.025296i,0.0047324+0.026225i,0.003778+0.00099936i,0.0011154+0.00096056i,0.0027343+0.00078817i,0.0061219+0.00040374i,0.0014633-0.00178i,0.0030241+0.0010233i,0.0049409+0.0028919i,0.0058414+0.0065693i,0.010718+0.0041854i,0.0017815-0.00027385i,-0.0017624-0.002326i,-0.0015097+0.00059151i,-0.0015093+0.00086056i,-0.0020783-0.0017425i,-0.0016496-0.0011821i,-0.0033613+0.0095451i,-0.0010391+0.00050368i,-0.00031496+0.0008149i,-0.00059282+0.001374i,-0.00098143-8.9558e-05i,7.3029e-05+0.00078297i,-0.00060683-0.00057061i,0.0015494+0.00013835i,-0.00054626-0.0005065i,-0.00022403+0.00027121i,-0.0002678-0.00010811i,0.0015844-0.00021876i,-0.011378-0.0053275i,0.00040406+0.00039613i,-0.00017468-0.00014299i,-0.00090591-0.00050384i,0.0020656-0.002967i,-0.00099606-0.00050821i,-0.00016167+0.00032028i,0.00036877+0.0017955i,0.0051299+0.00014007i,-0.0012804+0.0053406i,-0.047876-0.018202i,-0.011312+0.033523i,-0.04162+0.034869i,-0.055052+0.055965i,-0.03824+0.021854i,-0.017078+0.033306i,-0.017914+0.026334i,-0.05211-0.010123i,-0.034119-0.021185i,-0.0059043+0.0329i,-0.0018694+0.0068804i,0.0053713-0.0040193i,-0.0037296-0.010661i,-0.0031964+0.0044305i,-0.005209+0.017662i,-0.00021262-0.0022534i,0.0039914-0.0018772i,0.0014112+0.00043449i,0.0066279-0.0087675i,0.0073977+0.0038889i,0.0026937+0.0015951i,-0.0088437-0.0012562i,0.0066052+0.0058697i,0.0034825+0.0059231i,0.0081922+0.008713i,-0.00018125+0.0015797i,0.0035811-0.0052895i,0.00452-0.0067555i,0.00031421-0.00083813i,-0.025603+0.0004063i,-8.5181e-05-0.0073647i,-0.00057341-0.00056087i,0.0044301-0.0014144i,0.0022712+0.00020406i,0.0010497-0.011335i,0.00053814-0.0016535i,0.003659+0.0040337i,0.0034901+1.9094e-05i,0.0041718-0.0032298i,-0.0080469-0.0038386i,-0.0062316-8.3819e-05i,-0.0093608-0.00096191i,0.00014579+0.0011938i,-0.0060272-0.0042432i,-0.037546+0.011049i,-0.020751+0.011042i,-0.0093262-0.010883i,-0.011575-0.0096768i,0.0026931+0.022112i,-0.0059834+0.013189i,-0.00673+0.0028191i
0.0039277+0.00811i,0.029282+0.02995i,0.019225+0.0047587i,0.014037+0.0059588i,0.0087251-0.00066474i,0.017585-0.0011438i,0.0087116+0.021773i,0.0095303+0.024557i,0.0032365-0.00066236i,0.0011992+0.00065359i,0.0032212+7.1565e-06i,0.0055441-0.0025192i,0.00098273-0.0015249i,0.0029002+0.0004887i,0.0056065+0.0016455i,0.0067947+0.0038043i,0.0115-2.3537e-05i,0.0012082-0.0012295i,-0.0025851-0.0016273i,-0.00066871+0.0010445i,-0.00062005+0.0008322i,-0.0020518-0.0010879i,-0.0018127-0.00072443i,0.00022832+0.0094277i,-0.00069094+0.00067187i,1.1434e-05+0.00077151i,-9.6495e-05+0.0015549i,-0.001085+0.00066244i,0.00031094+0.00037665i,-0.00068841-0.00047363i,0.001472-0.00062014i,-0.00082468-0.00041334i,-0.00030005+0.00035113i,-0.00034208+1.0697e-05i,0.0010635-0.00067935i,-0.012941-0.0011185i,0.00047849+0.00036267i,-0.00013963-5.6636e-05i,-0.0012338+2.6507e-05i,0.0013702-0.0029183i,-0.00060874-0.001303i,7.5352e-06+0.00013195i,0.00030823+0.001562i,0.0047863-0.00081895i,-0.00076784+0.0044269i,-0.052396-0.010757i,-0.0073496+0.031756i,-0.030629+0.040242i,-0.040113+0.062708i,-0.035561+0.029912i,-0.010885+0.02978i,-0.011986+0.024799i,-0.052214-0.0038491i,-0.033262-0.015677i,0.000887+0.033161i,-0.0013476+0.0060529i,0.00074074-0.0043611i,-0.0084109-0.0096049i,0.00078538+0.0052865i,0.00012181+0.017136i,-0.0030204-0.0015054i,0.0030859-0.0033002i,0.0027964+0.0020797i,0.00199-0.010529i,0.009057-0.00066824i,0.0037876+0.00096607i,-0.0085796+0.0032888i,0.0098667+0.0047098i,0.0075992+0.00439i,0.012686+0.0033984i,0.00069324+0.0019504i,0.0019994-0.0061754i,-0.001163-0.0089878i,0.0013254+0.00088848i,-0.01867+0.010068i,-0.0020567-0.0083003i,0.00023372+0.00080341i,0.0052022-0.0047021i,0.00264-0.00031859i,-0.0040251-0.01315i,-0.00066627-0.00073312i,0.0046186+0.002156i,0.0031936-0.00066295i,0.0037268-0.0048428i,-0.0080281+0.00045784i,-0.0058228+0.0033234i,-0.0059176+0.00072752i,-0.0010385-0.00037614i,-0.0059442-0.0018193i,-0.034057+0.013507i,-0.020038+0.015041i,-0.011587-0.014029i,-0.011178-0.0062331i,0.0042939+0.021463i,-0.0058045+0.015736i,-0.0053219+0.001379i
0.0050041+0.0066969i,0.034259+0.023609i,0.020617+0.00064963i,0.013665+0.0036594i,0.0084478-0.0010928i,0.016958-0.0040711i,0.010908+0.018119i,0.013862+0.021325i,0.0021569-0.0018287i,0.0010437+0.00060661i,0.0029472-0.00086522i,0.0033898-0.0037931i,0.00058537-0.001447i,0.002522+6.152e-05i,0.0056325+0.00016264i,0.0062964+0.0018512i,0.009725-0.0036047i,0.00052278-0.0014189i,-0.0027566-0.00062027i,0.00018566+0.0010083i,0.00014642+0.00058586i,-0.0019178-0.00085292i,-0.001748-0.00030215i,0.00314+0.0086296i,-0.00042545+0.00067918i,0.00016699+0.00074241i,0.00052999+0.0012746i,-0.0010456+0.00087092i,0.00018172-5.9676e-05i,-0.00092273-0.00032559i,0.00093472-0.0010998i,-0.0010191-9.9773e-05i,-0.00016358+0.00056479i,-0.00034957+0.0002238i,0.00057052-0.0010179i,-0.012225+0.0030892i,0.00040118+0.00021768i,-0.00022999-0.00015469i,-0.0012305+0.000847i,0.00065011-0.0031912i,-0.00092467+0.00080189i,-3.0181e-06-0.00023741i,0.00049537+0.0016755i,0.0043778-0.0017157i,-0.00030239+0.0040266i,-0.053451+0.00099104i,-0.0050291+0.030243i,-0.021044+0.041186i,-0.02339+0.066573i,-0.028857+0.038632i,-0.0074966+0.024766i,-0.0080689+0.019478i,-0.049081+0.0021652i,-0.031198-0.010061i,0.0098538+0.03007i,-0.0011871+0.006259i,-0.0046417-0.0029421i,-0.011764-0.0058938i,0.0033707+0.0030584i,0.004198+0.016179i,-0.0060177+0.0012636i,-0.00010084-0.0064042i,0.0051186+0.00016302i,-0.0029619-0.0094313i,0.0066664-0.004557i,0.0048472-0.00057326i,-0.0070887+0.0071983i,0.012711+0.00035873i,0.0091014-0.00079752i,0.011979-0.0042744i,0.0021961+0.0016661i,-3.7583e-05-0.0060941i,-0.0044872-0.0053169i,0.0030526-0.00017765i,-0.012164+0.034594i,-0.0035725-0.0061922i,0.0017805+0.0010633i,0.0023051-0.0069547i,0.0025941-0.00061747i,-0.0096539-0.010622i,-0.00017362+0.00080313i,0.0048579+0.00010654i,0.0027875-0.001487i,0.0024678-0.0056085i,-0.0063253+0.0039603i,-0.0034167+0.0056718i,-0.0067939+0.0029173i,-0.0032659-0.00017164i,-0.005625-0.00081578i,-0.030142+0.017384i,-0.012675+0.018949i,-0.017365-0.01515i,-0.0097321-0.0065488i,0.0054948+0.020762i,-0.0030144+0.01874i,-0.0052554-0.0015431i
