-0.027651-0.041985i,-0.021136-0.022151i,-0.012448-0.037226i,-0.029819-0.021346i,-0.024221-0.0014984i,-0.013163-0.0037087i,-0.052263-0.053101i,-0.046928-0.016234i,-0.038143-0.01194i,0.011475+0.012854i,-0.0089431+0.0053513i,-0.019637+0.01928i,0.0024683+0.011944i,-0.0043844-0.0020468i,0.00092663+0.00097495i,-0.00039841+0.02875i,0.025528+0.023564i,0.0027565-0.0019434i,-0.0027863-0.0069689i,0.0078742+0.0031218i,0.002374+0.00050616i,0.00018109+0.0039876i,-0.0004232+7.9332e-05i,-0.032211-0.0090049i,-0.00023506-0.0089548i,0.0013911+0.0023139i,0.0064734+0.00048773i,0.0022525+0.00020815i,0.0012714-0.00033366i,-0.00042923-0.0027292i,0.0015855-0.0021455i,-0.002305-0.0061304i,-0.00070256-0.0047102i,0.0032421-0.00049917i,0.0049969-0.0033493i,0.001185+0.029522i,0.0042718-0.0035277i,0.0032595-0.0014883i,0.0082224-0.00087503i,-0.0072511-0.0023741i,-0.00050687+0.00080913i,0.0089241+0.00097153i,0.0049959-0.0019679i,-0.0030779+0.0086504i,-0.016866-0.0095884i,-0.018049+0.015669i,-0.0010682-0.062661i,-0.0044429-0.026886i,-0.025779-0.033559i,-0.010457-0.026917i,0.051452-0.024609i,0.016395-0.043868i,0.024706-0.046938i,0.0071649-0.05435i,0.028098-0.0204i,0.0086046+0.0060892i,0.026308-0.03327i,-0.008365-0.006084i,0.0030812-0.0041757i,-0.0048712-0.00707i,-0.0014109-0.032598i,-0.020002+0.028678i,0.0091551-0.012146i,-0.0096717-0.0038196i,-0.0041394-0.0017516i,0.00019348-0.012877i,-0.01085+0.004146i,0.0026263+0.010623i,-0.0054353+0.027121i,0.0049753+0.0025646i,-0.0055443-0.0018979i,-0.0020898-0.0021504i,-0.013627-0.0082573i,-0.00024284-0.0043223i,-0.030417+0.0045049i,0.0012227-0.011229i,-0.0088928+0.00028493i,-0.0072266-0.0021364i,0.0052892+0.0013431i,-0.0078687-0.00074194i,0.0023023-2.6593e-05i,0.0043865+0.0075049i,0.0043419+0.00054651i,-0.0079589-0.012522i,0.002626+0.0097923i,-0.014344+0.0056601i,0.007224+0.00039597i,-0.022771-0.0013786i,-0.018295+0.0062156i,-0.0069885-0.067801i,0.0080341-0.012615i,-0.047854-0.025414i,-0.019894-0.00080417i,0.016512+0.012558i,-0.024116+0.014704i,-0.020074-0.0059861i
-0.043359+0.026555i,-0.01932+0.019936i,-0.022016+0.042508i,-0.02706+0.013871i,-0.0042649+0.022764i,1.8139e-06+0.0079637i,-0.028062+0.022793i,-0.001547+0.029125i,0.0059675+0.018145i,-0.006002-0.0060184i,0.0029754+0.0039151i,0.0077602-8.1358e-05i,0.0059113-0.00018992i,-0.00081729+0.0021552i,5.6955e-05+0.0019031i,0.0057814-0.0048262i,-0.0054098-0.0010273i,-0.0030944+0.00028451i,0.0037907-0.0013074i,-0.00021051-0.0011319i,0.0022416-0.0044249i,0.001262-0.0029562i,0.0014969-0.0025572i,-0.0080356-0.010292i,-0.0018698+0.0027298i,-0.0016973+0.00034275i,-0.0038716-0.0013397i,-0.0027688+0.00016324i,-0.0017574-0.0030206i,-0.00013835-0.00031911i,-0.00052958+0.0042308i,0.00079881+0.0012864i,0.0017901+0.0011417i,-0.00049671+0.00059266i,-0.0026504+0.0028817i,-0.0013745-0.0064011i,-0.0026906+0.00093122i,0.00078381-0.00062031i,-0.0013378+0.0023114i,0.0043005+0.004374i,-6.9748e-05-0.0016575i,-1.2009e-05-0.0031461i,-0.0040211-5.7533e-06i,0.0039789+0.0018881i,-0.020327+0.024208i,0.0060577-0.039636i,-0.054939+0.0033392i,0.0089679-0.031915i,-0.03187-0.049592i,-0.029396-0.020342i,-0.062798+0.020986i,-0.038617+0.0017725i,-0.034299-0.0088985i,-0.023895-0.024614i,-0.040766-0.022273i,-0.0053191+0.0028593i,-0.029074+0.0099448i,0.0063588+0.018114i,0.0027651+0.0081684i,-0.0029316-0.0053515i,0.0021589+0.0014917i,-0.0075946-0.0058885i,0.0054161+0.010891i,-0.0010208+0.0053107i,-0.0018995-0.0013968i,0.0011536+0.0025012i,0.0039269-0.00084518i,-0.0032644+0.01748i,0.0033421+0.015575i,0.0036963+6.9749e-05i,0.0093601-0.0068793i,0.0042715+0.00312i,-0.0084633-0.0065945i,-0.00090016-0.0033119i,0.020331-0.037414i,0.007648+0.010069i,0.0055258+0.0020493i,-0.002546+0.0027849i,0.0037684-0.0054846i,0.02188+0.0086411i,0.0032227+0.0029341i,0.00039835-0.0069495i,0.001249-0.0029377i,0.01782+0.0099649i,0.0046421+0.001607i,0.0029095-0.0049331i,0.0041101+0.0093454i,-8.5143e-05+0.00096374i,0.0097803+0.002997i,-0.047112-0.016486i,-0.0055102+0.012929i,-0.002113-0.0040133i,-0.0075207+0.0045869i,-0.036842+0.012294i,-0.0062095+0.0072462i,-0.012942+0.014791i
-0.038758+0.03225i,-0.015804+0.019936i,-0.011323+0.038308i,-0.024369+0.016991i,-0.001284+0.02091i,0.0014069+0.0078141i,-0.025176+0.027127i,0.0041948+0.027839i,0.0083645+0.013364i,-0.0070845-0.0032683i,0.0044402+0.0043418i,0.0068869-0.0027442i,0.0052425-0.0021935i,0.00088997+0.0027619i,0.00033142+0.0020598i,0.0016966-0.0042486i,-0.0066406+0.0019374i,-0.0024414+0.0012189i,0.0042902-0.00193i,-3.6747e-05-0.0010266i,0.0010746-0.0046468i,0.00091243-0.0025275i,0.00085425-0.0026688i,-0.010083-0.0068105i,-0.00013654+0.0026448i,-0.0016686+0.00079092i,-0.0036016+0.00051057i,-0.0020393+0.00079097i,-0.0044687+0.00045123i,0.00013199-0.00019509i,0.0011608+0.0034754i,0.00061777+0.0013726i,0.0014715-0.00011296i,-0.00077277+0.00072905i,-0.0022773+0.0032302i,-0.0014986-0.0054053i,-0.0023292+0.0017787i,-0.00017176-0.0011012i,-0.00058103+0.0023044i,0.004658+0.0017225i,-0.00034052-0.0013719i,-0.0015517-0.0031891i,-0.0040285+0.0011842i,0.0044559+0.00085305i,-0.016185+0.023897i,-0.0081558-0.044676i,-0.048199+0.01358i,-6.3149e-05-0.040167i,-0.046404-0.043977i,-0.03004-0.013545i,-0.051248+0.032611i,-0.035255+0.010264i,-0.024567-0.010678i,-0.026652-0.021536i,-0.044498-0.0069018i,-0.0045484+0.0026096i,-0.02412+0.022107i,0.011365+0.012829i,0.0053636+0.0045313i,-0.0084409-0.0078431i,-0.0010359+0.0034266i,-0.010118+0.0007032i,0.0092868+0.0077862i,0.00018218+0.0069561i,-0.0019567+0.00010005i,0.0022203+0.0037348i,0.0040221-0.0012754i,0.0049375+0.014139i,0.0088589+0.0088075i,-0.00044261-0.0029067i,0.0029952-0.0080179i,0.0047837+0.002621i,-0.011449+0.0016525i,-0.0026249-0.0011653i,0.0018815-0.036857i,0.011863+0.00787i,0.0068108-0.0010244i,0.00083084+0.0026183i,-0.00022548-0.0034985i,0.022682-0.0017419i,0.0033798+0.0014807i,-0.0032311-0.0057446i,-0.0024684-0.0017716i,0.016337+0.0074509i,0.0047579+0.0017516i,0.00092946-0.0036777i,0.0071047+0.0078105i,0.00011291+0.0016951i,0.0099927-0.00066348i,-0.050516-0.011935i,-0.00016766-0.0021664i,-0.0012516-0.0041071i,-0.0061399+0.0049668i,-0.030633+0.023387i,-0.0040853+0.008388i,0.0041843+0.010908i
-0.033007+0.037071i,-0.013314+0.020235i,-0.0063134+0.032219i,-0.021585+0.019739i,0.0023283+0.019904i,0.0030391+0.0071659i,-0.02036+0.031651i,0.0092138+0.02476i,0.0083402+0.0098026i,-0.0074086-0.00029823i,0.0064609+0.0036954i,0.0028561-0.0038339i,0.0038386-0.0034878i,0.0015721+0.0024081i,0.00089741+0.002251i,-0.0014476-0.001706i,-0.0058753+0.005591i,-0.0011682+0.0016582i,0.0043392-0.0042461i,0.00019416-0.0014972i,-0.00037802-0.0045084i,0.0009396-0.0027795i,0.00032915-0.0027499i,-0.011786-0.0033716i,0.00061176+0.0022848i,-0.0011289+0.0015604i,-0.0023829+0.0010012i,-0.00083983+0.0012654i,-0.0026978-0.00029728i,4.7265e-05-0.00066509i,0.0014907+0.0024886i,0.00087745+0.0015254i,0.0010831-0.000266i,-0.00050769+0.00077711i,-0.00073157+0.0040764i,-0.00087187-0.0054051i,-0.0021895+0.0021918i,-0.0010394-0.00086316i,0.00078093+0.0015525i,0.0038418+0.00013579i,-0.00055075-0.0011984i,-0.0012612-0.0014669i,-0.0037981+0.0020383i,0.0042155-0.0010885i,-0.013392+0.024093i,-0.024698-0.042005i,-0.038341+0.019956i,-0.012252-0.043037i,-0.055035-0.033924i,-0.026811-0.0080495i,-0.035998+0.038532i,-0.024411+0.015596i,-0.025477-0.015084i,-0.028644-0.018465i,-0.041516+0.0067264i,-0.003767+0.0028713i,-0.01276+0.029191i,0.013768+0.0064728i,0.0034591-0.00040963i,-0.017667-0.0044256i,-0.00037227+0.0048497i,-0.0066934+0.0058463i,0.010763+0.0026121i,0.0030167+0.0078094i,-0.003574+0.001856i,0.0027584+0.0016613i,0.0038972-0.0028206i,0.00742+0.0077987i,0.0085191+0.0033502i,-0.0049195+0.00032276i,5.9968e-05-0.0061856i,0.0064602+0.0017105i,-0.005196+0.010641i,-0.00089832+0.0011159i,-0.003422-0.026828i,0.015672+0.0015556i,0.0048956-0.0029548i,0.00090494+0.0012376i,-0.00011812-0.0010871i,0.017843-0.0093646i,0.0019079+0.0029252i,-0.0053505-0.0028459i,-0.0032895+0.0021161i,0.010927+0.00094269i,0.0084968-0.00010339i,0.0009585-0.0034878i,0.010894+0.0037311i,0.002986+0.0017781i,0.0086046-0.0038399i,-0.053722-0.0020858i,-0.0085314-0.011276i,0.00083901-0.0070119i,-0.0048943+0.0041821i,-0.020428+0.027498i,-0.0033054+0.0036038i,-0.00068406+0.010154i
-0.026217+0.040366i,-0.010258+0.021557i,-0.0049502+0.027271i,-0.017613+0.022614i,0.0056548+0.016987i,0.0045897+0.0056593i,-0.013581+0.034906i,0.012858+0.02066i,0.0082038+0.0082734i,-0.0065091+0.0025201i,0.0075419+0.0021166i,0.00049253-0.0014055i,0.00211-0.0039272i,0.0014557+0.002509i,0.0013394+0.0019937i,-0.0018775+0.0020512i,-0.0025697+0.0082236i,-0.00026134+0.0011656i,0.0025264-0.0054021i,-0.0005205-0.0019152i,-0.0016281-0.0037038i,0.00066422-0.0030208i,-0.00029542-0.0029746i,-0.011898+0.0012552i,0.001503+0.0015656i,-3.0228e-05+0.0011093i,-0.0019454+0.00054421i,0.0002777+0.00058039i,-0.0029366+0.00083943i,-0.00029601-0.00042381i,0.002046+0.0018697i,0.001544+0.0012076i,0.00059562-0.00079182i,-0.00030879+0.00075372i,0.0010951+0.0033396i,-0.0016845-0.0071513i,-0.001214+0.003083i,-0.0013784+0.0001281i,0.00084136-0.00021529i,0.0034298-0.00076464i,-0.0006969-0.00098263i,-0.00032414-0.0015805i,-0.0030757+0.003073i,0.0022376-0.0034887i,-0.010554+0.025441i,-0.037329-0.02932i,-0.028837+0.020514i,-0.024135-0.040126i,-0.06294-0.02257i,-0.022273-0.0061614i,-0.022567+0.037501i,-0.014642+0.012045i,-0.027312-0.012989i,-0.030059-0.013239i,-0.035771+0.015546i,-0.0034133+0.0031159i,-0.00063212+0.029546i,0.014415+0.0021544i,-0.0011411-0.0011083i,-0.021965+0.0057387i,-0.0001478+0.0064332i,-0.00318+0.0061182i,0.0088103-0.0028092i,0.0061524+0.0065404i,-0.0025638+0.0045884i,0.00078812+0.0019414i,0.0030536-0.0054933i,0.0059232+0.0019844i,0.0057381+0.00049185i,-0.0033996+0.0033588i,-0.0015331-0.0044842i,0.0067344-0.00040099i,0.0053283+0.0094516i,0.00020625+0.00052745i,-0.0095424-0.024038i,0.013569-0.0044217i,0.004229-0.0041268i,0.0016661+0.0024437i,0.00035043-0.0012888i,0.011944-0.012387i,0.0050988+0.0035876i,-0.0059073+0.00049049i,-0.00076338+0.0044411i,0.0084355-0.00080792i,0.0083538-0.0057748i,-0.00068348-0.0031363i,0.0099984-0.003212i,0.0032883-0.0014093i,0.0071774-0.0070937i,-0.049978+0.010136i,-0.018916-0.011042i,-0.0020681-0.012135i,-0.0033258+0.0026875i,-0.013915+0.027859i,-0.0074213+0.0030546i,-0.0020832+0.0086568i
-0.020335+0.042659i,-0.0074871+0.021636i,-0.0057445+0.024976i,-0.01301+0.024236i,0.0076174+0.013712i,0.0050422+0.0038574i,-0.0058868+0.035823i,0.015214+0.01655i,0.0092431+0.0070578i,-0.004229+0.0043395i,0.0075954-0.0028666i,0.00096339+0.00072847i,0.00096152-0.0038428i,0.0025332+0.0029187i,0.0017518+0.0016388i,-0.00019621+0.004529i,0.0013668+0.0087928i,-9.907e-05+0.00064889i,0.0010952-0.0056737i,-0.0012549-0.0017333i,-0.0025938-0.0028017i,3.4896e-05-0.0032196i,-0.0012619-0.002883i,-0.0079963+0.004379i,0.0027185-0.0053229i,-0.00014358+6.1561e-05i,-0.00089511+0.00050633i,0.00025924-0.00062852i,-0.00016356+0.0044496i,-3.5078e-05-0.00017852i,0.0024409+0.00068968i,0.0023333+0.00019999i,-9.5542e-05-0.00060051i,-0.00036812+0.00086529i,0.0014767+0.0023706i,-0.0041501-0.0082123i,-0.0001731+0.0030484i,-0.00073484+0.003915i,-0.00014636-0.00044429i,0.0025408-0.0010945i,-0.00067145-0.00076637i,-0.00054226-0.0030428i,-0.0016913+0.0034145i,-0.00031071-0.0028633i,-0.0062465+0.027156i,-0.037829-0.013862i,-0.022814+0.01848i,-0.034426-0.033001i,-0.067543-0.0068619i,-0.019573-0.0082938i,-0.012109+0.033504i,-0.01015+0.0071752i,-0.027545-0.011332i,-0.029032-0.0094704i,-0.030514+0.022843i,-0.0028325+0.0032438i,0.012192+0.024732i,0.012319-0.0027598i,-0.0043924+0.0013897i,-0.0199+0.01501i,0.0021526+0.0074766i,-0.00030493+0.0069221i,0.0030282-0.004214i,0.008131+0.0043432i,-0.00097592+0.0062725i,0.0006381+0.0039499i,0.0010242-0.0068882i,0.0018088+0.002022i,0.0031675+0.00080608i,-0.002308+0.0049384i,-0.0024587-0.0023106i,0.0059345-0.0028034i,0.0098393+0.0017492i,0.00048701+6.5184e-05i,-0.013622-0.022554i,0.0099802-0.0082789i,0.0023007-0.0053052i,0.0034879+0.0027516i,-0.00012739-0.00063522i,0.007664-0.013227i,0.0075409+0.00071739i,-0.0040206+0.0039212i,0.0019611+0.0041041i,0.0077756-0.0019465i,0.0039792-0.0106i,-0.00087811-0.0022777i,0.0052057-0.0070258i,0.0011056-0.0026194i,0.0033373-0.010185i,-0.041925+0.015363i,-0.027272-0.0035544i,-0.0067962-0.013333i,-0.003012+7.5575e-05i,-0.0083517+0.027011i,-0.010464+0.0061446i,-0.0013357+0.009261i
-0.014166+0.044769i,-0.0050536+0.022224i,-0.0060321+0.026035i,-0.0082036+0.024319i,0.0080856+0.010506i,0.0051946+0.0026115i,0.0019514+0.034428i,0.016634+0.012412i,0.010403+0.004782i,-0.0024023+0.0043128i,0.0046619-0.0033793i,0.002012+0.0017808i,-0.00019198-0.0036362i,0.0038859+0.0019612i,0.0019357+0.0011667i,0.0023158+0.0054074i,0.0048454+0.0075341i,-1.6429e-05+0.00057494i,-0.00091049-0.005813i,-0.0018337-0.0012521i,-0.0027547-0.0015665i,-0.00057579-0.0032747i,-0.0020232-0.0022887i,-0.00536+0.0029805i,-0.0010929-0.00076324i,-0.00088811-0.00015956i,-0.00086653+0.00083875i,-0.00042182-0.0014853i,0.00017528+0.00095816i,4.7681e-05-0.00049181i,0.0022861-0.00049555i,0.0025408-0.001222i,-0.00031417-0.000312i,-0.00018548+0.00090309i,0.0016733+0.0018253i,-0.0069607-0.0077993i,0.00049199+0.0025101i,-0.002934+0.0014523i,-0.00085591+0.0012723i,0.0024711-0.00075932i,-0.00052988-0.00039602i,-0.002283-0.0023869i,-0.00027037+0.0029635i,-0.0014122-0.001299i,-0.0012717+0.028214i,-0.032033-0.0059309i,-0.019338+0.016699i,-0.040399-0.021673i,-0.0645+0.011631i,-0.023152-0.011019i,-0.0060058+0.027536i,-0.0074535+0.002994i,-0.027392-0.008638i,-0.02937-0.0067343i,-0.023823+0.029153i,-0.003197+0.0034688i,0.018699+0.010971i,0.010099-0.0070042i,-0.0053885+0.0054162i,-0.012515+0.022851i,0.0045474+0.0061181i,0.0033867+0.0054621i,0.00011814-0.0014054i,0.0095931+0.00074487i,0.0015208+0.0075365i,0.002123+0.0048723i,-0.0033825-0.0088849i,0.00084507+0.0047882i,0.0032799+0.0021883i,0.00066396+0.0078696i,-0.0015732-0.0005654i,0.0043561-0.0036902i,0.0096288-0.00016194i,0.0010528-0.00077641i,-0.022414-0.021193i,0.0057991-0.010008i,-9.8263e-05-0.0054629i,0.0061077-0.0019586i,8.5235e-06+0.00057317i,0.0051219-0.012492i,0.0071003-0.0026111i,-0.0010946+0.0050006i,0.0036454+0.001871i,0.0069041-0.0043758i,-0.0034426-0.010452i,-0.001236-0.0024189i,0.0013866-0.0068112i,0.00032129-0.0033723i,-0.0018117-0.0098124i,-0.037183+0.019051i,-0.02577+0.0099109i,-0.01078-0.012943i,-0.0045279-0.0012649i,-0.0046966+0.027184i,-0.0093913+0.01125i,0.0023746+0.0082702i
-0.0075619+0.046253i,-0.0020686+0.022997i,-0.004078+0.028422i,-0.0047963+0.023237i,0.0075357+0.0084737i,0.005294+0.0013505i,0.0085884+0.031036i,0.016951+0.0087028i,0.011095+0.0026896i,-0.0014391+0.0042402i,0.0030591-0.0024412i,0.0041342+0.0021462i,-0.0012608-0.0031044i,0.0042261-0.00023363i,0.0019126+0.00080973i,0.004473+0.0048289i,0.0070288+0.0050583i,0.00020592+0.00066135i,-0.0024149-0.0051871i,-0.0020257-0.00042992i,-0.0024097-0.00050063i,-0.0014831-0.0031658i,-0.0024132-0.0015438i,-0.0061787+0.0023311i,-0.0012784-0.00013931i,-0.0014141+0.00051686i,-0.00073237+0.0010561i,-0.0017021-0.0015435i,-0.00027116+0.00072636i,-0.00027278-0.00077627i,0.0019597-0.0010688i,0.00062348-0.0032908i,-2.995e-05-0.00017853i,7.4434e-05+0.00080446i,0.0020421+0.00078427i,-0.0099464-0.0061967i,0.0011868+0.0021901i,-0.0019958+0.0016472i,-0.00086666+0.0022851i,0.0036511-0.0017787i,-0.00028531-0.00024085i,-0.0016181-0.00069957i,0.00058829+0.0022316i,-0.0014678-0.00042048i,0.0046403+0.027243i,-0.028451-0.0041825i,-0.016937+0.015947i,-0.040489-0.011134i,-0.054502+0.026449i,-0.02679-0.0082854i,-0.0014974+0.023831i,-0.0072799-0.0011061i,-0.026365-0.0065951i,-0.028986-0.0023275i,-0.015925+0.033504i,-0.002123+0.0036527i,0.013279-0.0013756i,0.0059322-0.010706i,-0.0036952+0.0087526i,-0.0037548+0.024256i,0.005447+0.0035938i,0.0048298+0.0020281i,0.0011653+0.0003616i,0.0089636-0.0023765i,0.0060356+0.0068936i,0.0039487+0.00591i,-0.0078903-0.0037724i,0.0030744+0.0067219i,0.0047743+0.0027647i,0.0051602+0.007208i,-0.0010873-5.2702e-05i,0.0033946-0.004435i,0.0098809-0.0056832i,-0.0008334-0.0011726i,-0.030518-0.01276i,0.0019662-0.010163i,-0.0020454-0.0041927i,0.0055993-0.0016252i,0.0006514+0.00080816i,0.0038752-0.014517i,0.0054885-0.005476i,0.0013353+0.0042193i,0.0036442+0.00078027i,0.0054779-0.0054967i,-0.0071586-0.0058826i,-0.0024067-0.0020987i,-0.00052554-0.003749i,-0.001985-0.0037355i,-0.0047173-0.0073555i,-0.030843+0.022338i,-0.01948+0.011336i,-0.011357-0.011891i,-0.0059258-0.0011325i,0.00044064+0.025385i,-0.0074193+0.013083i,0.0026233+0.0054031i
-0.00053086+0.046828i,0.0017105+0.023483i,-5.4294e-05+0.031057i,-0.0019542+0.022796i,0.0068697+0.0075938i,0.0049543+0.00033069i,0.013938+0.026681i,0.017096+0.0058522i,0.011579+8.1642e-05i,-0.00065511+0.004557i,0.0029955-0.0017595i,0.0061033+0.00011581i,-0.0021196-0.0022023i,0.0027221-0.0013769i,0.0019805+0.0006199i,0.0062113+0.0031404i,0.0078455+0.002661i,0.00062651+0.00033414i,-0.0036435-0.0041768i,-0.0017143+0.00044222i,-0.0017499+6.3612e-05i,-0.0021984-0.0023106i,-0.0026483-0.00083776i,-0.0073837+0.0050229i,-0.0014876+0.00055585i,-0.0010773+0.0012799i,-0.00054654+0.0014401i,-0.002802-0.00072867i,-0.00033394+0.00067596i,-0.00060962-0.00075161i,0.0014706-0.0019309i,0.00037476-0.0031655i,-0.00023282-0.00036258i,0.00010793+0.00064548i,0.0016628-0.00017427i,-0.01214-0.0028429i,0.0017183+0.0016045i,-0.0012398+0.0023438i,-0.0012539+0.0023569i,-0.0019316-0.0015523i,0.0005064-0.00020358i,-0.00064177-0.00034315i,0.00094759+0.0015111i,-0.00138+0.00031114i,0.009196+0.02458i,-0.028973-0.0031128i,-0.015372+0.01513i,-0.039678-0.0024359i,-0.041326+0.034491i,-0.030002-0.0047725i,0.0027923+0.018177i,-0.0080216-0.0027941i,-0.02597-0.0051604i,-0.027319+0.0026823i,-0.0057971+0.03582i,-0.0012671+0.0034076i,0.0062719-0.003246i,0.0006573-0.012114i,0.0002711+0.011601i,0.0039047+0.02213i,0.0045631+0.0014133i,0.0043833-0.0016885i,0.00098968+0.00067043i,0.0070997-0.0056728i,0.0094257+0.0035529i,0.0066378+0.0053758i,-0.0078397+0.00023356i,0.0059437+0.0072148i,0.006648+0.0024849i,0.0096075+0.0040186i,-0.00064767+0.00062348i,0.0027968-0.0053002i,0.0064584-0.0092238i,-0.0011072+0.0010128i,-0.033953-0.00052311i,-0.00086101-0.0094322i,-0.0029784-0.0022249i,0.0057179-0.0024826i,0.0010273+0.00056491i,-8.6244e-05-0.017316i,0.0029009-0.0068331i,0.0031837+0.0033273i,0.0038415-0.00020674i,0.004943-0.0068451i,-0.0088735-0.0028002i,-0.003609-0.00041631i,-0.0012874-0.0034524i,-0.003388-0.002825i,-0.0060268-0.0051361i,-0.025165+0.023052i,-0.017697+0.011909i,-0.012527-0.013202i,-0.0069173-0.00018067i,0.0026362+0.024361i,-0.0060891+0.013874i,0.0027279+0.0040757i
0.0070484+0.046553i,0.0063298+0.022915i,0.006349+0.031804i,0.0010463+0.02235i,0.0072347+0.0076267i,0.0047179-0.00023536i,0.017772+0.021204i,0.017442+0.0028434i,0.01116-0.0027956i,0.00056598+0.004521i,0.0031165-0.0023142i,0.0056078-0.0029789i,-0.0025384-0.0011001i,0.0019296-0.0014449i,0.0021191+0.00035772i,0.0066614+0.00081301i,0.0081051+0.00053087i,0.00023089-0.00012996i,-0.004875-0.0027563i,-0.0010418+0.000581i,-0.00094779+4.4816e-05i,-0.0023094-0.001565i,-0.0026276-7.2686e-06i,-0.004842+0.0080875i,-0.00126+0.0011204i,-0.00051537+0.001603i,7.9783e-05+0.0015199i,-0.0029817+0.00062259i,-0.00028081+0.00052466i,-0.00088693-0.00059928i,0.00039545-0.0023428i,-0.0009209-0.0034864i,-0.00051762-0.00015436i,9.9505e-05+0.00058754i,0.0010475-0.00064568i,-0.012177+0.0012188i,0.0018201+0.00088161i,6.4249e-06+0.002516i,-0.0010773+0.0027315i,-7.8003e-06-0.00093264i,0.001109-0.0041433i,-2.9348e-06+1.5202e-05i,0.00084886+0.0010838i,-0.0012106+0.00089618i,0.012132+0.022033i,-0.031518+0.0012124i,-0.014126+0.014688i,-0.034515+0.0060261i,-0.028796+0.038844i,-0.032365+0.0025945i,0.0053867+0.011673i,-0.0060713-0.005057i,-0.025191-0.0023717i,-0.023886+0.0077246i,0.0033592+0.034483i,-0.001041+0.0026988i,0.0022446-0.0033979i,-0.0049669-0.011583i,0.0063287+0.01093i,0.0088943+0.018334i,0.0022913+0.00029007i,0.0027457-0.004923i,0.0021493+0.0030854i,0.0032212-0.0074316i,0.010626-0.0019004i,0.008589+0.0029812i,-0.0074971+0.0040674i,0.01017+0.0063719i,0.0090037+0.00011478i,0.011165-0.0019766i,0.00021373+0.0011682i,0.0014313-0.0060191i,-0.000201-0.0096754i,0.00068967+0.0025891i,-0.031672+0.012206i,-0.0029283-0.0085804i,-0.0026641-0.00019722i,0.0056843-0.0054755i,0.0015274+0.00080222i,-0.007111-0.017236i,0.00020415-0.0066537i,0.0043641+0.0013363i,0.0038253-0.00086044i,0.0030332-0.0084493i,-0.0093792+0.002609i,-0.0030693+0.0017097i,-0.0046939-0.0027864i,-0.0048889-0.0022513i,-0.006256-0.0029372i,-0.022578+0.02375i,-0.016604+0.016468i,-0.015634-0.015759i,-0.0054979+0.0013025i,0.0068289+0.023721i,-0.0053536+0.015807i,0.0038484+0.0015186i
0.014866+0.044538i,0.010646+0.020886i,0.012763+0.029468i,0.0042581+0.021384i,0.0084034+0.0072839i,0.0048753-0.00067566i,0.019773+0.015703i,0.017134-0.0003355i,0.010178-0.0051115i,0.0013182+0.0043421i,0.0026283-0.0027813i,0.0034454-0.0046293i,-0.0025008-0.00014595i,0.0011757-0.0013753i,0.002175+1.2894e-05i,0.0057481-0.0009945i,0.0075382-0.0016303i,-8.3474e-05-0.00010406i,-0.005162-0.0010695i,-0.0010293+0.0012117i,-0.00019568-0.00034429i,-0.0022999-0.0012162i,-0.0021911+0.00066291i,-0.0014203+0.008874i,-0.00089175+0.001273i,2.0517e-05+0.0018624i,0.00058215+0.0011005i,-0.0025084+0.0016945i,-0.00041701+0.0003753i,-0.0012907-0.00031242i,-0.00065125-0.0021754i,-0.0030067-0.002806i,-0.00050511+6.5287e-05i,0.00019016+0.00045898i,0.00042855-0.00081785i,-0.010629+0.0046105i,0.0017739+0.00018662i,0.00055203+0.0018768i,0.00038287+0.0035773i,4.2572e-05-0.00094205i,-0.00073537-0.00024326i,-0.0026127+0.0010384i,0.00075462+0.001044i,-0.00086125+0.0014942i,0.015103+0.020052i,-0.030803+0.0090141i,-0.01427+0.014409i,-0.028022+0.0095962i,-0.016062+0.040393i,-0.03072+0.012215i,0.0042192+0.0048531i,-0.0065122-0.010454i,-0.021873-9.2917e-05i,-0.017899+0.012327i,0.012638+0.029202i,-0.0012017+0.0025541i,-0.0018676-0.0021388i,-0.0094804-0.008515i,0.010299+0.0065309i,0.010749+0.010109i,-0.00071814+0.0014445i,-0.00023475-0.0079556i,0.0057048+0.0018321i,-0.00071317-0.006701i,0.0077271-0.0060212i,0.0095586-0.00011374i,-0.0060533+0.0070447i,0.013601+0.0010131i,0.009035-0.0050859i,0.0087624-0.0074129i,0.0015139+0.0011212i,-0.00051068-0.0063329i,-0.0045155-0.0061553i,0.002834+0.0015635i,-0.023903+0.024832i,-0.0051093-0.0071225i,-0.0013388+0.0009979i,0.0017646-0.0074418i,0.0024865+0.00045565i,-0.013154-0.012833i,-0.0012674-0.00498i,0.0042007-0.0011351i,0.0033844-0.0016311i,0.00017577-0.0086427i,-0.0055913+0.0069779i,-0.0015936+0.0032272i,-0.0056392+0.0014136i,-0.0070434-0.00062823i,-0.0061271-0.0018176i,-0.017714+0.02812i,-0.0081414+0.020887i,-0.021838-0.015618i,-0.0035672+0.00019521i,0.0097745+0.02151i,-0.0025985+0.018426i,0.003032-0.0023212i
