-0.024385-0.0040794i,-0.02072-0.0075185i,-0.012787-0.013269i,-0.03547-0.0077074i,-0.026845+0.0022093i,-0.035319-0.0022316i,-0.066116-0.03786i,-0.032781-0.014581i,-0.022278+0.0028434i,0.0067066+0.0052689i,-0.0051709+0.0069856i,-0.0080493+0.017566i,0.0056381+0.0076557i,-0.0011456+0.0035017i,0.0040893+0.0040731i,0.0042665+0.025751i,0.020207+0.019269i,0.0012908-0.00078339i,0.00032164-0.0051241i,0.0086924+0.00064911i,0.0050891-0.001655i,0.0020355+0.00205i,0.0010156-0.00050932i,-0.022919-0.0013741i,-0.0061698-0.0028447i,-0.0011471+0.0028719i,0.003331-0.0036267i,-0.002323+7.536e-05i,-0.00053577+0.0010026i,-0.0024877-0.0016055i,-0.0038923-0.00041767i,-0.0068901-0.0083167i,-0.0058944-0.0052466i,-0.00070036+5.4571e-07i,-0.00068145-0.002111i,-0.0011586+0.020201i,0.0025074-0.0038912i,0.0013092-0.0041841i,0.0025394-0.0020929i,-0.0024481-0.0031498i,0.0011173-0.00018943i,0.0074933+0.0022078i,0.0043809-0.0040455i,-0.00032693+0.0025244i,-0.013692+0.015457i,-0.027817+0.053266i,-0.0057021-0.036815i,-0.015295-0.018849i,-0.04001-0.016313i,-0.027334-0.012372i,0.036808-0.011108i,0.0064488-0.029753i,0.014052-0.037375i,-0.0084282-0.030079i,0.025707-0.023323i,0.013024+0.0073297i,0.030931-0.036544i,-0.0017708-0.00435i,0.0060674-0.0089758i,-0.00068407-0.0059454i,-0.00026743-0.035626i,-0.014969+0.029215i,0.0087362-0.011781i,-0.0088852-0.0051979i,-0.0025258-0.0020644i,-0.00051899-0.01595i,-0.0076783+0.0059486i,0.0041455+0.0063395i,-0.0014099+0.029062i,0.0023307+0.00080822i,-0.0070414-0.0039899i,-0.0042606-0.006242i,-0.014554-0.0090259i,-0.0021895-0.0056417i,-0.036937+0.0077391i,-0.0049268-0.0087095i,-0.013053-0.00082119i,-0.012339-0.0031665i,0.0019969-0.0014046i,-0.013737+0.0020313i,-0.0014241-0.00074791i,0.0059478+0.0058915i,0.0039173-0.0051534i,-0.015283-0.014883i,0.0074485+0.0088005i,-0.01396+0.0039978i,0.0050232+0.00051797i,-0.020287-0.0029939i,-0.016062-0.003875i,-0.015107-0.034981i,0.019731-0.0092739i,-0.041029-0.025158i,-0.010505+0.0049326i,0.018164+0.015488i,-0.022444+0.016871i,-0.0044398-0.0037644i
0.0031437+0.013601i,-0.0030459+0.01631i,-0.0016279+0.026072i,0.0022595+0.024348i,0.00037991+0.02886i,0.01102+0.021957i,-0.0090165+0.025405i,-0.0037138+0.021317i,0.011943+0.0046851i,0.00076605-0.0039063i,0.0022368+0.00045304i,0.0058523-0.0023054i,0.00053528-0.001497i,6.5555e-05-0.0033667i,-5.2692e-05-0.0017118i,0.0064343-0.007067i,-0.0021101-0.0050898i,-0.0012667+0.00063023i,0.00049634+0.0005232i,-0.00010254+0.0018178i,4.1254e-05+0.0027045i,-0.0001084-2.1509e-05i,0.0013351+0.0002572i,-0.0072625-0.0036202i,-0.00034089-0.00065867i,-0.0022426+0.00074177i,-0.0042278+0.00032468i,-0.0019033+0.00024065i,-0.0020336+0.0012611i,-0.00010875-0.00050487i,-0.0027856+0.0010075i,0.001426-0.0019418i,0.00060307-0.0035321i,0.0001453-0.0014149i,-0.0013221+0.00074495i,-0.00035237-0.0038506i,-0.0015389+0.0019527i,0.0018857+8.8476e-05i,0.00047559+0.0045631i,0.0018+0.0037935i,-0.00032959+0.0010196i,-0.0013371+0.0004259i,-0.0017396-0.0011723i,0.0036727+0.0050887i,0.01405+0.0059828i,0.043778-0.053365i,-0.026756+0.0061585i,0.019134-0.027066i,-0.021566-0.033279i,-0.011905+0.0031667i,-0.032229+0.033801i,-0.019259+0.0053378i,-0.017124+0.0083787i,-0.0025457-0.017491i,-0.038052-0.019806i,-0.0086622+0.0017357i,-0.028598+0.012447i,0.0017305+0.015287i,0.0009599+0.0049275i,-0.00462-0.0042326i,-0.00019194+0.0022213i,-0.014416-0.0029754i,0.0043167+0.012653i,-0.0013336+0.0079883i,-0.0022514+0.0039224i,0.00061905+0.0060815i,0.0026456+0.002533i,-0.0013021+0.019367i,0.0047103+0.015913i,0.0048184-0.0052178i,0.011118-0.0048043i,0.0087032+0.0022277i,-0.0034109-0.0080247i,-0.00018515-0.00204i,0.018291-0.034183i,0.0091484+0.0048865i,0.0082768-0.0012699i,0.0026113-0.00064452i,0.0060651-0.0085119i,0.021753-0.00023161i,0.0060314-0.0029425i,0.0024254-0.0065943i,0.0046945-0.0032647i,0.01844+0.0036105i,0.0061324+0.0033294i,0.0031674-0.0033592i,0.0094403+0.0094576i,-0.0024291+0.0044554i,0.0084057+0.0087788i,-0.01337-0.014925i,-0.0084983+0.0018808i,-0.0084125-0.013852i,-0.0083216-0.0049518i,-0.03926+0.0071894i,-0.0060128+0.0039641i,-0.012551+0.00082141i
0.0051301+0.0127i,-0.00073074+0.013855i,0.0048582+0.021402i,0.0057714+0.021902i,0.0044607+0.027022i,0.014232+0.019626i,-0.0057672+0.026065i,0.00051918+0.020846i,0.011651+0.00067415i,8.6549e-05-0.003418i,0.0026734+0.0007977i,0.0048264-0.0048608i,9.9956e-05-0.0021607i,0.00027751-0.0030089i,-0.00065972-0.001484i,0.0029472-0.0066295i,-0.0049861-0.0035876i,-0.00017155+0.0018564i,0.0018417+0.00034936i,0.0012049+0.0016221i,-0.0022899+0.0017954i,0.00032326+0.00043968i,0.0016156-0.00029997i,-0.0067504-0.0011227i,-0.00016059-0.00034654i,-0.0018576+0.0016123i,-0.0032652+0.0022868i,-0.0013183+0.00082115i,6.176e-05+0.0015195i,4.5148e-05-0.00025865i,-0.0020061+0.0028343i,1.4166e-05-0.0015033i,-0.00094898-0.0034939i,-0.0014055-0.0012949i,-0.0020215+0.001061i,0.00061243-0.0027i,-8.8042e-05+0.0023327i,0.0012251-0.00063226i,0.0046162+0.0052503i,0.0030741+0.0022334i,6.2559e-05+0.0013797i,-0.0013257+0.00069339i,-0.0021997-0.00049535i,0.0051435+0.0039398i,0.014481+0.0018067i,0.023483-0.06284i,-0.02057+0.013784i,0.0086078-0.035824i,-0.033911-0.025833i,-0.0090783+0.0061497i,-0.020636+0.039356i,-0.014439+0.01031i,-0.0058158+0.003575i,-0.0041953-0.016325i,-0.042381-0.0061533i,-0.0085308+0.002423i,-0.023204+0.024267i,0.00669+0.010687i,0.0014468+0.0032764i,-0.0080743-0.0053943i,-0.0025061+0.005176i,-0.014661+0.0049753i,0.0090923+0.009351i,0.0011478+0.010698i,-0.00060594+0.0039845i,0.0032392+0.0064972i,0.0038476+0.0026364i,0.0071757+0.01561i,0.0087605+0.0088188i,-0.0018286-0.0074019i,0.0059963-0.006091i,0.0077751+0.0007854i,-0.004431-0.0012123i,-0.00082349+0.00059262i,0.005484-0.034608i,0.011296+0.002063i,0.0077915-0.004634i,0.0044837-0.0021047i,0.0010384-0.0056942i,0.020075-0.0096466i,0.0031803-0.0048238i,-0.00082081-0.0052522i,0.00087768-0.002937i,0.016436-0.0024487i,0.0077949+0.0033613i,0.0022929-0.0020725i,0.012163+0.005584i,-0.00090388+0.0057255i,0.009606+0.0046472i,-0.01904-0.013098i,-0.0044921-0.012591i,-0.0078682-0.012471i,-0.0080536-0.0034411i,-0.034931+0.019859i,-0.0038438+0.0050311i,-0.0093768+0.002609i
0.0079533+0.011674i,0.00055312+0.012204i,0.0076321+0.015705i,0.0084208+0.019404i,0.0092777+0.025203i,0.017258+0.016607i,-0.0016791+0.02654i,0.0044476+0.019296i,0.0098784-0.0022592i,-0.00075166-0.0032752i,0.0036738+0.00038849i,0.0012929-0.0058767i,-0.00052187-0.002323i,-0.00037232-0.0030399i,-0.0011125-0.001129i,-0.00039481-0.0048364i,-0.0063642-0.00069175i,0.0010021+0.0020149i,0.0023337-0.0011715i,0.0024597+0.00023226i,-0.00089099+0.0020048i,0.0011297+5.5047e-05i,0.0016036-0.00097725i,-0.0064341-8.462e-05i,-5.1212e-05-6.8349e-05i,-0.00052152+0.0026473i,-0.0015772+0.0027724i,-0.00051197+0.0010956i,-0.00018601+0.0010944i,-6.6031e-05-0.00043663i,-2.5607e-05+0.0039478i,-0.00046815-0.00099034i,-0.0023858-0.0022138i,-0.0020501-0.000521i,-0.0016249+0.0021803i,0.001904-0.0029602i,0.0007503+0.0019485i,0.00051582-0.0010216i,0.026342-0.0019143i,0.0033766+0.001055i,0.00053509+0.0011199i,-0.00045472+0.0015423i,-0.0023956+7.9567e-05i,0.0058081+0.0014572i,0.013804-0.00162i,0.0022957-0.062587i,-0.010447+0.017084i,-0.0041034-0.037728i,-0.037575-0.016583i,-0.0035921+0.0070849i,-0.006318+0.039167i,-0.0057274+0.011474i,-0.0044351-0.003702i,-0.0057808-0.015537i,-0.040794+0.0072769i,-0.0075417+0.0041672i,-0.011088+0.031608i,0.0072455+0.0049072i,-0.00048422+0.0010658i,-0.015353-0.0023796i,-0.0011838+0.0066344i,-0.010068+0.010605i,0.01103+0.0038291i,0.0048473+0.010015i,-0.0015142+0.0049419i,0.0045372+0.0045094i,0.0051018+0.0004846i,0.0097195+0.0083755i,0.008871+0.0037317i,-0.0068518-0.0026127i,0.0038883-0.0058042i,0.0089762-9.4299e-05i,-0.0020904+0.0065753i,0.0020809+0.0022908i,-0.0084338-0.039734i,0.012221-0.0035508i,0.0053537-0.0068964i,0.0031579-0.0042277i,0.00088355-0.0042787i,0.01291-0.016169i,0.00011396-0.0014048i,-0.003843+0.0022915i,-0.00040827+9.1958e-05i,0.011657-0.0062341i,0.011321-0.00093507i,0.0032917-0.0032379i,0.014608-0.00028236i,0.0030042+0.0052988i,0.0091275+0.0011258i,-0.022829-0.0056249i,-0.015253-0.021117i,-0.006478-0.014055i,-0.006625-0.0033371i,-0.021326+0.024849i,-0.0037842+0.00020128i,-0.0075546-0.0012801i
0.011178+0.0092084i,0.0025911+0.011334i,0.008079+0.010572i,0.0109+0.01729i,0.013531+0.021558i,0.019778+0.012779i,0.003271+0.026396i,0.0079108+0.016632i,0.0080861-0.0034294i,-0.0017201-0.0026623i,0.0039511-0.0013416i,-0.0013244-0.0041774i,-0.001358-0.0023022i,-0.0014572-0.0023718i,-0.0016765-0.00068047i,-0.0016-0.0019299i,-0.0055253+0.0025707i,0.0017126+0.0012873i,0.0015764-0.0017046i,0.0020683-0.0016074i,0.00020901+0.0017969i,0.0014712-0.00063951i,0.0012429-0.0017562i,-0.0063301+0.0014145i,0.00028976-0.00022669i,0.0014602+0.0016208i,-0.00037908+0.002543i,0.0001719+0.00075002i,0.0012856+0.00073298i,-0.00011062-0.00022233i,0.001258+0.0032672i,-0.001146-0.00069821i,-0.0032449-0.00074673i,-0.0021874+0.00064236i,-0.00065162+0.0025972i,0.002256-0.0048541i,0.0020111+0.0015698i,-0.0001408-0.00082619i,-0.001213-0.0023043i,0.0035265-0.00011316i,0.00091855+0.00059851i,0.00047657+0.0013188i,-0.0024679+0.0010761i,0.0038207-0.0016407i,0.0126-0.0045168i,-0.015635-0.050687i,-0.0017202+0.01416i,-0.014836-0.03474i,-0.041683-0.0069647i,0.0012147+0.0047033i,0.0064541+0.032605i,0.0031645+0.0051497i,-0.0047741-0.0050101i,-0.0063623-0.01291i,-0.035964+0.016907i,-0.0063397+0.0056875i,0.0020373+0.030303i,0.0068612+0.002783i,-0.003629+0.0021782i,-0.018424+0.0067506i,-0.00072141+0.0086231i,-0.0038448+0.011504i,0.0088589-0.0019333i,0.0084354+0.0085917i,5.9047e-05+0.007365i,0.0039829+0.004208i,0.0051131-0.0028448i,0.0079887+0.0024214i,0.0056303+0.00058596i,-0.0051491+0.0014571i,0.0020178-0.0057362i,0.0084876-0.0023907i,0.005909+0.0063818i,0.0037101+0.000547i,-0.014477-0.018163i,0.0093479-0.0073572i,0.0018449-0.0082353i,0.0021555-0.0027979i,-0.00042773-0.0049396i,0.0049864-0.01744i,0.0029742+0.00011874i,-0.0046114+0.00037069i,0.00231+0.0020589i,0.0081159-0.006379i,0.010682-0.0057532i,0.0010877-0.0039114i,0.011636-0.0081166i,0.0041603+0.0019091i,0.0085286-0.0028375i,-0.01914+0.0023776i,-0.027502-0.017828i,-0.010824-0.019183i,-0.0064709-0.0053629i,-0.015716+0.026005i,-0.0087842-0.00017683i,-0.011341-0.00074157i
0.012781+0.0058694i,0.0034144+0.0093246i,0.0064586+0.006948i,0.013325+0.014709i,0.016444+0.0173i,0.021127+0.0085338i,0.0085256+0.024462i,0.010059+0.01351i,0.0070067-0.0040746i,-0.001919-0.0018062i,0.0028527-0.0024452i,-0.0021118-0.0023582i,-0.0021698-0.0020657i,-0.0015502-0.0014744i,-0.0020982+9.4422e-05i,-0.0011462+0.00035213i,-0.0035042+0.0048979i,0.0017047+0.00067943i,0.0011499-0.0017514i,0.00066899-0.0025651i,0.00056654+0.0012825i,0.0012767-0.0012527i,0.00030633-0.0021901i,-0.0047592+0.0026233i,0.00033944-0.00064137i,0.0016075-0.00032014i,0.00078558+0.0017332i,0.00043247+0.00033336i,-0.00048036+0.00054661i,0.00031745-0.00021378i,0.001896+0.002454i,-0.00136-0.00023785i,-0.0032922+0.0011454i,-0.0017764+0.0016135i,0.00011721+0.002726i,0.0011598-0.0068418i,0.0028265+0.00022706i,-0.00028557-0.00034224i,0.00068535-0.001411i,0.0030971-0.00097438i,0.0009036+5.3811e-05i,0.00080525+0.00075171i,-0.0012376+0.0024181i,0.0011826-0.00077865i,0.01111-0.0064527i,-0.019352-0.035438i,0.0031558+0.0092214i,-0.024077-0.027682i,-0.045493+0.0056545i,0.0033303-0.00012568i,0.015498+0.027113i,0.0057299-0.0024803i,-0.003924-0.0070741i,-0.0047796-0.01329i,-0.029527+0.024751i,-0.0045518+0.0065883i,0.013564+0.02431i,0.0065069+0.00037005i,-0.0047159+0.0057718i,-0.016061+0.014182i,0.0024569+0.0096844i,0.0011564+0.011736i,0.0043377-0.0033995i,0.010966+0.0054923i,0.0032786+0.0080661i,0.0048873+0.004652i,0.0035397-0.004724i,0.0038658+0.0018865i,0.0029761+0.0015793i,-0.0037597+0.0036359i,0.00056524-0.0046192i,0.0072238-0.0048386i,0.0087519+0.0014706i,0.0038323-0.001474i,-0.015823-0.016683i,0.0056206-0.0095867i,-0.0014222-0.0073918i,0.0037897-0.0025951i,-0.0016884-0.0034757i,-0.00053472-0.015696i,0.0044399-0.0016374i,-0.001842+0.0026792i,0.0051024+0.0004787i,0.0067066-0.0071595i,0.007598-0.013247i,0.0006716-0.0036437i,0.0042335-0.011241i,0.0025069+0.00021516i,0.0046717-0.0062814i,-0.012521+0.0040768i,-0.036967-0.0074019i,-0.017692-0.018288i,-0.0077456-0.0073484i,-0.0097076+0.026411i,-0.012687+0.0033832i,-0.011135+0.0034752i
0.013501+0.0028933i,0.0039781+0.0083983i,0.0047361+0.00568i,0.015231+0.01154i,0.017891+0.012879i,0.021939+0.0045613i,0.013435+0.020798i,0.011371+0.010542i,0.0064463-0.0050292i,-0.0021085-0.0014478i,0.0012042-0.002903i,-0.0023573-0.00077531i,-0.0031224-0.0013846i,-0.0015084-0.0012282i,-0.0022424+0.00055677i,5.9049e-05+0.0014939i,-0.00066666+0.0062327i,0.0017364+0.00014866i,0.00058646-0.0020871i,-0.00061734-0.0024532i,0.0012287+0.0010691i,0.00093705-0.0016981i,-0.00048391-0.0019785i,-0.0040026+0.0024678i,4.9605e-06-0.00054465i,0.00071468-0.0014992i,0.00097402+0.00034746i,0.00065864-0.0001977i,0.00048564+0.00044242i,0.00034188-0.00074232i,0.0025442+0.0013453i,-0.0014142-7.7338e-05i,-0.0021937+0.0025984i,-0.00092503+0.0022091i,0.00093362+0.0025506i,-0.00097102-0.0071802i,0.0015538-0.0022717i,-0.00017048-0.00021097i,0.00022019-0.0017357i,0.0024547-0.001305i,0.00076477-9.9452e-05i,0.00078283+0.00049092i,-0.0006928+6.3272e-05i,0.00086972+0.00098629i,0.0096507-0.0075751i,-0.018331-0.028364i,0.0050977+0.0047969i,-0.028445-0.016807i,-0.039692+0.016567i,0.00032079-0.004393i,0.018116+0.019132i,0.0062316-0.0090375i,-0.0041694-0.0081565i,-0.0068375-0.013694i,-0.021415+0.030645i,-0.0037623+0.0074635i,0.018565+0.011077i,0.0057589-0.0018601i,-0.0029315+0.0092265i,-0.0095428+0.020213i,0.0054535+0.0081899i,0.0065855+0.0088334i,0.0021743-0.0019426i,0.01299+0.00062524i,0.0061112+0.0072861i,0.0061047+0.0037306i,-0.00034073-0.0073413i,0.0034809+0.0045302i,0.0038058+0.003404i,-0.00077245+0.0060891i,0.00069505-0.0038853i,0.0054891-0.006165i,0.0092726-0.0029584i,0.0030674-0.0036034i,-0.021191-0.013726i,0.0017277-0.010262i,-0.0044636-0.0057123i,0.0017709-0.0044637i,-0.0016552-0.0019564i,-0.0030718-0.012656i,0.0036204-0.0035633i,0.00065624+0.0025262i,0.0047776-0.0033822i,0.0037927-0.008483i,-0.0034662-0.014483i,-0.00017328-0.0047726i,-0.000654-0.0083998i,0.0022642-0.00061433i,-0.00024128-0.0057231i,-0.0096417+0.0036753i,-0.033844+0.0090148i,-0.02362-0.014924i,-0.010247-0.0071313i,-0.005221+0.026222i,-0.011636+0.0089495i,-0.0067995+0.0046963i
0.014059-0.00053724i,0.004959+0.0076766i,0.0037939+0.005546i,0.016292+0.0080797i,0.018385+0.0091733i,0.022244+0.00018317i,0.017067+0.016064i,0.012061+0.007781i,0.0058473-0.0059189i,-0.0023481-0.00064056i,-0.00040573-0.0021781i,-0.0014021+0.00064519i,-0.0037492-0.00017193i,-0.0019566-0.0013253i,-0.0021359+0.0012806i,0.0010217+0.00184i,0.0027803+0.0060536i,0.0016033-0.00019001i,0.00015521-0.0021485i,-0.0014724-0.001689i,0.0017903+0.00046663i,0.00038538-0.0020366i,-0.00097678-0.0014943i,-0.0039064+0.0033077i,-0.00027181-0.00053647i,-0.00042735-0.001713i,0.00070888-0.00035737i,0.00038866-0.00095472i,0.00071694-0.00025349i,-0.00013918-0.0012436i,0.0029931+0.00052947i,-0.0012258+0.00079788i,-0.00034249+0.0028198i,6.8766e-05+0.0022791i,0.0016995+0.0017479i,-0.003664-0.007116i,0.00028011-0.0012483i,-0.00024724-0.00037605i,-0.00019867-0.0012929i,0.0019406-0.0015267i,0.00077733-0.00038673i,0.0010565+0.00032588i,-0.0010308+0.00045023i,0.0016272+0.0015102i,0.008828-0.009112i,-0.01935-0.027626i,0.0063526+0.001521i,-0.025707-0.0072565i,-0.028863+0.026772i,-0.0020988-0.0042828i,0.020043+0.012524i,0.0033759-0.014801i,-0.0042643-0.0095137i,-0.0079578-0.011495i,-0.013078+0.03449i,-0.0011204+0.0074112i,0.012778-5.3752e-05i,0.0036308-0.0043729i,0.00031738+0.010477i,-0.0018449+0.021337i,0.0065372+0.0057234i,0.0095558+0.0053314i,0.0026036-0.00079945i,0.012166-0.003691i,0.010045+0.0050377i,0.0074898+0.0027557i,-0.0045421-0.0037677i,0.0055075+0.0053447i,0.0057395+0.0038198i,0.0026859+0.005532i,-0.00015273-0.0042651i,0.0036774-0.0074547i,0.0070714-0.0089923i,-1.3609e-05-0.0044093i,-0.025903-0.0074846i,-0.0018163-0.0095926i,-0.0044982-0.0026966i,0.0010452-0.0027128i,-0.0016442-0.0016486i,-0.0046811-0.012325i,0.001524-0.0043568i,0.0014285+0.00064376i,0.0022415-0.0043209i,0.0017812-0.0085546i,-0.008318-0.0077944i,-0.0028115-0.0050729i,-0.0028895-0.0059438i,0.00067406-0.0015462i,-0.0023318-0.0028825i,-0.0066953+0.0038547i,-0.026328+0.011101i,-0.023993-0.010123i,-0.012497-0.0057843i,0.00095458+0.023787i,-0.0097139+0.011247i,-0.0052459+0.0034173i
0.013243-0.0039939i,0.0064701+0.0070165i,0.003778+0.0061088i,0.016639+0.0048355i,0.01832+0.0059316i,0.021392-0.0040731i,0.019562+0.01064i,0.012519+0.0054065i,0.0050768-0.0070379i,-0.0018857+0.0001195i,-0.0012312-0.00074471i,-0.00022178+0.00063562i,-0.0038477+0.0012712i,-0.0029023-0.00056306i,-0.0016636+0.0021406i,0.0019676+0.0013312i,0.0055622+0.0037811i,0.0016127-0.00055135i,-0.00024918-0.0020609i,-0.00157-0.00057684i,0.001941-0.00030009i,-0.00023695-0.0018389i,-0.0011999-0.00096392i,-0.0026683+0.0044231i,-0.00062231-0.00050604i,-0.00098182-0.001225i,0.00016105-0.00097933i,-0.00033262-0.0013521i,0.00036312-0.00090408i,-0.0008062-0.0012773i,0.0028807-0.0013259i,-0.00051931+0.00071196i,0.00048886+0.0020895i,0.00080916+0.0019843i,0.0018239+0.00096836i,-0.006717-0.0050625i,-0.00010362-0.0013727i,-0.00060377-0.00025855i,-0.00064864-0.0014975i,0.0017368-0.0015908i,0.00068362-0.00061368i,0.0012416-3.0664e-05i,-0.0010408+0.00054788i,0.0023269+0.0015512i,0.0073022-0.011177i,-0.025318-0.026743i,0.0059649-0.0024406i,-0.022951-0.0012452i,-0.015621+0.030149i,-0.004405-0.0039686i,0.021264+0.0054466i,3.3819e-05-0.017417i,-0.0056106-0.010567i,-0.0076689-0.0087467i,-0.0026667+0.035165i,0.00084734+0.0066993i,0.0071429-0.0013279i,0.00070973-0.005349i,0.004846+0.011058i,0.0046336+0.018892i,0.0063973+0.00284i,0.0086657-0.001392i,0.0021778-0.00043812i,0.0094364-0.0083476i,0.012532+0.00057839i,0.0086037+0.00089405i,-0.0050847-0.00042247i,0.0077468+0.0046877i,0.008066+0.0033107i,0.0056975+0.0032272i,-0.0011624-0.0038073i,0.0022894-0.0086902i,0.00085698-0.010904i,-0.0013705-0.0024481i,-0.028496+0.0021347i,-0.0042457-0.0084805i,-0.0049537-0.0012344i,0.0012348-0.0022846i,-0.0020744-0.0010813i,-0.008058-0.011877i,-0.00090319-0.0042774i,0.0018076-0.00020698i,0.00029509-0.0048617i,0.00043045-0.0084134i,-0.009374-0.0038185i,-0.0050173-0.0026365i,-0.004019-0.0033183i,9.4333e-05-0.0021164i,-0.0020894-0.0012197i,-0.0037401+0.0033951i,-0.024339+0.013111i,-0.022768-0.0077229i,-0.014228-0.0038965i,0.0030007+0.022355i,-0.0082254+0.012133i,-0.0041304+0.0026039i
0.011689-0.0066734i,0.0084118+0.0055313i,0.0052106+0.0063273i,0.016458+0.0017197i,0.018402+0.0032653i,0.019703-0.0079079i,0.020261+0.0043157i,0.012767+0.0030101i,0.0038131-0.0080911i,-0.0015656+2.8691e-06i,0.00025279-0.006295i,-1.3812e-05-0.00010697i,-0.0033359+0.0027877i,-0.0028454+0.00064354i,-0.00081671+0.002701i,0.0021157+0.00045065i,0.0057379+0.00061654i,0.0011859-0.00099177i,-0.00073527-0.0018658i,-0.0010761+2.8748e-06i,0.0019795-0.0012081i,-0.00040967-0.0015669i,-0.0011248-0.00052665i,-0.00093825+0.0047005i,-0.0010524-0.00032941i,-0.0015864-0.00063745i,-0.00088624-0.0013042i,-0.0011653-0.0011778i,-0.00025415-0.0013203i,-0.0014636-0.00093414i,0.0012178-0.0015439i,-0.00066354+0.00085647i,0.00071963+0.001694i,0.001376+0.0014805i,0.0017906+0.00031229i,-0.0084711-0.0011362i,-0.0010036-0.0010007i,-0.00068152-7.6392e-06i,-0.0013942-0.001376i,0.0013742-0.0017724i,0.00052803-0.0007693i,0.0012154-0.00035185i,-0.0011218+0.00057364i,0.0029711+0.0012062i,0.0047678-0.012273i,-0.030136-0.021133i,0.0045161-0.005651i,-0.016534+0.0036542i,-0.0045554+0.030711i,-0.0057088-0.0008337i,0.020862-0.002027i,-0.0010862-0.020622i,-0.0063287-0.009902i,-0.0041708-0.0059329i,0.0064862+0.032289i,0.0020273+0.005434i,0.0034206-0.0017303i,-0.0028835-0.0051253i,0.010137+0.008042i,0.0079797+0.014885i,0.0046929+0.0014587i,0.004484-0.0053131i,0.0034561+0.0017495i,0.0041921-0.010622i,0.012356-0.005882i,0.0090169-0.0013642i,-0.0049462+0.002531i,0.010633+0.0028068i,0.010982+0.00040024i,0.0065684-0.00040109i,-0.0017721-0.0031362i,-0.00040835-0.0091138i,-0.0041504-0.003346i,-0.00084053-0.00071686i,-0.027712+0.01311i,-0.0065032-0.0073474i,-0.0045508+0.001824i,0.00098999-0.0053407i,-0.0018101+0.00055433i,-0.012104-0.0087476i,-0.0030662-0.0028222i,0.0012028-0.0016102i,-0.0014789-0.0042805i,-0.0018692-0.0080308i,-0.0094899+0.0016362i,-0.0046969+0.0003078i,-0.00633-0.0025653i,-0.0019285-0.0044684i,-0.0015435-0.00081862i,-0.0013345+0.0029371i,-0.023261+0.019018i,-0.022853-0.0082814i,-0.011956-0.00095421i,0.0070368+0.021444i,-0.007318+0.014414i,-0.0025413+0.00039723i
0.0098971-0.0086628i,0.0099597+0.0033021i,0.0068927+0.0051263i,0.015656-0.0011579i,0.018328+0.00055222i,0.017579-0.010924i,0.018755-0.0012273i,0.012659+0.00068221i,0.0024139-0.0087942i,-0.0017729+0.000294i,-0.00057265-0.0014055i,-0.00062968-0.00027901i,-0.0021741+0.0038567i,-0.0024101+0.0015647i,2.2718e-05+0.002895i,0.0014987-0.00011583i,0.0045688-0.0012786i,0.00088374-0.00096466i,-0.00064056-0.0017578i,-0.00047865+0.00014315i,0.0017382-0.002136i,-0.00045796-0.0016057i,-0.00084071-0.00031396i,0.00050851+0.0045628i,-0.0013417-4.3524e-05i,-0.0019874+0.00031603i,-0.0019444-0.00086115i,-0.0016499-0.00056938i,-0.0011178-0.0013052i,-0.002034-0.00030761i,0.00072389-0.0013617i,-0.00041384+0.0013108i,0.0011947+0.001385i,0.0017762+0.00086522i,0.0014858-0.00026884i,-0.008737+0.0026132i,-0.0012769-0.00047009i,-0.0008068+7.5245e-05i,-0.0019229-0.00071994i,0.00098736-0.0017934i,0.00038811-0.00087927i,0.0013053-0.00064572i,-0.0012327+0.00076951i,0.0033276+0.00061946i,0.0027055-0.012366i,-0.029762-0.013282i,0.0011698-0.0074692i,-0.010377+0.0033136i,0.0063464+0.029373i,-0.0041067+0.0031986i,0.017555-0.0085867i,-0.0056105-0.025809i,-0.0053112-0.0085737i,0.0017213-0.0047396i,0.014147+0.026607i,0.0023741+0.0059785i,0.00050414-0.00080452i,-0.0052369-0.0027658i,0.012247+0.0021395i,0.0099568+0.013261i,0.0027578+0.0020505i,0.00046749-0.0076628i,0.0064978+0.00017996i,-0.00089793-0.0097454i,0.0077561-0.010217i,0.0088155-0.0042724i,-0.0043878+0.0047076i,0.012262-0.002233i,0.010151-0.0052393i,0.0056811-0.0039358i,-0.0022698-0.0025786i,-0.0033235-0.0083916i,-0.0029487-0.013423i,0.00027292-0.00095264i,-0.020141+0.026357i,-0.0089703-0.0050667i,-0.0021429+0.0032128i,-0.0034731-0.0063269i,-0.00061573+0.00095694i,-0.014366-0.0040147i,-0.0033555-3.1002e-05i,-0.00030013-0.0023604i,-0.0032455-0.0032738i,-0.0040399-0.0061407i,-0.0065666+0.0055689i,-0.0030099+0.0018992i,-0.0072791+0.0021357i,-0.005664-0.0035976i,-0.0019125-0.00080015i,0.0028475+0.0024407i,-0.012668+0.024738i,-0.026448-0.0074639i,-0.010827-0.0013338i,0.0092176+0.019154i,-0.0040903+0.016883i,-0.0033205-0.0033536i
