-0.00070089-0.042312i,-0.00098111-0.046177i,-0.0073578-0.047227i,-0.030485-0.022743i,-0.022572+0.011297i,-0.036389-0.033554i,-0.063446-0.058675i,-0.020177-0.069831i,-0.023954-0.043727i,-0.0012305+0.016108i,-0.01099+0.012447i,-0.014576+0.013168i,0.0028695+0.014107i,-0.0031276-0.0022021i,0.00169+0.0059273i,-0.00057054+0.035139i,0.020769+0.057213i,0.00099915-0.00061116i,-0.0031128-0.0093108i,0.0073427+0.0045016i,0.0013672+0.0013905i,-0.00032147+0.0035705i,-0.00065177-0.00029013i,-0.038706-0.0098084i,-0.002412-0.0080196i,-0.0010449+0.0044701i,0.0056442-0.00049987i,-6.3507e-05+0.00057861i,0.00070789-0.0005966i,0.00012016-0.0022242i,-0.0014559-0.0059311i,-0.0031198-0.0061701i,-0.0015212-0.0067956i,0.0033997-0.00080057i,0.0029536-0.00097683i,-0.0017555+0.039018i,0.0064294-0.004045i,0.0034202-0.00075833i,0.0051439-0.00015517i,-0.011978-0.0071661i,-0.00087357+0.00069754i,0.0092474-0.0011012i,0.0039942+0.0005256i,-0.0050192+0.0018261i,-0.0030864+0.014881i,-0.005331+0.017744i,0.026461-0.080766i,0.000623-0.054413i,-0.023522-0.043449i,-0.01905-0.037201i,0.06386-0.015275i,0.030284-0.057683i,0.039244-0.045076i,0.033682-0.052712i,0.019855-0.01555i,0.0076904+0.012099i,0.023916-0.035255i,-0.0080078-0.0049895i,0.0027245-0.00069071i,-0.002542-0.0042482i,0.0043774-0.032369i,-0.025008+0.031472i,0.0087368-0.010286i,-0.01266-0.0029476i,-0.0045283-0.001357i,0.00047031-0.014551i,-0.0099254+0.005242i,0.0037959+0.0062964i,-0.014314+0.029959i,0.005357+0.0064567i,-0.0055534-0.0022512i,-0.00069261-0.0024987i,-0.011626-0.0077751i,0.00010603-0.0039361i,-0.036298+0.0060396i,0.0017128-0.013035i,-0.0090672-0.0025472i,-0.0071584-0.0034438i,0.0066402+0.0020093i,-0.0096881+0.0015002i,0.00023455+0.0020935i,0.005659+0.0099838i,0.0047677+0.0012041i,-0.0093738-0.010248i,0.0020251+0.0082514i,-0.020597+0.0043633i,0.0065272+0.0032823i,-0.027861-0.0092926i,-0.036307-0.002264i,0.026218-0.077965i,0.014452-0.0092085i,-0.042043-0.028495i,-0.025074-0.0072661i,0.017349+0.01221i,-0.027512+0.010864i,-0.011973-0.010163i
-0.042467-0.0066759i,-0.056748+0.0030795i,-0.042026+0.047846i,-0.019506+0.010094i,-0.0052116+0.018521i,-0.0052109+0.037322i,-0.027681+0.017304i,-0.061821+0.024877i,-0.018972+0.016626i,0.0038644-0.010028i,0.0030803-0.0020624i,0.0033317+0.00045443i,0.0025071+0.0085661i,-0.0038663+0.0015857i,2.6952e-05+0.0019055i,0.00089378-0.0065669i,-0.011325-0.0079924i,-0.0041961-0.00016263i,0.0037583-0.0029007i,0.00082012+0.00030879i,0.0014284-0.0046301i,0.0020448-0.0038395i,0.0013618-0.0026471i,-0.01352-0.012551i,-0.0030685-0.0011463i,-0.0038973-0.00025251i,-0.0032394-0.000478i,-0.0043356-0.0012914i,-0.0011626-0.0024378i,0.0013208-0.0014232i,-0.0039597+0.003757i,0.0016978+0.0017899i,0.0020103+0.0015418i,0.0013405+0.001182i,-0.0022925+0.0026727i,-0.0045896-0.0098168i,-0.0031493+0.0015562i,0.00078911+0.00035944i,-0.0011503+0.0034964i,0.0094872+0.0081356i,0.0014223-0.0012894i,0.0015678-0.0008594i,-0.0044251-0.0048218i,0.0018653+0.0056341i,-0.0083103-0.023361i,0.016731-0.078308i,-0.08687-0.022678i,-0.02246-0.023143i,-0.050949-0.0407i,-0.042674-0.0083312i,-0.090636+0.018592i,-0.062725-0.002471i,-0.038331-0.027954i,-0.025603-0.055314i,-0.032953-0.02639i,-0.00085303+0.0039883i,-0.027428+0.011254i,0.0065231+0.017525i,0.0045648+0.0085711i,-0.0030935-0.0044801i,0.0073168+0.0050024i,-0.012194-0.005479i,0.0028242+0.01178i,0.0004701+0.0067319i,-0.0014945-0.0022467i,0.0066808+0.0025974i,0.0044986-0.00099823i,-0.0039768+0.020172i,-0.0011228+0.013883i,0.0015541-0.0041868i,0.01155-0.0085031i,0.0036271+0.0044798i,-0.0080549-0.0078452i,-0.0013741-0.001421i,0.026306-0.03379i,0.0087433+0.0087593i,0.0041513+0.0029531i,-0.0022235+0.0027354i,0.0040997-0.003455i,0.019707+0.0027534i,0.0015138-0.00188i,-0.00049674-0.0082987i,0.0020793-0.0031081i,0.01316+0.0054755i,0.0049387+0.0008049i,0.0039473-0.007681i,0.0049181+0.0075501i,0.0040432+0.0029394i,0.017703+0.0046717i,-0.06657-0.041799i,-0.011129+0.0098412i,-0.0070528-0.0034012i,-0.0096695+0.0046433i,-0.038104+0.0082091i,-0.0049936+0.0078836i,-0.016635+0.004328i
-0.041766-0.00062539i,-0.055251+0.0089812i,-0.029724+0.049042i,-0.017951+0.011726i,-0.0017572+0.015937i,0.0017843+0.036813i,-0.025478+0.021125i,-0.054341+0.033116i,-0.015388+0.014463i,0.00025783-0.0097251i,0.0030052-0.0015189i,0.0033687-0.0012541i,0.0046012+0.0062448i,-0.0019966+0.0032657i,0.00011944+0.0025015i,-0.0029974-0.0041333i,-0.015594-0.0015757i,-0.0036429+0.0013365i,0.0039706-0.0031932i,0.0014976-0.000218i,3.0451e-05-0.0045349i,0.0014718-0.0030403i,0.0010941-0.0025215i,-0.015088-0.0070171i,-0.0030466+4.4917e-05i,-0.0041306+0.0011557i,-0.0025972+0.00060547i,-0.0039673+0.00014341i,-0.0017997-0.002202i,0.001088-0.001595i,-0.0022454+0.0054096i,0.0016112+0.001542i,0.0021354+0.00055809i,0.00057626+0.00074284i,-0.0026841+0.0026998i,-0.0043236-0.0079185i,-0.0025066+0.0019037i,1.9257e-05-0.00024957i,-0.00048461+0.0049004i,0.010186+0.0023145i,0.0010348-0.0016716i,0.00077355-0.0013465i,-0.0061774-0.0032163i,0.0033558+0.0052128i,-0.012566-0.027185i,-0.0065531-0.088699i,-0.082225-0.0052974i,-0.029579-0.026298i,-0.060933-0.031299i,-0.04019+0.00041695i,-0.076889+0.037587i,-0.059488+0.011891i,-0.03063-0.026349i,-0.032003-0.051897i,-0.040027-0.012603i,-0.00021744+0.0017597i,-0.021783+0.022962i,0.010887+0.011286i,0.0070449+0.0045013i,-0.0080094-0.0080264i,0.0040601+0.0039885i,-0.012569+0.0029807i,0.0076658+0.0091021i,0.0016012+0.0084298i,-0.0018862-0.00094693i,0.0071874+0.0026914i,0.0044377-0.0017748i,0.0059575+0.016844i,0.0054916+0.0097917i,-0.003731-0.0054591i,0.0031984-0.0093097i,0.004857+0.0042732i,-0.010921-0.00023609i,-0.002281+0.00084848i,0.010497-0.036478i,0.01154+0.0061172i,0.0073912+0.0016344i,0.00085992+0.0021706i,0.0005149-0.001903i,0.018609-0.0064713i,-4.0509e-05-0.0024176i,-0.0043968-0.0064289i,-0.0017694-0.0030451i,0.012141+6.5214e-05i,0.0050925+0.0012449i,0.00086634-0.0052972i,0.00698+0.0057825i,0.0035634+0.0023035i,0.017031-0.0013454i,-0.072522-0.032556i,-0.0029687-0.0017218i,-0.0061367-0.0023577i,-0.0077705+0.0057119i,-0.032502+0.020548i,-0.0027374+0.0086366i,-0.014781+0.0070045i
-0.039346+0.0044435i,-0.054764+0.015135i,-0.021405+0.047658i,-0.016644+0.013658i,0.0028052+0.014794i,0.0088123+0.034624i,-0.021807+0.024761i,-0.046381+0.039058i,-0.015818+0.013133i,-0.0024636-0.008484i,0.0036275-0.001903i,-0.00019742-0.0020937i,0.0057959+0.0042626i,-0.0014016+0.0031761i,0.00076649+0.0030842i,-0.0052436-4.6215e-05i,-0.0154+0.006985i,-0.0017396+0.002662i,0.0039876-0.0054302i,0.0021509-0.0016201i,-0.0012066-0.0040671i,0.0016291-0.0035666i,0.0009869-0.002875i,-0.01607-0.0023143i,-0.0031358+0.0011636i,-0.003241+0.0032209i,-0.0017224+0.0007977i,-0.002806+0.001599i,-0.002506-0.0019716i,0.00031243-0.0026382i,0.00011279+0.0056854i,0.0017396+0.0012207i,0.0019856+2.9488e-05i,0.0005864+0.00041622i,-0.0017427+0.0043592i,-0.0039314-0.0077511i,-0.0024846+0.0020108i,-0.00054625-0.00016209i,0.0033777+0.0036784i,0.0082475-0.0012795i,0.00047341-0.0018533i,0.00091233-0.00065415i,-0.0076263-0.0013122i,0.0046953+0.0025964i,-0.018849-0.028046i,-0.033592-0.087113i,-0.072343+0.0060667i,-0.038775-0.023662i,-0.065737-0.020357i,-0.034218+0.0063254i,-0.056702+0.049447i,-0.044898+0.024685i,-0.030981-0.029682i,-0.037428-0.04929i,-0.03923+0.0016322i,-0.00036795+0.00037837i,-0.0097186+0.028618i,0.011757+0.005353i,0.0045631-0.0012753i,-0.017064-0.0065062i,0.0036492+0.0032741i,-0.0083605+0.0078399i,0.0096178+0.0037177i,0.0045031+0.0087311i,-0.0039873+0.00053193i,0.0078562-0.0011535i,0.0041847-0.0037596i,0.0097471+0.0088681i,0.0065247+0.0046299i,-0.00798-0.0010978i,0.0003262-0.0067315i,0.0073505+0.0031262i,-0.007586+0.0086701i,-0.00027983+0.0027892i,-0.0022103-0.03325i,0.014294+0.00096952i,0.0070419-0.001733i,0.0013081+0.0011003i,0.0012422-0.00028512i,0.011965-0.01192i,-0.0030294+0.00064722i,-0.0070023-0.0031482i,-0.0036363+0.0010945i,0.0086464-0.003432i,0.0088334-0.0011881i,0.0011412-0.0041665i,0.0099831+0.0026928i,0.0055271+0.0014797i,0.01473-0.006472i,-0.076245-0.019429i,-0.0083146-0.012111i,-0.003611-0.0037324i,-0.0053917+0.0056629i,-0.022943+0.025605i,-0.0018549+0.0033124i,-0.010957+0.0039802i
-0.03639+0.0076102i,-0.053073+0.023135i,-0.014887+0.045876i,-0.013389+0.016748i,0.0073992+0.0097343i,0.014833+0.030529i,-0.016902+0.027603i,-0.038443+0.042666i,-0.016563+0.015223i,-0.0045775-0.0066915i,0.0033727-0.0036218i,-0.002035+0.00097434i,0.0056221+0.0020697i,-0.0015213+0.0047886i,0.0013438+0.0030544i,-0.0042973+0.0044577i,-0.0099068+0.014075i,-0.00014015+0.001896i,0.0015457-0.0066085i,0.0010538-0.003563i,-0.0019551-0.0034146i,0.0013648-0.0043353i,0.00036968-0.0037303i,-0.015431+0.0032427i,-0.0020727+0.0016152i,-0.00067713+0.0032471i,-0.0014023+0.00077347i,-0.001174+0.0015573i,-0.0032327-0.00086529i,-0.0012132-0.002381i,0.001908+0.0050604i,0.001685+0.00068682i,0.0014932-0.00060956i,0.0005063+0.00024101i,0.00055507+0.0042945i,-0.005143-0.0090837i,-0.0015979+0.0031487i,-0.00093839+0.00025056i,0.0033114+1.8194e-05i,0.0064586-0.0026086i,0.00015645-0.0019591i,0.0012786-0.0010892i,-0.0079877+0.0016178i,0.0026474-0.0011747i,-0.025009-0.025714i,-0.055826-0.072921i,-0.062883+0.010712i,-0.046168-0.016964i,-0.070289-0.0084963i,-0.027421+0.0080496i,-0.037933+0.051329i,-0.028715+0.023887i,-0.033214-0.02737i,-0.044041-0.044294i,-0.034106+0.011666i,-0.0018061-0.00042284i,0.0018816+0.026956i,0.010898+0.00052735i,-0.00069455-0.0023416i,-0.023307+0.0027953i,0.0012713+0.0032662i,-0.0034937+0.0087685i,0.0079276-0.0013488i,0.0081396+0.0078012i,-0.0039183+0.0038658i,0.0040378-0.0030726i,0.0026996-0.0064628i,0.0079433+0.0016217i,0.0038875+0.0016805i,-0.0072427+0.0031636i,-0.002126-0.0052806i,0.0080628+0.00051207i,0.0021036+0.011676i,0.0015862+0.0020726i,-0.0098191-0.026487i,0.01285-0.0042919i,0.0061691-0.0039377i,0.002153+0.002003i,0.0013415-0.00095297i,0.0061154-0.012542i,-3.15e-05+0.003419i,-0.007825+0.00095997i,-0.0015365+0.0041786i,0.0056414-0.0034894i,0.0077598-0.0063626i,-0.00071849-0.004017i,0.0090583-0.0035433i,0.0054613-0.0017179i,0.011625-0.010854i,-0.073751-0.0059162i,-0.018456-0.014297i,-0.0045828-0.0082431i,-0.0032469+0.0032125i,-0.015171+0.026512i,-0.0062946+0.0023169i,-0.013619+0.0034195i
-0.034505+0.01038i,-0.050091+0.030715i,-0.010368+0.044646i,-0.0087695+0.01786i,0.0087321+0.0036004i,0.018837+0.025984i,-0.011408+0.028873i,-0.031278+0.045175i,-0.014641+0.019196i,-0.00561-0.004551i,0.0012896-0.004375i,-0.00082478+0.0035441i,0.0049587+0.00071932i,0.0010798+0.0065248i,0.0023535+0.0031001i,-0.0013495+0.007087i,-0.0023697+0.017131i,0.00044742+0.0011844i,3.6061e-05-0.0062803i,-0.0010322-0.0040526i,-0.0029441-0.0029463i,0.00014865-0.0048481i,-0.0010969-0.0039603i,-0.011381+0.0072741i,-0.0021515+0.0011511i,-0.00022714+0.0017516i,-0.0012363+0.00076671i,-0.00033861+0.00084811i,-0.003236+0.00056515i,-0.0017009-0.0012433i,0.0031625+0.0040792i,0.0016521-0.00012588i,0.00070211-0.0007261i,0.00031408+8.9055e-05i,0.0011875+0.003687i,-0.0083427-0.0092422i,-0.00063538+0.0035399i,-0.00084853+0.0010646i,0.0013209-0.0010675i,0.0049216-0.0028279i,-0.00028833-0.0021015i,0.0012224-0.0017248i,-0.006448+0.0042283i,-0.00049292-5.7483e-05i,-0.030194-0.021201i,-0.065156-0.052549i,-0.057501+0.011693i,-0.051414-0.0077776i,-0.071891+0.0067842i,-0.023509+0.0057131i,-0.022474+0.048468i,-0.019191+0.019232i,-0.03388-0.02556i,-0.048172-0.03845i,-0.027885+0.01896i,-0.0026448-0.00025841i,0.012376+0.021233i,0.0089112-0.0024103i,-0.0046199+0.00014795i,-0.022635+0.011895i,0.0012581+0.0047838i,0.0016593+0.009891i,0.0026627-0.0023452i,0.011268+0.0049081i,-0.0018072+0.0067263i,0.0011823-0.0017165i,0.00028959-0.0076518i,0.0024605+0.00042302i,0.0015353+0.0028908i,-0.0058408+0.006654i,-0.0037545-0.0021042i,0.0075915-0.0022839i,0.0076891+0.0072055i,0.0024841+0.0009374i,-0.01366-0.023869i,0.0096893-0.0083521i,0.0041579-0.0059642i,0.0047265+0.0018228i,0.0007176-0.00059336i,0.0024688-0.011142i,0.0026278+0.0025713i,-0.0055054+0.0057422i,0.0016565+0.0048785i,0.0049449-0.0033185i,0.0037505-0.010797i,-0.00093791-0.0026468i,0.0048086-0.0064869i,0.0033255-0.0037943i,0.0057724-0.014948i,-0.068619+0.0026338i,-0.028992-0.0078783i,-0.0083964-0.009873i,-0.0032434+3.7044e-05i,-0.009569+0.025981i,-0.010219+0.0050616i,-0.014148+0.0065282i
-0.033147+0.01351i,-0.045751+0.038262i,-0.0064147+0.04544i,-0.0044613+0.01685i,0.0064799-0.002288i,0.02251+0.02201i,-0.0060769+0.028199i,-0.024649+0.046965i,-0.010447+0.020995i,-0.0062138-0.003236i,-0.0012879-0.0037101i,0.0012703+0.0045105i,0.004244-7.1633e-06i,0.0040813+0.005445i,0.0031021+0.0024129i,0.0017422+0.0078072i,0.0052783+0.016643i,0.0008268+0.00070195i,-0.0018029-0.0062016i,-0.0030245-0.0033632i,-0.0033213-0.0016906i,-0.00075422-0.0048985i,-0.0021562-0.0032419i,-0.0081384+0.0073993i,-0.0026224+0.0020013i,-0.00065308+0.0015115i,-0.0013523+0.00083387i,-0.00024296-0.00016575i,-0.002418+0.0015678i,-0.0017319-0.00049166i,0.0044409+0.002909i,0.0013574-0.00071955i,0.00031616-0.00076567i,1.4357e-05-8.5975e-05i,0.0019938+0.0036478i,-0.011867-0.0074992i,0.00030426+0.0033777i,-0.00010538+0.001436i,-0.00013435-0.0011463i,0.0042493-0.0028663i,-0.00072041-0.00163i,0.00065025-0.0022564i,-0.0041951+0.0054467i,-0.0011368+0.0024773i,-0.03387-0.015118i,-0.064399-0.037558i,-0.055192+0.013748i,-0.053052+0.0044646i,-0.066577+0.023546i,-0.025846+0.0040164i,-0.011968+0.042434i,-0.013125+0.01433i,-0.035211-0.023106i,-0.053076-0.03291i,-0.021165+0.022978i,-0.0043139+0.00068626i,0.016653+0.0083924i,0.0079624-0.0050696i,-0.0061629+0.0043813i,-0.017059+0.020594i,0.0024576+0.0046995i,0.0072984+0.0065368i,0.00081354+7.3503e-05i,0.013632-0.00054907i,0.0015697+0.0081215i,0.00070087-0.00013735i,-0.0047822-0.008653i,-9.4562e-05+0.0040858i,0.0023624+0.0051223i,-0.0014756+0.0099998i,-0.0019249+0.00071742i,0.0059467-0.0039675i,0.0095326+0.0025661i,0.003077-0.00090358i,-0.021666-0.022258i,0.0048241-0.010288i,0.00087813-0.0068132i,0.0046222-0.00083479i,0.000912+0.00052098i,0.0012237-0.0090981i,0.0035018+0.00069164i,-0.0011547+0.0074046i,0.003818+0.0023998i,0.0035106-0.0040137i,-0.0028777-0.010789i,-0.0010785-0.0030069i,0.0013744-0.0062791i,0.0021167-0.0050581i,-0.0021424-0.014925i,-0.065513+0.010122i,-0.028444+0.0071072i,-0.012546-0.0098133i,-0.0057121-0.0013666i,-0.0056536+0.025905i,-0.0095118+0.010488i,-0.0099811+0.008803i
-0.031246+0.017249i,-0.039731+0.045674i,-0.00065108+0.046938i,-0.0021785+0.01454i,0.0017842-0.0050968i,0.026102+0.017254i,-0.0012732+0.026918i,-0.018269+0.048704i,-0.0064395+0.021788i,-0.0070737-0.0013292i,-0.0025172-0.0011904i,0.0038576+0.0044719i,0.0035598-0.00029577i,0.0053286+0.003015i,0.0032847+0.001581i,0.0045317+0.0071799i,0.011624+0.012879i,0.0010394+0.00038308i,-0.0031861-0.0053244i,-0.0042494-0.001439i,-0.0030786-0.00064894i,-0.001937-0.0048894i,-0.0027178-0.0023281i,-0.0070791+0.0089612i,-0.0021487+0.0028802i,-0.00069263+0.0022123i,-0.0012833+0.0013958i,-0.0012995-0.00083655i,-0.0018066+0.0017873i,-0.0016949-0.00015294i,0.0051282+0.0011324i,0.0012404-0.00080941i,0.00046609-0.00090406i,1.7214e-05+1.1982e-05i,0.0035597+0.0020193i,-0.014871-0.0041501i,0.0014232+0.0032456i,0.00047279+0.0010747i,-0.0010161-0.00060167i,0.0034457-0.0033886i,-0.00087498-0.0012651i,0.0001347-0.0024505i,-0.0025304+0.0051313i,-0.00029323+0.0034094i,-0.035226-0.0095548i,-0.064056-0.031495i,-0.053867+0.018318i,-0.048904+0.01618i,-0.056471+0.036927i,-0.027369+0.0076416i,-0.0046202+0.037774i,-0.010735+0.0087466i,-0.036705-0.021435i,-0.057198-0.024504i,-0.014673+0.025467i,-0.0036195+0.0015099i,0.010242-0.0024225i,0.005081-0.0088377i,-0.004688+0.0078646i,-0.0092239+0.023982i,0.0026246+0.0034945i,0.0090294+9.2476e-05i,0.0021319+0.00091808i,0.011784-0.005175i,0.0063679+0.0071483i,0.00099505+0.0020574i,-0.0088963-0.0023479i,0.0018664+0.0074498i,0.004435+0.0059413i,0.0037939+0.0096503i,-0.00076226+0.00065485i,0.0045668-0.0050972i,0.010068-0.0039013i,0.00070282-0.0020163i,-0.030127-0.014007i,0.00098249-0.0098957i,-0.0018052-0.0051558i,0.0050478-0.00025276i,0.0018515+0.0001168i,0.0011066-0.0098215i,0.0031619-0.00097645i,0.0020983+0.0055662i,0.0040145+0.0014147i,0.0031564-0.0032982i,-0.0066044-0.0065945i,-0.0027411-0.0034155i,-0.0016135-0.0055208i,-0.00032949-0.0062123i,-0.0073046-0.011265i,-0.060533+0.017655i,-0.022282+0.0091866i,-0.012791-0.0075985i,-0.0077431-0.0013367i,-0.00052968+0.023845i,-0.0080584+0.012364i,-0.0079479+0.0082439i
-0.028477+0.020678i,-0.031712+0.052159i,0.0064769+0.04778i,-0.0010317+0.013423i,-0.0031596-0.0045645i,0.028541+0.011924i,0.0029801+0.024852i,-0.011619+0.050221i,-0.0024321+0.02131i,-0.0072529+0.00083219i,-0.0014772+0.0009668i,0.0062624+0.0023863i,0.0032786-0.00029833i,0.0048558+0.001469i,0.0036896+0.001226i,0.0066187+0.0051614i,0.015064+0.0074027i,0.0013222-0.00051228i,-0.0041874-0.0045411i,-0.0040694+0.000824i,-0.002635+9.5191e-05i,-0.0032435-0.0036735i,-0.0029303-0.0015664i,-0.0034266+0.0099546i,-0.0015098+0.003776i,0.00048943+0.0027533i,-0.00093904+0.0021224i,-0.002633-0.00016741i,-0.0011673+0.0021911i,-0.0015841+0.0004385i,0.0048235-0.00081151i,0.0014348-0.0016436i,-7.3266e-05-0.0012255i,5.8996e-05+0.00016849i,0.0034621+2.264e-05i,-0.016227+0.0011503i,0.0022205+0.0026349i,0.00063963+0.0008152i,-0.0016828-0.00023987i,0.0027581-0.0035721i,-0.00083818-0.001162i,-0.00048528-0.0025889i,-0.0019604+0.0047818i,0.00071352+0.0043231i,-0.036515-0.0047716i,-0.06923-0.025967i,-0.052191+0.023607i,-0.04318+0.024826i,-0.042959+0.045005i,-0.028102+0.011694i,0.002636+0.031948i,-0.010176+0.0060138i,-0.039965-0.018654i,-0.05898-0.014739i,-0.0082418+0.026294i,-0.0032678+0.001883i,0.0030377-0.0025894i,0.00036328-0.010736i,-0.001238+0.011252i,-0.0017031+0.022974i,0.0016355+0.0020547i,0.0071695-0.0056311i,0.0019511+0.00084477i,0.0084387-0.0094238i,0.0097725+0.0038259i,0.0029124+0.0030735i,-0.0077675+0.0017956i,0.0056021+0.0091601i,0.007253+0.005808i,0.0083473+0.0067799i,-9.3984e-05+0.0011491i,0.0037661-0.0059728i,0.0068487-0.0085062i,-0.00027621-2.9792e-06i,-0.034808-0.0022582i,-0.0013523-0.0090603i,-0.00291-0.0029466i,0.0053836-0.0013658i,0.0016439-0.00070532i,-0.00080738-0.011693i,0.0021497-0.0016845i,0.0046374+0.0044168i,0.004855-0.00011364i,0.0042131-0.0037931i,-0.0085563-0.0034743i,-0.0047452-0.0013922i,-0.004655-0.0038232i,-0.0024658-0.0065101i,-0.0096519-0.0072949i,-0.055571+0.0236i,-0.020694+0.0099742i,-0.012707-0.0080182i,-0.0094374+0.00037208i,0.00062295+0.022309i,-0.0070833+0.013044i,-0.0059554+0.0081321i
-0.025042+0.02404i,-0.021647+0.056743i,0.014787+0.047054i,4.4636e-05+0.012785i,-0.0056965-0.0010558i,0.030137+0.0064597i,0.0062831+0.02171i,-0.0040648+0.051049i,0.00077523+0.019931i,-0.0069538+0.0030301i,-0.00012904+0.0011458i,0.0065353-0.00096115i,0.0034582-0.00052227i,0.0048889+0.00021528i,0.004214+0.00050768i,0.0070189+0.0028973i,0.015622+0.0016418i,0.00013897-0.0013817i,-0.0058847-0.0030241i,-0.0025922+0.0021789i,-0.0019126+0.00017571i,-0.0035383-0.0027288i,-0.0030726-0.0007411i,0.00015066+0.0091205i,4.5882e-05+0.004324i,0.0015314+0.0022019i,4.173e-05+0.0024789i,-0.002952+0.0013233i,-0.00026591+0.0020741i,-0.0010604+0.00077984i,0.0039051-0.0023698i,0.00062095-0.0021903i,-0.0006705-0.00098773i,0.00016017+0.00017371i,0.0026414-0.0011911i,-0.015005+0.0063775i,0.0025775+0.0018067i,0.0009286+0.00046403i,-0.0022837+0.0007776i,0.0020891-0.0039642i,-0.0011539-0.001075i,-0.0011559-0.0025449i,-0.0016261+0.0049573i,0.0020649+0.0045774i,-0.038004+0.0015607i,-0.077051-0.014522i,-0.048201+0.028839i,-0.033986+0.031542i,-0.029753+0.049571i,-0.026915+0.018894i,0.0084884+0.024079i,-0.0065969+0.0034976i,-0.04243-0.012952i,-0.058083-0.0043971i,-0.0031996+0.02584i,-0.003447+0.0019222i,-0.00028132-0.0015996i,-0.0055919-0.010582i,0.0048256+0.011157i,0.0028137+0.020518i,-0.00097429+0.0019144i,0.003616-0.0096564i,0.0031575+0.0027637i,0.0025999-0.011208i,0.011067-0.0020323i,0.0049613+0.0026558i,-0.0065667+0.0055365i,0.011044+0.008376i,0.011146+0.0029961i,0.010494+0.0017984i,0.0012426+0.0013831i,0.0023605-0.007116i,0.00025568-0.010882i,0.0011253+0.0014591i,-0.034618+0.011253i,-0.0032656-0.0082481i,-0.0025456-0.00051131i,0.0061192-0.0048076i,0.0015275-9.212e-05i,-0.0053042-0.01211i,0.001007-0.0016542i,0.0060826+0.0014269i,0.0046608-0.0017032i,0.003774-0.0057711i,-0.0084823+0.0017815i,-0.0042684+0.0016991i,-0.0058944-0.00076998i,-0.0052124-0.0066212i,-0.010558-0.0037236i,-0.051045+0.029249i,-0.021217+0.014558i,-0.014747-0.010266i,-0.0074156+0.0030599i,0.0032405+0.022566i,-0.0068735+0.015648i,-0.0030258+0.0061313i
-0.020872+0.026528i,-0.011247+0.058315i,0.023313+0.04379i,0.0012267+0.012454i,-0.0053507+0.002623i,0.031276+0.0008568i,0.0082219+0.018474i,0.0039155+0.050145i,0.0030267+0.018505i,-0.006045+0.0052635i,0.00027442+0.00086845i,0.004872-0.003221i,0.0033327-0.0013685i,0.0040303-0.0008554i,0.0041947-0.00057366i,0.0063194+0.0013054i,0.014201-0.0029651i,-0.00064904-0.0010609i,-0.0060954-0.0006913i,-0.0011114+0.0025557i,-0.0013499-2.4589e-06i,-0.0037647-0.002156i,-0.0028164+3.0001e-05i,0.002216+0.0080405i,0.0017634+0.0036012i,0.0019483+0.0016017i,0.0010336+0.0021962i,-0.0021349+0.0026392i,0.00025225+0.0014459i,-0.00090625+0.00090338i,0.0024298-0.0032017i,-0.00044617-0.0020694i,-0.00083232-0.00065483i,0.00017042+0.00013339i,0.0015868-0.0022188i,-0.012161+0.010694i,0.0027661+0.00074757i,0.00091095-4.5427e-05i,-0.0018755+0.0021934i,0.0011177-0.0045775i,-0.0013613-0.00071959i,-0.0018097-0.0025384i,-0.0010189+0.0056486i,0.0034538+0.0040295i,-0.037586+0.0088063i,-0.07889+0.0020996i,-0.045564+0.03232i,-0.025352+0.03341i,-0.015955+0.050919i,-0.021201+0.026529i,0.010083+0.015369i,-0.0053976-0.0032195i,-0.040975-0.0066158i,-0.05355+0.006172i,0.0028162+0.025243i,-0.0041087+0.0029968i,-0.0034025+0.00052466i,-0.010061-0.0069807i,0.0089242+0.0070714i,0.0065525+0.019104i,-0.0039724+0.0044055i,-0.0017848-0.012223i,0.0065212+0.0007698i,-0.0029113-0.0095286i,0.0081372-0.0065093i,0.0069084+0.00040393i,-0.0046504+0.0076272i,0.015635+0.0026931i,0.012035-0.0033856i,0.0097081-0.0036623i,0.002891+0.00054305i,-0.00025848-0.0078321i,-0.0048463-0.0070642i,0.0028121+0.00037482i,-0.027972+0.026463i,-0.0052513-0.0067323i,-0.00085122+0.0010276i,0.0028858-0.0071524i,0.0026992+0.00021148i,-0.010089-0.0096343i,0.00085841-0.00072271i,0.0057601-0.0019176i,0.0033854-0.0030862i,0.0018813-0.0066188i,-0.0054565+0.0058165i,-0.0020261+0.0033072i,-0.0055639+0.0028548i,-0.0089582-0.0051062i,-0.01068-0.00059341i,-0.044311+0.035898i,-0.014083+0.020742i,-0.019942-0.010039i,-0.004563+0.0023171i,0.0057871+0.021679i,-0.0041261+0.019179i,-0.0024786+0.0022636i
