-0.027868-0.044861i,-0.021996-0.020617i,-0.012193-0.037476i,-0.029707-0.021432i,-0.022573-0.0011571i,-0.014272-0.0060507i,-0.054965-0.06055i,-0.047371-0.018669i,-0.038452-0.015604i,0.0091355+0.012948i,-0.0084098+0.0059234i,-0.020384+0.019258i,0.0023329+0.012111i,-0.005984-0.0034636i,0.00047173+0.0012512i,-0.0016757+0.031252i,0.027374+0.029016i,0.0022253-0.0012772i,-0.0019018-0.0066556i,0.0081645+0.0028214i,0.0027464+0.00113i,0.00036407+0.0037502i,-0.00038185+0.00019315i,-0.037594-0.011915i,-0.00037696-0.0073287i,0.0014086+0.002501i,0.0065812+0.001483i,0.0020795+0.00049849i,0.0010921-0.0006571i,-0.00059724-0.002653i,0.0012383-0.0024343i,-0.0025883-0.0057094i,-0.00044958-0.0050653i,0.0030565-0.00083148i,0.0047512-0.0025786i,0.0013815+0.032189i,0.0044262-0.003314i,0.0034832-0.0017449i,0.00869-0.0010584i,-0.0058106-0.0018718i,-0.00016944+0.0012376i,0.0092391+0.00072859i,0.0038309-0.0023913i,-0.0027127+0.0079792i,-0.016105-0.0086758i,-0.019248+0.014915i,-0.00010303-0.062161i,-0.0042433-0.027481i,-0.025442-0.03353i,-0.010515-0.027078i,0.056515-0.020334i,0.01823-0.043356i,0.023501-0.048384i,0.0066105-0.056075i,0.026686-0.019986i,0.0090476+0.0064997i,0.026625-0.033373i,-0.0080174-0.0069598i,0.0036733-0.0045408i,-0.0043071-0.006957i,-0.0016737-0.033643i,-0.019455+0.029614i,0.0085693-0.011128i,-0.0092224-0.0040913i,-0.0042326-0.0017892i,0.0011441-0.013292i,-0.011115+0.0040989i,0.0024426+0.010085i,-0.0056648+0.02731i,0.0044242+0.0024058i,-0.0054325-0.0018426i,-0.0019529-0.0026228i,-0.012724-0.0077603i,-0.00029659-0.0042161i,-0.036309+0.00074236i,0.0014242-0.010453i,-0.0081658+1.4732e-05i,-0.0068731-0.0026033i,0.0053793+0.0013837i,-0.0087773-0.00014535i,0.0016438+0.00010726i,0.0039809+0.007521i,0.0044772+0.00074683i,-0.008498-0.012759i,0.0018814+0.0097109i,-0.01611+0.0053413i,0.0062849+0.00029635i,-0.02306-0.0012434i,-0.019392+0.0044188i,-0.0052449-0.065571i,0.0084241-0.012189i,-0.048981-0.024124i,-0.021409+0.00023442i,0.017918+0.011969i,-0.02367+0.014272i,-0.019503-0.0058071i
0.037351+0.012373i,0.018585+0.0049437i,0.028861+0.011001i,0.018257+0.01239i,0.015236+0.0013647i,0.0036905-0.0054527i,0.01537+0.0033604i,0.012947-0.010608i,0.0023494-0.0098704i,0.0041553+0.0034406i,9.6172e-05-0.0039052i,-0.00084914-0.00070023i,-0.00069908+0.0016446i,0.0018293-0.0004304i,0.0011409-0.0014751i,0.0019596-0.0031714i,-0.0010952-0.0063464i,0.001199-0.00058457i,-0.0018193+0.0023686i,-0.00063763-0.0006737i,-0.0026984-0.00071359i,-0.0024061+0.00060626i,-0.00094327+0.0012818i,0.0108-0.0049691i,0.0021263+0.0020661i,0.0011701-0.00068992i,0.00025029-0.00017789i,0.0010128+0.0020479i,-0.00061617+0.0017979i,-2.5736e-05+0.0015294i,-0.0014319+0.00025528i,-0.0027662+0.0020331i,-0.0002036+0.00023475i,0.00045599-0.00016841i,-7.4015e-05+0.00085357i,0.0032184+0.011265i,0.00062154-0.00077534i,0.00085814-0.00056068i,0.0016015+0.00077279i,-0.00054131-0.0012115i,-0.00071851-0.00062841i,-0.0005485+0.00060929i,0.00096231+0.0027197i,-6.0595e-05+0.0012225i,0.029884+0.0001991i,-0.0090044+0.021762i,-0.0044279+0.026677i,-0.010838+0.010106i,0.026038+0.01554i,-0.00018435+0.014639i,-0.019324-0.0014897i,-0.032968-0.0089708i,-0.02442+0.0089487i,0.0012307-0.0027753i,0.020422-0.00019249i,-0.0014784+0.0031445i,-7.5589e-05+0.0068101i,-0.011942+0.0069838i,0.00021432-0.0074967i,0.014158-0.0028633i,0.0097606+0.0061364i,-0.013628+0.0015071i,-0.00022918-0.0025493i,-0.0026392+0.00090117i,-0.0049695-0.0018057i,0.0029686-0.0075732i,0.0088673+0.0040459i,0.0020017-0.0086281i,-0.0049127+0.00037798i,0.00078182-0.0019673i,0.0027367-0.004539i,-0.0068277+0.00028106i,0.0010594+0.00057211i,0.0017577-0.0027467i,0.030139+0.0094829i,-0.009257+0.0042565i,0.0016328-0.0015745i,-0.004161-0.0022753i,0.002491-0.0062483i,-0.0073609+0.01139i,-0.0007978-0.00092086i,-2.8068e-05-0.0018266i,0.00065409-0.003903i,-0.0057207-4.7392e-05i,0.0015697+0.0026193i,0.0018514+0.00028471i,0.0044806+0.0047592i,-0.0012978+0.004133i,-0.0065204+0.0037114i,0.0013094+0.019908i,0.015612+0.0090837i,-0.026317+0.005197i,-0.011298-0.010235i,0.018471+0.0049786i,0.01324+0.018751i,-0.0059247-0.0032384i
0.037827+0.0066646i,0.018239+0.0023741i,0.029006+0.0049753i,0.019759+0.0068867i,0.015621-0.0023098i,0.0023665-0.006401i,0.014408+0.0018317i,0.010509-0.012613i,0.001227-0.010377i,0.0046673+0.0023107i,-0.0010634-0.003144i,-0.00016928-0.00070098i,-0.00044419+0.0020764i,0.0018326-0.00083057i,0.00073532-0.0014034i,0.0014792-0.0023782i,-0.0018098-0.0052508i,0.00082356-0.00091114i,-0.00077358+0.0021945i,-0.0011375-0.0004636i,-0.0027914+3.0446e-05i,-0.0018729+0.0012856i,-0.00061734+0.0014699i,0.0070879-0.0080121i,0.002653+0.0014814i,0.00077509-0.00088015i,-8.8302e-06-0.00011562i,0.0013084+0.0014932i,-0.00012841+0.0018298i,0.00065907+0.0014765i,-0.001047+0.00090999i,-0.0017029+0.0030018i,-0.0003042+0.00018085i,0.00028196+4.8778e-05i,0.00047504+0.0011425i,0.0057791+0.0094204i,0.00023826-0.00081221i,0.00036583-0.00077473i,0.0016974+0.00057479i,-0.00085804-0.00073173i,-0.0010116-0.00052724i,-0.00068538+0.0007461i,0.0018662+0.002515i,8.0307e-05+0.0010596i,0.029402-0.0073589i,-0.0027599+0.021313i,0.0023423+0.027379i,-0.01015+0.0096299i,0.027077+0.0021674i,0.0024343+0.009258i,-0.021623+0.0070901i,-0.035917+0.00072713i,-0.023+0.015308i,-0.0034859-0.0067854i,0.015663-0.0049234i,-0.00071214+0.0040764i,0.0037721+0.0067333i,-0.0093551+0.010487i,-0.0032036-0.0043007i,0.010936-0.0086478i,0.012478+0.0025368i,-0.0135+0.005929i,-0.00062526-0.00092925i,-0.0015177+0.0016464i,-0.0030704+0.00041508i,-0.00031451-0.0074095i,0.0089358+0.00057944i,-0.00031546-0.0079894i,-0.0027431+0.003518i,0.0015929-0.0024098i,0.00055728-0.0054966i,-0.0050336+0.0028668i,0.0021405-0.00041742i,0.0010482-0.0027245i,0.02863-0.0043929i,-0.0054352+0.0071312i,0.00092695-0.0025752i,-0.0032536-0.0016719i,-0.00020723-0.007036i,-0.0027878+0.011063i,-0.00076099-0.00077131i,-2.4289e-05-0.00052126i,0.00022417-0.0032089i,-0.0034552+0.0017066i,0.0021015+0.0023253i,0.00092541-0.0002541i,0.0057415+0.0021843i,-0.00088446+0.0024664i,-0.005532+0.0057479i,0.0040137+0.019074i,0.017841-0.0034162i,-0.022128+0.0064218i,-0.016616-0.0081406i,0.01756+0.000748i,0.017456+0.013148i,-0.0067598-0.0030826i
0.037883+0.00071334i,0.018325-0.00057414i,0.028969-0.00088246i,0.020171+0.001215i,0.015453-0.0057797i,0.00086252-0.0071006i,0.014549+0.00071452i,0.0079805-0.0142i,-0.00017632-0.011177i,0.0045124+0.0010841i,-0.0012986-0.0022315i,0.00014706-0.00086086i,0.00030172+0.0025687i,0.0016087-0.0010359i,0.00054687-0.0013684i,0.0017987-0.0017177i,-0.0023341-0.0049833i,0.00063911-0.0011457i,-0.00015688+0.0017664i,-0.0013984-4.5396e-05i,-0.0022981+0.00074197i,-0.0010422+0.00146i,-0.00019047+0.0015615i,0.0025827-0.0092636i,0.0032176+0.00063609i,0.00039478-0.0010006i,-0.00011968-9.0989e-05i,0.0014548+0.0010197i,0.00042187+0.001855i,0.0011074+0.0009593i,-0.00043881+0.0012631i,-0.00025457+0.0035128i,-0.00034583+0.00047705i,0.00047428+7.4988e-05i,0.00093811+0.00072807i,0.0072638+0.0072799i,-5.7358e-05-0.00068501i,1.9576e-06-0.000588i,0.0015708+0.00012479i,-0.00068097-0.00035236i,-0.0014579-0.00017628i,-0.00072433+0.00082117i,0.0025588+0.0021197i,0.00027971+0.0011884i,0.026966-0.014357i,0.0027448+0.018988i,0.0088648+0.025149i,-0.0087532+0.010354i,0.023853-0.0088737i,0.0020235+0.005625i,-0.018761+0.015783i,-0.033438+0.011362i,-0.017336+0.022685i,-0.0088511-0.0060484i,0.011076-0.0065094i,0.00052226+0.0043981i,0.0062414+0.004189i,-0.0057132+0.013416i,-0.0042926-0.0016452i,0.0048284-0.013074i,0.012637-0.0028008i,-0.011713+0.0096642i,0.00042559+2.8664e-05i,-0.00041558+0.0016051i,-0.0014677+0.00078327i,-0.0020769-0.0055547i,0.0074455-0.0019257i,-0.0018542-0.0066658i,0.00027285+0.0042007i,0.0016114-0.0040458i,-0.0015877-0.0050438i,-0.0032055+0.0036743i,0.001994-0.0021316i,0.0008216-0.0028949i,0.021996-0.014857i,-0.0014245+0.007589i,-0.00014055-0.0025503i,-0.0035622-0.001104i,-0.0031783-0.0063707i,0.0005828+0.010188i,-0.00024672-0.00059764i,0.0012001-0.00037758i,-0.00020329-0.0038046i,-0.0011808+0.0017841i,0.0022128+0.0018912i,0.00016982+0.00025264i,0.0052096+0.00035512i,-0.0017929+0.0013994i,-0.0033766+0.0069764i,0.0069807+0.01749i,0.012071-0.013505i,-0.02046+0.0035028i,-0.021331-0.0034363i,0.014361-0.0042489i,0.018135+0.0075165i,-0.0075655-0.0020017i
0.036948-0.0052531i,0.017573-0.0039671i,0.026906-0.00782i,0.018272-0.0051495i,0.014591-0.0096469i,-0.00089459-0.0072482i,0.0154-0.001119i,0.0051474-0.015615i,-0.0020858-0.011483i,0.0040928+0.00075087i,-0.0016299-0.0017297i,5.3366e-06-0.0016387i,0.0011709+0.0025279i,0.0013512-0.0013285i,0.00031681-0.0013305i,0.0023188-0.0018139i,-0.0035658-0.0046593i,-6.0433e-05-0.0013811i,0.00032056+0.0012676i,-0.0016187+0.00046766i,-0.0021586+0.0010187i,-0.00035979+0.0010762i,0.0001847+0.0014972i,-0.0017528-0.0083893i,0.0033219-0.00094287i,-7.6895e-05-0.0009042i,-0.00057434+0.00013748i,0.0014795+0.00063608i,0.0011607+0.0015482i,0.0012254+0.0003691i,0.00026082+0.0013147i,0.00097141+0.0035337i,-0.00029659+0.00078141i,0.00054658+4.2974e-07i,0.00087906+0.00020782i,0.0081981+0.0052946i,-0.00033069-0.00049901i,-0.00032172-0.000453i,0.0016827-0.00012461i,-0.00033984-0.00021954i,-0.0016444+0.00050686i,-0.00048558+0.0010747i,0.0033112+0.0013261i,0.00028387+0.001332i,0.022964-0.020466i,0.0069484+0.015293i,0.013716+0.021268i,-0.0059745+0.011458i,0.017566-0.017052i,0.00071728+0.003999i,-0.01253+0.021116i,-0.026096+0.018809i,-0.0081261+0.026482i,-0.012088-0.0022993i,0.0076717-0.0064831i,0.0017018+0.0039844i,0.0062518+0.00085112i,-0.00090877+0.014217i,-0.0049374+0.00066273i,-0.0039795-0.012792i,0.0099901-0.0068821i,-0.0086844+0.012571i,0.0018634-0.00093828i,0.00030411+0.0012327i,-0.0010561+0.00020126i,-0.0022933-0.0039898i,0.0058823-0.0028136i,-0.0028198-0.0060145i,0.0022934+0.0034409i,0.00018586-0.0060256i,-0.0032365-0.0037852i,-0.0011228+0.0042183i,0.0005453-0.0033065i,0.00037117-0.0036107i,0.012674-0.020162i,0.0018004+0.0064053i,-0.00065128-0.0023625i,-0.0030646-0.00090615i,-0.005099-0.0049649i,0.0030253+0.0086044i,0.00036849-0.0015844i,0.0018435-0.0011829i,-0.001559-0.0037774i,-0.00029355+0.00085319i,0.0031986+0.0017189i,0.00018264+0.0012822i,0.0047042-0.00083172i,-0.0028853+0.0015i,-0.0014907+0.0068465i,0.010136+0.01612i,0.0036717-0.019633i,-0.023733+0.0013652i,-0.022506+0.0034328i,0.0080462-0.0064653i,0.018164+0.0027246i,-0.007157-0.0016384i
0.03522-0.010899i,0.016826-0.006406i,0.022679-0.012599i,0.013683-0.0096608i,0.012433-0.013306i,-0.0024132-0.006861i,0.016293-0.0035863i,0.0018879-0.016264i,-0.003735-0.011682i,0.0044869+0.00058641i,-0.0018359-0.00075002i,-0.00093702-0.001827i,0.0020066+0.0021903i,0.00096817-0.0014402i,0.00012199-0.0012598i,0.0025559-0.0021358i,-0.0050862-0.0033926i,-0.00056443-0.0010692i,0.00050662+0.00072417i,-0.0014423+0.0012006i,-0.0017602+0.0016498i,-0.00043274+0.00052118i,0.00052155+0.0013804i,-0.0049068-0.0055788i,0.0022627-0.0020877i,-0.00038982-0.00065842i,-0.00054896+0.00058852i,0.0014344+0.0003773i,0.0014475+0.00077722i,0.0011014-4.4447e-05i,0.00087846+0.0010248i,0.0022196+0.0028776i,6.0137e-05+0.0011726i,0.00057819-0.00010534i,0.00049971+0.0004826i,0.008654+0.0030787i,-0.0004279-0.00029866i,-0.00046738-9.5325e-05i,0.001796-0.00048936i,-7.8539e-05-0.0001658i,-0.001419+0.0012975i,3.0039e-05+0.0011548i,0.0035341+0.00016585i,0.00036675+0.0016124i,0.017437-0.025127i,0.0095324+0.010744i,0.016744+0.016946i,-0.002438+0.010961i,0.01021-0.021334i,-0.00044393+0.0041346i,-0.0056166+0.023431i,-0.01813+0.021476i,0.0021568+0.025811i,-0.012098+0.0027581i,0.0061354-0.0062066i,0.0028271+0.0032049i,0.0049386-0.0011928i,0.0042648+0.013017i,-0.0042931+0.0037365i,-0.010484-0.0071759i,0.0061039-0.0091014i,-0.0050905+0.014361i,0.0013535-0.0028257i,0.00063573+0.00075553i,-0.0012647+0.00021697i,-0.0019857-0.0029238i,0.0047497-0.0035397i,-0.0041609-0.0049968i,0.003508+0.0017356i,-0.0033854-0.0066924i,-0.003888-0.002057i,0.0012873+0.0031359i,-0.00027082-0.0035551i,-0.00075962-0.0041217i,0.0035546-0.02081i,0.0037212+0.0044092i,-0.0011837-0.0024029i,-0.003948-0.00061707i,-0.0063869-0.0025858i,0.0042901+0.0070439i,-0.00025414-0.0030417i,0.0021353-0.0021641i,-0.002259-0.0028038i,0.00016806-6.7128e-05i,0.0036861+0.00080656i,0.0010352+0.0018101i,0.0034074-0.0017344i,-0.0037992+0.0023566i,-6.7392e-05+0.0060916i,0.014538+0.014243i,-0.0072936-0.021881i,-0.027656+0.0032423i,-0.019894+0.0098162i,0.0034021-0.0040272i,0.01594-0.0022733i,-0.0071441-0.0027549i
0.032792-0.016461i,0.016196-0.0095943i,0.018879-0.015356i,0.0091854-0.011008i,0.0094273-0.016263i,-0.0034801-0.0062462i,0.017174-0.0072214i,-0.0013054-0.016225i,-0.0056719-0.011638i,0.0049717-0.00034269i,-0.0012125+3.4816e-07i,-0.0016833-0.0010249i,0.0026482+0.0013501i,0.00060113-0.0015432i,1.9487e-05-0.0012162i,0.0027619-0.0024515i,-0.0058789-0.0016491i,-0.00067699-0.00096123i,0.00037808+0.00022423i,-0.00092469+0.0015799i,-0.0011917+0.0018126i,-0.00063184+0.00044872i,0.00089416+0.0011891i,-0.0061607-0.0017243i,0.0012289-0.002381i,-0.00052884-0.0003435i,-0.00020628+0.0007306i,0.0015454+3.2053e-05i,0.0011766+0.00053007i,0.00093356-0.0004015i,0.0013917+0.00056411i,0.0027975+0.0019779i,0.00072336+0.0011685i,0.00075004-0.0001752i,0.00081108+0.0010289i,0.0082803+0.0010359i,-0.00058892-2.8558e-05i,-0.00037727+0.0002011i,0.0015242-0.0011513i,0.00038522-0.00026066i,-0.00073586+0.00178i,0.00034587+0.0010135i,0.0031501-0.00091883i,0.00050779+0.002048i,0.011155-0.027781i,0.0099325+0.0060961i,0.018483+0.012774i,0.00021361+0.0091371i,0.0035226-0.02298i,-0.00031445+0.0062301i,0.0013828+0.02354i,-0.01103+0.022266i,0.010275+0.021744i,-0.0087188+0.0070557i,0.0049278-0.0067902i,0.0037657+0.0016459i,0.0040745-0.0025956i,0.0085483+0.0093539i,-0.0017564+0.0050133i,-0.012328-0.00029657i,0.0022452-0.00974i,-0.00096441+0.014363i,-0.00039376-0.0036597i,0.00013569+0.0004063i,-0.001274+0.00071973i,-0.0019907-0.0025243i,0.0034686-0.0033104i,-0.0049929-0.0031855i,0.0036189+0.00011028i,-0.0065761-0.0041915i,-0.0034346-0.00046462i,0.0020424+0.0010104i,-0.0010436-0.0038588i,-0.0022131-0.0036572i,-0.00385-0.018345i,0.0047627+0.0019191i,-0.0020911-0.0021697i,-0.0041592+0.00095988i,-0.006206+0.00019175i,0.0055421+0.0058063i,-0.002178-0.003821i,0.0017624-0.0036661i,-0.0025844-0.0023935i,-5.2522e-05-0.0014095i,0.0042373+0.00019793i,0.0019199+0.0016981i,0.002134-0.0012399i,-0.0044688+0.0036585i,0.00087748+0.0051756i,0.019114+0.010117i,-0.017999-0.018523i,-0.030483+0.007013i,-0.014735+0.012767i,0.0021871-0.002077i,0.011744-0.0051023i,-0.0093097-0.0031844i
0.029106-0.021686i,0.014613-0.013262i,0.015604-0.017712i,0.005935-0.011182i,0.0057643-0.018399i,-0.0044449-0.0056151i,0.016985-0.012446i,-0.0043363-0.015596i,-0.008016-0.011102i,0.0050385-0.0015508i,-0.0004689-1.7163e-05i,-0.0018902+0.00012157i,0.0027182+0.00039417i,0.00030351-0.0012865i,-0.000134-0.0012904i,0.0027033-0.0031847i,-0.0059805+0.00031576i,-0.00092144-0.00092055i,0.00021576+7.2636e-05i,-0.00037341+0.0017315i,-0.00076013+0.0021311i,-0.00078242+0.00059132i,0.0011379+0.00083708i,-0.0051963+0.0018525i,0.00049649-0.0023377i,-0.00056475-5.4151e-07i,3.1229e-05+0.00066301i,0.0013064-0.00043256i,0.0012709+0.00040665i,0.00059626-0.00073735i,0.0017375-0.0001008i,0.0034026+0.0011364i,0.001213+0.00089461i,0.000762-0.00061098i,0.0017835+0.0010065i,0.0077469-0.00057055i,-0.00041711+0.00035422i,-0.00017866+0.00045229i,0.00081548-0.00149i,0.00077607-0.00060029i,-7.9787e-05+0.0020813i,0.00065305+0.00091668i,0.0024336-0.0015363i,0.0010039+0.0027151i,0.0049906-0.028688i,0.0085732+0.0031011i,0.019468+0.0091092i,0.0017169+0.0082466i,-0.0028397-0.023884i,0.002737+0.0085744i,0.0078087+0.021178i,-0.0035197+0.021127i,0.016711+0.015101i,-0.0032433+0.0089377i,0.0035427-0.0074629i,0.003595-0.0009571i,0.0030547-0.0041612i,0.0097224+0.0042263i,-0.00031042+0.0045085i,-0.011364+0.0064386i,-0.0017-0.0089747i,0.0023689+0.012414i,-0.002507-0.0029992i,-0.00041133+0.00090418i,-0.00098864+0.0012397i,-0.0016616-0.0024355i,0.0035289-0.002104i,-0.0044994-0.001655i,0.0034266-0.00038352i,-0.0074211-0.00090637i,-0.0024713+0.0002882i,0.0016393-0.00028551i,-0.0030324-0.004116i,-0.003355-0.0024955i,-0.0095915-0.014632i,0.0046272-0.00065192i,-0.0028412-0.001357i,-0.0030187+0.0021333i,-0.0049691+0.0021045i,0.0070584+0.0043357i,-0.0041362-0.0026684i,0.00031718-0.0049844i,-0.0034096-0.0017166i,-0.0014347-0.0020423i,0.0050423-0.0015515i,0.0027106+0.0013457i,0.0021786-0.00084501i,-0.0034396+0.0056397i,0.0011792+0.0040752i,0.022226+0.0039794i,-0.023786-0.010094i,-0.032623+0.012772i,-0.010084+0.01369i,0.0010771-0.00020327i,0.0081692-0.0050226i,-0.011036-0.0022242i
0.024252-0.025898i,0.011785-0.016418i,0.012017-0.019898i,0.0033769-0.011339i,0.0017164-0.019634i,-0.0052598-0.0046911i,0.01379-0.017811i,-0.0071685-0.014256i,-0.010088-0.0096179i,0.0046275-0.0028227i,-0.00033918-0.00043882i,-0.0014204+0.00093742i,0.0023512-0.00039523i,0.00016951-0.00093995i,-0.00038712-0.001177i,0.0020424-0.0037012i,-0.0055927+0.0023186i,-0.0013071-0.00059058i,-4.2131e-05+3.7469e-05i,2.708e-06+0.0016185i,-0.00037994+0.0022277i,-0.00073042+0.00090548i,0.0012605+0.00052337i,-0.0025115+0.0037748i,-8.0766e-05-0.0020495i,-0.00046128+0.00030002i,-0.00027043+0.0006957i,0.00089543-0.00061266i,0.0013403+0.00011451i,0.00025901-0.00064825i,0.0017322-0.00089911i,0.0035667+3.2617e-05i,0.0015007+0.00030408i,0.00036026-0.00085254i,0.0026217+0.00037797i,0.0071464-0.0021234i,-0.00020078+0.00046853i,6.0852e-05+0.00042567i,0.00034694-0.0011491i,0.00088788-0.0012733i,0.00075693+0.0020113i,0.0010351+0.00069894i,0.0017478-0.0017899i,0.0020223+0.0031637i,-0.00051048-0.028203i,0.007368+0.0021984i,0.020183+0.0060253i,0.0048491+0.0069807i,-0.0096511-0.022063i,0.0080188+0.0080231i,0.012719+0.017468i,0.002348+0.017069i,0.019573+0.0065418i,0.0026982+0.0074498i,0.0012897-0.0086416i,0.0015318-0.0029428i,0.0014231-0.0053607i,0.0087392+0.00011547i,0.00071755+0.0043115i,-0.007384+0.011809i,-0.0045726-0.0064658i,0.0043896+0.010354i,-0.0031709-0.001346i,-6.8938e-05+0.0019355i,-0.00025124+0.0017146i,-0.0028297-0.002943i,0.0054758-0.0029899i,-0.0043934-0.0012687i,0.0042064-0.0011378i,-0.007353+0.0024159i,-0.001624+0.00019097i,0.0013551-0.0010409i,-0.0053837-0.0015657i,-0.0037983-0.0010143i,-0.013824-0.0090768i,0.0033641-0.0028821i,-0.0028802-0.00034429i,-0.0013471+0.0017859i,-0.0035109+0.0030855i,0.0085273+0.0022429i,-0.0050316-0.00039403i,-0.0016583-0.0050514i,-0.0034079-0.00041035i,-0.0028433-0.0012425i,0.0038302-0.0037375i,0.0034305+0.00049454i,0.0026197-0.0011589i,-0.0014715+0.0063513i,0.00098163+0.0032186i,0.02255-0.0033544i,-0.024413-0.0029485i,-0.032286+0.019951i,-0.0056481+0.011934i,0.0009939+0.002429i,0.0062633-0.0045232i,-0.012545-0.00096605i
0.019136-0.028663i,0.0084837-0.018816i,0.0081763-0.02143i,0.0011113-0.011048i,-0.0025021-0.019818i,-0.0054755-0.0038431i,0.0090756-0.021174i,-0.0093163-0.012241i,-0.011445-0.0076601i,0.0037108-0.0039852i,-0.00048697-0.00081541i,-0.0007106+0.0014944i,0.0018322-0.00072608i,0.00024983-0.00052546i,-0.00050213-0.0011118i,0.0014587-0.0037668i,-0.0043088+0.0040657i,-0.0015009-0.00020586i,-0.00024784-6.9688e-05i,0.00039244+0.001503i,0.00039416+0.0022787i,-0.00038537+0.0010459i,0.001377+7.2357e-05i,-4.0607e-05+0.00368i,-0.00058713-0.0017444i,-0.00022455+0.00046941i,0.00017069+0.0012494i,0.00061839-0.00069349i,0.0013032-0.00016067i,0.00017375-0.00051491i,0.0013219-0.0016907i,0.0036431-0.0012075i,0.0016667-0.00021873i,-2.0167e-05-0.00081672i,0.0031384-0.0006395i,0.0062982-0.0038135i,-4.1232e-05+0.00058567i,0.00019414+0.00032736i,0.00028249-0.00083169i,0.00050246-0.0020412i,0.0014002+0.0015844i,0.0012619+0.00011542i,0.0011601-0.0017522i,0.0033834+0.0028754i,-0.0050513-0.02672i,0.0076231+0.0021678i,0.021055+0.0030841i,0.0071627+0.0033603i,-0.01441-0.017466i,0.012251+0.0045295i,0.016408+0.013012i,0.005574+0.012312i,0.018412-0.0014242i,0.006044+0.003173i,-0.0015868-0.0086166i,-0.0012779-0.0032659i,-0.00065943-0.0065831i,0.0064103-0.0026319i,0.0017864+0.0037877i,-0.0017193+0.01401i,-0.0057887-0.0032039i,0.0058312+0.0080964i,-0.0035219-3.2475e-05i,0.0010643+0.0028289i,0.0010158+0.0016811i,-0.0045826-0.0017578i,0.0051888-0.0063208i,-0.0049827-5.4273e-05i,0.0042304-0.0030966i,-0.0054642+0.0056428i,-0.0012441-0.00043748i,0.00046488-0.0017769i,-0.0045633+0.0015391i,-0.0034651+0.00012333i,-0.014828-0.0028885i,0.0014903-0.0033735i,-0.002462+0.00049675i,-0.0016603+0.0012365i,-0.0020977+0.0039487i,0.010139-0.00086339i,-0.0046781+0.0020078i,-0.003342-0.004204i,-0.0027976+0.00034159i,-0.003045+0.00012513i,0.0011671-0.0036947i,0.0035474-0.00097679i,0.0027211-0.0014689i,0.00020742+0.0057864i,0.00042071+0.0030576i,0.019708-0.0093368i,-0.023589+0.0024573i,-0.029167+0.027304i,-0.0038951+0.0093i,0.0026985+0.0044862i,0.004293-0.0042883i,-0.013783+0.0015471i
0.01436-0.030413i,0.0043977-0.020744i,0.0041116-0.022243i,-0.0006139-0.010204i,-0.0067042-0.019169i,-0.005491-0.0033419i,0.0040753-0.023193i,-0.01076-0.010261i,-0.012538-0.0055206i,0.0023277-0.0046962i,-0.0010438-0.00094465i,0.00018057+0.001748i,0.0013691-0.00067657i,0.00071355-0.00030701i,-0.00070982-0.0010644i,0.00085524-0.0038195i,-0.0025359+0.0049659i,-0.001603+0.00032068i,-0.00048082+0.00013691i,0.00070543+0.001196i,0.0012533+0.0016677i,-0.00025598+0.0010171i,0.0013018-0.00043643i,0.0017278+0.0024961i,-0.00073363-0.0013956i,9.8629e-05+0.00050995i,0.00092315+0.0011814i,0.00029629-0.00070059i,0.0011969-0.00045712i,1.7045e-05-0.00060004i,0.00064406-0.0022423i,0.0030679-0.0025815i,0.0015176-0.00094392i,-0.00027189-0.00059933i,0.003068-0.0021766i,0.0050935-0.005325i,0.00029455+0.00063835i,0.00024711+0.00025845i,0.00024796-0.00089189i,-0.00025484-0.0024644i,0.0019231+0.00087855i,0.0010467-0.00036709i,0.00075282-0.0017254i,0.0042807+0.0018856i,-0.0088651-0.024991i,0.0095807+0.0019467i,0.022078-7.0252e-05i,0.0078779-0.00019375i,-0.016596-0.012175i,0.015402-0.00034481i,0.01833+0.0080362i,0.0077936+0.008214i,0.014953-0.006223i,0.0074184+9.8375e-05i,-0.0045124-0.0072117i,-0.003939-0.0018477i,-0.0042962-0.0069544i,0.0033333-0.0037762i,0.0020813+0.0029751i,0.0031962+0.013221i,-0.0051692-0.00050735i,0.0063421+0.0054765i,-0.0033863+0.0020664i,0.0024189+0.0029406i,0.0016698+0.0010938i,-0.0054505+0.00042544i,0.0031472-0.0082524i,-0.0046693+0.0012943i,0.0034855-0.0045356i,-0.0013235+0.0068014i,-0.0017082-0.00094112i,-0.00052499-0.0016401i,-0.002926+0.0030394i,-0.0025424+0.00092009i,-0.013742+0.0024006i,0.00056855-0.0036264i,-0.0017969+0.0010317i,-0.0015071+0.0018067i,-0.00025458+0.0039288i,0.0099667-0.0049145i,-0.0031299+0.0038007i,-0.004592-0.0027915i,-0.0024481+0.00040249i,-0.0024232+0.001055i,0.00045812-0.0025114i,0.0027027-0.0020703i,0.0030082-0.0020065i,0.00051487+0.0041463i,0.00016911+0.0034206i,0.017091-0.013094i,-0.020797+0.0061616i,-0.02301+0.03351i,-0.0040205+0.0072218i,0.005276+0.004588i,0.0025134-0.0029599i,-0.013213+0.0042798i
