-0.025004-0.0047228i,-0.021137-0.0080097i,-0.013158-0.013957i,-0.036558-0.0088545i,-0.027132+0.0014413i,-0.03635-0.0030515i,-0.067556-0.035519i,-0.034173-0.014455i,-0.023279+0.002653i,0.0068386+0.0057794i,-0.005167+0.0072319i,-0.0076639+0.017431i,0.005492+0.0078332i,-0.0010472+0.0037291i,0.0041063+0.0043136i,0.0052742+0.02543i,0.021126+0.019053i,0.0012671-0.00066428i,0.00033122-0.0052942i,0.0088511+0.00035279i,0.0048986-0.0019733i,0.0027164+0.0019995i,0.0010585-0.00038802i,-0.022473+0.00078691i,-0.0061759-0.0030054i,-0.0013942+0.0032219i,0.0032819-0.0036205i,-0.001642+0.00010774i,-0.00065461+0.00098928i,-0.0025655-0.0017188i,-0.0041523-0.00057028i,-0.0070674-0.0084922i,-0.0058388-0.0052878i,-0.00062878-8.6204e-05i,-0.00062508-0.0022081i,-0.00083172+0.0205i,0.0027552-0.0041031i,0.0010272-0.0044589i,0.0025288-0.0021118i,-0.002304-0.0028653i,0.0010107-0.00015338i,0.0074417+8.2939e-05i,0.0040115-0.0020626i,0.00024384+0.0023252i,-0.014232+0.015355i,-0.026983+0.052793i,-0.0065665-0.036912i,-0.015107-0.019031i,-0.040593-0.01635i,-0.027414-0.0127i,0.035096-0.0105i,0.0057986-0.029737i,0.012813-0.037885i,-0.0084683-0.0296i,0.025682-0.023331i,0.013146+0.0073108i,0.031959-0.037488i,-0.0019907-0.0039682i,0.0061805-0.0089339i,-0.00042449-0.006132i,-7.0563e-05-0.034678i,-0.014486+0.029663i,0.0086539-0.01148i,-0.0083657-0.0044157i,-0.0025416-0.0020443i,0.00011624-0.014891i,-0.0082156+0.0062754i,0.0038366+0.0065364i,-0.00042595+0.027406i,0.0025099+0.00082481i,-0.0070751-0.0042443i,-0.004074-0.0060338i,-0.013324-0.010148i,-0.0026777-0.0058722i,-0.032945+0.016747i,-0.0054937-0.0090235i,-0.013075-0.00079558i,-0.0090177-0.006844i,0.0016525-0.0017237i,-0.013361+0.0014929i,-0.0013693-0.00078682i,0.0059465+0.0056133i,0.0037128-0.0052629i,-0.012854-0.014927i,0.0080144+0.0090064i,-0.014165+0.0055571i,0.0053143+0.0004462i,-0.019534-0.0020949i,-0.015836-0.0041972i,-0.015476-0.036127i,0.019803-0.0098002i,-0.040927-0.02437i,-0.010075+0.0060009i,0.017315+0.014672i,-0.022816+0.017621i,-0.0045385-0.0036867i
0.0032953+0.014418i,-0.0031458+0.016659i,-0.001508+0.02662i,0.0014494+0.025065i,-0.00014396+0.02917i,0.011121+0.022956i,-0.010062+0.026339i,-0.0036988+0.0219i,0.012301+0.0058858i,0.0013579-0.0039921i,0.0023584+0.00058823i,0.0069185-0.0024827i,0.00071389-0.0016794i,0.00053968-0.0038261i,-1.9972e-05-0.0018186i,0.0068309-0.0073692i,-0.001844-0.0046776i,-0.00094899+0.0012312i,0.00068078+0.00028213i,-7.2333e-05+0.0016912i,0.0010823+0.00054144i,-0.00025128-0.0001216i,0.0012838+0.00034754i,-0.0077712-0.0030705i,-0.00044294-0.00060442i,-0.0022109+0.00086029i,-0.0041941+0.00071054i,-0.001639+0.00044298i,-0.0011437+0.00092717i,-8.6398e-05-0.0005228i,-0.0026403+0.00074301i,0.0012483-0.0018851i,0.00017787-0.0031207i,0.00027425-0.0015136i,-0.0011834+0.00083771i,-0.00035675-0.0039664i,-0.001375+0.0018546i,0.0017281+0.00028856i,0.0013623+0.0043891i,0.0027741+0.0035055i,-0.00038773+0.00078941i,-0.0014203+0.00061838i,-0.0018523-0.0012873i,0.003297+0.0050655i,0.014649+0.0066571i,0.041793-0.053208i,-0.026746+0.0059613i,0.019561-0.026728i,-0.021054-0.033632i,-0.011685+0.0034605i,-0.032635+0.033789i,-0.019362+0.005296i,-0.016103+0.0087788i,-0.0022113-0.017432i,-0.039481-0.01882i,-0.0086097+0.0018452i,-0.028546+0.012745i,0.0024996+0.014105i,0.00059597+0.0046883i,-0.0041374-0.0042056i,-0.00041846+0.0018402i,-0.015655-0.0042303i,0.0036969+0.012735i,-0.0009489+0.0081071i,-0.0025075+0.0042044i,0.0011948+0.0058665i,0.0021811+0.0027136i,-0.001108+0.018596i,0.005246+0.016644i,0.0044535-0.0050775i,0.011823-0.0048407i,0.0086263+0.002571i,-0.0031678-0.0071509i,-0.00048734-0.0019011i,0.017706-0.035854i,0.0091969+0.0043003i,0.0075444-0.0011057i,0.0026001-0.0010358i,0.0062829-0.0086428i,0.020667-0.00091314i,0.0061115-0.0030012i,0.0014255-0.0069053i,0.0047259-0.0033017i,0.018745+0.0031658i,0.0058241+0.0040349i,0.0029733-0.0035068i,0.010042+0.0087816i,-0.002011+0.0049066i,0.0080981+0.0087609i,-0.013812-0.014628i,-0.0083939+0.0011843i,-0.0087569-0.014145i,-0.0080967-0.0043623i,-0.037799+0.0052273i,-0.0061637+0.0040784i,-0.01204+0.0015602i
0.0056485+0.013288i,-0.00083878+0.014119i,0.0048051+0.021887i,0.0050651+0.022837i,0.0038968+0.027219i,0.01447+0.020534i,-0.0063916+0.027252i,0.00064359+0.021453i,0.012264+0.0016196i,0.00038443-0.0039356i,0.0028074+0.00097971i,0.0054241-0.0054186i,0.00022043-0.0025094i,0.00056624-0.0032963i,-0.00065931-0.0016843i,0.0029239-0.0069626i,-0.0042167-0.0032441i,-0.0001516+0.0021229i,0.0018797-0.00016139i,0.0011901+0.0014062i,-0.0019485+0.0033949i,0.00027266+0.00046797i,0.0016294-0.00024055i,-0.0068518-0.00040691i,-0.00028179-0.00029362i,-0.0017434+0.0017373i,-0.0026568+0.0026453i,-0.0010968+0.00089349i,8.8539e-06+1.7296e-05i,9.6201e-05-0.00026649i,-0.0017433+0.002307i,-7.3866e-05-0.0015178i,-0.0013884-0.0032268i,-0.0013925-0.0013953i,-0.0018265+0.0010781i,0.00067491-0.0027061i,2.3985e-05+0.0021137i,0.0013094-0.00053122i,0.0046332+0.0050791i,0.0036234+0.0017531i,-8.4267e-05+0.0011345i,-0.0013771+0.00093046i,-0.0024613-0.00065673i,0.0047083+0.003943i,0.01521+0.0022662i,0.022427-0.061899i,-0.020636+0.013755i,0.009086-0.035409i,-0.033566-0.026118i,-0.008967+0.0063483i,-0.021355+0.039344i,-0.015057+0.010666i,-0.0053991+0.0036916i,-0.0044515-0.016375i,-0.042959-0.0060526i,-0.0083902+0.0027592i,-0.023381+0.024431i,0.0068671+0.009744i,0.0012663+0.0030995i,-0.0081513-0.0063695i,-0.0025811+0.0049874i,-0.014997+0.0039749i,0.0091602+0.0099455i,0.0016537+0.0099114i,-0.00043693+0.0042919i,0.0030721+0.0067714i,0.0035736+0.0027834i,0.0069371+0.015204i,0.0096805+0.008861i,-0.0016417-0.0068033i,0.0061878-0.006313i,0.0078419+0.00083025i,-0.006018-0.0016042i,-0.00044159+0.00080124i,0.0037801-0.034588i,0.011293+0.0016882i,0.0081529-0.004271i,0.0042911-0.0025758i,0.0008823-0.0060843i,0.019052-0.0092837i,0.0030104-0.0049291i,-0.0020504-0.0064937i,0.00097719-0.0029339i,0.016913-0.0034391i,0.0077407+0.0032484i,0.002081-0.0021043i,0.012033+0.0048147i,-0.00068258+0.0055827i,0.0094928+0.0050768i,-0.019478-0.012653i,-0.0043414-0.01297i,-0.0077072-0.011458i,-0.0077682-0.0031746i,-0.032806+0.018116i,-0.0039554+0.0051277i,-0.0093186+0.0024466i
0.0084317+0.012074i,0.00060936+0.012462i,0.0075673+0.016144i,0.0079273+0.020468i,0.0086099+0.025563i,0.01757+0.01746i,-0.0019103+0.027939i,0.0049182+0.01969i,0.010756-0.0014301i,-0.00079583-0.0037036i,0.0038977+0.00068007i,0.0014128-0.0066395i,-0.00067419-0.0026372i,-0.00020361-0.0033122i,-0.0011144-0.0013475i,-0.00052823-0.0049745i,-0.0056762-0.00091446i,0.00099946+0.0021944i,0.0022413-0.0016831i,0.0021446-2.4481e-05i,-0.00067317+0.0025058i,0.0011965+0.00013794i,0.0016214-0.00099361i,-0.0061508+0.00064358i,-0.0001223+9.1474e-06i,-0.00032939+0.0025368i,-0.00099347+0.0029253i,-0.00029699+0.0011715i,-0.00037757+0.00050837i,1.8799e-05-0.00046591i,7.2664e-05+0.003037i,-0.00060255-0.0010153i,-0.0025656-0.0019929i,-0.0021606-0.00053633i,-0.001403+0.0020756i,0.0021035-0.0031015i,0.00077048+0.0016911i,0.00060235-0.00099904i,0.017388+0.012138i,0.0037336+0.00051167i,0.00038955+0.001048i,-0.00048167+0.0016196i,-0.0027646+3.5093e-05i,0.0053021+0.0016411i,0.014475-0.0014773i,0.0010256-0.061046i,-0.010402+0.017111i,-0.0036925-0.03789i,-0.037413-0.016445i,-0.0036914+0.0073592i,-0.006471+0.039095i,-0.0053756+0.012321i,-0.0041722-0.0034952i,-0.0062494-0.015295i,-0.041675+0.0070841i,-0.0073798+0.0044504i,-0.010623+0.030921i,0.0063543+0.0036039i,-0.0005911+0.00084157i,-0.01576-0.0031824i,-0.0011913+0.0064682i,-0.011564+0.0092655i,0.011913+0.0037725i,0.0046545+0.0095284i,-0.001101+0.0048237i,0.0047187+0.0048471i,0.0050383+0.00074555i,0.0095525+0.0080904i,0.008667+0.0037162i,-0.0058874-0.0025191i,0.004133-0.0056971i,0.008857-0.00022377i,-0.0020489+0.0070195i,0.002128+0.0023206i,-0.0091404-0.036985i,0.012115-0.0038159i,0.005021-0.0068799i,0.002315-0.0043406i,0.00056754-0.0044034i,0.01254-0.015838i,7.8149e-05-0.0016181i,0.00029468-0.0036382i,-0.00033935+0.00010833i,0.012615-0.0076048i,0.010585-0.0010116i,0.0031999-0.0031582i,0.01369-0.00062929i,0.0028162+0.0048516i,0.0089307+0.0013681i,-0.022991-0.005003i,-0.015205-0.021273i,-0.0063324-0.013444i,-0.006257-0.0034411i,-0.024554+0.025391i,-0.0038749+7.6426e-05i,-0.0076337-0.00095569i
0.011794+0.0095902i,0.0026338+0.011521i,0.007964+0.011039i,0.010716+0.018429i,0.012932+0.02207i,0.020074+0.013525i,0.0036116+0.027777i,0.0082992+0.016706i,0.0092748-0.0029324i,-0.0018402-0.0028725i,0.0044159-0.001134i,-0.001566-0.004648i,-0.0016495-0.002561i,-0.0014811-0.0026902i,-0.0016617-0.00094243i,-0.0016846-0.0016857i,-0.0052148+0.0021527i,0.0017555+0.0014607i,0.0015751-0.00227i,0.0016612-0.0016478i,0.00040427+0.0019118i,0.0016455-0.00064833i,0.0012383-0.0017969i,-0.0058524+0.0019189i,0.00027444-0.0001488i,0.0015274+0.0014212i,0.00037237+0.0026986i,0.00030043+0.00071296i,0.00021005-2.8032e-05i,-6.3907e-05-0.00023349i,0.0012164+0.0027628i,-0.0011284-0.00056988i,-0.0033394-0.00047876i,-0.002302+0.00067269i,-0.00048454+0.0024702i,0.0027278-0.0052271i,0.0018501+0.0011396i,-5.4267e-05-0.00085423i,-0.003426-0.00065029i,0.0036886-0.00063531i,0.00074458+0.00057449i,0.00049376+0.0012525i,-0.0028364+0.00098248i,0.0038369-0.0011982i,0.013271-0.00443i,-0.016427-0.049669i,-0.0018642+0.014114i,-0.015253-0.034669i,-0.041819-0.0069271i,0.0011716+0.0049826i,0.0063172+0.032916i,0.0030539+0.0055057i,-0.0047193-0.0047559i,-0.0064108-0.013529i,-0.035964+0.017585i,-0.0063802+0.0059784i,0.002053+0.030096i,0.0067705+0.0027671i,-0.0037022+0.0020027i,-0.018984+0.0056603i,-0.00015462+0.0083238i,-0.0074945+0.010262i,0.0096842-0.0023305i,0.0083705+0.0080182i,0.00013802+0.0070394i,0.0041264+0.0045363i,0.0051669-0.0026622i,0.007709+0.0022882i,0.0057051+0.00094784i,-0.0044238+0.0010852i,0.0023391-0.0056788i,0.0087688-0.002851i,0.0059786+0.0066275i,0.0039166+0.00054063i,-0.012981-0.017207i,0.0089533-0.007778i,0.0025639-0.0073569i,0.0013462-0.0033554i,-0.00037991-0.0046732i,0.0051821-0.016892i,0.0031103-0.00035286i,-0.0039444+0.00038235i,0.0024002+0.0018084i,0.0081986-0.007437i,0.0097059-0.0057425i,0.0011222-0.003795i,0.010202-0.007806i,0.0037701+0.0017483i,0.0080236-0.0024406i,-0.01848+0.0037441i,-0.02692-0.018124i,-0.010029-0.018289i,-0.0066849-0.0051652i,-0.014335+0.027508i,-0.0090501-0.00031165i,-0.011236-0.00055846i
0.013552+0.0059195i,0.0034132+0.0094277i,0.0064925+0.0075066i,0.013369+0.015811i,0.015989+0.017948i,0.021408+0.0093405i,0.0091156+0.025612i,0.010415+0.013375i,0.0082075-0.0038663i,-0.0020411-0.0018451i,0.0033227-0.0023808i,-0.00244-0.0025419i,-0.0026854-0.0021326i,-0.0016925-0.0016642i,-0.0021102-0.00010645i,-0.001072+0.00063761i,-0.0035271+0.0043464i,0.001814+0.00071402i,0.0011565-0.0022755i,0.00017038-0.0022832i,0.00073329+0.0014102i,0.0014037-0.0013187i,0.0003092-0.00226i,-0.0043168+0.0027963i,0.00027644-0.00071194i,0.0014204-0.0004573i,0.001495+0.0017833i,0.00052288+0.00024071i,-0.00012698+0.0013158i,0.00033511-0.00019886i,0.0019178+0.0019167i,-0.0012311-0.00024882i,-0.0031431+0.0014799i,-0.0018812+0.0016279i,0.00032723+0.0025281i,0.0015774-0.0075608i,0.0024974-0.00066876i,-0.00024219-0.00036778i,0.0002332-0.0011795i,0.0030747-0.0012925i,0.00065655+8.8325e-05i,0.00082214+0.00061734i,-0.0022458+0.0026006i,0.0012491-0.00072125i,0.011792-0.006612i,-0.019979-0.033923i,0.0027976+0.0093616i,-0.024094-0.027472i,-0.0451+0.0033276i,0.0033848+0.00014733i,0.016136+0.027651i,0.0057719-0.0020784i,-0.0039455-0.0064662i,-0.0061953-0.014074i,-0.030099+0.025762i,-0.0044908+0.0067923i,0.01385+0.024045i,0.0063268+0.00040232i,-0.0047806+0.0057685i,-0.017028+0.01375i,0.0025954+0.0092498i,-0.0053894+0.014538i,0.0043849-0.0034552i,0.010545+0.0049804i,0.0031218+0.0078736i,0.0052675+0.0048525i,0.0037877-0.0048559i,0.0038132+0.0020368i,0.0033439+0.001942i,-0.003564+0.0028304i,0.00073319-0.0047737i,0.0072409-0.0053495i,0.00902+0.0016331i,0.0040118-0.0017327i,-0.014567-0.015792i,0.0048998-0.009614i,-0.00014918-0.0084944i,0.0024008-0.0030678i,-0.0017252-0.0035152i,1.7389e-05-0.015054i,0.0048507-0.0026337i,-0.0017561+0.0023079i,0.0049937+0.00039362i,0.006746-0.0073826i,0.0065361-0.011481i,0.00063995-0.0034556i,0.0036478-0.011215i,0.0021908+0.00010266i,0.0041209-0.0058375i,-0.011595+0.0046433i,-0.036483-0.0080206i,-0.016256-0.018012i,-0.008368-0.0065085i,-0.0087341+0.02644i,-0.012743+0.0036313i,-0.0114+0.0034345i
0.01399+0.0027298i,0.0039189+0.0083354i,0.0048911+0.006299i,0.015538+0.012664i,0.017573+0.013631i,0.022391+0.0053311i,0.014107+0.021764i,0.011577+0.010307i,0.0075788-0.0050779i,-0.0022367-0.0014501i,0.0018061-0.0029263i,-0.0026294-0.00073109i,-0.0037159-0.0010306i,-0.0016564-0.0013332i,-0.0022565+0.00052586i,0.00012339+0.001832i,-0.0010975+0.0058031i,0.0019035+0.00019103i,0.00044713-0.0025092i,-0.0007598-0.0019526i,0.0015014+0.0011454i,0.0010021-0.0017891i,-0.00056826-0.002064i,-0.0035662+0.002439i,-5.3325e-07-0.00068319i,0.0003442-0.0016328i,0.0013147+0.00014855i,0.0006598-0.00030766i,0.00086806+0.00059371i,0.00041046-0.00072521i,0.0020493+0.00088786i,-0.0013924+9.8203e-05i,-0.001871+0.0028451i,-0.00095353+0.0022433i,0.00095414+0.0023303i,-0.00047573-0.0086024i,-0.00013683-0.0023685i,-9.4791e-05-0.00023033i,-0.00024035-0.0015713i,0.0021354-0.0015202i,0.00050384+8.1433e-05i,0.00078468+0.0003108i,-0.00030705+0.00047817i,0.000581+0.0011239i,0.010308-0.0079542i,-0.017705-0.026324i,0.0050505+0.005396i,-0.0281-0.016687i,-0.039514+0.016532i,0.00048646-0.0040744i,0.018362+0.019603i,0.0060502-0.0086005i,-0.003866-0.007497i,-0.0085464-0.013116i,-0.021986+0.03208i,-0.0035251+0.007569i,0.018682+0.010991i,0.0057489-0.0019617i,-0.0029708+0.0091857i,-0.010546+0.020162i,0.0056053+0.0078814i,0.0040283+0.013427i,0.0024268-0.0016981i,0.012389+0.00061511i,0.0060295+0.0071716i,0.0065018+0.0038108i,-0.00015929-0.0074263i,0.0036431+0.0042553i,0.0041609+0.0036472i,-0.0010794+0.0058321i,0.00072783-0.0040315i,0.0056181-0.0064175i,0.0091389-0.0032284i,0.0031861-0.0038522i,-0.01997-0.013723i,0.0013406-0.010247i,-0.003625-0.0070847i,0.00052301-0.0044244i,-0.0017465-0.0018067i,-0.0027146-0.011921i,0.0030626-0.0051196i,0.00025186+0.0020804i,0.0049873-0.0035799i,0.0039625-0.0089067i,-0.0022466-0.012841i,-0.00021533-0.0044754i,-0.0024684-0.0070502i,0.0018737-0.00070959i,-0.00044416-0.0051688i,-0.0087304+0.0041321i,-0.033885+0.009033i,-0.022004-0.015127i,-0.010899-0.0060888i,-0.004648+0.026151i,-0.01123+0.0092641i,-0.0070207+0.0046859i
0.014122-0.00042741i,0.0049455+0.0077049i,0.0040842+0.0061037i,0.016875+0.0090737i,0.018292+0.010035i,0.022872+0.0009144i,0.017934+0.016747i,0.012053+0.0075229i,0.0068679-0.0062039i,-0.0025753-0.00062735i,0.00024409-0.0023198i,-0.0015585+0.00074536i,-0.003919+0.00043729i,-0.0020914-0.0014016i,-0.0021721+0.0013167i,0.0012401+0.0022013i,0.0021611+0.0061345i,0.0017577-0.00030497i,-6.3155e-05-0.0025683i,-0.0013588-0.0013003i,0.0020181+0.00034244i,0.00039938-0.0021362i,-0.001115-0.0015348i,-0.003648+0.0029978i,-0.00016544-0.00075118i,-0.00095762-0.0019229i,0.0007648-0.00063897i,0.00037433-0.0010307i,0.0009759-0.00030243i,-7.3807e-05-0.001253i,0.0022646+5.8012e-05i,-0.0010021+0.001041i,9.3761e-05+0.0028355i,7.2876e-05+0.0023414i,0.0016588+0.001638i,-0.0035786-0.0091836i,-0.00012186-0.00059339i,-0.00018093-0.00040401i,-0.00037731-0.0010701i,0.0015703-0.0015128i,0.00063513-0.00022947i,0.0010071+0.00014294i,-0.00074147+0.00057619i,0.0013571+0.0018194i,0.009459-0.0097024i,-0.018559-0.026521i,0.0066353+0.0022062i,-0.02547-0.0074628i,-0.029812+0.028214i,-0.0017784-0.0039782i,0.020168+0.013101i,0.0031777-0.014376i,-0.003753-0.0086249i,-0.0089938-0.010326i,-0.011869+0.036153i,-0.0011913+0.0073874i,0.013107-0.00042073i,0.0033923-0.0044646i,0.00026211+0.010571i,-0.0033115+0.021691i,0.0070411+0.0054832i,0.006116+0.0088542i,0.0028194-0.001042i,0.011733-0.0035105i,0.0097631+0.0051685i,0.0075575+0.0030484i,-0.0045708-0.0038563i,0.0055603+0.0048702i,0.0054501+0.0037626i,0.0025981+0.0055239i,-0.00017488-0.0042867i,0.0037334-0.0077459i,0.0069463-0.009462i,-1.469e-05-0.0045786i,-0.025714-0.0067645i,-0.0019079-0.0094825i,-0.0056657-0.0037267i,0.00025557-0.0027172i,-0.0015393-0.0015056i,-0.0043222-0.011963i,9.4846e-05-0.0052336i,0.0011575+0.00070933i,0.0023904-0.0051207i,0.0013471-0.0086341i,-0.0071785-0.0082985i,-0.0025999-0.0047287i,-0.0011923-0.0046522i,0.00053061-0.0013377i,-0.0022347-0.0027568i,-0.0056352+0.0044101i,-0.025619+0.011515i,-0.023024-0.010766i,-0.012272-0.0050035i,0.00056062+0.023451i,-0.0089779+0.011414i,-0.0051592+0.0034843i
0.013607-0.0038197i,0.0062225+0.0070688i,0.0041499+0.0065539i,0.017473+0.0056211i,0.018406+0.0067802i,0.022196-0.0034283i,0.020447+0.011017i,0.012308+0.0051667i,0.005993-0.0075697i,-0.0021498+0.00017298i,-0.00018292-0.00077733i,-0.0002685+0.00068834i,-0.0037774+0.0017667i,-0.0030607-0.00064137i,-0.0016619+0.0021303i,0.0023697+0.0016604i,0.0052545+0.0042i,0.0016821-0.00056113i,-0.00074724-0.0024872i,-0.0013515-0.00045406i,0.0020947-0.00056544i,-0.00021748-0.001943i,-0.0013343-0.00096745i,-0.002611+0.0040277i,-0.00060047-0.00079064i,-0.0015142-0.0012889i,9.006e-05-0.0013077i,-0.0004029-0.0014224i,0.00058273-0.0010488i,-0.00078008-0.0012926i,0.0018045-0.0018054i,-0.00017979+0.00069258i,0.00083423+0.0019686i,0.00078561+0.0020216i,0.0018451+0.00091184i,-0.0067388-0.007029i,-0.00013924-0.00076749i,-0.00051932-0.00027372i,-0.00073146-0.0012616i,0.0013393-0.0014921i,0.00060617-0.00051484i,0.0011333-0.00016556i,-0.00087948+0.00051113i,0.0022056+0.0019039i,0.0078145-0.011915i,-0.023324-0.025059i,0.0065426-0.0019816i,-0.022927-0.0014587i,-0.015256+0.031669i,-0.0040128-0.0037823i,0.021346+0.0062801i,-0.0004067-0.016496i,-0.0041494-0.0096642i,-0.0076628-0.007556i,-0.00015068+0.036313i,0.00055276+0.0066183i,0.0069473-0.0015773i,0.00053183-0.0052892i,0.0047872+0.011183i,0.0037402+0.020238i,0.0070652+0.0023002i,0.0069767+0.0017313i,0.0018791-0.00084237i,0.0094333-0.0078637i,0.012365+0.00095648i,0.0086691+0.0009292i,-0.0051013-0.00074891i,0.0077508+0.004215i,0.0074747+0.0034274i,0.0057041+0.0033045i,-0.0012116-0.0039718i,0.0019506-0.0088792i,0.00019159-0.011456i,-0.0014458-0.0026275i,-0.027878+0.0030374i,-0.0040914-0.0081049i,-0.0054913-0.0014677i,0.00085847-0.0024388i,-0.0020498-0.0010832i,-0.0079909-0.011807i,-0.0020431-0.0044555i,0.0018317-0.00015i,0.00022572-0.0050503i,0.00017408-0.0082806i,-0.0089321-0.0045476i,-0.0047069-0.0028343i,-0.0015465-0.0049044i,0.00029932-0.001601i,-0.0021239-0.0011151i,-0.0025013+0.0036453i,-0.023638+0.01294i,-0.022735-0.0082417i,-0.014067-0.002993i,0.0024191+0.022091i,-0.0076391+0.012118i,-0.003826+0.0024311i
0.012237-0.0066778i,0.0080811+0.0057154i,0.005662+0.0066501i,0.017344+0.0022771i,0.018682+0.0040806i,0.02069-0.0073403i,0.021043+0.0044949i,0.012423+0.0029196i,0.0044838-0.0087829i,-0.0018141+0.00028171i,-0.0030078-0.0063465i,-5.4517e-05-0.00011681i,-0.0031056+0.0031724i,-0.0030132+0.00065142i,-0.00086286+0.0026454i,0.0025776+0.0005178i,0.0059125+0.00096355i,0.0014116-0.0010664i,-0.0016054-0.0020456i,-0.00095633-1.2681e-05i,0.0019114-0.0014745i,-0.00044081-0.001707i,-0.0012424-0.00045337i,-0.0010241+0.0043465i,-0.0011175-0.00061772i,-0.0020565-0.00052557i,-0.0010788-0.0016958i,-0.0012904-0.0011646i,-0.00013628-0.0015326i,-0.0014532-0.00097155i,0.0003302-0.0012938i,-0.00027581+0.00067731i,0.00099994+0.0015031i,0.0014248+0.0015717i,0.001791+0.00031397i,-0.0083428-0.0030574i,-0.00053644-0.00059387i,-0.00061304-2.402e-05i,-0.0013124-0.0010428i,0.0010108-0.0015014i,0.00048427-0.00068498i,0.0010917-0.00040516i,-0.0010896+0.00056963i,0.0029153+0.0015697i,0.0050756-0.013098i,-0.027571-0.019274i,0.0052399-0.0052981i,-0.016951+0.0039612i,-0.0034043+0.031645i,-0.0053113-0.00078252i,0.021533-0.0013502i,-0.00084201-0.018974i,-0.0040525-0.0098581i,-0.0051128-0.0054374i,0.0097241+0.032068i,0.0016857+0.0052682i,0.0033964-0.0019652i,-0.0030632-0.0051222i,0.010164+0.0081392i,0.0079036+0.016545i,0.0052815+0.00078112i,0.0047531-0.0028842i,0.0027514+0.0015037i,0.0043337-0.010515i,0.012213-0.0054543i,0.0090406-0.0015636i,-0.005144+0.0024474i,0.010404+0.0023791i,0.010239+0.0007362i,0.0068579-0.00055451i,-0.001918-0.0032978i,-0.0010924-0.0093436i,-0.0058636-0.0052391i,-0.00096292-0.00076432i,-0.026436+0.013857i,-0.0062016-0.0069018i,-0.0045242+0.0017908i,0.00069434-0.0055849i,-0.0020183+0.00039808i,-0.012259-0.0088715i,-0.0038874-0.0022794i,0.0013877-0.0016293i,-0.0016531-0.0044466i,-0.0018636-0.0080522i,-0.0091333+0.00051919i,-0.0046285-0.00015307i,-0.0088382-0.004153i,-0.00034274-0.0030392i,-0.0016295-0.00067149i,-0.0004271+0.0026554i,-0.022343+0.019159i,-0.023271-0.0083508i,-0.011554-0.00093628i,0.0060443+0.021104i,-0.0065505+0.014255i,-0.0023826+2.6712e-05i
0.010315-0.0089168i,0.0096627+0.0036396i,0.0072721+0.0053021i,0.016616-0.00083676i,0.018742+0.0012693i,0.018732-0.010639i,0.01952-0.0012292i,0.012238+0.00081007i,0.0029274-0.0095754i,-0.0018369+0.00057693i,-0.0015052-0.0018164i,-0.00065675-0.00027503i,-0.0018248+0.0040103i,-0.0025538+0.0016673i,0.00014889+0.0028887i,0.001851-0.00017771i,0.0048838-0.0011821i,0.0011337-0.0011971i,-0.001943-0.0016183i,-0.00043695+0.00013537i,0.0015996-0.002279i,-0.00052872-0.001723i,-0.00090681-0.00022127i,0.00035074+0.0043268i,-0.001483-0.00027059i,-0.0023504+0.00051917i,-0.0024362-0.0012336i,-0.0017607-0.00053599i,-0.0011425-0.0015386i,-0.0020329-0.00036613i,0.00028147-0.00095164i,-7.7918e-05+0.0010184i,0.0013611+0.001001i,0.0020962+0.00096427i,0.0014308-0.00021488i,-0.0088884+0.0007814i,-0.00058279-0.00055727i,-0.00072483+4.076e-05i,-0.0017109-0.00054082i,0.00075985-0.0013511i,0.00038001-0.00078035i,0.0011588-0.00065517i,-0.0011678+0.00083461i,0.0034613+0.00096578i,0.0028194-0.01313i,-0.027627-0.011092i,0.0019463-0.0073563i,-0.01055+0.0042119i,0.007413+0.029285i,-0.0038023+0.0030201i,0.018397-0.0080481i,-0.0044179-0.024255i,-0.0043686-0.011376i,0.0012272-0.0041377i,0.016585+0.024534i,0.0027571+0.0053758i,0.00033045-0.00099225i,-0.0053133-0.0026821i,0.012129+0.0020953i,0.011034+0.014035i,0.0028386+0.0017844i,0.0013949-0.006674i,0.0060451+0.00030693i,-0.00075956-0.0097127i,0.0079348-0.0098228i,0.0086872-0.0044074i,-0.0044178+0.0046332i,0.01194-0.0025566i,0.010054-0.0050737i,0.0056432-0.0048011i,-0.0025073-0.0026613i,-0.0040133-0.0084916i,-0.0032634-0.01054i,0.00013467-0.00096729i,-0.019554+0.025223i,-0.0082387-0.0048001i,-0.002066+0.0030762i,-0.0035897-0.0067433i,-0.00082911+0.00089682i,-0.014953-0.0038635i,-0.0036764+0.00038706i,-4.9711e-05-0.0026056i,-0.0033919-0.0031321i,-0.0040449-0.006593i,-0.0065443+0.0035775i,-0.0031224+0.00166i,-0.0083793+0.0019529i,-0.0031884-0.0035801i,-0.00187-0.00065643i,0.0036291+0.0023918i,-0.011977+0.024564i,-0.026834-0.0066014i,-0.010405-0.0026735i,0.0086425+0.019077i,-0.0034533+0.016012i,-0.0034137-0.0034323i
