-0.008491-0.039508i,-0.013272-0.043722i,0.00082955-0.046233i,-0.027077-0.027827i,-0.01997+0.014366i,-0.032891-0.031166i,-0.061081-0.059199i,-0.023574-0.070961i,-0.044127-0.057627i,0.0022651+0.015143i,-0.0075608+0.010133i,-0.014147+0.012902i,0.0018794+0.016232i,-0.0037827-0.0032036i,0.00077599+0.0064545i,0.0017317+0.037619i,0.018673+0.059426i,0.0011052-0.0004384i,-0.0054292-0.0085893i,0.0070961+0.0044881i,0.0017864+0.00088955i,-0.001276+0.0035736i,2.5613e-06-0.0013371i,-0.033848-0.0083097i,-0.00233-0.0076336i,-2.4837e-05+0.0043838i,0.0045238+0.00023183i,0.00025503+0.00095439i,-4.8219e-05-0.00090422i,-0.00016662-0.0029602i,-0.00076011-0.0055115i,-0.0027567-0.0040105i,0.00010155-0.0078959i,0.0030479-0.001068i,0.0030086-0.0028651i,-0.0030135+0.035002i,0.0061858-0.0047442i,0.0030226-0.0020204i,0.0050726-0.00031822i,-0.010036+0.015707i,-0.00032292+0.00012929i,0.0080258+0.00020121i,0.0061363-0.00011731i,-0.0033428+0.0040188i,0.002935+0.0017599i,-0.0030534+0.0068825i,0.012783-0.088167i,-0.0077341-0.048872i,-0.025039-0.03935i,-0.020609-0.041235i,0.062189-0.018571i,0.026582-0.062344i,0.037693-0.04566i,0.02925-0.05762i,0.018584-0.015875i,0.0085227+0.0095405i,0.022408-0.032967i,-0.0069871-0.005561i,0.0020193-0.0034275i,-0.0043872-0.0059576i,0.00040671-0.031751i,-0.023739+0.030429i,0.0079738-0.01097i,-0.011338-0.0016471i,-0.0051764-0.001034i,-0.0014119-0.013807i,-0.010198+0.0044859i,0.0038014+0.0080462i,-0.0092739+0.029928i,0.0055673+0.0069611i,-0.0058833-0.0016079i,-0.0016859-0.0016312i,-0.012026-0.0062236i,0.00099858-0.0034425i,-0.041964+0.013212i,0.0019076-0.012244i,-0.0098345-0.0016368i,-0.0064818-0.00233i,0.0063579+0.0019272i,-0.0093137+0.0015605i,0.00086956+0.00072024i,0.0056799+0.0086942i,0.004461+0.00065946i,-0.008796-0.0093929i,0.0026434+0.0087655i,-0.017075+0.0075617i,0.006759+0.00312i,-0.029435-0.0084823i,-0.033939+0.0032912i,0.019564-0.081236i,0.011642-0.01006i,-0.044469-0.027702i,-0.023209-0.0035585i,0.018312+0.01232i,-0.026647+0.012169i,-0.012492-0.0087969i
-0.033392+0.0015563i,-0.047935+0.017612i,-0.047294+0.043198i,-0.027951+0.0067616i,-0.0049659+0.01408i,-0.0080426+0.031358i,-0.029227+0.01862i,-0.05528+0.023936i,-0.021517+0.021669i,0.0018013-0.0088374i,0.0014841-0.0016677i,0.0037022+0.00010387i,0.0035143+0.0085304i,-0.003981+0.0010908i,0.0016192+0.0021322i,0.0013293-0.0092537i,-0.011635-0.0098124i,-0.0044343+0.0007298i,0.003882-0.002497i,0.0014166-0.0014298i,0.0023082-0.0040787i,0.0017858-0.0040175i,0.0021286-0.0035248i,-0.010791-0.01037i,-0.0024339-0.00035221i,-0.0039944-0.00021328i,-0.0034908-0.0009548i,-0.0046923-0.001375i,-0.0010339-0.0023501i,0.0011432-0.0018076i,-0.0035936+0.0044135i,0.0012275+0.0017887i,0.0026222+0.0011515i,0.0020864+0.00083034i,-0.0012747+0.0030161i,-0.0033943-0.0084807i,-0.0035335+0.0012275i,0.0011143-9.8073e-05i,0.00044125+0.0036529i,0.011724+0.0075649i,0.00015345-0.002377i,0.0010021+8.0784e-05i,-0.0051594-0.0042426i,0.0022333+0.0038128i,-0.019524-0.017689i,-0.0014931-0.062695i,-0.089712-0.0083015i,-0.023074-0.019847i,-0.047702-0.039258i,-0.043869-0.0056761i,-0.092831+0.015726i,-0.062452+0.0016661i,-0.036826-0.02768i,-0.030015-0.055447i,-0.040591-0.023139i,-0.0005356+0.0018737i,-0.024474+0.014222i,0.0043358+0.01609i,0.0041948+0.0070544i,-0.00037929-0.0072644i,0.0086754+0.0037028i,-0.01041-0.0048939i,0.0029145+0.011195i,-0.00084148+0.0076349i,-0.0011113-0.0024232i,0.0054218+0.002024i,0.0036108-0.001074i,-0.0033438+0.019837i,0.0001899+0.013903i,0.0014711-0.0041762i,0.009946-0.0074746i,0.0034685+0.0035148i,-0.0077329-0.0072367i,-0.0022337-0.0014168i,0.032472-0.029766i,0.0085615+0.0079194i,0.0039053+0.0027638i,-0.0016319+0.0030203i,0.0031485-0.0039752i,0.020647+0.0023794i,0.001128-0.0022733i,-0.00067321-0.007153i,0.0010983-0.002618i,0.011106+0.0040747i,0.0051834+0.00023871i,0.0030169-0.0056798i,0.0029748+0.0073487i,0.0042548+0.0028783i,0.017646+0.0010511i,-0.068036-0.041924i,-0.010089+0.010835i,-0.0061047-0.0041727i,-0.0055585+0.0042767i,-0.035582+0.010593i,-0.0055478+0.008193i,-0.015504+0.0039219i
-0.031211+0.005295i,-0.044061+0.022366i,-0.034907+0.045027i,-0.026073+0.012957i,-0.0036384+0.011636i,-0.0025167+0.03123i,-0.026819+0.022973i,-0.048168+0.030039i,-0.016467+0.018602i,-0.0014065-0.0076241i,0.0012205-0.0009313i,0.0032597-0.0018159i,0.0056644+0.0059243i,-0.0023054+0.0031619i,0.0017675+0.0022561i,-0.0040846-0.0065459i,-0.01762-0.0025967i,-0.0037247+0.0023368i,0.0040819-0.0031364i,0.0013476-0.0020144i,0.0010871-0.0041157i,0.0017889-0.0032201i,0.0016539-0.003605i,-0.011935-0.0058982i,-0.0019988-0.00011174i,-0.0043142+0.0012939i,-0.0028796+0.00029808i,-0.004284+0.00012618i,-0.001766-0.0022078i,0.00073947-0.0016171i,-0.001941+0.0059457i,0.0014603+0.0014959i,0.00084428-0.0012053i,0.0004621+0.00037878i,-0.001814+0.0026264i,-0.0036581-0.0068935i,-0.0025874+0.00169i,-0.00015215-0.00073606i,0.00016478+0.004345i,0.013017+0.00068798i,-0.00052353-0.0028659i,0.00030557-0.00091064i,-0.0068984-0.0026923i,0.0032721+0.0033124i,-0.021066-0.019619i,-0.02049-0.068542i,-0.084467+0.0076636i,-0.029807-0.021218i,-0.058797-0.031876i,-0.04117+0.004173i,-0.080739+0.035548i,-0.059612+0.015193i,-0.028483-0.027544i,-0.037158-0.051468i,-0.036244+0.0042061i,-0.00088649+2.6298e-05i,-0.016277+0.023527i,0.0081844+0.011298i,0.0060777+0.0024564i,-0.006766-0.013016i,0.0045118+0.0027763i,-0.011325+0.002242i,0.0073197+0.0081166i,0.0013443+0.0081626i,-0.001834-0.0018451i,0.0068431+0.0027048i,0.0033814-0.00093111i,0.0062125+0.016098i,0.0064946+0.0082839i,-0.0028924-0.0058387i,0.0026517-0.0078032i,0.0044855+0.0036555i,-0.011207+8.4173e-05i,-0.0020901+0.0012502i,0.01234-0.033484i,0.010752+0.005909i,0.007193+0.00087191i,0.001486+0.0017938i,7.7199e-05-0.001843i,0.017995-0.0069476i,-0.00028095-0.0026736i,-0.0036149-0.005254i,-0.00226-0.0019754i,0.01045-0.00020736i,0.0045746+0.00027815i,0.0010295-0.0037504i,0.0055386+0.0063844i,0.0037681+0.0022865i,0.01593-0.0048195i,-0.073588-0.032971i,-0.0032992-0.00025188i,-0.0066277-0.0033761i,-0.0045385+0.0031584i,-0.031111+0.022187i,-0.0030943+0.0087758i,-0.01574+0.0056615i
-0.02815+0.0080111i,-0.041153+0.027154i,-0.027435+0.043384i,-0.022408+0.01549i,-0.0010025+0.011691i,0.0029715+0.03i,-0.022989+0.027032i,-0.041743+0.034039i,-0.016457+0.016084i,-0.0026511-0.0054557i,0.0017468-0.00078285i,-0.00052697-0.0026189i,0.0063401+0.0035709i,-0.0015209+0.0035779i,0.0024224+0.0024773i,-0.0073029-0.0010935i,-0.018596+0.0070828i,-0.0014935+0.0038693i,0.0040555-0.00544i,0.0012202-0.003016i,-0.00021083-0.004354i,0.0019163-0.004242i,0.0011992-0.0040744i,-0.012315-0.0026916i,-0.0024504+0.00038092i,-0.003055+0.0034501i,-0.0023592+0.00062839i,-0.0029728+0.0018702i,-0.0021559-0.0017191i,8.0376e-05-0.0026836i,0.00067633+0.0063977i,0.0016282+0.00095113i,0.00059414-0.00068571i,0.00062956+5.2139e-06i,-0.0011501+0.0044144i,-0.0034047-0.0063326i,-0.0026413+0.0025304i,-0.00090298-0.00049816i,0.0033025+0.0032131i,0.010211-0.0040841i,-0.00062019-0.001607i,0.00053544-4.731e-05i,-0.0084239-0.00078154i,0.004201+0.0015419i,-0.025073-0.020114i,-0.042409-0.064334i,-0.074349+0.019757i,-0.036222-0.018171i,-0.065404-0.020051i,-0.034197+0.01053i,-0.061365+0.048528i,-0.045094+0.027439i,-0.03018-0.032307i,-0.043453-0.048109i,-0.030659+0.002807i,-0.0016782-0.000667i,-0.0059072+0.025677i,0.010022+0.006898i,0.0030599-0.0016242i,-0.019691-0.011697i,0.0040206+0.0019258i,-0.0071654+0.0070067i,0.0088427+0.0036959i,0.0040979+0.008343i,-0.0042004+0.00047285i,0.007177-0.0016154i,0.0037919-0.0024638i,0.0092228+0.0091078i,0.0063658+0.0031622i,-0.0077376-0.0028665i,0.00020846-0.0057345i,0.0067825+0.0027048i,-0.0074139+0.0088155i,-0.00019207+0.0026724i,-0.0012789-0.033496i,0.013418+0.00041521i,0.0065477-0.0034479i,0.0010018+0.0004208i,0.00089543+6.103e-05i,0.011703-0.011771i,-0.0028786+0.00067709i,-0.0055306-0.0017582i,-0.0036209+0.0018018i,0.0078029-0.0033122i,0.0075092-0.0015358i,0.0018018-0.0033822i,0.0093518+0.0030119i,0.005709+0.0011509i,0.012157-0.0096418i,-0.077495-0.019774i,-0.0080296-0.010348i,-0.0050629-0.0033284i,-0.0046901+0.0016137i,-0.018555+0.025395i,-0.002421+0.00369i,-0.010055+0.0043264i
-0.025134+0.008969i,-0.036807+0.032873i,-0.021513+0.04224i,-0.018786+0.019113i,0.0028626+0.0088291i,0.0080307+0.027506i,-0.017788+0.030564i,-0.03551+0.036488i,-0.01754+0.017508i,-0.0039833-0.0043591i,0.0018361-0.0019997i,-0.0027623+0.001003i,0.0054709+0.0015554i,-0.0011613+0.0051108i,0.0029078+0.0019265i,-0.0061032+0.0049855i,-0.012831+0.016569i,0.00081597+0.002998i,0.0017705-0.0065881i,-0.00016324-0.004223i,-0.0015125-0.0037243i,0.0012831-0.0048179i,0.00016661-0.005035i,-0.012138+0.0010403i,-0.0021352+0.00074586i,-0.0010206+0.0031675i,-0.0022436+0.00085716i,-0.00094904+0.0018847i,-0.0027826-0.0004692i,-0.0015752-0.0023917i,0.0025877+0.0052316i,0.0015364+0.00049501i,0.00089321+0.0010595i,0.00035416-9.7948e-06i,0.0015261+0.0045061i,-0.004426-0.0073504i,-0.0014585+0.0035233i,-0.0014034+0.00014825i,0.0029373-0.00029275i,0.0067129-0.0052445i,-0.00095585-0.0024692i,0.0011342-0.00036777i,-0.0086191+0.0019535i,0.0024221-0.0014904i,-0.031079-0.018271i,-0.059474-0.048943i,-0.063637+0.02523i,-0.041855-0.012945i,-0.068943-0.0075207i,-0.026312+0.012285i,-0.042907+0.051786i,-0.029296+0.02677i,-0.034578-0.030359i,-0.05069-0.040813i,-0.030116+0.010758i,-0.0030344-0.00067824i,0.0031763+0.024816i,0.0096156+0.0019306i,-0.0013129-0.0019083i,-0.028399+0.00088753i,0.0013793+0.0026788i,-0.0025925+0.0075362i,0.0074791-0.001052i,0.0076576+0.0079154i,-0.0034928+0.0038967i,0.0035631-0.0024484i,0.0029981-0.0050365i,0.0086553+0.0023627i,0.0034895+0.00087098i,-0.0086184+0.0011333i,-0.0015194-0.0042244i,0.0074506+0.00029426i,0.00097242+0.011247i,0.0015472+0.0016069i,-0.0078438-0.025774i,0.01212-0.0039861i,0.0044568-0.0038604i,0.0016338+0.0020809i,0.0014578-0.0004674i,0.0056339-0.012065i,2.8742e-05+0.0032064i,-0.0059922+0.0013509i,-0.0011201+0.0042411i,0.005301-0.0033412i,0.0066826-0.0061565i,0.0001706-0.0033957i,0.0087132-0.0030043i,0.0052876-0.0019552i,0.0076535-0.013027i,-0.074771-0.0063361i,-0.018521-0.012518i,-0.0051609-0.006697i,-0.0053895+0.0005864i,-0.013668+0.02567i,-0.0063133+0.0026985i,-0.012037+0.0037278i
-0.023589+0.0096478i,-0.031976+0.037165i,-0.018196+0.042225i,-0.013354+0.021283i,0.0048464+0.0045797i,0.01161+0.024745i,-0.011579+0.032314i,-0.030054+0.038686i,-0.015495+0.021323i,-0.0044225-0.0027146i,0.0010345-0.0024538i,-0.0012985+0.0041647i,0.0046276+0.00052518i,0.0013909+0.0066468i,0.0033659+0.0014647i,-0.002111+0.0081088i,-0.0034772+0.020796i,0.0013741+0.0015857i,-4.2128e-05-0.006249i,-0.0020712-0.0041699i,-0.0026314-0.003179i,0.00033707-0.0050305i,-0.0019478-0.0050493i,-0.009537+0.0040212i,-0.0024783+0.00069362i,-0.0004306+0.0021761i,-0.0019192+0.0015175i,-0.00026299+0.00093021i,-0.0026745+0.00084196i,-0.0019771-0.00092981i,0.0038807+0.0039588i,0.0013878-0.00017658i,0.0014076+0.0016269i,0.00010874+2.1451e-05i,0.0027016+0.0031865i,-0.0070991-0.0071309i,-0.00037137+0.0039665i,-0.0012505+0.0012353i,0.0013899-0.00073888i,0.0040297-0.0049723i,-0.0014269-0.0025067i,0.0014042-0.0010689i,-0.0062531+0.0058251i,-0.00024992-0.00033236i,-0.035824-0.012815i,-0.063869-0.028913i,-0.05628+0.026788i,-0.046706-0.0054935i,-0.069934+0.0071061i,-0.021958+0.0094391i,-0.027116+0.050262i,-0.020086+0.022866i,-0.036973-0.027905i,-0.053837-0.033995i,-0.025317+0.019223i,-0.0037632+2.192e-05i,0.013994+0.019589i,0.0090323-0.0010086i,-0.0046501+0.00044788i,-0.028133+0.012564i,0.0012005+0.0045034i,0.0015821+0.0080362i,0.0034549-0.0021974i,0.011064+0.0045474i,-0.0015855+0.0059616i,0.0016187-0.0010942i,0.0009647-0.0065423i,0.0030336+0.0012388i,0.001202+0.0020521i,-0.0078249+0.0063924i,-0.0027455-0.0017717i,0.0072831-0.0022985i,0.0068371+0.0073551i,0.0019512+0.00055976i,-0.011349-0.022511i,0.0094164-0.0078697i,0.0030134-0.0048865i,0.0049326+0.0016703i,0.001324-0.00042385i,0.0025147-0.010586i,0.0025259+0.0027403i,-0.0041133+0.0045808i,0.0022729+0.0041888i,0.0049579-0.0030795i,0.0026868-0.010214i,0.00021433-0.0025921i,0.0042145-0.006735i,0.0031624-0.0037168i,0.0013168-0.015234i,-0.06916+0.0018603i,-0.027211-0.0048794i,-0.0083879-0.0090171i,-0.0058666-0.00032043i,-0.0087791+0.025676i,-0.0094425+0.0054497i,-0.013034+0.0065465i
-0.022579+0.010768i,-0.027167+0.041508i,-0.014877+0.04461i,-0.0072383+0.020831i,0.0037543-0.00032352i,0.015326+0.022419i,-0.0051183+0.0319i,-0.024968+0.041438i,-0.011419+0.022753i,-0.0047331-0.0013738i,-0.0008567-0.0023404i,0.0011496+0.0054741i,0.0037634+0.00010238i,0.0042494+0.0054456i,0.0035176+0.00082692i,0.0020187+0.0086773i,0.0067383+0.01981i,0.0014623+0.0012287i,-0.0016951-0.0058079i,-0.0037947-0.0032199i,-0.0032362-0.0016232i,-0.00038639-0.0053587i,-0.0033174-0.0036231i,-0.0075141+0.0041868i,-0.0029321+0.0016322i,-0.00033958+0.0019385i,-0.0031744-0.0034904i,1.5011e-05-0.00014559i,-0.0016338+0.0017178i,-0.0016555-0.0003387i,0.0048238+0.0023308i,0.0010084-0.00080976i,-0.00027899-0.0010892i,-0.00013058-0.0001641i,0.0031865+0.0022463i,-0.0094837-0.0055988i,0.00062867+0.0036179i,-0.00053147+0.0016643i,0.00085204-0.0010429i,0.0022553-0.0046526i,-0.0016853-0.0020475i,0.00076135-0.002077i,-0.0055425+0.0059791i,-0.00034693+0.0018039i,-0.038361-0.0053709i,-0.059565-0.015885i,-0.052127+0.028716i,-0.048186+0.006143i,-0.065416+0.023274i,-0.023456+0.0074014i,-0.015647+0.045148i,-0.013266+0.01838i,-0.038899-0.023849i,-0.057937-0.027464i,-0.019879+0.022083i,-0.0046673+0.001589i,0.016942+0.0066181i,0.0086222-0.004503i,-0.0059895+0.0048019i,-0.021996+0.024183i,0.0027271+0.0045777i,0.005484+0.0051243i,0.0013518-0.00055458i,0.01183-0.0010997i,0.0013449+0.0074954i,0.0012486-7.3779e-05i,-0.0031072-0.0078979i,0.0013491+0.0041977i,0.0013909+0.0040799i,-0.0029673+0.009878i,-0.0016337+0.00048355i,0.0056249-0.0041473i,0.0088227+0.0025457i,0.0026125-0.00099136i,-0.018366-0.020805i,0.0050636-0.0095397i,0.00018156-0.0054979i,0.005427-0.00054171i,0.0010135+9.3659e-05i,0.0015105-0.008984i,0.0035791+0.00070068i,-0.0014739+0.0055839i,0.0039276+0.0014665i,0.0042969-0.0041142i,-0.003159-0.010265i,-0.00028059-0.003359i,-0.00017682-0.0052496i,0.0022458-0.0052499i,-0.0059113-0.013428i,-0.066491+0.008445i,-0.025142+0.0076865i,-0.012591-0.0091118i,-0.0073019-0.00011745i,-0.0050592+0.025759i,-0.0083259+0.010013i,-0.0085788+0.0090453i
-0.021564+0.012529i,-0.020975+0.046066i,-0.0098678+0.048224i,-0.0041719+0.018216i,9.6895e-05-0.0026812i,0.019087+0.019058i,0.00075588+0.03045i,-0.019423+0.044216i,-0.007724+0.023699i,-0.0060626+0.00044794i,-0.0016945-0.00028815i,0.0043335+0.0056302i,0.0032354+0.00017872i,0.0052389+0.0029081i,0.0033606+0.0002155i,0.0054628+0.0076289i,0.013788+0.014263i,0.0019282+0.00092823i,-0.0027789-0.0050882i,-0.0047239-0.0013291i,-0.0025254-0.00043537i,-0.0019903-0.0056502i,-0.0037223-0.0022229i,-0.0077073+0.0050048i,-0.0024587+0.002972i,-7.2349e-06+0.0023013i,-0.0012371+0.0015427i,-0.0011734-0.0012105i,-0.0012064+0.0014958i,-0.0016078-0.00016376i,0.0053025+0.00074532i,0.00081728-0.00081917i,-0.00033963-0.001571i,-0.00025835-5.0173e-06i,0.0038733+0.00024174i,-0.011433-0.0030316i,0.0016567+0.0033764i,0.00029995+0.0011924i,2.8018e-05-0.0013575i,0.00087552-0.0041219i,-0.0022788-0.0016698i,-3.0906e-06-0.0019858i,-0.0041489+0.00657i,0.00064509+0.0023701i,-0.038228+0.0011362i,-0.05668-0.010553i,-0.048202+0.033528i,-0.043626+0.016036i,-0.055946+0.036584i,-0.024412+0.010593i,-0.0077046+0.040771i,-0.010213+0.013105i,-0.040179-0.019866i,-0.060105-0.018574i,-0.014492+0.023742i,-0.0034789+0.0023934i,0.010637-0.0033378i,0.0053766-0.0086165i,-0.0043424+0.0078624i,-0.011392+0.028252i,0.0030331+0.0032406i,0.0074201+0.00084202i,0.0020662+0.00035787i,0.0098819-0.0041745i,0.0050773+0.0066775i,0.001412+0.001838i,-0.0074978-0.0026907i,0.003072+0.0059486i,0.0028394+0.0053101i,0.00081669+0.010855i,-0.00066114+0.00062852i,0.0040797-0.0054606i,0.0094604-0.0031206i,0.00053876-0.0016524i,-0.028572-0.013665i,0.0016461-0.0092777i,-0.001682-0.0038475i,0.0067025-0.00045916i,0.0010403-0.00036482i,0.0012339-0.0098255i,0.0029641-0.0010619i,0.0010258+0.0045751i,0.0035091+0.00055593i,0.0035872-0.0038883i,-0.0069303-0.0061812i,-0.0020999-0.0038965i,-0.0011801-0.0040034i,6.6911e-05-0.0062588i,-0.009779-0.0088928i,-0.062614+0.016316i,-0.02063+0.0087694i,-0.012828-0.0070701i,-0.0079534+0.0010538i,0.00010267+0.02348i,-0.0070257+0.011508i,-0.0062121+0.0077247i
-0.020197+0.014173i,-0.013098+0.04948i,-0.0018007+0.052054i,-0.0034507+0.015868i,-0.0037556-0.0022739i,0.021744+0.015084i,0.0060503+0.02806i,-0.012692+0.047129i,-0.0038345+0.023479i,-0.0062781+0.0019835i,-0.00088027+0.0014012i,0.007374+0.0027938i,0.0032277+0.00031316i,0.0047014+0.0015113i,0.0034616-4.0794e-05i,0.0079073+0.0047188i,0.016947+0.0075259i,0.0024825-0.00054362i,-0.0038649-0.0043606i,-0.0041893+0.00066046i,-0.0018396+0.00024722i,-0.0033191-0.0044213i,-0.0037513-0.0011668i,-0.0064485+0.0071111i,-0.001344+0.0042961i,0.00097157+0.0022912i,-0.00068688+0.0022477i,-0.0030034-0.00072239i,-0.0010157+0.0017038i,-0.0015216+0.00033486i,0.0049369-0.0013008i,0.00069326-0.0014217i,-0.00097713-0.0011189i,-0.00020098+0.00021227i,0.0029588-0.0013805i,-0.012231+0.00052813i,0.002564+0.0028875i,0.00058811+0.0010066i,-0.0012159-0.0012279i,0.00034752-0.0032794i,-0.0022003-0.0011098i,-0.00016702-0.0020051i,-0.0033895+0.0074711i,0.0014794+0.0024508i,-0.037585+0.0064289i,-0.05808-0.0055747i,-0.043302+0.037828i,-0.038865+0.023557i,-0.042499+0.044947i,-0.02487+0.013769i,0.00052386+0.036343i,-0.0089123+0.010421i,-0.041081-0.015527i,-0.060686-0.0084608i,-0.008893+0.026174i,-0.002423+0.0025907i,0.0039338-0.0042318i,0.00061928-0.010406i,-0.001005+0.010831i,8.916e-06+0.027893i,0.0024147+0.0020846i,0.0064621-0.0039631i,0.0017359+0.00044532i,0.0071824-0.0073461i,0.0090705+0.0040373i,0.0029574+0.0024014i,-0.0071166+0.0011209i,0.0054914+0.0066246i,0.0054463+0.0059547i,0.0071644+0.0088544i,-0.00011747+0.0009952i,0.0035437-0.0062078i,-0.00029852-0.0035954i,-0.00011617+0.00029489i,-0.032422-0.0015141i,-0.00031156-0.0085584i,-0.0022804-0.0020384i,0.0061601-0.0025013i,0.00094307-0.00032289i,-0.00065562-0.01169i,0.0017423-0.0018361i,0.0030735+0.0036306i,0.0038199-0.00067479i,0.004156-0.0045453i,-0.0084849-0.002819i,-0.0042527-0.0020604i,-0.0038747-0.002086i,-0.0020705-0.0067884i,-0.011088-0.0045899i,-0.058241+0.02222i,-0.019922+0.0099429i,-0.01257-0.0079981i,-0.0079999+0.0025035i,0.0015868+0.022397i,-0.0066086+0.01204i,-0.0049937+0.0067632i
-0.018463+0.016118i,-0.0037631+0.050923i,0.0090276+0.052332i,-0.003147+0.015277i,-0.0057611+0.00074457i,0.023867+0.011029i,0.010216+0.02424i,-0.0040089+0.0487i,-2.8497e-05+0.022824i,-0.0060609+0.0026791i,0.00042745+0.0014066i,0.007364-0.0012093i,0.0037928+2.0188e-05i,0.0045401+0.00061554i,0.0037102-0.00055889i,0.0079559+0.0012573i,0.01677+0.0011913i,0.00094393-0.0018111i,-0.0053435-0.0028579i,-0.0033426+0.0014415i,-0.00088544+0.00015887i,-0.0039393-0.0035362i,-0.0035783-0.00020324i,-0.0039359+0.0084002i,0.00060233+0.0045593i,0.0018136+0.0015857i,0.00024333+0.0025007i,-0.0034267+0.0010722i,-0.00054165+0.0016213i,-0.0011774+0.00068225i,0.0038071-0.0026685i,-1.2678e-05-0.0018067i,0.00011459+0.0010028i,-7.0845e-05+9.5703e-05i,0.0015825-0.0022506i,-0.011286+0.0045108i,0.0031595+0.001995i,0.00083972+0.00077051i,-0.0021582-0.00037943i,2.2165e-06-0.0027561i,-0.0024637-0.00071315i,-0.00026634-0.0021627i,-0.0019819+0.0080181i,0.0025646+0.0023815i,-0.036854+0.012304i,-0.061259+0.0034353i,-0.037035+0.041077i,-0.031094+0.029263i,-0.029932+0.049181i,-0.023894+0.020614i,0.0073686+0.028571i,-0.0046243+0.0080163i,-0.040905-0.010582i,-0.058303+0.0014569i,-0.002846+0.025851i,-0.002017+0.0021449i,-0.00033291-0.0038305i,-0.0051161-0.0098084i,0.0046744+0.010675i,0.0084159+0.023772i,0.00039371+0.00164i,0.003927-0.0076117i,0.0026893+0.0016988i,0.0028676-0.0090792i,0.010533-0.0015887i,0.0043551+0.0017271i,-0.0066883+0.0047747i,0.0096247+0.0061991i,0.0093662+0.0037368i,0.010756+0.0023893i,0.00092352+0.0014993i,0.0019238-0.0070147i,-0.0010886-0.0088151i,0.0013467+0.0019254i,-0.029108+0.0089386i,-0.0025303-0.0084324i,-0.0017826-0.00028807i,0.0052314-0.004584i,0.001361+9.2289e-05i,-0.0054781-0.012264i,0.00088341-0.0015213i,0.0041921+0.0016402i,0.0036969-0.0015227i,0.0031741-0.0059017i,-0.0084832+0.001682i,-0.0042829+0.0011039i,-0.0045989-0.0003892i,-0.0048785-0.0068138i,-0.01076-0.00078467i,-0.05461+0.028506i,-0.019363+0.015284i,-0.015291-0.010412i,-0.0048253+0.0035489i,0.0046131+0.022103i,-0.0064583+0.014786i,-0.0034507+0.0050392i
-0.016245+0.017476i,0.0051654+0.049534i,0.018391+0.048414i,-0.0021423+0.016368i,-0.0050779+0.0041134i,0.025776+0.0063879i,0.012881+0.020077i,0.0046011+0.047408i,0.0032827+0.021576i,-0.0055218+0.0042825i,0.00065111+0.001154i,0.005108-0.003683i,0.0039299-0.0011571i,0.0040585-0.00023816i,0.0035854-0.001308i,0.0062412-0.00062918i,0.015001-0.0029408i,-0.00025215-0.0013503i,-0.0054165-0.00087692i,-0.0024973+0.002424i,-0.00026174-0.00032643i,-0.0045251-0.002703i,-0.0030095+0.00052322i,-0.00052649+0.0092428i,0.0023438+0.0037559i,0.0019821+0.00093132i,0.0012213+0.0021118i,-0.0024434+0.0027153i,-0.00014947+0.0013783i,-0.0010515+0.0010275i,0.0021983-0.0034229i,-0.000754-0.0016544i,-0.00046952-0.0012745i,-0.00022694+1.0488e-05i,0.00029161-0.0024646i,-0.0091114+0.0075572i,0.0032926+0.00066239i,0.0010129+0.00045975i,-0.0021108+0.0010387i,-0.00022107-0.0027307i,-0.002547-7.0571e-07i,-0.00047233-0.0025798i,-0.00028354+0.0086317i,0.0035303+0.0017253i,-0.034028+0.01831i,-0.060652+0.016131i,-0.032851+0.043077i,-0.023759+0.031676i,-0.01661+0.051454i,-0.01767+0.028323i,0.0094984+0.020519i,-0.0022864+0.001393i,-0.038349-0.0065004i,-0.052784+0.012091i,0.0037435+0.02526i,-0.0021155+0.0026483i,-0.004431-0.0012793i,-0.0089443-0.006692i,0.0086425+0.0068847i,0.010792+0.017014i,-0.0024027+0.0032578i,-2.8965e-05-0.010662i,0.0045009+0.0006592i,-0.0017794-0.0080367i,0.0079163-0.0055584i,0.0057841-0.00025053i,-0.0047787+0.0074432i,0.013184+0.001121i,0.0108-0.0017804i,0.010824-0.0042492i,0.002591+0.00093781i,-0.00053068-0.007206i,-0.0045142-0.0055065i,0.003519+0.00070749i,-0.026168+0.019194i,-0.0048434-0.007216i,-0.00045452+0.00082694i,0.0022543-0.0070828i,0.0020759-8.8049e-05i,-0.010757-0.0095738i,0.0010023-0.00096295i,0.004622-0.00093999i,0.0028286-0.0026098i,0.0015357-0.0065031i,-0.0059622+0.0056375i,-0.002706+0.0027496i,-0.0046063+0.003238i,-0.0083458-0.0054943i,-0.0094705+0.0017816i,-0.048733+0.035831i,-0.011528+0.019959i,-0.020287-0.0096517i,-0.0027294+0.0017469i,0.0071171+0.020791i,-0.0038974+0.017861i,-0.0028247+0.0019461i
