-0.022161-0.038256i,-0.010187-0.05037i,-0.017548-0.045306i,-0.03051-0.03556i,-0.029802-0.016977i,-0.050751-0.028477i,-0.057663-0.026517i,-0.043783-0.038183i,-0.029286-0.027977i,0.0073148+0.011513i,-0.006657+0.016292i,-0.0050022+0.014519i,0.010424+0.020423i,0.00021584+0.0045974i,0.0032999+0.0034802i,0.006953+0.018264i,0.016174+0.038031i,-0.0027451-0.0016851i,-0.0052298-0.0062155i,0.0054525+0.0023957i,-0.00034063-0.00086441i,-0.0019944+0.0021447i,0.00013053-0.000354i,-0.029034-0.001534i,-0.0023002-0.005938i,0.0014007+0.0046232i,0.002775-8.6959e-05i,-0.00019704+0.00098626i,0.00067158-0.00034124i,-0.00091149-0.0027446i,-0.0015259-0.0058899i,-0.0045206-0.0046499i,-0.0029113-0.0044347i,0.0026123-0.00046975i,0.0019389-0.002767i,-0.001642+0.02815i,0.00095682-0.0034101i,0.0029767+0.00093409i,0.0056421+0.0011163i,-0.0084662-0.00039571i,-0.003951+0.00012641i,0.0046159-3.7716e-05i,0.006814+0.00014513i,-0.0036676+0.0049941i,0.0024656-0.0097577i,-0.011865+0.017562i,0.035285-0.090475i,0.01305-0.070695i,-0.015214-0.059448i,-0.015969-0.056253i,0.038744-0.046456i,0.017262-0.062502i,0.033475-0.056756i,0.031105-0.059909i,0.014537-0.013024i,0.0036264+0.017057i,0.017415-0.025309i,-0.010776+0.0059598i,-0.00061995+0.005712i,-0.005216-0.0010593i,-0.0027532-0.028665i,-0.025147+0.032119i,0.010282-0.011494i,-0.013039-0.0023281i,-0.00019984-0.00501i,-0.0010379-0.01614i,-0.0080548+0.0045755i,0.0054676+0.0061267i,-0.0088158+0.030245i,0.0053602+0.0058601i,-0.0050695-0.00088027i,-0.0029937-0.00030558i,-0.011589-0.0077439i,-0.00079047-0.0044183i,-0.031012-0.017616i,0.00011322-0.0099073i,-0.009289-0.0021309i,-0.0065056-0.0023925i,0.0068165+0.0030704i,-0.007782+0.0013452i,0.0003148+0.0004158i,0.0070478+0.010738i,0.0040334+0.0015175i,-0.0086578-0.0095069i,0.0032326+0.0083523i,-0.020914+0.0038307i,0.0086495+0.00051147i,-0.029489-0.004i,-0.04339+0.0027268i,0.021687-0.098299i,-0.0023637-0.012008i,-0.052561-0.021585i,-0.023537+0.00072121i,0.018079+0.010954i,-0.025068+0.01317i,-0.018029-0.014285i
-0.033462+0.018053i,-0.052191+0.019914i,-0.032481+0.04572i,-0.030991+0.024673i,-0.027954+0.039607i,0.0048891+0.046588i,-0.003024+0.023506i,-0.016566+0.038635i,-0.012895+0.021186i,-0.0037356-0.0041189i,-0.0037829-0.0033192i,-0.0016351-0.0032123i,-0.0038399-0.00084055i,-0.0066173-0.0044921i,-0.0018617+0.0040385i,-0.003208-0.0018048i,-0.010483-0.008232i,-0.0017753-0.00082774i,0.0031414-0.0012105i,0.0019953-0.00079637i,0.0024795-0.0036549i,0.0027575-0.0038635i,0.0014556-0.0025833i,-0.0086686-0.0082368i,-0.0017738+0.0011378i,-0.0037151+0.0010883i,-0.0018403-0.00023234i,-0.0037568-0.0012783i,-0.00099129-0.0013487i,0.0012959-0.0017825i,-0.003042+0.007088i,0.0017363-5.4107e-05i,0.0024474-0.00017607i,0.0010368+0.0015517i,-0.0015539+0.0030467i,-0.0010005-0.0062106i,-0.0031987-0.00015238i,0.00020148-0.0003273i,-0.0010947+0.0041437i,0.0057595+0.0042386i,0.001336-0.0028938i,0.00086559-0.004582i,-0.0022544+0.0019363i,-0.00028936+0.0035234i,-0.032155-0.0042025i,0.010196-0.077972i,-0.093325-0.030391i,-0.052074-0.036479i,-0.075102-0.050464i,-0.058397-0.0057253i,-0.093628+0.018604i,-0.058992+0.011391i,-0.04838-0.025201i,-0.032744-0.057649i,-0.023879-0.025977i,0.0026975+0.0055698i,-0.018573+0.010404i,0.0094182+0.0033394i,0.010719+0.0045309i,0.0005651-0.0073597i,0.0078443+0.00070558i,-0.0076681-0.004395i,0.002918+0.014365i,-0.00067335+0.0089829i,0.00070555+0.0015361i,0.0062631+0.005147i,0.001721-0.00078598i,-0.0010093+0.014033i,0.0016959+0.012183i,0.0029967-0.005063i,0.010191-0.0070977i,0.002239+0.0024815i,-0.0067659-0.006382i,-0.0022808-0.0028645i,0.014223-0.028051i,0.006063+0.0042654i,0.0029529+0.0042584i,-0.0033508+0.0025952i,0.0019488-0.0038458i,0.020097+0.00094008i,0.0022701-0.0026767i,-0.0010691-0.009533i,0.00071703-0.0023686i,0.014343+0.0024725i,0.0046613+2.6535e-05i,0.0044629-0.0063064i,0.0029969+0.0085962i,0.0047778-0.00075069i,0.025681+0.0045577i,-0.082496-0.037812i,-0.0038829+0.019535i,0.0071953-0.0031612i,-0.0017304+0.0030906i,-0.034089+0.012812i,-0.0073623+0.0068086i,-0.017179+0.012764i
-0.028973+0.022655i,-0.048295+0.024773i,-0.021314+0.044323i,-0.026842+0.028544i,-0.021374+0.040905i,0.013662+0.044121i,1.0078e-05+0.023175i,-0.0091234+0.039651i,-0.0086043+0.018496i,-0.0050792-0.0019686i,-0.0042254-0.00099995i,-0.0025215-0.0035058i,-0.0046611-0.00029793i,-0.0069282-0.0017792i,-0.00060616+0.0048536i,-0.0057985+0.00051722i,-0.015064-0.0019582i,-0.0015485+0.00026754i,0.0036596-0.0020051i,0.0019643-0.0017236i,0.0012518-0.0040228i,0.0019423-0.0041571i,0.00098717-0.0026227i,-0.010097-0.0049922i,-0.00093977+0.0012852i,-0.0034065+0.002222i,-0.0014154+0.00041762i,-0.0036334+0.00013891i,-0.0014429-0.0011994i,0.00076026-0.0018513i,2.3661e-05+0.0083438i,0.0012326-0.0004805i,0.0020719-0.00099722i,0.00082898+0.0013318i,-0.0012741+0.0025676i,-0.0014945-0.0059251i,-0.00079423+0.00032373i,-0.00078075-0.00043985i,-0.00050075+0.004944i,0.0060805+0.0011071i,0.00036442-0.0031247i,-0.0015503-0.0050691i,-0.0022483+0.0025007i,0.00062565+0.0037194i,-0.032267-0.0035145i,-0.013516-0.088641i,-0.090349-0.011761i,-0.061263-0.034806i,-0.087533-0.039225i,-0.057443+0.0044359i,-0.08389+0.036339i,-0.055215+0.023484i,-0.041052-0.024506i,-0.039879-0.052689i,-0.031403-0.017702i,0.0043897+0.0022237i,-0.012384+0.019313i,0.0092367-0.00040226i,0.01186-0.0018263i,-0.0047593-0.012054i,0.0033527+0.00019914i,-0.0085761+0.0010971i,0.0088784+0.012201i,0.00052621+0.0099614i,0.00086339+0.0012493i,0.0081656+0.0027273i,0.0024062+0.00052265i,0.0049569+0.010779i,0.0072949+0.0063864i,-0.0022915-0.0067752i,0.0033907-0.0078131i,0.0032403+0.0028743i,-0.0096242+0.00090044i,-0.0026949-0.00021914i,0.0028474-0.028422i,0.0073383+0.0032146i,0.0063973+0.0031143i,-0.00047647+0.0021024i,-0.00077065-0.0015343i,0.017375-0.007326i,0.00037154-0.0032394i,-0.0059468-0.0079911i,-0.0024906-0.0016646i,0.012863-0.0021423i,0.0039404+0.00075853i,0.0018891-0.0047688i,0.0057178+0.0073476i,0.0035416-0.0013693i,0.02469-0.0039807i,-0.087079-0.027022i,0.0031477+0.0089012i,0.0061472-0.005848i,-0.00060482+0.00095817i,-0.028376+0.022094i,-0.0052452+0.0075004i,-0.013717+0.015339i
-0.023204+0.025431i,-0.045093+0.029555i,-0.014418+0.040663i,-0.022357+0.030633i,-0.013939+0.042754i,0.021506+0.03926i,0.0035772+0.022831i,-0.0017621+0.03905i,-0.0076943+0.016542i,-0.0051637+0.00046056i,-0.0033205+0.0008556i,-0.005664-0.0033041i,-0.0050376+0.0017875i,-0.0070272+0.00030014i,0.0011247+0.0053742i,-0.0064157+0.0042856i,-0.014705+0.0062142i,-0.00019932+0.0011319i,0.0036255-0.0038898i,0.0017277-0.0029063i,-2.9004e-05-0.0043296i,0.00077984-0.0049449i,0.00061982-0.0028829i,-0.01092-0.0021459i,-0.00064515+0.0014406i,-0.0025081+0.0035764i,-0.00099285+0.00036853i,-0.0027554+0.0016432i,-0.0018748-0.00086468i,-0.00029874-0.0025665i,0.0034267+0.0072335i,0.00087215-0.00059189i,0.0015186-0.0014394i,0.001384+0.00092723i,-0.00038288+0.0033848i,-0.001821-0.0054833i,-0.00094074+0.00020492i,-0.0012118-8.4437e-05i,0.0034034+0.003913i,0.0051513-0.00080279i,-0.00067342-0.0025896i,-0.0011057-0.0037127i,-0.0020094+0.0034667i,0.0015992+0.0023831i,-0.034061-0.00089277i,-0.042537-0.087183i,-0.080575+0.0019505i,-0.071259-0.027306i,-0.09488-0.024037i,-0.052882+0.013027i,-0.068576+0.048264i,-0.040909+0.033886i,-0.044703-0.026023i,-0.046543-0.048265i,-0.033478-0.0072649i,0.0043446-0.0011999i,-0.0029172+0.021797i,0.0082904-0.0032418i,0.0079997-0.0072561i,-0.014664-0.010547i,0.0023409-0.00042184i,-0.0049917+0.0058427i,0.011382+0.0065255i,0.003723+0.013097i,0.00010675+0.0016809i,0.0082384-0.00078469i,0.0042092-0.00121i,0.006925+0.0063118i,0.0055295+0.0016791i,-0.0073645-0.0028937i,0.00086366-0.0061637i,0.0052556+0.0017038i,-0.0044555+0.0091393i,-0.00097832+0.0013676i,-0.0045915-0.026943i,0.0092737-6.4261e-06i,0.0069523-0.00036305i,0.0014446+0.0026578i,0.00047618+0.00036882i,0.011507-0.011929i,-0.0023166-0.00052334i,-0.0084845-0.004396i,-0.0031294+0.0017741i,0.0081057-0.0049606i,0.0075169-0.0008378i,0.0022143-0.0045487i,0.0096898+0.004556i,0.0045-0.0030857i,0.021213-0.01089i,-0.090508-0.01267i,-0.00015354-0.0014719i,0.0050797-0.0079247i,-0.00022782-0.0015231i,-0.019837+0.025495i,-0.0052748+0.0034274i,-0.0038053+0.012181i
-0.01747+0.025688i,-0.040979+0.035242i,-0.010767+0.037058i,-0.0177+0.033767i,-0.005552+0.04174i,0.027832+0.033019i,0.0078301+0.021947i,0.0050808+0.037063i,-0.0075254+0.016581i,-0.0041711+0.002301i,-0.0026036+0.0011419i,-0.0078269+0.00037664i,-0.0044599+0.0034013i,-0.0071571+0.0029145i,0.0028498+0.0048521i,-0.0046043+0.0080984i,-0.0098625+0.01263i,0.00096203+0.000373i,0.0017908-0.0051462i,0.00016234-0.004075i,-0.0015663-0.0041241i,-0.00062033-0.0049171i,-2.9461e-05-0.0034159i,-0.010654+0.0012544i,5.7315e-05+0.0010217i,-0.00018812+0.0033895i,-0.0010389+0.00022324i,-0.0014446+0.0019503i,-0.0021304+9.7594e-05i,-0.0017716-0.0020478i,0.0061577+0.0059184i,0.00039465-0.00048173i,0.00072146-0.0017749i,0.0015651+0.00028029i,0.0014077+0.0031448i,-0.0030559-0.0069352i,-0.00088581+0.00079067i,-0.0014267+0.00047462i,0.0043229+0.00033131i,0.0040811-0.0015561i,-0.00093447-0.0020928i,0.0005083-0.0029375i,-0.010049+0.0040335i,-0.00053697-0.00046397i,-0.035357+0.0036202i,-0.066689-0.071092i,-0.070508+0.0076409i,-0.079134-0.015307i,-0.099277-0.0076925i,-0.046803+0.018554i,-0.054368+0.053749i,-0.02639+0.033377i,-0.04809-0.020439i,-0.053056-0.041295i,-0.031022+0.0019499i,0.0024548-0.0037388i,0.0058454+0.020342i,0.0067532-0.0058371i,0.0023508-0.0087587i,-0.023545+0.0040167i,-0.00029599+0.00072862i,-0.0010832+0.0054868i,0.010601+0.0011498i,0.0094872+0.012402i,0.00061866+0.0027857i,0.0051102-0.0021325i,0.0039877-0.0048909i,0.005579+0.0016887i,0.0027276+0.00062354i,-0.0073236+0.0011894i,-0.0013546-0.0049643i,0.0057746-0.00050533i,0.0053853+0.0080685i,7.5881e-05+0.00085867i,-0.0063107-0.023064i,0.0082401-0.0030576i,0.0063147-0.0031811i,0.0021715+0.0025333i,0.0013572+0.00024923i,0.0060081-0.012318i,-0.00011614+0.0015866i,-0.0092949+0.00062328i,-0.0009933+0.0035915i,0.0047251-0.0043189i,0.0066788-0.0050368i,0.00027931-0.0047098i,0.0099718-0.0013335i,0.0026615-0.0059268i,0.016531-0.016825i,-0.087474+0.0031922i,-0.0073297-0.0045454i,0.003959-0.013044i,-0.0010887-0.0040784i,-0.011457+0.025828i,-0.0090359+0.0029954i,-0.0082775+0.012419i
-0.013442+0.025361i,-0.036353+0.040234i,-0.0093701+0.035677i,-0.011532+0.035809i,0.0013808+0.038827i,0.032042+0.025987i,0.01237+0.019649i,0.0112+0.033788i,-0.0058179+0.017948i,-0.0027064+0.003672i,-0.0028346+0.0020026i,-0.0072094+0.0040945i,-0.0035288+0.0048206i,-0.0055193+0.0057503i,0.0042996+0.0038531i,-0.0011236+0.010136i,-0.003632+0.015606i,0.0009979-0.00035803i,0.00041392-0.0048432i,-0.001851-0.0038545i,-0.0029512-0.0032798i,-0.002155-0.0044114i,-0.0013268-0.0034424i,-0.0085451+0.0035255i,-0.00049887+0.00044288i,0.00017827+0.0017024i,-0.0012272+0.00032986i,-0.0006709+0.0018982i,-0.0016783+0.0010169i,-0.0019542-0.00070898i,0.0073404+0.0023873i,0.00031351-0.00060448i,-0.00012721-0.0014695i,0.0013353-0.00033027i,0.0019696+0.0018976i,-0.0052032-0.0068566i,-0.00058872+0.0012701i,-0.0013753+0.0017239i,0.0011504-0.0022139i,0.0031552-0.0017619i,-0.0012752-0.0018806i,0.00018282-0.0027795i,-0.0025207+0.0048747i,-0.0038138+0.0013064i,-0.03503+0.0095071i,-0.076606-0.04765i,-0.064582+0.0088507i,-0.083646-0.00092244i,-0.10048+0.010901i,-0.042313+0.021303i,-0.040812+0.056594i,-0.016877+0.030131i,-0.049177-0.015035i,-0.056878-0.034011i,-0.02722+0.0094676i,0.00015182-0.0051324i,0.014581+0.015019i,0.0046136-0.007444i,-0.0026379-0.0072374i,-0.020563+0.010959i,-0.00022027+0.0029518i,0.0014798+0.0062232i,0.0069484-0.0011526i,0.01337+0.0089184i,0.0017727+0.0031384i,0.0029267-0.0015119i,0.0013398-0.0069673i,0.003294+0.0019225i,0.00054791+0.001864i,-0.0059794+0.0050273i,-0.0029881-0.0024312i,0.005129-0.0025209i,0.0067124+0.0025882i,0.00057802+0.00068728i,-0.0078573-0.018125i,0.0061904-0.0055807i,0.0043117-0.0050728i,0.0044578+0.0019353i,0.0018047-8.5177e-05i,0.0029342-0.011258i,0.0016159+0.0013078i,-0.0068006+0.0056007i,0.0016269+0.0033011i,0.0040108-0.0034792i,0.0029631-0.0094323i,0.00015818-0.0039232i,0.0063231-0.0046679i,-0.0011005-0.0067988i,0.0087932-0.022274i,-0.080711+0.01309i,-0.014889-0.00078118i,-0.00061814-0.016125i,-0.0025042-0.006505i,-0.0075674+0.024403i,-0.012278+0.0061542i,-0.0065944+0.013281i
-0.010272+0.025085i,-0.030719+0.045582i,-0.0079083+0.036924i,-0.0051962+0.035589i,0.0058096+0.034727i,0.035042+0.019099i,0.016559+0.01579i,0.015992+0.030107i,-0.0033076+0.01811i,-0.0014601+0.003613i,-0.003051+0.0034669i,-0.0052032+0.0067978i,-0.0020722+0.0063232i,-0.0030357+0.0067903i,0.0050406+0.0023382i,0.002611+0.010415i,0.0035022+0.015293i,0.0010587-0.00050937i,-0.001021-0.004995i,-0.0031376-0.0027845i,-0.0032847-0.0017171i,-0.0030976-0.003447i,-0.0022252-0.0026921i,-0.0071733+0.0040127i,-0.00066278+0.0010144i,-0.0002319+0.0015781i,-0.0015737+0.0007675i,-3.2144e-06+0.0014288i,-0.0010115+0.0013231i,-0.0016318+8.9519e-05i,0.007242-4.367e-05i,4.9605e-05-0.00068996i,-0.00049851-0.0010707i,0.00091342-0.00091549i,0.0019589+0.0014291i,-0.0075184-0.00575i,-0.00038719+0.0012496i,-6.9773e-05+0.0023727i,5.3698e-05-0.0013696i,0.0025763-0.001628i,-0.0017607-0.0013004i,-0.0011563-0.003013i,0.00013634+0.0051575i,-0.0044996+0.0050991i,-0.033213+0.01546i,-0.07434-0.029845i,-0.062465+0.011102i,-0.083392+0.016318i,-0.095094+0.032018i,-0.040615+0.024063i,-0.02907+0.05578i,-0.0093529+0.02592i,-0.048375-0.0089535i,-0.061387-0.026814i,-0.022889+0.014278i,-0.0034783-0.0050836i,0.018058+0.0025469i,0.002562-0.0093326i,-0.0058757-0.0035735i,-0.014116+0.018505i,0.0010918+0.0034777i,0.0054041+0.0046244i,0.0054178-0.00030039i,0.017457+0.0014726i,0.0025741+0.0033258i,0.0023472-0.00090532i,-0.0025871-0.0084265i,0.0021552+0.0031874i,0.00081225+0.0039051i,-0.0013657+0.0078773i,-0.0019574-0.00015924i,0.0037842-0.0035274i,0.0075509-0.00056282i,0.0013809-0.00017166i,-0.012065-0.017314i,0.0035081-0.0066145i,0.0016414-0.0060395i,0.0036957-0.00069457i,0.0018356+0.00018295i,0.001583-0.0099194i,0.0022697-1.0763e-05i,-0.0025802+0.0081381i,0.0023964+0.0015216i,0.0028729-0.0041293i,-0.0027159-0.0093199i,-0.00087567-0.0050637i,0.0033952-0.0051704i,-0.003101-0.0065003i,-0.0013367-0.022462i,-0.076648+0.021276i,-0.01307+0.0088281i,-0.0056797-0.01619i,-0.00577-0.0074465i,-0.0050087+0.024209i,-0.011117+0.010989i,-0.0023399+0.012832i
-0.0070525+0.025353i,-0.023697+0.050221i,-0.0039857+0.039412i,-0.00021882+0.034134i,0.0081513+0.032087i,0.036884+0.011855i,0.019371+0.011163i,0.019906+0.026077i,-0.00095031+0.018629i,-0.00073017+0.0038612i,-0.0019528+0.005717i,-0.0021447+0.0086086i,5.7345e-05+0.007011i,-0.00080328+0.0067045i,0.0050935+0.00089849i,0.0061191+0.0093619i,0.008882+0.012284i,0.0010917-0.00071582i,-0.0026452-0.00439i,-0.0037152-0.0011088i,-0.0030539-0.00058656i,-0.0038743-0.0024591i,-0.0027623-0.0018367i,-0.0068552+0.005572i,-0.00057941+0.0012549i,-8.7247e-05+0.0021228i,-0.0014327+0.0017146i,-6.4055e-05+0.00088589i,-0.00055696+0.0011155i,-0.001267+0.0004553i,0.0085782-0.0040588i,5.4664e-05-0.00028921i,-0.00058592-0.00090513i,0.00055712-0.0012273i,0.0023716+0.00048498i,-0.009489-0.0037353i,-1.2966e-05+0.0014553i,0.00076228+0.0018436i,-0.00071029-0.0012675i,0.0023872-0.0016949i,-0.0017423-0.00050943i,-0.0018037-0.0021459i,0.0016905+0.0040022i,-0.0028698+0.007287i,-0.029128+0.020094i,-0.07295-0.022717i,-0.061584+0.015717i,-0.076661+0.031652i,-0.083356+0.049591i,-0.037998+0.029764i,-0.019638+0.054831i,-0.0051354+0.020814i,-0.046881-0.0042227i,-0.064573-0.017447i,-0.019987+0.017494i,-0.0045975-0.0045541i,0.01155-0.0081825i,-0.00066406-0.01094i,-0.0065261-0.00014524i,-0.0054385+0.020358i,0.0015166+0.003002i,0.0072122+0.00038963i,0.0062018-0.00085168i,0.015942-0.0050805i,0.0049591+0.002943i,0.0024385+0.00053717i,-0.0072398-0.004133i,0.0032512+0.0044079i,0.002371+0.0053777i,0.0031065+0.0073541i,-0.0013054+0.00012435i,0.0024806-0.0039885i,0.0080621-0.006843i,0.00019241-0.00077311i,-0.019726-0.010923i,0.0013375-0.0065267i,-0.00095627-0.0045444i,0.0039779+5.4743e-05i,0.0019221-0.00038062i,0.00083851-0.010798i,0.0019546-0.0012082i,0.0013203+0.0067143i,0.0025874+0.0014722i,0.0023141-0.0034074i,-0.0055081-0.0054789i,-0.0040408-0.0047754i,0.00047909-0.0053342i,-0.0052817-0.0057307i,-0.0083387-0.018589i,-0.070756+0.030114i,-0.0076464+0.0073965i,-0.0067236-0.01549i,-0.0077792-0.0066696i,-0.00080383+0.022612i,-0.010209+0.012966i,-0.00097683+0.010103i
-0.0036191+0.025276i,-0.015528+0.05375i,0.0019274+0.041837i,0.0040234+0.033111i,0.010464+0.030673i,0.037293+0.0048651i,0.021032+0.0061644i,0.023439+0.02197i,0.0021244+0.018595i,0.00016465+0.0040902i,0.00081067+0.0068467i,0.0014284+0.0085675i,0.0022493+0.006764i,0.00060262+0.00654i,0.0050381-0.00023242i,0.0088593+0.0067196i,0.011991+0.0079296i,0.0012117-0.0016428i,-0.00383-0.0033421i,-0.0032795+0.00066795i,-0.0025298+0.00025008i,-0.0042364-0.00085174i,-0.0030199-0.00098393i,-0.0046941+0.0075967i,-0.00019672+0.0017609i,0.00085188+0.0023592i,-0.00048846+0.0021416i,-0.0005304+0.00098458i,-0.00032046+0.0011439i,-0.00088571+0.00077609i,0.0032532-0.0057365i,0.00037885-0.00067234i,-0.0010332-0.00083166i,-0.00013581-0.0013076i,0.0020122-0.00055571i,-0.01039-0.00070088i,0.00044066+0.0014379i,0.0011749+0.0015401i,-0.0016958-0.00069094i,0.0024099-0.0017665i,-0.0013561-0.00015914i,-0.0018716-0.0014314i,0.0024204+0.0028629i,-0.0006072+0.0091117i,-0.025493+0.022298i,-0.077597-0.016943i,-0.060249+0.022118i,-0.068082+0.0433i,-0.067804+0.060816i,-0.033864+0.034692i,-0.010423+0.052683i,-0.0023762+0.017683i,-0.045324+0.00011891i,-0.065083-0.0069982i,-0.015481+0.021357i,-0.005937-0.0034549i,0.0033819-0.0098637i,-0.0048061-0.011043i,-0.0052151+0.0037459i,0.0014964+0.018765i,0.00099586+0.0025066i,0.0063166-0.0044516i,0.0054485-0.0021433i,0.011516-0.011047i,0.0064825+0.00074641i,0.003582+0.0008143i,-0.0077489-0.00046935i,0.0050649+0.0050789i,0.0050578+0.0057658i,0.0068006+0.005065i,-0.00099888+0.0010446i,0.0020423-0.0040902i,0.0064076-0.0058212i,-0.00024204+0.00071224i,-0.02178-0.0017286i,-0.00032579-0.00617i,-0.001866-0.0025235i,0.0047983-0.0006227i,0.0018169-0.00082666i,-0.0016343-0.012573i,0.00091227-0.0017579i,0.0041884+0.0059786i,0.0034585+0.00056147i,0.0033075-0.0034889i,-0.0074136-0.0029245i,-0.0066375-0.0014892i,-0.0028836-0.004039i,-0.0066714-0.004398i,-0.012696-0.013997i,-0.064167+0.036703i,-0.0074478+0.0057934i,-0.0079501-0.018248i,-0.0089519-0.0054042i,-5.9716e-05+0.021633i,-0.0094119+0.015037i,8.1872e-05+0.0083885i
0.00018954+0.025086i,-0.0058771+0.055705i,0.0098508+0.042303i,0.0084872+0.031999i,0.013899+0.030416i,0.036678-0.0017119i,0.021392+0.00065319i,0.026619+0.0171i,0.0055816+0.01768i,0.0010144+0.0039413i,0.003278+0.0054923i,0.0038687+0.0064795i,0.0041537+0.0060801i,0.0024464+0.0062362i,0.0047301-0.0014666i,0.0097082+0.00334i,0.013462+0.0035179i,-8.7025e-05-0.0024647i,-0.0049304-0.0017143i,-0.0019063+0.0015686i,-0.0016709+0.00048652i,-0.0036467+0.00037581i,-0.0030557+1.5954e-06i,-0.0017492+0.0082477i,0.00043805+0.0017318i,0.0017405+0.0018745i,0.00038111+0.0020777i,-0.00027969+0.0015557i,3.9423e-05+0.0010316i,-0.00049749+0.00077659i,0.00093578-0.0054825i,-0.00011655-0.0011321i,-0.001401-0.00028895i,-0.00071239-0.0011094i,0.0013442-0.0012682i,-0.0098514+0.0024709i,0.00075101+0.0011949i,0.0015827+0.0010454i,-0.0022862+0.00017021i,0.0021996-0.002492i,-0.001268-6.4228e-05i,-0.0017119-0.0011385i,0.0024458+0.0018262i,0.0025329+0.01003i,-0.022343+0.025155i,-0.085994-0.004215i,-0.055876+0.02811i,-0.056683+0.051492i,-0.052555+0.06848i,-0.028834+0.040886i,-0.0010842+0.048618i,0.0028272+0.014049i,-0.04336+0.0050565i,-0.062445+0.004098i,-0.010587+0.02394i,-0.0077576-0.0025074i,-0.0028019-0.0089927i,-0.0091848-0.0094026i,-0.0013331+0.0052085i,0.005226+0.014175i,-0.00023803+0.0027327i,0.0038937-0.0079769i,0.0056036-0.0019138i,0.0047788-0.0137i,0.0066358-0.0025117i,0.0047753-2.3008e-05i,-0.0079022+0.0038896i,0.0081125+0.0044078i,0.0082485+0.0037614i,0.0092628+0.00042898i,0.00028413+0.0016857i,0.0011738-0.0043678i,-0.00038079-0.0077596i,0.001165+0.0021193i,-0.021969+0.0079468i,-0.0019526-0.0057282i,-0.0014785-0.00056244i,0.0056995-0.0035957i,0.0017827-0.00081347i,-0.0067151-0.012422i,1.7755e-05-0.0013009i,0.006249+0.0031407i,0.0034211-3.9604e-05i,0.0029287-0.0044383i,-0.007318+0.0017445i,-0.0065936+0.0025867i,-0.0047743-0.0017815i,-0.0081954-0.0031572i,-0.014799-0.0090658i,-0.058842+0.042951i,-0.0082177+0.0082216i,-0.012708-0.021693i,-0.0078287-0.0046928i,0.0026341+0.021779i,-0.0083652+0.018717i,0.0017923+0.0061513i
0.0041918+0.023843i,0.0037806+0.055301i,0.017662+0.039596i,0.012998+0.029997i,0.018693+0.029372i,0.035347-0.0078263i,0.020128-0.0045171i,0.028594+0.01166i,0.0085701+0.015995i,0.0016266+0.0038984i,0.0042612+0.0039588i,0.0044743+0.0045445i,0.005716+0.0046742i,0.0039683+0.005004i,0.0040224-0.0025537i,0.0091679+0.00062304i,0.01304-0.0012427i,-0.0011166-0.0020232i,-0.0048993+5.2552e-05i,-0.00068911+0.0015576i,-0.00092877+0.00022357i,-0.0029348+0.00090331i,-0.0025356+0.00082726i,0.00076698+0.0081942i,0.0010311+0.0013493i,0.0021654+0.0012723i,0.0011955+0.0017281i,0.00050957+0.0016504i,0.00038096+0.00082223i,-0.00047651+0.00088925i,-0.0010706-0.0046805i,-0.00085932-0.0009409i,-0.0014048+0.00032598i,-0.0011449-0.00065058i,0.00073376-0.0014663i,-0.0087365+0.0049905i,0.0010239+0.00079294i,0.0018753+0.0002235i,-0.0020395+0.0011856i,0.0016846-0.0035757i,-0.0012721+5.3476e-05i,-0.0018516-0.0011765i,0.0023449+0.0012163i,0.006028+0.009124i,-0.018495+0.027576i,-0.088003+0.015589i,-0.053075+0.032216i,-0.046286+0.056006i,-0.035354+0.073303i,-0.020587+0.046884i,0.0062639+0.041366i,0.0053353+0.0064331i,-0.039098+0.0088493i,-0.056726+0.014706i,-0.0039104+0.025077i,-0.0091548+0.00023704i,-0.0080071-0.0058985i,-0.01229-0.0058731i,0.0016615+0.0035417i,0.0058485+0.011154i,-0.0019131+0.004388i,0.00023007-0.011196i,0.0060853-0.0036856i,-0.00143-0.012245i,0.0044737-0.0051564i,0.0053388-0.0023497i,-0.0061158+0.0072689i,0.010391+0.00060893i,0.0094391-0.0012156i,0.0079151-0.0048674i,0.0022236+0.0012408i,3.7273e-06-0.004568i,-0.004128-0.0047435i,0.0031139+0.0011151i,-0.018771+0.0029034i,-0.0043522-0.0050836i,-2.6668e-05+0.00057181i,0.0028701-0.0059092i,0.0019384-0.00081436i,-0.011615-0.0093i,0.00010011-0.00023952i,0.0064619-0.00019326i,0.0032634-0.0010858i,0.0018954-0.0048333i,-0.004461+0.0053484i,-0.0044046+0.0055287i,-0.0052776+0.0017915i,-0.010107-0.0011542i,-0.015483-0.0049432i,-0.051196+0.051428i,-0.0026363+0.011215i,-0.02005-0.021333i,-0.0065317-0.006061i,0.0055361+0.020958i,-0.0046642+0.02162i,0.002436+0.0021768i
