-0.022686-0.019049i,-0.032267-0.032636i,-0.022319-0.019803i,-0.03238-0.020302i,-0.023789+0.0044088i,-0.028723-0.017528i,-0.058352-0.044063i,-0.040246-0.041622i,-0.031806-0.019012i,0.0050714+0.0053979i,-0.0035285+0.0062637i,-0.010756+0.010966i,0.0036782+0.006892i,-0.0038668-0.0026551i,0.0029019+0.0017486i,0.0045007+0.028082i,0.023062+0.026688i,7.8312e-05+0.00028584i,-0.0028174-0.0029592i,0.0077527+0.0040467i,0.0020619+0.00067244i,1.9708e-05+0.0023299i,-0.00059883+0.00041238i,-0.030549-0.0010988i,-0.003133-0.0047521i,-0.00015925+0.0027134i,0.0031691-0.0022186i,0.00057088-1.7662e-05i,-0.00044885-0.00064488i,-0.0012482-0.0017839i,-0.0019831-0.00047947i,-0.0042459-0.0041303i,-0.002811-0.005011i,0.00028687-0.0012505i,0.00037847-0.0028904i,-0.003161+0.024794i,0.0020703-0.0033824i,0.0023365-0.0038989i,0.0042021-0.0025672i,-0.0086793-0.00047324i,0.00043218+0.0012501i,0.0056725+0.0016355i,-0.0026581-5.0404e-05i,-0.0032652+0.001251i,-0.0094886-0.0030744i,-0.018856+0.021941i,-0.00789-0.085874i,-0.0026877-0.06132i,-0.021621-0.053059i,-0.011339-0.045717i,0.054599-0.025977i,0.023674-0.067622i,0.040931-0.053434i,0.019388-0.039026i,0.025968-0.019929i,0.012179+0.011898i,0.025832-0.030312i,-0.0092257+0.00026051i,-0.0007452-0.0012527i,-0.0074873-0.0019067i,-0.0047276-0.029266i,-0.02036+0.026615i,0.0076437-0.0090964i,-0.011192-0.003404i,-0.0023684-0.0019415i,-0.0001785-0.014467i,-0.0080366+0.0050733i,0.0054368+0.010445i,-0.010143+0.030344i,0.0070359+0.0075806i,-0.0038249-0.0015801i,-0.0023459-0.0014762i,-0.012395-0.0057052i,0.00038255-0.0039991i,-0.033133-0.00025424i,0.0034889-0.0088436i,-0.0071209-0.0022187i,-0.0055108-0.0026494i,0.0066081+0.0016688i,-0.010775+0.001214i,0.0023259-0.00046249i,0.0064899+0.0077552i,0.0052634+0.0014048i,-0.00816-0.0099331i,0.0026799+0.0078679i,-0.019151+0.0076042i,0.0034072+0.0059069i,-0.020973-0.0086129i,-0.027027-0.0045928i,0.0089956-0.061786i,0.018623-0.01494i,-0.051376-0.027878i,-0.023876+0.0034171i,0.018698+0.010379i,-0.027503+0.012791i,-0.012494-0.0078718i
-0.011711+0.013435i,-0.020664+0.04142i,0.0024904+0.040535i,-0.010227+0.02405i,-0.00010185+0.020841i,0.0019729+0.023092i,-0.024913+0.015461i,-0.026105+0.03375i,-0.00060458+0.017635i,-0.0011496-0.0012454i,-0.00099615+0.0017584i,0.0043573+0.0033015i,0.0036051+0.0047663i,-0.0030913+0.0017016i,-0.0030447+0.0038414i,0.0010082-0.0070832i,-0.0078826-0.0017524i,-0.0016186+0.00053931i,0.00034878-0.0014764i,-0.00093993-0.00041188i,0.0011007-0.0034523i,0.0010998-0.0026894i,0.00095004-0.0014716i,-0.0098813-0.0079402i,-9.3662e-05-0.00047027i,-0.0014151+0.0003925i,-0.0023975-0.0001111i,-0.0027635+0.00021704i,-0.00089879-0.00096013i,0.0010807-0.00074387i,-0.0014345+0.00011408i,0.001861-0.00036915i,0.0018869-0.00076634i,0.00065993+0.00049465i,-0.00041052+0.0018332i,-0.00039544-0.0062885i,-0.0013186+0.00086969i,0.001621+0.00015603i,0.0023962+0.0021557i,0.0041962+0.0053256i,0.0013221-0.0016314i,-0.001429-0.0011406i,-0.001806-0.0018423i,0.002529+0.0062703i,-0.0071196+0.0073869i,0.020572-0.057622i,-0.073351+0.015916i,-0.028412-0.018269i,-0.061337-0.047341i,-0.052817-0.016944i,-0.085476+0.0043078i,-0.073233+0.0021287i,-0.046818-0.033494i,-0.0084065-0.045561i,-0.038826-0.027442i,-0.0062116+0.00024664i,-0.029976+0.010031i,0.0075964+0.011013i,0.010017+0.0067717i,0.002639-0.006932i,0.010099+0.0039237i,-0.0116-0.0025048i,0.0027393+0.012601i,0.00049415+0.0081509i,-0.0004693-0.0011802i,0.005456+0.0013753i,0.0037528+0.00038299i,-0.0051237+0.019548i,-0.00039153+0.0094514i,0.00085359-0.0041192i,0.0079553-0.0062154i,0.001235+0.0042145i,-0.0081181-0.0074528i,-0.0026515-0.0011068i,0.023754-0.031442i,0.0056735+0.0089548i,0.0017185+0.0028794i,-0.0019697+0.004198i,0.0029922-0.0039953i,0.0194+0.0028704i,0.0015513-0.0017163i,-0.0026597-0.0061374i,-0.00061291-0.0022768i,0.012189+0.004726i,0.0053858-0.00062271i,0.0034483-0.0086483i,0.0040784+0.0047827i,-0.0060428+0.0030735i,0.013455+0.0071325i,-0.043124-0.038344i,-0.013137+0.004197i,-0.0019089-0.0012418i,-9.1379e-05+0.002865i,-0.040278+0.011338i,-0.0069372+0.0085445i,-0.012767+0.0032816i
-0.0088819+0.014363i,-0.013746+0.041827i,0.011362+0.033604i,-0.0056548+0.024935i,0.0027044+0.018608i,0.0061988+0.021664i,-0.023682+0.019342i,-0.018345+0.035901i,0.0036191+0.013133i,-0.0014393-0.00047123i,-8.1176e-05+0.0029061i,0.0048374+0.00090727i,0.0039993+0.0031929i,-0.0015005+0.0027925i,-0.002133+0.0048124i,-0.003503-0.0056232i,-0.0091884+0.0023359i,-0.001471+0.00091335i,0.0011871-0.00086356i,-0.00045447-4.6276e-05i,-8.4471e-05-0.0032781i,0.0010102-0.0022034i,0.0008019-0.0013305i,-0.011093-0.0045956i,0.00016819-0.00036943i,-0.0012646+0.00068098i,-0.0017031+0.00072675i,-0.0022884+0.00077436i,-0.0011035-0.00079945i,0.0010014-0.00087009i,-0.0012738+0.00084821i,0.0011728-0.00051628i,0.00094087-0.0010825i,0.00026731+0.00052408i,-0.00091405+0.0014807i,0.00017-0.0050419i,-0.00072539+0.00094574i,0.00089676-0.00040783i,0.0017825+0.001056i,0.0052869+0.0029127i,0.00075018-0.0022757i,-0.0021673-0.000888i,-0.0027688-0.00066041i,0.0044143+0.0057032i,-0.0050965+0.0054633i,0.0020206-0.067813i,-0.064011+0.029218i,-0.03521-0.020578i,-0.07393-0.037658i,-0.053123-0.0057626i,-0.076598+0.020918i,-0.070437+0.016411i,-0.040221-0.03141i,-0.014276-0.043954i,-0.045545-0.011937i,-0.0072289+0.00046071i,-0.023155+0.02214i,0.0099085+0.0057789i,0.011595+0.00067916i,-0.0023603-0.011984i,0.0074829+0.0027713i,-0.011001+0.0034255i,0.0079802+0.0097435i,0.0035205+0.0098262i,-0.00085909-0.00079509i,0.0063106+0.0023265i,0.0047661+0.00010939i,0.0036303+0.017125i,0.0044004+0.0052327i,-0.0031711-0.0060855i,0.0018112-0.0068481i,0.0029158+0.0048211i,-0.010756-0.0005662i,-0.002211+0.0018435i,0.01069-0.032233i,0.0087447+0.0077287i,0.003906+0.0026326i,0.0018312+0.0032583i,-0.00030344-0.0018746i,0.017078-0.006419i,-0.0001767-0.0024292i,-0.0059151-0.0037255i,-0.0032477-0.0011126i,0.010247-0.0002073i,0.004694-0.00029933i,0.0003776-0.0063898i,0.0059132+0.0033822i,-0.0060713+0.0053357i,0.013384+0.002088i,-0.050037-0.032231i,-0.0067961-0.005069i,-0.0030166-0.0024913i,0.0014212+0.0012748i,-0.034142+0.023665i,-0.0048686+0.0096868i,-0.012019+0.004677i
-0.005669+0.014456i,-0.0075805+0.042321i,0.015806+0.025702i,-0.0011682+0.024032i,0.0062977+0.017494i,0.010233+0.019215i,-0.020496+0.023343i,-0.010743+0.035483i,0.0038642+0.0085442i,-0.0016884+0.00043678i,0.0017695+0.0032827i,0.0021484-0.00034612i,0.0043287+0.0019947i,-0.00073003+0.0029204i,-0.00076943+0.0055769i,-0.0066865-0.0017131i,-0.00841+0.0074175i,-0.00067591+0.0016143i,0.0010884-0.0020229i,0.00021237-0.0003744i,-0.0010842-0.0030293i,0.00095076-0.002857i,0.00082815-0.0015223i,-0.011912-0.0013559i,-1.3571e-06-0.00042337i,-0.00092763+0.0013691i,-0.0010278+0.00061798i,-0.0013333+0.0016056i,-0.0013134-0.00067006i,0.00053791-0.0014308i,-0.0006502+0.001435i,0.00073218-0.00065963i,8.3535e-05-0.0011952i,0.00050119+0.00039189i,-0.00051679+0.0024001i,0.0010189-0.0058948i,-0.00061593+0.0008301i,0.00036587-0.00073118i,0.0021574-0.00036765i,0.0051885+0.00082977i,4.2259e-05-0.002228i,-0.0016469+0.0001965i,-0.0032879+0.00055955i,0.0052283+0.0032991i,-0.0045956+0.0040251i,-0.020335-0.06824i,-0.050821+0.03793i,-0.043379-0.016803i,-0.081122-0.022893i,-0.048828+0.0031086i,-0.062355+0.031787i,-0.0575+0.028864i,-0.042636-0.034253i,-0.019583-0.042989i,-0.045028+0.0040254i,-0.0073616+0.0016311i,-0.011332+0.028137i,0.010345+0.0011675i,0.0080855-0.0047749i,-0.013415-0.012559i,0.0072995+0.00063264i,-0.0072084+0.0070405i,0.010699+0.0046144i,0.0062513+0.0064568i,-0.0030695+0.00053815i,0.0069023-0.0015963i,0.0055769-0.002218i,0.007482+0.011456i,0.0038982+0.0012631i,-0.0083166-0.0032249i,-0.00031824-0.0047434i,0.0059708+0.0035687i,-0.0058963+0.0078384i,8.1091e-05+0.0032722i,-0.0014718-0.026285i,0.012363+0.0035008i,0.0044542+0.00071163i,0.0020499+0.0010074i,0.00065377-0.00017873i,0.011069-0.011019i,-0.0024398+0.00045309i,-0.0067328-0.0006008i,-0.0038558+0.0026835i,0.0068099-0.0024323i,0.0075887-0.0021748i,0.00028405-0.0059654i,0.0087237+0.0012255i,-0.002839+0.0067573i,0.012144-0.0024574i,-0.055498-0.021404i,-0.012501-0.013703i,-0.0014051-0.0035817i,0.0034562-0.0016087i,-0.022418+0.030144i,-0.0039471+0.005584i,-0.0081242+0.0014783i
-0.0027782+0.013391i,-0.00042379+0.042415i,0.017657+0.018624i,0.0036312+0.023055i,0.010387+0.014027i,0.01357+0.015675i,-0.016146+0.026668i,-0.0057856+0.03264i,0.0032077+0.0066483i,-0.0011964+0.0015711i,0.0029804+0.0021133i,0.0010085+0.0013411i,0.004227+0.0008005i,-0.0005394+0.0036104i,0.00068492+0.0057249i,-0.0065779+0.0036621i,-0.0036478+0.011208i,0.00014385+0.0013462i,0.00050515-0.0024544i,-5.8208e-05-0.001006i,-0.0018152-0.0025266i,0.00025817-0.003073i,0.00060472-0.0021271i,-0.011381+0.0027094i,-1.7658e-05-0.0004978i,0.00032376+0.001159i,-0.00089453+0.00023035i,-0.0002129+0.0014147i,-0.0016296+9.9174e-05i,-0.00026595-0.0013099i,-9.1288e-05+0.0014775i,0.00026832-0.00078218i,-0.0005089-0.00080594i,0.00062822+0.00021699i,0.00082678+0.0022148i,4.7846e-06-0.0076094i,-0.00014735+0.0012029i,-0.00024048-0.00052429i,0.0012222-0.00073794i,0.0047363-0.00044596i,-0.00010952-0.0022958i,-0.000966+0.00043963i,-0.002921+0.0021056i,0.0044862+0.0010257i,-0.0047329+0.0037593i,-0.039317-0.057407i,-0.037437+0.040712i,-0.049165-0.0099607i,-0.084802-0.0080463i,-0.042661+0.0083521i,-0.049732+0.035721i,-0.044202+0.031252i,-0.047723-0.030136i,-0.025064-0.038882i,-0.039676+0.015455i,-0.0076766+0.0032305i,-0.00055324+0.02803i,0.0092151-0.0030867i,0.0028231-0.0062878i,-0.0219-0.0033062i,0.0044109-0.00011732i,-0.0031394+0.0075487i,0.0093868-0.0013704i,0.0081687+0.0051476i,-0.0027994+0.003476i,0.0033534-0.0027531i,0.0048713-0.0057607i,0.0072896+0.0066734i,0.001172-0.00044545i,-0.0088192+0.00097523i,-0.0017829-0.0034462i,0.006986+0.0011255i,0.0024734+0.0086979i,0.0019105+0.0022059i,-0.011898-0.021172i,0.011961-0.00091396i,0.003784-0.0014834i,0.0022582+0.00057413i,0.00098113-0.00041812i,0.0058616-0.011231i,-0.00012121+0.0025996i,-0.0062629+0.002509i,-0.00075392+0.0050059i,0.0049974-0.0019987i,0.0069808-0.0063872i,-0.002006-0.0053073i,0.0084755-0.0040946i,-0.00064834+0.0058822i,0.010272-0.0066392i,-0.053839-0.008549i,-0.022446-0.016037i,-0.0024542-0.0078575i,0.0032757-0.0061668i,-0.014092+0.029776i,-0.0072022+0.0048101i,-0.01138+0.00012219i
-0.00088435+0.012083i,0.0061537+0.040571i,0.016854+0.013144i,0.0081502+0.020423i,0.01273+0.0094565i,0.015223+0.011772i,-0.010812+0.028617i,-0.0022175+0.030808i,0.0038083+0.0058808i,7.1819e-06+0.0019708i,0.0031388+0.001175i,0.0018242+0.0023743i,0.0040198-0.0003141i,0.0010662+0.0044275i,0.0022589+0.0054832i,-0.0039358+0.0072408i,0.0018734+0.01149i,0.00064888+0.0010252i,0.00013779-0.0021481i,-0.00060294-0.0011707i,-0.0026784-0.0017868i,-0.00047767-0.0028582i,-0.000297-0.0024216i,-0.0087903+0.0053004i,-0.0004531-0.00071029i,0.00020581+0.00025383i,-0.00091234+0.00018959i,0.00019586+0.00081548i,-0.0012558+0.0009361i,-0.00039747-0.00077365i,0.00038343+0.0013631i,-3.9152e-05-0.0010165i,-0.00060201-0.00028733i,0.00047503-0.00010611i,0.0011583+0.0014842i,-0.0022624-0.0082441i,0.00016387+0.0013237i,-0.00022754+0.00016003i,0.00057247-0.00095133i,0.004014-0.0012879i,-0.0011187-0.0025391i,-0.00070535+0.00026374i,-0.0015677+0.0028296i,0.0035766+0.0012784i,-0.0043759+0.0041666i,-0.047265-0.040359i,-0.026842+0.038841i,-0.053903-0.00097876i,-0.086454+0.008517i,-0.038356+0.0091518i,-0.039006+0.036967i,-0.034961+0.030744i,-0.050475-0.025972i,-0.027711-0.035078i,-0.03155+0.02516i,-0.0070244+0.0049208i,0.011314+0.024101i,0.0068185-0.0053587i,-0.0016031-0.0052564i,-0.022141+0.0072421i,0.0034292+0.00053725i,0.00064996+0.0073306i,0.004533-0.0034606i,0.010541+0.0027279i,-0.00090159+0.0049706i,0.0013228-0.0013335i,0.0026092-0.0084572i,0.0043327+0.0015747i,-0.0011162+0.0010177i,-0.0085945+0.0064635i,-0.0027507-0.0012629i,0.0069473-0.0015051i,0.0060253+0.0046083i,0.002717+0.00096044i,-0.014-0.017815i,0.010036-0.0054312i,0.0024555-0.0024367i,0.0032356+0.00036615i,0.0010324-0.00020823i,0.0031137-0.0096915i,0.0019349+0.0017945i,-0.0035162+0.0058055i,0.0025658+0.0044051i,0.004868-0.0020076i,0.0031243-0.010526i,-0.0028029-0.0037582i,0.0041906-0.0071973i,-0.00028613+0.0047685i,0.0055152-0.010423i,-0.047835-0.0021121i,-0.033987-0.0068241i,-0.0058245-0.0095452i,0.00035946-0.010544i,-0.0077949+0.028768i,-0.010204+0.0075629i,-0.012275+0.002901i
0.00059242+0.011061i,0.012098+0.038335i,0.015793+0.010454i,0.011366+0.016625i,0.012868+0.0046832i,0.016357+0.0085615i,-0.0046857+0.028643i,0.00096553+0.029464i,0.0044643+0.003517i,0.00063075+0.0013878i,0.0026031+0.00036185i,0.0029012+0.0024962i,0.0034051-0.0012508i,0.0027282+0.0035358i,0.0034733+0.0046294i,-0.00032237+0.0089479i,0.0064173+0.0092134i,0.0010382+0.00074549i,-0.00037922-0.0022628i,-0.001203-0.0010565i,-0.0027387-0.0005453i,-0.00089614-0.0026099i,-0.00097772-0.0020349i,-0.0069397+0.0059498i,-0.001131-0.00065892i,-0.00020377+6.57e-05i,-0.0010062+4.1357e-05i,0.00033631+0.00014837i,-0.00044163+0.0012071i,-0.00035489-0.00061681i,0.00099586+0.0012318i,-0.00061616-0.0010189i,-0.00029859+0.00013515i,9.9417e-05-0.00032519i,0.0013784+0.0013758i,-0.0042378-0.0083125i,6.7258e-05+0.00092003i,0.00020591+0.00021546i,7.8747e-05-0.00074525i,0.0031698-0.0019299i,-0.0017564-0.0012725i,-0.00078775+0.00024148i,-0.00035935+0.0027798i,0.0040759+0.0019598i,-0.0035459+0.0048298i,-0.045883-0.027704i,-0.020083+0.036254i,-0.054832+0.012235i,-0.081558+0.028481i,-0.039243+0.010096i,-0.030488+0.035852i,-0.027342+0.029615i,-0.052166-0.019389i,-0.031192-0.031248i,-0.022631+0.029136i,-0.0063471+0.0069296i,0.0179+0.010584i,0.0048052-0.0074508i,-0.0047329-0.001889i,-0.017953+0.015334i,0.0035059-0.00030748i,0.0036598+0.0053952i,0.001681-0.0018437i,0.011843-0.0022005i,0.0010591+0.0061041i,0.00099066-0.00029175i,-0.0027098-0.010607i,0.0031144+0.0044463i,-0.00070475+0.0036192i,-0.0029165+0.010803i,-0.0015818+0.00074116i,0.0056306-0.0031585i,0.0075634+0.0012824i,0.003288-0.00082254i,-0.016936-0.017788i,0.0062474-0.0081164i,0.00093397-0.0026749i,0.00368-0.00077402i,0.0012026+0.00062455i,0.0021888-0.008095i,0.0026396+5.6852e-05i,-2.1434e-05+0.006192i,0.0039941+0.0017897i,0.0040574-0.0031678i,-0.0029048-0.010571i,-0.0030831-0.0031187i,-0.00023136-0.0070867i,0.00058392+0.0036203i,-0.00069603-0.010563i,-0.044793+0.0019108i,-0.030418+0.0083047i,-0.0095358-0.0097806i,-0.0044168-0.011609i,-0.0035048+0.027694i,-0.0082762+0.012267i,-0.0093219+0.004316i
0.0018924+0.0099963i,0.018005+0.035907i,0.015817+0.0085003i,0.013038+0.012488i,0.011479+0.0013534i,0.017365+0.0051317i,0.00061303+0.027184i,0.0036371+0.02877i,0.0041938+0.0018635i,0.00074331+0.0011534i,0.002221+0.00048783i,0.0043879+0.0023374i,0.0024882-0.001772i,0.0034487+0.001939i,0.0041611+0.003651i,0.0032167+0.0088056i,0.0091727+0.0056159i,0.0013321+0.0004773i,-0.0010449-0.0023166i,-0.0016179-0.00045935i,-0.0021632+0.00034643i,-0.0015243-0.002502i,-0.0013541-0.0015705i,-0.0058865+0.0075524i,-0.0010757+2.2947e-05i,-0.00052516+0.00036449i,-0.00048403+0.0006979i,-0.00012517-0.00027605i,-8.9433e-05+0.00085539i,-0.00045662-0.00061373i,0.0015704+0.00067463i,-0.00054221-0.00041397i,-2.2972e-05+0.00015909i,-0.00014421-0.00021361i,0.001878+0.00044131i,-0.0085804-0.0089428i,0.00015724+0.00066847i,0.00013321-9.2307e-05i,-0.00032885-0.00066928i,0.0022233-0.002228i,-0.0016334-0.00068214i,-0.0004375+0.0003924i,0.00030247+0.0020963i,0.004452+0.0013032i,-0.0020799+0.0049026i,-0.044255-0.022759i,-0.014996+0.034837i,-0.049136+0.024424i,-0.070434+0.045033i,-0.039556+0.015831i,-0.023859+0.035425i,-0.022262+0.027372i,-0.052209-0.013763i,-0.033103-0.026243i,-0.014506+0.031331i,-0.0035881+0.0074801i,0.012436-0.0016294i,0.0015445-0.010316i,-0.0047426+0.0012335i,-0.012305+0.0196i,0.0021225-0.0015178i,0.004794+0.0023119i,0.0018623-0.00043382i,0.0099016-0.0058073i,0.0044132+0.0058763i,0.0011594+0.0012646i,-0.0082392-0.0050364i,0.0044706+0.0056306i,0.0010106+0.005245i,0.0023011+0.010635i,-0.00070788+0.001045i,0.0044618-0.0044482i,0.0083393-0.0031635i,0.0012963-0.0017431i,-0.024635-0.012485i,0.0026967-0.0082939i,-0.00022348-0.001799i,0.0033981-0.00030126i,0.0020221+0.00038325i,0.0024685-0.0091109i,0.0019618-0.0014004i,0.0021504+0.0045129i,0.0036379+0.00077631i,0.0035541-0.0027409i,-0.0065534-0.0068247i,-0.0045814-0.0025491i,-0.0025233-0.0061547i,0.00045666+0.0022872i,-0.0044426-0.007638i,-0.041471+0.0070602i,-0.023787+0.01028i,-0.0098524-0.0085726i,-0.0075012-0.01081i,0.0012843+0.024801i,-0.0061363+0.012795i,-0.0081659+0.0039475i
0.0029657+0.008708i,0.023578+0.032433i,0.016567+0.0068041i,0.013592+0.0090886i,0.0095663-0.00065875i,0.017524+0.0016968i,0.0052913+0.024866i,0.0068349+0.028247i,0.0039404+0.00019938i,0.00091853+0.00096107i,0.0026548+0.00059745i,0.0059176+0.00056485i,0.0016281-0.0018011i,0.0028812+0.00093142i,0.004797+0.0027899i,0.0061535+0.0068564i,0.010223+0.0023386i,0.0016964-0.00024556i,-0.0016837-0.0020845i,-0.0014529+0.000437i,-0.0014256+0.00093511i,-0.0020623-0.0017634i,-0.0015535-0.0011601i,-0.003009+0.0087625i,-0.00095599+0.00047084i,-0.00030706+0.00069762i,-0.00068486+0.0012442i,-0.00087138-8.2355e-05i,1.6019e-05+0.00071116i,-0.00056899-0.00052692i,0.0014712+7.5077e-05i,-0.00021845-0.00041422i,-0.00026111+0.00021177i,-0.00021399-0.00010382i,0.0015399-0.00043963i,-0.012464-0.0058531i,0.00048184+0.00082954i,-7.9023e-05-2.2893e-06i,-0.00086269-0.00040774i,0.0017894-0.0019886i,-0.0013108-0.00041341i,-0.00019037+0.00034476i,0.00041596+0.0016416i,0.0045396+0.0005125i,-0.00095388+0.0039821i,-0.046749-0.019274i,-0.010771+0.033091i,-0.04147+0.033134i,-0.055416+0.055486i,-0.038223+0.021642i,-0.016853+0.034036i,-0.01851+0.026402i,-0.051795-0.0078515i,-0.034333-0.02123i,-0.0068835+0.032182i,-0.0017268+0.0070759i,0.0050091-0.0036466i,-0.0031195-0.011217i,-0.0032383+0.0043286i,-0.0027715+0.020459i,0.00033777-0.0020803i,0.0046496+3.0197e-05i,0.001481+1.7734e-05i,0.0068551-0.0090039i,0.0077172+0.0035272i,0.0024908+0.001793i,-0.0085925-0.0011018i,0.0063669+0.0055582i,0.0035706+0.0060902i,0.0078465+0.0086249i,-0.00026635+0.0015327i,0.0035734-0.0053316i,0.0078087-0.0073908i,0.00056337-0.00049886i,-0.029041-0.0035733i,0.00095881-0.0085164i,-0.00030556-0.00048228i,0.004512-0.00073796i,0.0022569+1.7983e-05i,0.00079784-0.011574i,0.00038368-0.001666i,0.0032893+0.0036949i,0.0037109-0.00023532i,0.0044295-0.0036633i,-0.007951-0.0036286i,-0.0065948-5.6793e-05i,-0.0064752-0.004473i,0.00042698+0.00074551i,-0.0059657-0.0044741i,-0.037225+0.010538i,-0.021605+0.010961i,-0.0092826-0.010267i,-0.010406-0.0093519i,0.0017232+0.022058i,-0.0058204+0.012918i,-0.0067653+0.0037188i
0.0040133+0.0076954i,0.029279+0.027637i,0.01839+0.0045916i,0.013468+0.0063369i,0.0082835-0.0012173i,0.017139-0.0015487i,0.0090236+0.021331i,0.010847+0.027042i,0.0032815-0.001332i,0.00082956+0.00077264i,0.003041-0.00014055i,0.0055326-0.0022345i,0.0010965-0.001665i,0.0026747+0.00043564i,0.0053827+0.0016108i,0.0071942+0.0039816i,0.0097527-0.0012144i,0.001153-0.001011i,-0.0024389-0.0014798i,-0.00074487+0.00085962i,-0.00051759+0.00089224i,-0.0020353-0.0012374i,-0.001768-0.00070254i,5.2556e-05+0.0086418i,-0.00066672+0.00058302i,-3.0165e-05+0.00069068i,-0.00012805+0.0015249i,-0.00108+0.00052075i,0.00027018+0.00035893i,-0.00064164-0.00048476i,0.0013787-0.00041815i,-0.00059988-0.00038522i,-0.0003781+0.00031249i,-0.00034208-2.6808e-06i,0.0009405-0.00088441i,-0.014868-0.0013565i,-0.000125+0.00063802i,-2.4419e-05+7.4116e-05i,-0.0012455+0.00010175i,0.0015594-0.0022568i,-0.0014493-0.0016498i,6.7197e-05+9.1194e-05i,0.00044264+0.0014724i,0.0045384-0.00088183i,-0.00060606+0.0031172i,-0.051658-0.012105i,-0.0067214+0.031212i,-0.030827+0.038694i,-0.040689+0.061996i,-0.035857+0.029859i,-0.01041+0.030441i,-0.012221+0.024942i,-0.050526-0.0020401i,-0.033567-0.014884i,-0.00038538+0.032428i,-0.00077438+0.0061036i,0.00041406-0.004093i,-0.0083694-0.010063i,0.00049133+0.0052688i,0.0026811+0.019538i,-0.0020992-0.0015004i,0.0020203-0.0041858i,0.0025755+0.0017203i,0.0023349-0.010625i,0.0089126-0.0013637i,0.0038639+0.0012111i,-0.0085884+0.0031872i,0.0096258+0.0043651i,0.007398+0.0045517i,0.011266+0.0037737i,0.00071312+0.0021075i,0.0021636-0.0060921i,-0.00082398-0.0090788i,0.0017008+0.00078333i,-0.030253+0.016374i,-0.0017751-0.0074936i,0.00038031+0.00064687i,0.0057497-0.0050467i,0.0027187-0.00025054i,-0.0040979-0.012613i,-0.00045334-0.00094781i,0.0045662+0.0023328i,0.0032855-0.00072566i,0.0035912-0.0050849i,-0.0081133+0.00056876i,-0.0059418+0.0033125i,-0.0084967+1.5418e-05i,-0.0010387-0.00058631i,-0.005978-0.0021668i,-0.034468+0.012609i,-0.020552+0.016144i,-0.011126-0.014023i,-0.01038-0.0072438i,0.0037403+0.021611i,-0.0060714+0.015444i,-0.0047353+0.0019194i
0.0050583+0.0063612i,0.033865+0.021326i,0.019822+0.00052922i,0.013406+0.0040844i,0.0079005-0.0014658i,0.016482-0.0044751i,0.011227+0.017562i,0.015367+0.024781i,0.0021017-0.0023994i,0.00074434+0.00082267i,0.0028027-0.00090524i,0.0036082-0.0038706i,0.00056964-0.0014648i,0.0023362+9.8675e-05i,0.0055145+0.00017175i,0.006736+0.001777i,0.0082458-0.0034465i,0.0006074-0.0011331i,-0.0026546-0.0005582i,-2.2727e-05+0.00094006i,0.00024956+0.00040821i,-0.0019931-0.0009456i,-0.0016597-0.0002434i,0.0027149+0.0082488i,-0.00038947+0.00053639i,0.00013192+0.0006898i,0.00059525+0.0013043i,-0.00058492+0.00078784i,0.00018531-3.9843e-05i,-0.00092486-0.00038109i,0.001081-0.00083668i,-0.00088785+7.8953e-05i,-0.00031746+0.00055501i,-0.00031034+0.00022869i,0.00029906-0.0011193i,-0.015021+0.0017581i,0.00068733+0.00027084i,-0.00011857-5.1676e-05i,-0.0013006+0.00076238i,0.00090041-0.0027414i,-0.00062569+0.00042224i,-1.9234e-05-0.00021664i,0.00063021+0.001453i,0.0038958-0.0018869i,-0.00033958+0.0026812i,-0.053272-0.0012911i,-0.0044906+0.029387i,-0.021541+0.04001i,-0.024591+0.066215i,-0.028852+0.038865i,-0.0065056+0.025239i,-0.0080913+0.019626i,-0.047358+0.0035534i,-0.030065-0.0094034i,0.0079014+0.03131i,-0.00057843+0.0059476i,-0.0047287-0.0022016i,-0.01218-0.0067822i,0.0031926+0.0031272i,0.0058682+0.016258i,-0.005058+0.00071827i,-0.0010655-0.0065826i,0.0050183+0.00066202i,-0.0028186-0.0097138i,0.0065038-0.0049336i,0.0048785-0.00050711i,-0.0068931+0.0067954i,0.012324-0.00021043i,0.009221-0.00013461i,0.011346-0.0043036i,0.0020731+0.001806i,0.00013289-0.0064299i,-0.0043513-0.0052159i,0.0031725-0.00042185i,-0.047159+0.022317i,-0.0032877-0.0063781i,0.0018078+0.00086674i,0.0025168-0.0070743i,0.0029801-0.00083852i,-0.0093072-0.010346i,-3.407e-05+0.00046355i,0.0049865+0.00022277i,0.0025073-0.0013001i,0.0023741-0.0056327i,-0.0061761+0.0041304i,-0.0035774+0.0053506i,-0.0073989+0.0043745i,-0.0031024-0.00016064i,-0.0057216-0.00070297i,-0.030712+0.017255i,-0.011923+0.019721i,-0.017205-0.015152i,-0.0092907-0.0076644i,0.00544+0.02062i,-0.0032791+0.018874i,-0.0048571-0.0016531i
