-0.024171-0.018411i,-0.032463-0.032407i,-0.021997-0.019569i,-0.03263-0.020473i,-0.023867+0.0041997i,-0.028829-0.017295i,-0.057887-0.043763i,-0.040907-0.041672i,-0.030498-0.023509i,0.0052657+0.0055934i,-0.0035649+0.0066699i,-0.010983+0.010718i,0.0040004+0.0067787i,-0.0036911-0.0027117i,0.0029213+0.001692i,0.0041213+0.027819i,0.026459+0.032124i,-3.2369e-05+0.00017166i,-0.0029341-0.0026691i,0.0074893+0.003998i,0.0022524+0.00069134i,-6.6526e-05+0.0025888i,-0.00051042+0.00036215i,-0.032498-0.00044236i,-0.0032211-0.0048984i,4.55e-05+0.0024914i,0.0039202-0.00090548i,0.00057073-0.00029499i,-0.00040982-0.00058886i,-0.00098883-0.0019245i,-0.0021346-0.00063997i,-0.0037463-0.0034669i,-0.0032865-0.0051046i,0.00029797-0.0012056i,0.00044049-0.0029984i,-0.0014257+0.025265i,0.0021212-0.0030335i,0.0022083-0.0040309i,0.0044392-0.0025038i,-0.0066264-0.0017613i,0.00082648+0.0012705i,0.010262-0.00038603i,-0.0019755-0.00017649i,-0.0033984+0.0016082i,-0.0090983-0.0023554i,-0.018962+0.022145i,-0.0083965-0.086444i,-0.0026838-0.061046i,-0.021568-0.0533i,-0.011111-0.045807i,0.054214-0.026604i,0.024205-0.067651i,0.041428-0.05382i,0.01872-0.038765i,0.025567-0.019704i,0.012167+0.011775i,0.025695-0.029386i,-0.011546-0.001192i,-0.00075488-0.00093026i,-0.0073289-0.0019512i,-0.0051474-0.029037i,-0.020574+0.026897i,0.007274-0.0097008i,-0.01061-0.0035915i,-0.0024379-0.0019486i,-0.00086071-0.01464i,-0.0081003+0.0046902i,0.0054181+0.010622i,-0.010221+0.031218i,0.0068209+0.0076599i,-0.0036579-0.0017755i,-0.0024478-0.0014219i,-0.01259-0.0054505i,0.0004082-0.0040229i,-0.032567+0.0032192i,0.0031065-0.0092399i,-0.0071643-0.0017697i,-0.0050929-0.0029158i,0.0070274+0.001853i,-0.010405+0.00086852i,0.0024569-0.00018812i,0.0057834+0.0075471i,0.0057675+0.00098588i,-0.0077596-0.0095668i,0.0024983+0.007899i,-0.019509+0.0076527i,0.0031585+0.0056887i,-0.020981-0.0087511i,-0.027444-0.0048599i,0.0097165-0.060857i,0.018938-0.014708i,-0.051503-0.028575i,-0.023543+0.0035072i,0.019294+0.010263i,-0.02713+0.012036i,-0.012659-0.0076346i
-0.010764+0.013005i,-0.021138+0.041276i,0.0019173+0.040422i,-0.0099762+0.024207i,-8.5355e-05+0.020879i,0.0019432+0.023118i,-0.02465+0.015576i,-0.02578+0.033238i,0.00038894+0.017734i,-0.0012321-0.0014558i,-0.00098443+0.0016649i,0.0043276+0.0034495i,0.0033536+0.0049232i,-0.0029869+0.0019068i,-0.0030558+0.0037584i,0.001072-0.0073627i,-0.0086451-0.0017074i,-0.0019456+0.00016065i,0.00013313-0.0012192i,-0.0010257-0.00044258i,0.00097503-0.0032649i,0.0011942-0.0027889i,0.00097775-0.0014887i,-0.0096849-0.0081182i,-0.00033243-0.0004368i,-0.0014953+0.00036801i,-0.002474+0.00020111i,-0.0027047-0.00011712i,-0.00099602-0.00084923i,0.0010957-0.00072997i,-0.0018046+0.00024001i,0.0014069-0.00015246i,0.0019831-0.0007346i,0.00070002+0.0003848i,-0.00057656+0.0018934i,-0.00034212-0.0066519i,-0.0012569+0.0008453i,0.0017658+0.00011501i,0.00067176+0.0023178i,0.0043534+0.0058709i,0.0009966-0.0014756i,-0.0016574-0.0011228i,-0.001493-0.0018823i,0.0031079+0.0050533i,-0.0081701+0.0073019i,0.020053-0.057821i,-0.074151+0.014945i,-0.028148-0.018043i,-0.061353-0.04723i,-0.053042-0.016793i,-0.085351+0.0044874i,-0.073252+0.0023936i,-0.046819-0.033083i,-0.0079051-0.0459i,-0.03784-0.02604i,-0.0064265+0.00015481i,-0.030573+0.010129i,0.0073383+0.011017i,0.0097515+0.0067616i,0.0024991-0.0068322i,0.010619+0.003814i,-0.011214-0.0037744i,0.0025806+0.011858i,0.0015166+0.0069406i,-0.00033826-0.0014946i,0.0055974+0.0017979i,0.0036884+0.00011005i,-0.0048466+0.019i,7.9623e-05+0.0092945i,0.0007224-0.0043729i,0.0081948-0.0059007i,0.0014048+0.0040792i,-0.0083755-0.0071929i,-0.0026294-0.0012138i,0.021503-0.030821i,0.0050369+0.0086294i,0.0018478+0.0028925i,-0.0018465+0.0041366i,0.0032746-0.0040691i,0.019721+0.0024767i,0.0016929-0.0018142i,-0.0027724-0.0064477i,-0.0004579-0.0021008i,0.011882+0.004807i,0.0057259-0.00022779i,0.0033599-0.0078514i,0.0045574+0.0049618i,-0.0057625+0.0035433i,0.013579+0.0067415i,-0.043093-0.038356i,-0.012214+0.0053037i,-0.0015298-0.0015351i,0.00018539+0.0030387i,-0.040942+0.011635i,-0.006841+0.0083833i,-0.013013+0.0035872i
-0.0081946+0.013653i,-0.014103+0.041777i,0.010867+0.033848i,-0.0053716+0.024853i,0.0026859+0.018625i,0.0062576+0.021736i,-0.023371+0.01933i,-0.018351+0.035379i,0.0044594+0.012422i,-0.0016181-0.0005754i,-0.00017233+0.0028346i,0.0049186+0.00095262i,0.0041043+0.0030835i,-0.0014767+0.0027424i,-0.0022537+0.004699i,-0.0035829-0.0056819i,-0.0097911+0.0029577i,-0.0016562+0.00090374i,0.00088161-0.00075959i,-0.00050928-0.00010192i,5.263e-05-0.0033191i,0.00095659-0.0022121i,0.0008094-0.0013441i,-0.011064-0.0048255i,-4.8194e-05-0.00027929i,-0.001405+0.00081158i,-0.0015339+0.0008589i,-0.0023348+0.00058764i,-0.0011026-0.0007233i,0.00101-0.00082054i,-0.0016072+0.0011419i,0.00088458-0.00034649i,0.0010413-0.0014211i,0.00019105+0.00041437i,-0.0010568+0.001595i,-0.00018464-0.0056268i,-0.00077093+0.00090834i,0.00087954-0.00049544i,0.00066904+0.0024651i,0.0055613+0.0031545i,0.00053313-0.0019251i,-0.0025128-0.00082676i,-0.0025622-0.00097252i,0.0044783+0.0043249i,-0.0061219+0.0056329i,0.0017529-0.067374i,-0.064859+0.02932i,-0.034798-0.020611i,-0.074096-0.037717i,-0.053197-0.0054109i,-0.076485+0.020863i,-0.070374+0.016715i,-0.040105-0.03099i,-0.013837-0.044519i,-0.044701-0.011698i,-0.007317+0.0003903i,-0.023943+0.022536i,0.0095981+0.0058869i,0.011511+0.00048199i,-0.0023708-0.012034i,0.0076156+0.0027388i,-0.011362+0.0025983i,0.0075842+0.009771i,0.0037945+0.0075109i,-0.00093725-0.0010806i,0.0066088+0.002129i,0.0047105+0.00023787i,0.0041931+0.016255i,0.004448+0.0052699i,-0.003546-0.0057008i,0.0023002-0.0068048i,0.0031859+0.0046863i,-0.010692+1.0708e-05i,-0.0023038+0.001726i,0.0071643-0.031965i,0.0081021+0.0074624i,0.0042012+0.0021688i,0.0017227+0.003221i,-0.00017207-0.0020418i,0.017082-0.0064493i,3.5927e-05-0.0025206i,-0.005836-0.0042631i,-0.0030922-0.000927i,0.010655+0.0002745i,0.0048246-4.4696e-06i,0.00043392-0.0061134i,0.0063958+0.003432i,-0.0055948+0.0055732i,0.013458+0.0017082i,-0.050125-0.032126i,-0.0065765-0.0058236i,-0.002387-0.0027284i,0.0018004+0.0012706i,-0.034362+0.02384i,-0.0048406+0.0096193i,-0.010195+0.0055785i
-0.0051807+0.013629i,-0.0079146+0.042339i,0.015416+0.026208i,-0.00095981+0.023823i,0.0063127+0.01748i,0.010229+0.019224i,-0.020407+0.023401i,-0.011059+0.0349i,0.0041582+0.0078042i,-0.0016866+0.00052816i,0.0014545+0.0033703i,0.0022072-0.00040874i,0.0042916+0.0018141i,-0.00082163+0.0028756i,-0.00086261+0.0055707i,-0.0067149-0.0016487i,-0.0080837+0.0077467i,-0.00084615+0.0015405i,0.0015781-0.0017648i,0.00010481-0.00037867i,-0.0011235-0.0031924i,0.00087519-0.0027843i,0.00082088-0.0015256i,-0.011964-0.0017672i,-0.00015711-0.00026362i,-0.00087939+0.0014317i,-0.00093857+0.00064477i,-0.0015192+0.0016082i,-0.0013044-0.00058262i,0.00061343-0.001407i,-0.00080892+0.0017219i,0.00057983-0.00053096i,0.00017877-0.0013625i,0.00046906+0.00028912i,-0.00065809+0.0024799i,0.00024372-0.0060736i,-0.00075156+0.00081232i,0.0003121-0.00075268i,0.0024574+0.0013412i,0.0053339+0.0010004i,-0.00012489-0.0018897i,-0.0019249+0.00033362i,-0.003458+4.6749e-05i,0.0054194+0.0024746i,-0.0054711+0.0043499i,-0.020437-0.067721i,-0.051053+0.038435i,-0.043162-0.017312i,-0.081198-0.022748i,-0.048693+0.0033597i,-0.062328+0.031776i,-0.057485+0.029241i,-0.042338-0.033923i,-0.019319-0.043722i,-0.044055+0.0031533i,-0.0074654+0.001741i,-0.012117+0.028173i,0.010342+0.0013595i,0.0079053-0.0050372i,-0.013145-0.012255i,0.0075288+0.00061206i,-0.0078746+0.0063845i,0.010407+0.0049485i,0.0060198+0.0066429i,-0.0030447+0.00055659i,0.0066352-0.00175i,0.0058794-0.0023419i,0.0078552+0.010187i,0.0039536+0.0013959i,-0.0081738-0.0027861i,-0.00012993-0.0048968i,0.0059773+0.0035594i,-0.0063723+0.0087288i,0.00010953+0.0029343i,-0.0034499-0.028464i,0.011858+0.0035773i,0.0042163+7.0927e-05i,0.0023417+0.0013819i,0.00062047-0.00014265i,0.011039-0.010855i,-0.0022842+0.00021917i,-0.007081-0.00061937i,-0.0035698+0.0024954i,0.0070573-0.0024379i,0.0077533-0.0015696i,0.00023208-0.0058262i,0.0093167+0.00083224i,-0.0022775+0.0069413i,0.011912-0.0026476i,-0.055287-0.021211i,-0.01281-0.01419i,-0.0014063-0.0035641i,0.0037722-0.0019031i,-0.023502+0.029629i,-0.0037468+0.0056659i,-0.0071796+0.0010939i
-0.0025606+0.012424i,-0.00067717+0.042511i,0.017393+0.01915i,0.003705+0.022816i,0.010423+0.014025i,0.013483+0.015732i,-0.015854+0.026843i,-0.0057511+0.032586i,0.0032663+0.0060769i,-0.0010987+0.0015634i,0.0028245+0.0023654i,0.0010679+0.0013658i,0.004111+0.00068961i,-0.00065079+0.003632i,0.00066699+0.0056804i,-0.0067192+0.0037784i,-0.0034422+0.010945i,7.284e-05+0.0013673i,0.00065113-0.00239i,-8.3114e-05-0.00097113i,-0.0019197-0.0025103i,0.0002887-0.0030049i,0.00057957-0.002131i,-0.011758+0.002212i,-5.7902e-05-0.00032516i,0.00014422+0.0010971i,-0.00088527+0.00044582i,-0.00036644+0.001408i,-0.0015644+0.00012595i,-0.000303-0.0013306i,-1.3704e-06+0.0017369i,0.00024194-0.00061167i,-0.00058676-0.0011076i,0.00050513+0.00012046i,0.000773+0.002349i,-0.00068217-0.007933i,-0.00034431+0.0012475i,-0.00029461-0.00048413i,0.0018756-0.000661i,0.0048594-0.00055969i,-0.00054462-0.0017756i,-0.0012564+0.00034315i,-0.0034497+0.0017013i,0.0044097+0.00017032i,-0.0055939+0.0041688i,-0.039538-0.056479i,-0.037472+0.040815i,-0.049621-0.010389i,-0.084893-0.0078633i,-0.042413+0.0084297i,-0.049788+0.035595i,-0.044139+0.031439i,-0.047328-0.03027i,-0.025286-0.039454i,-0.039387+0.014323i,-0.0077049+0.0033249i,-0.00071828+0.02824i,0.0092415-0.003038i,0.002682-0.0063723i,-0.021219-0.0039634i,0.0045103-0.00036751i,-0.0041538+0.0074799i,0.0092833-0.00083864i,0.0083603+0.0054046i,-0.0027341+0.003331i,0.0032991-0.0027812i,0.0049971-0.005998i,0.0075034+0.0040335i,0.0014018-0.00017364i,-0.0088183+0.0013573i,-0.0016819-0.0035246i,0.0070473+0.0011249i,0.0027339+0.0096444i,0.001714+0.0019357i,-0.0095929-0.022346i,0.012011-0.0010936i,0.0037399-0.0012021i,0.0029775+0.0011482i,0.00068138-0.00044588i,0.0058694-0.010986i,0.00013613+0.0026801i,-0.0065512+0.0026389i,-0.00077887+0.0045592i,0.0050337-0.0020295i,0.0069958-0.006106i,-0.0021867-0.0053432i,0.0084916-0.0045672i,-0.00024391+0.0057223i,0.0099251-0.0068084i,-0.053413-0.008622i,-0.022793-0.015219i,-0.002287-0.0078676i,0.0030831-0.0067808i,-0.014913+0.030214i,-0.0069625+0.0048179i,-0.010766-0.00067518i
-0.0011229+0.011183i,0.0059575+0.040715i,0.016747+0.013634i,0.0081514+0.02019i,0.012788+0.00943i,0.015225+0.011869i,-0.010376+0.028582i,-0.0020366+0.030511i,0.0036247+0.0053444i,0.00010319+0.0020385i,0.0031776+0.0013199i,0.0018551+0.0024406i,0.0038609-0.00031876i,0.0010196+0.00455i,0.0022324+0.005398i,-0.0040145+0.007461i,0.0016211+0.011259i,0.00051985+0.0010686i,0.00024078-0.0022264i,-0.00059647-0.0011292i,-0.0026529-0.0017758i,-0.00050784-0.0028667i,-0.00032456-0.0024135i,-0.0092893+0.0051747i,-0.00038057-0.00065321i,0.00016268+0.00026669i,-0.00087427+0.00044045i,8.9209e-05+0.00078202i,-0.0012574+0.00087698i,-0.00046169-0.00076348i,0.00052809+0.001476i,2.0725e-05-0.00084331i,-0.0010093-0.00049593i,0.00029646-7.3678e-05i,0.0011693+0.0015583i,-0.0034235-0.0087757i,3.879e-06+0.0011173i,-0.00029713+0.00022639i,0.00056285-0.0008996i,0.0040054-0.0013403i,-0.00097877-0.0016442i,-0.00099199+0.00039895i,-0.0021733+0.0029229i,0.003125+0.00060651i,-0.0051079+0.0049628i,-0.046532-0.039536i,-0.027199+0.03892i,-0.05442-0.00083818i,-0.086315+0.0086089i,-0.038291+0.009239i,-0.039135+0.036878i,-0.034906+0.030932i,-0.050321-0.025862i,-0.027965-0.035577i,-0.032757+0.02431i,-0.0069092+0.0050456i,0.011582+0.023664i,0.0069691-0.0054234i,-0.001623-0.0051748i,-0.022965+0.0060154i,0.003332+0.00029425i,-0.0003194+0.0084802i,0.0046672-0.0031573i,0.010485+0.0025895i,-0.0009915+0.0050795i,0.0013169-0.0013494i,0.0023718-0.0084746i,0.0039918+0.0027954i,-0.00077828+0.0011565i,-0.0085453+0.0073619i,-0.0026934-0.001335i,0.0068296-0.0015441i,0.0068748+0.0053547i,0.0023715+0.00084382i,-0.012447-0.019548i,0.0099084-0.005573i,0.0026686-0.0022595i,0.0048772+0.00038572i,0.00068486-0.00015561i,0.0030446-0.0096205i,0.0020897+0.0015735i,-0.0039811+0.0058679i,0.0025548+0.0042054i,0.0046368-0.0018855i,0.0032553-0.010817i,-0.0028112-0.0035281i,0.0041817-0.0075175i,0.00014826+0.0042524i,0.0052614-0.010408i,-0.04754-0.0022334i,-0.032929-0.0069485i,-0.0059402-0.009793i,-0.00028591-0.010672i,-0.0083186+0.029513i,-0.0098431+0.0074508i,-0.012324+0.0022904i
0.00012044+0.010354i,0.011862+0.038442i,0.015925+0.010786i,0.011295+0.016382i,0.012874+0.0047045i,0.016443+0.008581i,-0.0044398+0.028506i,0.00085374+0.028985i,0.0041681+0.0032193i,0.00076815+0.0014368i,0.0026469+0.00042997i,0.0028997+0.0025976i,0.00328-0.0011714i,0.0028+0.0036531i,0.0034397+0.0045684i,-0.00026488+0.0091119i,0.0062477+0.0093577i,0.00088482+0.00082168i,-0.00030054-0.0024283i,-0.0011753-0.00098467i,-0.0027154-0.00057464i,-0.00092288-0.0025774i,-0.0010144-0.0020187i,-0.0073197+0.0060247i,-0.00080213-0.00036278i,-0.00026535+4.4499e-06i,-0.00088998+0.00057462i,0.00025997+0.00024651i,-0.00049701+0.0011411i,-0.00039955-0.00059834i,0.0010161+0.0012382i,-0.00053696-0.00089317i,-0.0010079+4.6048e-05i,-1.0205e-05-0.00012158i,0.0014061+0.0014167i,-0.0064869-0.0082443i,8.0163e-05+0.00079649i,0.00016462+0.00037717i,-1.2944e-05-0.00066467i,0.0032503-0.0018874i,-0.0013414-0.0010242i,-0.00093492+0.00049818i,-0.00068888+0.0031511i,0.0033247+0.0012506i,-0.0039101+0.0058127i,-0.044853-0.027773i,-0.019965+0.036365i,-0.05528+0.012544i,-0.08136+0.028196i,-0.039251+0.010285i,-0.030624+0.035915i,-0.027168+0.029702i,-0.051847-0.019348i,-0.031564-0.032183i,-0.023842+0.029837i,-0.0062032+0.0068095i,0.01767+0.010454i,0.0049774-0.0078676i,-0.0045284-0.0018412i,-0.018541+0.01591i,0.0033669-0.00033681i,0.0038949+0.0065954i,0.0015343-0.0017309i,0.011701-0.0022035i,0.0010668+0.0061517i,0.0010249-0.00032653i,-0.0025474-0.0098538i,0.002837+0.004696i,-0.00060436+0.0036153i,-0.0026555+0.012304i,-0.001463+0.00068681i,0.0056488-0.0030863i,0.0080515+0.0012268i,0.0030829-0.00070036i,-0.018429-0.017933i,0.0062598-0.0080403i,0.0010168-0.002775i,0.0041456-0.0018401i,0.00086156+0.00070412i,0.0020076-0.0079117i,0.0025421+0.00016281i,-0.00042653+0.0065658i,0.0038312+0.001522i,0.0039477-0.002998i,-0.003541-0.010747i,-0.0032343-0.0032256i,0.0001885-0.00733i,0.00058333+0.0030388i,-0.00098737-0.010587i,-0.044381+0.0022767i,-0.030483+0.0074806i,-0.0098199-0.0098418i,-0.0049187-0.011534i,-0.0034237+0.027996i,-0.0082414+0.012106i,-0.0092172+0.0039878i
0.0013055+0.009445i,0.017542+0.035812i,0.016105+0.0086437i,0.012859+0.012347i,0.011512+0.0013834i,0.017406+0.0051308i,0.00079142+0.027065i,0.0036641+0.028183i,0.0039282+0.0017491i,0.00076867+0.0011333i,0.0022747+0.00057044i,0.0044651+0.0024152i,0.002437-0.0016387i,0.0035686+0.0019652i,0.0041934+0.0036153i,0.0032382+0.0088378i,0.0092071+0.0058273i,0.0012218+0.00057313i,-0.00091725-0.0025208i,-0.0015504-0.00038962i,-0.0022279+0.00034627i,-0.0014557-0.0024511i,-0.0013906-0.0015189i,-0.0062591+0.007708i,-0.00086252-4.7565e-05i,-0.00061812+0.00034352i,-0.0008987+0.00093089i,-0.00014221-0.00014576i,-0.00014944+0.00077918i,-0.00049837-0.00063973i,0.0014741+0.00074826i,-0.00056572-0.00031413i,-0.0004701+0.0001702i,-8.9468e-05+2.4184e-06i,0.001892+0.00047244i,-0.0093549-0.0068133i,0.00021017+0.00080142i,0.00017896-4.3797e-05i,-0.00040686-0.00051188i,0.0024427-0.0023494i,-0.0012303-0.0004254i,-0.00050587+0.00055791i,0.00020896+0.0023971i,0.0037881+0.00073948i,-0.0021238+0.00582i,-0.04363-0.023068i,-0.014939+0.034565i,-0.049438+0.025117i,-0.070483+0.044444i,-0.039458+0.01611i,-0.0239+0.035435i,-0.022155+0.027342i,-0.052285-0.013794i,-0.033875-0.026847i,-0.015606+0.03297i,-0.0034243+0.0072361i,0.01234-0.0016525i,0.0013162-0.01048i,-0.0047852+0.001115i,-0.011016+0.020154i,0.0021802-0.0013875i,0.0054549+0.0028588i,0.0018703-0.00012576i,0.0095861-0.0055053i,0.0048825+0.0060392i,0.0011518+0.0012543i,-0.0077229-0.0051154i,0.0044007+0.0056524i,0.00096347+0.0052636i,0.0036963+0.011715i,-0.00068704+0.00093131i,0.0044889-0.0044501i,0.0080443-0.003967i,0.0014385-0.0015469i,-0.025033-0.011236i,0.0031022-0.0085633i,-0.00027619-0.0017032i,0.0042942-0.001042i,0.0015289+0.00054528i,0.0024174-0.008974i,0.0021416-0.0013157i,0.0019815+0.0048657i,0.0034389+0.00061074i,0.0034-0.0026742i,-0.0068938-0.0066105i,-0.0047757-0.0025115i,-0.003312-0.0058747i,0.00039733+0.0019661i,-0.0046417-0.0074743i,-0.040846+0.0070547i,-0.024668+0.01i,-0.0098261-0.0083354i,-0.0082426-0.010404i,0.0013424+0.024757i,-0.0061772+0.012802i,-0.0081808+0.0034312i
0.0022726+0.0084246i,0.023063+0.032492i,0.016877+0.0067959i,0.013334+0.0090619i,0.0096241-0.00066486i,0.017553+0.001678i,0.0053922+0.024716i,0.0070338+0.027665i,0.0035965+0.00019174i,0.00089633+0.00094237i,0.0027517+0.00063823i,0.0059595+0.00058869i,0.0016543-0.0017136i,0.0029332+0.00091059i,0.0048561+0.0027141i,0.0061797+0.006907i,0.010065+0.002258i,0.0015706-0.00010981i,-0.0016493-0.0023102i,-0.0014197+0.00049659i,-0.0014051+0.00094203i,-0.0020118-0.0017938i,-0.001543-0.0011135i,-0.0032455+0.0091399i,-0.00079998+0.00032077i,-0.00035937+0.00075196i,-0.00069213+0.0013399i,-0.00079643+5.3885e-06i,-5.4836e-05+0.00070947i,-0.00061832-0.00052988i,0.0015285+7.4821e-05i,-0.00019995-0.0003549i,-0.00053998+0.00014394i,-0.00015639-4.1827e-06i,0.0015832-0.00036831i,-0.011742-0.003688i,0.00029303+0.00079186i,-9.3341e-05-1.796e-05i,-0.00099373-0.00027004i,0.0018641-0.0024522i,-0.00088442-0.00028685i,-0.00024147+0.00046157i,0.00040006+0.0019239i,0.0038916+0.00021658i,-0.00084216+0.0047535i,-0.046109-0.019581i,-0.01094+0.032789i,-0.041549+0.034003i,-0.055563+0.054814i,-0.038146+0.021817i,-0.016878+0.033841i,-0.018341+0.026501i,-0.052388-0.008155i,-0.034834-0.020953i,-0.007014+0.034346i,-0.0016483+0.0065805i,0.0051395-0.0037578i,-0.0031566-0.011051i,-0.003302+0.0044308i,-0.0034745+0.020252i,0.00021409-0.0020148i,0.0048752-0.00071192i,0.0016183+0.00014015i,0.0069197-0.0087037i,0.0079249+0.0033055i,0.0025344+0.0017606i,-0.0083171-0.0012984i,0.0064832+0.0058262i,0.0034503+0.0059209i,0.0091256+0.0091245i,-0.00025842+0.0014128i,0.0036613-0.0053245i,0.0050263-0.0079228i,0.00075991-0.00038706i,-0.028614-0.001536i,0.00068656-0.0083953i,-0.00032117-0.0004991i,0.0049075-0.0011992i,0.0019809+0.00021976i,0.00092336-0.011595i,0.00056622-0.0016902i,0.0035037+0.0037765i,0.0035152-0.00022487i,0.0043809-0.0035098i,-0.0082986-0.0036796i,-0.0062271-5.081e-05i,-0.0065012-0.0037803i,0.00025998+0.00078237i,-0.0060464-0.0044307i,-0.037051+0.010403i,-0.022528+0.011361i,-0.0090484-0.0099195i,-0.010606-0.0087141i,0.0021519+0.022324i,-0.005971+0.012638i,-0.0069909+0.0034311i
0.0032827+0.0076656i,0.028909+0.027896i,0.018636+0.0044554i,0.013316+0.0064372i,0.00832-0.0012233i,0.017154-0.001523i,0.0090729+0.021184i,0.011441+0.026352i,0.0028583-0.0010864i,0.00092529+0.00065591i,0.0030954-0.00016119i,0.0055643-0.0022354i,0.0010977-0.0015863i,0.0027583+0.00045096i,0.0054249+0.0014953i,0.0073084+0.0040564i,0.0094218-0.0010973i,0.0010326-0.00085917i,-0.0024098-0.0016215i,-0.00073214+0.00093115i,-0.00047729+0.00084377i,-0.0020612-0.001283i,-0.0017473-0.00069253i,1.8881e-05+0.0089634i,-0.00061327+0.00050227i,-4.7675e-05+0.00075355i,-5.6311e-05+0.0015689i,-0.00094098+0.00062808i,0.00020437+0.00042683i,-0.00064272-0.00044952i,0.0012899-0.00049918i,-0.00050786-0.00043155i,-0.00053342+0.00042796i,-0.0002831+2.5345e-05i,0.0009356-0.00082922i,-0.012274+0.000481i,0.00038086+0.00067248i,-7.291e-05+3.4812e-05i,-0.0012258+0.00028348i,0.0012521-0.0025781i,-0.00091998-0.00027751i,-2.8509e-05+0.00025439i,0.00045596+0.00172i,0.0039598-0.00039057i,-0.0004384+0.0038522i,-0.05094-0.012793i,-0.0069371+0.031018i,-0.03061+0.039356i,-0.041101+0.061493i,-0.03576+0.029902i,-0.010367+0.030426i,-0.01205+0.025057i,-0.051174-0.0018051i,-0.033577-0.015103i,0.00050694+0.033856i,-0.0010883+0.0057306i,0.00026898-0.0042307i,-0.0082513-0.0099208i,0.00058223+0.0053245i,0.0015156+0.018322i,-0.0023643-0.0013622i,0.0032456-0.0037864i,0.0028749+0.0017411i,0.0021895-0.010638i,0.0088672-0.0011698i,0.0038754+0.001161i,-0.0085529+0.0032017i,0.0098365+0.0046915i,0.0071855+0.0042726i,0.012767+0.0035566i,0.00058388+0.0019094i,0.0021736-0.0062735i,-0.00096903-0.0085997i,0.0017493+0.0008584i,-0.028349+0.0092918i,-0.0014338-0.0078733i,0.00043366+0.00058137i,0.0054593-0.0045374i,0.0028268-0.0001983i,-0.0041101-0.013064i,-0.00070294-0.0010104i,0.0045016+0.0021486i,0.0033375-0.0007185i,0.0036816-0.0048732i,-0.0085174+0.00052508i,-0.0056415+0.0031888i,-0.0079947-0.00035162i,-0.0010399-0.00036395i,-0.0060679-0.0020748i,-0.034168+0.012897i,-0.020936+0.016323i,-0.011207-0.013747i,-0.010144-0.0068147i,0.0039951+0.021505i,-0.0062781+0.01541i,-0.0049244+0.0018405i
0.0043846+0.0065498i,0.033468+0.021599i,0.019979+0.00028245i,0.013297+0.0042435i,0.0079408-0.0015018i,0.016565-0.0043796i,0.011334+0.017391i,0.015434+0.023655i,0.0018912-0.0019823i,0.0008079+0.00059329i,0.0027987-0.00091414i,0.0035858-0.0038023i,0.00066197-0.0014213i,0.0023918+3.3778e-06i,0.0054722+0.00011244i,0.0069218+0.0017941i,0.0079163-0.0034891i,0.00055704-0.00097807i,-0.0025479-0.00072078i,-5.8214e-05+0.00092543i,0.00030474+0.00039845i,-0.0019762-0.00090214i,-0.0016642-0.00026263i,0.0027747+0.008419i,-0.00041135+0.00052671i,0.0001215+0.00072293i,0.00053782+0.0013489i,-0.00052206+0.0011232i,0.00015019+1.0577e-05i,-0.00090381-0.0003493i,0.00087542-0.00084402i,-0.00088848-9.4415e-05i,-0.0002669+0.00069607i,-0.00032716+0.00021963i,0.00030871-0.0010457i,-0.011114+0.0039249i,0.00046858+0.00046967i,-0.00017614-6.021e-05i,-0.0010722+0.00091659i,0.00057908-0.0028172i,-0.00091186+5.5465e-05i,-0.00010241-0.00016944i,0.00064984+0.0016913i,0.004048-0.0011812i,-6.2055e-05+0.0033361i,-0.053113-0.0016958i,-0.0048235+0.029269i,-0.021283+0.040356i,-0.024773+0.06605i,-0.028856+0.038786i,-0.0065732+0.025242i,-0.0078476+0.019782i,-0.047285+0.0033772i,-0.0306-0.0094235i,0.0092872+0.031196i,-0.00088148+0.0058925i,-0.0048247-0.0021754i,-0.011875-0.0064026i,0.0032991+0.0032217i,0.0054009+0.015983i,-0.0052513+0.00088945i,-0.00038402-0.0061833i,0.0052195+0.00046098i,-0.0028249-0.0095892i,0.0066765-0.0046901i,0.0048875-0.00070901i,-0.0069471+0.0069259i,0.012327+5.3289e-05i,0.008755-0.00048778i,0.012102-0.0043583i,0.0020311+0.0016724i,0.00011804-0.0064874i,-0.0043001-0.0050338i,0.0032164-0.00038473i,-0.023058+0.021579i,-0.0031411-0.0064874i,0.0018534+0.00082028i,0.0021644-0.0065424i,0.0031334-0.00077813i,-0.0096118-0.010612i,-0.00032054+0.00070463i,0.0048482-4.9219e-05i,0.0026257-0.0014198i,0.0024873-0.0052918i,-0.0067771+0.004343i,-0.003341+0.0051679i,-0.0074869+0.003723i,-0.0032286-5.3108e-06i,-0.0057362-0.00055815i,-0.030218+0.017116i,-0.012369+0.020119i,-0.017294-0.014761i,-0.00903-0.0071163i,0.0055016+0.020717i,-0.0032929+0.018772i,-0.0049522-0.0018543i
