-0.023087-0.01871i,-0.032865-0.033244i,-0.022435-0.019333i,-0.032724-0.020135i,-0.02392+0.0042095i,-0.028831-0.017604i,-0.058337-0.043559i,-0.041165-0.041074i,-0.034185-0.018551i,0.0049398+0.0047582i,-0.0040244+0.0065561i,-0.011215+0.011192i,0.0039494+0.0066473i,-0.0038067-0.0027683i,0.0027631+0.0016169i,0.0043614+0.028462i,0.023995+0.021151i,-0.00022117+7.6995e-06i,-0.0033404-0.0026951i,0.0077029+0.0034622i,0.0018835+0.0005554i,-0.00053875+0.0026012i,-0.00052628+0.00045614i,-0.031711-0.00088219i,-0.0039439-0.004689i,-0.00026417+0.0025474i,0.0043809-0.0013551i,0.00067584-0.0004119i,-0.0003614-0.00060497i,-0.0014044-0.0018794i,-0.0022641-0.00066762i,-0.003807-0.0038339i,-0.0030657-0.0053578i,0.0004566-0.0011187i,0.00032506-0.0028713i,-0.0022256+0.025104i,0.0020096-0.0029878i,0.0019936-0.004331i,0.0042461-0.002206i,-0.0085188-0.0012278i,0.00050982+0.0010681i,-0.0041751-0.0097483i,-0.0025902-2.1084e-05i,-0.0034598+0.00079356i,-0.0085688-0.0040023i,-0.019008+0.021563i,-0.0082714-0.086444i,-0.0025867-0.060717i,-0.021396-0.053943i,-0.010777-0.045367i,0.053929-0.026401i,0.02389-0.06719i,0.041339-0.053349i,0.018882-0.039759i,0.025485-0.020294i,0.012111+0.011932i,0.026106-0.029178i,-0.010115-0.0011558i,-0.0010326-0.00098441i,-0.0071599-0.0014258i,-0.005616-0.02916i,-0.021371+0.027167i,0.0073936-0.0095061i,-0.010148-0.0031852i,-0.0024586-0.0018904i,-0.00010055-0.014649i,-0.0079327+0.0053495i,0.0052262+0.010339i,-0.009238+0.030984i,0.0062941+0.0077115i,-0.0037579-0.0013877i,-0.0023543-0.0017501i,-0.013072-0.0056484i,0.00024156-0.0040567i,-0.037591+0.006215i,0.0030919-0.0088066i,-0.0071421-0.0015012i,-0.0055691-0.0031624i,0.0068301+0.0017718i,-0.010652+0.0005738i,0.0023367-0.00026866i,0.0061169+0.0075705i,0.005916+0.0010682i,-0.0077187-0.0097293i,0.002743+0.007993i,-0.01873+0.0072802i,0.0032769+0.0058784i,-0.021126-0.0086354i,-0.026817-0.005096i,0.0088915-0.059945i,0.018476-0.014431i,-0.051642-0.028898i,-0.024002+0.0020518i,0.01915+0.010408i,-0.027107+0.012383i,-0.012682-0.0077071i
-0.01135+0.013821i,-0.021599+0.042207i,0.0011864+0.040358i,-0.010529+0.024689i,-0.00020315+0.021093i,0.0018286+0.023162i,-0.024771+0.015957i,-0.025615+0.032692i,-0.00050798+0.017742i,-0.0012463-0.001288i,-0.0009042+0.0017899i,0.0043161+0.0035191i,0.0035769+0.0046791i,-0.0032276+0.0017433i,-0.0032153+0.003817i,0.0010222-0.0063577i,-0.0096695-0.0017189i,-0.0023676+0.00017727i,-3.0742e-05-0.0011133i,-0.0010033-0.00045013i,0.00082303-0.0033296i,0.0013563-0.002783i,0.00092255-0.0015013i,-0.0097311-0.007901i,-0.00015071-0.00045732i,-0.0014541+0.00042452i,-0.0023012+3.1088e-06i,-0.0025729-3.4271e-05i,-0.00087526-0.0010147i,0.0011187-0.00072578i,-0.0017799+0.00023715i,0.0016423-3.3339e-05i,0.0019315-0.00039685i,0.00076863+0.00039765i,-0.00051833+0.0018393i,-0.00052788-0.0066406i,-0.0013634+0.00081793i,0.0018301+0.00036344i,0.00070789+0.0027397i,0.0049832+0.0059726i,0.00092523-0.0013673i,-0.0017118-0.001277i,-0.0015731-0.0019697i,0.0031505+0.0053823i,-0.0069712+0.0077324i,0.019664-0.058772i,-0.074411+0.015006i,-0.027146-0.018304i,-0.061147-0.048664i,-0.052953-0.016911i,-0.085909+0.0050646i,-0.073326+0.0022268i,-0.048293-0.033594i,-0.0081591-0.045074i,-0.03761-0.026413i,-0.0061995+0.00035999i,-0.031395+0.009897i,0.0077678+0.011363i,0.0097255+0.0072099i,0.0019083-0.0066762i,0.010354+0.0042567i,-0.010821-0.0026587i,0.0032957+0.011506i,0.0011051+0.0064641i,-0.00019656-0.0014603i,0.0055778+0.0020708i,0.0043075+0.00023219i,-0.0054695+0.0198i,0.0010999+0.0096185i,0.00074419-0.0041637i,0.0080324-0.0058889i,0.0013141+0.0041675i,-0.0081753-0.0069379i,-0.0027669-0.00098527i,0.022491-0.035715i,0.0048995+0.0084812i,0.0018132+0.0028712i,-0.0019938+0.0040022i,0.003359-0.0043091i,0.020231+0.0020143i,0.001251-0.0019009i,-0.0020573-0.0064948i,-0.00064662-0.0022603i,0.010782+0.0045844i,0.0052203-0.00029965i,0.0035914-0.0074753i,0.0048646+0.005003i,-0.0059628+0.0032082i,0.013678+0.0068274i,-0.042496-0.037962i,-0.013369+0.0056202i,-0.0019874-0.0013297i,-0.0011433+0.0030331i,-0.040628+0.010337i,-0.0062229+0.0084974i,-0.013337+0.0037907i
-0.0085101+0.01453i,-0.014055+0.042839i,0.010302+0.034097i,-0.0055377+0.025387i,0.0027653+0.018738i,0.0061348+0.021792i,-0.023175+0.019793i,-0.018398+0.034707i,0.0038771+0.012751i,-0.001589-0.00043562i,-2.6761e-05+0.002932i,0.0049653+0.0012078i,0.0042093+0.0028761i,-0.0015939+0.0028245i,-0.0023432+0.0048443i,-0.0030355-0.0050433i,-0.010832+0.0037034i,-0.0015282+0.0013629i,0.00078608-0.00075804i,-0.00045535-4.7069e-05i,-0.00018984-0.0032491i,0.0010371-0.0022729i,0.00076813-0.0012807i,-0.011033-0.0047458i,1.9933e-05-0.00032071i,-0.0013916+0.00088317i,-0.0016086+0.00086073i,-0.0021756+0.00057115i,-0.0011935-0.00079361i,0.00098686-0.00079529i,-0.0016041+0.0012002i,0.0011481-0.0003821i,0.0015061-0.0015611i,0.00023327+0.00043574i,-0.00094558+0.0015779i,-0.00010653-0.0055039i,-0.0008749+0.00088412i,0.0011212-0.00040391i,0.0012219+0.0026118i,0.0062009+0.0024188i,0.00079091-0.0017427i,-0.0024584-0.00078879i,-0.0024588-0.00090953i,0.0045584+0.0047767i,-0.0050503+0.0057668i,0.00080416-0.068012i,-0.065118+0.029474i,-0.033994-0.021357i,-0.07479-0.039468i,-0.053018-0.0055776i,-0.076653+0.021752i,-0.070771+0.016686i,-0.041655-0.030652i,-0.013954-0.043754i,-0.04467-0.011118i,-0.006995+0.00036163i,-0.024828+0.022125i,0.010086+0.0060418i,0.011631+0.0009091i,-0.0030555-0.011307i,0.0075802+0.0034627i,-0.010747+0.0029288i,0.0076036+0.0094427i,0.0023402+0.0077574i,-0.00077247-0.001142i,0.0065967+0.0019502i,0.0050302+8.1335e-05i,0.0036498+0.017347i,0.0050458+0.0044843i,-0.0035218-0.0055618i,0.0022253-0.0067493i,0.0030573+0.004921i,-0.010547+0.00018732i,-0.0023791+0.0018679i,0.0081126-0.033594i,0.0083297+0.0074328i,0.0040633+0.0020501i,0.0015728+0.0025063i,-0.00024808-0.0021843i,0.017003-0.0070433i,-0.00030926-0.0025286i,-0.0054542-0.0045082i,-0.0032009-0.00094394i,0.010392+0.00039206i,0.0046652+7.7585e-05i,0.00069736-0.0058383i,0.0067653+0.0032175i,-0.0059719+0.0055624i,0.013506+0.0017703i,-0.049642-0.032223i,-0.0063014-0.004871i,-0.0022458-0.0027165i,0.00076078+0.0021915i,-0.034615+0.022968i,-0.0041993+0.0090353i,-0.010396+0.0060612i
-0.0053564+0.014516i,-0.0074874+0.042963i,0.015247+0.026672i,-0.00083444+0.024156i,0.0063276+0.017495i,0.010138+0.019317i,-0.019954+0.023722i,-0.011677+0.034431i,0.0034967+0.0081712i,-0.0016509+0.00058511i,0.0017677+0.0032539i,0.0024385-0.00035003i,0.0043111+0.0016826i,-0.00082638+0.0029559i,-0.00091192+0.0057097i,-0.0061129-0.001561i,-0.0078069+0.0085934i,-0.00065405+0.0015771i,0.0016246-0.0012957i,0.00020417-0.0003811i,-0.0010357-0.0029718i,0.00091926-0.0028083i,0.0008206-0.0015411i,-0.012036-0.0016781i,-5.2837e-05-0.00032666i,-0.00077852+0.0014849i,-0.00094384+0.00068635i,-0.0014759+0.0015326i,-0.0014062-0.00055107i,0.00068525-0.0013391i,-0.00062154+0.0018267i,0.0006888-0.00061596i,0.00021685-0.0014568i,0.00053968+0.00024703i,-0.00056532+0.002424i,0.0006559-0.0062868i,-0.00066126+0.00082507i,0.00040033-0.00081202i,0.0028287+0.0014122i,0.005347+0.00024972i,9.9809e-05-0.0018749i,-0.0017396+0.00035484i,-0.003337+8.3235e-05i,0.0055074+0.002774i,-0.0044017+0.0045251i,-0.021218-0.067951i,-0.051055+0.038616i,-0.042896-0.01844i,-0.082568-0.023719i,-0.048621+0.0030024i,-0.061906+0.032619i,-0.058054+0.029417i,-0.043306-0.032422i,-0.019538-0.042948i,-0.04359+0.0037495i,-0.0072598+0.0016257i,-0.013043+0.028551i,0.010508+0.0013783i,0.0081728-0.0049812i,-0.013076-0.010919i,0.0079424+0.0010415i,-0.0075041+0.0067085i,0.010464+0.0043808i,0.0052668+0.0070225i,-0.0029407+0.00040723i,0.0066875-0.00166i,0.0058791-0.0025746i,0.0084041+0.011068i,0.0038802+0.001219i,-0.0084438-0.0021862i,-0.00024087-0.0048987i,0.0057446+0.0038309i,-0.006838+0.009277i,0.00021996+0.0028732i,-0.003328-0.029367i,0.012128+0.0035203i,0.0037316+5.5409e-06i,0.00146+0.0019798i,0.00048723+2.5969e-06i,0.010755-0.011136i,-0.0024341+0.00041042i,-0.0075387-0.0012222i,-0.0036805+0.0025136i,0.006889-0.002307i,0.0072291-0.0017614i,0.00059138-0.0056182i,0.0091459+0.0001243i,-0.0025361+0.0069704i,0.011883-0.0023638i,-0.055066-0.021479i,-0.010845-0.014905i,-0.00075253-0.0036856i,0.0034487-0.00065172i,-0.025783+0.028677i,-0.0035405+0.0050169i,-0.0068766+0.0011731i
-0.0025234+0.013457i,-0.00021999+0.042786i,0.017449+0.019391i,0.0037715+0.022967i,0.01042+0.014026i,0.013496+0.015845i,-0.015452+0.026728i,-0.0062465+0.03279i,0.0027757+0.0067099i,-0.0011265+0.0016226i,0.0030742+0.0019387i,0.001232+0.0014515i,0.0040613+0.00061092i,-0.00061585+0.0037087i,0.00062318+0.0058357i,-0.0061555+0.0035665i,-0.0031879+0.011374i,0.0001622+0.0013709i,0.00073598-0.0022467i,-3.6544e-05-0.0010391i,-0.001835-0.0024408i,0.00031704-0.0030662i,0.00060557-0.0021548i,-0.011616+0.0022288i,7.5417e-05-0.00048165i,0.00017993+0.0010373i,-0.00081836+0.00039605i,-0.00036662+0.0015068i,-0.0015911+0.00013499i,-0.00017712-0.0013663i,0.00022173+0.0016359i,0.00027178-0.00073015i,-0.00066304-0.00069477i,0.00048028+0.00011631i,0.0007738+0.0022952i,-4.7351e-05-0.0083823i,-0.00012679+0.0011286i,-0.0004065-0.00060464i,0.0021973-0.0010986i,0.0048074-0.00074254i,-0.00021712-0.0016356i,-0.0010522+0.00042516i,-0.0033254+0.0018176i,0.0044565+0.00043667i,-0.0044076+0.0040577i,-0.039946-0.056258i,-0.037286+0.040695i,-0.049714-0.011027i,-0.086062-0.0079787i,-0.042622+0.0083434i,-0.049155+0.036072i,-0.044274+0.031874i,-0.047207-0.02871i,-0.025483-0.038781i,-0.038992+0.014489i,-0.0075268+0.0030172i,-0.0010831+0.029588i,0.0092476-0.0033867i,0.0028422-0.0065712i,-0.020039-0.0023964i,0.0050748-0.00024i,-0.0033883+0.0075474i,0.0088513-0.00133i,0.0082653+0.005679i,-0.002936+0.0031803i,0.0033623-0.00269i,0.004936-0.0062967i,0.0083753+0.0048647i,0.0012066-0.00026628i,-0.0085984+0.0020299i,-0.0018354-0.0036385i,0.0070319+0.0014486i,0.0027008+0.010414i,0.0017104+0.0017674i,-0.009871-0.02286i,0.012273-0.00099479i,0.0032495-0.00098107i,0.0025876+0.0018696i,0.00084-0.00052153i,0.0054266-0.011203i,1.7655e-05+0.0025682i,-0.0073017+0.0024597i,-0.00088147+0.0045996i,0.0047611-0.0018924i,0.0069617-0.0062355i,-0.0017209-0.0054761i,0.0080092-0.0052496i,-0.00037224+0.0060156i,0.0099444-0.0064952i,-0.053484-0.0089508i,-0.021589-0.015854i,-0.0017082-0.0085059i,0.0032974-0.0054996i,-0.016214+0.031158i,-0.007084+0.0043213i,-0.010382-0.00065755i
-0.0006925+0.01205i,0.0063559+0.040902i,0.016845+0.013881i,0.0082997+0.020304i,0.012771+0.0094466i,0.015311+0.011915i,-0.010024+0.028271i,-0.0019461+0.030657i,0.0034509+0.005918i,9.454e-05+0.0020238i,0.0031757+0.00094449i,0.0020936+0.0024811i,0.0038326-0.000354i,0.0011097+0.0045781i,0.0022536+0.0055433i,-0.0036021+0.0069419i,0.0019798+0.011622i,0.00065561+0.0010234i,0.00026683-0.0021765i,-0.00058398-0.0011469i,-0.0025677-0.0017961i,-0.00046925-0.003034i,-0.00031583-0.0024442i,-0.0092738+0.004986i,-0.00013254-0.001222i,0.0001788+0.00023535i,-0.00072855+0.0002982i,0.00024683+0.00087878i,-0.0012477+0.00092188i,-0.00040754-0.00086546i,0.00049323+0.0013621i,-1.3583e-05-0.0010017i,-0.00060179-0.00018747i,0.00037546-6.6709e-05i,0.0012224+0.0015486i,-0.0027792-0.0095744i,0.00016131+0.0012074i,-0.00042121+0.00022985i,0.00057735-0.0013112i,0.0040226-0.0013784i,-0.00051606-0.0017792i,-0.00077922+0.00044152i,-0.001904+0.0030346i,0.0032869+0.00089567i,-0.0041582+0.004356i,-0.047025-0.039478i,-0.027298+0.038548i,-0.054414-0.0013982i,-0.086929+0.0091923i,-0.038395+0.0093388i,-0.038441+0.036999i,-0.034684+0.031358i,-0.049394-0.024601i,-0.028254-0.035138i,-0.032605+0.024692i,-0.0070136+0.0046299i,0.01252+0.025069i,0.0067051-0.0058243i,-0.0016779-0.0053046i,-0.020544+0.0068769i,0.0039078+8.5784e-05i,0.00028477+0.0078946i,0.0039898-0.0032682i,0.010184+0.0027362i,-0.0012105+0.0053447i,0.0013048-0.0013252i,0.0020669-0.0087776i,0.0041839+0.0015559i,-0.00080268+0.0012189i,-0.0082201+0.0071371i,-0.0029965-0.0012767i,0.0069082-0.0014432i,0.0073618+0.0054835i,0.0023572+0.0008436i,-0.012587-0.019246i,0.010479-0.005609i,0.002562-0.0020196i,0.0058161+0.0013055i,0.00055195-0.0002223i,0.002645-0.009807i,0.0021407+0.0015955i,-0.0043035+0.0057808i,0.0025095+0.0046459i,0.0045153-0.0017983i,0.0029808-0.010684i,-0.0027444-0.0038387i,0.0036527-0.0082913i,0.00016836+0.0047523i,0.00522-0.010125i,-0.047625-0.0026463i,-0.032732-0.0078554i,-0.0057723-0.0099827i,0.0010592-0.009936i,-0.0080256+0.030045i,-0.010313+0.006972i,-0.012053+0.0020095i
0.00069379+0.010939i,0.012255+0.038574i,0.016005+0.01095i,0.011604+0.016279i,0.012848+0.0046625i,0.016472+0.0086463i,-0.0042147+0.028123i,0.0011078+0.028975i,0.0043036+0.0036386i,0.00068147+0.0014017i,0.0026344+0.00019801i,0.003196+0.0024643i,0.003238-0.001142i,0.0028463+0.0037048i,0.0034692+0.0046508i,-0.00017947+0.0084044i,0.0065779+0.0095594i,0.0010364+0.00069327i,-0.00028667-0.0023732i,-0.0011961-0.00099103i,-0.0026529-0.00056763i,-0.0010109-0.0028142i,-0.0010148-0.0020239i,-0.0074722+0.0056696i,-0.0011004+0.00011262i,-0.0002036-2.2928e-05i,-0.00078427+0.00025313i,0.00039029+0.00016675i,-0.00058378+0.0011942i,-0.00041023-0.00062726i,0.0010042+0.0011528i,-0.00055469-0.0011424i,-0.00064351+0.0001229i,5.2117e-05-0.00028824i,0.0014266+0.0013868i,-0.005909-0.0095091i,0.00013556+0.00083475i,0.0001992+0.00035296i,-3.1623e-05-0.0010178i,0.0032424-0.0019277i,-0.0011335-0.0013529i,-0.00077914+0.00047595i,-0.00045986+0.0030909i,0.0036212+0.0014045i,-0.0033748+0.0048736i,-0.045556-0.027263i,-0.020216+0.036153i,-0.055285+0.011821i,-0.081427+0.028899i,-0.039243+0.010132i,-0.029984+0.035739i,-0.026589+0.029997i,-0.050556-0.018877i,-0.031739-0.031734i,-0.023392+0.030082i,-0.0065243+0.0066199i,0.018998+0.011144i,0.004585-0.0079113i,-0.0047748-0.0018387i,-0.015673+0.015119i,0.0037627-0.00083225i,0.0045052+0.0055703i,0.0012216-0.001341i,0.011507-0.0017162i,0.0013972+0.0060038i,0.00095412-0.00021548i,-0.0028554-0.010045i,0.0026482+0.0037922i,-0.00054301+0.0037151i,-0.002587+0.011462i,-0.0017397+0.0008646i,0.0058444-0.0031743i,0.0083387+0.0013248i,0.0030946-0.0007617i,-0.01695-0.018059i,0.0066182-0.0079699i,0.0010651-0.002655i,0.0041132-0.0026909i,0.00072054+0.00098303i,0.0017076-0.0080256i,0.0026268-2.4956e-05i,-0.00065785+0.006642i,0.0038849+0.0020253i,0.0037249-0.0029788i,-0.0031876-0.010523i,-0.0031788-0.0033612i,-0.00082507-0.0086116i,0.000825+0.0034955i,-0.00083892-0.01017i,-0.044783+0.0017688i,-0.031135+0.0074427i,-0.0092558-0.0099631i,-0.0038965-0.011939i,-0.0030919+0.028564i,-0.0088169+0.012146i,-0.0091436+0.0038175i
0.0019313+0.0099127i,0.017881+0.035822i,0.016216+0.0088326i,0.013005+0.011905i,0.011421+0.0013748i,0.017436+0.0051961i,0.00082867+0.026673i,0.0039424+0.027553i,0.0042339+0.0018621i,0.00069234+0.0011644i,0.0022238+0.00035221i,0.0046785+0.0021263i,0.0024412-0.001646i,0.0036032+0.0019651i,0.0041381+0.0036138i,0.0030771+0.0083273i,0.0095936+0.0060132i,0.0013308+0.00043847i,-0.00092162-0.0024232i,-0.0016142-0.00038535i,-0.0021318+0.00032866i,-0.0015767-0.0026268i,-0.0013829-0.0015083i,-0.0065736+0.0074982i,-0.0010106+5.4332e-05i,-0.00053251+0.00026974i,-0.00074984+0.00083727i,-0.00018939-0.00023926i,-0.00010118+0.00090073i,-0.00048209-0.00063864i,0.0012657+0.00063208i,-0.0007522-0.00051006i,-0.00044241+0.0002282i,-0.00012406-0.00018351i,0.0018534+0.00050889i,-0.0090661-0.0080788i,0.0002229+0.00040288i,0.00017154-9.6371e-05i,-0.00049257-0.00060304i,0.0024185-0.002256i,-0.0010874-0.00080677i,-0.00043548+0.00066143i,0.00042958+0.0022755i,0.0041368+0.00068425i,-0.0020903+0.0048577i,-0.04415-0.022755i,-0.015027+0.034565i,-0.049821+0.024276i,-0.070069+0.045135i,-0.039557+0.015689i,-0.023549+0.035127i,-0.021396+0.02712i,-0.051234-0.013989i,-0.033822-0.026359i,-0.015591+0.032829i,-0.0036998+0.0072781i,0.013731-0.0018985i,0.00081063-0.010278i,-0.0048964+0.0012079i,-0.0094098+0.018684i,0.0021442-0.0020548i,0.0053476+0.001181i,0.001832-0.00015474i,0.0096321-0.0051682i,0.0045876+0.0063238i,0.0013023+0.0014804i,-0.007856-0.0052257i,0.0039118+0.0053545i,0.0010017+0.0052304i,0.003508+0.011385i,-0.0008414+0.0011455i,0.0043777-0.0045322i,0.0081106-0.0041497i,0.0012699-0.001655i,-0.023187-0.012093i,0.003357-0.0084423i,-0.00031299-0.0017861i,0.0039399-0.0014796i,0.0017605+0.00084396i,0.0022589-0.0090718i,0.0019232-0.0015043i,0.0016848+0.0054205i,0.0036402+0.00090634i,0.0031822-0.0025931i,-0.0067021-0.0065451i,-0.0045858-0.0025594i,-0.0039034-0.005385i,0.00060487+0.0023759i,-0.0044385-0.0072053i,-0.041512+0.0070447i,-0.024898+0.01048i,-0.0095553-0.0090443i,-0.007765-0.011092i,0.0014476+0.025028i,-0.0062555+0.013179i,-0.0082911+0.0035533i
0.0029452+0.008771i,0.023293+0.032483i,0.017163+0.0068596i,0.013246+0.0086497i,0.0094717-0.00064439i,0.017557+0.0017541i,0.0053163+0.024413i,0.0068851+0.026873i,0.0038082-2.7111e-05i,0.00085029+0.00097042i,0.0026236+0.00050466i,0.0059733+0.00025899i,0.0016447-0.0017777i,0.0029638+0.00092899i,0.0047384+0.0027213i,0.0059222+0.0064863i,0.010467+0.0024015i,0.0016837-0.00019132i,-0.001644-0.002296i,-0.0014871+0.00054472i,-0.0014299+0.00087112i,-0.0021564-0.0018504i,-0.0015103-0.0010911i,-0.0036014+0.0091554i,-0.0009208+0.00043806i,-0.0003461+0.0006565i,-0.00057991+0.0012848i,-0.00089587-7.1976e-05i,8.0798e-05+0.00073884i,-0.0006538-0.00058919i,0.0012616+0.00036849i,-0.00039425-0.0004782i,-0.00052872+0.00025149i,-0.00023068-6.4847e-05i,0.0016308-0.00033054i,-0.011709-0.0051008i,0.00061002+0.00072049i,-0.00011023-3.0985e-05i,-0.0010276-0.00036156i,0.0018203-0.0024097i,-0.00078191-0.00059928i,-6.8502e-05+0.00056898i,0.00056065+0.0015725i,0.0040122+0.00011395i,-0.0010976+0.0039722i,-0.046896-0.019093i,-0.010956+0.032759i,-0.042263+0.033544i,-0.054917+0.055096i,-0.038433+0.021522i,-0.016763+0.033434i,-0.017775+0.026033i,-0.051745-0.0089764i,-0.034442-0.020764i,-0.0073032+0.034225i,-0.0018758+0.0063482i,0.0060501-0.0046926i,-0.0034206-0.010455i,-0.0033042+0.0044811i,-0.0034998+0.019657i,-0.00019702-0.0023826i,0.0028426-0.001958i,0.0015492+0.00022041i,0.0070497-0.0084709i,0.0079471+0.0035576i,0.0027419+0.0018066i,-0.0083967-0.0011016i,0.0059268+0.0061589i,0.0036852+0.0059942i,0.0086887+0.008726i,-0.00034527+0.001627i,0.0035875-0.0052874i,0.0044371-0.0061736i,0.00061493-0.00028859i,-0.026507-0.0045283i,0.0016134-0.0089117i,-0.00039796-0.00045203i,0.0046886-0.0012345i,0.0022404+0.00010846i,0.0008661-0.011597i,0.00038179-0.001786i,0.0038811+0.0039859i,0.0035979-0.00011153i,0.0043857-0.0032688i,-0.008154-0.0034811i,-0.0061169-0.00010392i,-0.0061763-0.0032204i,0.00042948+0.0013063i,-0.0057574-0.0044307i,-0.037526+0.010645i,-0.022473+0.012449i,-0.0094966-0.010525i,-0.01065-0.0094734i,0.0025617+0.02222i,-0.0059481+0.013123i,-0.0069522+0.003617i
0.0040352+0.0077489i,0.029074+0.027814i,0.01877+0.0041906i,0.013104+0.0060042i,0.0082104-0.0010868i,0.017159-0.0014038i,0.0088689+0.020979i,0.01156+0.02528i,0.0028235-0.0014534i,0.00089138+0.00068918i,0.0029938-0.00027095i,0.005386-0.0024496i,0.0010843-0.0015813i,0.002751+0.000407i,0.0053699+0.0015499i,0.0068704+0.0037843i,0.009877-0.0012289i,0.0011484-0.001i,-0.002515-0.0016279i,-0.0007876+0.00093844i,-0.00047645+0.00085947i,-0.0022035-0.0013056i,-0.0016713-0.00068097i,-0.00016723+0.0091906i,-0.00059603+0.00065137i,-7.3813e-05+0.00067797i,-3.5803e-05+0.0015147i,-0.0010879+0.00059169i,0.00032128+0.0003613i,-0.00073336-0.00041741i,0.0013166-0.00033452i,-0.00066574-0.00047239i,-0.00037899+0.00054807i,-0.00032736-2.6683e-05i,0.0010479-0.00086858i,-0.013215-0.00053991i,0.00014681+0.00041781i,-2.5152e-05+6.0802e-05i,-0.0012969+0.0003747i,0.0011873-0.0024058i,-0.00082643-0.00056995i,0.00020332+0.00023027i,0.00045406+0.0012945i,0.0041892-0.00032064i,-0.00079312+0.0032693i,-0.051794-0.012167i,-0.0070655+0.030971i,-0.03134+0.039183i,-0.040293+0.061684i,-0.03595+0.02962i,-0.010509+0.029958i,-0.011814+0.024372i,-0.051422-0.0025328i,-0.033063-0.014723i,0.00038463+0.033457i,-0.0012915+0.0055517i,0.00076127-0.0054006i,-0.0082483-0.0093953i,0.00065917+0.005373i,0.000684+0.018078i,-0.0028737-0.0014277i,0.0051496-0.0041909i,0.0026997+0.001953i,0.0022135-0.010607i,0.0090545-0.00095144i,0.0038609+0.0010905i,-0.008335+0.0035049i,0.009611+0.0054967i,0.0073645+0.0042577i,0.012134+0.003558i,0.00075926+0.0021364i,0.0020472-0.0063726i,-3.2548e-05-0.0090688i,0.0016481+0.00093266i,-0.026524+0.0057951i,-0.001047-0.0074033i,0.00040485+0.00073337i,0.0054016-0.004478i,0.0028068-0.00029928i,-0.003896-0.012986i,-0.00055478-0.00095575i,0.0046921+0.0018366i,0.0033781-0.00073431i,0.0038919-0.0047973i,-0.0081709+0.00081734i,-0.0058072+0.0033933i,-0.0073488-0.00050482i,-0.00079456-5.0092e-05i,-0.0059194-0.0022013i,-0.034509+0.013247i,-0.020221+0.017482i,-0.012054-0.014027i,-0.010333-0.0079497i,0.0042874+0.020917i,-0.0062462+0.015969i,-0.0048574+0.0020499i
0.0050803+0.0063998i,0.033531+0.021397i,0.019707+8.3064e-05i,0.012905+0.0038104i,0.0078792-0.0013361i,0.016591-0.0042607i,0.01109+0.0173i,0.015358+0.022542i,0.001656-0.0021235i,0.00077315+0.00072791i,0.0027284-0.0010183i,0.0032763-0.0038527i,0.00065084-0.0014245i,0.0023304-9.2672e-06i,0.0054629+0.00013267i,0.0064549+0.0017545i,0.0083279-0.0039071i,0.00067491-0.0011153i,-0.0026472-0.00066148i,-6.6947e-05+0.00096271i,0.00020229+0.00041071i,-0.0021479-0.0008583i,-0.0015927-0.00032848i,0.0027972+0.0086481i,-0.00031517+0.00055088i,9.8602e-05+0.00068202i,0.00048872+0.0012402i,-0.00078569+0.00094523i,0.00022893-0.00013652i,-0.00090941-0.00028442i,0.00098222-0.0008166i,-0.00092896-8.2943e-05i,-0.00012957+0.00066993i,-0.00038605+0.00020516i,0.00033737-0.0011816i,-0.011871+0.0031207i,0.00054332+0.00026027i,-0.00011094-9.4451e-05i,-0.00094278+0.001136i,0.0006972-0.0025728i,-0.00058261+0.000355i,7.8331e-05-0.00031612i,0.00048138+0.0013404i,0.004083-0.00147i,-0.00037969+0.0029417i,-0.053821-0.00064572i,-0.0048918+0.029293i,-0.021639+0.040392i,-0.024001+0.065777i,-0.0291+0.038406i,-0.0068714+0.024832i,-0.008202+0.019153i,-0.048136+0.0033341i,-0.02968-0.0091363i,0.0089507+0.030394i,-0.00070052+0.0059921i,-0.0050853-0.0035732i,-0.012146-0.0059125i,0.0033792+0.0031946i,0.0042454+0.016434i,-0.0054793+0.00098513i,-0.00066226-0.0072612i,0.0052893+0.00072243i,-0.0027672-0.0094418i,0.0068878-0.0046176i,0.0049089-0.00058044i,-0.0066516+0.0071296i,0.012586+0.00058977i,0.008725-0.00038334i,0.012033-0.0038703i,0.0022629+0.0016778i,-3.9093e-05-0.006426i,-0.0039559-0.0058648i,0.0031086-0.00035159i,-0.02776+0.029328i,-0.0032083-0.0063911i,0.0019377+0.00097568i,0.0026548-0.0063526i,0.0029826-0.00083389i,-0.0094784-0.010599i,-0.00014021+0.00061491i,0.0046607-0.00026359i,0.0025557-0.0015359i,0.0024875-0.005506i,-0.0061603+0.0044622i,-0.0032617+0.0054334i,-0.0072048+0.0035408i,-0.0031383+9.9119e-05i,-0.0055873-0.00085074i,-0.030378+0.017723i,-0.011416+0.020266i,-0.017921-0.014548i,-0.010249-0.0073706i,0.0052788+0.020197i,-0.0032161+0.019261i,-0.0047936-0.0015567i
