-0.02657-0.044558i,-0.021135-0.02284i,-0.012736-0.037842i,-0.030197-0.021512i,-0.024945-0.0019395i,-0.013465-0.0037923i,-0.052842-0.054368i,-0.04801-0.017327i,-0.038887-0.016701i,0.010476+0.014011i,-0.0088467+0.0053275i,-0.019966+0.019591i,0.00206+0.012415i,-0.0039647-0.002491i,0.0010096+0.0010487i,-0.00022273+0.028577i,0.025746+0.025902i,0.0027993-0.0021591i,-0.0021341-0.0071348i,0.0078204+0.0028393i,0.0024654+0.00086543i,0.00013313+0.0037569i,-0.00051364+0.00010073i,-0.035307-0.010506i,0.00014831-0.0079379i,0.0015806+0.0023165i,0.0056348+0.0010057i,0.0020433+0.00044617i,0.0012366-0.00049236i,-0.00036403-0.0027135i,0.0016208-0.0021685i,-0.0023782-0.0056084i,-0.00074795-0.00434i,0.003091-0.0006713i,0.0046808-0.0031742i,0.0028505+0.029175i,0.0038784-0.0037444i,0.0028968-0.0016438i,0.0084653-0.0010213i,-0.0052632-0.0026092i,-0.00037054+0.00074418i,0.0099826-3.3877e-05i,0.0050169-0.0018294i,-0.0028316+0.0086789i,-0.015971-0.0091901i,-0.017902+0.016505i,0.0013189-0.062962i,-0.003858-0.027235i,-0.025301-0.034485i,-0.0096987-0.026869i,0.052431-0.023503i,0.017009-0.044073i,0.025511-0.047831i,0.0086906-0.054786i,0.028341-0.018885i,0.008838+0.0065317i,0.027278-0.032741i,-0.0079661-0.0064101i,0.003108-0.0039785i,-0.0051508-0.0068832i,-0.0010198-0.033481i,-0.020326+0.029615i,0.009752-0.011658i,-0.0093575-0.0038677i,-0.0041671-0.0019204i,0.000673-0.013197i,-0.010775+0.004117i,0.0024631+0.0105i,-0.0057937+0.027268i,0.0050295+0.0026433i,-0.0054905-0.0017557i,-0.0019262-0.0024712i,-0.01303-0.0078561i,-0.00020692-0.0044697i,-0.036543-0.00099364i,0.0016252-0.010882i,-0.0085086-6.5224e-05i,-0.0068144-0.002291i,0.0053809+0.0011877i,-0.0079354-0.00067037i,0.0022854+0.00012906i,0.004025+0.0072716i,0.0040744+0.00041494i,-0.0077197-0.013688i,0.0027+0.0097252i,-0.015343+0.0045672i,0.0070955+0.00039217i,-0.023306-0.0012545i,-0.019141+0.0058129i,-0.0034182-0.067721i,0.0086548-0.01258i,-0.047241-0.025599i,-0.020382-0.0011671i,0.016171+0.013278i,-0.024088+0.013799i,-0.01969-0.0065889i
-0.047154+0.027945i,-0.019994+0.019876i,-0.022089+0.042822i,-0.028072+0.01419i,-0.0047409+0.023559i,-0.00012143+0.0082813i,-0.029226+0.02375i,-0.0030284+0.030451i,0.0062603+0.020141i,-0.0062381-0.0077906i,0.0032757+0.0037998i,0.0077344-0.00039011i,0.005377-8.8481e-05i,-0.0011111+0.0022062i,-3.5022e-05+0.0019358i,0.0051559-0.0050345i,-0.0062766-0.00033893i,-0.0032744-0.00011564i,0.0048799-0.0013165i,-0.00017907-0.0011953i,0.0021813-0.0047916i,0.0012055-0.0029189i,0.001573-0.0026086i,-0.0081181-0.010942i,-0.00099254+0.0028115i,-0.0016235+0.00021514i,-0.003748-0.0009405i,-0.0028606+0.00028054i,-0.00078418-0.0015369i,-0.00012103-0.00024154i,-0.0013663+0.0044918i,0.00067748+0.0014428i,0.0016239+0.00091581i,-0.00063926+0.00084826i,-0.0030135+0.0035076i,-0.0015904-0.007019i,-0.0028795+0.00081461i,0.00095245-0.00073659i,-0.0019304+0.0036538i,0.0037102+0.0027794i,-0.0002861-0.0014636i,-0.00080383-0.0029311i,-0.0040185-0.00053501i,0.0046167+0.0013503i,-0.020195+0.022753i,0.0072913-0.041431i,-0.056408+0.0012921i,0.0089566-0.033137i,-0.031916-0.051607i,-0.029275-0.021613i,-0.065208+0.020356i,-0.040013+0.00068979i,-0.034919-0.0086213i,-0.027313-0.025568i,-0.039137-0.02632i,-0.0053131+0.0030354i,-0.029376+0.009004i,0.0059447+0.018764i,0.0026973+0.008405i,-0.0033279-0.0050045i,0.0022056+0.0016495i,-0.011193-0.0041157i,0.00536+0.012776i,-0.00097566+0.0059994i,-0.0015418-0.0014574i,0.0010868+0.0025424i,0.0039561-0.00062004i,-0.0043301+0.01785i,0.0021875+0.015192i,0.003543+0.00079475i,0.0094367-0.0067741i,0.0043331+0.0032732i,-0.00912-0.0076063i,-0.00092179-0.0029302i,0.028216-0.033938i,0.0080958+0.010289i,0.0053584+0.0022448i,-0.0029146+0.0028328i,0.0037825-0.005396i,0.020953+0.0098988i,0.0032167+0.0028151i,-3.9769e-05-0.0069115i,0.0014085-0.002929i,0.014627+0.0088953i,0.004911+0.001602i,0.0028636-0.0049765i,0.0035994+0.0094078i,0.00017573+0.0010488i,0.0098052+0.0035376i,-0.044723-0.01662i,-0.0063748+0.012432i,-0.0024654-0.0037174i,-0.0078151+0.004288i,-0.038145+0.0098194i,-0.0061728+0.007357i,-0.011784+0.014033i
-0.041928+0.034929i,-0.016636+0.020072i,-0.011387+0.038554i,-0.02525+0.017504i,-0.001486+0.021654i,0.0013497+0.0081345i,-0.026125+0.028355i,0.0028837+0.02955i,0.0092359+0.014833i,-0.0079034-0.0042463i,0.0046432+0.0040917i,0.0068478-0.0029107i,0.0048716-0.0020982i,0.00070876+0.002936i,0.00028625+0.0021204i,0.0013278-0.0042018i,-0.0072613+0.0031588i,-0.0026838+0.0010508i,0.0049562-0.0026357i,4.1032e-05-0.0010793i,0.00078559-0.0048734i,0.00093941-0.0024841i,0.00086487-0.0027316i,-0.010031-0.0078558i,0.00043174+0.0023057i,-0.0015909+0.00066398i,-0.003229+0.00070979i,-0.0019595+0.00099252i,-0.0013947-0.0013398i,0.00016799-0.00015796i,0.00049897+0.0047702i,0.00048593+0.0014763i,0.001515-5.61e-05i,-0.00067357+0.00109i,-0.0025923+0.0037792i,-0.0017179-0.0060265i,-0.0024153+0.0014063i,-0.0002365-0.0013395i,-0.0011433+0.0043859i,0.0034735+0.00058002i,-0.00052947-0.001258i,-0.0023943-0.0026437i,-0.0042123+0.00080882i,0.0051709+0.00015425i,-0.01623+0.022384i,-0.0071927-0.047096i,-0.049987+0.012377i,-0.00067446-0.041106i,-0.046657-0.045732i,-0.030531-0.014796i,-0.053396+0.032748i,-0.037107+0.0099906i,-0.02535-0.01083i,-0.029818-0.02172i,-0.046132-0.010589i,-0.0045707+0.0027518i,-0.025013+0.021305i,0.01104+0.013171i,0.0054788+0.0048424i,-0.0082572-0.0077367i,-0.0011062+0.0035913i,-0.011139+0.0028916i,0.010546+0.0091398i,0.0001339+0.0080826i,-0.0019326-6.0741e-05i,0.0022877+0.0037594i,0.0043121-0.0011727i,0.0042401+0.014919i,0.0081833+0.009537i,-1.4237e-06-0.0025916i,0.0030069-0.0079627i,0.0048077+0.0028368i,-0.011775+0.00072766i,-0.0027085-0.00097559i,0.011214-0.037819i,0.012088+0.007728i,0.0070591-0.00035947i,0.00084294+0.0027848i,-0.00028356-0.0032097i,0.022989-0.00041947i,0.0032502+0.0012923i,-0.0035046-0.0053866i,-0.0025085-0.0019632i,0.014324+0.0027876i,0.0048363+0.0015917i,0.00097498-0.0035349i,0.0066178+0.0079749i,4.0183e-05+0.0017163i,0.010397-0.00024697i,-0.048107-0.012313i,-0.00028718-0.001621i,-0.0014271-0.0035847i,-0.0064848+0.0048699i,-0.032399+0.021962i,-0.0040267+0.0084681i,-0.0071202+0.015372i
-0.035032+0.04072i,-0.014225+0.020692i,-0.0064752+0.032162i,-0.022313+0.020653i,0.0022171+0.020724i,0.0030398+0.0074711i,-0.02102+0.033046i,0.0082954+0.027138i,0.0092597+0.010652i,-0.0083403-0.00068318i,0.0068661+0.0032066i,0.0027674-0.0038897i,0.0036716-0.0033342i,0.0015473+0.0025411i,0.00081981+0.0022449i,-0.0014932-0.0015532i,-0.0059606+0.0071529i,-0.0011974+0.0016752i,0.0043653-0.0047446i,0.00031572-0.0015927i,-0.00071572-0.0045387i,0.0010371-0.0028131i,0.0003338-0.0027621i,-0.011926-0.0053466i,0.0011215+0.0017018i,-0.0010069+0.0014217i,-0.0020856+0.0010512i,-0.00078624+0.001329i,-0.0015159-0.0010468i,6.0692e-05-0.00058183i,0.0022522+0.004011i,0.00066505+0.0016519i,0.0011634-0.00044135i,-0.00037608+0.00096899i,-0.00098102+0.0048187i,-0.0012488-0.0061042i,-0.0022285+0.0018195i,-0.001215-0.0011952i,0.0020546+0.0031436i,0.0026126-0.00041687i,-0.00080213-0.00095733i,-0.0019218-0.00094827i,-0.003931+0.001907i,0.0047598-0.0020931i,-0.013589+0.022586i,-0.024491-0.045031i,-0.039861+0.018976i,-0.013032-0.043393i,-0.055579-0.035997i,-0.027454-0.0088176i,-0.03766+0.039042i,-0.025501+0.01598i,-0.026737-0.015011i,-0.031661-0.018321i,-0.044151+0.0048231i,-0.0037864+0.0029931i,-0.013826+0.029184i,0.013118+0.0073224i,0.0037193-0.00034783i,-0.017482-0.004839i,-0.00022283+0.004906i,-0.0070573+0.0067482i,0.012331+0.0027137i,0.0032823+0.0084635i,-0.003572+0.001551i,0.0028117+0.0017128i,0.0041047-0.0027282i,0.0072002+0.0084897i,0.0083411+0.0037159i,-0.004789+0.00026083i,0.00011637-0.0060672i,0.0066523+0.0018811i,-0.0071491+0.0099278i,-0.00087706+0.0013008i,-0.0022434-0.034479i,0.015759+0.001662i,0.005961-0.0029084i,0.00090352+0.0012122i,2.3437e-05-0.00075266i,0.018485-0.0087775i,0.00173+0.0029232i,-0.0055273-0.0026815i,-0.0035747+0.0019964i,0.011525-0.0016895i,0.0084371-0.00033325i,0.0010643-0.0034832i,0.010304+0.0043331i,0.0028797+0.0021187i,0.0091986-0.0036355i,-0.051265-0.0027227i,-0.0086352-0.01109i,0.00085224-0.0062331i,-0.0052228+0.0042179i,-0.022482+0.027386i,-0.003166+0.0035862i,-0.0026343+0.010856i
-0.027053+0.044509i,-0.011086+0.022115i,-0.0052033+0.027229i,-0.018008+0.023673i,0.0057457+0.017766i,0.0046311+0.005924i,-0.01388+0.036382i,0.012921+0.023249i,0.0089763+0.008811i,-0.0075454+0.0025581i,0.0078117+0.00025993i,0.00050603-0.001344i,0.0021698-0.0037906i,0.0015251+0.0025807i,0.0012987+0.0020115i,-0.0016031+0.0021411i,-0.0019635+0.010091i,-0.00020056+0.001201i,0.0025198-0.0057605i,-0.00036135-0.0021569i,-0.0017809-0.0036115i,0.00069704-0.0031473i,-0.00027536-0.0029474i,-0.013458-0.0011902i,0.0016064+0.00043214i,-6.3747e-06+0.00092755i,-0.0015793+0.00086395i,0.00027582+0.00057607i,-0.0016307-0.00040996i,-0.00024823-0.00035598i,0.0034301+0.0025433i,0.0012035+0.0015059i,0.00046941-0.00073556i,-0.00023052+0.0010163i,0.0013537+0.004143i,-0.0022572-0.0077783i,-0.00128+0.002748i,-0.0019091-0.00055379i,0.0019607+0.00010948i,0.0020406-0.00081558i,-0.00079236-0.00060181i,-0.0013224-0.00082614i,-0.0032333+0.0030617i,0.0020658-0.0046814i,-0.010899+0.023815i,-0.038333-0.032286i,-0.030548+0.019781i,-0.024538-0.04003i,-0.06393-0.024434i,-0.022881-0.0066223i,-0.023877+0.038407i,-0.015209+0.012407i,-0.028358-0.0125i,-0.032889-0.012653i,-0.038294+0.015506i,-0.0034707+0.0031261i,-0.0015472+0.029899i,0.013611+0.0016347i,-0.0010552-0.0012135i,-0.021942+0.0056584i,-0.00022174+0.0065215i,-0.0034527+0.0066551i,0.0096717-0.003755i,0.0064484+0.0072798i,-0.0030668+0.0047001i,0.00080757+0.0018916i,0.0033983-0.00539i,0.0059873+0.0026115i,0.0056469+0.00059128i,-0.0031752+0.0033288i,-0.0014907-0.0043966i,0.0068992-0.00040737i,0.0028859+0.01163i,0.0002878+0.00065848i,-0.010106-0.027765i,0.013792-0.0043945i,0.0044797-0.0044913i,0.0017774+0.0027763i,0.00052674-0.0010164i,0.012447-0.012027i,0.004937+0.0036357i,-0.0060297+0.00060106i,-0.0010472+0.004527i,0.0088484-0.0027813i,0.0082101-0.0059212i,-0.00070677-0.0031104i,0.0099765-0.0023002i,0.0036292-0.00098542i,0.0075959-0.0071828i,-0.047884+0.0090477i,-0.018646-0.011066i,-0.0014264-0.011729i,-0.0035701+0.0028318i,-0.014441+0.028114i,-0.0074284+0.0027421i,-0.0033153+0.0093946i
-0.019602+0.046595i,-0.0083523+0.022413i,-0.0061661+0.025043i,-0.012994+0.025318i,0.0077841+0.014436i,0.0051005+0.0041134i,-0.0059231+0.037292i,0.015971+0.01871i,0.0097784+0.0074086i,-0.0051061+0.0048436i,0.0066132-0.0019335i,0.0010037+0.00079957i,0.0010678-0.0038262i,0.002685+0.0028839i,0.0017283+0.0016842i,0.00016806+0.0044886i,0.0028399+0.010492i,-3.6485e-06+0.00062155i,0.00089462-0.0060174i,-0.0012876-0.0020385i,-0.0025565-0.0027649i,-2.245e-05-0.0033279i,-0.0011989-0.0028315i,-0.011569+0.0031397i,0.00075791-0.00099345i,-0.00012062+5.1179e-05i,-0.001328+0.00085353i,0.00029186-0.00051493i,-0.001534+9.2356e-05i,-1.348e-06-0.00012263i,0.0037342+0.00091i,0.0019184+0.00075407i,-0.00011263-0.00051646i,-0.00023683+0.0010437i,0.0019802+0.0029803i,-0.0051303-0.0085339i,-0.00031932+0.0028092i,-0.0019776+0.00060357i,0.00025986-0.00058528i,0.0013804-0.00072233i,-0.00066752-0.00047153i,-0.0015461-0.000818i,-0.001836+0.0038064i,-0.0010166-0.0034632i,-0.0069869+0.025287i,-0.039706-0.016189i,-0.024496+0.018071i,-0.034166-0.033408i,-0.069157-0.0088474i,-0.020051-0.0086626i,-0.012738+0.034473i,-0.010514+0.0074271i,-0.028449-0.010821i,-0.032043-0.0085669i,-0.031811+0.023878i,-0.0029403+0.0031354i,0.01138+0.02578i,0.01236-0.0030648i,-0.0045107+0.0013009i,-0.019452+0.015025i,0.0018937+0.007718i,-0.00087234+0.0077314i,0.0030169-0.0047895i,0.0086967+0.0049315i,-0.001169+0.0065686i,0.00062567+0.003949i,0.0017153-0.0070818i,0.0019036+0.0024312i,0.0030272+0.00091764i,-0.0024032+0.0045509i,-0.0023969-0.002272i,0.0060743-0.002597i,0.0081776+0.0069318i,0.00050374+1.0518e-05i,-0.014391-0.024947i,0.010082-0.0082558i,0.0023696-0.0055859i,0.0051272+0.0025945i,-2.023e-05-0.00052282i,0.0085491-0.012925i,0.0075175+0.00097146i,-0.0039606+0.0038668i,0.0017926+0.004292i,0.0082944-0.0038935i,0.0037798-0.010491i,-0.00080847-0.0021833i,0.0056745-0.0062737i,0.0014673-0.0023605i,0.0037168-0.010306i,-0.040095+0.014236i,-0.02736-0.0037938i,-0.0060929-0.013714i,-0.0029922+0.00041535i,-0.00882+0.027405i,-0.01055+0.0057276i,-0.0020225+0.0099288i
-0.012504+0.04806i,-0.0058336+0.023208i,-0.0063679+0.026293i,-0.0081651+0.025264i,0.0083456+0.011182i,0.0052853+0.0028706i,0.002072+0.035781i,0.017711+0.014222i,0.010787+0.0050665i,-0.0029298+0.0050231i,0.0045615-0.002883i,0.0021856+0.0017286i,-0.0001208-0.003744i,0.0039315+0.0018131i,0.00192+0.0012129i,0.0027158+0.0052496i,0.0074032+0.0085102i,9.5673e-05+0.00044743i,-0.0012672-0.0059514i,-0.0019726-0.0015035i,-0.0027721-0.0016268i,-0.00064912-0.0034041i,-0.0018682-0.0022703i,-0.0097709+0.004663i,-0.00056719-0.00096506i,-0.00073116-0.00015152i,-0.0011372+0.0010046i,-0.00015678-0.0014014i,-0.0012217+0.00049842i,8.5815e-05-0.00043453i,0.0035005-0.0004716i,0.0019982-0.00040961i,-0.00029631-0.00024969i,1.1534e-05+0.00099798i,0.0022062+0.0023054i,-0.0081095-0.0076124i,0.00030356+0.0024511i,-0.0014022+0.0012783i,-0.00075903+8.2734e-05i,0.0011013-0.0003509i,-0.00054286-0.00015552i,-0.0016298-0.00018019i,-0.00042145+0.0037194i,-0.0021992-0.0011719i,-0.0028777+0.026381i,-0.034336-0.0072861i,-0.020905+0.016601i,-0.040251-0.022776i,-0.06665+0.010558i,-0.023537-0.011496i,-0.0058879+0.028303i,-0.0077958+0.0032338i,-0.028051-0.00782i,-0.032365-0.005247i,-0.023421+0.029363i,-0.0034692+0.00351i,0.018684+0.012191i,0.010149-0.0073463i,-0.005541+0.005348i,-0.012117+0.022262i,0.0044948+0.0064367i,0.0036901+0.0064476i,0.00030242-0.0017386i,0.010437+0.0010983i,0.0013475+0.0078576i,0.0020519+0.0050012i,-0.003557-0.0093294i,0.00096273+0.0053741i,0.0031656+0.0023595i,0.00030651+0.0074367i,-0.0014813-0.00066301i,0.0046008-0.0035033i,0.0097833+0.0016158i,0.0009313-0.00085584i,-0.022752-0.023175i,0.0058291-0.010142i,-0.00012449-0.0056907i,0.0054519-0.00027224i,8.7428e-05+0.00062771i,0.0060593-0.012648i,0.0072214-0.0025778i,-0.00086848+0.0050162i,0.0035763+0.0021799i,0.0067499-0.0058769i,-0.003093-0.010192i,-0.0011224-0.0024879i,0.0020942-0.0056948i,0.0007651-0.0029681i,-0.0014598-0.01019i,-0.035441+0.017251i,-0.025891+0.010059i,-0.010698-0.013817i,-0.0043052-0.0011153i,-0.0048304+0.027133i,-0.0097457+0.01069i,0.0019721+0.0088414i
-0.0050736+0.0487i,-0.0026439+0.024142i,-0.004456+0.028641i,-0.0046338+0.024114i,0.0078911+0.0091193i,0.0054033+0.0016164i,0.0088644+0.032356i,0.018381+0.010102i,0.011383+0.002941i,-0.0016214+0.0051962i,0.0030975-0.0023078i,0.0043525+0.0020723i,-0.0012773-0.0032549i,0.0041272-0.00034368i,0.0018965+0.00082877i,0.0048252+0.0045945i,0.010105+0.0047946i,0.00021676+0.00056116i,-0.0027085-0.0050829i,-0.0023208-0.00061874i,-0.0024925-0.00054073i,-0.0015739-0.0033275i,-0.0023211-0.0016268i,-0.0088782+0.0071554i,-0.0011848-0.00048274i,-0.001234+0.00031577i,-0.0009132+0.0012001i,-0.0014456-0.0017465i,-0.000988+0.00051435i,-0.00020222-0.00071978i,0.0029185-0.0016065i,0.0018049-0.00087337i,-2.3313e-05-0.00018634i,0.00029518+0.00089346i,0.0028334+0.0010324i,-0.011042-0.0056652i,0.00093683+0.0022675i,-0.00092487+0.0014101i,-0.0010053+0.00066586i,0.0010957-0.00031139i,-0.00028624-2.2276e-06i,-0.0011493+0.00022804i,0.00044612+0.0030342i,-0.0021029+9.2368e-05i,0.0022323+0.026031i,-0.030704-0.005099i,-0.018312+0.016134i,-0.040737-0.012572i,-0.056737+0.026401i,-0.02718-0.0089354i,-0.0015304+0.023483i,-0.0076211-0.00093586i,-0.026759-0.0059281i,-0.031797-0.00020177i,-0.015263+0.032686i,-0.0023208+0.0038545i,0.013673-0.00064742i,0.005817-0.011045i,-0.0039615+0.008741i,-0.0035192+0.023481i,0.0051675+0.0038356i,0.0054139+0.002342i,0.0012705+7.3697e-06i,0.0096718-0.0023027i,0.0063556+0.0071917i,0.0038127+0.0060186i,-0.008267-0.0037949i,0.0033609+0.0070922i,0.0046832+0.0027533i,0.0043106+0.0070259i,-0.0011587-0.00022706i,0.0035457-0.0044169i,0.0094548-0.0047756i,-0.00098578-0.0012082i,-0.031544-0.014266i,0.002107-0.01026i,-0.0022053-0.0042557i,0.0055183-0.00059769i,0.00072028+0.00070097i,0.0047461-0.01505i,0.0055558-0.0052796i,0.0014741+0.0039226i,0.0037498+0.0011695i,0.0053737-0.0068449i,-0.0066074-0.0060302i,-0.0025627-0.0023861i,-0.00069961-0.0053012i,-0.0011398-0.0034843i,-0.0047778-0.0077213i,-0.029423+0.01988i,-0.019254+0.011095i,-0.011435-0.012314i,-0.0056675-0.001434i,0.00018642+0.025472i,-0.0079671+0.012502i,0.0025143+0.0059466i
0.0022387+0.04824i,0.0014343+0.024742i,-0.00053507+0.031253i,-0.0016286+0.023675i,0.0073493+0.0081709i,0.0051096+0.00059081i,0.014337+0.027908i,0.018658+0.006661i,0.011818+0.00034918i,-0.00020632+0.0052321i,0.0029949-0.0016505i,0.0064218-5.0972e-05i,-0.0021931-0.0022677i,0.002579-0.0013638i,0.0019754+0.00064857i,0.0064415+0.0028046i,0.010784+0.0010282i,0.00059267+0.00023143i,-0.0038601-0.004077i,-0.0020585+0.00050289i,-0.0018393+5.7709e-05i,-0.0023526-0.0024088i,-0.0026146-0.00094105i,-0.0055491+0.0093493i,-0.0014653+0.0001882i,-0.0010836+0.001034i,-0.00064437+0.0015656i,-0.0027343-0.0010928i,-0.0009123+0.00055533i,-0.00052293-0.00074266i,0.0018699-0.0024568i,0.0017711-0.0020162i,-0.0002369-0.00031597i,0.00035687+0.00075582i,0.0024594-0.00023951i,-0.013174-0.001923i,0.0014882+0.0018085i,-0.00058077+0.0016771i,-0.0011656+0.00094742i,0.0012532-0.00032694i,0.00011199-0.00011257i,-0.00061062+0.00031322i,0.00077852+0.0022311i,-0.0015896+0.0011739i,0.0065369+0.024257i,-0.031043-0.0035031i,-0.016599+0.015429i,-0.040481-0.0038862i,-0.043014+0.034984i,-0.030589-0.0055631i,0.0024122+0.018185i,-0.0083662-0.0026788i,-0.026384-0.004549i,-0.029527+0.0054566i,-0.0065588+0.034454i,-0.0013055+0.0038005i,0.006474-0.0026524i,0.00063051-0.012429i,-1.588e-05+0.011775i,0.0040687+0.020737i,0.0044052+0.0017192i,0.0044995-0.0015936i,0.0010358+0.00035176i,0.007577-0.0058095i,0.0097827+0.0036695i,0.0064412+0.0056236i,-0.0081016+0.00044279i,0.0062077+0.0075834i,0.0063493+0.0024831i,0.0086092+0.0049261i,-0.00074404+0.00051735i,0.0029202-0.0052728i,0.0053692-0.0086584i,-0.001271+0.0010526i,-0.035359-0.0016326i,-0.00060778-0.0097007i,-0.0030751-0.0022108i,0.0060817-0.0016588i,0.0010048+0.0003373i,0.00044795-0.018275i,0.0029795-0.0066151i,0.0031075+0.0032014i,0.0042221+1.3733e-05i,0.0048986-0.0080352i,-0.008387-0.0031789i,-0.0039107-0.00049009i,-0.0032273-0.0039429i,-0.002397-0.0029842i,-0.0061953-0.0052498i,-0.024678+0.020299i,-0.01779+0.011559i,-0.012253-0.013413i,-0.0071617-0.00079749i,0.0023127+0.024525i,-0.0068359+0.01339i,0.0026353+0.004495i
0.00992+0.04683i,0.0064045+0.024206i,0.0057923+0.032217i,0.0015111+0.023001i,0.0078422+0.0081716i,0.0049155+2.2744e-05i,0.018281+0.022377i,0.018824+0.0033169i,0.011396-0.0025132i,0.0010481+0.0047983i,0.0031797-0.002188i,0.0059431-0.003293i,-0.002567-0.001106i,0.0018676-0.0013834i,0.0021399+0.00038492i,0.0067534+0.00045166i,0.0099455-0.0025684i,6.9211e-05-0.00024888i,-0.0050912-0.0025634i,-0.0011994+0.00098748i,-0.00096379+2.708e-05i,-0.0024468-0.0015473i,-0.0026535-0.00011961i,-0.0018826+0.0096127i,-0.0013262+0.00073642i,-0.00061076+0.0014178i,3.3087e-05+0.0016465i,-0.003213+0.00031616i,-0.00073899+0.00052525i,-0.00083698-0.0006408i,0.00063247-0.0027979i,0.00038723-0.0027676i,-0.00046807-0.00015205i,0.00036644+0.0006535i,0.0017118-0.00095841i,-0.013131+0.002636i,0.0016439+0.0011873i,8.0315e-05+0.001775i,-0.00098378+0.0013097i,0.0013362-0.00046891i,0.0001997-0.00048601i,3.6998e-05+7.6045e-05i,0.00069013+0.0017424i,-0.00079099+0.0018772i,0.0096906+0.022474i,-0.033636+0.0012884i,-0.01528+0.014991i,-0.035748+0.0049168i,-0.030187+0.039557i,-0.033079+0.0019285i,0.0048942+0.011619i,-0.0064756-0.0050117i,-0.025689-0.0018556i,-0.025292+0.010834i,0.0018828+0.034113i,-0.00088965+0.0030826i,0.0027341-0.0029203i,-0.0049781-0.012061i,0.0062367+0.01122i,0.0075946+0.015797i,0.0021508+0.00050435i,0.0026787-0.0045274i,0.0020984+0.0029152i,0.0034593-0.0076558i,0.010929-0.0020313i,0.0087645+0.0035489i,-0.0075661+0.0041687i,0.010586+0.0067513i,0.0085811-3.2001e-06i,0.010809-0.00035392i,0.00013587+0.0010564i,0.0015443-0.0060062i,-0.00057272-0.009409i,0.00063044+0.0026684i,-0.034357+0.01191i,-0.0028008-0.008929i,-0.0026825-0.00018593i,0.0060945-0.0056884i,0.001324+0.0007006i,-0.0069087-0.018422i,6.3746e-05-0.006434i,0.0043192+0.0013589i,0.0041295-0.00086384i,0.0028795-0.0096476i,-0.0089851+0.0022297i,-0.0034255+0.001899i,-0.0049915-0.0018435i,-0.0038478-0.002769i,-0.0063534-0.003026i,-0.022512+0.021052i,-0.017191+0.016335i,-0.015207-0.01619i,-0.0061255+0.00092279i,0.0064816+0.024227i,-0.0062574+0.015352i,0.0038067+0.0018008i
0.017277+0.04394i,0.011109+0.022067i,0.012371+0.030073i,0.0047015+0.02186i,0.0090933+0.0077625i,0.0051331-0.00045222i,0.020384+0.016818i,0.018439-7.0955e-05i,0.010485-0.0048729i,0.0018797+0.0044219i,0.0027551-0.0026704i,0.0036224-0.0050415i,-0.0026155-0.00014685i,0.0011323-0.0013451i,0.0022152+3.8037e-05i,0.0057206-0.0013331i,0.007814-0.0050498i,-0.00023062-0.00011704i,-0.005196-0.00059447i,-0.00042494+0.00091518i,-0.00024531-0.00038146i,-0.002371-0.0011585i,-0.0022762+0.00059105i,0.0010494+0.0092126i,-0.00099008+0.00094087i,-0.00011859+0.0016572i,0.00065092+0.0012402i,-0.0028198+0.0017309i,-0.0007+0.0003434i,-0.0012719-0.0003653i,-0.00055055-0.002555i,-0.0010865-0.0025202i,-0.00043435+8.6821e-05i,0.00055978+0.00056437i,0.00086913-0.0013356i,-0.011284+0.0063792i,0.0017309+0.00062226i,0.00052071+0.0014191i,-0.00051129+0.0019248i,0.0012867-0.00098022i,0.00012178-0.00072376i,0.0002587-0.00067534i,0.00056745+0.0015973i,7.7266e-05+0.0020727i,0.012978+0.021059i,-0.032778+0.0095129i,-0.015383+0.014787i,-0.029472+0.0090269i,-0.017123+0.041256i,-0.030954+0.01141i,0.0037088+0.0049898i,-0.0070506-0.010522i,-0.022671+0.00032399i,-0.018053+0.015441i,0.011377+0.030501i,-0.0010726+0.003002i,-0.0014035-0.0022078i,-0.009692-0.0089565i,0.010424+0.0068033i,0.0093883+0.012782i,-0.00094964+0.0016137i,-0.00016766-0.0073484i,0.0057801+0.0016284i,-0.00064024-0.0069407i,0.0080065-0.0062456i,0.010062+9.6428e-05i,-0.0063875+0.0069729i,0.014276+0.0012255i,0.0083791-0.0050312i,0.0095288-0.0059632i,0.0013698+0.00098958i,-0.0004357-0.0064378i,-0.0046349-0.0058849i,0.002911+0.0016086i,-0.026886+0.026222i,-0.0051666-0.0077765i,-0.0013245+0.0010037i,0.0019466-0.0073859i,0.0023306+0.00049185i,-0.01397-0.014516i,-0.0014761-0.0047142i,0.0041594-0.0010251i,0.0036128-0.0017757i,-0.00020665-0.009746i,-0.0056048+0.0065251i,-0.0017665+0.0033891i,-0.0054989+0.0019903i,-0.0061726-0.001844i,-0.0061712-0.0018736i,-0.018163+0.025192i,-0.008849+0.021173i,-0.021683-0.016014i,-0.0041053-5.345e-05i,0.0096313+0.022087i,-0.0038118+0.018376i,0.0030468-0.0019919i
