-0.0030052-0.041781i,-0.00012225-0.046684i,-0.0080351-0.048496i,-0.02951-0.023547i,-0.022802+0.010706i,-0.036582-0.032553i,-0.062627-0.058451i,-0.019097-0.069544i,-0.034287-0.049195i,0.00010487+0.016356i,-0.011099+0.012483i,-0.014477+0.013529i,0.003177+0.013343i,-0.0028106-0.0016749i,0.0020815+0.0061233i,-0.001179+0.034249i,0.022829+0.055318i,0.0011577-0.0009248i,-0.0041631-0.0097031i,0.0083513+0.0050249i,0.001714+0.00097707i,-0.0014237+0.0038232i,-0.00018765-0.00044485i,-0.035541-0.011361i,-0.0044533-0.0071884i,-0.0013519+0.0043667i,0.0028073-0.0026263i,-0.00042583+0.00041951i,0.00089593-0.00054235i,5.8532e-05-0.0025267i,-0.0015343-0.005303i,-0.0030315-0.0069771i,-0.0020069-0.0066574i,0.0035086+0.00027385i,0.0030012-0.0020052i,-0.0053601+0.038383i,0.0078606-0.005039i,0.0033448-0.0001586i,0.0048216-0.00041041i,-0.015426+0.0032401i,-0.00090123-5.2864e-05i,0.0055619+0.0012238i,0.0040377+0.0027496i,-0.0039332+0.0014531i,-0.00061967+0.0086467i,-0.0054097+0.017697i,0.025815-0.082261i,5.6202e-05-0.05436i,-0.023552-0.04396i,-0.019479-0.037988i,0.062546-0.016123i,0.029859-0.057884i,0.038592-0.044335i,0.034168-0.0523i,0.018871-0.016305i,0.00758+0.012556i,0.024126-0.033727i,-0.0081759-0.004502i,0.0031426-0.0012374i,-0.0025514-0.0054538i,0.0053334-0.0327i,-0.026408+0.031073i,0.0091491-0.010922i,-0.011665-0.0025634i,-0.0048447-0.0015542i,0.00027828-0.015157i,-0.0098325+0.0048861i,0.0035946+0.0065624i,-0.013385+0.030014i,0.0051017+0.0062314i,-0.0051613-0.0018546i,-0.001243-0.0024294i,-0.011734-0.0084205i,0.00014861-0.003557i,-0.040188+0.0011916i,0.0013339-0.013413i,-0.0091502-0.0022604i,-0.0071222-0.0033729i,0.0066995+0.0022206i,-0.0086888+0.0020047i,0.00024073+0.0017593i,0.0065236+0.0098303i,0.0049866+0.00077196i,-0.0088197-0.010235i,0.0016112+0.0083201i,-0.021473+0.0046454i,0.0064696+0.0031212i,-0.028259-0.0087848i,-0.035842-0.0025969i,0.02812-0.077948i,0.014-0.0098451i,-0.042965-0.028082i,-0.025275-0.0063021i,0.017285+0.012349i,-0.026831+0.011376i,-0.011479-0.0097138i
-0.0073956+0.026922i,0.020245+0.045912i,0.045517+0.013878i,0.012001+0.0059817i,0.0093925+0.00045485i,0.020746-0.025122i,0.011657+0.0082196i,0.030502+0.034479i,0.016195+0.012282i,0.0065555+0.0097511i,0.0013539+0.00059171i,-0.00011787-0.00082938i,-0.00065437-0.0015394i,0.0018306-0.0015485i,0.0017595-0.0029729i,0.0051603-0.0015666i,0.0019948-0.0085216i,0.00011141+0.00023762i,-0.0017011+0.0058467i,0.00060124-0.00057836i,-0.0021837+0.00071171i,-0.0034103+0.0025311i,-0.0022904+0.001682i,0.0083046-0.0072862i,0.0044723-0.00091595i,0.0012336-0.00169i,0.0013036-0.00068045i,0.00178+0.0016232i,0.00088627+0.00088518i,0.00034452+0.0021815i,-0.0025824-0.0013356i,-0.001213+0.0011532i,-0.0010278+0.00015038i,-0.00019899-9.8502e-05i,-0.00015546+0.00048857i,0.0038361+0.01515i,0.00027555-0.0012392i,-9.0479e-05-0.00071957i,0.0012331+0.0014238i,-0.0024389-0.00054385i,-0.0011043+0.00068386i,-0.0095911-0.015359i,0.0037444+0.0042681i,0.0032613+0.0014098i,-0.012358+0.029668i,-0.04766+0.046608i,-0.021903+0.06098i,0.0025526+0.034459i,0.031441+0.023348i,0.012321+0.020484i,-0.0085784+0.0021183i,-0.028724-0.0045186i,-0.041792+0.0081194i,-0.025084+0.010335i,0.017059+0.0046461i,-0.0011438+0.0062824i,0.00044298+0.0088922i,-0.0099464+0.011155i,-0.00081628-0.005499i,0.019789-0.00016864i,0.013184+0.010493i,-0.01754-0.00066522i,-0.00024486-0.0024399i,-0.0027083+0.0027586i,-0.0039425-0.0020989i,-0.00014237-0.0047854i,0.0076539+0.0029081i,0.001708-0.0095552i,-0.0052051-0.0024499i,0.0012513-0.0033236i,0.00081347-0.0065174i,-0.0078862-0.0004866i,0.00085226+0.0013051i,0.00092399-0.0029445i,0.030655+0.010153i,-0.0083098+0.0039232i,0.0015249-0.0038206i,-0.0044823-0.002783i,0.0023484-0.0071678i,-0.0047877+0.0076055i,0.0031858-0.0010713i,-0.00074812-0.003086i,0.00072898-0.0030563i,-0.0033783-0.002558i,-0.0002629+0.0023942i,0.0024327+0.00010366i,0.0040724+0.0063329i,-0.0064751+0.0070371i,-0.0077628+0.0095221i,-0.015701+0.040944i,0.01342+0.01627i,-0.021531+0.0077755i,-0.009106-0.011001i,0.019453+0.010684i,0.015873+0.02081i,-0.0091985+0.0023947i
-0.0037768+0.0275i,0.025443+0.043238i,0.046299+0.005666i,0.012564+0.0015048i,0.0098911-0.004616i,0.015157-0.028375i,0.011794+0.0071568i,0.034666+0.028524i,0.018164+0.0080252i,0.007278+0.0051822i,0.0012349+0.00083499i,0.00063533-0.00089846i,-0.0011572+3.7321e-05i,0.0013967-0.0016014i,0.00081366-0.002784i,0.0048819-0.0018182i,-0.00020945-0.0074059i,9.7508e-05+0.00023799i,-0.0010342+0.0059719i,-0.00018548-0.00068671i,-0.0018568+0.0013922i,-0.0020477+0.0033309i,-0.0017647+0.0023698i,0.0031083-0.009527i,0.0034071-0.0023747i,0.00070737-0.0016662i,0.00082914-0.00096982i,0.0016433+0.00093945i,0.00099179+0.00036553i,0.0013205+0.002014i,-0.0023412+3.9567e-06i,-0.00056013+0.0012378i,-0.00047907+0.00032115i,-0.000211+0.00022495i,0.00028714+0.00047913i,0.0068203+0.013154i,-0.00019853-0.0011125i,-0.00044369-0.00047715i,0.0016145+0.0011158i,-0.0020494+8.955e-05i,-0.00087582+0.00072869i,-0.021431-0.0073226i,0.004674+0.0029055i,0.0033419+0.000574i,-0.0073764+0.027489i,-0.035437+0.051144i,-0.0081731+0.064592i,0.0080928+0.032187i,0.032757+0.0092393i,0.015202+0.013076i,-0.011927+0.0092614i,-0.032244+0.0047945i,-0.042292+0.016716i,-0.025684+0.0072165i,0.014394-0.00079616i,0.00075688+0.007104i,0.0047217+0.009036i,-0.0058535+0.013577i,-0.0034227-0.0023155i,0.01705-0.0085581i,0.017212+0.005382i,-0.018194+0.0049493i,-0.00018382-0.00072028i,-0.0008116+0.0030143i,-0.0023688-0.00015175i,-0.0023943-0.0035411i,0.0070875+0.00022618i,-0.0010236-0.0085616i,-0.0038375+0.0014196i,0.0016896-0.0036535i,-0.001892-0.0064513i,-0.0053069+0.0021646i,0.0025301+0.0001504i,0.00047536-0.0024307i,0.029214-0.002527i,-0.0049018+0.0064864i,-8.9214e-05-0.0049059i,-0.0037556-0.0018368i,-0.00046757-0.0078072i,-0.0015792+0.0068535i,0.0026103-0.0019665i,-0.00099456-0.0013385i,0.00075663-0.0026927i,-0.00212-0.0012344i,0.00041757+0.0028974i,0.0012447-0.0009104i,0.0062143+0.0092103i,-0.0047072+0.0071441i,-0.0049136+0.011754i,-0.0096021+0.041291i,0.018045+0.0035044i,-0.016986+0.0088889i,-0.016066-0.010146i,0.020704+0.0055343i,0.020819+0.014498i,-0.0093264+0.0025611i
0.00027016+0.027076i,0.031459+0.039479i,0.04646-0.0032085i,0.012289-0.0031487i,0.0090504-0.0087395i,0.0090188-0.030742i,0.012942+0.0062848i,0.038072+0.022229i,0.018833+0.0031547i,0.0067187+0.0042532i,0.0019262+0.00088554i,0.0011261-0.0011319i,-0.00016577+0.0012241i,0.0011507-0.0014423i,0.00027966-0.0024557i,0.0049092-0.0021899i,-0.0012861-0.0064898i,0.00065195+1.5471e-05i,-0.00023257+0.0055578i,-0.00070499-0.0004176i,-0.0011939+0.0017514i,-0.00046846+0.0032972i,-0.00096581+0.0026649i,-0.0033091-0.0089347i,0.0025435-0.0032059i,8.6757e-05-0.0017302i,0.00030749-0.0010602i,0.0016857+0.00057902i,0.00075836+1.6247e-05i,0.0018644+0.0011854i,-0.0018223+0.00086175i,9.3648e-06+0.0013961i,-0.00012267+0.00034335i,4.1275e-05+0.00026568i,0.00031848-3.0572e-06i,0.0086902+0.010254i,-0.0005603-0.00091947i,-0.00053396-0.00010857i,0.0014846+0.00017769i,-0.0015777+0.00013918i,-0.00081884+0.00082558i,-0.0060684-0.0048122i,0.0048915+0.0023151i,0.0031527+0.00029667i,-0.0037911+0.025134i,-0.024008+0.052068i,0.0062679+0.062334i,0.014007+0.029499i,0.029342-0.0024966i,0.015014+0.0074282i,-0.0098084+0.016978i,-0.030049+0.016068i,-0.037919+0.028927i,-0.028559+0.007902i,0.010528-0.0033608i,0.0027884+0.0065361i,0.0077664+0.0064626i,-0.0013432+0.01492i,-0.0038614+0.00016208i,0.010067-0.015403i,0.017667-0.0019468i,-0.016783+0.0098772i,0.0011145-0.00029075i,0.00012468+0.00189i,-0.00071579+1.5358e-05i,-0.0028177-0.00078356i,0.005798-0.0012018i,-0.002359-0.0068591i,-0.00076195+0.0035054i,0.0012101-0.0047154i,-0.0038982-0.0049166i,-0.0033942+0.0026743i,0.0026273-0.0019369i,0.00084111-0.0022692i,0.023554-0.014085i,-0.0012634+0.007004i,-0.0021719-0.0045295i,-0.0036217-0.0010167i,-0.003184-0.0072604i,0.00041516+0.0057295i,0.00558-0.0041768i,0.00030058-0.0007235i,0.00056395-0.0039887i,-0.00080442-0.0015933i,-0.00010343+0.0011257i,-9.0687e-05-0.0002146i,0.0090347-0.0034799i,-0.0038938+0.0070129i,-0.00093558+0.012483i,-0.0033836+0.040627i,0.014636-0.0077559i,-0.014584+0.005538i,-0.022483-0.0050319i,0.019122-0.0013769i,0.021935+0.0073849i,-0.0097735+0.0040559i
0.004418+0.026322i,0.036716+0.03429i,0.044309-0.012985i,0.0096805-0.0082478i,0.0070833-0.013053i,0.002231-0.031435i,0.014743+0.0044531i,0.040529+0.015004i,0.017937-0.0011051i,0.0070871+0.0038214i,0.0022974+0.00048986i,0.0013913-0.0020885i,0.00090106+0.001356i,0.00089017-0.0014085i,-8.9696e-05-0.0020689i,0.0048144-0.0029424i,-0.0024718-0.0059624i,0.00034357-0.00058134i,0.0013666+0.0044086i,-0.0012755+0.00010808i,-0.00091874+0.0016721i,0.00065029+0.0022627i,-0.0002728+0.0027189i,-0.0083877-0.0034889i,0.00088648-0.0044555i,-0.00067348-0.0012527i,-0.00029058-0.00097287i,0.0016895+9.3524e-06i,0.00075579-0.00011377i,0.0019483+0.00026816i,-0.00098778+0.0013711i,0.00028403+0.0014459i,-0.00048478+0.00065549i,2.6411e-05+0.00046866i,-4.3223e-05-0.00018796i,0.0090261+0.0078782i,-0.00082237-0.00058253i,-0.00051101+0.00014056i,0.0012353-6.7467e-05i,-0.0011099+8.4495e-05i,-0.00067098+0.0010987i,-0.0020306-0.0052854i,0.0055106+0.0014567i,0.003185+5.4671e-05i,-0.0012711+0.023217i,-0.013914+0.051056i,0.017692+0.055812i,0.020046+0.025681i,0.023063-0.01105i,0.013838+0.0038151i,-0.0039494+0.021834i,-0.021523+0.024545i,-0.026878+0.038235i,-0.030819+0.012111i,0.0067296-0.003688i,0.0042805+0.0052133i,0.0087181+0.0028702i,0.0032718+0.014239i,-0.0037956+0.002325i,-0.00060734-0.016892i,0.014452-0.008017i,-0.014199+0.013821i,0.0021645-0.0019028i,0.0010563+0.0016813i,-0.00045331-0.00069005i,-0.0012257+0.0010069i,0.0048008-0.001403i,-0.0032319-0.005858i,0.0019642+0.003193i,-5.0433e-05-0.0059822i,-0.0051779-0.0028637i,-0.001936+0.0031446i,0.0012854-0.0035978i,0.00064425-0.0032601i,0.013597-0.020501i,0.0014033+0.0062065i,-0.0033338-0.0031801i,-0.0030071-0.00092437i,-0.0053128-0.0056865i,0.0015343+0.0045731i,0.0025913-0.0077241i,0.0010968-0.0013509i,-0.001287-0.0042517i,-0.0011921-0.0024858i,0.0039959+0.0032106i,-0.00023954+0.001066i,0.005914-0.002893i,-0.0031365+0.0074527i,0.0022902+0.01168i,0.0029686+0.039507i,0.007729-0.01572i,-0.017307+0.0024651i,-0.025052+0.0033256i,0.0131-0.0059829i,0.022072+0.0014453i,-0.0081085+0.0049885i
0.0086452+0.024209i,0.041785+0.028908i,0.039065-0.021441i,0.0046342-0.011319i,0.0032218-0.016442i,-0.0037716-0.03041i,0.016594+0.0015384i,0.041367+0.007654i,0.016622-0.005091i,0.007977+0.002966i,0.0025948+0.00024293i,0.00048747-0.003143i,0.0019444+0.0011768i,0.00072077-0.0012134i,-0.0001486-0.0018824i,0.0043556-0.0036149i,-0.0042312-0.0046726i,-2.8793e-05-0.00064822i,0.0023383+0.0026903i,-0.0011796+0.0012075i,-0.00066573+0.0021374i,0.00051099+0.00088228i,0.000477+0.0026677i,-0.0054592+0.004637i,-0.0019004-0.0038756i,-0.00087931-0.00061815i,-0.0005689-0.00064297i,0.0014061-0.00035433i,0.00060981-0.00057398i,0.0016687-0.00040863i,-0.00017248+0.001338i,0.00076527+0.0013395i,-0.00010136+0.0010685i,-0.00037841+0.0007728i,-1.8483e-05+0.00015456i,0.0089609+0.0055906i,-0.00079503-8.494e-05i,-0.00033748+0.00032391i,0.0011046-0.00025125i,-0.00084749-0.00013723i,-0.00032493+0.0014859i,-0.0021702-0.0045751i,0.0059159+0.00014071i,0.0030446-0.0002735i,0.0011495+0.021597i,-0.004772+0.048103i,0.025417+0.048153i,0.025573+0.020122i,0.015654-0.015474i,0.012381+0.0018322i,0.0031677+0.023774i,-0.011707+0.027193i,-0.012564+0.041876i,-0.030467+0.018493i,0.0052629-0.0027685i,0.0053496+0.0033914i,0.0081996+0.00010032i,0.0077105+0.011327i,-0.0028413+0.0047081i,-0.0095784-0.012049i,0.0095039-0.011262i,-0.0098991+0.016925i,0.0012866-0.0032961i,0.0010731+0.00071848i,-0.0010895-0.00068105i,0.00094767+0.0014217i,0.0043457-0.0018502i,-0.0044366-0.0044722i,0.0038375+0.0013683i,-0.0028483-0.0064568i,-0.0050295-0.00031338i,-0.00010266+0.0025889i,0.00013339-0.0041153i,-0.00032719-0.0040723i,0.0036772-0.02146i,0.003304+0.0044646i,-0.0038939-0.002365i,-0.0037249-0.000913i,-0.006424-0.0034014i,0.0018582+0.0037417i,-0.0010717-0.0094469i,0.0013342-0.0022346i,-0.0022357-0.0029958i,-0.0016832-0.0026673i,0.0049323+0.0025211i,0.00053038+0.0019503i,0.0040051-0.0035832i,-0.0022383+0.0081177i,0.0049106+0.00924i,0.0098376+0.037624i,-0.0028172-0.020599i,-0.021237+0.003105i,-0.022591+0.011472i,0.0071986-0.0057508i,0.019374-0.0050029i,-0.0065272+0.0036939i
0.01188+0.02082i,0.04659+0.021709i,0.032434-0.027413i,0.00014082-0.011096i,-0.0013533-0.018178i,-0.0085988-0.028607i,0.017781-0.0027677i,0.041213+0.00067875i,0.014447-0.008081i,0.0091746+0.0012267i,0.0032536-0.00037149i,-0.00083856-0.0029551i,0.0026448-0.00011146i,0.00081713-0.0012822i,-0.00034554-0.0018109i,0.0039542-0.0040039i,-0.0046881-0.0027232i,-0.00027476-0.0009382i,0.0022591+0.0011402i,-0.00038776+0.0017423i,0.00029153+0.0024058i,3.7732e-05+0.00047593i,0.0012415+0.0023065i,0.0024632+0.0036059i,-0.0029536-0.0018211i,-0.00090873-0.00017891i,-0.00066745-0.00036519i,0.00092536-0.00055581i,6.9945e-05-0.00046461i,0.001091-0.0010525i,0.00057382+0.0010633i,0.0010368+0.0010337i,0.00069652+0.0010688i,0.00010568+0.00067023i,0.00054401+0.00017779i,0.0071216+0.0020107i,-0.000765+0.00045153i,-0.00017407+0.00047585i,0.00076666-0.00055083i,-0.00069883-0.00034103i,0.00027484+0.0014716i,-0.001964-0.00050587i,0.0054445-0.0011206i,0.0026075-0.00059671i,0.003368+0.02068i,0.0017073+0.043542i,0.030895+0.040687i,0.028605+0.012409i,0.0094341-0.016971i,0.011787+0.001799i,0.0105+0.023352i,-0.0032538+0.027611i,0.00027146+0.04002i,-0.026979+0.025384i,0.0046077-0.0029122i,0.0057964+0.0011258i,0.007503-0.0023555i,0.011026+0.0070319i,-0.00043024+0.0052029i,-0.013726-0.0046248i,0.0044898-0.012492i,-0.0045041+0.017915i,-0.00058618-0.0041408i,0.00035293+0.00068635i,-0.0016141-0.00029866i,0.0024041+0.00020067i,0.0040348-0.001537i,-0.0049904-0.0025563i,0.0035739-0.00049354i,-0.0053422-0.0043877i,-0.0034672+0.0012493i,0.00045949+0.0010645i,-0.00089386-0.0044473i,-0.0015821-0.0041205i,-0.0036923-0.019331i,0.0048413+0.00213i,-0.0048575-0.001126i,-0.0040938+0.0005287i,-0.0068465-0.00090298i,0.0025087+0.0035869i,-0.0057655-0.0091894i,0.00079454-0.0034732i,-0.0022595-0.0023825i,-0.0025879-0.003452i,0.0060977+0.0016221i,0.0016402+0.0022083i,0.0023449-0.0029029i,-0.00090466+0.008474i,0.0059034+0.006991i,0.01679+0.033572i,-0.01496-0.019002i,-0.024711+0.0058127i,-0.016899+0.015687i,0.0043174-0.0043729i,0.013882-0.0089368i,-0.007968+0.0027133i
0.01354+0.017503i,0.049674+0.013206i,0.02622-0.031349i,-0.0026988-0.0099087i,-0.0061065-0.018519i,-0.013425-0.026489i,0.017353-0.008148i,0.039722-0.0065459i,0.01189-0.010534i,0.0097656-0.00093813i,0.0035591-0.001758i,-0.0017497-0.0021233i,0.0021926-0.0013811i,0.00069762-0.0014172i,-0.00074258-0.0018372i,0.0036334-0.0045388i,-0.0044889-0.0011744i,-0.00086595-0.0012331i,0.002019+0.00026378i,0.00038639+0.0018163i,0.00093959+0.0017562i,-0.00037542+0.00052866i,0.0016627+0.0017219i,0.00096904-0.0022328i,-0.002488+0.00015324i,-0.00088747+0.00020393i,-0.00067947-0.00010452i,0.00020519-0.00045299i,-0.00013249-0.00015039i,0.00019939-0.0011158i,0.0010357+0.00051809i,0.0013862+0.00082542i,0.0011369+0.00070838i,0.00047525+0.00031047i,0.00099674-0.00038616i,0.0056187+0.00075879i,-0.00031357+0.00080352i,0.00010911+0.00063095i,0.00014607-0.00053066i,-0.00068132-0.00054283i,0.00075728+0.0013433i,-0.00063103+0.00064912i,0.0057044-0.0025227i,0.0023364-8.1986e-05i,0.005951+0.019388i,0.0059151+0.040041i,0.034997+0.033382i,0.028823+0.006169i,0.0038393-0.017869i,0.013804+0.0018414i,0.017349+0.019675i,0.0058291+0.025686i,0.011848+0.034003i,-0.019315+0.03094i,0.0037685-0.003169i,0.0050671-0.0020945i,0.0062006-0.0046983i,0.010938+0.0019534i,0.00080527+0.0045035i,-0.01405+0.0036677i,-0.00073436-0.011907i,-0.00065741+0.016507i,-0.0026238-0.0029243i,-4.8241e-05+0.0014528i,-0.0016611+0.00025785i,0.0032145-0.0013686i,0.0048527-0.00099279i,-0.0039787-0.00095238i,0.0032112-0.00076591i,-0.0064405-0.0019663i,-0.0019368+0.0013172i,0.00017444+0.00042815i,-0.0030639-0.0047538i,-0.0029032-0.0033754i,-0.010006-0.015642i,0.0050121-0.00057485i,-0.0052691+0.00083586i,-0.0030959+0.0018068i,-0.0062926+0.0014932i,0.0037487+0.0031404i,-0.0087185-0.0062286i,-0.00072265-0.0044536i,-0.0029076-0.001724i,-0.0043821-0.0031715i,0.0067434-0.00087328i,0.0028771+0.0022069i,0.0023521-0.0025168i,0.0011379+0.0088911i,0.0063857+0.0048222i,0.022597+0.027472i,-0.021958-0.010818i,-0.027229+0.011212i,-0.010699+0.017743i,0.0019779-0.0020937i,0.0094947-0.0093245i,-0.0085521+0.0033183i
0.014429+0.014919i,0.0507+0.0043936i,0.0203-0.03446i,-0.0048233-0.0089045i,-0.01071-0.017777i,-0.017805-0.023109i,0.014332-0.013177i,0.037012-0.013052i,0.0089396-0.011957i,0.0094916-0.003348i,0.0026659-0.0032574i,-0.0021558-0.001319i,0.0012502-0.001976i,0.00035729-0.0014159i,-0.0012027-0.001299i,0.0030623-0.0052514i,-0.0041765+0.00026387i,-0.0016413-0.00093446i,0.0015023-0.00036422i,0.00088094+0.001473i,0.00093613+0.0014602i,-0.00051156+0.0008407i,0.0019215+0.0013149i,-0.0026891+0.00067424i,-0.0015908+0.0015133i,-0.00060939+0.0006228i,-0.00077422+9.9464e-05i,-8.0567e-05-0.00062849i,-0.00018247-1.4287e-05i,-0.00010788-0.00047054i,0.0012526-0.00013399i,0.0016381+0.00027521i,0.0012176+0.00027236i,0.00037569+2.5813e-05i,0.0012494-0.00096937i,0.0050587-0.00065878i,-4.3138e-05+0.00097018i,0.00045586+0.00049896i,-0.00014899-7.604e-05i,-0.0010254-0.0008776i,0.001205+0.0010083i,0.00016289+0.00070814i,0.0040347-0.0045927i,0.0028117+0.00019485i,0.009294+0.017811i,0.010645+0.037924i,0.037671+0.026326i,0.029274+0.00026443i,-0.0017822-0.016562i,0.0171-0.00063389i,0.022499+0.014546i,0.013542+0.020296i,0.019289+0.024454i,-0.0093395+0.032328i,0.0024964-0.0038558i,0.0020109-0.0043254i,0.0042771-0.0064684i,0.0094582-0.0015337i,0.0016126+0.004106i,-0.010255+0.010348i,-0.0047432-0.0087456i,0.0023864+0.014849i,-0.0028537-0.0013589i,0.0007421+0.0024753i,-0.001296+0.0010314i,0.0021909-0.0036279i,0.0068993-0.0026908i,-0.003734-0.0010077i,0.0041043-0.0013893i,-0.0069826+0.0011011i,-0.0017588+0.00070699i,0.00047331+0.00017798i,-0.0057565-0.0021722i,-0.0037382-0.0022725i,-0.014528-0.0097111i,0.0037464-0.0031159i,-0.0041612+0.0028374i,-0.0014912+0.001629i,-0.0051039+0.0033603i,0.0053952+0.0020112i,-0.010364-0.0022612i,-0.002373-0.0041803i,-0.0028238-0.00049852i,-0.0059702-0.0014657i,0.0056576-0.0036897i,0.0043158+0.0010999i,0.0024419-0.0028669i,0.003575+0.0081404i,0.0057603+0.0031895i,0.025955+0.019792i,-0.023111-0.003894i,-0.027314+0.017851i,-0.0047934+0.016631i,0.0013093+0.0011999i,0.0061058-0.0090741i,-0.0094345+0.0033433i
0.015698+0.012626i,0.050469-0.0041811i,0.013607-0.036644i,-0.0063923-0.0073662i,-0.014945-0.01578i,-0.020958-0.019442i,0.010202-0.016313i,0.033447-0.01819i,0.0063168-0.012606i,0.0084312-0.0059651i,0.0012726-0.0042186i,-0.0023968-0.00042562i,0.00028424-0.0019136i,0.00019049-0.0012367i,-0.0011829-0.00090458i,0.002385-0.0056936i,-0.0033166+0.0013218i,-0.0023098-0.00011915i,0.00076114-0.00083481i,0.001439+0.0010342i,0.0013498+0.0013619i,-0.00025124+0.0010299i,0.0022213+0.0006249i,-0.00098772+0.0032306i,-0.00026978+0.0019793i,-0.00014593+0.00060779i,-0.00074183+0.00038673i,7.0968e-05-0.00059066i,-0.00041804+0.00058583i,0.0001362-7.1135e-05i,0.0010633-0.00088966i,0.0018834-0.00044679i,0.0016425-0.00019616i,0.00025918+1.1372e-05i,0.0014525-0.0016959i,0.0044225-0.0026771i,0.00047343+0.0013124i,0.00053712+0.00020428i,1.8423e-05+7.2416e-05i,-0.001534-0.0009792i,0.0014437+0.00059016i,0.00065913+0.00057883i,0.0020962-0.0048182i,0.0035144-0.00023093i,0.012574+0.014793i,0.016648+0.035183i,0.039854+0.019346i,0.028545-0.0062247i,-0.0056574-0.013161i,0.018949-0.005049i,0.026397+0.0085481i,0.018241+0.013709i,0.022029+0.014857i,-0.0012402+0.029541i,0.0010416-0.0039325i,-0.001816-0.0042088i,0.0014087-0.008152i,0.0069777-0.0041412i,0.0022522+0.003299i,-0.0046244+0.013773i,-0.0063034-0.0046106i,0.0050446+0.012669i,-0.0032426-0.00042663i,0.002549+0.0029074i,-0.00026079+0.0014561i,-7.9899e-05-0.0039755i,0.0065283-0.0063259i,-0.004495+1.9828e-05i,0.0043255-0.0035121i,-0.0052662+0.0038913i,-0.0020802+0.000395i,0.00012298-0.00067122i,-0.0052166+0.001201i,-0.0039033-0.0010909i,-0.015648-0.0032434i,0.001693-0.0042092i,-0.0021735+0.0033837i,-0.0017732+0.0010206i,-0.0034856+0.0046415i,0.0069359-0.00033513i,-0.010019+0.0020789i,-0.0033097-0.0031014i,-0.0024171-0.00012436i,-0.0059815+0.0010971i,0.0027818-0.0045509i,0.0045021-0.00094928i,0.0020893-0.0029326i,0.0053659+0.0060147i,0.0051001+0.0024143i,0.026+0.012642i,-0.023465+0.0012163i,-0.02443+0.024575i,-0.0015432+0.013348i,0.0030345+0.0040694i,0.0031842-0.0079409i,-0.010685+0.0051638i
0.017366+0.0099932i,0.048347-0.013057i,0.007066-0.036896i,-0.0071572-0.0058108i,-0.018883-0.012756i,-0.023452-0.015559i,0.0057913-0.018284i,0.029888-0.022726i,0.0038614-0.012684i,0.006286-0.0079283i,-0.00062124-0.0045283i,-0.0022681+0.00060333i,-0.00035542-0.0013494i,0.0001692-0.0011343i,-0.0013665-0.00057556i,0.0013737-0.0060772i,-0.0023412+0.0017382i,-0.0025107+0.0013333i,-3.3047e-05-0.00047234i,0.00164+0.00023964i,0.0017967+0.00081545i,-0.00018305+0.0010723i,0.0021883-0.00018788i,0.0013761+0.0032707i,0.0013097+0.0017683i,0.00015203+0.0003978i,-0.0007238+0.00083576i,1.0572e-05-0.00035915i,6.9237e-05+0.00077731i,0.00040524-0.00015221i,0.00057661-0.0014507i,0.0015131-0.0012623i,0.0013051-0.0011215i,0.00030023+8.5208e-05i,0.00076596-0.0028027i,0.0026544-0.0039786i,0.0014558+0.0009341i,0.00062346-7.3678e-05i,0.0001398-0.00014604i,-0.0021594-0.00070834i,0.0016602-0.00010988i,0.00091238+0.00017675i,0.00065474-0.0044383i,0.0037568-0.0013289i,0.014819+0.011299i,0.022934+0.030689i,0.041109+0.012311i,0.026137-0.011913i,-0.0073428-0.0090748i,0.019762-0.01026i,0.028046+0.001967i,0.021677+0.0071974i,0.02142+0.0075527i,0.0044223+0.026595i,-0.00051555-0.0032991i,-0.0047221-0.0017721i,-0.0026746-0.0084349i,0.0038748-0.0047841i,0.0023981+0.0025622i,0.00082993+0.014106i,-0.0055737-0.0012544i,0.0060547+0.0095898i,-0.0033379+0.0018745i,0.0042195+0.0026806i,0.00054414+0.0012129i,-0.0018748-0.0029036i,0.004583-0.0085482i,-0.004048+0.0012892i,0.0035138-0.005116i,-0.0020976+0.0048234i,-0.0026659+0.00051223i,-0.00054846-0.00072379i,-0.0035482+0.0030765i,-0.0034207-4.1738e-05i,-0.014199+0.0022373i,5.2405e-05-0.0046073i,-0.00060829+0.0034016i,-0.0019154+0.0015535i,-0.0012286+0.0047879i,0.0068698-0.0035517i,-0.0079284+0.0053813i,-0.0040745-0.001902i,-0.0024519-4.0323e-05i,-0.0048101+0.0026939i,0.0012514-0.0040524i,0.0036136-0.002321i,0.0020634-0.0032978i,0.0049406+0.0032275i,0.0047195+0.0022334i,0.025844+0.0074527i,-0.021478+0.0056311i,-0.018793+0.030322i,-0.00067017+0.010131i,0.0062974+0.0044929i,0.00080673-0.0059435i,-0.01004+0.0075141i
