-0.023498-0.019476i,-0.032298-0.033593i,-0.022369-0.020043i,-0.032309-0.020627i,-0.024+0.0040112i,-0.028846-0.018189i,-0.055461-0.047672i,-0.040862-0.044861i,-0.03004-0.023716i,0.0050212+0.0058427i,-0.0034803+0.0065153i,-0.011178+0.011391i,0.0039402+0.0070418i,-0.0037438-0.0029446i,0.0029237+0.0018972i,0.0016064+0.028467i,0.024927+0.031711i,-0.00024939+8.1371e-05i,-0.0029331-0.0029586i,0.0076114+0.0039283i,0.0020932+0.00072434i,-0.00015591+0.0026445i,-0.00056056+0.00022086i,-0.031761-0.0013693i,-0.0034414-0.0049051i,1.0899e-05+0.0025817i,0.0036071-0.0010215i,0.00092798-0.00020488i,-0.00074949-0.00060704i,-0.00091941-0.0020382i,-0.0022582-0.00056194i,-0.0038828-0.0039281i,-0.0031283-0.005295i,0.00046413-0.0012418i,0.00058541-0.0032803i,-0.001713+0.025892i,0.0019268-0.0029369i,0.0022005-0.0040487i,0.0045191-0.0022111i,-0.0058854-0.0019406i,0.00060023+0.0013968i,0.010318-0.000394i,-0.0011695+0.00050964i,-0.0031466+0.0013385i,-0.0082685-0.0022588i,-0.018503+0.021116i,-0.0081658-0.08655i,-0.0022154-0.061249i,-0.020823-0.054036i,-0.011403-0.045786i,0.05393-0.026858i,0.024323-0.067145i,0.040652-0.0545i,0.018469-0.039304i,0.026099-0.019573i,0.012184+0.012085i,0.025483-0.028643i,-0.011288-0.0010242i,-0.0014456-0.00092198i,-0.0085095-0.0018587i,-0.0045931-0.02991i,-0.020963+0.026461i,0.0073035-0.0093782i,-0.010555-0.0033i,-0.0026978-0.0019716i,-0.00036636-0.014709i,-0.0082377+0.0053533i,0.0059924+0.010798i,-0.010336+0.029977i,0.0063679+0.0076826i,-0.0033542-0.0016366i,-0.0022706-0.0014845i,-0.012834-0.0058596i,0.00056306-0.0045488i,-0.033245+0.0026722i,0.0035233-0.0086068i,-0.0073323-0.0020659i,-0.0052705-0.0031408i,0.0069225+0.0016815i,-0.010253+0.00042169i,0.0023767-0.00017379i,0.0060072+0.0080106i,0.0053739+0.00096633i,-0.0078186-0.010201i,0.0029393+0.0077738i,-0.019598+0.0075816i,0.0033749+0.0057239i,-0.021208-0.00936i,-0.027468-0.0053116i,0.010219-0.061733i,0.01859-0.014712i,-0.050522-0.02842i,-0.021539+0.0020085i,0.018901+0.010607i,-0.026942+0.011499i,-0.01294-0.0080243i
-0.011098+0.013346i,-0.021833+0.041509i,0.0012452+0.041041i,-0.010824+0.02481i,-0.0004342+0.021276i,0.0013815+0.023415i,-0.026647+0.01457i,-0.026852+0.032521i,0.00096846+0.017162i,-0.0013482-0.0013855i,-0.00081585+0.0016707i,0.004216+0.0036201i,0.0033609+0.0050531i,-0.0030863+0.0017837i,-0.0030378+0.0036471i,0.00053842-0.0077602i,-0.0082486-0.00093061i,-0.0020725+0.00031457i,0.00040836-0.001479i,-0.0010052-0.00035123i,0.00061608-0.0033206i,0.0012188-0.0026882i,0.0011486-0.0015439i,-0.009353-0.0091436i,-7.1096e-05-0.00046498i,-0.0015007+0.00019544i,-0.00246+7.1916e-05i,-0.0029326-0.00019007i,-0.00093017-0.00098581i,0.0011169-0.00060201i,-0.0017681+0.00028446i,0.0015322-3.3474e-05i,0.0017778-0.00079511i,0.00060733+0.00048444i,-0.00051222+0.0019484i,-0.00042215-0.0072655i,-0.0014485+0.0011147i,0.0018489+2.3785e-05i,0.00076726+0.0025626i,0.0046924+0.0058969i,0.00099536-0.0015803i,-0.0016664-0.0009196i,-0.0014455-0.0023728i,0.0031061+0.0051382i,-0.0077459+0.0070029i,0.019621-0.057465i,-0.07455+0.015226i,-0.027891-0.018594i,-0.061077-0.048552i,-0.053128-0.017365i,-0.087328+0.0027977i,-0.074218+0.00096574i,-0.044817-0.034785i,-0.0082435-0.045743i,-0.038484-0.025673i,-0.0060175+0.00051519i,-0.031662+0.0102i,0.0076274+0.011664i,0.0096092+0.0075845i,0.00093854-0.0077857i,0.010854+0.0030179i,-0.011836-0.0038705i,0.0031648+0.012167i,0.0019068+0.0065988i,3.626e-05-0.0013243i,0.0053229+0.0019354i,0.0040689+0.00093094i,-0.0044606+0.019024i,-0.00025096+0.0095057i,0.00080131-0.0035216i,0.0083539-0.0058458i,0.0013097+0.0041023i,-0.008361-0.0070564i,-0.0023825-0.00075901i,0.021128-0.030875i,0.0052364+0.008513i,0.0018685+0.002928i,-0.0015854+0.0040557i,0.002595-0.0036833i,0.01936+0.0032174i,0.0012475-0.0020723i,-0.0030738-0.0061814i,-0.00039114-0.0019734i,0.011413+0.0050303i,0.0052251-0.00095808i,0.0031962-0.0080392i,0.004328+0.0048345i,-0.0048709+0.0033765i,0.0136+0.0068143i,-0.043187-0.037753i,-0.012625+0.0057633i,-0.0024198-0.0017908i,-0.00050896+0.001972i,-0.040385+0.010996i,-0.0068017+0.0087862i,-0.013757+0.003951i
-0.0083489+0.014045i,-0.01473+0.042099i,0.010391+0.034798i,-0.005856+0.025648i,0.0025134+0.018931i,0.0058251+0.022119i,-0.025613+0.019387i,-0.01951+0.034767i,0.0046433+0.011333i,-0.0017784-0.00046098i,2.1171e-05+0.0028452i,0.0048761+0.0012183i,0.0042588+0.0031865i,-0.0014718+0.0029081i,-0.0022727+0.0046607i,-0.0042498-0.0055977i,-0.0090208+0.0035117i,-0.0017132+0.0010589i,0.00097346-0.0010039i,-0.00045751+1.351e-05i,-0.00021178-0.0031601i,0.0010474-0.0022121i,0.00086805-0.0015327i,-0.011478-0.0060765i,0.00011542-0.00034666i,-0.001472+0.00061558i,-0.0017443+0.0010101i,-0.0024675+0.00073486i,-0.0012739-0.00079252i,0.0010772-0.00081443i,-0.0015726+0.0011655i,0.0010782-0.00038044i,0.0010485-0.001482i,0.00025569+0.00045666i,-0.0010263+0.0015082i,-0.00071271-0.0058818i,-0.00081076+0.0011882i,0.0008569-0.00051511i,0.00078557+0.0027131i,0.0057782+0.0029695i,0.00041459-0.0020672i,-0.0025495-0.00061079i,-0.0028579-0.0014021i,0.0043523+0.0044653i,-0.0057056+0.0048083i,0.0013879-0.067161i,-0.065204+0.029711i,-0.034857-0.021482i,-0.07403-0.039383i,-0.053544-0.0059308i,-0.078716+0.021036i,-0.071966+0.015973i,-0.039615-0.034016i,-0.013925-0.04398i,-0.045042-0.010884i,-0.0069778+0.00031929i,-0.024924+0.022925i,0.010061+0.0060636i,0.011867+0.0016384i,-0.0047304-0.01192i,0.007036+0.0022156i,-0.011575+0.0026071i,0.007904+0.00956i,0.0038512+0.0073516i,-0.00079207-0.00096484i,0.0064283+0.0023754i,0.0052425+0.00067804i,0.0042611+0.015841i,0.0041933+0.0057882i,-0.0030817-0.0052518i,0.0020582-0.0068939i,0.0029712+0.0048849i,-0.010623+0.00020605i,-0.0020918+0.0018172i,0.006771-0.031803i,0.0082321+0.007221i,0.0042717+0.0021237i,0.0019079+0.0029871i,-0.00040892-0.0015378i,0.01742-0.0057648i,-0.00037141-0.0026133i,-0.0061398-0.0041062i,-0.0029396-0.00081329i,0.010571+0.00057306i,0.0040729-0.00043261i,5.725e-05-0.0063294i,0.0060923+0.0035366i,-0.0049915+0.0050425i,0.01383+0.001625i,-0.049652-0.031699i,-0.0066989-0.0047693i,-0.0029544-0.0023447i,0.00068357+0.00060767i,-0.033807+0.022931i,-0.0046379+0.010106i,-0.010859+0.0061231i
-0.0053609+0.013922i,-0.0083427+0.042642i,0.015422+0.027126i,-0.0010696+0.024705i,0.0060873+0.017763i,0.0097669+0.019629i,-0.022323+0.024362i,-0.012583+0.034529i,0.0035889+0.0067599i,-0.0019104+0.00081649i,0.0018331+0.0031788i,0.0024249-0.00026745i,0.0045025+0.0018418i,-0.00055999+0.0029458i,-0.00093433+0.0055952i,-0.0071674-0.0010111i,-0.0071391+0.0078297i,-0.00076311+0.0016164i,0.0016192-0.0019472i,0.00016754-0.00034653i,-0.0011243-0.0030249i,0.00089993-0.0029048i,0.00073252-0.0016687i,-0.013175-0.00261i,-0.00020663-0.00031796i,-0.0010327+0.0013366i,-0.00088654+0.00079202i,-0.0015221+0.0016648i,-0.0014036-0.00064676i,0.00063907-0.0014604i,-0.00081939+0.0016969i,0.00059678-0.00055948i,0.0002957-0.0014337i,0.00052037+0.00029848i,-0.00058606+0.0024788i,-0.00011958-0.0058425i,-0.00068809+0.00094863i,0.00030949-0.00070463i,0.002512+0.0015117i,0.0053526+0.00075462i,-0.00020171-0.0019636i,-0.0017114+0.00058928i,-0.003773-0.00012117i,0.0053174+0.002915i,-0.0054983+0.0033735i,-0.020678-0.067588i,-0.051156+0.038702i,-0.043993-0.018082i,-0.082138-0.024729i,-0.048972+0.0029469i,-0.063779+0.032741i,-0.059028+0.02912i,-0.044031-0.035612i,-0.019462-0.04305i,-0.044361+0.0041554i,-0.0071281+0.0017304i,-0.012618+0.028928i,0.010626+0.0014202i,0.0086409-0.0047289i,-0.015135-0.010589i,0.0067273+0.00067765i,-0.0081598+0.0065739i,0.010358+0.0043137i,0.0060074+0.0065037i,-0.0028385+0.00037166i,0.0068818-0.0013439i,0.0066537-0.0018207i,0.007598+0.0099143i,0.0041218+0.0019013i,-0.0081373-0.002083i,-0.00037068-0.0048538i,0.0059632+0.0039201i,-0.006291+0.0087599i,0.00027161+0.0030728i,-0.0037377-0.027904i,0.011682+0.0032129i,0.0042032+5.5951e-05i,0.0020891+0.0010661i,0.00062495+0.00044689i,0.011368-0.010938i,-0.0026414+0.00035762i,-0.0072352-0.00066827i,-0.0036005+0.0024739i,0.0072357-0.0020966i,0.0067758-0.0016582i,-0.00022475-0.0055706i,0.0090478+0.00065397i,-0.0018508+0.0061882i,0.012021-0.002913i,-0.054643-0.020649i,-0.012543-0.013278i,-0.0016735-0.003414i,0.0017321-0.0015476i,-0.023608+0.028559i,-0.0026586+0.0056725i,-0.0072998+0.0023084i
-0.0027404+0.012754i,-0.0012298+0.042865i,0.017453+0.019759i,0.0037811+0.02355i,0.010209+0.01435i,0.013158+0.016254i,-0.017188+0.028238i,-0.0075323+0.032786i,0.0022538+0.0053522i,-0.0011368+0.0019142i,0.003038+0.0020156i,0.0012431+0.0014381i,0.0042808+0.00063027i,-0.00049638+0.0035439i,0.00058381+0.0057446i,-0.0065791+0.0046026i,-0.0028455+0.010676i,0.00010851+0.0013548i,0.00065545-0.0025718i,-5.6863e-05-0.00098711i,-0.0018488-0.0023834i,0.00024047-0.0031289i,0.00047613-0.0021657i,-0.013106+0.0020375i,-0.00015576-0.00036998i,-6.8214e-06+0.0010659i,-0.00069262+0.00036096i,-0.00034945+0.0015402i,-0.0016442+3.8832e-05i,-0.00018013-0.0013888i,-3.2669e-05+0.0017271i,0.00024195-0.00066585i,-0.00053612-0.001097i,0.00048673+0.00012804i,0.00089467+0.0022773i,-0.00080113-0.0076342i,-0.00025259+0.0012822i,-0.00034668-0.00055604i,0.0020094-0.00066469i,0.0046811-0.00072399i,-0.00062164-0.0018108i,-0.00088247+0.00039292i,-0.003817+0.0016989i,0.0046393+0.00049704i,-0.0059872+0.0031745i,-0.039592-0.05607i,-0.037436+0.040957i,-0.050582-0.010234i,-0.086359-0.0086399i,-0.042846+0.0082565i,-0.050315+0.036884i,-0.045205+0.031998i,-0.049009-0.029809i,-0.024575-0.038746i,-0.039283+0.015516i,-0.0073358+0.0031355i,-0.0010206+0.029148i,0.0096483-0.0032532i,0.003111-0.0065509i,-0.021699-0.0010961i,0.0041601+5.6131e-05i,-0.004496+0.0079287i,0.0091336-0.0016697i,0.0083943+0.0051757i,-0.0028354+0.003053i,0.0037548-0.0026291i,0.0058705-0.0061529i,0.0073641+0.0038459i,0.0016996+0.00010374i,-0.0082922+0.0019363i,-0.001775-0.0035379i,0.0071824+0.0014155i,0.0028186+0.0099643i,0.0018336+0.0019803i,-0.0095718-0.021907i,0.011488-0.0011602i,0.0037176-0.0013248i,0.0026263+0.0017115i,0.001285-3.1484e-05i,0.0057518-0.011176i,-5.4217e-05+0.0026974i,-0.006637+0.0026198i,-0.00097018+0.0045051i,0.0051756-0.0020183i,0.0067712-0.0059226i,-0.0022786-0.0049194i,0.008157-0.0047834i,-0.00036777+0.0047159i,0.0099769-0.007006i,-0.052804-0.0079905i,-0.022309-0.014633i,-0.0026236-0.0073232i,0.002207-0.0053848i,-0.015745+0.029229i,-0.0064099+0.0039196i,-0.0096553+0.0001829i
-0.0011867+0.011524i,0.0053987+0.041215i,0.016732+0.014225i,0.0084487+0.020742i,0.012686+0.0097532i,0.015161+0.012437i,-0.010847+0.02998i,-0.0034894+0.031463i,0.0022334+0.0051726i,0.00019853+0.0022252i,0.0031963+0.00095307i,0.0020996+0.002407i,0.0039352-0.00037067i,0.0010428+0.004431i,0.0021497+0.0054922i,-0.0033122+0.0079428i,0.0018267+0.010926i,0.00059234+0.0011166i,0.00011747-0.0023231i,-0.00058688-0.0011501i,-0.0026175-0.0017538i,-0.00052798-0.0029608i,-0.00040703-0.002389i,-0.010401+0.0055114i,-0.00046987-0.00076887i,4.5477e-05+0.00025977i,-0.00078948+0.00031876i,0.00021728+0.00095524i,-0.0013473+0.00085449i,-0.00031001-0.00090538i,0.0004726+0.001532i,0.00010362-0.00088326i,-0.0009312-0.00048974i,0.00033607-3.5073e-05i,0.0011044+0.001421i,-0.0032412-0.008661i,8.227e-05+0.0012142i,-0.000438+0.00018053i,0.00051633-0.001032i,0.0037529-0.0012464i,-0.001079-0.0016589i,-0.00069756+0.00033576i,-0.0024984+0.0031897i,0.0032164+0.00078945i,-0.0058428+0.0040454i,-0.046786-0.039087i,-0.027271+0.03877i,-0.054733-0.00039928i,-0.08727+0.0087086i,-0.03847+0.0092338i,-0.038631+0.037961i,-0.035338+0.031776i,-0.050507-0.023843i,-0.02711-0.035208i,-0.032028+0.02541i,-0.0067358+0.0047766i,0.011723+0.025002i,0.0072602-0.0062018i,-0.0015736-0.0054934i,-0.021349+0.0085156i,0.0033953+0.00063611i,-0.00057303+0.0093493i,0.003859-0.0034856i,0.010194+0.0024904i,-0.0013624+0.0049275i,0.0016079-0.0016372i,0.0030197-0.0091981i,0.0039089+0.0023157i,-0.00041874+0.0011852i,-0.0078282+0.006742i,-0.0028804-0.0014155i,0.0071048-0.0013685i,0.0070301+0.0052317i,0.0024579+0.0010363i,-0.012339-0.019213i,0.0098622-0.0052567i,0.0026215-0.0023972i,0.0050949+0.00066601i,0.0014242-0.00021146i,0.0029769-0.009839i,0.0022174+0.0019873i,-0.004061+0.0057214i,0.0018487+0.0042596i,0.0046059-0.0019266i,0.0032675-0.010518i,-0.0027073-0.0033549i,0.0041617-0.0080005i,-0.00038667+0.0037522i,0.0051558-0.010525i,-0.046734-0.0017922i,-0.03275-0.006692i,-0.0055651-0.0092259i,0.00039908-0.0097992i,-0.0089362+0.029411i,-0.010062+0.0064868i,-0.010954+0.0018701i
7.6248e-05+0.010623i,0.011288+0.039029i,0.015911+0.011406i,0.011593+0.016732i,0.012745+0.0049276i,0.016511+0.0090144i,-0.0042846+0.029416i,9.3372e-05+0.030274i,0.002809+0.0037855i,0.00083441+0.0014741i,0.0026809+0.00013564i,0.0030802+0.0024735i,0.0033367-0.0012209i,0.0027187+0.003691i,0.0033498+0.0047068i,0.00043305+0.0090183i,0.0063192+0.0090568i,0.00098334+0.00079903i,-0.00040057-0.0024946i,-0.0012021-0.0010509i,-0.0026986-0.00060014i,-0.0009576-0.0027133i,-0.0010701-0.0019913i,-0.0081776+0.0066496i,-0.0010488-0.00038114i,-0.0002437+6.3927e-05i,-0.00093394+0.00044602i,0.0004322+0.00027497i,-0.00054938+0.0011699i,-0.00035783-0.00075999i,0.0010433+0.0013104i,-0.0003384-0.001061i,-0.00093067+4.2066e-05i,1.5763e-05-0.00016696i,0.0013017+0.0015044i,-0.0062347-0.0084021i,0.00015398+0.00079022i,5.3528e-05+0.00038217i,-0.00018135-0.00079613i,0.0031139-0.0015643i,-0.0013886-0.0009782i,-0.0007138+0.00038561i,-0.00065937+0.0035973i,0.0033492+0.0016251i,-0.0049398+0.0052747i,-0.045297-0.027182i,-0.020177+0.036467i,-0.055184+0.012506i,-0.082246+0.028796i,-0.039228+0.0097939i,-0.029578+0.036187i,-0.026863+0.03044i,-0.050128-0.017732i,-0.03073-0.032377i,-0.0228+0.030298i,-0.0063652+0.0066659i,0.018635+0.011154i,0.0047564-0.0086729i,-0.0047876-0.0020727i,-0.015743+0.016575i,0.0037745-0.00032645i,0.0046493+0.0072773i,0.0012391-0.0014866i,0.011394-0.0018516i,0.00054934+0.0063612i,0.00091331-0.00057191i,-0.0029916-0.010948i,0.0021821+0.0041852i,-0.00034174+0.0034246i,-0.0023341+0.011638i,-0.0018037+0.00066368i,0.0057474-0.0031336i,0.0079561+0.0010295i,0.0032973-0.00070605i,-0.018272-0.018037i,0.0061939-0.007547i,0.00083722-0.0028601i,0.0041768-0.0016209i,0.0011472+0.00060427i,0.0020784-0.0081266i,0.003101+0.0003872i,-0.00073493+0.0066563i,0.0031706+0.0019833i,0.0038937-0.0029293i,-0.0029441-0.010442i,-0.0030022-0.0033193i,7.4916e-05-0.0077675i,0.00054893+0.0029829i,-0.00093338-0.010613i,-0.044183+0.0023618i,-0.030308+0.0080705i,-0.0088763-0.0092504i,-0.0039887-0.011764i,-0.0040298+0.02805i,-0.0090157+0.011991i,-0.0083864+0.0029864i
0.0012795+0.0097065i,0.017031+0.036621i,0.016212+0.0092259i,0.013168+0.012494i,0.011262+0.0016899i,0.017471+0.0055149i,0.0012071+0.027563i,0.0035948+0.029406i,0.0030739+0.0028366i,0.00086738+0.0011124i,0.0022077+0.00032798i,0.0045863+0.0022448i,0.0024464-0.0017157i,0.0035237+0.001989i,0.0041556+0.0037365i,0.0038496+0.0085091i,0.0090737+0.0056515i,0.0012795+0.00051122i,-0.0011143-0.0025041i,-0.001626-0.00045774i,-0.0021878+0.00027748i,-0.0016063-0.0025943i,-0.0014496-0.001528i,-0.0066384+0.0085617i,-0.0011508+4.235e-05i,-0.0005406+0.00030511i,-0.00095396+0.00080907i,-0.00011788-0.00023779i,-0.00014613+0.00086931i,-0.00052917-0.00077043i,0.0015522+0.00080447i,-0.00046354-0.00053118i,-0.00044335+0.0001507i,-9.3997e-05-8.6908e-05i,0.0019683+0.00064086i,-0.0091896-0.0071014i,0.000283+0.00078296i,0.00014079-8.1968e-05i,-0.00056269-0.00050795i,0.0026479-0.0020057i,-0.0011927-0.0003023i,-0.00034054+0.00052938i,0.00050999+0.0026339i,0.0039669+0.001008i,-0.0030874+0.005675i,-0.043827-0.0224i,-0.015142+0.034755i,-0.049664+0.024506i,-0.070626+0.045422i,-0.039683+0.015346i,-0.022877+0.034852i,-0.02131+0.027591i,-0.049445-0.013537i,-0.033572-0.027355i,-0.014758+0.032698i,-0.003655+0.0074009i,0.013398-0.0018639i,0.00087733-0.010825i,-0.0049928+0.0011006i,-0.0087227+0.01919i,0.0024701-0.0018541i,0.0064848+0.0027925i,0.001662-0.00022467i,0.0095833-0.0052403i,0.0046744+0.0063574i,0.0010948+0.0012266i,-0.0085286-0.0053988i,0.0036548+0.0058782i,0.0011949+0.0049727i,0.003618+0.011256i,-0.00083035+0.0010306i,0.0044256-0.0044644i,0.0077074-0.0041954i,0.0015355-0.0019982i,-0.0251-0.011552i,0.0031103-0.0081095i,-0.0003995-0.0017485i,0.0045454-0.00087725i,0.0017625+0.00042344i,0.002454-0.0092886i,0.0025408-0.0013456i,0.0021065+0.005254i,0.0030258+0.0010951i,0.0033846-0.0026366i,-0.0064743-0.0069403i,-0.0047247-0.0026243i,-0.0032854-0.0061168i,0.00071028+0.0017122i,-0.004887-0.0077268i,-0.040723+0.0074639i,-0.024379+0.0098555i,-0.0089609-0.0087691i,-0.0076071-0.011189i,0.0012196+0.025224i,-0.0068147+0.013337i,-0.0083314+0.0022682i
0.0022971+0.0086679i,0.02271+0.033508i,0.017109+0.0073475i,0.013602+0.0089909i,0.0093834-0.0002201i,0.017649+0.0020499i,0.0058188+0.024742i,0.0074444+0.028303i,0.003505+0.0013797i,0.00098532+0.00089371i,0.0026098+0.00054951i,0.0059546+0.00034952i,0.0016375-0.0017638i,0.0029662+0.00095622i,0.0048235+0.0028513i,0.0066173+0.0060772i,0.010103+0.0023612i,0.0016421-0.00011163i,-0.0018929-0.0021934i,-0.0015205+0.00052162i,-0.0014843+0.00080233i,-0.0021302-0.0017053i,-0.0015581-0.0011204i,-0.0029756+0.010053i,-0.00091944+0.00042702i,-0.00033206+0.00069574i,-0.00083464+0.0012973i,-0.00091326-3.4864e-06i,3.2162e-05+0.00077584i,-0.00072756-0.00060517i,0.0016452+7.745e-05i,-0.00019235-0.00063755i,-0.000546+0.00012575i,-0.00018961-8.4857e-05i,0.0015906-0.00020833i,-0.011738-0.0040982i,0.00036859+0.00069865i,-0.00015401-7.8085e-05i,-0.0010934-0.00031137i,0.0021997-0.0022917i,-0.00079018-0.00019156i,-0.00018246+0.00033388i,0.00067875+0.0018598i,0.0041314+0.00033124i,-0.0014635+0.0047529i,-0.046322-0.018744i,-0.01104+0.033039i,-0.042129+0.033801i,-0.055404+0.055785i,-0.038701+0.020953i,-0.01626+0.032732i,-0.017165+0.025991i,-0.049745-0.010067i,-0.034685-0.021479i,-0.0064279+0.033576i,-0.0017996+0.0067578i,0.0055546-0.0042155i,-0.0034812-0.010836i,-0.0032726+0.0044481i,-0.0023882+0.018297i,7.6947e-05-0.002415i,0.0057267-0.0015437i,0.0012807+0.00023722i,0.0069031-0.0084536i,0.0078134+0.003704i,0.0024606+0.0017257i,-0.0091111-0.00095702i,0.0060185+0.0063767i,0.0035496+0.0055778i,0.0087786+0.008759i,-0.0002863+0.0015247i,0.0036582-0.0054149i,0.0047568-0.0077332i,0.00050617-0.00064623i,-0.028818-0.0019003i,0.0010448-0.0080426i,-0.00047147-0.00045325i,0.0052133-0.0012068i,0.0019673-6.2292e-05i,0.0010561-0.011709i,0.00086864-0.0016387i,0.0037379+0.003969i,0.0034746+4.832e-05i,0.0044438-0.0035273i,-0.0080178-0.0039241i,-0.0062989-3.0656e-05i,-0.0062316-0.0038901i,0.00036197+0.0006325i,-0.0063202-0.0045594i,-0.036882+0.010676i,-0.022356+0.011097i,-0.0091088-0.010491i,-0.010457-0.0096718i,0.0021891+0.022681i,-0.0060052+0.013462i,-0.0077631+0.002778i
0.0033429+0.0078022i,0.028859+0.029046i,0.018984+0.0048196i,0.013496+0.0061604i,0.0082618-0.00068754i,0.017299-0.0011152i,0.0091281+0.020963i,0.011868+0.026446i,0.0033852-0.00041752i,0.00098332+0.0005869i,0.0030153-0.00023218i,0.0053697-0.0024553i,0.0011149-0.0015719i,0.0027927+0.0005119i,0.0054713+0.0016717i,0.0071205+0.0030652i,0.00976-0.0010935i,0.0011779-0.00092362i,-0.0026538-0.0014737i,-0.00074814+0.00099565i,-0.00061977+0.00077849i,-0.0020152-0.0011459i,-0.0017184-0.00072679i,0.00059714+0.0094742i,-0.00058249+0.0005616i,-3.8155e-05+0.00070836i,-0.00025798+0.0016135i,-0.00096413+0.00068917i,0.00036668+0.00041888i,-0.00082458-0.00046036i,0.0013732-0.00053935i,-0.00069001-0.00070372i,-0.00053629+0.00037753i,-0.00035572+2.519e-05i,0.0010317-0.00059079i,-0.012462+0.0002189i,0.00034707+0.00059092i,-0.00010368+3.243e-05i,-0.0013017+0.000246i,0.0016064-0.0026007i,-0.00081405-0.00021391i,-6.3926e-05+0.00020791i,0.00055266+0.0014677i,0.0041748-0.00031459i,-0.00088956+0.0038226i,-0.051141-0.011823i,-0.0072633+0.031184i,-0.031156+0.039454i,-0.040348+0.062195i,-0.036518+0.029184i,-0.010252+0.02903i,-0.011149+0.023661i,-0.050128-0.0051914i,-0.033742-0.015422i,0.00063589+0.033068i,-0.0012035+0.0059173i,0.0008613-0.0046001i,-0.0081585-0.0096627i,0.00069707+0.005183i,0.00085266+0.016095i,-0.0027874-0.0014803i,0.0033749-0.0050834i,0.0023349+0.0021722i,0.0021519-0.010446i,0.0091445-0.00094515i,0.0036921+0.001179i,-0.0087379+0.0037226i,0.0096984+0.0055557i,0.0071851+0.0041838i,0.012391+0.0035489i,0.00069593+0.0020442i,0.002114-0.0062247i,-0.00079518-0.0086377i,0.001456+0.00080411i,-0.028845+0.0090817i,-0.0011108-0.0079394i,0.00029168+0.0007657i,0.0056074-0.004759i,0.0022789-0.00028415i,-0.0040128-0.013458i,-0.00015669-0.00089237i,0.0046608+0.0020525i,0.0033986-0.00062085i,0.0038872-0.0049473i,-0.0083482+0.00062864i,-0.0057477+0.0033669i,-0.0075318-0.00060905i,-0.00091425-0.00050626i,-0.0064715-0.0020626i,-0.033715+0.013095i,-0.021067+0.016021i,-0.01151-0.013926i,-0.010607-0.0074803i,0.0045524+0.021945i,-0.0059525+0.015747i,-0.0062254+0.0016883i
0.0044301+0.0065325i,0.03368+0.022718i,0.020322+0.00051435i,0.013133+0.0038984i,0.0079303-0.00096319i,0.016715-0.0040365i,0.010947+0.017271i,0.015526+0.023336i,0.0023732-0.0019652i,0.00082686+0.00054576i,0.0026972-0.00095805i,0.0032446-0.0038842i,0.00069329-0.0014639i,0.0024805+6.0256e-05i,0.005591+0.00023195i,0.0061592+0.0011958i,0.0083241-0.0037176i,0.0006126-0.0011962i,-0.002719-0.00053811i,-7.5788e-05+0.00097274i,0.00018815+0.00047608i,-0.0019027-0.00096138i,-0.0016124-0.00033808i,0.0032943+0.0085757i,-0.00037074+0.00054346i,0.00015968+0.00069535i,0.00039866+0.001337i,-0.0005692+0.0011079i,0.00031526-0.00013008i,-0.0010512-0.00018469i,0.00097966-0.00091265i,-0.0011106-0.00022272i,-0.00023373+0.00069557i,-0.0003684+0.00029571i,0.00068036-0.00087734i,-0.011491+0.0038635i,0.00040669+0.00037844i,-0.00014178-6.7047e-05i,-0.0011845+0.00097459i,0.00093006-0.0030581i,-0.00078597+4.6439e-05i,-0.00017948-0.00015226i,0.0005193+0.0013563i,0.0042702-0.0010668i,-0.00043628+0.0033378i,-0.053103-0.00060816i,-0.0050252+0.02958i,-0.021596+0.040568i,-0.024098+0.066106i,-0.029776+0.03823i,-0.0070856+0.023851i,-0.0078959+0.017853i,-0.04865-0.00025601i,-0.030691-0.0096607i,0.0090448+0.030411i,-0.00085444+0.0059862i,-0.0047622-0.0031849i,-0.011741-0.0061537i,0.0033411+0.0031035i,0.0033528+0.01491i,-0.005762+0.0011463i,-0.00053544-0.0071416i,0.0050023+0.00075183i,-0.0027886-0.0093156i,0.0069343-0.0045806i,0.0048775-0.00050075i,-0.0071064+0.0072574i,0.012777+0.00098909i,0.0087559-0.00059211i,0.012183-0.003853i,0.0021855+0.0017618i,3.1921e-07-0.0064025i,-0.0042519-0.0052058i,0.0031613-0.00024214i,-0.023738+0.021438i,-0.0033214-0.0066342i,0.0017955+0.0010313i,0.0023761-0.0064094i,0.0025928-0.00041424i,-0.010055-0.01095i,0.00015167+0.00051273i,0.0047919-8.5457e-05i,0.0028772-0.0016825i,0.0025468-0.0057157i,-0.0065029+0.0044222i,-0.0032885+0.0055236i,-0.007323+0.0037061i,-0.0031741-0.0004423i,-0.0060293-0.00064863i,-0.02972+0.017327i,-0.01262+0.019726i,-0.017716-0.014844i,-0.010069-0.0073545i,0.0056953+0.02058i,-0.0031313+0.018959i,-0.0059812-0.0011462i
