-0.023121-0.03923i,-0.010879-0.049388i,-0.016683-0.04558i,-0.030692-0.035859i,-0.029496-0.01708i,-0.050528-0.029161i,-0.058596-0.026749i,-0.044608-0.039394i,-0.02966-0.036735i,0.0069986+0.01343i,-0.005759+0.016055i,-0.005349+0.014773i,0.0096524+0.022232i,0.00013674+0.0047332i,0.0035863+0.0034482i,0.006217+0.018216i,0.026932+0.039731i,-0.0023179-0.00090931i,-0.0043377-0.0060478i,0.0080599+0.0018839i,-2.9699e-05-0.00088452i,-0.00088694+0.0014958i,7.6273e-05-0.00047415i,-0.03078-0.0028193i,-0.0014016-0.0060273i,0.001304+0.0047082i,0.0038629-4.2e-05i,-0.00039304+0.00064453i,0.0004209-0.00061143i,-0.00050418-0.0025228i,-0.0018392-0.0064956i,-0.0046001-0.0042495i,-0.0020275-0.0053489i,0.0021676-0.00083799i,0.0021891-0.003031i,0.0023059+0.026063i,0.0019883-0.0030182i,0.0029513+0.00065264i,0.0059189+0.00094452i,-0.010509-0.0035521i,-0.0031699+0.00068845i,0.0068544+0.0016877i,0.0046236+0.00062552i,-0.0037916+0.0055167i,0.0016154-0.0079951i,-0.011269+0.018433i,0.035925-0.090656i,0.012728-0.070328i,-0.015353-0.059617i,-0.016169-0.0558i,0.040338-0.045845i,0.017598-0.062549i,0.034773-0.055639i,0.031432-0.059575i,0.015803-0.013465i,0.0041796+0.016936i,0.016689-0.026216i,-0.011429+0.0056362i,-0.00082294+0.0051872i,-0.0056904-0.0011235i,-0.0019363-0.028883i,-0.024045+0.031823i,0.0099205-0.011109i,-0.013063-0.0024822i,-0.00027154-0.0050329i,-0.0010954-0.016432i,-0.0077192+0.0047701i,0.005216+0.0062101i,-0.0083945+0.03117i,0.0049357+0.0059114i,-0.0052956-0.00062932i,-0.0030394-0.00031463i,-0.012114-0.0076789i,-0.00068384-0.0043883i,-0.030099+0.0059417i,9.0904e-05-0.010138i,-0.0094102-0.0022271i,-0.0065495-0.0026502i,0.0068971+0.0027982i,-0.0077905+0.001109i,0.00014933+0.00032929i,0.0057265+0.010934i,0.0040555+0.0012165i,-0.0097121-0.010174i,0.0029504+0.008418i,-0.021559+0.0062271i,0.0082569+0.00020468i,-0.02895-0.0040018i,-0.041919+0.0024133i,0.018928-0.096627i,-0.0016574-0.012307i,-0.053148-0.02183i,-0.023235+0.0011194i,0.018004+0.010952i,-0.024707+0.012843i,-0.018684-0.013461i
0.011107-0.010126i,0.040484-0.018673i,0.018001-0.03021i,0.0074598-0.022245i,0.0066182-0.042825i,-0.02098-0.019681i,-0.011331-0.014686i,-0.0063115-0.02735i,0.0037254-0.018258i,0.0039725-0.0037662i,0.00071628-0.0054337i,-0.0011343-0.0046012i,-0.0027401-0.0047191i,-0.0014557-0.0023632i,-0.00071704+0.0011919i,0.0011346-0.0032648i,-0.0022277+0.0026461i,-0.0003661+0.0015585i,-2.8535e-05+0.00024584i,0.001195+0.0018013i,0.0020492+0.0015826i,0.00090327-0.0010995i,0.0020476-0.00024155i,0.00078375+0.002573i,-0.00035497+0.00054396i,-0.00032355+0.00056549i,-0.0011987+0.00088539i,-0.00044746+0.00057092i,0.00012937+0.00018617i,-8.904e-05+2.1327e-05i,0.0011051-0.0027315i,0.0013402-0.00044556i,0.00020778-0.00077721i,-2.7833e-05-0.00098779i,0.0014363+0.00038677i,0.0041915-0.0028096i,-5.5245e-05+0.00013992i,0.00021314+0.0011502i,0.00024518-7.9912e-05i,0.00038228-0.00014289i,0.0010474+0.00047146i,0.00066115+0.00057193i,-0.0010202-0.0022872i,0.0010037-0.0026155i,0.019128+0.0027519i,0.034697+0.03519i,0.04083+0.033417i,0.050571+0.020067i,0.012798-7.2562e-05i,0.036888-0.0060957i,0.040104+0.0062998i,0.016012+0.00082561i,0.029576+0.011918i,0.0034912+0.029675i,0.0044973-0.0059771i,0.00078131-0.0037183i,0.0046086-0.0064322i,0.0070225+0.00094253i,0.0052292+0.0049068i,-0.0033412+0.0065632i,-0.0046238-0.0029682i,0.0059668+0.011528i,-0.0036257+0.0014399i,0.0029771+0.0058691i,0.00046045+0.0017325i,0.00049149-0.0035739i,0.0071458-0.0043849i,-0.0030836+1.0813e-05i,0.0037748-0.0041878i,-0.0060643+0.0024718i,-0.0014341-0.00028706i,5.0466e-05-0.0004879i,-0.0044438+0.00039516i,-0.0042216-0.00069327i,-0.0095383-0.005519i,0.0014516-0.0026867i,-0.0034676+0.0029437i,-0.001683+0.0007592i,-0.0025897+0.0037778i,0.0081406-0.0017093i,-0.0069205+0.0014574i,-0.0066986-0.0055436i,-0.0025302-0.00074046i,-0.0051601+0.0013794i,0.0020233-0.0036699i,0.0062169-0.0023539i,0.0030555-0.0019208i,0.0068774+0.0061511i,0.005764+0.004472i,0.041214+0.018041i,-0.030239+0.001906i,-0.034671+0.026224i,-0.0063016+0.018834i,0.0032273+0.0047537i,0.0067445-0.0064096i,-0.012172+0.0026622i
0.0094784-0.011655i,0.035881-0.025199i,0.012161-0.03205i,0.0040247-0.022045i,-0.0021204-0.043114i,-0.023004-0.01595i,-0.014233-0.013112i,-0.010387-0.025719i,0.00025662-0.018472i,0.0028644-0.0044826i,-0.0011008-0.0054704i,-0.0019346-0.0037457i,-0.003794-0.0031102i,-0.001815-0.0016919i,-0.00040118+0.0011714i,0.00063032-0.0033978i,-0.00071443+0.0027884i,-0.00030398+0.0017696i,-2.8409e-05+0.00048699i,0.0016435+0.0011569i,0.002681+0.00072446i,0.00060958-0.0014034i,0.0017744-0.00088585i,0.0021194+0.0014816i,0.00017225+0.00055897i,-7.3316e-05+0.00037596i,-0.00058305+0.0013437i,-0.000334+0.00077436i,0.00026073+0.00019128i,7.3723e-05+9.6703e-05i,-8.8473e-05-0.003035i,0.0011713-0.000942i,-0.00015825-0.0007943i,-0.00032075-0.00074302i,0.0018035-0.00048335i,0.0034594-0.0037697i,0.00020027+0.00028309i,0.00062423+0.0010555i,0.00044837-0.00025526i,3.5691e-05-0.00043216i,0.0012592+4.5353e-05i,0.00078527+0.00018386i,-0.0012362-0.0014155i,0.00098673-0.0030933i,0.019543-0.00021184i,0.041231+0.028714i,0.044972+0.025893i,0.05194+0.011194i,0.011665+0.001004i,0.036639-0.012526i,0.040352-0.00071476i,0.016008-0.0042634i,0.027137+0.0047308i,0.0089349+0.026635i,0.0021301-0.0061074i,-0.0020887-0.0017333i,0.00079383-0.0080672i,0.0052165-0.0008328i,0.0056522+0.0031072i,-0.00086819+0.0073013i,-0.003988-0.00074989i,0.0069214+0.0087352i,-0.003431+0.0034472i,0.0056393+0.0047609i,0.0011211+0.0012978i,-0.0011366-0.0027344i,0.0060236-0.0070608i,-0.0026779+0.00064743i,0.0026185-0.0052081i,-0.0032355+0.0043241i,-0.0020472-0.00034857i,-0.00037383-0.00049932i,-0.0032301+0.0020065i,-0.003469+0.00054049i,-0.010061-0.0020399i,0.00049516-0.0031225i,-0.0021031+0.0032385i,-0.0017975+0.0010734i,-0.00061412+0.0037531i,0.0076102-0.0052599i,-0.0053633+0.0037898i,-0.0078833-0.0027494i,-0.0024727-0.00058919i,-0.0041081+0.002565i,0.0010215-0.0031354i,0.0046713-0.0043929i,0.00308-0.0024942i,0.0067176+0.0027554i,0.0053915+0.0042228i,0.041527+0.010856i,-0.027332+0.0070852i,-0.029026+0.033487i,-0.0042477+0.01694i,0.006094+0.0054369i,0.004279-0.0054197i,-0.011884+0.0053209i
0.0076696-0.013542i,0.030336-0.03009i,0.0067701-0.033101i,0.0013422-0.022046i,-0.010587-0.040977i,-0.024432-0.012145i,-0.016921-0.01077i,-0.014238-0.023542i,-0.0027151-0.017759i,0.0016706-0.0048683i,-0.0027499-0.0042991i,-0.0022064-0.0030543i,-0.0039482-0.0014711i,-0.0020164-0.0011834i,-7.9381e-05+0.0013974i,3.964e-05-0.0034124i,0.00024793+0.002356i,0.00019071+0.0022894i,0.00023963+0.00079819i,0.0017752+0.00040141i,0.0027656-0.00039345i,2.6385e-05-0.0016146i,0.0012285-0.0012961i,0.0026065-0.00039156i,0.00065585+0.00031408i,-0.00013323+0.00027209i,-3.0194e-05+0.0014148i,3.1224e-05+0.00091539i,0.00037636+5.0853e-05i,0.00024918+8.7519e-05i,-0.0012862-0.0027959i,0.0008109-0.0012616i,-0.00039822-0.00060451i,-0.0004959-0.0006306i,0.0014777-0.0016176i,0.0024812-0.0045903i,0.00047883+0.00011098i,0.0010229+0.00080033i,0.00043521-0.00043721i,-0.00045645-0.00066311i,0.0011564-0.00047783i,0.00057234+2.7869e-05i,-0.0011753-0.00073924i,0.00046276-0.0033042i,0.019666-0.0034419i,0.046015+0.019007i,0.048008+0.017651i,0.052295+0.0030254i,0.012412+0.0025359i,0.034855-0.019945i,0.039689-0.0075537i,0.015035-0.0096191i,0.024821-0.00015004i,0.014683+0.022571i,0.00048212-0.0053939i,-0.0032543+0.00099942i,-0.0037908-0.0081159i,0.0035363-0.0016403i,0.005496+0.0018504i,0.0012565+0.007445i,-0.0028896+0.00066964i,0.0068034+0.0058476i,-0.0010001+0.0053637i,0.0079374+0.0023736i,0.0017771+0.0009625i,-0.0020072-0.001371i,0.0039518-0.0095967i,-0.0022095+0.00079953i,0.0011166-0.0062652i,-0.0011095+0.0038937i,-0.0028589+5.932e-05i,-0.00040281-0.00047581i,-0.0017498+0.0032069i,-0.0025289+0.0011837i,-0.0091335+0.001474i,-0.00074668-0.0035667i,-0.00073819+0.0028715i,-0.0016028+0.0011389i,0.00063667+0.0028251i,0.0055611-0.0086741i,-0.0028442+0.0050621i,-0.0071927+6.76e-05i,-0.0027346-0.00034239i,-0.0031917+0.0035584i,0.0002862-0.0026497i,0.0029002-0.0048967i,0.0029456-0.0036076i,0.005078+0.0013005i,0.0057501+0.0042192i,0.040977+0.0036671i,-0.024169+0.0087688i,-0.020997+0.037933i,-0.0020624+0.01618i,0.0081916+0.0048785i,0.0034318-0.0036793i,-0.010595+0.0071128i
0.0051361-0.015284i,0.02446-0.033506i,0.001139-0.03345i,-0.0017263-0.022274i,-0.017325-0.037447i,-0.025397-0.0083898i,-0.018884-0.0075849i,-0.017444-0.020818i,-0.0051043-0.016732i,0.0002755-0.004673i,-0.0033135-0.0027922i,-0.0026508-0.0025102i,-0.0036117-0.00023047i,-0.0024013-0.00047685i,0.00056312+0.001568i,-0.00072219-0.0032193i,0.00074988+0.002163i,0.0012333+0.0023654i,0.00062994+0.00067819i,0.0014536-0.00024553i,0.0023724-0.0013604i,-0.0005039-0.0016004i,0.00074287-0.0014973i,0.0016401-0.0018196i,0.00073441-0.00026801i,-0.00019674+0.00026004i,0.00053452+0.0013658i,0.00047493+0.00082855i,0.00034403-0.00016181i,0.00031177-4.7961e-05i,-0.0022079-0.0021051i,0.00044391-0.0014467i,-0.00062816-0.00043128i,-0.00068475-0.00034601i,0.00028827-0.0022005i,0.0013112-0.0051833i,0.00049919-0.00016181i,0.0012699+0.00021405i,0.00042957-0.00055687i,-0.0010106-0.00057874i,0.00081719-0.00091091i,0.00046274+0.00011194i,-0.00094081-0.00033954i,-9.8995e-05-0.0031589i,0.019611-0.0072832i,0.047375+0.0085151i,0.04932+0.0089915i,0.05234-0.0057996i,0.015177+0.003404i,0.03089-0.027118i,0.037724-0.01389i,0.01215-0.014256i,0.021953-0.0033981i,0.019373+0.016627i,-0.00043284-0.0051118i,-0.0026825+0.0041638i,-0.0085884-0.0055268i,0.0019284-0.0019665i,0.005224+0.00080104i,0.0034196+0.0070116i,-0.0016283+0.0011499i,0.0057134+0.0041949i,0.0020593+0.0043593i,0.0091291-0.0013931i,0.0023421+0.00017026i,-0.0018912+0.00040563i,0.0002555-0.011784i,-0.0024588+0.0012417i,-0.00071792-0.006813i,-0.00057967+0.0036249i,-0.0033884+0.0010455i,-0.00057082-0.00054941i,0.0012023+0.0033702i,-0.0019134+0.00086312i,-0.0066669+0.0041215i,-0.0026454-0.0033923i,0.00012544+0.0020189i,-0.0013913+0.0013231i,0.0011561+0.0016448i,0.0020329-0.011157i,-0.00035624+0.0047457i,-0.0056753+0.0013705i,-0.0027089+0.00011786i,-0.0015363+0.0046861i,-0.00043106-0.002132i,0.0012205-0.0048696i,0.0018966-0.004575i,0.0038+0.00082652i,0.0064557+0.0035424i,0.039321-0.0030052i,-0.024466+0.008964i,-0.013338+0.03844i,0.00053212+0.014259i,0.0099349+0.0033484i,0.0037869-0.0025804i,-0.008776+0.0082085i
0.0025275-0.016521i,0.018829-0.035926i,-0.0043389-0.032674i,-0.0051141-0.021818i,-0.023651-0.03342i,-0.025794-0.0046592i,-0.019783-0.0041953i,-0.020119-0.017987i,-0.0070971-0.015772i,-0.00041755-0.0040646i,-0.0032663-0.0015814i,-0.0029993-0.0015649i,-0.0031368+0.00084386i,-0.0022605+0.00056499i,0.0012395+0.0011678i,-0.0012861-0.0026429i,0.0014509+0.0019383i,0.0020843+0.0016831i,0.0008227+0.0005078i,0.0010768-0.00051477i,0.0017574-0.0021306i,-0.0010875-0.0014616i,0.00019697-0.001674i,0.00045365-0.0024716i,0.00028338-0.00061455i,-0.00024834+0.00049309i,0.0011791+0.0010497i,0.00070488+0.00054098i,0.0002432-0.00028241i,0.00012504-0.00011936i,-0.0028111-0.0011823i,-7.8217e-05-0.0015644i,-0.00073859+4.3182e-05i,-0.00058337-3.7335e-05i,-0.00044632-0.0017939i,-3.5424e-05-0.0054237i,0.00038664-0.00013457i,0.0010894-0.00029449i,0.00027561-0.00077515i,-0.0014645-0.00010649i,0.00037206-0.0010855i,0.00057863+2.9485e-05i,-0.00063325+1.0323e-05i,-0.00058483-0.0031308i,0.018501-0.012164i,0.046338-0.0018054i,0.048982+0.00057562i,0.049855-0.015517i,0.019457+0.00088865i,0.024676-0.032772i,0.034972-0.019508i,0.008995-0.017028i,0.020287-0.0044057i,0.0215+0.0094016i,-0.0019449-0.004796i,0.00010644+0.0061534i,-0.011296-0.00070687i,0.00046705-0.0018889i,0.0047464-1.7977e-05i,0.0048784+0.0057249i,-0.00068867+0.00079039i,0.0047254+0.0030485i,0.0026442+0.0025822i,0.0075871-0.0053337i,0.0024027-0.0011828i,-0.00024243+0.0014868i,-0.0051159-0.010502i,-0.002193+0.0025974i,-0.0034865-0.006431i,0.0011061+0.0038468i,-0.0034203+0.0026758i,-0.00070795-0.00044382i,0.0037543+0.00041713i,-0.0018012+0.00052135i,-0.0033094+0.004659i,-0.0043776-0.0019719i,0.00027357+0.0010576i,-0.0015198+0.0013807i,0.0012697+0.0005365i,-0.0030029-0.012244i,0.0015188+0.0034046i,-0.0049285+0.0018692i,-0.0028893+0.00063312i,0.00086987+0.0048509i,-0.00037054-0.0013118i,-1.0713e-05-0.004192i,0.00065356-0.0049943i,0.0027253+0.0009211i,0.0066081+0.002768i,0.036842-0.00822i,-0.026384+0.011956i,-0.0072123+0.037865i,0.0019285+0.011066i,0.010909+0.0010131i,0.0042153-0.0026938i,-0.0067798+0.0081659i
-0.00058015-0.017625i,0.013326-0.037659i,-0.0094227-0.031187i,-0.0080798-0.020867i,-0.028968-0.027829i,-0.025753-0.00095207i,-0.020006-0.0010729i,-0.022531-0.014778i,-0.0090021-0.015177i,-0.00072679-0.0036404i,-0.0029872-0.00064064i,-0.0029508-0.0005072i,-0.0023077+0.0017231i,-0.0016543+0.0012689i,0.001567+0.00061493i,-0.0015043-0.0020114i,0.00213+0.0014007i,0.0024591+0.00080471i,0.0010114+0.0003643i,0.00088538-0.00059664i,0.00082852-0.0026183i,-0.0016765-0.00096642i,-0.00034219-0.0014339i,-0.00048305-0.0023645i,-2.8376e-05-0.00057425i,-1.844e-05+0.00073907i,0.0014457+0.00038505i,0.0008539+0.0002547i,0.00011875-0.00036355i,0.00011053+0.00011136i,-0.0030371-0.00014366i,-0.00058498-0.0013223i,-0.00043591+0.00042257i,-0.00042945+7.5756e-05i,-0.0007474-0.001507i,-0.0013819-0.0051561i,0.00051629-0.00027009i,0.00082727-0.00054201i,-6.3238e-05-0.00075529i,-0.0016448+0.00054726i,-2.3403e-05-0.0012029i,0.00049053-0.00017521i,-0.00030631+0.0001741i,-0.0012531-0.0028407i,0.015268-0.016571i,0.04276-0.010894i,0.047234-0.0073446i,0.04456-0.023827i,0.021548-0.0042884i,0.017775-0.036429i,0.031883-0.024643i,0.0061867-0.019473i,0.021085-0.0057683i,0.022068+0.0027253i,-0.0038917-0.0041445i,0.0032363+0.0058464i,-0.011151+0.005104i,-0.00081672-0.0014274i,0.0043138-0.00052652i,0.0059054+0.0047203i,-0.00034641+0.00021276i,0.0030888+0.0029199i,0.0029223+0.0020057i,0.0042354-0.0077872i,0.0014194-0.0022881i,0.0011925+0.00092217i,-0.0081592-0.0063943i,-0.00059169+0.0034511i,-0.0055554-0.0043447i,0.0025219+0.002431i,-0.0023079+0.0043956i,-0.00081766-0.00044357i,0.0031025-0.0029788i,-0.0020468+0.00072989i,-0.0013184+0.0033626i,-0.004798-0.00020537i,-0.00026337+0.00038613i,-0.0015195+0.0018249i,0.00071427-0.00057207i,-0.0083982-0.010137i,0.0020317+0.0014005i,-0.0046873+0.0024895i,-0.0028116+0.0017418i,0.0029364+0.0038622i,3.4918e-05-0.0012607i,-0.00028353-0.0031127i,-0.00054935-0.00503i,0.0017833+0.0017326i,0.006646+0.0017833i,0.035214-0.012713i,-0.026913+0.017053i,-0.0016345+0.036519i,0.001472+0.0077387i,0.010504-0.0021995i,0.0039253-0.002626i,-0.0057112+0.0070488i
-0.0043565-0.01792i,0.0078527-0.038805i,-0.01427-0.02892i,-0.010975-0.019881i,-0.032528-0.021541i,-0.0252+0.0026228i,-0.019808+0.0018764i,-0.024374-0.011171i,-0.011065-0.014475i,-0.0010845-0.0034811i,-0.0023959+6.9444e-05i,-0.0024571+0.0002645i,-0.0012389+0.0022618i,-0.00097066+0.0016053i,0.0017361+2.7229e-05i,-0.0014452-0.0015724i,0.0025006+0.00086114i,0.0025916-9.4555e-05i,0.0011592+1.3668e-05i,0.00079707-0.00081589i,-0.00033136-0.0025675i,-0.0018473-0.00022901i,-0.00063804-0.0011605i,-0.0011634-0.0019628i,-0.00021157-0.00048224i,0.00032785+0.0007349i,0.0012701-0.00021254i,0.00095854-0.00011369i,-8.4493e-05-0.00029032i,0.00017545+0.00018132i,-0.0028887+0.00097088i,-0.00082313-0.00091492i,6.0952e-05+0.0005031i,-0.00037543+8.8786e-05i,-0.0012472-0.0010891i,-0.0024419-0.0043263i,0.00034782-0.00049056i,0.00051807-0.00068667i,-0.00017631-0.00033902i,-0.0016037+0.0011502i,-0.00063358-0.0010436i,0.00026214-0.00033787i,4.2429e-05+0.00015412i,-0.0017208-0.0021152i,0.010925-0.019524i,0.03719-0.017729i,0.044055-0.014282i,0.037908-0.029941i,0.021175-0.0090563i,0.01038-0.038557i,0.028256-0.029761i,0.0026884-0.021659i,0.022193-0.0091423i,0.020976-0.0043787i,-0.0057983-0.002559i,0.0054376+0.0038703i,-0.0081024+0.0097036i,-0.0016707-0.00068283i,0.0037706-0.00093314i,0.0071924+0.0033596i,-0.00046682-0.00011368i,0.002661+0.004122i,0.0036705+0.00089208i,0.00083421-0.0076893i,0.00034899-0.0025606i,0.0017873-6.8234e-05i,-0.0087541-0.002392i,0.0010452+0.0032375i,-0.0065089-0.0018843i,0.0023975+0.0010548i,-0.00020539+0.0051514i,-0.0012078-0.00037445i,0.00060667-0.0049999i,-0.0020676+0.0010979i,-0.00074246+0.0018414i,-0.0046368+0.0015228i,-0.0010428+0.00048737i,-0.0011465+0.0020439i,-0.00052501-0.00074563i,-0.011248-0.0058255i,0.0014382+0.00011293i,-0.0043492+0.0031567i,-0.0018528+0.0024684i,0.0044391+0.0018625i,-0.00039575-0.0011046i,0.00035787-0.0029477i,-0.0015819-0.0045791i,0.0024445+0.003289i,0.0065285+0.0011009i,0.032234-0.018037i,-0.025877+0.023015i,0.003156+0.034368i,-0.00051824+0.0055648i,0.0076075-0.0043394i,0.0041517-0.0031015i,-0.0062081+0.006204i
-0.0080072-0.016956i,0.0024174-0.039562i,-0.018336-0.025727i,-0.013885-0.018346i,-0.034846-0.015556i,-0.024248+0.0062997i,-0.019084+0.0048166i,-0.025375-0.0074988i,-0.013483-0.01337i,-0.0014391-0.0031735i,-0.0017244+0.00025386i,-0.0018931+0.00082854i,-0.00010974+0.002494i,-0.00035808+0.0017922i,0.0016014-0.00061093i,-0.0013374-0.0014979i,0.0030984+2.729e-05i,0.0022511-0.00098316i,0.0010815-0.00044763i,0.00061707-0.00092874i,-0.001164-0.0021132i,-0.0015426+0.00042355i,-0.00076028-0.0010129i,-0.001244-0.0015987i,-0.00044544-0.000531i,0.00060563+0.00053492i,0.0010023-0.00049874i,0.00083048-0.00033606i,-0.00018114-0.00012969i,0.00028923+0.0002642i,-0.0023304+0.001941i,-0.0009394-0.00065107i,0.0002733+0.00030573i,-0.00036744+0.00025747i,-0.0014538-0.00039316i,-0.0030614-0.0032285i,6.9474e-05-0.00049196i,0.00020661-0.0007184i,8.5225e-05-0.00024387i,-0.0011719+0.0018511i,-0.00088728-0.00057339i,0.00023398-0.00030787i,0.0002913-5.0221e-05i,-0.001685-0.0014331i,0.0065724-0.021271i,0.032261-0.021618i,0.040266-0.019928i,0.030821-0.033913i,0.019369-0.01306i,0.0028713-0.038561i,0.023567-0.034252i,-0.00066989-0.022846i,0.02216-0.01351i,0.016994-0.010297i,-0.0072096+6.9473e-05i,0.0061119+0.0011476i,-0.0037837+0.012199i,-0.002427+0.00038138i,0.0034201-0.00093261i,0.0080221+0.0014299i,-0.00070136-0.0004242i,0.0037685+0.0055495i,0.0034345-0.00054926i,-0.0013178-0.0064726i,-0.00078311-0.0024234i,0.0017924-0.00094526i,-0.0075414+0.00090504i,0.0024372+0.0024493i,-0.0062641+0.00075562i,0.0019749+0.00068308i,0.0020666+0.0045509i,-0.0014135+0.00010127i,-0.0022228-0.0053443i,-0.0019178+0.0012026i,-0.001448+0.0011866i,-0.0039271+0.0030247i,-0.0012424+0.0013125i,-0.0011116+0.0021538i,-0.0011488-0.00021733i,-0.011827-0.0014779i,0.00057234-0.00053009i,-0.003993+0.0040261i,-0.00095758+0.0025495i,0.0048499-0.00052492i,-0.00032669-0.0010229i,0.00052084-0.0037881i,-0.0024902-0.0043998i,0.0038737+0.0030517i,0.0067926+0.00045189i,0.028773-0.022071i,-0.022435+0.030451i,0.0070492+0.032095i,-0.0030749+0.0054065i,0.0044737-0.0037994i,0.0034815-0.0039922i,-0.0068028+0.0061478i
-0.010876-0.015391i,-0.0035644-0.040346i,-0.021619-0.022568i,-0.016523-0.016322i,-0.036411-0.0089519i,-0.022318+0.0097968i,-0.0178+0.0075126i,-0.026094-0.0039116i,-0.015961-0.011862i,-0.0016003-0.0031542i,-0.0014208+0.00028371i,-0.0010646+0.0011097i,0.0011504+0.002237i,0.00046711+0.0016381i,0.0012295-0.0011117i,-0.0014895-0.0015874i,0.003297-0.001383i,0.001551-0.0015409i,0.00080734-0.00076231i,0.00056427-0.0011007i,-0.0017509-0.0014306i,-0.0011697+0.00077141i,-0.0010573-0.00089674i,-0.0012093-0.0016995i,-0.00074188-0.0003718i,0.00075034+0.00030835i,0.00065121-0.00076397i,0.00066509-0.00049988i,-0.0001594+3.1687e-06i,0.00065315+0.00029045i,-0.0014679+0.0026616i,-0.0010766-0.00035551i,0.00045372+0.0001199i,-0.00015604+0.0003716i,-0.0011181+0.00014404i,-0.0033353-0.0022148i,1.3853e-05-0.00035824i,4.409e-05-0.00055529i,0.00011823-0.00049647i,-0.00044059+0.0021451i,-0.00085699-0.00014606i,0.00022264-0.00055495i,0.00031371-0.00043513i,-0.001447-0.0011377i,0.0020712-0.022201i,0.028626-0.025298i,0.03623-0.024925i,0.023927-0.035843i,0.017802-0.015824i,-0.004106-0.036303i,0.018245-0.038203i,-0.0034431-0.024088i,0.020917-0.018308i,0.011752-0.013251i,-0.006942+0.0036474i,0.0054062-0.0014499i,0.00039666+0.012399i,-0.0026244+0.0017122i,0.0037194-0.0010686i,0.0081969-0.0010844i,-0.001255-0.00053509i,0.0061806+0.0055789i,0.0025675-0.00089841i,-0.0025743-0.0050333i,-0.0016007-0.0018279i,0.0017249-0.0016608i,-0.0060166+0.0027347i,0.0034256+0.0011145i,-0.0052334+0.0027847i,0.0023636+0.00085991i,0.0034682+0.0031993i,-0.0012627+0.00035704i,-0.0050093-0.004255i,-0.0019796+0.0015068i,-0.0018534+0.001788i,-0.002608+0.0041165i,-0.00059137+0.0019428i,-0.0010247+0.002887i,-0.0012062+0.00031112i,-0.011068+0.0020694i,-0.00023943-0.00057668i,-0.0030809+0.0053134i,-0.00050533+0.0026005i,0.0041268-0.0031283i,-0.00019484-0.0013729i,-0.00015045-0.0046261i,-0.0036667-0.003782i,0.0049824+0.0021306i,0.0071924-0.00062963i,0.024979-0.025399i,-0.014533+0.035827i,0.011326+0.029157i,-0.0047047+0.0064489i,0.0027932-0.0020179i,0.0020563-0.00402i,-0.0073268+0.0066212i
-0.013535-0.013665i,-0.010408-0.039786i,-0.024684-0.019063i,-0.018737-0.014019i,-0.036027-0.0020807i,-0.019827+0.012523i,-0.0161+0.0096287i,-0.026239+1.5496e-05i,-0.018397-0.0096088i,-0.0022902-0.003127i,-0.0012702+0.0002529i,-0.00042676+0.00084706i,0.0022223+0.0013955i,0.00085805+0.00087962i,0.00070855-0.0013326i,-0.0019514-0.001599i,0.0026676-0.00268i,0.00096093-0.0017496i,0.00044644-0.0010281i,0.00041189-0.0013855i,-0.0019251-0.00053643i,-0.00074623+0.00086391i,-0.0013284-0.00058582i,-0.0016733-0.00181i,-0.00092523-0.00018453i,0.00080044-6.7517e-05i,0.00025677-0.00077439i,0.00055665-0.00063623i,-7.326e-05+0.00011211i,0.0010083-0.00013253i,-0.00036195+0.0030264i,-0.0010264-3.0261e-07i,0.00050683-0.00025817i,5.4713e-07+0.00032016i,-0.0011115+0.00024165i,-0.0034299-0.0012587i,-3.6211e-05-0.00053141i,0.00010208-0.00054092i,-1.0329e-05-0.00063326i,0.00027751+0.0018815i,-0.00065216+0.00012215i,-1.0879e-06-0.00063572i,3.8141e-05-0.00070421i,-0.0013434-0.001133i,-0.0022632-0.021829i,0.024911-0.029216i,0.031571-0.028961i,0.018136-0.036141i,0.016523-0.018143i,-0.0087634-0.032028i,0.011893-0.041547i,-0.0069721-0.026046i,0.017844-0.023312i,0.0073818-0.013516i,-0.0046707+0.0059824i,0.0032999-0.0032891i,0.0039508+0.01152i,-0.0024623+0.0029464i,0.0037926-0.0020173i,0.0073971-0.0035252i,-0.0022407+8.1691e-05i,0.0080674+0.0038508i,0.002611-0.00074584i,-0.0031406-0.0036605i,-0.0019478-0.00083016i,0.0012321-0.0022851i,-0.0045347+0.0039658i,0.003805-0.00077954i,-0.003458+0.0042669i,0.0036539-0.00014489i,0.0042602+0.0013218i,-0.001366+0.00071674i,-0.0070704-0.0014761i,-0.0016358+0.0020888i,-0.0016256+0.002989i,-0.0010186+0.0043721i,0.00022951+0.0018625i,-8.5792e-05+0.0031736i,-0.0013941+0.0008219i,-0.0096755+0.0051459i,-0.00097252+3.6467e-05i,-0.00090202+0.0065242i,0.00050563+0.002676i,0.002058-0.005084i,-0.00070009-0.0013808i,-0.0016642-0.0051319i,-0.0047175-0.0023894i,0.005353+0.00050076i,0.0070426-0.0024317i,0.021589-0.027246i,-0.0057491+0.037537i,0.014808+0.02504i,-0.0054399+0.0081698i,0.0028314+0.00016867i,0.00098749-0.0031533i,-0.0074894+0.0079504i
