-0.030238-0.041247i,-0.021089-0.019812i,-0.012468-0.03671i,-0.029982-0.020624i,-0.02251-0.00067149i,-0.014186-0.0066058i,-0.055736-0.061921i,-0.047403-0.018746i,-0.037807-0.014811i,0.010793+0.012482i,-0.007433+0.0050688i,-0.020794+0.019394i,0.0024309+0.011852i,-0.0063738-0.0031466i,0.00012293+0.0013646i,-0.002187+0.031111i,0.028197+0.029296i,0.0026443-0.0019985i,-0.0019677-0.0069999i,0.008219+0.0028095i,0.0027302+0.0012314i,-9.6537e-05+0.00386i,-0.0003143+0.00023868i,-0.037619-0.012896i,9.0584e-05-0.0080242i,0.0014714+0.0022621i,0.0061278+0.0018321i,0.0018477+0.00055777i,0.0013747-0.0004917i,-0.00046214-0.0027309i,0.0016101-0.0026075i,-0.0026054-0.0061912i,-0.00060789-0.0048004i,0.0029039-0.00074703i,0.0046536-0.0028476i,0.0019918+0.031419i,0.0041494-0.0036616i,0.0031801-0.0017887i,0.0083143-0.0012383i,-0.005147-0.0026719i,-0.00019042+0.0010522i,0.0097422-2.4165e-05i,0.0041326-0.0025708i,-0.0016603+0.0091961i,-0.017741-0.0063597i,-0.018778+0.016291i,-0.00062774-0.061989i,-0.004215-0.02665i,-0.025801-0.033i,-0.010426-0.027174i,0.057241-0.018449i,0.018421-0.042237i,0.023217-0.048247i,0.0071833-0.054305i,0.02692-0.020513i,0.0083913+0.0062489i,0.025693-0.033491i,-0.0079621-0.0068233i,0.0041714-0.0046715i,-0.0043902-0.0071947i,-0.0011987-0.033829i,-0.018832+0.029567i,0.008764-0.011853i,-0.009304-0.0039696i,-0.0041936-0.0016671i,0.0012193-0.013207i,-0.011085+0.004273i,0.002114+0.01023i,-0.0062871+0.027396i,0.0045794+0.0027132i,-0.0054234-0.0020797i,-0.0020281-0.0022913i,-0.012374-0.0079874i,-0.00054844-0.0040943i,-0.036558+0.00032223i,0.0014666-0.010586i,-0.0084684-0.00011478i,-0.0066914-0.0023278i,0.0049403+0.00094022i,-0.0082912-0.00059627i,0.0022071+6.7671e-05i,0.0037715+0.007461i,0.0042341+0.00042199i,-0.0081964-0.013241i,0.0024423+0.0093334i,-0.015818+0.0046008i,0.0065538+0.00053509i,-0.02234-0.00031276i,-0.018273+0.0054238i,-0.0070762-0.065343i,0.0089669-0.012796i,-0.048673-0.024165i,-0.021688+0.00060621i,0.017383+0.011891i,-0.023731+0.01418i,-0.019161-0.0060359i
-0.04182+0.032962i,-0.016695+0.018025i,-0.022311+0.042697i,-0.027786+0.013507i,-0.0053623+0.021607i,-0.0010899+0.0080787i,-0.032267+0.016657i,-0.004791+0.030137i,0.0081465+0.018274i,-0.0052124-0.0071006i,0.0026867+0.0032588i,0.0080906-0.00011457i,0.0055001+0.00046234i,-0.00065163+0.0037988i,0.00084708+0.0021936i,0.0067468-0.0049546i,-0.0069612-0.00096158i,-0.0033197-0.00040871i,0.0043846-0.001522i,-1.058e-06-0.00087681i,0.0029894-0.0055187i,0.0018209-0.0028163i,0.0014265-0.0025218i,-0.01001-0.011196i,-0.00084429+0.0024472i,-0.0017064+4.7214e-05i,-0.0042765-0.0016763i,-0.0029972-0.00014618i,-0.00065387-0.0014564i,-1.0022e-06-0.00067611i,-0.0010096+0.0040845i,0.00073729+0.00089586i,0.0017768+0.00077931i,-0.00053236+0.00093229i,-0.0028429+0.0029251i,-0.0011309-0.0077853i,-0.0027451+0.0011652i,0.00082476-0.00039116i,-0.0015357+0.0038629i,0.0038662+0.0030474i,-0.00063465-0.0017122i,-0.00052305-0.0030382i,-0.0037757-0.00029717i,0.0041561-8.8659e-05i,-0.015591+0.023617i,0.0089466-0.03936i,-0.054835+0.0033139i,0.0083141-0.031922i,-0.029922-0.049949i,-0.028807-0.021099i,-0.063695+0.019433i,-0.03841+2.3929e-05i,-0.033899-0.0072193i,-0.028035-0.022875i,-0.039089-0.02373i,-0.00533+0.0029548i,-0.028177+0.0092728i,0.0057591+0.019209i,0.0026448+0.0083778i,-0.0029859-0.0052056i,0.0019951+0.0017347i,-0.010739-0.003786i,0.0060367+0.011951i,-0.00077419+0.0060104i,-0.0016866-0.0016846i,0.0012027+0.0018318i,0.0040797-0.0010798i,-0.003821+0.018345i,0.0029201+0.015206i,0.0043376-0.00040138i,0.01012-0.0066001i,0.0045223+0.0033422i,-0.008785-0.0075451i,-0.00057589-0.0032067i,0.028141-0.034557i,0.0081322+0.010163i,0.005244+0.0026674i,-0.0029688+0.002976i,0.0041173-0.0054497i,0.021235+0.0091306i,0.0034762+0.002591i,6.039e-05-0.0067043i,0.0013696-0.0028361i,0.014508+0.0080066i,0.0048491+0.0018364i,0.0027102-0.0048014i,0.0041586+0.0089399i,-0.00046526+0.0011966i,0.0096739+0.0031802i,-0.04209-0.014953i,-0.0065346+0.012036i,-0.0022783-0.0048886i,-0.0069347+0.0057698i,-0.037683+0.011711i,-0.0057835+0.0074013i,-0.010528+0.013445i
-0.035822+0.039187i,-0.013688+0.017718i,-0.011336+0.038544i,-0.024848+0.016611i,-0.0024653+0.019771i,0.00029132+0.0080118i,-0.031108+0.022013i,0.0011679+0.029356i,0.01038+0.012817i,-0.0068043-0.0042686i,0.0037228+0.0036127i,0.0072021-0.0028681i,0.0050828-0.001621i,0.0016428+0.0043075i,0.0011618+0.0021702i,0.0023329-0.0046028i,-0.0081817+0.003065i,-0.002977+0.00069503i,0.0042858-0.0025885i,0.00031733-0.00089152i,0.0011385-0.0055928i,0.0015337-0.0025907i,0.00077459-0.0026225i,-0.012228-0.0077781i,0.00029661+0.0018305i,-0.0017818+0.00052632i,-0.003925+0.00024321i,-0.0021874+0.00067372i,-0.0011846-0.0014128i,9.2786e-05-0.00063656i,0.0006503+0.0042021i,0.00027982+0.00076217i,0.0014931-0.00032331i,-0.00060478+0.0011587i,-0.0027057+0.0032856i,-0.0011185-0.0067257i,-0.0021942+0.0016755i,-0.00020233-0.0010903i,-0.00085416+0.004437i,0.0036592+0.0006802i,-0.00093122-0.0014659i,-0.0022859-0.0026991i,-0.0038446+0.00094626i,0.0043582-0.0011784i,-0.011604+0.022684i,-0.0053952-0.045454i,-0.048183+0.013861i,-0.00098223-0.039594i,-0.044608-0.044437i,-0.029811-0.014312i,-0.052231+0.031777i,-0.035825+0.0087812i,-0.024679-0.0094612i,-0.030228-0.018715i,-0.044896-0.0082682i,-0.0045212+0.0026975i,-0.023996+0.021006i,0.011037+0.013501i,0.0053744+0.0049919i,-0.0081725-0.0081441i,-0.0014056+0.0036197i,-0.010482+0.0028926i,0.010447+0.0081715i,0.00021358+0.0077109i,-0.0021789-0.00026209i,0.0020291+0.0030233i,0.0042333-0.001625i,0.0050054+0.015065i,0.0087018+0.0092798i,-0.00012067-0.003875i,0.003508-0.0078783i,0.0050138+0.0028936i,-0.011649+0.00076626i,-0.0024415-0.00097023i,0.010969-0.038207i,0.011965+0.0078271i,0.0072764+1.9095e-05i,0.0003956+0.002701i,7.8195e-05-0.0034595i,0.022814-0.0011941i,0.0034821+0.00096741i,-0.0034378-0.0052532i,-0.0026221-0.0015731i,0.014157+0.0016361i,0.0049693+0.0018238i,0.0009328-0.0035013i,0.0067527+0.0068928i,-0.00055797+0.0024897i,0.010207-0.00046795i,-0.045248-0.011043i,-0.00048612-0.0022349i,-0.0011891-0.0046014i,-0.0045218+0.0053488i,-0.03137+0.023216i,-0.0034684+0.0084019i,-0.0062668+0.014554i
-0.028411+0.044085i,-0.011651+0.01784i,-0.0061335+0.032118i,-0.021991+0.019603i,0.0010622+0.019008i,0.0018752+0.0074198i,-0.027319+0.027966i,0.0067319+0.027188i,0.0096108+0.0087887i,-0.0072226-0.0011982i,0.0055713+0.0031235i,0.0030385-0.0039726i,0.0039481-0.0029332i,0.0025201+0.0035954i,0.0016944+0.002085i,-0.001161-0.0018099i,-0.0067523+0.007502i,-0.0018504+0.0013132i,0.003873-0.0043556i,0.00068243-0.0016017i,-0.00049897-0.0053439i,0.0015725-0.003137i,0.00030248-0.0026073i,-0.01414-0.0047144i,0.00078363+0.0013715i,-0.0012655+0.0013674i,-0.0028827+0.00077882i,-0.001028+0.0012078i,-0.001487-0.0012446i,-0.00024657-0.0009471i,0.0021679+0.0034244i,0.00031343+0.00093502i,0.0010136-0.00065681i,-0.00021527+0.00095465i,-0.0011878+0.0044912i,-0.00082762-0.0068825i,-0.0019681+0.0019681i,-0.0011684-0.0010001i,0.0020225+0.0031724i,0.0027239-0.00043189i,-0.0011564-0.0010314i,-0.0019611-0.0011038i,-0.0034551+0.0020065i,0.0039082-0.0029409i,-0.0091033+0.022522i,-0.022499-0.043773i,-0.038286+0.020194i,-0.012956-0.041632i,-0.053121-0.035063i,-0.026524-0.0083467i,-0.036358+0.038435i,-0.024106+0.014724i,-0.026965-0.013323i,-0.031005-0.015111i,-0.042474+0.0064461i,-0.0037398+0.00289i,-0.01294+0.028632i,0.01308+0.0075572i,0.0035373-0.00018417i,-0.0177-0.0059138i,-0.00075691+0.0050737i,-0.0063516+0.0068911i,0.011878+0.0022625i,0.0031363+0.007956i,-0.003762+0.0016248i,0.0022918+0.0012746i,0.0040419-0.0030837i,0.0078542+0.0079758i,0.0089936+0.0033784i,-0.0050121-0.00072696i,0.00037188-0.0062364i,0.0067966+0.0017474i,-0.0073114+0.0097703i,-0.00043274+0.0010283i,-0.0026306-0.034545i,0.015864+0.0016895i,0.0061764-0.0026661i,0.00093708+0.0014174i,-5.2441e-05-0.0015338i,0.018028-0.0094243i,0.0016659+0.0026155i,-0.0054405-0.0027141i,-0.003264+0.0025833i,0.010889-0.0025174i,0.0088442-0.00062594i,0.00090276-0.0035603i,0.010181+0.0034425i,0.0028407+0.002476i,0.0090815-0.0039651i,-0.048649-0.0019903i,-0.009029-0.011731i,0.0012553-0.0075153i,-0.0029463+0.003428i,-0.021242+0.028155i,-0.0034763+0.0034281i,-0.002955+0.010142i
-0.020088+0.046973i,-0.0091825+0.01896i,-0.004631+0.026976i,-0.017771+0.022423i,0.0044157+0.016058i,0.0034116+0.0058833i,-0.021+0.032928i,0.011445+0.02341i,0.0089995+0.0071568i,-0.0064422+0.0014158i,0.0065728+0.00074561i,0.00074749-0.0013714i,0.0024453-0.0033962i,0.0024738+0.0036195i,0.0020485+0.001641i,-0.0014978+0.0023879i,-0.002603+0.010818i,-0.0011632+0.0011299i,0.0021924-0.0053002i,-6.1141e-05-0.0023824i,-0.0017176-0.0042615i,0.0010613-0.003496i,-0.0002484-0.0028305i,-0.015585+6.084e-05i,0.0011351+0.00020269i,-0.00027428+0.00097619i,-0.002498+0.00078934i,0.00017071+0.00064774i,-0.0017503-0.0006078i,-0.00071266-0.00057469i,0.0031193+0.0021055i,0.00061207+0.0010353i,0.0002412-0.00087831i,-0.00012562+0.00084973i,0.001009+0.0038335i,-0.0019669-0.0088249i,-0.0011041+0.0027454i,-0.0017687-0.00037209i,0.0018698+0.00024633i,0.0020461-0.00077998i,-0.0011281-0.00062627i,-0.0014708-0.0010552i,-0.0025197+0.0030292i,0.00131-0.0051236i,-0.0064258+0.023361i,-0.036136-0.031423i,-0.02894+0.021022i,-0.024101-0.038565i,-0.061373-0.024198i,-0.021571-0.0065105i,-0.022063+0.037655i,-0.01372+0.010608i,-0.028161-0.010201i,-0.031838-0.01037i,-0.036541+0.016656i,-0.0034324+0.0030952i,-0.00079858+0.029244i,0.013635+0.0021383i,-0.0011785-0.0010177i,-0.023068+0.0049307i,-0.0007321+0.0067691i,-0.0022358+0.0069128i,0.0089903-0.0040682i,0.0059754+0.0069148i,-0.0029389+0.0047384i,0.00016047+0.0017709i,0.0030399-0.0055075i,0.0059771+0.0021375i,0.0060847+0.00028085i,-0.0035773+0.0026448i,-0.001515-0.0045655i,0.0070468-0.00060028i,0.0027417+0.011826i,0.00047609+0.00039589i,-0.010233-0.027728i,0.013819-0.0045587i,0.0046595-0.0043633i,0.0018612+0.0027505i,0.00032814-0.0014511i,0.012165-0.012808i,0.0049803+0.003407i,-0.006116+0.0003679i,-0.0006136+0.0044731i,0.0081608-0.0034754i,0.0082707-0.0063499i,-0.00049903-0.0031106i,0.0094573-0.0025226i,0.0028559-0.00074624i,0.0073316-0.0071846i,-0.044687+0.0096167i,-0.019319-0.010994i,-0.0017316-0.013398i,-0.002257+0.00091497i,-0.013081+0.028388i,-0.0072745+0.0032935i,-0.0035539+0.0088772i
-0.012222+0.048265i,-0.0070401+0.018973i,-0.0054192+0.024646i,-0.013086+0.023883i,0.0060799+0.012777i,0.0036906+0.0040671i,-0.013316+0.035143i,0.014572+0.018912i,0.0095987+0.0060854i,-0.0044554+0.0031957i,0.0057063-0.001083i,0.0011989+0.000698i,0.0013677-0.0034406i,0.0039606+0.0040809i,0.0023378+0.0011682i,0.00049261+0.0050473i,0.002766+0.011558i,-0.00094348+0.0010132i,0.00075136-0.005437i,-0.0011157-0.0023803i,-0.0026775-0.0035027i,0.00027726-0.0036578i,-0.0011524-0.0026917i,-0.013182+0.0047229i,0.00020883-0.0010835i,-0.00033398+0.00020057i,-0.0020786+0.0010131i,0.00031864-0.00045329i,-0.001744-5.1188e-05i,-0.0004769-0.00017515i,0.0032376+0.00063212i,0.0012582+0.00047222i,-0.00050036-0.00050775i,-0.00028447+0.00084214i,0.0015395+0.0027486i,-0.0052344-0.0098244i,-0.00013184+0.0027625i,-0.0018005+0.00073061i,5.0051e-05-0.00038618i,0.0013326-0.00063825i,-0.0010321-0.0003483i,-0.0018183-0.00097193i,-0.00106+0.0033495i,-0.0016948-0.0036283i,-0.002615+0.024455i,-0.037499-0.015777i,-0.022807+0.019224i,-0.033597-0.032046i,-0.066684-0.0090866i,-0.018462-0.0088517i,-0.010647+0.033158i,-0.0091919+0.005088i,-0.027705-0.0083448i,-0.030954-0.0068671i,-0.029561+0.024592i,-0.0027892+0.0032977i,0.011997+0.024875i,0.012605-0.0027403i,-0.0046982+0.0016364i,-0.021252+0.014731i,0.0014003+0.0080417i,0.00054443+0.0071246i,0.0026834-0.005093i,0.0082435+0.0048561i,-0.00068468+0.0063582i,-0.0001037+0.0040213i,0.0011965-0.0070024i,0.0013034+0.0023476i,0.0031971+0.00066638i,-0.002821+0.0042755i,-0.0025968-0.0022551i,0.0062164-0.0029486i,0.0081363+0.0070388i,0.00060933-6.7625e-05i,-0.014491-0.024968i,0.010013-0.0084854i,0.0025115-0.0054914i,0.0050901+0.0022399i,-0.00013508-0.00086273i,0.0075677-0.013667i,0.0074783+0.00066574i,-0.0043836+0.0038508i,0.002187+0.0043093i,0.0075553-0.0042815i,0.0033139-0.011202i,-0.00065064-0.0022599i,0.0052901-0.005967i,0.00077534-0.0016198i,0.0033332-0.010022i,-0.036531+0.014078i,-0.027455-0.003414i,-0.0069299-0.015206i,-0.0032622-0.0016626i,-0.0075116+0.02729i,-0.010176+0.0061271i,-0.0025989+0.0095476i
-0.0045095+0.048565i,-0.0052284+0.01965i,-0.0057704+0.025604i,-0.0084965+0.023853i,0.0062626+0.0097732i,0.0038035+0.0030005i,-0.0050207+0.034792i,0.016327+0.014442i,0.010589+0.0039726i,-0.0028128+0.0032997i,0.0040443-0.0019869i,0.0023601+0.0016615i,0.00021925-0.0033157i,0.0056186+0.0026284i,0.0023168+0.00061061i,0.0031831+0.0058811i,0.007936+0.0095901i,-0.00063262+0.001264i,-0.0010289-0.005393i,-0.0020073-0.0018575i,-0.002897-0.0021662i,-0.00035422-0.003784i,-0.0017804-0.0021245i,-0.010903+0.0061677i,-0.0010845-0.00079317i,-0.00084285+7.9011e-05i,-0.0017746+0.0013122i,-0.00016685-0.0013832i,-0.0014674+0.00045959i,-0.00036906-0.00028441i,0.0029494-0.0005496i,0.001317-0.00048055i,-0.00074024-0.00012909i,-0.00020578+0.00082038i,0.0017012+0.0023651i,-0.0090908-0.0089238i,0.00041378+0.0023222i,-0.0011633+0.0013444i,-0.0010303+0.00041926i,0.0010742-0.00038705i,-0.00090839+3.5015e-05i,-0.0020741-0.00031258i,0.00011465+0.0028451i,-0.0026113-0.0010603i,0.0014857+0.025259i,-0.032151-0.0069233i,-0.019069+0.017587i,-0.039264-0.021503i,-0.064495+0.0095654i,-0.022113-0.012123i,-0.0036647+0.026581i,-0.0068205+0.00053355i,-0.02688-0.005646i,-0.031324-0.0035887i,-0.021407+0.029205i,-0.0031521+0.003644i,0.018644+0.011417i,0.010675-0.0073741i,-0.0059297+0.0057537i,-0.01402+0.023278i,0.0040531+0.0070594i,0.0042836+0.0053702i,-9.2472e-05-0.002191i,0.010254+0.001113i,0.0015452+0.0078034i,0.0014498+0.0052772i,-0.0037422-0.00895i,0.00070848+0.0060212i,0.0030437+0.0021852i,-0.00015519+0.0075399i,-0.0017569-0.00044616i,0.0045319-0.0038256i,0.010001+0.0019461i,0.0010377-0.00075918i,-0.022875-0.023094i,0.0058225-0.010191i,-3.3929e-05-0.0056924i,0.0050732-0.00072024i,0.00017407+0.00047312i,0.0048948-0.013117i,0.0073215-0.0026222i,-0.0014082+0.0051744i,0.0037337+0.0021217i,0.0059574-0.0059912i,-0.0033256-0.010933i,-0.00099584-0.0024237i,0.0017331-0.0057352i,0.00043845-0.0025019i,-0.0017221-0.0098074i,-0.032029+0.016425i,-0.025507+0.01059i,-0.011726-0.014609i,-0.0056491-0.0023781i,-0.0034682+0.026593i,-0.0092807+0.010807i,0.0010603+0.0085795i
0.0032203+0.047707i,-0.0026385+0.02078i,-0.0040815+0.027797i,-0.0051608+0.022799i,0.0054373+0.0081367i,0.004025+0.0019285i,0.0022626+0.032293i,0.01694+0.010417i,0.011116+0.0018841i,-0.0020306+0.0034544i,0.0029044-0.001506i,0.0045361+0.0019617i,-0.00081979-0.0027995i,0.0059714-0.000159i,0.0020734+0.00024645i,0.005645+0.0052734i,0.011297+0.0055764i,-0.00023214+0.0015263i,-0.0023517-0.0046198i,-0.002492-0.00085228i,-0.0025222-0.0010755i,-0.0013219-0.0037056i,-0.00217-0.001483i,-0.0096462+0.0089939i,-0.0015631-0.00011546i,-0.0012101+0.00057514i,-0.0013375+0.0016448i,-0.0013956-0.0017349i,-0.0011538+0.0004881i,-0.00054904-0.0004226i,0.0023352-0.0014835i,0.0011536-0.00064383i,-0.00035409+2.7135e-05i,2.5381e-05+0.00079803i,0.0023057+0.0012181i,-0.01258-0.0066756i,0.00097117+0.0020847i,-0.00065887+0.0013994i,-0.0009779+0.0010658i,0.0011117-0.00028133i,-0.00064543+0.0002362i,-0.0015757+0.00011383i,0.00057222+0.0020716i,-0.0022459+0.00032563i,0.0067094+0.02423i,-0.028401-0.0050387i,-0.016367+0.017036i,-0.039491-0.011463i,-0.055133+0.025137i,-0.025841-0.0096555i,0.00071022+0.021376i,-0.0072645-0.0038207i,-0.02539-0.0038997i,-0.030398+0.0014892i,-0.01374+0.032272i,-0.0020081+0.0039182i,0.013504-0.0009071i,0.0061235-0.011476i,-0.0041815+0.0091969i,-0.0049877+0.025195i,0.0050179+0.0046828i,0.0051875+0.0014766i,0.00085406-0.00035943i,0.0095254-0.0021749i,0.0064671+0.0072047i,0.0033536+0.0063991i,-0.008246-0.0034781i,0.0038751+0.0079873i,0.0042635+0.0026413i,0.0040506+0.0073201i,-0.0012278+3.26e-05i,0.0035534-0.0045899i,0.0098685-0.0045676i,-0.00078502-0.0010773i,-0.031833-0.014101i,0.0020667-0.010323i,-0.0021369-0.0042518i,0.005218-0.00050848i,0.00064561+0.00046112i,0.0033807-0.015121i,0.0056196-0.0053279i,0.001041+0.0041783i,0.0038221+0.00090782i,0.0044958-0.0066281i,-0.007257-0.0065873i,-0.0024075-0.0021114i,-0.00066858-0.0049881i,-0.0012097-0.0033056i,-0.0049078-0.0074746i,-0.026686+0.018737i,-0.01887+0.011736i,-0.012644-0.012774i,-0.0072599-0.0014425i,0.0012678+0.024718i,-0.0074636+0.012523i,0.0017548+0.0059651i
0.010492+0.045638i,0.00084084+0.021691i,-0.00043864+0.030328i,-0.002437+0.022425i,0.0046541+0.0077375i,0.0037519+0.0010663i,0.0080379+0.028461i,0.017045+0.0071211i,0.011559-0.0010599i,-0.0011964+0.0036562i,0.0030008-0.00092662i,0.0065492-0.00030381i,-0.0016153-0.0018772i,0.0041257-0.0014809i,0.002006+0.00010467i,0.0075718+0.003395i,0.012233+0.0010258i,0.00050414+0.0012128i,-0.0033813-0.0037418i,-0.0022474+0.00042123i,-0.001856-0.0004497i,-0.0021884-0.002795i,-0.0024068-0.00086122i,-0.0052544+0.011224i,-0.0017281+0.00063817i,-0.00093133+0.0012153i,-0.00084572+0.0020429i,-0.0027299-0.0010812i,-0.0010765+0.00056757i,-0.0007807-0.00032901i,0.0013759-0.002078i,0.0013274-0.0016723i,-0.00049022-8.4808e-06i,8.2041e-05+0.00072352i,0.0020277+9.4115e-05i,-0.015104-0.0024542i,0.001433+0.0015717i,-0.00029743+0.001612i,-0.0011907+0.0013228i,0.0013007-0.00012255i,-0.00021308+0.00022546i,-0.0012223+0.00032529i,0.00056181+0.0014567i,-0.0015165+0.0013552i,0.010888+0.021246i,-0.028791-0.0037435i,-0.014442+0.016056i,-0.039087-0.0030898i,-0.041817+0.033586i,-0.029282-0.0064409i,0.0048865+0.015563i,-0.0086257-0.0054825i,-0.024465-0.0025706i,-0.028016+0.0064252i,-0.0051692+0.033715i,-0.00099184+0.0038649i,0.006715-0.0029132i,0.00076943-0.012882i,-0.0001799+0.012437i,0.0031624+0.02292i,0.0047709+0.0024355i,0.0039107-0.0019603i,0.00056414+1.351e-05i,0.007721-0.0056296i,0.0097424+0.0035476i,0.0061251+0.0060326i,-0.0079374+0.00077353i,0.0072474+0.0079884i,0.0057226+0.0024694i,0.0082919+0.0052094i,-0.00067873+0.0007639i,0.003121-0.0053783i,0.0059259-0.0086695i,-0.0010403+0.00112i,-0.035846-0.0011153i,-0.00054073-0.0096936i,-0.0030605-0.002236i,0.005917-0.0014168i,0.0006824+0.00032096i,-0.00095263-0.017712i,0.0028679-0.0067102i,0.0027085+0.0034867i,0.003963-0.0005121i,0.0039974-0.0074993i,-0.0090321-0.0035051i,-0.0037804-0.00019438i,-0.0033153-0.0035319i,-0.0025843-0.0031848i,-0.0063439-0.0049329i,-0.022079+0.018769i,-0.017621+0.012238i,-0.013496-0.013246i,-0.0080809+0.00030661i,0.0032625+0.023686i,-0.006359+0.013213i,0.0023815+0.0045672i
0.017609+0.042649i,0.0054507+0.021584i,0.0057416+0.031589i,0.0005739+0.022056i,0.0051317+0.0083683i,0.0036274+0.00064639i,0.012132+0.023353i,0.01711+0.0040641i,0.010765-0.0040896i,-0.00049628+0.0037091i,0.003302-0.0015456i,0.0058733-0.0036291i,-0.0018697-0.00086492i,0.0032184-0.0016815i,0.0020644-8.4308e-05i,0.0079546+0.00074504i,0.011127-0.0031704i,0.00042322+0.00064743i,-0.0045491-0.0023723i,-0.0013023+0.00098419i,-0.0010527-0.00053232i,-0.0023419-0.0019868i,-0.0024039-9.5121e-05i,-0.00085705+0.011138i,-0.0015058+0.0012487i,-0.00040277+0.0014864i,0.00011183+0.0021394i,-0.0032922+0.00028123i,-0.00084917+0.00054084i,-0.00093034-0.00018431i,0.00032019-0.002173i,3.3483e-05-0.0023283i,-0.00061077+0.00023703i,0.00016778+0.00068666i,0.001383-0.00053532i,-0.015307+0.0027608i,0.0015294+0.0010275i,0.00037263+0.0015861i,-0.0010642+0.0017589i,0.0015007-0.00041025i,-5.2806e-05-4.5759e-05i,-0.00072887+0.00023724i,0.00024147+0.0011206i,-0.00063452+0.0018386i,0.013584+0.018472i,-0.031313+0.0007815i,-0.012908+0.01532i,-0.034187+0.0054974i,-0.02917+0.038145i,-0.031867+0.00082125i,0.0073005+0.0082178i,-0.0070481-0.0074606i,-0.023652-0.00016786i,-0.023683+0.011309i,0.0031841+0.032664i,-0.00057381+0.0030158i,0.0027627-0.003342i,-0.0051772-0.012553i,0.0063019+0.011917i,0.0080198+0.018173i,0.0029711+0.0011288i,0.0021798-0.0042969i,0.0015501+0.0027862i,0.0038609-0.0077582i,0.010667-0.0021379i,0.0085671+0.0040063i,-0.0070932+0.0042966i,0.011571+0.0062665i,0.0078069+0.00027591i,0.010243+0.0001852i,0.00020749+0.0012368i,0.0016553-0.0062377i,-0.00030085-0.0094364i,0.00095764+0.0026146i,-0.034503+0.012808i,-0.0027327-0.0089251i,-0.0026041-0.00020093i,0.0059162-0.0057997i,0.0010495+0.00096024i,-0.0079559-0.017243i,3.2545e-05-0.0063636i,0.0039494+0.0018241i,0.0036988-0.00080355i,0.0019051-0.009035i,-0.0093875+0.0020318i,-0.003346+0.0020951i,-0.0049523-0.0014725i,-0.004115-0.0029485i,-0.0066722-0.0028154i,-0.020108+0.019273i,-0.016779+0.017248i,-0.016228-0.015616i,-0.0059217+0.0022049i,0.0074158+0.023172i,-0.0060452+0.015313i,0.0036398+0.0018504i
0.02406+0.038423i,0.0099487+0.019873i,0.012279+0.029536i,0.0037514+0.02111i,0.0066364+0.0084855i,0.0039912+0.00036186i,0.014238+0.018229i,0.016741+0.0011864i,0.0093412-0.0064266i,2.9914e-05+0.0038954i,0.0029157-0.0022238i,0.0033316-0.0053069i,-0.0018513-3.7688e-05i,0.0022242-0.0017343i,0.0020286-0.00035093i,0.0069459-0.001418i,0.0087627-0.0060064i,0.00036609+0.00055053i,-0.0046785-0.00070336i,-0.00047738+0.00093725i,-0.00050148-0.00090048i,-0.0024335-0.0016275i,-0.0020639+0.00051073i,0.0022717+0.010247i,-0.0010663+0.0016457i,0.00012105+0.0016221i,0.00082694+0.0015584i,-0.0029065+0.0017434i,-0.00077098+0.00036925i,-0.0011773+0.00011603i,-0.00058584-0.0018448i,-0.0013901-0.0019625i,-0.00033896+0.00049483i,0.00038447+0.00071218i,0.0006254-0.0008269i,-0.013375+0.0073585i,0.0015378+0.00051027i,0.00073346+0.0011142i,-0.00040599+0.0022565i,0.0014984-0.0010211i,-8.9951e-05-0.00018294i,-0.00053417-0.00033195i,-1.2329e-05+0.0011948i,0.00018821+0.0018254i,0.01595+0.016202i,-0.030411+0.0086264i,-0.012811+0.014897i,-0.027598+0.0091505i,-0.016363+0.039798i,-0.03017+0.010114i,0.0058412+0.00086543i,-0.0075908-0.012596i,-0.020385+0.0015742i,-0.016567+0.015477i,0.011805+0.028636i,-0.00086821+0.0028169i,-0.0014085-0.0022611i,-0.010099-0.0090314i,0.010674+0.0073516i,0.010925+0.014572i,7.4731e-05+0.0017617i,-0.00034879-0.0063483i,0.0053159+0.0016561i,-0.0002522-0.0073487i,0.0076218-0.0062523i,0.010139+0.00042169i,-0.0058588+0.0069905i,0.014844+0.00050716i,0.0076943-0.0044645i,0.0089587-0.0050421i,0.0014999+0.0011437i,-0.00047313-0.0065267i,-0.004202-0.0058659i,0.0030435+0.0015077i,-0.02654+0.027379i,-0.0049533-0.0077026i,-0.0012378+0.00098396i,0.0017376-0.007529i,0.0019475+0.00081969i,-0.014257-0.013163i,-0.001292-0.0044096i,0.0041144-0.00051242i,0.0032825-0.0015413i,-0.00096137-0.0090119i,-0.0057014+0.006563i,-0.0017536+0.0034461i,-0.0051847+0.0017608i,-0.0060522-0.0021342i,-0.0068007-0.0015768i,-0.016143+0.023024i,-0.0080789+0.021718i,-0.022112-0.015212i,-0.0031658+0.00085214i,0.010543+0.020844i,-0.0034948+0.018201i,0.0028465-0.0018778i
