-0.025744-0.0047737i,-0.022016-0.0078711i,-0.013351-0.014314i,-0.03585-0.0087794i,-0.027155+0.0010737i,-0.036543-0.0031415i,-0.069113-0.036823i,-0.034133-0.015079i,-0.023616+0.0026037i,0.0064814+0.0065014i,-0.005364+0.0077029i,-0.0082864+0.018337i,0.0061273+0.0085577i,-0.00081139+0.0034388i,0.0043613+0.0040123i,0.0050641+0.025408i,0.024169+0.019904i,0.0013109-0.0006399i,0.00071834-0.0046332i,0.0088899+0.00013448i,0.0052811-8.321e-05i,0.0021647+0.0015435i,0.0014528-0.00048008i,-0.024847-0.00020214i,-0.0049033-0.0041648i,-0.0006127+0.0031168i,0.0047789-0.0042607i,-0.0018405-0.00051327i,-0.00036758+0.0012351i,-0.0021684-0.0015751i,-0.0039486-0.00047761i,-0.0073213-0.0085655i,-0.0054021-0.0077905i,-0.00065332+0.00017877i,-0.00036342-0.0024219i,0.00026129+0.021421i,0.0028019-0.0040997i,0.00071401-0.0045449i,0.0029922-0.0019508i,-0.0031171-0.0028446i,0.0009147+3.1176e-05i,0.0079853-0.0023351i,0.0030896-0.0022486i,0.00040065+0.0026317i,-0.014181+0.015715i,-0.025289+0.053107i,-0.0070173-0.037141i,-0.015471-0.01869i,-0.040614-0.016141i,-0.027889-0.01193i,0.03372-0.012166i,0.0052272-0.029503i,0.011768-0.038718i,-0.0092585-0.029834i,0.025574-0.023831i,0.013415+0.006877i,0.027519-0.035875i,-0.0016355-0.0042388i,0.0057314-0.0087736i,-0.00068001-0.0058696i,-0.00089772-0.035157i,-0.012918+0.029094i,0.0083894-0.011914i,-0.0085225-0.004433i,-0.0026719-0.0022912i,-0.00050134-0.01555i,-0.0075828+0.0060017i,0.0039001+0.0066825i,-0.00032257+0.028573i,0.0018441+0.00010067i,-0.00715-0.0042688i,-0.0039294-0.0063791i,-0.014666-0.010004i,-0.0025213-0.0059428i,-0.033756+0.0063339i,-0.0052321-0.0085005i,-0.013187-0.00081901i,-0.010638-0.0057254i,0.0014017-0.0015331i,-0.014098+0.0021947i,-0.001871-0.00069069i,0.0054018+0.0057144i,0.0032819-0.0051871i,-0.014219-0.013917i,0.0075881+0.0084033i,-0.015794+0.0054366i,0.0055994+0.00010496i,-0.019014-0.0024759i,-0.015864-0.0039387i,-0.015926-0.035215i,0.020177-0.010568i,-0.039762-0.023246i,-0.0094199+0.0057468i,0.01815+0.014841i,-0.021877+0.017318i,-0.0038215-0.003571i
0.0040807+0.014446i,-0.003287+0.016203i,-0.0020811+0.02759i,0.0015201+0.025933i,-0.00035249+0.029606i,0.011167+0.023245i,-0.0098803+0.027054i,-0.0058723+0.022292i,0.012111+0.0056692i,0.0018531-0.0051175i,0.0021427+4.7838e-05i,0.0059783-0.0027764i,0.00080827-0.0016787i,0.00035596-0.0036619i,0.00015372-0.0017541i,0.0059851-0.0066435i,-0.0031701-0.0043432i,-0.0014771+0.0026203i,0.00028408+0.00028666i,-0.00011618+0.0020188i,-0.0028317-1.4144e-06i,-7.9792e-05+0.00017612i,0.0013661+0.00035681i,-0.0082003-0.0039953i,-0.00073678-0.00057651i,-0.0025094+0.00056702i,-0.004109+3.3855e-05i,-0.0017856+0.00030722i,-0.0020469+0.00053054i,-0.00022878-0.00038467i,-0.0031077+0.00047484i,0.0014104-0.0022072i,0.00086932-0.0028303i,-0.00011079-0.0011945i,-0.0014191+0.00066925i,-0.00078454-0.0039077i,-0.0020434+0.0016561i,0.0020945-0.00019066i,-0.00045982+0.0026291i,0.0025742+0.0064498i,6.5232e-05+0.0010524i,-0.0013715+0.00058107i,-0.0014671-0.0016684i,0.0029691+0.0041874i,0.014878+0.0073755i,0.04163-0.053192i,-0.026395+0.0063605i,0.018034-0.02708i,-0.023445-0.032487i,-0.011674+0.003213i,-0.031834+0.034076i,-0.019135+0.0056044i,-0.015979+0.0085581i,-0.0020205-0.017237i,-0.041148-0.020004i,-0.0084583+0.001704i,-0.028517+0.011988i,0.0020965+0.013853i,0.0010135+0.0050684i,-0.0037618-0.0051547i,0.00010081+0.0017728i,-0.013484-0.0040974i,0.0051503+0.012703i,-0.00086229+0.0079384i,-0.002073+0.0041788i,0.0007963+0.0058563i,0.0021669+0.0027382i,-0.0010965+0.018573i,0.0044092+0.015213i,0.0045538-0.0052493i,0.011471-0.0047991i,0.0087439+0.0026197i,-0.0039018-0.0066984i,-7.0177e-06-0.0022313i,0.018769-0.031325i,0.0092694+0.0037646i,0.0077683-0.0020212i,0.002948-0.00081107i,0.0062614-0.0088922i,0.022021+1.4412e-06i,0.0059133-0.0029658i,0.0013495-0.0066538i,0.0051334-0.0033667i,0.017804+0.0033686i,0.0065062+0.003348i,0.0033245-0.0030892i,0.0095824+0.0098564i,-0.0012641+0.0049697i,0.0085404+0.0086706i,-0.013865-0.013388i,-0.009057+0.0013602i,-0.008518-0.014055i,-0.0077488-0.0044215i,-0.039352+0.0071618i,-0.0061003+0.0040733i,-0.011422+0.00028023i
0.0065779+0.013237i,-0.001232+0.013861i,0.004391+0.023037i,0.0054768+0.023461i,0.0038628+0.027793i,0.014524+0.020838i,-0.0061061+0.028042i,-0.0015402+0.022276i,0.011955+0.001553i,0.00011089-0.0052002i,0.0025006+0.00050143i,0.0049081-0.0051294i,0.00020012-0.0023856i,0.00032982-0.0034129i,-0.00048011-0.0016284i,0.0023413-0.0063223i,-0.0053336-0.0021786i,-0.00034017+0.0028946i,0.0013644+0.00015191i,0.0011796+0.001725i,-0.0019408+0.0016303i,0.00044876+0.00059927i,0.0016431-0.00027843i,-0.007829-0.0013975i,-0.00064006-0.00019201i,-0.0021106+0.0015263i,-0.0030749+0.0019665i,-0.0012959+0.00083579i,-0.0015627+0.0010119i,-3.6219e-05-0.00011826i,-0.0025124+0.001822i,-2.1712e-05-0.0018444i,-0.00092736-0.0028772i,-0.0012743-0.0011116i,-0.0019525+0.0010258i,0.00020607-0.0032248i,-0.0010173+0.002193i,0.001194-0.0010318i,0.00018729+0.0029056i,0.0041692+0.0042568i,0.00058842+0.00098032i,-0.0015247+0.00083733i,-0.0021415-0.0012546i,0.00413+0.0031881i,0.015719+0.0028988i,0.021915-0.062091i,-0.020344+0.01392i,0.007841-0.034995i,-0.034325-0.024428i,-0.0090062+0.0062117i,-0.020578+0.039662i,-0.015391+0.011045i,-0.0052759+0.0034813i,-0.0043797-0.016102i,-0.045334-0.0040739i,-0.0084305+0.0024271i,-0.023444+0.023503i,0.0055669+0.0098914i,0.0014346+0.0032062i,-0.0088119-0.0068609i,-0.0021865+0.0046363i,-0.013322+0.0035298i,0.010519+0.0091383i,0.0014359+0.0097738i,-0.00028838+0.0043932i,0.0028607+0.0066864i,0.0036562+0.0027343i,0.0064896+0.014754i,0.009292+0.0088403i,-0.0018567-0.0073948i,0.0059572-0.0063456i,0.0079992+0.00082275i,-0.0067076-0.00019177i,-0.00039839+0.00016321i,0.0048744-0.03151i,0.010868+0.0011873i,0.0077971-0.0047991i,0.0043908-0.0024063i,0.001158-0.0063667i,0.020367-0.0097795i,0.0031259-0.0046645i,-0.0019264-0.0054971i,0.0013122-0.0028857i,0.015518-0.0032i,0.007532+0.0019949i,0.0024095-0.0018826i,0.012114+0.0057059i,5.6124e-05+0.0055191i,0.0095546+0.0049338i,-0.019015-0.011232i,-0.004945-0.012884i,-0.0073441-0.011814i,-0.0073076-0.0030503i,-0.033463+0.020522i,-0.0037174+0.0050656i,-0.0095603+0.0024073i
0.0096622+0.011524i,8.2231e-05+0.012362i,0.0075136+0.017541i,0.0083949+0.0208i,0.0087212+0.0261i,0.017623+0.017761i,-0.0014293+0.028534i,0.0027721+0.021262i,0.010318-0.001399i,-0.0014954-0.004641i,0.0035802+0.00025115i,0.0012611-0.0059812i,-0.0005841-0.002483i,-0.00046378-0.0034843i,-0.00095797-0.0013438i,-0.0007828-0.0043408i,-0.0058764+0.00072005i,0.00087944+0.0027666i,0.0018386-0.0010929i,0.0023054+0.00050515i,-0.0005283+0.00211i,0.0013127+0.00020719i,0.0015674-0.0009706i,-0.0075818+2.9348e-05i,-0.00049318+0.00014735i,-0.00091667+0.0024733i,-0.0013148+0.0025585i,-0.00059379+0.0011806i,-0.0009279+0.0012892i,-4.4431e-05-0.00029008i,-0.0014622+0.0025706i,-0.0007396-0.0012657i,-0.0021358-0.0016585i,-0.0020089-0.00031822i,-0.0014263+0.0020785i,0.0010869-0.0039997i,-0.00032076+0.0019782i,0.0003144-0.0013804i,0.0019003+0.0024147i,0.0045306+0.0023812i,0.0010627+0.0008066i,-0.000662+0.0017057i,-0.0026078-0.00073992i,0.0046902+0.001196i,0.015072-0.00098295i,0.0011837-0.061289i,-0.010385+0.017235i,-0.004525-0.037123i,-0.037476-0.015271i,-0.0038104+0.0074453i,-0.0066429+0.040249i,-0.0045169+0.01212i,-0.0045438-0.0036819i,-0.0061972-0.01502i,-0.041848+0.010239i,-0.0076017+0.0043577i,-0.011311+0.030645i,0.0067+0.0061271i,-0.00056708+0.00099116i,-0.016766-0.0031696i,-0.001172+0.0059601i,-0.0092701+0.0083634i,0.012172+0.0028989i,0.0050775+0.0095676i,-0.0010414+0.0049162i,0.0043413+0.0049972i,0.0050223+0.00056908i,0.0086367+0.0084428i,0.0088485+0.0033125i,-0.0066655-0.0027118i,0.0038112-0.0057373i,0.0088016-0.00048004i,-0.002433+0.0071651i,0.0021112+0.0014793i,-0.0047417-0.026969i,0.011685-0.0038131i,0.0051235-0.0071416i,0.002698-0.0041215i,0.0008213-0.0046346i,0.013027-0.016356i,0.00042202-0.0018409i,-0.0039009-0.0029634i,0.00019943+0.00017681i,0.011057-0.0071422i,0.010181-0.0019802i,0.0032227-0.002957i,0.014552+0.00014607i,0.0033833+0.0044844i,0.0092025+0.0015602i,-0.022159-0.0038037i,-0.015837-0.020452i,-0.0063206-0.014165i,-0.0057227-0.003765i,-0.022555+0.026941i,-0.0039998+0.00017416i,-0.0076861-0.0010498i
0.012525+0.0082255i,0.0021035+0.011777i,0.0084029+0.012283i,0.011035+0.018632i,0.013139+0.022466i,0.020265+0.013946i,0.0040564+0.028031i,0.006812+0.019135i,0.0086332-0.002723i,-0.0027865-0.0034749i,0.004137-0.0014965i,-0.0012965-0.0042452i,-0.001499-0.0024063i,-0.0016486-0.0027161i,-0.0015614-0.0010328i,-0.0016593-0.0012955i,-0.0044497+0.0033931i,0.0018007+0.0019957i,0.001315-0.0016076i,0.0021163-0.0011826i,0.00040601+0.0018704i,0.0017923-0.00062915i,0.0011734-0.0017047i,-0.0074405+0.0020145i,-0.00012209+0.00010261i,0.00083489+0.0017537i,-3.6127e-05+0.0022192i,9.325e-05+0.00096769i,-0.00011052+0.0015791i,-9.6877e-05-5.493e-05i,-0.00035796+0.0026826i,-0.001373-0.00078871i,-0.0028764-0.00045362i,-0.0020625+0.00084084i,-0.00045488+0.0023938i,0.00080258-0.0061093i,0.00062447+0.0020428i,-0.00049516-0.0011065i,0.0024295+0.00074287i,0.0045418+0.00093534i,0.0014507+0.00013249i,0.0004662+0.0013941i,-0.002778+2.07e-05i,0.0032304-0.0013838i,0.013951-0.0040566i,-0.015446-0.05019i,-0.0015045+0.014502i,-0.015472-0.033688i,-0.040587-0.006386i,0.0011737+0.0052333i,0.0047748+0.035326i,0.0032361+0.0048379i,-0.0051054-0.0049091i,-0.0064561-0.012414i,-0.034669+0.019727i,-0.0064856+0.0058761i,0.0010775+0.029905i,0.0071658+0.0030267i,-0.0037909+0.0021417i,-0.019739+0.0066225i,-0.00088365+0.0081303i,-0.0043807+0.0091833i,0.0094362-0.002981i,0.0082757+0.0079462i,0.00023481+0.0070784i,0.0041547+0.0047257i,0.0053037-0.0027827i,0.0071777+0.0033594i,0.0057899+0.00038587i,-0.0050755+0.0014293i,0.0019837-0.0056174i,0.0083674-0.002887i,0.0060286+0.0075196i,0.0034362-3.9174e-05i,-0.0098025-0.02127i,0.0088637-0.0074371i,0.0023461-0.0082121i,0.0016636-0.003246i,-0.00026492-0.0050111i,0.0055109-0.017741i,0.0030295-0.00096226i,-0.0041805-9.7064e-05i,0.0026445+0.0017286i,0.0071803-0.0073643i,0.0081747-0.0068913i,0.0014318-0.0036117i,0.01167-0.0073808i,0.003812+0.0013034i,0.0086298-0.0023368i,-0.018053+0.0043291i,-0.0275-0.017443i,-0.010872-0.018375i,-0.0062591-0.0059299i,-0.013685+0.027086i,-0.008847+0.00019802i,-0.0112-0.00031697i
0.013631+0.0044069i,0.0029884+0.0097891i,0.0071153+0.0084718i,0.013615+0.016038i,0.016179+0.018272i,0.021781+0.00972i,0.0094688+0.025652i,0.0099107+0.016085i,0.0076097-0.0034117i,-0.0030195-0.0022248i,0.0029417-0.002812i,-0.0021489-0.0024084i,-0.002321-0.0019939i,-0.0018219-0.0016989i,-0.0018932-0.00037039i,-0.00093898+0.00081631i,-0.0022273+0.0049913i,0.0021126+0.0010969i,0.0010049-0.0016845i,0.0010892-0.0021575i,0.00086411+0.0014126i,0.0015589-0.0014217i,0.00029937-0.0020121i,-0.0056908+0.0035462i,-0.00012723-0.00033432i,0.0011454+0.0001764i,0.0009679+0.0014852i,0.00048929+0.00062325i,0.00078895+0.0012735i,0.00035884-6.0074e-06i,0.00044725+0.0024971i,-0.0015705-0.00030573i,-0.0028149+0.0011954i,-0.0016059+0.0017536i,0.00026156+0.0023654i,-0.0012256-0.0079909i,0.0012245+0.0013376i,-0.00073345-0.00031884i,0.002109-0.00017709i,0.0040689-4.7724e-05i,0.001348-0.00060766i,0.00078014+0.00069159i,-0.0024555+0.00072666i,0.00093985-0.00087462i,0.012425-0.0062899i,-0.019424-0.036072i,0.0033737+0.009373i,-0.024098-0.026483i,-0.04143+0.0049669i,0.0035862+0.00051637i,0.012981+0.027924i,0.0052365-0.002432i,-0.0044164-0.0067369i,-0.005337-0.0124i,-0.027211+0.027003i,-0.0046153+0.0067036i,0.012871+0.024255i,0.0066457+0.00026449i,-0.0048518+0.0058618i,-0.016866+0.014754i,0.0018828+0.0094318i,5.6059e-05+0.0098119i,0.0040933-0.0037272i,0.010413+0.0050108i,0.0030565+0.0078749i,0.0052476+0.0049331i,0.0041153-0.0055587i,0.0044261+0.0031435i,0.0032647+0.0011592i,-0.0037314+0.0030943i,0.0006486-0.004603i,0.0069809-0.0052765i,0.0097654+0.0023192i,0.0034314-0.0019393i,-0.012767-0.01897i,0.0051302-0.0094967i,-0.001012-0.0083345i,0.002911-0.0031133i,-0.001867-0.0037659i,1.5811e-05-0.016187i,0.0036361-0.0033855i,-0.0021114+0.0022449i,0.0051528+0.00030428i,0.005736-0.0080457i,0.003822-0.010582i,0.0010985-0.0033053i,0.0055353-0.010748i,0.002318-4.3827e-05i,0.0047088-0.00598i,-0.011244+0.0054193i,-0.036692-0.0067555i,-0.017085-0.017697i,-0.0079461-0.0073477i,-0.0077989+0.026198i,-0.011951+0.0037885i,-0.010955+0.0037299i
0.013764+0.00091571i,0.0033621+0.0089709i,0.0056075+0.0069465i,0.015758+0.012943i,0.017788+0.013937i,0.022807+0.0057029i,0.014373+0.021701i,0.011989+0.012705i,0.0072135-0.0043595i,-0.0032753-0.001748i,0.0011992-0.0031705i,-0.0023738-0.00073246i,-0.0032382-0.0012166i,-0.0017945-0.0013394i,-0.0020418+0.00027986i,0.0003034+0.0018246i,0.00062136+0.0052474i,0.0021448+0.00037463i,0.00035247-0.0019865i,-0.00011499-0.0023962i,0.0015509+0.00099231i,0.0011188-0.00202i,-0.00038768-0.001821i,-0.0046143+0.0035753i,-0.00036897-0.0002918i,0.00043066-0.00071431i,0.001264+0.00022012i,0.00080731+2.5161e-05i,0.0013257+0.00047691i,0.00050577-0.00055181i,0.0012823+0.0022161i,-0.0016643+0.00020699i,-0.0017346+0.002382i,-0.00067399+0.0022123i,0.00084557+0.0021636i,-0.0043345-0.0086927i,0.0013872+0.00030725i,-0.00044517-1.8894e-05i,0.001754-0.00095709i,0.0035786-0.00052028i,0.0010052-0.0008177i,0.00078735+0.00044725i,-0.0019618+0.0010462i,0.00025606+0.00068616i,0.010917-0.0076606i,-0.016973-0.029239i,0.00544+0.0052907i,-0.027988-0.016065i,-0.035738+0.01834i,0.0009921-0.0038616i,0.016976+0.020121i,0.0051851-0.0083882i,-0.0045241-0.0076399i,-0.006707-0.012152i,-0.018875+0.031149i,-0.0038683+0.0074339i,0.018149+0.011445i,0.0057536-0.0020283i,-0.0029192+0.009266i,-0.0097879+0.020915i,0.0047043+0.0081821i,0.0047592+0.0070509i,0.0019903-0.0016187i,0.011934+0.00072075i,0.0058448+0.0072877i,0.0065731+0.0039605i,-0.0010112-0.0080784i,0.0043986+0.0047595i,0.0038894+0.0026709i,-0.0010989+0.0059277i,0.00062297-0.0040442i,0.0051865-0.0063586i,0.010147-0.0030549i,0.0026602-0.0037907i,-0.01878-0.016831i,0.0013569-0.010005i,-0.0044237-0.0068707i,0.0011711-0.0045047i,-0.0019775-0.0019734i,-0.003054-0.0132i,0.0019269-0.005247i,0.00023609+0.0021648i,0.0051069-0.0036641i,0.0026945-0.0095976i,-0.0028636-0.010758i,0.00050336-0.0044558i,0.00061866-0.0095543i,0.0020134-0.001002i,-2.5458e-05-0.0053395i,-0.008086+0.0047572i,-0.03388+0.0094181i,-0.022875-0.014775i,-0.010243-0.0071179i,-0.0039974+0.025576i,-0.010777+0.0088559i,-0.006699+0.0048246i
0.013168-0.0023652i,0.0043298+0.008754i,0.0048528+0.0065136i,0.01717+0.0092797i,0.018517+0.010256i,0.02333+0.0012037i,0.018056+0.016649i,0.013188+0.0094717i,0.0067387-0.005392i,-0.0037172-0.00083321i,-0.00020959-0.0024689i,-0.0013686+0.00063534i,-0.0037504-1.3826e-06i,-0.0022851-0.0013465i,-0.0020296+0.0010097i,0.0014342+0.0020893i,0.0027706+0.0041397i,0.0020041-0.00014224i,-8.1348e-05-0.001988i,-0.0010736-0.0018757i,0.0019647+0.00029192i,0.00038939-0.0024607i,-0.00087641-0.001425i,-0.0041633+0.0045957i,-0.00043388-0.00043704i,-0.00040231-0.00082001i,0.00093562-0.00061477i,0.0006024-0.00080128i,0.0013201-0.00054462i,8.362e-05-0.001143i,0.0020016+0.001518i,-0.0012509+0.0011151i,-4.0241e-05+0.0025145i,0.00032415+0.0021822i,0.0014509+0.0015205i,-0.0079054-0.0079675i,0.0012526-0.00035229i,-0.00041343-0.00024345i,0.0011534-0.0016442i,0.003271-0.00099792i,0.00076402-0.0010144i,0.0012206+0.0001066i,-0.001716+0.0010246i,0.00069018+0.0012889i,0.010098-0.0093994i,-0.016944-0.028307i,0.0066973+0.002053i,-0.025764-0.0069245i,-0.024447+0.027447i,-0.0011656-0.004113i,0.019595+0.013751i,0.00255-0.013439i,-0.0046797-0.0087469i,-0.0069988-0.0099772i,-0.010727+0.03376i,-0.0011886+0.0075314i,0.012767+0.00046697i,0.0034347-0.0045065i,0.00041392+0.01058i,-0.0019688+0.021787i,0.0058956+0.005966i,0.0060814+0.0027538i,0.0025288-0.00078387i,0.011531-0.0031571i,0.0098761+0.0049162i,0.0076682+0.0031738i,-0.0051151-0.0034809i,0.0064343+0.0048502i,0.0051282+0.0026846i,0.0025239+0.0056383i,-0.00032314-0.004311i,0.0034314-0.0075724i,0.0079653-0.0094454i,-0.0004129-0.0042382i,-0.024752-0.0099689i,-0.0019936-0.0093326i,-0.0064213-0.0037046i,0.00068826-0.0026484i,-0.0018838-0.0015576i,-0.0046847-0.012734i,-0.00034571-0.0061076i,0.0012364+0.00058429i,0.0024145-0.0052386i,-5.1178e-05-0.0091367i,-0.0066462-0.006498i,-0.0019159-0.0048731i,-0.0028811-0.0077506i,0.0004952-0.0016502i,-0.0017949-0.0029656i,-0.0048978+0.0045723i,-0.025688+0.011593i,-0.023222-0.010117i,-0.011984-0.0061214i,0.0012303+0.023349i,-0.0090545+0.010843i,-0.0050188+0.0035886i
0.011828-0.0051153i,0.0061494+0.0085568i,0.0049134+0.006775i,0.017725+0.0057282i,0.01866+0.0069932i,0.022712-0.0032525i,0.020446+0.011141i,0.013835+0.006539i,0.006107-0.0067544i,-0.003851+0.00023836i,-0.00046828-0.0013738i,-0.00018242+0.00054666i,-0.0038093+0.00144i,-0.0031895-0.00045865i,-0.001599+0.0018038i,0.0025275+0.0014873i,0.0039991+0.0025808i,0.001969-0.00055439i,-0.0005509-0.0018604i,-0.0013926-0.00093139i,0.0020184-0.00049588i,-0.00041397-0.0022706i,-0.0010873-0.00096436i,-0.0022599+0.0055538i,-0.0008925-0.00044556i,-0.00083435-0.00058378i,0.00019899-0.0012788i,-0.00013892-0.0013208i,0.00071694-0.0014293i,-0.00061906-0.001253i,0.0022109+0.00064642i,-0.0003883+0.0010051i,0.00064492+0.0017416i,0.0010092+0.0017219i,0.0015709+0.00084183i,-0.010995-0.005299i,0.00072786-0.0010206i,-0.00070481-0.0001347i,0.00015041-0.0022534i,0.0030886-0.0013389i,0.00048775-0.0011408i,0.0012823-0.00046536i,-0.0017203+0.0010406i,0.0011595+0.0015355i,0.0085814-0.011722i,-0.020866-0.027119i,0.0061939-0.0018461i,-0.022946-0.00064617i,-0.012053+0.029649i,-0.0034519-0.0041343i,0.021524+0.0067274i,-0.00041585-0.015513i,-0.0054357-0.0092031i,-0.0057844-0.0076921i,-0.0010571+0.033972i,0.0010175+0.0064401i,0.0071158-0.00094427i,0.00048753-0.0053961i,0.0049793+0.010942i,0.0049446+0.019447i,0.006062+0.0034524i,0.0053114-0.0011231i,0.0018881-0.00033492i,0.0089808-0.0074563i,0.012134+0.00052413i,0.0088707+0.001475i,-0.0049123-0.00017358i,0.0083675+0.003896i,0.006745+0.0021804i,0.0060393+0.0034419i,-0.0013912-0.0037743i,0.0018633-0.0088717i,0.0022098-0.012521i,-0.0017139-0.0021736i,-0.027547-0.00058003i,-0.0042732-0.0080849i,-0.0063908-0.00021759i,0.0012227-0.0020391i,-0.0022832-0.00082099i,-0.008106-0.012314i,-0.0031971-0.0056699i,0.0016607-0.00032856i,0.00026934-0.0053847i,-0.0013653-0.0083431i,-0.0080372-0.0031197i,-0.0042515-0.0030306i,-0.0060422-0.0054086i,-5.9004e-05-0.0017604i,-0.0017542-0.0014128i,-0.0020487+0.003374i,-0.023443+0.012865i,-0.022375-0.0075768i,-0.013745-0.0044562i,0.002842+0.021532i,-0.0078264+0.011724i,-0.0038131+0.0027873i
0.01024-0.0071607i,0.0086157+0.0072055i,0.0063506+0.0067435i,0.017634+0.002316i,0.018952+0.0042734i,0.021181-0.0073126i,0.021141+0.0048047i,0.014087+0.0036423i,0.0048834-0.0080267i,-0.0037035+0.0011955i,-0.00039778-0.0010535i,-6.6024e-05-0.0002352i,-0.0031916+0.0028556i,-0.0030945+0.00080481i,-0.00085387+0.0022782i,0.0026455+0.00032407i,0.0042793+0.00076222i,0.0016108-0.0012043i,-0.0010998-0.0014559i,-0.0010944-0.00029969i,0.0019582-0.0013631i,-0.00081309-0.0018461i,-0.0010259-0.00057008i,-0.0002324+0.0053475i,-0.0012476-0.000159i,-0.0013367-0.00025081i,-0.00099721-0.0015351i,-0.0010143-0.0012385i,-0.00030658-0.0019549i,-0.0012943-0.0010315i,0.0020891-0.00010861i,-0.00038633+0.0009369i,0.00085032+0.001308i,0.0014229+0.0011166i,0.0015117+0.0003463i,-0.012494-0.001379i,-0.00026934-0.0013511i,-0.000688+8.5384e-05i,-0.0010934-0.0022502i,0.0028496-0.0018474i,0.00018626-0.0010924i,0.0011615-0.00088199i,-0.001738+0.0013137i,0.0016824+0.0015389i,0.0059083-0.013056i,-0.025872-0.021417i,0.0047406-0.0048481i,-0.016741+0.0044977i,-0.0011473+0.029257i,-0.0049743-0.0013362i,0.021654-0.0010873i,-0.00093789-0.0181i,-0.0052124-0.008537i,-0.0029472-0.005449i,0.0073798+0.03113i,0.0019978+0.0044596i,0.0036457-0.001828i,-0.0030927-0.0051021i,0.010069+0.0078879i,0.0089208+0.01536i,0.0045177+0.0018827i,0.0033526-0.0041369i,0.002978+0.0018057i,0.0043508-0.0096782i,0.011882-0.0055369i,0.0094298-0.0012053i,-0.0046451+0.0025661i,0.010882+0.0019005i,0.0089821-0.00031362i,0.0070444-0.00096183i,-0.0019429-0.0030229i,-0.0012122-0.0092303i,-0.0048771-0.011957i,-0.0010983-0.00030426i,-0.02642+0.0096083i,-0.0061695-0.0068617i,-0.0046776+0.0024833i,0.0017055-0.0044531i,-0.0020443+0.00069154i,-0.012372-0.0093241i,-0.0058557-0.0030604i,0.0011824-0.0015507i,-0.0018392-0.0046837i,-0.0035784-0.0077371i,-0.0077306+0.0013669i,-0.0043941-0.00025154i,-0.0079087-0.0017237i,-0.0014185-0.0025405i,-0.0012872-0.0011564i,-4.4474e-05+0.0024561i,-0.021674+0.018811i,-0.022571-0.0083991i,-0.012805-0.002123i,0.0062889+0.020475i,-0.0069104+0.014145i,-0.0023281+0.00053865i
0.0086537-0.0087433i,0.010658+0.0049055i,0.008004+0.0053537i,0.016893-0.00094496i,0.019078+0.001401i,0.019203-0.010631i,0.019767-0.00084751i,0.013876+0.00099178i,0.0035613-0.0089544i,-0.0034749+0.002242i,-0.00062695-0.00086336i,-0.00069512-0.00034527i,-0.002135+0.003744i,-0.0025646+0.0018043i,-0.00016809+0.0024002i,0.0019007-0.00036727i,0.0037806-0.00074467i,0.0011717-0.001475i,-0.0011415-0.00093309i,-0.00060743-2.5046e-05i,0.0016792-0.0021857i,-0.00095136-0.0016174i,-0.00077776-0.00039982i,0.0012838+0.0049141i,-0.001412+0.00017446i,-0.0016432+0.00046729i,-0.0022218-0.0010197i,-0.0015489-0.00073352i,-0.0015394-0.0018188i,-0.0019319-0.00047238i,0.0017749-0.00066498i,-0.00021018+0.0012387i,0.0011474+0.00088662i,0.0016546+0.00044726i,0.0012826-2.5448e-05i,-0.012379+0.002672i,-0.0012078-0.0010912i,-0.00079116+1.5593e-05i,-0.0022632-0.0015938i,0.0024133-0.0025274i,9.2969e-05-0.00095215i,0.0010262-0.0013612i,-0.0016649+0.0017626i,0.0021461+0.0012994i,0.0035684-0.013301i,-0.025763-0.013242i,0.0017792-0.0063706i,-0.010417+0.004557i,0.0093456+0.026183i,-0.0037941+0.0024964i,0.018567-0.0078388i,-0.0038882-0.022889i,-0.0036027-0.0089643i,0.0017319-0.0044491i,0.015086+0.025226i,0.0019493+0.0032964i,0.00037496-0.00099406i,-0.0052325-0.0025098i,0.012125+0.002028i,0.011767+0.012048i,0.0023749+0.0024016i,7.3542e-05-0.0067241i,0.0060295+0.00018043i,-0.00035741-0.0090362i,0.0078694-0.0096892i,0.008782-0.004359i,-0.0039802+0.0046779i,0.011997-0.0030308i,0.0083296-0.0053049i,0.0053332-0.0049677i,-0.0024489-0.0024013i,-0.0040155-0.0082279i,-0.009368-0.0067995i,0.00018776-0.00042559i,-0.02069+0.020092i,-0.0080608-0.0049748i,-0.0022812+0.0036979i,-0.0015116-0.0054523i,-0.00082488+0.00116i,-0.015242-0.0045199i,-0.0051586+0.00064942i,-0.00018122-0.0024014i,-0.0037197-0.0032683i,-0.0056352-0.0056939i,-0.005094+0.0040148i,-0.0029344+0.0014025i,-0.0077248+0.0029092i,-0.0038615-0.0021881i,-0.0016766-0.0011055i,0.0037305+0.0017336i,-0.011524+0.023859i,-0.026461-0.0070793i,-0.011315-0.002106i,0.0083885+0.018006i,-0.0039332+0.016095i,-0.0030418-0.0029446i
