0.0012342-0.042122i,-0.0021701-0.046067i,-0.0070516-0.047632i,-0.030335-0.023296i,-0.022598+0.010489i,-0.036461-0.033243i,-0.062785-0.058399i,-0.019408-0.070408i,-0.022792-0.044129i,-0.0020278+0.015447i,-0.010011+0.013154i,-0.014461+0.013345i,0.003775+0.014067i,-0.0026511-0.0018841i,0.0022275+0.0056624i,-0.00058717+0.033587i,0.020106+0.057995i,0.00088199-0.00035315i,-0.0028826-0.0090626i,0.0076461+0.0041254i,0.001838+0.0015439i,-0.00024349+0.0029728i,-0.00017145-0.00061657i,-0.036844-0.0097393i,-0.0024678-0.0074593i,-0.00060189+0.0048486i,0.0049426-0.00033515i,-7.7454e-05+0.00048243i,0.00070772-0.0008318i,0.00064048-0.0021641i,-0.0017066-0.0058993i,-0.002972-0.0060574i,-0.00080094-0.0071255i,0.0031828-0.00090894i,0.0035197-0.0013558i,-0.0018745+0.038527i,0.00657-0.00341i,0.003791-0.00094805i,0.0054375+0.00033999i,-0.012385-0.0066909i,-0.00075662+0.00069551i,0.0090354-8.8716e-05i,0.003651+0.0014622i,-0.0053995+0.0013778i,0.0013557+0.010419i,-0.0055751+0.017617i,0.026209-0.081471i,-0.00013908-0.05495i,-0.023019-0.043622i,-0.019609-0.037607i,0.063258-0.016466i,0.029898-0.057457i,0.039031-0.045027i,0.033769-0.052717i,0.019904-0.015196i,0.0077374+0.011878i,0.024204-0.034545i,-0.0084809-0.0055172i,0.0031639-0.0014887i,-0.0023215-0.0049008i,0.0055427-0.032235i,-0.025481+0.03186i,0.0086205-0.010171i,-0.012531-0.0026618i,-0.0045794-0.001541i,0.00023295-0.014903i,-0.010119+0.0050517i,0.0035026+0.0064661i,-0.014223+0.03063i,0.0054432+0.0066301i,-0.0056498-0.0018512i,-0.00095863-0.0020938i,-0.012022-0.0079949i,0.0002088-0.0036794i,-0.03616+0.0067055i,0.0018915-0.012384i,-0.0094489-0.0026031i,-0.0071604-0.0030757i,0.006578+0.0019692i,-0.0093106+0.0022781i,-5.2695e-05+0.0019804i,0.0057929+0.0097415i,0.0048319+0.00059069i,-0.0094847-0.010559i,0.0016077+0.0082154i,-0.020117+0.0054913i,0.0069816+0.0036039i,-0.028307-0.0090986i,-0.036222-0.0023068i,0.027699-0.077537i,0.013947-0.0091169i,-0.042683-0.028187i,-0.024809-0.0061408i,0.01737+0.012189i,-0.026957+0.011162i,-0.012427-0.0097524i
-0.045268-0.0088644i,-0.056286+0.003097i,-0.041685+0.048209i,-0.019093+0.0093652i,-0.0046833+0.018927i,-0.004532+0.037638i,-0.027246+0.017218i,-0.062042+0.025196i,-0.020668+0.016539i,0.0039887-0.0094403i,0.0029532-0.0029162i,0.0026854+0.00031054i,0.0024856+0.0083804i,-0.0035342+0.001379i,-0.00011952+0.001909i,0.0018075-0.0070487i,-0.01203-0.0090377i,-0.0039508+0.00016957i,0.0040013-0.0034668i,0.00096811+0.00013715i,0.0014077-0.0048198i,0.0022503-0.0039558i,0.0015551-0.0025243i,-0.012162-0.011844i,-0.0019499-0.0017922i,-0.0041931-0.00013799i,-0.0029699-0.00043364i,-0.0046926-0.0013352i,-0.0010343-0.0023772i,0.0011195-0.0010293i,-0.0037014+0.0033997i,0.0015136+0.0019126i,0.0022797+0.0012977i,0.001258+0.00098298i,-0.0027117+0.0029275i,-0.0040139-0.0097242i,-0.0033564+0.0014059i,0.00052385+0.00050721i,-0.0016256+0.0041049i,0.0096951+0.0084327i,0.0014868-0.002166i,0.0012395-0.0012963i,-0.0037355-0.0038988i,0.0031043+0.0059378i,-0.011325-0.018221i,0.015843-0.077816i,-0.087141-0.022342i,-0.024467-0.021525i,-0.051237-0.041746i,-0.043055-0.0082915i,-0.090284+0.017822i,-0.062328-0.0020647i,-0.040326-0.02708i,-0.025715-0.056252i,-0.033038-0.025961i,-0.00057471+0.0038179i,-0.026374+0.010323i,0.0063227+0.017234i,0.0039559+0.0081569i,-0.0021013-0.0051294i,0.0073776+0.005797i,-0.011252-0.0047119i,0.0027048+0.012325i,0.00095788+0.0067799i,-0.0010609-0.0015626i,0.0067455+0.001928i,0.0042534-0.00097703i,-0.0034602+0.020398i,-0.0005414+0.014378i,0.0017664-0.0046971i,0.011253-0.008626i,0.004151+0.0043514i,-0.0075798-0.0080511i,-0.0014555-0.0015175i,0.025713-0.033752i,0.0090162+0.0084197i,0.0035879+0.0032482i,-0.0021798+0.0028839i,0.0043187-0.0036976i,0.019602+0.0026361i,0.0012344-0.0023495i,-0.00066768-0.0082977i,0.0023172-0.0033924i,0.012772+0.0060023i,0.00596+0.00084836i,0.0036766-0.006534i,0.0045042+0.0077759i,0.0037445+0.003104i,0.01883+0.0053598i,-0.066964-0.042856i,-0.011327+0.010811i,-0.0075368-0.0038134i,-0.0089648+0.0047088i,-0.037436+0.0078577i,-0.0052636+0.007805i,-0.016605+0.0042114i
-0.045089-0.0021375i,-0.054912+0.0088712i,-0.029428+0.049149i,-0.017856+0.011333i,-0.0012238+0.01622i,0.0024607+0.036926i,-0.025078+0.021016i,-0.054494+0.033696i,-0.016873+0.015028i,0.00065778-0.0092036i,0.0024985-0.0023418i,0.0027619-0.0013459i,0.0044806+0.0061011i,-0.001806+0.0031183i,-2.7145e-05+0.0025604i,-0.0024834-0.0051347i,-0.016752-0.0020604i,-0.0030926+0.0015655i,0.0035844-0.0040069i,0.0014955-0.00042992i,-8.3435e-06-0.0044767i,0.0014677-0.0033512i,0.0012157-0.0025332i,-0.013834-0.0069044i,-0.002201-0.0010823i,-0.0044207+0.0013759i,-0.0024612+0.00051301i,-0.0043129+0.00032454i,-0.0017484-0.0022387i,0.0011166-0.0012235i,-0.0021332+0.0048547i,0.0015564+0.0016665i,0.0023616+0.00017006i,0.00049535+0.00060768i,-0.0029362+0.0029334i,-0.0037417-0.0081072i,-0.0028562+0.0017151i,-0.00017393-7.1788e-06i,-0.001018+0.00511i,0.010583+0.0026036i,0.00058782-0.0024388i,0.00035194-0.0019255i,-0.0050891-0.0027824i,0.0042334+0.0049041i,-0.013491-0.021703i,-0.0068027-0.087548i,-0.082731-0.004918i,-0.030842-0.024158i,-0.061901-0.032021i,-0.040909+0.00059305i,-0.077246+0.037189i,-0.059355+0.01214i,-0.031315-0.025359i,-0.032409-0.052991i,-0.039858-0.012147i,-0.00013337+0.0014437i,-0.020782+0.021735i,0.010452+0.011483i,0.0066245+0.004579i,-0.0072343-0.0090665i,0.0042124+0.0046107i,-0.011268+0.0024059i,0.0078913+0.0095314i,0.0018349+0.0083735i,-0.0014154-0.00073813i,0.0069708+0.0020195i,0.0041854-0.0017586i,0.006041+0.016561i,0.0062511+0.0098367i,-0.0037333-0.006014i,0.002955-0.0093803i,0.0052225+0.0037278i,-0.010933-0.00068629i,-0.0023062+0.00096317i,0.0097744-0.036176i,0.011627+0.0058452i,0.0071319+0.0019927i,0.00093491+0.0025034i,0.00071937-0.001936i,0.018324-0.0065941i,-0.00025641-0.0025811i,-0.004451-0.0063466i,-0.0017751-0.0032721i,0.012039+0.00052889i,0.0058771+0.00081016i,0.001265-0.0043214i,0.0068401+0.0061746i,0.0035122+0.0028771i,0.018298-0.0016071i,-0.072924-0.033259i,-0.0025132-0.00061056i,-0.0065786-0.0023779i,-0.0073724+0.005397i,-0.032296+0.019984i,-0.0032099+0.0090221i,-0.014914+0.0072546i
-0.04291+0.0037396i,-0.054476+0.015169i,-0.021108+0.047774i,-0.016676+0.013666i,0.0032065+0.014718i,0.0094596+0.034516i,-0.021501+0.02458i,-0.046381+0.039685i,-0.016852+0.014081i,-0.0021492-0.0078296i,0.0028904-0.0023649i,-0.00076331-0.0019462i,0.0056237+0.0041712i,-0.0013645+0.0032106i,0.00072008+0.003284i,-0.0054047-0.0012061i,-0.01673+0.0070502i,-0.00092475+0.0027646i,0.0030089-0.0056805i,0.0019337-0.0017878i,-0.0010745-0.0039483i,0.0014891-0.0037836i,0.0010246-0.0028377i,-0.014791-0.0027887i,-0.0025889-2.3164e-05i,-0.0033155+0.0035121i,-0.0017411+0.00074693i,-0.0030271+0.0018702i,-0.0024328-0.0019543i,0.0003373-0.0022592i,2.1421e-05+0.0051967i,0.0016775+0.0013432i,0.0019414-0.00041588i,0.00042535+0.00036995i,-0.0022016+0.0045702i,-0.0035393-0.0081611i,-0.0029709+0.0019718i,-0.00055551+0.00011118i,0.0030843+0.0040643i,0.0087565-0.0010482i,-0.00023751-0.002213i,0.00034229-0.0011682i,-0.0065944-0.0013418i,0.0053152+0.0023836i,-0.018362-0.022901i,-0.033194-0.086455i,-0.072724+0.0065677i,-0.039097-0.021551i,-0.066877-0.020891i,-0.034884+0.0070389i,-0.057368+0.049245i,-0.04484+0.024512i,-0.030908-0.029226i,-0.038496-0.050616i,-0.038837+0.0019486i,-0.00044484+0.00012397i,-0.0095731+0.027057i,0.011636+0.0059403i,0.0044673-0.0010422i,-0.017062-0.0080383i,0.0041939+0.0034369i,-0.0073909+0.0069061i,0.009985+0.0043024i,0.004552+0.0086715i,-0.0035281+0.00085256i,0.007375-0.0015661i,0.0039397-0.0035235i,0.0095246+0.0089543i,0.007041+0.0044169i,-0.0084998-0.0014962i,6.8492e-05-0.0066989i,0.007275+0.0027223i,-0.007651+0.0089683i,-0.00028516+0.0028453i,-0.002449-0.032969i,0.014231+0.0005877i,0.0068573-0.0014998i,0.0013813+0.0012708i,0.001069-1.447e-05i,0.011492-0.012006i,-0.0031731+0.00063497i,-0.0071014-0.0030698i,-0.0038235+0.00091673i,0.0087114-0.0032809i,0.0086715-0.001486i,0.0021352-0.0039884i,0.010256+0.00261i,0.0054195+0.0019605i,0.015121-0.0074786i,-0.077017-0.019859i,-0.0073811-0.011387i,-0.004129-0.0034476i,-0.0050263+0.0051509i,-0.023337+0.025599i,-0.0016949+0.0038174i,-0.010885+0.0042812i
-0.040228+0.0077304i,-0.052788+0.023195i,-0.014811+0.046131i,-0.013539+0.016606i,0.0074493+0.0096617i,0.015387+0.03037i,-0.016803+0.027477i,-0.03829+0.043085i,-0.016987+0.016432i,-0.0040442-0.0061307i,0.0025168-0.0037783i,-0.0023686+0.0013203i,0.0054385+0.0021689i,-0.0012708+0.0048136i,0.0014331+0.0032907i,-0.005091+0.0036077i,-0.011028+0.0146i,0.00086201+0.0018001i,0.00087208-0.0063568i,0.00077343-0.0034924i,-0.00187-0.0034755i,0.00091764-0.0043005i,0.00049568-0.0036883i,-0.014641+0.0020063i,-0.0020606+0.00030477i,-0.00061324+0.0035151i,-0.0014243+0.00076667i,-0.0012142+0.0018272i,-0.003152-0.00081649i,-0.0011809-0.0019875i,0.001699+0.0046346i,0.001556+0.00085152i,0.0011937-0.00091341i,0.00037998+0.00034722i,0.00029388+0.0048521i,-0.0049546-0.0095942i,-0.0021284+0.0032268i,-0.00080007+0.00044194i,0.003107+0.00047578i,0.0071769-0.0028257i,-0.00047334-0.0019742i,0.00061919-0.0015619i,-0.0071202+0.0011958i,0.00362-0.0015194i,-0.023933-0.021847i,-0.055654-0.072661i,-0.063301+0.010984i,-0.04563-0.015121i,-0.071942-0.0087695i,-0.027795+0.0090724i,-0.03895+0.051237i,-0.029129+0.023876i,-0.033087-0.027527i,-0.045662-0.044842i,-0.033685+0.011647i,-0.0016779-0.00052796i,0.00076949+0.025652i,0.011105+0.0010482i,-0.00053952-0.0021611i,-0.024096+0.0016498i,0.001405+0.0030788i,-0.0027685+0.0072997i,0.0083797-0.0011834i,0.0077974+0.0076145i,-0.0030663+0.0041858i,0.0037149-0.0032009i,0.0027416-0.0058564i,0.0077967+0.0016193i,0.0044073+0.0012476i,-0.0077883+0.0032436i,-0.0020404-0.0049984i,0.0079133+0.00034914i,0.0024684+0.012061i,0.0015589+0.0019667i,-0.010071-0.026694i,0.01229-0.0044412i,0.0059678-0.0037195i,0.001952+0.0019192i,0.0015629-0.00067733i,0.0056597-0.012381i,-0.00043622+0.0034893i,-0.0081022+0.0010105i,-0.0013968+0.0040623i,0.0057983-0.0035202i,0.0078203-0.0068028i,0.00023456-0.0044788i,0.0096-0.003684i,0.0054352-0.0014035i,0.011239-0.011938i,-0.074084-0.006016i,-0.017115-0.014569i,-0.0046326-0.0078615i,-0.0032576+0.0029075i,-0.015406+0.026739i,-0.0063678+0.0026143i,-0.013542+0.0036828i
-0.038603+0.011198i,-0.049648+0.030486i,-0.010472+0.045172i,-0.0092317+0.018078i,0.0087235+0.0038345i,0.019302+0.025879i,-0.011516+0.028817i,-0.031052+0.045531i,-0.014507+0.020085i,-0.0048559-0.0040144i,0.00054651-0.0043333i,-0.00093266+0.0040059i,0.0048731+0.00092509i,0.0011511+0.0063129i,0.0025513+0.0032909i,-0.0025539+0.0068316i,-0.0030189+0.018089i,0.0012437+0.00067152i,-0.00057441-0.0059104i,-0.0012896-0.003834i,-0.0029013-0.0029485i,-9.0834e-05-0.0043875i,-0.00095411-0.004032i,-0.011318+0.0058781i,-0.0025183+8.3211e-05i,1.4649e-05+0.0018793i,-0.0012931+0.00084165i,-0.00027061+0.0011393i,-0.0031119+0.00056424i,-0.0015089-0.00071685i,0.0027199+0.0036299i,0.0015189+0.00019974i,0.00040119-0.00083617i,0.00035748+0.00015965i,0.0014575+0.0041533i,-0.0084035-0.0098136i,-0.0011261+0.0037207i,-0.00073992+0.0011301i,0.0013368-0.00059543i,0.0054709-0.003392i,-0.00076461-0.0020031i,0.00050621-0.0020896i,-0.0057291+0.003395i,7.8346e-05-0.00082914i,-0.028927-0.017792i,-0.064954-0.052438i,-0.058085+0.012039i,-0.050656-0.006671i,-0.073712+0.007014i,-0.023558+0.0067636i,-0.023854+0.049i,-0.020034+0.019626i,-0.034288-0.026419i,-0.04987-0.038836i,-0.027705+0.018777i,-0.0026142-0.00047448i,0.010836+0.02089i,0.0094605-0.0016462i,-0.0044016+0.00031357i,-0.023992+0.011733i,0.00081416+0.0047911i,0.00091524+0.0077525i,0.0032089-0.0028087i,0.010867+0.0048913i,-0.00089123+0.0063404i,0.0010568-0.0016714i,0.00068956-0.0070543i,0.0022697+0.00078893i,0.0017081+0.0022775i,-0.0062872+0.0068468i,-0.0032186-0.0019196i,0.0074924-0.0023203i,0.0084278+0.0073144i,0.0023448+0.00061195i,-0.014072-0.023856i,0.0091244-0.0080069i,0.0040973-0.0056871i,0.0046149+0.0020849i,0.00099251-0.0005943i,0.0023133-0.011007i,0.00222+0.0031556i,-0.0057519+0.0057942i,0.001851+0.0047728i,0.005373-0.0034974i,0.0035161-0.011471i,-0.00011645-0.0037731i,0.0052904-0.0072169i,0.0032323-0.0032826i,0.0047225-0.015738i,-0.068764+0.0020662i,-0.028777-0.0089387i,-0.008444-0.0098403i,-0.0036403-0.00030423i,-0.0098143+0.026516i,-0.0097991+0.005292i,-0.014009+0.0068381i
-0.037237+0.015361i,-0.045572+0.037889i,-0.0064764+0.04632i,-0.004687+0.017419i,0.0067308-0.0019798i,0.023038+0.021917i,-0.006113+0.028431i,-0.024305+0.047312i,-0.010247+0.021257i,-0.0052078-0.0028368i,-0.0021569-0.0033228i,0.0013674+0.0049181i,0.0042957+0.00031262i,0.0039054+0.0053295i,0.0033461+0.0024852i,0.00061416+0.0081432i,0.0053405+0.017633i,0.0013854-0.00010889i,-0.0022919-0.0057205i,-0.0030637-0.0029915i,-0.003291-0.0015423i,-0.00064256-0.0045301i,-0.0021008-0.0033107i,-0.0088308+0.0064137i,-0.003217+0.0013264i,-0.00042005+0.0016051i,-0.0013435+0.0010319i,3.8406e-05+1.5578e-05i,-0.0023915+0.0015901i,-0.00131-0.00027336i,0.0037821+0.0025917i,0.0014172-0.0003818i,0.00014887-0.0006483i,4.3975e-05-2.0284e-05i,0.0023879+0.0038258i,-0.011995-0.0080273i,-3.0321e-05+0.0035351i,1.1722e-05+0.0014622i,0.00029136-0.00082546i,0.0045387-0.0036525i,-0.0011431-0.0015768i,-0.0001649-0.0024841i,-0.003882+0.0042962i,-0.00088834+0.0018332i,-0.032351-0.011472i,-0.063973-0.037672i,-0.056057+0.014113i,-0.052209+0.0051418i,-0.06844+0.024841i,-0.02567+0.0051256i,-0.013087+0.043688i,-0.013651+0.015023i,-0.036468-0.023413i,-0.05501-0.032493i,-0.020625+0.022706i,-0.0043915+0.00047543i,0.015392+0.0090403i,0.0088367-0.0051358i,-0.0058425+0.0043715i,-0.017955+0.021453i,0.0021465+0.0048781i,0.0052583+0.0050116i,0.0008729+1.7718e-05i,0.013147-0.00053497i,0.0017762+0.0069929i,0.00055345+3.7954e-05i,-0.0042523-0.0084913i,0.00020673+0.0045813i,0.0019878+0.004226i,-0.00186+0.010588i,-0.0015912+0.00061296i,0.0057582-0.0039455i,0.010035+0.0021593i,0.0028508-0.0010594i,-0.022168-0.021969i,0.0046476-0.0097809i,0.00099063-0.0066708i,0.004786-0.0007416i,0.00071193+0.00040052i,0.0010144-0.008868i,0.0034634+0.0013149i,-0.0014059+0.0073579i,0.0039244+0.0023576i,0.0041187-0.0045452i,-0.0035367-0.011391i,-0.00077938-0.0043732i,0.0013865-0.0067642i,0.0024286-0.0042613i,-0.0032783-0.01523i,-0.066059+0.009561i,-0.029248+0.0064496i,-0.012658-0.0096904i,-0.0062036-0.0012249i,-0.0056413+0.026392i,-0.0095304+0.010414i,-0.0097599+0.0091729i
-0.034962+0.02021i,-0.039764+0.045317i,-0.00038901+0.047951i,-0.0021507+0.01536i,0.0021836-0.0048122i,0.02662+0.017022i,-0.0011663+0.027313i,-0.017896+0.048838i,-0.0067247+0.021839i,-0.0058464-0.0012258i,-0.0031246-0.00055194i,0.0040856+0.0048169i,0.0038863-0.00015805i,0.0051348+0.0029634i,0.0035443+0.0015969i,0.0037761+0.0079923i,0.012135+0.013323i,0.001181-0.00064894i,-0.0034398-0.0047157i,-0.0040732-0.0011319i,-0.0029028-0.00046335i,-0.0018126-0.0047545i,-0.002708-0.0024047i,-0.0079072+0.0083525i,-0.0028328+0.0022858i,-0.00038238+0.0022386i,-0.0011798+0.0016031i,-0.0010388-0.00069543i,-0.0017939+0.0018386i,-0.0012684-9.0495e-05i,0.0042849+0.0011236i,0.0014315-0.00054282i,0.00035084-0.00069569i,2.0604e-05+0.00018126i,0.0037204+0.0020042i,-0.015224-0.0046216i,0.0010849+0.0035577i,0.00057216+0.0010466i,-0.00051284-0.00063293i,0.0033865-0.004323i,-0.0012706-0.0011769i,-0.00082393-0.002345i,-0.0026787+0.004076i,7.5836e-05+0.0029042i,-0.033012-0.0064085i,-0.063942-0.031706i,-0.054559+0.019029i,-0.047676+0.016052i,-0.057436+0.039121i,-0.02684+0.0085897i,-0.0051799+0.039074i,-0.011133+0.0095909i,-0.03808-0.020654i,-0.05861-0.023564i,-0.014585+0.024644i,-0.0038418+0.0014091i,0.0093756-0.0014124i,0.0055339-0.0095688i,-0.0044597+0.0077156i,-0.0092049+0.025074i,0.0023301+0.0035338i,0.0068496-8.814e-05i,0.0021534+0.0011277i,0.01149-0.0052331i,0.0058278+0.0063315i,0.00091351+0.002412i,-0.0085912-0.0025262i,0.0024604+0.0073458i,0.0033138+0.0055671i,0.0037742+0.010458i,-0.00069071+0.00061885i,0.0045493-0.0050181i,0.010464-0.0042714i,0.00050349-0.0020411i,-0.030393-0.013626i,0.0010721-0.0092971i,-0.0015606-0.0050085i,0.0051571-0.00027702i,0.0014662+0.00017849i,0.0014333-0.0094475i,0.0030323-0.00075236i,0.0016418+0.0054325i,0.0041943+0.001257i,0.0031105-0.0038872i,-0.0074227-0.0067191i,-0.0030948-0.0044764i,-0.0018751-0.0059148i,0.00017047-0.0056302i,-0.0084417-0.010533i,-0.061399+0.017185i,-0.0232+0.0090451i,-0.012952-0.0074816i,-0.0080282-0.00073239i,-0.00027676+0.024211i,-0.0079982+0.012237i,-0.007511+0.0082606i
-0.031586+0.024456i,-0.032015+0.051897i,0.0070661+0.048707i,-0.00057912+0.014514i,-0.0026281-0.0044227i,0.028936+0.011568i,0.0031865+0.025322i,-0.01143+0.050325i,-0.0029852+0.021562i,-0.0059537+0.00049917i,-0.0017774+0.0014822i,0.0066782+0.0025802i,0.0035639-0.00043814i,0.0048383+0.0013922i,0.0039079+0.0010998i,0.0063521+0.0061241i,0.015773+0.0073648i,0.00099013-0.0015545i,-0.004214-0.0037996i,-0.0037862+0.0010122i,-0.0024163+6.2255e-05i,-0.003009-0.0037327i,-0.002972-0.0016963i,-0.0045887+0.0098628i,-0.0024966+0.0034333i,0.00070692+0.0026034i,-0.0006739+0.0021764i,-0.0023597-0.00018732i,-0.0011851+0.0021707i,-0.00111+0.00027968i,0.0040604-0.00048308i,0.0016565-0.0015353i,-1.0511e-05-0.00097129i,0.00018386+0.00030808i,0.0034997+0.00019258i,-0.01681+0.00096239i,0.0020661+0.0031501i,0.00070404+0.00073406i,-0.0013091-0.00021551i,0.0025552-0.0045757i,-0.0011474-0.00096091i,-0.0012492-0.0020749i,-0.0024183+0.0040042i,0.0010483+0.0034656i,-0.033609-0.0022711i,-0.068971-0.026012i,-0.052512+0.024394i,-0.042424+0.023604i,-0.042943+0.047121i,-0.027324+0.012291i,0.0023675+0.033519i,-0.010604+0.0070983i,-0.040457-0.017407i,-0.059992-0.013455i,-0.0088231+0.025636i,-0.0034011+0.0019872i,0.002809-0.0014119i,-7.3307e-05-0.011491i,-0.0010765+0.011022i,-0.00085981+0.023854i,0.0012796+0.0024987i,0.0051829-0.0050581i,0.0020762+0.00091829i,0.007956-0.0094254i,0.0090142+0.003468i,0.0030906+0.0032364i,-0.0076107+0.0016533i,0.0059084+0.0083984i,0.0059807+0.0061718i,0.0089785+0.0074644i,0.00011838+0.0011804i,0.0038694-0.0060484i,0.0067825-0.0093055i,-0.00019448+9.9436e-05i,-0.03488-0.0015546i,-0.0011473-0.008449i,-0.0026999-0.0029977i,0.0058594-0.0011634i,0.0016076-0.00042872i,-2.8355e-05-0.01157i,0.0018944-0.00156i,0.0040289+0.0043746i,0.0048577-0.00023766i,0.0040525-0.003955i,-0.0087488-0.0034494i,-0.0054332-0.0019133i,-0.0045348-0.0036168i,-0.0017857-0.0062701i,-0.010257-0.005792i,-0.056301+0.023124i,-0.021885+0.0099449i,-0.013089-0.0079816i,-0.0091495+0.001046i,0.001113+0.0224i,-0.0072286+0.012872i,-0.005774+0.0080299i
-0.027373+0.028609i,-0.02214+0.056774i,0.015637+0.047604i,0.0011874+0.013613i,-0.0051458-0.0010766i,0.030407+0.006081i,0.0066758+0.022209i,-0.0038744+0.051273i,0.00025693+0.020526i,-0.0056634+0.0023076i,-0.00023228+0.0016643i,0.0069627-0.00098597i,0.0035711-0.00076902i,0.0047843+0.00018711i,0.0043031+0.00032802i,0.0072656+0.003692i,0.016169+0.0014258i,-0.00059471-0.002302i,-0.0056767-0.0024248i,-0.0023941+0.0022248i,-0.0017606+0.00029393i,-0.0035086-0.0029636i,-0.0032462-0.00084928i,-0.00070502+0.0097027i,-0.0010407+0.0043322i,0.0016151+0.001966i,0.00017265+0.0022883i,-0.0027405+0.001154i,-0.00036764+0.0020594i,-0.00078743+0.00054728i,0.0033586-0.001856i,0.00080018-0.0022205i,-0.0004629-0.00080452i,0.00027667+0.00012709i,0.0027581-0.0010191i,-0.015528+0.0066622i,0.0026969+0.0022978i,0.00092131+0.00041i,-0.0016534+0.00080919i,0.0015307-0.0049232i,-0.0014118-0.00094139i,-0.0016474-0.0017569i,-0.0021306+0.0044188i,0.0021212+0.0035433i,-0.034895+0.0031511i,-0.076456-0.014396i,-0.048383+0.029689i,-0.034754+0.029836i,-0.029112+0.051397i,-0.026115+0.019216i,0.0085987+0.025924i,-0.0068433+0.0047604i,-0.042506-0.011462i,-0.058426-0.0030004i,-0.0037671+0.025833i,-0.0035902+0.0020284i,0.00014462-0.0003113i,-0.0061965-0.010892i,0.0049774+0.010984i,0.0040307+0.021244i,-0.00068513+0.0022723i,0.0023382-0.0081231i,0.0031523+0.0028176i,0.0025022-0.010819i,0.010327-0.0019248i,0.0052055+0.0025186i,-0.0066123+0.0051505i,0.010957+0.0075051i,0.010009+0.0038841i,0.011287+0.0019739i,0.0013344+0.0013981i,0.0022963-0.0073933i,-0.00043895-0.011019i,0.0013515+0.0013854i,-0.034164+0.012068i,-0.0028331-0.007722i,-0.0022644-0.00068595i,0.0068461-0.0048546i,0.0018934+0.00013407i,-0.0050874-0.012445i,0.00085543-0.0012963i,0.0055564+0.0015817i,0.0042915-0.0015733i,0.0034995-0.0056563i,-0.0086503+0.0017296i,-0.0050909+0.0016885i,-0.0057675-0.00088653i,-0.004687-0.0066736i,-0.010316-0.00199i,-0.051847+0.028639i,-0.022463+0.015595i,-0.014933-0.010091i,-0.0069568+0.0033805i,0.0037939+0.02249i,-0.007057+0.015364i,-0.0029371+0.0060246i
-0.022028+0.031701i,-0.011679+0.058606i,0.024225+0.044003i,0.00263+0.012528i,-0.0048764+0.0023612i,0.031505+0.00036605i,0.0089744+0.018893i,0.0040151+0.050472i,0.0028003+0.019495i,-0.005065+0.0040612i,0.00032498+0.0014111i,0.0051092-0.0034407i,0.0033482-0.0016388i,0.0040541-0.00078459i,0.004113-0.00067286i,0.0069614+0.0017859i,0.014586-0.0033931i,-0.0015829-0.0016877i,-0.0056706-0.00026945i,-0.00090381+0.0025213i,-0.001113+0.0001453i,-0.0039112-0.0024618i,-0.0029911+2.0488e-05i,0.0019424+0.0089608i,0.00074616+0.0041941i,0.0019766+0.0013635i,0.0010008+0.0019599i,-0.0020492+0.0025102i,0.00016668+0.0015269i,-0.00071862+0.00063942i,0.0021504-0.0025313i,-0.00026063-0.0022503i,-0.00063688-0.00049882i,0.00017086+8.9612e-05i,0.0016239-0.0020184i,-0.012344+0.011078i,0.0030591+0.0012026i,0.00095129-4.9641e-05i,-0.0010681+0.0021446i,0.00019015-0.0052963i,-0.0016305-0.00049757i,-0.0019174-0.0016396i,-0.0014819+0.0053924i,0.0034224+0.0031762i,-0.033908+0.0092717i,-0.078258+0.0019678i,-0.045728+0.033259i,-0.027305+0.032925i,-0.014952+0.052322i,-0.020513+0.026702i,0.010888+0.017009i,-0.0050953-0.0017156i,-0.040217-0.0048672i,-0.053491+0.0077242i,0.0028179+0.025416i,-0.0040138+0.0032343i,-0.0023217+0.0013756i,-0.010657-0.0074695i,0.0089561+0.006841i,0.0083513+0.019217i,-0.00323+0.0039129i,-0.0015597-0.010871i,0.0062296+0.0012956i,-0.0027435-0.0093339i,0.0074051-0.0059518i,0.0069037+0.00019681i,-0.0048098+0.0073697i,0.015058+0.0016807i,0.011356-0.0019988i,0.010399-0.003528i,0.0029843+0.0005294i,-0.00043695-0.0079517i,-0.0050258-0.0067123i,0.0029903+0.00028144i,-0.026913+0.026875i,-0.0046582-0.0065187i,-0.00069913+0.0006497i,0.0032568-0.00765i,0.0029391-0.00012537i,-0.010344-0.0097526i,0.0007916-0.00060999i,0.0053839-0.0015635i,0.0030751-0.0028782i,0.0017629-0.0061983i,-0.0057444+0.0056262i,-0.0028487+0.0040054i,-0.0053806+0.0027933i,-0.0083596-0.0052795i,-0.0096808+0.00080662i,-0.045445+0.035944i,-0.013925+0.021997i,-0.019988-0.010321i,-0.0035638+0.0027405i,0.0063308+0.021347i,-0.0044259+0.019048i,-0.0024638+0.0021455i
