-0.026824-0.0051854i,-0.025073+0.0033016i,-0.016664-0.0071267i,-0.029127-0.013085i,-0.028597+0.0025049i,-0.039774-0.0047296i,-0.062255-0.029629i,-0.032505-0.01511i,-0.031185-0.0033366i,0.0056546+0.0042908i,-0.0041276+0.0081978i,-0.0049311+0.013685i,0.0062879+0.010443i,-0.0019138+0.0029621i,0.0051276+0.002943i,0.0062832+0.025485i,0.024566+0.024762i,0.0014232-0.00024723i,0.0014066-0.0050602i,0.0072314-0.0013306i,0.0054293+0.00074652i,0.0031444+0.00035172i,0.0019644-0.0010263i,-0.030744-0.00074883i,-0.0038091-0.0058045i,-0.00010366+0.002599i,0.0033381-0.0027774i,-0.00013301+0.00017193i,0.00030263+0.00064557i,-0.00074466-0.0028324i,-0.0031361-0.0018391i,-0.006414-0.0060804i,-0.0041244-0.0026339i,0.00024076-0.00011863i,0.0025709-0.0026415i,0.0028135+0.023341i,0.0015291-0.0024224i,0.00071373-0.0022253i,0.005196-0.0022756i,-0.0026551-0.0010056i,0.00058676+0.00090434i,0.0066494-0.0015064i,0.0028937-0.0019675i,-0.001913+0.0029589i,-0.015172+0.016478i,-0.031199+0.055119i,-0.002372-0.038174i,-0.014046-0.018312i,-0.037154-0.017486i,-0.026959-0.014458i,0.040805-0.0080137i,0.0085235-0.031563i,0.014084-0.040383i,-0.010649-0.031128i,0.025238-0.023016i,0.013546+0.0078131i,0.029216-0.032993i,-0.0021011-0.0053729i,0.0070168-0.008321i,0.00056897-0.005364i,0.0038505-0.036581i,-0.013658+0.03043i,0.0076328-0.011684i,-0.009768-0.0047434i,-0.0019975-0.0018874i,0.0012036-0.016135i,-0.0074093+0.005283i,0.0040447+0.0067798i,-0.0027347+0.030734i,0.0014867+0.00091051i,-0.0069302-0.0048507i,-0.0023066-0.0062662i,-0.014479-0.010571i,-0.0018628-0.0058864i,-0.034125+0.0071905i,-0.0047713-0.0082907i,-0.013213-0.0018498i,-0.010415-0.0058779i,0.0017318-0.0010765i,-0.013209+0.0024225i,-0.0021024+0.00076393i,0.005874+0.0073331i,0.0035292-0.0047071i,-0.013768-0.012646i,0.0070528+0.0090314i,-0.017856+0.0050975i,0.0048449-3.7094e-06i,-0.019766-0.0036462i,-0.01872-0.0048506i,-0.01648-0.035251i,0.021052-0.0085233i,-0.037989-0.024633i,-0.010309+0.0046003i,0.017261+0.015993i,-0.02316+0.017758i,-0.0037486-0.0044307i
0.0053009+0.014103i,0.009381+0.015118i,0.0042706+0.023988i,-0.007681+0.020578i,0.0011539+0.031493i,0.013911+0.022132i,-0.0078369+0.028878i,-0.0090207+0.021915i,0.013026+0.0093446i,0.0013241-0.0045447i,0.00044415-0.0015573i,0.0040536-0.0023987i,0.002793-0.0010724i,0.0012886-0.0037458i,-0.00036585-0.0014542i,0.005424-0.0053445i,-0.0035036-0.0056605i,-0.0027418+0.0021846i,-0.00083235+0.00036156i,0.0006932+0.002484i,-0.0022129-0.00099247i,0.00058309-3.9785e-05i,0.0024625+0.00057358i,-0.012243-0.006268i,-0.0011291-0.00037382i,-0.0018467+0.00064982i,-0.0027361+0.00093437i,-0.0023001+0.0015056i,-0.0025642+0.00021406i,0.00059342-0.00033853i,-0.0032793+0.0012543i,0.00036994-0.0015284i,-0.0014106-0.00075684i,-0.00019033-0.00043622i,-0.0017405+0.001417i,-0.0023802-0.0040323i,-0.0024204+0.0014153i,0.00089177+0.00053532i,-0.00031508+0.0026922i,0.0015035+0.0047758i,0.0003665+0.00027342i,-0.0015118-0.00055315i,-0.00056669-0.0026569i,0.0040632+0.0058219i,0.016971+0.0061686i,0.04779-0.058105i,-0.025954+0.0037185i,0.018703-0.02645i,-0.022704-0.03523i,-0.012723+0.0022362i,-0.034973+0.034644i,-0.022966+0.0054562i,-0.018452+0.006949i,-0.0024341-0.016497i,-0.039883-0.02231i,-0.0088925+0.0017597i,-0.028551+0.011325i,0.0027078+0.015613i,0.00079522+0.005616i,-0.0043192-0.0051917i,-0.00018414+0.0026509i,-0.013086-0.0058662i,0.0060156+0.012232i,-0.0019688+0.0079637i,-0.0021098+0.0036676i,0.0011517+0.0066146i,0.002101+0.0034178i,-0.0025187+0.019623i,0.0021403+0.015621i,0.0054501-0.006468i,0.012275-0.0051859i,0.0087823+0.0040369i,-0.0033116-0.0060212i,0.00013866-0.0015377i,0.018188-0.032534i,0.0085993+0.0046654i,0.0081715-0.00069824i,0.002171-0.00045983i,0.0060171-0.0085757i,0.022183+0.00010489i,0.0058006-0.0036924i,0.0015311-0.0083579i,0.004897-0.003467i,0.016806+0.0024306i,0.0069173+0.0029747i,0.0042913-0.0037098i,0.0098859+0.0090433i,-0.0013074+0.0055208i,0.009882+0.012676i,-0.013903-0.012711i,-0.0094318+0.0010862i,-0.0077986-0.014021i,-0.0092935-0.0041841i,-0.039952+0.0048269i,-0.0068093+0.0033049i,-0.012176-0.00034406i
0.0076086+0.012649i,0.011164+0.01201i,0.0093092+0.01996i,-0.0044275+0.01984i,0.0058926+0.028809i,0.017045+0.019005i,-0.0038732+0.029491i,-0.0050186+0.022539i,0.013227+0.0037794i,-0.00017206-0.0046447i,0.00043824-0.00066237i,0.0031694-0.0037788i,0.0020892-0.0024115i,0.0011225-0.0035656i,-0.0009244-0.0010347i,0.0021561-0.0050511i,-0.0062624-0.0033633i,-0.0017137+0.0029222i,0.00025646+0.00067574i,0.0017499+0.0018196i,-0.0017902+0.00045194i,0.001089+0.00028898i,0.0028251-0.00040215i,-0.01236-0.0017994i,-0.0008536+0.00013842i,-0.0016398+0.0013389i,-0.0019052+0.0020215i,-0.0013322+0.0020383i,-0.0020909+0.00082708i,0.00078084-0.00022789i,-0.0024712+0.0026217i,-0.00075943-0.00093837i,-0.0017963-3.888e-05i,-0.0010741-0.0003989i,-0.0024966+0.0013651i,-0.00125-0.0027265i,-0.0014073+0.0021753i,0.00064862+7.5614e-05i,4.926e-05+0.0029267i,0.0026746+0.0030072i,0.00054492+3.4438e-05i,-0.0019489-0.00014856i,-0.0015385-0.0025329i,0.0056665+0.0044426i,0.017728-0.00014636i,0.025759-0.06935i,-0.019947+0.011892i,0.00857-0.034858i,-0.034378-0.02727i,-0.010087+0.0056988i,-0.022769+0.040956i,-0.018896+0.011838i,-0.0075286+0.002499i,-0.0047379-0.015388i,-0.045512-0.0067856i,-0.0087971+0.0020903i,-0.0238+0.022741i,0.006639+0.011092i,0.0016979+0.0037009i,-0.0093426-0.0069194i,-0.0028865+0.0054904i,-0.013411+0.0019043i,0.011198+0.0085474i,-0.00011708+0.010579i,-0.00060633+0.0040498i,0.0036783+0.0072322i,0.0032131+0.00337i,0.0056428+0.015878i,0.00748+0.0094954i,-0.0015635-0.0091453i,0.0059632-0.006975i,0.008427+0.0020902i,-0.0060938+8.4098e-05i,-0.00037492+0.00066947i,0.003764-0.032285i,0.010774+0.0023954i,0.0089208-0.0038342i,0.0038042-0.0016375i,0.0009214-0.0061988i,0.020626-0.0096037i,0.0029412-0.0052647i,-0.0026239-0.0070312i,0.00091391-0.0033138i,0.014213-0.0036684i,0.0080594+0.0016978i,0.0036182-0.0024544i,0.012367+0.0048932i,0.00030185+0.0062889i,0.012042+0.0078253i,-0.019147-0.010444i,-0.0047539-0.012232i,-0.0074274-0.012052i,-0.0085841-0.002377i,-0.034721+0.019076i,-0.0047183+0.0048967i,-0.01029+0.0023572i
0.010501+0.010742i,0.012595+0.0091945i,0.012085+0.015168i,-0.0017557+0.018913i,0.011547+0.026463i,0.01983+0.01522i,0.00080562+0.029515i,-0.00088391+0.022359i,0.010826-0.00020815i,-0.0016259-0.0041821i,0.0013043-0.00032452i,0.00074535-0.0045474i,0.0010387-0.0028011i,0.00010268-0.0037157i,-0.0011721-0.00055381i,-0.00062228-0.0031704i,-0.0070831-7.9958e-05i,-0.00019607+0.0033233i,0.0010647-0.00034261i,0.0025682+0.00071689i,-0.00084267+0.00093005i,0.0019161-0.00027386i,0.0026849-0.0015573i,-0.01192+0.0013776i,-0.00071912+0.00057964i,-0.00073232+0.0022393i,-0.00052789+0.0022202i,-0.00014295+0.0022697i,-0.0015271+0.0013102i,0.00060382-0.00088588i,-0.0011962+0.0033311i,-0.0011376-3.3588e-05i,-0.0016959+0.00096652i,-0.0015797+0.00024264i,-0.0020588+0.0028308i,-2.3884e-06-0.0031558i,-0.0004681+0.002259i,0.00041754-0.00024131i,0.0020815+0.0022295i,0.0028287+0.0016448i,0.00049589-0.00015704i,-0.0014317+0.0008953i,-0.0024953-0.0021161i,0.0063411+0.0016884i,0.016256-0.0053544i,0.001742-0.069691i,-0.0090672+0.015386i,-0.0034273-0.037079i,-0.038612-0.017891i,-0.0043724+0.0072444i,-0.007236+0.042068i,-0.0069683+0.014006i,-0.0063437-0.0045559i,-0.0062326-0.014094i,-0.043012+0.0082226i,-0.0082046+0.0038597i,-0.011949+0.030136i,0.0079619+0.0065333i,-2.0404e-06+0.00079275i,-0.017669-0.0033251i,-0.001661+0.0069649i,-0.0094298+0.006839i,0.012483+0.0015659i,0.0039103+0.011065i,-0.0014152+0.0048018i,0.0051023+0.005006i,0.0048256+0.0015297i,0.0082267+0.0094099i,0.0073356+0.0039907i,-0.0080257-0.0041189i,0.0035491-0.0061515i,0.0099278+0.00052784i,-0.0019463+0.0073674i,0.0021224+0.0021137i,-0.0061905-0.027438i,0.012363-0.0029676i,0.006226-0.0069302i,0.0025035-0.0035202i,0.00064726-0.004278i,0.013251-0.016464i,-0.00046845-0.0022948i,-0.0055388-0.0039465i,-0.00045869-0.00033487i,0.0097352-0.0073831i,0.010743-0.0024563i,0.0046843-0.0039173i,0.014739-0.00098623i,0.0042099+0.0055533i,0.012366+0.0031061i,-0.021921-0.0029945i,-0.015182-0.020448i,-0.0064794-0.014118i,-0.0065375-0.0023716i,-0.024485+0.025779i,-0.0044039+0.00035316i,-0.0075805-0.0015796i
0.013213+0.0073615i,0.013732+0.0063221i,0.013155+0.010381i,0.001098+0.018494i,0.016623+0.02128i,0.022048+0.010562i,0.0060975+0.028626i,0.0033194+0.021181i,0.00821-0.0013585i,-0.0027723-0.0032375i,0.0018971-0.0012762i,-0.0012872-0.0033604i,-9.4423e-05-0.0029242i,-0.0013034-0.0027756i,-0.0014998-0.00011199i,-0.0012102-0.00025328i,-0.0057848+0.0031141i,0.0011562+0.0027046i,0.0007077-0.00076231i,0.0025511-0.00078115i,-7.6447e-05+0.00084141i,0.0022559-0.0012938i,0.0020734-0.002676i,-0.010874+0.0048479i,-0.00015896+0.00058906i,0.00094836+0.0015255i,0.0005039+0.0017318i,0.00098787+0.0017357i,-0.00077017+0.0018644i,0.00010064-0.00070971i,0.00012612+0.0033278i,-0.0012272+0.00062604i,-0.0012064+0.0016612i,-0.0014973+0.0012175i,-0.00055696+0.003098i,3.6056e-05-0.0049929i,0.00070759+0.0022449i,0.00013849-0.00029679i,0.0020939+0.00017785i,0.0027182+0.00075741i,0.00055758-0.00043517i,-0.00058501+0.00093864i,-0.0031914-0.0012532i,0.0046079-0.001833i,0.014038-0.0090706i,-0.017843-0.058233i,1.09e-05+0.011664i,-0.014084-0.034332i,-0.042306-0.0085632i,0.0010405+0.0047458i,0.0056968+0.036629i,0.0022556+0.0068465i,-0.0066759-0.0056885i,-0.0062583-0.011379i,-0.035715+0.018557i,-0.0069322+0.0056764i,0.00037799+0.029549i,0.0082859+0.0029106i,-0.0036605+0.0015265i,-0.020973+0.0068887i,-0.0011766+0.0088608i,-0.0048557+0.0079279i,0.0090045-0.0045293i,0.0081239+0.0096384i,-5.1541e-05+0.0072216i,0.0044014+0.0045812i,0.0055797-0.0019021i,0.0069028+0.0038375i,0.0043113+0.0014277i,-0.0067872+0.0010396i,0.0014313-0.0057102i,0.0095774-0.0023136i,0.0064997+0.0078175i,0.003532+0.00061938i,-0.011189-0.02104i,0.0092211-0.007322i,0.0032248-0.0083467i,0.0016576-0.0027549i,-0.00034959-0.0048041i,0.0053354-0.017633i,0.0023486-0.00099614i,-0.006179-0.00035569i,0.0018763+0.0014785i,0.0058959-0.0074981i,0.0083457-0.0077727i,0.0026513-0.005117i,0.011049-0.0086019i,0.0050789+0.0019643i,0.012087-0.0020457i,-0.016869+0.005153i,-0.027004-0.018153i,-0.0106-0.018102i,-0.006308-0.0048296i,-0.016155+0.026921i,-0.0093758-3.2809e-05i,-0.011447-0.0016643i
0.01427+0.0033716i,0.013858+0.0030257i,0.012571+0.0063882i,0.0042565+0.017418i,0.019438+0.015363i,0.022746+0.0056342i,0.011417+0.026077i,0.0069818+0.018964i,0.0070157-0.0014733i,-0.0032429-0.002041i,0.0011215-0.0021696i,-0.001937-0.0018136i,-0.0011017-0.0027485i,-0.0013087-0.0015244i,-0.0014699+0.00053905i,-0.00011556+0.0016878i,-0.0034012+0.0051359i,0.0017371+0.0018135i,0.00062536-0.00072579i,0.0017547-0.001831i,7.5369e-05+0.00044351i,0.0017147-0.002257i,0.00084149-0.003305i,-0.0074697+0.0073031i,-2.5499e-05+0.00011582i,0.0010449-6.4751e-05i,0.0011263+0.00086704i,0.0016205+0.00082265i,0.0002948+0.0019217i,0.00046434-0.00047135i,0.0011348+0.0029704i,-0.00083075+0.00094576i,-0.00047439+0.0021966i,-0.00095792+0.0018903i,0.00012657+0.0028215i,-0.0016285-0.0065838i,0.0015613+0.0015185i,3.2673e-05-8.0702e-05i,0.001133-0.00035149i,0.0023282+0.00035236i,0.00033942-0.00080711i,-0.0002343+0.00068468i,-0.0032549-0.00019749i,0.0015271-0.0015645i,0.011363-0.011399i,-0.023636-0.042498i,0.0044905+0.0058476i,-0.023215-0.027923i,-0.043643+0.0031173i,0.0036013-0.00047149i,0.014822+0.02803i,0.0053981-0.0010257i,-0.0059707-0.0075077i,-0.0044705-0.011479i,-0.028527+0.025695i,-0.0045863+0.0065943i,0.012074+0.024368i,0.0075369-1.1065e-05i,-0.0054322+0.0051649i,-0.0181+0.015351i,0.0016564+0.0101i,-0.00090046+0.008994i,0.0026499-0.0050485i,0.011052+0.0064984i,0.0028545+0.0081774i,0.005155+0.0048317i,0.0045976-0.0046799i,0.0034911+0.0037485i,0.0020269+0.0025811i,-0.0054301+0.0033332i,0.00016326-0.0042278i,0.0082509-0.0051411i,0.010139+0.0022473i,0.0035918-0.0012438i,-0.0139-0.018578i,0.005227-0.0092275i,-0.0003109-0.0087043i,0.0028579-0.0024505i,-0.0019052-0.0034387i,-0.00041533-0.016044i,0.0029791-0.0031298i,-0.0041646+0.0028179i,0.0043418+0.00023551i,0.0043882-0.0075952i,0.0036386-0.011557i,0.0019727-0.0052392i,0.004625-0.011461i,0.0036897+7.0732e-05i,0.0079927-0.0072369i,-0.010017+0.0063407i,-0.036952-0.0077133i,-0.016343-0.017927i,-0.0079897-0.0071975i,-0.0096589+0.026661i,-0.013067+0.003903i,-0.011597+0.0025227i
0.014083-0.00042492i,0.013135+0.00035272i,0.011339+0.0038802i,0.0071679+0.015474i,0.01995+0.009392i,0.022901+0.0012097i,0.016073+0.022023i,0.0098177+0.016187i,0.0068576-0.0019118i,-0.0034007-0.0013158i,-0.00033154-0.002327i,-0.0018863-0.00060236i,-0.0022841-0.0021622i,-0.0010151-0.0013787i,-0.0013549+0.0010142i,0.0014579+0.0023454i,-0.00040568+0.00579i,0.0020713+0.0010738i,0.00014035-0.00092928i,0.00067922-0.0022863i,0.00057238+0.00037107i,0.00097257-0.0029119i,-0.00026676-0.0032332i,-0.00509+0.0073794i,-0.00014532+0.00011549i,0.00021377-0.00081909i,0.001185-7.9136e-05i,0.0018064-0.00035417i,0.00122+0.0013139i,0.00056643-0.0010337i,0.0021105+0.0024418i,-0.00038143+0.0009909i,0.00056078+0.0022559i,-0.00017745+0.0020126i,0.00072457+0.0027117i,-0.0041027-0.0071905i,0.0018394+0.00037072i,0.00016744-4.8661e-05i,0.00066816-0.0003881i,0.0020914+0.00033355i,-0.00012041-0.00065046i,-0.0001611+0.00067758i,-0.002852+0.00044589i,0.00026481+1.8645e-06i,0.0087393-0.012287i,-0.021533-0.034073i,0.0057617+0.0010823i,-0.027915-0.017669i,-0.038549+0.017114i,0.00057324-0.0054298i,0.018779+0.0188i,0.0058812-0.0078048i,-0.0058962-0.0081719i,-0.0057457-0.011739i,-0.020475+0.030248i,-0.0039944+0.007307i,0.017681+0.011927i,0.0064518-0.0029433i,-0.0041271+0.0090937i,-0.010885+0.022009i,0.0046101+0.0087625i,0.0042252+0.006792i,0.00034564-0.0021829i,0.013512+0.0017312i,0.0057558+0.0078785i,0.0064539+0.0039018i,-0.00016933-0.0076804i,0.0035446+0.0062174i,0.002957+0.0043417i,-0.002979+0.0069055i,0.00072096-0.0033995i,0.0062523-0.0065675i,0.010314-0.0028528i,0.0030388-0.0031813i,-0.020076-0.016298i,0.0015489-0.0097281i,-0.0040974-0.0075192i,0.0016568-0.0039438i,-0.002097-0.0015519i,-0.0034617-0.012527i,0.001567-0.00447i,-0.0012441+0.0037621i,0.0046939-0.0032985i,0.0016058-0.0084266i,-0.0033688-0.011629i,0.00055497-0.0067773i,-0.00033702-0.009982i,0.0033426-0.0014178i,0.0022852-0.0076511i,-0.0065686+0.0054346i,-0.03433+0.0089865i,-0.022052-0.015509i,-0.01067-0.0073048i,-0.0054455+0.026168i,-0.011772+0.0098176i,-0.0069032+0.0038693i
0.013037-0.0037475i,0.012241-0.0016212i,0.010249+0.0023569i,0.0092486+0.012735i,0.018867+0.0049104i,0.022409-0.0035419i,0.01943+0.017075i,0.011777+0.01321i,0.0069802-0.0024479i,-0.0036855-0.00045282i,-0.0014289-0.0014699i,-0.0010767+0.00023226i,-0.0030862-0.00096632i,-0.0015069-0.0017738i,-0.0012087+0.0014968i,0.0027277+0.002169i,0.0022498+0.0050222i,0.0020996+0.00046025i,0.00015629-0.00068701i,-0.00028658-0.0020364i,0.00092199-3.0445e-05i,-7.4196e-05-0.0033025i,-0.0011773-0.0028024i,-0.0035714+0.0084009i,-2.1565e-05-0.00015477i,-0.00062691-0.0007332i,0.00083793-0.00078546i,0.0012056-0.0015019i,0.0016168+0.00020096i,-5.0681e-05-0.001788i,0.0029094+0.0014873i,0.00017799+0.0011934i,0.0016733+0.0016735i,0.0006256+0.0017705i,0.0015303+0.0018745i,-0.0071082-0.0066841i,0.0016209-0.00050017i,0.0002018-0.0003168i,0.00046919-0.00059969i,0.0021771+0.00017948i,-0.00023159-0.0003645i,0.00015363+0.00069293i,-0.0026312+0.00062537i,0.00031486+0.00091205i,0.007532-0.013387i,-0.021888-0.033051i,0.0063381-0.0023476i,-0.026454-0.0085581i,-0.027689+0.026966i,-0.0022938-0.0058653i,0.020845+0.011508i,0.0033629-0.013701i,-0.0058443-0.0091652i,-0.0061519-0.010148i,-0.012445+0.033442i,-0.0016488+0.0077331i,0.012923+0.001002i,0.0034343-0.0055839i,-0.00088027+0.010971i,-0.0025374+0.022882i,0.0059838+0.0064739i,0.0058128+0.0023245i,0.00098614-0.00053218i,0.013295-0.0028698i,0.010234+0.0057014i,0.0075513+0.003273i,-0.004283-0.003313i,0.0064185+0.0069698i,0.0048333+0.0046464i,0.0013398+0.007623i,-4.1591e-05-0.0038582i,0.0043024-0.0080386i,0.0085542-0.0091307i,3.9233e-05-0.0039233i,-0.026048-0.00909i,-0.0018255-0.0091004i,-0.0064816-0.0039658i,0.0011695-0.0022863i,-0.0018768-0.00082699i,-0.0047029-0.011727i,-0.00043083-0.0053671i,0.00076445+0.0023071i,0.002101-0.0049529i,-0.00068081-0.0077877i,-0.0076088-0.0073342i,-0.0029298-0.0069441i,-0.0040904-0.0082248i,0.0017653-0.0027322i,-0.00047464-0.0051898i,-0.0031395+0.0045173i,-0.026067+0.01124i,-0.022656-0.010785i,-0.012905-0.0062546i,-0.00013082+0.02417i,-0.0093421+0.012043i,-0.0054172+0.0023502i
0.011327-0.0064336i,0.011538-0.0030943i,0.0096005+0.0016136i,0.010589+0.010201i,0.017173+0.001817i,0.020633-0.0079547i,0.021574+0.011882i,0.013165+0.010274i,0.0073365-0.0036989i,-0.0036056+0.00055637i,-0.0015609-0.00028155i,-0.00021573+1.456e-05i,-0.0032555+0.00047957i,-0.0027854-0.0011807i,-0.00074678+0.0020628i,0.0037667+0.0010926i,0.0040288+0.0035396i,0.0021888-0.00010173i,0.00018279-0.00071855i,-0.00070351-0.001374i,0.0010269-0.00061783i,-0.0011544-0.0028853i,-0.0017917-0.0022018i,-0.00036535+0.0089048i,-0.00041488-0.00036296i,-0.00098228-0.0003612i,0.00013609-0.0012955i,2.0335e-05-0.0021667i,0.0013439-0.00092689i,-0.0009965-0.0019262i,0.0030805+0.00025904i,0.00091988+0.00061388i,0.0020585+0.00057046i,0.0010765+0.0012438i,0.0015581+0.00093802i,-0.0097697-0.0044216i,0.00097808-0.0013163i,-0.00011831-0.00044809i,-6.5146e-05-0.0010683i,0.0024142+1.8219e-06i,-0.00016969-0.00018533i,0.00044162+0.00059025i,-0.0026988+0.00073188i,0.00075493+0.0016233i,0.0056818-0.015427i,-0.027501-0.031439i,0.0049706-0.0064264i,-0.024602-0.0020195i,-0.015471+0.030148i,-0.0053885-0.0057584i,0.022348+0.0038547i,6.8746e-05-0.016344i,-0.0067111-0.0097532i,-0.0054155-0.0079456i,-0.0025695+0.034456i,0.00086181+0.0069389i,0.0076211-0.00066172i,-1.4975e-05-0.0061102i,0.0036419+0.012175i,0.0045457+0.020294i,0.0061005+0.0039376i,0.004567-0.0016401i,0.00047282+0.00013848i,0.01071-0.008106i,0.012703+0.00093373i,0.0090817+0.0017029i,-0.0041739-0.00033965i,0.0095057+0.0061432i,0.0071499+0.0043566i,0.0059987+0.0056183i,-0.00077206-0.0033417i,0.0025077-0.0092395i,0.003247-0.012543i,-0.0011547-0.002042i,-0.028298+0.0010302i,-0.0041428-0.007778i,-0.0064552-6.3518e-05i,0.0017706-0.0016857i,-0.0019472-0.00030277i,-0.0078006-0.011324i,-0.0031173-0.0048356i,0.002129+0.0013855i,-4.8912e-05-0.0050898i,-0.0014688-0.0069766i,-0.0094406-0.0034654i,-0.0060787-0.0042478i,-0.0072815-0.0053568i,0.00071842-0.0033133i,-0.0012653-0.0037416i,-0.00068312+0.003138i,-0.024241+0.012412i,-0.021969-0.0085894i,-0.014903-0.0043941i,0.0019924+0.022618i,-0.0077059+0.012661i,-0.0043974+0.001596i
0.0093047-0.0083354i,0.011057-0.0047881i,0.0097505+0.00079722i,0.011413+0.007647i,0.016204+5.2651e-06i,0.017986-0.011508i,0.022317+0.0060527i,0.013975+0.0072185i,0.0070663-0.0055586i,-0.0032639+0.0013502i,-0.0012734+0.0001989i,-0.00026205-0.00080771i,-0.0028477+0.0018044i,-0.0030883+9.7187e-05i,-6.5998e-05+0.002346i,0.0036962-0.00036712i,0.0046669+0.0014732i,0.0017824-0.0007795i,-2.1693e-05-0.00060283i,-0.00063228-0.00096728i,0.00093871-0.0012778i,-0.0016607-0.0022252i,-0.0021029-0.0015124i,0.0027541+0.0076357i,-0.00076626-0.0002952i,-0.0013537+1.4663e-05i,-0.00086302-0.0013992i,-0.0013063-0.0020284i,0.00056924-0.0018334i,-0.0019234-0.0015622i,0.0027698-0.00078361i,0.00072761+3.1962e-06i,0.0018192-0.00030722i,0.0012829+0.00075351i,0.0013527+0.0005657i,-0.01102-0.0011143i,-0.00016353-0.0016886i,-0.0003477-0.00035468i,-0.00081005-0.0011095i,0.0026126-0.00041074i,-0.00013044-6.5076e-05i,0.00071883+0.00031905i,-0.0028453+0.0012038i,0.0015858+0.0018903i,0.0023292-0.016577i,-0.034052-0.02341i,0.0028689-0.0089805i,-0.019002+0.0040106i,-0.0043146+0.030931i,-0.0074734-0.0019678i,0.021798-0.0046048i,-0.00034201-0.019305i,-0.006572-0.0089804i,-0.0028352-0.0054137i,0.0063162+0.031628i,0.0018509+0.0048533i,0.0045904-0.0017781i,-0.0037803-0.0054269i,0.0093253+0.0097905i,0.0083163+0.016337i,0.0045195+0.0023232i,0.0022821-0.0044556i,0.0019134+0.0029898i,0.0053448-0.011035i,0.012522-0.0054897i,0.009931-0.0010607i,-0.003994+0.0021965i,0.013101+0.0035863i,0.010343+0.0015313i,0.0078293+0.00091722i,-0.00085732-0.0029145i,-0.00037003-0.0098468i,-0.0038955-0.012624i,-0.00036564-0.00042658i,-0.026584+0.011295i,-0.0057612-0.0065041i,-0.0044034+0.0028348i,0.0024886-0.0043327i,-0.0016463+0.0011771i,-0.011531-0.008555i,-0.0055412-0.0020005i,0.0023786-0.00064877i,-0.0019701-0.0042096i,-0.0031501-0.0065088i,-0.0091297+0.0019558i,-0.0066006-0.00050136i,-0.0092589-0.0016893i,-0.0013529-0.0041698i,-0.0013301-0.0033641i,0.0011046+0.0019545i,-0.023323+0.018899i,-0.022459-0.0093905i,-0.014203-0.0015088i,0.0058584+0.021536i,-0.006639+0.014944i,-0.0029078-0.00044819i
0.0074486-0.0095521i,0.010273-0.0064972i,0.010073-0.00070529i,0.011694+0.0050757i,0.015776-0.0018294i,0.015216-0.014051i,0.021304+0.00079253i,0.014084+0.0043426i,0.0062265-0.0071975i,-0.0029732+0.0020156i,-0.0011481+0.00056215i,-0.0010447-0.0011085i,-0.0021009+0.002715i,-0.0029974+0.0013447i,0.00052398+0.0023497i,0.0026025-0.0012732i,0.0042196-0.00021205i,0.001431-0.0010234i,0.0001806-0.00044871i,-0.00049423-0.00085467i,0.00073485-0.0018579i,-0.0018041-0.001761i,-0.002058-0.00092278i,0.0046794+0.0059293i,-0.00099483-0.00029758i,-0.0015058+0.00077169i,-0.0017754-0.00092459i,-0.002232-0.0011594i,-0.00062946-0.0022541i,-0.0028235-0.00078163i,0.0021101-0.0015506i,0.00041264-0.00010442i,0.0013987-0.00091985i,0.0014063+0.00023594i,0.0010907+0.00031309i,-0.010964+0.0021801i,-0.0012683-0.0013638i,-0.00053017-0.00031501i,-0.0014367-0.00059979i,0.0026651-0.001129i,7.3963e-05+9.9657e-05i,0.00091473-6.6205e-05i,-0.0028284+0.0018512i,0.0023629+0.0016476i,-0.00046185-0.016204i,-0.033873-0.012608i,-0.0010437-0.010427i,-0.012459+0.0051049i,0.007076+0.028824i,-0.0060804+0.0028868i,0.01774-0.011707i,-0.0036937-0.024778i,-0.0046657-0.0089896i,0.0017718-0.0041543i,0.014156+0.025864i,0.0015986+0.0037408i,0.0012074-0.0016579i,-0.0060994-0.0027655i,0.01234+0.004098i,0.011444+0.013562i,0.0021623+0.0028556i,-0.0013416-0.0066587i,0.0058085+0.0017359i,-0.0001386-0.010444i,0.0082692-0.0098734i,0.0096086-0.0045325i,-0.0036535+0.0038825i,0.014974-0.0026472i,0.010158-0.004339i,0.0066783-0.0035887i,-0.0012417-0.0028718i,-0.0035904-0.0092551i,-0.0088336-0.0076321i,0.0010307-0.00098406i,-0.020064+0.022121i,-0.0074672-0.0047893i,-0.0014571+0.0038892i,-0.00047948-0.0055866i,-0.00016284+0.0015702i,-0.014247-0.0040357i,-0.0044883+0.0017448i,0.0011686-0.0023077i,-0.0037062-0.0027777i,-0.0047483-0.0049155i,-0.0059375+0.0050414i,-0.0048186+0.0020739i,-0.0091292+0.0031382i,-0.0044196-0.0033315i,-0.0021426-0.0030689i,0.0044581+0.001008i,-0.012811+0.024893i,-0.026771-0.0080741i,-0.012536-0.00086862i,0.007998+0.019131i,-0.0035242+0.016871i,-0.0035631-0.0040904i
