-0.0052492-0.040504i,-0.0095832-0.043989i,0.0047501-0.045689i,-0.0265-0.028949i,-0.021255+0.013164i,-0.031364-0.035719i,-0.059565-0.066271i,-0.019652-0.075199i,-0.03369-0.053048i,0.00021277+0.015173i,-0.00736+0.010996i,-0.016692+0.014427i,0.0012046+0.017429i,-0.0037971-0.0032671i,0.00021739+0.0070465i,-0.0012557+0.041915i,0.017501+0.062899i,0.00056374-0.00023753i,-0.0046721-0.0087506i,0.0095893+0.0058645i,0.0014444+0.0011471i,-0.0010673+0.0037327i,0.00050941-0.0013413i,-0.037192-0.010548i,-0.0023238-0.0074983i,-0.00013088+0.0050288i,0.0054291+0.00022278i,0.00058543+0.00075872i,-0.00023448-0.0012063i,-7.0828e-06-0.0022762i,-0.001522-0.0062228i,-0.0022839-0.0042687i,9.0726e-06-0.0083592i,0.0033898-0.0012607i,0.0032798-0.0022589i,-0.0034518+0.035149i,0.0063074-0.0038333i,0.0042448-0.0021014i,0.005096+0.00067187i,-0.014163-0.00507i,-6.5928e-05+0.0010152i,0.010045+0.00053393i,0.0062409-0.0015423i,-0.0049482+0.003463i,0.0030649+0.0022194i,-0.0038826+0.010972i,0.019285-0.086426i,-0.0044939-0.049266i,-0.023416-0.041242i,-0.018041-0.042331i,0.0665-0.01458i,0.03023-0.060325i,0.039584-0.04428i,0.030571-0.055904i,0.020251-0.01545i,0.0086418+0.010232i,0.025771-0.031485i,-0.0073774-0.0053239i,0.0027713-0.0021277i,-0.0044199-0.0057962i,0.0019537-0.033016i,-0.025649+0.03033i,0.0088801-0.01031i,-0.011398-0.0018632i,-0.0052336-0.00129i,-0.00049831-0.014956i,-0.0099111+0.0042248i,0.0032049+0.0083999i,-0.011821+0.031101i,0.0047559+0.0081445i,-0.0053416-0.0017379i,-0.0018432-0.0024062i,-0.011692-0.0079116i,0.00059277-0.0038762i,-0.035786+0.0034576i,0.0026527-0.012421i,-0.0090318-0.0026275i,-0.0066173-0.0029054i,0.0067631+0.0018085i,-0.0090857+0.0016123i,0.0011013+0.001043i,0.0054053+0.0096792i,0.0048936+0.00029773i,-0.0092905-0.0099084i,0.0021205+0.0088391i,-0.019331+0.0064675i,0.0068006+0.003655i,-0.028835-0.0094103i,-0.035354+0.0016994i,0.026873-0.077129i,0.013346-0.0098569i,-0.041857-0.028199i,-0.022204-0.0041373i,0.017839+0.013109i,-0.027205+0.011422i,-0.011138-0.0091078i
-0.022358+0.015147i,-0.026303+0.046492i,-0.012962+0.048244i,-0.0056295+0.018804i,-0.0013315-0.0016704i,0.017061+0.022445i,-0.0032577+0.032015i,-0.024091+0.04378i,-0.011017+0.021628i,-0.0050894-0.0019939i,-0.0017757+5.3641e-05i,0.0040041+0.0061474i,0.0035176+0.00036875i,0.0050474+0.003156i,0.0040577+3.0685e-05i,0.0068106+0.0078216i,0.012991+0.015759i,0.0016883+0.00070633i,-0.0030108-0.0053495i,-0.0051186-0.0014932i,-0.0027751-0.00051687i,-0.0015506-0.0057414i,-0.0040163-0.0027693i,-0.0080566+0.0072547i,-0.0028744+0.0016924i,-0.00016741+0.0027353i,-0.0014963+0.0019507i,-0.0008841-0.0014244i,-0.0017765+0.0011627i,-0.001188+0.00035817i,0.0048439+0.00092443i,0.0012093-0.00073927i,0.00077921-0.0003397i,-0.00033099+0.00020785i,0.0041791+0.0015907i,-0.01327-0.0038274i,0.00066921+0.0035361i,0.00058824+0.0018748i,7.1215e-05-0.0011315i,0.0025689-0.0050227i,-0.0025245-0.0013017i,-0.00044091-0.0011675i,-0.0040744+0.0054597i,0.00051062+0.0013009i,-0.034991+0.0023343i,-0.058044-0.016888i,-0.050936+0.028737i,-0.047357+0.013703i,-0.061683+0.03648i,-0.026984+0.0082472i,-0.0097659+0.039165i,-0.011901+0.0099749i,-0.040469-0.022648i,-0.058205-0.020403i,-0.013771+0.026257i,-0.0038552+0.0024635i,0.011837-0.0025964i,0.0062023-0.0089919i,-0.0047934+0.0080343i,-0.010353+0.028654i,0.0035782+0.0032489i,0.0081798+0.0006827i,0.0028157+0.0011966i,0.010772-0.0041272i,0.0051451+0.0073232i,0.0013929+0.0020329i,-0.0076357-0.0030815i,0.0023333+0.0066298i,0.0029791+0.0056681i,0.0037444+0.011063i,-0.0008192+0.00068518i,0.0046813-0.0050792i,0.010016-0.0043698i,0.00086621-0.0014076i,-0.029731-0.015976i,0.0021381-0.0094566i,-0.0018978-0.0042197i,0.0049608-0.00019392i,0.0013879-0.00021468i,0.0020367-0.010146i,0.0033676-0.00080941i,0.0012995+0.0043278i,0.0035787+0.00086431i,0.0034466-0.0039594i,-0.0074237-0.0065919i,-0.0022959-0.0040403i,-0.001742-0.0052611i,0.00075841-0.0064084i,-0.0093815-0.0096236i,-0.062935+0.013915i,-0.022226+0.0090752i,-0.012809-0.0071678i,-0.0085856+0.00053314i,-0.0002793+0.024048i,-0.0078192+0.011327i,-0.0068279+0.0081634i
-0.020098+0.017115i,-0.018276+0.050812i,-0.0055657+0.052003i,-0.0044116+0.017051i,-0.00533-0.0011175i,0.020443+0.018767i,0.0022835+0.030067i,-0.017711+0.047665i,-0.0074419+0.02209i,-0.0053722-0.00028112i,-0.00057578+0.0018445i,0.0074463+0.0038169i,0.0035802+0.00059379i,0.0046732+0.0016572i,0.0041543-0.00028916i,0.0094586+0.0043307i,0.016733+0.0094804i,0.0020347-0.00031211i,-0.0042004-0.0046852i,-0.0047311+0.00085532i,-0.0019885+0.00019091i,-0.0030708-0.0048238i,-0.0041728-0.0016771i,-0.0051827+0.0092907i,-0.0024325+0.0030294i,0.0010146+0.0028032i,-0.00094407+0.002489i,-0.0028976-0.00098782i,-0.001788+0.0015535i,-0.00097964+0.00055119i,0.0044047-0.00082344i,0.0012024-0.0014557i,0.00044302-0.00083582i,-0.00021815+0.00052136i,0.0035999-0.00028328i,-0.014368+0.00072057i,0.0016114+0.003477i,0.00092968+0.0014786i,-0.0010737-0.0010342i,0.0016542-0.0046931i,-0.0022144-0.00086743i,-0.00055254-0.0012189i,-0.0036076+0.0058713i,0.001077+0.0016879i,-0.034011+0.0070001i,-0.060596-0.012028i,-0.046745+0.033765i,-0.042225+0.021828i,-0.047952+0.04602i,-0.027721+0.011924i,-0.0015373+0.033855i,-0.010953+0.0077491i,-0.041551-0.018081i,-0.059235-0.010882i,-0.0074925+0.026708i,-0.0029722+0.0028447i,0.0047595-0.0041749i,0.00096035-0.010947i,-0.001362+0.011285i,-0.00011219+0.027107i,0.0027964+0.0016453i,0.0067448-0.0045259i,0.0025915+0.00090354i,0.0077115-0.0078024i,0.0089438+0.0042957i,0.0031514+0.0027815i,-0.0073825+0.00088256i,0.0052932+0.0078534i,0.0056438+0.0063305i,0.0092761+0.0083235i,-0.00014181+0.0012113i,0.0039248-0.0061766i,0.0061607-0.0088976i,0.00030987+0.00014786i,-0.034856-0.0039021i,0.00011569-0.0091632i,-0.0026284-0.0022678i,0.0059798-0.0010652i,0.0013778-0.00027109i,-0.00015676-0.012278i,0.0020849-0.001647i,0.0032051+0.0037097i,0.0042458-0.00039633i,0.0041893-0.0047493i,-0.0092108-0.0033097i,-0.0046322-0.002114i,-0.0044258-0.0027597i,-0.0012331-0.0068353i,-0.010862-0.0051863i,-0.058513+0.019932i,-0.020935+0.010267i,-0.012391-0.0079638i,-0.0091611+0.0023125i,0.0011092+0.022483i,-0.0075423+0.012396i,-0.005209+0.0073172i
-0.017274+0.018913i,-0.0084746+0.053209i,0.0044751+0.054256i,-0.0038707+0.016822i,-0.0073627+0.0024247i,0.02341+0.014864i,0.0068305+0.026656i,-0.0088251+0.050373i,-0.0038775+0.022087i,-0.0052776+0.0012969i,0.00082026+0.0015337i,0.0079331-0.00044211i,0.0043574+0.00027519i,0.0045544+0.00080356i,0.00427-0.001037i,0.0092281+0.00025789i,0.017411+0.0031114i,0.00096012-0.0015264i,-0.005899-0.0030469i,-0.0032434+0.0022516i,-0.00095311+0.00015101i,-0.0038656-0.0038123i,-0.0041753-0.00042144i,-0.001506+0.0097573i,-0.00094492+0.0039896i,0.0019988+0.0020202i,7.0591e-05+0.0027132i,-0.0035326+0.00078877i,-0.0010273+0.0016942i,-0.00063294+0.00057827i,0.0034613-0.0021509i,0.00038316-0.0019007i,-2.222e-05-0.00091142i,-3.6182e-05+0.00040358i,0.002521-0.0014988i,-0.013252+0.0055095i,0.0023844+0.0028551i,0.0013434+0.0011054i,-0.0019678-0.00026946i,0.00072162-0.0045381i,-0.0025267-0.00066496i,-0.00082321-0.0013782i,-0.0031166+0.006991i,0.0018961+0.00182i,-0.032713+0.012378i,-0.06524-0.0025351i,-0.040794+0.037555i,-0.034547+0.027788i,-0.034423+0.05163i,-0.027261+0.019116i,0.0052078+0.026498i,-0.0066184+0.0056461i,-0.04189-0.012781i,-0.05756-0.00084975i,-0.002277+0.02667i,-0.0027966+0.0026768i,0.0001747-0.0039174i,-0.0048679-0.01049i,0.0046772+0.011398i,0.0062597+0.02276i,0.00057318+0.0010793i,0.0040512-0.0083428i,0.0037808+0.0022386i,0.003105-0.0094048i,0.010518-0.0012288i,0.0050302+0.0021266i,-0.0071262+0.004366i,0.0098507+0.0072374i,0.0097946+0.0041359i,0.012129+0.0027288i,0.0010193+0.0015736i,0.001974-0.007209i,-0.00033746-0.0098407i,0.0016414+0.0015278i,-0.035106+0.0094941i,-0.0020809-0.0089033i,-0.0020134-0.00024778i,0.0063138-0.005138i,0.0020098+2.4654e-05i,-0.0052004-0.013137i,0.0010471-0.0013692i,0.0046697+0.0016465i,0.003959-0.0013138i,0.0031244-0.0060062i,-0.0089572+0.001749i,-0.0045386+0.00097023i,-0.0053002-9.6112e-05i,-0.004005-0.0071428i,-0.011021-0.0012985i,-0.054823+0.025909i,-0.020469+0.015666i,-0.014866-0.010758i,-0.0063967+0.0043285i,0.0040687+0.021934i,-0.0075254+0.015301i,-0.003123+0.0051741i
-0.014049+0.019875i,0.0012318+0.052699i,0.015586+0.052521i,-0.0022962+0.017666i,-0.0063142+0.0063364i,0.026212+0.010331i,0.0097301+0.022784i,0.00042479+0.050199i,-0.00056318+0.021521i,-0.0048954+0.0028812i,0.0010746+0.001027i,0.0059501-0.0032993i,0.0046324-0.0012652i,0.0041566+5.9075e-05i,0.0039216-0.0019343i,0.0070483-0.0019111i,0.01646-0.0017998i,-0.00012997-0.0014151i,-0.0059505-0.00089716i,-0.0015686+0.0026463i,-0.00028097-0.00032802i,-0.0044753-0.0031159i,-0.0034801+0.00053293i,0.0015589+0.0092448i,0.00069947+0.0037358i,0.0023321+0.0013235i,0.0011009+0.0023972i,-0.0027852+0.002437i,-0.00037672+0.0014858i,-0.0007064+0.0007085i,0.0020477-0.0027174i,-0.00046579-0.001835i,-0.00029912-0.00070545i,-0.00022034+0.00024624i,0.0013598-0.0020503i,-0.010645+0.0092464i,0.0030445+0.0018076i,0.0013506+0.00043727i,-0.001887+0.0012117i,-0.00024213-0.0046533i,-0.0026761+0.00011757i,-0.0012654-0.0016123i,-0.0015675+0.0083379i,0.0028344+0.0012919i,-0.029796+0.017331i,-0.065333+0.011255i,-0.036894+0.040042i,-0.027399+0.030948i,-0.019658+0.054462i,-0.021722+0.027796i,0.0077018+0.017657i,-0.0043707-0.0010053i,-0.039183-0.0083405i,-0.052006+0.0093323i,0.0041966+0.025275i,-0.0028865+0.0033848i,-0.0039894-0.0017863i,-0.0093347-0.0075094i,0.0088942+0.0073408i,0.010121+0.01845i,-0.0023662+0.0026832i,-8.983e-05-0.011546i,0.005979+0.00032067i,-0.0014654-0.0085766i,0.007913-0.0053937i,0.0065469-0.00041514i,-0.0056143+0.0075593i,0.013769+0.0022837i,0.01116-0.0017467i,0.011283-0.0039214i,0.0028833+0.00091536i,-0.00068909-0.0075499i,-0.0043792-0.0063874i,0.0036342+0.00041588i,-0.028695+0.024554i,-0.0046317-0.0073386i,-0.00055247+0.00090404i,0.002524-0.0073735i,0.0025024-0.00041423i,-0.010905-0.010274i,0.0010318-0.00053532i,0.004746-0.00093055i,0.0032176-0.0023006i,0.0014479-0.0062152i,-0.0062424+0.0058858i,-0.0028635+0.0028594i,-0.0047068+0.0034601i,-0.0079591-0.0061074i,-0.010058+0.0014756i,-0.04907+0.03393i,-0.012676+0.021071i,-0.02018-0.010189i,-0.0029156+0.0029613i,0.0059393+0.020783i,-0.0044914+0.019072i,-0.0028793+0.0016316i
-0.010623+0.020155i,0.010188+0.050079i,0.025413+0.047814i,0.00015629+0.018944i,-0.0029306+0.009161i,0.028194+0.0044529i,0.01146+0.019836i,0.0092774+0.04783i,0.0026265+0.020799i,-0.0035587+0.0045208i,0.0011249+0.0012627i,0.0031643-0.0045667i,0.0031011-0.0028605i,0.0037535-0.00027803i,0.0032797-0.0026652i,0.0051312-0.0023575i,0.013815-0.0060483i,-0.0008988-0.00078262i,-0.0050009+0.00025176i,-0.00018848+0.0024802i,-0.00053493-0.0010696i,-0.0052458-0.0019398i,-0.002801+0.00071111i,0.0053372+0.0086341i,0.0010351+0.002704i,0.0026603+0.00075624i,0.0019711+0.0017447i,-0.0016652+0.0034683i,-0.00069181+0.0009055i,-0.00060109+0.00089458i,0.00087666-0.0029448i,-0.00086202-0.0014069i,-0.00029733-0.00063845i,-1.4238e-06+0.00086126i,0.00025615-0.0022097i,-0.0065308+0.011532i,0.0034192+0.00086389i,0.00098314+2.0522e-05i,-0.00078909+0.0026083i,-0.0015544-0.0044155i,-0.0022373+0.00076493i,-0.0019953-0.001338i,0.00056607+0.0088347i,0.002705+9.263e-05i,-0.025876+0.02171i,-0.060012+0.023288i,-0.033524+0.044738i,-0.020857+0.033135i,-0.0056093+0.052392i,-0.009998+0.032711i,0.006793+0.0090086i,-0.0073522-0.0085062i,-0.038092-0.0084599i,-0.042848+0.01531i,0.0092919+0.022127i,-0.0017381+0.0033689i,-0.0057569+0.0019646i,-0.012513-0.003256i,0.0098901+0.0017303i,0.012051+0.01486i,-0.0029596+0.008008i,-0.0066029-0.012528i,0.00608-0.0033385i,-0.0050072-0.0047267i,0.0043657-0.0077121i,0.005588-0.0026555i,-0.0012579+0.010383i,0.013282-0.0044139i,0.0074818-0.0067842i,0.0055154-0.0072288i,0.0034701-0.00075608i,-0.003136-0.0066119i,-0.0042297-0.0018059i,0.0030455-0.0013739i,-0.013227+0.036673i,-0.0057085-0.0055418i,0.0015886+0.00089772i,-0.00043435-0.0078448i,0.0031451-0.0012173i,-0.014387-0.0052518i,0.0015247-0.00043259i,0.003409-0.0029292i,0.002868-0.0020522i,0.00040275-0.0059049i,-0.0014772+0.0069251i,-0.00073977+0.0030961i,-0.0025697+0.0058547i,-0.011293-0.0021793i,-0.0089172+0.0030894i,-0.039699+0.038859i,-0.0079917+0.016735i,-0.023586-0.0056589i,-0.00042299-0.00075701i,0.009722+0.020095i,-0.0016384+0.020372i,-0.0061055-0.00069807i
-0.0079079+0.018858i,0.017736+0.045881i,0.033655+0.042595i,0.0044664+0.020772i,0.00169+0.0096253i,0.028563-0.0017627i,0.013114+0.016749i,0.017637+0.043329i,0.0056466+0.019646i,-0.0019842+0.0048733i,0.0017906+0.0012716i,0.00041679-0.0035704i,0.0016265-0.0028924i,0.0034937-0.0003447i,0.0024421-0.003205i,0.0039087-0.0020556i,0.010397-0.0088004i,-0.00028014-0.00034051i,-0.0048786+0.00097847i,0.0008222+0.0014026i,-0.0010136-0.0013752i,-0.0056844-0.0006741i,-0.0025469+0.00082154i,0.0094018+0.005062i,0.0013613+0.0033535i,0.0031091-0.00043443i,0.0021629+0.00073406i,-0.00022435+0.0037294i,-0.00089406+0.0015845i,-0.00044691+0.0011172i,-0.0003581-0.0027695i,-0.0015659-0.0013406i,-0.00078817-0.00059203i,0.00043954+0.00057336i,-0.00075545-0.00094482i,-0.0022871+0.01223i,0.0031679-0.0004814i,0.0009845-9.3472e-05i,0.00049419+0.0023791i,-0.0025675-0.0032703i,-0.001767+0.00095224i,-0.0024728-0.0004729i,0.0024672+0.0091313i,0.0017185-7.0334e-05i,-0.020302+0.025354i,-0.052412+0.032903i,-0.027762+0.050253i,-0.013311+0.034888i,0.0084281+0.047998i,-0.0003248+0.030542i,0.0017209+0.0026142i,-0.014677-0.012327i,-0.041786-0.0070405i,-0.034389+0.016443i,0.014279+0.018167i,-0.0021089+0.0035375i,-0.0046932+0.0064096i,-0.012803+0.0018003i,0.0083508-0.0019258i,0.014567+0.011925i,0.0013302+0.012089i,-0.012672-0.010424i,0.002329-0.0042704i,-0.0047838-0.0019199i,-0.00062804-0.0074856i,0.0039166-0.0046436i,0.0037179+0.0080798i,0.0091116-0.0080996i,0.0026087-0.0082227i,0.00193-0.0054852i,0.0042865-0.0017959i,-0.0045872-0.0048038i,-0.0024016+0.00083386i,0.0031362-0.0019585i,0.0063249+0.037169i,-0.0071015-0.0041195i,0.0022921-0.00099807i,-0.0040133-0.0069354i,0.003697-0.0019638i,-0.014243+0.00169i,0.0017803-0.00018691i,0.0018082-0.0027013i,0.0028111-0.0034933i,-0.0012495-0.0059482i,0.0009898+0.0038907i,0.00067131+0.0027054i,0.00068424+0.0067518i,-0.010938+0.001825i,-0.0083521+0.0044556i,-0.031683+0.040162i,-0.0050278+0.019662i,-0.025116-0.00043213i,-0.001315-0.0052467i,0.012587+0.019151i,0.0026843+0.02239i,-0.008373-0.00062675i
-0.0064651+0.017957i,0.023586+0.040537i,0.042272+0.034485i,0.011693+0.018922i,0.0067191+0.0081133i,0.027357-0.0082328i,0.013821+0.013434i,0.024693+0.037109i,0.0091706+0.018973i,-0.00097867+0.0049483i,0.0021729+0.00023129i,-0.00012888-0.0014692i,0.00014953-0.0029394i,0.003629-0.00090297i,0.0014826-0.0032591i,0.0029709-0.0017881i,0.0072502-0.010413i,-0.00023478-0.0006648i,-0.0047478+0.0025108i,0.00072976+6.9634e-05i,-0.0020075-0.0015125i,-0.0055399+0.0011241i,-0.0026241+0.0011442i,0.0097645-0.00034741i,0.0030145+0.0028702i,0.0024218-0.0017685i,0.002033+4.1289e-05i,0.0015228+0.0030598i,0.00018234+0.0019301i,-0.00029177+0.0014594i,-0.0014278-0.0020353i,-0.0022677-0.00015133i,-0.0009069-6.8855e-05i,0.00045658+6.5007e-05i,-0.00038016+1.3721e-05i,0.0013886+0.011688i,0.0024066-0.0012478i,0.00093858-0.00073i,0.0010724+0.0015342i,-0.0034476-0.002178i,-0.001626+0.0011281i,-0.0023726+0.000448i,0.005077+0.0091636i,0.0015218+0.00018813i,-0.013343+0.027513i,-0.043574+0.040418i,-0.019266+0.054824i,-0.0055271+0.03383i,0.020479+0.039436i,0.0079929+0.028478i,-0.005129+0.00062082i,-0.021826-0.010998i,-0.045707-0.0018195i,-0.02779+0.014499i,0.017486+0.012371i,-0.0023249+0.0040082i,-0.0025977+0.007843i,-0.012029+0.0057135i,0.0052512-0.0056949i,0.017269+0.0077787i,0.0069997+0.012522i,-0.016842-0.0059314i,0.00079515-0.0025155i,-0.004151+0.0002807i,-0.0030346-0.005194i,0.0015442-0.0049584i,0.0058215+0.0064212i,0.0057941-0.0088682i,-0.0022774-0.0067399i,0.001106-0.0036601i,0.0039835-0.0043526i,-0.0064416-0.0028406i,-0.00060983+0.00079033i,0.0018327-0.0027743i,0.022063+0.02815i,-0.0087909-0.0013774i,0.0022174-0.0020719i,-0.0042796-0.0044213i,0.0043759-0.0039704i,-0.010198+0.0068053i,0.0027944-0.00031754i,0.00038634-0.0030466i,0.0011144-0.0038285i,-0.0033979-0.0044331i,0.0002174+0.0030048i,0.0018651+0.0017384i,0.0039103+0.0058289i,-0.0096131+0.004327i,-0.007892+0.0065969i,-0.02536+0.040351i,0.002601+0.021063i,-0.024743+0.0038492i,-0.0038153-0.0088655i,0.01753+0.016097i,0.008726+0.023574i,-0.010015+0.0012581i
-0.0053352+0.017746i,0.027328+0.035396i,0.04721+0.023544i,0.016901+0.013211i,0.010757+0.003935i,0.024119-0.013783i,0.01391+0.011222i,0.029072+0.02977i,0.013371+0.016508i,-6.7292e-05+0.005316i,0.0017674-1.7868e-05i,0.00062421-0.00048977i,-0.0016445-0.0016495i,0.0032195-0.0014487i,0.00060002-0.0032059i,0.0024916-0.001125i,0.0034835-0.010573i,-0.00028738-0.00056201i,-0.0028433+0.003746i,-0.00014196-0.00048978i,-0.002742-0.00053721i,-0.0047416+0.0028831i,-0.0024163+0.0018085i,0.0073142-0.0042739i,0.0035582+0.0014502i,0.0012249-0.0021934i,0.0017028-0.00052483i,0.0020891+0.0018049i,0.00097047+0.0011437i,0.000212+0.0018748i,-0.0019849-0.00070005i,-0.001881+0.00098535i,-0.00078031+0.00027769i,7.9931e-05-1.4739e-05i,-6.776e-05+0.00037064i,0.0046645+0.010244i,0.0018967-0.0017853i,0.0003287-0.0011036i,0.0013093+0.0013844i,-0.0038896-0.00093852i,-0.0012777+0.0014818i,-0.0020846+0.0010653i,0.0078615+0.0080471i,0.0015629+0.00026598i,-0.0063286+0.026496i,-0.033232+0.045744i,-0.010147+0.058083i,-0.00048223+0.031615i,0.029296+0.027078i,0.015896+0.022099i,-0.012465+0.0033076i,-0.029397-0.0062493i,-0.047965+0.0062729i,-0.024234+0.01094i,0.018702+0.0055323i,-0.001876+0.0053187i,0.00014574+0.010227i,-0.0098779+0.0094183i,-0.00057013-0.0058756i,0.019054+0.0011399i,0.012703+0.0099914i,-0.019273-4.6128e-05i,0.00024993-0.0019917i,-0.0028464+0.0014755i,-0.0042123-0.0020183i,-9.293e-05-0.0045464i,0.0077885+0.0032545i,0.0027464-0.0093353i,-0.0050305-0.0021618i,0.0017425-0.0026948i,0.0018385-0.0063978i,-0.0065404+0.00038214i,0.0006081+0.00075777i,0.0010314-0.0028287i,0.030866+0.013612i,-0.0087087+0.0029328i,0.0017481-0.0034316i,-0.0042738-0.0026439i,0.0026058-0.0067464i,-0.0052692+0.0083165i,0.0037798-0.0016926i,-0.0009228-0.0020741i,2.2016e-06-0.0034781i,-0.0036098-0.0020038i,1.9958e-05+0.0033081i,0.0019408+0.00029078i,0.0061207+0.0039507i,-0.0080569+0.006045i,-0.0067906+0.0086428i,-0.02006+0.041777i,0.013329+0.016129i,-0.022205+0.0084013i,-0.0096415-0.010805i,0.01949+0.010619i,0.015749+0.021599i,-0.0092598+0.002687i
-0.0037208+0.017998i,0.031103+0.031321i,0.049008+0.013411i,0.019202+0.0063185i,0.011692-0.0016597i,0.020478-0.017948i,0.014296+0.010129i,0.031352+0.023169i,0.016933+0.012889i,0.0011276+0.0054553i,0.0014914+0.00011297i,0.0015476-0.00056619i,-0.0018254+0.00063369i,0.002652-0.001953i,-0.00014434-0.0025918i,0.0027714-0.00029922i,0.00069404-0.0093936i,-0.00057922-0.00030483i,-0.0014286+0.0036328i,-0.0009616-0.00027984i,-0.0028386+0.00041504i,-0.0029148+0.0041191i,-0.0016851+0.0024599i,0.0039695-0.006198i,0.0033902+0.00024797i,0.00039998-0.0022801i,0.0012472-0.00096468i,0.001914+0.00081298i,0.00080231+0.00054061i,0.0012258+0.0018144i,-0.0014703+0.00027861i,-0.0012174+0.0016513i,-0.00061359+0.00046523i,0.0002592+0.00058403i,0.00044414+0.00062991i,0.0072052+0.0080235i,0.0010749-0.0020691i,-0.00027957-0.00089501i,0.0018939+0.00089343i,-0.0038165+0.00036074i,-0.00091698+0.001462i,-0.0016124+0.0015997i,0.010006+0.0054715i,0.0011889-0.00015021i,-0.0018171+0.023661i,-0.022018+0.048155i,0.0016008+0.059597i,0.004507+0.030089i,0.031635+0.013573i,0.019225+0.014376i,-0.015834+0.011059i,-0.034132+0.0037688i,-0.048415+0.017258i,-0.025162+0.0080167i,0.016182-0.00045467i,-0.00030668+0.0064698i,0.0048777+0.0095552i,-0.0067412+0.012346i,-0.0035237-0.0025383i,0.017452-0.0069151i,0.016661+0.0047314i,-0.019179+0.0062749i,0.00023946-0.00053892i,-0.0017522+0.0022359i,-0.0025539+9.7995e-05i,-0.0022584-0.0031109i,0.0075153+0.00043546i,-0.00029138-0.0089569i,-0.0040893+0.001934i,0.0025835-0.0033678i,-0.00098821-0.0068431i,-0.0044967+0.0025971i,0.0020124+5.8853e-06i,0.00051943-0.0024498i,0.031545-0.0013726i,-0.0054649+0.0060131i,0.00026774-0.0044841i,-0.0035203-0.0021262i,-0.00018439-0.0075724i,-0.0016158+0.0077112i,0.0031806-0.0033698i,-0.00089414-0.00029236i,-0.00016495-0.0025697i,-0.0019727-0.0010503i,0.0012253+0.0037066i,0.00088053-0.0007568i,0.0065211+0.0010172i,-0.0065004+0.0066637i,-0.0044536+0.010869i,-0.013452+0.042817i,0.018569+0.0033031i,-0.017317+0.0095387i,-0.016146-0.0095518i,0.020404+0.0053869i,0.021161+0.014966i,-0.0095203+0.0027204i
-0.0016674+0.017615i,0.035302+0.026503i,0.049751+0.0037684i,0.019699-0.00063391i,0.011166-0.0061719i,0.016238-0.021441i,0.016029+0.0089983i,0.032824+0.017003i,0.019844+0.007671i,0.0021429+0.0050972i,0.0019717+0.00016319i,0.0020928-0.00088373i,-7.6376e-05+0.0022512i,0.0021364-0.0021196i,-0.00024271-0.0021155i,0.0036845+0.00010139i,-0.00084835-0.0085275i,-5.9953e-05-0.00022849i,-0.00044394+0.0035227i,-0.0013235+0.00026564i,-0.0022736+0.0012193i,-0.00081991+0.0039209i,-0.0008544+0.0025995i,0.00025118-0.0064808i,0.0034036-0.0006672i,-0.00056413-0.0021644i,0.00067185-0.0012299i,0.0017065+0.00040518i,0.00073679+0.00035439i,0.0017819+0.0010521i,-0.00091684+0.00070558i,-0.00040745+0.0019267i,-0.00048412+0.00083581i,0.00086445+0.00015668i,0.00071679-0.00010027i,0.0083297+0.0052546i,0.00029333-0.0021915i,-0.00042876-0.00041749i,0.0017239-3.7894e-05i,-0.0030344+0.0012916i,-0.00086496+0.0016225i,-0.0011452+0.0017903i,0.011021+0.0028138i,0.0006959+0.00023504i,0.001388+0.02057i,-0.011583+0.047383i,0.013936+0.05638i,0.0096406+0.027931i,0.029894+0.0019132i,0.019434+0.0076225i,-0.013488+0.01972i,-0.032857+0.016521i,-0.042737+0.030638i,-0.028272+0.008814i,0.012383-0.0035472i,0.0017279+0.0064166i,0.0076922+0.0069247i,-0.002525+0.014628i,-0.0039503+0.0001869i,0.011755-0.014187i,0.01705-0.0024875i,-0.016598+0.010957i,0.0013915-0.00026066i,-0.00036251+0.002227i,-0.0010532+0.00026436i,-0.0024965-0.00056451i,0.006067-0.0013832i,-0.002347-0.007299i,-0.0011774+0.0040217i,0.0019633-0.0049734i,-0.003502-0.0054733i,-0.0029471+0.002786i,0.0021567-0.0018522i,0.00070384-0.0020042i,0.025756-0.013986i,-0.0018739+0.0065899i,-0.0015999-0.0041334i,-0.0037862-0.0014563i,-0.003013-0.0070002i,0.00074129+0.0064041i,0.0025257-0.0047047i,0.00057376+0.00016913i,-7.7573e-05-0.0031333i,-0.0010714-0.0014731i,0.0020695+0.0035702i,-0.00027051-7.6086e-05i,0.0056063-0.00056225i,-0.0054894+0.0069768i,-0.00075592+0.011728i,-0.0067926+0.042764i,0.01483-0.0082843i,-0.014066+0.0065621i,-0.022099-0.0044936i,0.018773-0.0012458i,0.022357+0.0076778i,-0.0099515+0.0042992i
