-0.02424-0.038405i,-0.011581-0.050132i,-0.017952-0.044916i,-0.030838-0.035304i,-0.030106-0.01613i,-0.050635-0.027418i,-0.057954-0.025533i,-0.044944-0.037245i,-0.02946-0.034525i,0.007998+0.012655i,-0.005498+0.015196i,-0.0045924+0.014514i,0.010556+0.020782i,0.00034462+0.0044246i,0.0033857+0.0033208i,0.0065903+0.017878i,0.026522+0.034908i,-0.0028181-0.0010528i,-0.0046544-0.0060365i,0.0068717+0.0026516i,-7.8833e-05-0.00071115i,-0.0011636+0.0027657i,0.00012324-0.00024986i,-0.029767-0.0021376i,-0.0014671-0.0059426i,0.0014114+0.0043376i,0.0030692-0.00020032i,-0.00037848+0.00069095i,0.00058892-0.00035978i,-0.00092122-0.0026288i,-0.0019578-0.0058613i,-0.0046156-0.0045872i,-0.0021674-0.005002i,0.0022999-0.00065055i,0.0022661-0.0028818i,-0.00012919+0.025472i,0.0013892-0.0032738i,0.0025229+0.00093123i,0.0057515+0.0010444i,-0.010493-0.0028963i,-0.0038243+0.00049424i,0.0057541+0.00056175i,0.0064716-0.00035538i,-0.0033299+0.0045317i,0.0016913-0.0090799i,-0.011767+0.017946i,0.035471-0.090857i,0.012233-0.07009i,-0.015859-0.059615i,-0.017012-0.055547i,0.038989-0.046816i,0.01694-0.06273i,0.03393-0.055718i,0.030996-0.059914i,0.01558-0.013378i,0.0044497+0.016856i,0.016614-0.026778i,-0.011335+0.0054562i,-0.00047229+0.0051474i,-0.0050093-0.0011833i,-0.0021133-0.02861i,-0.023709+0.031446i,0.010008-0.011323i,-0.013192-0.0024789i,-0.00010047-0.0049091i,-0.0010509-0.016287i,-0.0076058+0.0045404i,0.0050179+0.0062143i,-0.0089999+0.030711i,0.0051679+0.0060714i,-0.0051076-0.00043813i,-0.0029366-0.00042573i,-0.012246-0.0079798i,-0.00080214-0.0041058i,-0.02321+0.0011474i,0.00031782-0.0099298i,-0.0095009-0.0016024i,-0.0065057-0.0027277i,0.0068815+0.0032606i,-0.0075799+0.0017854i,2.5813e-06+0.00075087i,0.0054596+0.01138i,0.0038819+0.001078i,-0.0090335-0.010091i,0.003279+0.0079573i,-0.021657+0.0061234i,0.008603+0.00018386i,-0.028877-0.0032444i,-0.041774+0.0028915i,0.019945-0.096806i,-0.0016068-0.012333i,-0.052381-0.022053i,-0.023049+0.00058748i,0.017847+0.010986i,-0.02482+0.012897i,-0.019822-0.012781i
-0.032142+0.018461i,-0.051646+0.020407i,-0.030845+0.045946i,-0.030614+0.024691i,-0.027335+0.039787i,0.0059096+0.046307i,-0.0024384+0.023317i,-0.015099+0.038615i,-0.01319+0.021969i,-0.0039987-0.0039061i,-0.0043534-0.003445i,-0.0016575-0.0032768i,-0.003792-0.00083047i,-0.0068349-0.0043629i,-0.0019044+0.0041989i,-0.0029324-0.0015502i,-0.010017-0.0048813i,-0.0012026-0.00051075i,0.0026941-0.0012908i,0.0021463-0.00079413i,0.0025342-0.0034785i,0.0023406-0.003877i,0.0014043-0.0025797i,-0.0086537-0.0084046i,-0.0017399+0.00056377i,-0.0038011+0.0011695i,-0.001827-0.00014785i,-0.0034294-0.0010452i,-0.0012476-0.0014565i,0.0014131-0.0017333i,-0.0018336+0.0063232i,0.0016054-5.6712e-05i,0.0029104+0.00011929i,0.0010859+0.0015858i,-0.0011845+0.0033967i,-0.00030297-0.0062616i,-0.0012913-0.00015381i,0.00021705-0.00025524i,4.9906e-06+0.0044933i,0.0075092+0.0045154i,0.0014441-0.0030003i,0.0033042-0.0045357i,-0.0034147+0.001621i,0.00011921+0.0030448i,-0.032293-0.0054192i,0.010549-0.078618i,-0.092947-0.029711i,-0.052203-0.03518i,-0.075887-0.049244i,-0.058469-0.0052657i,-0.093659+0.019063i,-0.05904+0.011433i,-0.048349-0.025158i,-0.03288-0.056708i,-0.023592-0.029232i,0.0029102+0.0049537i,-0.018357+0.011118i,0.0092565+0.0033873i,0.011023+0.0042245i,0.0006645-0.0071107i,0.0085818+0.00027436i,-0.0076795-0.0041851i,0.0031772+0.01444i,-0.0013675+0.0088833i,0.00083414+0.0015066i,0.0066651+0.0027659i,0.0019051-0.00054779i,-0.00069222+0.015229i,0.00012023+0.011796i,0.0028655-0.0052905i,0.010094-0.0067028i,0.0023529+0.0025578i,-0.0080145-0.0070074i,-0.0021168-0.00283i,0.018901-0.024019i,0.0058338+0.0038594i,0.0035272+0.0043503i,-0.0033994+0.0024041i,0.0022039-0.0037339i,0.021842+0.0021352i,0.002015-0.0025227i,0.00013607-0.0088057i,0.00057996-0.00264i,0.013566+0.0034877i,0.0046324+0.00010059i,0.0044443-0.0067852i,0.0024954+0.0091082i,0.0041879-0.00054894i,0.025159+0.0046419i,-0.08103-0.035478i,-0.0049699+0.019345i,0.0068839-0.0031817i,-0.002038+0.0039429i,-0.035605+0.011626i,-0.0072211+0.0069875i,-0.017125+0.013077i
-0.027664+0.022475i,-0.047572+0.025308i,-0.020143+0.044179i,-0.026417+0.02874i,-0.020767+0.041054i,0.014553+0.043442i,0.00057259+0.022926i,-0.00715+0.039606i,-0.0085529+0.019269i,-0.005149-0.0017809i,-0.0045833-0.00081584i,-0.0027039-0.0035574i,-0.0045311-0.00033539i,-0.0069525-0.0015343i,-0.00069164+0.0050795i,-0.0052938+0.00057924i,-0.012416-0.00010629i,-0.0010712+0.0002463i,0.0029423-0.001973i,0.0021295-0.001728i,0.0013403-0.0038925i,0.0016108-0.0039044i,0.00094305-0.0026745i,-0.01005-0.0052827i,-0.0011197+0.0009646i,-0.0033366+0.0025712i,-0.0013068+0.00044245i,-0.0034151+0.00012062i,-0.0016773-0.001195i,0.00077462-0.0019207i,0.00097269+0.0065527i,0.0011393-0.00036254i,0.0025243-0.001077i,0.0009424+0.0012659i,-0.0010102+0.0028483i,-0.00063942-0.0054646i,-0.0004934+0.00083399i,-0.00058738-0.00046691i,0.00043817+0.0047844i,0.0073343+0.00057021i,0.00043788-0.0032672i,0.0010552-0.005612i,-0.0033137+0.0027998i,0.00080843+0.0030518i,-0.032635-0.0048595i,-0.013258-0.089493i,-0.089948-0.011455i,-0.060989-0.033324i,-0.087626-0.037793i,-0.057494+0.0049234i,-0.08353+0.036688i,-0.054972+0.023745i,-0.04069-0.024634i,-0.039982-0.052076i,-0.03026-0.018341i,0.0041923+0.0017721i,-0.011709+0.01975i,0.0090755-0.00062898i,0.011938-0.0018355i,-0.0051917-0.010998i,0.003758+0.00015748i,-0.0088148+0.001541i,0.0087947+0.011906i,0.0015006+0.010567i,0.00086951+0.0012642i,0.0073116+0.0030767i,0.0023921+0.00045864i,0.0055658+0.01121i,0.0059896+0.007282i,-0.0022789-0.0072236i,0.0031195-0.0078375i,0.0032841+0.0029121i,-0.01098+0.00025319i,-0.0026846-0.00016619i,0.0077994-0.026279i,0.0069215+0.0030525i,0.0081082+0.0024216i,-0.0011606+0.0025702i,-0.0004088-0.0011506i,0.018677-0.0079373i,0.00011272-0.0032456i,-0.0048961-0.0063017i,-0.0028817-0.0020117i,0.011326-0.0012801i,0.0043167+0.00059269i,0.0018931-0.0049114i,0.0055646+0.0078982i,0.0030231-0.0010447i,0.024657-0.0031634i,-0.085344-0.025673i,0.0030125+0.0081283i,0.0055762-0.0054281i,-2.5168e-05+0.001866i,-0.028783+0.0218i,-0.005452+0.0078739i,-0.013591+0.015889i
-0.022258+0.024995i,-0.044374+0.030329i,-0.013705+0.040043i,-0.021811+0.030958i,-0.013363+0.042873i,0.022171+0.038475i,0.0040337+0.022464i,0.0003641+0.037953i,-0.0078516+0.017048i,-0.0055227+0.00051337i,-0.0035192+0.00095921i,-0.0060141-0.003069i,-0.0049025+0.0017523i,-0.0070274+0.00047251i,0.0011935+0.0055158i,-0.0058787+0.0041342i,-0.012375+0.0061215i,-6.6608e-06+0.00093936i,0.0030443-0.0034854i,0.0017755-0.0029323i,7.5077e-05-0.0043625i,0.00070002-0.0046871i,0.000487-0.0028408i,-0.011015-0.0024399i,-0.0008087+0.0012572i,-0.0018569+0.0039207i,-0.0009601+0.00039511i,-0.0027295+0.0016165i,-0.0020197-0.00067728i,-0.00022515-0.0026772i,0.0032942+0.00555i,0.00068963-0.00054955i,0.0018036-0.0014815i,0.001481+0.00075381i,-1.2024e-05+0.0037041i,-0.000884-0.0054503i,-0.00078491+0.00060314i,-0.0010496-0.00015571i,0.0037051+0.0030021i,0.0057948-0.001731i,-0.00045332-0.0028793i,0.00055295-0.0030191i,-0.0028856+0.0042378i,0.0015049+0.0018875i,-0.034918-0.0021975i,-0.042761-0.088129i,-0.080281+0.0022508i,-0.070551-0.026071i,-0.094759-0.022401i,-0.052771+0.013436i,-0.068309+0.04867i,-0.04078+0.03364i,-0.044514-0.026372i,-0.046158-0.048002i,-0.030988-0.0063545i,0.004191-0.0012711i,-0.0019939+0.02182i,0.0081633-0.0032857i,0.0080684-0.0071755i,-0.014703-0.0089376i,0.002498-0.00041226i,-0.0045829+0.0058102i,0.011509+0.0065288i,0.0047445+0.01139i,-1.7202e-05+0.0018274i,0.0078989-0.00067529i,0.0041898-0.001146i,0.0072263+0.0061109i,0.0053722+0.0023131i,-0.0071967-0.00322i,0.00060339-0.0061836i,0.005311+0.0018086i,-0.0061551+0.010539i,-0.0010858+0.0012215i,-0.0021712-0.023856i,0.0087614+4.1653e-06i,0.0074051-0.0017187i,0.00092287+0.0018229i,0.00091883+0.00050347i,0.012039-0.012711i,-0.0024735-0.0004706i,-0.0080907-0.0030324i,-0.0036202+0.0017761i,0.0076273-0.0042063i,0.0071033-0.0012267i,0.002628-0.0049243i,0.0094005+0.0046844i,0.0046013-0.0026829i,0.021212-0.010351i,-0.089347-0.012069i,0.0003459-0.0017527i,0.0048079-0.0093656i,0.00061088-0.0015296i,-0.019036+0.025212i,-0.005227+0.0037077i,-0.0058116+0.014593i
-0.016738+0.025411i,-0.039971+0.036306i,-0.010239+0.036834i,-0.016842+0.033904i,-0.004887+0.04184i,0.028285+0.032066i,0.008272+0.021637i,0.0059518+0.034985i,-0.0073157+0.017317i,-0.0044763+0.002715i,-0.0028387+0.00122i,-0.0078814+0.00096023i,-0.0043857+0.0034286i,-0.0069972+0.0029897i,0.0029486+0.0048857i,-0.0044555+0.0077817i,-0.0084738+0.01136i,0.00088894+0.00015696i,0.0014544-0.0044826i,0.00018295-0.0041033i,-0.0014383-0.0041453i,-0.00054856-0.0046638i,-0.0001471-0.0033245i,-0.011173+0.0010854i,-0.00031669+0.00087026i,0.00031075+0.0031897i,-0.0010335+0.00023596i,-0.0015066+0.0019676i,-0.0022621+0.00037013i,-0.0017505-0.0021694i,0.0050147+0.0041021i,0.00027563-0.00047861i,0.00096305-0.0019425i,0.0015205+0.00013136i,0.0020049+0.0031908i,-0.0016424-0.006646i,-0.00059502+0.0010881i,-0.001294+0.00042729i,0.0036122-0.00088752i,0.0040864-0.0027529i,-0.00094917-0.0026004i,0.00030408-0.0015496i,-0.0082946+0.0017968i,-0.00053274-0.00018573i,-0.036879+0.0021296i,-0.067541-0.07163i,-0.070593+0.0077632i,-0.078008-0.014914i,-0.09885-0.0060671i,-0.046689+0.018897i,-0.054257+0.054517i,-0.026454+0.033076i,-0.048266-0.020626i,-0.052468-0.040837i,-0.030329+0.0013842i,0.0021171-0.0037554i,0.0062448+0.019732i,0.0067932-0.0059469i,0.0024498-0.0086241i,-0.022403+0.0020227i,-0.00048582+0.00075521i,-0.00051992+0.0054555i,0.010468+0.0011129i,0.0092217+0.011174i,0.00058658+0.0030092i,0.005049-0.0022995i,0.0040362-0.004666i,0.0061696+0.0020181i,0.002626+0.0005348i,-0.0068479+0.00090872i,-0.0013033-0.0049333i,0.005857-0.00038103i,0.0055001+0.010368i,-0.00014878+0.00081383i,-0.0067222-0.017611i,0.007835-0.0030588i,0.0061182-0.0032681i,0.0019752+0.0026741i,0.0015431+0.00021835i,0.0064632-0.012995i,-0.00011271+0.0018574i,-0.0093933+0.0013604i,-0.0011658+0.0036116i,0.0046469-0.0042998i,0.0059491-0.0048459i,0.00040716-0.0051611i,0.0097491-0.001364i,0.0027546-0.0059249i,0.016519-0.016494i,-0.086469+0.0031703i,-0.0069407-0.0055799i,0.003096-0.013648i,-0.00041224-0.0049293i,-0.01183+0.025308i,-0.0088658+0.0030312i,-0.0065666+0.012932i
-0.012883+0.025164i,-0.035116+0.041362i,-0.0089819+0.035411i,-0.010625+0.035697i,0.0020197+0.038765i,0.032304+0.025051i,0.012605+0.019336i,0.011012+0.032149i,-0.0054843+0.01875i,-0.0026293+0.0038794i,-0.0029976+0.0021774i,-0.0068753+0.0045135i,-0.0034523+0.0048038i,-0.0053817+0.0056985i,0.0044286+0.0037775i,-0.0011456+0.00995i,-0.0030156+0.013547i,0.00092886-0.00057108i,0.00036373-0.0043546i,-0.0018744-0.0038133i,-0.0029001-0.0034286i,-0.0019522-0.0041209i,-0.0014371-0.0033541i,-0.0092218+0.0039396i,-0.00085436+0.00041054i,0.0004166+0.0017477i,-0.0011891+0.00032857i,-0.00065839+0.001778i,-0.0018998+0.0014153i,-0.0018921-0.00074119i,0.006279+0.0016797i,0.00026532-0.00049968i,-1.0452e-05-0.0018012i,0.0012786-0.0003978i,0.0024998+0.0016666i,-0.0041323-0.0073777i,-0.00030747+0.0013525i,-0.0011843+0.0012628i,0.00096363-0.0013549i,0.002684-0.002606i,-0.0013808-0.002256i,-0.00020479-0.0016664i,-0.001594+0.0050593i,-0.0030906+0.0017541i,-0.037304+0.0086172i,-0.077351-0.047471i,-0.064966+0.0094198i,-0.082928-0.0011336i,-0.099657+0.012584i,-0.042197+0.021569i,-0.04052+0.057611i,-0.016943+0.029911i,-0.049409-0.015119i,-0.056111-0.033749i,-0.028242+0.0094969i,-0.00023923-0.0047898i,0.01487+0.014347i,0.0046056-0.0075353i,-0.002656-0.0072285i,-0.020094+0.010554i,-0.00055204+0.0033708i,0.0020246+0.0054983i,0.006639-0.0011105i,0.014105+0.0081859i,0.0017279+0.0032522i,0.0028559-0.0014891i,0.001797-0.0071138i,0.003361+0.0016259i,0.00045399+0.0014502i,-0.0062951+0.0053403i,-0.0027588-0.0025982i,0.0050339-0.0025575i,0.0094455+0.0060002i,0.00031641+0.00055824i,-0.0098174-0.015086i,0.0059484-0.0054479i,0.0044996-0.0050498i,0.0047536+0.0020717i,0.0017935-1.9564e-05i,0.0031283-0.012073i,0.0015846+0.0014041i,-0.0075122+0.0060281i,0.0013313+0.0033215i,0.0036374-0.0034637i,0.0029239-0.0084509i,3.9311e-05-0.0043795i,0.0059213-0.0051219i,-0.00079865-0.0067989i,0.0087718-0.021948i,-0.080095+0.013329i,-0.015176-0.0018671i,-0.0012796-0.016116i,-0.0026656-0.0077813i,-0.0078759+0.024805i,-0.012028+0.0056054i,-0.0058125+0.012842i
-0.0098536+0.025028i,-0.029255+0.046159i,-0.0074674+0.036996i,-0.0044035+0.035303i,0.0063854+0.034622i,0.035107+0.018169i,0.016688+0.015503i,0.015394+0.028754i,-0.0028199+0.018933i,-0.0013152+0.0037207i,-0.0031668+0.0037734i,-0.0048599+0.0068523i,-0.0019363+0.0062496i,-0.0028863+0.0067547i,0.0051324+0.0022682i,0.0023967+0.010269i,0.0029121+0.013127i,0.00087066-0.00060067i,-0.00096398-0.0044664i,-0.0031433-0.002684i,-0.0033821-0.0018791i,-0.0027399-0.0032637i,-0.0023612-0.0025905i,-0.0075057+0.0047493i,-0.0013868+0.0010108i,-2.7552e-05+0.0015688i,-0.0014154+0.00073631i,-7.9893e-05+0.0014283i,-0.0010295+0.0018341i,-0.0016027+3.2658e-05i,0.0057009-0.0010239i,4.9531e-05-0.0005781i,-0.00065791-0.0012551i,0.0008621-0.00095457i,0.0024278+0.0011498i,-0.0069555-0.0065303i,-0.0001302+0.0012771i,-0.00042293+0.0016499i,0.00016369-0.0012507i,0.0019315-0.0022193i,-0.0019111-0.0015497i,-0.00076083-0.0019396i,0.00079239+0.0052092i,-0.0029192+0.0049782i,-0.035636+0.015743i,-0.075038-0.029896i,-0.062339+0.011985i,-0.083065+0.016088i,-0.093531+0.033157i,-0.040666+0.024369i,-0.028819+0.056818i,-0.0093531+0.025729i,-0.048337-0.0085843i,-0.059845-0.026681i,-0.024434+0.014392i,-0.0035969-0.0044166i,0.017715+0.0020931i,0.002757-0.009266i,-0.0059235-0.0034139i,-0.013849+0.017668i,0.00088108+0.0039998i,0.0056882+0.0035457i,0.0049902+1.9148e-05i,0.017767+0.00065384i,0.0026363+0.003398i,0.0022847-0.00087197i,-0.0030211-0.0084599i,0.0018995+0.0030422i,0.00057996+0.0035849i,-0.0014611+0.0094811i,-0.0017666-0.00029186i,0.0034574-0.0034659i,0.0096122+0.0011072i,0.0010824-0.00013064i,-0.014895-0.014608i,0.0033913-0.0065048i,0.0014863-0.0060301i,0.0042013-0.00043508i,0.0017902+0.00027067i,0.0015518-0.010741i,0.0023306+7.7096e-05i,-0.0033258+0.0086884i,0.002537+0.0014294i,0.0027166-0.0036569i,-0.0020118-0.008743i,-0.0011045-0.0055614i,0.0027942-0.0053431i,-0.002761-0.0066768i,-0.0012016-0.022453i,-0.076221+0.021576i,-0.013435+0.0082898i,-0.0064179-0.016546i,-0.0064231-0.0083141i,-0.0050479+0.024025i,-0.011431+0.010653i,-0.0020447+0.012312i
-0.0066719+0.025249i,-0.022153+0.050625i,-0.0034603+0.03952i,0.00061338+0.033744i,0.0087219+0.031949i,0.036796+0.010979i,0.019494+0.010857i,0.018936+0.025402i,-0.00015368+0.019299i,-0.00065658+0.0038395i,-0.0017657+0.0060242i,-0.0019508+0.0085421i,0.00010472+0.0069237i,-0.00063838+0.0066498i,0.0052521+0.00079455i,0.0057852+0.0092213i,0.0075087+0.010843i,0.00091018-0.00060958i,-0.0023382-0.0039476i,-0.0037061-0.0010651i,-0.00307-0.0006477i,-0.0034596-0.0024359i,-0.0028409-0.0017179i,-0.0069364+0.0062127i,-0.0010837+0.001683i,6.7661e-05+0.0020444i,-0.0011293+0.0016375i,-0.00013287+0.00091361i,-0.0003936+0.0017659i,-0.001257+0.0003578i,0.0046027-0.002544i,0.00013347-0.00036147i,-0.0006752-0.00099196i,0.00038811-0.0011379i,0.0027275-4.2541e-05i,-0.0093853-0.0044824i,0.00024391+0.0014086i,0.00021289+0.0015479i,-0.00065683-0.0010932i,0.0017276-0.0022183i,-0.0019863-0.00076994i,-0.0013748-0.0015997i,0.0021887+0.004129i,-0.0011417+0.0063853i,-0.031428+0.021433i,-0.073974-0.0225i,-0.061143+0.016555i,-0.076464+0.031286i,-0.081795+0.050336i,-0.038151+0.030241i,-0.019215+0.05598i,-0.0049924+0.020758i,-0.046706-0.0037578i,-0.062561-0.017661i,-0.020695+0.018356i,-0.0045426-0.0040619i,0.011237-0.0081664i,-0.00045453-0.011002i,-0.006412+8.5412e-06i,-0.005877+0.019447i,0.0013922+0.0032544i,0.0073224-0.00073826i,0.0060775-0.00030217i,0.015395-0.0055586i,0.0049944+0.0028544i,0.0022914+0.00051598i,-0.0071707-0.0038835i,0.0031502+0.0044455i,0.0021587+0.004736i,0.0044642+0.0082696i,-0.0011269-4.0885e-05i,0.002489-0.0039318i,0.0099389-0.0030144i,-3.0939e-05-0.0007455i,-0.021111-0.0094151i,0.0012355-0.0064797i,-0.00096174-0.0042411i,0.005039+0.00062765i,0.001843-0.00023678i,0.00045621-0.011759i,0.0020669-0.0012606i,0.0008581+0.0068189i,0.0026046+0.0010349i,0.0022999-0.0032637i,-0.0053435-0.0052804i,-0.0042779-0.005734i,-0.00015395-0.0052179i,-0.0052478-0.005982i,-0.0082804-0.018756i,-0.070617+0.030288i,-0.0083446+0.0072047i,-0.0071183-0.015257i,-0.0088233-0.0069049i,-0.0008597+0.022855i,-0.010212+0.01284i,-0.00053235+0.0097438i
-0.0033487+0.025051i,-0.013823+0.054015i,0.0023442+0.041811i,0.0049035+0.032457i,0.011004+0.03048i,0.036953+0.0039921i,0.021181+0.0058455i,0.022471+0.02192i,0.0030732+0.019188i,0.00019697+0.0041543i,0.0011549+0.0070299i,0.0014668+0.0083573i,0.0021604+0.0067841i,0.00084553+0.0063946i,0.00515-0.000421i,0.0084579+0.0067905i,0.010402+0.0072631i,0.0011928-0.0015148i,-0.0032825-0.0031005i,-0.0032255+0.00065798i,-0.0025814+0.00023917i,-0.0038546-0.00097157i,-0.0029907-0.00091712i,-0.0043936+0.0081527i,-0.00051913+0.00234i,0.00093805+0.0021895i,-0.00037208+0.0019546i,-0.00046034+0.0010132i,8.6733e-05+0.0017794i,-0.0010283+0.00068309i,0.0029616-0.0039248i,0.00047519-0.00076623i,-0.0011563-0.00084706i,-0.0001448-0.001147i,0.0020154-0.0012256i,-0.010864-0.0015205i,0.00058809+0.0012746i,0.001006+0.0014799i,-0.0014974-0.00069322i,0.0017307-0.0021902i,-0.0016595-0.0003126i,-0.0015547-0.0010452i,0.0029442+0.0028685i,0.00081921+0.0073146i,-0.027109+0.024489i,-0.078559-0.015912i,-0.059577+0.022297i,-0.06808+0.043114i,-0.066244+0.061339i,-0.034072+0.035411i,-0.0096329+0.053931i,-0.0021747+0.017428i,-0.045026+0.00053198i,-0.063084-0.0073196i,-0.015885+0.021561i,-0.0059732-0.0029964i,0.0033715-0.009658i,-0.0046522-0.011171i,-0.0051837+0.0038498i,0.0011189+0.017532i,0.00086322+0.0026117i,0.0059427-0.0049926i,0.0052576-0.0016985i,0.011109-0.01087i,0.0066805+0.00065367i,0.0035+0.00078989i,-0.0076473-0.00043339i,0.005019+0.0050776i,0.0045577+0.0051816i,0.0085133+0.0055489i,-0.00085287+0.00092024i,0.0019981-0.0040337i,0.0041153-0.0060277i,-0.00045529+0.00085699i,-0.024824-0.002309i,-0.0002549-0.0064277i,-0.0016733-0.0024018i,0.0058316-0.00052836i,0.0016485-0.00076895i,-0.002357-0.013169i,0.0007419-0.0017017i,0.0032677+0.0058795i,0.0033357+0.00031954i,0.00288-0.0035162i,-0.0072007-0.0025462i,-0.007733-0.0024474i,-0.0031048-0.0035934i,-0.0069625-0.0045688i,-0.012659-0.013683i,-0.06395+0.03714i,-0.0079972+0.0056296i,-0.007874-0.017542i,-0.010136-0.0049438i,0.00037543+0.021985i,-0.0095044+0.014706i,0.0001732+0.0082239i
0.00025682+0.024861i,-0.0040407+0.05547i,0.010278+0.042256i,0.008927+0.031176i,0.014454+0.030111i,0.036243-0.0024829i,0.021456+0.00036116i,0.026225+0.017526i,0.006511+0.018077i,0.00098141+0.0039682i,0.0036613+0.0056858i,0.0037443+0.0063757i,0.0041172+0.0061029i,0.0025912+0.0059815i,0.0047147-0.0016409i,0.0096199+0.0034927i,0.012017+0.0032239i,6.2594e-05-0.0022827i,-0.0041964-0.0018443i,-0.0019198+0.0015929i,-0.0016534+0.0005191i,-0.0034552+0.00017439i,-0.0029948-1.1468e-06i,-0.0012737+0.0085506i,0.00039467+0.0024556i,0.0017016+0.0016796i,0.00045428+0.0020706i,-0.00019991+0.0015282i,0.00064938+0.0013499i,-0.0006414+0.00085063i,0.0010029-0.0044239i,-2.3156e-05-0.0011257i,-0.0015463-0.00013975i,-0.0006537-0.00096155i,0.0010459-0.0018293i,-0.010656+0.0024826i,0.00085105+0.001088i,0.0014581+0.00088468i,-0.002097+7.3374e-05i,0.0014318-0.0026153i,-0.0015063-9.949e-05i,-0.0015816-0.00072878i,0.0027975+0.0017442i,0.0033875+0.0076289i,-0.023259+0.027907i,-0.086745-0.0028187i,-0.055205+0.028104i,-0.056724+0.051699i,-0.051083+0.068666i,-0.029087+0.041855i,-0.00028165+0.049716i,0.0031086+0.013811i,-0.042773+0.0052247i,-0.060873+0.0030605i,-0.010877+0.024588i,-0.0077638-0.0017709i,-0.0023797-0.009174i,-0.0089851-0.0095762i,-0.0013151+0.005274i,0.0048058+0.013691i,-0.00027129+0.0027347i,0.0032332-0.0082623i,0.0056787-0.0010852i,0.004522-0.013446i,0.0067182-0.0027018i,0.0046819-0.00015825i,-0.0078079+0.0037941i,0.0079578+0.0043532i,0.0078067+0.0031119i,0.0099324+0.0014506i,0.00047743+0.0017764i,0.0012156-0.0042833i,-0.00089177-0.0081882i,0.0011732+0.0021599i,-0.023194+0.0065368i,-0.0017273-0.0063457i,-0.0013208-0.00065148i,0.0057938-0.0044532i,0.0016402-0.00072449i,-0.008067-0.012641i,-0.0001704-0.0013003i,0.0056683+0.003481i,0.0034885-0.00018512i,0.0022702-0.0044113i,-0.0068595+0.0018211i,-0.0074057+0.002716i,-0.0046825-0.0014064i,-0.0087037-0.0034121i,-0.014496-0.0083988i,-0.058493+0.043164i,-0.0082275+0.0083374i,-0.012186-0.021473i,-0.0086135-0.0034739i,0.0031761+0.022142i,-0.0083942+0.018389i,0.0016758+0.0060153i
0.0042265+0.023725i,0.0055867+0.05448i,0.018212+0.039589i,0.01321+0.029346i,0.019171+0.029021i,0.034854-0.0085023i,0.02015-0.0048702i,0.028679+0.012108i,0.009565+0.016112i,0.0015873+0.0039739i,0.0045582+0.0039963i,0.0043591+0.0045867i,0.0056458+0.0046296i,0.0040539+0.0048034i,0.0038966-0.0026048i,0.0091502+0.00057552i,0.011878-0.00063234i,-0.00096727-0.0019702i,-0.0041624-0.0003879i,-0.00070258+0.0016349i,-0.00088465+0.00025504i,-0.0029009+0.00077238i,-0.0024711+0.00077117i,0.0013632+0.0081547i,0.0013698+0.0019638i,0.0021438+0.0010484i,0.001202+0.0017222i,0.00051451+0.0016559i,0.0008401+0.00069948i,-0.00054994+0.00092602i,-0.00092218-0.0040741i,-0.00074942-0.0009402i,-0.0014006+0.00053319i,-0.0010928-0.00058017i,0.00023537-0.0018443i,-0.0092971+0.0054768i,0.0010704+0.00066477i,0.0016025+0.00018479i,-0.0020649+0.001254i,0.0010286-0.0031555i,-0.0014805+0.0001913i,-0.0016627-0.00076927i,0.0024613+0.0010898i,0.0059691+0.0068674i,-0.018765+0.030709i,-0.088246+0.01736i,-0.052346+0.032104i,-0.046053+0.056416i,-0.034055+0.073174i,-0.020613+0.048102i,0.0064807+0.043547i,0.0056125+0.0061216i,-0.038553+0.008932i,-0.055043+0.013464i,-0.0037536+0.025381i,-0.0091433+0.00071539i,-0.0081278-0.0060667i,-0.012094-0.0061915i,0.0016845+0.0035127i,0.0056737+0.011006i,-0.0020685+0.00422i,-0.00038562-0.010799i,0.0067406-0.0031091i,-0.0018091-0.012187i,0.0044154-0.0050442i,0.0050604-0.0024153i,-0.005965+0.0071993i,0.010339+0.0006153i,0.0086406-0.0016833i,0.0084987-0.0043345i,0.0024131+0.0013787i,0.00019015-0.0044946i,-0.0043176-0.0048448i,0.0031326+0.0010425i,-0.021821+0.0049915i,-0.0028296-0.0050718i,2.2261e-05+0.00048689i,0.0022397-0.005953i,0.0017771-0.00077105i,-0.012833-0.008533i,2.9239e-05-0.00022547i,0.0066165+4.8719e-05i,0.0030884-0.00089709i,0.0010871-0.0046795i,-0.0044891+0.0050601i,-0.0049655+0.005724i,-0.0047938+0.0018618i,-0.010565-0.0013458i,-0.014908-0.0045315i,-0.051282+0.051451i,-0.0020736+0.011133i,-0.020053-0.021279i,-0.0074554-0.0047042i,0.0056434+0.021181i,-0.0047205+0.021769i,0.0022201+0.0026054i
