-0.0070424-0.039864i,-0.013168-0.043875i,0.0020964-0.044975i,-0.027204-0.027487i,-0.020448+0.014205i,-0.032171-0.032689i,-0.06002-0.06276i,-0.021488-0.07141i,-0.039921-0.050522i,0.0014059+0.014753i,-0.0072256+0.011058i,-0.015112+0.014344i,0.0012173+0.016747i,-0.0036286-0.0031497i,0.00043062+0.0070283i,0.00014126+0.039239i,0.028267+0.051238i,0.00080631-0.00040279i,-0.0049616-0.0085071i,0.0082514+0.0047013i,0.0016779+0.0010679i,-0.0017548+0.0044027i,0.00013213-0.0013379i,-0.034769-0.011695i,-0.0026281-0.0065515i,-0.00051561+0.0051924i,0.0078802-0.0033777i,-0.00029642+0.00051954i,-0.00018251-0.00079032i,-0.00022369-0.0028526i,-0.0010089-0.0048983i,-0.0026727-0.0038511i,-0.00062922-0.0083673i,0.0031014-0.00093127i,0.0028931-0.002592i,-0.0027207+0.035941i,0.0065477-0.0044371i,0.0034219-0.0027295i,0.0051279+0.00020276i,-0.011945+0.0016774i,8.4465e-05+0.00023773i,0.01312+0.0043531i,0.0067137-0.0021073i,-0.0035019+0.0042621i,0.0023282+0.0016408i,-0.0037363+0.0086971i,0.015448-0.08717i,-0.0067695-0.048575i,-0.024199-0.039175i,-0.019569-0.041947i,0.063429-0.015206i,0.027819-0.060847i,0.039108-0.044242i,0.029557-0.056226i,0.019419-0.015271i,0.0083856+0.0098759i,0.025961-0.031881i,-0.0071521-0.0053696i,0.002758-0.0029479i,-0.0048131-0.0063307i,0.0012444-0.032093i,-0.024578+0.030306i,0.0074733-0.010096i,-0.01131-0.0024896i,-0.0053997-0.0011715i,-0.00081159-0.013704i,-0.010267+0.0037078i,0.0037503+0.0079779i,-0.011214+0.030605i,0.005782+0.0071617i,-0.0058063-0.0014448i,-0.0020255-0.002122i,-0.0099864-0.0057825i,0.00071582-0.0038384i,-0.03549+0.0036535i,0.002734-0.011702i,-0.0087292-0.0021969i,-0.0061921-0.0027732i,0.0063032+0.0010572i,-0.010176+0.0015301i,0.0012592+0.00078783i,0.0052975+0.0089671i,0.0050826+0.00037186i,-0.0083003-0.0094932i,0.0028898+0.0089196i,-0.019355+0.0052713i,0.0069856+0.0032565i,-0.029443-0.0090463i,-0.034305+0.0033571i,0.019645-0.075431i,0.013355-0.010819i,-0.042615-0.027431i,-0.023024-0.003624i,0.017581+0.013728i,-0.026178+0.013225i,-0.010635-0.0078469i
-0.032667+0.0014119i,-0.048818+0.016816i,-0.048326+0.04289i,-0.027952+0.0065076i,-0.0056135+0.014545i,-0.0092728+0.031262i,-0.030094+0.017437i,-0.058077+0.022287i,-0.021747+0.020385i,0.00011696-0.011297i,0.0017588-0.0012798i,0.0037726+0.0001967i,0.0031571+0.0080896i,-0.0041326+0.00097989i,0.0016976+0.0023228i,0.0021992-0.0098172i,-0.011969-0.01067i,-0.004422+0.0003946i,0.0043286-0.0021557i,0.0012896-0.0013181i,0.0025276-0.0042009i,0.0017086-0.0040197i,0.0021329-0.0035405i,-0.0097589-0.011727i,-0.0027048-0.00035107i,-0.0047752+0.00044144i,-0.0034195-0.0013435i,-0.0043554-0.0010992i,-0.0012925-0.0020719i,0.0013019-0.0017538i,-0.0033139+0.0044694i,0.0018265+0.0014525i,0.0017146+0.001712i,0.0019823+0.00066971i,-0.0012023+0.0032987i,-0.0033883-0.0082024i,-0.0032525+0.00082147i,0.0011585+7.5645e-05i,-0.0008203+0.0042153i,0.0099868+0.0084687i,0.0016199-0.0033407i,0.00088451-5.392e-05i,-0.0044781-0.0045733i,0.0020211+0.0036006i,-0.018692-0.017367i,0.00019436-0.064148i,-0.088292-0.010362i,-0.022383-0.021525i,-0.046803-0.040861i,-0.042952-0.0079278i,-0.094347+0.012399i,-0.061799-0.00027574i,-0.036372-0.028646i,-0.029982-0.05617i,-0.024177-0.022175i,-0.00072974+0.0022519i,-0.02651+0.01406i,0.003557+0.015988i,0.0038108+0.0079771i,-6.9324e-06-0.006849i,0.0089275+0.0049344i,-0.0097005-0.0060641i,0.0012872+0.011081i,-0.0014517+0.0076587i,-0.0011338-0.0025507i,0.0059682+0.0025997i,0.0032083-0.0011866i,-0.0044033+0.020481i,-0.0010487+0.013735i,0.0012635-0.0039311i,0.01167-0.0072105i,0.003275+0.0035478i,-0.0075888-0.0076073i,-0.0020473-0.0018588i,0.02111-0.02586i,0.0079926+0.0092083i,0.0043548+0.0023904i,-0.0022199+0.0028156i,0.0030394-0.0042992i,0.020387+0.0022963i,0.0017203-0.0019767i,0.00098908-0.0066274i,0.0013327-0.0029135i,0.012208+0.0049462i,0.0046596+0.001188i,0.0033157-0.0068379i,0.0033926+0.0069524i,0.0039206+0.0026631i,0.017681+0.0016109i,-0.064676-0.046041i,-0.009964+0.0088795i,-0.0070485-0.0047989i,-0.006486+0.0040194i,-0.037124+0.010222i,-0.0058466+0.0079952i,-0.015134+0.0025162i
-0.03042+0.0050925i,-0.045104+0.022544i,-0.03562+0.044713i,-0.02626+0.012644i,-0.0041585+0.011953i,-0.0036158+0.031561i,-0.028156+0.021935i,-0.049917+0.02967i,-0.01677+0.017155i,-0.0043444-0.0074244i,0.0014826-0.00068429i,0.0033726-0.0017003i,0.0050525+0.0054661i,-0.0025612+0.0031681i,0.0020483+0.0024615i,-0.0035874-0.0074034i,-0.018372-0.0026498i,-0.0034573+0.0021248i,0.0051238-0.0030004i,0.0014008-0.001921i,0.0011362-0.0042206i,0.0017314-0.0029203i,0.001595-0.003776i,-0.011491-0.0074386i,-0.0021255+1.2212e-05i,-0.0042551+0.0022112i,-0.0031783-0.00013822i,-0.0040658-2.2957e-05i,-0.0017291-0.0015302i,0.0010143-0.0017323i,-0.0014821+0.0052899i,0.0017971+0.00076765i,0.0016526+0.00060932i,0.00051541+0.00032001i,-0.0016983+0.0026765i,-0.0036662-0.0066596i,-0.0023935+0.0019183i,3.0816e-05-0.00086415i,-0.00015118+0.0048502i,0.012086+0.0022603i,0.00097671-0.0047521i,0.00029847-0.00067055i,-0.0067139-0.0034746i,0.0030781+0.0031938i,-0.020047-0.01951i,-0.018895-0.070194i,-0.083228+0.0061344i,-0.029486-0.023027i,-0.058062-0.033346i,-0.041463+0.0018394i,-0.082296+0.032962i,-0.059577+0.013142i,-0.027884-0.027838i,-0.036904-0.051503i,-0.048017-0.02296i,-0.00089323+0.00040061i,-0.018289+0.024923i,0.0079076+0.011265i,0.0062652+0.0032588i,-0.005686-0.012401i,0.0049583+0.0036492i,-0.012231+0.0016459i,0.0062698+0.0099484i,0.0020402+0.0091387i,-0.0019338-0.0018162i,0.006594+0.0025809i,0.0035136-0.0008989i,0.0057713+0.017149i,0.0061696+0.0094151i,-0.0027972-0.0054959i,0.0033915-0.0090064i,0.0041535+0.003632i,-0.0094115-3.8455e-06i,-0.0023169+0.00095209i,0.0020186-0.031012i,0.011176+0.0062044i,0.0060416+0.0011628i,0.00072652+0.0024481i,-0.00032614-0.0020701i,0.018588-0.0064286i,6.2221e-05-0.0025755i,-0.0031619-0.0050754i,-0.0022752-0.0022142i,0.010787+6.4337e-05i,0.0043639+0.0018553i,0.00083973-0.0042688i,0.0055224+0.0057778i,0.0037147+0.0020461i,0.016359-0.0041389i,-0.071779-0.037352i,-0.0031506-0.0014815i,-0.007582-0.0035084i,-0.0055457+0.00327i,-0.032017+0.020168i,-0.0035132+0.0090322i,-0.015044+0.010897i
-0.027505+0.0076499i,-0.041294+0.027329i,-0.027122+0.043229i,-0.023435+0.015565i,-0.0015818+0.011855i,0.0020297+0.03056i,-0.02474+0.026464i,-0.042464+0.034307i,-0.017421+0.014657i,-0.0038936-0.0048527i,0.0019967-0.0004974i,-0.00048907-0.0024976i,0.0058529+0.0038157i,-0.0017952+0.0037654i,0.0028122+0.0026646i,-0.0074421-0.0019793i,-0.018566+0.0070248i,-0.0015127+0.0034726i,0.0047402-0.0055995i,0.0014346-0.0029331i,-0.00017412-0.0043546i,0.0019729-0.0040337i,0.0011131-0.0042759i,-0.012418-0.004613i,-0.0024654+0.00067345i,-0.0026018+0.0037184i,-0.0025894+0.00054375i,-0.0031965+0.0017031i,-0.0020619-0.0015485i,0.00014221-0.0029258i,-0.00010138+0.0053747i,0.0015423+0.00022111i,0.00096493-0.00050163i,0.00067882+2.2397e-05i,-0.00088575+0.0043154i,-0.0034894-0.0057508i,-0.0032173+0.0026289i,-0.00087976-0.0006013i,0.0032546+0.0036281i,0.010221-0.0024894i,-0.002126-0.00076149i,0.00050165+7.4212e-05i,-0.0087511-0.0021139i,0.0039663+0.001358i,-0.024302-0.020095i,-0.040602-0.066489i,-0.072571+0.01785i,-0.036534-0.019926i,-0.064573-0.022182i,-0.034957+0.0085176i,-0.062633+0.046588i,-0.045347+0.026002i,-0.029706-0.032903i,-0.042472-0.047881i,-0.042827+0.0058137i,-0.001505-0.0003452i,-0.0071371+0.028035i,0.010205+0.0062336i,0.0034797-0.0013627i,-0.018596-0.011893i,0.0041662+0.0026917i,-0.0080407+0.0080732i,0.0097242+0.0049639i,0.0044622+0.0084798i,-0.0043523+0.00018782i,0.007117-0.0012306i,0.0038764-0.0024273i,0.0097459+0.0087833i,0.006728+0.0039192i,-0.0078543-0.0025073i,0.00025451-0.0061943i,0.0067495+0.0028175i,-0.0063204+0.007873i,-0.00037221+0.0025805i,-0.010415-0.030581i,0.013787+0.0014483i,0.0059187-0.0018366i,0.0019866+0.0011253i,0.00045694-0.00025209i,0.011647-0.011759i,-0.0032452+0.00017572i,-0.005686-0.001647i,-0.00363+0.00187i,0.0072314-0.0026577i,0.0091108+0.00020947i,0.0016652-0.0038126i,0.0084931+0.0029281i,0.0054691+0.0010334i,0.012922-0.0089615i,-0.077272-0.023804i,-0.0090165-0.012249i,-0.0056557-0.0038259i,-0.0050287+0.0022375i,-0.020099+0.03048i,-0.0022536+0.0038224i,-0.010064+0.0032743i
-0.024674+0.0085689i,-0.037261+0.032435i,-0.021883+0.04183i,-0.019363+0.019644i,0.00237+0.009021i,0.0070431+0.028209i,-0.01942+0.030213i,-0.035104+0.036287i,-0.018793+0.016399i,-0.0044754-0.0032265i,0.0023092-0.0019213i,-0.0026063+0.00091716i,0.0055059+0.0018396i,-0.001521+0.0054658i,0.0033612+0.0020509i,-0.0065764+0.0047687i,-0.012645+0.016175i,0.00037247+0.0028817i,0.0018621-0.0070608i,0.00018861-0.0043609i,-0.0012865-0.0038185i,0.0012825-0.0048121i,6.7252e-05-0.0052848i,-0.013223-0.0011058i,-0.0018109+0.00075849i,-0.00063855+0.0029273i,-0.0024577+0.0010701i,-0.0012822+0.0016092i,-0.002626-0.00037223i,-0.0016494-0.0024916i,0.0012662+0.0055921i,0.0010633-0.00013845i,0.00049172+0.00049795i,0.0004202+3.7035e-05i,0.0017667+0.0043078i,-0.0041838-0.0065916i,-0.0017568+0.0042442i,-0.0012824-3.1827e-05i,0.0038184-0.00028574i,0.0078385-0.0050141i,-0.0014197-0.0018188i,0.0011919-0.00024663i,-0.0098931+0.00022737i,0.0021032-0.0013576i,-0.030311-0.018619i,-0.058012-0.051579i,-0.062332+0.022196i,-0.042394-0.014102i,-0.069301-0.010124i,-0.027144+0.010696i,-0.044387+0.050313i,-0.029327+0.025336i,-0.033887-0.030739i,-0.049274-0.041571i,-0.03599+0.016276i,-0.0028173-0.00045038i,0.0029948+0.02602i,0.010773+0.0021547i,-0.0011518-0.0017673i,-0.02772+0.00033046i,0.0014152+0.0030364i,-0.0032016+0.0080036i,0.0083049-0.00075873i,0.0071085+0.0079725i,-0.0037153+0.0039637i,0.0035957-0.0024731i,0.003424-0.004884i,0.0078735+0.0018642i,0.004046+0.001193i,-0.0081039+0.0022453i,-0.0016352-0.0045725i,0.0075162+9.075e-05i,0.0021524+0.0103i,0.0012914+0.0017566i,-0.013239-0.026019i,0.0132-0.0038724i,0.0046347-0.0043317i,0.0020629+0.0016585i,0.0011587-0.00042202i,0.0060317-0.011878i,-0.00055045+0.0035468i,-0.006088+0.0013597i,-0.00062032+0.0044147i,0.0052301-0.0023293i,0.0082232-0.0051596i,-7.8682e-05-0.0039782i,0.0084246-0.0023427i,0.0054873-0.0017739i,0.0086526-0.012926i,-0.075268-0.0088805i,-0.019185-0.011709i,-0.0053683-0.0074962i,-0.0049617+0.00088141i,-0.0115+0.02446i,-0.0064397+0.0027661i,-0.013583+0.0029464i
-0.023275+0.0092556i,-0.033056+0.037007i,-0.018665+0.041814i,-0.013749+0.022261i,0.0042595+0.0047083i,0.010682+0.025575i,-0.013407+0.03237i,-0.029802+0.037292i,-0.016817+0.0207i,-0.0041958-0.0016117i,0.0010229-0.0025905i,-0.0015917+0.003816i,0.004814+0.00050306i,0.0011892+0.0069241i,0.0039071+0.0015666i,-0.0024572+0.0084008i,-0.0038296+0.020526i,0.0010803+0.0018592i,-0.00023819-0.0064016i,-0.0020269-0.0044712i,-0.0024477-0.0032472i,0.00031293-0.004852i,-0.0022882-0.0052863i,-0.011906+0.0027393i,-0.0020868+0.00059903i,-0.00042698+0.0019104i,-0.0020268+0.0021086i,-0.00042485+0.00067242i,-0.0023443+0.00096016i,-0.0019806-0.001124i,0.0032218+0.0046017i,0.00065412-0.000206i,0.00071402+0.00094832i,0.00023862+3.6934e-05i,0.0027413+0.0027089i,-0.0062732-0.007002i,-0.00022685+0.0044196i,-0.0011535+0.00080053i,0.0015436-0.0010547i,0.0048263-0.0059836i,-0.0017195-0.0018984i,0.0014524-0.00099972i,-4.2786e-05-7.944e-05i,-0.00030595-0.00044569i,-0.035069-0.01339i,-0.062721-0.032064i,-0.056238+0.023795i,-0.047033-0.0065373i,-0.07129+0.0045797i,-0.022688+0.0080542i,-0.028593+0.049139i,-0.019817+0.021015i,-0.036305-0.028316i,-0.052969-0.034471i,-0.027041+0.024977i,-0.0035096+0.00022218i,0.013427+0.020557i,0.0095498-0.00026208i,-0.0045048+0.000604i,-0.028559+0.011519i,0.0013793+0.0049813i,0.00077946+0.0091999i,0.0034187-0.0022139i,0.010011+0.005426i,-0.0013797+0.0057994i,0.0014746-0.0010839i,0.0014065-0.006416i,0.002803+0.0010876i,0.0013766+0.0022213i,-0.0077864+0.0065394i,-0.0030486-0.001911i,0.0070682-0.0023794i,0.006777+0.0077672i,0.002017+0.00085759i,-0.017244-0.022727i,0.01028-0.0082634i,0.002812-0.0051194i,0.0045377+0.00094008i,0.001184-0.00053213i,0.0031537-0.010467i,0.00225+0.0030463i,-0.0036241+0.0046609i,0.0025824+0.0038073i,0.0051932-0.00252i,0.0051137-0.011201i,-0.00018013-0.002943i,0.0052541-0.0063265i,0.0031612-0.0035482i,0.0021857-0.015289i,-0.069782-0.00063949i,-0.02765-0.0061647i,-0.0087941-0.010087i,-0.0058401-0.00054346i,-0.0091263+0.024454i,-0.0096366+0.0053573i,-0.014138+0.0068669i
-0.022365+0.010481i,-0.027926+0.041608i,-0.015806+0.04432i,-0.0080553+0.02269i,0.003185-0.00013906i,0.014556+0.023181i,-0.006848+0.032571i,-0.025777+0.039289i,-0.012935+0.022416i,-0.0045858-0.00087255i,-0.00091187-0.0022576i,0.00058129+0.0054989i,0.0039186+1.2107e-05i,0.0040736+0.0057156i,0.0040437+0.00066258i,0.0017774+0.0091226i,0.0064701+0.019955i,0.0015786+0.0014616i,-0.001841-0.0059287i,-0.0037857-0.0031394i,-0.0031394-0.0018225i,-0.00031551-0.0050632i,-0.0036403-0.0036382i,-0.010128+0.0039942i,-0.0026509+0.0014846i,-0.00062687+0.0018435i,-0.001321+0.00028844i,-1.7999e-05-0.00037729i,-0.0011749+0.0015686i,-0.0017029-0.00051717i,0.0047016+0.0029249i,0.00026324-8.8072e-05i,-0.00032623-0.0009197i,-0.00020011-0.00031607i,0.0029929+0.0018397i,-0.0088954-0.0060051i,0.0008366+0.0037299i,-0.00066827+0.0010636i,0.00067789-0.0010751i,0.0024602-0.0053263i,-0.0023793-0.0014889i,0.00084117-0.0015309i,-0.0035377+0.0088631i,-0.00065545+0.0017114i,-0.038123-0.0060898i,-0.059104-0.018801i,-0.052744+0.026712i,-0.048482+0.0047169i,-0.067086+0.0215i,-0.024358+0.0061619i,-0.016965+0.044036i,-0.013583+0.016279i,-0.038308-0.024093i,-0.056593-0.028282i,-0.017178+0.026475i,-0.004611+0.0014823i,0.017277+0.0077741i,0.0091885-0.0043434i,-0.0058821+0.0045941i,-0.02223+0.024533i,0.0031878+0.0051023i,0.0064528+0.0064107i,0.001376-0.00016107i,0.012421+5.775e-05i,0.00047865+0.006935i,0.0011247-0.0001127i,-0.002812-0.008441i,0.0010428+0.0037607i,0.0016725+0.004319i,-0.0036413+0.011642i,-0.0015119+0.00042667i,0.0056864-0.0037028i,0.0099521+0.0034525i,0.0025935-0.0007337i,-0.024188-0.017457i,0.0052935-0.010026i,2.3536e-05-0.0055273i,0.003289+2.7583e-05i,0.0010103-6.0638e-05i,0.0020779-0.0091363i,0.0035776+0.001098i,-0.00017649+0.0051685i,0.0036067+0.001051i,0.0042-0.0037085i,-0.0032332-0.013005i,-0.00069874-0.0035558i,0.0007592-0.0060091i,0.0021467-0.0046734i,-0.0052103-0.014104i,-0.067287+0.007041i,-0.02726+0.0070777i,-0.013468-0.01023i,-0.0075269-0.00026598i,-0.0060215+0.025192i,-0.0087273+0.010049i,-0.0090867+0.0090872i
-0.021431+0.012218i,-0.021635+0.045879i,-0.010328+0.04769i,-0.007109+0.018583i,-0.00057253-0.0023507i,0.01829+0.019872i,-0.00056084+0.031403i,-0.021294+0.042744i,-0.0090529+0.023833i,-0.0055558+0.00037562i,-0.0018353-0.00014276i,0.0040216+0.0061167i,0.0033508+8.756e-05i,0.0053756+0.0032065i,0.0036809+2.6523e-05i,0.0055684+0.0079844i,0.014331+0.014994i,0.0019634+0.0010515i,-0.0030801-0.005271i,-0.0045517-0.0011918i,-0.002649-0.00058555i,-0.0016222-0.0054028i,-0.0039412-0.0022117i,-0.0097365+0.0060932i,-0.0023483+0.0026556i,-0.00031957+0.0023567i,-0.001447+0.001645i,-0.0010217-0.0011269i,-0.00097937+0.0012662i,-0.0016265-0.00027347i,0.0051896+0.0012335i,0.0011018+0.00013939i,-0.00034075-0.0011456i,-0.00037705-3.038e-05i,0.003549+0.00012201i,-0.011212-0.0034219i,0.0018085+0.003332i,-5.475e-05+0.00098502i,-1.13e-05-0.00117i,0.00084042-0.0046187i,-0.0024463-0.00083476i,0.00033955-0.0018125i,-0.0026899+0.0082552i,0.00022317+0.0024327i,-0.038028+0.00091233i,-0.056458-0.013358i,-0.049069+0.031555i,-0.04424+0.015087i,-0.057672+0.03587i,-0.025716+0.0094082i,-0.0084862+0.040313i,-0.011099+0.011029i,-0.039133-0.020275i,-0.059641-0.020109i,-0.010031+0.026103i,-0.0036718+0.0022171i,0.011253-0.0031871i,0.0056929-0.0083422i,-0.0045089+0.0078518i,-0.0095704+0.029329i,0.0035768+0.0035117i,0.0084551+0.00036434i,0.0026186+0.00052321i,0.010589-0.0039842i,0.005196+0.0074416i,0.0012165+0.0017202i,-0.0076399-0.0032481i,0.0024435+0.0058539i,0.0030452+0.0060261i,0.0052052+0.013661i,-0.00048227+0.00047085i,0.0047176-0.0051443i,0.01077-0.0031111i,0.00072739-0.0016204i,-0.028957-0.0089315i,0.0017263-0.00968i,-0.0016906-0.0038708i,0.0045849+0.0017098i,0.0011615-0.00040492i,0.0016292-0.0098626i,0.003309-0.00069694i,0.0013762+0.0038366i,0.003229+0.00065679i,0.0035399-0.0033992i,-0.0079064-0.0065678i,-0.0026949-0.0040162i,-0.001409-0.0042911i,0.00027663-0.005848i,-0.0096326-0.0095599i,-0.062912+0.015073i,-0.021723+0.010016i,-0.013253-0.0073987i,-0.0085214+0.0007671i,-0.00044765+0.023742i,-0.0076768+0.01138i,-0.0065708+0.0079266i
-0.020071+0.013915i,-0.014108+0.049424i,-0.0036986+0.050645i,-0.0050004+0.015917i,-0.0045161-0.0017186i,0.021032+0.016059i,0.0051428+0.028851i,-0.01519+0.046026i,-0.0047649+0.023858i,-0.006478+0.0012871i,-0.00070974+0.0015309i,0.0073848+0.0034526i,0.003373+0.00020003i,0.0047697+0.0015296i,0.0037044-0.00025925i,0.0084018+0.0049688i,0.017534+0.0076613i,0.0025361-0.00023407i,-0.0042764-0.0046218i,-0.0040584+0.0008668i,-0.0018802+0.00017872i,-0.0030503-0.0043458i,-0.0039624-0.0011815i,-0.0074391+0.0092131i,-0.0013535+0.00391i,0.00089378+0.0025589i,-0.00076735+0.0024228i,-0.0025501-0.00063764i,-0.00094772+0.0018548i,-0.0015201+0.0002501i,0.005041-0.00076644i,0.0015926-0.00078698i,-0.00050093-0.00098128i,-0.000206+0.00028373i,0.0025644-0.0012572i,-0.01212+0.00029313i,0.0026516+0.0029063i,0.00047917+0.00086843i,-0.00094678-0.0012017i,0.00041278-0.0036425i,-0.0022608-0.00073113i,2.9701e-05-0.0019017i,-0.0012088+0.0080218i,0.00096695+0.0028238i,-0.037201+0.0061535i,-0.058153-0.0088053i,-0.044393+0.036343i,-0.039477+0.02248i,-0.044322+0.044667i,-0.026312+0.012975i,-0.00032757+0.035372i,-0.0099777+0.0086532i,-0.039781-0.016528i,-0.061124-0.0099407i,-0.0055033+0.025373i,-0.0030966+0.002755i,0.0040468-0.004361i,0.00092451-0.010095i,-0.0010623+0.011057i,0.0016442+0.02782i,0.0027582+0.0017969i,0.006822-0.0047689i,0.002248+0.00011913i,0.0074096-0.00782i,0.0090834+0.0042586i,0.0028598+0.0024557i,-0.0072257+0.0005673i,0.0050191+0.0072956i,0.0058957+0.0066376i,0.011794+0.0094093i,-7.6186e-05+0.00086601i,0.0039184-0.0064193i,-0.009128+0.019252i,-9.6697e-06+5.8367e-05i,-0.027047+0.0010812i,-0.0003793-0.0089376i,-0.0023353-0.002014i,0.0073442+0.00090857i,0.0011335-0.0004191i,0.00017836-0.011545i,0.0021985-0.001604i,0.0031308+0.0033004i,0.0039214-0.00050185i,0.0041883-0.0040123i,-0.0088104-0.0025056i,-0.004864-0.0020039i,-0.003237-0.0028952i,-0.0018135-0.0064447i,-0.011111-0.005192i,-0.057927+0.020985i,-0.019681+0.010529i,-0.012481-0.0082401i,-0.0088588+0.0024302i,0.0011748+0.022147i,-0.007523+0.012407i,-0.0050125+0.007127i
-0.018363+0.015756i,-0.0047133+0.051086i,0.0061348+0.053291i,-0.0040531+0.015287i,-0.0063907+0.0016587i,0.023423+0.012046i,0.0092705+0.024943i,-0.0070281+0.048375i,-0.0008793+0.023181i,-0.0064984+0.0033201i,0.00041498+0.0013517i,0.0075011-0.00092662i,0.0039559-0.00012738i,0.0046312+0.0004541i,0.003866-0.00082641i,0.0083865+0.001168i,0.017085+0.001213i,0.0011621-0.0015629i,-0.005926-0.0027542i,-0.002794+0.0017671i,-0.00090968+8.2706e-05i,-0.0036087-0.0034562i,-0.0038585-7.9788e-05i,-0.0033825+0.01092i,0.00032608+0.0044527i,0.0018084+0.0017789i,0.00033441+0.0027269i,-0.0031954+0.0010777i,-0.00036522+0.0018457i,-0.0012438+0.00056197i,0.0040421-0.0026992i,0.00065153-0.0017898i,-0.00066835-0.00040243i,-9.6746e-05+0.00012464i,0.0013376-0.001997i,-0.01138+0.0041326i,0.0031934+0.0017175i,0.00094678+0.00084278i,-0.00175-0.00049036i,7.0354e-05-0.0030137i,-0.0025917-0.00015228i,6.0544e-05-0.0021521i,-0.00054968+0.0080575i,0.0021513+0.0028852i,-0.036211+0.012117i,-0.062176-3.1368e-05i,-0.038311+0.039536i,-0.032099+0.02812i,-0.031109+0.049507i,-0.025775+0.019934i,0.0066605+0.027627i,-0.0056217+0.0066555i,-0.039833-0.012019i,-0.058725+0.00074639i,-0.0014967+0.024598i,-0.0027108+0.0029433i,-0.0001299-0.0035255i,-0.0045176-0.0097702i,0.0049022+0.010949i,0.0084759+0.019595i,0.0004565+0.0013747i,0.0044163-0.0086517i,0.0028559+0.0015834i,0.0027799-0.0093222i,0.010473-0.0013281i,0.0047253+0.0019342i,-0.0069168+0.0041139i,0.0095276+0.0069421i,0.0097774+0.0046123i,0.014302+0.0026928i,0.0008049+0.0013489i,0.0016913-0.0073603i,0.00016217-0.0092048i,0.0014468+0.0017187i,-0.026827+0.006308i,-0.0030407-0.0081416i,-0.0017092-0.000352i,0.0081443-0.0062617i,0.0015193-0.00015297i,-0.0045276-0.012824i,0.0009173-0.0015481i,0.0040754+0.0015654i,0.0039513-0.0013994i,0.0033887-0.005458i,-0.0084247+0.002365i,-0.0047222+0.00092548i,-0.0053844-0.00072483i,-0.0045343-0.0065989i,-0.011179-0.0012684i,-0.054179+0.026426i,-0.019864+0.014905i,-0.015501-0.010447i,-0.0064393+0.0039339i,0.0042125+0.022219i,-0.0075159+0.015392i,-0.0029828+0.0050687i
-0.016297+0.017201i,0.0043769+0.049795i,0.016797+0.05088i,-0.0025284+0.016092i,-0.005376+0.0051758i,0.025556+0.0076033i,0.011948+0.020815i,0.0015299+0.048487i,0.0024911+0.021846i,-0.0044943+0.0055307i,0.00054089+0.0011916i,0.0053974-0.003449i,0.0039844-0.0016018i,0.0040911-0.00025543i,0.0035754-0.0015927i,0.0065506-0.00088929i,0.015126-0.0032714i,8.9478e-05-0.0012649i,-0.0057118-0.000464i,-0.0023342+0.0024938i,-0.00019703-0.00029671i,-0.0041739-0.0029413i,-0.0031547+0.00066671i,0.00022518+0.010553i,0.0020316+0.0038465i,0.0019916+0.001112i,0.0013733+0.0023274i,-0.0025731+0.0026635i,-4.185e-05+0.0013935i,-0.001174+0.00098609i,0.0022766-0.0035939i,-0.0007497-0.0019653i,-0.00034639-0.00032107i,-0.0003481+3.4266e-05i,0.0002137-0.0021284i,-0.0093374+0.0071842i,0.0033927+0.00051745i,0.001132+0.00046666i,-0.0016529+0.00073033i,-0.00038966-0.0029485i,-0.0023167+0.00048582i,-0.00028951-0.0028795i,0.00082525+0.0082524i,0.0033243+0.0022593i,-0.033807+0.017895i,-0.06207+0.012625i,-0.034523+0.042034i,-0.024973+0.03092i,-0.016938+0.051747i,-0.020058+0.028252i,0.0087904+0.018746i,-0.0034105+2.424e-05i,-0.037634-0.0082942i,-0.05292+0.01104i,0.0046419+0.023412i,-0.0026873+0.0035912i,-0.0039303-0.0014251i,-0.008672-0.0070519i,0.0087741+0.0069438i,0.010262+0.017439i,-0.0025547+0.0032892i,-0.00033075-0.011739i,0.0052089+0.00020661i,-0.0018642-0.0084193i,0.0076189-0.0052529i,0.0061374-0.00037848i,-0.0052501+0.0071929i,0.013282+0.0022157i,0.011158-0.0015005i,0.012096-0.0038653i,0.0026396+0.00089858i,-0.00077933-0.0074309i,-0.0037736-0.0059627i,0.0037229+0.00052837i,-0.024045+0.010438i,-0.0068996-0.0065863i,-0.00047783+0.00055591i,0.0023695-0.0082853i,0.0020936-0.00020541i,-0.010292-0.010429i,0.001116-0.00078299i,0.0045292-0.00061518i,0.0031879-0.0024086i,0.0018085-0.0061148i,-0.005462+0.0063531i,-0.003147+0.0026534i,-0.0049491+0.0028441i,-0.0080236-0.0055496i,-0.010128+0.0014187i,-0.048464+0.034303i,-0.012456+0.020723i,-0.019721-0.0074456i,-0.0028807+0.0031819i,0.0065076+0.021034i,-0.0043872+0.019201i,-0.0028309+0.0016264i
