-0.025961-0.0052844i,-0.021831-0.008055i,-0.012295-0.013434i,-0.035227-0.0076667i,-0.027439+0.0013289i,-0.03602-0.0032145i,-0.066618-0.039759i,-0.032584-0.015167i,-0.02291+0.0029224i,0.0062029+0.0066312i,-0.0048471+0.0076238i,-0.0083637+0.018193i,0.0060475+0.0081328i,-0.0010365+0.003192i,0.0043517+0.0036286i,0.0048449+0.026248i,0.022367+0.020422i,0.0014-0.0004278i,0.0012605-0.0046428i,0.008917-7.1889e-05i,0.0052576-0.00030413i,0.0025239+0.0013797i,0.0015892-0.00075963i,-0.024435-0.0012838i,-0.0045362-0.0041191i,-0.00012271+0.0030673i,0.0047012-0.004292i,-0.0016149-0.00044907i,-0.00029782+0.0011796i,-0.0019441-0.0013845i,-0.0035141-0.00026652i,-0.0068239-0.0089215i,-0.0048979-0.0073333i,-0.00055045+0.00032846i,-8.1091e-05-0.0020892i,0.0005071+0.022281i,0.0026909-0.004019i,0.000638-0.0043011i,0.0029283-0.0018885i,-0.0030911-0.0028892i,0.00090851-7.8976e-05i,0.0081612-0.0017791i,0.0029413-0.0021153i,-0.00016212+0.0026867i,-0.014082+0.015361i,-0.027455+0.053841i,-0.0050694-0.037982i,-0.014275-0.018599i,-0.039738-0.017223i,-0.027312-0.01282i,0.037022-0.011599i,0.0065191-0.030188i,0.013035-0.038268i,-0.0081517-0.030472i,0.026534-0.022995i,0.013492+0.0073996i,0.028467-0.035698i,-0.0015003-0.0043758i,0.0062649-0.0090839i,-0.00095062-0.0058945i,-6.4404e-05-0.035831i,-0.01354+0.028824i,0.0090166-0.011126i,-0.0086109-0.0048771i,-0.0024211-0.0020528i,0.00019925-0.01597i,-0.0076125+0.0059686i,0.004104+0.0066729i,-0.0020991+0.028921i,0.0023809+0.0005267i,-0.007223-0.0045075i,-0.0038852-0.0061545i,-0.014469-0.0097491i,-0.0019836-0.0057387i,-0.034564+0.0060999i,-0.0048178-0.0085973i,-0.012964-0.00092444i,-0.010404-0.0056122i,0.0016683-0.00097168i,-0.013993+0.0021651i,-0.0019335-0.00022916i,0.0053406+0.0061058i,0.0038863-0.0050756i,-0.01398-0.013873i,0.0072899+0.0080526i,-0.016362+0.0052622i,0.0046442-0.00017919i,-0.018965-0.0037191i,-0.016406-0.0043348i,-0.014862-0.036271i,0.020765-0.0097707i,-0.039068-0.024204i,-0.010374+0.0047372i,0.018096+0.015561i,-0.022771+0.016935i,-0.0041832-0.003894i
0.0048454+0.014709i,-0.0037959+0.01607i,-0.0021429+0.026643i,0.0017168+0.025083i,5.6077e-05+0.029201i,0.011095+0.022702i,-0.0092582+0.025991i,-0.0055463+0.022022i,0.011642+0.0050785i,0.0023957-0.005628i,0.0020073-9.2022e-05i,0.0061913-0.002633i,0.00075054-0.0017849i,0.00063053-0.0035864i,0.00027091-0.001836i,0.0064301-0.0063049i,-0.0034345-0.0045965i,-0.0014772+0.0021667i,3.2331e-05+0.00015621i,-6.5739e-06+0.0020135i,-0.0026492+0.00013022i,0.0001592+0.00018118i,0.0013936+0.00040842i,-0.0080567-0.0042148i,-0.00064093-0.00071774i,-0.0024381+0.00055593i,-0.0042117+0.00037142i,-0.0017865+0.00043076i,-0.002089+0.00044983i,-0.0004456-0.00031708i,-0.0032683+0.00038256i,0.0013769-0.0023251i,0.0008664-0.0027695i,-0.00031536-0.0011994i,-0.0017106+0.00058377i,-0.0010246-0.0046102i,-0.0022742+0.0013247i,0.0018902-0.00030363i,-0.00050959+0.0022434i,0.0023707+0.0060526i,0.00016711+0.00061513i,-0.0012648+8.2466e-05i,-0.0010798-0.0016366i,0.0036612+0.0041031i,0.014865+0.0076289i,0.044944-0.054827i,-0.02691+0.0058571i,0.019475-0.026373i,-0.022096-0.034515i,-0.012155+0.0020669i,-0.032854+0.034004i,-0.01968+0.0047149i,-0.016365+0.0086161i,-0.0021767-0.017229i,-0.040484-0.02183i,-0.0084548+0.0018709i,-0.028512+0.011115i,0.0022461+0.01468i,0.0010492+0.0049797i,-0.0040591-0.0050885i,0.00034425+0.0019988i,-0.013268-0.0041502i,0.0053402+0.013229i,-0.0012685+0.0076387i,-0.0017077+0.0041216i,0.00090089+0.0059497i,0.0027064+0.0027662i,-0.0015896+0.018839i,0.0042619+0.0152i,0.0049986-0.0051018i,0.011582-0.0049961i,0.0087781+0.0028073i,-0.0041093-0.0065019i,-0.00011946-0.0019237i,0.019465-0.032124i,0.0093476+0.0040648i,0.0081242-0.0016832i,0.0025592-0.00091308i,0.0061647-0.0090197i,0.022145+0.00023839i,0.0059454-0.0035606i,0.001621-0.0071706i,0.0050651-0.0036969i,0.017675+0.0031071i,0.0068616+0.0034635i,0.0038136-0.003529i,0.0091916+0.009676i,-0.0020974+0.0052512i,0.0087781+0.010103i,-0.013966-0.014135i,-0.0092359+0.0016024i,-0.0089613-0.014134i,-0.0080487-0.0045783i,-0.039603+0.0064007i,-0.0058929+0.0038351i,-0.011849+0.00053191i
0.0074302+0.013317i,-0.0017369+0.01379i,0.0043667+0.022232i,0.0056598+0.022663i,0.0042159+0.027368i,0.014268+0.020307i,-0.0059243+0.026622i,-0.0012236+0.021988i,0.011444+0.001198i,0.00046924-0.0058438i,0.0022368+0.00039783i,0.004952-0.0051747i,0.00011707-0.0025257i,0.00060859-0.0034837i,-0.00038354-0.0017495i,0.0028795-0.0062068i,-0.0056384-0.0024251i,-0.00052266+0.0024487i,0.0010315+0.00015285i,0.0012585+0.0016693i,-0.0018556+0.001613i,0.00072349+0.00054464i,0.0016793-0.0001935i,-0.0077187-0.0016161i,-0.00060066-0.00038122i,-0.0020633+0.0014884i,-0.0031876+0.0022513i,-0.0012071+0.0009672i,-0.0016092+0.0010131i,-0.00019654+3.7197e-05i,-0.002742+0.0017607i,-0.00021385-0.0019154i,-0.00085785-0.0027138i,-0.0014422-0.0010497i,-0.0022816+0.0010247i,-0.00019836-0.0036259i,-0.0013461+0.0019341i,0.00093958-0.0011078i,-5.0317e-05+0.0024539i,0.0039594+0.0039492i,0.00054789+0.00057073i,-0.0014912+0.00030352i,-0.0017102-0.0014003i,0.0047136+0.0029429i,0.015842+0.003143i,0.024306-0.064811i,-0.020646+0.013762i,0.0093573-0.034996i,-0.033926-0.026626i,-0.0097387+0.0054971i,-0.021508+0.03965i,-0.016116+0.01038i,-0.005551+0.0035903i,-0.0042474-0.015719i,-0.045296-0.0062123i,-0.0082694+0.0025384i,-0.024528+0.022897i,0.0060819+0.010461i,0.001643+0.003476i,-0.0089014-0.006649i,-0.0022915+0.0046814i,-0.013276+0.0039243i,0.010555+0.0095939i,0.00080282+0.0098461i,-0.00024408+0.0040548i,0.0030909+0.0066061i,0.0039507+0.0026462i,0.0063626+0.015078i,0.0093546+0.0084467i,-0.0015061-0.0075847i,0.0059885-0.0064947i,0.0080067+0.0012289i,-0.0066111+3.3681e-05i,-0.00063012+0.00063105i,0.0050519-0.032523i,0.010937+0.0014882i,0.0082758-0.0047266i,0.0040721-0.0022921i,0.00098514-0.006398i,0.0207-0.0095826i,0.0031254-0.0051289i,-0.0018072-0.0060356i,0.00089281-0.0035005i,0.01533-0.0031454i,0.007835+0.0020402i,0.0030322-0.0020696i,0.012363+0.0057772i,-0.00037301+0.0061333i,0.010316+0.005707i,-0.019482-0.01214i,-0.0048365-0.012424i,-0.0077523-0.011645i,-0.0078974-0.0033399i,-0.034085+0.020339i,-0.003737+0.004754i,-0.010316+0.0025021i
0.010537+0.011335i,-0.00046281+0.012509i,0.0074518+0.016687i,0.0084893+0.020016i,0.0089968+0.025692i,0.017273+0.017336i,-0.0017045+0.027101i,0.003048+0.020939i,0.0098159-0.0015747i,-0.001356-0.0053016i,0.0032697+0.00025787i,0.0011851-0.005947i,-0.00074532-0.0025848i,-0.00027674-0.0035593i,-0.00091967-0.0015189i,-0.00027961-0.0045229i,-0.0061695+0.00051998i,0.00056793+0.0024165i,0.0014465-0.0009893i,0.002355+0.000437i,-0.00054676+0.0020268i,0.001555+2.0364e-05i,0.0016001-0.00091722i,-0.0076692-0.00028647i,-0.00058997-4.0221e-05i,-0.00095626+0.0025033i,-0.0014943+0.0027375i,-0.0004178+0.0012463i,-0.00094792+0.0013494i,-0.00014546-0.00013124i,-0.0017431+0.0026046i,-0.0011007-0.0012458i,-0.0020178-0.0015192i,-0.0021569-0.00019833i,-0.0017798+0.0022252i,0.00067664-0.0041379i,-0.00064696+0.0018394i,1.5367e-05-0.0013849i,0.0015017+0.0020453i,0.0042801+0.0021073i,0.00088001+0.00037527i,-0.00069952+0.0010918i,-0.0022596-0.0010625i,0.005154+0.0007915i,0.015424-0.00077265i,0.0025484-0.06477i,-0.010367+0.016859i,-0.0027705-0.037263i,-0.037727-0.01771i,-0.0043126+0.0068376i,-0.00725+0.040176i,-0.0050467+0.011621i,-0.0043286-0.0038074i,-0.0058726-0.014681i,-0.04264+0.0082658i,-0.0073445+0.0041278i,-0.012651+0.030645i,0.0072317+0.0061792i,-0.00021702+0.00097339i,-0.016723-0.0032935i,-0.0013479+0.0060472i,-0.008849+0.0087076i,0.012253+0.0028649i,0.0043523+0.0099756i,-0.0010471+0.0047736i,0.0045033+0.0046361i,0.0051256+0.00057818i,0.0085335+0.0084587i,0.0086632+0.0026548i,-0.0066964-0.0028114i,0.0038814-0.0058703i,0.009163-0.00014463i,-0.0025741+0.0073119i,0.0022573+0.0019252i,-0.0050081-0.028249i,0.011921-0.0034847i,0.0055459-0.0072667i,0.0026255-0.004043i,0.00049932-0.0046521i,0.013542-0.016606i,9.5652e-05-0.0021826i,-0.0042239-0.0034183i,-0.00038962-0.00036049i,0.010965-0.007326i,0.010486-0.001913i,0.0040528-0.0033563i,0.014912-0.00028471i,0.0032123+0.0054166i,0.010205+0.0019619i,-0.022671-0.0047527i,-0.015925-0.020555i,-0.0059917-0.013712i,-0.0063318-0.0036198i,-0.023272+0.02688i,-0.0043692-0.00016944i,-0.0082925-0.00095749i
0.013212+0.0077526i,0.0014455+0.011945i,0.0081453+0.011486i,0.010999+0.01785i,0.013346+0.022103i,0.019897+0.013587i,0.0033967+0.026788i,0.0070855+0.018758i,0.0081787-0.0027505i,-0.0028939-0.0041809i,0.0037448-0.0013148i,-0.0013156-0.0041518i,-0.0016625-0.002399i,-0.0015568-0.0028665i,-0.0015794-0.0011986i,-0.001446-0.0016626i,-0.0048537+0.0033794i,0.0013887+0.0017285i,0.00094257-0.0013298i,0.0021359-0.0012573i,0.00039788+0.0017697i,0.0018619-0.00080241i,0.0012136-0.0016286i,-0.0078414+0.0018342i,-0.00032805-5.8462e-07i,0.00081512+0.0018103i,-1.1357e-05+0.0024897i,0.000331+0.00093463i,-0.00012415+0.0016306i,-0.00017197+8.149e-05i,-0.00064032+0.0028287i,-0.001719-0.0005158i,-0.0025961-0.00022383i,-0.0021392+0.0010148i,-0.00070878+0.002654i,0.00033726-0.0060893i,0.00030799+0.0019924i,-0.00080641-0.00094176i,0.001968+0.00062926i,0.0042405+0.00073057i,0.0012318-0.00016893i,6.6629e-05+0.00093181i,-0.0025962-0.00039862i,0.0034401-0.0020625i,0.014423-0.0040244i,-0.015527-0.053795i,-0.0017644+0.013664i,-0.01366-0.034657i,-0.041851-0.0085816i,0.00057997+0.0045761i,0.004412+0.0351i,0.002847+0.0042863i,-0.0047258-0.0053552i,-0.0060489-0.011879i,-0.036298+0.018813i,-0.0061942+0.0054381i,2.2562e-06+0.030456i,0.0074594+0.0028614i,-0.00349+0.0020216i,-0.020025+0.006505i,-0.001133+0.0080713i,-0.0038838+0.0092741i,0.0092423-0.0032541i,0.0078001+0.008602i,0.00023084+0.006808i,0.0039728+0.0043103i,0.0053291-0.0025871i,0.0068467+0.0032825i,0.0050973-0.00010136i,-0.0052505+0.0013662i,0.0019937-0.0057708i,0.0088148-0.0027818i,0.0057066+0.0078725i,0.0034741+0.00012362i,-0.01043-0.022058i,0.0092489-0.0073418i,0.0026897-0.0083826i,0.0018512-0.0032025i,-0.00033671-0.0048855i,0.0055549-0.018019i,0.0025682-0.0010482i,-0.0045914-0.00032061i,0.002089+0.0016208i,0.007011-0.007623i,0.0086169-0.0070031i,0.0020826-0.0040742i,0.011767-0.0076724i,0.0043821+0.0019189i,0.0099087-0.0022819i,-0.018875+0.0035298i,-0.027476-0.017756i,-0.010511-0.018457i,-0.0064488-0.005803i,-0.014337+0.027299i,-0.0092143+9.9609e-06i,-0.01168-0.00014476i
0.014189+0.003827i,0.0024731+0.010333i,0.006721+0.0077903i,0.013495+0.0152i,0.016329+0.017938i,0.021389+0.0094259i,0.0086248+0.024645i,0.010174+0.015671i,0.0072953-0.003339i,-0.0033732-0.0028703i,0.0026638-0.0024601i,-0.0019698-0.0023587i,-0.0024672-0.0019394i,-0.0017991-0.0017791i,-0.0019502-0.00050092i,-0.00092171+0.00051847i,-0.0024621+0.0051272i,0.0015975+0.001032i,0.00082378-0.0013784i,0.0010572-0.002194i,0.00081838+0.0011932i,0.0015487-0.0015855i,0.00036977-0.0019763i,-0.0060636+0.0035706i,-0.00042011-0.00034009i,0.0011214+0.00029622i,0.0012182+0.0013701i,0.00069777+0.00043532i,0.0007953+0.0013094i,0.00031342+0.00019134i,0.00023962+0.0027666i,-0.0017867+5.3692e-05i,-0.0025887+0.0012653i,-0.0015875+0.0019659i,0.00010373+0.00263i,-0.001734-0.0077739i,0.00092532+0.0014389i,-0.00094557-7.126e-05i,0.0016174-0.00021684i,0.0036426-0.00012936i,0.0010241-0.00086717i,0.00032211+0.00042862i,-0.0025019+0.00025978i,0.00095957-0.0015308i,0.012919-0.0064242i,-0.02-0.039005i,0.0028051+0.0085579i,-0.023135-0.02842i,-0.043177+0.0036976i,0.0030135-5.477e-05i,0.012686+0.02752i,0.0049619-0.0030529i,-0.0041867-0.0074684i,-0.0045346-0.012302i,-0.028811+0.026618i,-0.0046085+0.0062957i,0.012279+0.025467i,0.0068559+0.00010493i,-0.0047088+0.0056371i,-0.017226+0.014843i,0.0016127+0.0094743i,0.00040584+0.0097133i,0.0036301-0.0041871i,0.010447+0.005919i,0.0030071+0.0074847i,0.004876+0.0045792i,0.0040685-0.0052413i,0.0037724+0.0033947i,0.0024231+0.0010051i,-0.0041085+0.0031254i,0.00054606-0.0045684i,0.0074587-0.0052138i,0.0097579+0.0028338i,0.0032906-0.0017162i,-0.013566-0.019522i,0.005426-0.0096056i,-0.00077605-0.0085176i,0.0026496-0.0031224i,-0.0020254-0.0035609i,-1.4989e-05-0.016331i,0.0035262-0.003273i,-0.0025116+0.0022936i,0.0047125+9.3684e-05i,0.0051558-0.0082504i,0.0041553-0.011247i,0.0016136-0.0040605i,0.0056754-0.011096i,0.0030183+0.00051824i,0.005709-0.0065226i,-0.011929+0.0047563i,-0.037154-0.00751i,-0.016532-0.018107i,-0.0081573-0.0073501i,-0.0085073+0.026204i,-0.012553+0.003767i,-0.01114+0.0039242i
0.014096+0.000206i,0.0030091+0.009557i,0.0052655+0.0063721i,0.015413+0.012105i,0.017953+0.013552i,0.022409+0.0054822i,0.013402+0.020989i,0.012204+0.012199i,0.0069637-0.0042977i,-0.0037715-0.0022447i,0.0010937-0.0028209i,-0.0021359-0.00091186i,-0.0033111-0.0011378i,-0.0017346-0.0013933i,-0.0021044+0.00019457i,0.00034913+0.0015009i,0.00035423+0.0054694i,0.0016522+0.00054321i,0.00027168-0.0017208i,-0.00012467-0.0024228i,0.0013782+0.00082105i,0.0010667-0.0021972i,-0.00028484-0.0017971i,-0.0049921+0.0037392i,-0.00071686-0.00012072i,0.00044552-0.00058294i,0.0013738-2.7332e-05i,0.00090815-0.00017787i,0.0013585+0.00047874i,0.00050743-0.0003519i,0.0011727+0.0025391i,-0.0017466+0.00055898i,-0.0015778+0.0024206i,-0.0005818+0.0024264i,0.00077157+0.0024822i,-0.0046578-0.0083309i,0.0011096+0.0005802i,-0.00056525+0.0002679i,0.0012674-0.00077464i,0.0031342-0.0004712i,0.00057234-0.00094798i,0.00026652+0.0003165i,-0.0022065+0.00064333i,0.00021756+3.4441e-05i,0.011402-0.0079114i,-0.017895-0.032053i,0.0047307+0.004287i,-0.027948-0.018337i,-0.037174+0.017778i,0.00018473-0.0044238i,0.016527+0.019544i,0.0049069-0.0090795i,-0.0045535-0.0083793i,-0.0060728-0.012803i,-0.020299+0.031117i,-0.0038651+0.0072872i,0.018512+0.01256i,0.0057225-0.0024607i,-0.0029727+0.0090025i,-0.010278+0.021321i,0.0044939+0.0083981i,0.0052141+0.0067013i,0.0013403-0.0018885i,0.012816+0.0012082i,0.0053925+0.0071198i,0.0060566+0.0038108i,-0.00080901-0.0077717i,0.0037562+0.0053937i,0.0029819+0.0027291i,-0.001842+0.0063149i,0.00067949-0.0038798i,0.0057949-0.0065379i,0.010353-0.0026484i,0.0025697-0.003361i,-0.019641-0.017142i,0.0016008-0.010189i,-0.0042554-0.0071484i,0.0011903-0.0040853i,-0.0021352-0.0015739i,-0.0029281-0.013256i,0.0019802-0.0050801i,-3.0289e-05+0.002379i,0.0046667-0.0037332i,0.0021983-0.0090286i,-0.0029247-0.011419i,0.00057485-0.0052934i,0.00058681-0.0099249i,0.0029198-0.00065688i,0.00044844-0.0060481i,-0.0088693+0.0044i,-0.034368+0.0092624i,-0.022308-0.015538i,-0.010293-0.0070806i,-0.0046963+0.025659i,-0.011243+0.0095375i,-0.0067239+0.0051954i
0.013221-0.003129i,0.0041403+0.0094349i,0.0044927+0.0059077i,0.016746+0.0085984i,0.018597+0.0098068i,0.022918+0.0010815i,0.016987+0.01622i,0.013255+0.0088742i,0.0064813-0.0053358i,-0.0043702-0.0011427i,-0.00014964-0.0021591i,-0.0011815+0.00039789i,-0.0037931+5.1469e-05i,-0.0022244-0.0014178i,-0.0020956+0.00093948i,0.0013156+0.0016908i,0.0026221+0.004495i,0.0015806+0.00018233i,-0.0001147-0.0017164i,-0.0010959-0.0018913i,0.0017154+0.00017998i,0.00020941-0.002594i,-0.0007533-0.0014486i,-0.0044413+0.0050311i,-0.0007182-9.3206e-05i,-0.00032808-0.00069317i,0.0010752-0.00089937i,0.00060429-0.0009927i,0.001332-0.00056183i,0.00014705-0.000922i,0.0020214+0.0019077i,-0.0012593+0.0015001i,8.4087e-05+0.0024932i,0.00051305+0.0023102i,0.001499+0.0018632i,-0.0080577-0.0075844i,0.001096-4.4235e-05i,-0.00036881+5.5192e-05i,0.00075962-0.0012926i,0.0028149-0.00077962i,0.00033141-0.00096306i,0.00060602+0.0001793i,-0.0020518+0.00077386i,0.00056262+0.0006121i,0.01052-0.0098532i,-0.018167-0.031152i,0.0056205+0.00098974i,-0.026759-0.0091627i,-0.026014+0.027373i,-0.0021654-0.0045585i,0.018993+0.013085i,0.0021321-0.014268i,-0.0047484-0.0094803i,-0.0067527-0.011039i,-0.011958+0.034202i,-0.0012823+0.0073837i,0.013752+0.00067148i,0.0031618-0.004875i,0.00015563+0.010328i,-0.0021404+0.022435i,0.0057223+0.0062416i,0.0063717+0.0018733i,0.0019754-0.00064025i,0.012199-0.0031534i,0.0097078+0.0054331i,0.0072398+0.0033648i,-0.004806-0.0033736i,0.0060529+0.0057824i,0.0043951+0.0032589i,0.0020869+0.0063165i,-0.00019965-0.004171i,0.0038639-0.008029i,0.008366-0.0091077i,-0.00041396-0.0038593i,-0.025755-0.010293i,-0.001658-0.0093421i,-0.006346-0.0038433i,0.0011124-0.0022902i,-0.0019953-0.00098822i,-0.00452-0.012615i,-0.000495-0.0059798i,0.00088029+0.00073823i,0.0021147-0.0050407i,-9.554e-05-0.0085982i,-0.006838-0.0071258i,-0.0020592-0.0056875i,-0.0038589-0.0079755i,0.0014273-0.0017117i,-0.0016852-0.0034632i,-0.0054537+0.0044114i,-0.026341+0.011525i,-0.02315-0.010998i,-0.012064-0.0061754i,0.00047144+0.023457i,-0.0092563+0.011651i,-0.0048408+0.0039177i
0.011644-0.0058742i,0.0061678+0.0091962i,0.0044426+0.0061072i,0.017229+0.005099i,0.018629+0.0065709i,0.022305-0.0032745i,0.019337+0.010906i,0.013721+0.0059585i,0.0058255-0.0066787i,-0.0044695+0.00020294i,-0.0004056-0.0011738i,-9.4187e-05+0.00021932i,-0.003836+0.0014607i,-0.0031423-0.00058591i,-0.0016714+0.001777i,0.0022486+0.0011165i,0.0040053+0.0029035i,0.0016521-0.0001069i,-0.00047519-0.0015817i,-0.0014168-0.0009337i,0.0017656-0.00050952i,-0.00057772-0.0022571i,-0.00096565-0.0010379i,-0.0022692+0.0060622i,-0.0010319+1.5251e-05i,-0.00070282-0.00051875i,0.00023138-0.0016515i,-0.00017761-0.0014563i,0.00071916-0.001451i,-0.00042139-0.0010625i,0.0024183+0.001016i,-0.00020565+0.0012853i,0.00083901+0.0016965i,0.0012487+0.0017901i,0.001757+0.0011986i,-0.011024-0.0049112i,0.00069361-0.00069361i,-0.00058126+0.00013715i,-5.5138e-05-0.0017997i,0.0026996-0.00092328i,0.00012721-0.00096286i,0.00068754-7.0126e-05i,-0.0020978+0.00089454i,0.00085503+0.00088314i,0.0087999-0.012311i,-0.022854-0.029774i,0.0052508-0.0025924i,-0.025161-0.0025602i,-0.013198+0.030054i,-0.0046428-0.0044622i,0.020772+0.0060056i,-0.0010074-0.016169i,-0.0059776-0.0099423i,-0.0060217-0.0085984i,-0.0020826+0.034973i,0.00094782+0.0064325i,0.0079014-0.0012909i,3.5112e-05-0.0055497i,0.0046678+0.010992i,0.0049528+0.020148i,0.0059956+0.0038616i,0.0051812-0.0020064i,0.001376-0.000185i,0.0096918-0.0077458i,0.012178+0.00082317i,0.0087329+0.0016699i,-0.0046395-0.00020289i,0.0085115+0.0049435i,0.0063056+0.0030276i,0.005949+0.0041938i,-0.0011447-0.0037264i,0.0020452-0.0091222i,0.0028304-0.012487i,-0.0015591-0.0017082i,-0.02854-0.00039806i,-0.0038169-0.0081122i,-0.006407-0.00019395i,0.0016164-0.0018349i,-0.0021974-0.0004558i,-0.0078639-0.012125i,-0.0033081-0.0053955i,0.0013954+0.0001728i,7.4983e-05-0.0052645i,-0.0011484-0.0076438i,-0.008345-0.0039042i,-0.0047683-0.0036656i,-0.0067762-0.0050678i,0.0006042-0.0022261i,-0.0018741-0.0020884i,-0.0025417+0.0034931i,-0.024302+0.012942i,-0.022728-0.0087269i,-0.013693-0.0045144i,0.0023291+0.021972i,-0.007572+0.01246i,-0.0035167+0.0029512i
0.0097809-0.0078296i,0.0088832+0.0078068i,0.0057035+0.0061907i,0.017013+0.0018523i,0.018862+0.0038608i,0.020784-0.0072653i,0.020042+0.0047561i,0.013844+0.0031496i,0.0046484-0.0079133i,-0.0042717+0.0013008i,-0.00021017-0.00091686i,-0.00018779-0.00058103i,-0.0032536+0.0029061i,-0.0030473+0.00073999i,-0.00092484+0.0022971i,0.0023551+0.00012273i,0.0044345+0.0010145i,0.0014552-0.00061317i,-0.00086885-0.0012043i,-0.0011299-0.00024994i,0.0017064-0.0012394i,-0.00094068-0.001847i,-0.00093381-0.00069173i,-1.6253e-05+0.0057721i,-0.0012269+0.00037828i,-0.0011828-0.00026934i,-0.0011881-0.0018885i,-0.0010854-0.0013949i,-0.00029233-0.0019693i,-0.001-0.00088846i,0.0024767+0.00014313i,-0.00013438+0.0010605i,0.0010078+0.0011534i,0.0016796+0.0011218i,0.0018437+0.00057633i,-0.012379-0.0010372i,-0.00020589-0.0010003i,-0.00048127+0.00029597i,-0.0011369-0.0017755i,0.0026579-0.0012723i,-0.00016372-0.00084054i,0.00078068-0.00033448i,-0.002109+0.0013132i,0.0012481+0.00099488i,0.0059009-0.013673i,-0.028681-0.023253i,0.004038-0.0054884i,-0.019224+0.0037864i,-0.0019557+0.030158i,-0.0061152-0.0012617i,0.020562-0.0017733i,-0.0014176-0.018731i,-0.0058795-0.0089701i,-0.0033081-0.0060817i,0.0070524+0.032252i,0.0018295+0.0044499i,0.0044574-0.0022688i,-0.0034987-0.0050448i,0.0099221+0.0081874i,0.0091708+0.016072i,0.0045669+0.0021108i,0.0029946-0.005201i,0.0025118+0.0022952i,0.0049933-0.010355i,0.011995-0.0052802i,0.0093512-0.0010567i,-0.0044226+0.0024166i,0.011623+0.0027345i,0.0090402+0.00020016i,0.0071946-0.00034301i,-0.001699-0.0030614i,-0.00086206-0.0094995i,-0.0043236-0.012101i,-0.00073799+1.0495e-05i,-0.027418+0.010029i,-0.0057327-0.0070002i,-0.0046527+0.0026011i,0.002-0.0045208i,-0.0018695+0.00095205i,-0.011976-0.0093838i,-0.0056894-0.0027273i,0.0011453-0.0010745i,-0.0018752-0.0045465i,-0.0027529-0.0071334i,-0.0084555+0.00081173i,-0.0052089-0.00057294i,-0.0083266-0.0015397i,-0.0010485-0.0031536i,-0.0015915-0.0016518i,-0.00060075+0.0025281i,-0.023006+0.019383i,-0.023089-0.0091919i,-0.013111-0.0021671i,0.0062251+0.021212i,-0.0066247+0.01461i,-0.0019551+0.00025006i
0.0079732-0.0092004i,0.011064+0.0053153i,0.0072655+0.0049039i,0.01619-0.0012224i,0.018955+0.0010295i,0.018789-0.010488i,0.01868-0.00069826i,0.013507+0.00052263i,0.0033401-0.0087802i,-0.0039467+0.002514i,-0.00043611-0.00086394i,-0.00096634-0.00059432i,-0.0021582+0.0038279i,-0.0024958+0.0017109i,-0.00022259+0.0024627i,0.0016025-0.00054294i,0.0039596-0.00054183i,0.0012657-0.00085773i,-0.00076355-0.00083515i,-0.00062787+1.3085e-05i,0.0014974-0.0019643i,-0.0011027-0.0015867i,-0.0007425-0.00052577i,0.0017107+0.0052494i,-0.0011407+0.00071522i,-0.0015185+0.00036415i,-0.0025598-0.0011193i,-0.0017392-0.00080133i,-0.0015189-0.0018487i,-0.0015996-0.00048679i,0.0022552-0.00061398i,1.2565e-05+0.0012395i,0.001241+0.00068478i,0.00191+0.00034221i,0.0016806+6.9869e-05i,-0.01211+0.0029133i,-0.00095867-0.00075657i,-0.00056105+0.00015137i,-0.0021076-0.0010585i,0.0024489-0.0019278i,-0.00018419-0.0005921i,0.0007833-0.00068726i,-0.0019872+0.0018724i,0.001609+0.00086541i,0.0034528-0.013905i,-0.02893-0.014043i,0.00080396-0.0072851i,-0.012476+0.0048577i,0.0090859+0.027056i,-0.0049034+0.0028721i,0.017257-0.0084655i,-0.004608-0.023669i,-0.0040383-0.0089947i,0.0016434-0.0048718i,0.015109+0.0263i,0.0017243+0.0032811i,0.0010308-0.0020809i,-0.0057221-0.0024182i,0.012124+0.0023558i,0.012169+0.012638i,0.0024168+0.0024685i,-0.00026076-0.0075585i,0.0060496+0.00095074i,-0.00027437-0.010024i,0.0079962-0.0094817i,0.0088012-0.0042548i,-0.0038108+0.0045344i,0.01304-0.0027479i,0.008407-0.005124i,0.0059301-0.0044142i,-0.0021218-0.0025971i,-0.0039273-0.008773i,-0.0090046-0.0071595i,0.00068706-0.00033776i,-0.021265+0.021202i,-0.0077459-0.005193i,-0.0020431+0.0038207i,-0.0011575-0.0053061i,-0.00058244+0.0012499i,-0.015104-0.0046099i,-0.0050799+0.00089957i,-6.4475e-05-0.0020453i,-0.0036993-0.0029238i,-0.0046732-0.0056493i,-0.0056686+0.0038813i,-0.0038535+0.0014884i,-0.0081788+0.0030822i,-0.0037886-0.0028302i,-0.002028-0.0015577i,0.003178+0.0022596i,-0.01226+0.025054i,-0.027262-0.0073726i,-0.011553-0.0019861i,0.0086456+0.019053i,-0.0036725+0.016805i,-0.0030147-0.0033554i
