-0.024543-0.0041165i,-0.022853+0.0018441i,-0.01703-0.006825i,-0.029428-0.012709i,-0.028463+0.0033936i,-0.039333-0.0052179i,-0.064543-0.03287i,-0.034248-0.017237i,-0.030499-0.0023985i,0.0063796+0.0029521i,-0.0035784+0.0068487i,-0.005971+0.013138i,0.004123+0.0097288i,-0.0026208+0.003859i,0.0043446+0.0046934i,0.0031902+0.026554i,0.02278+0.023241i,0.00081319-0.001196i,0.00079142-0.0065643i,0.0065311-0.0004233i,0.0058244+1.0834e-05i,0.0033442+0.002756i,0.00091021-0.00017492i,-0.030102-0.002881i,-0.0054957-0.0053289i,-0.0015508+0.002615i,0.0010619-0.0026424i,-0.00098839+0.00060671i,-0.0013042+0.0011375i,-0.0019784-0.0032874i,-0.0042646-0.0016199i,-0.0068768-0.0070249i,-0.003339-0.0015327i,-0.00042867+2.1464e-05i,0.0015102-0.0032029i,-0.0010251+0.021345i,0.001173-0.0032136i,0.00030571-0.0023286i,0.0043981-0.003123i,-0.0022414-0.0022221i,0.0008802+0.00025334i,0.0057678-0.0005339i,0.0049519-0.0026642i,-0.00069962+0.0022106i,-0.013434+0.016222i,-0.02985+0.056168i,-0.0026769-0.037308i,-0.013814-0.015677i,-0.034198-0.014554i,-0.028026-0.014689i,0.043135-0.0068879i,0.0085262-0.032868i,0.014738-0.040655i,-0.010271-0.029481i,0.025245-0.024228i,0.012123+0.0062991i,0.028137-0.034973i,-0.0025752-0.0047999i,0.0068964-0.0082792i,-0.0014647-0.006124i,0.0034929-0.037379i,-0.012664+0.029415i,0.006444-0.010828i,-0.01054-0.0063344i,-0.0028672-0.001624i,0.0001299-0.013634i,-0.008172+0.0058948i,0.0036631+0.0073282i,-0.0012668+0.027614i,0.0021683+0.00038315i,-0.0072876-0.0047698i,-0.002878-0.0064851i,-0.013716-0.0088235i,-0.002291-0.0068375i,-0.03664+0.0052948i,-0.0045467-0.0091632i,-0.012948-0.002599i,-0.010185-0.0048558i,0.0014863-0.0016996i,-0.013788+0.0021712i,-0.0012565-3.2244e-05i,0.0067006+0.0065229i,0.0037556-0.0050828i,-0.012043-0.01137i,0.0083501+0.0091162i,-0.017238+0.0049667i,0.0051978-0.00047648i,-0.019446-0.0018596i,-0.018269-0.0036518i,-0.017882-0.032826i,0.020414-0.009438i,-0.039603-0.022835i,-0.0084803+0.0045252i,0.017793+0.016581i,-0.021557+0.017138i,-0.0032586-0.0044682i
0.0037586+0.01332i,0.0091289+0.016469i,0.005822+0.02275i,-0.0072981+0.019647i,0.00047518+0.031254i,0.01294+0.021642i,-0.011286+0.026492i,-0.0080594+0.02049i,0.012253+0.0095418i,3.202e-05-0.0035566i,0.0010481-0.00048287i,0.0050706-0.0028635i,0.0027161-0.00089146i,0.0016793-0.0032796i,-0.00039273-0.001474i,0.006292-0.0064419i,-0.0036634-0.0046167i,-0.0032263+0.0015426i,8.3316e-05+0.00065629i,0.0005269+0.001808i,-0.0017332-0.0017142i,2.3977e-05-0.00080164i,0.0020594+0.00013479i,-0.01053-0.0059607i,-0.00024339-0.0004637i,-0.0017574+0.00052743i,-0.0026767+0.00024666i,-0.0027634+0.0010126i,-0.0022524-0.00031382i,0.00083671-0.00088891i,-0.0032139+0.0013512i,0.00097843-0.0017162i,-0.0012528-0.0015397i,0.00070335-0.001036i,-0.00089974+0.0012366i,-0.00065657-0.0044898i,-0.0016464+0.0015668i,0.0011907+0.00045009i,0.0034605+0.0063143i,0.0036724+0.0033132i,-0.00039987+0.00066232i,-0.0010162+0.00024649i,-0.0012017-0.0015623i,0.0026227+0.0073864i,0.015149+0.005764i,0.044588-0.057494i,-0.026245+0.0053035i,0.015144-0.024165i,-0.02032-0.032439i,-0.01398+0.001006i,-0.038779+0.032377i,-0.022865+0.0031622i,-0.01734+0.0067729i,-0.0040402-0.017367i,-0.040607-0.018085i,-0.0078427+0.0022226i,-0.028505+0.012251i,0.0035571+0.014438i,-9.7313e-05+0.0053736i,-0.0066807-0.0043774i,-0.00010259+0.0018234i,-0.015796-0.0045141i,0.0050014+0.011691i,-0.0016831+0.0074815i,-0.0022649+0.0034108i,0.00068142+0.0049459i,0.0016217+0.0036981i,-0.0027363+0.020477i,0.0025152+0.01686i,0.0058508-0.006013i,0.013428-0.0059519i,0.0089741+0.0035793i,-0.0022743-0.0066588i,-0.00031323-0.001236i,0.02058-0.032558i,0.010409+0.005776i,0.0096528-0.00032011i,0.0025242-0.00078252i,0.0051343-0.0076786i,0.022026+3.0515e-05i,0.0060347-0.0028659i,0.0012649-0.0077411i,0.0043652-0.0033036i,0.014845+0.0029146i,0.0059747+0.0036661i,0.0038133-0.0044294i,0.0094176+0.0082917i,-0.0020639+0.0048972i,0.0096779+0.010202i,-0.012437-0.013014i,-0.0095128+0.00073294i,-0.0083892-0.013998i,-0.0082719-0.0050499i,-0.041325+0.0032824i,-0.0059196+0.0043115i,-0.012724-0.00092705i
0.0060342+0.012309i,0.011445+0.013217i,0.01041+0.018345i,-0.0041577+0.018958i,0.0051461+0.028434i,0.016+0.018612i,-0.007835+0.027856i,-0.0043589+0.020837i,0.012805+0.0046086i,-0.00053286-0.0025052i,0.0013249+0.00015942i,0.0037977-0.0046234i,0.0021454-0.0024642i,0.0017928-0.0029153i,-0.00095106-0.0010666i,0.0025391-0.0060591i,-0.0059823-0.0022225i,-0.00077416+0.0029917i,0.0011755+0.00082838i,0.0014062+0.0012907i,-0.0032067-0.00029858i,0.00045742-4.9944e-05i,0.0023858-0.00069678i,-0.01032-0.0020921i,4.1288e-05-9.0242e-05i,-0.0015745+0.0012157i,-0.0020506+0.0014788i,-0.0017537+0.0017501i,-0.002098+5.2333e-06i,0.00095353-0.00093351i,-0.0026121+0.0034558i,-0.00010914-0.0012076i,-0.0020264-0.00091546i,-0.00083743-0.0015069i,-0.0018239+0.00076605i,0.00016836-0.0032726i,-0.0004146+0.0020559i,0.0011034-8.3987e-05i,0.023946-0.0061557i,0.0040642+0.00067199i,-0.00010777+0.00094931i,-0.0010538+0.00052291i,-0.0017758-0.0010943i,0.0046738+0.0065296i,0.015889+0.00032551i,0.02271-0.067403i,-0.019599+0.013569i,0.0058323-0.030596i,-0.030514-0.025685i,-0.011614+0.0049893i,-0.026322+0.040583i,-0.020041+0.0096881i,-0.0064963+0.0011615i,-0.0061603-0.015963i,-0.04444-0.0036916i,-0.0073286+0.0025569i,-0.023142+0.023839i,0.0055676+0.009929i,0.0013479+0.0039722i,-0.010864-0.0071646i,-0.003523+0.004755i,-0.015211+0.0036054i,0.010398+0.0083327i,-0.00054435+0.011336i,-0.00059804+0.0038659i,0.002479+0.006379i,0.0034449+0.003841i,0.0062293+0.016915i,0.0079008+0.010257i,-0.0012273-0.0089274i,0.0063562-0.0082898i,0.0084798+0.0014682i,-0.0039784+0.0019496i,-0.00038267+0.001064i,0.0060033-0.034369i,0.012441+0.0029268i,0.0094619-0.0045249i,0.0042816-0.002048i,0.0008486-0.0049921i,0.021076-0.0091398i,0.0035358-0.0047042i,-0.001896-0.0064885i,0.00014969-0.0028428i,0.013-0.0021552i,0.0078807+0.0029768i,0.0027206-0.0029046i,0.011669+0.0045202i,-0.00041819+0.0055771i,0.010981+0.0055696i,-0.017651-0.011069i,-0.0052136-0.012956i,-0.0077422-0.011785i,-0.0086098-0.003849i,-0.034421+0.0196i,-0.0039236+0.0052739i,-0.010773+0.0021301i
0.0089789+0.010779i,0.013275+0.010061i,0.012709+0.013648i,-0.001745+0.018093i,0.010561+0.026112i,0.018573+0.014945i,-0.0033617+0.02881i,-0.00055093+0.020066i,0.011269+0.00078574i,-0.0010599-0.0024192i,0.0023815+0.0001248i,0.00097031-0.0055384i,0.00099451-0.0029852i,0.0010201-0.0035108i,-0.0011742-0.00059117i,-0.00076856-0.0040272i,-0.0066622+0.00091787i,0.0010741+0.0034026i,0.0020535-0.0004606i,0.0020922+0.00041666i,-0.0014616+0.00076962i,0.0013171-0.0003568i,0.0022948-0.0016448i,-0.0099677+4.2494e-05i,-2.752e-06+0.00018597i,-0.00067727+0.0022673i,-0.00082361+0.0016997i,-0.00054841+0.0020909i,-0.0019576+0.00073801i,0.00032024-0.0016278i,-0.0011666+0.0053401i,-0.00059169-0.00062173i,-0.0022342+0.00018963i,-0.0017593-0.00093018i,-0.0017215+0.0019881i,0.0014167-0.0035465i,0.00051458+0.0017243i,0.00082025-0.00061694i,-0.0047762+0.011845i,0.0032757-0.00082166i,0.00028828+0.00081398i,-0.00038797+0.0012114i,-0.0023167-0.00067775i,0.0059769+0.004139i,0.014682-0.004014i,-0.00075806-0.066736i,-0.0084425+0.016545i,-0.0044857-0.032035i,-0.035084-0.018269i,-0.0057712+0.0067879i,-0.0093955+0.041841i,-0.0086556+0.013076i,-0.0066189-0.0056585i,-0.0076203-0.01489i,-0.04125+0.010261i,-0.0063798+0.0039171i,-0.0099844+0.031083i,0.005576+0.0057076i,-0.00026635+0.00075386i,-0.018853-0.0022316i,-0.0025567+0.0070312i,-0.010497+0.008043i,0.011705+0.0017634i,0.004851+0.010534i,-0.0015625+0.0044795i,0.0039862+0.0047838i,0.0051308+0.0018216i,0.0096315+0.010107i,0.0081222+0.005171i,-0.0076982-0.0031531i,0.0034012-0.0069794i,0.0098603+8.543e-05i,-0.0015442+0.0062825i,0.0024617+0.0027085i,-0.0030255-0.039099i,0.01409-0.0031882i,0.0064572-0.0077017i,0.0029874-0.0045175i,0.00081737-0.0032668i,0.013797-0.016563i,-4.7253e-06-0.0015854i,-0.0021203-0.00075656i,-0.00084328+0.0005737i,0.0095381-0.0046736i,0.011139-0.0019051i,0.0035182-0.0039276i,0.013851-0.0010645i,0.0034762+0.0050865i,0.010899+0.0014665i,-0.020618-0.0037483i,-0.016198-0.020473i,-0.0066533-0.014071i,-0.0073109-0.0036771i,-0.023247+0.025582i,-0.0037636+0.00048218i,-0.0088541-0.0014296i
0.01185+0.0078041i,0.014638+0.0068833i,0.013576+0.0087673i,0.00091599+0.017848i,0.015446+0.021233i,0.020615+0.010674i,0.0019851+0.028785i,0.0026504+0.018384i,0.0093985-0.00080284i,-0.0017547-0.0018612i,0.0030664-0.0012772i,-0.0014174-0.0042452i,-0.00036419-0.0030146i,-0.0008272-0.0030552i,-0.0014608-0.00024788i,-0.0017811-0.00063054i,-0.0049965+0.0041823i,0.002449+0.0026187i,0.0014333-0.0011985i,0.0020109-0.0010703i,-0.00069207+0.00086164i,0.0017763-0.0011728i,0.0017748-0.0026778i,-0.0096452+0.0028836i,0.00043449+8.9825e-05i,0.0013832+0.0015444i,-2.3628e-05+0.0013019i,0.00052691+0.0016299i,-0.0010261+0.0016303i,-0.00026984-0.0011489i,0.0004648+0.0047637i,-0.0011368-0.00014137i,-0.0020556+0.0011902i,-0.0021617+0.0003163i,-0.00075109+0.0022954i,0.001423-0.005364i,0.0014222+0.0011538i,0.00032863-0.00083839i,0.00054829+0.00092016i,0.0026939-0.0016389i,0.00057795+0.00033612i,0.00050694+0.00099018i,-0.002655+0.00011186i,0.004963+0.00025197i,0.012893-0.0072399i,-0.019015-0.055323i,0.00084309+0.012597i,-0.013324-0.029145i,-0.038798-0.010256i,-8.2609e-05+0.0045641i,0.0045258+0.034548i,0.00044051+0.0069198i,-0.0074514-0.0064438i,-0.0077231-0.011893i,-0.034001+0.019121i,-0.0052791+0.0049703i,0.0023808+0.028649i,0.0081814+0.003447i,-0.0041395+0.001553i,-0.02194+0.0081464i,-0.0016997+0.0093818i,-0.006794+0.008869i,0.0084502-0.0037175i,0.0083276+0.0082899i,-0.00048634+0.0070168i,0.0037447+0.0045944i,0.0057285-0.0016911i,0.0085289+0.0035008i,0.0057106+0.0020931i,-0.0056031+0.0021214i,0.0013585-0.0062932i,0.0095043-0.0025463i,0.0055689+0.0064602i,0.0042668+0.00091503i,-0.015002-0.020755i,0.010546-0.0080227i,0.0035363-0.0091841i,0.0013116-0.0033577i,0.00056776-0.004082i,0.0054762-0.017911i,0.0029811+2.4478e-05i,-0.0045963+0.0016515i,0.0023141+0.0024545i,0.0069564-0.004891i,0.0087588-0.0071386i,0.0014892-0.0045489i,0.009778-0.0081584i,0.0038689+0.0017326i,0.010019-0.0032896i,-0.01591+0.0036491i,-0.027621-0.018237i,-0.010597-0.017868i,-0.0077373-0.0051071i,-0.014845+0.027106i,-0.0087639-0.00023892i,-0.012135-0.00021045i
0.013069+0.0042227i,0.014791+0.0031996i,0.012625+0.0046992i,0.0040072+0.016823i,0.018322+0.015713i,0.02137+0.0061942i,0.0075194+0.027156i,0.0051156+0.016705i,0.0084354-0.001583i,-0.001973-0.0010779i,0.0020643-0.0025938i,-0.0023132-0.0026317i,-0.0014437-0.0026474i,-0.0011408-0.0018322i,-0.0015336+0.00047382i,-0.00085389+0.001869i,-0.0021091+0.0061789i,0.0030744+0.0013892i,0.0011843-0.0012325i,0.0008407-0.0019658i,-0.00044274+0.00073194i,0.0013666-0.0019967i,0.00061178-0.003344i,-0.0069942+0.0049315i,0.00047333-0.00043532i,0.0016673-0.00068356i,0.00045635+0.00066883i,0.0010983+0.00093621i,-0.00026454+0.0014296i,0.00016146-0.00080903i,0.0019835+0.004281i,-0.00096414+0.00020979i,-0.0014377+0.0021739i,-0.0017201+0.0013506i,-0.00035303+0.0023832i,3.768e-05-0.0068369i,0.0015961+3.8537e-05i,-3.4869e-05-0.00063587i,0.00087454-0.0011267i,0.0020457-0.0018618i,0.00038037-0.00012134i,0.00078358+0.0004085i,-0.0018868+0.0014602i,0.0020897+0.00049227i,0.010863-0.0094591i,-0.025096-0.041288i,0.0051165+0.0062988i,-0.020476-0.023811i,-0.036817+0.0026192i,0.0028242-0.00076897i,0.01849+0.027413i,0.0041051-0.00024237i,-0.0073469-0.0074509i,-0.0061665-0.011801i,-0.027021+0.025159i,-0.0035429+0.005433i,0.012578+0.023593i,0.0073448+0.00015893i,-0.0059634+0.0054468i,-0.018868+0.01746i,0.0018433+0.010869i,-0.0027263+0.011421i,0.0031732-0.0042215i,0.010631+0.0053986i,0.0023624+0.0082754i,0.0045518+0.0045617i,0.0049458-0.0043685i,0.0046621+0.0031417i,0.0034069+0.0029535i,-0.0037289+0.0036589i,0.00014492-0.004652i,0.0079857-0.0054345i,0.0088403+0.0016307i,0.0044177-0.0015492i,-0.016133-0.018822i,0.0062797-0.010482i,-0.0010673-0.0093303i,0.0026557-0.0030687i,-0.00074076-0.0035199i,-0.00025663-0.016303i,0.0040748-0.0021439i,-0.0024354+0.0035033i,0.005167+0.00064358i,0.0058124-0.0061549i,0.0038724-0.010557i,0.0010436-0.0040471i,0.0035441-0.010567i,0.0025585+7.6546e-05i,0.0055857-0.0075558i,-0.0098724+0.0047471i,-0.037265-0.0075437i,-0.016984-0.017481i,-0.0087704-0.006631i,-0.0082078+0.026233i,-0.012663+0.0033543i,-0.011115+0.0037082i
0.01329+0.00078902i,0.013905+0.00014493i,0.010935+0.0023328i,0.0067481+0.014952i,0.019034+0.0099656i,0.021691+0.002128i,0.012792+0.023785i,0.0071703+0.014629i,0.0081318-0.002779i,-0.0019911-0.00070842i,0.0003671-0.0030026i,-0.0024751-0.00129i,-0.0025726-0.0022167i,-0.0010378-0.0014474i,-0.0014604+0.001102i,0.00071904+0.0030992i,0.0015709+0.0063208i,0.0029623-0.00016697i,0.00061233-0.0016418i,-0.00021144-0.0021025i,0.00026911+0.00078323i,0.00083546-0.00257i,-0.00056697-0.0033116i,-0.0056092+0.0046606i,1.2905e-06-0.00054625i,0.0010161-0.0020787i,0.00049562-6.1665e-05i,0.001415-8.8892e-05i,0.00053072+0.0014386i,0.00017653-0.0013246i,0.0040622+0.0032973i,-0.00078473+0.0002791i,-0.00028025+0.0026103i,-0.00093366+0.0017722i,0.00016064+0.0026338i,-0.0025162-0.0070949i,0.0010661-0.00074832i,-0.00019019-0.00047973i,0.00024262-0.0013454i,0.0011402-0.0018706i,0.00020494-8.2537e-05i,0.00072783+0.00010517i,-0.0010893+0.00056695i,0.0013693+0.0022243i,0.0088042-0.010613i,-0.023687-0.032954i,0.0062579+0.0015675i,-0.024265-0.014879i,-0.033615+0.015845i,-0.00030736-0.0059282i,0.020669+0.019354i,0.0053628-0.0066116i,-0.006831-0.0071707i,-0.0077551-0.011307i,-0.020502+0.029563i,-0.0032328+0.0060685i,0.018182+0.010728i,0.0061265-0.0026513i,-0.0045255+0.0095035i,-0.010467+0.024195i,0.005625+0.0096338i,0.0035025+0.0093044i,0.0012659-0.0024822i,0.01301+0.001015i,0.0054684+0.0081086i,0.0056874+0.0038745i,0.00051457-0.0078i,0.0044672+0.0051787i,0.0043793+0.0044604i,-0.00086617+0.0061431i,0.00070287-0.0040754i,0.0057788-0.0066227i,0.0091053-0.0032762i,0.0036267-0.0038359i,-0.023739-0.016121i,0.0021321-0.01116i,-0.0051778-0.0070158i,0.0015302-0.0042653i,-0.0014474-0.0022656i,-0.0032075-0.013118i,0.0028544-0.0040221i,0.00052056+0.0033387i,0.0055064-0.0035467i,0.003184-0.0074529i,-0.0022121-0.010164i,0.00027448-0.0053886i,-0.00092923-0.0078696i,0.0021763-0.0012569i,0.00018402-0.0071188i,-0.0071587+0.0042705i,-0.034399+0.0093232i,-0.022742-0.013987i,-0.010678-0.0067868i,-0.0046729+0.02553i,-0.011519+0.0090601i,-0.0062706+0.0045622i
0.012657-0.0024683i,0.012807-0.0019696i,0.0095646+0.00098902i,0.008679+0.012378i,0.018168+0.005718i,0.021452-0.0022744i,0.01686+0.019219i,0.0086114+0.012562i,0.0076799-0.0039821i,-0.0022012-0.0002141i,-0.00101-0.0022651i,-0.0019287-0.00016832i,-0.0033402-0.00080518i,-0.0015046-0.0017297i,-0.0012576+0.0016796i,0.0022613+0.0033226i,0.0047726+0.0044135i,0.0023497-0.00085286i,0.00031646-0.0014686i,-0.00092218-0.0017811i,0.00084094+0.00037033i,-0.00010472-0.0030037i,-0.0015469-0.0027507i,-0.0054928+0.0058274i,-0.00031524-0.00077395i,-0.00015055-0.0021039i,0.0003076-0.00050691i,0.00085905-0.0011536i,0.0011194+0.00060276i,-0.00060877-0.0019698i,0.0050248+0.0019702i,-0.00054819+0.00073823i,0.0011416+0.0023027i,-0.00027223+0.0018892i,0.0010554+0.0019784i,-0.0055449-0.0064566i,0.00064764-0.00099284i,-0.00035794-0.0004977i,-2.6634e-05-0.0014088i,0.00042048-0.0015487i,0.00025731-0.00013593i,0.00076934-9.8322e-05i,-0.0012885+0.00039832i,0.0022106+0.0026274i,0.0076413-0.012063i,-0.023689-0.031103i,0.0067388-0.0017648i,-0.0229-0.0072955i,-0.024251+0.024141i,-0.0032993-0.0063357i,0.022599+0.011391i,0.003787-0.012501i,-0.0059019-0.0079581i,-0.0085198-0.0088068i,-0.012196+0.032683i,-0.0012364+0.0063627i,0.012322-6.2183e-05i,0.0033649-0.0049425i,-0.0010842+0.011562i,-0.0015067+0.024372i,0.0074783+0.0062953i,0.0059787+0.0051346i,0.0012596-0.0015195i,0.012634-0.0036066i,0.010246+0.0058638i,0.0067455+0.0034676i,-0.0041998-0.0042243i,0.0064741+0.0055917i,0.0063397+0.0047557i,0.0028318+0.0057448i,-0.00030496-0.0045212i,0.0038054-0.0078942i,0.0069817-0.0088923i,0.00028494-0.004814i,-0.029546-0.0076649i,-0.0014885-0.010706i,-0.0054584-0.0025954i,0.0012576-0.0028502i,-0.0016731-0.0016465i,-0.0048179-0.012686i,0.00079162-0.0048548i,0.0018804+0.0013491i,0.002567-0.0051793i,0.00087592-0.0072942i,-0.0056295-0.0062609i,-0.0025093-0.0059557i,-0.0029557-0.0064624i,0.00064547-0.0019605i,-0.0020656-0.0042204i,-0.0040642+0.0040505i,-0.025847+0.011546i,-0.022541-0.0094244i,-0.012774-0.0057108i,-5.2436e-05+0.023638i,-0.0092525+0.011367i,-0.0046996+0.0027191i
0.011282-0.0051732i,0.011965-0.0034559i,0.0086278+0.00040539i,0.010021+0.010104i,0.01674+0.0027883i,0.020139-0.0065362i,0.019799+0.014132i,0.009999+0.010844i,0.0070849-0.0054196i,-0.0021106+0.00031678i,-0.001324-0.0010399i,-0.0012095-3.7912e-05i,-0.0033148+0.00084272i,-0.0027802-0.00099739i,-0.00072641+0.0023466i,0.0038176+0.00249i,0.0058695+0.001548i,0.0019357-0.0012723i,9.8744e-05-0.0014518i,-0.0011066-0.0010255i,0.0011017-0.00033453i,-0.0010907-0.0025505i,-0.0021328-0.0019867i,-0.003404+0.007708i,-0.0008745-0.00074263i,-0.00097145-0.0012421i,-0.00018042-0.0008475i,-0.00021867-0.0017264i,0.001046-0.00035958i,-0.0015978-0.0017874i,0.0079266+0.00082902i,5.7008e-05+0.00043219i,0.0018071+0.0011722i,0.0001567+0.0018372i,0.0011216+0.0011401i,-0.0084883-0.0041173i,4.0548e-05-0.0013269i,-0.00077645-0.00041641i,-0.000866-0.0016406i,0.000211-0.001112i,0.00023168-0.00021869i,0.00076287-0.00030571i,-0.0015297+0.00031851i,0.0033006+0.0027234i,0.0056615-0.014222i,-0.029026-0.029064i,0.0056509-0.0054424i,-0.021271-0.0014422i,-0.013839+0.027137i,-0.0066753-0.0062541i,0.023689+0.0027437i,0.0012222-0.015695i,-0.0060261-0.0093371i,-0.008151-0.0053261i,-0.003167+0.034302i,0.00082361+0.0055662i,0.007093-0.0010921i,0.00035925-0.0055033i,0.0038927+0.012684i,0.0058011+0.020604i,0.0073004+0.0024797i,0.00587+0.00079149i,0.00050502-0.0007905i,0.0096687-0.0083731i,0.012929+0.0010271i,0.0084016+0.0023364i,-0.0045661-0.001242i,0.0086255+0.0051518i,0.0089131+0.0045438i,0.0064167+0.0029784i,-0.0011695-0.0038924i,0.0021548-0.0090167i,0.0016616-0.011274i,-0.0013469-0.0029556i,-0.031354+0.0036976i,-0.0042472-0.0098063i,-0.0051433-0.00099161i,0.0012259-0.0032026i,-0.0018289-0.00099515i,-0.0085147-0.01213i,-0.0017778-0.0048038i,0.0027523+0.00031342i,0.00033853-0.0053678i,-0.00013293-0.0066069i,-0.0072914-0.0034148i,-0.0053375-0.0035633i,-0.0054214-0.0053049i,7.915e-05-0.0018995i,-0.0023999-0.0024515i,-0.0013362+0.0031521i,-0.024235+0.012069i,-0.021579-0.0073779i,-0.014493-0.0033939i,0.0022593+0.022493i,-0.0077266+0.012066i,-0.003762+0.0016819i
0.0096049-0.0071224i,0.011462-0.0052747i,0.0084685-5.0585e-05i,0.010976+0.0077363i,0.016143+0.0010263i,0.017891-0.010246i,0.021204+0.0080303i,0.011351+0.0089101i,0.0060817-0.0067361i,-0.0019811+0.00080304i,-0.0011184-0.00074345i,-0.0012307-0.00045015i,-0.0026375+0.0022526i,-0.0029057+0.00037838i,0.00012971+0.0026429i,0.0043082+0.00090515i,0.0051846-0.0010754i,0.0011413-0.0015306i,-0.00040528-0.0013628i,-0.00084458-0.00046543i,0.0011107-0.0011609i,-0.001448-0.0019109i,-0.0023118-0.0011765i,-0.00012118+0.0080491i,-0.001336-0.00056267i,-0.0017064-0.00052987i,-0.00096357-0.00090079i,-0.001318-0.0014637i,0.00051798-0.0011638i,-0.0023617-0.001141i,0.0015822-0.0058479i,-0.00027093+0.00030456i,0.001669+0.00022075i,0.00072787+0.0018065i,0.00099172+0.00089258i,-0.010101-0.00045944i,-0.00083434-0.0013021i,-0.0010182-9.4686e-05i,-0.0017447-0.001248i,0.00012609-0.00058282i,0.00020124-0.00025722i,0.00068154-0.00051626i,-0.0017663+0.00048088i,0.0045148+0.0021636i,0.0024813-0.015154i,-0.034327-0.020765i,0.0038273-0.0081815i,-0.016239+0.0036671i,-0.0039104+0.028405i,-0.0088957-0.0020778i,0.022807-0.0061799i,0.0012372-0.018813i,-0.0064686-0.0096293i,-0.005247-0.0045825i,0.0051523+0.032313i,0.0014699+0.0036574i,0.0044862-0.0016515i,-0.003155-0.0050968i,0.0099274+0.010136i,0.0090996+0.015297i,0.0050948+0.00098194i,0.0047453-0.0034802i,0.001537+0.0017032i,0.0042123-0.010735i,0.013035-0.0056829i,0.0091906-0.00054993i,-0.0047906+0.0017028i,0.011962+0.0030475i,0.011732+0.0013566i,0.0065362-0.0015651i,-0.0015138-0.0033148i,-0.0007154-0.0094356i,-0.0054461-0.0095722i,-0.0009563-0.0012031i,-0.029815+0.015396i,-0.0065602-0.0085948i,-0.0047331+0.0018956i,0.00087484-0.0057659i,-0.0017534+0.00039128i,-0.012621-0.0088607i,-0.0041272-0.0025868i,0.0025281-0.0019622i,-0.0013581-0.0046567i,-0.0019433-0.0064791i,-0.0075208+0.0015346i,-0.0054554-0.00018384i,-0.0091125-0.00038444i,-0.0015109-0.003315i,-0.0018156-0.0018379i,0.00071815+0.0020462i,-0.023422+0.018329i,-0.021767-0.0085048i,-0.012356-0.00076674i,0.0061809+0.021498i,-0.0066369+0.014376i,-0.0025309-0.00071815i
0.0079854-0.0086065i,0.010565-0.0070543i,0.0086673-0.0012098i,0.011349+0.0052706i,0.015965-0.00096428i,0.015283-0.013054i,0.020438+0.0023778i,0.01243+0.0066698i,0.0050557-0.0077311i,-0.0019805+0.0012878i,-0.0013721-0.00038124i,-0.0018076-0.00043924i,-0.0016589+0.0030285i,-0.002548+0.0015942i,0.00092095+0.0025641i,0.0034537-0.00046135i,0.0036667-0.002424i,0.00048378-0.0013034i,-0.00048523-0.0011145i,-0.00046711-0.00028898i,0.00083166-0.0018196i,-0.0015594-0.001561i,-0.0021117-0.00051621i,0.0027711+0.0073056i,-0.0017039-0.00023801i,-0.0021043+0.00055228i,-0.001655-0.00049479i,-0.0019655-0.0006798i,-0.00043208-0.0016185i,-0.0030684-0.00021913i,3.1854e-05-0.0027492i,-0.00044228+0.0007492i,0.0013322-0.00033992i,0.0015465+0.0015381i,0.00087821+0.00069027i,-0.010222+0.0031061i,-0.001576-0.00084949i,-0.0011457+0.00025341i,-0.0020289-0.00029673i,0.00059575-4.3291e-05i,0.00025789-0.00026887i,0.00065515-0.00074883i,-0.0018719+0.00089307i,0.0051824+0.0009831i,4.6632e-05-0.014641i,-0.033109-0.010168i,0.00028769-0.0096528i,-0.010508+0.0044081i,0.0064518+0.026704i,-0.0073763+0.0030377i,0.018507-0.014233i,-0.0018269-0.025092i,-0.0049141-0.0089748i,0.001986-0.0048276i,0.01447+0.028116i,0.0010989+0.0026676i,0.0015365-0.0014723i,-0.0054267-0.0026838i,0.012945+0.0038208i,0.01048+0.012953i,0.0020256+0.0015475i,0.0012273-0.0069602i,0.0046856+0.00091098i,-0.00098558-0.0097349i,0.0085235-0.010226i,0.0085525-0.0035286i,-0.0043242+0.0039432i,0.013606-0.0028203i,0.011569-0.0045513i,0.0046256-0.0047128i,-0.0021224-0.0029934i,-0.0038517-0.0086099i,-0.005906-0.0057203i,0.00010476-0.0013308i,-0.022897+0.027558i,-0.0092845-0.0065908i,-0.0021952+0.0032792i,-0.0015483-0.0066565i,-0.00072838+0.0010306i,-0.015372-0.0037153i,-0.003684+0.00042656i,0.00078605-0.0033583i,-0.0033081-0.0035863i,-0.0039603-0.0050483i,-0.0048242+0.0041312i,-0.0037422+0.0018806i,-0.0079426+0.0039729i,-0.0050456-0.0024714i,-0.0022509-0.0016493i,0.0042819+0.00094343i,-0.013051+0.024455i,-0.025719-0.0076511i,-0.011204-0.0013003i,0.0084093+0.018878i,-0.0037578+0.016444i,-0.003789-0.0043881i
