-0.024336-0.0046285i,-0.021671-0.0090369i,-0.012753-0.013539i,-0.035826-0.0082503i,-0.027336+0.0015242i,-0.035916-0.0029346i,-0.065695-0.038761i,-0.033158-0.014627i,-0.022977+0.0030546i,0.0066115+0.0053689i,-0.005241+0.0074243i,-0.0079023+0.01826i,0.0055877+0.0073364i,-0.00088848+0.0035452i,0.0041117+0.0042273i,0.0042842+0.026465i,0.019348+0.018807i,0.0012472-0.00091648i,0.00052178-0.0051777i,0.0087348+0.00030069i,0.0052227-0.0020509i,0.0026086+0.0025305i,0.0010813-0.00051972i,-0.02321-0.0013378i,-0.0058083-0.0029909i,-0.0010988+0.0030479i,0.003184-0.0031578i,-0.0019731+0.00011567i,-0.00065804+0.00097096i,-0.0026178-0.0015962i,-0.0038768-0.00050779i,-0.0064479-0.0088128i,-0.0058595-0.0039735i,-0.00067721-5.6805e-05i,-0.00077944-0.0021382i,-0.00065258+0.020318i,0.002695-0.0038862i,0.0010679-0.0044976i,0.0024565-0.0020129i,-0.0021303-0.003419i,0.0010011-0.00024927i,0.0078049+0.0014458i,0.0042678-0.0022558i,0.00010215+0.0023325i,-0.014799+0.015544i,-0.028283+0.053401i,-0.0054792-0.03805i,-0.014145-0.01851i,-0.040141-0.017182i,-0.027181-0.012811i,0.037132-0.010915i,0.0059361-0.030548i,0.013673-0.037564i,-0.0086102-0.030602i,0.02616-0.022903i,0.013343+0.0075555i,0.03398-0.037735i,-0.0016389-0.0039283i,0.0061343-0.00867i,-0.0010421-0.0060449i,-1.0932e-05-0.035344i,-0.014984+0.028567i,0.0090188-0.011388i,-0.0082524-0.004636i,-0.0025005-0.0022088i,-4.7644e-05-0.015634i,-0.0076901+0.0057639i,0.0041266+0.0066605i,-0.00059825+0.027937i,0.0024962+0.00044223i,-0.0068743-0.0042961i,-0.0041506-0.0063892i,-0.013976-0.0097942i,-0.002179-0.005902i,-0.040878+0.014731i,-0.005197-0.0085529i,-0.012897-0.00082782i,-0.0075681-0.0063958i,0.0017602-0.0015591i,-0.013618+0.0016447i,-0.0014774-0.0004946i,0.0058064+0.006043i,0.0037478-0.005097i,-0.01199-0.01406i,0.0073845+0.0089023i,-0.014315+0.0047121i,0.0052009-0.00016578i,-0.019247-0.002985i,-0.016356-0.0041439i,-0.015162-0.036036i,0.019884-0.009839i,-0.040163-0.024682i,-0.0098615+0.0050023i,0.018616+0.015808i,-0.02235+0.016412i,-0.0040793-0.0043191i
0.0028772+0.014152i,-0.003486+0.017858i,-0.0015182+0.026284i,0.0015273+0.02475i,0.00037846+0.029476i,0.011081+0.02274i,-0.010041+0.025694i,-0.0037548+0.02133i,0.012169+0.0058359i,0.00093039-0.0044114i,0.002226+0.00050667i,0.006676-0.0022168i,0.00078559-0.0017714i,0.00071838-0.0035026i,-3.9461e-05-0.0017342i,0.0071752-0.0073081i,-0.0021457-0.0051305i,-0.00092793+0.00028589i,0.00052818+0.00020811i,-3.3401e-06+0.0017251i,0.003633+0.0021925i,-0.00015463-7.6585e-05i,0.0013437+0.00033579i,-0.0072112-0.0033673i,-0.00025153-0.00068796i,-0.0021276+0.00090925i,-0.0042217+0.00049847i,-0.0018392+0.00033794i,-0.001631+0.0014812i,-0.0001675-0.00052088i,-0.0029648+0.0011889i,0.0014499-0.0017962i,0.00073311-0.003065i,0.00010429-0.0017432i,-0.001278+0.00062724i,-7.3024e-05-0.0040367i,-0.0013395+0.0017564i,0.0018618+0.0002135i,0.00087+0.004323i,0.0023102+0.0027347i,-0.00046301+0.00075159i,-0.0014447+0.00053446i,-0.0016137-0.0010896i,0.0035068+0.005158i,0.014878+0.0067803i,0.044335-0.053043i,-0.027305+0.0060091i,0.019865-0.026831i,-0.020265-0.034779i,-0.011943+0.0027444i,-0.032948+0.033979i,-0.019468+0.0045133i,-0.01643+0.0084694i,-0.0028281-0.017419i,-0.038296-0.021023i,-0.008814+0.0019624i,-0.029267+0.011834i,0.0029448+0.014163i,0.00049111+0.0050883i,-0.0053349-0.0037947i,-5.4396e-05+0.0019767i,-0.015333-0.0040288i,0.0045682+0.01308i,-0.00073644+0.0078586i,-0.0019606+0.0043891i,0.0013345+0.0058938i,0.0021972+0.0028509i,-0.00084235+0.019146i,0.0042738+0.016897i,0.0045364-0.0050558i,0.012206-0.0048054i,0.0086367+0.0025926i,-0.0034123-0.0072636i,-0.00036149-0.0018448i,0.019076-0.034726i,0.0096426+0.0045966i,0.0079495-0.0021654i,0.0026071-0.00074029i,0.0060789-0.0091349i,0.021218-0.00031087i,0.005872-0.0030351i,0.0016736-0.007474i,0.0047649-0.00369i,0.017701+0.003966i,0.0062161+0.0038981i,0.0033601-0.0038039i,0.0090863+0.0090698i,-0.0025614+0.0049372i,0.0081914+0.0089932i,-0.01378-0.014652i,-0.0089834+0.0015367i,-0.0090162-0.014471i,-0.0081435-0.0043885i,-0.038776+0.0059758i,-0.0059967+0.0039654i,-0.011978+0.0003857i
0.0049711+0.013222i,-0.00090042+0.015487i,0.0048435+0.021636i,0.005383+0.022574i,0.0043929+0.02742i,0.014421+0.020309i,-0.0067011+0.026454i,0.00042554+0.021077i,0.012094+0.0017214i,0.00017668-0.0039233i,0.0026605+0.0008213i,0.0053168-0.0052539i,0.00023713-0.0026851i,0.00075836-0.0031616i,-0.00061863-0.0015442i,0.0033743-0.007089i,-0.0048528-0.0034916i,-0.00015836+0.0021958i,0.0016191+6.0274e-05i,0.0012449+0.0013812i,-0.0023211+0.0026968i,0.00035822+0.00056335i,0.0016784-0.00025873i,-0.0066419-0.00082181i,-0.0001362-0.00034864i,-0.0016767+0.0017794i,-0.0030392+0.0025446i,-0.0012212+0.00088333i,0.0014706+0.00114i,4.3486e-05-0.00021621i,-0.0018089+0.0029291i,0.00021839-0.0015147i,-0.00079937-0.003344i,-0.0014899-0.0013508i,-0.0020088+0.00087179i,0.00086603-0.0026784i,-3.9122e-05+0.0021005i,0.0013056-0.00053969i,0.0042398+0.0052751i,0.0033171+0.0014018i,-0.00024686+0.0010676i,-0.0013019+0.00082783i,-0.0020835-0.00060683i,0.0050588+0.0040672i,0.015525+0.0023464i,0.023695-0.062767i,-0.021165+0.013967i,0.009351-0.035536i,-0.032983-0.027651i,-0.0093814+0.0057438i,-0.021551+0.039574i,-0.015724+0.0098184i,-0.005624+0.0036543i,-0.0050106-0.016066i,-0.043255-0.006828i,-0.0085644+0.0027644i,-0.02469+0.024203i,0.0065129+0.0096548i,0.0012964+0.0036902i,-0.0088223-0.0056422i,-0.0023937+0.0048729i,-0.015471+0.004671i,0.0098506+0.010329i,0.0013892+0.0094639i,-0.00017656+0.0044073i,0.0031114+0.0060681i,0.0037648+0.0030191i,0.007265+0.014975i,0.0097223+0.0097803i,-0.0016194-0.0070506i,0.0064405-0.0064057i,0.0077713+0.00104i,-0.005224+0.00014308i,-0.00081354+0.00081306i,0.0053491-0.035036i,0.011627+0.0017127i,0.0077282-0.0051241i,0.0045249-0.0020114i,0.00073593-0.0060849i,0.019859-0.0093358i,0.0030132-0.0047196i,-0.0021324-0.0067949i,0.00076885-0.0031032i,0.015955-0.0029478i,0.0075856+0.0030362i,0.0024195-0.0023687i,0.011893+0.0057291i,-0.00074831+0.0057476i,0.0095451+0.0051495i,-0.019185-0.012641i,-0.004539-0.012717i,-0.0080581-0.011906i,-0.0081614-0.0030858i,-0.032506+0.01886i,-0.003885+0.0050692i,-0.0097802+0.0021906i
0.0077576+0.012284i,0.0010075+0.013869i,0.0075643+0.016022i,0.0082837+0.020085i,0.0091224+0.025624i,0.017506+0.017218i,-0.0025565+0.027223i,0.0045792+0.019529i,0.010592-0.0011917i,-0.00072764-0.0036992i,0.0037825+0.00041824i,0.0012689-0.0063516i,-0.00077341-0.0027571i,7.5965e-05-0.0033432i,-0.0010003-0.0012087i,-0.00017186-0.0053425i,-0.0059573-0.00062559i,0.0010604+0.0022056i,0.0020246-0.0012881i,0.0022584+5.258e-05i,-0.00081854+0.0024308i,0.0012959+0.00020131i,0.0016192-0.00099914i,-0.0062149+0.00028776i,-5.3677e-05-5.0614e-05i,-0.00042989+0.0026245i,-0.0012194+0.0029452i,-0.0004459+0.0011091i,0.0001004+0.0007536i,-5.4667e-05-0.00041021i,0.00016279+0.0038735i,-0.00042704-0.0010608i,-0.0023293-0.0022631i,-0.0021085-0.00050766i,-0.0016674+0.0019993i,0.0022567-0.0028567i,0.00074439+0.0017834i,0.00057555-0.0010129i,0.030254+0.0081852i,0.0032889+0.00026566i,0.00024871+0.00099118i,-0.0004464+0.0015361i,-0.0025348-0.00011961i,0.0057481+0.0016374i,0.014835-0.0013668i,0.0023373-0.061698i,-0.010772+0.017352i,-0.0028278-0.037986i,-0.037125-0.01803i,-0.0041258+0.0068527i,-0.0070556+0.039626i,-0.0057244+0.011042i,-0.0045703-0.0035839i,-0.0066061-0.014928i,-0.042046+0.0067627i,-0.0074165+0.0044256i,-0.011809+0.031406i,0.0064785+0.0041233i,-0.00046191+0.0011399i,-0.015646-0.002608i,-0.0013296+0.0064158i,-0.01058+0.0098334i,0.012229+0.003792i,0.0048147+0.0096339i,-0.00091469+0.0048528i,0.004181+0.0044959i,0.0051664+0.00069936i,0.0095575+0.0080375i,0.0088388+0.0037688i,-0.0066711-0.0022375i,0.0042281-0.0059555i,0.0088958-0.00018392i,-0.0018085+0.0070882i,0.0022888+0.0022896i,-0.0056733-0.039774i,0.012226-0.003647i,0.0054036-0.0071857i,0.0027992-0.0045512i,0.0006412-0.004217i,0.013147-0.016353i,0.00010026-0.0015855i,-0.00017469-0.0061499i,-0.0004473+8.767e-05i,0.011265-0.0063245i,0.011394-0.0010692i,0.0030767-0.0035122i,0.014543-5.4279e-05i,0.0028425+0.0053151i,0.0092259+0.0015138i,-0.022777-0.0055206i,-0.015689-0.021355i,-0.0066001-0.013511i,-0.0063409-0.0031911i,-0.025231+0.027902i,-0.0041322-7.0863e-05i,-0.00823-0.0015407i
0.010882+0.0097423i,0.0032866+0.012806i,0.0080156+0.011017i,0.010861+0.017931i,0.01338+0.021972i,0.020065+0.013367i,0.0026965+0.027287i,0.0080217+0.016757i,0.0091688-0.0026111i,-0.0018147-0.0029893i,0.0042809-0.0013199i,-0.0015748-0.0043697i,-0.0017827-0.0025919i,-0.0012251-0.0027829i,-0.0014263-0.00078613i,-0.0016428-0.0023018i,-0.0051696+0.002336i,0.001707+0.0013395i,0.0015076-0.0018313i,0.0016924-0.0015549i,0.00019899+0.0020527i,0.0017258-0.00055278i,0.0012228-0.0018001i,-0.0060965+0.0018192i,0.00028803-0.00020515i,0.0014271+0.0015342i,5.6509e-05+0.0027691i,0.00022598+0.00076732i,0.0011781-7.022e-05i,-8.226e-05-0.00022553i,0.0016015+0.003351i,-0.00095141-0.00068778i,-0.0032797-0.00073235i,-0.0022337+0.00063813i,-0.00075436+0.0024744i,0.0025164-0.0046351i,0.0020244+0.0013355i,-0.00010136-0.00082919i,-0.0015065-0.0027904i,0.0033538-0.00071858i,0.00068056+0.00062206i,0.00043297+0.0013213i,-0.0029607+0.00081281i,0.0037589-0.0015879i,0.013575-0.004356i,-0.014662-0.050101i,-0.0019719+0.01429i,-0.014251-0.035328i,-0.040396-0.008015i,0.00060021+0.0046567i,0.0054212+0.032499i,0.0025193+0.0048787i,-0.004803-0.0049707i,-0.0069734-0.012052i,-0.036711+0.017133i,-0.0060736+0.0057961i,0.00090484+0.030233i,0.0069581+0.0029556i,-0.0036871+0.0022034i,-0.018902+0.0059174i,-0.00074891+0.0085063i,-0.0059106+0.010424i,0.0097798-0.002448i,0.0079745+0.0079545i,0.00038943+0.0068835i,0.0037847+0.004334i,0.005209-0.002466i,0.0076623+0.0021838i,0.0054629+0.00092289i,-0.0049633+0.0020374i,0.0022849-0.0058804i,0.0085066-0.0025355i,0.0061545+0.0066529i,0.0038158+0.00050864i,-0.015019-0.018018i,0.0095451-0.0076766i,0.0027355-0.0086273i,0.0018914-0.0032786i,-0.00024481-0.0047066i,0.0051787-0.017193i,0.0030239-0.00013793i,-0.003795+0.00056456i,0.0022204+0.0020643i,0.0078927-0.0064134i,0.010391-0.0064221i,0.0012402-0.0038189i,0.010742-0.007718i,0.0041225+0.0017383i,0.0087965-0.0025554i,-0.019319+0.0027971i,-0.027942-0.018092i,-0.010168-0.01827i,-0.0066081-0.0055911i,-0.014242+0.027698i,-0.0091225-6.9085e-05i,-0.011681-0.00037803i
0.012599+0.0066687i,0.0044348+0.010604i,0.006555+0.0074686i,0.013358+0.015414i,0.016264+0.017838i,0.021405+0.0090129i,0.0082412+0.02546i,0.010176+0.013619i,0.0082995-0.0035441i,-0.0019423-0.002028i,0.0031581-0.0026592i,-0.0023379-0.0023995i,-0.0027128-0.0020548i,-0.0014899-0.0017933i,-0.0016999+0.00030922i,-0.0013133+0.00012566i,-0.0032874+0.0044994i,0.0018552+0.00075495i,0.0011866-0.002007i,0.00040963-0.0021322i,0.00066758+0.0014988i,0.0015114-0.0013434i,0.00031311-0.0021769i,-0.0044604+0.002813i,0.00034119-0.0006568i,0.0013543-0.00038549i,0.0014322+0.0018028i,0.00048725+0.00032728i,-0.00053358+0.00097803i,0.00036461-0.00022437i,0.0020141+0.0021626i,-0.001359-0.00045468i,-0.0033727+0.001191i,-0.0018183+0.0015882i,3.2423e-05+0.0026023i,0.0014527-0.0063606i,0.0028992-0.00040748i,-0.0002701-0.00034373i,0.00083577-0.0018152i,0.0028747-0.0015596i,0.00062465+0.00012076i,0.00078565+0.00075471i,-0.0025822+0.0031793i,0.0011496-0.00069818i,0.012045-0.0064741i,-0.018379-0.035461i,0.0029172+0.0092639i,-0.023788-0.028137i,-0.043993+0.0072387i,0.0028948+0.00015647i,0.014735+0.026664i,0.0054119-0.0024144i,-0.0040551-0.0070461i,-0.0054894-0.012214i,-0.030342+0.026419i,-0.0044573+0.0064088i,0.012583+0.024505i,0.0068145+0.00027672i,-0.0048273+0.0057948i,-0.016465+0.014042i,0.0021716+0.0093693i,-0.0026706+0.013737i,0.0043779-0.0035702i,0.010425+0.0052456i,0.0032153+0.007397i,0.0048962+0.004779i,0.0040894-0.0044752i,0.0037391+0.0020024i,0.003052+0.0020234i,-0.0032805+0.0035082i,0.00075693-0.0047516i,0.0073724-0.0049956i,0.0088208+0.0014528i,0.0040391-0.0016253i,-0.015611-0.017145i,0.0053328-0.0098991i,-0.0014618-0.0083228i,0.0030004-0.0032582i,-0.0017817-0.0035234i,0.00019356-0.015563i,0.0043587-0.0022947i,-0.0015831+0.0025889i,0.0051203+0.00052932i,0.0069759-0.0073262i,0.0058694-0.012724i,0.0010579-0.0037164i,0.0038293-0.010491i,0.0023669+0.00020573i,0.0046065-0.0065105i,-0.012484+0.004427i,-0.036716-0.0076579i,-0.016999-0.018711i,-0.0082797-0.0069624i,-0.0081745+0.026446i,-0.012546+0.0035725i,-0.011181+0.0036191i
0.0137+0.003571i,0.0050296+0.009245i,0.0050031+0.0061929i,0.015447+0.012314i,0.017817+0.013598i,0.02223+0.005033i,0.013493+0.021806i,0.011593+0.01059i,0.0077822-0.0047836i,-0.0021212-0.0017541i,0.0014671-0.0031104i,-0.0024975-0.00075505i,-0.003654-0.00094867i,-0.0014052-0.0014911i,-0.0022355+0.00092443i,-0.00014525+0.0014459i,-0.00064081+0.0056625i,0.0019822+8.7059e-05i,0.00047471-0.0023427i,-0.00059199-0.0020216i,0.0014583+0.0011763i,0.0010942-0.0018518i,-0.0005079-0.0020244i,-0.0037162+0.0024163i,-3.7859e-06-0.00056166i,0.00016049-0.0014277i,0.0013465+0.00038972i,0.00070287-0.00024729i,0.00059792+0.00053813i,0.00040398-0.00078496i,0.002459+0.0013155i,-0.0015684-4.4584e-06i,-0.0023268+0.0027609i,-0.001005+0.002122i,0.00075789+0.0024787i,-0.00017872-0.0067401i,0.00083873-0.0024872i,-0.00016745-0.0002056i,4.4812e-05-0.002396i,0.0019923-0.0017816i,0.00049143+7.6321e-05i,0.00082619+0.0004866i,-1.3199e-05+0.00041045i,0.00071264+0.0011841i,0.010623-0.0077639i,-0.017847-0.02891i,0.0047908+0.0048793i,-0.028064-0.017263i,-0.040015+0.018676i,0.00011766-0.0041146i,0.01739+0.0194i,0.0057158-0.0088081i,-0.0042782-0.0079198i,-0.0071968-0.012038i,-0.021394+0.032794i,-0.0037287+0.00716i,0.018381+0.011342i,0.0059061-0.0022432i,-0.003028+0.0092107i,-0.010119+0.020165i,0.0051861+0.0079723i,0.0052756+0.012108i,0.0020964-0.001594i,0.0122+0.00078544i,0.0055129+0.0069646i,0.0062663+0.0038118i,0.00019988-0.0076255i,0.0036028+0.0042645i,0.0038479+0.0035823i,-0.00076888+0.0064134i,0.00081643-0.0040135i,0.0058237-0.0064308i,0.0087226-0.0029587i,0.0032269-0.0037847i,-0.021123-0.014455i,0.0014996-0.010341i,-0.0042275-0.0064202i,0.0010962-0.0052241i,-0.0017169-0.0016013i,-0.002575-0.012817i,0.0029123-0.0039411i,0.0006458+0.0023957i,0.0050517-0.0035623i,0.004162-0.0085141i,-0.0028651-0.012873i,0.00013436-0.0050192i,-0.0013732-0.0078122i,0.0020433-0.00050265i,-0.00044661-0.0056286i,-0.0096817+0.0040962i,-0.034106+0.0085557i,-0.023077-0.015624i,-0.01042-0.006599i,-0.0042913+0.025737i,-0.011389+0.0093553i,-0.0068979+0.0049678i
0.014297+4.787e-05i,0.0058637+0.0083528i,0.0042147+0.0059174i,0.016826+0.0087015i,0.018525+0.0099522i,0.022642+0.00066433i,0.017368+0.016873i,0.012255+0.0076871i,0.0071423-0.0060136i,-0.0024384-0.0010563i,-1.0406e-05-0.0023926i,-0.0014187+0.00065896i,-0.0040238+0.00044411i,-0.0018321-0.0016398i,-0.0020447+0.0014654i,0.00084756+0.0019322i,0.0022276+0.0053821i,0.0018249-0.00043225i,-4.1862e-05-0.0023021i,-0.0012309-0.0013772i,0.0020137+0.00039296i,0.00045388-0.0022499i,-0.0010598-0.0015353i,-0.0036224+0.0031286i,-0.00024753-0.00061909i,-0.0011072-0.0014286i,0.001043-0.00041751i,0.00038592-0.0010197i,0.00079883-0.0002288i,-0.00011903-0.0013067i,0.0028916+0.00055309i,-0.0012626+0.0010336i,-0.00032745+0.0029831i,-4.8741e-05+0.0022347i,0.0014986+0.0018552i,-0.0027174-0.0069925i,-3.2964e-06-0.00091567i,-0.00023562-0.00033969i,-0.00060992-0.0017138i,0.0014584-0.0017516i,0.00064094-0.00019766i,0.0010473+0.00025722i,-0.00060711+0.00053981i,0.0015354+0.0016985i,0.0097007-0.0096326i,-0.019869-0.025693i,0.0060424+0.0018938i,-0.026149-0.0086161i,-0.028119+0.028849i,-0.0021144-0.0042083i,0.019561+0.012853i,0.0031107-0.01456i,-0.0042363-0.0091341i,-0.007468-0.0090652i,-0.011876+0.035821i,-0.0012942+0.0071829i,0.013312-0.00019452i,0.0034693-0.004728i,0.00020439+0.010599i,-0.0029966+0.021306i,0.0066042+0.0051906i,0.0071478+0.0093662i,0.0027073-0.00069693i,0.011861-0.0032843i,0.0095263+0.0051409i,0.0073797+0.002943i,-0.0043929-0.0041362i,0.0054+0.0048198i,0.0057892+0.0040769i,0.0031124+0.0057885i,-7.2549e-05-0.0044449i,0.0038606-0.0078817i,0.0060318-0.0086131i,1.1522e-05-0.0046301i,-0.02637-0.00772i,-0.0017095-0.0096801i,-0.0053052-0.0034943i,0.00037859-0.0033426i,-0.0014315-0.0013462i,-0.0043181-0.012216i,0.0008961-0.0040386i,0.0014517+0.00057902i,0.0024293-0.0049462i,0.0017542-0.0085627i,-0.0070744-0.0075943i,-0.0025101-0.0051538i,-0.0024681-0.0055522i,0.00053704-0.0012115i,-0.0023635-0.0029831i,-0.0066699+0.0044535i,-0.026158+0.010908i,-0.023606-0.010977i,-0.011924-0.0053816i,0.00057184+0.023496i,-0.0092897+0.01159i,-0.0051647+0.0038498i
0.013629-0.0036664i,0.0071428+0.0075999i,0.0042911+0.0063039i,0.017258+0.0052091i,0.018641+0.0067322i,0.021858-0.0036141i,0.019958+0.011244i,0.012552+0.0053203i,0.0062772-0.0075418i,-0.0022381-0.00041267i,-0.00033056-0.00074414i,-0.00021441+0.00054025i,-0.0039035+0.0018048i,-0.0028782-0.00087896i,-0.0016109+0.0022544i,0.0018734+0.0014949i,0.0044617+0.0038179i,0.0016477-0.00073961i,-0.00055136-0.0022331i,-0.0013053-0.00052225i,0.0020926-0.00049703i,-0.0002116-0.0020936i,-0.0012963-0.0010037i,-0.0024946+0.0039913i,-0.0007084-0.00064133i,-0.0014688-0.0011067i,0.00034236-0.0012467i,-0.00036776-0.0014311i,0.00044769-0.00088614i,-0.00083016-0.0013405i,0.0027412-0.0012608i,-0.00045436+0.00087541i,0.00060515+0.0021898i,0.00056636+0.0020008i,0.0017811+0.0011713i,-0.005775-0.0047912i,-0.00017776-0.0010575i,-0.0005478-0.00023695i,-0.0011373-0.0017196i,0.0012055-0.0016116i,0.0005993-0.00043542i,0.0011475-4.5848e-05i,-0.00081203+0.00050553i,0.0022777+0.0017138i,0.0078937-0.011893i,-0.024758-0.024687i,0.0059339-0.0019762i,-0.024436-0.0022085i,-0.014529+0.031633i,-0.0044913-0.0040713i,0.020929+0.0059473i,-0.0004503-0.017027i,-0.0051319-0.0099327i,-0.0059443-0.0060993i,-0.0012862+0.036367i,0.00082694+0.0064797i,0.0073521-0.0018198i,0.00044091-0.0055052i,0.0048911+0.011191i,0.0035992+0.019554i,0.0068952+0.0025952i,0.008148+0.0024431i,0.0019775-0.00047963i,0.0093275-0.0079155i,0.012068+0.00081698i,0.0082853+0.0011006i,-0.0050046-0.00086828i,0.0075163+0.004295i,0.0079476+0.0035601i,0.0063298+0.0032416i,-0.0011741-0.0039522i,0.0022082-0.0090931i,-0.00035244-0.010188i,-0.0014575-0.0025626i,-0.028969+0.0025637i,-0.0039842-0.0085403i,-0.0056735-0.00061914i,0.00084086-0.002636i,-0.0018665-0.001102i,-0.007663-0.011886i,-0.0011643-0.0042123i,0.001869-0.00032018i,0.00033742-0.0050067i,0.000499-0.0081206i,-0.0086669-0.0044094i,-0.004797-0.0029757i,-0.003671-0.0038195i,0.00014039-0.0015673i,-0.0023311-0.0013647i,-0.0035464+0.004098i,-0.024115+0.012695i,-0.022761-0.0089119i,-0.013503-0.0036591i,0.0024047+0.022239i,-0.0075066+0.012293i,-0.0037727+0.0029019i
0.012097-0.0065416i,0.0090578+0.0062185i,0.0056886+0.0063805i,0.017122+0.0019385i,0.018926+0.0040375i,0.02022-0.0074842i,0.020706+0.0047065i,0.012795+0.0030707i,0.0047088-0.0088075i,-0.0021384-0.0003968i,-0.0010772-0.002643i,-0.00016245-0.00028914i,-0.003184+0.0032256i,-0.0029115+0.0003853i,-0.00069639+0.0027775i,0.0021546+0.00061789i,0.0052813+0.0013309i,0.0012602-0.0011398i,-0.0012788-0.0019116i,-0.00089081-1.2996e-05i,0.0019761-0.0014372i,-0.0004557-0.0018528i,-0.0012218-0.00051336i,-0.0010618+0.0042078i,-0.0011749-0.00041865i,-0.0020379-0.0005399i,-0.00086479-0.0017281i,-0.0012124-0.0012425i,-0.00021879-0.0012949i,-0.001511-0.00097368i,0.0012363-0.0013672i,-0.00045324+0.0010322i,0.00089459+0.0017151i,0.0011374+0.0017134i,0.0018398+0.00049256i,-0.0075596-0.00063109i,-0.000812-0.00070357i,-0.00064276-2.0586e-05i,-0.0018878-0.001248i,0.00084576-0.0016798i,0.00046741-0.00066698i,0.0011454-0.0003302i,-0.00098295+0.00065281i,0.0029275+0.0013496i,0.0051059-0.012987i,-0.02977-0.020496i,0.004584-0.005192i,-0.018664+0.0037004i,-0.0027303+0.031643i,-0.0057976-0.00095846i,0.020813-0.0016669i,-0.0012229-0.019792i,-0.0049027-0.0096644i,-0.0030127-0.0035706i,0.0085061+0.033472i,0.0018881+0.0046942i,0.0040423-0.0022056i,-0.0031611-0.0050503i,0.010225+0.0082672i,0.0076654+0.016033i,0.0054315+0.0012406i,0.0054996-0.0035403i,0.0028373+0.0017669i,0.0044658-0.010353i,0.01207-0.0054017i,0.0085678-0.00098376i,-0.0051265+0.0023704i,0.010421+0.0021905i,0.011051+0.00078434i,0.0069992-0.0010768i,-0.0018661-0.0032672i,-0.00055213-0.0094155i,-0.0068988-0.0033849i,-0.00095389-0.00080573i,-0.027802+0.013436i,-0.0062055-0.0075024i,-0.0045405+0.0021246i,0.00031167-0.0060052i,-0.0017156+0.00030762i,-0.011666-0.0092277i,-0.0034343-0.0024137i,0.0012566-0.0016921i,-0.0014968-0.0043967i,-0.001431-0.0078788i,-0.0089385+0.00058157i,-0.0048777-1.4546e-05i,-0.0072817-0.0030821i,-0.00094943-0.0035606i,-0.0016231-0.00072537i,-0.001156+0.0035528i,-0.022902+0.018368i,-0.023219-0.0093394i,-0.011251-0.0010103i,0.0063036+0.021395i,-0.0065808+0.014472i,-0.0023515+0.0001965i
0.010215-0.0086907i,0.010727+0.0040015i,0.0073202+0.0050648i,0.016381-0.0011908i,0.019072+0.0011722i,0.018145-0.010478i,0.019229-0.0011028i,0.012667+0.0008084i,0.0031552-0.0096235i,-0.00246+3.5696e-05i,-0.0012357-0.0014354i,-0.00085978-0.00032598i,-0.001984+0.0040174i,-0.0025533+0.0013529i,0.00035797+0.0029354i,0.0015536-4.1566e-05i,0.0046761-0.00074869i,0.00095831-0.0011451i,-0.001625-0.001622i,-0.00037071+9.9648e-05i,0.0016574-0.0023255i,-0.00058973-0.0018294i,-0.00091504-0.00029013i,0.00023385+0.0042607i,-0.0014294-4.8983e-05i,-0.0023808+0.00052464i,-0.0022994-0.0012893i,-0.0016885-0.00060699i,-0.0011259-0.001278i,-0.002099-0.00034141i,0.00090173-0.0012662i,-0.00010234+0.001301i,0.0014276+0.0012315i,0.0018041+0.0012764i,0.0015675-1.8065e-05i,-0.0076292+0.0029054i,-0.00091942-0.00051161i,-0.00078495+7.5601e-05i,-0.0022993-0.00029912i,0.00042584-0.001502i,0.00031601-0.00074968i,0.0012618-0.00059691i,-0.0010729+0.00090364i,0.003301+0.00064409i,0.0028602-0.012964i,-0.030555-0.012414i,0.001348-0.0070313i,-0.012069+0.0046409i,0.0087235+0.028998i,-0.0044039+0.0029314i,0.017621-0.0083325i,-0.0050497-0.025123i,-0.0046264-0.010135i,0.00067165-0.0038481i,0.016258+0.025787i,0.0022463+0.0040279i,0.00084831-0.0016686i,-0.0054485-0.0025795i,0.012467+0.0021952i,0.010059+0.014036i,0.0031148+0.0020371i,0.0019438-0.0070105i,0.0059585+0.00052961i,-0.00062192-0.0098578i,0.0078605-0.009545i,0.0084091-0.0040376i,-0.0043992+0.0046475i,0.011707-0.0028816i,0.010381-0.0049751i,0.0055144-0.0047134i,-0.0023922-0.0027002i,-0.0035217-0.0086175i,-7.7224e-05-0.0099518i,0.00016245-0.00091498i,-0.021108+0.026501i,-0.0085346-0.0055514i,-0.0021672+0.0032879i,-0.0042175-0.0058558i,-0.00074554+0.00076953i,-0.014741-0.0044982i,-0.0034234+0.00038886i,-0.00022695-0.0024627i,-0.0034283-0.0031011i,-0.0037401-0.0066774i,-0.0065616+0.0039576i,-0.0033244+0.0017984i,-0.0078086+0.0024544i,-0.0045982-0.0036572i,-0.0018356-0.00082404i,0.0031449+0.0030931i,-0.013134+0.024381i,-0.026811-0.0075695i,-0.010978-0.0023963i,0.0085623+0.019185i,-0.0035545+0.016756i,-0.0035349-0.0032544i
