-0.023923-0.042333i,-0.010295-0.047686i,-0.017139-0.046588i,-0.030971-0.035855i,-0.029741-0.017474i,-0.050812-0.0293i,-0.059787-0.02645i,-0.045211-0.0404i,-0.029457-0.036503i,0.0064034+0.014487i,-0.0044812+0.015994i,-0.005276+0.014635i,0.0098624+0.02175i,0.00024917+0.004633i,0.0037981+0.0030958i,0.0067379+0.018316i,0.028072+0.039548i,-0.0020587-0.00043011i,-0.0041516-0.0062356i,0.0080704+0.0017312i,0.00028226-0.00098034i,-0.00069026+0.0013023i,4.0585e-05-0.00040713i,-0.030908-0.002615i,-0.0012428-0.0056609i,0.001923+0.0050157i,0.0038483+7.0423e-05i,-6.5718e-05+0.00076564i,0.00026162-0.00062698i,8.8969e-05-0.0024393i,-0.0017804-0.0061442i,-0.0042749-0.0041245i,-0.0021288-0.0051666i,0.0019668-0.00089133i,0.0027077-0.002892i,0.0027541+0.026339i,0.0022979-0.0027707i,0.0030141+0.00019428i,0.0062371+0.0013119i,-0.0099361-0.0030323i,-0.002382+0.0011184i,0.0069775+0.0021018i,0.004419+0.0010303i,-0.0049287+0.0063941i,0.0016656-0.0086467i,-0.011001+0.016327i,0.036702-0.091576i,0.012196-0.070625i,-0.015413-0.060055i,-0.01668-0.056095i,0.039218-0.047292i,0.017533-0.062828i,0.034927-0.056041i,0.031254-0.060724i,0.014969-0.012747i,0.004334+0.016614i,0.016367-0.026338i,-0.011419+0.0060897i,-0.00093736+0.0055684i,-0.0053597-0.0006239i,-0.002404-0.028625i,-0.023991+0.031827i,0.010482-0.010902i,-0.013014-0.0024889i,-0.00011265-0.0051404i,-0.0014274-0.016264i,-0.0076299+0.0048834i,0.0051955+0.0060046i,-0.0082346+0.030887i,0.0047559+0.0058711i,-0.0051629-0.00048371i,-0.0031061-0.00037209i,-0.012374-0.0076791i,-0.00051699-0.0045787i,-0.029847+0.0064579i,-3.1063e-05-0.0096888i,-0.0096224-0.0021383i,-0.0065003-0.0026951i,0.0072174+0.0029234i,-0.0080477+0.0016516i,0.00010576+0.00035925i,0.0056732+0.010764i,0.0041745+0.0012035i,-0.0096667-0.010397i,0.002765+0.0083518i,-0.021297+0.0068219i,0.0078993+0.0011015i,-0.029789-0.0048534i,-0.043125+0.00102i,0.021503-0.095234i,-0.0026703-0.011744i,-0.05342-0.021753i,-0.023345+0.0011406i,0.018089+0.010586i,-0.024621+0.012803i,-0.019417-0.013622i
-0.032816-0.038616i,-0.016033-0.041116i,-0.024586-0.044695i,-0.03789-0.032287i,-0.028291-0.01753i,-0.05803-0.017956i,-0.061402-0.014197i,-0.051292-0.031809i,-0.033708-0.028631i,0.0077231+0.01123i,-0.0027077+0.013035i,0.0016378+0.016832i,0.018186+0.014772i,-0.00066461+0.0060016i,0.0041562+0.0016601i,0.010456+0.012629i,0.034794+0.023713i,-0.00025203+0.0026336i,-0.0058144-0.0023026i,0.0078055-0.0024604i,-0.0006586+0.00026004i,-0.0010505+0.001966i,-0.00024153-0.00011726i,-0.018442+0.012814i,-0.0030628-0.0039039i,0.0058369+0.0014867i,0.0030479-0.00030471i,0.00077133+0.0019931i,0.00061918-0.00095341i,-0.001094-0.0030476i,-0.0021907-0.0049368i,-0.0049318-0.0023001i,-0.0035312-0.0043823i,0.0013764-0.0018052i,0.0016823-0.0021398i,0.010712+0.021849i,0.0019592-0.0035018i,0.0023262-0.00096785i,0.0083664-0.0015731i,-0.0067187-0.00073492i,-0.0016286+0.0029025i,0.0061326+0.0014033i,0.004373+0.00042173i,-0.0057827+0.0088551i,0.0061267-0.01143i,0.0037765+0.021532i,0.019163-0.098051i,-0.0057328-0.077201i,-0.011864-0.055593i,-0.020847-0.045825i,0.033539-0.065859i,0.013214-0.081177i,0.035513-0.055793i,0.019688-0.069728i,0.0056417-0.005381i,0.0065749+0.0056698i,0.0051022-0.027311i,-0.0080093+0.011915i,-0.00070398-0.0024683i,-0.0051986-0.00079469i,-0.023542-0.02719i,-0.010005+0.029983i,0.0044035-0.014836i,-0.013547+0.0010626i,-0.0013409-0.0046524i,-0.0090024-0.014373i,-0.007727+0.008631i,0.0082544+0.005598i,0.010523+0.027543i,0.0057717+0.0014862i,-0.0040667+0.0020565i,-0.0043498+0.00024972i,-0.016283+0.0024869i,-0.00089903-0.0030618i,-0.031849+0.014203i,-0.0053143-0.0064647i,-0.0098574+0.0028989i,-0.0079233+0.0011389i,0.0055972-0.0032584i,-0.0077093+0.0034951i,0.0011971-0.0008049i,0.0051036+0.0042643i,0.0036869+0.00027365i,-0.014764-0.0016631i,0.0030942+0.0045773i,-0.015042+0.015182i,0.0062771-0.0026832i,-0.028788+0.0070413i,-0.042766+0.013482i,0.0045099-0.096204i,-0.0068847-0.014888i,-0.059256-0.0064423i,-0.01651-0.0019093i,0.018218+0.004459i,-0.018616+0.019293i,-0.027935-0.017276i
-0.038815-0.031816i,-0.018232-0.041433i,-0.031073-0.043204i,-0.043567-0.025344i,-0.029147-0.019258i,-0.061712-0.0053225i,-0.063688-0.0010278i,-0.057225-0.02218i,-0.036931-0.022777i,0.0085347+0.0082908i,-0.00049575+0.015065i,0.0087288+0.01359i,0.020511+0.0047666i,0.00083051+0.0074131i,0.0043092+0.00054485i,0.011311+0.0070427i,0.038362+0.011683i,0.0027846+0.0024822i,-0.0049099+0.0011494i,0.0056348-0.0047695i,-0.0011403+0.0014221i,-9.8028e-05+0.0033119i,-0.00023415+0.00017477i,-0.0066402+0.016879i,-0.0026976-0.0024806i,0.0060186-0.0029843i,0.0028778-0.0015797i,0.00249+0.0017115i,-0.0001713-0.001251i,-0.0019366-0.0027099i,-0.0029535-0.004772i,-0.0051314-0.00053645i,-0.00486-0.0028711i,0.00061779-0.0025803i,0.0027099-0.0045164i,0.016043+0.014635i,0.00079561-0.0038415i,0.0017595-0.001781i,0.0074933-0.0067822i,-0.0064792+0.00021917i,-0.00011523+0.0037251i,0.0058471-0.00046677i,0.0047532-0.00039528i,-0.0028586+0.01161i,0.0065569-0.019347i,0.019533+0.017519i,0.0016533-0.10024i,-0.023494-0.072434i,-0.0076683-0.061485i,-0.019566-0.044209i,0.021983-0.080982i,-0.0079393-0.096401i,0.040726-0.062792i,0.0062076-0.070074i,0.0053318-0.0016915i,0.0052047+0.0011i,-0.0032015-0.028277i,0.0025493+0.010621i,-0.0076386-0.0045963i,-0.0043653-0.0030164i,-0.038804-0.015391i,-0.00086527+0.028255i,-0.0027463-0.01462i,-0.011345+0.0047165i,-0.0040981-0.0041069i,-0.015894-0.0098492i,-0.0025897+0.013631i,0.011833+0.00014973i,0.020849+0.01585i,0.0051643-0.00033615i,-0.0034759+0.0014676i,-0.0045057+0.0019174i,-0.012174+0.01165i,-0.0040107-0.002453i,-0.025471+0.024097i,-0.0066048-0.0024334i,-0.0070935+0.0073366i,-0.0076418+0.007133i,0.00015142-0.00533i,-0.0057868+0.0054102i,0.00045037-0.0015679i,0.0026732+0.0028901i,0.0034468-0.00143i,-0.0096056+0.0061729i,0.0023222+0.002128i,-0.0082215+0.017194i,0.0028223-0.0055672i,-0.022851+0.015032i,-0.035553+0.025766i,-0.0080969-0.094592i,-0.013076-0.01317i,-0.057668+0.0081573i,-0.020923-0.0086352i,0.016676-0.003844i,-0.0084882+0.019712i,-0.033174-0.011559i
-0.042395-0.024483i,-0.024181-0.04422i,-0.038783-0.041854i,-0.045235-0.017492i,-0.033038-0.021593i,-0.061249+0.0087774i,-0.060684+0.017617i,-0.061635-0.0088471i,-0.04091-0.014673i,0.009028+0.0061399i,0.0053016+0.01513i,0.011535+0.0080363i,0.018527-0.0039541i,0.0036409+0.0088748i,0.0035331-0.0012517i,0.010214+0.0014978i,0.039917-0.0047762i,0.0039844+0.00019222i,-0.0040184+0.0037668i,0.0026318-0.0057456i,0.00020776+0.0031869i,0.0017839+0.0035978i,-0.00051941+0.00069623i,0.0031356+0.019905i,-0.0029606-0.0020853i,0.0033178-0.0056423i,0.0024177-0.0021804i,0.0027641-0.00026373i,-0.00041948-0.00051915i,-0.0034989-0.0023529i,-0.0036384-0.0038828i,-0.0046962+0.0010887i,-0.0054698-0.0008909i,-0.00047427-0.0028736i,-0.00037398-0.0059086i,0.015661+0.0077715i,-0.00068157-0.0041408i,0.00089913-0.0024633i,0.0035735-0.0091569i,-0.0044441+0.0027179i,0.0014466+0.0034167i,0.004296-0.0021622i,0.0044099-0.0019299i,0.0011473+0.011499i,0.00579-0.025879i,0.033005+0.0069382i,-0.015378-0.097057i,-0.032833-0.062571i,-0.013363-0.067657i,-0.021657-0.043966i,0.0043452-0.096416i,-0.035365-0.096477i,0.037928-0.082078i,-0.0033512-0.067823i,0.0063226+0.00086117i,0.0018248-0.0036769i,-0.014086-0.023964i,0.0036979+0.0028697i,-0.0099964-0.00096748i,-0.0089076-0.0055296i,-0.044417+0.0042423i,0.0099642+0.022883i,-0.0083466-0.012555i,-0.0075631+0.0055i,-0.0056262-0.001751i,-0.020349-0.0014075i,0.0051197+0.011846i,0.012243-0.0058484i,0.023587+0.0042463i,0.0053044-0.0022533i,-0.004424+0.0010568i,-0.0040956+0.0042313i,-0.0061433+0.017238i,-0.0055165+0.0015399i,-0.018791+0.031156i,-0.0066924+0.00012216i,-0.0018184+0.0096493i,-0.0018465+0.01155i,-0.0044292-0.0028605i,-0.002532+0.0046962i,6.5947e-05-0.0010917i,0.0019273+0.0027579i,0.0012779-0.0031701i,-0.0033734+0.0053418i,-0.00098319-0.00015557i,-0.0042031+0.01902i,-0.001448-0.0049316i,-0.014664+0.019727i,-0.025027+0.030653i,-0.019557-0.09345i,-0.011083-0.0078062i,-0.05171+0.023912i,-0.028771-0.005533i,0.012906-0.0096568i,-6.8765e-05+0.01513i,-0.033333-0.0045633i
-0.044361-0.016741i,-0.034361-0.042988i,-0.049715-0.038006i,-0.045692-0.011249i,-0.041399-0.02188i,-0.057249+0.021656i,-0.046046+0.029319i,-0.058642+0.0047711i,-0.038192-0.0065391i,0.0093271+0.0040918i,0.010327+0.010268i,0.012601+0.0039858i,0.013299-0.0099106i,0.0084932+0.0077645i,0.0019579-0.0025054i,0.0066583-0.0010691i,0.027745-0.021802i,0.003417-0.0013963i,-0.00054517+0.0075531i,0.00026632-0.0053003i,0.0019132+0.0037972i,0.0026547+0.0022538i,-0.0004051+0.0015696i,0.017406+0.012969i,-0.0038857-0.00032723i,0.00090306-0.0064524i,0.0010232-0.0029811i,0.0026717-0.00024289i,-0.00012648-0.00022036i,-0.0049082-2.6009e-05i,-0.0045461-0.0026073i,-0.0036919+0.0026463i,-0.0046672+0.00099649i,-0.0018776-0.0025554i,-0.0026722-0.0042201i,0.015733+0.0049401i,-0.0017269-0.0039542i,-0.00062099-0.0026543i,0.00031611-0.0088416i,-0.0025848+0.00053362i,0.0021634+0.0026958i,0.0020645-0.0019428i,0.0036396-0.0030481i,0.0032634+0.0092741i,0.00060539-0.036564i,0.041675-0.010448i,-0.026141-0.088965i,-0.037479-0.053714i,-0.020717-0.072093i,-0.02429-0.042596i,-0.02408-0.10478i,-0.058096-0.085802i,0.018741-0.097041i,-0.014885-0.061743i,0.0096513+0.0032372i,-0.0033188-0.0052707i,-0.020983-0.014789i,0.00011853-3.5215e-05i,-0.011053+0.00070707i,-0.01572-0.0019183i,-0.039371+0.02116i,0.01347+0.012388i,-0.013484-0.0080602i,-0.0055354+0.0053254i,-0.0063428+0.0015634i,-0.019061+0.0089765i,0.0055578+0.0067175i,0.0097443-0.011212i,0.023451-0.0069139i,0.0036999-0.0057i,-0.006499+0.0033964i,-0.001739+0.0067256i,0.002123+0.018878i,-0.004129+0.0060754i,-0.010878+0.037968i,-0.007163+0.0013541i,0.0020347+0.0066414i,0.004613+0.010729i,-0.0061997+0.00083544i,-0.0035062+0.0019071i,-0.0010314-0.0011853i,0.0010981+0.0046004i,-0.0027458-0.0033909i,-0.0027525+0.0025464i,-0.0034417+0.0024863i,0.0031448+0.021057i,-0.0042389-0.0033542i,-0.0059033+0.020822i,-0.016892+0.033225i,-0.032485-0.088702i,-0.0053918-0.011551i,-0.040318+0.039762i,-0.031179+0.0044836i,0.0077484-0.01385i,0.0011393+0.0072501i,-0.032282-0.00083079i
-0.044171-0.010248i,-0.041408-0.039372i,-0.060792-0.027443i,-0.04661-0.0051505i,-0.052276-0.016198i,-0.048988+0.032306i,-0.033261+0.032088i,-0.052627+0.014707i,-0.036111-0.0029624i,0.0087173+0.0023275i,0.010417+0.0059215i,0.012752-0.0018152i,0.0067533-0.01334i,0.012129+0.0032112i,0.00010298-0.0027951i,0.0037806-0.001322i,0.01165-0.025809i,0.004098-0.0024665i,0.0044493+0.0066048i,-0.001562-0.0039752i,0.0037977+0.001863i,0.002616+0.0013606i,0.001012+0.0023232i,0.021067-0.00072206i,-0.0021902+0.0020297i,-0.0019325-0.0060007i,-0.00098598-0.0011926i,0.003084-0.0019512i,-2.6002e-05-0.00059911i,-0.0032202+0.00309i,-0.0045024-0.0015755i,-0.0028677+0.0032669i,-0.0044579+0.0028434i,-0.0026639-0.00076899i,-0.0024894-0.0028457i,0.017158+0.00047258i,-0.0033369-0.0034021i,-0.002451-0.0025798i,-0.0033305-0.0086324i,-0.0046501-0.0010398i,0.0032333+0.001879i,0.0012842-0.00053997i,0.0017648-0.0042757i,0.0045643+0.0076137i,-0.011086-0.041805i,0.0325-0.034624i,-0.029514-0.081932i,-0.041199-0.046487i,-0.030925-0.072101i,-0.026487-0.043895i,-0.053638-0.095825i,-0.077326-0.068694i,-0.00083397-0.10098i,-0.016961-0.04734i,0.018446+0.0060176i,-0.0069459-0.0025879i,-0.020446-0.0026596i,-0.0012107-0.0002602i,-0.015092+0.0045633i,-0.014126+0.0046658i,-0.029474+0.035802i,0.011352+0.0055201i,-0.012752-0.00035337i,-0.0073696+0.0049845i,-0.0032771+0.0050368i,-0.012218+0.015558i,0.006494+0.0075353i,0.0045793-0.018461i,0.013208-0.020713i,-0.0027367-0.0085812i,-0.0067597+0.0077251i,0.00031552+0.0063782i,0.0097991+0.015979i,0.00049241+0.0080003i,0.0051462+0.045951i,-0.0080381+0.0037582i,0.0019456+0.0052858i,0.0086094+0.0058894i,-0.0043986+0.0068079i,-0.0054673+0.0043235i,-0.0030622-0.00049173i,0.0047578+0.005707i,-0.0037737+0.0023768i,-0.0050565+0.0026637i,-0.0008179+0.0074168i,0.0099601+0.016986i,-0.0058199-0.001987i,4.5459e-05+0.017756i,-0.0069321+0.035911i,-0.038526-0.080251i,-0.01191-0.022993i,-0.015949+0.045559i,-0.026839+0.011889i,0.0049593-0.020099i,0.00062757+0.0012969i,-0.030858+0.0061772i
-0.043249-0.0043519i,-0.053079-0.036326i,-0.06796-0.013573i,-0.045041+0.0025732i,-0.059833-0.0034066i,-0.039479+0.038946i,-0.023854+0.031663i,-0.046059+0.021452i,-0.037476+0.0011591i,0.0095172-0.00035813i,0.012657+0.003502i,0.0088338-0.0069737i,-0.00091898-0.012178i,0.01269-0.0037237i,-0.0013489-0.0024608i,0.0022354-0.00019733i,-0.00044402-0.02145i,0.0026812-0.0048951i,0.0057569+0.0027026i,-0.0025073-0.0015871i,0.0037492-0.00012929i,0.0039816+0.0013802i,0.0025962+0.0017106i,0.015977-0.010754i,0.0008112+0.00096966i,-0.0030697-0.0037217i,-0.00024157-0.0015766i,0.0021039-0.0035148i,4.8415e-05-0.00051523i,-0.00064195+0.0037057i,-0.0048205-0.00080725i,-0.0012781+0.0036291i,-0.0024369+0.004675i,-0.0021823+0.00015676i,-0.0033899-0.0033923i,0.015533-0.0052406i,-0.0040089-0.0016067i,-0.0032376-0.0010396i,-0.0070288-0.0049345i,-0.0078206+0.0014441i,0.0033503+0.00052413i,0.0026464-0.0010441i,-0.00024259-0.0042716i,0.0057477+0.003615i,-0.023967-0.039817i,0.013497-0.040806i,-0.036954-0.083733i,-0.039604-0.039211i,-0.03932-0.069257i,-0.035717-0.046115i,-0.073319-0.080315i,-0.083911-0.042804i,-0.025721-0.10189i,-0.010206-0.043606i,0.026065-0.0090403i,-0.007981+0.0017079i,-0.015019+0.00015485i,-0.0049869+0.00055514i,-0.012608+0.013353i,-0.011654+0.0073064i,-0.0088942+0.04257i,0.011154+0.001798i,-0.011989+0.0013823i,-0.004514+0.0069165i,-0.0015377+0.0044139i,-0.0047375+0.018871i,0.01081+0.0045469i,-0.0079326-0.019558i,-0.0044608-0.021166i,-0.005669-0.0018594i,-0.0032147+0.011372i,0.0032999+0.004999i,0.015803+0.0076431i,0.0040286+0.0050278i,0.025999+0.039585i,-0.0040313+0.0068058i,0.0025073+0.0033065i,0.0090211+0.0007262i,0.0011447+0.0083791i,-0.0064013+0.0071682i,-0.0040548+0.0034368i,0.0084836+0.0052411i,-0.0017303+0.0048202i,-0.0061955+0.0052025i,0.003446+0.0073716i,0.01265+0.011105i,-0.0053398+0.00036504i,0.005589+0.013481i,0.0044672+0.033811i,-0.045547-0.077761i,-0.027395-0.021935i,0.0014258+0.036191i,-0.023476+0.016244i,-0.0047135-0.026677i,-0.0035718-0.0029433i,-0.022243+0.0091536i
-0.042175+0.00086789i,-0.0635-0.023859i,-0.070964+0.0025067i,-0.042094+0.0074355i,-0.05961+0.01163i,-0.031103+0.043263i,-0.016897+0.030247i,-0.03963+0.025983i,-0.036302+0.0090842i,0.0090241-0.003295i,0.013361-0.0041603i,0.0028109-0.0075908i,-0.0047022-0.0075899i,0.0082742-0.0083518i,-0.002705-0.0019238i,0.0031347-0.00026148i,-0.0069288-0.014441i,-0.00036401-0.0049886i,0.0045474+0.00030773i,-0.0020181+0.00010612i,0.0021618-0.00080662i,0.004395-0.00023074i,0.0030032+0.00047575i,0.0084196-0.015281i,3.9142e-05-0.00095019i,-0.0029945-0.0025935i,-0.00050583-0.0017226i,0.00030355-0.0033673i,0.0010241-0.00036704i,0.00063006+0.0028037i,-0.0053601+0.00027673i,0.00015704+0.0034641i,-0.00027431+0.0051185i,-0.0020702+0.000276i,-0.0048972-0.00050652i,0.011901-0.0096402i,-0.0036073-0.00025879i,-0.0025866+0.00054139i,-0.0064134-0.0017021i,-0.0070447+0.0057109i,0.0032148-0.00013653i,0.0029524-0.0019235i,-0.0018201-0.0036446i,0.0036061+0.00053703i,-0.033037-0.032059i,0.0052662-0.031128i,-0.048771-0.083464i,-0.037083-0.03772i,-0.047781-0.065184i,-0.045825-0.040788i,-0.089256-0.063225i,-0.077455-0.022983i,-0.053769-0.088086i,-0.0077774-0.048552i,0.023234-0.021879i,-0.0061608+0.0044465i,-0.013106+0.0041783i,-0.007629+0.0054743i,-0.0045927+0.018812i,-0.0079415+0.01113i,0.010747+0.035879i,0.0095615-0.0039845i,-0.012754+0.0045352i,-0.0030787+0.0059124i,0.0008317+0.0049764i,0.0033005+0.016028i,0.011395-0.0029373i,-0.017297-0.010244i,-0.014525-0.010999i,-0.0030965+0.0023305i,0.0034081+0.011533i,0.0039745+0.0026489i,0.017711+0.00014256i,0.0064337+0.003962i,0.038747+0.024362i,-0.00083329+0.0054974i,0.00084228+0.0035472i,0.0068312-0.0042202i,0.005577+0.0054164i,-0.0047086+0.013496i,-0.00095347+0.0073737i,0.012561+0.00038205i,0.0026604+0.004918i,-0.0053228+0.0088788i,0.0062278+0.0044856i,0.013326+0.0067137i,-0.0054296+0.00131i,0.0075498+0.0081159i,0.011599+0.027806i,-0.054616-0.072326i,-0.035074-0.0088988i,0.010697+0.023731i,-0.010981+0.022537i,-0.017048-0.02575i,-0.011207-0.002477i,-0.020364+0.0040435i
-0.040984+0.0062623i,-0.065695-0.0082472i,-0.067764+0.019906i,-0.040184+0.011836i,-0.05392+0.023606i,-0.022094+0.04693i,-0.011537+0.027839i,-0.034494+0.029124i,-0.030735+0.01541i,0.007113-0.0061543i,0.0071278-0.00949i,0.00020664-0.0052554i,-0.0051246-0.0039309i,0.0035251-0.010084i,-0.0039271-0.00041731i,0.0026392-0.0017718i,-0.0069208-0.0079588i,-0.0021274-0.0034964i,0.0034994-9.0362e-05i,-0.00087243+0.0010619i,0.0023432+0.00012598i,0.0042262-0.0013794i,0.00321-0.00045138i,0.0018275-0.015105i,-0.00090564-0.0012054i,-0.0032889-0.0027451i,-0.00087209-0.0015244i,-0.00073221-0.0031937i,0.00090787-0.0015648i,0.0018322+0.0024013i,-0.0052677+0.0014713i,0.0013443+0.0027727i,0.0015252+0.0039072i,-0.0022206+0.0015783i,-0.0037815+0.00040173i,0.0065731-0.012405i,-0.0025216+0.00057643i,-0.0017194+0.0013608i,-0.0074153+0.00063357i,-0.0041887+0.0082193i,0.0031134-0.00092093i,0.0018434-0.0028423i,-0.0025356-0.0024715i,-2.877e-05+0.00046533i,-0.038282-0.022363i,0.013216-0.024706i,-0.064301-0.079267i,-0.038391-0.039135i,-0.054073-0.059261i,-0.052118-0.032312i,-0.10052-0.040157i,-0.072447-0.013278i,-0.062651-0.061594i,-0.011306-0.05239i,0.014297-0.032524i,-0.0046631+0.0055881i,-0.0091314+0.0040411i,-0.0034106+0.011317i,0.0037915+0.017554i,0.00078602+0.010259i,0.018712+0.021979i,0.0055331-0.0066251i,-0.011264+0.0095396i,-0.0027775+0.0057026i,0.0019182+0.0030869i,0.0073602+0.012008i,0.00498-0.0052445i,-0.0196+0.00070905i,-0.015731-0.0013044i,0.00084757+0.0022643i,0.0066069+0.0098996i,0.0029086+0.0015077i,0.014159-0.010738i,0.0067912-0.00075905i,0.043241+0.006122i,-0.00040316+0.0059415i,0.0027423+0.0032631i,0.0019307-0.0065653i,0.0060236+0.002032i,0.0021319+0.016955i,0.0050898+0.0051213i,0.0099558-0.0054673i,0.0048651+0.0014687i,-0.001468+0.013066i,0.0054433+0.0032728i,0.01243+0.0031963i,-0.0068993+0.0028596i,0.0048413+0.0052259i,0.015793+0.022895i,-0.061733-0.064932i,-0.03295+0.0044741i,0.011692+0.012161i,-4.805e-05+0.015689i,-0.028398-0.019225i,-0.013088+0.0057512i,-0.023537+0.0063265i
-0.039315+0.012089i,-0.062895+0.0032513i,-0.058729+0.034135i,-0.038684+0.016338i,-0.04629+0.032245i,-0.012706+0.048709i,-0.0083892+0.0256i,-0.029943+0.032995i,-0.025446+0.018404i,0.0038188-0.0077393i,0.0005891-0.0087099i,-0.00061844-0.0041193i,-0.0040657-0.0023717i,-0.00070969-0.0098644i,-0.003703+0.0016489i,0.00067348-0.0027755i,-0.0060077-0.0060477i,-0.002092-0.0016237i,0.003496-0.00078616i,0.00059236+0.001316i,0.0037509-0.00057734i,0.0036527-0.0019505i,0.003043-0.0013821i,-0.0028465-0.013385i,-0.0011909-0.00093705i,-0.0044658-0.0015338i,-0.0012359-0.0014884i,-0.0018059-0.0031818i,0.00020946-0.0019711i,0.0029087+0.00079778i,-0.004724+0.0029366i,0.0020363+0.0017263i,0.0024169+0.0027101i,-0.0012068+0.0024612i,-0.0039861+0.0013017i,0.0013161-0.011004i,-0.002244+0.00040137i,-0.00047692+0.0015304i,-0.0055917+0.004758i,-0.0002666+0.0096003i,0.0027189-0.001649i,0.0018543-0.0024677i,-0.002512-0.001729i,-4.7926e-05+0.0035836i,-0.037814-0.012804i,0.026992-0.034516i,-0.080527-0.067227i,-0.04358-0.039019i,-0.05818-0.054141i,-0.05669-0.023935i,-0.10117-0.01705i,-0.068142-0.0024182i,-0.058919-0.045091i,-0.01588-0.056466i,0.001395-0.037252i,-0.0019617+0.0069187i,-0.0094986+0.001591i,0.0032468+0.011583i,0.0089571+0.012427i,0.0049127+0.0031092i,0.017515+0.0096898i,0.00078925-0.0074629i,-0.007357+0.013137i,-0.0032847+0.0063942i,0.0016529+0.0017413i,0.0087503+0.006969i,0.002829-0.0030956i,-0.015804+0.010411i,-0.012083+0.006307i,0.0018424+0.00096525i,0.010741+0.0070174i,0.0022731+0.00097184i,0.004895-0.014787i,0.0037634-0.0036276i,0.038631-0.0096631i,0.0017919+0.0064452i,0.0018966+0.001886i,-0.001881-0.0048839i,0.0055054+0.00045356i,0.010494+0.016441i,0.0054411+0.00074792i,0.0069395-0.0074141i,0.0039495-0.00094484i,0.0055568+0.013138i,0.0058709+0.0016693i,0.012801-0.00087204i,-0.0052129+0.0075558i,0.0049647+0.004529i,0.019018+0.018074i,-0.068507-0.058237i,-0.026555+0.01131i,0.011241+0.0056218i,0.0013219+0.0066779i,-0.035489-0.0085443i,-0.0088935+0.0081124i,-0.022107+0.0093734i
-0.036018+0.017488i,-0.058225+0.012055i,-0.045559+0.043355i,-0.035374+0.021547i,-0.036912+0.037658i,-0.0036025+0.048713i,-0.0057704+0.024441i,-0.024203+0.036914i,-0.020812+0.020771i,0.00021864-0.008297i,-0.0029162-0.0059099i,-0.0005856-0.0035886i,-0.0041243-0.0013959i,-0.0043937-0.0080416i,-0.0030976+0.0030514i,-0.0013497-0.0024441i,-0.0074695-0.0057891i,-0.0019195-0.0010283i,0.0030401-0.0016356i,0.0016124+0.00063656i,0.003918-0.0022383i,0.0036329-0.0026205i,0.0024373-0.0022722i,-0.0068625-0.011103i,-0.0016498-0.00069235i,-0.0045866+0.00031582i,-0.0018451-0.0010013i,-0.0027454-0.0022942i,-0.00053416-0.0019951i,0.0021876-0.0012754i,-0.0036136+0.0046633i,0.0019072+0.00093742i,0.0029383+0.0014739i,0.00038766+0.0022315i,-0.0032928+0.0028291i,-0.00091352-0.0080587i,-0.0019342+0.00079358i,0.00051714+0.0008551i,-0.001499+0.0050872i,0.0043917+0.0087044i,0.0021221-0.0020538i,0.0016085-0.0028427i,-0.0030331-0.0012976i,0.0017153+0.0029538i,-0.034897-0.0076464i,0.026859-0.058202i,-0.091018-0.048888i,-0.04799-0.037104i,-0.063126-0.053133i,-0.058608-0.014565i,-0.098578+0.00071047i,-0.062302+0.0052159i,-0.055331-0.034315i,-0.023766-0.058391i,-0.012562-0.037279i,0.00029185+0.0060872i,-0.014671+0.0018778i,0.0076968+0.0074465i,0.010921+0.0068581i,0.0036419-0.0026833i,0.012889+0.0036322i,-0.003503-0.0074733i,-0.0022485+0.01453i,-0.0019551+0.0078652i,0.00098763+0.0013117i,0.0067527+0.0034033i,0.00244-0.0018743i,-0.0083066+0.014926i,-0.0062194+0.010494i,0.0036096-0.00097617i,0.01335+0.00074678i,0.001611+0.0013131i,-0.0030769-0.012558i,0.00098823-0.004007i,0.029628-0.020662i,0.0045453+0.0056914i,0.001327+0.0029396i,-0.0047-0.0021101i,0.0050031-0.0023745i,0.017756+0.011117i,0.0039304-0.002302i,0.003333-0.0090983i,0.0025502-0.0024127i,0.010568+0.0090323i,0.0056285+0.0011773i,0.0091901-0.0057815i,-0.00058506+0.0093426i,0.005485+0.0022466i,0.022989+0.012925i,-0.075705-0.049077i,-0.019537+0.016927i,0.01012+0.00015906i,-0.0012426+0.0029242i,-0.037172+0.0029135i,-0.0066955+0.007285i,-0.01964+0.012101i
