-0.0073636-0.038582i,-0.011977-0.044224i,0.0014361-0.045723i,-0.026771-0.027162i,-0.02071+0.014095i,-0.032576-0.032483i,-0.059521-0.062324i,-0.021196-0.072932i,-0.033463-0.050638i,0.0023774+0.01668i,-0.0066481+0.01052i,-0.014993+0.01442i,0.0017581+0.016596i,-0.0036836-0.0035872i,0.000425+0.006602i,0.00075692+0.039285i,0.019643+0.059712i,0.00116-0.00010631i,-0.0045302-0.0080781i,0.0091415+0.005058i,0.0015567+0.0010473i,-0.0011995+0.0035971i,0.00028788-0.0016656i,-0.036141-0.0099629i,-0.0025169-0.0076762i,2.4773e-05+0.0044414i,0.0054483+0.00038732i,0.00027411+0.0010431i,-0.00020715-0.00091277i,0.00014349-0.0022336i,-0.0012907-0.0058127i,-0.0022321-0.003527i,-0.00074848-0.0076522i,0.0032356-0.0010597i,0.002856-0.0024531i,-0.0019506+0.034172i,0.0064289-0.0041478i,0.0035243-0.0025435i,0.0052494-0.00015758i,-0.013485-0.0053424i,0.00014828+0.00012244i,0.011102-0.00062108i,0.0054953-0.0016994i,-0.0031161+0.0049719i,0.0026471+0.0015084i,-0.0029775+0.0084571i,0.015609-0.086915i,-0.0061453-0.048062i,-0.02501-0.039294i,-0.01925-0.042044i,0.063578-0.015804i,0.027866-0.060876i,0.038764-0.044634i,0.030533-0.056083i,0.019331-0.015819i,0.0082897+0.0096975i,0.024839-0.032151i,-0.0073463-0.0051312i,0.0028257-0.0027724i,-0.0049061-0.0066425i,0.0015662-0.032009i,-0.024213+0.031007i,0.0082255-0.010148i,-0.010755-0.0015646i,-0.0053837-0.001454i,-0.00080834-0.013893i,-0.0099726+0.0040393i,0.0036192+0.0083239i,-0.011516+0.03078i,0.0058334+0.0081525i,-0.005021-0.0015807i,-0.0022467-0.0020347i,-0.011169-0.00726i,0.00048591-0.0033885i,-0.035236+0.0050126i,0.0025488-0.012719i,-0.0089078-0.0023952i,-0.0063261-0.0030377i,0.0060742+0.0011814i,-0.0091343+0.0017246i,0.0012318+0.0008412i,0.0056193+0.0092453i,0.0044805+0.00041822i,-0.0097444-0.0095895i,0.0026985+0.008734i,-0.019421+0.0066293i,0.0067589+0.0033902i,-0.028553-0.0088167i,-0.035105+0.0022784i,0.025414-0.077629i,0.012489-0.010145i,-0.042331-0.027814i,-0.022743-0.0036843i,0.01792+0.012607i,-0.027285+0.012115i,-0.011603-0.0083398i
-0.033723+0.00020129i,-0.047158+0.016176i,-0.049376+0.042895i,-0.027869+0.0060713i,-0.0054998+0.01467i,-0.0091069+0.031319i,-0.030121+0.017483i,-0.058826+0.023866i,-0.020926+0.020238i,0.001547-0.0083219i,0.0016068-0.0019706i,0.0037014+0.00052926i,0.003045+0.0090166i,-0.0036241+0.0015478i,0.0014806+0.0024728i,0.0023783-0.0096881i,-0.012504-0.0094463i,-0.0037391+0.00014589i,0.0043772-0.0028298i,0.0013492-0.0013227i,0.0024431-0.0040454i,0.001856-0.0040387i,0.00204-0.0032866i,-0.010989-0.011314i,-0.0025874-0.00041744i,-0.0041933-0.00033056i,-0.0039884-0.00090204i,-0.0052242-0.0018566i,-0.0011303-0.0022358i,0.00088303-0.0017802i,-0.0038481+0.0046081i,0.0013017+0.0016437i,0.0025656+0.0011235i,0.0016124+0.00047425i,-0.0018179+0.0034779i,-0.003008-0.0080615i,-0.0032916+0.0013734i,0.001297-9.5468e-05i,-0.0011865+0.0032641i,0.009419+0.0075287i,0.0016878-0.0023411i,0.0012831-0.00014472i,-0.0045021-0.0046055i,0.001972+0.0043728i,-0.018817-0.017038i,0.0021822-0.064401i,-0.088004-0.011139i,-0.021924-0.021072i,-0.04706-0.041276i,-0.043341-0.0075416i,-0.094327+0.012128i,-0.062241-4.2545e-05i,-0.036804-0.027865i,-0.028795-0.056662i,-0.034002-0.026603i,-0.00071678+0.0016964i,-0.025531+0.013287i,0.0040822+0.017236i,0.0039314+0.0076545i,0.0002078-0.0067268i,0.00863+0.0047869i,-0.010296-0.0044933i,0.0017141+0.011196i,-0.0014968+0.0071992i,-0.00088296-0.0025001i,0.0059611+0.0022659i,0.0035443-0.0012753i,-0.0045841+0.019589i,-4.9271e-05+0.013523i,0.0013509-0.0044481i,0.010439-0.0069488i,0.0034063+0.0037275i,-0.0078129-0.0076478i,-0.0019269-0.0018564i,0.026769-0.033699i,0.0080782+0.0087717i,0.0040865+0.0026271i,-0.0017433+0.0031588i,0.003613-0.0038271i,0.021258+0.0019417i,0.0013543-0.0015721i,-0.00081906-0.0070565i,0.0018477-0.0020693i,0.01213+0.0050858i,0.0058357+0.0010109i,0.0032263-0.0048964i,0.0040161+0.0078244i,0.004189+0.0034159i,0.016209+0.0021998i,-0.066245-0.044078i,-0.011283+0.0093869i,-0.0060515-0.0045892i,-0.0067407+0.0042549i,-0.036685+0.0099318i,-0.0058879+0.0081255i,-0.014546+0.0035713i
-0.031591+0.0042691i,-0.043893+0.020787i,-0.036185+0.045443i,-0.026637+0.012043i,-0.0038397+0.012026i,-0.0035731+0.031506i,-0.028101+0.022076i,-0.050767+0.031782i,-0.016245+0.016497i,-0.0010649-0.0079117i,0.0010468-0.0012432i,0.0033456-0.0014088i,0.0052646+0.0059875i,-0.0019645+0.0033397i,0.001838+0.0026331i,-0.0036618-0.0073668i,-0.01819-0.0023654i,-0.0034623+0.0015825i,0.0041822-0.0033693i,0.0014864-0.0020861i,0.0012758-0.0041919i,0.0017378-0.0029375i,0.0017914-0.0034434i,-0.012841-0.0063701i,-0.0019269+0.00022061i,-0.0044365+0.0011117i,-0.0031692+0.00057841i,-0.0047714-0.00017151i,-0.0018052-0.0022809i,0.00043979-0.0014684i,-0.001848+0.0060747i,0.0014222+0.0013144i,0.0022982-0.00028516i,0.00030573+0.00019175i,-0.0021734+0.0027809i,-0.0031219-0.0071798i,-0.0028573+0.0019306i,-0.00025681-0.00079784i,-0.0015088+0.0047099i,0.010341+0.0019413i,0.0009858-0.0030367i,0.00045781-0.0012755i,-0.0065101-0.0034772i,0.003437+0.0037262i,-0.020414-0.018852i,-0.017446-0.07144i,-0.082938+0.0051132i,-0.029057-0.022814i,-0.058584-0.033757i,-0.04131+0.0020776i,-0.082757+0.033175i,-0.059669+0.013737i,-0.027845-0.027404i,-0.03658-0.052365i,-0.041134-0.012217i,-0.0011711+0.00027974i,-0.018263+0.023569i,0.0087351+0.011854i,0.0061375+0.0030572i,-0.0052403-0.012232i,0.0049286+0.0035094i,-0.010955+0.0027361i,0.0063088+0.0091688i,0.0011108+0.0092616i,-0.0019384-0.0018159i,0.006603+0.0026527i,0.0035476-0.0010033i,0.0053805+0.016325i,0.0064578+0.0088119i,-0.0035195-0.0057819i,0.0034434-0.0082731i,0.0043565+0.0036965i,-0.010848-0.0003995i,-0.0019633+0.00084369i,0.010773-0.036276i,0.011128+0.0068329i,0.0064076+0.0011273i,0.0012914+0.0020346i,0.0002666-0.0020253i,0.018412-0.0072138i,-0.00051673-0.0020662i,-0.0040988-0.0055169i,-0.0015233-0.0020799i,0.011054+3.203e-06i,0.0056321+0.00083293i,0.0018192-0.0031091i,0.0067136+0.0060203i,0.0043742+0.0027082i,0.015494-0.003026i,-0.07212-0.034937i,-0.0043767-0.00066205i,-0.0069574-0.0041777i,-0.005371+0.0036242i,-0.030998+0.020803i,-0.0038245+0.009048i,-0.013851+0.0056114i
-0.028721+0.0071427i,-0.041452+0.025537i,-0.027277+0.043564i,-0.023353+0.015245i,-0.0014114+0.011896i,0.0020373+0.03057i,-0.024469+0.026671i,-0.042282+0.036245i,-0.017162+0.014008i,-0.0032699-0.0063501i,0.001608-0.00073838i,-0.00045517-0.0023478i,0.0059239+0.0039983i,-0.0013231+0.0037284i,0.0026767+0.0028185i,-0.0074542-0.0019685i,-0.018492+0.0075178i,-0.0019591+0.0029781i,0.0041762-0.0053312i,0.0012807-0.0031211i,-0.00025655-0.0044137i,0.0022758-0.0039243i,0.0011623-0.0040744i,-0.013451-0.0028253i,-0.001927+0.00058952i,-0.0035076+0.0031961i,-0.0023308+0.00097924i,-0.0035192+0.0017964i,-0.0023079-0.0019793i,-0.00018956-0.0024168i,0.00075505+0.0061372i,0.001607+0.00097226i,0.0015415-0.00070222i,0.00025723-0.00011264i,-0.0015376+0.0045223i,-0.0035635-0.006791i,-0.0026191+0.0022628i,-0.0011555-0.00051339i,0.0027473+0.0046786i,0.0085473-0.0015058i,-3.5884e-05-0.0031838i,0.00030708-0.00058724i,-0.0086083-0.001947i,0.0043264+0.0018055i,-0.024602-0.019163i,-0.040217-0.067833i,-0.072898+0.016727i,-0.036101-0.019505i,-0.06541-0.02205i,-0.034945+0.008483i,-0.063033+0.046857i,-0.04511+0.026188i,-0.02938-0.032696i,-0.043146-0.048526i,-0.040187+0.0022163i,-0.0016541-0.00029641i,-0.0068659+0.02715i,0.010405+0.0069099i,0.0034372-0.0014933i,-0.017777-0.011846i,0.0042106+0.0025567i,-0.0065685+0.007308i,0.0086582+0.0047636i,0.0044728+0.0090559i,-0.0041807+0.00020582i,0.0072271-0.0010966i,0.0039369-0.0026103i,0.0087899+0.0093396i,0.0066041+0.0030669i,-0.0077642-0.002009i,0.00038698-0.0062629i,0.0065487+0.0026523i,-0.0074553+0.0089624i,-0.00028306+0.0022617i,-0.0015866-0.033311i,0.014113+0.0013399i,0.0060715-0.0017442i,0.001159+0.00061765i,0.0007736-0.00039892i,0.011535-0.01196i,-0.0028691+0.0011596i,-0.006157-0.0028497i,-0.003027+0.001561i,0.0078346-0.003347i,0.0087887-0.0016717i,0.0026699-0.0033636i,0.0097699+0.0025061i,0.0068187+0.0011762i,0.012752-0.0079186i,-0.076202-0.022144i,-0.0082713-0.010062i,-0.0061864-0.0046386i,-0.0047243+0.0021418i,-0.021452+0.026054i,-0.0019877+0.0043683i,-0.011048+0.0034521i
-0.026046+0.0082541i,-0.0379+0.031284i,-0.021732+0.041948i,-0.019531+0.018978i,0.0025294+0.0090401i,0.0070749+0.028095i,-0.01913+0.030516i,-0.035115+0.037522i,-0.018587+0.015683i,-0.0043788-0.0044593i,0.0016189-0.0017302i,-0.0026074+0.0011369i,0.0056009+0.0019932i,-0.0010405+0.0050598i,0.0034148+0.0022613i,-0.0065294+0.0046819i,-0.012939+0.016251i,-0.00019126+0.0027887i,0.0019225-0.0066614i,-0.00015393-0.004355i,-0.0014654-0.0039482i,0.0016132-0.0047262i,0.00012291-0.0049764i,-0.013506+0.0011328i,-0.0013908+0.00076539i,-0.001091+0.0033536i,-0.0019062+0.00089236i,-0.0013215+0.0019504i,-0.0031132-0.00085274i,-0.0016293-0.0018544i,0.0027845+0.0052472i,0.0016036+0.00055514i,0.00078396-0.00078711i,4.107e-05+0.00015145i,0.001183+0.0047691i,-0.0047476-0.0074483i,-0.0015508+0.0033304i,-0.0016475+0.00034196i,0.0036742+0.00084393i,0.0068668-0.0032617i,-0.00065298-0.0030265i,0.00089476-0.00099559i,-0.0096648+0.0015368i,0.0026018-0.0011274i,-0.030255-0.016886i,-0.058232-0.052642i,-0.062778+0.021875i,-0.041589-0.014008i,-0.069523-0.0096818i,-0.027358+0.010757i,-0.044529+0.050473i,-0.029298+0.025468i,-0.033658-0.030798i,-0.049914-0.041483i,-0.035202+0.012526i,-0.0030889-0.00031556i,0.0030341+0.025302i,0.010419+0.0023804i,-0.001288-0.0018329i,-0.027341-0.00088186i,0.0015133+0.002932i,-0.0022999+0.0077292i,0.0078599-0.00032082i,0.0078343+0.0078975i,-0.0038538+0.0034224i,0.0036344-0.0025957i,0.0032331-0.0050644i,0.0080222+0.0028233i,0.0035896+0.00071521i,-0.0076203+0.001996i,-0.0015448-0.0046173i,0.0073906+0.00019327i,0.0022848+0.010815i,0.0012644+0.0016314i,-0.0092467-0.026986i,0.012857-0.0038535i,0.005114-0.0036504i,0.0019809+0.0014659i,0.001233-0.00053713i,0.0058662-0.01223i,-6.1047e-05+0.0036876i,-0.006728+0.00057542i,-0.00063027+0.0040358i,0.0052194-0.0034814i,0.0075286-0.0069426i,0.00075357-0.0038112i,0.0091194-0.00326i,0.0061992-0.0018623i,0.0088894-0.011873i,-0.074115-0.0082154i,-0.017925-0.012877i,-0.0068327-0.00718i,-0.0047838+0.00044191i,-0.013812+0.026523i,-0.0057147+0.0027343i,-0.013439+0.0031805i
-0.024772+0.0092039i,-0.033714+0.036188i,-0.018653+0.041705i,-0.014009+0.021365i,0.0044729+0.0047411i,0.010583+0.025438i,-0.012817+0.032505i,-0.030073+0.039021i,-0.01687+0.019577i,-0.0046132-0.002719i,0.00049169-0.0020543i,-0.0013584+0.0039836i,0.0049079+0.00073115i,0.0013746+0.0062811i,0.0040708+0.001689i,-0.0024194+0.0083043i,-0.0043017+0.020444i,0.00069802+0.0021102i,4.1073e-05-0.0064248i,-0.0021865-0.0042849i,-0.0026092-0.0032289i,0.00038782-0.0050157i,-0.0019033-0.0049284i,-0.010827+0.0047182i,-0.0015315+0.00059143i,-0.00051663+0.0021966i,-0.0017301+0.00093662i,-0.00028709+0.00099931i,-0.003032+0.0005317i,-0.0018198-0.0005654i,0.0041041+0.0036929i,0.0016414-0.00015899i,0.00031682-0.00041578i,-6.1764e-05+0.00020774i,0.0023192+0.0034109i,-0.0072815-0.0073872i,-0.00053963+0.0036157i,-0.0013549+0.0016833i,0.0015936-0.00046704i,0.0049955-0.0040998i,-0.0013417-0.0029908i,0.00069111-0.0016775i,-0.0084724+0.0047242i,5.6192e-06-2.5463e-06i,-0.03418-0.011284i,-0.063161-0.032532i,-0.056352+0.023734i,-0.046384-0.0068014i,-0.071158+0.0045364i,-0.022826+0.0082607i,-0.028759+0.049481i,-0.019844+0.021177i,-0.035957-0.028631i,-0.053415-0.03409i,-0.028218+0.020645i,-0.0037532+0.00063295i,0.01302+0.020063i,0.0094949-0.00053124i,-0.0046461+0.00052321i,-0.027877+0.011927i,0.001138+0.0047778i,0.0020629+0.0083731i,0.0035652-0.0021184i,0.010877+0.0047543i,-0.0021268+0.0055029i,0.0013972-0.0011599i,0.001387-0.0067299i,0.0032993+0.0013184i,0.00097432+0.0016841i,-0.0073081+0.0067218i,-0.0028229-0.0022345i,0.0070781-0.0024853i,0.0070918+0.0066757i,0.0020473+0.0011088i,-0.013021-0.024123i,0.00965-0.0079345i,0.0034262-0.0052458i,0.0044034+0.0011096i,0.0011482-0.00061046i,0.0027405-0.010613i,0.0027328+0.0028102i,-0.0045314+0.0044772i,0.0023993+0.0035826i,0.0046686-0.0035143i,0.0025011-0.011332i,0.00043571-0.0032148i,0.0049765-0.0065849i,0.0040994-0.0038681i,0.0026433-0.014351i,-0.068695-0.00032425i,-0.028387-0.0064589i,-0.0090278-0.0084926i,-0.0061857-0.0010279i,-0.008682+0.025961i,-0.0093591+0.0047887i,-0.014039+0.0064338i
-0.023947+0.010774i,-0.028775+0.041138i,-0.015745+0.044119i,-0.0081353+0.020885i,0.0034454-0.00024134i,0.014341+0.023163i,-0.0062244+0.032305i,-0.02537+0.041353i,-0.013342+0.021358i,-0.0047713-0.0018209i,-0.0010965-0.0017726i,0.00083235+0.0052164i,0.004128+0.00015182i,0.0038384+0.0051303i,0.0042491+0.00077161i,0.0020694+0.0090074i,0.0052878+0.020133i,0.0013149+0.0017292i,-0.0017205-0.0060952i,-0.0039726-0.0031725i,-0.003107-0.0016236i,-0.00035967-0.0052254i,-0.0031331-0.0036297i,-0.0083851+0.0055167i,-0.0020086+0.0012212i,-0.00062175+0.0020287i,-0.0016312+0.0012761i,0.00016833-0.00018055i,-0.0020055+0.0015412i,-0.001442+1.5131e-05i,0.0050844+0.0019942i,0.0012648-0.00076034i,0.00011779-0.00013454i,-0.00033615-4.3318e-05i,0.0028837+0.0027175i,-0.01001-0.0057427i,0.00035952+0.0032457i,-0.00028059+0.0021695i,0.00080153-0.00053823i,0.0034196-0.004001i,-0.0021165-0.0023619i,-0.00013242-0.0019453i,-0.005982+0.006673i,-2.4182e-05+0.0021817i,-0.036235-0.0045825i,-0.059018-0.018883i,-0.052678+0.026596i,-0.048277+0.0045137i,-0.067417+0.021252i,-0.024326+0.0063379i,-0.016876+0.044724i,-0.013398+0.016401i,-0.03814-0.02525i,-0.056615-0.027005i,-0.020069+0.024518i,-0.0044926+0.0021039i,0.01706+0.0079913i,0.0089-0.0041968i,-0.0060711+0.0047981i,-0.020846+0.023527i,0.0029211+0.0050326i,0.0067133+0.0057057i,0.0013529-0.00023457i,0.012318-0.00061241i,0.00029468+0.0073359i,0.0010841-0.00010888i,-0.0029826-0.0082883i,0.0014457+0.0040474i,0.00099231+0.0039236i,-0.0024267+0.011132i,-0.0016719+0.00020646i,0.0054749-0.0039925i,0.0092718+0.0022526i,0.0028992-0.00048474i,-0.020759-0.022917i,0.005186-0.0096935i,0.00044431-0.0058046i,0.0039667-0.0014464i,0.00078224+0.00019504i,0.0017877-0.0088105i,0.0036639+0.00041479i,-0.001039+0.0056697i,0.003313+0.00087781i,0.0034283-0.0042426i,-0.0039378-0.010758i,-0.00014068-0.0038669i,0.000922-0.0068834i,0.0025027-0.0053942i,-0.0042738-0.013489i,-0.066624+0.0064557i,-0.02711+0.0073872i,-0.01254-0.0089174i,-0.0080854-0.00037139i,-0.0052422+0.025611i,-0.0089683+0.0096689i,-0.0096138+0.0090044i
-0.022942+0.012868i,-0.022301+0.045904i,-0.010597+0.04756i,-0.0045974+0.017895i,-0.00032606-0.0025931i,0.018143+0.019936i,-0.00030159+0.030925i,-0.020246+0.044501i,-0.0095995+0.023113i,-0.0051667-0.00054342i,-0.001838+0.00018715i,0.0037718+0.0056374i,0.0035228+0.00015206i,0.0050268+0.0029901i,0.0039424+1.3881e-05i,0.0058095+0.0076495i,0.013074+0.015689i,0.0019481+0.0014164i,-0.003034-0.0054779i,-0.0048141-0.0011402i,-0.0025247-0.0004609i,-0.0017847-0.0055628i,-0.0036096-0.002346i,-0.0076489+0.0069467i,-0.0017254+0.0020709i,-0.00032191+0.0025364i,-0.0013541+0.0019319i,-0.00070337-0.0011531i,-0.0017117+0.0013574i,-0.0012256+0.00015383i,0.0052835+6.8207e-05i,0.0010687-0.00087449i,0.00078072-0.00016906i,-0.00029763+0.00026075i,0.0039644+0.00090594i,-0.012067-0.0029858i,0.0012802+0.003015i,0.00049411+0.0016541i,0.00028414-0.00084827i,0.0019716-0.0039132i,-0.0024125-0.0015658i,-0.00058327-0.0017725i,-0.0041323+0.0069095i,0.00099431+0.002798i,-0.035804+0.0014667i,-0.05628-0.013706i,-0.048802+0.031424i,-0.044121+0.014953i,-0.058045+0.035812i,-0.025569+0.0095202i,-0.0084747+0.040742i,-0.010872+0.011191i,-0.039895-0.021592i,-0.058479-0.018881i,-0.012936+0.026013i,-0.0032769+0.0025505i,0.011314-0.0026438i,0.0055774-0.0084301i,-0.0044112+0.008047i,-0.010155+0.027764i,0.0034736+0.0033343i,0.0086135+0.0003685i,0.0022723+0.00059389i,0.010406-0.0043383i,0.0051331+0.0071997i,0.0012262+0.001769i,-0.0076658-0.003427i,0.0029964+0.0059373i,0.0025039+0.0054857i,0.0036304+0.011433i,-0.0006166+0.00057993i,0.0042635-0.0051948i,0.0096909-0.0039421i,0.0010237-0.0016565i,-0.029509-0.015181i,0.0015585-0.0094078i,-0.0016339-0.0040274i,0.0044948-0.00056477i,0.0013317+0.00015777i,0.0017522-0.0097883i,0.0030003-0.0012334i,0.0014871+0.0043168i,0.0028827+0.00068932i,0.0030195-0.003437i,-0.0075577-0.0067769i,-0.0022351-0.0040497i,-0.0025213-0.0052126i,3.283e-05-0.006319i,-0.0091137-0.0095024i,-0.062868+0.014442i,-0.021456+0.0094298i,-0.012908-0.007031i,-0.0085623+0.00099959i,-0.00046424+0.023764i,-0.0076607+0.011376i,-0.0070313+0.0081669i
-0.021576+0.014818i,-0.014425+0.049439i,-0.003465+0.051005i,-0.0036832+0.016234i,-0.0043354-0.0021319i,0.021006+0.016161i,0.0049619+0.028425i,-0.013316+0.047545i,-0.0054241+0.023342i,-0.0052122+0.00091817i,-0.00076539+0.0018012i,0.0069384+0.0034906i,0.0034756+0.00024686i,0.0045343+0.0015088i,0.0039343-0.00038973i,0.0082987+0.0045499i,0.016881+0.0091463i,0.0026313+0.00025796i,-0.0043685-0.0048706i,-0.0043745+0.0010806i,-0.00173+0.00023518i,-0.0032454-0.0044217i,-0.0036107-0.0013709i,-0.0049183+0.0088542i,-0.0011056+0.0030648i,0.00083356+0.0027318i,-0.00068455+0.0024463i,-0.0025737-0.00081768i,-0.0015115+0.0017516i,-0.0012125+0.00061827i,0.0045545-0.0017182i,0.0010104-0.0015042i,0.0005576-0.00082058i,-3.3311e-05+0.0003461i,0.00314-0.0008586i,-0.012908+0.00089925i,0.0020195+0.0025921i,0.00083007+0.0013644i,-0.00079193-0.0010168i,0.0015357-0.0033361i,-0.0023564-0.0010934i,-0.00089918-0.0017731i,-0.002968+0.0071209i,0.0020781+0.0027959i,-0.034806+0.0060965i,-0.057966-0.0090679i,-0.0442+0.03593i,-0.039111+0.022327i,-0.044946+0.044798i,-0.026094+0.013047i,-0.00027658+0.035521i,-0.0098508+0.0088364i,-0.041054-0.017264i,-0.059292-0.0097763i,-0.0067756+0.026132i,-0.0026722+0.0027558i,0.0044538-0.0041438i,0.00058972-0.010328i,-0.0009016+0.011173i,-0.00015265+0.026383i,0.0027379+0.00172i,0.0068739-0.004865i,0.0019195+0.00049917i,0.0075168-0.0077071i,0.0089039+0.0039528i,0.0029212+0.0024473i,-0.0075015+0.00046642i,0.0054602+0.0068811i,0.005263+0.0061836i,0.0092041+0.0085447i,-2.9797e-05+0.0011003i,0.0036988-0.0059663i,0.0061938-0.008431i,-1.5578e-05-0.00013435i,-0.034289-0.0032026i,-0.00026256-0.0085344i,-0.0022814-0.0021554i,0.0056056-0.0014591i,0.00155-2.1913e-05i,-5.1541e-05-0.011832i,0.0015841-0.0015708i,0.0034972+0.0034897i,0.0036662-0.00026839i,0.0037553-0.0039042i,-0.0092713-0.0036191i,-0.0044421-0.001811i,-0.0047681-0.0025185i,-0.00196-0.0069235i,-0.010989-0.0046951i,-0.058383+0.020851i,-0.020392+0.010507i,-0.012315-0.0079077i,-0.0085295+0.0024086i,0.00089552+0.022172i,-0.0073606+0.012493i,-0.0052017+0.0073241i
-0.019708+0.0171i,-0.0051259+0.051091i,0.0064675+0.052701i,-0.0031568+0.016078i,-0.0063769+0.0011547i,0.023422+0.012222i,0.0091278+0.024673i,-0.0047324+0.049094i,-0.0015882+0.022882i,-0.004949+0.0025839i,0.00051528+0.0016288i,0.0074991-0.00054021i,0.0040102-0.00011513i,0.0044534+0.00057502i,0.0039681-0.0011063i,0.0082562+0.00096084i,0.01751+0.0026159i,0.0017416-0.0011646i,-0.0060417-0.0030541i,-0.0028172+0.0023596i,-0.00080909+6.753e-05i,-0.0037108-0.0035618i,-0.0035933-0.00043153i,-0.0014031+0.0091994i,0.00027105+0.0035509i,0.0017531+0.0020606i,0.00037176+0.0026609i,-0.0033532+0.00095494i,-0.00077569+0.0019077i,-0.00093433+0.00081309i,0.0033346-0.0031272i,0.00014464-0.0018229i,-4.4823e-05-0.00098148i,1.4592e-05+0.00012061i,0.0019404-0.0018546i,-0.011922+0.0050232i,0.00252+0.0018867i,0.0011928+0.0009234i,-0.0018923-0.00042331i,0.0011256-0.0032361i,-0.002669-0.00062328i,-0.001291-0.0016035i,-0.0019065+0.0077221i,0.002957+0.0024588i,-0.033759+0.011109i,-0.061868-0.00043927i,-0.038041+0.039248i,-0.031849+0.027657i,-0.031678+0.050175i,-0.025329+0.019748i,0.0067283+0.028063i,-0.0054813+0.0066554i,-0.041496-0.012134i,-0.057316+0.00026542i,-0.0017667+0.026052i,-0.0025133+0.0025481i,-0.00020467-0.0037249i,-0.0048373-0.0097618i,0.0050324+0.010894i,0.0061707+0.022156i,0.00051905+0.0011702i,0.0042031-0.0086706i,0.0027781+0.0021254i,0.0031218-0.0094055i,0.010034-0.0015123i,0.0047785+0.0018928i,-0.007128+0.0042004i,0.0096806+0.006538i,0.009223+0.0041712i,0.012054+0.0027958i,0.0010282+0.0015746i,0.0019093-0.0071346i,-0.00021954-0.0093576i,0.0013661+0.0017607i,-0.03419+0.0099294i,-0.0022476-0.0082337i,-0.0017504-0.00030285i,0.0059715-0.0053379i,0.0019489-8.9685e-05i,-0.005031-0.012731i,0.00081497-0.001207i,0.0046747+0.0012949i,0.0035835-0.00093063i,0.0031188-0.0054071i,-0.0094145+0.0013775i,-0.0042159+0.0011431i,-0.005461+0.00010504i,-0.0046616-0.0073405i,-0.010779-0.00078366i,-0.054505+0.02641i,-0.020018+0.015571i,-0.014577-0.010782i,-0.0058174+0.0040411i,0.0036556+0.021936i,-0.0072933+0.015819i,-0.0033866+0.0053453i
-0.017344+0.018928i,0.0040341+0.050086i,0.017151+0.050597i,-0.0018146+0.016609i,-0.0055523+0.0047996i,0.025568+0.0077805i,0.011774+0.020604i,0.0040352+0.048134i,0.0016381+0.021898i,-0.0041046+0.0041763i,0.00075778+0.0012537i,0.0055758-0.0033328i,0.0041472-0.0014437i,0.00393-0.00022139i,0.0036282-0.0018791i,0.0063923-0.0010725i,0.016132-0.0023997i,0.00069568-0.0012358i,-0.0061037-0.00071864i,-0.0012232+0.0026219i,-0.00017711-0.00037092i,-0.0041017-0.0029549i,-0.0031151+0.00036624i,0.0014431+0.0086149i,0.0017417+0.0027794i,0.0021162+0.0014362i,0.0012684+0.0023382i,-0.0026075+0.002556i,-0.000125+0.0016521i,-0.00086583+0.00099625i,0.0016381-0.003652i,-0.00073578-0.0015966i,-0.00048176-0.00083402i,-0.00017185+7.3039e-05i,0.000768-0.0023872i,-0.009512+0.0083928i,0.0028362+0.00095948i,0.0011495+0.00033877i,-0.0021354+0.00090899i,0.00065923-0.003423i,-0.0026323+0.00022206i,-0.0017395-0.0016137i,-0.00034914+0.0084703i,0.003627+0.0016273i,-0.031585+0.01608i,-0.06182+0.012191i,-0.034026+0.041407i,-0.025041+0.030482i,-0.017228+0.052491i,-0.019776+0.027781i,0.0095962+0.019072i,-0.0033369-2.271e-05i,-0.039184-0.0079838i,-0.051757+0.010305i,0.0049329+0.024559i,-0.0026954+0.0030184i,-0.0042981-0.0011912i,-0.0087586-0.0069879i,0.0088878+0.0068131i,0.0099802+0.018205i,-0.0023983+0.0029261i,-0.00060058-0.011825i,0.0051156+0.00091988i,-0.0015628-0.0085263i,0.0074876-0.0055002i,0.0060639-0.00042867i,-0.0052405+0.0072368i,0.01358+0.0017199i,0.010851-0.0014068i,0.01113-0.0038503i,0.0028531+0.0011528i,-0.00083725-0.0074135i,-0.0038268-0.0060525i,0.003616+0.00057186i,-0.028113+0.024678i,-0.0044355-0.0067727i,-0.00041732+0.00075515i,0.0025298-0.0074207i,0.0023454-0.00031204i,-0.010802-0.010119i,0.00096553-0.0002679i,0.0046694-0.0012234i,0.0030809-0.0020415i,0.0016665-0.005914i,-0.0065942+0.0055516i,-0.0025209+0.0030969i,-0.0048038+0.0032428i,-0.0084967-0.0061736i,-0.009807+0.0017736i,-0.048897+0.034403i,-0.012622+0.020894i,-0.020434-0.010336i,-0.0023817+0.0024233i,0.0060942+0.020973i,-0.0040891+0.019428i,-0.0029366+0.0023391i
