-0.024555-0.0046235i,-0.023613+0.0011491i,-0.017216-0.0075906i,-0.02951-0.013265i,-0.02863+0.0028337i,-0.039664-0.0059558i,-0.063573-0.033465i,-0.033944-0.018362i,-0.030877-0.002635i,0.0065256+0.003702i,-0.0037598+0.0070227i,-0.0056703+0.012975i,0.0044661+0.010877i,-0.0024517+0.0035836i,0.0042962+0.0046834i,0.0027844+0.027141i,0.021943+0.023184i,0.0008439-0.0012154i,0.00082948-0.0067445i,0.0060454-0.00096301i,0.0049908-0.000366i,0.0035859+0.0019537i,0.0010177-0.00026443i,-0.032323-0.00065381i,-0.0059923-0.006863i,-0.0014517+0.0028893i,0.00039781-0.0019287i,-0.00082554+0.00039662i,-0.0012534+0.0011729i,-0.0019653-0.0033667i,-0.0043482-0.0020416i,-0.0067435-0.0074162i,-0.0006008+0.00013789i,-0.00064551-0.00010532i,0.0015979-0.0035494i,-0.0013993+0.022518i,0.0014037-0.0031985i,0.00017943-0.002394i,0.0048606-0.0030317i,-0.0022315-0.0016181i,0.00095184+0.00032403i,0.0062818-0.0020724i,0.0046357-0.0027611i,-0.00051382+0.00217i,-0.013577+0.015537i,-0.031162+0.055936i,-0.0023127-0.036544i,-0.013714-0.016377i,-0.034822-0.015455i,-0.027978-0.015043i,0.043969-0.0047195i,0.0080063-0.032821i,0.015391-0.04i,-0.0098359-0.030155i,0.024969-0.021043i,0.012697+0.0066192i,0.030481-0.032353i,-0.0030706-0.0044263i,0.0065212-0.0079322i,-0.0017304-0.006074i,0.0039412-0.038173i,-0.013867+0.029042i,0.0071508-0.012298i,-0.0085668-0.0051693i,-0.0029315-0.0015672i,0.00016799-0.013716i,-0.008525+0.0059594i,0.003821+0.0074391i,-0.0017726+0.029155i,0.0023468+7.1222e-05i,-0.0069684-0.0050747i,-0.0028759-0.0064141i,-0.013369-0.0097108i,-0.0024632-0.0066495i,-0.0492+0.0074905i,-0.0039765-0.0096582i,-0.01353-0.0022726i,-0.0078451-0.006698i,0.001423-0.0019326i,-0.013693+0.0021295i,-0.0012562+0.00014978i,0.0066353+0.0072686i,0.0038748-0.0047382i,-0.0055921-0.0090381i,0.0080746+0.0089747i,-0.017984+0.0069442i,0.0050519-4.8952e-05i,-0.019559-0.0025736i,-0.018075-0.0037972i,-0.017512-0.033526i,0.02069-0.0092042i,-0.039594-0.026162i,-0.0094459+0.0031461i,0.017371+0.016511i,-0.021986+0.017921i,-0.0034496-0.0039153i
-0.026098-0.0015747i,-0.02223+0.0071532i,-0.018197-0.0061835i,-0.031544-0.010173i,-0.026228+0.0030733i,-0.042128+0.0023848i,-0.066757-0.022363i,-0.035284-0.012983i,-0.028331+0.0043736i,0.0051144+0.0011048i,-0.0042132+0.0056373i,0.00022099+0.014537i,0.008878+0.0080101i,-0.0050026+0.0059776i,0.0047758+0.0028815i,0.0076806+0.021777i,0.022547+0.013816i,0.0015765-0.00035176i,-0.0015798-0.0050686i,0.0043697-0.0032199i,0.0032154-0.0013433i,0.0028506+0.00057343i,0.0011029-0.00038918i,-0.016739+0.010864i,-0.0079858-0.0050384i,0.0018966+0.0018747i,-0.0003584-0.0014208i,0.00068643+0.001118i,0.0006327+0.0011116i,-0.0033099-0.0023281i,-0.0036154-0.00028651i,-0.0071164-0.0049179i,0.00069937-0.0080373i,-0.00027784-0.00021734i,0.0014876-0.0028582i,0.0069894+0.020805i,0.0008057-0.0033669i,-0.00086383-0.0023363i,0.005069-0.0051482i,-0.00099314-0.0017506i,0.0013768+0.00064963i,0.0052253-0.002929i,0.0019783-0.0031886i,-0.0025957+0.0021466i,-0.0085552+0.016254i,-0.0089335+0.06238i,-0.010167-0.036284i,-0.022761-0.017676i,-0.026358-0.0049139i,-0.021434-0.0030429i,0.043619-0.029836i,0.0096042-0.048797i,0.017632-0.039871i,-0.014771-0.030626i,0.013561-0.017222i,0.011126-0.0034922i,0.020405-0.039109i,-0.00087991-0.00077419i,0.00017534-0.017259i,-0.0027848-0.0065434i,-0.021472-0.036251i,-0.0013557+0.024742i,0.0015057-0.014667i,-0.0095283-0.0027133i,-0.001303-0.00046024i,-0.0058654-0.013104i,-0.0078476+0.010131i,0.0088146+0.0068858i,0.016028+0.022714i,0.0010843-0.0021537i,-0.0077068-0.0010174i,-0.0070992-0.0063243i,-0.016817+0.0013492i,-0.0024934-0.0052117i,-0.037305+0.019048i,-0.0078142-0.0046836i,-0.013291+0.0030412i,-0.012661-0.0010763i,-0.0011897-0.0054061i,-0.010874+0.0057319i,0.00018865-0.0016967i,0.0039478+0.00089548i,-8.4058e-05-0.0056022i,-0.011794+0.002766i,0.0085658+0.003608i,-0.010906+0.014071i,0.0047163-0.0024897i,-0.017537+0.004182i,-0.019897+0.0013611i,-0.022388-0.029551i,0.01632-0.016176i,-0.045861-0.0079187i,-0.0011668-0.0041704i,0.018762+0.010373i,-0.01384+0.023402i,-0.011312-0.0097199i
-0.026115+0.0030426i,-0.019015+0.0095468i,-0.019529-0.0045131i,-0.034164-0.0047833i,-0.025256+0.0029313i,-0.042505+0.011544i,-0.0721-0.0080763i,-0.03786-0.0074248i,-0.026022+0.0084102i,0.0038039+0.00037359i,-0.0039112+0.0084038i,0.0053686+0.011875i,0.01028+0.0026094i,-0.00432+0.0090533i,0.0047581+0.00162i,0.010418+0.016576i,0.024024+0.0070671i,0.0025594-0.0006847i,-0.0021911-0.0032051i,0.0026263-0.0040161i,0.0020637-0.0012057i,0.0033989+0.00054598i,0.00095543-0.00093392i,-0.0073246+0.014271i,-0.0068953-0.0014974i,0.0037367-0.0016638i,-0.00020708-0.00075398i,0.0016459+0.00014381i,0.00085098+0.00045834i,-0.0035827-0.00092735i,-0.002999+0.00068535i,-0.0079548-0.0020479i,-0.007444-0.00043241i,-0.00011498-0.00077444i,0.0015537-0.0054269i,0.012555+0.015493i,-0.00015621-0.0031871i,-0.0015799-0.0016084i,0.0027891-0.0084587i,-0.0015161-0.0021065i,0.0018766+0.00015996i,0.0034264-0.0045559i,0.0013088-0.002456i,-0.0029286+0.0034648i,-0.0049239+0.014084i,0.010512+0.059589i,-0.018445-0.033912i,-0.030691-0.0084779i,-0.013044-0.0037717i,-0.013349-0.0053917i,0.035088-0.050076i,-0.0050634-0.063148i,0.02211-0.045473i,-0.020077-0.02589i,0.0095672-0.016502i,0.0073659-0.007091i,0.001404-0.037928i,0.0069161-0.0044628i,-0.010099-0.016334i,-0.0039-0.0097879i,-0.040025-0.023173i,0.0052086+0.020888i,-0.0048605-0.014919i,-0.0099706+0.0030006i,-0.0024725-0.00091478i,-0.012353-0.011073i,-0.00079423+0.013702i,0.014381+0.00022008i,0.024077+0.007712i,0.00023783-0.0023259i,-0.0073601-0.000146i,-0.010074-0.0031796i,-0.014279+0.0099666i,-0.0071564-0.0038181i,-0.029231+0.029761i,-0.0077859-0.00040317i,-0.011395+0.0086724i,-0.012951+0.0077062i,-0.0071568-0.0039488i,-0.0093178+0.0079623i,-0.0031903-0.0021891i,-0.00038032+0.00014356i,-0.0026599-0.0051102i,-0.0064803+0.0064292i,0.0074398-0.0013314i,-0.0085116+0.015456i,0.0012433-0.005655i,-0.014553+0.0084793i,-0.017332+0.0058893i,-0.025082-0.024868i,0.0092725-0.018688i,-0.0443+0.0035951i,-0.007669-0.01429i,0.018368+0.002858i,-0.0043076+0.020892i,-0.014195-0.0064922i
-0.024469+0.0076146i,-0.017505+0.010188i,-0.02124-0.0028344i,-0.032773+0.0020959i,-0.025692+0.0023504i,-0.038577+0.02165i,-0.070159+0.014002i,-0.038958+0.0015365i,-0.023286+0.014638i,0.0032861+0.00027029i,-0.00034016+0.010206i,0.0072814+0.008125i,0.0087678-0.0016158i,-0.0017464+0.011583i,0.0041798+0.00030275i,0.010288+0.0099966i,0.024854-0.0022578i,0.0024419-0.0023907i,-0.0029783-0.00037529i,0.00055535-0.0042314i,0.0023121-0.00057523i,0.0043993-0.00041578i,0.00036578-0.0012454i,0.0024313+0.017594i,-0.0059052+0.00065859i,0.00026612-0.0032245i,0.00035892-0.0010081i,0.0015336-0.00059747i,0.001392+0.00037211i,-0.0042452+0.00020775i,-0.0021672+0.0018736i,-0.0072735+0.0012525i,-0.0059458+0.0020553i,-0.0003658-0.0009218i,-0.0023332-0.0054476i,0.012623+0.0097083i,-0.0010299-0.0031532i,-0.0018873-0.00085993i,-0.001789-0.0084977i,-0.001507-0.0012395i,0.0017698-0.00065601i,0.00095009-0.0048505i,0.00041133-0.0022449i,-0.002195+0.0033141i,-0.0018816+0.012298i,0.028314+0.051581i,-0.025828-0.02693i,-0.028821+0.0035071i,-0.0080385-0.0076752i,-0.01093-0.0058198i,0.016251-0.069781i,-0.025571-0.063217i,0.018227-0.061961i,-0.022576-0.02147i,0.0060297-0.015427i,0.0024019-0.010451i,-0.011158-0.035275i,0.0036108-0.01374i,-0.014553-0.011047i,-0.010427-0.012543i,-0.046841-0.0011666i,0.013965+0.015048i,-0.010781-0.012367i,-0.0061258+0.0047005i,-0.0030382+0.000285i,-0.017522-0.0050143i,0.0068502+0.0097947i,0.015177-0.0072493i,0.022672-0.0061124i,-0.00058525-0.0024697i,-0.0085104+0.00099661i,-0.011886+0.0016977i,-0.0094023+0.017204i,-0.0087296+0.0013767i,-0.019073+0.031451i,-0.0068466+0.0017089i,-0.0053022+0.012054i,-0.0071024+0.014431i,-0.010092+0.0015518i,-0.0047065+0.0099415i,-0.0033235-0.0021414i,-0.00217+0.0020892i,-0.0056858-0.0041724i,-0.0040081+0.005336i,0.0015313-0.0052515i,-0.0059763+0.017887i,-0.0032743-0.0049042i,-0.0096455+0.011785i,-0.014416+0.0068459i,-0.026343-0.021383i,0.0086321-0.01712i,-0.038652+0.0163i,-0.018112-0.013843i,0.018303-0.0031441i,0.0033472+0.015615i,-0.013396-0.0028699i
-0.022035+0.012337i,-0.016754+0.012889i,-0.023817+0.00050465i,-0.03+0.006354i,-0.028819+0.0030632i,-0.031654+0.029645i,-0.054967+0.027567i,-0.034788+0.0098255i,-0.015959+0.017747i,0.0027961+5.6474e-05i,0.003214+0.0084101i,0.0083179+0.0052828i,0.0058019-0.0036103i,0.0023619+0.012394i,0.0034097-0.00054721i,0.0075405+0.0086472i,0.017215-0.010988i,0.00057458-0.0042749i,-0.00083417+0.0034272i,-0.00063101-0.0037577i,0.0029212-0.00015316i,0.004167-0.0021903i,-0.00050843-0.00091778i,0.017098+0.012911i,-0.0053827+0.0026951i,-0.00040633-0.0028376i,-0.00061968-0.00097241i,0.0018375-0.00094624i,0.0018296-0.00032666i,-0.0037458+0.0023426i,-0.00058902+0.0022917i,-0.0052208+0.0040591i,-0.0027256+0.0038823i,-0.00091229-0.0010969i,-0.0038484-0.0031969i,0.014297+0.0074549i,-0.0020653-0.0023385i,-0.0021575-0.00024985i,-0.0047785-0.0059808i,-0.0010629-0.002247i,0.0011033-0.0013854i,-0.00080033-0.0032652i,0.00039362-0.0014733i,-0.0035133+0.0038349i,-0.00048701+0.0085641i,0.042887+0.036038i,-0.025703-0.01566i,-0.022929+0.013485i,-0.0051677-0.011734i,-0.0081174-0.0058717i,-0.014073-0.077953i,-0.041822-0.054142i,-0.0017551-0.071762i,-0.028149-0.013181i,0.0047212-0.012834i,-0.0026461-0.010342i,-0.021773-0.027745i,-0.004491-0.016179i,-0.016841-0.0071807i,-0.02012-0.0073281i,-0.041855+0.016233i,0.015454+0.0048684i,-0.016232-0.0055181i,-0.0041655+0.0049598i,-0.0032939+0.002253i,-0.017822+0.003953i,0.0061668+0.0040715i,0.013411-0.013428i,0.019201-0.018423i,-0.0014001-0.002394i,-0.01061+0.0049845i,-0.0094613+0.0070755i,-0.0020952+0.019488i,-0.0074719+0.0062219i,-0.012788+0.036371i,-0.0068044+0.0030375i,-0.0012259+0.010262i,0.00024087+0.015708i,-0.010389+0.0072439i,-0.0018248+0.0068667i,-0.0052451-0.0015701i,-0.0020476+0.0052339i,-0.0096713-0.0010919i,-0.0036839+0.0035967i,-0.0034957-0.0027514i,0.0022962+0.018499i,-0.0068357-0.0027301i,-0.0023251+0.012679i,-0.014242+0.0085015i,-0.030459-0.016005i,0.013078-0.022943i,-0.027541+0.031386i,-0.024703-0.0044036i,0.014666-0.0099338i,0.0055837+0.0075156i,-0.011876-0.0033297i
-0.017681+0.015836i,-0.01354+0.015504i,-0.024925+0.0066506i,-0.027858+0.0093231i,-0.033595+0.0080088i,-0.021667+0.034307i,-0.041181+0.032127i,-0.029276+0.014314i,-0.011062+0.016792i,0.0019393+0.00038747i,0.004081+0.0069518i,0.008397+0.0016222i,0.0031045-0.0045638i,0.0070075+0.011196i,0.0026605-0.00096818i,0.0075669+0.0091897i,0.0079339-0.011801i,-0.00069219-0.0047793i,0.0027422+0.0030629i,-0.0018395-0.0030174i,0.0032389-0.0019604i,0.0039191-0.0037499i,-0.00045704-0.00016492i,0.020046-0.0018399i,-0.0030323+0.0052749i,-0.00050263-0.0013328i,-0.00043947+0.001652i,0.0016477-0.002438i,0.0015222-0.0015405i,-0.0011899+0.0040562i,0.0012095+0.0015533i,-0.003032+0.0050476i,-0.00093046+0.0045102i,-0.0012114-0.00043124i,-0.0036489-0.0016376i,0.016106+0.0026885i,-0.0028057-0.0013739i,-0.0024204+0.00027232i,-0.0063418-0.0039377i,-0.0027163-0.0034795i,0.00063058-0.0013075i,-0.0012566-0.0018743i,0.00014285-0.0011921i,-0.002958+0.0063724i,-0.0016934+0.0068522i,0.039543+0.014561i,-0.016414-0.0090083i,-0.015058+0.019467i,-0.0034863-0.014561i,-0.0045556-0.0093189i,-0.043358-0.064866i,-0.054675-0.039242i,-0.019057-0.068517i,-0.021328+0.0021525i,0.0090681-0.0088715i,-0.0060742-0.0084859i,-0.02562-0.013236i,-0.010846-0.015828i,-0.021115-0.0016049i,-0.019142+0.0022277i,-0.031209+0.033044i,0.013312-0.0009048i,-0.012543+0.0028691i,-0.005392+0.0052599i,-0.00020456+0.0040358i,-0.012654+0.010089i,0.0058671+0.0045716i,0.0077053-0.02411i,0.0061656-0.030205i,-0.0047228-0.0029353i,-0.010687+0.010911i,-0.0074376+0.0094771i,0.0061437+0.018574i,-0.003028+0.0093717i,0.0034564+0.051946i,-0.0067487+0.004505i,2.2418e-05+0.010031i,0.0062011+0.013006i,-0.0044956+0.014605i,-0.001218+0.0073016i,-0.0076512+0.00099082i,0.0016972+0.0072948i,-0.0092446+0.0075123i,-0.0054019+0.0043283i,-0.0032279+0.002958i,0.0083549+0.014031i,-0.0086622-0.00074667i,0.0012015+0.0074022i,-0.012484+0.012468i,-0.027587-0.0039537i,0.0054329-0.039226i,-0.0025286+0.033746i,-0.022414+0.0036648i,0.015174-0.017516i,0.0058976-0.00070648i,-0.011008+1.749e-05i
-0.012583+0.017717i,-0.011675+0.015737i,-0.024097+0.013125i,-0.02517+0.013117i,-0.034386+0.017022i,-0.012392+0.034789i,-0.030566+0.0324i,-0.024251+0.016643i,-0.0092728+0.016934i,0.0025449+0.00067877i,0.0068526+0.0063472i,0.0059737-0.0012607i,-0.00012663-0.0036229i,0.011646+0.0060971i,0.0022322-0.0012529i,0.0087838+0.009391i,0.0018831-0.011116i,-0.0037-0.0046469i,0.0040574+0.00035443i,-0.0022846-0.0016865i,0.0031483-0.0031632i,0.0068466-0.0040543i,-0.00021832+0.00012746i,0.014281-0.011886i,0.0014835+0.0052187i,-0.0011156+1.6079e-05i,0.0012888-0.0004143i,0.00026793-0.0032599i,0.00055571-0.0015494i,0.0010185+0.00323i,0.0015605-9.9128e-05i,-0.00063054+0.0054336i,0.0017213+0.0033326i,-0.001179+0.00013637i,-0.0045671-0.0011993i,0.014149-0.0031532i,-0.0024272-0.00016877i,-0.002117+0.0012343i,-0.0070013-0.00067686i,-0.0051845-0.0018673i,-0.00026621-0.0017384i,-0.0006907-0.0018271i,0.00024267-0.00086617i,-0.00080745+0.0051723i,-0.002237+0.0072982i,0.031195+0.013053i,-0.012958-0.012671i,-0.00069425+0.022151i,-0.0025947-0.016949i,-0.00946-0.015604i,-0.056982-0.045008i,-0.053657-0.018425i,-0.038978-0.061602i,-0.0088067+0.0053439i,0.013265-0.019355i,-0.0072015-0.0054583i,-0.021177-0.0072585i,-0.02109-0.011622i,-0.017028+0.0094735i,-0.016474+0.0063497i,-0.010522+0.038653i,0.010723-0.004248i,-0.010486+0.0040262i,-0.0013059+0.0060067i,-0.00064481+0.0011399i,-0.0069407+0.014154i,0.0087416+0.0016809i,-0.0094755-0.02665i,-0.016785-0.027716i,-0.0052601+0.0031022i,-0.0051655+0.015482i,-0.0021586+0.011447i,0.013036+0.010884i,0.00097493+0.0091085i,0.03196+0.047955i,-0.0041265+0.0066214i,0.0022966+0.0096103i,0.010252+0.0084735i,0.0045107+0.014687i,-0.0022101+0.0074402i,-0.0077348+0.0075212i,0.006578+0.0077783i,-0.003895+0.012165i,-0.0045736+0.0068147i,-0.00083231+0.0040084i,0.010239+0.0081731i,-0.0083784+0.0024981i,0.0024632+0.0031586i,-0.0070865+0.013647i,-0.020599+0.00050883i,-0.015707-0.042772i,0.013738+0.018528i,-0.017102+0.011476i,0.0065541-0.023903i,0.00044947-0.0062621i,-0.0045786-0.0016338i
-0.0077071+0.018044i,-0.0098899+0.018354i,-0.020809+0.018855i,-0.020115+0.015789i,-0.029389+0.025609i,-0.0055439+0.033491i,-0.022722+0.030747i,-0.019797+0.017766i,-0.0052777+0.019162i,0.0030082+0.00010553i,0.0087465+0.0017968i,0.0034692-0.0022011i,-0.001279-0.00099141i,0.010009+0.0017447i,0.0016497-0.0018222i,0.011883+0.0077942i,-0.0011017-0.00606i,-0.005681-0.0019661i,0.0021593-0.0013375i,-0.0024018-0.0007398i,0.00064811-0.0040379i,0.0038085-0.0038308i,-0.00025807+0.00046749i,0.0058518-0.016543i,0.0031471+0.0034672i,-0.00062506-0.00013003i,0.000851-0.0019134i,-0.0010472-0.0026273i,0.00071859-0.0013953i,0.0014617+0.0020555i,0.00073797-0.0012619i,0.0015903+0.0045733i,0.0024794+0.0018636i,-0.00078482+0.00050731i,-0.004554+0.0019292i,0.011073-0.0063339i,-0.0015617+0.00015062i,-0.0012279+0.0018101i,-0.0054196+0.001606i,-0.0055265+0.00078005i,-0.001196-0.0009785i,-0.00079117-0.0016835i,7.4715e-05-0.00091586i,-0.0011438+0.0039482i,-0.0018877+0.0096122i,0.037991+0.018247i,-0.01448-0.016185i,0.011659+0.016094i,-0.0037842-0.022053i,-0.013926-0.011786i,-0.066521-0.027251i,-0.043197-0.0059295i,-0.048458-0.035976i,-0.00022724+0.0014254i,0.0088654-0.029525i,-0.0068369-0.0039642i,-0.018724-0.0028199i,-0.027092+0.00089944i,-0.010998+0.012237i,-0.011049+0.011303i,0.0089049+0.031877i,0.0047974+0.0046391i,-0.0089021+0.0046981i,-0.0014155+0.0023804i,-0.00070382+0.0024653i,0.00098223+0.012118i,0.0068357-0.0046199i,-0.023364-0.015449i,-0.027207-0.0074256i,0.00052151+0.0070778i,0.0026948+0.015623i,0.0022713+0.010806i,0.016317+0.0045242i,0.0060504+0.0081901i,0.049349+0.028681i,-0.0018137+0.0062858i,0.0046128+0.0093948i,0.010203+0.0019216i,0.010606+0.0089383i,-0.0022328+0.012596i,-0.0022306+0.012933i,0.011183+0.0030198i,0.0043585+0.011542i,-0.0028158+0.0094018i,7.4914e-05+0.0035582i,0.010544+0.0049137i,-0.0080361+0.0052136i,0.00060883-7.1426e-05i,-0.004747+0.013388i,-0.011538+0.0017777i,-0.029162-0.027898i,0.01628+0.00037516i,-0.0047101+0.010847i,-0.006308-0.027806i,-0.008438-0.0071007i,-0.0066895-0.0089156i
-0.0036964+0.017111i,-0.0057717+0.021154i,-0.015107+0.023835i,-0.016779+0.016298i,-0.022434+0.030635i,0.00074642+0.031462i,-0.017083+0.02777i,-0.016739+0.018023i,0.00045609+0.019403i,0.003192-0.00078206i,0.0059706-0.0022072i,0.0075635-0.0015542i,-0.00027958+0.00082897i,0.0084627-0.0006473i,0.00078595-0.0017205i,0.015239+0.0038805i,-0.00016389-0.0026062i,-0.0047487+0.00018062i,0.00078998-0.0012313i,-0.0022885+0.00020053i,-0.0002629-0.0028053i,0.0017632-0.0033365i,0.00021884+0.0010337i,-0.0011216-0.014886i,0.0026017-0.0012355i,-0.00038908-0.0010436i,-0.00049702-0.0023606i,-0.0018057-0.002056i,0.00019617-0.00203i,0.0019931+0.0015783i,-0.00027849-0.0021668i,0.0032702+0.0027406i,0.0023798+0.00045782i,-0.00019842+0.00063587i,-0.0020496+0.0019172i,0.010276-0.0084503i,-0.0010434+2.3544e-05i,-0.00029325+0.0018901i,-0.0054106+0.0030425i,-0.0040589+0.0032204i,-0.0011441-7.6957e-05i,-0.0015237-0.0015183i,0.0001304-0.00090567i,-0.0028796+0.0051129i,0.00058547+0.012256i,0.054237+0.01288i,-0.019158-0.016945i,0.019843+0.0062141i,-0.0073026-0.022115i,-0.014678-0.0088202i,-0.068592-0.0046583i,-0.035808-0.0023482i,-0.056387-0.0087754i,0.0055671-0.0039977i,-0.0014508-0.03707i,-0.0077468-0.0033439i,-0.017501-0.0030574i,-0.021538+0.014196i,-0.0060547+0.013316i,-0.0016279+0.010075i,0.015231+0.017141i,0.0020034-0.012715i,-0.0079829+0.011184i,-0.0032703+0.0027948i,0.00029499+0.0014681i,0.0034554+0.0074406i,-2.5631e-05-0.0044271i,-0.026926-0.00031385i,-0.02184+0.0040926i,0.005864+0.0035674i,0.006947+0.013815i,0.0043074+0.0086794i,0.014949-0.0062227i,0.007486+0.0022075i,0.053276+0.0068989i,-0.0015434+0.0080529i,0.0083203+0.0063238i,0.0074743-0.001343i,0.011093+0.003451i,0.0049044+0.016202i,0.0068617+0.010174i,0.0097472-0.0018285i,0.0089128+0.0056196i,0.0011133+0.013298i,0.00044359+0.0055306i,0.010304+0.0025874i,-0.0078325+0.0086054i,-0.0044188+0.00014929i,-0.0030261+0.014168i,-0.0041079-0.0029105i,-0.028631-0.014533i,0.0087417-0.011203i,0.0018666+0.0031703i,-0.020566-0.026438i,-0.012351+0.001642i,-0.013088-0.0072126i
-0.001003+0.015524i,-0.00035115+0.021582i,-0.0080805+0.026411i,-0.014539+0.017151i,-0.014603+0.033533i,0.0059172+0.028613i,-0.014839+0.025156i,-0.014494+0.018833i,0.0055032+0.016771i,0.0031756-0.0019313i,0.0026061-0.0022606i,0.0065061+0.00030648i,0.0017015+0.00081369i,0.0072855-0.0026346i,0.00056332-0.0014887i,0.013672-0.0014028i,0.0014559-0.0029015i,-0.005365+0.0015895i,0.0001861-0.0011497i,-0.0018388+0.0012781i,-9.2831e-05-0.0022503i,-1.2256e-05-0.002276i,0.0010024+0.0011511i,-0.0054862-0.01222i,0.0012785-0.0014867i,-0.0014004-0.0010066i,-0.0016347-0.0019344i,-0.0023867-0.001313i,-0.00095904-0.0020829i,0.0024277+0.00037738i,-0.0019527-0.0019242i,0.0036418+0.00019765i,0.0013887-0.00016783i,0.00030208+0.00041692i,-0.0017077+0.001789i,0.0029803-0.01096i,-0.0013989-0.0006043i,0.00042486+0.0016639i,-0.0025587+0.0064328i,-0.0017866+0.0045464i,-0.00096757+0.00031773i,-0.0016357-0.00059334i,2.318e-05-0.001158i,-0.0014255+0.0086442i,0.0057979+0.013263i,0.068223-0.0081594i,-0.025214-0.012971i,0.021123-0.0048726i,-0.0060942-0.023189i,-0.015657-0.0060773i,-0.059632+0.013107i,-0.029948+0.0020034i,-0.039717+0.0012663i,0.0062102-0.013308i,-0.015121-0.037235i,-0.0086263-0.001817i,-0.020326-0.0022932i,-0.011907+0.018816i,-0.0022889+0.012792i,0.0017292+0.0019246i,0.011386+0.005457i,-0.0029588-0.012819i,-0.0028929+0.013324i,-0.0052522+0.0045615i,-0.00076211-0.00024184i,0.0025182+0.0034762i,-0.0016551+0.0001755i,-0.021904+0.01309i,-0.017008+0.011972i,0.0050856-5.5106e-05i,0.012767+0.010869i,0.0058342+0.007054i,0.007452-0.011691i,0.0048769-0.0012071i,0.047302-0.011611i,0.0022432+0.0093907i,0.0079553+0.0030838i,0.0051707-0.0024694i,0.010881+0.00059004i,0.012392+0.014682i,0.0089458+0.0043893i,0.0080678-0.0042678i,0.0081154+0.00067488i,0.0078668+0.013596i,0.0031262+0.0049329i,0.011012-0.00096898i,-0.0024032+0.013155i,-0.0043366+0.003613i,-1.7127e-05+0.0155i,-0.0039041-0.010748i,-0.024993-0.0089256i,0.0027273-0.01378i,1.5533e-05-0.0050092i,-0.031512-0.01795i,-0.0081601+0.0048939i,-0.013566-0.00374i
0.0011954+0.014322i,0.0050158+0.019952i,-0.00078248+0.026291i,-0.011566+0.018972i,-0.0060689+0.033143i,0.0098735+0.025364i,-0.013287+0.024615i,-0.011685+0.020222i,0.0088671+0.013373i,0.002222-0.0032169i,0.0015015-0.0014575i,0.0067069-0.0015117i,0.0023717-0.00012016i,0.0044573-0.0035785i,0.00013654-0.0016233i,0.010662-0.0045083i,0.00090109-0.0050205i,-0.0052485+0.0032931i,-0.00047074-0.00061436i,-0.00069399+0.001907i,0.00037048-0.0028028i,-1.0184e-05-0.0011395i,0.0017212+0.00080215i,-0.0089232-0.0094457i,7.1864e-05-0.0011749i,-0.0017991-0.00017771i,-0.0024699-0.00088725i,-0.0025595-0.0002732i,-0.0019428-0.0012929i,0.0014836-0.00090059i,-0.0030818-0.00051545i,0.0023864-0.0014037i,0.00024579-0.00097148i,0.00075073-0.00015248i,-0.0015043+0.001749i,-0.00056809-0.0076049i,-0.0018806+1.5255e-05i,0.0010484+0.0011481i,0.00073946+0.0062883i,0.00077092+0.0046113i,-0.00069669+0.00072371i,-0.0013562+4.3901e-05i,-0.00043045-0.0015453i,0.0018077+0.0079921i,0.010933+0.010622i,0.064514-0.03661i,-0.028101-0.0048106i,0.021133-0.014358i,-0.0081083-0.029725i,-0.015334-0.0030931i,-0.049594+0.023464i,-0.024088+0.002375i,-0.029136+0.0049717i,0.0020405-0.017825i,-0.028231-0.034186i,-0.0095367+0.00011033i,-0.026297+0.0013261i,-0.0041228+0.01835i,0.00043272+0.0067295i,-0.0011815-0.0041307i,0.0049899+0.0016723i,-0.010584-0.011303i,0.0018209+0.013454i,-0.0020443+0.0065973i,-0.0026213+0.0010352i,0.0012465+0.0030966i,-0.0001719+0.0027993i,-0.011988+0.018899i,-0.0088644+0.017423i,0.0052759-0.0015716i,0.016467+0.00329i,0.0075637+0.0057111i,0.00056122-0.010905i,0.0023885-0.0020309i,0.036002-0.025984i,0.0065397+0.0088964i,0.0075446+0.0011745i,0.0025912-0.0030101i,0.0099437-0.0046696i,0.018017+0.0092881i,0.0080785-0.00041335i,0.005506-0.0066871i,0.0062685-0.0021226i,0.011899+0.0094034i,0.0042275+0.004414i,0.007832-0.0047947i,0.0040571+0.012525i,-0.0028319+0.0040616i,0.0059633+0.015042i,-0.008996-0.014137i,-0.021489-0.0033822i,-0.0023425-0.015878i,-0.0052917-0.006702i,-0.03579-0.007294i,-0.0065029+0.0049805i,-0.013282-0.0020444i
