-0.023853-0.037677i,-0.01192-0.049822i,-0.018352-0.044612i,-0.0312-0.035701i,-0.030023-0.016044i,-0.050522-0.02739i,-0.057925-0.025302i,-0.044368-0.037253i,-0.026996-0.032734i,0.0080871+0.011566i,-0.0059688+0.015526i,-0.0046547+0.014238i,0.010167+0.020519i,0.00053931+0.0044168i,0.0033936+0.0034621i,0.0065393+0.017394i,0.023247+0.039776i,-0.0023698-0.0014944i,-0.004929-0.0056185i,0.0072682+0.0029876i,-0.00013469-0.00079739i,-0.00085206+0.001634i,0.00013157-0.00038138i,-0.029246-0.0025337i,-0.0021056-0.0063752i,0.00094416+0.004388i,0.0032174-0.0001031i,-0.00033602+0.00068373i,0.00057807-0.000468i,-0.0007898-0.0025512i,-0.0016614-0.0060459i,-0.0046004-0.004203i,-0.0025719-0.0048513i,0.0023978-0.00028573i,0.001931-0.0030172i,-0.00019335+0.026624i,0.0016678-0.0032977i,0.0027692+0.00086123i,0.0054343+0.00099846i,-0.010493-0.0025278i,-0.0036391+0.00022406i,0.0055019-0.00049847i,0.0059267-0.00014275i,-0.0036643+0.0050519i,0.001337-0.0094138i,-0.012021+0.018092i,0.035046-0.091105i,0.012391-0.07047i,-0.016084-0.059377i,-0.016603-0.055267i,0.039248-0.046064i,0.016871-0.062589i,0.034096-0.055404i,0.030499-0.059954i,0.015461-0.013762i,0.0043111+0.016364i,0.016583-0.026399i,-0.011277+0.0061133i,-0.000654+0.0052287i,-0.0051306-0.0013237i,-0.0018473-0.028508i,-0.024308+0.031311i,0.0098821-0.011523i,-0.013159-0.0020972i,-1.1789e-05-0.0049434i,-0.0011358-0.016269i,-0.0074574+0.0045959i,0.0050547+0.0063012i,-0.0083244+0.030248i,0.0051696+0.0061508i,-0.0049487-0.00060567i,-0.0031157-0.00038592i,-0.012494-0.0074555i,-0.00077279-0.0042466i,-0.025199+0.0029566i,0.00030469-0.010047i,-0.0097503-0.0011816i,-0.0066566-0.0026462i,0.0070471+0.0029457i,-0.0080206+0.0011676i,-3.8582e-05+0.00080497i,0.0069601+0.010869i,0.0038534+0.0013947i,-0.0094407-0.009853i,0.003087+0.0082232i,-0.020524+0.0062157i,0.0084153+0.00061816i,-0.029087-0.0034545i,-0.042114+0.0022054i,0.018421-0.09586i,-0.0020443-0.012091i,-0.053411-0.022285i,-0.02357+0.00018275i,0.017915+0.010389i,-0.025587+0.012967i,-0.018355-0.013263i
-0.031958+0.018202i,-0.05086+0.020968i,-0.031457+0.045834i,-0.030048+0.024918i,-0.027266+0.039698i,0.006033+0.046037i,-0.0023067+0.02319i,-0.015153+0.038868i,-0.012858+0.021946i,-0.0039648-0.004134i,-0.0044516-0.0028651i,-0.0018672-0.003365i,-0.0038472-0.00080063i,-0.0067724-0.0043026i,-0.0017129+0.0041554i,-0.0027052-0.0015228i,-0.01005-0.005556i,-0.0014694-0.00088432i,0.0025594-0.0009396i,0.0020645-0.0008842i,0.0027446-0.0035879i,0.0023012-0.0038161i,0.0013857-0.0024769i,-0.0088282-0.0081336i,-0.0019846+0.00065994i,-0.0037129+0.0012187i,-0.0018535-0.00015897i,-0.0034187-0.0012047i,-0.0012897-0.0013148i,0.0013806-0.0017387i,-0.0024711+0.0058844i,0.0017344-9.3503e-05i,0.0025756+1.1096e-05i,0.0010853+0.0016168i,-0.0011106+0.0031845i,-0.00087401-0.0062145i,-0.0018749-0.00058539i,0.00020476-0.00023246i,-0.0001337+0.0036318i,0.0073201+0.0041193i,0.0012528-0.0029329i,0.0021081-0.005521i,-0.0030409+0.0020058i,-2.1526e-05+0.0030183i,-0.032182-0.0050462i,0.010639-0.077718i,-0.093765-0.029727i,-0.051559-0.036044i,-0.075487-0.049212i,-0.058483-0.0053408i,-0.093337+0.018748i,-0.05831+0.011085i,-0.048389-0.024842i,-0.0325-0.056586i,-0.027809-0.030932i,0.002747+0.0047465i,-0.018034+0.01175i,0.0091763+0.0036236i,0.010957+0.0045529i,0.00061337-0.0070887i,0.0084388+0.00058115i,-0.0075313-0.0030304i,0.0025401+0.014556i,-0.00044433+0.0089556i,0.00058386+0.001523i,0.0048783+0.0038526i,0.0017896-0.0010214i,-0.00074103+0.014756i,0.00038112+0.011645i,0.0028121-0.0055813i,0.010593-0.0070231i,0.0022499+0.0025126i,-0.0080618-0.0061558i,-0.0021357-0.0028925i,0.019173-0.029317i,0.0058387+0.0041976i,0.0034815+0.0041099i,-0.0030919+0.0025414i,0.002305-0.0037704i,0.022582+0.00069663i,0.0020352-0.0023656i,-0.00061206-0.0092931i,0.0006044-0.0024939i,0.013301+0.0048296i,0.0045857-9.9123e-05i,0.0045783-0.0065147i,0.0031881+0.0092101i,0.0044025-0.00047663i,0.02488+0.0046569i,-0.081008-0.036194i,-0.0056187+0.016963i,0.0072194-0.0032745i,-0.0023096+0.0039711i,-0.034124+0.012971i,-0.0075545+0.0067743i,-0.017915+0.013069i
-0.027577+0.022302i,-0.046676+0.025688i,-0.020444+0.044419i,-0.026061+0.028613i,-0.020736+0.041064i,0.01457+0.043158i,0.0006844+0.022721i,-0.0073662+0.039536i,-0.0082293+0.019263i,-0.0052517-0.0019693i,-0.0044782-0.00039275i,-0.0028843-0.0035555i,-0.0045854-0.00021755i,-0.0068902-0.0015407i,-0.00060024+0.0050052i,-0.005103+0.00056551i,-0.013624-0.00073865i,-0.0013827+0.00016176i,0.0030442-0.0015256i,0.0019581-0.0017394i,0.0015369-0.0040459i,0.0015537-0.0039169i,0.00099224-0.002555i,-0.010306-0.0050016i,-0.0012912+0.0010279i,-0.0030531+0.0027384i,-0.0013752+0.00035362i,-0.0035025+1.7532e-05i,-0.001859-0.00098818i,0.00086907-0.0017776i,3.3155e-05+0.0068746i,0.0011944-0.0004325i,0.002055-0.00099117i,0.00091892+0.0012612i,-0.00093991+0.0027364i,-0.0012537-0.005379i,-0.00052621+0.00056589i,-0.00077283-0.0004422i,0.00018224+0.0038993i,0.0071037+0.00025815i,0.00043096-0.0031852i,-0.00082874-0.0060955i,-0.002633+0.0025651i,0.00092905+0.0030679i,-0.032546-0.0045284i,-0.013646-0.088479i,-0.090409-0.010924i,-0.061088-0.03426i,-0.087561-0.037854i,-0.057341+0.0047724i,-0.083519+0.036159i,-0.054522+0.023101i,-0.040441-0.024355i,-0.039513-0.051831i,-0.037246-0.019379i,0.0038797+0.0018913i,-0.010999+0.0197i,0.0091946-0.00029415i,0.011943-0.0018787i,-0.0050884-0.01134i,0.0036931+0.00015044i,-0.0072722+0.0022724i,0.0079505+0.012446i,0.0024348+0.010523i,0.00079369+0.0013788i,0.0076945+0.0043531i,0.002266+0.00015864i,0.0055185+0.011135i,0.0053018+0.0068219i,-0.0024337-0.0072652i,0.0032526-0.007893i,0.0033106+0.0028767i,-0.010464+0.00078507i,-0.002742-0.00033994i,0.006794-0.028738i,0.0071855+0.0033093i,0.0067897+0.0021512i,-0.00019372+0.0025233i,-0.0003707-0.001335i,0.018345-0.0087082i,0.00012117-0.003143i,-0.005057-0.0080895i,-0.0024922-0.0017054i,0.011847-0.00065923i,0.0044289+0.00043857i,0.0019795-0.0045752i,0.0064476+0.0076121i,0.0033967-0.0011655i,0.023966-0.0032596i,-0.085644-0.026582i,0.0024093+0.0078051i,0.005883-0.0052789i,-8.6234e-05+0.0020128i,-0.02801+0.0216i,-0.0056535+0.0078694i,-0.015151+0.016001i
-0.022258+0.024953i,-0.043425+0.030303i,-0.013751+0.040537i,-0.021805+0.030748i,-0.013166+0.042829i,0.022128+0.038236i,0.0040421+0.022258i,-2.6831e-05+0.038407i,-0.0073249+0.017129i,-0.0054383+0.00045603i,-0.0033483+0.0012586i,-0.0059705-0.0028493i,-0.0048216+0.0018374i,-0.0069779+0.00047041i,0.0012277+0.0054876i,-0.0058054+0.0039894i,-0.013388+0.0065387i,-9.9056e-05+0.00096838i,0.0031632-0.0031727i,0.0017254-0.0028832i,0.0001418-0.0044946i,0.00064464-0.0045258i,0.00055456-0.0027969i,-0.01113-0.0021454i,-0.001047+0.0012824i,-0.0014881+0.0038366i,-0.0010018+0.00033128i,-0.0027081+0.0015991i,-0.0021436-0.00055623i,-0.00016133-0.0026105i,0.0032343+0.0063154i,0.00075013-0.00051537i,0.0014144-0.001539i,0.0013151+0.00084669i,0.000107+0.0034564i,-0.00079159-0.0053958i,-0.00073338+0.000418i,-0.0011636-0.00012672i,0.0028334+0.002644i,0.0054048-0.0018241i,-0.00035269-0.0029348i,-0.00026565-0.004093i,-0.0023999+0.0032097i,0.0016883+0.0019787i,-0.034573-0.0019407i,-0.042361-0.086354i,-0.080312+0.0027424i,-0.071012-0.026695i,-0.094746-0.022432i,-0.052803+0.013251i,-0.068281+0.048289i,-0.040547+0.033304i,-0.043931-0.026104i,-0.045714-0.047875i,-0.039609-0.0064107i,0.0040003-0.00097953i,-0.0018205+0.021106i,0.0083422-0.003201i,0.0078726-0.0072484i,-0.015697-0.009573i,0.0024936-0.00031757i,-0.0044035+0.0054888i,0.011372+0.0074731i,0.0043347+0.010626i,-2.5651e-05+0.0018423i,0.0082349-0.00059963i,0.0041328-0.0012657i,0.0073442+0.0061784i,0.0051353+0.0023149i,-0.0072507-0.0033588i,0.00064235-0.006029i,0.0054395+0.001791i,-0.0048146+0.0095627i,-0.0012055+0.001331i,-0.0010237-0.025027i,0.0090941+8.5365e-05i,0.0064475-0.00057712i,1.4326e-05+0.0019332i,0.00090483+0.00022701i,0.01147-0.012875i,-0.00245-0.00029221i,-0.00822-0.0047965i,-0.0032976+0.0017333i,0.0075429-0.0041663i,0.0070781-0.0015332i,0.002569-0.0043782i,0.0099219+0.0038535i,0.0046542-0.0026122i,0.0207-0.010045i,-0.089898-0.012903i,0.00050724-0.0022722i,0.0046347-0.0085511i,0.00074256-0.0015307i,-0.019624+0.023899i,-0.0053414+0.0037747i,-0.0044336+0.0073318i
-0.016697+0.025364i,-0.039049+0.035973i,-0.010009+0.037209i,-0.016963+0.033867i,-0.0047483+0.041643i,0.028208+0.031848i,0.0081992+0.021476i,0.0063667+0.035738i,-0.0068376+0.017306i,-0.0046307+0.0024815i,-0.0025616+0.0014342i,-0.0076719+0.00083862i,-0.0042753+0.0034473i,-0.0069358+0.0029189i,0.0029882+0.0048787i,-0.0043842+0.0075716i,-0.0091508+0.011988i,0.00087773+0.00016307i,0.0017403-0.0043375i,0.00012292-0.0040247i,-0.0014951-0.0042507i,-0.00059119-0.0045169i,-3.2537e-05-0.0033343i,-0.011106+0.0012881i,-0.00048475+0.0010544i,0.00023205+0.0031982i,-0.00096271+0.00027006i,-0.0014627+0.0019652i,-0.0023336+0.00036294i,-0.0017668-0.0020348i,0.005147+0.0034937i,0.00035426-0.00045902i,0.00062173-0.001816i,0.0014964+0.00029838i,0.0019457+0.0028598i,-0.0017031-0.007168i,-0.00064417+0.00088583i,-0.0013247+0.00050536i,0.0027011-0.00017143i,0.0038254-0.0024448i,-0.0010522-0.0027664i,0.00060263-0.0021942i,-0.0096874+0.0056087i,-0.00036303-0.00024782i,-0.036704+0.0023747i,-0.066321-0.070283i,-0.070005+0.0085232i,-0.078987-0.015167i,-0.098797-0.0059576i,-0.046761+0.018648i,-0.054101+0.054122i,-0.026233+0.032898i,-0.047617-0.020556i,-0.052085-0.041026i,-0.036407+0.0024292i,0.0022225-0.003309i,0.006214+0.019323i,0.0068735-0.0058271i,0.0022788-0.0086022i,-0.021581+0.0010091i,-0.00041331+0.00082823i,-0.00077186+0.0051451i,0.010974+0.0015128i,0.0093558+0.011003i,0.00042129+0.0030266i,0.0047681-0.0022841i,0.0040836-0.0049665i,0.0060323+0.0016521i,0.0026783+0.00050477i,-0.0072718+0.00083446i,-0.0012939-0.0048633i,0.0059498-0.00032932i,0.0057869+0.0080067i,-4.0927e-05+0.00090616i,-0.0068624-0.018664i,0.0081421-0.0029666i,0.006218-0.002488i,0.0012442+0.0032689i,0.0013519-6.2824e-05i,0.0058485-0.012882i,-0.00010848+0.0018751i,-0.0097709+0.00011935i,-0.0012129+0.003537i,0.004342-0.0039764i,0.0063207-0.0048459i,0.00047284-0.0046093i,0.0095124-0.0017332i,0.0028836-0.0057172i,0.016813-0.016047i,-0.086905+0.0024783i,-0.0072183-0.0060552i,0.003125-0.013164i,-0.00043165-0.005052i,-0.013414+0.025844i,-0.0087037+0.0031932i,-0.0067688+0.01092i
-0.01277+0.025045i,-0.034217+0.04088i,-0.008558+0.035692i,-0.010703+0.035709i,0.0020614+0.038616i,0.032148+0.024798i,0.012557+0.019209i,0.011844+0.032711i,-0.0050364+0.01853i,-0.0029482+0.0037944i,-0.0026518+0.0021886i,-0.0068018+0.0042782i,-0.0034229+0.0048133i,-0.0052765+0.0056961i,0.004427+0.0037721i,-0.0011387+0.0098168i,-0.0033372+0.014533i,0.00083225-0.00054531i,0.00059152-0.0043884i,-0.0018001-0.0036992i,-0.0030381-0.0033538i,-0.0018709-0.0040971i,-0.0013486-0.003429i,-0.0089786+0.0040539i,-0.000945+0.00044906i,0.00028737+0.0016839i,-0.0010929+0.00035639i,-0.00069624+0.0018144i,-0.0019055+0.0014565i,-0.0019325-0.0006201i,0.0060257+0.0012435i,0.00032602-0.00052255i,-0.00017289-0.0015484i,0.0012822-0.00029204i,0.0023154+0.0014715i,-0.0044987-0.0078469i,-0.00038926+0.0012381i,-0.0011005+0.0015945i,0.0014601-0.00097709i,0.0027377-0.0023767i,-0.001546-0.0023055i,8.9711e-05-0.00199i,-0.0019864+0.0052345i,-0.0027626+0.0016387i,-0.037323+0.0090802i,-0.075668-0.047216i,-0.063907+0.0098662i,-0.083628-0.00064243i,-0.099412+0.012715i,-0.042451+0.021285i,-0.040555+0.057035i,-0.016864+0.029605i,-0.048859-0.015162i,-0.055831-0.033662i,-0.031333+0.011252i,9.6234e-05-0.0045479i,0.015065+0.013751i,0.0047777-0.0073427i,-0.0027458-0.0072022i,-0.019331+0.010412i,-0.00061827+0.0034215i,0.0017053+0.0051905i,0.0071185-0.0011178i,0.0141+0.0073023i,0.0017657+0.0034477i,0.0028382-0.001362i,0.0013876-0.0073103i,0.0029814+0.0014421i,0.0004359+0.0016104i,-0.0062727+0.005357i,-0.0029524-0.0025559i,0.005132-0.0025423i,0.0086792+0.0012939i,0.00023884+0.00066111i,-0.010015-0.017474i,0.006163-0.0055404i,0.0046681-0.0046906i,0.005102+0.0028038i,0.0017119-0.00011051i,0.002865-0.011896i,0.0015716+0.0014119i,-0.0077325+0.0058222i,0.001266+0.0035334i,0.0037325-0.0032394i,0.0034507-0.0088661i,7.7432e-05-0.0038376i,0.0054622-0.0051781i,-0.00089793-0.0068856i,0.0092927-0.021576i,-0.080463+0.012693i,-0.015173-0.0023135i,-0.00093664-0.015942i,-0.0029251-0.0076473i,-0.0080128+0.025484i,-0.012067+0.0054814i,-0.0068713+0.012147i
-0.0097863+0.024832i,-0.028538+0.045671i,-0.0070307+0.037079i,-0.004429+0.035243i,0.0064694+0.03447i,0.034999+0.017998i,0.016581+0.015403i,0.016482+0.028859i,-0.0024394+0.018645i,-0.0015374+0.0037215i,-0.0028039+0.0036063i,-0.0048901+0.0066649i,-0.0019683+0.0062801i,-0.0028081+0.0066601i,0.005121+0.0022687i,0.0024438+0.010188i,0.0031189+0.01419i,0.00079926-0.00061439i,-0.00075247-0.0045021i,-0.0030727-0.0025487i,-0.0034002-0.0017975i,-0.0026729-0.0033107i,-0.0023025-0.0026382i,-0.0073586+0.0048737i,-0.0014692+0.0011766i,-0.00011101+0.0014875i,-0.0013309+0.00071067i,-3.1434e-05+0.0014273i,-0.00090363+0.0019179i,-0.0016315+3.3185e-05i,0.0055203-0.00094366i,7.3471e-05-0.00056877i,-0.00070611-0.0011451i,0.00084393-0.0007658i,0.0022911+0.00092105i,-0.007231-0.0068069i,-0.00018324+0.001188i,-1.5825e-05+0.0021508i,0.00048033-0.0012603i,0.0020307-0.0020217i,-0.0020477-0.001499i,-0.00062626-0.0025152i,0.00060225+0.0051587i,-0.0027213+0.0046337i,-0.035403+0.016369i,-0.073844-0.030424i,-0.061162+0.01215i,-0.083224+0.016836i,-0.093375+0.033111i,-0.040884+0.024184i,-0.02914+0.056156i,-0.0093279+0.025498i,-0.047941-0.0088053i,-0.05962-0.026637i,-0.025668+0.015835i,-0.0032509-0.0043097i,0.017637+0.0016324i,0.0030594-0.0093891i,-0.0059355-0.0034392i,-0.013534+0.017965i,0.00093969+0.0038479i,0.0048611+0.0037558i,0.0053686-0.00015262i,0.01694+0.00034971i,0.002855+0.0035293i,0.0023335-0.00075221i,-0.0029381-0.0081211i,0.0019368+0.0030923i,0.00058471+0.0036164i,-0.0012766+0.0088161i,-0.0018949-0.00015916i,0.0035777-0.0034499i,0.010099-0.0013118i,0.0011134-9.9493e-05i,-0.01558-0.016239i,0.003551-0.0067208i,0.0016265-0.005688i,0.0048854-0.0006327i,0.001858+0.00015303i,0.0011571-0.010209i,0.0022936+0.00015096i,-0.0031397+0.00851i,0.0024271+0.0015944i,0.0028153-0.0038513i,-0.0024045-0.0094872i,-0.0009824-0.0048976i,0.0026823-0.0051367i,-0.0030541-0.0066489i,-0.0012075-0.022125i,-0.076411+0.021048i,-0.013869+0.0083181i,-0.0059825-0.016738i,-0.0064335-0.0081696i,-0.0050585+0.024748i,-0.011572+0.010743i,-0.002608+0.012011i
-0.0066226+0.024996i,-0.021595+0.050137i,-0.003072+0.039389i,0.0005891+0.033721i,0.0087775+0.031737i,0.036695+0.010929i,0.019355+0.010793i,0.020086+0.024865i,8.0844e-05+0.018961i,-0.00077413+0.0038536i,-0.0015235+0.0057075i,-0.0020266+0.0084045i,-1.4682e-05+0.0069438i,-0.0006236+0.006576i,0.0052142+0.00079441i,0.0056638+0.0092184i,0.0080725+0.011467i,0.00085418-0.00069148i,-0.0020909-0.004015i,-0.0035987-0.0010044i,-0.0030726-0.00061436i,-0.0034091-0.0025378i,-0.0027974-0.0017138i,-0.0066283+0.0064944i,-0.001025+0.0018371i,-3.8395e-05+0.0019157i,-0.0011299+0.001569i,-7.6909e-05+0.0008964i,-0.00017672+0.0017466i,-0.0013271+0.00035759i,0.0041268-0.0023252i,0.00017267-0.00033514i,-0.0007194-0.00086864i,0.0005437-0.0010078i,0.0024388-0.00018149i,-0.0094025-0.0049254i,0.00014291+0.0013308i,0.00088135+0.0017358i,-0.00047658-0.0012765i,0.0017997-0.0019327i,-0.0021278-0.00063773i,-0.0014787-0.0018358i,0.0021065+0.0038844i,-0.0013316+0.0060291i,-0.031054+0.0223i,-0.073161-0.023484i,-0.060118+0.01624i,-0.076198+0.031811i,-0.081614+0.050192i,-0.038385+0.030093i,-0.019758+0.055656i,-0.0049833+0.020367i,-0.0465-0.0039525i,-0.062348-0.017804i,-0.020124+0.020132i,-0.0041088-0.0041172i,0.011141-0.0083501i,-0.00051779-0.011334i,-0.0064061-4.3266e-05i,-0.0053858+0.020094i,0.0013521+0.0032602i,0.0064651-0.00012571i,0.0062959-0.00053391i,0.014926-0.0052141i,0.0051723+0.0028612i,0.0023418+0.00058366i,-0.0072031-0.0039258i,0.0032045+0.0043744i,0.0020272+0.005017i,0.0037442+0.0078799i,-0.0012119+0.00010976i,0.002515-0.0039423i,0.010995-0.0069029i,-6.4473e-06-0.00073475i,-0.02116-0.011632i,0.0011719-0.0066217i,-0.00061726-0.0042967i,0.0052904-0.00034116i,0.0019831-0.00027048i,0.00032586-0.011145i,0.0019838-0.0012328i,0.00065248+0.0075626i,0.0024794+0.0013357i,0.0022307-0.0030519i,-0.0059017-0.0056266i,-0.003963-0.0045829i,-9.4386e-05-0.0049033i,-0.0054466-0.0058415i,-0.0078289-0.018287i,-0.070627+0.030137i,-0.0086462+0.0075233i,-0.0069988-0.015516i,-0.0086021-0.0068656i,-0.00063119+0.023301i,-0.010042+0.012996i,-0.00095726+0.0095682i
-0.0032885+0.024827i,-0.013286+0.053363i,0.0027996+0.041564i,0.004877+0.032514i,0.011014+0.030272i,0.036933+0.0039789i,0.021068+0.005755i,0.023513+0.020991i,0.0030784+0.018836i,3.5145e-05+0.0041368i,0.0012751+0.006647i,0.0013654+0.0083402i,0.0020391+0.0068428i,0.0008275+0.00637i,0.0050945-0.00041793i,0.0083834+0.0068958i,0.010906+0.0075944i,0.0010652-0.001626i,-0.0030261-0.0032187i,-0.0031907+0.0006724i,-0.0025981+0.00030168i,-0.0038329-0.0011234i,-0.0029644-0.00092341i,-0.0040634+0.0081391i,-0.0004185+0.0024564i,0.00083682+0.002032i,-0.00047827+0.002049i,-0.00045478+0.00095825i,0.00023178+0.001606i,-0.0010577+0.00072904i,0.0031983-0.0038441i,0.00049606-0.00067825i,-0.001123-0.00070637i,-1.1316e-05-0.0012093i,0.0017985-0.0010933i,-0.010956-0.0017257i,0.00046114+0.0012495i,0.0012318+0.0014284i,-0.0017346-0.00081352i,0.0018215-0.0019092i,-0.0017057-8.9754e-05i,-0.0016925-0.0011471i,0.0028695+0.0026584i,0.00042648+0.0068142i,-0.026351+0.02542i,-0.078077-0.016946i,-0.059147+0.021937i,-0.067588+0.043335i,-0.066037+0.061251i,-0.034275+0.035198i,-0.010046+0.053634i,-0.0022595+0.017035i,-0.044761+0.00039221i,-0.062806-0.0075247i,-0.014811+0.022409i,-0.0055816-0.0032541i,0.003283-0.0098178i,-0.0047071-0.011394i,-0.0051774+0.0038496i,0.001645+0.017836i,0.00086104+0.0026761i,0.005707-0.0044483i,0.0053488-0.0018052i,0.011274-0.010377i,0.0067261+0.0005804i,0.0035897+0.00078871i,-0.0077614-0.0005135i,0.0049204+0.0048836i,0.0048818+0.0058592i,0.0078119+0.0053476i,-0.00085518+0.00098775i,0.0021051-0.004137i,0.0067267-0.0062914i,-0.00042135+0.00083968i,-0.024715-0.003501i,-0.00046462-0.0063022i,-0.0017052-0.0025616i,0.005399-0.0013809i,0.0017524-0.0006788i,-0.0024031-0.012648i,0.00074221-0.001603i,0.0040543+0.0069207i,0.0032273+0.00052783i,0.0031872-0.0031792i,-0.0072657-0.0026762i,-0.0066152-0.0015025i,-0.0027415-0.0036563i,-0.0069984-0.0044513i,-0.012036-0.013785i,-0.063737+0.037143i,-0.0082145+0.006118i,-0.0076657-0.018208i,-0.0096451-0.0050151i,0.00064294+0.021926i,-0.0093452+0.015052i,-0.0003159+0.008163i
0.00035778+0.024689i,-0.0038304+0.054764i,0.010747+0.04169i,0.0090573+0.031184i,0.014408+0.030016i,0.036161-0.0024367i,0.021359+0.00025086i,0.026704+0.016333i,0.0065555+0.017678i,0.00083984+0.0040852i,0.0036656+0.0052407i,0.0037332+0.00647i,0.0039857+0.0061471i,0.0026016+0.0059814i,0.0046739-0.0016409i,0.0095615+0.0036187i,0.012648+0.0034525i,-0.00012933-0.0022898i,-0.0040226-0.0019897i,-0.0018787+0.0015721i,-0.0016842+0.00057671i,-0.0034447+6.5345e-05i,-0.0029894-2.5801e-06i,-0.0009893+0.0086188i,0.00056178+0.0025031i,0.0015763+0.0015311i,0.00040563+0.0021072i,-0.00022766+0.0015192i,0.00085032+0.0011618i,-0.00065173+0.00079696i,0.0013552-0.0043403i,-1.0279e-05-0.0010176i,-0.001433-0.00016036i,-0.00065153-0.0010982i,0.00091906-0.0016081i,-0.010735+0.0021648i,0.00071467+0.0010723i,0.0016845+0.00092545i,-0.0022948+0.00018113i,0.0016443-0.0024147i,-0.0014347+0.00014614i,-0.0015715-0.00078495i,0.0026732+0.0015954i,0.0026728+0.0073831i,-0.022231+0.0284i,-0.086184-0.0039336i,-0.055048+0.027671i,-0.056099+0.051563i,-0.051001+0.068549i,-0.029326+0.041676i,-0.00079639+0.049449i,0.0028385+0.01343i,-0.0426+0.0050998i,-0.060347+0.0030245i,-0.010386+0.02431i,-0.0073333-0.0023416i,-0.002618-0.0092816i,-0.0089519-0.0097524i,-0.0012264+0.005249i,0.0053791+0.013019i,-0.00033864+0.0028538i,0.0033898-0.0078638i,0.0057315-0.0011469i,0.0047497-0.013085i,0.0069325-0.0029426i,0.00459-0.00019264i,-0.0080291+0.0037343i,0.0079694+0.0041959i,0.0082299+0.0034348i,0.0099504+0.00035616i,0.00040659+0.0017855i,0.0012011-0.0045459i,-0.00067861-0.0083875i,0.0010759+0.002145i,-0.02341+0.0046131i,-0.0021347-0.0062331i,-0.0013785-0.00065331i,0.005099-0.0041548i,0.0018011-0.00061807i,-0.0076646-0.012007i,-0.00016633-0.0012672i,0.0067489+0.0038687i,0.0033907-3.4459e-05i,0.0027293-0.0041042i,-0.007063+0.0015123i,-0.0067378+0.0026141i,-0.0043977-0.0017527i,-0.0087-0.0032513i,-0.014436-0.0088056i,-0.058309+0.043265i,-0.0081513+0.0088121i,-0.012019-0.022285i,-0.007772-0.0038966i,0.0034188+0.021705i,-0.008377+0.018842i,0.0014484+0.0062342i
0.0043298+0.023506i,0.005367+0.053933i,0.018498+0.038712i,0.013309+0.029288i,0.019127+0.028876i,0.034805-0.0084539i,0.020046-0.0049446i,0.028685+0.010889i,0.0095438+0.01568i,0.0015122+0.0041384i,0.004422+0.0037253i,0.0044016+0.0045421i,0.0056439+0.0046932i,0.0040136+0.0047969i,0.0038291-0.0026112i,0.0090777+0.00065206i,0.012702-0.00036318i,-0.001083-0.001792i,-0.0040566-0.00065471i,-0.00074747+0.001605i,-0.00090664+0.00030043i,-0.0029367+0.00067712i,-0.0024556+0.00076922i,0.0015166+0.0082357i,0.0015201+0.0018549i,0.0020054+0.0010202i,0.0011898+0.0017309i,0.00048665+0.0016469i,0.0009094+0.00047401i,-0.00053905+0.00086739i,-0.00055324-0.003956i,-0.00072903-0.00084222i,-0.0013546+0.00039538i,-0.0011216-0.00065134i,0.00019873-0.0015982i,-0.0092374+0.0050644i,0.00098098+0.00067898i,0.0018222+0.00021122i,-0.0020924+0.0013528i,0.0011755-0.0031387i,-0.0012807+0.00029443i,-0.0017275-0.00077788i,0.0023398+0.00092288i,0.0051646+0.0069639i,-0.017608+0.030975i,-0.087904+0.016066i,-0.052426+0.031658i,-0.045704+0.055892i,-0.034183+0.073159i,-0.020797+0.048093i,0.0060781+0.043068i,0.0053871+0.0058712i,-0.038365+0.0088102i,-0.054624+0.013016i,-0.0038883+0.025104i,-0.0089568+0.00010897i,-0.008261-0.0058834i,-0.011766-0.0063843i,0.0017745+0.0035422i,0.0057273+0.010944i,-0.0020608+0.0042572i,-9.247e-05-0.010568i,0.0068344-0.0032343i,-0.001613-0.011526i,0.0046896-0.0053111i,0.0050188-0.0023266i,-0.0061152+0.0071639i,0.010188+0.0005073i,0.0089765-0.0014371i,0.0082099-0.0051214i,0.0024408+0.0012956i,5.1003e-05-0.0046689i,-0.0043851-0.0048778i,0.0030733+0.0010915i,-0.049039+0.025172i,-0.0041381-0.0062276i,4.2376e-05+0.00050937i,0.0025272-0.0054836i,0.0017919-0.00078448i,-0.01265-0.0079063i,2.5124e-05-0.0001672i,0.0071984-0.00017154i,0.0031689-0.0010718i,0.0017095-0.0045225i,-0.0046187+0.0050604i,-0.0046219+0.0059454i,-0.00471+0.0014658i,-0.010507-0.0010428i,-0.014899-0.004705i,-0.050686+0.05168i,-0.0021691+0.011415i,-0.020136-0.021991i,-0.0057503-0.0053561i,0.005805+0.020712i,-0.0045389+0.022331i,0.0022951+0.0026338i
