-0.030824-0.041892i,-0.022963-0.01993i,-0.014159-0.0356i,-0.030124-0.019872i,-0.023134-0.00037598i,-0.013976-0.0054901i,-0.055996-0.059296i,-0.049025-0.017403i,-0.039545-0.014375i,0.011002+0.011988i,-0.0072119+0.0054175i,-0.018779+0.018955i,0.0027332+0.011512i,-0.0058115-0.0031376i,0.00028585+0.0011963i,-0.00061432+0.030185i,0.028455+0.027414i,0.0023428-0.0022635i,-0.0019677-0.0067725i,0.0078222+0.0022737i,0.0030235+0.0010363i,0.00019301+0.0036114i,-0.00042341+0.00033586i,-0.03741-0.011542i,0.00011799-0.0077756i,0.0015265+0.0022047i,0.0057593+0.0017101i,0.0020021+0.00044886i,0.0013245-0.0005471i,-0.00038615-0.0025487i,0.0016202-0.0027542i,-0.0026594-0.0056634i,-0.00042312-0.0046618i,0.0027802-0.0011107i,0.0046535-0.002755i,0.0027698+0.029841i,0.0041472-0.0035042i,0.0029636-0.0017825i,0.0082739-0.0012097i,-0.0051078-0.0023632i,-8.1034e-05+0.0010684i,0.0092559-0.00030126i,0.0042994-0.0026006i,-0.0013029+0.0097768i,-0.01909-0.0099676i,-0.01781+0.013577i,-0.005266-0.06269i,-0.0062379-0.025141i,-0.025605-0.029794i,-0.01137-0.027135i,0.053203-0.022915i,0.015613-0.043629i,0.021875-0.049993i,0.0046901-0.056537i,0.025359-0.020898i,0.0079706+0.0055123i,0.023442-0.034426i,-0.0078133-0.0053093i,0.0038922-0.0048637i,-0.0045533-0.0069526i,-0.003088-0.032475i,-0.017773+0.030006i,0.0072356-0.011121i,-0.0091905-0.0036224i,-0.0043571-0.0015598i,0.00044349-0.011583i,-0.010931+0.0044983i,0.002642+0.0096366i,-0.0044678+0.026441i,0.0053365+0.0021596i,-0.0054345-0.0015516i,-0.0022559-0.0019395i,-0.011624-0.0063184i,-0.0011019-0.004238i,-0.036039+0.0018675i,0.0007173-0.010565i,-0.0085707+0.00027923i,-0.0066416-0.001936i,0.0046343+0.00082696i,-0.0083806-0.000407i,0.0017555-0.00057602i,0.0036636+0.0069247i,0.004101+0.00057931i,-0.0080153-0.011367i,0.0025826+0.0090733i,-0.015422+0.0048152i,0.0065889-0.00038766i,-0.022177+0.0011079i,-0.017198+0.0066742i,-0.010724-0.066842i,0.0076512-0.013071i,-0.050672-0.022095i,-0.021707+0.0013665i,0.017287+0.011354i,-0.021969+0.01509i,-0.019579-0.0053874i
-0.043502+0.033469i,-0.015328+0.019394i,-0.020567+0.042767i,-0.026461+0.014462i,-0.0039578+0.021898i,-0.00048691+0.0079518i,-0.030509+0.018296i,-0.0036041+0.031031i,0.0085497+0.018735i,-0.0052739-0.0066319i,0.0025721+0.0030964i,0.007334-0.00039625i,0.0051268-2.6083e-05i,-0.00047818+0.0030251i,0.00067296+0.0021023i,0.0061962-0.0051727i,-0.0070055-0.00073263i,-0.003067-0.00081075i,0.0045237-0.001698i,-6.5255e-05-0.00083551i,0.0028254-0.005249i,0.0016772-0.0028024i,0.001372-0.0025611i,-0.0093744-0.010648i,-0.00038855+0.0020129i,-0.001599-3.7092e-05i,-0.0041056-0.001129i,-0.0028317-8.4149e-05i,-0.0006382-0.0014876i,-0.00021423-0.0006304i,-0.00071524+0.0037177i,0.00073114+0.00082941i,0.0016743+0.00074757i,-0.00050056+0.00083674i,-0.0027978+0.0029134i,-0.0010972-0.0072488i,-0.0025914+0.0010516i,0.0007451-0.00052558i,-0.0018078+0.0035266i,0.0038876+0.0027021i,-0.00046177-0.0017402i,-0.00033302-0.0031203i,-0.0035281-9.7052e-05i,0.0044384-0.00054611i,-0.018728+0.026695i,0.0046882-0.035805i,-0.055301+0.0064633i,0.0050314-0.028309i,-0.029731-0.043381i,-0.02994-0.019309i,-0.061688+0.022465i,-0.038263+0.0022824i,-0.035059-0.0059889i,-0.030706-0.021011i,-0.038403-0.021796i,-0.0046972+0.0028799i,-0.027004+0.010201i,0.0059574+0.016641i,0.0027319+0.0078409i,-0.0028964-0.0051341i,0.001951+0.0010491i,-0.010565-0.0039684i,0.0056463+0.010544i,-0.00037844+0.00598i,-0.0017296-0.0012854i,0.00099771+0.0017311i,0.0036082-0.0015136i,-0.0031389+0.018053i,0.0034147+0.014114i,0.0047156-0.00071264i,0.0094699-0.0065928i,0.0044774+0.002843i,-0.0081487-0.0067658i,-0.0010863-0.0032334i,0.025894-0.034411i,0.0083235+0.0096672i,0.0051641+0.002207i,-0.0025869+0.0030404i,0.0031775-0.0047536i,0.021311+0.007565i,0.0039202+0.0022791i,-0.00021042-0.0065201i,0.00093533-0.0031587i,0.01237+0.0062748i,0.0050085+0.00097787i,0.0025431-0.0047797i,0.0041076+0.0081622i,-0.00045178+0.00020302i,0.0089504+0.0020457i,-0.042881-0.013026i,-0.0063442+0.012562i,-0.0018346-0.0042863i,-0.0062033+0.0063201i,-0.036628+0.012653i,-0.0054299+0.0073702i,-0.0086755+0.014381i
-0.037503+0.039965i,-0.012302+0.018839i,-0.010024+0.038524i,-0.023483+0.017288i,-0.0010334+0.01999i,0.00087841+0.0078641i,-0.029006+0.023225i,0.0024188+0.030147i,0.010612+0.013169i,-0.0064758-0.0036978i,0.0036305+0.0034054i,0.0063997-0.0027763i,0.0045792-0.0018884i,0.0016178+0.0037683i,0.00095473+0.0020795i,0.0018348-0.0045786i,-0.0080621+0.0032797i,-0.0028537+0.00033622i,0.0043925-0.0028235i,0.00019624-0.00087394i,0.00093643-0.0053833i,0.0013453-0.002483i,0.00067688-0.0026288i,-0.011317-0.0076043i,0.00056793+0.0013009i,-0.0017298+0.00044376i,-0.0035734+0.00028818i,-0.0021758+0.00073717i,-0.0011684-0.0014121i,-0.00013886-0.00056691i,0.00076778+0.0036969i,0.00037789+0.00072658i,0.0014739-0.00016786i,-0.00056931+0.00098488i,-0.002702+0.0033341i,-0.0011005-0.0065446i,-0.0020794+0.0015406i,-0.00026472-0.0011297i,-0.0010826+0.0040916i,0.0036478+0.00036435i,-0.00075442-0.0015599i,-0.0021533-0.0027905i,-0.0035303+0.0010984i,0.0044484-0.0016307i,-0.014262+0.026486i,-0.0086035-0.040821i,-0.048402+0.016796i,-0.0034396-0.034495i,-0.042387-0.037902i,-0.030434-0.012707i,-0.050067+0.033673i,-0.035248+0.010862i,-0.026024-0.0081222i,-0.032252-0.016592i,-0.04339-0.0065999i,-0.0039044+0.0026245i,-0.021701+0.021589i,0.010372+0.011294i,0.0052034+0.0044785i,-0.0080782-0.0079929i,-0.00096468+0.0030956i,-0.01028+0.0026256i,0.0098446+0.0073196i,0.00070418+0.0075643i,-0.0017732-3.7025e-05i,0.0017904+0.002898i,0.0038149-0.0018824i,0.0051231+0.014593i,0.0084909+0.0081061i,0.00024147-0.0044066i,0.003148-0.0078204i,0.0048487+0.0023188i,-0.010659+0.00088198i,-0.0023794-0.00094278i,0.00923-0.037406i,0.011987+0.0070286i,0.0068502-0.00022615i,0.00082304+0.0026342i,-0.00037094-0.0027591i,0.022084-0.0023277i,0.0035562+0.00043537i,-0.0035034-0.0050602i,-0.0026233-0.0016716i,0.01185+0.00098808i,0.0049654+0.0009793i,0.00057205-0.0031752i,0.0064415+0.0064697i,-0.00046148+0.0014467i,0.0090804-0.0012437i,-0.046053-0.0090287i,-0.00069061-0.0015646i,-0.00094147-0.0035545i,-0.0038508+0.0057521i,-0.030109+0.023926i,-0.003058+0.0080999i,-0.0045069+0.015032i
-0.030115+0.045168i,-0.010433+0.018753i,-0.0049464+0.032199i,-0.020635+0.020006i,0.002403+0.018972i,0.0025013+0.0072856i,-0.025077+0.028785i,0.0080912+0.027693i,0.0099718+0.0092569i,-0.0066904-0.00088383i,0.0054065+0.0028945i,0.0025089-0.0037245i,0.0034246-0.0029715i,0.0024488+0.0032369i,0.001455+0.0020017i,-0.0014224-0.0017833i,-0.0064286+0.0074893i,-0.0018464+0.00098009i,0.0038043-0.0046337i,0.00045866-0.0014839i,-0.00073044-0.0050657i,0.001394-0.0030729i,0.00015358-0.0025829i,-0.013384-0.0048265i,0.00080163+0.00065736i,-0.001268+0.0012151i,-0.0025986+0.00078438i,-0.0010264+0.0012845i,-0.0014332-0.001188i,-0.00048419-0.00072486i,0.002085+0.002908i,0.0003775+0.00082076i,0.0010085-0.00068264i,-0.00025977+0.00077503i,-0.0010939+0.0044337i,-0.00092284-0.0067714i,-0.0019128+0.0017986i,-0.0012046-0.001001i,0.0017484+0.00306i,0.0026894-0.00076793i,-0.0010751-0.0012008i,-0.0018633-0.0011734i,-0.0031489+0.0020916i,0.0036455-0.0035319i,-0.011076+0.026873i,-0.024689-0.038482i,-0.038293+0.022946i,-0.013884-0.035589i,-0.049576-0.029213i,-0.027251-0.0067647i,-0.034531+0.039534i,-0.023636+0.016285i,-0.028198-0.011577i,-0.032992-0.012515i,-0.040591+0.0076396i,-0.0033025+0.0026997i,-0.010596+0.028203i,0.01175+0.0061169i,0.0032225-0.00031458i,-0.017344-0.0053956i,-0.00055191+0.0043454i,-0.0062346+0.0062815i,0.011118+0.00158i,0.0034546+0.0077033i,-0.0034085+0.0015817i,0.0020028+0.0013017i,0.0038725-0.0031105i,0.007719+0.007854i,0.0082797+0.0027166i,-0.004614-0.0015573i,0.00013269-0.0060659i,0.0064878+0.0012973i,-0.0065441+0.008888i,-0.00052679+0.0011967i,-0.0038729-0.033318i,0.01529+0.00086341i,0.0057544-0.0027536i,0.0010845+0.0012427i,-0.00018578-0.00098269i,0.017027-0.01022i,0.0018456+0.002129i,-0.0052695-0.0025848i,-0.0032271+0.0024393i,0.008986-0.0024712i,0.0085824-0.0012282i,0.00087739-0.0028833i,0.0096988+0.0032473i,0.0027013+0.0015379i,0.0078548-0.0044229i,-0.049122-0.00010394i,-0.0087515-0.010002i,0.0015151-0.0067766i,-0.0021996+0.0037742i,-0.019569+0.028242i,-0.0036752+0.0033625i,-0.0014526+0.010244i
-0.021797+0.048408i,-0.0079123+0.019688i,-0.0032697+0.027255i,-0.016479+0.022731i,0.0056017+0.015996i,0.0039976+0.0056628i,-0.018548+0.033233i,0.012805+0.023652i,0.0094352+0.0075892i,-0.0058641+0.0016174i,0.0063473+0.00051155i,0.00036827-0.0012176i,0.0020118-0.0033411i,0.0023222+0.0032492i,0.0017943+0.0016206i,-0.0018001+0.0022924i,-0.002444+0.010567i,-0.001242+0.00082754i,0.0019752-0.0053792i,-0.00021057-0.0021214i,-0.0017807-0.0040821i,0.00087082-0.003401i,-0.0004268-0.0027191i,-0.014718-0.00038104i,0.00091487-0.00039944i,-0.00040568+0.00087366i,-0.0022671+0.00086965i,5.981e-05+0.00064189i,-0.0016905-0.00055915i,-0.00079151-0.00033479i,0.0028368+0.0016712i,0.0005654+0.00088138i,0.00020756-0.0010156i,-0.00016191+0.00072944i,0.00097108+0.0036847i,-0.0022609-0.0086106i,-0.0012031+0.0026017i,-0.0018004-0.00034054i,0.0017184+0.00021225i,0.0019399-0.0010915i,-0.0010936-0.00073666i,-0.0014652-0.0011256i,-0.0022865+0.0030252i,0.00072768-0.0056073i,-0.0076556+0.027841i,-0.036906-0.026145i,-0.02887+0.023627i,-0.023425-0.032361i,-0.056364-0.019406i,-0.022415-0.0048122i,-0.020905+0.038451i,-0.013502+0.012215i,-0.029151-0.0084233i,-0.033111-0.0075074i,-0.034137+0.017061i,-0.0030231+0.0028402i,0.00086744+0.027895i,0.011993+0.0014169i,-0.0014723-0.00091584i,-0.022418+0.0051838i,-0.00063375+0.0061008i,-0.0023623+0.0058668i,0.008445-0.0039881i,0.0060303+0.0066416i,-0.00258+0.004511i,0.00017528+0.0017332i,0.0030161-0.0057306i,0.0058566+0.0021903i,0.0055297+0.0001096i,-0.0035864+0.0020675i,-0.0016354-0.0044558i,0.006628-0.00088968i,0.0025101+0.010551i,0.00051956+0.00059728i,-0.010918-0.02628i,0.013008-0.0051602i,0.0042865-0.0043491i,0.0018166+0.0024748i,0.00012806-0.0010642i,0.011102-0.013239i,0.0048962+0.0030909i,-0.0058106+0.00039284i,-0.00057749+0.0044606i,0.0067086-0.0030699i,0.0077344-0.0064443i,-0.00051115-0.0026395i,0.0088496-0.0025487i,0.0025464-0.0016018i,0.0060486-0.0073484i,-0.045211+0.010952i,-0.018139-0.0091502i,-0.0012765-0.012706i,-0.0016584+0.0011886i,-0.01174+0.027966i,-0.0073146+0.0036177i,-0.0018403+0.0089643i
-0.01369+0.050267i,-0.0056535+0.019481i,-0.0039397+0.02487i,-0.011675+0.024038i,0.0073101+0.0127i,0.0042316+0.003881i,-0.010919+0.035016i,0.015881+0.01887i,0.010125+0.0064758i,-0.0038357+0.0031689i,0.0054665-0.0012617i,0.00093437+0.00078057i,0.00097137-0.0033538i,0.003613+0.0035083i,0.002089+0.0012476i,0.00020593+0.0050287i,0.0027149+0.011177i,-0.0010917+0.00085945i,0.00047397-0.0054659i,-0.0011265-0.0020809i,-0.0026894-0.0031631i,0.00011246-0.0034207i,-0.0012656-0.0025243i,-0.012716+0.0040414i,-0.00015226-0.0015292i,-0.00049404+0.00025395i,-0.00185+0.0010254i,0.00019522-0.00045639i,-0.0016512-1.2422e-05i,-0.00045991-2.7159e-05i,0.0028254+0.00036661i,0.0011177+0.00032924i,-0.00043068-0.00060602i,-0.00024529+0.00076853i,0.0014014+0.0027128i,-0.0055428-0.0093833i,-0.00033754+0.0027649i,-0.0018267+0.00079085i,-1.7711e-05-0.00037982i,0.0011952-0.00092348i,-0.0010213-0.00050801i,-0.0017727-0.0011437i,-0.0008721+0.0032854i,-0.0021809-0.0037956i,-0.0030056+0.028991i,-0.037037-0.011042i,-0.022617+0.021869i,-0.031313-0.026133i,-0.060872-0.0057316i,-0.019424-0.006821i,-0.010001+0.034116i,-0.0090408+0.0068139i,-0.028904-0.0066746i,-0.031844-0.0042069i,-0.027386+0.024289i,-0.0024334+0.0029459i,0.012631+0.023088i,0.010941-0.0025839i,-0.0046857+0.0017146i,-0.020466+0.014655i,0.0013026+0.0073299i,0.00028193+0.0064348i,0.0026054-0.0049584i,0.008025+0.0047588i,-0.00032412+0.0060205i,0.00021531+0.0037638i,0.0010901-0.0068139i,0.0014959+0.0024885i,0.0029292+0.00064343i,-0.0030146+0.0037117i,-0.0026536-0.002151i,0.0058276-0.0029461i,0.0074327+0.0063981i,0.0007252+8.9367e-05i,-0.014934-0.023433i,0.0090876-0.0086674i,0.0022076-0.0053431i,0.0049184+0.0019818i,-0.00017929-0.00059905i,0.0067634-0.013704i,0.0071546+0.00022698i,-0.0040089+0.0037655i,0.0022583+0.004411i,0.0063962-0.0036458i,0.002681-0.011013i,-0.00054584-0.0018101i,0.0046011-0.0057367i,9.2661e-05-0.0020451i,0.0019318-0.0099346i,-0.03719+0.01577i,-0.025621-0.0024278i,-0.0061653-0.014438i,-0.0027146-0.0012047i,-0.0065966+0.027031i,-0.0095693+0.0062767i,-0.00070245+0.0090552i
-0.0055133+0.050967i,-0.0038218+0.01986i,-0.0041359+0.025566i,-0.0071983+0.023893i,0.0075271+0.0096111i,0.004343+0.002732i,-0.0028645+0.034278i,0.017536+0.014129i,0.011186+0.0043087i,-0.0023267+0.0031071i,0.0037563-0.0021758i,0.0021669+0.0016491i,-0.00011555-0.0031724i,0.0051709+0.0021677i,0.0021373+0.00078562i,0.0030644+0.0058588i,0.0077952+0.0092974i,-0.00077542+0.0011318i,-0.0013678-0.0053375i,-0.0018784-0.0015775i,-0.0028702-0.001884i,-0.00041009-0.0034837i,-0.0018297-0.0019407i,-0.0107+0.0059795i,-0.0014677-0.0010942i,-0.00096079+0.00023353i,-0.0015607+0.0013184i,-0.00026237-0.001363i,-0.0013519+0.00044024i,-0.00033832-0.00012525i,0.0024777-0.00064241i,0.0011072-0.00044211i,-0.00063413-0.00023061i,-0.00013997+0.00075682i,0.0015129+0.0022643i,-0.0091642-0.0082823i,0.00021151+0.0023976i,-0.0012113+0.0014663i,-0.0010119+0.00028638i,0.00081466-0.00054919i,-0.00088786-0.00014754i,-0.0021116-0.00058299i,0.0001891+0.0027524i,-0.0030031-0.0012971i,0.0019439+0.029785i,-0.031165-0.0027213i,-0.018721+0.020486i,-0.035553-0.016464i,-0.058276+0.011336i,-0.022562-0.0094891i,-0.0031908+0.027811i,-0.0066055+0.002397i,-0.027876-0.0038795i,-0.032005-0.00064201i,-0.019548+0.028491i,-0.0026975+0.0032651i,0.018405+0.0099943i,0.0092322-0.0067039i,-0.0055164+0.0056708i,-0.013105+0.022791i,0.0034747+0.0064448i,0.0036676+0.0046268i,6.5754e-05-0.0021272i,0.0098277+0.0011471i,0.0018428+0.0069817i,0.0015363+0.00471i,-0.003601-0.0086514i,0.00097223+0.0059327i,0.0028455+0.0019412i,-0.00062567+0.0069777i,-0.0017671-0.00036065i,0.004241-0.0038774i,0.0090022+0.001714i,0.0011342-0.00070436i,-0.022704-0.021097i,0.0047814-0.01022i,-0.0001927-0.005443i,0.0047866-0.00087413i,0.00021366+0.00046825i,0.004193-0.013142i,0.0067886-0.0029783i,-0.0011625+0.0050423i,0.0037735+0.0022549i,0.0051309-0.0051029i,-0.0040917-0.010196i,-0.00076152-0.0021611i,0.0013789-0.0051358i,-0.00027112-0.0026446i,-0.0030216-0.0091412i,-0.032454+0.018196i,-0.023468+0.010804i,-0.010989-0.01418i,-0.0050599-0.0018408i,-0.0025505+0.026377i,-0.0084524+0.010691i,0.0026268+0.0076198i
0.0027044+0.050305i,-0.0013587+0.020693i,-0.0023945+0.027547i,-0.0038705+0.022779i,0.0067989+0.0077754i,0.0045118+0.0015659i,0.004106+0.031524i,0.017969+0.0099398i,0.011816+0.002018i,-0.0016872+0.0031405i,0.0026601-0.0015542i,0.0043127+0.0018323i,-0.0011379-0.0026622i,0.005338-0.00043632i,0.0019971+0.00044538i,0.005524+0.0051741i,0.011011+0.0053071i,-0.00034388+0.0013639i,-0.0026927-0.0045448i,-0.0022658-0.00067854i,-0.0023776-0.00079003i,-0.001326-0.003424i,-0.0021609-0.0013206i,-0.0094288+0.0088076i,-0.0020893-0.00024856i,-0.0012443+0.00077449i,-0.0011647+0.0017397i,-0.0013551-0.0017053i,-0.0010537+0.00047834i,-0.00047261-0.00024408i,0.001886-0.0013766i,0.0010196-0.00060122i,-0.00032974-0.00015544i,4.1818e-05+0.00077309i,0.0020758+0.0012966i,-0.012363-0.0059407i,0.00079521+0.0022038i,-0.00069042+0.0015225i,-0.0010287+0.00089537i,0.00078038-0.00033879i,-0.00068271+4.9958e-05i,-0.0017602-0.00024078i,0.00059947+0.0019665i,-0.002771+7.4453e-05i,0.0077791+0.028464i,-0.026983-0.0010826i,-0.015659+0.019891i,-0.035008-0.0077487i,-0.049025+0.025022i,-0.025812-0.0068669i,0.0011707+0.022999i,-0.0068751-0.0018306i,-0.026331-0.0021018i,-0.030644+0.0044597i,-0.011975+0.031171i,-0.0017467+0.0035279i,0.012635-0.0017044i,0.0051433-0.010116i,-0.0037539+0.0089737i,-0.0041936+0.024512i,0.0043137+0.0046009i,0.0043219+0.0011732i,0.00089282-0.00076795i,0.0092074-0.0020613i,0.0060639+0.0062684i,0.0031287+0.0055515i,-0.0079554-0.0031214i,0.004054+0.0076175i,0.0040232+0.0023512i,0.0033858+0.0070643i,-0.001166+0.00011678i,0.003261-0.0045073i,0.0089209-0.0043139i,-0.00068067-0.0011084i,-0.030733-0.012199i,0.0013709-0.0099535i,-0.0021476-0.0040227i,0.004891-0.00068413i,0.00079025+0.00034083i,0.002567-0.01485i,0.0049201-0.0052829i,0.0012011+0.0040622i,0.0036904+0.00091025i,0.0039425-0.0057397i,-0.0075051-0.0059175i,-0.0022098-0.0020705i,-0.00085954-0.0044865i,-0.0018126-0.0032359i,-0.0057993-0.0067179i,-0.026951+0.020732i,-0.017001+0.011558i,-0.0118-0.012959i,-0.006475-0.00096155i,0.0020415+0.024335i,-0.0065971+0.012274i,0.0031622+0.004931i
0.010475+0.048324i,0.0019623+0.021428i,0.0013819+0.029752i,-0.00098894+0.022338i,0.0060784+0.0071115i,0.0041871+0.00064302i,0.0097374+0.027411i,0.01791+0.0065514i,0.012173-0.0010278i,-0.00095479+0.0032204i,0.002807-0.00097595i,0.0062278-0.00032214i,-0.0019106-0.0017466i,0.0036027-0.0016187i,0.001976+0.00030761i,0.0074046+0.0031854i,0.011901+0.00091669i,0.00033454+0.0010572i,-0.0037269-0.0035355i,-0.0020059+0.00041741i,-0.0017459-0.00018734i,-0.0021119-0.002573i,-0.002343-0.00070709i,-0.0049413+0.011022i,-0.0022879+0.00078542i,-0.00089642+0.0014129i,-0.00061193+0.0020246i,-0.0026731-0.0010388i,-0.0009507+0.00053692i,-0.000688-0.00018014i,0.0010341-0.0017855i,0.0012332-0.0015232i,-0.00052162-8.7219e-05i,8.3768e-05+0.00072324i,0.0019038+0.0003357i,-0.014574-0.0017869i,0.0013221+0.0017224i,-0.00029606+0.0017607i,-0.0010464+0.001232i,0.00098742-0.00010515i,-0.00033675+5.367e-05i,-0.001558+0.00012222i,0.00052714+0.0013747i,-0.0021459+0.0013446i,0.012575+0.025227i,-0.026728+5.6716e-06i,-0.013487+0.018863i,-0.034318-0.00075187i,-0.036846+0.032109i,-0.028649-0.0036299i,0.0052292+0.017316i,-0.0079343-0.0035388i,-0.02539-0.00055074i,-0.027878+0.0093999i,-0.0037666+0.031794i,-0.0007421+0.0034889i,0.0056581-0.0030622i,0.00047417-0.011433i,0.00018187+0.01192i,0.0036577+0.022221i,0.0041301+0.002679i,0.0033111-0.0019176i,0.00039446-0.00033472i,0.0074061-0.0054656i,0.0091593+0.0030031i,0.0055643+0.0052282i,-0.0076751+0.00074918i,0.0072147+0.0074261i,0.005313+0.0021781i,0.0075253+0.0051283i,-0.00068766+0.00074955i,0.0027085-0.0052661i,0.0053566-0.0078766i,-0.00095773+0.0010219i,-0.033966+0.00018515i,-0.0010875-0.0091651i,-0.0029545-0.0020631i,0.0056158-0.0016347i,0.00071314-4.6511e-06i,-0.001552-0.016927i,0.0021625-0.0065387i,0.0027529+0.0033782i,0.0037266-0.00033566i,0.0034633-0.0064333i,-0.0091236-0.0027516i,-0.0037359-0.00019948i,-0.003016-0.0030169i,-0.0031631-0.0030706i,-0.0071748-0.0041236i,-0.022208+0.021107i,-0.015787+0.011718i,-0.012859-0.013584i,-0.0071643+0.00059475i,0.0039952+0.023132i,-0.0055894+0.012884i,0.0035418+0.0032473i
0.018116+0.045261i,0.0063701+0.02109i,0.0073882+0.030504i,0.0020044+0.021784i,0.006505+0.0073744i,0.0040021+0.0001784i,0.013661+0.022101i,0.017851+0.0033936i,0.011396-0.0041113i,-0.00045865+0.0031286i,0.0030658-0.0016147i,0.0055973-0.0036002i,-0.0021147-0.00071096i,0.0028015-0.0017381i,0.0020741+8.47e-05i,0.0076837+0.00046191i,0.010886-0.003188i,0.00026301+0.00053642i,-0.0046542-0.0020953i,-0.0011517+0.00088659i,-0.00095717-0.00027531i,-0.0021922-0.0018321i,-0.0023016+7.744e-07i,-0.00090763+0.010933i,-0.0018466+0.0016567i,-0.00027192+0.0016484i,0.00030082+0.0019859i,-0.0032575+0.0003662i,-0.00073295+0.00044395i,-0.00078209-6.7684e-05i,0.00014894-0.0018023i,6.2096e-05-0.0021501i,-0.0006171+0.00016918i,0.00014756+0.00074507i,0.00135-0.000268i,-0.014465+0.0031627i,0.0014805+0.0011425i,0.0004031+0.0017316i,-0.0010014+0.0017293i,0.0012019-0.00029963i,-0.00025279-0.00013801i,-0.001032+0.00018185i,0.00023646+0.0010869i,-0.0012458+0.0019766i,0.015763+0.022223i,-0.028561+0.0041266i,-0.011648+0.01817i,-0.03001+0.0065855i,-0.025461+0.035836i,-0.03062+0.0032185i,0.0076268+0.01026i,-0.0061745-0.0056368i,-0.02419+0.0021147i,-0.023041+0.014321i,0.0036468+0.03058i,-0.00028825+0.0026478i,0.0020337-0.0027992i,-0.0046881-0.010956i,0.0064103+0.011273i,0.0083568+0.017612i,0.0025893+0.0014916i,0.0015826-0.0037772i,0.0011002+0.0022935i,0.0036598-0.0074094i,0.010058-0.002471i,0.0077338+0.0034368i,-0.0069762+0.0043861i,0.011315+0.0058175i,0.0072498-2.7064e-06i,0.0095204+0.00015151i,0.00014813+0.0012331i,0.0012465-0.0059274i,-0.00019007-0.0085951i,0.00096748+0.0025267i,-0.032317+0.013145i,-0.0031306-0.0083115i,-0.0025465-0.00013763i,0.0057147-0.0057922i,0.0009344+0.00063972i,-0.0080901-0.016272i,-0.00065737-0.0062284i,0.0038437+0.0017281i,0.0034211-0.00062897i,0.0018101-0.0075679i,-0.0090983+0.0027829i,-0.0031498+0.0021794i,-0.0043543-0.0014423i,-0.0046463-0.0027266i,-0.0073059-0.0018089i,-0.019779+0.02178i,-0.015237+0.016077i,-0.015753-0.015646i,-0.0050945+0.002229i,0.0078697+0.022279i,-0.0052371+0.014787i,0.0042324+0.00040769i
0.024992+0.040833i,0.010602+0.019355i,0.013579+0.02813i,0.0050346+0.020511i,0.0077576+0.0071772i,0.0042798-0.00021639i,0.015577+0.016869i,0.017326+0.0004121i,0.0099075-0.0065423i,-0.00023119+0.0034178i,0.0026679-0.0021733i,0.0031424-0.0051525i,-0.0020369+0.00012556i,0.0019424-0.0017791i,0.002095-0.00025774i,0.0065658-0.0015673i,0.008502-0.0059293i,0.0001563+0.00048365i,-0.0046132-0.00035019i,-0.00045509+0.00081376i,-0.00037724-0.00069967i,-0.0022405-0.0015198i,-0.0019779+0.00056314i,0.0022775+0.010037i,-0.0011923+0.0020899i,0.00029934+0.0017347i,0.00089638+0.0015017i,-0.0028531+0.0017688i,-0.00071207+0.00027055i,-0.00099721+0.00016959i,-0.00058147-0.0014549i,-0.001219-0.0017983i,-0.0003849+0.00037516i,0.00040034+0.0007086i,0.00071935-0.00066027i,-0.012414+0.0074029i,0.0015491+0.00061698i,0.00085216+0.0012374i,-0.00032451+0.0022677i,0.0012406-0.00083103i,-0.00028862-0.00017694i,-0.00084364-0.00025053i,-3.7774e-05+0.0012326i,-0.0004071+0.0020385i,0.018632+0.019545i,-0.027116+0.011248i,-0.011081+0.01781i,-0.024109+0.0098271i,-0.013787+0.036847i,-0.028359+0.011994i,0.0065395+0.0032776i,-0.0066703-0.010776i,-0.020557+0.0038523i,-0.015597+0.018157i,0.011792+0.02652i,-0.00055464+0.0023779i,-0.0015554-0.0017661i,-0.0088553-0.0079888i,0.010383+0.0066767i,0.011303+0.014051i,2.7286e-05+0.0021211i,-0.00055551-0.0057031i,0.0045114+0.0016829i,-0.00025207-0.0069818i,0.0069242-0.0061205i,0.0089475+0.00015637i,-0.0054314+0.0068443i,0.014263+8.3381e-05i,0.006962-0.0043605i,0.0082451-0.0048684i,0.0014036+0.0011281i,-0.00072969-0.0060212i,-0.0038565-0.0054852i,0.0030708+0.0014845i,-0.024328+0.026686i,-0.0050622-0.0071423i,-0.0012427+0.00093463i,0.00155-0.0074787i,0.0017996+0.0006205i,-0.014131-0.012152i,-0.0017505-0.0042244i,0.0040046-0.00054886i,0.0031879-0.0014102i,-0.00055215-0.0075987i,-0.0051651+0.0071272i,-0.0015504+0.0034376i,-0.0046715+0.0018217i,-0.0063369-0.0017389i,-0.0069699-0.00051412i,-0.015557+0.025282i,-0.0072+0.020585i,-0.021877-0.015005i,-0.0025133+0.0007381i,0.011058+0.01971i,-0.0029518+0.017475i,0.0028842-0.0029487i
