-0.0077643-0.039872i,-0.012942-0.042179i,0.00040455-0.045955i,-0.02772-0.027574i,-0.020192+0.014056i,-0.033004-0.030787i,-0.060139-0.059262i,-0.022287-0.072086i,-0.033013-0.051086i,0.0024441+0.014759i,-0.0066762+0.010688i,-0.014535+0.012878i,0.001556+0.01579i,-0.0034929-0.0035583i,0.00086128+0.0060662i,0.00046684+0.037438i,0.019058+0.059929i,0.00052248-0.00039955i,-0.0044297-0.0084396i,0.0079588+0.0046205i,0.0016166+0.00080766i,-0.00066856+0.0038323i,0.0001101-0.0012422i,-0.03589-0.0091651i,-0.0024043-0.0075726i,1.3285e-05+0.0044196i,0.0046438-0.00022832i,-0.00013932+0.00052426i,4.6711e-05-0.00088253i,-9.7448e-06-0.0025013i,-0.00098383-0.006174i,-0.0025019-0.0036134i,4.7587e-05-0.0076607i,0.0032879-0.0013909i,0.003342-0.002212i,-0.00059977+0.033003i,0.0059949-0.0039486i,0.0036188-0.0025784i,0.0050302-5.1365e-05i,-0.013165-0.0039373i,-0.00016556+8.4979e-05i,0.0094235-0.00077992i,0.0057391-0.0012282i,-0.0034428+0.0030717i,0.0035173+0.002953i,-0.0026075+0.0080349i,0.012079-0.087788i,-0.0072076-0.049627i,-0.025383-0.040233i,-0.020748-0.041274i,0.061971-0.017951i,0.026401-0.062279i,0.038697-0.045476i,0.028821-0.057002i,0.019121-0.015594i,0.0084022+0.0097077i,0.024498-0.032523i,-0.0077429-0.0045205i,0.0023593-0.0026422i,-0.0045849-0.006587i,0.00066278-0.03158i,-0.024011+0.031407i,0.0070699-0.01075i,-0.011232-0.0015286i,-0.0045092-0.00072027i,-0.0012232-0.013926i,-0.0097495+0.0041573i,0.0034235+0.0077362i,-0.010135+0.031668i,0.0066065+0.0072345i,-0.0055399-0.0014773i,-0.0019012-0.0023743i,-0.011686-0.0073964i,4.8666e-05-0.0038071i,-0.035095+0.0049658i,0.0032708-0.01276i,-0.0086131-0.0021363i,-0.0067573-0.0023719i,0.0065654+0.001345i,-0.010052+0.0016727i,0.0013773+0.00052178i,0.0058525+0.0086365i,0.0051391+0.00038329i,-0.0096224-0.010125i,0.0027005+0.0084212i,-0.01866+0.0064152i,0.006599+0.0022483i,-0.029812-0.008021i,-0.033163+0.0033283i,0.025065-0.080069i,0.012177-0.011266i,-0.043552-0.026837i,-0.023546-0.0032854i,0.018738+0.011762i,-0.026357+0.012233i,-0.011874-0.0083i
0.012783+0.0046509i,0.022314-0.03049i,-0.0018164-0.037257i,-0.0089843-0.0074142i,-0.020166-0.0044886i,-0.019551-0.011748i,-0.0051781-0.021383i,0.015327-0.027352i,-0.00076837-0.015025i,0.0024007-0.0049877i,-0.0030852-0.0012513i,-0.0010425+0.0006687i,-0.00088978-0.00054136i,-0.0010705-0.0012005i,-0.001428+0.0016094i,-0.0014506-0.0069905i,-0.00024742+0.0023568i,-0.00054545+0.0034189i,0.0010134+0.00046i,0.00067534-0.0010712i,0.0022011-0.00010484i,0.00033842+0.001584i,0.0019264-0.00087022i,0.0032032-0.0022018i,0.0010513-0.0015814i,0.001005+0.00032434i,0.00081804+0.0011568i,0.00059099-0.00038819i,0.00069225+0.00024976i,9.5141e-05-0.00034288i,-0.0017203-0.0013524i,-8.1464e-06-0.0019505i,-6.4114e-05-0.0015769i,-0.00034243-0.00027211i,-0.0003048-0.0027618i,0.00047798-0.005212i,0.0016966+0.00025941i,0.00022017-0.00047208i,0.00095015-0.00059253i,-0.0030939+0.00092662i,0.0010162-0.0013983i,0.00056305-0.00086184i,-0.0024644-0.0038808i,0.0040188-0.0023214i,0.01623+0.00161i,0.029879+0.007028i,0.041882-0.0098858i,0.020108-0.018109i,-0.00048628-0.0022611i,0.018102-0.025826i,0.027698-0.0090823i,0.022456-0.01289i,0.01213+0.00057921i,0.017473+0.016874i,-0.0036648-0.002058i,-0.0044984+0.0041381i,-0.0099234-0.0044621i,-0.0011225-0.003828i,0.002352+0.0021836i,0.005791+0.009377i,-0.0017599+0.001322i,0.0057541+0.0043406i,0.0013901+0.0034989i,0.0054424-0.00065683i,0.0021124-0.00048896i,-0.002291+0.00085417i,-0.0011641-0.010888i,-0.0025609+0.0028219i,-0.00018461-0.0079792i,-0.00028194+0.0034509i,-0.0031247+0.0010478i,-0.0008226-0.0002283i,0.0018528+0.0048315i,-0.0025097+0.00034234i,-0.0068937+0.0088983i,-0.0038733-0.0035251i,0.00033332+0.00083296i,-0.0010682+0.0013171i,0.0012131+0.0021938i,0.0030254-0.0091887i,-8.148e-05+0.0055775i,-0.0033814-0.00056075i,-0.0024091+0.00093454i,-0.0011496+0.0049279i,-0.0011768-0.0027535i,0.0016567-0.0021735i,0.00035638-0.004191i,0.0033547+0.0034005i,0.0029641-0.0013123i,0.025685-0.0023879i,-0.01874+0.0072i,-0.0047322+0.030481i,0.00024243+0.0070905i,0.0084764+0.0017017i,0.001534-0.0017444i,-0.0057369+0.011126i
0.012873+0.0024627i,0.016875-0.032739i,-0.0078702-0.035702i,-0.009982-0.0061501i,-0.020473-0.0010102i,-0.020726-0.0083713i,-0.0089639-0.019676i,0.010864-0.030026i,-0.0018811-0.015496i,0.0012176-0.0046843i,-0.002613+9.1045e-05i,-0.00065877+0.00098165i,-0.0007734+9.0095e-05i,-0.0012844-0.00045307i,-0.00045497+0.0016881i,-0.0028263-0.0056197i,0.00078087+0.0023629i,0.00090314+0.0031645i,0.0012139+0.00014221i,0.00011217-0.00098773i,0.0018365-0.00087734i,0.0006223+0.0013612i,0.0013177-0.0014393i,0.0016425-0.0032375i,-8.7353e-05-0.0020058i,0.00098051+5.1729e-05i,0.0013751+0.00081102i,0.00046075-0.00066925i,0.00071568-1.0363e-05i,-0.00026286-0.00018686i,-0.0021299-0.00061949i,-0.00068466-0.0017559i,-0.00067336-0.0012763i,-0.0001645-0.00016158i,-0.0010378-0.0021115i,-0.00062461-0.0051514i,0.0017554-0.00028358i,-7.8544e-05-0.00051206i,0.00068871-0.0011962i,-0.0029598+0.002041i,0.00044991-0.0015177i,0.00032989-0.00076952i,-0.002708-0.0026119i,0.0033854-0.0033748i,0.015798-0.0034051i,0.029973-0.00012603i,0.039332-0.016551i,0.01563-0.022806i,0.0042168-0.0031611i,0.012094-0.031164i,0.025992-0.014248i,0.019125-0.018501i,0.010585+0.0011986i,0.019953+0.0096747i,-0.0040801-0.0015053i,-0.0022016+0.0065803i,-0.012008+0.00057893i,-0.0024655-0.0027783i,0.0023619+0.0020878i,0.0071408+0.0070072i,-0.00062656+0.00053407i,0.0044275+0.0034755i,0.0020416+0.001845i,0.005046-0.0030191i,0.0017947-0.0020946i,-0.00034614+0.0020651i,-0.0061916-0.0092977i,-0.0012917+0.0044497i,-0.0039324-0.007745i,0.0010897+0.0033847i,-0.0031936+0.002373i,-0.00077247-0.00010761i,0.0052344+0.0015097i,-0.0024536+0.00047821i,-0.0013156+0.0084041i,-0.0056596-0.0013685i,0.00020738-0.0001145i,-0.0013122+0.0012586i,0.0015453+0.00092966i,-0.00095272-0.010535i,0.0021568+0.0040226i,-0.0029423-0.00024972i,-0.0021085+0.0014466i,0.0013707+0.0046009i,-0.0010438-0.0016117i,0.0010213-0.0018008i,-0.00072009-0.004106i,0.0028476+0.0033111i,0.0018529-0.0012875i,0.023208-0.0056317i,-0.020582+0.010627i,0.00041304+0.028138i,0.00061984+0.0043098i,0.0091605-0.00040431i,0.0020336-0.0020094i,-0.0029999+0.010408i
0.012524+0.00017523i,0.011556-0.034156i,-0.013264-0.033246i,-0.010491-0.0049224i,-0.020195+0.0026745i,-0.02134-0.0050064i,-0.012341-0.017837i,0.0055764-0.032113i,-0.0037195-0.016873i,0.00052049-0.0043485i,-0.001861+0.00098731i,-0.00015734+0.0012638i,-0.00023427+0.00051468i,-0.00098936+0.00018678i,0.00020123+0.0014878i,-0.003351-0.0042512i,0.0017287+0.0017497i,0.0019487+0.0025321i,0.0013218-2.7252e-05i,-0.00018691-0.00073188i,0.0012598-0.0014912i,0.0007993+0.0013673i,0.00067918-0.0014738i,0.00026672-0.0032531i,-0.00091061-0.0017283i,0.0009767-0.00015531i,0.0016204+0.00018843i,0.00031004-0.00081691i,0.00059176-0.00025108i,-0.00033441+0.00017233i,-0.0021627+0.00015042i,-0.0012051-0.0012322i,-0.00097245-0.00083721i,-4.4417e-05-0.00021482i,-0.0013884-0.0017849i,-0.0016137-0.0046566i,0.0017522-0.00098413i,-0.0002896-0.00032318i,-7.2627e-05-0.0013804i,-0.0023605+0.0031169i,4.5764e-05-0.00153i,0.0001416-0.00067086i,-0.0025814-0.0015659i,0.0022894-0.0039902i,0.013254-0.0073905i,0.027796-0.0067273i,0.035391-0.022573i,0.0096514-0.02533i,0.0068006-0.006901i,0.0049433-0.034089i,0.024108-0.019372i,0.015859-0.023579i,0.011948+0.0014111i,0.020608+0.0029219i,-0.0051291-0.00099059i,0.00096344+0.0072707i,-0.011208+0.006428i,-0.0033251-0.0015438i,0.0027161+0.0021822i,0.0077864+0.0054215i,-0.00066033-0.00027375i,0.0030425+0.0036042i,0.002304+0.0012891i,0.0032204-0.0049105i,0.00013642-0.0029199i,0.0013255+0.0014004i,-0.0084963-0.0049813i,0.0014587+0.0045659i,-0.0067091-0.0052368i,0.0021399+0.002226i,-0.0024187+0.0038092i,-0.00074253-0.00020483i,0.0049033-0.0028054i,-0.0024368+0.00099407i,0.0016259+0.00513i,-0.0057129+0.00093137i,-0.0004207-0.00082323i,-0.0014203+0.0017608i,0.0012133-0.00038899i,-0.0057398-0.0095314i,0.002703+0.0015502i,-0.0028418-0.00019348i,-0.0015454+0.0022737i,0.0031863+0.0032668i,-0.00070462-0.0016261i,0.0010363-0.0010606i,-0.0015511-0.0038437i,0.0023055+0.0039206i,0.0011285-0.00097738i,0.022162-0.0083497i,-0.020451+0.015498i,0.0040293+0.025113i,-0.00051387+0.0014039i,0.0083591-0.0033774i,0.001569-0.0014607i,-0.001534+0.0084166i
0.011536-0.0017601i,0.0064677-0.034991i,-0.018265-0.030171i,-0.010968-0.0041702i,-0.018944+0.005888i,-0.0214-0.0017899i,-0.015428-0.015413i,-0.00023906-0.033054i,-0.0068714-0.01789i,-1.4257e-05-0.0042114i,-0.00091111+0.0015128i,0.00061958+0.0011243i,0.00038494+0.0006639i,-0.00048497+0.00050426i,0.0008002+0.0011462i,-0.0033572-0.0031783i,0.0022943+0.0010458i,0.002785+0.0015108i,0.0014647-0.00055261i,-0.00023916-0.00048681i,0.00039733-0.0016617i,0.0013776+0.001278i,0.00025409-0.0014109i,-0.00055928-0.0029458i,-0.0014183-0.0012521i,0.00089871-0.00049987i,0.0015027-0.00046338i,0.00010891-0.00087762i,0.00042045-0.00018974i,-0.00029889+0.00035001i,-0.0020212+0.00088218i,-0.0013072-0.00058012i,-0.00089953-0.000398i,-9.2027e-05-0.00037684i,-0.0021565-0.0012068i,-0.002376-0.0038487i,0.0011855-0.0017032i,-0.00035509-7.5811e-05i,-0.00053929-0.00084129i,-0.0013957+0.0038862i,-0.00055915-0.0012959i,-4.4263e-05-0.00072253i,-0.0020839-0.00081501i,0.0013296-0.0039068i,0.0099583-0.009783i,0.024156-0.011573i,0.030425-0.027174i,0.0037638-0.025726i,0.0069852-0.010503i,-0.002771-0.034925i,0.021502-0.024974i,0.011205-0.028317i,0.014207-0.00036377i,0.019745-0.0043216i,-0.0065276+0.00040107i,0.0038014+0.0062982i,-0.0074303+0.010681i,-0.0037589-0.00041535i,0.0031057+0.0020535i,0.0087053+0.0036658i,-0.0010455-0.00040943i,0.0029034+0.0048217i,0.0030934+0.00029358i,0.00099903-0.0051749i,-0.0011558-0.0025073i,0.0020521+0.00018281i,-0.0086248-0.0012399i,0.0035948+0.0031802i,-0.0078833-0.0020759i,0.0020346+0.0011147i,-0.0007214+0.0048038i,-0.0010914-0.00024654i,0.0022751-0.0055646i,-0.0021272+0.0014714i,0.0019032+0.0018654i,-0.005029+0.0028917i,-0.0015-0.00090774i,-0.001131+0.0020113i,0.00015714-0.00093068i,-0.0087193-0.0064492i,0.0019355+4.4473e-06i,-0.0031004-0.0002203i,-0.00039892+0.0023695i,0.0041349+0.0014773i,-0.0009782-0.0012798i,0.0019388-0.00087439i,-0.0022008-0.0032408i,0.0035881+0.0052732i,0.0003624-0.00043576i,0.0201-0.011939i,-0.018937+0.020449i,0.0066523+0.022028i,-0.0035396-0.00030829i,0.0050741-0.0048842i,0.0022121-0.0014307i,-0.001859+0.0066752i
0.0106-0.0031458i,0.0013762-0.035449i,-0.022366-0.026129i,-0.011859-0.0034747i,-0.017634+0.0081663i,-0.021127+0.0015097i,-0.017741-0.012489i,-0.0059029-0.032621i,-0.010695-0.017687i,-0.00052742-0.0039931i,0.00015135+0.0012908i,0.0011695+0.0008462i,0.00096614+0.00063509i,-8.159e-06+0.00059803i,0.0010271+0.00058718i,-0.003194-0.0026009i,0.0031728+8.4516e-06i,0.0030113+0.00029713i,0.0010662-0.0012985i,-0.0001315-0.00027746i,-0.00024577-0.0015147i,0.0021043+0.00060646i,-1.7626e-05-0.0013923i,-0.00097623-0.0027385i,-0.0019032-0.000736i,0.00073672-0.00084163i,0.0011768-0.00086185i,-0.00012054-0.000642i,0.00040574-9.9479e-05i,-9.316e-05+0.0006199i,-0.0016351+0.0015539i,-0.0012392-0.00015351i,-0.0009228-0.00017722i,-0.00027752-0.00023451i,-0.0024049-0.0001126i,-0.002758-0.0029657i,0.00041152-0.0019211i,-0.0003624+0.00015404i,-0.00039892-0.00051984i,-0.00022091+0.0043231i,-0.00069986-0.00091846i,-0.00016782-0.00061605i,-0.0016615-0.00048593i,0.00078472-0.003883i,0.0072964-0.01096i,0.020716-0.014258i,0.025405-0.030463i,-0.0012264-0.024546i,0.005646-0.01362i,-0.010427-0.032914i,0.017234-0.030316i,0.0061417-0.031429i,0.015985-0.0032821i,0.015872-0.010436i,-0.0073886+0.002895i,0.005659+0.0042309i,-0.0028746+0.012556i,-0.0041262+0.00092062i,0.0036384+0.0019848i,0.0091174+0.0016307i,-0.0013111-0.00060099i,0.0037356+0.0060479i,0.0026724-0.0012012i,-0.000464-0.0045925i,-0.002144-0.0016978i,0.002029-0.00073635i,-0.0072822+0.0016296i,0.0047415+0.0010513i,-0.0074434+0.0013808i,0.0016363+0.00082125i,0.0013315+0.0045452i,-0.0011906+0.00010991i,-0.0010119-0.0064233i,-0.0017689+0.0012969i,0.00043818+0.00030489i,-0.0038332+0.0045985i,-0.0024209-3.5719e-05i,-0.0010619+0.0022627i,-0.00059473-0.000804i,-0.0099645-0.0030964i,0.00092227-0.0007073i,-0.0036801+0.00015324i,0.00050883+0.0018493i,0.0042663-0.00068516i,-0.00051881-0.0010232i,0.0027067-0.0015489i,-0.0028578-0.0028417i,0.0056597+0.0048838i,0.00033013+0.00052764i,0.017614-0.014499i,-0.015276+0.026345i,0.0084265+0.019033i,-0.0069834+0.0003299i,0.002104-0.0035392i,0.0020871-0.0020652i,-0.0026427+0.0058247i
0.00991-0.0044413i,-0.0038917-0.035672i,-0.025513-0.022251i,-0.012896-0.002199i,-0.016383+0.010824i,-0.019901+0.0046868i,-0.019484-0.0093479i,-0.011472-0.031842i,-0.014716-0.016362i,-0.00095216-0.0039815i,0.0007332+0.00068763i,0.0016946+0.00019635i,0.0016102+0.00036569i,0.00064812+0.00035356i,0.0010032+9.9466e-05i,-0.0032339-0.0022728i,0.0032602-0.0018585i,0.0025844-0.00065605i,0.00036823-0.0014606i,0.00015093-0.00025875i,-0.00080873-0.0011881i,0.0021844-0.00035815i,-0.00043625-0.0013208i,-0.0013641-0.0028132i,-0.0020512-0.00010171i,0.00037884-0.0010786i,0.00071718-0.0011916i,-0.00021355-0.00040921i,0.00056585-1.4623e-05i,0.00047229+0.00074552i,-0.0009818+0.0020727i,-0.0012161+0.00020484i,-0.00080737+7.575e-05i,-0.00019257-0.00012647i,-0.0018219+0.00058208i,-0.0029461-0.0021916i,-0.00022222-0.0018265i,-0.00013404+0.00039618i,-0.00036221-0.0005787i,0.0011377+0.0041725i,-0.00067115-0.00064838i,-0.00028962-0.00059601i,-0.0012885-0.00062041i,0.00023889-0.0040946i,0.0045267-0.01202i,0.018194-0.016519i,0.020261-0.032862i,-0.005318-0.022275i,0.0042614-0.015604i,-0.01695-0.028325i,0.011744-0.034792i,0.0014578-0.03435i,0.016968-0.0079867i,0.010325-0.014002i,-0.0067369+0.00625i,0.0064235+0.0016473i,0.0012477+0.012335i,-0.0039558+0.0023157i,0.0046814+0.0015139i,0.0089831-0.00076804i,-0.0019418-0.00083444i,0.0063553+0.0066127i,0.0015446-0.0013543i,-0.0015092-0.0038843i,-0.0025799-0.00052973i,0.0020469-0.0014865i,-0.0058499+0.0033496i,0.004866-0.0013448i,-0.005728+0.003867i,0.0022492+0.0012119i,0.0028008+0.0034238i,-0.001103+0.00017354i,-0.0043025-0.0057098i,-0.0019192+0.0013199i,-0.00064699+0.00064801i,-0.0018629+0.0055489i,-0.0024158+0.0012053i,-0.00087344+0.0030551i,-0.0011071-0.00048716i,-0.010285+1.0677e-05i,-0.00015069-0.00080924i,-0.0042165+0.0013697i,0.00066504+0.0013377i,0.0034723-0.0029095i,-0.00049509-0.0016917i,0.0030256-0.0028557i,-0.0036369-0.0020192i,0.0071732+0.003361i,0.00099694+0.0011482i,0.014975-0.016575i,-0.0082663+0.029848i,0.0097642+0.015665i,-0.0091846+0.0025924i,0.00090926-0.0010026i,0.0011932-0.0020024i,-0.0035707+0.0056213i
0.0090634-0.0059451i,-0.0098019-0.034928i,-0.028429-0.018006i,-0.013539-0.00064984i,-0.014087+0.013585i,-0.018188+0.00715i,-0.020629-0.0062272i,-0.017122-0.029655i,-0.018363-0.013854i,-0.0017437-0.0039639i,0.000831-1.9058e-05i,0.0015796-0.00071403i,0.0021608-0.00029062i,0.00069397-0.00052915i,0.00080671-0.00022009i,-0.0035109-0.0018928i,0.0023005-0.003412i,0.0021208-0.0013089i,-0.00030144-0.0013352i,0.00029633-0.00049022i,-0.0010877-0.0005655i,0.0017668-0.0011854i,-0.00077086-0.0010317i,-0.0022333-0.0028044i,-0.0020076+0.00038728i,-7.3413e-05-0.0011922i,0.00019688-0.0012524i,-8.3761e-05-0.00028104i,0.00080078-0.00011821i,0.00097169+0.00030491i,-0.0002103+0.0022683i,-0.00098343+0.00056338i,-0.00067839+0.00014541i,-0.00020082-0.00019801i,-0.0018672+0.0009491i,-0.0030778-0.0014979i,-0.00087296-0.0017955i,0.00023974+0.00038169i,-0.00038794-0.00055094i,0.002243+0.0033812i,-0.00060759-0.00051503i,-0.00040589-0.00056626i,-0.0013573-0.00067008i,-0.00061914-0.0042436i,0.0020441-0.012412i,0.015992-0.01871i,0.015029-0.03404i,-0.0077439-0.019204i,0.0029789-0.016975i,-0.020061-0.021358i,0.0048458-0.038746i,-0.0042212-0.037565i,0.015701-0.01335i,0.0051473-0.013984i,-0.0043933+0.0085665i,0.0057627-0.00090116i,0.0047963+0.01095i,-0.0035815+0.0035042i,0.0054442+1.5617e-05i,0.0082684-0.003084i,-0.003364-0.00015757i,0.0088715+0.0050201i,0.0015404-0.00088211i,-0.0021955-0.0029593i,-0.0021679+0.00077672i,0.0016077-0.002261i,-0.0041459+0.004694i,0.0040256-0.0036057i,-0.003189+0.0052844i,0.0037448+6.3812e-05i,0.0036922+0.00187i,-0.0013564+0.00048152i,-0.0069969-0.0028625i,-0.0017858+0.0017053i,-0.0010486+0.0018972i,0.00032952+0.0051824i,-0.0017161+0.0019891i,0.00035872+0.0032223i,-0.0016999+1.0834e-05i,-0.0098703+0.0033298i,-0.0011499-5.581e-05i,-0.003812+0.0031983i,0.0010411+0.00094687i,0.0015066-0.0043761i,-0.0011574-0.0017963i,0.0022904-0.0043579i,-0.0040943-0.00071572i,0.0076705+0.00093724i,0.001686+0.001149i,0.012887-0.017399i,-0.0012056+0.030445i,0.010207+0.012531i,-0.010037+0.0054795i,0.001581+0.0013011i,0.00089872-0.0011585i,-0.0041231+0.0065007i
0.0078498-0.007306i,-0.015755-0.032739i,-0.030545-0.013204i,-0.014097+0.0008898i,-0.010824+0.015099i,-0.016429+0.0092478i,-0.021504-0.0030628i,-0.02196-0.026295i,-0.020902-0.010003i,-0.0027339-0.0035707i,0.00043375-0.00053141i,0.0011078-0.0013551i,0.0023275-0.0012053i,5.0696e-05-0.00099549i,0.00062135-0.00026579i,-0.0038382-0.0012675i,0.00043926-0.004046i,0.0014536-0.001694i,-0.00073405-0.00092017i,8.7507e-05-0.00078253i,-0.0010024-7.2077e-05i,0.001012-0.0016377i,-0.00093438-0.00069257i,-0.0029999-0.0022897i,-0.0018718+0.0011661i,-0.00052311-0.0010812i,-0.00025111-0.0011617i,1.2964e-05-0.00032098i,0.00093873-0.0004378i,0.0010866-0.00026006i,0.00059824+0.0023344i,-0.00065783+0.00075572i,-0.00069996+0.00026973i,-0.00040691-0.00021734i,-0.0015778+0.0017535i,-0.0032952-0.0010066i,-0.001574-0.0013641i,0.00046401+8.1324e-05i,-0.00049761-0.000539i,0.0028525+0.0022032i,-0.00067008-0.00059188i,-0.00052524-0.00047663i,-0.0014768-0.00050172i,-0.0017042-0.0040314i,-0.0003608-0.012702i,0.013841-0.021091i,0.010469-0.034262i,-0.0085982-0.016438i,0.0020039-0.018408i,-0.019059-0.015224i,-0.0040361-0.040721i,-0.01189-0.039978i,0.01217-0.017461i,0.0024459-0.012204i,-0.0012572+0.0095698i,0.0040506-0.0023122i,0.0072349+0.0079692i,-0.0027691+0.005048i,0.0046872-0.0012241i,0.0070947-0.0052623i,-0.0039575+0.0016104i,0.010235+0.0021843i,0.0020818-0.0010483i,-0.0024199-0.0020338i,-0.0012242+0.0013172i,0.0010821-0.0026678i,-0.001474+0.0054953i,0.0019874-0.0052897i,-0.00064347+0.0054234i,0.0037079-0.0023703i,0.0038597+0.00016442i,-0.0011086+0.00097195i,-0.0071977+0.0010321i,-0.0013648+0.0018483i,-0.00010379+0.0034512i,0.0014209+0.0041175i,-0.00089703+0.0024472i,0.0012492+0.003179i,-0.0018423+0.00093345i,-0.0078486+0.006378i,-0.0010858+0.0011141i,-0.002334+0.0044891i,0.0011088+0.00023627i,-0.00079001-0.0049035i,-0.0014419-0.0013669i,0.00088419-0.0052896i,-0.0037546+0.00081017i,0.0068622-0.0012039i,0.0020897+0.00093935i,0.011883-0.01891i,0.0051895+0.029169i,0.0099758+0.0096726i,-0.009648+0.0078698i,0.00385+0.0025615i,0.0013398-0.0011373i,-0.0036533+0.0071242i
0.0064711-0.0085028i,-0.020999-0.029064i,-0.031833-0.0083062i,-0.014519+0.0030701i,-0.0075911+0.015483i,-0.014322+0.011099i,-0.021865+0.00033627i,-0.025914-0.022317i,-0.021758-0.0063325i,-0.0035269-0.0027821i,-4.8426e-05-0.00050207i,0.00030386-0.0015653i,0.0020893-0.002115i,-0.0005728-0.00081779i,0.00063062-0.0003536i,-0.0039576-0.00044184i,-0.0012759-0.0035113i,0.00086017-0.0017491i,-0.00095143-0.00047641i,-0.000283-0.00077613i,-0.00075562+0.00025344i,0.00037289-0.0017382i,-0.00099488-0.00036034i,-0.0036366-0.0015599i,-0.0014075+0.0016179i,-0.00087052-0.00079261i,-0.00060322-0.00085423i,2.8252e-05-0.00040956i,0.00081662-0.00073664i,0.0010986-0.00066841i,0.0015695+0.0018892i,-0.00034325+0.0008742i,-0.00078145+0.00052942i,-0.00053735-3.4068e-05i,-0.00066444+0.0022609i,-0.0037111-0.00039524i,-0.0019266-0.00065632i,0.0004508-0.00030244i,-0.00064813-0.00056375i,0.0027757+0.0010296i,-0.00091486-0.00055353i,-0.0007051-0.00024943i,-0.0014962-0.00019846i,-0.0025879-0.0034161i,-0.0030927-0.012788i,0.011078-0.023723i,0.0066895-0.034001i,-0.0087309-0.014601i,0.0011485-0.02083i,-0.016557-0.011686i,-0.013168-0.039118i,-0.020435-0.03983i,0.0079547-0.019748i,0.0016906-0.010879i,0.001553+0.0088188i,0.0022521-0.0028418i,0.0075554+0.0051601i,-0.001117+0.0062388i,0.0043217-0.0017976i,0.0047302-0.0075367i,-0.0036498+0.0032859i,0.010093-0.0014055i,0.0023583-0.0018074i,-0.0022119-0.0012274i,-0.0005325+0.0012927i,0.00045265-0.0030122i,0.0011613+0.0045548i,-0.00036877-0.0058015i,0.0015554+0.0046885i,0.0020596-0.0037488i,0.0032468-0.0014361i,-0.00070451+0.0011847i,-0.0053805+0.0038145i,-0.0013893+0.001823i,0.0020988+0.0037927i,0.0017793+0.0035369i,0.00025909+0.0023893i,0.0025451+0.0028198i,-0.0014032+0.0015773i,-0.0051757+0.007794i,-8.409e-05+0.001656i,-0.00023926+0.0050597i,0.00096983-0.00031883i,-0.0032401-0.004608i,-0.0017831-0.0013324i,-0.00087194-0.0056166i,-0.0027185+0.0015434i,0.0052061-0.0026151i,0.0025466+0.00055449i,0.01043-0.021443i,0.010953+0.026385i,0.00899+0.0074518i,-0.0087567+0.0096338i,0.0060313+0.0025579i,0.00095117-0.001244i,-0.0028711+0.0072616i
0.0047636-0.0094864i,-0.024937-0.024319i,-0.032385-0.0030758i,-0.014033+0.0053962i,-0.0047269+0.01498i,-0.011923+0.012229i,-0.021362+0.0036635i,-0.029302-0.017774i,-0.022053-0.0032719i,-0.0040356-0.0017005i,-0.00035786-0.0002156i,-0.00038798-0.0012889i,0.0014555-0.0029697i,-0.00098109-0.00044812i,0.0005419-0.00060752i,-0.0037196+0.00048899i,-0.0024015-0.0023122i,0.00042789-0.0017934i,-0.0010738+5.8238e-05i,-0.00053275-0.00055904i,-0.00048151+0.00040864i,-0.0003045-0.0018994i,-0.00099587+2.0077e-05i,-0.0041479-0.00041075i,-0.00083196+0.0019841i,-0.0011626-0.00039383i,-0.00068511-0.00054033i,-4.9311e-05-0.00054953i,0.00068892-0.0008606i,0.00088368-0.0012237i,0.0021167+0.0010029i,4.0616e-06+0.00084559i,-0.00052634+0.0010147i,-0.00057527+0.00019851i,0.00039178+0.0022181i,-0.0041796+0.00045175i,-0.0020088+1.5876e-05i,0.00024756-0.00055209i,-0.00099265-0.00040294i,0.0023519+0.0001032i,-0.001172-0.00035712i,-0.00085426+3.1159e-05i,-0.0012141+8.4362e-05i,-0.0032888-0.0025303i,-0.0061122-0.011936i,0.0074455-0.026191i,0.0034053-0.03408i,-0.0084518-0.013616i,-0.0010844-0.023464i,-0.013608-0.010186i,-0.020736-0.035226i,-0.029416-0.037721i,0.0037382-0.020256i,0.0019618-0.010664i,0.0029534+0.0070794i,0.00042757-0.0024936i,0.0074559+0.0033219i,0.0009389+0.006376i,0.0037727-0.0030859i,0.0011859-0.008247i,-0.0026576+0.0051115i,0.0083575-0.0046584i,0.0022625-0.0028988i,-0.0018782-0.00079443i,-0.00012211+0.0011649i,-0.0002019-0.0031536i,0.002521+0.0029604i,-0.0026958-0.0054381i,0.00335+0.0031661i,0.00083736-0.0042132i,0.0021944-0.0022889i,-0.00026297+0.00093799i,-0.0030417+0.0049089i,-0.0012398+0.002475i,0.0039016+0.0025499i,0.0025251+0.003127i,0.0010441+0.0014881i,0.0034241+0.001684i,-0.0010832+0.0018718i,-0.0027184+0.0085389i,0.00038444+0.0010081i,0.0018337+0.0042002i,0.00064358-0.00040756i,-0.0053122-0.0028595i,-0.0023674-0.00069527i,-0.0025421-0.0050723i,-0.0019588+0.0016929i,0.0035168-0.0029868i,0.0024961-0.00034108i,0.0079239-0.02411i,0.015889+0.02233i,0.0077605+0.0057308i,-0.0078217+0.01099i,0.0080384+0.0012382i,0.00062293-0.00094037i,-0.0022469+0.0067828i
