-0.023973-0.038917i,-0.012005-0.04861i,-0.017852-0.04477i,-0.030775-0.035304i,-0.030096-0.016133i,-0.050147-0.027418i,-0.057666-0.026225i,-0.045377-0.037304i,-0.029141-0.036979i,0.0068259+0.012865i,-0.0051807+0.015957i,-0.0045732+0.013934i,0.0097394+0.021405i,0.00053799+0.0043473i,0.0032518+0.0034424i,0.0060344+0.01824i,0.026419+0.038322i,-0.0025214-0.00075996i,-0.004436-0.0058354i,0.0079659+0.0014354i,-0.00010522-0.0010345i,-0.0010445+0.0014822i,0.00012991-0.00028598i,-0.030638-0.0038711i,-0.0016203-0.0057969i,0.0014747+0.0046217i,0.003784-0.00029252i,-0.00058486+0.00055921i,0.00045552-0.00046613i,-0.00011954-0.0024915i,-0.001647-0.0062538i,-0.0045199-0.0038543i,-0.0020119-0.0047367i,0.0021399-0.00068441i,0.0021385-0.0027136i,0.0026286+0.025607i,0.0019132-0.0027392i,0.0029058+0.00044039i,0.0063212+0.001461i,-0.010014-0.0041305i,-0.0032142+0.00094411i,0.006429+0.0010611i,0.0054172-4.1323e-06i,-0.0034237+0.0060114i,-0.00078326-0.0084156i,-0.011991+0.0186i,0.036276-0.090427i,0.01193-0.069955i,-0.016086-0.059518i,-0.016356-0.055148i,0.039508-0.045319i,0.017421-0.061919i,0.034408-0.055582i,0.029693-0.060146i,0.015796-0.013647i,0.0048417+0.016446i,0.016935-0.026098i,-0.011409+0.0055784i,-0.00019447+0.0056128i,-0.0050416-0.0016523i,-0.0023036-0.029629i,-0.024505+0.031682i,0.010267-0.01158i,-0.013053-0.002756i,2.4708e-06-0.0048101i,-0.0010174-0.016097i,-0.0068907+0.0044797i,0.0053165+0.0066632i,-0.0092574+0.030179i,0.0047157+0.0056842i,-0.0049853-0.00074508i,-0.0030388-0.00081502i,-0.011931-0.0078188i,-0.001095-0.0049338i,-0.030575+0.0063388i,7.054e-05-0.010134i,-0.0095594-0.0022743i,-0.0066275-0.0028801i,0.006806+0.0030395i,-0.008011+0.0012287i,3.1916e-05+0.00043707i,0.0054308+0.010651i,0.0042826+0.001806i,-0.0092329-0.0096672i,0.0029331+0.0074909i,-0.021384+0.0061366i,0.0080512+0.001003i,-0.029145-0.0043151i,-0.041934+0.0017257i,0.020133-0.09643i,-0.001814-0.013514i,-0.052448-0.021483i,-0.022247-0.001245i,0.017689+0.010986i,-0.024849+0.013337i,-0.01797-0.013089i
-0.031213+0.020356i,-0.051855+0.019872i,-0.03143+0.045596i,-0.030048+0.024637i,-0.027142+0.03942i,0.0058873+0.04576i,-0.0025982+0.023091i,-0.015517+0.03862i,-0.012885+0.022301i,-0.0032237-0.0054494i,-0.0042186-0.0028304i,-0.0020032-0.0033208i,-0.003834-0.0005671i,-0.0067177-0.0042584i,-0.0017309+0.0042005i,-0.0028242-0.0011526i,-0.011479-0.0039485i,-0.001963-0.0011651i,0.002621-0.0012799i,0.0019309-0.00062563i,0.002711-0.0034742i,0.0023096-0.0038895i,0.0015504-0.0024488i,-0.0093091-0.0081404i,-0.0020922+0.00050306i,-0.0041451+0.0015382i,-0.0018629-0.00011713i,-0.0033112-0.0012121i,-0.0012989-0.0016275i,0.00097493-0.0018156i,-0.0015692+0.0059965i,0.0013437+0.00016736i,0.0027521-2.5891e-05i,0.0010481+0.0013331i,-0.001535+0.0036016i,-0.00077013-0.0065961i,-0.001325+0.0010581i,0.00046217+5.302e-05i,-7.8076e-05+0.0036183i,0.0074977+0.0051876i,0.0013907-0.0027439i,0.00096574-0.0040956i,-0.0038214+0.00040619i,0.0011684+0.0030555i,-0.032216-0.0061552i,0.011974-0.078823i,-0.092863-0.029681i,-0.051496-0.035873i,-0.07522-0.050061i,-0.057971-0.0060839i,-0.094163+0.018469i,-0.059035+0.0105i,-0.050139-0.024347i,-0.032403-0.056433i,-0.026016-0.029821i,0.0027371+0.0053962i,-0.018696+0.010918i,0.0097044+0.0042764i,0.011062+0.0044945i,-0.00045306-0.0067149i,0.0079559+0.0014747i,-0.008631-0.0034491i,0.0027625+0.014721i,-0.001058+0.0091345i,0.00090111+0.0012161i,0.0059358+0.0031885i,0.0018904-0.00070722i,-0.00048381+0.015005i,0.00053194+0.01148i,0.0031078-0.0055427i,0.010424-0.0068503i,0.0024608+0.0024109i,-0.0081063-0.0071007i,-0.0020439-0.0031566i,0.018608-0.026832i,0.0063661+0.0040065i,0.0036716+0.0043027i,-0.0033662+0.0028471i,0.0025086-0.0034265i,0.021904+0.0019746i,0.0024184-0.0026365i,-0.00039189-0.0094696i,0.00060767-0.0023678i,0.01284+0.0034824i,0.0048531+0.00045681i,0.004799-0.0067888i,0.003391+0.0084457i,0.004315-9.41e-05i,0.025114+0.0044312i,-0.079917-0.03699i,-0.0055853+0.018698i,0.0070287-0.0038601i,-0.0039805+0.0028865i,-0.035798+0.012552i,-0.0072618+0.0065589i,-0.01693+0.014127i
-0.026243+0.024047i,-0.047965+0.025037i,-0.020348+0.044059i,-0.026197+0.028236i,-0.020612+0.040683i,0.014338+0.042903i,0.00053285+0.022765i,-0.0079557+0.039425i,-0.0080171+0.019186i,-0.0047704-0.0034437i,-0.0043933-0.00047711i,-0.0029506-0.0035079i,-0.0044585-0.00012768i,-0.0069316-0.0015065i,-0.00054402+0.005025i,-0.0049249+0.00078207i,-0.013361+0.0014544i,-0.0019502+0.00016663i,0.0031246-0.0019128i,0.002011-0.0014895i,0.0015793-0.0039786i,0.0015738-0.0039117i,0.0011835-0.0027363i,-0.01041-0.0050618i,-0.0013945+0.00085068i,-0.003618+0.0028172i,-0.0014279+0.00050837i,-0.0034522-7.8482e-05i,-0.0018388-0.0012515i,0.00041565-0.0016547i,0.00096781+0.0062665i,0.0010169-0.00013988i,0.0022946-0.0011125i,0.00092463+0.0010835i,-0.0011649+0.0031413i,-0.0012502-0.0056802i,-0.00074298+0.00089989i,-0.00027396-0.00027342i,0.0001183+0.0042022i,0.0076984+0.0010086i,0.00047272-0.002983i,-0.0013835-0.0041473i,-0.0039453+0.0014682i,0.0021245+0.002651i,-0.033085-0.005826i,-0.012022-0.089723i,-0.089605-0.010996i,-0.060879-0.034223i,-0.087284-0.03887i,-0.057292+0.0040304i,-0.084006+0.036441i,-0.055102+0.02338i,-0.041354-0.022197i,-0.039186-0.051548i,-0.034133-0.018774i,0.0038522+0.0022433i,-0.012179+0.019663i,0.0095911-0.00020659i,0.012188-0.0016706i,-0.0057454-0.0099902i,0.0038465+0.0010771i,-0.0085941+0.0029887i,0.0084135+0.012328i,0.0014949+0.010937i,0.00082924+0.0009896i,0.0073222+0.0031349i,0.0024715+0.00050421i,0.0057292+0.011223i,0.0054382+0.0067041i,-0.002229-0.0071142i,0.0034519-0.0079514i,0.0035362+0.0027192i,-0.01097-0.00025541i,-0.0025975-0.00018182i,0.0065185-0.02805i,0.0073999+0.0028802i,0.0072766+0.0026668i,-0.00043461+0.0028467i,-0.00035541-0.0013819i,0.018741-0.0075977i,0.0003442-0.0033238i,-0.0052751-0.0077869i,-0.0023624-0.0018229i,0.011308-0.0014518i,0.0044228+0.00079851i,0.0018098-0.0047792i,0.0061209+0.006824i,0.0031084-0.00080264i,0.024169-0.0035544i,-0.084961-0.027635i,0.002385+0.0080741i,0.0052079-0.006359i,-0.0019237+0.0020736i,-0.029482+0.022912i,-0.0054574+0.0077314i,-0.012719+0.016662i
-0.020408+0.026195i,-0.044847+0.030199i,-0.013608+0.039972i,-0.021847+0.030824i,-0.013267+0.042453i,0.021778+0.037924i,0.0039922+0.02234i,-0.0005815+0.038508i,-0.007581+0.016595i,-0.0055567-0.0012893i,-0.0033394+0.0013984i,-0.0059958-0.0029502i,-0.0047113+0.0017681i,-0.0069356+0.00066306i,0.0012904+0.0054517i,-0.0055797+0.0041576i,-0.01194+0.0076545i,-0.00057334+0.0010375i,0.0032705-0.0037067i,0.0019066-0.0026885i,0.0001338-0.0044825i,0.00065107-0.0046251i,0.00057335-0.0030835i,-0.011413-0.0023208i,-0.0011015+0.001192i,-0.002126+0.0042546i,-0.00095956+0.00044425i,-0.0028539+0.0016115i,-0.002083-0.00069883i,-0.00058184-0.0024773i,0.0033939+0.0050103i,0.00073314-0.0003077i,0.0016034-0.0015634i,0.0012718+0.0005844i,-0.00012126+0.0040636i,-0.0011756-0.0054272i,-0.00099862+0.00060956i,-0.00061944-0.00017401i,0.0033374+0.0029956i,0.0060085-0.0014249i,-0.00034139-0.0027463i,-0.0016618-0.0023699i,-0.004166+0.002601i,0.0026805+0.0010421i,-0.035687-0.0033007i,-0.041539-0.089058i,-0.079479+0.0024056i,-0.070735-0.026864i,-0.094688-0.023564i,-0.052876+0.012407i,-0.068531+0.048458i,-0.040467+0.033909i,-0.042612-0.024984i,-0.04544-0.048061i,-0.035936-0.0060872i,0.0040244-0.0007831i,-0.002393+0.021877i,0.0085158-0.0031528i,0.0080142-0.0073694i,-0.015082-0.007625i,0.0031353+0.00037564i,-0.0043511+0.0061335i,0.011462+0.0070399i,0.0044712+0.011486i,-8.5507e-05+0.0016374i,0.0078062-0.00089013i,0.0046962-0.0014536i,0.00745+0.0062446i,0.0051391+0.0023769i,-0.0074478-0.0034317i,0.00089439-0.0062156i,0.0054837+0.0015018i,-0.0070735+0.0089435i,-0.0010176+0.0014602i,-0.0027005-0.025195i,0.0091001-0.0003725i,0.0070242-0.00061771i,0.00035712+0.0021661i,0.0008052+0.00056236i,0.01194-0.012631i,-0.0023614-0.0004884i,-0.0084362-0.0041596i,-0.0033123+0.0013319i,0.0072011-0.0045552i,0.0074726-0.00099022i,0.0029915-0.0046674i,0.0093208+0.0035773i,0.0042587-0.0017797i,0.02084-0.010624i,-0.088799-0.014105i,-0.00070951-0.0018963i,0.0051323-0.0082756i,-0.00046073-6.5386e-05i,-0.019856+0.026964i,-0.0043342+0.0031933i,-0.0072171+0.013374i
-0.014863+0.026055i,-0.040532+0.03643i,-0.010186+0.036567i,-0.016866+0.033608i,-0.0049399+0.041383i,0.027815+0.031658i,0.0081806+0.021431i,0.0059511+0.036064i,-0.0074828+0.016798i,-0.0053799+0.0011488i,-0.0024136+0.0015059i,-0.0078859+0.00079715i,-0.0042429+0.0034289i,-0.0067846+0.0030935i,0.002962+0.0048516i,-0.0041363+0.0076139i,-0.0072285+0.012388i,0.00029973+0.00048743i,0.001625-0.0047212i,0.00037462-0.0040597i,-0.0013583-0.0040902i,-0.00058729-0.0046412i,-0.0002188-0.0034846i,-0.011334+0.0012151i,-0.00049088+0.0008771i,0.00025463+0.0035916i,-0.0010378+0.00019264i,-0.0015324+0.0019812i,-0.0023357+0.00016879i,-0.002074-0.0016994i,0.0046522+0.0030027i,0.00047788-0.00034029i,0.00081554-0.0019628i,0.0013332+0.00014228i,0.00193+0.0035125i,-0.0020106-0.0067078i,-0.00090058+0.001122i,-0.0010326+0.00022924i,0.0030478-0.00042841i,0.0043426-0.0024455i,-0.0008352-0.0024542i,-0.0012184-0.0020376i,-0.0036392+0.0042264i,0.00031782-0.001365i,-0.03826+0.0015006i,-0.066784-0.072885i,-0.069258+0.0079121i,-0.078513-0.015348i,-0.098927-0.0069353i,-0.047096+0.017959i,-0.054157+0.05409i,-0.025691+0.033069i,-0.046836-0.020722i,-0.052337-0.040913i,-0.033388+0.0030259i,0.0022061-0.0031968i,0.0060788+0.019872i,0.0070244-0.0059409i,0.0023008-0.0087351i,-0.019954+0.0017395i,0.00019186+0.0011495i,-0.00021147+0.0056402i,0.010752+0.0013023i,0.0091402+0.011139i,0.00039282+0.0029495i,0.0046443-0.0025592i,0.0043997-0.0052892i,0.006262+0.0016563i,0.0024786+0.00051772i,-0.0074054+0.00068199i,-0.0013048-0.0051385i,0.0057265-0.00045616i,0.0024438+0.010393i,0.00024973+0.00090696i,-0.0081253-0.020049i,0.0080437-0.0034201i,0.0061903-0.003039i,0.0016987+0.0029299i,0.0013345+6.0674e-05i,0.0062682-0.013051i,-0.00035366+0.0018733i,-0.0095782+0.00058489i,-0.0013181+0.0037631i,0.0043219-0.0041638i,0.0069221-0.0051468i,0.00070348-0.0052266i,0.0090969-0.0020176i,0.0032048-0.0048852i,0.016245-0.016567i,-0.086262+0.0010223i,-0.0076714-0.0052914i,0.0031113-0.013006i,-0.00039859-0.0030327i,-0.01291+0.026608i,-0.0085128+0.0019277i,-0.0072141+0.011275i
-0.010785+0.025442i,-0.035137+0.041768i,-0.00873+0.035198i,-0.010781+0.035337i,0.0018584+0.038335i,0.031828+0.02465i,0.012598+0.019108i,0.011587+0.032877i,-0.0059755+0.018504i,-0.0040651+0.0029523i,-0.0025056+0.0021787i,-0.0070255+0.0044513i,-0.0032791+0.0047433i,-0.005139+0.0056936i,0.0043932+0.0038094i,-0.0010516+0.0097027i,-0.0014494+0.014281i,0.00058618+8.5712e-05i,0.00048081-0.0046803i,-0.0016222-0.0037653i,-0.0027566-0.0033308i,-0.0018774-0.0042275i,-0.0014987-0.0033552i,-0.0092176+0.0039854i,-0.00081832+0.00032971i,0.00051531+0.0020172i,-0.0012226+0.00025865i,-0.00070928+0.0018476i,-0.0020176+0.0011155i,-0.0019759-0.00024394i,0.0047785+0.00096089i,0.00039272-0.00049994i,-0.00018505-0.0018523i,0.0011638-0.00033004i,0.0026364+0.0020049i,-0.0043424-0.0070967i,-0.00061074+0.0015199i,-0.001017+0.0011391i,0.00093929-0.0010873i,0.0031033-0.0024633i,-0.0013789-0.0021289i,-0.0013773-0.0019191i,-0.0017629+0.0054423i,-0.0024011+0.00066739i,-0.039111+0.0083133i,-0.076797-0.048854i,-0.063435+0.0091881i,-0.083047-0.0012088i,-0.099884+0.011687i,-0.042823+0.020871i,-0.040344+0.056832i,-0.015999+0.029445i,-0.048008-0.015362i,-0.056032-0.033298i,-0.030022+0.010712i,0.00020758-0.0043981i,0.014602+0.014333i,0.0048166-0.0075174i,-0.0027885-0.0071592i,-0.018431+0.010294i,-0.00031309+0.0033616i,0.0026257+0.0055765i,0.0067288-0.0011721i,0.01367+0.0076692i,0.0015866+0.0033757i,0.0027264-0.0016218i,0.0015881-0.0074504i,0.002931+0.00088753i,0.00045782+0.0015673i,-0.0067179+0.0049496i,-0.003031-0.0025458i,0.0051612-0.0024211i,0.0072252+0.0057436i,0.00061742+0.00070591i,-0.01078-0.01762i,0.0059546-0.0059344i,0.0043221-0.00506i,0.0045424+0.0021443i,0.0017133-0.00018631i,0.0027889-0.01186i,0.0016553+0.001416i,-0.0073403+0.0057242i,0.0016194+0.0037403i,0.0035277-0.0033288i,0.0034579-0.0090685i,0.00018791-0.0046944i,0.0055159-0.0054151i,7.1228e-05-0.0061408i,0.0084671-0.02177i,-0.080085+0.010784i,-0.015261-0.0017741i,-0.0013689-0.015469i,-0.0016026-0.0066018i,-0.0078127+0.026064i,-0.012323+0.0049886i,-0.0065958+0.011775i
-0.0075906+0.024822i,-0.028984+0.046493i,-0.0073277+0.036436i,-0.0046639+0.034965i,0.0061785+0.034206i,0.034648+0.017892i,0.01665+0.015353i,0.016336+0.02912i,-0.0032706+0.019064i,-0.0025333+0.0032943i,-0.0026508+0.0035358i,-0.0049634+0.0069558i,-0.0018452+0.0061378i,-0.0026832+0.0066848i,0.0050758+0.0022993i,0.0024133+0.010067i,0.0044965+0.013429i,0.00078717-8.1009e-05i,-0.0010659-0.0048821i,-0.002915-0.0027658i,-0.0032452-0.0018109i,-0.0027281-0.0033743i,-0.0023904-0.0025267i,-0.0076458+0.0048624i,-0.0013001+0.00073033i,0.00012984+0.0016919i,-0.0013815+0.00068529i,-4.8335e-05+0.0014508i,-0.0012518+0.0016751i,-0.0015625+0.00045924i,0.0044552-0.00067042i,0.00013094-0.00060462i,-0.00069329-0.0014124i,0.00083902-0.00087407i,0.0026456+0.001267i,-0.0069542-0.0063307i,-0.00035286+0.0014753i,-0.00022901+0.0016607i,0.00024493-0.00098365i,0.0024946-0.00218i,-0.0017551-0.0014412i,-0.0019547-0.0015986i,0.00028654+0.0054077i,-0.0024135+0.0039245i,-0.037423+0.015987i,-0.074921-0.031647i,-0.060983+0.011636i,-0.082959+0.015918i,-0.094059+0.032223i,-0.041166+0.023835i,-0.028813+0.055884i,-0.0083747+0.024905i,-0.04711-0.0096969i,-0.059774-0.026128i,-0.024978+0.01583i,-0.0032295-0.0044724i,0.01779+0.0023159i,0.002824-0.0091477i,-0.0058634-0.0034974i,-0.012621+0.016976i,0.0010484+0.0039161i,0.0067266+0.0033609i,0.0050798+0.00031885i,0.016945+0.00067709i,0.0028237+0.0035483i,0.0020847-0.00090106i,-0.0030478-0.0088827i,0.0013836+0.0028593i,0.0008254+0.0033666i,-0.0025442+0.0088768i,-0.0019134-7.5834e-05i,0.0037222-0.0033332i,0.0081992+0.0012599i,0.0015377-8.799e-05i,-0.016173-0.016116i,0.0029792-0.0069944i,0.0014215-0.0059413i,0.0043483-0.000445i,0.0017284-3.998e-05i,0.0013796-0.010045i,0.0023218+0.00021778i,-0.0029723+0.0086536i,0.0027761+0.0018721i,0.0025599-0.0037734i,-0.0021971-0.0098529i,-0.0007428-0.0057022i,0.002142-0.0056052i,-0.0020833-0.0061114i,-0.001736-0.022168i,-0.076131+0.019048i,-0.014398+0.0082926i,-0.005981-0.016233i,-0.0051869-0.008052i,-0.0045117+0.02514i,-0.011914+0.01016i,-0.0029679+0.011234i
-0.0043513+0.024414i,-0.021853+0.050838i,-0.003655+0.038908i,0.00035288+0.033669i,0.0085006+0.031562i,0.036294+0.010846i,0.019308+0.010686i,0.02026+0.025036i,-0.00021193+0.01972i,-0.0019507+0.0036087i,-0.0014492+0.0056051i,-0.0018728+0.0086253i,0.00014225+0.0068099i,-0.0004205+0.0065287i,0.0051657+0.00085636i,0.005613+0.009081i,0.0089846+0.010177i,0.0010448-0.00017766i,-0.0027008-0.0042181i,-0.0035662-0.0011982i,-0.0030084-0.00061594i,-0.0035292-0.0025355i,-0.0028209-0.0015112i,-0.0070887+0.0065615i,-0.0012568+0.0014959i,0.00018118+0.0019965i,-0.001166+0.0014021i,-3.7229e-05+0.00092732i,-0.00063232+0.0016398i,-0.0011246+0.00073507i,0.0036373-0.0020753i,0.00012838-0.00033593i,-0.00079506-0.0012234i,0.00033945-0.0010896i,0.0029237-0.00012022i,-0.0092206-0.0046039i,0.00017442+0.0016317i,0.00043869+0.0013766i,-0.00070255-0.001053i,0.0021709-0.0021828i,-0.0017806-0.00075199i,-0.0019111-0.00087726i,0.0017689+0.0043615i,-0.00092908+0.0054987i,-0.032912+0.022292i,-0.073891-0.024519i,-0.060107+0.015733i,-0.07607+0.03101i,-0.082491+0.049412i,-0.038578+0.029721i,-0.019353+0.055131i,-0.0041773+0.019503i,-0.046044-0.0055275i,-0.062489-0.016936i,-0.020409+0.01965i,-0.0043645-0.0041999i,0.011189-0.0079132i,-0.00058238-0.010827i,-0.0064893-8.56e-05i,-0.0056405+0.018459i,0.0014673+0.0030536i,0.007942-0.0018203i,0.0061777-1.5057e-05i,0.014996-0.0053533i,0.0051458+0.0028207i,0.0020863+0.00066985i,-0.0077089-0.0039871i,0.0026253+0.0045411i,0.0023922+0.0045968i,0.0027026+0.008944i,-0.0011885+0.00019718i,0.0026353-0.0038843i,0.0080922-0.0041698i,0.00032703-0.001025i,-0.02195-0.010129i,0.00056707-0.0066482i,-0.00098188-0.0043769i,0.0045902-0.00010353i,0.0017734-0.0003265i,0.00089489-0.010972i,0.0022159-0.0010781i,0.0012964+0.0072796i,0.0027958+0.0013183i,0.0020596-0.0031567i,-0.0058192-0.006222i,-0.0041104-0.0056511i,-0.00059421-0.0048578i,-0.004164-0.0056697i,-0.008839-0.017965i,-0.070617+0.027908i,-0.0089377+0.0077213i,-0.0069159-0.015459i,-0.0078444-0.007788i,4.6797e-05+0.023313i,-0.010462+0.012448i,-0.0018777+0.0091131i
-0.0013516+0.023614i,-0.013403+0.054103i,0.0020814+0.041314i,0.0047628+0.032419i,0.010715+0.030098i,0.036471+0.0040427i,0.02097+0.0056313i,0.023509+0.020753i,0.0036584+0.019473i,-0.0011107+0.0041892i,0.0013298+0.0064016i,0.001632+0.0084006i,0.0021309+0.0067277i,0.0010357+0.0061846i,0.0050467-0.00030778i,0.0082365+0.0066822i,0.011573+0.0061932i,0.001334-0.0010769i,-0.0037687-0.0031447i,-0.0032649+0.00054592i,-0.0025191+0.00023617i,-0.0039925-0.0010726i,-0.0028076-0.0007177i,-0.0042753+0.0086324i,-0.00075433+0.0022248i,0.00098961+0.002108i,-0.00057827+0.0019468i,-0.00044223+0.00093398i,-0.00010577+0.0016883i,-0.00072111+0.0010545i,0.0021652-0.0029228i,0.00047209-0.00063945i,-0.0013137-0.0010195i,-0.00014683-0.001104i,0.0021261-0.0012834i,-0.010808-0.0016358i,0.00059323+0.0014703i,0.00076504+0.0011997i,-0.0015147-0.00057904i,0.0019766-0.0023555i,-0.0014763-0.0004103i,-0.0017555-0.00054739i,0.0023661+0.002988i,0.00087872+0.0064742i,-0.028171+0.026011i,-0.078821-0.01797i,-0.059029+0.021448i,-0.06747+0.042453i,-0.066918+0.060905i,-0.034649+0.034895i,-0.0098903+0.052997i,-0.0018241+0.015764i,-0.04555-0.001382i,-0.062467-0.0065699i,-0.015317+0.022572i,-0.0058149-0.0031123i,0.0031866-0.0094273i,-0.004546-0.010836i,-0.0051291+0.0039362i,0.00028824+0.016813i,0.00083178+0.0022515i,0.005515-0.0063533i,0.0055394-0.0014389i,0.011344-0.010727i,0.0066096+0.00048495i,0.0034958+0.0010794i,-0.0082077-0.0002929i,0.0047327+0.0053016i,0.0047365+0.0049455i,0.0071092+0.0064183i,-0.00080054+0.0011025i,0.0021641-0.0041659i,0.004911-0.0079153i,-0.00034742+0.00037189i,-0.024916-0.0015412i,-0.00084299-0.0060448i,-0.0018507-0.0025209i,0.0052099-0.00085186i,0.0018217-0.00055707i,-0.0015864-0.012681i,0.00098151-0.0014838i,0.0042933+0.0060542i,0.0034986+0.00030428i,0.0030803-0.0033178i,-0.0074808-0.0034365i,-0.0070751-0.0023076i,-0.0032994-0.0033915i,-0.0056569-0.0049845i,-0.012767-0.012782i,-0.064526+0.03492i,-0.0081439+0.00648i,-0.0081267-0.01815i,-0.010106-0.0064836i,0.001598+0.021578i,-0.0097041+0.014369i,-0.00083074+0.008227i
0.0019595+0.022878i,-0.0036587+0.055418i,0.010094+0.041763i,0.008794+0.03094i,0.014077+0.029816i,0.035744-0.002315i,0.021171+6.7685e-05i,0.026345+0.015981i,0.0074092+0.017803i,-0.00026422+0.0044039i,0.0036064+0.0050901i,0.0039385+0.0062818i,0.0040046+0.0061408i,0.0027264+0.0057723i,0.0046997-0.0015026i,0.0092215+0.0035355i,0.01228+0.0016511i,0.00030992-0.0018908i,-0.0046663-0.0015206i,-0.002057+0.0015593i,-0.0016103+0.00052695i,-0.0035721+0.0001155i,-0.0027257+3.527e-05i,-0.0010615+0.0088694i,0.00018644+0.0025102i,0.0016758+0.00155i,0.00034494+0.0021481i,-0.00028805+0.0015268i,0.00058888+0.0013638i,-0.00020555+0.00095926i,0.00076202-0.0029963i,1.4629e-06-0.001017i,-0.0017569-0.00030044i,-0.00062286-0.0010454i,0.0011462-0.0018181i,-0.010771+0.0020282i,0.00088102+0.0011897i,0.0011916+0.00083892i,-0.0019621+0.00023582i,0.0016268-0.0027285i,-0.0014683-0.00030235i,-0.0015788-0.00033607i,0.002256+0.0020756i,0.0029503+0.0066909i,-0.023747+0.029181i,-0.08699-0.004584i,-0.054951+0.027202i,-0.056462+0.050655i,-0.051754+0.068259i,-0.029698+0.041385i,-0.00092719+0.048925i,0.0026599+0.012114i,-0.044243+0.0041182i,-0.059704+0.0036917i,-0.010523+0.024798i,-0.0073378-0.0019763i,-0.0024635-0.0088162i,-0.0087179-0.0092764i,-0.00127+0.0053191i,0.003098+0.013547i,-0.00044038+0.0024657i,0.0024657-0.0090117i,0.0055672-0.0014219i,0.0046188-0.013616i,0.0068055-0.002889i,0.0047764+6.4037e-05i,-0.0080516+0.0040198i,0.0080534+0.0045776i,0.008176+0.0028418i,0.0091861+0.0019693i,0.00053786+0.0017985i,0.0012476-0.0045123i,-0.00076307-0.0086832i,0.0009353+0.0019712i,-0.024342+0.0078909i,-0.0021741-0.0055539i,-0.0013585-0.0004987i,0.0054912-0.0041328i,0.0018727-0.00071711i,-0.0068305-0.012914i,-0.00010776-0.0012904i,0.0061615+0.0031573i,0.0035489-0.00044953i,0.0025561-0.0044002i,-0.0074347+0.0012732i,-0.0068499+0.0021154i,-0.0046242-0.0010629i,-0.0077183-0.0042259i,-0.014792-0.0077572i,-0.05926+0.04121i,-0.0082218+0.0090992i,-0.012595-0.02178i,-0.0096967-0.0046017i,0.0042993+0.021163i,-0.0091163+0.017816i,0.001139+0.006265i
0.0052998+0.021289i,0.0058317+0.054345i,0.017975+0.038993i,0.013022+0.029193i,0.018786+0.028753i,0.034299-0.008235i,0.019791-0.005121i,0.02812+0.010743i,0.010219+0.01523i,0.00049412+0.0047356i,0.0043506+0.0036229i,0.0044497+0.0044225i,0.0056447+0.0046448i,0.0041092+0.0045987i,0.0039576-0.0025572i,0.0087979+0.00076866i,0.011257-0.0021205i,-0.00053337-0.0017038i,-0.0045227+0.00018837i,-0.00082807+0.0016627i,-0.00089444+0.00025138i,-0.0029918+0.00077802i,-0.0022429+0.00063488i,0.001515+0.0084584i,0.0012428+0.0021006i,0.001997+0.00099301i,0.0011684+0.0017901i,0.00037977+0.0016889i,0.00090893+0.00068882i,-0.0001324+0.00088355i,-0.00039704-0.0025273i,-0.00069077-0.00091615i,-0.0015356+0.00046789i,-0.001121-0.00061665i,0.00036215-0.0020396i,-0.0095084+0.0051866i,0.0011427+0.00076436i,0.0014136+0.00015106i,-0.0018538+0.0012781i,0.00098411-0.0034161i,-0.0014454+3.5994e-05i,-0.001519-0.00039172i,0.0020131+0.0016309i,0.0049267+0.0059194i,-0.018834+0.031776i,-0.088643+0.015897i,-0.052414+0.031224i,-0.046224+0.055385i,-0.034742+0.073109i,-0.021331+0.047721i,0.0053203+0.042759i,0.0048258+0.0045844i,-0.040375+0.0086765i,-0.053786+0.013678i,-0.0034626+0.025846i,-0.0086287+0.00036145i,-0.0078799-0.0059176i,-0.011677-0.0062528i,0.0018528+0.0037267i,0.004331+0.011818i,-0.0024457+0.0040165i,-0.0017638-0.011438i,0.0063967-0.0032482i,-0.0017351-0.012113i,0.0045079-0.0052418i,0.0052681-0.0021853i,-0.0060009+0.0072074i,0.010753+0.00070736i,0.0089085-0.0023606i,0.0083974-0.0033523i,0.0026802+0.0011004i,0.00012555-0.0046039i,-0.0043701-0.0051314i,0.0029676+0.0012107i,-0.019911+0.018005i,-0.0035773-0.0045386i,0.00023202+0.0005466i,0.0024885-0.0060688i,0.0018444-0.00089192i,-0.012257-0.0096109i,-0.00010141-0.00012224i,0.0066566-6.5021e-05i,0.0030636-0.0012905i,0.0014945-0.0046785i,-0.0048252+0.0047639i,-0.0044816+0.0053707i,-0.004634+0.0021083i,-0.010147-0.0023071i,-0.014728-0.003613i,-0.052173+0.04988i,-0.0024345+0.011455i,-0.020005-0.021365i,-0.0088489-0.0046692i,0.0061399+0.019988i,-0.005562+0.0215i,0.0017759+0.0025775i
