-0.022667-0.019515i,-0.032006-0.034306i,-0.022455-0.019939i,-0.032198-0.020079i,-0.024304+0.0038218i,-0.029034-0.018123i,-0.055365-0.047971i,-0.040367-0.04484i,-0.026916-0.015019i,0.0048774+0.0056514i,-0.0034872+0.0064534i,-0.011162+0.011527i,0.0038852+0.0070924i,-0.003812-0.0026194i,0.0028827+0.0018999i,0.0017401+0.028625i,0.0087922+0.022076i,-0.00017118+0.00019897i,-0.0028693-0.0026057i,0.0083025+0.0039577i,0.0017518+0.00054155i,-0.00054619+0.0021657i,-0.00063464+0.00029699i,-0.029825-0.0035691i,-0.003444-0.0046361i,-4.8766e-05+0.002887i,0.0041132-0.0014439i,0.00075338-0.00018928i,-0.0006809-0.00049888i,-0.0010851-0.001954i,-0.0023606-0.000501i,-0.0038226-0.0043867i,-0.002835-0.0058402i,0.00050974-0.0012175i,0.00044955-0.0029788i,-0.0042693+0.02453i,0.0017496-0.003283i,0.0026074-0.0038389i,0.0040667-0.0023581i,-0.0069372-0.0022269i,0.00049298+0.0013045i,0.0077558-0.0018935i,-0.0021761+0.00058988i,-0.0032319+0.0010093i,-0.0092622-0.0038041i,-0.018444+0.021436i,-0.0083204-0.086363i,-0.0023549-0.061161i,-0.020937-0.053924i,-0.010998-0.046459i,0.052973-0.027328i,0.023882-0.067236i,0.040373-0.05456i,0.018863-0.039807i,0.025938-0.019571i,0.012215+0.012119i,0.025672-0.028124i,-0.0115-0.0034607i,-0.0015717-0.00065909i,-0.0086565-0.0017342i,-0.0050828-0.029866i,-0.021389+0.026252i,0.0071571-0.0095598i,-0.010575-0.0033005i,-0.0027052-0.0019075i,-0.00057508-0.01462i,-0.0083257+0.0050059i,0.0062249+0.010773i,-0.0095543+0.028809i,0.0061398+0.0071817i,-0.0034919-0.0014882i,-0.0022746-0.0014519i,-0.012729-0.0062437i,0.00058471-0.0044473i,-0.030241+0.0031499i,0.0036569-0.008527i,-0.0073767-0.0022673i,-0.0052332-0.0029299i,0.0068089+0.0018931i,-0.010489+0.00068412i,0.0024218-0.00043886i,0.0062267+0.0081332i,0.0053579+0.00093084i,-0.0075314-0.010523i,0.0029105+0.0080039i,-0.019961+0.0083301i,0.0030688+0.0057741i,-0.021192-0.0088441i,-0.027117-0.0050793i,0.0092487-0.061094i,0.018715-0.015208i,-0.050464-0.028359i,-0.022062+0.0014176i,0.019278+0.010403i,-0.026448+0.011108i,-0.012199-0.0077952i
-0.026839-0.015219i,-0.036337-0.024434i,-0.024367-0.017532i,-0.035386-0.0158i,-0.019976+0.0047872i,-0.033115-0.01137i,-0.061683-0.036028i,-0.04676-0.037647i,-0.023855-0.011345i,0.0039255+0.004559i,-0.0043728+0.0053523i,-0.0045519+0.015537i,0.0066087+0.0032903i,-0.0068615+0.00064489i,0.0032805+0.00036288i,0.0086076+0.023707i,0.01641+0.011219i,0.0012021+0.0012611i,-0.0033116+0.00036133i,0.008158-0.00056191i,0.0011683+0.0008741i,-0.00044325+0.0023713i,-0.00052033+0.00072101i,-0.019026+0.011377i,-0.0049251-0.0024452i,0.0022335+0.0013086i,0.0022537-0.00039992i,0.0012387+0.00050544i,0.00027512-0.00045014i,-0.0021782-0.0015737i,-0.0013169+0.00031612i,-0.0046976-0.0030794i,-0.0040227-0.00449i,2.863e-05-0.0015251i,-0.00012877-0.0015229i,0.0022542+0.023831i,0.00096322-0.0039429i,6.1796e-05-0.0041466i,0.0043777-0.0040283i,-0.004426-0.0013334i,0.00098442+0.0015248i,0.0086972-0.0022605i,-0.0019649+0.001963i,-0.0050673+0.0031185i,-0.0074468-0.0031887i,-0.0040585+0.027759i,-0.024563-0.084022i,-0.018673-0.064852i,-0.017961-0.045718i,-0.013316-0.03443i,0.052863-0.050229i,0.019711-0.087613i,0.04137-0.056369i,0.011688-0.046113i,0.013461-0.01514i,0.012707+0.00095186i,0.013391-0.031941i,-0.010339+0.0059936i,-0.0030813-0.0074669i,-0.0088814-8.4251e-05i,-0.027131-0.027287i,-0.009279+0.024169i,0.0020842-0.012089i,-0.012551-0.00046089i,-0.0023066-0.0012363i,-0.0073956-0.013982i,-0.0087705+0.0087281i,0.011181+0.0096065i,0.0083129+0.026539i,0.0074914+0.0022982i,-0.003434+0.0010635i,-0.0042935-0.0012496i,-0.015486+0.003702i,0.00076014-0.0035312i,-0.035012+0.011478i,-0.0011127-0.0076081i,-0.0074623+0.0017663i,-0.0066105+0.00011032i,0.0052981-0.0040624i,-0.0090084+0.0040878i,0.0026225-0.0023988i,0.0052787+0.0025901i,0.0046048-0.0010025i,-0.0126-0.0021081i,0.0031104+0.004883i,-0.012326+0.014977i,0.0045039+0.0032899i,-0.021145-3.8878e-05i,-0.028803+0.0025976i,-0.0012426-0.060163i,0.013139-0.023175i,-0.055866-0.013886i,-0.015444-0.0025868i,0.020039+0.0025097i,-0.020889+0.017485i,-0.020225-0.0129i
-0.028383-0.0096182i,-0.037782-0.02037i,-0.02662-0.01667i,-0.037845-0.0095743i,-0.016943+0.0037874i,-0.03553-0.0042668i,-0.069657-0.021158i,-0.054075-0.029175i,-0.025027-0.013579i,0.0039489+0.0038596i,-0.0042418+0.0082696i,0.00264+0.01358i,0.0061868-0.0011147i,-0.0066763+0.0042898i,0.0030078-0.0007781i,0.012627+0.017532i,0.020559+0.0028076i,0.0028063+0.00053101i,-0.0018812+0.0021087i,0.0067007-0.0027603i,0.00072507+0.0012586i,0.0004979+0.0033218i,-0.00018667+0.00098396i,-0.008257+0.016543i,-0.0047459-0.00034822i,0.0026534-0.00060491i,0.0023798-0.00083526i,0.0023272+0.00027008i,-0.00056554-0.00087322i,-0.002459-0.00066191i,-0.00075502+0.00029016i,-0.0053731-0.0012736i,-0.0053753-0.0025278i,-0.00078016-0.0017511i,0.0011483-0.0027856i,0.009833+0.021003i,-0.00018-0.00365i,-0.0015392-0.0033849i,0.0025796-0.0066503i,-0.0046484-0.00052609i,0.0015821+0.0015075i,0.007748-0.0047966i,-0.00034488+0.0031048i,-0.0039747+0.005068i,-0.0062661-0.0051716i,0.010574+0.025993i,-0.038855-0.077614i,-0.034768-0.057733i,-0.010788-0.047419i,-0.007434-0.033827i,0.045536-0.070689i,-0.0018304-0.10457i,0.044436-0.06579i,0.0030258-0.044909i,0.0099831-0.013579i,0.010126-0.004205i,0.0041019-0.033173i,0.001384+0.006085i,-0.01093-0.0077831i,-0.0069845-0.00085668i,-0.041719-0.014471i,-0.0017716+0.02296i,-0.0037181-0.011193i,-0.010936+0.0038216i,-0.0042385-0.0014966i,-0.015171-0.01097i,-0.0033393+0.014725i,0.016967+0.0028046i,0.017588+0.016375i,0.0081479-0.00095706i,-0.0027219+0.0010263i,-0.0053833+0.00063464i,-0.011307+0.012576i,-0.0024791-0.0034632i,-0.03117+0.02306i,-0.0030636-0.0047984i,-0.0054849+0.005314i,-0.0073245+0.0062029i,-0.00074259-0.0061652i,-0.0068024+0.0067351i,0.00029304-0.0033382i,0.0030774+0.0014102i,0.0033655-0.0024133i,-0.0081671+0.0048308i,0.0025322+0.0024543i,-0.0062623+0.018367i,0.0027015+0.00021236i,-0.017712+0.0059531i,-0.025294+0.011052i,-0.0075793-0.05724i,0.0040252-0.024053i,-0.055848-0.00021507i,-0.020953-0.0099138i,0.017369-0.0056796i,-0.010795+0.018626i,-0.024488-0.0089047i
-0.028221-0.0045378i,-0.04126-0.017723i,-0.031066-0.015886i,-0.037354-0.0032187i,-0.015993+0.0015423i,-0.035268+0.0039515i,-0.069735+0.002364i,-0.059051-0.01546i,-0.032281-0.0089968i,0.0042832+0.0032812i,-0.00075763+0.0099521i,0.0054878+0.0089837i,0.0038971-0.0042807i,-0.0046144+0.0080193i,0.001981-0.0020003i,0.013767+0.0095477i,0.020707-0.0068362i,0.0030449-0.0013246i,-0.0010907+0.0034361i,0.0048166-0.0039389i,0.0017999+0.0020901i,0.0022956+0.0035893i,-4.5483e-05+0.0010089i,0.001243+0.020809i,-0.0039352+0.00080311i,0.0014382-0.0020437i,0.0030547-0.0014152i,0.0022238-0.001311i,-0.00066221+6.9827e-05i,-0.0028682+0.0001772i,-0.00039628+0.00020777i,-0.0047774+0.00042079i,-0.0057265-0.00045718i,-0.0014856-0.0016079i,-1.7693e-05-0.0044007i,0.013361+0.014251i,-0.0011763-0.0035732i,-0.0023724-0.0026495i,-0.0010706-0.0069225i,-0.0031721+0.0015596i,0.0021993+0.00090559i,0.0045014-0.0064834i,0.00086004+0.0028157i,-0.0022782+0.0054165i,-0.0048081-0.0070417i,0.023642+0.01908i,-0.051204-0.067529i,-0.042781-0.04533i,-0.012928-0.052363i,-0.0067194-0.036246i,0.029512-0.092256i,-0.030126-0.10652i,0.038596-0.085095i,-0.0020675-0.043552i,0.0069165-0.012118i,0.0057385-0.0090413i,-0.011504-0.030247i,0.0023893-0.0028244i,-0.013312-0.0026592i,-0.0099698-0.0034229i,-0.047159+0.0055404i,0.0085082+0.018909i,-0.0082755-0.0089865i,-0.008172+0.0058377i,-0.005205+0.00095087i,-0.02047-0.0026546i,0.0048181+0.012274i,0.018426-0.005883i,0.023847+0.010052i,0.0075176-0.0041254i,-0.0031317+0.00068799i,-0.0052936+0.003484i,-0.0053559+0.018201i,-0.004969+0.00046966i,-0.025252+0.034088i,-0.0039357-0.0031793i,-0.0015643+0.0067906i,-0.0020475+0.011329i,-0.0064466-0.0027837i,-0.0032555+0.0069102i,-0.00060591-0.0024727i,0.0023466+0.0018572i,0.0012591-0.0037432i,-0.0028111+0.004437i,-0.00079644+0.00059776i,0.0014568+0.0080877i,0.00038891+0.00051481i,-0.012297+0.0099846i,-0.019877+0.014651i,-0.011891-0.056325i,0.003215-0.020228i,-0.05187+0.014653i,-0.02954-0.0064831i,0.013621-0.011162i,-0.0024091+0.013936i,-0.024566-0.0028024i
-0.026978+0.00029861i,-0.047071-0.011458i,-0.03815-0.011918i,-0.036304+0.0019901i,-0.018434-0.00025445i,-0.032812+0.01187i,-0.054152+0.017168i,-0.055682-0.0026826i,-0.031058-0.00044038i,0.0046994+0.0025389i,0.0026331+0.0077733i,0.0064523+0.0062195i,0.00025328-0.0055592i,0.00078731+0.0094579i,0.00065909-0.0027928i,0.011084+0.005917i,0.012635-0.015397i,0.0019935-0.0028147i,0.0019277+0.0061674i,0.0028771-0.0041922i,0.003266+0.0025626i,0.0035042+0.002089i,9.5668e-05+0.0015242i,0.021575+0.017158i,-0.0033514+0.0023847i,0.00043841-0.0025507i,0.0016544-0.0028614i,0.0024063-0.00088415i,-0.00014137+0.00023695i,-0.0028158+0.0015828i,-0.0002684+0.00026219i,-0.0039241+0.0022751i,-0.0046694+0.0011451i,-0.0021186-0.00096579i,-0.0017884-0.0035845i,0.015393+0.011215i,-0.001885-0.0031661i,-0.0034514-0.0017608i,-0.0037599-0.0050034i,-0.001693-0.00048663i,0.0021786+1.9635e-05i,0.0017829-0.0055332i,0.0019208+0.0021122i,-0.001917+0.0056431i,-0.006723-0.011698i,0.034204+0.005361i,-0.056736-0.054106i,-0.044806-0.033182i,-0.016427-0.056496i,-0.0071787-0.038031i,0.00057175-0.10698i,-0.054885-0.09744i,0.01781-0.097818i,-0.010429-0.038945i,0.0066283-0.0096625i,0.000183-0.011001i,-0.018495-0.023582i,-0.0025718-0.0062236i,-0.014283-0.00057011i,-0.016002+9.1907e-05i,-0.041257+0.023788i,0.011983+0.009478i,-0.011991-0.0046938i,-0.0063478+0.0075i,-0.0053469+0.0040415i,-0.019324+0.0077693i,0.0052037+0.0070184i,0.015791-0.013695i,0.02476-0.0053447i,0.0056872-0.0075871i,-0.0051319+0.0022229i,-0.0023174+0.0060632i,0.0035906+0.0192i,-0.0042918+0.0045145i,-0.016873+0.038981i,-0.0055208-0.0027239i,0.00085677+0.0045368i,0.0044894+0.010451i,-0.0074766+0.0017249i,-0.0021613+0.0040747i,-0.0021697-0.0024752i,0.0021591+0.0036105i,-0.0032185-0.0044877i,-0.0018397+0.0011736i,-0.0036277+0.0037433i,0.00012714+0.017438i,-0.0010876+0.0010749i,-0.0053441+0.010865i,-0.016548+0.017546i,-0.019317-0.053632i,0.0069291-0.025619i,-0.043347+0.030169i,-0.033025+0.0056602i,0.0074699-0.016174i,-0.0016455+0.0068645i,-0.023528-0.00044726i
-0.024407+0.0038002i,-0.048447-0.0038752i,-0.043318-0.0024107i,-0.03539+0.0072105i,-0.023273+0.0014659i,-0.027134+0.018003i,-0.039511+0.020889i,-0.050109+0.0055397i,-0.028291+0.0036234i,0.0043556+0.001545i,0.0030651+0.0061563i,0.0071894+0.0019054i,-0.0034753-0.0049329i,0.0055168+0.0066524i,-0.0010278-0.0029901i,0.0098419+0.0046485i,0.0023254-0.014712i,0.0013473-0.0032507i,0.0059205+0.0045527i,0.0011984-0.003964i,0.0048565+0.00034699i,0.0032549+0.00076632i,0.0012318+0.0018247i,0.022963-0.0019189i,-0.001255+0.0035555i,0.00012874-0.0024791i,-0.0005984-0.00052361i,0.0015391-0.0021383i,0.00010745-0.0004267i,-0.0011365+0.0029718i,6.1691e-05+0.0001553i,-0.0028934+0.003272i,-0.0041309+0.0028872i,-0.0020684+0.00032834i,-0.00043951-0.0023155i,0.019102+0.00653i,-0.002829-0.0023476i,-0.0046386-0.00063114i,-0.0052415-0.0034069i,-0.0040297-0.0018568i,0.002285-0.00030565i,0.00032479-0.0042933i,0.0019499+0.0011674i,-0.0010078+0.00613i,-0.012074-0.013021i,0.030048-0.014335i,-0.055292-0.043483i,-0.046067-0.023491i,-0.022317-0.057398i,-0.0076562-0.042779i,-0.031086-0.10287i,-0.076107-0.080957i,-0.00040573-0.099483i,-0.0097642-0.02504i,0.01208-0.0052386i,-0.0046448-0.0095426i,-0.020086-0.011957i,-0.0057255-0.0066271i,-0.017521+0.0035997i,-0.013123+0.006705i,-0.029493+0.039433i,0.010549+0.0034312i,-0.010042+0.0027562i,-0.0066492+0.0081948i,-0.0016942+0.0073464i,-0.012099+0.015203i,0.0059044+0.0079839i,0.009748-0.024632i,0.015718-0.018623i,-0.00061747-0.011626i,-0.0059647+0.0063544i,-0.00050002+0.0058674i,0.01089+0.015497i,-0.00075599+0.0068037i,-0.00019484+0.050076i,-0.0092771-0.0015665i,0.0010431+0.0036392i,0.0078337+0.0057847i,-0.0049964+0.0075972i,-0.0021048+0.0047312i,-0.0042515-0.0010322i,0.0048816+0.004383i,-0.0037203+0.0020818i,-0.0046982+0.00067109i,-8.1418e-05+0.0090878i,0.0070259+0.015726i,-0.0016591+0.0011545i,-0.0017551+0.0068259i,-0.01085+0.021948i,-0.020769-0.045009i,-0.0017977-0.039498i,-0.021505+0.037006i,-0.026651+0.015347i,0.0055218-0.020075i,-0.0023383+0.0015283i,-0.021315+0.0050349i
-0.021714+0.005885i,-0.052239+0.0027131i,-0.045406+0.0087523i,-0.031882+0.013566i,-0.026333+0.0080619i,-0.020997+0.020847i,-0.029704+0.019197i,-0.045251+0.010453i,-0.027962+0.0075917i,0.004661+4.2902e-05i,0.0054157+0.005407i,0.0037371-0.0018928i,-0.0066281-0.0017866i,0.0070969+0.0010676i,-0.002406-0.0023069i,0.0091902+0.004018i,-0.0027936-0.010524i,0.00015138-0.0038308i,0.0066527+0.00018804i,-9.5842e-05-0.0030078i,0.0043209-0.0019476i,0.0041811+0.00058606i,0.0022296+0.0011131i,0.01645-0.011601i,0.001511+0.002603i,-0.0011993-0.0017324i,0.00050804-0.001423i,0.00074687-0.0028427i,-0.00019832-0.00026963i,0.00050216+0.0025112i,0.00011277-0.00015522i,-0.0011828+0.0038556i,-0.0016959+0.0042024i,-0.0014474+0.00068655i,-0.0020979+0.00098635i,0.02096-0.0010471i,-0.0029351-0.00082808i,-0.0041447+0.0011516i,-0.0063205-0.00037593i,-0.006976+0.00099683i,0.0017787-0.00064472i,2.5503e-05-0.004857i,0.0022146+0.00057723i,-5.7635e-05+0.0046694i,-0.017309-0.010727i,0.017852-0.019924i,-0.057148-0.039425i,-0.040507-0.013302i,-0.027494-0.057668i,-0.016324-0.050731i,-0.053095-0.09059i,-0.084266-0.056257i,-0.022766-0.099312i,0.0004476-0.022138i,0.017991-0.018217i,-0.007249-0.0058868i,-0.016138-0.0096574i,-0.012377-0.0055636i,-0.015033+0.012855i,-0.010054+0.0084275i,-0.0067718+0.044768i,0.010371-2.5086e-05i,-0.0078645+0.0030568i,-0.0020658+0.0093534i,0.00067717+0.0056789i,-0.0049461+0.018949i,0.0099946+0.0051973i,-0.0067312-0.028474i,-0.00019649-0.020684i,-0.0048931-0.0053555i,-0.0024786+0.0094082i,0.0028285+0.0048356i,0.016503+0.0065802i,0.0024541+0.0050843i,0.026962+0.046641i,-0.0084506+0.0038064i,0.0012958+0.002277i,0.0076577+0.0010358i,0.00072669+0.0089606i,-0.004277+0.004969i,-0.0048059+0.0026558i,0.007828+0.002955i,-0.0020882+0.0046666i,-0.0063504+0.0027719i,0.0047648+0.0084994i,0.013523+0.009362i,-0.001415+0.0022109i,0.00050958+0.003536i,-0.0029786+0.021866i,-0.021149-0.043136i,-0.021787-0.039895i,-0.0055868+0.029771i,-0.020562+0.020176i,-0.0049535-0.028259i,-0.0055559-0.0017137i,-0.01213+0.0060198i
-0.019735+0.0072129i,-0.053485+0.015108i,-0.043634+0.021232i,-0.027127+0.016848i,-0.023852+0.015573i,-0.016476+0.022324i,-0.024005+0.01576i,-0.041402+0.01405i,-0.024988+0.014269i,0.0039522-0.0013355i,0.0072435+0.00016813i,-0.0013728-0.00043346i,-0.0069543+0.0025025i,0.0039606-0.0019367i,-0.0033395-0.0014744i,0.011119+0.0019542i,-0.0049975-0.0053135i,-0.0014897-0.0031964i,0.0045332-0.002143i,-0.00068649-0.0022702i,0.0021276-0.0023658i,0.0039484-0.0013341i,0.0023498+0.00010586i,0.0085519-0.015975i,0.001632+0.00062831i,-0.00095384-0.0012266i,0.00030752-0.0024959i,-5.0445e-05-0.0025843i,0.0010278+5.1959e-05i,0.001007+0.0016515i,-0.00010242-0.000473i,0.00052434+0.0035158i,0.00012111+0.0042186i,-0.0012575+0.00048012i,-0.0029691+0.0018857i,0.017628-0.0093001i,-0.0023416-4.5535e-05i,-0.0025248+0.0025156i,-0.0044818+0.0015049i,-0.006372+0.0046318i,0.0013412-0.0006339i,-0.0012244-0.0044638i,0.0018922-0.00020169i,-0.00074042+0.0039365i,-0.020702-0.0051895i,0.014248-0.014758i,-0.061464-0.035864i,-0.032556-0.010238i,-0.034795-0.056729i,-0.029403-0.049584i,-0.072659-0.077351i,-0.080658-0.03713i,-0.047754-0.086833i,0.0055437-0.028747i,0.012306-0.029545i,-0.0067987-0.0037709i,-0.016706-0.0061553i,-0.018474+0.0027573i,-0.0077053+0.017641i,-0.006077+0.011632i,0.011856+0.037612i,0.011128+0.005586i,-0.008281+0.0041356i,-0.00054843+0.0065909i,0.003727+0.0058785i,0.0047437+0.016228i,0.010545-0.0019534i,-0.02095-0.018944i,-0.011017-0.012766i,-0.0038635-0.0013922i,0.0026994+0.0094972i,0.0037261+0.0023081i,0.017821-0.00061268i,0.0048972+0.0046806i,0.0436+0.030604i,-0.0054629+0.0043811i,0.0006476+0.0023258i,0.0052766-0.0032782i,0.0061432+0.0067591i,-0.0041764+0.010968i,-0.0017896+0.0067269i,0.0095093-0.00126i,0.002965+0.0044265i,-0.0069911+0.0065645i,0.0076813+0.0050391i,0.01284+0.0047461i,-0.00061931+0.0019204i,0.00041463+0.00012277i,0.0016994+0.01856i,-0.022224-0.041974i,-0.033638-0.026883i,0.0032528+0.018871i,-0.0055855+0.024764i,-0.017062-0.028143i,-0.012592-0.001697i,-0.011014-0.0014294i
-0.018181+0.0088842i,-0.048342+0.027403i,-0.035967+0.033339i,-0.02351+0.019485i,-0.018616+0.020142i,-0.011826+0.02368i,-0.022059+0.011974i,-0.039317+0.017675i,-0.017368+0.018722i,0.0027634-0.0024868i,0.003762-0.0029385i,-0.0016231+0.0036655i,-0.0049307+0.0056307i,0.0012316-0.0029337i,-0.0040541-0.00027933i,0.011163-0.0019756i,-0.0037862-0.00214i,-0.0021953-0.0020418i,0.0027424-0.0023287i,-0.00083419-0.001612i,0.0019703-0.0013836i,0.0029511-0.0021506i,0.0021068-0.00042813i,0.0018487-0.01565i,0.00099116-0.00016459i,-0.0010788-0.0012807i,-0.00081898-0.0027097i,-0.0010272-0.0027178i,0.00077748-0.0010219i,0.0013881+0.001215i,-0.00038112-0.00082788i,0.0017353+0.0027636i,0.0014081+0.0030776i,-0.0011841+0.0011638i,-0.0015732+0.0015609i,0.011111-0.013434i,-0.0016356+0.00037293i,-0.00096891+0.0028974i,-0.0040357+0.0032867i,-0.0039635+0.0065889i,0.0011903-0.00056872i,-0.0027998-0.0032477i,0.0019634-0.00070402i,-0.0018162+0.0044433i,-0.021175+0.0015926i,0.021692-0.012952i,-0.068582-0.028895i,-0.027481-0.011988i,-0.040751-0.052891i,-0.038962-0.043094i,-0.087617-0.05545i,-0.078115-0.026989i,-0.055505-0.062887i,0.0047247-0.033303i,0.0021047-0.03705i,-0.007392-0.0028652i,-0.016014-0.0057642i,-0.014318+0.012955i,-0.00080057+0.018157i,0.0025365+0.010249i,0.02021+0.024694i,0.00085841-0.0078763i,-0.0075579+0.0073167i,-0.00063953+0.0061141i,0.0053046+0.0019316i,0.0088983+0.011108i,0.0043197-0.0041835i,-0.026443-0.0043412i,-0.014214-0.00401i,-0.0015144-0.0006584i,0.0051384+0.007904i,0.0023112+0.00094305i,0.014023-0.011267i,0.0060515+6.2782e-05i,0.051768+0.0099746i,-0.0055726+0.0059745i,0.0019823+0.0017085i,0.00084177-0.0051021i,0.0071526+0.0025916i,0.0013295+0.014719i,0.0038792+0.0045834i,0.0066219-0.0050992i,0.0049425+0.00042469i,-0.0013458+0.012493i,0.0066774+0.0028429i,0.012502+0.00093324i,-0.0022649+0.0016275i,-0.004207-0.00096937i,0.0043494+0.016457i,-0.023361-0.0421i,-0.034279-0.012988i,0.0040642+0.008719i,0.005121+0.01556i,-0.029267-0.022347i,-0.015702+0.0073049i,-0.01564-0.0017914i
-0.016595+0.010676i,-0.040017+0.03533i,-0.024251+0.041066i,-0.020246+0.021915i,-0.012816+0.02297i,-0.0071772+0.024161i,-0.023261+0.010048i,-0.036609+0.022755i,-0.011052+0.019153i,0.00098679-0.0030333i,0.00015296-0.0018137i,0.00053247+0.0053825i,-0.0018144+0.0063956i,-0.0010792-0.0024294i,-0.0041499+0.0012314i,0.0082847-0.005546i,-0.0031334-0.0015229i,-0.0021629-0.000688i,0.0017649-0.0026182i,-0.0009045-0.0013237i,0.0023699-0.0021103i,0.0020816-0.0020027i,0.0019643-0.00086365i,-0.0026709-0.013814i,0.00088576-0.00031434i,-0.0015019-0.00074201i,-0.002034-0.0019929i,-0.0022989-0.0024594i,0.00019018-0.0011907i,0.0017825+0.0005428i,-0.0008999-0.00089152i,0.0024831+0.0014185i,0.0023165+0.0020142i,-0.00059334+0.0014727i,-0.00153+0.0016434i,0.0039228-0.013155i,-0.001613-4.9012e-05i,0.00060855+0.0026037i,-0.00070585+0.0045938i,-0.00093304+0.007781i,0.0012827-0.00061667i,-0.0023779-0.0017371i,0.0016918-0.0017251i,-0.00094938+0.0066365i,-0.017205+0.0071777i,0.031706-0.023297i,-0.075119-0.017007i,-0.027685-0.014281i,-0.044661-0.04904i,-0.046254-0.035934i,-0.090417-0.032278i,-0.076158-0.015979i,-0.050431-0.049494i,0.0032072-0.039425i,-0.01123-0.039095i,-0.0073867-0.0011164i,-0.019467-0.006336i,-0.0060546+0.017109i,0.0048195+0.014834i,0.0062576+0.0025509i,0.019458+0.012623i,-0.0031851-0.0078392i,-0.0050665+0.010187i,-0.0002912+0.0064989i,0.0038924-0.0011887i,0.0098366+0.0060752i,0.0024795-0.0011747i,-0.023168+0.0095227i,-0.011583+0.0042177i,-0.0014231-0.0004423i,0.0088753+0.0063677i,0.00092007+0.00097394i,0.0045153-0.014997i,0.0032671-0.0026339i,0.04585-0.011224i,-0.0033224+0.0086987i,0.001163+0.00081511i,-0.0024363-0.0032013i,0.006306+0.0004524i,0.0088853+0.014837i,0.0043448+0.00088363i,0.0037452-0.00608i,0.0028304-0.0018706i,0.0060827+0.010384i,0.0063949+0.001047i,0.012408-0.0029707i,-0.0014648+0.0053093i,-0.0056565+0.0011543i,0.0069859+0.014823i,-0.027813-0.044625i,-0.031053-0.0047907i,0.0024772+0.0028579i,0.005249+0.0051945i,-0.037236-0.012233i,-0.010019+0.011076i,-0.01594+0.00086623i
-0.014395+0.012478i,-0.030589+0.040299i,-0.011148+0.043347i,-0.015512+0.024644i,-0.0059722+0.023436i,-0.0027704+0.023958i,-0.025184+0.011032i,-0.032038+0.027871i,-0.0055098+0.018787i,-0.00015462-0.0024132i,-0.0010292+0.00010777i,0.0032921+0.0049792i,0.00075019+0.0059456i,-0.0029778-0.00067981i,-0.003866+0.0025545i,0.0047023-0.0070802i,-0.0042558-0.0012953i,-0.001921-0.00010678i,0.00049002-0.0026285i,-0.0011038-0.00095524i,0.0016579-0.0028467i,0.0020873-0.0020756i,0.0017161-0.0012962i,-0.0065364-0.011746i,0.00051091-0.00056747i,-0.0016595-7.4609e-05i,-0.0023544-0.0010032i,-0.0030543-0.0013083i,-0.00028333-0.0012703i,0.0014247-0.0003322i,-0.0013573-0.00049897i,0.0022918+0.00027417i,0.0021691+0.00068803i,0.00030435+0.0011932i,-0.00117+0.002121i,0.00045652-0.009628i,-0.0017319+0.00036681i,0.0016391+0.0013109i,0.00077606+0.0033173i,0.0023706+0.0072953i,0.0014705-0.00090914i,-0.0018953-0.0010745i,0.00033847-0.0025604i,0.0010483+0.0066493i,-0.011971+0.0088097i,0.030839-0.04227i,-0.077299-0.0019794i,-0.027025-0.014968i,-0.048642-0.049325i,-0.05122-0.026722i,-0.089108-0.014992i,-0.073842-0.0072659i,-0.04851-0.042222i,-0.0026482-0.04417i,-0.026282-0.037098i,-0.0071304-0.00031217i,-0.027651-0.0033727i,0.0016834+0.015603i,0.0079103+0.010027i,0.0043506-0.0036677i,0.015689+0.0061717i,-0.007253-0.0072618i,-0.0010462+0.011182i,0.0012225+0.0071648i,0.0015724-0.002065i,0.0073079+0.0020632i,0.0031672+0.00051723i,-0.01467+0.016732i,-0.0063165+0.0089043i,5.2386e-05-0.00032628i,0.011013+0.00030821i,0.00020252+0.002277i,-0.0030776-0.011828i,0.00048493-0.0028044i,0.03467-0.026144i,0.0011396+0.010204i,0.00059922+0.0017132i,-0.0044885+1.7956e-05i,0.0051445-0.0020958i,0.015363+0.010438i,0.0028934-0.0017336i,0.00067451-0.0068666i,0.00081132-0.0025125i,0.0052022+0.017348i,0.0058046+0.00061522i,0.0087064-0.0076584i,0.002096+0.0062529i,-0.0054539+0.0024649i,0.01105+0.01212i,-0.036579-0.043295i,-0.020858+0.0012911i,0.00047808-0.00078819i,0.0010808+0.0012824i,-0.04081-0.0011148i,-0.0066096+0.0099406i,-0.015446+0.0030343i
