-0.022852-0.018659i,-0.032611-0.033095i,-0.022483-0.019606i,-0.032832-0.020329i,-0.023818+0.0042556i,-0.028819-0.017794i,-0.058321-0.044103i,-0.040408-0.041394i,-0.030236-0.019639i,0.0046454+0.0050679i,-0.0035393+0.0065411i,-0.011211+0.011059i,0.0038664+0.0068778i,-0.0039492-0.0024672i,0.0029312+0.0017213i,0.0044631+0.028341i,0.014474+0.031413i,-0.00025178+0.00014907i,-0.0032151-0.0025743i,0.0075673+0.0037211i,0.0019515+0.00061205i,-0.00037525+0.0022701i,-0.0005147+0.00041691i,-0.030428-0.0013868i,-0.0035787-0.0046475i,-0.00012133+0.0026543i,0.0057565-0.0012893i,0.00056868-0.00016492i,-0.00054096-0.00060648i,-0.001254-0.0017516i,-0.0022222-0.00060173i,-0.003962-0.0039091i,-0.0034209-0.0047423i,0.00061552-0.0012226i,0.00035521-0.0028734i,-0.0018856+0.024026i,0.0023342-0.0032962i,0.0025065-0.0037818i,0.0041174-0.0024219i,-0.0089047-0.0005312i,0.00056415+0.0011639i,0.0024324-0.0086149i,-0.0022795+0.00039093i,-0.0033704+0.0011165i,-0.0094195-0.0031683i,-0.019061+0.022011i,-0.0080708-0.086566i,-0.0021887-0.06105i,-0.02161-0.053921i,-0.010992-0.045715i,0.054736-0.026017i,0.024148-0.067629i,0.041275-0.053251i,0.019113-0.039324i,0.025989-0.019828i,0.01222+0.011838i,0.025741-0.02962i,-0.011021-0.00043016i,-0.00096908-0.0011158i,-0.0074883-0.0019421i,-0.0053547-0.028848i,-0.021556+0.027455i,0.0074657-0.0094463i,-0.010355-0.0033797i,-0.002628-0.0019476i,-0.00026091-0.014116i,-0.0082689+0.0051298i,0.0053216+0.010738i,-0.011397+0.030673i,0.0061558+0.0073971i,-0.0037122-0.0016169i,-0.0024626-0.0015533i,-0.012494-0.0054206i,0.0007038-0.0041777i,-0.035761+0.001732i,0.0037907-0.008754i,-0.007101-0.0016281i,-0.005149-0.0031262i,0.0072181+0.0014504i,-0.010164+0.00069432i,0.0024211-0.00017972i,0.0062021+0.0077393i,0.0057768+0.0006938i,-0.0075597-0.010195i,0.002919+0.0078124i,-0.019891+0.0071043i,0.003505+0.0058311i,-0.020955-0.0084948i,-0.027158-0.0053737i,0.00944-0.060192i,0.018499-0.014082i,-0.051382-0.028896i,-0.024349+0.0032621i,0.019035+0.010407i,-0.027582+0.011386i,-0.012556-0.0077678i
-0.01134+0.013554i,-0.021465+0.042044i,0.0017353+0.040802i,-0.010245+0.024778i,-0.00018583+0.021132i,0.0018764+0.023197i,-0.025073+0.015538i,-0.026525+0.033298i,0.00038692+0.017723i,-0.0010445-0.0012403i,-0.00097053+0.0018511i,0.0043098+0.0034267i,0.003419+0.0048435i,-0.0030943+0.0018355i,-0.0030307+0.0038095i,0.00093584-0.0074106i,-0.0083715+0.0010899i,-0.0023343+0.00048309i,0.00017741-0.0012196i,-0.00094708-0.00041782i,0.00080156-0.0033436i,0.0011783-0.0027425i,0.0010219-0.0015012i,-0.0096277-0.0080724i,-0.00011491-0.00037667i,-0.0013454+0.00035279i,-0.0023878-3.4317e-05i,-0.0027646+0.00013863i,-0.00086887-0.00081119i,0.0010407-0.00069612i,-0.0018866+0.00034421i,0.001568+0.00011535i,0.0023786-0.00065793i,0.00064483+0.00033232i,-0.00048275+0.0018135i,-0.00034372-0.0070157i,-0.0012741+0.00090694i,0.0018704+0.00011092i,0.0011679+0.0034176i,0.0043181+0.0051584i,0.0014579-0.0015793i,-0.0017119-0.00078192i,-0.0015123-0.0022035i,0.0029342+0.0059814i,-0.0078227+0.0075981i,0.019818-0.058276i,-0.073767+0.015486i,-0.027707-0.018795i,-0.061216-0.04846i,-0.053008-0.017308i,-0.085486+0.0036593i,-0.073176+0.0020729i,-0.046976-0.033658i,-0.0090074-0.04528i,-0.036313-0.027861i,-0.0061936+0.00057387i,-0.031024+0.0096789i,0.0076296+0.011184i,0.0098691+0.007152i,0.0023991-0.0069179i,0.010988+0.0037391i,-0.010646-0.0026866i,0.003027+0.011966i,0.0007096+0.0070044i,-0.00030757-0.0013564i,0.0056797+0.0016332i,0.003856+0.00029656i,-0.0052947+0.019462i,0.00069191+0.00938i,0.00063064-0.0036858i,0.0084062-0.0060203i,0.0011559+0.0041535i,-0.0082321-0.0072103i,-0.0028911-0.0009424i,0.020278-0.03177i,0.0055133+0.0094034i,0.0016499+0.0027362i,-0.0020003+0.0040708i,0.0030243-0.0043187i,0.019285+0.0022416i,0.001163-0.0020325i,-0.0023288-0.0068915i,-0.00062956-0.0021221i,0.01213+0.0053744i,0.0053562-0.00066082i,0.0036966-0.0077242i,0.0047238+0.0046246i,-0.0059346+0.0034482i,0.013327+0.0068013i,-0.042377-0.038259i,-0.011186+0.0065477i,-0.0020376-0.0017285i,-2.4438e-05+0.0029684i,-0.040868+0.010769i,-0.0067725+0.0085045i,-0.013161+0.0035701i
-0.0085852+0.014343i,-0.014096+0.042444i,0.010873+0.034396i,-0.0053233+0.025664i,0.0027214+0.018751i,0.0061589+0.021819i,-0.023811+0.019418i,-0.019156+0.035609i,0.0043307+0.012574i,-0.0014971-0.00044773i,-5.584e-05+0.0031927i,0.0047637+0.0010637i,0.0041954+0.0031101i,-0.0015413+0.0029452i,-0.0022942+0.0048001i,-0.0035316-0.0056326i,-0.0086723+0.0058358i,-0.0013428+0.0012614i,0.001069-0.00089884i,-0.00042625-3.8527e-05i,-0.00011729-0.0031576i,0.0010001-0.0023065i,0.0008506-0.0013274i,-0.011034-0.0046832i,0.00018392-0.00025422i,-0.0013033+0.00066848i,-0.0017049+0.00086934i,-0.0022514+0.00070756i,-0.0010313-0.000714i,0.0010206-0.00088179i,-0.0014011+0.001253i,0.0011968-0.00023224i,0.00093774-0.0021032i,8.0752e-05+0.00040092i,-0.00088561+0.0015237i,0.00011608-0.0056662i,-0.00084194+0.0009919i,0.00092438-0.00053123i,0.0022358+0.0017793i,0.0052162+0.0024816i,0.0008646-0.0023009i,-0.0022624-0.0005304i,-0.0025484-0.0012537i,0.0043386+0.0050426i,-0.0056516+0.0058433i,0.0017494-0.067659i,-0.064531+0.029727i,-0.034814-0.021449i,-0.074243-0.038726i,-0.053557-0.0060717i,-0.077058+0.020589i,-0.070304+0.016345i,-0.040343-0.031666i,-0.014595-0.043585i,-0.044253-0.01257i,-0.0069628+0.0005511i,-0.025058+0.022315i,0.0099707+0.0055773i,0.011697+0.00095324i,-0.0026569-0.012259i,0.0077744+0.0026496i,-0.010424+0.0030102i,0.0076412+0.010111i,0.0024432+0.0080463i,-0.00084256-0.0009414i,0.0065812+0.0015949i,0.004798+0.00024132i,0.0039726+0.016955i,0.0048048+0.0049075i,-0.0031648-0.0054063i,0.0022378-0.0070336i,0.0028332+0.0050882i,-0.01023+0.00036738i,-0.00246+0.0019353i,0.0053553-0.0312i,0.0085616+0.0078406i,0.0039255+0.0020905i,0.0013711+0.002718i,-0.00053386-0.00196i,0.01696-0.0065248i,-0.00036035-0.0024927i,-0.0058554-0.0048489i,-0.0030804-0.00080558i,0.01065+0.0001616i,0.0044277-0.00041362i,0.00075943-0.0062472i,0.0061334+0.0031248i,-0.0058724+0.0055143i,0.013414+0.0018237i,-0.049495-0.03208i,-0.0066927-0.0048126i,-0.0029067-0.0027415i,0.0014871+0.00124i,-0.034384+0.023546i,-0.0046935+0.0094093i,-0.01097+0.0048561i
-0.0054638+0.014325i,-0.0073128+0.043006i,0.015685+0.026689i,-0.00055119+0.024503i,0.0063062+0.017541i,0.010092+0.019364i,-0.020664+0.023477i,-0.011571+0.035841i,0.0040782+0.00799i,-0.0015902+0.00064835i,0.0019142+0.0036442i,0.0022432-0.00029926i,0.0043632+0.0018448i,-0.00070486+0.0030051i,-0.00098958+0.0056953i,-0.0067583-0.0016226i,-0.005531+0.0090983i,-0.00065133+0.0015072i,0.0013659-0.0019033i,0.00019726-0.00032863i,-0.0010532-0.003072i,0.00090209-0.0029318i,0.0008604-0.0015429i,-0.011855-0.0015839i,7.5866e-05-0.0003525i,-0.00088926+0.0012416i,-0.0010269+0.00067817i,-0.0014091+0.0015886i,-0.0012834-0.00063768i,0.00054591-0.001466i,-0.00062355+0.001521i,0.00085564-0.00062591i,0.00043793-0.0011747i,0.00056444+0.00022484i,-0.00047163+0.002385i,0.00040646-0.0063819i,-0.00081837+0.00093758i,0.00023169-0.00069852i,0.0025404-0.00047858i,0.004685+0.00064125i,0.00017769-0.0023962i,-0.0015185+0.00045057i,-0.003486-0.00010976i,0.0052447+0.0031169i,-0.005047+0.0044293i,-0.020443-0.068196i,-0.050369+0.038733i,-0.043488-0.018404i,-0.081944-0.0237i,-0.049065+0.0028894i,-0.062465+0.031777i,-0.057712+0.028684i,-0.043159-0.034249i,-0.019864-0.042908i,-0.044271+0.001732i,-0.0070682+0.0017906i,-0.01305+0.028751i,0.010385+0.0012715i,0.0081535-0.0048907i,-0.013799-0.012252i,0.0075249+0.00053258i,-0.0067527+0.0065234i,0.010745+0.004972i,0.005831+0.0068735i,-0.0029336+0.0005032i,0.0065491-0.0020173i,0.0058546-0.0020555i,0.0078505+0.010896i,0.004082+0.0012046i,-0.0081486-0.0024582i,-0.0002704-0.0049885i,0.0059438+0.0040589i,-0.0057382+0.008546i,5.8544e-05+0.0030595i,-0.0055247-0.02812i,0.012203+0.0038538i,0.0036946-4.7218e-05i,0.0040934+0.0018996i,0.00030154+0.00015881i,0.010852-0.010884i,-0.002442+0.00046829i,-0.0071788-0.0010577i,-0.0036111+0.0025208i,0.0069944-0.0023489i,0.0070828-0.001768i,0.00045636-0.0059436i,0.0087286+0.00044125i,-0.0026661+0.0069576i,0.011921-0.0024544i,-0.054683-0.021176i,-0.013678-0.014684i,-0.0011951-0.0037722i,0.0033017-0.0016359i,-0.023841+0.030332i,-0.0037743+0.0053803i,-0.0077605+0.00059526i
-0.0026631+0.013231i,9.3607e-06+0.042871i,0.01775+0.0194i,0.0040634+0.023192i,0.010406+0.014081i,0.013428+0.015898i,-0.016144+0.026856i,-0.0055314+0.033183i,0.0032925+0.0062015i,-0.0010157+0.0015832i,0.0032881+0.0019202i,0.0010877+0.0015124i,0.004107+0.00065002i,-0.00055221+0.0037225i,0.00056783+0.0057527i,-0.0068291+0.0038812i,-0.0012639+0.010657i,0.000173+0.0013391i,0.00052653-0.0024023i,1.2472e-05-0.00099262i,-0.0018416-0.0024176i,0.00035862-0.0031854i,0.00059542-0.0021432i,-0.011713+0.0022673i,3.9734e-05-0.00054802i,4.2644e-05+0.0010612i,-0.00082784+0.00038702i,-0.00038316+0.0014488i,-0.0015565+8.176e-05i,-0.00031896-0.0013568i,-8.6126e-07+0.0013504i,0.00027112-0.00087509i,-0.00016244-0.00085686i,0.0005396-2.9403e-06i,0.00084971+0.0022728i,-0.001482-0.0078762i,-0.00039961+0.001387i,-0.0003265-0.00046729i,0.0012384-0.00097225i,0.0045332-0.00046427i,-0.00027846-0.0025192i,-0.00079735+0.00035934i,-0.0035101+0.0017204i,0.0045256+0.00074484i,-0.0052052+0.0041242i,-0.039523-0.056989i,-0.036734+0.040395i,-0.050156-0.010802i,-0.085677-0.0080644i,-0.042898+0.0082487i,-0.049743+0.035446i,-0.044416+0.031036i,-0.048263-0.030062i,-0.025615-0.038558i,-0.040361+0.014749i,-0.0073359+0.0029377i,-0.00054856+0.029419i,0.0093727-0.0028912i,0.0028307-0.0064599i,-0.02183-0.0029948i,0.0045945-0.00039973i,-0.0031162+0.006855i,0.0094815-0.0010663i,0.0083573+0.0050609i,-0.0028337+0.0033389i,0.0034756-0.0026296i,0.0050333-0.0059702i,0.0075426+0.0047081i,0.0012049-0.00033942i,-0.0087782+0.0015952i,-0.0019093-0.0035325i,0.0070884+0.0013046i,0.0033517+0.0093182i,0.0017266+0.0020338i,-0.010669-0.023733i,0.012255-0.00090714i,0.0035986-0.0010369i,0.0038703+0.00074447i,0.00074491+0.00011548i,0.0056322-0.010879i,0.00019473+0.002502i,-0.0066511+0.0025545i,-0.00087323+0.0047315i,0.0049998-0.0017117i,0.006738-0.0062756i,-0.0019092-0.0055015i,0.00784-0.0047614i,-0.00035493+0.0058004i,0.010131-0.0065906i,-0.053161-0.0087006i,-0.023515-0.015301i,-0.0023794-0.0080911i,0.0030104-0.0061945i,-0.014103+0.030709i,-0.0070276+0.0045222i,-0.011321-0.00058855i
-0.00093188+0.011903i,0.0065719+0.041076i,0.017061+0.013796i,0.0085572+0.02054i,0.012753+0.009485i,0.01517+0.012082i,-0.010639+0.028666i,-0.0015819+0.030572i,0.0036808+0.005368i,0.00010367+0.0019821i,0.0032053+0.001014i,0.0021011+0.0025601i,0.0037934-0.00031037i,0.001116+0.0045975i,0.0022039+0.005437i,-0.004013+0.0075406i,0.0034503+0.010198i,0.00062228+0.0010291i,0.00027185-0.0022185i,-0.00055238-0.0011457i,-0.0025906-0.0017467i,-0.00048015-0.0030349i,-0.00033419-0.0024401i,-0.0092997+0.0053087i,-0.00054293-0.0011676i,9.074e-05+0.00022302i,-0.00086581+0.00029002i,0.00013802+0.00083555i,-0.0012483+0.00086504i,-0.00041702-0.00079474i,0.00038534+0.0013399i,-5.6317e-05-0.0011794i,-0.0003645-0.00041739i,0.00031191-0.00015438i,0.0012666+0.0014656i,-0.003659-0.0078732i,2.5073e-06+0.0014169i,-0.00031138+0.00017627i,0.00041861-0.0010841i,0.0039348-0.0011836i,-0.0010727-0.0026088i,-0.00059205+0.00031042i,-0.002289+0.0027755i,0.0034593+0.00099753i,-0.0047445+0.0046464i,-0.046818-0.039979i,-0.027183+0.038163i,-0.054668-0.0010096i,-0.086681+0.0088708i,-0.038571+0.0092176i,-0.039252+0.036857i,-0.035052+0.030585i,-0.051195-0.025283i,-0.028093-0.034526i,-0.032258+0.02594i,-0.0069242+0.0045523i,0.011938+0.024851i,0.0071643-0.0056173i,-0.0016372-0.0052978i,-0.022522+0.0067944i,0.0034392+0.00023155i,5.8944e-05+0.0071999i,0.0042463-0.00324i,0.010265+0.0026685i,-0.00088544+0.0048866i,0.0015525-0.0013585i,0.0024507-0.0082866i,0.0043267+0.0023393i,-0.00086709+0.0011056i,-0.0082648+0.0066962i,-0.0028906-0.0012002i,0.007046-0.0015817i,0.0069362+0.0047174i,0.0024579+0.00098313i,-0.010746-0.019972i,0.010323-0.0057931i,0.0027053-0.0021253i,0.0049389-0.00025882i,0.00096678+0.00017436i,0.0029373-0.0093736i,0.0022734+0.0015424i,-0.0040343+0.0058918i,0.0025005+0.0043091i,0.0048032-0.0019708i,0.0031393-0.010465i,-0.0027291-0.0036689i,0.003841-0.0081819i,-0.00010917+0.0045267i,0.0054154-0.01037i,-0.047638-0.0022445i,-0.033598-0.0065543i,-0.0056472-0.0096382i,0.00049446-0.010188i,-0.0074101+0.028882i,-0.010247+0.0071286i,-0.012548+0.002418i
0.00046133+0.01089i,0.012545+0.038717i,0.016215+0.011i,0.011855+0.016494i,0.012851+0.0047282i,0.016439+0.0088199i,-0.0046507+0.028643i,0.0015339+0.02897i,0.0040648+0.0032456i,0.00072199+0.0013378i,0.0027561+0.00026562i,0.0031691+0.0025218i,0.0032576-0.0011734i,0.0028205+0.0037002i,0.0034295+0.0045711i,-0.00029077+0.0090373i,0.0072442+0.0078482i,0.001042+0.00074224i,-0.00029724-0.0024975i,-0.0011813-0.0010105i,-0.0026895-0.00052373i,-0.00093928-0.0026974i,-0.0010297-0.0020398i,-0.0071409+0.0060518i,-0.00072583-0.00013373i,-0.00029272-3.4663e-05i,-0.0009921+0.00013865i,0.00035311+0.00015451i,-0.00044515+0.0010795i,-0.00035547-0.00065581i,0.00091193+0.0012533i,-0.00066327-0.001261i,-0.00038143+0.00031651i,8.3268e-05-0.00024983i,0.0014391+0.001398i,-0.0054347-0.007074i,3.3878e-05+0.0010874i,0.00013093+0.0002325i,-0.00014754-0.00088557i,0.0032049-0.00183i,-0.0019498-0.001815i,-0.00056506+0.00029434i,-0.00088913+0.0032109i,0.0037828+0.0015673i,-0.0037789+0.0053684i,-0.045498-0.028165i,-0.020261+0.035994i,-0.055211+0.012158i,-0.081613+0.028301i,-0.039386+0.01021i,-0.030679+0.035953i,-0.027309+0.029397i,-0.05258-0.018253i,-0.031434-0.031078i,-0.022219+0.03051i,-0.0065264+0.0066352i,0.018871+0.010958i,0.0048585-0.0080082i,-0.0047453-0.0019561i,-0.0179+0.01592i,0.0035871-0.00038392i,0.0035693+0.0048165i,0.0013981-0.0014159i,0.011776-0.0019296i,0.00060993+0.0056091i,0.0011673-0.00034373i,-0.0024143-0.010244i,0.0029137+0.0042341i,-0.00070496+0.0036204i,-0.0022555+0.010856i,-0.0016651+0.00079076i,0.0058794-0.0032618i,0.007996+0.00091681i,0.0032129-0.00071652i,-0.017036-0.019695i,0.0061226-0.0083945i,0.0010914-0.0026628i,0.0037089-0.0021219i,0.0011751+0.0009419i,0.0020768-0.0075892i,0.002706-3.5906e-05i,-0.00055761+0.0068503i,0.0037415+0.0016624i,0.0038141-0.0030867i,-0.0032945-0.010327i,-0.0029898-0.0033077i,-8.5799e-05-0.0079661i,0.00060487+0.0036522i,-0.00075392-0.010335i,-0.044625+0.002174i,-0.030647+0.0083592i,-0.0093513-0.0098702i,-0.003594-0.011654i,-0.0032962+0.027151i,-0.0086374+0.012478i,-0.0091768+0.0042818i
0.0016712+0.0098591i,0.018222+0.036048i,0.016462+0.0087583i,0.013331+0.012211i,0.011417+0.0014103i,0.017497+0.0053495i,0.00069204+0.027178i,0.004086+0.028078i,0.0037182+0.0018125i,0.00070927+0.0011158i,0.0023233+0.00028286i,0.00459+0.0022031i,0.0024105-0.0017258i,0.0035087+0.0019881i,0.0041851+0.003592i,0.0030948+0.0087746i,0.0095494+0.0038212i,0.0014062+0.00048337i,-0.0010202-0.0024448i,-0.0015395-0.00042285i,-0.0021506+0.00036514i,-0.0015275-0.0024917i,-0.0014063-0.0015604i,-0.0060194+0.0076611i,-0.0009355-4.8842e-05i,-0.00065766+0.00030428i,-0.00060348+0.00077374i,-0.00021238-0.0002784i,-0.00013218+0.00077836i,-0.00046941-0.00067275i,0.0011716+0.00092775i,-0.00083881-0.00048971i,-1.6521e-05+0.00046777i,-1.2109e-05-0.00016613i,0.0019047+0.00054852i,-0.0079276-0.0070572i,7.835e-05+0.00042011i,9.8763e-05-0.00011618i,-0.00048946-0.00059585i,0.0023907-0.0022384i,-0.0019173-0.0010409i,-0.00030326+0.00040858i,0.00014155+0.0026113i,0.0042546+0.00089343i,-0.0022972+0.0055391i,-0.04458-0.023171i,-0.015312+0.03443i,-0.049522+0.024341i,-0.070714+0.044812i,-0.039527+0.015812i,-0.023776+0.035317i,-0.022347+0.027064i,-0.052494-0.012569i,-0.033453-0.026228i,-0.013882+0.032828i,-0.0038004+0.0072785i,0.013474-0.0018704i,0.0011107-0.010353i,-0.0049172+0.0012076i,-0.010346+0.019543i,0.0024172-0.0016033i,0.0035749+0.0018165i,0.0018459-0.00021403i,0.0099044-0.0053756i,0.004582+0.0064013i,0.0012738+0.0013041i,-0.0079411-0.0055553i,0.0041541+0.0053233i,0.00099499+0.0053659i,0.0030409+0.010682i,-0.0008149+0.0011185i,0.0046717-0.0045572i,0.0071572-0.0040905i,0.0015499-0.0017019i,-0.02489-0.011943i,0.0027295-0.0084919i,-0.00025947-0.0018093i,0.0039865-0.00085125i,0.0018868+0.00048901i,0.0025267-0.0087217i,0.0020263-0.0013629i,0.0021735+0.0053856i,0.0033511+0.00076743i,0.0033312-0.0025096i,-0.0067569-0.0064329i,-0.0044424-0.0027423i,-0.0040691-0.0064874i,0.00080469+0.0026145i,-0.0043838-0.0074569i,-0.0412+0.0072826i,-0.024056+0.01047i,-0.0094854-0.0087532i,-0.0070981-0.011343i,0.0010891+0.023879i,-0.0063945+0.013407i,-0.0079311+0.003805i
0.0027031+0.0088047i,0.023485+0.032398i,0.017376+0.0068323i,0.013702+0.00879i,0.0094577-0.00055574i,0.017715+0.0018405i,0.0052979+0.024928i,0.0073618+0.027755i,0.0034164+0.00043301i,0.0008189+0.00103i,0.0026256+0.00038251i,0.0060216+0.00032743i,0.0015856-0.0017985i,0.0029019+0.00095444i,0.0048845+0.0027497i,0.006057+0.0068157i,0.0092863+0.00022472i,0.0017123-0.00023544i,-0.0017419-0.0022212i,-0.0014381+0.00043884i,-0.0014129+0.00094149i,-0.002041-0.0017504i,-0.0016008-0.0011413i,-0.0030332+0.0091241i,-0.00092039+0.00035313i,-0.00036378+0.00077346i,-0.00062359+0.0011306i,-0.00092375+1.7842e-05i,-9.5747e-07+0.00071574i,-0.00056713-0.00060495i,0.0018744+0.00099302i,-0.00036332-0.00034311i,-0.00020475+0.00046376i,-0.00015359-0.00011588i,0.0016498-0.00027742i,-0.01058-0.0050896i,0.00066486+0.0003363i,-0.00010116-7.9812e-05i,-0.00094321-0.00042444i,0.0018429-0.0022553i,-0.0017316-0.0010042i,-6.347e-05+0.00029344i,0.00043614+0.0020745i,0.0043493+0.00020702i,-0.00098464+0.0046451i,-0.047123-0.019454i,-0.011194+0.032819i,-0.042013+0.03352i,-0.055438+0.055469i,-0.038428+0.021389i,-0.016899+0.033395i,-0.018486+0.026334i,-0.051948-0.007213i,-0.034529-0.020743i,-0.0059165+0.03341i,-0.002143+0.0067344i,0.0057392-0.0045624i,-0.0032438-0.010916i,-0.0031916+0.0045154i,-0.0029114+0.01982i,0.00026246-0.0022778i,0.0022092+3.2699e-05i,0.0014985+3.5796e-05i,0.0070615-0.008776i,0.0077458+0.0036315i,0.0026807+0.0016352i,-0.0085982-0.0014105i,0.0062434+0.0058769i,0.003587+0.0060372i,0.0077007+0.0086949i,-0.00029986+0.0016293i,0.0038048-0.0055387i,0.0062551-0.006082i,0.00065385-0.00049638i,-0.029284-0.0025286i,0.00036635-0.0081718i,-0.00036015-0.00050203i,0.0047925-0.00092303i,0.0022122-4.2903e-05i,0.001252-0.011421i,0.00045689-0.001687i,0.0037017+0.0038958i,0.0035116-0.00022782i,0.0045503-0.0034154i,-0.008248-0.0032981i,-0.0061783-0.0004871i,-0.0074048-0.0036573i,0.0008091+0.001445i,-0.0058723-0.0046679i,-0.037394+0.010881i,-0.021299+0.011071i,-0.0092918-0.010431i,-0.010218-0.010004i,0.0015818+0.021539i,-0.0058997+0.013465i,-0.0066719+0.0036098i
0.0038731+0.0078323i,0.029342+0.02795i,0.019054+0.0041176i,0.013614+0.0060404i,0.0082496-0.00096793i,0.017279-0.0013712i,0.0090457+0.021494i,0.011826+0.026857i,0.0029307-0.00089708i,0.00094699+0.00081659i,0.0028672-0.00031613i,0.0053477-0.0025434i,0.0011016-0.001612i,0.0026675+0.00043126i,0.0054988+0.0015534i,0.0072594+0.0038741i,0.007937-0.0020676i,0.0011963-0.0010129i,-0.0025623-0.0014985i,-0.00076204+0.00086138i,-0.00049951+0.00091933i,-0.0020929-0.0012055i,-0.0017921-0.00067267i,0.00029176+0.0089776i,-0.00060396+0.00058533i,-2.0631e-05+0.00070808i,-0.00018521+0.0013948i,-0.00098344+0.00076236i,0.00024968+0.00036965i,-0.00065661-0.0005466i,0.0021016-0.00042404i,-0.00052664-0.00036921i,-0.00030778+0.00037176i,-0.00035262+1.0964e-05i,0.0010551-0.00079606i,-0.01235-0.0020529i,0.00072757+0.00034615i,-9.1548e-05-4.7918e-06i,-0.0012815+6.29e-05i,0.001508-0.0023404i,-0.0013857-0.0025137i,6.4696e-05+7.0254e-05i,0.00058802+0.0017534i,0.004246-0.00051608i,-0.00055756+0.0037768i,-0.052023-0.012588i,-0.0071995+0.031052i,-0.031151+0.03907i,-0.04037+0.061919i,-0.036113+0.029517i,-0.010611+0.030084i,-0.012052+0.024848i,-0.050358-0.0012671i,-0.033292-0.014804i,0.0010184+0.031713i,-0.0015906+0.0061253i,0.0004192-0.0051485i,-0.0079303-0.010024i,0.00076154+0.005308i,0.0022883+0.01819i,-0.0025783-0.0014543i,0.0081178-0.0047053i,0.0025681+0.0018582i,0.0022164-0.010563i,0.0089785-0.00081327i,0.0037838+0.0010019i,-0.0088145+0.003197i,0.0098843+0.0048434i,0.0074364+0.0044884i,0.011521+0.0041461i,0.0007401+0.002036i,0.0020444-0.0063873i,-0.00063734-0.0094353i,0.0015634+0.00084627i,-0.03253+0.0098719i,-0.0018012-0.0075043i,0.00039044+0.00067027i,0.0056772-0.0043227i,0.0027994-0.00046446i,-0.0037507-0.013194i,-0.00048167-0.00080212i,0.0045413+0.0020934i,0.0032661-0.00071611i,0.0039165-0.005092i,-0.0081229+0.00089731i,-0.0059869+0.0029243i,-0.0080883+0.0001938i,-0.00063695+8.0474e-05i,-0.0061001-0.0022772i,-0.034147+0.0137i,-0.019972+0.015285i,-0.011596-0.014164i,-0.010737-0.0082231i,0.0034113+0.021461i,-0.0059555+0.015837i,-0.004762+0.0017957i
0.0049079+0.0064369i,0.033947+0.021632i,0.020053-0.00011044i,0.013393+0.0037682i,0.0079625-0.0012622i,0.016704-0.0042714i,0.011395+0.017714i,0.015885+0.024327i,0.0019988-0.0019127i,0.00087431+0.00076256i,0.0025625-0.00097366i,0.0031976-0.0038731i,0.00068373-0.0014975i,0.0022463+7.5777e-05i,0.005549+0.00013325i,0.0067766+0.0016244i,0.006512-0.0035937i,0.00065629-0.0012261i,-0.0026996-0.00048445i,-0.00010261+0.00082625i,0.00028226+0.0004546i,-0.001986-0.00087576i,-0.0016762-0.0002493i,0.003081+0.0083107i,-0.00038842+0.00058889i,0.00013937+0.00068794i,0.00047004+0.0012624i,-0.00073452+0.0011423i,0.00016901-6.801e-05i,-0.00094334-0.00040176i,0.0012772-0.001119i,-0.00081987-7.5777e-05i,-0.00022698+0.00056111i,-0.00030731+0.00026673i,0.00041758-0.0010093i,-0.011927+0.00077143i,0.00065473+0.00021062i,-0.00017778-6.8683e-05i,-0.0010797+0.00077546i,0.0011282-0.0027565i,-0.00047115+0.00032906i,-7.0213e-05-0.00030772i,0.00082659+0.0016422i,0.0040677-0.0013685i,-0.0002018+0.0033063i,-0.05397-0.0009477i,-0.0050451+0.029607i,-0.021556+0.040194i,-0.024162+0.065876i,-0.029317+0.038329i,-0.0067594+0.024908i,-0.0079862+0.019516i,-0.046321+0.0032749i,-0.030189-0.009481i,0.0082733+0.029653i,-0.0007311+0.0061821i,-0.0051968-0.0032062i,-0.011949-0.0068055i,0.0034328+0.0030515i,0.0057047+0.015951i,-0.0054916+0.00092537i,4.5536e-06-0.0069986i,0.0051899+0.00046928i,-0.0027143-0.0095709i,0.0068407-0.0046172i,0.0049035-0.00057513i,-0.0070387+0.007022i,0.012523+0.00012972i,0.0089086-0.00067033i,0.011803-0.003658i,0.0021496+0.0016628i,-0.00018711-0.0063971i,-0.0044952-0.0055973i,0.0030869-0.00023568i,-0.021208+0.016499i,-0.0036511-0.006195i,0.0018578+0.00087863i,0.002551-0.0066334i,0.0029351-0.0008909i,-0.0093785-0.011216i,-4.5404e-05+0.00067857i,0.0047572-0.00010634i,0.0027251-0.0013064i,0.0024443-0.005765i,-0.0062818+0.0042625i,-0.0035998+0.005081i,-0.0076549+0.0040058i,-0.0029965+0.00032614i,-0.0056811-0.0008464i,-0.02996+0.017879i,-0.011978+0.018908i,-0.017764-0.015196i,-0.010037-0.0073374i,0.0050445+0.021025i,-0.0031813+0.018856i,-0.0050945-0.0017078i
