-0.022654-0.018906i,-0.031953-0.033061i,-0.022353-0.01972i,-0.032352-0.020083i,-0.023848+0.004163i,-0.028775-0.017512i,-0.05748-0.044012i,-0.04023-0.041528i,-0.030553-0.019087i,0.0052049+0.0057152i,-0.0036879+0.0062374i,-0.011085+0.011128i,0.0038272+0.0070917i,-0.0038627-0.0025854i,0.0029048+0.0017704i,0.0040289+0.028196i,0.021026+0.023211i,-2.0457e-05+0.00023028i,-0.0030145-0.0028978i,0.0075647+0.0038446i,0.0019477+0.00069655i,-0.00025319+0.0023343i,-0.000533+0.00040219i,-0.03155-0.0014714i,-0.0033374-0.0046541i,8.5998e-06+0.002665i,0.0040906-0.0015632i,0.00060648-9.4431e-05i,-0.00048141-0.00055805i,-0.0011409-0.0018418i,-0.0021817-0.00048112i,-0.0036085-0.0041806i,-0.003281-0.0056155i,0.00041642-0.001181i,0.00040152-0.0028285i,-0.0038374+0.024102i,0.0020387-0.0032542i,0.0022882-0.0038198i,0.0042174-0.0025142i,-0.0077083-0.0018579i,0.00056224+0.0011888i,0.0060019-0.0013351i,-0.0024627+4.5415e-05i,-0.0031357+0.0010157i,-0.0093298-0.0031975i,-0.018933+0.021498i,-0.0079346-0.086122i,-0.002543-0.060683i,-0.021084-0.053317i,-0.010674-0.046082i,0.054104-0.025877i,0.024445-0.067471i,0.040692-0.053584i,0.019521-0.038595i,0.025779-0.019672i,0.012364+0.011862i,0.0258-0.029983i,-0.010985-0.0019743i,-0.00086154-0.0011468i,-0.0073778-0.0019054i,-0.0049013-0.02944i,-0.02078+0.026767i,0.0075962-0.0096401i,-0.010239-0.003383i,-0.0023727-0.0018665i,-0.00061021-0.014689i,-0.008409+0.004907i,0.0053296+0.010601i,-0.011128+0.031264i,0.0068167+0.0077606i,-0.0035894-0.0017109i,-0.0024499-0.001547i,-0.012772-0.0057903i,0.00052814-0.0040364i,-0.032612+0.0026162i,0.003238-0.0087865i,-0.0072391-0.0017852i,-0.005108-0.002973i,0.006811+0.0019407i,-0.010599+0.00049439i,0.0024501-0.00027328i,0.005863+0.0078071i,0.0057642+0.00095741i,-0.0082685-0.0097106i,0.002644+0.0079383i,-0.020267+0.0086453i,0.0027179+0.0057515i,-0.021067-0.0089315i,-0.026942-0.0050168i,0.0099962-0.061981i,0.018554-0.014337i,-0.051065-0.028695i,-0.023571+0.0032214i,0.019186+0.010257i,-0.026855+0.011893i,-0.012517-0.0077597i
-0.011501+0.01345i,-0.02123+0.041324i,0.0020312+0.040465i,-0.010448+0.023804i,-0.00030944+0.020849i,0.0017279+0.023202i,-0.0246+0.015338i,-0.02527+0.03287i,-6.639e-05+0.016536i,-0.0012492-0.0012621i,-0.00088859+0.0018031i,0.004279+0.0034025i,0.0032764+0.0048339i,-0.0030334+0.0017757i,-0.003039+0.0037284i,0.0011246-0.0072422i,-0.0078473-0.00080945i,-0.0017233+0.00063736i,0.00021121-0.0013683i,-0.00090436-0.00038102i,0.00074357-0.0032718i,0.0012405-0.0026838i,0.0010278-0.0015106i,-0.0097354-0.0082573i,-0.00012895-0.00050672i,-0.0014275+0.00030767i,-0.0024004-8.5553e-05i,-0.0026229+2.4617e-05i,-0.00090439-0.00099642i,0.0010997-0.00073988i,-0.0017764+0.00034596i,0.0015648-5.6443e-05i,0.0018966-0.00067505i,0.0006109+0.00052816i,-0.00045518+0.001934i,-0.00040207-0.0067882i,-0.0012756+0.00089125i,0.0017522+0.000199i,0.0019442+0.0023628i,0.0046304+0.0059658i,0.0013336-0.0015984i,-0.0013526-0.00095444i,-0.0015415-0.0020442i,0.0024716+0.0060745i,-0.0074683+0.0076211i,0.020448-0.057083i,-0.073448+0.013541i,-0.02824-0.018317i,-0.060596-0.048099i,-0.052925-0.017367i,-0.084996+0.0036158i,-0.073084+0.0022188i,-0.046542-0.033714i,-0.0083182-0.045169i,-0.037919-0.026511i,-0.0063554+0.00013574i,-0.030764+0.010169i,0.0074643+0.011359i,0.0097081+0.0067979i,0.0028216-0.0069266i,0.011016+0.0039084i,-0.011214-0.0025268i,0.0022329+0.012362i,0.0018507+0.0077339i,-0.00037474-0.0012361i,0.0056191+0.0013369i,0.0039163+0.0005326i,-0.0053824+0.019159i,0.00048971+0.0098393i,0.0012005-0.0038751i,0.0081968-0.0060144i,0.0014409+0.0042093i,-0.0074061-0.0076205i,-0.0027587-0.00096718i,0.020418-0.028943i,0.005277+0.0090314i,0.0019061+0.0028117i,-0.0019614+0.0040793i,0.0029238-0.0042573i,0.019075+0.0028949i,0.0015656-0.0022428i,-0.0023911-0.0061172i,-0.00041742-0.0023138i,0.013073+0.0027503i,0.0053003-0.0006214i,0.0038308-0.0082141i,0.0042562+0.004624i,-0.0059614+0.0033849i,0.013487+0.0072346i,-0.042639-0.039013i,-0.012869+0.0045133i,-0.0021006-0.001824i,0.00019247+0.0030461i,-0.041123+0.011133i,-0.0068653+0.0084064i,-0.013059+0.0032075i
-0.0087164+0.014285i,-0.014062+0.041822i,0.011007+0.033865i,-0.0059246+0.024731i,0.0024846+0.018494i,0.0060199+0.021816i,-0.023307+0.0191i,-0.017332+0.034602i,0.0034671+0.011652i,-0.0014992-0.00043997i,-2.8206e-05+0.0028896i,0.0048578+0.00083957i,0.0040781+0.0031668i,-0.0015287+0.0029014i,-0.0022322+0.0047133i,-0.0033811-0.0057077i,-0.0086246+0.0034733i,-0.0014835+0.00096516i,0.00090712-0.00092576i,-0.00041814-2.9096e-05i,-0.00013325-0.0032614i,0.0010542-0.0022368i,0.00083974-0.0013414i,-0.011249-0.0048945i,8.7318e-05-0.00037534i,-0.0014572+0.00075854i,-0.0016781+0.00082516i,-0.0022384+0.00073913i,-0.0011049-0.00081892i,0.00098092-0.00085941i,-0.001375+0.0012622i,0.0011397-0.00037853i,0.0012439-0.00098357i,0.00028574+0.00052162i,-0.00091695+0.0014898i,-0.00010878-0.006231i,-0.0007193+0.00094516i,0.0009509-0.00040657i,0.0017026+0.0016081i,0.0057652+0.0032525i,0.00077912-0.0021604i,-0.0020452-0.00083372i,-0.002711-0.0010616i,0.0037531+0.0056367i,-0.0053234+0.0058201i,0.0024351-0.066944i,-0.064475+0.027853i,-0.034867-0.020837i,-0.073683-0.038673i,-0.053294-0.0059441i,-0.076407+0.020167i,-0.070195+0.016318i,-0.040015-0.031556i,-0.014103-0.043592i,-0.045319-0.01245i,-0.0072918+0.00035168i,-0.024112+0.022621i,0.0096468+0.006014i,0.011463+0.00066479i,-0.0020857-0.01228i,0.0077535+0.0028002i,-0.010708+0.0033724i,0.0076968+0.010356i,0.0045992+0.0087115i,-0.00075456-0.00085386i,0.006488+0.0020052i,0.0047209+0.00028421i,0.0039679+0.016476i,0.0051787+0.0053788i,-0.0030721-0.0057697i,0.0021969-0.0067694i,0.0033314+0.0048586i,-0.010027-0.00052111i,-0.0023626+0.0019643i,0.0072821-0.029984i,0.0078788+0.0076383i,0.0042803+0.002251i,0.001585+0.0032266i,-0.00038817-0.00203i,0.016846-0.0060036i,-1.0963e-05-0.0028106i,-0.0058267-0.003758i,-0.0031144-0.0012392i,0.01082-0.00074844i,0.0044245-0.00024977i,0.00050914-0.0064583i,0.005902+0.0033545i,-0.0061037+0.0056834i,0.013708+0.0023312i,-0.049689-0.032844i,-0.0068834-0.0054906i,-0.0024824-0.002614i,0.0017512+0.0014835i,-0.034984+0.023513i,-0.0046698+0.0094227i,-0.011252+0.0048382i
-0.0055738+0.014363i,-0.007554+0.042263i,0.01559+0.026133i,-0.0014269+0.023915i,0.0060656+0.01743i,0.0099925+0.019369i,-0.020357+0.023153i,-0.010237+0.032786i,0.003288+0.0076197i,-0.0015972+0.00054447i,0.0017924+0.0032399i,0.0021375-0.00040646i,0.0043623+0.0018782i,-0.00074752+0.0029246i,-0.00089678+0.0055824i,-0.0066792-0.0018015i,-0.0070143+0.0073307i,-0.0007288+0.0015431i,0.0013275-0.0016815i,0.00022802-0.00035709i,-0.0010895-0.0030778i,0.00094213-0.002817i,0.00084278-0.0015494i,-0.012219-0.0018169i,-5.2697e-05-0.00036916i,-0.00096576+0.0015463i,-0.0010194+0.00056241i,-0.0013499+0.001492i,-0.0013235-0.00064277i,0.00056535-0.0014021i,-0.00071366+0.0015191i,0.00068222-0.00067985i,0.00049682-0.0011478i,0.00058631+0.00017126i,-0.00057879+0.0023951i,0.00040085-0.0066046i,-0.00067032+0.00091261i,0.00036342-0.00068595i,0.0025707+0.00011909i,0.0055448+0.0010244i,-4.6925e-06-0.0022189i,-0.0016604+0.00029175i,-0.0034992+0.00022719i,0.0051031+0.0039425i,-0.0046193+0.0042672i,-0.019693-0.067651i,-0.051362+0.036965i,-0.043174-0.017382i,-0.080818-0.023796i,-0.048885+0.0029931i,-0.062165+0.031214i,-0.057423+0.028555i,-0.042272-0.034527i,-0.019636-0.042734i,-0.045078+0.0034809i,-0.0074289+0.0016581i,-0.012094+0.028101i,0.010255+0.0015115i,0.0079771-0.0047957i,-0.013011-0.012505i,0.007536+0.00070549i,-0.0069198+0.0068727i,0.010627+0.0048138i,0.0062992+0.0068003i,-0.0029771+0.00042827i,0.0066978-0.0016557i,0.0056809-0.0023346i,0.0077634+0.010301i,0.0040948+0.0011701i,-0.0081196-0.0027729i,-0.00023956-0.0047961i,0.0060681+0.0037298i,-0.0061891+0.0082831i,0.00018442+0.0031391i,-0.0040965-0.027587i,0.011838+0.0039826i,0.0047299+5.9505e-05i,0.0026688+0.0014333i,0.00045366-0.00010439i,0.010789-0.010508i,-0.0025939-4.3863e-05i,-0.0068926-4.4337e-05i,-0.0039931+0.0021506i,0.0072102-0.0027493i,0.0073397-0.0017869i,0.00037705-0.0059055i,0.0090933+0.00085076i,-0.0027469+0.0071299i,0.012493-0.0022082i,-0.05485-0.022289i,-0.013502-0.014191i,-0.001474-0.0035096i,0.003768-0.0016851i,-0.023352+0.029337i,-0.0036409+0.0056148i,-0.0078422+0.0011194i
-0.0026178+0.013304i,-0.00027444+0.042248i,0.017407+0.018883i,0.0033972+0.022943i,0.010157+0.014033i,0.013312+0.015885i,-0.015919+0.026459i,-0.0061427+0.030269i,0.0026832+0.0059369i,-0.0010009+0.0015363i,0.0027158+0.0020025i,0.0010527+0.0013987i,0.0041793+0.000738i,-0.00053454+0.0036107i,0.00061147+0.0057109i,-0.0067579+0.00363i,-0.0031489+0.010209i,8.2482e-05+0.0013515i,0.00057507-0.0024741i,-2.8834e-06-0.001014i,-0.0018444-0.0025063i,0.00027788-0.0030895i,0.00061881-0.0021593i,-0.011957+0.0021972i,-5.6066e-05-0.00049841i,0.00011395+0.0012214i,-0.0008494+0.0002809i,-0.00027756+0.0014082i,-0.0015929+9.5021e-05i,-0.00025069-0.0013304i,-0.00042756+0.0015203i,0.00015062-0.00069029i,-0.00035791-0.00088349i,0.00054287+2.594e-05i,0.00080007+0.0022381i,0.0001942-0.0078316i,-0.00017157+0.0014409i,-0.00033165-0.0004754i,0.0014768-0.00062156i,0.0050994-0.00065904i,-0.0005153-0.0021224i,-0.00091388+0.00030862i,-0.0032628+0.0019663i,0.0045448+0.0012569i,-0.0048167+0.0038705i,-0.038821-0.056763i,-0.038107+0.03998i,-0.049176-0.0104i,-0.08484-0.0089273i,-0.042542+0.0082199i,-0.049726+0.035031i,-0.044213+0.030755i,-0.047235-0.030966i,-0.025338-0.038415i,-0.039773+0.014817i,-0.0076215+0.0032668i,-0.00099767+0.02797i,0.0094336-0.0029479i,0.0029479-0.0062666i,-0.021044-0.0043198i,0.0045499-0.00035912i,-0.0028537+0.0075089i,0.0093561-0.0011598i,0.0082931+0.0056123i,-0.002859+0.0034184i,0.0034062-0.0027053i,0.0049414-0.0058879i,0.0082195+0.0044117i,0.001189-0.00035488i,-0.0088061+0.0012581i,-0.0017094-0.0034119i,0.0071883+0.0014886i,0.0027453+0.0091845i,0.0019197+0.0020064i,-0.010063-0.022871i,0.012209-0.00051236i,0.0036831-0.0017265i,0.0028085+0.0011623i,0.00076243-0.00034978i,0.0056326-0.010678i,-0.00010785+0.0025528i,-0.0061485+0.0028361i,-0.001135+0.0047119i,0.0050633-0.002337i,0.0066448-0.0060893i,-0.0020803-0.0053822i,0.0085641-0.0046123i,-0.00048719+0.0057923i,0.010389-0.0066019i,-0.053596-0.0094577i,-0.023362-0.015109i,-0.0026111-0.0076452i,0.003388-0.0063706i,-0.015125+0.029918i,-0.0068359+0.0048379i,-0.011192-9.4468e-05i
-0.00077147+0.011938i,0.0060893+0.040396i,0.016548+0.013383i,0.0078888+0.020265i,0.012583+0.0095514i,0.015102+0.012066i,-0.010529+0.028128i,-0.0028229+0.028565i,0.0030363+0.0052673i,0.00023975+0.001975i,0.0030196+0.0012327i,0.0019245+0.0024622i,0.0039758-0.00030426i,0.00099374+0.0044552i,0.0022054+0.0054054i,-0.0040435+0.0073593i,0.0016312+0.01059i,0.00058855+0.0010722i,0.00012639-0.0022647i,-0.00056782-0.0011768i,-0.0026256-0.0018444i,-0.00050161-0.0029226i,-0.0002917-0.0024543i,-0.009393+0.0052488i,-0.00060837-0.0005753i,0.00016673+0.0002936i,-0.00088738+0.00024637i,0.00017355+0.00079134i,-0.0012504+0.00093213i,-0.00041489-0.00081897i,0.00021665+0.0015538i,-0.00010011-0.00093998i,-0.00062668-0.0004212i,0.00035306-0.00014985i,0.0012045+0.0014777i,-0.0021264-0.0093309i,8.0603e-05+0.0014205i,-0.00031637+0.00021912i,0.00058458-0.00085486i,0.0041328-0.0014569i,-0.0012157-0.0021228i,-0.00072386+0.00023404i,-0.0019309+0.0029844i,0.0031473+0.0012195i,-0.0043821+0.0043992i,-0.046531-0.039882i,-0.027718+0.038343i,-0.053941-0.0013018i,-0.086596+0.0077048i,-0.038268+0.0089957i,-0.03921+0.036238i,-0.035023+0.030329i,-0.050451-0.026417i,-0.027717-0.03448i,-0.032713+0.024927i,-0.0069289+0.0049904i,0.011095+0.024109i,0.0070039-0.0056471i,-0.0014908-0.0051495i,-0.023702+0.0056143i,0.0033523+0.00026521i,0.00084387+0.0073413i,0.0044183-0.0031707i,0.010508+0.0030701i,-0.0011471+0.004959i,0.0012806-0.0014329i,0.0027013-0.0084538i,0.003826+0.0022169i,-0.0010318+0.0010842i,-0.0086673+0.0067246i,-0.0026719-0.0011993i,0.0072257-0.0013635i,0.0064408+0.0051368i,0.0025329+0.00090173i,-0.01224-0.019542i,0.010489-0.0053625i,0.0024832-0.002467i,0.0046579+0.00074055i,0.00082903-9.221e-05i,0.002967-0.0095104i,0.0020676+0.0017478i,-0.0037906+0.0058044i,0.0022921+0.0043925i,0.0047348-0.0022254i,0.0027053-0.010532i,-0.0027467-0.003551i,0.0043022-0.0078931i,-7.1388e-05+0.0046373i,0.0055149-0.010254i,-0.047556-0.0030439i,-0.033491-0.0059568i,-0.0057791-0.0096952i,5.7014e-05-0.010436i,-0.0083532+0.029115i,-0.0097226+0.0076094i,-0.012387+0.0027157i
0.00063286+0.010824i,0.011814+0.038198i,0.015564+0.010623i,0.011104+0.016479i,0.012748+0.0048328i,0.016337+0.008839i,-0.0045927+0.028046i,-9.3539e-05+0.02662i,0.0037009+0.0033147i,0.00082373+0.0013368i,0.0025838+0.00041153i,0.0029806+0.0025746i,0.0033578-0.0012008i,0.0026828+0.0035874i,0.0034301+0.0045773i,-0.00031375+0.0090352i,0.0059887+0.0088939i,0.0010178+0.00082201i,-0.00041248-0.0023629i,-0.00119-0.0010654i,-0.0026832-0.00061722i,-0.00092052-0.0026595i,-0.0010175-0.0020666i,-0.007235+0.0060586i,-0.00093393-0.00074833i,-0.00020197+2.5006e-05i,-0.0010111+0.00028429i,0.00033217+0.00018033i,-0.00045775+0.0011891i,-0.00036003-0.00062618i,0.00085618+0.0012725i,-0.00064887-0.0009888i,-0.00060539-2.1169e-05i,4.0695e-05-0.00027027i,0.0013917+0.0013858i,-0.005714-0.0093308i,0.00011285+0.00091036i,0.0001528+0.00025168i,5.7104e-05-0.00078987i,0.0032473-0.0020597i,-0.0016806-0.0013072i,-0.00070094+0.00025504i,-0.00047731+0.0030136i,0.0034585+0.0017925i,-0.003463+0.0050643i,-0.045064-0.027915i,-0.020381+0.035962i,-0.054973+0.01181i,-0.081667+0.027628i,-0.039234+0.0098552i,-0.030733+0.035256i,-0.027431+0.029271i,-0.05201-0.01973i,-0.030956-0.031195i,-0.023104+0.030102i,-0.0062182+0.0069253i,0.01764+0.01075i,0.0049231-0.0079122i,-0.0046215-0.0017543i,-0.019476+0.016115i,0.0034282-0.00043581i,0.0038308+0.0050108i,0.0015736-0.0017358i,0.011825-0.0020381i,0.00090375+0.0065264i,0.00094763-0.00035903i,-0.0026722-0.010297i,0.0026755+0.0044955i,-0.00078049+0.0037117i,-0.0030249+0.012096i,-0.0014819+0.0007764i,0.0057459-0.0031176i,0.0079183+0.0015666i,0.0031903-0.00080721i,-0.018138-0.017657i,0.0066235-0.0076369i,0.00078008-0.00289i,0.0038704-0.0013999i,0.0010519+0.00070746i,0.0020684-0.0079898i,0.0026785+0.00024353i,-0.0002822+0.0063567i,0.0038755+0.0017054i,0.0038265-0.003142i,-0.0033975-0.0099783i,-0.0031653-0.0034643i,0.00039874-0.006867i,0.00081305+0.0036286i,-0.00079677-0.010477i,-0.044543+0.001411i,-0.030317+0.0080627i,-0.0095956-0.0098886i,-0.0043265-0.011406i,-0.003809+0.027435i,-0.0077662+0.012269i,-0.009248+0.0045085i
0.001868+0.0097433i,0.017352+0.035684i,0.015603+0.0085497i,0.012773+0.012412i,0.011397+0.0015125i,0.017329+0.0053942i,0.0005894+0.026638i,0.0018443+0.025897i,0.0035539+0.0017805i,0.00074487+0.0010354i,0.002203+0.00054164i,0.0044652+0.002412i,0.0024646-0.0017277i,0.0034149+0.0019291i,0.0041767+0.0035993i,0.0031807+0.008844i,0.0087805+0.005665i,0.0013866+0.00056602i,-0.00099943-0.0023742i,-0.0015987-0.00048256i,-0.002181+0.00032611i,-0.0014895-0.0024994i,-0.0014164-0.0015882i,-0.0061191+0.0076701i,-0.0009985-0.00010353i,-0.00055319+0.00028443i,-0.00076052+0.00072221i,-0.00016863-0.00027799i,-7.2547e-05+0.00079855i,-0.00043789-0.00066834i,0.0011602+0.00082625i,-0.00070212-0.00035722i,-0.00028689+9.2383e-05i,-0.00012024-0.00016056i,0.0019275+0.00047747i,-0.0093558-0.0073375i,0.00027106+0.00053207i,0.00010596-9.7243e-05i,-0.00034468-0.00073228i,0.0024122-0.0024961i,-0.0015687-0.0006696i,-0.00043584+0.00042289i,0.00029845+0.0022479i,0.0040827+0.0011088i,-0.0020467+0.0050536i,-0.043713-0.023248i,-0.015282+0.034421i,-0.0495+0.024214i,-0.070746+0.044213i,-0.039529+0.015553i,-0.02405+0.034743i,-0.022336+0.026906i,-0.052439-0.014065i,-0.033143-0.026147i,-0.014964+0.03249i,-0.0034386+0.0073902i,0.012501-0.0016783i,0.0015034-0.010488i,-0.0047732+0.001307i,-0.012018+0.020702i,0.0022383-0.0014571i,0.0045022+0.0019157i,0.0017092-0.00047146i,0.0097904-0.0056111i,0.004761+0.0060722i,0.0011661+0.001227i,-0.0078492-0.0053362i,0.0043263+0.0057267i,0.00094059+0.0053209i,0.0035465+0.011517i,-0.00078432+0.0011173i,0.0045169-0.0043642i,0.0083786-0.0034221i,0.0013655-0.0017047i,-0.025461-0.0099579i,0.0038271-0.0079599i,-0.00043087-0.0017109i,0.003993-0.00055685i,0.0018173+0.00048264i,0.0025782-0.0089581i,0.0022992-0.0012213i,0.0020387+0.004701i,0.0034307+0.00072436i,0.0034014-0.0028126i,-0.0065859-0.006288i,-0.0047409-0.002907i,-0.0024104-0.0069933i,0.00080775+0.0022316i,-0.0044838-0.0075784i,-0.041169+0.0063657i,-0.023969+0.010262i,-0.0096681-0.0084993i,-0.0077188-0.010466i,0.0010994+0.024455i,-0.0059053+0.012719i,-0.0080277+0.0039055i
0.0028919+0.008572i,0.022776+0.032456i,0.016394+0.0069318i,0.013224+0.0090026i,0.0095188-0.00052447i,0.017495+0.0019329i,0.0051561+0.024448i,0.0051761+0.025756i,0.0031265+0.00032022i,0.00081308+0.00091914i,0.0026823+0.00071109i,0.0060013+0.00062401i,0.0016181-0.0018125i,0.002823+0.00092328i,0.0048472+0.0026957i,0.0061636+0.0069257i,0.0096636+0.0022826i,0.0017439-0.00019937i,-0.0016576-0.0021853i,-0.0015377+0.00043139i,-0.0014134+0.00092102i,-0.0020044-0.0017705i,-0.001611-0.0011821i,-0.0030973+0.009144i,-0.00092671+0.0002965i,-0.00035317+0.00066967i,-0.00068074+0.0013057i,-0.00096543-7.7478e-05i,1.0943e-05+0.00064816i,-0.00057618-0.00061559i,0.0015005+0.00058027i,-0.00036208-0.00043066i,-0.00035564+0.00012799i,-0.00020749-7.0157e-05i,0.0016675-0.00038056i,-0.012091-0.003767i,0.00080497+0.00065464i,-0.00011404-4.8035e-05i,-0.00095767-0.00050973i,0.0017154-0.0024336i,-0.0012453-0.00043498i,-0.00015022+0.00033003i,0.00042545+0.0017554i,0.0042157+0.00027992i,-0.00086957+0.0041001i,-0.04616-0.019547i,-0.011098+0.032708i,-0.041852+0.033197i,-0.05588+0.054796i,-0.038202+0.02124i,-0.017192+0.033207i,-0.018586+0.026095i,-0.052472-0.0083215i,-0.033921-0.020444i,-0.0072004+0.033356i,-0.0015957+0.0070282i,0.0051197-0.0036668i,-0.0028634-0.011124i,-0.003189+0.0044821i,-0.0048417+0.020258i,0.00027047-0.0020855i,0.0029622-0.0013655i,0.0013494-3.2499e-05i,0.0069409-0.0088894i,0.0079213+0.0035398i,0.0024283+0.0017208i,-0.0084563-0.001274i,0.0063688+0.0059353i,0.00357+0.0059709i,0.0087266+0.0091283i,-0.00029934+0.0016102i,0.0036819-0.0051089i,0.0070855-0.010161i,0.00054442-0.00033494i,-0.030523+0.0011947i,0.0028451-0.0084598i,-0.00039533-0.00044227i,0.0048477-0.00083951i,0.00218+9.3819e-05i,0.0011066-0.01155i,0.00067793-0.0017164i,0.0034249+0.003687i,0.0037146-0.00016511i,0.004188-0.0036091i,-0.0080454-0.0034997i,-0.0064712-0.0002712i,-0.0071506-0.0053852i,0.00060016+0.00094277i,-0.0060254-0.0045483i,-0.037537+0.0098481i,-0.021793+0.011236i,-0.0090601-0.010193i,-0.010182-0.0089149i,0.0017641+0.022331i,-0.0056576+0.012559i,-0.006676+0.0036571i
0.0039106+0.0075606i,0.028736+0.027926i,0.018204+0.0047138i,0.013108+0.0063638i,0.0082557-0.0010546i,0.017124-0.0012483i,0.0088077+0.021034i,0.010199+0.025224i,0.0024777-0.00072229i,0.00086346+0.00075531i,0.0030941-3.8182e-05i,0.005602-0.0023478i,0.0010502-0.0016188i,0.0026374+0.00048355i,0.0054138+0.0014855i,0.0073449+0.0040834i,0.0094087-0.0011895i,0.0011628-0.001027i,-0.002474-0.0015658i,-0.00085538+0.00091473i,-0.00049484+0.000883i,-0.0020719-0.0012572i,-0.0018135-0.00072244i,0.00013285+0.00893i,-0.00066546+0.00053389i,-5.5059e-05+0.00069497i,-9.1394e-05+0.0016239i,-0.001119+0.00060987i,0.00022094+0.0003173i,-0.00067451-0.00052746i,0.0015146-0.00036994i,-0.00069371-0.00047869i,-0.00041202+0.00029702i,-0.00034444-2.2917e-06i,0.0010447-0.00086961i,-0.011948+0.0013502i,0.0011518+0.00028895i,-6.7769e-05+2.0741e-05i,-0.0012591+1.4057e-05i,0.0012185-0.0024753i,-0.0022853-0.0016223i,1.0677e-05+0.00010299i,0.00037318+0.0014971i,0.00413-0.00045359i,-0.00051106+0.0031897i,-0.051035-0.012638i,-0.0070819+0.030872i,-0.031108+0.038768i,-0.041264+0.061418i,-0.035863+0.029262i,-0.010634+0.029795i,-0.012298+0.024721i,-0.05128-0.0018341i,-0.032933-0.014821i,-0.00015609+0.033478i,-0.00066841+0.0062705i,0.00054448-0.0040895i,-0.0079743-0.01003i,0.00063358+0.0054055i,0.00073895+0.017959i,-0.0023392-0.0013506i,0.0055066-0.0037851i,0.0024654+0.0017343i,0.0023491-0.010714i,0.0092986-0.0011527i,0.0037347+0.0011627i,-0.0085672+0.0031924i,0.0097935+0.0047954i,0.0074275+0.0043447i,0.012639+0.0037177i,0.00064208+0.0020591i,0.0023008-0.0060611i,-0.001481-0.0086169i,0.0016135+0.00092096i,-0.031867+0.014409i,-0.0016623-0.0062232i,0.00042107+0.00072941i,0.0056186-0.0045292i,0.00284-0.00021827i,-0.0040116-0.013048i,-0.00047014-0.00091513i,0.0044215+0.0022846i,0.0034761-0.00074426i,0.0034873-0.004908i,-0.0082198+0.000597i,-0.005947+0.0032716i,-0.0084359+3.5106e-05i,-0.00074692-0.00024449i,-0.0060605-0.0021276i,-0.034332+0.012425i,-0.02054+0.016057i,-0.0113-0.014004i,-0.0098395-0.0070434i,0.0037796+0.021915i,-0.0059601+0.014912i,-0.0048068+0.0018877i
0.0048723+0.0062032i,0.033316+0.021605i,0.019699+0.00069512i,0.013048+0.0042126i,0.007865-0.0013665i,0.016577-0.0040869i,0.011079+0.017343i,0.014831+0.022501i,0.0017369-0.0014598i,0.00075059+0.00072765i,0.0028529-0.00082343i,0.0034967-0.0039587i,0.00058424-0.0014338i,0.0023549+0.00013992i,0.0054485+9.2864e-05i,0.0068726+0.0017934i,0.0079843-0.0036617i,0.00062183-0.0011709i,-0.0026571-0.00063292i,-0.00011741+0.00096028i,0.00026456+0.00042568i,-0.0020115-0.00090477i,-0.0017299-0.00028261i,0.0028719+0.0083088i,-0.00038094+0.0005666i,0.0001127+0.00068856i,0.0005987+0.0013019i,-0.00085697+0.00091337i,0.00012647-5.6947e-05i,-0.00095649-0.00041197i,0.0010592-0.00091118i,-0.00096097-3.7154e-05i,-0.00025612+0.0005624i,-0.00034623+0.00024048i,0.00040804-0.0011221i,-0.010585+0.0053152i,0.00046077+0.00021902i,-0.00012505-7.2041e-05i,-0.0012721+0.00069945i,0.00066249-0.0027144i,-0.00077169+0.00029384i,-6.0179e-05-0.00025975i,0.00053054+0.0015234i,0.0041761-0.0012574i,-0.00024183+0.0027i,-0.052785-0.0015318i,-0.0048363+0.02927i,-0.021775+0.039919i,-0.025038+0.065926i,-0.029054+0.038094i,-0.006805+0.024561i,-0.0083078+0.019528i,-0.047412+0.0033724i,-0.029899-0.0091865i,0.0089149+0.031123i,-0.00063639+0.0062257i,-0.0046277-0.0023173i,-0.011996-0.0062625i,0.0033489+0.0033233i,0.0052518+0.01615i,-0.0052182+0.00087807i,-0.00013607-0.0065377i,0.0049317+0.00036286i,-0.002698-0.0098083i,0.0067749-0.0047339i,0.0048527-0.00066454i,-0.0071215+0.0069678i,0.012271+6.1611e-05i,0.0090568-0.00040629i,0.012056-0.0041912i,0.0020952+0.0017909i,0.0001634-0.0063092i,-0.0045354-0.0051604i,0.0031077-0.00030967i,-0.025924+0.021967i,-0.0031807-0.0058459i,0.0018965+0.0010468i,0.0020871-0.0067352i,0.0030693-0.00078266i,-0.0097047-0.010696i,-0.0002091+0.00077802i,0.0049523+0.00033499i,0.0025737-0.0014471i,0.0022938-0.0054182i,-0.0063936+0.0043008i,-0.0035553+0.005263i,-0.0077818+0.0040401i,-0.0032788-1.0819e-06i,-0.0056486-0.00075925i,-0.030568+0.0168i,-0.012081+0.019567i,-0.017687-0.015139i,-0.0089447-0.0077917i,0.0052581+0.020839i,-0.0035087+0.018286i,-0.0048983-0.0016621i
