-0.025042-0.0055087i,-0.020894-0.0080622i,-0.0127-0.013755i,-0.035895-0.0085291i,-0.02695+0.0016759i,-0.035966-0.0028445i,-0.067657-0.035852i,-0.034792-0.014804i,-0.023289+0.0025244i,0.0067231+0.0065049i,-0.0050655+0.006981i,-0.0078591+0.018246i,0.0046771+0.0077924i,-0.0011179+0.0036304i,0.0040854+0.0040277i,0.0048141+0.025408i,0.019534+0.018148i,0.0010759-0.00055762i,0.00069891-0.0055073i,0.0092197-0.00010121i,0.0046908-0.0017757i,0.0029782+0.0022306i,0.0010204-0.00048734i,-0.024036+0.00023527i,-0.0057185-0.0034533i,-0.0011681+0.0031314i,0.0033571-0.0033755i,-0.0016362+0.00031133i,-0.00068955+0.00095439i,-0.0026517-0.0017308i,-0.004064-0.00060766i,-0.0064934-0.0087604i,-0.005838-0.0030482i,-0.0007694-1.3343e-05i,-0.00044908-0.0020972i,-0.0026236+0.019967i,0.0023595-0.0040126i,0.0011222-0.0046044i,0.0026437-0.0019463i,-0.0010904-0.0027903i,0.00098523-0.00020528i,0.0087517-1.9442e-05i,0.0051365-0.002196i,0.00015296+0.0021407i,-0.014314+0.015442i,-0.027303+0.054429i,-0.0054378-0.037131i,-0.015209-0.018902i,-0.039879-0.016857i,-0.027699-0.012838i,0.036768-0.011314i,0.0061841-0.030333i,0.013198-0.037692i,-0.0072454-0.03034i,0.026439-0.022843i,0.013431+0.007204i,0.027754-0.034214i,-0.0018699-0.0041584i,0.0061426-0.0086351i,-0.00088715-0.005941i,9.2296e-05-0.035556i,-0.014537+0.028206i,0.0092371-0.012216i,-0.0078863-0.0045562i,-0.0026503-0.0018851i,-0.00031948-0.015822i,-0.0081545+0.0062184i,0.0041119+0.0070369i,-0.00040953+0.02645i,0.0032737+0.00060015i,-0.0067821-0.004619i,-0.0036643-0.0062598i,-0.014077-0.01004i,-0.00231-0.0057287i,-0.055524+0.022564i,-0.0044753-0.0089038i,-0.012534-0.00092274i,-0.010009-0.0058241i,0.0016765-0.0012647i,-0.013492+0.0025907i,-0.0010648-0.00056811i,0.0053447+0.0059528i,0.00396-0.0050133i,-0.010239-0.016404i,0.0077097+0.0091928i,-0.015583+0.0064253i,0.00494+0.00038837i,-0.019889-0.0029978i,-0.016005-0.0037146i,-0.015464-0.035888i,0.020262-0.010683i,-0.038922-0.023206i,-0.01042+0.0046407i,0.017534+0.014883i,-0.023001+0.017313i,-0.0043331-0.0033376i
0.0031016+0.01391i,-0.0035818+0.016215i,-0.0015307+0.026477i,0.0015291+0.024668i,-9.1476e-05+0.028853i,0.011164+0.022674i,-0.010407+0.026202i,-0.0035607+0.02094i,0.012385+0.0053405i,0.00098315-0.0032051i,0.0024497+0.00061093i,0.0065435-0.0026528i,0.00073222-0.0015314i,0.00052784-0.0035524i,4.2609e-05-0.0017517i,0.0065825-0.0077471i,-0.0025661-0.0063123i,-0.0027786+0.00014494i,0.00076918-3.7729e-05i,7.7857e-05+0.0016109i,0.0014387+0.002668i,-0.00025725-8.4316e-05i,0.0013832+0.00022745i,-0.0076297-0.0033018i,-0.00039208-0.0006592i,-0.0021447+0.00062563i,-0.0042823+0.00078771i,-0.0016606+0.00056604i,-0.00089365+0.00094035i,-0.00016031-0.00060741i,-0.0024239+0.0008905i,0.001262-0.0019267i,-0.00025207-0.0028165i,0.00014009-0.0016279i,-0.0011561+0.00079467i,-0.00010006-0.0037004i,-0.0014113+0.0015147i,0.0020623+0.00047965i,0.0018171+0.0042858i,0.001426+0.0021873i,-0.00092169+0.00086725i,-0.0012729+0.00050633i,-0.001797-0.0010602i,0.0034977+0.0054847i,0.014551+0.0066659i,0.045232-0.052342i,-0.027442+0.0057557i,0.017928-0.027301i,-0.021699-0.034321i,-0.011903+0.0029384i,-0.032724+0.03485i,-0.019275+0.0043529i,-0.016556+0.0085084i,-0.0024212-0.017754i,-0.040539-0.021666i,-0.0085956+0.0019023i,-0.029326+0.012949i,0.0023735+0.014743i,0.00039207+0.0048577i,-0.0050677-0.0058999i,-0.00030042+0.0016417i,-0.015829-0.0025214i,0.0051246+0.013975i,-0.0010795+0.0077588i,-0.0019175+0.0041969i,0.00073202+0.0060105i,0.0023482+0.0030681i,-0.0012408+0.018617i,0.0050892+0.015136i,0.0048497-0.0052573i,0.011982-0.0047666i,0.0083718+0.0023226i,-0.006085-0.0079029i,-0.00032328-0.0017173i,0.017913-0.035353i,0.0094381+0.0036829i,0.008585-0.00093851i,0.0023641-0.00072766i,0.0056056-0.0088205i,0.021432+0.0010132i,0.0063506-0.0032043i,0.0019723-0.006907i,0.004278-0.0037148i,0.017468+0.0031987i,0.0070661+0.0038989i,0.0029539-0.0034563i,0.0085165+0.0096673i,-0.0020679+0.0047997i,0.0083598+0.009181i,-0.01342-0.015517i,-0.0088953+0.002422i,-0.0086015-0.014251i,-0.0076157-0.0045685i,-0.041562+0.0049282i,-0.0057989+0.0040997i,-0.01237-0.0016424i
0.0053491+0.013121i,-0.0012377+0.013776i,0.0048295+0.021745i,0.0052577+0.022298i,0.0038743+0.027011i,0.01449+0.020078i,-0.0068799+0.027383i,0.00065403+0.020328i,0.012267+0.001136i,0.00052295-0.0033645i,0.0028293+0.00080572i,0.005063-0.0053067i,0.0002272-0.002367i,0.00078038-0.0030692i,-0.00057663-0.0016321i,0.002696-0.0070565i,-0.0059288-0.0041551i,-0.000725+0.0023964i,0.0018119-0.00015079i,0.0012201+0.001254i,-0.0024666+0.0036556i,0.00025729+0.00048975i,0.0016427-0.0004305i,-0.0069673-0.00087391i,-0.00027159-0.0002697i,-0.0018499+0.0016227i,-0.0028037+0.0027592i,-0.00092838+0.00092513i,0.00052078-3.8899e-05i,3.11e-05-0.00029174i,-0.0013797+0.0024402i,1.3245e-05-0.0014665i,-0.0016143-0.0028496i,-0.0015128-0.0012846i,-0.0018426+0.00097676i,0.00073337-0.0026024i,-0.00016154+0.0017807i,0.0015592-0.00050667i,0.0048903+0.0053739i,0.0019249+0.00098171i,-0.00035548+0.00153i,-0.0013006+0.0007001i,-0.0022339-0.00044893i,0.0051324+0.0040359i,0.015192+0.0022322i,0.025083-0.062355i,-0.021213+0.013734i,0.0077479-0.034319i,-0.033696-0.026061i,-0.0094568+0.0061828i,-0.020975+0.040125i,-0.015018+0.0092116i,-0.0053299+0.0034309i,-0.0044481-0.016716i,-0.045463-0.0061111i,-0.0086301+0.0026227i,-0.022671+0.025459i,0.0060973+0.01007i,0.0013458+0.0034261i,-0.0096929-0.0069249i,-0.002794+0.0046574i,-0.014936+0.0066313i,0.0098973+0.0094163i,0.00071166+0.010374i,-0.00039377+0.0041538i,0.0029312+0.0068341i,0.003939+0.0029276i,0.0066626+0.014528i,0.0092626+0.0079471i,-0.0019157-0.0077551i,0.0062187-0.006407i,0.0077+0.00052846i,-0.0058105-0.0032662i,-0.00046547+0.0010391i,0.0044266-0.03519i,0.011025+0.0013771i,0.0086806-0.0043796i,0.0039511-0.0024113i,0.00075884-0.006117i,0.020205-0.0087692i,0.0030727-0.0049261i,-0.0016743-0.0054613i,0.00071854-0.0030338i,0.015092-0.0030012i,0.0088337+0.0029681i,0.0019912-0.0021359i,0.011787+0.005898i,-0.00094522+0.0056679i,0.0096129+0.0047094i,-0.019114-0.013451i,-0.0036538-0.012252i,-0.0077006-0.012469i,-0.0076737-0.0036406i,-0.034342+0.018216i,-0.0036689+0.0051852i,-0.010587+0.0027588i
0.0081401+0.012086i,2.9589e-05+0.012262i,0.0076575+0.015901i,0.0079318+0.019915i,0.0086471+0.025434i,0.017544+0.016971i,-0.0022693+0.028154i,0.0045251+0.018419i,0.01059-0.00195i,-0.00051873-0.003509i,0.0037357+0.00040968i,0.0012933-0.0061063i,-0.00053093-0.0025796i,5.3935e-05-0.0031688i,-0.0010105-0.0012799i,-0.00080496-0.0050233i,-0.0072036-0.00047546i,0.00077912+0.002344i,0.0022748-0.0014647i,0.0021382-2.7552e-05i,-0.00080423+0.0026114i,0.0012056+0.00017148i,0.0015124-0.0011467i,-0.0063415+0.00016681i,-0.00014701-9.835e-05i,-0.00043838+0.0028401i,-0.00084469+0.0032766i,-0.00022204+0.0010532i,-7.7432e-05+0.00032121i,-6.5402e-05-0.00045182i,0.00069873+0.0035763i,-0.00041965-0.00094165i,-0.0026892-0.0017238i,-0.0022071-0.00032246i,-0.0014931+0.0019904i,0.0019658-0.0030744i,0.00065964+0.0014777i,0.00081498-0.0010987i,0.013731-0.00039141i,0.0020158+0.00048142i,0.00026095+0.0014548i,-0.00059649+0.0014115i,-0.0026035+0.00014475i,0.0055878+0.001457i,0.014466-0.001524i,0.0030391-0.061934i,-0.010852+0.017187i,-0.0033739-0.036255i,-0.037274-0.016348i,-0.0038482+0.0073598i,-0.0068568+0.040395i,-0.005545+0.011482i,-0.0043053-0.0042934i,-0.0066605-0.015698i,-0.043247+0.0093679i,-0.0074321+0.0044923i,-0.0093823+0.031572i,0.006156+0.0056461i,-0.00040655+0.0011166i,-0.017046-0.0029823i,-0.001847+0.0063908i,-0.0098338+0.010044i,0.011112+0.0034101i,0.0053613+0.010536i,-0.0013315+0.0048433i,0.0043388+0.0052026i,0.0052336+0.00072861i,0.0083698+0.0084781i,0.0086465+0.0027232i,-0.0069372-0.0026139i,0.003979-0.0057704i,0.0085619-0.00045057i,-0.0032932+0.0059709i,0.0022607+0.0024485i,-0.010401-0.033878i,0.012056-0.0035395i,0.0055163-0.0069077i,0.0023859-0.0043972i,0.00057937-0.0042521i,0.012489-0.016087i,0.00019444-0.0017937i,-0.001738-0.0036511i,-0.00049399+0.00020796i,0.011313-0.0060643i,0.01176-0.0016033i,0.0029956-0.0030784i,0.014465+0.00010735i,0.003117+0.0051666i,0.0093602+0.0012541i,-0.022631-0.0062828i,-0.014994-0.020388i,-0.0066669-0.014707i,-0.006269-0.0038124i,-0.025835+0.022929i,-0.0036779+0.00039376i,-0.0080947-0.0012018i
0.011218+0.009845i,0.0021042+0.011484i,0.0081039+0.010723i,0.01058+0.017949i,0.013013+0.02185i,0.019954+0.012923i,0.0031568+0.028i,0.0074097+0.015613i,0.0088439-0.0033813i,-0.0016917-0.0029441i,0.0041118-0.001333i,-0.001284-0.0043768i,-0.0014397-0.0025889i,-0.001188-0.0027137i,-0.0013536-0.00070847i,-0.0019789-0.001678i,-0.0062386+0.0033476i,0.001805+0.0015824i,0.0014503-0.0018495i,0.0016571-0.0017726i,0.00033146+0.0021033i,0.0016673-0.00056953i,0.0010404-0.0018612i,-0.0061171+0.0015239i,0.00017213-0.00025421i,0.0018252+0.0017024i,0.00036407+0.0029564i,0.00033489+0.00062079i,0.00042082-0.00042614i,-0.00011416-0.0002425i,0.0016685+0.0035385i,-0.00092776-0.00059488i,-0.0032895-0.00021764i,-0.0022134+0.00090638i,-0.00060664+0.0025266i,0.0025395-0.0051493i,0.0017446+0.00080909i,8.2888e-05-0.00094095i,-0.002883-0.0019153i,0.0023645-3.8948e-05i,0.00076423+0.0010246i,0.0003113+0.001235i,-0.0028493+0.0011495i,0.0037697-0.0015431i,0.013246-0.0045152i,-0.013326-0.049277i,-0.0015653+0.014627i,-0.013924-0.033869i,-0.039362-0.0069542i,0.0011395+0.0049489i,0.006303+0.034348i,0.0022953+0.0048834i,-0.0052034-0.0054588i,-0.006945-0.01246i,-0.036699+0.01832i,-0.0062066+0.0058115i,0.0014176+0.029919i,0.0071796+0.0030571i,-0.0036226+0.0020812i,-0.020177+0.0062952i,-0.0014937+0.0088954i,-0.0055976+0.0098437i,0.0089795-0.0021236i,0.0087898+0.0084998i,0.00016702+0.0071758i,0.0040607+0.0048411i,0.005531-0.0025164i,0.0070124+0.0032658i,0.0056238+0.00091414i,-0.0047636+0.0017551i,0.0022515-0.0054389i,0.0087276-0.0028095i,0.0046983+0.0074861i,0.0038545+0.00051012i,-0.014122-0.017563i,0.0090555-0.0073325i,0.0029291-0.0084725i,0.00098563-0.0030012i,8.9373e-05-0.0046578i,0.0048877-0.017498i,0.0031635-0.00041079i,-0.0035332+0.00017573i,0.002447+0.0019303i,0.0090384-0.0063468i,0.0093764-0.0070337i,0.0011387-0.0037615i,0.011205-0.008066i,0.0039443+0.0015036i,0.0090135-0.0027069i,-0.019626+0.001718i,-0.026405-0.01816i,-0.010659-0.018541i,-0.0069307-0.0059009i,-0.015805+0.026867i,-0.0086244+0.00030892i,-0.011607-5.2246e-05i
0.013094+0.006671i,0.0031829+0.0095855i,0.0064066+0.0070905i,0.013209+0.01531i,0.016+0.017579i,0.021111+0.0088013i,0.0088818+0.026045i,0.0092212+0.012901i,0.0077363-0.0042562i,-0.001945-0.0019886i,0.0028706-0.0025925i,-0.0020955-0.0024753i,-0.0022518-0.0022432i,-0.0015603-0.0019211i,-0.0015731+0.00053761i,-0.0013245+0.00078395i,-0.0038192+0.0060975i,0.0020397+0.0007499i,0.0011546-0.0017843i,0.00029977-0.0024835i,0.00085563+0.001463i,0.0015496-0.0012906i,9.3377e-05-0.0021975i,-0.0045629+0.0024909i,0.00026854-0.00061286i,0.001824-0.00058564i,0.0013195+0.0020881i,0.00047959+0.00012542i,-0.00060817+0.0017588i,0.00027504-0.00020263i,0.0025258+0.0024349i,-0.0011355-0.00024245i,-0.0028528+0.0015755i,-0.0017394+0.0018703i,0.00017515+0.0026425i,0.0017452-0.007233i,0.0021949-0.0010954i,-0.00020635-0.00047473i,0.00027695-0.00066562i,0.0021857-0.00081049i,0.00083337+0.00069368i,0.00066826+0.00070054i,-0.0012376+0.003645i,0.0012606-0.0006405i,0.01166-0.0065793i,-0.017027-0.034501i,0.0034395+0.0091634i,-0.023288-0.027558i,-0.040487+0.0072019i,0.0035246+0.00011566i,0.015618+0.028635i,0.0054478-0.0022866i,-0.0047762-0.007356i,-0.0051238-0.012862i,-0.030696+0.026793i,-0.0043666+0.0066678i,0.012487+0.025017i,0.0065802+0.00010146i,-0.0048206+0.0055715i,-0.017453+0.015175i,0.0017956+0.010147i,-0.0014932+0.011923i,0.0041738-0.003519i,0.011325+0.0054597i,0.003185+0.0078601i,0.0048803+0.0046783i,0.0046193-0.0052066i,0.0037351+0.003025i,0.0032023+0.0018378i,-0.0033672+0.0036432i,0.00090338-0.0045053i,0.0073213-0.0053134i,0.0087889+0.0025223i,0.0039293-0.0018196i,-0.015839-0.017764i,0.0051974-0.0094099i,-0.0011766-0.0082879i,0.0022411-0.0027976i,-0.0011795-0.0036955i,-0.0003474-0.015871i,0.0042993-0.0025385i,-0.0017132+0.0021336i,0.0048921+0.00047652i,0.0077048-0.0079701i,0.0056707-0.012473i,0.00085963-0.0034405i,0.0039913-0.011109i,0.002409+0.00029539i,0.0050268-0.0066144i,-0.013174+0.0040501i,-0.036888-0.0083099i,-0.017177-0.018294i,-0.0081292-0.0071191i,-0.0090227+0.026323i,-0.01201+0.0037638i,-0.010939+0.00399i
0.014016+0.0033235i,0.0036171+0.0085559i,0.004679+0.0059207i,0.015242+0.012196i,0.017464+0.013254i,0.022066+0.004883i,0.014141+0.022058i,0.010527+0.010315i,0.0070378-0.0053565i,-0.002224-0.0016913i,0.00108-0.0030123i,-0.0022717-0.00085629i,-0.0033809-0.0015012i,-0.001591-0.0015261i,-0.0018992+0.0010487i,4.6469e-05+0.0020812i,-8.3141e-05+0.0074503i,0.0020359+1.0875e-05i,0.00049758-0.0021112i,-0.00095494-0.0022014i,0.0015388+0.0011174i,0.0012113-0.0019015i,-0.00074687-0.0018844i,-0.0038797+0.0021163i,6.9936e-06-0.00050544i,0.00071897-0.0020014i,0.0010835+0.00034762i,0.00061602-0.00041585i,0.00087254+0.00089816i,0.00034659-0.0007i,0.0029029+0.0011946i,-0.0012681+1.0023e-05i,-0.0015412+0.0028297i,-0.00068216+0.0023955i,0.0008073+0.0025337i,-0.00043764-0.0081486i,-0.00047915-0.0023306i,-0.0001034-0.00028462i,0.00019742-0.0012542i,0.0015516-0.0008466i,0.0010127+0.00061529i,0.00070041+0.00042333i,-2.6149e-05-0.00058181i,0.00093365+0.0012116i,0.010141-0.0079039i,-0.016594-0.025853i,0.0054169+0.0047307i,-0.027231-0.017007i,-0.035827+0.020105i,0.00064211-0.0044226i,0.018223+0.020456i,0.0056303-0.0087417i,-0.0049163-0.0081364i,-0.0070017-0.013272i,-0.02187+0.032688i,-0.0034952+0.0073079i,0.018561+0.01149i,0.0057189-0.0021292i,-0.0029982+0.008949i,-0.010338+0.021409i,0.0049428+0.0085169i,0.0033715+0.010581i,0.0020378-0.0021571i,0.01306+0.00088668i,0.0058673+0.0068804i,0.0062225+0.0038049i,-0.00036789-0.0084026i,0.004157+0.0049957i,0.0038451+0.0035128i,-0.00051875+0.0058477i,0.0010053-0.0040066i,0.0056146-0.0063304i,0.0089998-0.0026636i,0.0031579-0.0038523i,-0.021935-0.013343i,0.0013239-0.0098682i,-0.0046552-0.0064442i,0.0011325-0.0041362i,-0.0015678-0.0020316i,-0.0028019-0.012485i,0.003729-0.0041713i,0.00034425+0.0022367i,0.004905-0.0036274i,0.0045067-0.00881i,-0.003003-0.012692i,0.00027456-0.0049188i,-0.00018082-0.0080516i,0.0021687-0.00097607i,-0.00025503-0.00608i,-0.0097856+0.0039504i,-0.033647+0.0084078i,-0.022887-0.014951i,-0.010669-0.0076122i,-0.005083+0.025974i,-0.011013+0.0089123i,-0.0064184+0.0051391i
0.01421-0.00015707i,0.0045898+0.0081643i,0.0038054+0.0057769i,0.016498+0.0086576i,0.018084+0.0096557i,0.022403+0.00043283i,0.017913+0.016899i,0.011218+0.0078721i,0.0062257-0.0063228i,-0.0027386-0.00077102i,-0.00045258-0.002225i,-0.0013758+0.00054214i,-0.0040305-7.6129e-05i,-0.0020302-0.0015584i,-0.0017338+0.001563i,0.0012988+0.0025112i,0.0040681+0.0066523i,0.0016562-0.0004152i,0.00011857-0.0021771i,-0.0015883-0.0013515i,0.0020559+0.00038405i,0.00061449-0.0024081i,-0.0011751-0.001309i,-0.0040622+0.0028424i,-0.0001728-0.0004916i,-0.0006775-0.0019275i,0.00089604-0.00051312i,0.00030806-0.0011886i,0.0011434-0.00013657i,-0.00013439-0.0012026i,0.0033436+0.00015799i,-0.0010355+0.00075652i,0.00037369+0.0026445i,0.00031204+0.0023462i,0.0016185+0.0019004i,-0.0027095-0.008475i,-0.00030827-0.00030883i,-0.00014375-0.00045852i,-0.00014548-0.0012141i,0.0012103-0.00082904i,0.0010853-6.4898e-05i,0.00098863+0.00030066i,-0.00082247-6.3592e-05i,0.0016343+0.0017088i,0.0091744-0.009662i,-0.018171-0.02371i,0.0064637+0.0014684i,-0.025082-0.008483i,-0.027301+0.029893i,-0.0018113-0.0043653i,0.020354+0.01389i,0.0027748-0.014072i,-0.004899-0.009292i,-0.007654-0.010796i,-0.013395+0.035751i,-0.00096088+0.0073755i,0.012466-0.00010564i,0.0036123-0.0045016i,0.00023798+0.010414i,-0.0021427+0.022148i,0.0062589+0.0058644i,0.0056302+0.0065054i,0.0023806-0.00083624i,0.012467-0.0036197i,0.0095776+0.0049282i,0.007324+0.0031668i,-0.0052014-0.004052i,0.0061114+0.0051271i,0.0057538+0.0039734i,0.0025383+0.0052132i,-0.00012314-0.004485i,0.0037504-0.0078582i,0.0071197-0.0080239i,-8.9323e-05-0.0045793i,-0.026691-0.0058191i,-0.0017269-0.0090359i,-0.0056291-0.0028362i,0.00066788-0.0024609i,-0.0015534-0.0016261i,-0.0044521-0.012348i,0.0025854-0.0048921i,0.0013815+0.00063284i,0.0019696-0.0050216i,0.0020909-0.0084429i,-0.0073375-0.0076576i,-0.0023435-0.0053976i,-0.0029185-0.0060629i,0.00078506-0.0019406i,-0.0022694-0.003169i,-0.0064847+0.0042723i,-0.026039+0.010607i,-0.02327-0.010277i,-0.013068-0.005915i,0.0010462+0.023672i,-0.0092053+0.01117i,-0.0045421+0.0034649i
0.013451-0.003645i,0.0060549+0.0077326i,0.0038359+0.0063289i,0.016882+0.0053227i,0.018129+0.0064895i,0.021488-0.0038575i,0.020488+0.011281i,0.011724+0.0057731i,0.0052545-0.0075396i,-0.0023772+0.00024106i,-0.0010134-0.00061116i,-0.00022307+0.00059495i,-0.0040081+0.0016608i,-0.0029693-0.00085452i,-0.001153+0.0022551i,0.0026165+0.0020256i,0.0068064+0.0034857i,0.0015413-0.00065722i,-0.00026217-0.0022605i,-0.001553-0.00036442i,0.0021766-0.00052483i,-0.00015804-0.0023434i,-0.0013177-0.00077513i,-0.0030575+0.0040428i,-0.00051367-0.00052668i,-0.0012112-0.0012352i,0.00021456-0.0013652i,-0.00053566-0.0016224i,0.00081336-0.0010209i,-0.00080703-0.0012491i,0.0028624-0.0022689i,-0.00038056+0.00067128i,0.00093048+0.0017988i,0.0010114+0.0019383i,0.001843+0.0011203i,-0.0050801-0.0068579i,-0.00016392-0.00049442i,-0.00052797-0.00039177i,-0.00073756-0.0014316i,0.001098-0.00070509i,0.0009655-0.00040156i,0.0011812-4.9894e-06i,-0.0010597+4.8827e-05i,0.0022248+0.00163i,0.0073548-0.011737i,-0.024051-0.021909i,0.0058873-0.0022872i,-0.023447-0.0023806i,-0.013956+0.032852i,-0.0041594-0.0041274i,0.021873+0.0063957i,-0.0003956-0.015973i,-0.0058665-0.010028i,-0.0061846-0.007919i,-0.0036427+0.036596i,0.0013731+0.006105i,0.006889-0.0010871i,0.00059992-0.0055175i,0.0046817+0.011062i,0.0049312+0.020088i,0.0061813+0.003049i,0.0064317+0.0013385i,0.0018977-0.00036597i,0.0094291-0.0082997i,0.011861+0.0007321i,0.0089695+0.0013871i,-0.0052946-0.00071769i,0.0083724+0.0043396i,0.0079658+0.0036859i,0.0050697+0.0033645i,-0.0011269-0.0038651i,0.0020801-0.0087519i,0.0023497-0.010934i,-0.0015097-0.0024811i,-0.026917+0.0044184i,-0.0038111-0.0078471i,-0.0060568-0.00089917i,0.0010694-0.0019406i,-0.0020488-0.001041i,-0.0080679-0.011611i,-0.0010537-0.0059098i,0.0016661-9.5633e-05i,6.0696e-05-0.0049912i,0.00044748-0.0080914i,-0.0090047-0.0040613i,-0.0050081-0.0031347i,-0.0043247-0.0046428i,0.00026837-0.0023537i,-0.0022129-0.001361i,-0.003266+0.0038983i,-0.02395+0.01211i,-0.022687-0.0079398i,-0.014401-0.0032868i,0.0024322+0.02221i,-0.0077022+0.011994i,-0.0036756+0.0021063i
0.011825-0.0064377i,0.0082647+0.0063941i,0.0052583+0.0065326i,0.016816+0.0021635i,0.018304+0.0038886i,0.019898-0.0073956i,0.021274+0.0044861i,0.012095+0.0036098i,0.0037806-0.0085661i,-0.0016567+0.00046708i,0.0018295-0.003588i,-8.4485e-05-0.0001252i,-0.0032861+0.0031725i,-0.0030849+0.00039605i,-0.0001912+0.0025343i,0.00299+0.00083397i,0.0066735-0.00019997i,0.0013258-0.0010686i,-0.00091218-0.0020036i,-0.0010036+9.4355e-05i,0.0020184-0.0015709i,-0.00056957-0.0021017i,-0.0011726-0.00031878i,-0.0014826+0.0046223i,-0.00094771-0.00039037i,-0.0018813-0.00059881i,-0.0010593-0.0016779i,-0.0014847-0.0013331i,7.1224e-05-0.0016641i,-0.0014573-0.00091255i,0.00051654-0.0019242i,-0.00046049+0.00081486i,0.0010938+0.0013831i,0.0016089+0.0014002i,0.001876+0.00040009i,-0.0065776-0.0033628i,-0.0003898-0.00033286i,-0.00063261-0.0001403i,-0.0014351-0.0011505i,0.00097813-0.00062412i,0.00074671-0.00066489i,0.0011893-0.00034678i,-0.0012693+0.0002494i,0.00284+0.0013155i,0.0047542-0.012672i,-0.029106-0.017212i,0.0044769-0.0052212i,-0.017552+0.0035678i,-0.0021212+0.033016i,-0.0055519-0.0010863i,0.021731-0.0017832i,-0.0012348-0.018659i,-0.0060854-0.009444i,-0.002718-0.0044441i,0.0064729+0.034998i,0.002173+0.003913i,0.0041424-0.0014939i,-0.0029488-0.0052866i,0.0098038+0.0082192i,0.0093826+0.016001i,0.0052365+0.0016862i,0.0050046-0.0034701i,0.0031914+0.001904i,0.0044322-0.010637i,0.011823-0.0054235i,0.0094397-0.00090003i,-0.005215+0.0024416i,0.011133+0.0020521i,0.011072+0.0010308i,0.006109-9.8376e-05i,-0.0017829-0.003458i,-0.00063672-0.0090488i,-0.0042587-0.0074688i,-0.00085132-0.00070013i,-0.024689+0.013698i,-0.0059514-0.0067493i,-0.004455+0.001871i,0.0012144-0.0044937i,-0.0018122+0.00037897i,-0.011976-0.0083675i,-0.0040254-0.0032039i,0.0013142-0.0014956i,-0.0015843-0.0043972i,-0.0015135-0.0079997i,-0.0090718+0.00095199i,-0.0050524+2.0884e-05i,-0.0074071-0.0029536i,-0.0020522-0.0040683i,-0.0014045-0.0010981i,-0.00088017+0.0031058i,-0.023549+0.018145i,-0.023148-0.0084077i,-0.011286-6.0276e-05i,0.0064259+0.021661i,-0.0069335+0.013794i,-0.0023926-0.00013798i
0.010166-0.0083335i,0.010069+0.0040847i,0.0069691+0.0053776i,0.016063-0.00088129i,0.018355+0.0012145i,0.017943-0.010382i,0.019477-0.0014399i,0.012182+0.0014991i,0.0022904-0.0091375i,-0.0015237+0.00069196i,-0.00031128-0.0017759i,-0.00063243-0.00023244i,-0.0021858+0.0040855i,-0.0027207+0.0015731i,0.00074406+0.0023152i,0.0022811-9.5047e-05i,0.0050879-0.0024304i,0.00095569-0.0011258i,-0.00085764-0.0019995i,-0.00041511+0.00019867i,0.0015315-0.002414i,-0.00092243-0.002118i,-0.00086447-0.00015613i,5.1127e-05+0.0048149i,-0.0012458-8.53e-05i,-0.002255+0.00039958i,-0.0023265-0.0010291i,-0.0019597-0.0006414i,-0.0010176-0.0017672i,-0.0020221-0.00031651i,0.00024451-0.0013106i,-0.00013984+0.0012102i,0.0015248+0.00079861i,0.0021028+0.00066764i,0.0015807-0.00021261i,-0.0076744+0.00015571i,-0.00037936-0.00058412i,-0.00075169-8.7305e-05i,-0.0018154-0.00058168i,0.001121-0.00037794i,0.00059359-0.00083055i,0.0012652-0.00070115i,-0.0013529+0.00054128i,0.0033118+0.00077625i,0.0026224-0.012754i,-0.029468-0.0091585i,0.0015206-0.006984i,-0.010811+0.0038397i,0.0090205+0.030681i,-0.004176+0.0028862i,0.018356-0.0087659i,-0.0043858-0.023163i,-0.0046158-0.0087381i,0.00047535-0.0044627i,0.017143+0.029356i,0.0017364+0.0026036i,0.0010838-0.0014134i,-0.0051123-0.0029203i,0.011968+0.002329i,0.012157+0.012412i,0.0029962+0.0017599i,0.0014397-0.0069326i,0.0061773+0.00052354i,-0.00074368-0.0098643i,0.0075124-0.0097387i,0.0090017-0.0040844i,-0.0045511+0.0045829i,0.012225-0.0030455i,0.010779-0.0054211i,0.0055342-0.0031925i,-0.0025743-0.0027425i,-0.0035642-0.0084559i,-0.0050696-0.010017i,0.00028516-0.00094813i,-0.016902+0.026001i,-0.0085214-0.004619i,-0.0023634+0.0029634i,-0.0020782-0.0047518i,-0.00082948+0.00078972i,-0.014513-0.0032956i,-0.0034417-0.00020401i,-2.784e-05-0.0023108i,-0.0033419-0.0031685i,-0.0038047-0.0066545i,-0.0067363+0.0044431i,-0.0033532+0.0018035i,-0.0078953+0.0021461i,-0.0053545-0.0036396i,-0.0018366-0.0011465i,0.0032499+0.0025873i,-0.012545+0.024933i,-0.026536-0.0071166i,-0.010496-0.0017087i,0.0089025+0.0191i,-0.0043449+0.016503i,-0.003362-0.0034703i
