-0.022746-0.037345i,-0.010396-0.051362i,-0.017647-0.045813i,-0.030811-0.03641i,-0.029572-0.017341i,-0.051133-0.029171i,-0.059505-0.026922i,-0.044494-0.038585i,-0.027868-0.031496i,0.0086623+0.011191i,-0.0069307+0.01629i,-0.0047593+0.014542i,0.0098905+0.020263i,0.00058774+0.0047914i,0.0035324+0.0034901i,0.0071024+0.018669i,0.015307+0.034491i,-0.0024297-0.0016051i,-0.0051588-0.005948i,0.0068178+0.0058546i,-0.00019867-0.00065784i,-0.0007704+0.0016681i,0.00010628-0.00041133i,-0.028057-0.0013652i,-0.0022412-0.0061493i,0.0011219+0.0049476i,0.0031079-0.0015941i,-0.00012179+0.00070946i,0.00064398-0.00028265i,-0.0009429-0.0025288i,-0.0014011-0.0056575i,-0.0051677-0.0047252i,-0.0024468-0.0040213i,0.0026339-0.00028644i,0.00195-0.0029887i,-0.0044178+0.026831i,0.0008428-0.0035629i,0.0029607+0.00092428i,0.0056094+0.0011583i,-0.0086378-0.00012346i,-0.0039792+5.8076e-06i,0.0045745-0.00048138i,0.007677+0.00076871i,-0.0043189+0.0047123i,0.0028391-0.010162i,-0.011344+0.017826i,0.035214-0.091376i,0.012959-0.070874i,-0.015698-0.059945i,-0.01584-0.056309i,0.038854-0.047106i,0.017027-0.062997i,0.034746-0.056556i,0.031342-0.05872i,0.014609-0.013445i,0.0041758+0.017015i,0.016421-0.025942i,-0.011837+0.0061456i,-0.00071445+0.005458i,-0.0054416-0.00075706i,-0.0024369-0.028404i,-0.025936+0.030767i,0.010029-0.011088i,-0.013304-0.0030248i,-0.00034943-0.0051075i,-0.0018607-0.016592i,-0.0074423+0.0044214i,0.0052082+0.0061304i,-0.0095807+0.030419i,0.0053422+0.006153i,-0.0051161-0.00071217i,-0.0032009-0.00020755i,-0.011988-0.008567i,-0.00067668-0.0044095i,-0.022988+0.018719i,0.00019527-0.0099728i,-0.0094747-0.0017607i,-0.0067088-0.0028388i,0.0078933+0.0030519i,-0.0071406+0.0013177i,-7.2743e-05+0.00037318i,0.0075465+0.010513i,0.0038597+0.0016411i,-0.00862-0.009743i,0.0034533+0.0081997i,-0.020555+0.0036429i,0.0084239+0.00052564i,-0.029762-0.0044541i,-0.041339+0.0018379i,0.022641-0.090906i,-0.0023212-0.012797i,-0.053446-0.021842i,-0.024553+0.00074526i,0.017976+0.010459i,-0.024844+0.012841i,-0.017825-0.010875i
-0.033676+0.018078i,-0.052731+0.01993i,-0.032795+0.046332i,-0.031009+0.024756i,-0.028461+0.039873i,0.0047514+0.047627i,-0.0031468+0.024201i,-0.017842+0.039408i,-0.013338+0.021734i,-0.0039161-0.0038335i,-0.0044853-0.0032043i,-0.0016626-0.0033645i,-0.0039283-0.0011249i,-0.0066979-0.0046479i,-0.0020471+0.0041171i,-0.0034761-0.0016448i,-0.0085428-0.0085294i,-0.0017851-0.00073945i,0.0026211-0.00075375i,0.0021461-0.00080341i,0.0027793-0.0036427i,0.002423-0.0038277i,0.001312-0.0026674i,-0.0087733-0.0086276i,-0.0019452+0.00064511i,-0.003694+0.0014955i,-0.0019515-0.00019036i,-0.0035981-0.0007632i,-0.0013672-0.0012582i,0.0012866-0.0019134i,-0.0042416+0.006331i,0.0015291-0.00014022i,0.0025627-3.5555e-05i,0.00078583+0.0016518i,-0.0013184+0.0029037i,-0.0011191-0.0066701i,-0.0035044-0.00042398i,0.0001783-0.0003065i,-0.00058375+0.0034326i,0.0065029+0.0040989i,0.0010664-0.0031301i,0.0017644-0.0060824i,-0.0026119+0.0028455i,-0.00058617+0.0034066i,-0.034979-0.0042094i,0.0088646-0.078492i,-0.094375-0.030466i,-0.052477-0.036411i,-0.075489-0.050005i,-0.058756-0.0052588i,-0.093838+0.018861i,-0.058951+0.012205i,-0.0487-0.025731i,-0.030558-0.058895i,-0.028488-0.031451i,0.0028678+0.004871i,-0.01823+0.011408i,0.0091206+0.0032884i,0.011116+0.0044913i,0.00089109-0.0072634i,0.0080231+0.000737i,-0.0069918-0.0049031i,0.0030236+0.014026i,-0.0010015+0.0085873i,0.00078989+0.0016575i,0.0054558+0.0038841i,0.0019686-0.00073184i,-0.00092627+0.014636i,0.0010335+0.012824i,0.0030455-0.0057309i,0.0098227-0.007016i,0.0021941+0.0026074i,-0.0076575-0.0062821i,-0.0023667-0.0028771i,0.016972-0.030275i,0.0058688+0.0036957i,0.0034228+0.004242i,-0.0033484+0.0026187i,0.0020864-0.0037461i,0.021748+0.00012046i,0.0019696-0.0026642i,-9.7564e-05-0.0094509i,0.00065255-0.0025026i,0.01349+0.0039777i,0.0045834-4.5583e-05i,0.0037963-0.005592i,0.0032753+0.0095984i,0.0048396-0.00046834i,0.025442+0.0049077i,-0.081492-0.038445i,-0.0057935+0.019041i,0.0069865-0.0024611i,-0.0015535+0.0031275i,-0.033863+0.012929i,-0.0071305+0.0068203i,-0.017876+0.013744i
-0.029307+0.022481i,-0.048597+0.024802i,-0.021668+0.044878i,-0.026899+0.02849i,-0.021859+0.041384i,0.013608+0.045056i,0.00012127+0.023718i,-0.01023+0.040731i,-0.0090368+0.018913i,-0.0051367-0.0015541i,-0.0045488-0.00081321i,-0.0026462-0.003708i,-0.0047391-0.00045669i,-0.0071053-0.0019154i,-0.00076968+0.0051109i,-0.0056511+0.00060755i,-0.013139-0.0034238i,-0.001384+0.00031782i,0.003198-0.0013965i,0.0020507-0.0017734i,0.0016238-0.0041167i,0.0016927-0.0039482i,0.0008288-0.0026615i,-0.010265-0.0051756i,-0.0011382+0.0009943i,-0.0037695+0.0029163i,-0.0013128+0.00046652i,-0.0034442+0.00027263i,-0.0018318-0.00094748i,0.00068386-0.0018548i,-0.0010301+0.0084086i,0.0011129-0.00044678i,0.0019693-0.00087254i,0.00070375+0.0015203i,-0.0011485+0.0024651i,-0.0016518-0.0060442i,-0.0007767+0.00017638i,-0.00075772-0.00039819i,-0.00048172+0.0038437i,0.0067052+0.00065983i,0.00028743-0.0033179i,-0.0017894-0.0067977i,-0.0024159+0.0037495i,0.00020482+0.0035332i,-0.035211-0.0030805i,-0.015613-0.088581i,-0.091146-0.011842i,-0.062088-0.034619i,-0.087773-0.038895i,-0.057727+0.0049121i,-0.084153+0.036141i,-0.054604+0.024083i,-0.041406-0.024811i,-0.03799-0.054208i,-0.035187-0.019989i,0.00421+0.0018411i,-0.011276+0.019662i,0.0091436-0.00043426i,0.012197-0.0020885i,-0.0044686-0.011901i,0.0037402+0.00025665i,-0.0082528+0.00074002i,0.0078907+0.01184i,0.0016663+0.010233i,0.0010229+0.0014482i,0.0077418+0.0033568i,0.0027159+0.00044383i,0.0052801+0.010925i,0.006911+0.0070248i,-0.0023503-0.0073183i,0.0031123-0.0077153i,0.0033436+0.0029666i,-0.0097255+0.0013501i,-0.0028052-7.6482e-05i,0.003262-0.028715i,0.0070176+0.0030952i,0.0068044+0.0020147i,-0.00057633+0.0027509i,-0.00053712-0.0011786i,0.017377-0.0086484i,0.00022012-0.003305i,-0.004548-0.0077204i,-0.0026418-0.0015804i,0.01212-0.0012598i,0.0039299+0.00063477i,0.0014527-0.0040993i,0.0062949+0.0080428i,0.0038339-0.0011621i,0.024748-0.0031256i,-0.086807-0.028591i,0.0025752+0.0090449i,0.0075799-0.0045323i,-0.00034652+0.00089806i,-0.02727+0.022524i,-0.0053003+0.0074178i,-0.01488+0.016488i
-0.023842+0.025492i,-0.045443+0.029617i,-0.014938+0.041079i,-0.022667+0.03076i,-0.014215+0.0433i,0.021554+0.04022i,0.0036697+0.02339i,-0.0023706+0.040415i,-0.00821+0.016917i,-0.0051114+0.0009235i,-0.0036019+0.00095016i,-0.0057867-0.0031i,-0.0050816+0.0016245i,-0.0073306+0.00023029i,0.0011274+0.0055584i,-0.0062938+0.0043041i,-0.014223+0.003876i,8.8913e-05+0.00088131i,0.0033986-0.0032539i,0.0016764-0.0029182i,0.00013852-0.0046404i,0.00066371-0.0046859i,0.00052041-0.0028954i,-0.011022-0.0022336i,-0.00091536+0.0012235i,-0.0022166+0.0044351i,-0.0009316+0.00036781i,-0.0027697+0.0017115i,-0.0022043-0.00054634i,-0.00032087-0.0025798i,0.0034086+0.0078194i,0.00073766-0.00056781i,0.0012683-0.0013151i,0.001381+0.0010632i,-0.00024022+0.0031618i,-0.0015658-0.0058457i,-0.00094753+0.0002463i,-0.0011709-3.1686e-05i,0.0023312+0.0034452i,0.0052421-0.0015391i,-0.00072352-0.0029424i,-0.00016004-0.0055662i,-0.0017204+0.0059783i,0.0012667+0.0022569i,-0.037161+6.7839e-05i,-0.044003-0.08663i,-0.081365+0.002202i,-0.071993-0.026936i,-0.095354-0.023385i,-0.053194+0.01329i,-0.069075+0.048268i,-0.040685+0.03393i,-0.044844-0.026013i,-0.044754-0.050547i,-0.036633-0.0071671i,0.0043052-0.001211i,-0.0019628+0.021312i,0.0082233-0.0033832i,0.0081599-0.0074665i,-0.015089-0.011291i,0.0024882-0.00040717i,-0.0052093+0.0049182i,0.011137+0.0072526i,0.0039413+0.010908i,0.00019888+0.0018377i,0.0080647-0.001163i,0.0045147-0.0016018i,0.0066546+0.0058933i,0.0058374+0.002369i,-0.0073035-0.0033997i,0.00071994-0.0059146i,0.0054134+0.0018181i,-0.0021758+0.010048i,-0.0010246+0.0013195i,-0.0051351-0.029275i,0.0090338-6.6405e-05i,0.0061843-0.0012201i,7.6133e-05+0.0019945i,0.00090478+0.00048774i,0.011113-0.012657i,-0.0021713-0.00041314i,-0.0082429-0.0040406i,-0.0033759+0.0018007i,0.0077548-0.0046391i,0.0070726-0.00078348i,0.0020578-0.0042463i,0.0098463+0.0042649i,0.0047707-0.0030538i,0.021368-0.010418i,-0.091232-0.013875i,0.0010869-0.0013493i,0.0046486-0.0087977i,-0.00012408-0.0018499i,-0.020551+0.026539i,-0.0053859+0.0033735i,-0.0044214+0.0034308i
-0.018065+0.026136i,-0.041333+0.035425i,-0.01107+0.03793i,-0.01795+0.034082i,-0.0057473+0.042278i,0.028043+0.033828i,0.0079786+0.022621i,0.0046761+0.038289i,-0.0079339+0.017376i,-0.0041598+0.002574i,-0.0028086+0.001294i,-0.007764+0.00054086i,-0.004592+0.0033226i,-0.0073756+0.0028455i,0.0028175+0.0049799i,-0.0044915+0.008108i,-0.01097+0.010722i,0.00093483-5.4813e-05i,0.0018692-0.0044892i,4.1093e-05-0.0041438i,-0.0015882-0.0043503i,-0.00061344-0.0046138i,-7.0527e-05-0.0034621i,-0.010999+0.0014512i,-0.00030008+0.00096902i,0.00036659+0.0036331i,-0.00098192+0.00025045i,-0.0015312+0.0020891i,-0.0023019+0.00041357i,-0.0018947-0.001951i,0.0067704+0.0059689i,0.00027809-0.00049475i,0.00058645-0.0015971i,0.0015598+0.00031403i,0.0013859+0.0028844i,-0.0025842-0.007466i,-0.00082974+0.00090846i,-0.0013722+0.00047601i,0.0030726+0.00079885i,0.003848-0.0021197i,-0.0012787-0.002464i,0.0016005-0.0028755i,-0.013466+0.00033467i,-0.00053955-0.00061346i,-0.038746+0.0050673i,-0.068274-0.070207i,-0.071108+0.0081796i,-0.079755-0.015033i,-0.09989-0.0065642i,-0.047095+0.01889i,-0.055047+0.054076i,-0.026454+0.033456i,-0.04778-0.020582i,-0.051619-0.043522i,-0.035027+0.0021703i,0.0024585-0.0036339i,0.006143+0.019531i,0.0066555-0.0060298i,0.002454-0.0088809i,-0.019277+0.0080362i,-0.00034803+0.00041054i,-0.0010609+0.0054493i,0.01089+0.0015289i,0.0094772+0.011213i,0.00063859+0.0029682i,0.0046158-0.0026607i,0.004052-0.0051455i,0.0054998+0.0016638i,0.0030697+0.00069197i,-0.0074146+0.0010093i,-0.0012487-0.0047738i,0.005942-0.00043812i,0.011193+0.0068459i,-2.9055e-06+0.00060277i,-0.0049493-0.02244i,0.0080641-0.0031953i,0.0059274-0.0029169i,0.001971+0.0029702i,0.0015092+0.00013389i,0.005587-0.01276i,-7.861e-06+0.0016459i,-0.0097326+0.0011812i,-0.0013286+0.0036494i,0.0046412-0.004013i,0.0066709-0.0044283i,0.00023157-0.0045134i,0.0095333-0.0014979i,0.0030693-0.0060117i,0.016962-0.016607i,-0.088678+0.0016151i,-0.0062176-0.0053736i,0.0029307-0.013194i,-0.0010809-0.0043935i,-0.013078+0.026228i,-0.0088369+0.0033593i,-0.0063821+0.01085i
-0.013908+0.026024i,-0.036656+0.040722i,-0.0095712+0.036549i,-0.011618+0.036265i,0.0012202+0.039416i,0.032523+0.026705i,0.012607+0.020325i,0.011135+0.035271i,-0.0061139+0.018823i,-0.0027655+0.0036922i,-0.0029064+0.0021817i,-0.0070776+0.0040958i,-0.0036969+0.0048265i,-0.0057745+0.0057344i,0.0044097+0.0039438i,-0.0010678+0.010196i,-0.0052414+0.013873i,0.00071917-0.00076348i,0.00059831-0.0045405i,-0.0019335-0.0038457i,-0.0030499-0.0034022i,-0.0020127-0.0041228i,-0.0014565-0.003512i,-0.0086456+0.0039958i,-0.00067706+0.00052818i,0.00056131+0.0019702i,-0.0011056+0.00031897i,-0.00071674+0.0019864i,-0.0018013+0.0014639i,-0.0020188-0.00054121i,0.0078406+0.0013393i,0.00023044-0.00058293i,-0.00013901-0.0013589i,0.0012794-0.00023739i,0.0019295+0.0017875i,-0.0055374-0.0074761i,-0.00056648+0.0012055i,-0.0010435+0.0015964i,0.0020795-0.0011822i,0.0029157-0.0020312i,-0.0016813-0.0021994i,0.00090402-0.002555i,-0.0023283+0.0040118i,-0.0036549+0.00080283i,-0.038002+0.01206i,-0.077272-0.046414i,-0.064948+0.0095508i,-0.084333-0.00041176i,-0.10051+0.01234i,-0.042539+0.021657i,-0.041463+0.057169i,-0.017149+0.030243i,-0.048979-0.015514i,-0.055541-0.036412i,-0.031196+0.010772i,0.00032011-0.0048661i,0.014965+0.014157i,0.004499-0.0074763i,-0.0025656-0.0074487i,-0.018965+0.010887i,-0.00065908+0.0027038i,0.0016733+0.0054545i,0.0071237-0.00097945i,0.014254+0.0075736i,0.0018345+0.0031978i,0.0026942-0.0015418i,0.0014254-0.0073179i,0.0027285+0.0018675i,0.00089541+0.0018765i,-0.0065094+0.0056679i,-0.0027865-0.0024134i,0.0052147-0.0025194i,0.010806+0.00085964i,0.00040518+0.00048668i,-0.0071502-0.019431i,0.006097-0.0055227i,0.0044038-0.0049017i,0.0052152+0.002097i,0.0017366-0.00012124i,0.0025061-0.011671i,0.0016376+0.0012118i,-0.0073156+0.0060072i,0.001285+0.0038356i,0.0039612-0.0032836i,0.0037427-0.0083816i,-0.00014162-0.00385i,0.0057585-0.0047289i,-0.00056502-0.0071396i,0.0093168-0.02273i,-0.082729+0.01198i,-0.014427-0.0018928i,-0.0014246-0.015782i,-0.0023658-0.0066923i,-0.0082819+0.02574i,-0.011827+0.0061797i,-0.0064928+0.012503i
-0.01067+0.025935i,-0.031066+0.046021i,-0.0078364+0.038022i,-0.0051472+0.035985i,0.0057427+0.035423i,0.035719+0.019689i,0.016828+0.016398i,0.016383+0.031137i,-0.0035706+0.019104i,-0.0014398+0.0037019i,-0.0030678+0.0037591i,-0.0052862+0.0066789i,-0.0021884+0.0063797i,-0.0032428+0.006883i,0.0051475+0.0023652i,0.0026127+0.010533i,0.0011802+0.014301i,0.00070221-0.00074864i,-0.00086266-0.0047214i,-0.0031883-0.0026748i,-0.0034489-0.0018118i,-0.002805-0.0032382i,-0.0023966-0.0027699i,-0.0068655+0.0045588i,-0.00099218+0.00094019i,3.1664e-05+0.0017978i,-0.0013959+0.00077098i,4.1689e-06+0.0014721i,-0.00089325+0.0018444i,-0.0016631+0.00021722i,0.0074859-0.0018244i,3.245e-06-0.00062585i,-0.00061608-0.0010416i,0.00087647-0.00075264i,0.0019623+0.0012688i,-0.0081926-0.0055896i,-0.00038329+0.0012068i,0.00018524+0.0021013i,0.00057881-0.0016029i,0.0023387-0.0018463i,-0.0020956-0.001316i,-0.00071006-0.0036487i,0.0004746+0.0046044i,-0.0046191+0.0038956i,-0.035254+0.019269i,-0.075306-0.029504i,-0.062412+0.011902i,-0.08401+0.017059i,-0.094698+0.033105i,-0.040833+0.024457i,-0.029958+0.056635i,-0.0096262+0.026188i,-0.048566-0.0092144i,-0.060007-0.029365i,-0.025305+0.015795i,-0.0030815-0.0048359i,0.017933+0.0018248i,0.0025251-0.0094211i,-0.0059571-0.0037448i,-0.01316+0.017708i,0.00059523+0.0033822i,0.0049654+0.0038411i,0.0054678+1.6304e-05i,0.01727+0.00032659i,0.0027874+0.0032238i,0.0023947-0.00083611i,-0.0027266-0.0079999i,0.0021027+0.0030599i,0.0010045+0.0037927i,-0.0017761+0.0088367i,-0.0018308-0.00019276i,0.003638-0.003465i,0.0090974-0.0014055i,0.0012648-0.00019278i,-0.013752-0.018809i,0.0032735-0.0066119i,0.0015601-0.0059121i,0.0049938-0.0010098i,0.0016151+0.0001213i,0.001012-0.0099593i,0.0022431+5.6804e-05i,-0.0026486+0.0084874i,0.002496+0.0018644i,0.0029352-0.0040323i,-0.0020093-0.0092227i,-0.0012253-0.0046264i,0.0030182-0.005151i,-0.0029428-0.0069327i,-0.0013262-0.023179i,-0.078667+0.020744i,-0.013221+0.0085812i,-0.0062329-0.0162i,-0.0054367-0.0078815i,-0.0050599+0.024927i,-0.011143+0.010953i,-0.0021009+0.0123i
-0.0072437+0.026281i,-0.02402+0.05095i,-0.0037958+0.040483i,-7.9649e-05+0.034544i,0.0082178+0.032792i,0.037759+0.012345i,0.019678+0.011742i,0.020371+0.026812i,-0.00098464+0.01976i,-0.00075186+0.0038962i,-0.001777+0.0059237i,-0.0022972+0.0085877i,-0.00011798+0.0071675i,-0.00094814+0.0068771i,0.0052174+0.00090126i,0.0060169+0.0094712i,0.0064889+0.012525i,0.00069533-0.00076977i,-0.00225-0.0042183i,-0.0037509-0.0009859i,-0.0031798-0.00064252i,-0.0035121-0.0024304i,-0.0028818-0.00185i,-0.0062978+0.0057345i,-0.0008923+0.0013878i,4.5168e-05+0.0021882i,-0.0010892+0.0017073i,-0.00011581+0.0009178i,-0.00021496+0.0015465i,-0.0012767+0.00054883i,0.0050284-0.0049366i,9.5697e-05-0.00032815i,-0.00063742-0.00079887i,0.00058119-0.0010483i,0.0022996+0.00027196i,-0.0099001-0.0035886i,-3.25e-05+0.0013825i,0.00099783+0.0018242i,-0.00051554-0.0015484i,0.0021899-0.0019578i,-0.0020668-0.00044155i,-0.0023149-0.0026002i,0.0019086+0.0035977i,-0.0034758+0.0059892i,-0.029929+0.024552i,-0.074104-0.022307i,-0.061537+0.016489i,-0.076918+0.032362i,-0.082722+0.050349i,-0.038164+0.030353i,-0.02022+0.056255i,-0.0054849+0.021209i,-0.047008-0.0041585i,-0.0632-0.020311i,-0.019831+0.019027i,-0.0041446-0.0045071i,0.011237-0.0084115i,-0.00091984-0.01122i,-0.0065639-0.00018576i,-0.0055014+0.019764i,0.00092748+0.0030521i,0.0067378+3.2203e-05i,0.0064887-0.00051052i,0.015475-0.005194i,0.0047994+0.0028363i,0.0025981+0.00045283i,-0.0068438-0.0037376i,0.0032602+0.0043011i,0.0024448+0.0051073i,0.0030798+0.0083139i,-0.0011922+1.2616e-05i,0.002509-0.0039027i,0.011764-0.0091297i,4.7623e-05-0.00065419i,-0.020837-0.013827i,0.0011002-0.006554i,-0.00073863-0.0044228i,0.005487-0.00040757i,0.0015859-0.00036889i,0.00018037-0.010551i,0.0018703-0.0011986i,0.0007417+0.0070603i,0.0025991+0.0014767i,0.0024285-0.0034364i,-0.0057261-0.0055704i,-0.0040077-0.0040044i,0.0003072-0.0051325i,-0.0055912-0.0061657i,-0.0085145-0.019291i,-0.072872+0.030376i,-0.0082548+0.0075255i,-0.0069377-0.015114i,-0.0079794-0.007127i,-0.00052147+0.023169i,-0.0097359+0.012953i,-0.0005266+0.0094455i
-0.0037201+0.026111i,-0.015495+0.05475i,0.0022653+0.042663i,0.0043758+0.033481i,0.010658+0.031396i,0.038235+0.005125i,0.021466+0.0066658i,0.023793+0.02273i,0.002357+0.019723i,0.00013424+0.0041974i,0.0011974+0.0068925i,0.0012968+0.0086617i,0.0020545+0.0070317i,0.00057976+0.0067037i,0.0051577-0.00026666i,0.0088998+0.0069802i,0.010197+0.0091786i,0.0008028-0.0016271i,-0.003288-0.0034576i,-0.0032201+0.00069601i,-0.0026423+0.00033976i,-0.0039254-0.00096234i,-0.0030775-0.00096817i,-0.0042863+0.0074477i,-0.0005209+0.0020334i,0.00095701+0.0023147i,-0.0003311+0.0020876i,-0.00046555+0.0010646i,0.00012941+0.0015079i,-0.00096631+0.00085368i,0.0026554-0.0045946i,0.00033815-0.00078092i,-0.0010153-0.00072695i,-3.9965e-06-0.0011951i,0.0018165-0.00071711i,-0.010872-0.00020009i,0.00040397+0.0013293i,0.0012877+0.0015344i,-0.0018838-0.0010695i,0.0021539-0.001988i,-0.0016085+8.7334e-05i,-0.002233-0.0012742i,0.0025305+0.0024589i,-0.0017376+0.0078252i,-0.024827+0.027034i,-0.07876-0.015652i,-0.060326+0.02247i,-0.068134+0.044054i,-0.066949+0.061437i,-0.033963+0.035409i,-0.010326+0.054372i,-0.0027962+0.018204i,-0.045183+0.00022005i,-0.064253-0.0097985i,-0.015148+0.021734i,-0.0055798-0.0035492i,0.0032592-0.0099597i,-0.0050874-0.011262i,-0.005323+0.0037417i,0.0012094+0.017566i,0.00054005+0.0027535i,0.0060783-0.0044952i,0.0055346-0.0019632i,0.011548-0.010589i,0.0064377+0.00059631i,0.0037294+0.00061303i,-0.0073661-0.00039345i,0.0051082+0.0047843i,0.0051893+0.0056426i,0.0072035+0.005213i,-0.0009557+0.00095679i,0.0021177-0.0039885i,0.0077687-0.0045624i,-0.00020779+0.00094793i,-0.025255-0.0062294i,-0.00039982-0.0063808i,-0.0017042-0.0024975i,0.0056722-0.0013556i,0.0015336-0.00057553i,-0.0021923-0.011793i,0.00071555-0.0016131i,0.0039033+0.0062197i,0.0035463+0.00059281i,0.0033241-0.0034027i,-0.0072306-0.002602i,-0.0062782-0.00080322i,-0.0024909-0.0039484i,-0.0072374-0.0047826i,-0.012979-0.014273i,-0.066129+0.037503i,-0.0078884+0.0060716i,-0.007462-0.01787i,-0.0094346-0.0054017i,0.00073654+0.021945i,-0.0090036+0.014734i,0.00017762+0.0079709i
0.00019298+0.026029i,-0.0057057+0.056459i,0.010286+0.042847i,0.0088365+0.032206i,0.014275+0.031132i,0.037719-0.0016315i,0.021867+0.0010064i,0.027211+0.017895i,0.0059883+0.018669i,0.0010221+0.0040457i,0.0035975+0.0055089i,0.0037385+0.0067007i,0.0040549+0.0063632i,0.0024269+0.0062998i,0.0048463-0.0015148i,0.010026+0.0035669i,0.012517+0.0048534i,-0.00042846-0.0022134i,-0.004406-0.0020865i,-0.001962+0.0014973i,-0.0016845+0.00058858i,-0.0034732+0.00015366i,-0.003136+1.532e-05i,-0.0015433+0.0080199i,0.00020667+0.0022007i,0.0017415+0.00169i,0.00049413+0.0021086i,-7.5693e-05+0.0016579i,0.00068657+0.0011636i,-0.00056312+0.0009173i,0.00054452-0.004915i,-0.00018228-0.0010834i,-0.0013489-0.00021988i,-0.00060185-0.0010463i,0.0011241-0.0013193i,-0.0099761+0.0033623i,0.00070117+0.0011108i,0.0016885+0.0009952i,-0.0025935-1.495e-05i,0.0018822-0.0026001i,-0.0012316+0.00024288i,-0.0020082-0.0010174i,0.0024179+0.0015036i,0.00078306+0.0093397i,-0.020226+0.029518i,-0.086499-0.0025669i,-0.056159+0.028371i,-0.056564+0.052149i,-0.05177+0.068604i,-0.028942+0.04175i,-0.0009042+0.049915i,0.0024476+0.014808i,-0.043004+0.0050729i,-0.062268+0.0011332i,-0.010776+0.024089i,-0.0073585-0.002497i,-0.0028024-0.0093437i,-0.0093244-0.0096068i,-0.0014703+0.0051764i,0.0043838+0.01354i,-0.00037291+0.0029741i,0.0038677-0.0080977i,0.0058696-0.0016801i,0.0047378-0.013312i,0.0065835-0.0027532i,0.0047421-0.00039587i,-0.00764+0.0036827i,0.0078893+0.0040409i,0.0086751+0.0034925i,0.0093618+0.00057205i,0.00028489+0.0017595i,0.0011805-0.0042455i,-0.00011942-0.0079102i,0.0012054+0.0022865i,-0.024428+0.0023939i,-0.0020898-0.0059516i,-0.0013445-0.00063955i,0.0052995-0.0039334i,0.0017836-0.00060259i,-0.0068856-0.011452i,-0.00016423-0.0012236i,0.0059372+0.0033695i,0.0037838-5.3151e-05i,0.0029748-0.0043218i,-0.0070675+0.0017285i,-0.0059795+0.0029089i,-0.0043445-0.0020847i,-0.008758-0.0031534i,-0.015193-0.009227i,-0.060572+0.043812i,-0.0082087+0.008887i,-0.011809-0.022024i,-0.0080883-0.0045004i,0.0034713+0.021668i,-0.008136+0.018295i,0.0016802+0.0060309i
0.0043762+0.024779i,0.0040112+0.055794i,0.0181+0.039952i,0.01332+0.030259i,0.019153+0.030005i,0.036366-0.0080604i,0.020658-0.0043087i,0.029304+0.012196i,0.0091364+0.01686i,0.0016725+0.0041114i,0.0044063+0.0039843i,0.0044429+0.0047721i,0.0057304+0.0048639i,0.0039782+0.0051265i,0.0040937-0.0025972i,0.009595+0.00059979i,0.012865+0.00068316i,-0.0012401-0.001671i,-0.0044885-0.00063313i,-0.00078902+0.0015773i,-0.0009546+0.00023794i,-0.002893+0.00072221i,-0.0025065+0.00087615i,0.00075616+0.0081015i,0.0010178+0.0018649i,0.0021306+0.001053i,0.0012342+0.0017842i,0.00072955+0.0016384i,0.00080528+0.00063241i,-0.00042897+0.00097779i,-0.001284-0.004348i,-0.00089036-0.00091756i,-0.0012615+0.0003919i,-0.0010501-0.00065425i,0.0004624-0.0014598i,-0.0079452+0.0058148i,0.0009491+0.00073318i,0.0018679+0.00020258i,-0.0024298+0.0012096i,0.0013665-0.0035735i,-0.0010587+0.00027018i,-0.0021411-0.0011025i,0.0022331+0.00093341i,0.0041859+0.0094905i,-0.015407+0.031463i,-0.088219+0.017385i,-0.053453+0.032374i,-0.046276+0.056638i,-0.034865+0.073296i,-0.020485+0.0479i,0.0061575+0.042919i,0.0053382+0.0074464i,-0.03876+0.0086804i,-0.057231+0.011792i,-0.0042738+0.025267i,-0.0089204-6.7351e-05i,-0.0084213-0.0060046i,-0.012263-0.0062662i,0.0014735+0.0035495i,0.0055773+0.011115i,-0.0020043+0.0044362i,8.3872e-05-0.010984i,0.0066276-0.003629i,-0.0015783-0.011841i,0.0045111-0.0051146i,0.0052607-0.0025636i,-0.00596+0.006976i,0.010486+0.00050295i,0.0094963-0.0015054i,0.007962-0.0049036i,0.0023792+0.0012185i,3.333e-05-0.0044169i,-0.0041219-0.0045687i,0.0031412+0.0011935i,-0.0285+0.006326i,-0.0044922-0.0050141i,-9.0806e-06+0.00049879i,0.0027696-0.0058666i,0.0018471-0.00072693i,-0.011204-0.0078954i,-8.5445e-06-0.00027329i,0.0064579-0.00010606i,0.0034491-0.001227i,0.0019177-0.004693i,-0.0044024+0.0050742i,-0.0039905+0.0062395i,-0.0048448+0.0014949i,-0.010527-0.00089182i,-0.015451-0.0048235i,-0.052715+0.052626i,-0.0019456+0.01145i,-0.019606-0.021632i,-0.0066212-0.0066626i,0.0058919+0.020609i,-0.0045251+0.021319i,0.0025518+0.0021555i
