-0.0098732-0.039153i,-0.012812-0.043058i,0.0011358-0.045218i,-0.02673-0.0271i,-0.020339+0.01453i,-0.03303-0.03055i,-0.06002-0.059711i,-0.023232-0.070489i,-0.042575-0.047208i,0.0013092+0.015882i,-0.0063639+0.010065i,-0.014418+0.014189i,0.00093+0.016123i,-0.0034072-0.0032282i,0.00054681+0.0065051i,0.00053672+0.037269i,0.017042+0.055291i,0.00067022-2.4651e-05i,-0.0053959-0.0082586i,0.0094382+0.0051127i,0.0013915+0.00082597i,-0.0021869+0.0030251i,-0.00017105-0.0011338i,-0.035057-0.010354i,-0.0028834-0.0066208i,-0.00051559+0.0044653i,0.0051356+0.00097712i,-1.0094e-05+0.00063758i,-1.7523e-05-0.00088803i,-0.00036663-0.0027089i,-0.0016361-0.0054106i,-0.0020194-0.0037592i,-0.0010205-0.0083122i,0.0029903-0.0010355i,0.0030914-0.0026894i,-0.0026869+0.032207i,0.0062102-0.003953i,0.0035394-0.0021565i,0.0049426+1.3257e-05i,-0.11676-0.080213i,-3.2303e-05+3.2105e-05i,0.011084-0.013049i,0.0070058-2.8519e-05i,-0.0031109+0.0035812i,0.0023729+0.0005945i,-0.002518+0.0071074i,0.01307-0.088172i,-0.0078417-0.049596i,-0.025467-0.040621i,-0.020297-0.041865i,0.061931-0.017693i,0.026183-0.061744i,0.03859-0.04656i,0.027615-0.056703i,0.019275-0.016144i,0.0083884+0.010084i,0.024432-0.031515i,-0.0082049-0.0059428i,0.0026584-0.0028089i,-0.00511-0.0061371i,0.00077501-0.03202i,-0.023325+0.03157i,0.0083828-0.010737i,-0.010535-0.0012881i,-0.0051471-0.00099065i,-0.00073903-0.013936i,-0.010287+0.0041896i,0.0035972+0.0076896i,-0.011838+0.032887i,0.0052864+0.0076022i,-0.0046863-0.00079059i,-0.0019794-0.0023061i,-0.011622-0.0069447i,0.00037079-0.0034909i,-0.034489+0.0070702i,0.002115-0.012889i,-0.0085318-0.00205i,-0.0061716-0.0025326i,0.0063133+0.0018541i,-0.0097211+0.0018225i,0.001419+0.00060527i,0.0052472+0.0090491i,0.0045851+0.00012901i,-0.0094759-0.0097111i,0.0028987+0.0086493i,-0.020913+0.0069431i,0.0063992+0.0026507i,-0.029804-0.0070926i,-0.032854+0.0034932i,0.030769-0.080361i,0.012235-0.010885i,-0.042783-0.026227i,-0.022969-0.0023318i,0.018094+0.011931i,-0.026867+0.012373i,-0.011996-0.0078003i
-0.033074+0.0016697i,-0.04663+0.018406i,-0.046219+0.043263i,-0.02753+0.0063339i,-0.0044258+0.014151i,-0.0074491+0.030945i,-0.027955+0.018635i,-0.056563+0.02484i,-0.020706+0.022466i,-9.7546e-05-0.0080794i,0.0016276-0.0016073i,0.0033374+0.00028119i,0.0026463+0.0089741i,-0.0036222+0.0012687i,0.0015256+0.0023301i,0.0023581-0.008986i,-0.010863-0.0083593i,-0.0039602+0.00098949i,0.0045288-0.0021242i,0.0013146-0.0014402i,0.0023476-0.0044114i,0.0018438-0.0040321i,0.0019311-0.0035504i,-0.010261-0.012227i,-0.0023826-0.0002524i,-0.0037953-0.00022847i,-0.003372-0.0008141i,-0.0049761-0.0013099i,-0.0012657-0.0021117i,0.0014944-0.0017877i,-0.0038673+0.0043424i,0.001208+0.0016504i,0.0019575+0.0013183i,0.0021388+0.0012789i,-0.0010606+0.0029469i,-0.0033206-0.007357i,-0.0028501+0.00062058i,0.0012646-0.00015503i,-0.0010085+0.0038873i,0.01107+0.0067667i,-0.00066522-0.003353i,0.00079608+5.6618e-06i,-0.005629-0.0038893i,0.0021194+0.0040297i,-0.021078-0.016494i,-0.0025053-0.061312i,-0.087883-0.0080259i,-0.023901-0.020759i,-0.049638-0.041569i,-0.043021-0.0060071i,-0.093515+0.015325i,-0.062746+0.0026122i,-0.037691-0.027098i,-0.032388-0.054592i,-0.030728-0.022756i,-0.00041114+0.0022112i,-0.025403+0.012966i,0.0047298+0.01723i,0.0041109+0.0070606i,-7.621e-05-0.0065017i,0.0088391+0.0043674i,-0.0097356-0.003075i,0.0029813+0.011252i,-0.0018815+0.0075024i,-0.00099972-0.0024474i,0.0066763+0.0020909i,0.0034664-0.00098055i,-0.0039581+0.020388i,0.0002026+0.013589i,0.0011557-0.0041307i,0.0099224-0.0072207i,0.0033389+0.0032493i,-0.0084672-0.0094396i,-0.0016489-0.0014753i,0.02235-0.028698i,0.008434+0.0082544i,0.0040842+0.0024529i,-0.0019598+0.0030156i,0.0033833-0.0038634i,0.020443+0.0019106i,0.0013216-0.002198i,-0.00088049-0.0066012i,0.0011185-0.0027226i,0.012118+0.0066137i,0.0055487+8.7455e-05i,0.0033414-0.0059416i,0.0034083+0.0069646i,0.0042694+0.0028339i,0.017283+0.00082613i,-0.067064-0.042877i,-0.009697+0.010998i,-0.0066607-0.0043051i,-0.0046586+0.005121i,-0.035899+0.010876i,-0.0052825+0.0075102i,-0.014132+0.0050478i
-0.030768+0.0055231i,-0.042477+0.022988i,-0.03433+0.044776i,-0.026379+0.012348i,-0.0030801+0.011383i,-0.001875+0.030935i,-0.02577+0.022627i,-0.048657+0.03227i,-0.015623+0.019195i,-0.0015576-0.006125i,0.0010839-0.00081112i,0.0031961-0.0015197i,0.00465+0.0055853i,-0.0022449+0.0032378i,0.0018381+0.0024081i,-0.0033812-0.0068117i,-0.016151-0.002463i,-0.0032023+0.0022241i,0.0044109-0.0029611i,0.0012244-0.0020779i,0.00090993-0.0043466i,0.0017465-0.003063i,0.001481-0.0035533i,-0.012262-0.0078451i,-0.0019219-2.1957e-05i,-0.0041124+0.0010705i,-0.0029351+0.00025199i,-0.0042128+0.00033288i,-0.0018137-0.0019945i,0.000828-0.0018743i,-0.0019282+0.0056472i,0.001374+0.0013074i,0.0010432+0.0006932i,0.0012256+0.00035457i,-0.0017183+0.0024073i,-0.0033786-0.0062119i,-0.002133+0.0017231i,-0.00013521-0.00070373i,-0.00082807+0.0044695i,0.011207+0.00041729i,-0.0014761-0.0049031i,0.00031473-0.0005238i,-0.0074672-0.0022347i,0.0029907+0.0035944i,-0.022729-0.017704i,-0.021121-0.067001i,-0.082224+0.0075956i,-0.030942-0.022257i,-0.0613-0.033589i,-0.040939+0.0031793i,-0.081235+0.035554i,-0.059505+0.016284i,-0.028796-0.026569i,-0.038546-0.050187i,-0.051076-0.024462i,-0.0007197+0.00019985i,-0.018419+0.023384i,0.0091462+0.011273i,0.006169+0.0028502i,-0.0050245-0.012317i,0.0049402+0.0031894i,-0.0099937+0.0031277i,0.0075945+0.0086396i,0.0010543+0.0094339i,-0.0018978-0.0018124i,0.0073082+0.0026959i,0.0032665-0.00080652i,0.0056302+0.016731i,0.006251+0.0090075i,-0.0033825-0.0054025i,0.0027049-0.0083131i,0.0040841+0.0033069i,-0.0092687-0.00055755i,-0.0020206+0.0009535i,0.010618-0.033848i,0.01078+0.0059627i,0.0064443+0.0011513i,0.00093109+0.0018673i,9.262e-05-0.0023724i,0.017802-0.0069707i,-0.00051665-0.0025097i,-0.0039313-0.0045765i,-0.0022917-0.0024427i,0.011616+0.00046132i,0.0045554-8.8253e-05i,0.0014107-0.0037614i,0.0059895+0.0059226i,0.0037132+0.0021982i,0.015303-0.0045783i,-0.072672-0.033632i,-0.003244-0.00059074i,-0.0067101-0.0033925i,-0.0033502+0.003906i,-0.029263+0.021576i,-0.0034277+0.0082408i,-0.011312+0.0073559i
-0.027678+0.0084208i,-0.039419+0.027445i,-0.025427+0.043015i,-0.023264+0.015894i,-0.00087701+0.011147i,0.0034803+0.029472i,-0.022004+0.026712i,-0.040137+0.036404i,-0.015833+0.016595i,-0.0027536-0.0052995i,0.0015692-0.00052175i,-0.00041137-0.0022812i,0.0053424+0.0037642i,-0.0015356+0.0037546i,0.0025554+0.0023783i,-0.0068008-0.0018463i,-0.017812+0.0060861i,-0.0010755+0.003496i,0.0044702-0.0050566i,0.0011021-0.0030313i,-0.00037851-0.0042519i,0.0021071-0.0039582i,0.0011128-0.0040621i,-0.013125-0.0043929i,-0.0022606+0.00055091i,-0.0030222+0.0030501i,-0.0024139+0.00057112i,-0.0027885+0.0017926i,-0.0023718-0.0017289i,-1.2269e-05-0.0026185i,0.00011767+0.0057274i,0.0017611+0.00074154i,0.00066271+0.00082914i,0.00091808-0.00044614i,-0.0010754+0.0039692i,-0.0034972-0.0058235i,-0.0025492+0.0020802i,-0.00088301-0.00047471i,0.0034702+0.004048i,0.0089119-0.0037907i,-0.0018904-0.0012748i,0.00069899-8.2951e-05i,-0.0093502-0.00011335i,0.003785+0.0019309i,-0.026619-0.017726i,-0.042266-0.063068i,-0.072285+0.018802i,-0.038089-0.018592i,-0.068302-0.021322i,-0.034491+0.0097641i,-0.061266+0.048661i,-0.044485+0.028087i,-0.029655-0.031141i,-0.044083-0.047103i,-0.048409+0.012521i,-0.0013993-0.00056258i,-0.0062939+0.026998i,0.01025+0.0065729i,0.003501-0.0016162i,-0.01726-0.012264i,0.0045071+0.0020767i,-0.0059422+0.0068602i,0.0095692+0.0037175i,0.0042399+0.0087711i,-0.0041944+0.00029614i,0.0074439-0.0016848i,0.0038479-0.0023666i,0.0091463+0.0095322i,0.0064776+0.0029675i,-0.0078825-0.0018975i,-1.5782e-05-0.0058932i,0.006328+0.0023926i,-0.0070359+0.0083811i,-0.0002075+0.0025281i,-0.002925-0.0337i,0.013622+0.00068715i,0.0074529-0.0020596i,0.0015156+0.00065155i,0.00067351-9.7818e-05i,0.011112-0.011203i,-0.0030438+0.00088161i,-0.0062757-0.0016257i,-0.0038794+0.0012885i,0.0082965-0.0028085i,0.0079642-0.0014198i,0.0021105-0.0034724i,0.0088382+0.0027567i,0.0058056+0.0011627i,0.012302-0.0090528i,-0.076384-0.020319i,-0.0094772-0.0104i,-0.0054275-0.0042812i,-0.0031863+0.0020097i,-0.022052+0.02646i,-0.0023624+0.0030832i,-0.0091287+0.0030734i
-0.024684+0.0094245i,-0.035504+0.032527i,-0.020314+0.041206i,-0.018833+0.019977i,0.0027797+0.0084701i,0.0083299+0.026921i,-0.017071+0.029971i,-0.032667+0.037809i,-0.016673+0.018133i,-0.0042638-0.0040448i,0.0015241-0.0016875i,-0.0023861+0.0010511i,0.0053088+0.0018801i,-0.0011961+0.0051481i,0.0029416+0.0017664i,-0.006273+0.0039673i,-0.012377+0.015275i,0.00079021+0.002552i,0.0018096-0.0065458i,-7.274e-05-0.0043063i,-0.0013989-0.0036949i,0.0013575-0.0047136i,7.0178e-05-0.0050143i,-0.013418-0.0003189i,-0.0019181+0.00087844i,-0.00093816+0.0030832i,-0.0022504+0.00080283i,-0.00097182+0.0016833i,-0.0029713-0.00053156i,-0.001547-0.0021658i,0.0023616+0.0054056i,0.0016231+0.00022072i,0.001174+0.0012292i,0.00027237-0.00019772i,0.0013519+0.0041796i,-0.0045072-0.0067489i,-0.0016415+0.0037299i,-0.0011709+0.00013432i,0.003565-0.00043037i,0.0061434-0.0058571i,-0.0012051-0.0017204i,0.0012217-0.00054572i,-0.010731+0.0026805i,0.0024564-0.0010179i,-0.032033-0.014988i,-0.059205-0.047643i,-0.062739+0.023974i,-0.043251-0.012321i,-0.072074-0.00781i,-0.026636+0.011894i,-0.043309+0.051426i,-0.028193+0.02686i,-0.03269-0.029767i,-0.050287-0.039634i,-0.034047+0.020519i,-0.0028352-0.00069357i,0.0029658+0.025168i,0.010875+0.0018727i,-0.0010617-0.0018702i,-0.028287-0.0017564i,0.0017555+0.0022429i,-0.0020144+0.0070011i,0.0073575-0.0013661i,0.0076928+0.0076168i,-0.0035023+0.0036918i,0.0034724-0.0028451i,0.0031317-0.0049178i,0.0076907+0.0023945i,0.0035736+0.00082236i,-0.0078732+0.0020792i,-0.0016586-0.0042363i,0.006985+0.00025036i,0.0025955+0.010402i,0.0014066+0.0016754i,-0.0065945-0.027942i,0.011797-0.004238i,0.0048151-0.0042734i,0.0022033+0.0018818i,0.0013837-0.00047419i,0.0061305-0.011468i,0.00012404+0.0034866i,-0.0062367+0.0016997i,-0.0012596+0.0042504i,0.0058688-0.003298i,0.0071701-0.0067034i,0.00046515-0.0036337i,0.0081689-0.0024068i,0.0055277-0.0020989i,0.0082089-0.012762i,-0.074303-0.006887i,-0.01694-0.011627i,-0.0059353-0.0071689i,-0.0034305+0.00010647i,-0.012744+0.027476i,-0.006651+0.0023489i,-0.012318+0.0028988i
-0.023064+0.0099852i,-0.031253+0.036994i,-0.017447+0.040773i,-0.012987+0.022388i,0.0046628+0.0042027i,0.011775+0.024079i,-0.01126+0.031955i,-0.027441+0.038782i,-0.01446+0.021642i,-0.0044628-0.0025432i,0.00058205-0.0020355i,-0.0011853+0.0037676i,0.0048019+0.00049192i,0.0010242+0.0064691i,0.0035456+0.0012996i,-0.0029648+0.0074021i,-0.0037818+0.019197i,0.00133+0.0014956i,8.2694e-05-0.0061408i,-0.0021301-0.0043209i,-0.0024914-0.0032409i,0.00019852-0.0049138i,-0.0020626-0.0049807i,-0.011482+0.0032478i,-0.0022243+0.0007699i,-0.00040154+0.0019983i,-0.0022435+0.0012198i,-0.00022941+0.00068019i,-0.0027429+0.00083983i,-0.001978-0.00084018i,0.0037513+0.0039987i,0.0015001-0.00037127i,-0.00050818+0.00068152i,4.7579e-05-0.00010355i,0.0023731+0.0028884i,-0.0063148-0.0070846i,-0.00033563+0.0042133i,-0.0010659+0.0011355i,0.0015947-0.0011331i,0.003285-0.005285i,-0.0014353-0.0019534i,0.0012143-0.0011712i,-0.011411-0.011591i,-0.00020836-0.00023635i,-0.035787-0.0086164i,-0.063318-0.02801i,-0.055955+0.026112i,-0.047713-0.0050162i,-0.073262+0.0071294i,-0.021764+0.0090145i,-0.027785+0.05017i,-0.018946+0.022112i,-0.035018-0.028582i,-0.053415-0.033035i,-0.025162+0.023822i,-0.0038223+0.00019073i,0.012587+0.020523i,0.0096792-0.00034009i,-0.0043261+0.00069554i,-0.028571+0.010883i,0.0014935+0.0037461i,0.0012384+0.0073761i,0.0029891-0.0022699i,0.010215+0.0049278i,-0.0011582+0.0055265i,0.0013961-0.0012989i,0.0015992-0.0063587i,0.0029627+0.0013013i,0.0011092+0.0020612i,-0.0072836+0.007115i,-0.0027218-0.0016777i,0.0067172-0.0022644i,0.0079398+0.0059745i,0.0018826+0.00063777i,-0.0097763-0.023999i,0.0088931-0.0079325i,0.0030427-0.0052303i,0.0046504+0.0010147i,0.0014686-0.00066709i,0.0031105-0.010582i,0.0028445+0.0027327i,-0.0038241+0.0047867i,0.0024095+0.0043042i,0.0055153-0.003103i,0.0024019-0.010798i,-4.1288e-05-0.0029761i,0.0046331-0.0058565i,0.0031692-0.0039053i,0.0018953-0.015015i,-0.068953+0.0017241i,-0.027611-0.0066952i,-0.0085731-0.0095106i,-0.0042603-0.0016714i,-0.007637+0.025615i,-0.010022+0.005675i,-0.012822+0.0060572i
-0.022129+0.011071i,-0.0262+0.041387i,-0.014809+0.043186i,-0.0083429+0.022601i,0.0034398-0.00062387i,0.015308+0.021702i,-0.0045965+0.031749i,-0.022755+0.039999i,-0.010465+0.022554i,-0.00514-0.0012452i,-0.00098615-0.0017766i,0.00097453+0.0050457i,0.0039047-5.148e-05i,0.0037968+0.0053241i,0.0037524+0.00061902i,0.0008732+0.0085766i,0.0046311+0.01838i,0.0017031+0.00098117i,-0.001471-0.0059866i,-0.003902-0.003239i,-0.0031158-0.0018509i,-0.00046187-0.0050977i,-0.0033093-0.0034415i,-0.0095641+0.0044711i,-0.0028107+0.0019769i,-0.00039335+0.0019234i,-0.0021199+0.0016993i,5.291e-05-0.00027046i,-0.0016307+0.0016939i,-0.0017493-0.00022085i,0.0045616+0.0023802i,0.0010736-0.00059538i,0.00034394-0.00087593i,-0.000346-0.0001989i,0.0029249+0.0022199i,-0.008701-0.0058849i,0.00068405+0.0037329i,-0.00054382+0.0016146i,0.00065435-0.0011748i,0.0019051-0.0046335i,-0.0017799-0.0014879i,0.00083256-0.0017442i,-0.0027343+0.0048736i,-0.00074375+0.0018059i,-0.037006-0.00096316i,-0.058756-0.014958i,-0.051945+0.029135i,-0.049075+0.0064931i,-0.067812+0.024019i,-0.023447+0.0068442i,-0.016533+0.045386i,-0.012705+0.016995i,-0.037869-0.025326i,-0.056873-0.026575i,-0.018231+0.02517i,-0.0047293+0.0018599i,0.01708+0.008152i,0.0086814-0.0043578i,-0.0055978+0.0046727i,-0.023027+0.02351i,0.0023325+0.0037681i,0.0057209+0.00501i,0.0010895-0.00028365i,0.01199+0.00020651i,0.00057364+0.0055935i,0.0012545-4.5396e-05i,-0.0024413-0.0081851i,0.0012544+0.0037978i,0.0015815+0.0045186i,-0.0015464+0.011557i,-0.001349+0.00044681i,0.0052326-0.0038362i,0.0097522+0.00097994i,0.0024149-0.00066735i,-0.019095-0.023529i,0.0044377-0.0093775i,0.00010455-0.0057386i,0.0039857-0.00098933i,0.0010378-7.8983e-05i,0.0019543-0.0087892i,0.0036814+0.00065681i,-0.00051464+0.0055625i,0.0038651+0.0013935i,0.0047089-0.0041538i,-0.0035363-0.010045i,-0.00042131-0.0032082i,0.0010547-0.0057066i,0.0021675-0.0049567i,-0.0049452-0.013541i,-0.066494+0.0088795i,-0.026926+0.0068775i,-0.012607-0.0096244i,-0.0065697-0.0020294i,-0.0046596+0.024634i,-0.0088013+0.010515i,-0.0085954+0.0079282i
-0.021163+0.012863i,-0.019964+0.0456i,-0.0094505+0.046198i,-0.0066508+0.018295i,-0.00026716-0.0027947i,0.018828+0.018321i,0.0012105+0.030023i,-0.018436+0.042314i,-0.0067957+0.023388i,-0.0064126+0.00011386i,-0.0016783+0.00019898i,0.0037835+0.0053033i,0.0032416+3.4381e-05i,0.0050671+0.0031343i,0.0034813+4.2854e-05i,0.0043374+0.0078168i,0.011701+0.014231i,0.0018594+0.00061501i,-0.0028515-0.0053969i,-0.0046507-0.0012548i,-0.0027657-0.000549i,-0.0018211-0.0054677i,-0.0036509-0.0020344i,-0.0090521+0.0061497i,-0.0021089+0.0031796i,5.4584e-05+0.0023314i,-0.0013971+0.001815i,-0.00096996-0.0010677i,-0.001199+0.001486i,-0.0015868+8.8015e-06i,0.0051268+0.00089529i,0.0010813-0.0007867i,0.0012312-0.0010103i,-0.0002895+0.00025493i,0.0036795+0.0005074i,-0.010208-0.003272i,0.0017524+0.0035869i,0.00024253+0.0012481i,4.4465e-05-0.0012671i,0.00060154-0.0042088i,-0.0018653-0.00099012i,0.00031744-0.0019013i,-0.0025075+0.0056202i,8.244e-05+0.0024654i,-0.035261+0.0048413i,-0.055263-0.009569i,-0.048116+0.034209i,-0.044516+0.016938i,-0.058018+0.037775i,-0.024612+0.010037i,-0.0086281+0.041997i,-0.010284+0.011706i,-0.039537-0.021572i,-0.05946-0.018437i,-0.011948+0.025744i,-0.0033513+0.0025934i,0.011188-0.0028539i,0.0051647-0.0084608i,-0.0041909+0.0077847i,-0.010558+0.029122i,0.0021995+0.0029018i,0.0076677-0.00011464i,0.0021139+0.00057269i,0.010196-0.0037516i,0.0050845+0.0071442i,0.001677+0.0017895i,-0.0073729-0.0036169i,0.0029394+0.0058034i,0.0032438+0.0056301i,0.005988+0.0082803i,-0.00055894+0.00048613i,0.0040258-0.004929i,0.0089586-0.0047748i,0.00050657-0.0015372i,-0.028439-0.015948i,0.0014232-0.0090056i,-0.0020577-0.0036861i,0.0047129-5.5971e-06i,0.0010809-8.0966e-05i,0.0018528-0.0098439i,0.0030756-0.0010964i,0.0017175+0.0037428i,0.0036389+0.00066369i,0.0040076-0.0041368i,-0.0070617-0.0064093i,-0.0019001-0.0036284i,-0.0019773-0.0053413i,0.00024347-0.0057456i,-0.0092784-0.0094424i,-0.062319+0.016594i,-0.021293+0.0095042i,-0.01253-0.0079724i,-0.0085185-0.0010754i,0.00036333+0.023158i,-0.007134+0.011752i,-0.0067319+0.0069098i
-0.019765+0.014491i,-0.012362+0.0487i,-0.0031685+0.049748i,-0.0043393+0.015283i,-0.004021-0.0021979i,0.021343+0.014393i,0.0061417+0.027436i,-0.012592+0.045131i,-0.0029663+0.023042i,-0.0065461+0.0016711i,-0.00064008+0.0016254i,0.0069857+0.0030014i,0.0032199+0.00020169i,0.0046416+0.0014821i,0.0035165-0.00017661i,0.0070241+0.0054184i,0.015701+0.0087148i,0.0021581-0.00044447i,-0.0041386-0.0047023i,-0.0042842+0.00075475i,-0.0019022+0.00020279i,-0.0033388-0.0044672i,-0.003578-0.0011172i,-0.006721+0.0088379i,-0.0010174+0.0041284i,0.0010429+0.0022485i,-0.00074351+0.0022667i,-0.0026157-0.00056742i,-0.0011162+0.0016825i,-0.0014888+0.00042971i,0.0050426-0.0010847i,0.00081164-0.001326i,0.0004358-0.0009513i,7.9808e-06+0.00054644i,0.0028471-0.0010671i,-0.011039+6.2753e-05i,0.0026149+0.002992i,0.0006679+0.0010238i,-0.00081815-0.0012734i,0.00023892-0.0032776i,-0.0019616-0.00077282i,-6.0479e-05-0.0017618i,-0.0015375+0.0058593i,0.00092671+0.0030559i,-0.033483+0.0092483i,-0.05598-0.0052225i,-0.042642+0.038735i,-0.039371+0.024272i,-0.044593+0.046014i,-0.024949+0.013561i,0.00015752+0.037304i,-0.0094484+0.0093485i,-0.041456-0.017707i,-0.060917-0.0081602i,-0.0068764+0.025672i,-0.0023857+0.0029613i,0.0042029-0.0038372i,0.00048589-0.010087i,-0.00081551+0.010923i,0.0011998+0.028333i,0.0013515+0.002429i,0.0058025-0.0048136i,0.0017235+0.00033716i,0.0073982-0.0070379i,0.0089926+0.0038471i,0.0031667+0.0023616i,-0.0072987+0.00066925i,0.0052137+0.0067634i,0.005905+0.0059812i,0.010576+0.0059514i,-0.00016135+0.00083252i,0.0032523-0.005919i,0.0042931-0.0072752i,-0.00017202+0.00028133i,-0.034166-0.0033002i,-0.00086887-0.0082497i,-0.002277-0.0017684i,0.0051113+0.0002317i,0.001216-0.00029433i,7.8784e-05-0.011982i,0.0018159-0.0016307i,0.0033923+0.0030886i,0.0038876-0.00062101i,0.0044011-0.0048064i,-0.0089382-0.0031191i,-0.0039425-0.0018494i,-0.0046277-0.0034984i,-0.0016316-0.0065572i,-0.011076-0.0047513i,-0.057619+0.022383i,-0.020609+0.010642i,-0.012203-0.0082759i,-0.0096329+0.00073525i,0.0018529+0.021245i,-0.0067194+0.012356i,-0.0054004+0.0063906i
-0.017986+0.016278i,-0.0031396+0.050082i,0.0068878+0.051242i,-0.0033341+0.015017i,-0.0057153+0.00075843i,0.023443+0.01036i,0.010201+0.023545i,-0.0052695+0.047318i,0.00050815+0.022096i,-0.0059744+0.0033093i,0.00051561+0.0014971i,0.0072019-0.0010598i,0.0038066-2.3196e-05i,0.0044167+0.00054033i,0.0037426-0.00073913i,0.0074156+0.0022542i,0.016435+0.0025489i,0.00092644-0.0015791i,-0.0054648-0.002897i,-0.003281+0.0020414i,-0.00089723+2.0912e-05i,-0.0041663-0.0034157i,-0.0035076-0.00025049i,-0.0034409+0.010449i,0.00074337+0.0044256i,0.0016514+0.001536i,0.00023248+0.0025112i,-0.0032696+0.0009209i,-0.00057159+0.0017646i,-0.0011166+0.00066306i,0.0039914-0.0026963i,2.9774e-05-0.0015929i,0.00051337-0.00075538i,0.00015716+0.00015457i,0.0016793-0.0017733i,-0.010342+0.0037812i,0.0032364+0.0017976i,0.0010364+0.00082198i,-0.0015137-0.00058074i,-8.5776e-05-0.0026836i,-0.0022218-0.00031723i,-0.00034749-0.0018546i,-0.00091996+0.0062133i,0.002002+0.0032209i,-0.031932+0.014192i,-0.059343+0.0027812i,-0.036017+0.04175i,-0.03169+0.029748i,-0.031393+0.05129i,-0.024109+0.020146i,0.008106+0.029291i,-0.0054145+0.0071986i,-0.042539-0.012361i,-0.058597+0.0026394i,-0.0010361+0.026111i,-0.0017807+0.0030318i,0.00044963-0.0032038i,-0.0051262-0.0099929i,0.0048753+0.010547i,0.0092026+0.022245i,-0.00064838+0.0024964i,0.0029162-0.0079342i,0.0029212+0.0017758i,0.0027788-0.0086731i,0.0098808-0.0013679i,0.0049289+0.0018825i,-0.0066328+0.0044001i,0.0093228+0.0064679i,0.0097267+0.0036795i,0.012442+0.0021169i,0.00074974+0.0013824i,0.0015545-0.0066795i,-0.0010855-0.01016i,0.0013405+0.0016691i,-0.033001+0.0083679i,-0.0030102-0.0077017i,-0.0016148-0.0001927i,0.0063778-0.0040096i,0.0017264+3.8109e-05i,-0.0052818-0.013017i,0.00083438-0.0013287i,0.0042654+0.00081101i,0.0037234-0.0016158i,0.0031926-0.0060931i,-0.0086664+0.0020016i,-0.0038847+0.0008771i,-0.0061213+0.00015968i,-0.0045486-0.00715i,-0.010704-0.00096639i,-0.053505+0.027934i,-0.02031+0.016556i,-0.014483-0.01072i,-0.0076361+0.0036421i,0.0038775+0.021082i,-0.0061776+0.015061i,-0.0037085+0.0045495i
-0.015855+0.017675i,0.0058223+0.048738i,0.017214+0.048965i,-0.0021364+0.015718i,-0.0050146+0.0040388i,0.025262+0.0059468i,0.012687+0.019326i,0.0033967+0.047123i,0.0036386+0.020662i,-0.0046125+0.0049775i,0.00069869+0.001273i,0.0052873-0.003508i,0.0037655-0.0014212i,0.0039734-0.00019425i,0.0035087-0.0014527i,0.0061104+0.00020665i,0.015033-0.002233i,3.1674e-05-0.0012392i,-0.0055525-0.0008535i,-0.0017345+0.0024327i,-0.00020166-0.00039493i,-0.0045724-0.0027002i,-0.0029967+0.00048107i,0.00038411+0.011042i,0.0024001+0.0035383i,0.0019024+0.0010779i,0.0011878+0.0021229i,-0.002701+0.0024826i,-5.9972e-06+0.0013393i,-0.0010598+0.00086752i,0.0024088-0.0036941i,-0.0006202-0.0014222i,-0.00062425-0.0019042i,-0.00012927+4.0845e-05i,0.00047111-0.0020216i,-0.0087375+0.0067604i,0.0033275+0.00041223i,0.0011243+0.000327i,-0.0017965+0.0005808i,-0.00035591-0.0026561i,-0.0021059+0.00027541i,-0.00080974-0.00218i,0.00020514+0.0070212i,0.0031651+0.0026579i,-0.028663+0.018461i,-0.059119+0.014831i,-0.03127+0.043844i,-0.024604+0.032455i,-0.016529+0.053369i,-0.018354+0.027754i,0.010104+0.019245i,-0.0032057+0.0010625i,-0.040411-0.0069163i,-0.051937+0.012903i,0.0058094+0.023669i,-0.0023626+0.0036295i,-0.0035509-0.0013959i,-0.0093805-0.0071222i,0.0087456+0.0065024i,0.01069+0.017514i,-0.002873+0.0045009i,-0.00065391-0.010408i,0.0049727-5.798e-05i,-0.001435-0.0076793i,0.0074086-0.004996i,0.0062-0.00055709i,-0.0050827+0.0072091i,0.012819+0.001636i,0.011326-0.001352i,0.011698-0.00416i,0.0024295+0.00080346i,-0.00088193-0.0069625i,-0.0043916-0.0063813i,0.0034371+0.00045094i,-0.043627+0.016019i,-0.0058808-0.007955i,-0.00025075+0.00067569i,0.0024991-0.0067915i,0.0022956-6.8644e-05i,-0.010839-0.0098242i,0.00070568-0.00069265i,0.0041205-0.0013434i,0.0025454-0.0025656i,0.0016063-0.006508i,-0.0054788+0.0055387i,-0.0023852+0.002628i,-0.0055358+0.0036644i,-0.0083825-0.0057579i,-0.0098939+0.0013514i,-0.047926+0.035497i,-0.01158+0.02158i,-0.020458-0.0095821i,-0.0037548+0.0030428i,0.0058777+0.02021i,-0.0033001+0.017946i,-0.0037726+0.0016256i
