-0.022927-0.038647i,-0.01061-0.050271i,-0.017214-0.045496i,-0.030482-0.036089i,-0.02958-0.017282i,-0.050513-0.028839i,-0.058538-0.026575i,-0.044672-0.038717i,-0.027355-0.033434i,0.0089272+0.011747i,-0.0072313+0.015889i,-0.0050246+0.014687i,0.0094897+0.022043i,0.00037995+0.0047541i,0.003417+0.0036074i,0.0064063+0.018276i,0.018146+0.03692i,-0.0024115-0.0014994i,-0.0050487-0.0061535i,0.006863+0.0042972i,-0.00026551-0.00070638i,-0.001128+0.0026209i,9.4691e-05-0.00031503i,-0.029478-0.0024326i,-0.0019526-0.0062833i,0.0011492+0.0047179i,0.0032546-7.8339e-05i,-0.00019415+0.00076989i,0.00060135-0.00038001i,-0.0008266-0.0027257i,-0.0017804-0.006013i,-0.004836-0.0048793i,-0.0023919-0.0046036i,0.00246-0.00061196i,0.0020498-0.0030915i,-0.00079812+0.028862i,0.0014271-0.0033254i,0.0028263+0.0007703i,0.0054147+0.0012768i,-0.010097-0.0025346i,-0.004079+6.7094e-05i,0.0052798+7.6532e-05i,0.0063839+8.6906e-05i,-0.0037125+0.0044284i,0.0019152-0.0087159i,-0.011915+0.018028i,0.035683-0.090673i,0.013548-0.070324i,-0.015621-0.059658i,-0.014779-0.056294i,0.03941-0.046136i,0.017088-0.062659i,0.034511-0.055563i,0.030617-0.059941i,0.015572-0.01393i,0.0040358+0.016636i,0.017152-0.025714i,-0.011974+0.0053338i,-0.000559+0.005333i,-0.0055252-0.0011211i,-0.0022903-0.02839i,-0.024736+0.031296i,0.0094885-0.011818i,-0.013433-0.0027344i,-0.00019413-0.0050658i,-0.00095611-0.017154i,-0.0070399+0.004577i,0.0051949+0.006446i,-0.0086561+0.030467i,0.005317+0.0060757i,-0.0048794-0.00080667i,-0.0032664-0.0002606i,-0.012078-0.0076919i,-0.00065267-0.0043457i,-0.017776+0.0090331i,0.00033391-0.010267i,-0.0093807-0.0019262i,-0.0064424-0.0025599i,0.0071909+0.0033867i,-0.0073584+0.0013667i,8.1379e-05+0.00053264i,0.0077399+0.010555i,0.0038148+0.0017781i,-0.009282-0.0096199i,0.0031983+0.0085522i,-0.020633+0.0068794i,0.0081239+0.00071896i,-0.028843-0.0029777i,-0.042877+0.0010199i,0.016425-0.097648i,-0.0017692-0.012394i,-0.052763-0.022728i,-0.023693+0.00091693i,0.017924+0.010348i,-0.025449+0.012496i,-0.018417-0.012761i
-0.032732+0.017502i,-0.052135+0.019721i,-0.032749+0.045396i,-0.031449+0.024684i,-0.028733+0.039305i,0.0045103+0.046987i,-0.0030751+0.023843i,-0.01706+0.038586i,-0.013719+0.021144i,-0.003771-0.0044626i,-0.0041792-0.0032835i,-0.001606-0.0032859i,-0.0038948-0.00096626i,-0.0065737-0.004438i,-0.0022558+0.0041762i,-0.0031635-0.0016584i,-0.009431-0.0052266i,-0.0014867-0.00093486i,0.0024139-0.00086442i,0.0021208-0.00088437i,0.0028398-0.0034551i,0.0023096-0.0036729i,0.0013164-0.0026765i,-0.00894-0.0087468i,-0.0020043+0.00061192i,-0.0037788+0.0013715i,-0.0019088-0.00025459i,-0.0037048-0.00076661i,-0.0012333-0.0014523i,0.0014643-0.0019367i,-0.0026583+0.0061355i,0.0015464-7.9028e-05i,0.0024039-3.328e-05i,0.00090483+0.0016382i,-0.0011169+0.0032285i,-0.00092219-0.0063609i,-0.001809-0.00022313i,0.00032569-0.00029945i,0.00011401+0.0030023i,0.0077497+0.0041281i,0.0015644-0.0030606i,0.00078181-0.0053994i,-0.0036705+0.0018303i,0.00021997+0.0031962i,-0.032759-0.0066332i,0.010203-0.079002i,-0.0934-0.03087i,-0.051417-0.036747i,-0.075594-0.050358i,-0.058639-0.0059852i,-0.094048+0.018077i,-0.058228+0.011543i,-0.049174-0.025474i,-0.03126-0.05622i,-0.025967-0.031754i,0.0028285+0.0052286i,-0.01927+0.011765i,0.0088639+0.0038423i,0.011295+0.0041286i,0.0008381-0.0067999i,0.008351+0.00041614i,-0.007413-0.0034928i,0.002893+0.014106i,-0.00072228+0.0094165i,0.00068827+0.0015791i,0.004788+0.0033579i,0.0021785-0.00096118i,-0.0011122+0.01489i,0.00036679+0.011715i,0.0031717-0.0057126i,0.010829-0.0069541i,0.0022315+0.0025534i,-0.0089296-0.0063248i,-0.0020889-0.0029146i,0.021464-0.031141i,0.0058146+0.0038867i,0.0036075+0.00432i,-0.0030397+0.0026563i,0.0023451-0.003792i,0.024254+0.0013177i,0.0020431-0.002543i,-0.00017335-0.010316i,0.00055102-0.0021853i,0.012369+0.0043746i,0.0052087-0.00011625i,0.003567-0.0059614i,0.0030836+0.0095009i,0.0043805-0.00035877i,0.024682+0.0052765i,-0.080247-0.036656i,-0.0038471+0.01852i,0.0075311-0.0027125i,-0.0014964+0.0031533i,-0.03572+0.014087i,-0.0071979+0.0065874i,-0.017696+0.012532i
-0.028626+0.021666i,-0.048295+0.024619i,-0.021655+0.044169i,-0.027319+0.02862i,-0.022278+0.040861i,0.013179+0.044439i,0.00012532+0.023433i,-0.0095714+0.03969i,-0.0093063+0.018505i,-0.0052699-0.0019042i,-0.0044452-0.00096154i,-0.0026446-0.0037121i,-0.0045289-0.00044154i,-0.0069591-0.0017379i,-0.00085973+0.0051683i,-0.0053311+0.00045232i,-0.012766-0.00072129i,-0.0013621+8.3399e-05i,0.0028867-0.0014239i,0.0020576-0.0017959i,0.0016153-0.0040593i,0.0015785-0.0037919i,0.00085563-0.0027106i,-0.010476-0.0055334i,-0.0012616+0.0009126i,-0.0034571+0.0029335i,-0.0013372+0.00040873i,-0.0034585+0.0002086i,-0.0018693-0.0012737i,0.00079659-0.0018846i,-0.00025931+0.0070285i,0.0010708-0.00042345i,0.0020184-0.00094381i,0.0008076+0.001459i,-0.0010305+0.0028125i,-0.0013106-0.0056634i,-0.00048281+0.00044584i,-0.00070891-0.00059248i,0.00051913+0.0033106i,0.0076381+0.00028346i,0.0007574-0.0031385i,-0.002317-0.0057835i,-0.0035903+0.002879i,0.00095966+0.0031397i,-0.033443-0.005809i,-0.01432-0.08929i,-0.090445-0.012123i,-0.060692-0.035147i,-0.08748-0.039478i,-0.057667+0.0043473i,-0.084219+0.035412i,-0.054242+0.023017i,-0.041523-0.024264i,-0.03846-0.051673i,-0.03264-0.022132i,0.0042583+0.0019051i,-0.011987+0.0205i,0.0090014+0.00012826i,0.012301-0.0023517i,-0.0041014-0.010584i,0.0040573+0.00045538i,-0.0071056+0.0020169i,0.008167+0.012154i,0.0015762+0.010891i,0.00089761+0.0013411i,0.0071973+0.0037655i,0.0025597+0.00024858i,0.0050727+0.011281i,0.0058154+0.0067532i,-0.0024541-0.007323i,0.0033811-0.0080605i,0.0032627+0.0030197i,-0.011527+0.0012128i,-0.0026043-0.00024303i,0.0078055-0.030161i,0.007029+0.0031171i,0.0072529+0.002697i,0.00010723+0.0028468i,-0.00037018-0.0013812i,0.019629-0.0092945i,0.00022729-0.0032275i,-0.0055673-0.0084528i,-0.0023233-0.0013815i,0.011144-0.00081709i,0.0048558+0.00027916i,0.0015827-0.0038131i,0.0062197+0.0082804i,0.0036084-0.0009467i,0.024343-0.0023511i,-0.085122-0.027103i,0.0034825+0.0080393i,0.0070854-0.00436i,-0.00027632+0.00095417i,-0.028047+0.024715i,-0.0056208+0.0072132i,-0.014728+0.013304i
-0.023433+0.024614i,-0.045247+0.029863i,-0.015049+0.040127i,-0.022888+0.030786i,-0.014777+0.04297i,0.021095+0.039698i,0.0035941+0.02308i,-0.002169+0.039315i,-0.0085391+0.016552i,-0.0051458+0.00065581i,-0.0036659+0.00090736i,-0.0058897-0.0030834i,-0.0049869+0.0015479i,-0.007158+0.00034423i,0.0010916+0.0055861i,-0.0060352+0.0039138i,-0.013205+0.0061182i,-0.00014211+0.00091037i,0.0031626-0.0029543i,0.0016871-0.0029873i,0.0002131-0.004585i,0.0006315-0.0044756i,0.00046006-0.0028805i,-0.011499-0.0027376i,-0.0011197+0.0011128i,-0.0021395+0.0040393i,-0.00092027+0.00040656i,-0.0028558+0.001665i,-0.0023023-0.00083504i,-0.00026152-0.0025888i,0.0025329+0.0066543i,0.00070354-0.00051469i,0.0013172-0.0015989i,0.001415+0.0010008i,0.00011846+0.0036364i,-0.0010403-0.0055351i,-0.00073377+0.00042695i,-0.0012458-0.00018806i,0.0027154+0.0018263i,0.0055716-0.0022277i,-9.624e-06-0.0028874i,-0.0014627-0.0045669i,-0.0034519+0.0039135i,0.001828+0.0018063i,-0.035672-0.0030148i,-0.043574-0.087062i,-0.080784+0.0017569i,-0.070852-0.027955i,-0.095184-0.02422i,-0.052923+0.012849i,-0.069116+0.047387i,-0.040688+0.033176i,-0.044755-0.02575i,-0.045028-0.047473i,-0.034946-0.010033i,0.0041891-0.0012467i,-0.0024346+0.02193i,0.0084811-0.0030681i,0.0081022-0.007519i,-0.014007-0.010995i,0.0026187-0.00019345i,-0.0039929+0.0052715i,0.011186+0.0067947i,0.0038677+0.012409i,0.00012874+0.0017706i,0.0075058-0.00062517i,0.0046521-0.0014562i,0.0068147+0.0067366i,0.0053771+0.0021848i,-0.0075652-0.0029341i,0.00086778-0.0061686i,0.0054011+0.0018863i,-0.0055172+0.010528i,-0.0010089+0.0014232i,-0.0022193-0.026325i,0.0090425+0.00010193i,0.0063473-0.00072389i,-0.00055257+0.0016023i,0.00092181+0.0003667i,0.012213-0.013776i,-0.0021936-0.00051357i,-0.0084883-0.0046512i,-0.0029242+0.0019132i,0.0075543-0.0039339i,0.0076458-0.0014517i,0.0022946-0.0042325i,0.01048+0.0048663i,0.0048288-0.0027184i,0.021285-0.010126i,-0.089639-0.01373i,0.00097573-0.0023256i,0.0047601-0.009418i,-0.00011026-0.0016497i,-0.018023+0.025629i,-0.0057903+0.0035137i,-0.0004619+0.0078617i
-0.017862+0.025167i,-0.040698+0.035657i,-0.011555+0.037283i,-0.018054+0.033846i,-0.0061903+0.0422i,0.02748+0.033325i,0.007807+0.022247i,0.0047222+0.037481i,-0.0081786+0.016995i,-0.0040447+0.002426i,-0.0028783+0.0013353i,-0.0076941+0.00062725i,-0.0045362+0.0033696i,-0.0070838+0.0028371i,0.0029024+0.0049642i,-0.0045299+0.0076779i,-0.0091855+0.01208i,0.00094302+0.00020583i,0.0017784-0.00422i,6.5037e-06-0.0041717i,-0.0013533-0.0044206i,-0.00049214-0.004479i,-8.4229e-05-0.0034227i,-0.011785+0.00086697i,-0.00052105+0.00096733i,0.00031896+0.0032426i,-0.0009973+0.00025138i,-0.0014662+0.0020507i,-0.0026068+0.0001991i,-0.0017495-0.0019298i,0.0046361+0.0046144i,0.0003089-0.00051008i,0.00064264-0.0018578i,0.0015823+0.00020471i,0.0018531+0.0030237i,-0.001541-0.0071424i,-0.00065715+0.00088018i,-0.001468+0.00047585i,0.0018531-0.00036852i,0.0036248-0.0028606i,-0.00067389-0.0027123i,0.0006874-0.0032343i,-0.0087783+0.0045109i,-0.00032432-0.00032318i,-0.037799+0.0015972i,-0.067763-0.070364i,-0.070642+0.0077643i,-0.079201-0.016452i,-0.099577-0.0076431i,-0.046899+0.01828i,-0.055002+0.053225i,-0.026539+0.032737i,-0.04783-0.020558i,-0.051138-0.04026i,-0.032973-7.1543e-05i,0.0022367-0.003594i,0.005924+0.020164i,0.0069332-0.0058538i,0.0024614-0.0088164i,-0.025403+0.0067097i,-0.00029493+0.00065315i,-0.00047004+0.0052229i,0.010679+0.0012385i,0.010002+0.012046i,0.00054406+0.0028984i,0.0046376-0.0026103i,0.0043856-0.0049935i,0.0063082+0.0022827i,0.0027327+0.00060622i,-0.0071771+0.0016455i,-0.0011693-0.0049891i,0.0059546-0.00045196i,0.0065778+0.010371i,1.9417e-05+0.00078982i,-0.0081185-0.018636i,0.0080795-0.0032934i,0.0058734-0.0023124i,0.00095212+0.0031109i,0.0016318-7.8974e-05i,0.0062025-0.013659i,-0.00012984+0.0017105i,-0.0097972-0.00037903i,-0.00057831+0.0035969i,0.0047026-0.0038977i,0.0066095-0.0052247i,0.00037192-0.004667i,0.010393-0.0015168i,0.0032053-0.0058918i,0.016682-0.016158i,-0.0871+0.0017975i,-0.0067161-0.0059882i,0.002851-0.01324i,-0.0010411-0.0042524i,-0.01293+0.026108i,-0.0089397+0.0035102i,-0.0057966+0.011285i
-0.013826+0.025056i,-0.036021+0.040364i,-0.0099964+0.036175i,-0.011894+0.036051i,0.0008466+0.039362i,0.031821+0.026237i,0.01224+0.01999i,0.011142+0.034391i,-0.0063706+0.018428i,-0.0026313+0.0036599i,-0.0029245+0.0022474i,-0.0069775+0.0041253i,-0.0035949+0.0048148i,-0.0054878+0.005563i,0.004453+0.0038396i,-0.0012646+0.0099341i,-0.0034517+0.014504i,0.00093127-0.0006249i,0.00062872-0.0042908i,-0.0020153-0.0038417i,-0.0028669-0.0036222i,-0.0018541-0.0040321i,-0.0013617-0.003474i,-0.0097286+0.004033i,-0.00093805+0.00048233i,0.00044692+0.0016646i,-0.0011593+0.00035339i,-0.00066606+0.0018595i,-0.0021428+0.001358i,-0.0019048-0.00055827i,0.0069082+0.0014486i,0.00025863-0.00046998i,-9.9725e-05-0.0015995i,0.001249-0.00040502i,0.0023312+0.0017647i,-0.0041665-0.0078793i,-0.0004575+0.0011707i,-0.0012115+0.0015758i,0.0015075-0.00063907i,0.0025501-0.0024395i,-0.0014588-0.0024106i,0.0005833-0.0027495i,-0.0015565+0.0052476i,-0.0029929+0.0016464i,-0.038286+0.0082518i,-0.076691-0.046821i,-0.064423+0.0093779i,-0.084538-0.0017359i,-0.10037+0.010902i,-0.042473+0.021032i,-0.041401+0.056189i,-0.017363+0.029741i,-0.048997-0.015481i,-0.05432-0.033136i,-0.030946+0.0084978i,5.4366e-05-0.0046463i,0.015107+0.014839i,0.004655-0.0075361i,-0.0024136-0.0073233i,-0.020353+0.012034i,-0.00058045+0.0029509i,0.0021515+0.0053696i,0.0067465-0.00095301i,0.014847+0.0076125i,0.0016581+0.0033317i,0.0025889-0.0016533i,0.0018063-0.007419i,0.0030847+0.0011331i,0.00060337+0.0018575i,-0.0061812+0.0061587i,-0.0027119-0.0025876i,0.0051959-0.002599i,0.0087398+0.0036522i,0.0003935+0.00069736i,-0.0092444-0.017669i,0.0061775-0.0056312i,0.0045374-0.004763i,0.0041537+0.00274i,0.0019495-0.00038628i,0.0027113-0.012156i,0.0016419+0.0012725i,-0.0079784+0.0048592i,0.0017976+0.0033861i,0.0038378-0.0030419i,0.0026742-0.0087541i,0.0002618-0.0038373i,0.0063007-0.0056609i,-0.00054237-0.0068967i,0.0092673-0.022048i,-0.081257+0.012152i,-0.014775-0.0022695i,-0.00098897-0.015597i,-0.002694-0.0066835i,-0.008607+0.025549i,-0.011772+0.0062186i,-0.0063229+0.012233i
-0.010705+0.025087i,-0.030637+0.045379i,-0.0082644+0.037769i,-0.0054948+0.035883i,0.0054202+0.035342i,0.034957+0.019448i,0.016344+0.016296i,0.016273+0.030247i,-0.0038699+0.018722i,-0.0013624+0.0035187i,-0.0031148+0.0037513i,-0.0052211+0.0065847i,-0.0020842+0.0062574i,-0.0031159+0.0066947i,0.0051823+0.0022818i,0.0024202+0.010372i,0.0027989+0.014218i,0.00084318-0.00068534i,-0.00068173-0.0045155i,-0.0033132-0.0026275i,-0.0034012-0.0020267i,-0.0026289-0.003204i,-0.0022609-0.0027571i,-0.0078324+0.005206i,-0.001391+0.001004i,-3.9989e-05+0.0015544i,-0.0015147+0.00078003i,5.5458e-06+0.0013292i,-0.0012146+0.0018859i,-0.0016205+0.00015157i,0.0068448-0.00089012i,3.8321e-05-0.00052478i,-0.00058825-0.0012725i,0.00083385-0.0008645i,0.0023702+0.001174i,-0.0069116-0.0068088i,-0.00022282+0.0011442i,-0.00020527+0.0022912i,0.00057252-0.0013784i,0.0019216-0.0020163i,-0.0019763-0.0015727i,-0.0008546-0.0035167i,0.00072802+0.0052064i,-0.0027278+0.0052426i,-0.036874+0.015506i,-0.074433-0.029858i,-0.061912+0.01174i,-0.084503+0.016306i,-0.095094+0.031383i,-0.040816+0.02379i,-0.029839+0.055271i,-0.0097751+0.025872i,-0.048291-0.009489i,-0.058349-0.026408i,-0.02679+0.013772i,-0.0032364-0.0044588i,0.018159+0.0021509i,0.0027538-0.0095726i,-0.0057641-0.0036246i,-0.014067+0.018728i,0.00065657+0.0035407i,0.005234+0.0033863i,0.005061+5.7838e-05i,0.017345+0.00013332i,0.0025621+0.0035341i,0.0021967-0.00087376i,-0.0029339-0.008565i,0.0019728+0.0029034i,0.00077238+0.0037053i,-0.0018018+0.01019i,-0.0017642-0.0002548i,0.0036741-0.0034637i,0.0092875-0.00027499i,0.0012668-3.0805e-05i,-0.014221-0.017173i,0.003552-0.0066184i,0.0016356-0.0058385i,0.0051511+0.00049371i,0.00162-0.00016818i,0.0010986-0.010479i,0.0022737-3.5854e-06i,-0.0037968+0.0079545i,0.0025574+0.0014527i,0.002723-0.003771i,-0.0025751-0.0084879i,-0.00068313-0.005148i,0.0027066-0.0059652i,-0.0029448-0.0068584i,-0.0010783-0.022602i,-0.077239+0.020552i,-0.013631+0.0078631i,-0.0063078-0.016384i,-0.0059071-0.0075928i,-0.0052462+0.025362i,-0.011178+0.010671i,-0.0023986+0.012208i
-0.0074357+0.025407i,-0.023502+0.050266i,-0.0042093+0.04024i,-0.00040182+0.034512i,0.0078513+0.032704i,0.036903+0.012246i,0.019316+0.01185i,0.019997+0.025797i,-0.0013609+0.019519i,-0.00076316+0.0036901i,-0.0017496+0.0060233i,-0.0022254+0.0083619i,-0.00020259+0.0069806i,-0.00084981+0.0066479i,0.0052478+0.00080957i,0.0057965+0.0094434i,0.0077013+0.011431i,0.00088604-0.00075853i,-0.0020576-0.0040484i,-0.0038252-0.0010296i,-0.0031532-0.0007075i,-0.0033349-0.002413i,-0.0028225-0.0019017i,-0.0069441+0.0068725i,-0.0011504+0.0017122i,7.4096e-05+0.0020234i,-0.0013365+0.0014899i,-5.7751e-05+0.00084526i,-0.00046625+0.0018778i,-0.0012478+0.00042384i,0.0049197-0.003096i,8.9125e-05-0.0002713i,-0.00073121-0.0010366i,0.00048323-0.0010626i,0.0026372-1.5347e-05i,-0.0093084-0.0046621i,0.00010608+0.0012465i,0.00075393+0.0020517i,-0.00028692-0.0014782i,0.0017052-0.0021413i,-0.0020522-0.00074659i,-0.0019667-0.002404i,0.0022084+0.0040072i,-0.00089687+0.0065474i,-0.032634+0.021407i,-0.073166-0.022891i,-0.060717+0.015984i,-0.077447+0.031785i,-0.083708+0.048932i,-0.038325+0.029564i,-0.020566+0.054482i,-0.0053662+0.020787i,-0.047038-0.0047092i,-0.06083-0.017852i,-0.021549+0.019083i,-0.0041934-0.0042378i,0.011492-0.0083224i,-0.00085368-0.011572i,-0.0063662-0.00025601i,-0.0059426+0.020408i,0.0010291+0.0031364i,0.0064535-0.00052044i,0.0060342-0.00010287i,0.015167-0.005808i,0.004989+0.0031217i,0.002397+0.00051416i,-0.0072868-0.0038558i,0.003208+0.0043368i,0.0018671+0.0048456i,0.0040235+0.0099696i,-0.0011-1.5663e-05i,0.0026041-0.0039561i,0.010765-0.0072106i,0.00012987-0.00066231i,-0.020248-0.011735i,0.0014049-0.0067191i,-0.00066058-0.0044122i,0.0067152+0.000655i,0.001364-0.00043061i,0.00014311-0.011319i,0.0019768-0.001325i,0.00099635+0.0081625i,0.0023285+0.0012441i,0.0020321-0.0029641i,-0.0056166-0.0050259i,-0.0039032-0.0051755i,-0.00050096-0.0057829i,-0.005557-0.006242i,-0.0083711-0.018763i,-0.07171+0.029996i,-0.0089324+0.0071681i,-0.0070888-0.015036i,-0.0079918-0.0066657i,-0.00091994+0.023651i,-0.0098948+0.012755i,-0.0008002+0.0096097i
-0.0040509+0.025191i,-0.015088+0.053997i,0.0017182+0.042559i,0.0039601+0.033443i,0.01023+0.031333i,0.037197+0.0052008i,0.021267+0.0067627i,0.023063+0.021775i,0.0021613+0.019633i,4.1518e-05+0.0039794i,0.0013364+0.0070011i,0.0012163+0.0082951i,0.0018972+0.007005i,0.00063591+0.006448i,0.0051162-0.00038809i,0.0087295+0.0071095i,0.010285+0.0075784i,0.0010523-0.0017433i,-0.0029308-0.0033414i,-0.0033769+0.00074609i,-0.002602+0.00024009i,-0.0037515-0.0010736i,-0.0030949-0.0010121i,-0.0042045+0.0085844i,-0.00063144+0.002394i,0.0009709+0.0021784i,-0.00063513+0.0020095i,-0.00046691+0.00092795i,0.00011654+0.0018426i,-0.0010095+0.00069379i,0.0026635-0.0040116i,0.00041612-0.00069694i,-0.0011952-0.0007922i,4.9386e-06-0.0011688i,0.0019225-0.0011278i,-0.01082-0.001138i,0.00043459+0.0011924i,0.0011553+0.001769i,-0.00166-0.0010838i,0.0015782-0.0020296i,-0.0017703-0.00016086i,-0.0019638-0.0014271i,0.0028893+0.0026301i,0.00088563+0.0076375i,-0.028351+0.024986i,-0.078233-0.016763i,-0.059524+0.021609i,-0.068642+0.043593i,-0.068108+0.060443i,-0.034286+0.034556i,-0.011204+0.052774i,-0.0026962+0.017572i,-0.045464+2.0033e-05i,-0.061403-0.0084336i,-0.015843+0.022446i,-0.0057105-0.0032976i,0.0033233-0.0099161i,-0.0051265-0.011514i,-0.0052093+0.0036851i,0.0017154+0.019021i,0.00057511+0.0027438i,0.0051347-0.0045449i,0.0054582-0.0014442i,0.011006-0.010836i,0.0066383+0.00074257i,0.0035891+0.00061615i,-0.0077159-0.00059419i,0.0051655+0.0048102i,0.0045236+0.0053795i,0.0076549+0.0064901i,-0.00082433+0.0009737i,0.0020995-0.0040798i,0.0070352-0.0054307i,-0.0002703+0.00077226i,-0.023687-0.004016i,-0.00021924-0.0065045i,-0.0016229-0.0025657i,0.0066104-0.0020204i,0.0014617-0.00043752i,-0.0026664-0.012589i,0.0006908-0.0017333i,0.0046416+0.0065589i,0.0032337+0.00076291i,0.0027319-0.0029812i,-0.0072658-0.0025522i,-0.0069574-0.0020048i,-0.0036438-0.0036364i,-0.0072143-0.0049141i,-0.01278-0.01354i,-0.064693+0.037369i,-0.0083989+0.0060381i,-0.0075792-0.017794i,-0.0090226-0.0051337i,0.00076596+0.022791i,-0.0094563+0.014544i,-6.7304e-06+0.0081638i
-0.0003398+0.025296i,-0.0052856+0.05564i,0.0097627+0.043053i,0.0081962+0.032332i,0.013809+0.03111i,0.036645-0.0013807i,0.021764+0.0011656i,0.02622+0.017212i,0.0058477+0.018593i,0.00082864+0.0038948i,0.0037663+0.0054333i,0.0035295+0.0065084i,0.0039757+0.0063391i,0.002355+0.0060573i,0.0047257-0.0015773i,0.0099076+0.0036987i,0.011671+0.0040041i,-0.00022319-0.002427i,-0.0039144-0.0021036i,-0.0019522+0.0016101i,-0.0017086+0.00053782i,-0.0034506-6.3936e-05i,-0.0031666+1.5788e-05i,-0.0011216+0.0088561i,0.00028409+0.0026275i,0.0016858+0.0016421i,0.00035636+0.0021002i,-0.00023878+0.0015026i,0.00092438+0.0012378i,-0.00075603+0.000775i,0.00081611-0.0045641i,-9.04e-05-0.0010724i,-0.0014824-0.00023018i,-0.00054634-0.0010581i,0.0010301-0.0016611i,-0.010406+0.0023514i,0.00069415+0.0010909i,0.0016586+0.0011505i,-0.0024289-0.00013769i,0.0013173-0.0022826i,-0.001528+0.0001141i,-0.0018841-0.0011587i,0.0027373+0.0014619i,0.0032505+0.0078763i,-0.023973+0.028389i,-0.086261-0.0039116i,-0.055467+0.02736i,-0.056876+0.051918i,-0.052964+0.068132i,-0.029394+0.04084i,-0.0017646+0.048312i,0.0023995+0.014143i,-0.043233+0.0052991i,-0.059735+0.0018076i,-0.010432+0.024857i,-0.0074822-0.0022144i,-0.0025555-0.0091709i,-0.0093639-0.0097522i,-0.0013681+0.0051949i,0.0058279+0.013528i,-0.00046063+0.0029126i,0.0029534-0.0077275i,0.0058152-0.0011501i,0.0044434-0.013339i,0.0066697-0.0027443i,0.0047847-0.00037173i,-0.0082098+0.0036619i,0.0080449+0.0039098i,0.0078339+0.0030823i,0.0093559+0.0010466i,0.00041513+0.0016961i,0.0012602-0.0044129i,-4.48e-05-0.0081181i,0.0012274+0.0022001i,-0.022494+0.0052084i,-0.0021545-0.0056679i,-0.0013717-0.00071277i,0.0054926-0.0050358i,0.0017334-0.00059158i,-0.0078258-0.011992i,-0.00016624-0.0013028i,0.0070099+0.0032787i,0.0034405+0.00023348i,0.0024421-0.0038875i,-0.007108+0.0016329i,-0.0069855+0.0024666i,-0.0047306-0.0012195i,-0.0088451-0.0034702i,-0.014712-0.008662i,-0.058919+0.04337i,-0.0086681+0.0088698i,-0.012019-0.022119i,-0.0072837-0.0040128i,0.0039624+0.021852i,-0.0090308+0.018542i,0.0014951+0.0062388i
0.0037768+0.024215i,0.0043589+0.054768i,0.017877+0.040329i,0.012772+0.030579i,0.018645+0.030077i,0.0354-0.0076372i,0.020669-0.0040898i,0.028184+0.011853i,0.0090882+0.016768i,0.0015002+0.0039698i,0.0046032+0.0038016i,0.0042698+0.0046861i,0.0055586+0.0049116i,0.0038708+0.0049904i,0.0039627-0.0025298i,0.0094561+0.00060124i,0.012284+0.00070101i,-0.001265-0.0019435i,-0.0038651-0.00074475i,-0.00080145+0.0015246i,-0.00096302+0.0002822i,-0.0029351+0.00052002i,-0.0026063+0.00084978i,0.0013679+0.0086224i,0.0013361+0.0020545i,0.0020424+0.0010336i,0.0011633+0.0017183i,0.00053721+0.0016467i,0.00089872+0.00045105i,-0.00071573+0.00092369i,-0.00095112-0.0040171i,-0.00079227-0.0009535i,-0.0013049+0.00035808i,-0.0010008-0.00066687i,0.000258-0.0017602i,-0.0088321+0.0050117i,0.00096558+0.0007583i,0.0018076+0.0002556i,-0.0025326+0.0011i,0.0010325-0.0028368i,-0.0013384+0.00031423i,-0.0020657-0.0012302i,0.0024715+0.0008524i,0.005573+0.006984i,-0.019259+0.031285i,-0.088013+0.016163i,-0.052865+0.031193i,-0.046122+0.056371i,-0.035985+0.073116i,-0.021216+0.046995i,0.0056175+0.040445i,0.0051596+0.006819i,-0.038651+0.0090107i,-0.054683+0.012115i,-0.0033883+0.025517i,-0.0087162+0.00014245i,-0.0082142-0.0060848i,-0.012046-0.0062443i,0.0016536+0.0036402i,0.0056109+0.010704i,-0.0020685+0.0043675i,-0.0006558-0.010577i,0.0070286-0.003375i,-0.0018474-0.011517i,0.0046331-0.0051187i,0.0051557-0.0024903i,-0.0063136+0.007307i,0.010274+0.0001948i,0.0088233-0.0021068i,0.0082604-0.0049052i,0.0023972+0.0012334i,0.00011561-0.0047738i,-0.0039979-0.0048179i,0.0032644+0.0011296i,-0.021557+0.013736i,-0.0043579-0.0066498i,1.4042e-05+0.00050283i,0.003245-0.0064186i,0.0016804-0.00082205i,-0.012452-0.0081564i,6.3597e-05-0.00029168i,0.0074238-0.00078502i,0.0031881-0.0008552i,0.0017398-0.0042832i,-0.0045578+0.0047469i,-0.0049147+0.005936i,-0.0047562+0.002012i,-0.010667-0.0014143i,-0.015134-0.0043599i,-0.051483+0.051654i,-0.0026318+0.01165i,-0.020444-0.021841i,-0.0052616-0.0046041i,0.0062302+0.020623i,-0.0051124+0.022026i,0.0025453+0.002584i
