-0.022579-0.038829i,-0.0094677-0.050697i,-0.017036-0.046471i,-0.031117-0.036112i,-0.02958-0.017283i,-0.050867-0.029142i,-0.060407-0.026266i,-0.04547-0.039669i,-0.029618-0.037122i,0.0072823+0.013365i,-0.0058763+0.016561i,-0.0051269+0.015017i,0.010014+0.021785i,-7.7191e-05+0.0050411i,0.0035415+0.0032563i,0.0069608+0.018493i,0.027942+0.039909i,-0.0026958-0.0012033i,-0.004345-0.0058798i,0.0085387+0.0015642i,-0.00010483-0.0011383i,-0.00087339+0.0015357i,0.00019834-0.00048592i,-0.0314-0.0017097i,-0.0014843-0.0059292i,0.0016793+0.0048729i,0.0040116-0.00030991i,-0.00030555+0.00056284i,0.00056379-0.00064015i,-0.00020988-0.0027682i,-0.0016637-0.0063357i,-0.0049172-0.0044863i,-0.0019767-0.0053954i,0.0022618-0.00078236i,0.00254-0.0029724i,0.0027956+0.027346i,0.0019575-0.0031019i,0.0027099+0.00070262i,0.00613+0.0010147i,-0.010927-0.0034742i,-0.0031676+0.00059141i,0.006841+0.0014275i,0.0051634+0.00018818i,-0.003517+0.0052592i,0.0018331-0.0078445i,-0.011323+0.018482i,0.035865-0.091071i,0.012298-0.071127i,-0.015422-0.059982i,-0.017198-0.056035i,0.037623-0.048381i,0.016728-0.063685i,0.034786-0.05638i,0.031218-0.059564i,0.015321-0.013525i,0.0042086+0.016702i,0.015973-0.026902i,-0.011326+0.0063249i,-0.0007969+0.0059258i,-0.0052447-0.00041362i,-0.0029094-0.028244i,-0.024398+0.031569i,0.010198-0.011429i,-0.01289-0.0024696i,-1.8169e-05-0.0051484i,-0.0013428-0.015875i,-0.0077351+0.0052728i,0.0054579+0.0059645i,-0.007664+0.031239i,0.0055471+0.0060985i,-0.0052382-0.00095453i,-0.0031038-0.0002227i,-0.012058-0.0077949i,-0.00033303-0.004664i,-0.029433+0.0061793i,2.0909e-05-0.0099359i,-0.0092272-0.0018267i,-0.0067632-0.0029122i,0.0069732+0.0030699i,-0.0077489+0.00085671i,5.5805e-05+0.000757i,0.0057961+0.010662i,0.0039193+0.001579i,-0.0090077-0.010419i,0.0034771+0.0083459i,-0.021482+0.0058391i,0.0084514-0.00045598i,-0.028874-0.0036519i,-0.042476+0.0026561i,0.019756-0.096499i,-0.0020452-0.012158i,-0.054159-0.021738i,-0.023449+0.0013578i,0.018176+0.010494i,-0.024799+0.012836i,-0.01868-0.013058i
-0.032104+0.017914i,-0.052892+0.017909i,-0.033016+0.046521i,-0.031775+0.024834i,-0.029236+0.040293i,0.0049447+0.047931i,-0.0037574+0.024976i,-0.01746+0.039855i,-0.013453+0.022164i,-0.003544-0.005152i,-0.0041386-0.003274i,-0.0013016-0.0037754i,-0.0040906-0.0010188i,-0.0068959-0.0048518i,-0.0020614+0.004264i,-0.0033735-0.0018272i,-0.011618-0.0038483i,-0.001505-0.0011629i,0.0029428-0.0013804i,0.0021133-0.00064694i,0.0026404-0.0036492i,0.002526-0.0040972i,0.0013598-0.0025969i,-0.009629-0.008123i,-0.0020232+0.00068351i,-0.0039278+0.001335i,-0.0018811-0.00029659i,-0.0033722-0.0010534i,-0.001147-0.0015319i,0.0010929-0.0016594i,-0.0020564+0.0068181i,0.0014707-2.6005e-05i,0.0029257+0.00022179i,0.00097546+0.0015647i,-0.0015053+0.0037595i,-0.0010225-0.0066366i,-0.0013002+0.0010728i,0.00032874-0.00039638i,-0.00014353+0.0036949i,0.0083022+0.0050796i,0.0016067-0.0029616i,0.001847-0.0038677i,-0.0039486+0.00087909i,0.0010135+0.0028266i,-0.03163-0.0082525i,0.011655-0.077705i,-0.09369-0.029842i,-0.053522-0.035861i,-0.0765-0.048354i,-0.058617-0.0045182i,-0.094204+0.020148i,-0.059616+0.012235i,-0.048882-0.025537i,-0.032364-0.056645i,-0.025017-0.029278i,0.0028653+0.0053271i,-0.017928+0.010954i,0.0092127+0.0030949i,0.011496+0.003969i,0.00055498-0.0070746i,0.0081757+6.9265e-05i,-0.0084461-0.0035747i,0.0028198+0.015027i,-0.0012338+0.0097588i,0.00090449+0.0017747i,0.0055302+0.0035139i,0.0015314-0.00045903i,-0.0010305+0.014979i,0.00053847+0.01137i,0.0032852-0.0045759i,0.01038-0.0068971i,0.002469+0.0024599i,-0.0083325-0.0076629i,-0.002627-0.0028079i,0.018018-0.025765i,0.0062437+0.0041822i,0.0033844+0.0040797i,-0.0033433+0.0024711i,0.0019427-0.0038803i,0.021359+0.0024785i,0.0024403-0.0029586i,-0.00065113-0.0092789i,0.00058069-0.0025829i,0.012834+0.0031722i,0.0045853+1.7031e-05i,0.0046728-0.0068582i,0.002797+0.0089881i,0.0045636-0.000683i,0.024432+0.0051311i,-0.079844-0.036047i,-0.0058194+0.018846i,0.0074879-0.0025383i,-0.0012595+0.0030901i,-0.035263+0.013379i,-0.0069449+0.0068758i,-0.017248+0.013092i
-0.027715+0.021951i,-0.049484+0.022871i,-0.021788+0.044898i,-0.027616+0.028959i,-0.022378+0.041843i,0.013919+0.045251i,-0.00038181+0.024646i,-0.0095637+0.041275i,-0.0087458+0.019274i,-0.0051413-0.0028871i,-0.0044222-0.00083472i,-0.0026425-0.0043167i,-0.0048391-0.00033884i,-0.0072259-0.0020172i,-0.00080291+0.0051882i,-0.0057125+0.00051257i,-0.013531+0.0018442i,-0.0016296+0.00012124i,0.0033758-0.0020387i,0.002247-0.0016455i,0.0015421-0.0041368i,0.0016081-0.0041003i,0.00087084-0.0026276i,-0.010844-0.0047671i,-0.0010705+0.0010282i,-0.0034867+0.0025471i,-0.0014111+0.00043655i,-0.0032099+0.00013733i,-0.0017066-0.0013522i,0.00052071-0.0017889i,0.00093646+0.0072997i,0.0011053-0.00027833i,0.0024063-0.00084882i,0.0008465+0.0013864i,-0.001293+0.0033443i,-0.0012271-0.0059041i,-0.00069591+0.00083804i,-0.0007433-0.0005674i,1.3199e-05+0.0042772i,0.008102+0.00070798i,0.00071145-0.0032401i,-0.00048953-0.0043266i,-0.0042196+0.0019019i,0.001789+0.0025846i,-0.032674-0.0076781i,-0.012018-0.088958i,-0.090607-0.011429i,-0.062584-0.033514i,-0.088125-0.037099i,-0.057646+0.0054882i,-0.084416+0.037518i,-0.0555+0.024523i,-0.041555-0.024753i,-0.039094-0.052295i,-0.033006-0.018348i,0.0044955+0.0023026i,-0.011243+0.019474i,0.0090107-0.00080595i,0.012144-0.0024501i,-0.0051248-0.010907i,0.003593-7.3951e-05i,-0.0084995+0.0028174i,0.0087153+0.012432i,0.0013355+0.01128i,0.0011977+0.0015695i,0.0073116+0.0035795i,0.0024458+0.00058042i,0.0054337+0.011211i,0.0053752+0.0068244i,-0.0017036-0.0065126i,0.0032593-0.0081241i,0.0035674+0.0028323i,-0.011233-0.00010362i,-0.0027683-7.9866e-05i,0.006417-0.027052i,0.0073561+0.00296i,0.0068456+0.0025856i,-0.00056916+0.0024862i,-0.00068522-0.0012447i,0.018685-0.0068777i,0.00043552-0.0032662i,-0.0053958-0.0075951i,-0.0026156-0.0016276i,0.011378-0.0015996i,0.0039721+0.00042593i,0.0018916-0.0048278i,0.0057573+0.0075392i,0.0035073-0.0013847i,0.023871-0.0023615i,-0.084783-0.026521i,0.0022633+0.0083791i,0.0059946-0.00528i,-0.00011388+0.00092074i,-0.028442+0.022979i,-0.0050502+0.0073562i,-0.013309+0.016429i
-0.022164+0.024358i,-0.046799+0.028182i,-0.01531+0.040816i,-0.023144+0.031463i,-0.014778+0.043839i,0.021938+0.040338i,0.0034125+0.024384i,-0.0016263+0.040745i,-0.0080271+0.016937i,-0.0056768-0.00038766i,-0.0034659+0.001071i,-0.0062246-0.0036717i,-0.0050898+0.0017197i,-0.0073291+0.00017338i,0.0011249+0.0056907i,-0.0063058+0.0042804i,-0.01206+0.0079521i,-0.0003275+0.00095515i,0.0033931-0.0038826i,0.0019456-0.0030377i,0.00012823-0.0046043i,0.00062739-0.0047077i,0.00048232-0.0028517i,-0.011577-0.0019099i,-0.00094457+0.0012606i,-0.0021449+0.0039215i,-0.00092243+0.00042268i,-0.0027054+0.0014346i,-0.0020662-0.00095187i,-0.00043097-0.0025599i,0.0039045+0.0060063i,0.00087322-0.00045687i,0.0018543-0.0013199i,0.0014783+0.00085048i,-6.1303e-06+0.0041412i,-0.0011619-0.00604i,-0.0011756+0.00055667i,-0.0012378-0.00016971i,0.0033801+0.003031i,0.0064056-0.0017511i,-0.00027143-0.0030826i,-0.0010209-0.0028105i,-0.0042108+0.0032836i,0.0021672+0.0013231i,-0.035683-0.005138i,-0.041397-0.088334i,-0.080693+0.0024073i,-0.072105-0.025908i,-0.095242-0.021846i,-0.053133+0.014077i,-0.069467+0.049598i,-0.041423+0.034556i,-0.045575-0.025956i,-0.045648-0.048315i,-0.03448-0.0060676i,0.0047383-0.0012415i,-0.0016271+0.021072i,0.0078866-0.0036677i,0.0077733-0.0076432i,-0.014811-0.0088718i,0.0025668-0.00020642i,-0.0043772+0.0063956i,0.011983+0.0071449i,0.0047138+0.011929i,0.00044738+0.0018488i,0.0078893-0.00076864i,0.0041999-0.0012166i,0.0072526+0.0063036i,0.004948+0.002271i,-0.0067542-0.0032682i,0.00063547-0.0062289i,0.0055019+0.001744i,-0.0070961+0.0092078i,-0.00087551+0.0015721i,-0.0025697-0.024137i,0.0090261-0.0002568i,0.0066109-0.00083341i,-1.1774e-05+0.0020008i,0.00053935+0.00031801i,0.012202-0.011806i,-0.0023339-0.00035952i,-0.0083644-0.0039509i,-0.0032141+0.0018234i,0.0072561-0.0047211i,0.0071346-0.0011264i,0.0024345-0.004776i,0.0094312+0.0042093i,0.0043098-0.0028509i,0.020875-0.0095382i,-0.088663-0.012814i,-0.0001261-0.0012408i,0.0061722-0.0078479i,-8.8835e-05-0.001625i,-0.01874+0.026147i,-0.0057394+0.0031282i,-0.0086514+0.013296i
-0.016863+0.024413i,-0.042841+0.034777i,-0.011727+0.03769i,-0.01812+0.034741i,-0.0062388+0.043009i,0.02839+0.033892i,0.0080391+0.023469i,0.0054535+0.038155i,-0.0076928+0.017287i,-0.005069+0.0019691i,-0.0025652+0.0013831i,-0.0082556+0.00049994i,-0.0046282+0.0034948i,-0.007295+0.0027639i,0.0029002+0.0051306i,-0.0045587+0.0080699i,-0.0073015+0.012946i,0.000574+0.0001594i,0.0014367-0.0049671i,0.00014196-0.0043127i,-0.0015044-0.0042103i,-0.00055143-0.0047612i,-8.8818e-05-0.0033535i,-0.011498+0.001735i,-0.00032787+0.00097781i,0.00010378+0.0033445i,-0.00093649+0.00028954i,-0.0016368+0.0018204i,-0.0023807+7.9323e-06i,-0.0019886-0.0019002i,0.0055375+0.003751i,0.00048417-0.00043846i,0.0010646-0.0019157i,0.0016592+0.00011759i,0.0020221+0.0034848i,-0.0023446-0.0073712i,-0.00097984+0.0012515i,-0.0014907+0.00044171i,0.0031163-0.000484i,0.004633-0.0029836i,-0.00090309-0.0027055i,-0.00070447-0.0025422i,-0.0032085+0.0048983i,-0.00021986-0.00064832i,-0.038562-0.00072616i,-0.066902-0.072507i,-0.07062+0.008117i,-0.07962-0.014269i,-0.099105-0.005301i,-0.047068+0.019593i,-0.055451+0.055648i,-0.026853+0.034195i,-0.048588-0.020365i,-0.052114-0.041203i,-0.032122+0.0023849i,0.0025703-0.0040142i,0.0064459+0.018866i,0.0064456-0.0060447i,0.0022334-0.0089535i,-0.020661+0.00024703i,-0.00026308+0.00053221i,-0.00040647+0.0056766i,0.011399+0.00081405i,0.0095515+0.0115i,0.00085051+0.0029001i,0.0046976-0.0022877i,0.0037748-0.0046875i,0.0062308+0.0020384i,0.0024247+0.00072053i,-0.0069143+0.00067662i,-0.0013168-0.0050241i,0.0058538-0.0003299i,0.0026136+0.01018i,3.5591e-06+0.00076638i,-0.0074497-0.019158i,0.0080396-0.0033294i,0.0060102-0.0029479i,0.0013858+0.0029043i,0.0012073+0.00030622i,0.0069898-0.012411i,-5.1754e-05+0.0017759i,-0.0093902+0.00034124i,-0.0012248+0.0035996i,0.0041935-0.004235i,0.0063234-0.0047762i,0.00060027-0.004998i,0.0095089-0.0012389i,0.0028252-0.0054574i,0.016413-0.01579i,-0.086305+0.0029336i,-0.0065034-0.0050192i,0.0039747-0.012659i,-0.0012438-0.0042129i,-0.012531+0.025403i,-0.009104+0.0029492i,-0.0079491+0.01235i
-0.013273+0.024074i,-0.037828+0.040284i,-0.010393+0.0364i,-0.011666+0.036701i,0.00090883+0.040137i,0.032744+0.026787i,0.012743+0.021052i,0.011456+0.034749i,-0.0059081+0.018636i,-0.0033062+0.0036806i,-0.0025786+0.0020467i,-0.0073623+0.0043123i,-0.0036428+0.005037i,-0.0057145+0.0055809i,0.0044439+0.0040806i,-0.0011138+0.010237i,-0.0012164+0.014548i,0.00048571-0.00037251i,0.00017886-0.0048465i,-0.0019195-0.0038854i,-0.0028084-0.0032703i,-0.001963-0.0042825i,-0.0014193-0.0033824i,-0.0093181+0.0045108i,-0.00064538+0.00034558i,0.00016986+0.001852i,-0.0010841+0.00031052i,-0.00089274+0.001829i,-0.0021098+0.0010528i,-0.0020573-0.00043971i,0.0059514+0.0012807i,0.00033085-0.00051601i,3.3826e-05-0.0019162i,0.0012861-0.00043549i,0.002584+0.0019736i,-0.0049847-0.0075877i,-0.0005625+0.0015741i,-0.0012098+0.0014055i,0.0010133-0.0013177i,0.002955-0.0027839i,-0.0014579-0.0024383i,-0.0010113-0.0024527i,-0.0012536+0.0057903i,-0.0025969+0.0016189i,-0.039654+0.0060664i,-0.076897-0.048655i,-0.064776+0.009507i,-0.083926+0.0001045i,-0.099455+0.013145i,-0.042612+0.022471i,-0.041647+0.058846i,-0.017193+0.03101i,-0.049811-0.015134i,-0.055947-0.034363i,-0.029358+0.010057i,0.0001718-0.0050549i,0.014607+0.013387i,0.0043419-0.0076604i,-0.0026419-0.0074556i,-0.020001+0.0098439i,-0.00076967+0.002789i,0.0023511+0.005894i,0.0069557-0.001513i,0.01437+0.007892i,0.0019247+0.0032724i,0.0027546-0.0015245i,0.0015252-0.0068018i,0.003485+0.0012921i,0.00059497+0.0017523i,-0.0063444+0.0050331i,-0.0028908-0.0025801i,0.005199-0.0023452i,0.0071608+0.0054329i,0.00038723+0.00066469i,-0.010158-0.016893i,0.0060259-0.0056386i,0.004447-0.0049054i,0.0042547+0.0022603i,0.00184+7.131e-05i,0.0038213-0.011813i,0.0017011+0.0012878i,-0.0073899+0.0055752i,0.0012604+0.0035485i,0.0035744-0.0035701i,0.0033252-0.0086572i,0.00026128-0.0043579i,0.0063753-0.005193i,-0.00082947-0.0064167i,0.0090237-0.02172i,-0.079492+0.013327i,-0.014453-0.0016937i,-0.00054349-0.015639i,-0.0026345-0.0065034i,-0.0081216+0.024847i,-0.012164+0.0056013i,-0.0063985+0.013033i
-0.01056+0.024033i,-0.03217+0.045536i,-0.0088874+0.038167i,-0.0052081+0.036409i,0.0054466+0.036082i,0.03592+0.019771i,0.017039+0.017085i,0.016304+0.030836i,-0.0034041+0.018897i,-0.0016377+0.003806i,-0.0028512+0.0033568i,-0.0052565+0.0069331i,-0.0020438+0.0064759i,-0.0032741+0.0066752i,0.005239+0.0025294i,0.0026104+0.01057i,0.0050055+0.013397i,0.00060357-0.00037034i,-0.0013337-0.0049269i,-0.0032418-0.0027565i,-0.0031843-0.0017336i,-0.0029156-0.0033633i,-0.0022943-0.0026351i,-0.0076561+0.0055435i,-0.0013129+0.0006968i,-0.00023871+0.0017163i,-0.001412+0.00072366i,-0.00017451+0.0014378i,-0.0013314+0.001619i,-0.0016438+0.00029114i,0.0056307-0.00083268i,3.5886e-05-0.00054713i,-0.00055217-0.0015382i,0.00085634-0.00086931i,0.0025882+0.0013769i,-0.0076825-0.0064177i,-0.00035118+0.0014217i,-0.00028901+0.0019042i,-8.0968e-05-0.0011833i,0.0021573-0.002276i,-0.0019747-0.0016628i,-0.0017097-0.0021869i,0.00090946+0.0056242i,-0.0022577+0.0048901i,-0.038962+0.013746i,-0.075354-0.031492i,-0.062567+0.012208i,-0.083381+0.017405i,-0.093552+0.033299i,-0.040758+0.025382i,-0.029918+0.058504i,-0.0094494+0.026811i,-0.049194-0.0085325i,-0.060563-0.027021i,-0.024242+0.01497i,-0.0031514-0.0048078i,0.017466+0.0015154i,0.0024272-0.009328i,-0.0059891-0.0038495i,-0.01411+0.017411i,0.00054033+0.0035612i,0.0061142+0.0036819i,0.0053661-0.00020724i,0.017761+0.00042717i,0.002908+0.003285i,0.0022915-0.00097681i,-0.0027765-0.008645i,0.0023242+0.0026053i,0.00090772+0.0035879i,-0.0018437+0.0085768i,-0.0017227-0.00018954i,0.0036263-0.0033794i,0.0083567+0.001019i,0.0012251-0.00017908i,-0.015178-0.015594i,0.0031635-0.0068579i,0.0015237-0.0060213i,0.0040022-0.00019333i,0.0019055+0.00031086i,0.0021568-0.01059i,0.0024198+2.7748e-05i,-0.003141+0.0080013i,0.0023165+0.0016836i,0.0026297-0.0042939i,-0.002344-0.008727i,-0.00070482-0.0054133i,0.0030885-0.0056734i,-0.0026026-0.0063144i,-0.0013427-0.022105i,-0.075153+0.021649i,-0.012866+0.00818i,-0.0056483-0.016462i,-0.0058523-0.0073152i,-0.0052583+0.024353i,-0.011507+0.010564i,-0.0021125+0.012183i
-0.0074965+0.024359i,-0.024999+0.050554i,-0.0047866+0.040944i,2.5734e-06+0.034974i,0.0080153+0.033605i,0.037908+0.012372i,0.020064+0.012369i,0.020059+0.026813i,-0.000846+0.019451i,-0.00086951+0.0038293i,-0.0018695+0.0055139i,-0.0022158+0.0088092i,3.351e-05+0.0071436i,-0.0010215+0.0066442i,0.0053395+0.00098023i,0.0060363+0.0094823i,0.0095863+0.0099858i,0.00087587-0.00050673i,-0.0027548-0.0042437i,-0.0038285-0.0010354i,-0.0029837-0.00058051i,-0.0035544-0.0025489i,-0.0027456-0.0017863i,-0.0067546+0.007173i,-0.0014133+0.0015071i,-0.00012604+0.002257i,-0.0012712+0.0014963i,-0.00019522+0.00094939i,-0.00074638+0.0016586i,-0.0012975+0.00063428i,0.0046238-0.0027109i,0.00012114-0.0002434i,-0.00067179-0.0013332i,0.00049413-0.0011378i,0.0029919+6.4137e-05i,-0.0099636-0.004259i,8.2569e-05+0.0016096i,0.00045916+0.0016449i,-0.00078796-0.0010997i,0.0020428-0.0023945i,-0.002105-0.0008194i,-0.0018456-0.0012272i,0.002344+0.004351i,-0.00059212+0.0061691i,-0.03515+0.020398i,-0.074613-0.024216i,-0.061325+0.016945i,-0.076463+0.032251i,-0.082066+0.050403i,-0.037936+0.031275i,-0.019687+0.058156i,-0.0053663+0.021958i,-0.047481-0.0036409i,-0.063462-0.017387i,-0.019839+0.018204i,-0.0043806-0.004697i,0.010934-0.0086539i,-0.00077961-0.010937i,-0.0066897-0.00022024i,-0.0063379+0.01951i,0.00091946+0.0031203i,0.0074156-0.00095053i,0.006275-0.00075255i,0.015532-0.0055664i,0.0050625+0.0026722i,0.0022934+0.00033016i,-0.0075461-0.0039998i,0.0032838+0.003829i,0.0024464+0.0048033i,0.0030785+0.00815i,-0.00094297-5.8309e-05i,0.0024534-0.0039514i,0.0081738-0.0046515i,2.4067e-05-0.00078613i,-0.02101-0.010307i,0.00088042-0.0066209i,-0.00093623-0.0044158i,0.0048045+0.00021787i,0.0020466-0.00034872i,0.0010499-0.011581i,0.0020616-0.0014841i,0.00058969+0.0068294i,0.0024991+0.0012268i,0.0019571-0.0036433i,-0.0053552-0.0051074i,-0.0039482-0.0057851i,1.8304e-05-0.0053186i,-0.0045699-0.0059994i,-0.0081292-0.01843i,-0.069102+0.030191i,-0.0080787+0.0073781i,-0.0063947-0.01544i,-0.0080715-0.0063124i,-0.0011688+0.022872i,-0.010274+0.012494i,-0.00076159+0.009596i
-0.0044681+0.024266i,-0.01653+0.054262i,0.001473+0.043429i,0.004543+0.033728i,0.010635+0.032255i,0.03833+0.0051335i,0.021989+0.0071237i,0.023522+0.022797i,0.0025245+0.019554i,-9.7573e-05+0.0041799i,0.00088384+0.0066626i,0.0014705+0.0086387i,0.0021334+0.0070357i,0.00040622+0.0064909i,0.005253-0.00028641i,0.0088326+0.0069252i,0.011994+0.0057906i,0.0010966-0.0014594i,-0.0038481-0.003219i,-0.0033469+0.00078132i,-0.0024574+0.00025041i,-0.0040249-0.0011282i,-0.0029761-0.00095517i,-0.0038281+0.0088659i,-0.00088793+0.0023972i,0.00086839+0.0024607i,-0.00070564+0.0020814i,-0.00056396+0.0010977i,-0.00026526+0.0017724i,-0.00089584+0.00097682i,0.0028929-0.0039487i,0.00046042-0.00060566i,-0.001219-0.0011985i,-9.5665e-05-0.0012139i,0.0022374-0.001197i,-0.011227-0.00095498i,0.00061725+0.0014916i,0.00098381+0.0014363i,-0.0017256-0.00071032i,0.0018323-0.0025313i,-0.0017387-0.00027365i,-0.0016753-0.00080101i,0.0029814+0.0029486i,0.0014476+0.0069337i,-0.030893+0.024413i,-0.079329-0.017297i,-0.059976+0.022649i,-0.068167+0.043923i,-0.066594+0.06167i,-0.033689+0.036276i,-0.0095971+0.056047i,-0.0022459+0.018976i,-0.045705+0.00068135i,-0.063521-0.0068021i,-0.015676+0.020965i,-0.0060357-0.0035692i,0.0028191-0.0099973i,-0.0047596-0.010992i,-0.0052816+0.0036882i,0.00056569+0.017816i,0.00057557+0.0025972i,0.0057948-0.0053451i,0.0050667-0.0021156i,0.011599-0.01109i,0.0065782+0.00053893i,0.0034227+0.0006261i,-0.0079963-0.00021217i,0.0048965+0.0044848i,0.0050579+0.0051105i,0.0071543+0.005584i,-0.00090092+0.00081104i,0.0019212-0.0042109i,0.0046407-0.0083645i,-0.00038094+0.00067123i,-0.023958-0.0021455i,-0.00049823-0.0063087i,-0.0019165-0.0025428i,0.0057369-0.000895i,0.0018798-0.00081055i,-0.0016409-0.013438i,0.00073482-0.0018619i,0.0035828+0.0064203i,0.003158+0.00035745i,0.0029423-0.003635i,-0.0069809-0.0025588i,-0.0071147-0.0025451i,-0.0027549-0.0037965i,-0.006242-0.0051135i,-0.012318-0.013521i,-0.062383+0.036441i,-0.0076128+0.0057028i,-0.0074237-0.018179i,-0.0094374-0.004939i,-5.7669e-05+0.022256i,-0.0097272+0.014336i,0.00023241+0.0079779i
-0.00097954+0.024351i,-0.0067659+0.056128i,0.009662+0.043796i,0.008901+0.032391i,0.014388+0.032026i,0.037783-0.0016399i,0.022429+0.0013646i,0.026842+0.018129i,0.0061725+0.018441i,0.00069726+0.0042284i,0.0033107+0.0054435i,0.0038043+0.0064804i,0.0042027+0.0063967i,0.0022388+0.0062476i,0.004907-0.0015643i,0.0099735+0.0035253i,0.012602+0.0011846i,-6.097e-05-0.0021395i,-0.0048305-0.0014972i,-0.001956+0.0017708i,-0.0015342+0.00045173i,-0.0036653+0.00016326i,-0.0030243+4.7963e-06i,-0.00065419+0.0089798i,0.00024465+0.0027076i,0.0016881+0.001954i,0.00022406+0.0022076i,-0.00021259+0.0016915i,0.00046356+0.0014722i,-0.00045834+0.00097861i,0.0010214-0.004313i,-3.3932e-05-0.00096824i,-0.001651-0.00050871i,-0.00071011-0.0009807i,0.0011522-0.0019025i,-0.010857+0.0027821i,0.00091981+0.0012409i,0.0015492+0.00095362i,-0.0020009+0.00035428i,0.0012982-0.0029087i,-0.0015598-0.00011757i,-0.0017359-0.00080172i,0.0029165+0.0018266i,0.0035807+0.0069239i,-0.026807+0.028625i,-0.08722-0.0042157i,-0.055667+0.028404i,-0.056935+0.052373i,-0.051393+0.069208i,-0.028449+0.042624i,-8.2462e-06+0.052017i,0.0030859+0.0153i,-0.043551+0.0055862i,-0.060938+0.0035771i,-0.011431+0.023841i,-0.0078013-0.0022459i,-0.002984-0.0091762i,-0.009088-0.0094861i,-0.0013722+0.0051588i,0.0042941+0.013996i,-0.00026735+0.0026729i,0.0030112-0.0085798i,0.0050725-0.0013855i,0.0049223-0.013885i,0.0067625-0.002843i,0.0046072-0.00027539i,-0.0078917+0.0040787i,0.0078147+0.0037842i,0.0081813+0.0026472i,0.0089553+0.0011577i,0.00017974+0.0017906i,0.001036-0.0043277i,-0.0011049-0.0086423i,0.0010147+0.002207i,-0.023888+0.0069037i,-0.0019178-0.0061864i,-0.001513-0.00069143i,0.0058329-0.0044371i,0.0018951-0.00079916i,-0.0073341-0.013735i,-0.00014615-0.0012198i,0.006125+0.0038317i,0.0033592-0.00011074i,0.0025536-0.0046684i,-0.0065828+0.001633i,-0.0072623+0.002097i,-0.004447-0.0016143i,-0.0084456-0.0038718i,-0.014142-0.0085938i,-0.05709+0.041989i,-0.0082532+0.0082894i,-0.012111-0.022059i,-0.0081409-0.0036441i,0.0033476+0.022567i,-0.0090038+0.017998i,0.0016937+0.0058071i
0.0029058+0.023453i,0.0029751+0.055707i,0.017739+0.041067i,0.013478+0.030618i,0.019476+0.030948i,0.036473-0.0080699i,0.021323-0.0040306i,0.029045+0.012763i,0.0093147+0.016562i,0.00129+0.0043367i,0.0041552+0.0041261i,0.0043596+0.0046038i,0.005822+0.0047474i,0.0038253+0.0051899i,0.0041633-0.0026765i,0.0095135+0.00052409i,0.01148-0.0023843i,-0.00089058-0.0019064i,-0.0045263+0.00028189i,-0.0006713+0.0017414i,-0.00087114+0.00012038i,-0.0030025+0.00080135i,-0.0024715+0.00080179i,0.0019094+0.0084897i,0.0012911+0.00229i,0.0022153+0.0013526i,0.0010611+0.0018799i,0.00049547+0.0017249i,0.00083718+0.00085152i,-0.00042065+0.0010281i,-0.00073071-0.0038212i,-0.00065055-0.00087616i,-0.0016319+0.00027841i,-0.0011489-0.00051833i,0.0003327-0.0020656i,-0.009256+0.0058396i,0.0011701+0.0008713i,0.0016297+0.00016551i,-0.0017855+0.0014961i,0.00075257-0.0035317i,-0.0014964+0.00020539i,-0.0019424-0.00084861i,0.0027036+0.0011626i,0.0056942+0.0061005i,-0.021966+0.03221i,-0.089154+0.016132i,-0.05286+0.032222i,-0.046564+0.05714i,-0.034452+0.073828i,-0.019764+0.048663i,0.0069619+0.045878i,0.0059291+0.0077599i,-0.039285+0.009211i,-0.055122+0.013897i,-0.0043339+0.025268i,-0.0091512+0.00017217i,-0.0083337-0.0057858i,-0.011969-0.0060397i,0.001331+0.0035324i,0.0055823+0.011195i,-0.0020999+0.0039349i,-0.00070121-0.011247i,0.0062021-0.0033551i,-0.0017239-0.012455i,0.0044584-0.0051761i,0.005072-0.0025439i,-0.0059493+0.0072294i,0.0098275+0.0002155i,0.0086005-0.0023907i,0.0078118-0.0040643i,0.0022439+0.0014153i,-2.6534e-05-0.0045256i,-0.0043407-0.0049368i,0.0030259+0.001284i,-0.019657+0.016684i,-0.0037285-0.0052022i,-0.00027105+0.0004328i,0.0024709-0.0061514i,0.0018999-0.00084864i,-0.013091-0.01011i,7.0574e-05-0.00017954i,0.0069356+7.5985e-05i,0.0031033-0.0011183i,0.0014643-0.0052i,-0.0042109+0.0048016i,-0.0049974+0.0054408i,-0.004798+0.0017799i,-0.01022-0.0018725i,-0.014717-0.0043325i,-0.050512+0.050114i,-0.0025094+0.011112i,-0.019892-0.021594i,-0.0073353-0.004836i,0.0059942+0.021421i,-0.0053839+0.021477i,0.0019781+0.0022338i
