-0.024471-0.038514i,-0.012019-0.049458i,-0.017849-0.044785i,-0.031067-0.035341i,-0.029996-0.01638i,-0.050582-0.027539i,-0.058129-0.025453i,-0.044834-0.037864i,-0.029648-0.035999i,0.0076437+0.012525i,-0.0056179+0.015857i,-0.0047071+0.014216i,0.0099333+0.021507i,0.00044084+0.0044515i,0.0034285+0.0032295i,0.0065215+0.017511i,0.026742+0.038449i,-0.0026011-0.00098865i,-0.0046618-0.0056906i,0.0077451+0.0016525i,-1.0161e-05-0.00073095i,-0.0010922+0.0014461i,0.00011453-0.00041839i,-0.030291-0.0024652i,-0.0013017-0.0057631i,0.0013599+0.0046124i,0.0035175-7.5336e-05i,-0.00036714+0.0005483i,0.00048124-0.00055692i,-0.00043679-0.00262i,-0.0017312-0.0062346i,-0.004597-0.0042227i,-0.0019349-0.0049019i,0.0023786-0.00073408i,0.0021767-0.0028918i,0.0027364+0.025763i,0.0017923-0.0027335i,0.0027491+0.00072203i,0.0058906+0.00097618i,-0.010463-0.0035472i,-0.0033185+0.00080221i,0.0067676+0.0011359i,0.005149-0.00020988i,-0.0035267+0.0055915i,0.0014814-0.0088419i,-0.011813+0.017663i,0.035263-0.091021i,0.012157-0.070287i,-0.015865-0.059698i,-0.016695-0.055613i,0.038683-0.047033i,0.016845-0.062909i,0.03402-0.055913i,0.031105-0.059866i,0.015334-0.013558i,0.0043225+0.016745i,0.01648-0.026581i,-0.011374+0.0059802i,-0.00060301+0.0050802i,-0.0050105-0.0012306i,-0.0023874-0.028615i,-0.023697+0.031422i,0.0098858-0.011325i,-0.012938-0.0024165i,-0.00021632-0.0050042i,-0.00096388-0.01611i,-0.007585+0.0045557i,0.0050666+0.0062999i,-0.0084312+0.030755i,0.0050731+0.0060298i,-0.0050537-0.00062245i,-0.0029978-0.00035371i,-0.012049-0.0072344i,-0.00068851-0.0043194i,-0.029563+0.0063499i,5.1335e-06-0.010025i,-0.0093734-0.0017466i,-0.0066212-0.0026693i,0.0067956+0.0029507i,-0.0078091+0.0013424i,-8.6037e-05+0.00057581i,0.0057666+0.010865i,0.0038467+0.0013982i,-0.0094171-0.0097061i,0.0030976+0.0080538i,-0.021353+0.0061096i,0.0087654+0.00038964i,-0.02879-0.003541i,-0.042093+0.0025701i,0.01957-0.096935i,-0.0020955-0.012703i,-0.053005-0.021887i,-0.023091+0.00072396i,0.017844+0.01087i,-0.024953+0.012821i,-0.018351-0.01308i
0.0078517+0.020547i,0.014908+0.051326i,0.024584+0.034957i,0.01752+0.027449i,0.024776+0.026941i,0.032652-0.014567i,0.017752-0.0090164i,0.029896+0.0059853i,0.012331+0.014088i,0.0028795+0.0046402i,0.0047175+0.0027521i,0.0043883+0.003347i,0.0059979+0.002868i,0.0049842+0.0035588i,0.0030332-0.0033545i,0.0080982-0.0015434i,0.0087732-0.0048298i,-0.0013528-0.0013527i,-0.0033333+0.0010529i,-7.419e-05+0.0012574i,-0.0010641-0.00019456i,-0.0028+0.001285i,-0.0018014+0.0009169i,0.0047695+0.0076806i,0.0013363+0.0011208i,0.0024521+0.00051109i,0.0018997+0.0011809i,0.0010027+0.0013714i,0.0007844+0.00013922i,-0.00032792+0.00086672i,-0.0018993-0.0024898i,-0.00078935-0.00047695i,-0.0011174+0.00090387i,-0.0011519+0.00038764i,-0.00068429-0.0018918i,-0.0067754+0.0075078i,0.0013945+0.00043414i,0.0011858-0.00060524i,-0.00078711+0.0023503i,-0.00012728-0.003566i,-0.001286+0.0002959i,-0.002088-0.00040813i,0.0022521+0.00091708i,0.0067203+0.0043063i,-0.014264+0.034842i,-0.081358+0.035632i,-0.051524+0.038514i,-0.036827+0.059604i,-0.018647+0.072773i,-0.008415+0.051331i,0.010456+0.037376i,0.0034285-0.0019146i,-0.03667+0.0095885i,-0.045717+0.019601i,0.001989+0.024002i,-0.0081637+0.0024822i,-0.010614-0.00058119i,-0.013577-0.0021578i,0.0023426+0.00049947i,0.006065+0.0096096i,-0.0021881+0.0083897i,-0.0070633-0.012584i,0.0054827-0.00699i,-0.0062777-0.0068243i,0.0019362-0.0063007i,0.0035922-0.004014i,-0.0016212+0.010103i,0.0095306-0.0041868i,0.005074-0.0059812i,0.0028139-0.0058475i,0.0032414-0.00031227i,-0.0012866-0.0048042i,-0.0034731-0.00062813i,0.0024081-0.00038328i,-0.009352+0.025405i,-0.0042349-0.0033584i,0.0020007+0.00039356i,0.00036296-0.0064847i,0.0024024-0.0013762i,-0.015749-0.0034667i,0.00058172+6.7977e-05i,0.005222-0.0031554i,0.0031847-0.0011551i,0.00062813-0.0044984i,-0.00048297+0.0058256i,-0.0013522+0.0066508i,-0.0032029+0.0044315i,-0.011928+0.0020933i,-0.014892-0.0015633i,-0.040113+0.056092i,0.00088389+0.00509i,-0.024863-0.017241i,-0.0065806-0.007148i,0.0099734+0.019553i,-0.0022424+0.022933i,-0.0004868-0.00058856i
0.010257+0.017071i,0.023045+0.046498i,0.03009+0.030539i,0.022339+0.025062i,0.030583+0.022817i,0.029372-0.020335i,0.014931-0.012408i,0.030423+0.00034372i,0.0145+0.011049i,0.0041996+0.0033515i,0.0053226+0.0016767i,0.0042681+0.0030588i,0.0061451+0.0017072i,0.0055757+0.0023215i,0.0019207-0.0038686i,0.0066915-0.0030207i,0.0062375-0.0065306i,-0.0010403-0.0011284i,-0.0028172+0.0012813i,0.00052141+0.00054538i,-0.00132-0.00022743i,-0.0023753+0.0018578i,-0.0014798+0.00096478i,0.0082032+0.0050329i,0.0013158+0.0012713i,0.0027505-0.00057495i,0.0020303+0.00011939i,0.0014873+0.00085708i,0.00034049-5.8092e-05i,-0.00024149+0.00087161i,-0.0027542-0.0012924i,-0.0012012-0.00050928i,-0.00086045+0.0011639i,-0.00087201+0.00076245i,-0.0014649-0.00063611i,-0.0039767+0.0088077i,0.0011676-0.00025954i,0.00081687-0.00086012i,0.00028693+0.0020448i,-0.0012635-0.0030491i,-0.0011467+0.00043315i,-0.0022028+0.00031936i,0.0018936+0.00077155i,0.0072599+0.0032438i,-0.0076578+0.036412i,-0.069494+0.049711i,-0.047258+0.047381i,-0.02697+0.063327i,-0.002567+0.070138i,0.0023695+0.049398i,0.011345+0.031428i,-0.0025699-0.006314i,-0.037841+0.011741i,-0.036742+0.021471i,0.0077273+0.021792i,-0.0083182+0.0049717i,-0.0097979+0.004962i,-0.013127+0.0019451i,0.0013449-0.00083564i,0.0078515+0.0089763i,0.002101+0.011504i,-0.013324-0.010277i,0.00072341-0.0076934i,-0.0059554-0.0030781i,-0.0014592-0.0059223i,0.0014279-0.0053613i,0.0028426+0.007911i,0.0062982-0.0066398i,0.00069984-0.0064458i,0.00017464-0.0035749i,0.0040693-0.0014972i,-0.0024864-0.0039368i,-0.0014706+0.0014011i,0.0026138-0.00064785i,0.0039101+0.025546i,-0.0049344-0.0025974i,0.0026305-0.0017045i,-0.0029199-0.0059472i,0.0027865-0.0022721i,-0.01478+0.0036459i,0.00097222+0.00053558i,0.0033787-0.0029383i,0.0031276-0.0024325i,-0.00058169-0.0045899i,0.001262+0.0025752i,0.0016428+0.0054896i,-0.00044286+0.0055937i,-0.010621+0.0058352i,-0.016073+0.001669i,-0.02912+0.057563i,0.0011218+0.0057059i,-0.028828-0.01189i,-0.0092618-0.010036i,0.012592+0.017958i,0.0020626+0.024819i,-0.0029853-0.0018236i
0.011435+0.014298i,0.029277+0.039885i,0.035636+0.023797i,0.028014+0.020214i,0.036235+0.01707i,0.024745-0.02573i,0.01135-0.015365i,0.029991-0.0056852i,0.01617+0.0080002i,0.0044172+0.0018928i,0.0052149-0.00012853i,0.0050443+0.0027761i,0.0060713+6.417e-05i,0.0059725+0.00058023i,0.00072886-0.004005i,0.0050533-0.0039831i,0.0039454-0.0074862i,-0.0014239-0.0012541i,-0.0025208+0.0019617i,0.00035402-0.0004159i,-0.0018339-0.00014286i,-0.0017231+0.0024386i,-0.0014317+0.0010697i,0.0089079+0.0007506i,0.0021124+0.00064624i,0.0019581-0.0016067i,0.0015849-0.00064687i,0.0018888+2.9789e-05i,0.0001785+6.3409e-05i,-9.5528e-05+0.00098245i,-0.0030045+0.00014384i,-0.0018703+0.00035991i,-0.00022084+0.001533i,-0.00046938+0.0010235i,-0.0011339+0.00043368i,-0.0011245+0.0093846i,0.0008588-0.00041367i,0.00036889-0.0011028i,0.00090372+0.0014593i,-0.0023391-0.0023562i,-0.0010389+0.00058878i,-0.0018951+0.0010194i,0.0018017+0.0012224i,0.0080614+0.001603i,0.00051263+0.036562i,-0.056427+0.06025i,-0.038739+0.055446i,-0.015918+0.064302i,0.011951+0.063407i,0.012104+0.04728i,0.010971+0.027992i,-0.00817-0.00684i,-0.03839+0.017174i,-0.029631+0.020381i,0.012211+0.017321i,-0.0076794+0.0068859i,-0.0076678+0.0080276i,-0.012142+0.0048995i,-0.00058784-0.0026579i,0.010064+0.0071101i,0.0072126+0.011078i,-0.017459-0.005395i,-0.0015148-0.0051093i,-0.005194-0.00043477i,-0.0032593-0.0039084i,-0.001133-0.0047326i,0.0050891+0.006761i,0.0039163-0.0070492i,-0.003176-0.0044613i,0.00037298-0.001454i,0.0037056-0.004087i,-0.0040955-0.0028099i,-0.00012692+0.00082283i,0.0022263-0.0013923i,0.014501+0.01949i,-0.0061545-0.00091885i,0.0023775-0.002858i,-0.0032269-0.0038316i,0.0031608-0.0037673i,-0.010178+0.0089024i,0.0021604+0.00048554i,0.0020537-0.0035013i,0.0017759-0.0028895i,-0.0020439-0.0037386i,0.00057615+0.0017658i,0.003528+0.0034989i,0.0022649+0.0052593i,-0.0086837+0.0081397i,-0.016033+0.0063663i,-0.020486+0.057225i,0.0048122+0.0056654i,-0.030327-0.0061326i,-0.012667-0.011483i,0.016451+0.014295i,0.0082758+0.025562i,-0.0050559-0.0011467i
0.012219+0.012135i,0.032706+0.033643i,0.038186+0.015841i,0.031669+0.01284i,0.04012+0.0089205i,0.018657-0.029558i,0.0070814-0.016982i,0.027812-0.011442i,0.017193+0.0047056i,0.0041447+0.0010371i,0.004484-0.00079818i,0.0058233+0.0017879i,0.0052215-0.00092654i,0.005468-0.0010527i,-0.00057103-0.003774i,0.0034604-0.0042726i,0.0012316-0.0072471i,-0.0016185-0.00080685i,-0.0014038+0.0023916i,-0.00043617-0.00076305i,-0.002119+0.00068641i,-0.0009929+0.0029279i,-0.0013434+0.0013903i,0.0075052-0.0026079i,0.0019827-0.00025664i,0.00095633-0.0017333i,0.0010241-0.000923i,0.001405-0.0010025i,0.00024087-7.7474e-05i,0.00026884+0.0011833i,-0.0026252+0.0016483i,-0.001361+0.0013244i,0.00047602+0.0013059i,-0.00013547+0.0010064i,-0.00055212+0.0010517i,0.0018318+0.009076i,0.00060236-0.000599i,-0.00014335-0.0012419i,0.00096451+0.0011318i,-0.0027927-0.0013619i,-0.00091105+0.00088583i,-0.0015177+0.0013691i,0.0024526+0.0014511i,0.008453-0.00030466i,0.0078658+0.033343i,-0.040988+0.067833i,-0.029436+0.061124i,-0.0069877+0.063817i,0.024273+0.052452i,0.021793+0.041284i,0.0099593+0.026535i,-0.01457-0.0048097i,-0.037133+0.024133i,-0.025548+0.017951i,0.015106+0.011401i,-0.006013+0.0095113i,-0.0042808+0.011447i,-0.010718+0.0077169i,-0.0042691-0.0016663i,0.012162+0.0038615i,0.011584+0.0081564i,-0.019462+0.00072642i,-0.0023844-0.0037115i,-0.003518+0.0010074i,-0.0038713-0.0014284i,-0.0025307-0.0034363i,0.0071154+0.0033749i,0.0015904-0.0072678i,-0.0046227-0.00018073i,0.0016589-0.00066246i,0.0014275-0.0058538i,-0.0046105-0.00053447i,0.00084588+0.00090616i,0.0020678-0.0018469i,0.020332+0.0098076i,-0.0061587+0.0021069i,0.0019273-0.0042139i,-0.0033571-0.0024619i,0.0016483-0.0061094i,-0.0044971+0.010099i,0.0031798-0.00081141i,0.00089534-0.0027966i,0.0009096-0.0027271i,-0.0021977-0.0021849i,0.00032768+0.0017517i,0.0036161+0.0012278i,0.0046309+0.0040705i,-0.0061603+0.0094649i,-0.01424+0.010935i,-0.012918+0.057982i,0.011104+0.0011518i,-0.029309-0.00032584i,-0.018373-0.011277i,0.017203+0.0094801i,0.015258+0.023348i,-0.0051041-0.000573i
0.013494+0.010401i,0.035914+0.028535i,0.039324+0.0088669i,0.032853+0.0053144i,0.041388+0.00017637i,0.012626-0.03182i,0.0030584-0.016917i,0.024697-0.016119i,0.017927+0.0012896i,0.0039183+0.00037477i,0.00404-0.0012189i,0.0063621+0.00046414i,0.0046827-0.0012636i,0.0045783-0.0022556i,-0.0015704-0.0028896i,0.0022234-0.0038471i,-0.00049552-0.0063086i,-0.0019423-0.0003096i,-0.00074794+0.0021412i,-0.0011176-0.00056315i,-0.0018746+0.0013296i,0.00017061+0.0031409i,-0.0010831+0.0018628i,0.0052023-0.0047869i,0.0014235-0.00071565i,0.00043989-0.0017173i,0.00060429-0.0010724i,0.00055692-0.0012197i,1.937e-05-4.8149e-05i,0.00092893+0.0011355i,-0.0014273+0.0026019i,-0.00057827+0.0017488i,0.00081015+0.0008819i,0.00026948+0.0012247i,0.00022609+0.0012855i,0.004332+0.0077423i,0.00024355-0.0005834i,-0.00072518-0.0010851i,0.0014391+0.00088305i,-0.0029185-0.0003073i,-0.000587+0.00088611i,-0.0010624+0.0016282i,0.0032515+0.0010613i,0.0076303-0.0026263i,0.012966+0.028479i,-0.024551+0.070642i,-0.017642+0.065646i,0.0025286+0.063308i,0.030247+0.039236i,0.027934+0.033585i,0.010563+0.027835i,-0.01834+0.0021074i,-0.033432+0.033169i,-0.024581+0.01586i,0.014065+0.0056197i,-0.0027801+0.011509i,0.00098617+0.01179i,-0.0086391+0.010065i,-0.0054198+0.0016802i,0.012518-0.0014947i,0.01445+0.0033305i,-0.019115+0.0070397i,-0.0025184-0.0016712i,-0.0024792+0.0014198i,-0.0027035+0.00020482i,-0.00385-0.0012989i,0.0068443+0.00045366i,-0.00056837-0.0067078i,-0.0029686+0.0033364i,0.003029-0.0015i,-0.0012197-0.0060041i,-0.0036157+0.0011323i,0.0020745+0.00015204i,0.0017746-0.0023165i,0.020871+0.00015625i,-0.0039188+0.0043711i,0.00032607-0.0055212i,-0.0026912-0.001985i,-0.00083612-0.0067738i,-0.00042491+0.009041i,0.002761-0.0023642i,0.00088641-0.0013406i,0.00087647-0.0022289i,-0.0012663-0.0017686i,0.00099601+0.0019906i,0.002184-9.6239e-05i,0.0054402+0.0016685i,-0.0039884+0.0093437i,-0.01065+0.015329i,-0.0045531+0.05776i,0.012653-0.0096354i,-0.025837+0.0020151i,-0.023944-0.008441i,0.017809+0.0049897i,0.020536+0.017103i,-0.0061873-0.00099978i
0.014988+0.0081675i,0.039329+0.02295i,0.040156+0.0017656i,0.032678-0.0021342i,0.041125-0.008249i,0.0063125-0.033248i,0.00013283-0.016083i,0.021159-0.020097i,0.018124-0.0025163i,0.0033909-0.00019431i,0.0040788-0.0015946i,0.0065229-0.00096949i,0.0048995-0.001793i,0.0035187-0.0030647i,-0.002103-0.002041i,0.0016555-0.0032059i,-0.0015608-0.0056507i,-0.0017867+0.00014187i,-0.00024868+0.0020362i,-0.0014793-3.126e-05i,-0.0012988+0.0018064i,0.0014614+0.0026476i,-0.00043306+0.0022082i,0.0022975-0.0056463i,0.0011448-0.0009366i,-0.00017547-0.0016595i,0.00018942-0.0011734i,1.2528e-05-0.0011027i,-6.0107e-05+0.0001321i,0.001322+0.00057471i,-0.00015732+0.0027731i,0.00027338+0.0017706i,0.00092496+0.00055859i,0.00081327+0.0009232i,0.00080821+0.00070318i,0.0058344+0.0057761i,7.1271e-05-0.00042744i,-0.0010165-0.00059404i,0.0014186+0.00034258i,-0.002609+0.0004909i,-0.00037884+0.00093901i,-0.00051578+0.0015828i,0.0037543+0.00034191i,0.0062844-0.0042171i,0.016411+0.023599i,-0.0098365+0.069047i,-0.0040208+0.065821i,0.012444+0.061047i,0.032228+0.027258i,0.031734+0.025787i,0.013683+0.029701i,-0.016923+0.011053i,-0.02478+0.042563i,-0.025477+0.016495i,0.012016+0.0025607i,0.0012022+0.011775i,0.0047732+0.0098659i,-0.0057607+0.012279i,-0.0045562+0.0040119i,0.009753-0.0071839i,0.014425-0.0028393i,-0.016353+0.012155i,-0.0015934-0.00060953i,-0.0014357+0.0012174i,-0.0016699+0.00048226i,-0.003219+0.0014339i,0.0055208-0.0013128i,-0.002028-0.0052422i,0.00030353+0.0046061i,0.0031443-0.0034011i,-0.0034574-0.0045932i,-0.0025606+0.0018867i,0.002323-0.0011431i,0.0016761-0.0025901i,0.017443-0.0079972i,-0.0014384+0.004981i,-0.0018643-0.0053845i,-0.0029602-0.0017147i,-0.003206-0.00614i,0.0020942+0.0073303i,0.0023404-0.003484i,0.0025138-0.0014803i,0.00092016-0.0029732i,-0.00079809-0.0022941i,0.001454+0.002013i,0.00079882+0.00022855i,0.0049182+0.00013323i,-0.0025983+0.0088842i,-0.0047831+0.01735i,0.00394+0.056068i,0.0065366-0.018605i,-0.023996+0.00096414i,-0.028833-0.0023647i,0.016293-0.00051795i,0.021936+0.010504i,-0.0071907+4.0233e-05i
0.016287+0.0055213i,0.041691+0.016565i,0.038996-0.0064908i,0.030112-0.0099292i,0.03921-0.017139i,-0.0003365-0.033074i,-0.0019192-0.015194i,0.017007-0.023567i,0.01716-0.006435i,0.0029251+7.9221e-06i,0.0036225-0.0022531i,0.0062658-0.0029484i,0.0046911-0.0030295i,0.0022982-0.0035384i,-0.0024386-0.0010851i,0.0015799-0.002883i,-0.0027973-0.0049454i,-0.0019109+0.0005721i,0.00049012+0.001748i,-0.0018205+0.00063811i,-0.00089241+0.0019831i,0.0022404+0.0016371i,0.00017456+0.0022622i,-0.00063906-0.005146i,0.00069181-0.0016548i,-0.00076868-0.001153i,-0.00033911-0.0011105i,-0.00036871-0.00080429i,0.00021135+0.00026001i,0.0012361+1.3665e-05i,0.0011739+0.0023896i,0.00084965+0.0015888i,0.00089596+0.0002265i,0.0010399+0.00052105i,0.000692-4.8346e-05i,0.0065568+0.0038459i,-0.00011948-0.00027824i,-0.0011478-0.00022029i,0.001369+2.9094e-05i,-0.0020712+0.00094783i,-0.00016567+0.00096938i,-6.91e-05+0.0014052i,0.0040634-0.00079695i,0.0046086-0.0051526i,0.018574+0.018848i,0.0028866+0.065131i,0.0078703+0.06183i,0.021966+0.057165i,0.030778+0.017167i,0.033561+0.018877i,0.019463+0.029705i,-0.0095444+0.016894i,-0.011383+0.047471i,-0.025868+0.020045i,0.010211+0.000895i,0.0044427+0.010192i,0.0069709+0.0067088i,-0.0020834+0.013161i,-0.003953+0.0054477i,0.003244-0.0097484i,0.010764-0.0077281i,-0.012469+0.015658i,-0.0006339-0.0010791i,-0.0011212+0.00068704i,-0.001276+0.00034399i,-0.0009574+0.0028931i,0.0042508-0.0014965i,-0.0025323-0.0042078i,0.0031643+0.0036613i,0.0018143-0.005314i,-0.0045392-0.0026701i,-0.0012539+0.002294i,0.0016171-0.0024588i,0.001234-0.0035375i,0.011519-0.01263i,0.00060012+0.0045664i,-0.0032599-0.0042988i,-0.0026683-0.0013035i,-0.0048652-0.0048993i,0.0036396+0.0055585i,0.0015317-0.0049713i,0.0030426-0.003205i,-0.00013918-0.0036506i,-0.0016058-0.002855i,0.0026701+0.0022189i,0.00070214+0.0017764i,0.0044092-0.00098245i,-0.0015899+0.00885i,0.00044609+0.016531i,0.011944+0.054142i,-0.0021217-0.023508i,-0.026414-0.00035032i,-0.030227+0.005658i,0.010956-0.0042677i,0.022446+0.0046817i,-0.0064747+0.00061831i
0.017388+0.0021308i,0.043607+0.010673i,0.035475-0.013441i,0.024845-0.015729i,0.034558-0.025365i,-0.0060989-0.03122i,-0.0034269-0.01435i,0.012189-0.025936i,0.015762-0.0099744i,0.0034062+0.00031389i,0.0032353-0.0024965i,0.0048785-0.0046556i,0.0039554-0.0040803i,0.0012267-0.0034814i,-0.0022471-0.0001274i,0.0014661-0.002694i,-0.0043975-0.0033797i,-0.0016744+0.0013506i,0.00083141+0.0009924i,-0.0015849+0.001749i,-0.00030015+0.0023092i,0.0023251+0.00041343i,0.00083063+0.0021844i,-0.0026497-0.0033792i,-0.00060952-0.0015865i,-0.00088972-0.00062414i,-0.000701-0.00085597i,-0.00061499-0.00046539i,0.00033173-5.7394e-05i,0.0010694-0.00032111i,0.0020771+0.0014726i,0.0013216+0.0010819i,0.00085468-5.2689e-05i,0.0010995+0.00011986i,0.00016249+3.7513e-05i,0.0066047+0.0018874i,-0.00015646-0.00012358i,-0.0012315+0.00022398i,0.0012713-0.00028053i,-0.0013392+0.0012231i,9.7517e-05+0.0010558i,0.00021255+0.0011583i,0.0035648-0.0022057i,0.0029074-0.0052421i,0.019526+0.014359i,0.013722+0.058795i,0.016451+0.056364i,0.030885+0.051632i,0.027826+0.0099415i,0.033923+0.012421i,0.025297+0.027136i,-0.0018022+0.017301i,0.0026324+0.046828i,-0.023926+0.024797i,0.0093251-5.9736e-05i,0.0069389+0.00782i,0.0073974+0.0038223i,0.0018492+0.012616i,-0.0025147+0.0073644i,-0.002671-0.0079983i,0.0064856-0.0095163i,-0.0077866+0.018075i,-0.0011262-0.0021279i,-0.001501+0.00076264i,-0.0011548+0.00052065i,0.001594+0.0026454i,0.0034943-0.0018728i,-0.0033019-0.0033288i,0.0047267+0.0014591i,-0.0010869-0.0062832i,-0.0045103-0.00071778i,0.0001105+0.0017283i,0.0010727-0.0031524i,9.6244e-05-0.004743i,0.0053926-0.014059i,0.0021784+0.003609i,-0.0043031-0.0034538i,-0.0033454-0.001338i,-0.0062022-0.0029817i,0.0040694+0.0040761i,-0.00044307-0.0063147i,0.0027195-0.0048118i,-0.0011598-0.00327i,-0.0021883-0.0025961i,0.0032739+0.0017069i,0.0017251+0.0027079i,0.0032932-0.0018005i,-0.00047205+0.009287i,0.0043713+0.014014i,0.020918+0.051093i,-0.012413-0.025032i,-0.030312+0.0012101i,-0.027601+0.013553i,0.0062568-0.0036148i,0.020359-0.0014783i,-0.0059128-0.00082017i
0.017498-0.0019844i,0.045264+0.0034911i,0.031491-0.018585i,0.019562-0.01865i,0.028481-0.031715i,-0.010613-0.028878i,-0.0044801-0.014017i,0.0075083-0.027387i,0.013622-0.013495i,0.0041624-0.00024392i,0.0032122-0.0030121i,0.003107-0.0053733i,0.0028263-0.0052589i,0.00047983-0.0032677i,-0.0017484+0.00044433i,0.0015177-0.0025198i,-0.0047223-0.0012649i,-0.0010689+0.0014737i,0.00061666+0.00037679i,-0.0007071+0.0022605i,0.00040834+0.0022565i,0.0019222-0.00044416i,0.0015199+0.0018076i,-0.0035608-0.00091058i,-0.0011572-0.00078447i,-0.00086446-0.00029795i,-0.00092292-0.00059128i,-0.00061002-0.00010875i,4.4945e-05-5.1188e-06i,0.00071158-0.0006652i,0.002576+0.00028978i,0.001378+0.00060577i,0.00083929-0.0002695i,0.001136-0.00016657i,0.00013466+0.00040118i,0.0059982+0.00021542i,-0.00012996+0.00011654i,-0.0010761+0.00074727i,0.0010891-0.00073255i,-0.00065844+0.0013421i,0.00048103+0.0008843i,0.00034779+0.00082396i,0.0025142-0.0031751i,0.0013847-0.0049909i,0.019733+0.010287i,0.021111+0.050626i,0.023353+0.051182i,0.038316+0.04391i,0.024427+0.0046109i,0.033395+0.008108i,0.030301+0.023337i,0.004546+0.015932i,0.014758+0.041705i,-0.019385+0.029386i,0.0088723-0.0014224i,0.0085585+0.0044236i,0.0076396+0.0016222i,0.0054581+0.010511i,0.00024354+0.0078748i,-0.0059628-0.0045161i,0.0023214-0.0097579i,-0.0023375+0.018114i,-0.0026959-0.0021722i,-0.0023049+0.001753i,-0.00096652+0.00073595i,0.0031242+0.0011707i,0.0028995-0.0011086i,-0.0036173-0.0019228i,0.0046567-0.0007398i,-0.003718-0.004976i,-0.003501+0.00059178i,0.00041537+0.00056859i,0.0001391-0.0040534i,-0.0018518-0.0049438i,0.00030468-0.013416i,0.0034122+0.0019272i,-0.0054823-0.0019638i,-0.0038323+5.4362e-05i,-0.0061744-0.00033768i,0.0046456+0.0032847i,-0.0034609-0.0062487i,0.0015759-0.0066268i,-0.0018372-0.002928i,-0.0027094-0.002764i,0.0041812+0.0011021i,0.0031757+0.0024914i,0.0022607-0.0012817i,0.00099264+0.0093495i,0.0065234+0.01086i,0.029914+0.045186i,-0.023255-0.021822i,-0.033344+0.0047839i,-0.022173+0.018383i,0.0042829-0.0021931i,0.015849-0.0053877i,-0.0082481-0.0016493i
0.016227-0.0058909i,0.045407-0.0044377i,0.027323-0.022992i,0.0151-0.020308i,0.021557-0.036617i,-0.014947-0.026324i,-0.0058999-0.014611i,0.0027458-0.028305i,0.010418-0.016423i,0.0045238-0.0012363i,0.0029525-0.003984i,0.0014373-0.0054331i,0.0010579-0.0059664i,-0.00016905-0.0030806i,-0.0014092+0.0005799i,0.0016682-0.0027073i,-0.0041565+0.00047862i,-0.00073858+0.0013615i,0.00044402+0.00020921i,9.4843e-05+0.0023684i,0.0010091+0.0020334i,0.0014255-0.00088249i,0.001955+0.0010952i,-0.0028066+0.0014132i,-0.0010252-0.00010654i,-0.00084554+0.00014129i,-0.0010505-0.00024998i,-0.00056757+4.6547e-05i,7.2485e-05+9.0915e-05i,0.00012301-0.00076286i,0.0024921-0.0010176i,0.0014744+0.00027741i,0.00072251-0.00052555i,0.001042-0.00072499i,0.00041368+0.00061623i,0.0052683-0.00088496i,3.6512e-05+0.00016969i,-0.00067494+0.0012035i,0.00040995-0.00083891i,0.00012149+0.0010296i,0.00073866+0.00075111i,0.00032768+0.00072097i,0.001153-0.0033906i,0.00044952-0.0039766i,0.019508+0.0071697i,0.025219+0.043925i,0.02984+0.045908i,0.043087+0.036265i,0.020355+0.00035665i,0.034451+0.004559i,0.03453+0.018253i,0.010709+0.01232i,0.024342+0.033113i,-0.012492+0.032593i,0.0080878-0.0029279i,0.0081006-0.00020303i,0.0077292-0.0010602i,0.0073543+0.0071242i,0.0020574+0.0070784i,-0.0073819-5.2216e-05i,-0.0013731-0.0084462i,0.0016683+0.015452i,-0.0039329-0.00086247i,-0.0020578+0.00381i,-0.00087154+0.00097906i,0.0038716-0.00090037i,0.0037756+0.00029992i,-0.0030759-0.00078748i,0.004185-0.0016478i,-0.0048571-0.0030491i,-0.0023599+0.00096192i,7.1386e-05+0.00017523i,-0.002105-0.0046238i,-0.0035146-0.0037547i,-0.003894-0.012149i,0.0035772-0.0001529i,-0.005713+0.0001393i,-0.0029374+0.0011886i,-0.0052057+0.0014798i,0.0056427+0.0025533i,-0.0058049-0.0042938i,-0.0010754-0.0080138i,-0.0027067-0.00231i,-0.0043326-0.002494i,0.0051681-0.00058599i,0.0047117+0.0020768i,0.0025609-0.00095153i,0.0031513+0.0094684i,0.0070732+0.0076423i,0.037268+0.037193i,-0.030249-0.013189i,-0.036161+0.010758i,-0.016229+0.021195i,0.0023772-0.00030054i,0.011695-0.006059i,-0.0098579-0.00078191i
