-0.023302-0.019697i,-0.031669-0.034358i,-0.022868-0.019981i,-0.032022-0.020419i,-0.024359+0.0036982i,-0.028736-0.018495i,-0.055042-0.04874i,-0.041025-0.044817i,-0.029926-0.020057i,0.0053107+0.0057996i,-0.0035055+0.0061294i,-0.010847+0.011687i,0.0041171+0.0070926i,-0.0038642-0.0027816i,0.0028864+0.001951i,0.0013068+0.029493i,0.018561+0.024991i,-0.00016573+0.00043135i,-0.0028944-0.0028615i,0.0080975+0.003929i,0.0018206+0.00043849i,-0.00030835+0.0022849i,-0.00076294+0.00019662i,-0.031366-0.0012132i,-0.0034069-0.0048047i,-0.00018756+0.002578i,0.0046868-0.0012354i,0.0007151-0.00020342i,-0.00068964-0.00046643i,-0.0012006-0.0019033i,-0.0022107-0.00048277i,-0.0041297-0.0043617i,-0.0040208-0.0057788i,0.00046644-0.0013532i,0.0006628-0.0028139i,-0.0045057+0.025053i,0.0018496-0.0032234i,0.0025837-0.0038744i,0.0045901-0.0023119i,-0.0059119-0.0029569i,0.0007122+0.0012845i,0.00099344-0.00089452i,-0.0021028+0.00049272i,-0.0030197+0.0013331i,-0.0084717-0.0036565i,-0.018221+0.021469i,-0.0086878-0.086595i,-0.0024515-0.061647i,-0.021013-0.054279i,-0.011266-0.045661i,0.052848-0.026868i,0.023355-0.067139i,0.040567-0.055104i,0.019407-0.039915i,0.025545-0.020584i,0.01228+0.012005i,0.025025-0.02878i,-0.010136+0.00027375i,-0.0011899-0.0004636i,-0.0086962-0.0011944i,-0.004849-0.029067i,-0.021435+0.027059i,0.0073522-0.0096272i,-0.010077-0.0033138i,-0.002689-0.0016645i,-0.0011438-0.014433i,-0.0086491+0.0052369i,0.0062246+0.010205i,-0.013577+0.030865i,0.0063533+0.0074045i,-0.0034328-0.0016332i,-0.00227-0.0017531i,-0.012612-0.0058216i,0.00033477-0.0042404i,-0.034363+0.00061471i,0.003103-0.0087374i,-0.0079577-0.001987i,-0.0049054-0.0031078i,0.0067558+0.0020718i,-0.010447+0.00066436i,0.0023794-0.00069849i,0.0062717+0.0082573i,0.0050507+0.0012329i,-0.007819-0.009684i,0.0031879+0.0076193i,-0.021397+0.0079138i,0.0029756+0.0054513i,-0.020988-0.0092554i,-0.026843-0.0048539i,0.0097995-0.062496i,0.018899-0.015373i,-0.049767-0.028847i,-0.021713+0.00046382i,0.018995+0.010619i,-0.026627+0.011752i,-0.012831-0.0075277i
-0.01172+0.01391i,-0.022814+0.042089i,0.0013985+0.041066i,-0.010413+0.025413i,-0.00034947+0.021351i,0.0010327+0.02374i,-0.026738+0.014753i,-0.027238+0.032273i,0.00053215+0.016066i,-0.0012496-0.00099286i,-0.00090639+0.0017026i,0.0041387+0.0036922i,0.0031401+0.0048544i,-0.0031599+0.0017121i,-0.0032144+0.0034009i,0.00083533-0.0074229i,-0.0085626-0.00031321i,-0.0018043+0.00045989i,0.00020716-0.001348i,-0.0010664-0.00041418i,0.00073074-0.0032822i,0.0011729-0.002744i,0.0010531-0.0015127i,-0.0094167-0.0098891i,-9.6017e-05-0.00049767i,-0.001543+0.00029817i,-0.002254-7.0467e-05i,-0.0028824+0.0001301i,-0.00087106-0.00079936i,0.00098646-0.00057939i,-0.0016413-1.547e-05i,0.0015956-0.00044105i,0.0017526-0.0010595i,0.0006049+0.00064612i,-0.00035155+0.0018436i,-0.00056756-0.0068411i,-0.0015014+0.001252i,0.0015406+0.00014213i,0.0016323+0.0022543i,0.0046027+0.0056014i,0.0015956-0.0017304i,-0.0017015-0.0010107i,-0.0016971-0.0028592i,0.0021099+0.0068308i,-0.0078931+0.0076653i,0.019648-0.058521i,-0.074089+0.014913i,-0.028374-0.018116i,-0.061828-0.04729i,-0.053228-0.016971i,-0.086617+0.0038132i,-0.073455+0.002295i,-0.046124-0.035355i,-0.0090649-0.045352i,-0.040595-0.02549i,-0.0060487+0.00012552i,-0.032138+0.010887i,0.0077482+0.011446i,0.010382+0.006842i,0.0011934-0.0069078i,0.010918+0.0031045i,-0.0121-0.002038i,0.0031842+0.011953i,0.0018686+0.0071514i,-0.00022358-0.0014145i,0.0057317+0.0015945i,0.0041922+0.0005905i,-0.0046151+0.01816i,-0.00048522+0.0091722i,0.00091663-0.0039306i,0.0082639-0.0064149i,0.0010688+0.0039957i,-0.0073369-0.0072621i,-0.0023055-0.00097129i,0.02151-0.029454i,0.0052263+0.0090247i,0.001865+0.0028219i,-0.0019103+0.0044327i,0.0028774-0.0033256i,0.019117+0.0029966i,0.0013441-0.0016625i,-0.0042901-0.0068306i,-0.00015035-0.0017382i,0.013358+0.0022964i,0.0056172-0.00068298i,0.003697-0.0075362i,0.0045334+0.0049107i,-0.0058484+0.0029193i,0.013501+0.0067073i,-0.04356-0.038251i,-0.012854+0.0052069i,-0.0022067-0.0012851i,-0.0011347+0.0026863i,-0.040528+0.010895i,-0.0067313+0.008554i,-0.012969+0.0040541i
-0.008846+0.014632i,-0.015604+0.043031i,0.010508+0.034826i,-0.0053176+0.02614i,0.0026573+0.018962i,0.0055585+0.022375i,-0.025758+0.019332i,-0.019342+0.033865i,0.0037159+0.010861i,-0.0014765-0.00033764i,-1.7971e-05+0.0029275i,0.0048149+0.0012837i,0.0040828+0.0030826i,-0.001617+0.0028965i,-0.0024552+0.0045411i,-0.0036176-0.0056449i,-0.009008+0.0036978i,-0.0014618+0.00092371i,0.00092569-0.0011817i,-0.00046139+8.4257e-06i,-0.00014095-0.0031897i,0.00099412-0.0021727i,0.00083327-0.0014764i,-0.011864-0.0062694i,7.8056e-05-0.00034461i,-0.0015517+0.00056062i,-0.0016686+0.00081557i,-0.0022469+0.00066288i,-0.0011445-0.00069069i,0.001065-0.00077992i,-0.0014653+0.00097995i,0.00099936-0.00072809i,0.001124-0.00085593i,0.00030018+0.00055316i,-0.00087665+0.0014372i,-0.00082768-0.0055975i,-0.00078953+0.0013858i,0.00071527-0.00036631i,0.0012096+0.0023266i,0.0055604+0.0030993i,0.00074631-0.0024018i,-0.0023164-0.00074031i,-0.0033689-0.0016826i,0.0045376+0.0062876i,-0.0060014+0.0055791i,0.00049424-0.068227i,-0.065447+0.028972i,-0.035212-0.020597i,-0.074362-0.038164i,-0.053683-0.0055153i,-0.07764+0.021388i,-0.070426+0.016919i,-0.040852-0.033362i,-0.014784-0.043641i,-0.044287-0.010093i,-0.0072205+0.00021918i,-0.024817+0.023447i,0.010267+0.0057554i,0.011857+0.00073886i,-0.0036919-0.011183i,0.0075442+0.0025119i,-0.01039+0.0041905i,0.0084658+0.0095822i,0.0044139+0.0071418i,-0.00094378-0.0010501i,0.0065234+0.0020139i,0.0052138+0.00024133i,0.003592+0.015858i,0.0041787+0.0058669i,-0.0032087-0.0054222i,0.001888-0.007169i,0.002894+0.0048358i,-0.010969-3.991e-05i,-0.0021373+0.0016464i,0.0068334-0.031043i,0.0081418+0.0074899i,0.0041048+0.0023801i,0.0019398+0.0033397i,-0.00010743-0.001663i,0.017387-0.0058099i,-0.00013476-0.002445i,-0.0074317-0.0044953i,-0.0025811-0.00078293i,0.010854-0.00081588i,0.0049186+0.00014357i,0.00063515-0.0062715i,0.0062687+0.0033773i,-0.0063837+0.0053451i,0.013225+0.0017942i,-0.049992-0.032493i,-0.0065977-0.0047322i,-0.0030233-0.0017559i,0.00073294+0.0014653i,-0.035011+0.023496i,-0.0045183+0.009906i,-0.011226+0.0053616i
-0.0057448+0.014654i,-0.008599+0.04379i,0.01537+0.02712i,-0.00046133+0.024889i,0.0062163+0.01774i,0.0095854+0.020031i,-0.022228+0.024369i,-0.01271+0.031878i,0.0025984+0.0068823i,-0.0015664+0.00065218i,0.0017717+0.0032641i,0.0024286-9.6343e-05i,0.0044246+0.0018265i,-0.00069285+0.0029868i,-0.0011039+0.0055674i,-0.006723-0.0016704i,-0.0072391+0.0081432i,-0.00077797+0.0015069i,0.0010044-0.0018261i,0.00014382-0.00031708i,-0.00095486-0.0030953i,0.00095303-0.0029176i,0.00073282-0.0016268i,-0.013202-0.0024216i,-0.00010132-0.00034747i,-0.0010682+0.001155i,-0.00094565+0.00068574i,-0.0015652+0.0014997i,-0.0013321-0.00055675i,0.00059312-0.0014717i,-0.00075089+0.0014578i,0.00057169-0.00076334i,0.00056775-0.0011072i,0.00050116+0.00022249i,-0.00042589+0.0024249i,3.132e-05-0.0055534i,-0.00062164+0.0012143i,0.00031838-0.00057118i,0.0024481+0.00079403i,0.0054845+0.0012272i,2.3024e-06-0.0024227i,-0.0016754+0.00034293i,-0.004191+4.8338e-05i,0.0056012+0.0045495i,-0.0056496+0.0043374i,-0.021625-0.067962i,-0.052208+0.038478i,-0.043704-0.017312i,-0.082218-0.023428i,-0.049071+0.0031089i,-0.062885+0.032502i,-0.057928+0.029641i,-0.043812-0.034869i,-0.019847-0.042524i,-0.043723+0.0048034i,-0.0073584+0.001505i,-0.012554+0.029682i,0.010506+0.0011849i,0.0083399-0.0052215i,-0.0139-0.011554i,0.0072371+0.00046465i,-0.0069232+0.006884i,0.010812+0.0041359i,0.0066134+0.0058163i,-0.0029407+0.00029337i,0.0067963-0.0016412i,0.0062429-0.0021839i,0.0079766+0.010205i,0.0042585+0.0015534i,-0.007818-0.0020839i,-0.00039723-0.0049281i,0.005817+0.0036901i,-0.0066123+0.0090022i,0.00037077+0.0031056i,-0.0030922-0.026591i,0.011993+0.0034594i,0.0047242+0.00026783i,0.0019489+0.0012039i,0.00076527+0.00015472i,0.011315-0.01098i,-0.0024691+0.00024161i,-0.0074884-0.0003923i,-0.0032087+0.0024932i,0.0076235-0.0025861i,0.0082619-0.0014026i,-5.7806e-05-0.0058384i,0.0086133+0.00060252i,-0.0028303+0.0072173i,0.011723-0.0024336i,-0.055584-0.021682i,-0.012512-0.013701i,-0.001606-0.0035908i,0.0029124-0.00048512i,-0.022903+0.029372i,-0.0027701+0.0053785i,-0.0073393+0.0026155i
-0.0028631+0.013606i,-0.0010363+0.043879i,0.017439+0.019885i,0.0042793+0.023511i,0.010362+0.014394i,0.013131+0.016734i,-0.016992+0.027728i,-0.0096653+0.030779i,0.0018139+0.0057866i,-0.00098276+0.0016507i,0.0027699+0.0020528i,0.0012086+0.0015067i,0.0042229+0.00063311i,-0.00067155+0.0036114i,0.00046427+0.0058184i,-0.0066832+0.0038111i,-0.0030724+0.011325i,9.5282e-05+0.0013018i,0.0004142-0.0022474i,-6.5557e-05-0.0010181i,-0.0017733-0.0025066i,0.00019594-0.0031657i,0.00052574-0.0021542i,-0.013153+0.0020657i,-6.2959e-05-0.00047351i,-0.00017378+0.0012371i,-0.00081609+0.00034143i,-0.00036539+0.0014867i,-0.0016001+0.00017275i,-0.00021551-0.0013394i,-0.00016232+0.0014768i,0.00013535-0.00078741i,-0.00029568-0.00093372i,0.00044694+8.7679e-05i,0.00090808+0.0021528i,-0.00025224-0.0071541i,4.7452e-05+0.0015722i,-0.00020667-0.00049883i,0.0014142-0.00058622i,0.0053298-0.00038967i,-0.00078851-0.0024287i,-0.00094449+0.00029335i,-0.0040544+0.0020486i,0.0049645+0.0012621i,-0.0058339+0.0039765i,-0.040657-0.056457i,-0.038478+0.040992i,-0.050342-0.0098339i,-0.085805-0.0081286i,-0.043006+0.0084194i,-0.049818+0.036371i,-0.044226+0.031678i,-0.048423-0.029492i,-0.024924-0.038605i,-0.038393+0.014998i,-0.0076976+0.0030995i,-0.00093597+0.029624i,0.0091769-0.0034206i,0.0029753-0.0068383i,-0.02176-0.0024115i,0.0047073-0.00049767i,-0.0035454+0.0073017i,0.009084-0.0013547i,0.0082893+0.0047895i,-0.0028273+0.0031297i,0.0036122-0.0028371i,0.0052597-0.0059929i,0.007522+0.0050964i,0.0015471-0.00036106i,-0.0082871+0.0018187i,-0.00182-0.0035465i,0.0071219+0.001257i,0.0026642+0.0097191i,0.0019644+0.0019166i,-0.0096703-0.022819i,0.011879-0.001387i,0.0038024-0.0016785i,0.001548+0.0014582i,0.0012448-0.00055362i,0.0057119-0.011356i,8.3861e-05+0.0025659i,-0.0063907+0.0022074i,-0.00043045+0.00483i,0.0053115-0.0024796i,0.008103-0.0063749i,-0.0024333-0.0050458i,0.0080431-0.0046365i,-0.00093464+0.0057507i,0.0098497-0.0066156i,-0.053975-0.0085754i,-0.023391-0.014667i,-0.0025992-0.007287i,0.0037351-0.0054325i,-0.01583+0.0298i,-0.006548+0.0041133i,-0.010138+0.00036501i
-0.0011135+0.012329i,0.0057015+0.04197i,0.016952+0.014165i,0.0087276+0.0207i,0.012772+0.0098299i,0.015311+0.012784i,-0.011277+0.02932i,-0.0050739+0.030967i,0.0022499+0.0056913i,0.00019075+0.0020101i,0.0030216+0.001283i,0.0019929+0.0025055i,0.0040415-0.00040137i,0.00086843+0.0044798i,0.0020867+0.0056133i,-0.003823+0.0072264i,0.002015+0.011937i,0.00056836+0.0011271i,0.00025796-0.0021861i,-0.00063885-0.0011511i,-0.0026094-0.0018129i,-0.00054067-0.0029071i,-0.00031056-0.0024791i,-0.010695+0.0056465i,-0.00050626-0.00057431i,0.00012491+0.00030759i,-0.00084299+0.00022182i,0.00019717+0.00086597i,-0.0012984+0.0009752i,-0.00031402-0.00083136i,0.00044709+0.0015983i,-1.5812e-05-0.00085594i,-0.00077487-0.00054702i,0.00027652+2.325e-05i,0.0010997+0.0013883i,-0.0018703-0.0085709i,-3.7603e-05+0.0017532i,-0.0002796+0.00014008i,0.00055857-0.00096729i,0.0043871-0.001317i,-0.0013385-0.0020873i,-0.00072378+0.00031621i,-0.0022897+0.0037064i,0.0034599+0.001488i,-0.005496+0.0046535i,-0.048261-0.039477i,-0.028129+0.039268i,-0.054755-7.1335e-05i,-0.087412+0.0086159i,-0.038527+0.0095697i,-0.03864+0.037344i,-0.035085+0.03122i,-0.050207-0.024734i,-0.027702-0.03443i,-0.031655+0.025605i,-0.0069721+0.0047629i,0.012095+0.025605i,0.0067417-0.0059693i,-0.0017965-0.0055412i,-0.022499+0.0072004i,0.0034666-1.469e-05i,0.00040667+0.0080254i,0.0042623-0.0032792i,0.010613+0.0021364i,-0.0012585+0.0050902i,0.0015142-0.0014819i,0.0026929-0.0089342i,0.0037128+0.0024778i,-0.00066217+0.001047i,-0.0080311+0.0072423i,-0.0027694-0.0012983i,0.0070418-0.0014662i,0.0066355+0.0051068i,0.0026102+0.00087028i,-0.014565-0.020188i,0.0098346-0.0057453i,0.0026056-0.0025338i,0.0038531+0.0027637i,0.00097179-0.00044587i,0.0027538-0.0096608i,0.0020063+0.0016924i,-0.0044101+0.005288i,0.0024714+0.0044415i,0.0044547-0.0025546i,0.0034898-0.01167i,-0.0026677-0.0034159i,0.0036916-0.0077579i,-0.00064428+0.0046073i,0.0054086-0.010107i,-0.047483-0.002203i,-0.032733-0.0056844i,-0.0055254-0.0090572i,0.0012119-0.010487i,-0.008065+0.030147i,-0.0098619+0.0068087i,-0.011538+0.0025759i
0.00044194+0.011363i,0.011577+0.039851i,0.016122+0.01132i,0.011959+0.016722i,0.012908+0.0051001i,0.016623+0.0093213i,-0.0051814+0.029146i,-0.0017971+0.02855i,0.0033347+0.0040404i,0.00076508+0.0014656i,0.0025897+0.00049928i,0.0031007+0.0025614i,0.0033737-0.001313i,0.0026202+0.0037602i,0.0033698+0.0048376i,-0.00037542+0.0085921i,0.006857+0.0102i,0.0010306+0.00090558i,-0.00027183-0.0025042i,-0.0012349-0.0010017i,-0.002698-0.00058415i,-0.00094581-0.0027026i,-0.0010481-0.0020977i,-0.0083756+0.0069795i,-0.00082878-0.00056134i,-0.00025187+9.2606e-05i,-0.0010754+0.0001318i,0.0003627+0.00018824i,-0.00043488+0.0012641i,-0.00031303-0.00074325i,0.0011107+0.0013484i,-0.00052526-0.00091949i,-0.00040118+1.1553e-05i,6.8909e-05-0.0001684i,0.0012806+0.0014029i,-0.0048626-0.0093434i,-0.00011751+0.00088426i,0.00018825+0.00021078i,0.0001528-0.00078237i,0.0036387-0.0020315i,-0.0017649-0.00087809i,-0.00061806+0.00029866i,-0.00023174+0.0033683i,0.0037853+0.0018032i,-0.0045133+0.0056715i,-0.047097-0.026834i,-0.020895+0.037051i,-0.055123+0.012967i,-0.082259+0.028873i,-0.039105+0.01029i,-0.030119+0.035706i,-0.027087+0.030314i,-0.050639-0.018931i,-0.031038-0.031491i,-0.021827+0.029862i,-0.0065997+0.0066371i,0.018704+0.010786i,0.0048479-0.0082938i,-0.0047729-0.0019945i,-0.017211+0.015631i,0.0035335-0.00071664i,0.0040124+0.005121i,0.001431-0.0014777i,0.01171-0.0025902i,0.0014522+0.0062959i,0.00099856-0.00026482i,-0.0031642-0.010672i,0.0021867+0.0048052i,-0.00037794+0.0034412i,-0.0028368+0.012483i,-0.0016315+0.00070086i,0.0057347-0.0030885i,0.0075745+0.001618i,0.0033001-0.0007531i,-0.020364-0.016431i,0.0063165-0.0081923i,0.00084841-0.0027786i,0.0049085-0.0015447i,0.00093076+0.00062907i,0.0021046-0.0078774i,0.0027983+0.00029789i,-0.00063111+0.0070172i,0.003804+0.0017888i,0.0035758-0.0033132i,-0.0039228-0.010384i,-0.0030625-0.003787i,-0.00062399-0.0060193i,0.0004552+0.0036159i,-0.00074825-0.010528i,-0.044529+0.0017988i,-0.030323+0.0086325i,-0.0087026-0.0092972i,-0.0038994-0.012556i,-0.0034007+0.028403i,-0.0088091+0.011959i,-0.0088206+0.0034503i
0.0018052+0.010258i,0.01746+0.037442i,0.016383+0.0090357i,0.013616+0.012411i,0.011561+0.0018052i,0.017658+0.0059126i,0.0002082+0.02771i,0.00041499+0.028362i,0.0037223+0.002464i,0.00085176+0.0011785i,0.0022143+0.00061627i,0.0045753+0.0022717i,0.0025219-0.0018371i,0.0034285+0.0020556i,0.0042066+0.0038838i,0.0029424+0.0083513i,0.010087+0.0067058i,0.0014767+0.00057383i,-0.0010052-0.002505i,-0.0016513-0.0003852i,-0.0022332+0.00030295i,-0.0015625-0.0025465i,-0.0014616-0.0015895i,-0.0066586+0.0084887i,-0.0010606-7.3138e-05i,-0.00051362+0.00029383i,-0.00075349+0.00069037i,-9.1893e-05-0.00029394i,-6.9433e-05+0.00088234i,-0.00049492-0.00073639i,0.0015852+0.00064625i,-0.00068167-0.0002445i,-8.2126e-05+0.00015944i,-8.9003e-05-9.792e-05i,0.0018809+0.00053174i,-0.0093889-0.0069749i,0.00021871+0.00049511i,0.00014491-0.00021386i,-0.0003116-0.00063766i,0.0027181-0.0026002i,-0.0014076-0.0001884i,-0.00032316+0.00040909i,0.00054797+0.0023758i,0.0043867+0.0010309i,-0.0027982+0.0058488i,-0.045186-0.021721i,-0.01558+0.035374i,-0.049697+0.024994i,-0.070316+0.045426i,-0.039454+0.015877i,-0.023623+0.034898i,-0.021621+0.027708i,-0.050594-0.014805i,-0.033603-0.026473i,-0.014537+0.031456i,-0.0038561+0.0074734i,0.012846-0.0019343i,0.0011112-0.010722i,-0.0049295+0.0012082i,-0.011758+0.018517i,0.0019677-0.0019004i,0.0049054+0.0025636i,0.0017889-0.00019659i,0.0095176-0.0060027i,0.0047032+0.0059781i,0.0011564+0.0013305i,-0.0083249-0.0051637i,0.004153+0.0063142i,0.0011684+0.005015i,0.0026305+0.012692i,-0.00076148+0.001019i,0.004451-0.0045011i,0.0081043-0.0034086i,0.0014705-0.0019397i,-0.027434-0.0086782i,0.0038826-0.0088427i,-0.00042347-0.0015308i,0.0040292-0.00074357i,0.001648+0.00047193i,0.0025009-0.0093934i,0.0023212-0.0012106i,0.0028115+0.0051983i,0.003012+0.0011039i,0.0032341-0.003054i,-0.0070951-0.0070326i,-0.005032-0.0030822i,-0.0025344-0.0065488i,0.00054001+0.0021338i,-0.0044762-0.0075393i,-0.041363+0.0068659i,-0.023916+0.010564i,-0.0091398-0.0087167i,-0.0079647-0.011533i,0.0015369+0.025112i,-0.0063346+0.013193i,-0.0083523+0.0029533i
0.0028898+0.0090168i,0.023285+0.034049i,0.017245+0.0072762i,0.013985+0.0087486i,0.0097045-0.00023958i,0.017958+0.0023848i,0.0047974+0.025199i,0.0024879+0.028304i,0.0037693+0.00054829i,0.0010506+0.0010541i,0.0026402+0.00076279i,0.005926+0.00046314i,0.0016084-0.0018987i,0.0029012+0.0010119i,0.0049494+0.0029589i,0.0056448+0.0065027i,0.012045+0.0020569i,0.0018549-0.00014707i,-0.0017638-0.0022021i,-0.0015292+0.00058382i,-0.0015958+0.00084761i,-0.0020738-0.0017165i,-0.0016068-0.0011351i,-0.0032511+0.0096289i,-0.00089323+0.00033647i,-0.00033227+0.00063851i,-0.00065276+0.0013284i,-0.00085648-0.00017406i,8.4882e-05+0.00073311i,-0.00066186-0.00055292i,0.0015085-1.332e-05i,-0.00024232-0.00042058i,-0.00023566+0.00022453i,-0.00017874-1.8806e-05i,0.00153-0.00034448i,-0.011432-0.0040523i,0.00040771+0.00030386i,-0.00015248-0.00015547i,-0.00088411-0.00049336i,0.0019158-0.0027545i,-0.00089687-0.00027646i,-0.0001426+0.00032458i,0.00050691+0.0017457i,0.0043657+0.00051464i,-0.0013659+0.0048499i,-0.04737-0.018007i,-0.011248+0.033492i,-0.042119+0.034336i,-0.054894+0.055827i,-0.038127+0.021666i,-0.017097+0.033156i,-0.017587+0.026366i,-0.051701-0.010225i,-0.03491-0.020659i,-0.0073301+0.032683i,-0.0019354+0.0069044i,0.0053758-0.0040855i,-0.0034252-0.010874i,-0.0032117+0.0045371i,-0.0059826+0.018798i,-0.00023375-0.0021535i,0.0051359-0.0011903i,0.0014872+0.00018588i,0.0067136-0.0089615i,0.0078896+0.0034398i,0.0024065+0.0017397i,-0.0089587-0.001032i,0.0067068+0.0062442i,0.0033738+0.0056904i,0.0077097+0.009135i,-0.0002711+0.0016189i,0.0035696-0.0054218i,0.0068555-0.0081388i,0.00029134-0.00056808i,-0.032127+0.001505i,0.0027154-0.0091987i,-0.00038223-0.00031939i,0.0046876-0.00081694i,0.0020803+0.00023689i,0.00076995-0.011931i,0.00071832-0.001585i,0.0036969+0.0034661i,0.0036727+0.00021518i,0.0040504-0.003554i,-0.0087479-0.0041396i,-0.0064268-9.8556e-05i,-0.0072824-0.0044409i,0.00024889+0.00083011i,-0.0059782-0.0045305i,-0.037436+0.010494i,-0.021583+0.011866i,-0.0089929-0.010402i,-0.011001-0.0095628i,0.0023824+0.022849i,-0.005403+0.013056i,-0.007232+0.0031634i
0.003954+0.0079883i,0.029531+0.029396i,0.019095+0.0048132i,0.013696+0.0059754i,0.0086008-0.00075357i,0.017577-0.00091444i,0.0083775+0.021789i,0.0065573+0.028133i,0.0029626-0.0010712i,0.0012203+0.00070893i,0.0031615-1.4696e-05i,0.0054659-0.0024049i,0.00098102-0.0015781i,0.0028444+0.00052706i,0.0056506+0.0016241i,0.00668+0.0040067i,0.011062-0.0034424i,0.0012816-0.00094786i,-0.0025135-0.001417i,-0.0008119+0.0010828i,-0.00060825+0.00084067i,-0.0020145-0.001166i,-0.0017548-0.00072438i,0.00030976+0.0092309i,-0.00060906+0.00052307i,-1.3278e-05+0.00066165i,-6.1242e-05+0.0015767i,-0.0010515+0.00060601i,0.00032857+0.00034147i,-0.00071995-0.0004794i,0.0014105-0.00048566i,-0.00076022-0.00052214i,-0.00039186+0.00046958i,-0.00025798+2.4016e-05i,0.00097346-0.00078422i,-0.012849+0.0010473i,0.00018266+0.00027021i,-0.00017157-2.6141e-05i,-0.0012576-8.3711e-05i,0.0011334-0.0028318i,-0.0013812-0.00042075i,1.8817e-05+0.00014238i,0.00033031+0.0014729i,0.0042051+7.4265e-05i,-0.00093028+0.0040482i,-0.051638-0.011036i,-0.0074088+0.031758i,-0.03103+0.040187i,-0.040042+0.062129i,-0.035691+0.02945i,-0.010852+0.029818i,-0.011659+0.024646i,-0.05189-0.0041533i,-0.03349-0.014833i,-0.00021622+0.032984i,-0.0009588+0.0062197i,0.00089287-0.0043586i,-0.0083343-0.0096633i,0.00062709+0.0053769i,-0.00053045+0.017029i,-0.0029555-0.0011032i,0.0034279-0.003066i,0.0028636+0.0019569i,0.002193-0.010737i,0.0087367-0.0014511i,0.0037368+0.0013199i,-0.0085384+0.0036i,0.0099947+0.0050454i,0.0073978+0.0042658i,0.011781+0.0039188i,0.00074134+0.0021018i,0.0019939-0.0062977i,-0.0014876-0.0083289i,0.001454+0.00085303i,-0.030235+0.014014i,-0.0016179-0.0074859i,0.00038264+0.00074933i,0.0053887-0.0050029i,0.0025891-0.00011618i,-0.0044285-0.013004i,-0.00048231-0.0009242i,0.0044635+0.0021268i,0.0033872-0.00061612i,0.0035617-0.0049335i,-0.0084314+0.00053267i,-0.0058636+0.0033785i,-0.007501-0.00033956i,-0.0011224-0.00024195i,-0.0061765-0.0022265i,-0.034429+0.013245i,-0.019838+0.016143i,-0.011155-0.013995i,-0.010545-0.006705i,0.0047041+0.022166i,-0.0057668+0.014942i,-0.0053626+0.0017456i
0.0050404+0.0065761i,0.0344+0.022962i,0.020463+0.00065192i,0.013425+0.0037126i,0.0083516-0.0011523i,0.016917-0.003785i,0.010636+0.018205i,0.010712+0.026021i,0.0017203-0.0020926i,0.0010871+0.00062161i,0.0029269-0.0008702i,0.0034311-0.0039968i,0.00058713-0.0014091i,0.0024563+4.5054e-05i,0.005655+5.3173e-05i,0.0062628+0.0021759i,0.007659-0.0056373i,0.00068038-0.0011888i,-0.0027078-0.00054125i,-0.00012979+0.0010804i,0.00019121+0.00044479i,-0.0019902-0.00091242i,-0.0017016-0.00032198i,0.003103+0.0083332i,-0.00041861+0.00055407i,0.0001632+0.0005865i,0.0005169+0.0014455i,-0.00088185+0.0011323i,0.00017553-0.00010599i,-0.00092779-0.00031171i,0.0010442-0.00091246i,-0.0012847-0.00011385i,-0.00020502+0.00062048i,-0.00027869+0.00020902i,0.00048958-0.0011436i,-0.01178+0.0037951i,0.00043661+0.00035072i,-0.00022077-8.973e-05i,-0.0013812+0.00067078i,0.00053184-0.0029905i,-0.00096859+0.0002041i,-3.9338e-05-0.00020609i,0.00036699+0.0015707i,0.0044948-0.00087547i,-0.00051865+0.0037116i,-0.053438-7.1948e-05i,-0.0048278+0.03011i,-0.021104+0.041354i,-0.023685+0.066213i,-0.029168+0.038312i,-0.0072381+0.024763i,-0.0079573+0.0193i,-0.04936+0.0017837i,-0.030604-0.0097208i,0.0091693+0.030278i,-0.00067357+0.0061158i,-0.0045824-0.003117i,-0.011654-0.0060973i,0.0033728+0.0031915i,0.0035001+0.016337i,-0.005596+0.0017814i,8.5557e-06-0.006397i,0.0049567+0.00039519i,-0.0031933-0.0096055i,0.0064252-0.0047485i,0.0049323-0.00047531i,-0.0069094+0.0071123i,0.013078+0.00056105i,0.0088294-0.00073824i,0.010997-0.0038365i,0.0022923+0.0018225i,4.6192e-06-0.0063442i,-0.0043444-0.0051695i,0.003115-0.00023075i,-0.030661+0.017644i,-0.0035069-0.0063188i,0.0018388+0.00094259i,0.0017011-0.0064217i,0.0028494-0.00063787i,-0.0097939-0.010549i,1.1003e-05+0.0006559i,0.004874+0.00018339i,0.0026874-0.001412i,0.0023343-0.0056055i,-0.0064137+0.0039733i,-0.00341+0.0054505i,-0.0080737+0.0039842i,-0.0030678-3.0881e-05i,-0.006129-0.0007063i,-0.030179+0.01773i,-0.01183+0.019676i,-0.017216-0.014902i,-0.0095656-0.0070473i,0.005774+0.020724i,-0.0035207+0.018261i,-0.0051631-0.0015291i
