-0.025506-0.038758i,-0.011762-0.049174i,-0.01819-0.044394i,-0.031031-0.034793i,-0.030177-0.015952i,-0.050381-0.026815i,-0.057608-0.025399i,-0.045522-0.037001i,-0.029107-0.036591i,0.0074493+0.012737i,-0.0048554+0.015167i,-0.0045539+0.013943i,0.010097+0.021151i,0.00076597+0.0044065i,0.003238+0.0032808i,0.0061465+0.01802i,0.026848+0.038075i,-0.0022218-0.00053134i,-0.0041932-0.0061829i,0.0077814+0.0014546i,-0.00026528-0.00090251i,-0.00096904+0.0012937i,9.2245e-06-0.00046838i,-0.029891-0.0029344i,-0.0014322-0.0055494i,0.0018206+0.004489i,0.0036378-0.00026648i,-0.00042862+0.00062012i,0.00042736-0.00047885i,-0.00033057-0.0025169i,-0.0018182-0.005928i,-0.004509-0.0039483i,-0.0017794-0.0047447i,0.0021192-0.00094541i,0.0021164-0.0030742i,0.0027911+0.025465i,0.0018984-0.0027467i,0.0028341+0.00039336i,0.0062678+0.0012162i,-0.0098647-0.00405i,-0.0028482+0.00073677i,0.0065629+0.0014218i,0.0054158+0.00057811i,-0.0036708+0.0060973i,0.00043962-0.0089439i,-0.011891+0.018039i,0.036366-0.090795i,0.011824-0.070071i,-0.0162-0.059935i,-0.01661-0.054993i,0.038809-0.045714i,0.01727-0.062231i,0.034314-0.055162i,0.029367-0.060271i,0.016383-0.013762i,0.0047493+0.016173i,0.016868-0.026305i,-0.011026+0.0056985i,-0.00032516+0.0055903i,-0.0048952-0.0012331i,-0.0022731-0.029425i,-0.024478+0.031899i,0.010186-0.011418i,-0.01332-0.002573i,-0.00011745-0.0050639i,-0.001252-0.016197i,-0.0070596+0.0052816i,0.0053979+0.0066275i,-0.0087134+0.030499i,0.0045312+0.0060447i,-0.0049437-0.0005797i,-0.0031211-0.00073407i,-0.012282-0.0075433i,-0.0010516-0.0046597i,-0.030555+0.0065525i,2.4148e-05-0.0099689i,-0.0092889-0.002124i,-0.0065842-0.0030979i,0.0070536+0.0026924i,-0.0078145+0.00096433i,-0.00019538+0.00036719i,0.0057464+0.010785i,0.0043864+0.0014245i,-0.0090264-0.0098652i,0.0031638+0.007792i,-0.021111+0.0061643i,0.0084023+0.0011136i,-0.029175-0.003759i,-0.042513+0.0021996i,0.019672-0.097073i,-0.001357-0.012507i,-0.052717-0.021903i,-0.022414-0.001136i,0.017935+0.010712i,-0.025035+0.013335i,-0.018149-0.012997i
-0.029505+0.018957i,-0.051723+0.020832i,-0.031058+0.045567i,-0.029986+0.024874i,-0.026818+0.039611i,0.0063425+0.045766i,-0.0022128+0.023102i,-0.015176+0.038754i,-0.013088+0.022581i,-0.0037959-0.0056678i,-0.0041164-0.0030432i,-0.0017913-0.0033338i,-0.003891-0.00070316i,-0.006872-0.004237i,-0.0016912+0.0041684i,-0.0030225-0.0012216i,-0.011323-0.0032931i,-0.0019875-0.00077546i,0.0029136-0.0012735i,0.0021458-0.00064211i,0.0025019-0.0034616i,0.0024134-0.0039357i,0.0015375-0.0025506i,-0.0091441-0.007945i,-0.0019012+0.0006468i,-0.0040314+0.0017509i,-0.0018151-0.00011732i,-0.0033571-0.0010998i,-0.0012684-0.0016697i,0.0010238-0.001543i,-0.0018402+0.0060234i,0.0015205+0.00028944i,0.0027803+5.3759e-05i,0.0011968+0.0014451i,-0.0013147+0.0034615i,-0.0010529-0.0062743i,-0.0013924+0.0010645i,0.00047597+2.0759e-05i,-4.0171e-05+0.0036134i,0.0073732+0.0050249i,0.001414-0.0025413i,0.001146-0.0036293i,-0.0043824+0.00082611i,0.00056672+0.002192i,-0.031109-0.0050879i,0.011829-0.078211i,-0.092865-0.029827i,-0.051519-0.035615i,-0.075375-0.049815i,-0.058111-0.0056328i,-0.09389+0.018903i,-0.059206+0.010621i,-0.049799-0.024016i,-0.03208-0.056872i,-0.025744-0.029717i,0.0027534+0.0049796i,-0.018316+0.010823i,0.0093346+0.0039633i,0.011029+0.004373i,-0.00028893-0.006779i,0.0078583+0.0014657i,-0.0082931-0.0035984i,0.002485+0.014572i,-0.001116+0.008725i,0.00077918+0.0013173i,0.0060137+0.0031905i,0.001951-0.00052973i,-0.00047116+0.014833i,0.00041983+0.011431i,0.0030554-0.0050919i,0.010523-0.0068099i,0.0025274+0.0024616i,-0.0078536-0.0070557i,-0.0021286-0.0029601i,0.018175-0.026521i,0.0061415+0.0038921i,0.0036162+0.0042999i,-0.0030935+0.0025145i,0.0022551-0.0035103i,0.021637+0.0021995i,0.0019699-0.0027771i,-0.00079788-0.0092352i,0.00058459-0.0026751i,0.012996+0.0032723i,0.0046493+0.00058592i,0.0046951-0.0065188i,0.0031195+0.0087202i,0.0045996-0.00077944i,0.024347+0.0048037i,-0.081047-0.035741i,-0.0059997+0.01864i,0.0066778-0.0036573i,-0.0039608+0.0032715i,-0.035697+0.012354i,-0.0073394+0.0064847i,-0.017241+0.013676i
-0.025124+0.0222i,-0.047674+0.025838i,-0.020079+0.043975i,-0.025983+0.02871i,-0.020265+0.040764i,0.01479+0.042831i,0.00086651+0.022711i,-0.0075442+0.039556i,-0.0080971+0.019686i,-0.0054431-0.0033513i,-0.004311-0.00062875i,-0.002807-0.003632i,-0.0045656-0.00017849i,-0.0070143-0.0013796i,-0.0005266+0.0050017i,-0.0050357+0.00089084i,-0.013181+0.002105i,-0.0019235+0.00027975i,0.0032706-0.0019986i,0.0021947-0.001618i,0.0014836-0.0039376i,0.0014866-0.0038986i,0.0010183-0.0027317i,-0.010141-0.0048664i,-0.0011882+0.0010298i,-0.0033804+0.0029533i,-0.0013996+0.00043272i,-0.0033484-6.0877e-05i,-0.0019113-0.0013343i,0.00053204-0.0015799i,0.00079605+0.0063768i,0.0011825-9.0018e-05i,0.0023446-0.0010279i,0.00099265+0.0010693i,-0.0011043+0.0029471i,-0.0013829-0.0053989i,-0.0008486+0.00093927i,-0.00031462-0.00025811i,0.0001838+0.0043934i,0.0075431+0.00093559i,0.0005781-0.0027729i,-0.0010044-0.0039636i,-0.0044201+0.0019585i,0.0012066+0.0022454i,-0.031723-0.0052061i,-0.012199-0.088969i,-0.089873-0.011098i,-0.060809-0.033825i,-0.087331-0.038256i,-0.057272+0.0046523i,-0.083724+0.036859i,-0.05517+0.023584i,-0.041237-0.022093i,-0.039212-0.052144i,-0.033699-0.018858i,0.0038959+0.0018803i,-0.012044+0.019578i,0.0093483-0.00036766i,0.012071-0.0020022i,-0.0056146-0.010065i,0.0038493+0.001193i,-0.0082033+0.0027168i,0.0080243+0.012573i,0.00097435+0.01077i,0.00097363+0.0011431i,0.0074294+0.0031824i,0.0026449+0.00029795i,0.0056867+0.011103i,0.0053259+0.006836i,-0.0019328-0.006587i,0.0034633-0.0078365i,0.0036141+0.0028458i,-0.010717-0.00039263i,-0.0026552-0.00016816i,0.0063208-0.027554i,0.0070833+0.0028866i,0.0071937+0.0026984i,-0.00024158+0.0026362i,-0.00037947-0.0012421i,0.018545-0.0074195i,2.415e-05-0.0034046i,-0.0055731-0.0075816i,-0.002515-0.001833i,0.011429-0.0018292i,0.0045333+0.0007232i,0.001916-0.0045434i,0.0057733+0.0072484i,0.0032775-0.0013807i,0.023762-0.0029909i,-0.08557-0.025869i,0.001989+0.0087686i,0.0053117-0.0061863i,-0.001983+0.0024908i,-0.029319+0.022198i,-0.0054372+0.0074765i,-0.013138+0.016415i
-0.020028+0.024214i,-0.044246+0.030897i,-0.013384+0.040021i,-0.021507+0.030938i,-0.012953+0.042475i,0.022176+0.037765i,0.0043206+0.022267i,-0.00010341+0.038517i,-0.007403+0.01716i,-0.0061321-0.00068095i,-0.0030909+0.0011693i,-0.0060752-0.0029845i,-0.004872+0.0017743i,-0.0069527+0.00066798i,0.0013049+0.0054814i,-0.0055288+0.0042954i,-0.011796+0.0080305i,-0.00062599+0.0012005i,0.0032057-0.0037628i,0.0019541-0.0028674i,9.0426e-05-0.0044672i,0.00062634-0.0044813i,0.0005062-0.0029587i,-0.011102-0.0022847i,-0.00088232+0.0012915i,-0.0019205+0.004343i,-0.0010507+0.00035132i,-0.0027484+0.0014664i,-0.0022132-0.00079474i,-0.00045502-0.002385i,0.0032279+0.0051264i,0.00081381-0.00029231i,0.001726-0.001466i,0.0013018+0.0006863i,-5.9521e-05+0.003828i,-0.00125-0.0052108i,-0.0010632+0.0006315i,-0.00067498-0.00014361i,0.003437+0.0032003i,0.0058597-0.0014294i,-7.0297e-05-0.0026029i,-0.0012062-0.0023193i,-0.0044471+0.0032438i,0.0016137+0.0011003i,-0.034544-0.0030485i,-0.041454-0.087917i,-0.079769+0.0024483i,-0.070598-0.02647i,-0.09466-0.022889i,-0.052724+0.012958i,-0.068251+0.048838i,-0.040519+0.03413i,-0.043136-0.024663i,-0.045654-0.04849i,-0.035315-0.0060405i,0.0039605-0.0012058i,-0.0022802+0.021846i,0.0083334-0.0033281i,0.0079682-0.0074192i,-0.014841-0.0077101i,0.0029876+0.00041606i,-0.004111+0.0061782i,0.011502+0.0070391i,0.0042709+0.011558i,4.807e-05+0.0015926i,0.0079595-0.00086012i,0.0046054-0.0014342i,0.0073246+0.0061984i,0.0050323+0.0022843i,-0.006883-0.0031755i,0.00085087-0.0061542i,0.0055215+0.0017555i,-0.0068995+0.0086896i,-0.00094332+0.0013907i,-0.0027914-0.024713i,0.0087644-0.00028408i,0.0069286-0.00061627i,0.00043544+0.0019893i,0.00070154+0.00066411i,0.01186-0.012259i,-0.0025993-0.00059865i,-0.0085527-0.0041213i,-0.0035091+0.0011995i,0.0075264-0.0046286i,0.0072872-0.001273i,0.0029109-0.0046224i,0.0093345+0.0042347i,0.0043877-0.0025267i,0.020451-0.010012i,-0.089041-0.012161i,-0.00037754-0.0012335i,0.0049487-0.0082589i,-0.00042564-8.711e-06i,-0.019716+0.026481i,-0.00436+0.0032723i,-0.0075104+0.013417i
-0.015033+0.024062i,-0.039637+0.036963i,-0.0098583+0.03654i,-0.016659+0.033731i,-0.0046311+0.04144i,0.028176+0.031447i,0.0084204+0.021227i,0.0063438+0.035888i,-0.0070405+0.017341i,-0.0055634+0.0019247i,-0.0023327+0.0012208i,-0.0078952+0.00086803i,-0.0043689+0.003429i,-0.0068387+0.0031366i,0.0029972+0.0048712i,-0.0039595+0.0077318i,-0.0072104+0.012635i,0.00051543+0.00056049i,0.0015506-0.0046786i,0.00033143-0.0041881i,-0.0013813-0.0040698i,-0.0005875-0.0046534i,-0.00018925-0.0033745i,-0.011043+0.0012351i,-0.00021011+0.0009456i,0.00044791+0.0036225i,-0.0010491+0.00015732i,-0.0014985+0.0019435i,-0.0024315+0.00016688i,-0.0017774-0.0017092i,0.0045514+0.0032664i,0.00052506-0.0002883i,0.00084873-0.0018985i,0.0014375+0.00016382i,0.0019324+0.0033545i,-0.0020277-0.0064155i,-0.00083769+0.0011627i,-0.0010454+0.00024159i,0.0032934-0.00035279i,0.0042147-0.0023884i,-0.0005607-0.00254i,-0.00079437-0.0021481i,-0.0035085+0.0049744i,-0.00061923-0.00085492i,-0.037232+0.0012825i,-0.066428-0.071733i,-0.06956+0.0078802i,-0.078288-0.015084i,-0.098605-0.0060902i,-0.046869+0.018446i,-0.053863+0.054522i,-0.025737+0.033324i,-0.046969-0.020222i,-0.052602-0.04124i,-0.032695+0.0030362i,0.0022374-0.0034217i,0.0059859+0.019855i,0.0067923-0.0060253i,0.0022947-0.0088003i,-0.019867+0.0016085i,-7.0646e-05+0.0011494i,-5.8942e-05+0.0056093i,0.010996+0.0011901i,0.0089693+0.011084i,0.00035122+0.002908i,0.004691-0.002445i,0.0044669-0.0051779i,0.00622+0.0017178i,0.002467+0.00070934i,-0.0071469+0.00069929i,-0.0012331-0.0050186i,0.0058506-0.00030692i,0.0024831+0.010304i,0.00020763+0.00093472i,-0.0081238-0.019373i,0.0078166-0.0031074i,0.0060731-0.0029654i,0.0017102+0.0029217i,0.0015053+0.00018595i,0.0063336-0.012732i,-0.00034196+0.0017371i,-0.009771+0.00039863i,-0.0014615+0.0034747i,0.0046312-0.0042942i,0.006488-0.0052732i,0.00070865-0.0054495i,0.0092837-0.0012015i,0.0028608-0.0053946i,0.016125-0.016121i,-0.08639+0.002937i,-0.0072285-0.0051912i,0.003173-0.01275i,-0.00038362-0.0032943i,-0.012718+0.026207i,-0.0085052+0.0020144i,-0.0073372+0.011104i
-0.011702+0.023501i,-0.034202+0.041889i,-0.0086274+0.035042i,-0.010543+0.035392i,0.0022551+0.038445i,0.032153+0.024378i,0.012775+0.018829i,0.011975+0.032692i,-0.0054382+0.018774i,-0.0039849+0.0038451i,-0.0025145+0.0019912i,-0.0070087+0.0045144i,-0.0033988+0.0048504i,-0.005206+0.0057776i,0.0044055+0.0037931i,-0.00078814+0.0097242i,-0.0014909+0.014472i,0.00089236-5.4335e-05i,0.00041502-0.0046968i,-0.00172-0.0038913i,-0.0027311-0.0033254i,-0.0019469-0.0041695i,-0.0014646-0.0033546i,-0.0090349+0.0039221i,-0.00065379+0.00029011i,0.00073595+0.0018944i,-0.0012175+0.00028296i,-0.00066189+0.0018228i,-0.0020656+0.0011709i,-0.0017306-0.0003112i,0.004952+0.0012528i,0.0003854-0.00051134i,-0.00014188-0.0018393i,0.0011835-0.00040282i,0.0025574+0.0018598i,-0.0042383-0.0068843i,-0.00052852+0.0014891i,-0.0010243+0.0011173i,0.0010993-0.0013424i,0.0030333-0.0023088i,-0.0011658-0.0024009i,-0.0010512-0.0020584i,-0.0012863+0.0060429i,-0.0030745+0.0014979i,-0.037973+0.0077784i,-0.076509-0.04806i,-0.063745+0.0092477i,-0.082979-0.0010318i,-0.099343+0.01225i,-0.042564+0.021295i,-0.040106+0.057257i,-0.016038+0.029737i,-0.048009-0.01517i,-0.056473-0.033848i,-0.029344+0.01087i,0.00023164-0.0047655i,0.014512+0.014279i,0.0046594-0.007387i,-0.0027588-0.0071891i,-0.018269+0.010169i,-0.00043336+0.0033676i,0.0026652+0.0055176i,0.0068786-0.0011957i,0.013798+0.0077356i,0.0015323+0.0035048i,0.0026872-0.0015338i,0.0017776-0.0074824i,0.0029619+0.00089796i,0.00052545+0.0017121i,-0.0064813+0.0049641i,-0.002922-0.0024988i,0.0052127-0.0023907i,0.0073288+0.0056204i,0.00067037+0.00067221i,-0.010525-0.017057i,0.0059139-0.0055525i,0.0043037-0.0049233i,0.0045502+0.0022722i,0.0017231-0.00011345i,0.0028861-0.011666i,0.0017257+0.0014352i,-0.0075672+0.0056375i,0.0012262+0.0035398i,0.0037868-0.0034917i,0.003163-0.0088736i,5.5684e-05-0.0046471i,0.0060352-0.0049217i,-0.00038245-0.0064032i,0.0085288-0.021535i,-0.080175+0.012727i,-0.014946-0.0015152i,-0.0012142-0.015515i,-0.0016772-0.0068979i,-0.0077276+0.025582i,-0.012203+0.0050709i,-0.006614+0.011609i
-0.0090567+0.023266i,-0.028168+0.046497i,-0.0071564+0.036476i,-0.0044675+0.035033i,0.0065789+0.034233i,0.034903+0.017548i,0.016748+0.015011i,0.016687+0.02879i,-0.002735+0.019197i,-0.0023729+0.0041473i,-0.0027443+0.0033376i,-0.0049854+0.0070371i,-0.0018764+0.006255i,-0.0027374+0.0068112i,0.0050808+0.0022704i,0.0027201+0.010008i,0.0045576+0.013464i,0.0010582-0.00026286i,-0.0012173-0.0048311i,-0.0030599-0.0028419i,-0.0032534-0.0017921i,-0.0026881-0.0032648i,-0.0023833-0.0025793i,-0.0075712+0.0048171i,-0.0012557+0.0007581i,0.00035641+0.0014728i,-0.0014743+0.00066014i,1.2817e-05+0.001389i,-0.0012172+0.0017335i,-0.0013709+0.00028809i,0.0048045-0.00046784i,0.00018317-0.00064335i,-0.00071954-0.0014396i,0.00068064-0.00094238i,0.0025725+0.0013017i,-0.006796-0.0061499i,-0.00026777+0.0014558i,-0.00028169+0.0016197i,6.0586e-05-0.0012338i,0.002415-0.0020686i,-0.0016902-0.0017148i,-0.0016988-0.0017913i,0.001017+0.0057125i,-0.0026967+0.0048496i,-0.036822+0.015152i,-0.074718-0.031045i,-0.061267+0.011658i,-0.082901+0.016107i,-0.093634+0.032667i,-0.040847+0.024243i,-0.02859+0.056278i,-0.0083533+0.025261i,-0.047181-0.0095289i,-0.060284-0.026517i,-0.024405+0.015717i,-0.0032917-0.0046237i,0.017444+0.0022893i,0.0028775-0.0091554i,-0.0058356-0.0033278i,-0.012617+0.016743i,0.00095611+0.0038027i,0.0065928+0.0030419i,0.0051036+0.00027619i,0.017176+0.00076615i,0.0027794+0.0036955i,0.0019122-0.00080499i,-0.0031326-0.0089319i,0.0013707+0.0028164i,0.00087045+0.0035292i,-0.0023126+0.0087084i,-0.0019574-1.5736e-05i,0.0037077-0.0033229i,0.008234+0.00081573i,0.0014676-0.00020949i,-0.015897-0.015719i,0.0031522-0.0065356i,0.0013628-0.0058346i,0.0042766-0.00038695i,0.0015796+0.00010106i,0.0015481-0.010002i,0.0023302+0.00025642i,-0.0030356+0.0085096i,0.0024526+0.0017776i,0.0026917-0.0037684i,-0.0020931-0.0097842i,-0.00083839-0.0056471i,0.0023846-0.0053535i,-0.0024618-0.0061425i,-0.0011854-0.022054i,-0.076038+0.021342i,-0.013597+0.0086102i,-0.0055794-0.016438i,-0.0050895-0.0081869i,-0.0048028+0.024849i,-0.011743+0.010603i,-0.0028616+0.011234i
-0.0061799+0.023405i,-0.020963+0.050708i,-0.0033728+0.038905i,0.00056826+0.033687i,0.0088649+0.031564i,0.036493+0.010499i,0.019405+0.010396i,0.020501+0.024664i,0.0002617+0.019583i,-0.0015109+0.0044351i,-0.0016094+0.0054483i,-0.0018832+0.0088077i,0.00012037+0.006848i,-0.0004537+0.0066134i,0.0051563+0.00080811i,0.0058687+0.0089037i,0.0092319+0.010055i,0.0012628-0.00040403i,-0.0026596-0.0041894i,-0.0037233-0.0012736i,-0.0029742-0.00058634i,-0.0034396-0.0025227i,-0.0028468-0.001577i,-0.0069472+0.0066134i,-0.0011096+0.0015159i,0.00029427+0.00179i,-0.0012676+0.0014454i,-9.6145e-05+0.00091058i,-0.00060239+0.0016555i,-0.0010576+0.00063734i,0.0039375-0.0019838i,0.00014331-0.0003979i,-0.00079841-0.0012423i,0.00015055-0.0010749i,0.0029407-0.00011163i,-0.008963-0.0044693i,0.00027804+0.0015859i,0.00041522+0.0013813i,-0.00088212-0.0012343i,0.0021091-0.002133i,-0.0018677-0.0010201i,-0.0017243-0.0010261i,0.0024725+0.0043248i,-0.00097519+0.0061927i,-0.032642+0.021426i,-0.073736-0.023983i,-0.060138+0.015833i,-0.076147+0.031109i,-0.082123+0.049847i,-0.038177+0.03006i,-0.019034+0.055494i,-0.0041499+0.019846i,-0.045999-0.0052172i,-0.063084-0.017245i,-0.01993+0.019481i,-0.0043646-0.004193i,0.011144-0.0079255i,-0.00052427-0.010919i,-0.0063904-2.6532e-05i,-0.0057036+0.01839i,0.0012157+0.0029683i,0.0077458-0.001942i,0.0062712-0.00025458i,0.01533-0.0053399i,0.00499+0.0029812i,0.0020031+0.00075296i,-0.007805-0.0037544i,0.0026275+0.0045045i,0.0024254+0.0046744i,0.0025032+0.0087799i,-0.0012338+0.00025938i,0.0024968-0.0038735i,0.0077518-0.0043255i,0.00025482-0.0010229i,-0.021664-0.0098912i,0.00091626-0.0062077i,-0.00095492-0.00424i,0.0046727-4.389e-05i,0.0018666-0.00023995i,0.00094491-0.011053i,0.0020889-0.0010061i,0.0011532+0.0069124i,0.0028583+0.0012272i,0.0022749-0.0030854i,-0.0059634-0.0061974i,-0.0040155-0.0058755i,-0.00035992-0.0046784i,-0.0045708-0.0057969i,-0.0082467-0.018056i,-0.070327+0.030201i,-0.0085731+0.0073103i,-0.0068589-0.015853i,-0.0077819-0.0077151i,-0.00032355+0.023504i,-0.01063+0.01291i,-0.0016963+0.0093164i
-0.0032905+0.02323i,-0.01262+0.053678i,0.002328+0.041201i,0.0049881+0.032391i,0.011117+0.030004i,0.03664+0.0036817i,0.020985+0.005336i,0.023687+0.020409i,0.0040214+0.01916i,-0.00047099+0.0047493i,0.0010628+0.0064141i,0.0017127+0.0084945i,0.0021224+0.0067243i,0.00096111+0.0063092i,0.0050333-0.00039403i,0.008374+0.0064663i,0.011757+0.005975i,0.0014501-0.0013052i,-0.0037952-0.0031293i,-0.0034623+0.00058442i,-0.0024171+0.00024488i,-0.0039307-0.001061i,-0.0029074-0.00074227i,-0.0040818+0.0086263i,-0.00060527+0.0021875i,0.0010386+0.0018507i,-0.00063964+0.0020106i,-0.00056085+0.00098072i,-7.1781e-05+0.0017001i,-0.00065616+0.00093055i,0.0025176-0.0029063i,0.00044749-0.00069088i,-0.0013406-0.0010457i,-0.00029341-0.0010658i,0.0021778-0.0012501i,-0.010499-0.0015717i,0.00073973+0.0014813i,0.00075599+0.0011487i,-0.0016366-0.00079325i,0.001922-0.0023275i,-0.0016185-0.00055488i,-0.0016732-0.00077758i,0.0028718+0.0027762i,0.00092963+0.0071098i,-0.028005+0.025091i,-0.078726-0.017574i,-0.059059+0.021453i,-0.067652+0.042685i,-0.066545+0.061114i,-0.034191+0.035142i,-0.0095425+0.053328i,-0.001706+0.016174i,-0.045326-0.0012932i,-0.063128-0.006492i,-0.014986+0.022116i,-0.005635-0.0031593i,0.0030898-0.009589i,-0.0045802-0.010895i,-0.0051159+0.0039132i,0.0001534+0.016802i,0.00071733+0.0023816i,0.0055084-0.0064181i,0.0052668-0.0018663i,0.011338-0.01081i,0.0064753+0.00085482i,0.0033974+0.0010098i,-0.0082502-0.00010738i,0.0046735+0.0052052i,0.0047864+0.004995i,0.006808+0.0064345i,-0.0008438+0.0011287i,0.0020263-0.0041306i,0.0048506-0.0078252i,-0.00048891+0.00047471i,-0.024483-0.0015269i,-0.00035274-0.0057828i,-0.0017475-0.0025012i,0.0054611-0.00081453i,0.0018841-0.00068965i,-0.0015054-0.012912i,0.00095236-0.0014814i,0.0039524+0.0060743i,0.0035086+0.00013863i,0.0030264-0.0034046i,-0.0076349-0.0031236i,-0.0071667-0.0024635i,-0.0031065-0.0034067i,-0.0060896-0.0049637i,-0.012295-0.013225i,-0.063962+0.037027i,-0.0080039+0.0057009i,-0.007981-0.018196i,-0.010074-0.0063314i,0.0010192+0.022142i,-0.0098471+0.014663i,-0.00064108+0.0082583i
-2.3122e-05+0.023082i,-0.0031191+0.054864i,0.010239+0.0416i,0.0091357+0.030808i,0.014484+0.029596i,0.035845-0.0026939i,0.021107-0.00016382i,0.026539+0.015611i,0.0075623+0.017428i,0.00055246+0.0047642i,0.0033277+0.005171i,0.003969+0.0063518i,0.0040724+0.0061763i,0.0027216+0.0058973i,0.0046762-0.0015899i,0.0092743+0.0033374i,0.012316+0.0013969i,0.00042215-0.0021596i,-0.0047129-0.0014258i,-0.002175+0.0016914i,-0.0015383+0.00047977i,-0.0035464+0.0001734i,-0.0028342+0.00010482i,-0.00085606+0.0088186i,0.00027858+0.0024128i,0.0016429+0.0012694i,0.00024243+0.0021028i,-0.00031911+0.0014788i,0.00060819+0.0013345i,-0.00026036+0.00085633i,0.0011307-0.0031916i,-5.2052e-05-0.0010846i,-0.0017327-0.00034148i,-0.00073872-0.00090156i,0.001273-0.0018115i,-0.010444+0.0019884i,0.001006+0.0012131i,0.0011816+0.00081078i,-0.0020876+0.00012238i,0.0015323-0.0026926i,-0.0015982-0.00035779i,-0.001637-0.00052265i,0.0025909+0.0018238i,0.0032728+0.0071376i,-0.023799+0.028369i,-0.086743-0.0043344i,-0.055012+0.027316i,-0.056402+0.050831i,-0.051426+0.068601i,-0.02916+0.041564i,-0.00047109+0.049255i,0.0028938+0.012454i,-0.044248+0.003966i,-0.060188+0.0040399i,-0.010813+0.024353i,-0.0074371-0.0021213i,-0.0026479-0.0088608i,-0.0086852-0.0094381i,-0.0011052+0.0054047i,0.0030567+0.013687i,-0.00052192+0.0024941i,0.0023078-0.0090473i,0.0050841-0.0014321i,0.0048034-0.013623i,0.0068493-0.0025679i,0.0046158-6.1329e-06i,-0.0080687+0.0042056i,0.0079486+0.004521i,0.0080479+0.002695i,0.0090566+0.0020901i,0.00042587+0.0018162i,0.0011551-0.004405i,-0.00086144-0.0088517i,0.00065203+0.0020632i,-0.024064+0.0075584i,-0.0017249-0.0055675i,-0.0013283-0.00047804i,0.0056894-0.0040729i,0.0019433-0.00083073i,-0.0069152-0.013287i,-7.5815e-05-0.0011515i,0.0061592+0.0032985i,0.0035491-0.00044364i,0.002452-0.0044645i,-0.0075773+0.0016347i,-0.0070452+0.0022498i,-0.0044765-0.0013393i,-0.0081465-0.0040395i,-0.014377-0.0083333i,-0.058149+0.043295i,-0.0087369+0.0084573i,-0.012673-0.021942i,-0.009577-0.0042296i,0.0039027+0.021875i,-0.0091074+0.018025i,0.0010413+0.0063992i
0.0034768+0.022112i,0.0061489+0.053773i,0.018064+0.038873i,0.013344+0.028961i,0.019085+0.028428i,0.034362-0.0085843i,0.019678-0.0053097i,0.028188+0.010256i,0.010238+0.01495i,0.0014598+0.0048368i,0.0041132+0.0037672i,0.0045219+0.0044218i,0.0057076+0.0046409i,0.0041689+0.0046981i,0.0039169-0.0026199i,0.0087967+0.00061498i,0.011264-0.0022001i,-0.00052407-0.0021059i,-0.0043733+0.00031045i,-0.00087957+0.0017843i,-0.00090658+0.0002578i,-0.0030196+0.00078798i,-0.0022788+0.00075136i,0.0017641+0.0083223i,0.0013297+0.002069i,0.0018266+0.00075303i,0.0010757+0.0017396i,0.00032627+0.0015926i,0.00088403+0.00069032i,-0.00023045+0.00086541i,-0.0002252-0.0028413i,-0.00071548-0.0009701i,-0.0015518+0.00043619i,-0.0011177-0.00046795i,0.00052145-0.0020484i,-0.0092369+0.0050031i,0.0012576+0.00075204i,0.0014062+0.0001588i,-0.0019657+0.0013831i,0.00083208-0.0033128i,-0.0015928+1.8279e-05i,-0.0016681-0.00063466i,0.0022498+0.0012417i,0.0054726+0.0062691i,-0.019393+0.031334i,-0.088301+0.015917i,-0.052467+0.031161i,-0.046193+0.055447i,-0.034289+0.073379i,-0.02064+0.047788i,0.0057947+0.04313i,0.0050016+0.0048842i,-0.040483+0.0085817i,-0.05408+0.014126i,-0.0038718+0.02559i,-0.0087463+0.00039833i,-0.0080315-0.0057424i,-0.01159-0.0064442i,0.0017755+0.0036376i,0.004277+0.011952i,-0.0024625+0.0039562i,-0.002015-0.011179i,0.0060764-0.0031453i,-0.0018429-0.012331i,0.0046088-0.0050163i,0.0051486-0.0023402i,-0.0060975+0.0074729i,0.010596+0.00070862i,0.0087335-0.0023272i,0.0082219-0.0032154i,0.0025644+0.0011846i,0.0001086-0.0044777i,-0.0046112-0.0050962i,0.0026935+0.0012727i,-0.019728+0.0176i,-0.003286-0.0046249i,0.00018802+0.0006473i,0.0027125-0.0061116i,0.0020615-0.0010158i,-0.012491-0.009933i,-2.9944e-06+8.7841e-06i,0.0065652-6.2344e-05i,0.0030961-0.0013362i,0.0012941-0.0049236i,-0.004828+0.0049017i,-0.0045748+0.0053756i,-0.0047351+0.0020157i,-0.010544-0.0020194i,-0.014567-0.0043276i,-0.050591+0.051544i,-0.0029714+0.011323i,-0.019916-0.021332i,-0.0086021-0.004439i,0.0058889+0.020647i,-0.0055705+0.021565i,0.0018197+0.0027374i
