-0.0072125-0.039881i,-0.011314-0.044041i,0.0028593-0.046173i,-0.026978-0.027708i,-0.020793+0.014141i,-0.032644-0.03332i,-0.061464-0.061817i,-0.022037-0.072902i,-0.033987-0.052412i,0.0012202+0.01548i,-0.0069832+0.010769i,-0.015634+0.014186i,0.0014927+0.016856i,-0.003863-0.0032277i,0.00040698+0.0065932i,0.00085679+0.039743i,0.019613+0.060674i,0.00078991-0.00024557i,-0.0046135-0.0085577i,0.0087759+0.0051819i,0.0017031+0.0010283i,-0.00089025+0.0033927i,0.00010135-0.001224i,-0.036834-0.0092834i,-0.0023928-0.0072291i,-2.0893e-05+0.0045344i,0.0050315+1.9812e-05i,0.00028758+0.0010508i,-0.00045514-0.00079883i,-8.0349e-05-0.0029248i,-0.0012334-0.0058982i,-0.0023889-0.0042438i,-0.00061566-0.0079927i,0.0031561-0.0012871i,0.0031577-0.0026045i,-0.0015925+0.03438i,0.0061778-0.0043271i,0.0036448-0.0023475i,0.0049642+0.00019525i,-0.013748-0.0041833i,1.6562e-06+0.00036461i,0.010154-0.00053942i,0.0061319-0.0013709i,-0.0036699+0.0038118i,0.0025482+0.0023042i,-0.0031186+0.0091852i,0.016456-0.086887i,-0.0060052-0.048324i,-0.023968-0.040078i,-0.018859-0.042027i,0.064641-0.014958i,0.028752-0.061253i,0.038872-0.044237i,0.030273-0.055777i,0.019955-0.015548i,0.0084113+0.01005i,0.025289-0.032225i,-0.0072586-0.005119i,0.0024857-0.0022214i,-0.0046422-0.0061304i,0.0015521-0.032129i,-0.024557+0.030881i,0.0085036-0.010275i,-0.011089-0.0016607i,-0.0051783-0.0012657i,-0.00087485-0.01422i,-0.0099426+0.0041954i,0.0033413+0.007962i,-0.011741+0.031457i,0.0053245+0.0077021i,-0.0054112-0.0016097i,-0.0020603-0.0022813i,-0.011763-0.0076718i,0.00049655-0.0036643i,-0.035293+0.0047957i,0.0023423-0.012537i,-0.0091306-0.0022368i,-0.006327-0.0029256i,0.0065174+0.0017917i,-0.0093374+0.0018233i,0.0012201+0.00095538i,0.0052943+0.0094416i,0.0046118+0.0003394i,-0.0093123-0.0098174i,0.0024834+0.0084899i,-0.019196+0.0062333i,0.0068017+0.0031557i,-0.028652-0.0087138i,-0.034719+0.0023175i,0.026266-0.07759i,0.012603-0.0093723i,-0.042386-0.02786i,-0.022996-0.0039894i,0.017683+0.012829i,-0.026678+0.011484i,-0.011299-0.0090063i
-0.033998+0.00089911i,-0.048813+0.015805i,-0.049685+0.042487i,-0.028654+0.0055055i,-0.0061487+0.014752i,-0.010007+0.031534i,-0.03111+0.017418i,-0.059628+0.023895i,-0.02172+0.020155i,0.0017906-0.0091617i,0.0017055-0.0018508i,0.0037658+0.00043185i,0.0029481+0.0091297i,-0.0037954+0.0013442i,0.0018302+0.0022847i,0.0019551-0.009209i,-0.012121-0.0095572i,-0.0043723+0.00049686i,0.0044816-0.0028219i,0.0014247-0.0012706i,0.0024345-0.0042568i,0.0018027-0.0044334i,0.00225-0.0035316i,-0.011881-0.010971i,-0.0022445-0.00021958i,-0.0042218-0.0003812i,-0.0034955-0.0011207i,-0.0050154-0.0016542i,-0.0011379-0.0026207i,0.0013035-0.0019156i,-0.0040316+0.0044657i,0.0012235+0.0018259i,0.0023923+0.0015786i,0.0015711+0.00065832i,-0.0018475+0.0030523i,-0.0034003-0.0082602i,-0.0032055+0.001513i,0.0014084+0.00011989i,-0.0010295+0.0042479i,0.0097761+0.0069866i,0.0012979-0.0027306i,0.00065922-0.00034278i,-0.0050639-0.0047169i,0.0024014+0.004013i,-0.019318-0.017102i,0.0015589-0.06501i,-0.088893-0.011461i,-0.022132-0.021903i,-0.047056-0.042458i,-0.04359-0.0080881i,-0.093984+0.011831i,-0.062649-0.00046502i,-0.036839-0.028053i,-0.028666-0.055423i,-0.034093-0.026144i,-0.00040181+0.0020696i,-0.025782+0.013394i,0.0039961+0.016983i,0.0043779+0.0076696i,-0.00015577-0.0064258i,0.008301+0.0050265i,-0.010542-0.0041104i,0.0025965+0.011316i,-0.0013766+0.0077348i,-0.00090599-0.0024451i,0.0058046+0.0023048i,0.0036142-0.0011439i,-0.004703+0.020158i,-0.00020296+0.013256i,0.0012214-0.0038688i,0.010914-0.0073461i,0.003354+0.003529i,-0.0079504-0.0077107i,-0.0020761-0.0015666i,0.027197-0.032915i,0.0083554+0.0087726i,0.003908+0.0026988i,-0.0019912+0.0028313i,0.0036185-0.0040427i,0.02106+0.002349i,0.0012444-0.00212i,-0.0010717-0.0071045i,0.0013642-0.0026458i,0.011999+0.0055387i,0.0055534+0.00049966i,0.0030506-0.0058341i,0.0035697+0.0076411i,0.0038784+0.0029787i,0.017654+0.0016292i,-0.065311-0.044662i,-0.010368+0.010307i,-0.006446-0.0043124i,-0.0070871+0.0046129i,-0.036462+0.0094823i,-0.0057772+0.007849i,-0.015334+0.00366i
-0.031872+0.0049163i,-0.045465+0.020641i,-0.036931+0.044809i,-0.027503+0.011688i,-0.0045256+0.012108i,-0.0043117+0.031858i,-0.028867+0.022212i,-0.051337+0.032095i,-0.017111+0.016859i,-0.00089754-0.0083025i,0.0012215-0.0011937i,0.0034486-0.0016206i,0.0052105+0.0061568i,-0.0021125+0.0032474i,0.00205+0.0024546i,-0.0035478-0.0067814i,-0.017981-0.0024234i,-0.0036601+0.0020826i,0.0045856-0.0033917i,0.001479-0.0019131i,0.0010268-0.0043565i,0.0016535-0.0033071i,0.0017557-0.0036313i,-0.013317-0.0060332i,-0.0016229+0.00012766i,-0.0045347+0.0011151i,-0.0030493+0.00019647i,-0.0043896+9.4099e-05i,-0.0018387-0.002409i,0.00077584-0.0017872i,-0.0021259+0.00602i,0.0014022+0.001613i,0.002588+0.00023019i,0.00038366+0.00039663i,-0.002185+0.0027644i,-0.0034493-0.006921i,-0.0028093+0.0018868i,9.246e-06-0.00066535i,-0.00097704+0.0050379i,0.010212+0.00094181i,0.00048704-0.0030093i,-9.964e-05-0.00093781i,-0.0068711-0.003394i,0.0036611+0.0034079i,-0.021218-0.018691i,-0.017796-0.071537i,-0.083389+0.0049417i,-0.029151-0.023517i,-0.059193-0.03508i,-0.041619+0.0016726i,-0.082592+0.032605i,-0.059909+0.013316i,-0.028034-0.027187i,-0.035435-0.051453i,-0.040683-0.011836i,-0.00082942+0.00010896i,-0.018383+0.023592i,0.0082562+0.011859i,0.0064011+0.0027444i,-0.0052362-0.011653i,0.0049521+0.0040641i,-0.010643+0.0028881i,0.0071462+0.0084117i,0.001324+0.0093272i,-0.0018218-0.0018193i,0.0068282+0.0026418i,0.0033846-0.0010718i,0.0052416+0.016688i,0.0061682+0.0085737i,-0.0031939-0.0053789i,0.0032712-0.0083617i,0.004216+0.003812i,-0.011058-0.00043912i,-0.00221+0.0010912i,0.011397-0.035741i,0.011252+0.0063529i,0.00661+0.0011987i,0.0012086+0.0020366i,9.455e-05-0.0020374i,0.018311-0.0069318i,-0.00027719-0.0026599i,-0.0043201-0.0050777i,-0.002172-0.0022985i,0.011193+0.00056457i,0.0054728+0.00057156i,0.0011403-0.0036378i,0.0058475+0.0061459i,0.0035096+0.0026289i,0.015984-0.0041469i,-0.071459-0.035654i,-0.0030873-0.00072412i,-0.0067409-0.0036577i,-0.0055696+0.0042807i,-0.030817+0.020697i,-0.0036767+0.0087623i,-0.013735+0.0061985i
-0.028872+0.0077807i,-0.042754+0.025623i,-0.02861+0.043355i,-0.024278+0.015288i,-0.0020731+0.012079i,0.0012786+0.030929i,-0.025075+0.026742i,-0.042504+0.036842i,-0.017729+0.014588i,-0.0029699-0.0069308i,0.0018428-0.00097332i,-0.00048719-0.0025923i,0.0060231+0.0040212i,-0.0014524+0.0036456i,0.0027403+0.0026769i,-0.0069733-0.0015788i,-0.018302+0.0072334i,-0.0014247+0.0034469i,0.0045122-0.0055418i,0.0014415-0.0030021i,-0.0003011-0.0043817i,0.002044-0.0042764i,0.0013133-0.0041305i,-0.013823-0.002171i,-0.0020289+0.0005195i,-0.0035976+0.0032168i,-0.0023693+0.00063424i,-0.0031594+0.0017711i,-0.0022722-0.0019613i,-0.00011692-0.0027743i,0.00033946+0.0063114i,0.0016894+0.0011773i,0.0020702-0.00045227i,0.00064696+5.7418e-05i,-0.0014677+0.0045892i,-0.0033863-0.006745i,-0.0028055+0.002203i,-0.00088734-0.00044046i,0.0033463+0.0043042i,0.007851-0.0023061i,-0.00039906-0.0027365i,0.00016925-6.8695e-05i,-0.0088034-0.0014144i,0.0045914+0.0013589i,-0.025119-0.01859i,-0.04039-0.068109i,-0.073206+0.016256i,-0.036465-0.020319i,-0.066329-0.022758i,-0.03518+0.0083353i,-0.063082+0.046584i,-0.045182+0.025914i,-0.02911-0.0323i,-0.041496-0.048666i,-0.039401+0.0021607i,-0.0013253-0.00067003i,-0.0072233+0.027111i,0.010098+0.0068753i,0.0033512-0.0015584i,-0.017371-0.011858i,0.0045156+0.0030246i,-0.0061269+0.0074463i,0.0090479+0.0036768i,0.0043415+0.0092052i,-0.0042577+0.00035352i,0.007191-0.0012277i,0.0036492-0.0027829i,0.0090436+0.0095217i,0.0063085+0.003115i,-0.0079854-0.0019799i,0.00052139-0.0062573i,0.0065479+0.0029145i,-0.0075691+0.0088013i,-0.00028861+0.0024155i,-0.0012393-0.033054i,0.014058+0.0010801i,0.0061235-0.0018188i,0.0010831+0.00056441i,0.00070066-6.9622e-05i,0.011927-0.011475i,-0.0031558+0.00075854i,-0.0062073-0.0023518i,-0.0037324+0.001482i,0.0081026-0.0025008i,0.0085028-0.001853i,0.0019301-0.003589i,0.0091628+0.0027843i,0.0057206+0.0015315i,0.012577-0.0087887i,-0.076128-0.022632i,-0.0079275-0.010962i,-0.0052683-0.0041141i,-0.0044445+0.0029706i,-0.021785+0.025939i,-0.002497+0.0039061i,-0.010775+0.0032784i
-0.025809+0.0089813i,-0.039181+0.031287i,-0.022977+0.041935i,-0.020176+0.019282i,0.0019166+0.0094666i,0.0062841+0.028557i,-0.019936+0.030454i,-0.035094+0.037884i,-0.018833+0.016427i,-0.0042601-0.0050283i,0.0017078-0.0020406i,-0.0026531+0.00099286i,0.00567+0.0019557i,-0.0011437+0.0051439i,0.0032392+0.0021531i,-0.0060081+0.004794i,-0.012767+0.015709i,0.00044661+0.0026383i,0.0018762-0.0069711i,0.00012819-0.0044364i,-0.0015908-0.0038787i,0.0012703-0.0049966i,0.00023782-0.0052138i,-0.013231+0.002044i,-0.001664+0.00068665i,-0.0012319+0.0033451i,-0.0020795+0.00074744i,-0.001085+0.0019085i,-0.0029833-0.00087561i,-0.0017855-0.0021954i,0.0025373+0.0056739i,0.0016088+0.00075558i,0.0013314-0.00089152i,0.00053986-4.3798e-05i,0.0011325+0.0048078i,-0.0046229-0.0077883i,-0.001846+0.0033639i,-0.0014951+0.00023064i,0.0039163+0.00034251i,0.0061807-0.0036177i,-0.00080095-0.0024633i,0.00091226-0.00048254i,-0.0092326+0.0020262i,0.0026694-0.0017034i,-0.030455-0.016535i,-0.058495-0.053024i,-0.063238+0.021349i,-0.042038-0.014634i,-0.07016-0.0098013i,-0.027487+0.010696i,-0.044577+0.050119i,-0.029322+0.025122i,-0.032917-0.031i,-0.048729-0.042209i,-0.034411+0.012056i,-0.0029031-0.00077091i,0.002487+0.025598i,0.010218+0.0022324i,-0.0011905-0.0019612i,-0.026912-0.001156i,0.0016725+0.0031791i,-0.0015883+0.0075931i,0.007415-0.0011923i,0.0078768+0.0081035i,-0.0037678+0.0036319i,0.0036184-0.0026048i,0.0027606-0.005014i,0.0080124+0.0024749i,0.0033955+0.00076163i,-0.0081549+0.0017572i,-0.0016013-0.0045963i,0.0074439+0.00051475i,0.002248+0.011143i,0.0012637+0.0016285i,-0.0088189-0.026939i,0.012741-0.0037751i,0.0049795-0.0036606i,0.0017273+0.0018874i,0.0012545-0.00041375i,0.0064385-0.012002i,-0.00010034+0.0035286i,-0.0066631+0.00096043i,-0.0012957+0.0043175i,0.0058534-0.0028799i,0.007159-0.0065623i,9.8597e-05-0.0038191i,0.0086333-0.0029256i,0.0056905-0.0016893i,0.0085007-0.012548i,-0.074168-0.0089972i,-0.017941-0.013763i,-0.0062984-0.0074185i,-0.0042731+0.00064353i,-0.014176+0.026836i,-0.0066741+0.0027012i,-0.013566+0.0031139i
-0.024332+0.0099138i,-0.035125+0.036324i,-0.019806+0.041709i,-0.014292+0.021537i,0.0041383+0.0050742i,0.0099174+0.026133i,-0.013717+0.032288i,-0.02984+0.038916i,-0.01691+0.020635i,-0.0044049-0.0031119i,0.00048189-0.0024777i,-0.0013475+0.0040228i,0.0049697+0.00072727i,0.0012995+0.006429i,0.0038744+0.0016715i,-0.0019565+0.0082023i,-0.004369+0.019874i,0.00099447+0.0015695i,-7.8968e-05-0.0064374i,-0.0021321-0.0045346i,-0.0026801-0.0033404i,0.00015115-0.0050077i,-0.0019871-0.0051589i,-0.010109+0.0052002i,-0.0018217+0.00063612i,-0.00055202+0.0021432i,-0.0019265+0.0010335i,-0.00014107+0.0010311i,-0.0029254+0.0004873i,-0.0020832-0.00072581i,0.0041201+0.0042157i,0.0015537-2.1047e-05i,0.00060975-0.00083175i,4.7355e-05-5.0487e-05i,0.0024667+0.0034972i,-0.0074694-0.0077115i,-0.00065776+0.0038588i,-0.0013221+0.0015164i,0.0018042-0.0010751i,0.0044679-0.0039725i,-0.0011201-0.0023782i,0.0009249-0.0012994i,-0.0078407+0.0048161i,-1.6291e-05-0.00071324i,-0.03447-0.01096i,-0.063831-0.033093i,-0.056954+0.022935i,-0.0469-0.0073716i,-0.071563+0.0043351i,-0.022912+0.0079605i,-0.028966+0.048928i,-0.020094+0.020793i,-0.035577-0.029587i,-0.052551-0.035077i,-0.028124+0.020294i,-0.0038916+2.5152e-05i,0.012908+0.020784i,0.0094326-0.00038283i,-0.0047805+0.00041823i,-0.028058+0.011376i,0.0015075+0.0049278i,0.0022734+0.0077923i,0.0031419-0.0023424i,0.010939+0.0050482i,-0.0019969+0.005717i,0.0013367-0.001094i,0.0010623-0.0066404i,0.0031881+0.0012818i,0.00089038+0.0020234i,-0.0076519+0.0067616i,-0.0028867-0.0018959i,0.0071663-0.00224i,0.0075294+0.0068141i,0.0019548+0.00069479i,-0.012989-0.024422i,0.0099145-0.0077691i,0.0032797-0.0051716i,0.0045872+0.0015429i,0.0011605-0.00045136i,0.0031905-0.010918i,0.0026594+0.0030502i,-0.004448+0.0047617i,0.0022922+0.0042096i,0.005072-0.0032358i,0.0030596-0.011003i,-6.8942e-05-0.002817i,0.0045742-0.0062788i,0.003649-0.0035788i,0.0023935-0.015168i,-0.069154-0.00074567i,-0.028826-0.0069941i,-0.0089944-0.008998i,-0.0055685-0.0012062i,-0.0087707+0.026245i,-0.009952+0.0054752i,-0.01423+0.0067873i
-0.023319+0.011303i,-0.030311+0.041471i,-0.017029+0.044246i,-0.0084019+0.02096i,0.0031198+3.7023e-05i,0.0139+0.024038i,-0.0072289+0.032251i,-0.025286+0.040945i,-0.012665+0.022173i,-0.0046593-0.0023096i,-0.0013193-0.0019956i,0.0010172+0.0053905i,0.0040188+0.00016893i,0.0038074+0.0052207i,0.0040613+0.00090376i,0.0022639+0.0087205i,0.0052243+0.019877i,0.0012837+0.0012337i,-0.0017504-0.0060242i,-0.0040246-0.003431i,-0.0032512-0.0017786i,-0.00045118-0.005279i,-0.0033116-0.0038032i,-0.007749+0.0055923i,-0.0023337+0.0013693i,-0.00061433+0.0020527i,-0.0017209+0.0014007i,0.00024925-0.00020546i,-0.001918+0.0013385i,-0.001671-0.0001442i,0.0052891+0.0025637i,0.0012358-0.00068474i,0.00020795-0.00064998i,-0.00024974-0.00010432i,0.0029181+0.0029557i,-0.010238-0.0060395i,0.0003991+0.0034359i,-0.00027341+0.0020774i,0.00068644-0.0010927i,0.0030094-0.0038518i,-0.0016536-0.0020038i,0.00019167-0.0016826i,-0.0055887+0.0063539i,-0.00036798+0.0015758i,-0.036442-0.00391i,-0.059873-0.019439i,-0.053385+0.02574i,-0.048762+0.0037351i,-0.067673+0.021164i,-0.024638+0.0060104i,-0.017352+0.044123i,-0.013554+0.01613i,-0.038297-0.026157i,-0.056296-0.028566i,-0.020123+0.023804i,-0.0049812+0.0017438i,0.01739+0.0080801i,0.009115-0.0041942i,-0.0062262+0.0048003i,-0.021581+0.023038i,0.0030893+0.0048633i,0.0066488+0.0052396i,0.0010133-0.00014877i,0.012603-0.0005393i,0.00052581+0.0073576i,0.0010939+0.00010636i,-0.0031171-0.0079844i,0.0011684+0.0043233i,0.0013918+0.0041474i,-0.0023824+0.011069i,-0.0016066+0.00046474i,0.0056077-0.0037189i,0.0093972+0.0021598i,0.0026422-0.00077892i,-0.020843-0.023239i,0.0053007-0.0095964i,0.00037093-0.0057968i,0.0043074-0.0010919i,0.00094524+0.0001839i,0.0020586-0.0091778i,0.0037477+0.00098869i,-0.00086217+0.0059384i,0.0038493+0.0016471i,0.0038826-0.004299i,-0.0035692-0.010876i,-0.00029891-0.0033651i,0.0010573-0.0061037i,0.0028176-0.0050436i,-0.0049192-0.01392i,-0.06692+0.0063037i,-0.027992+0.0070582i,-0.012949-0.0093798i,-0.0077865-0.00083854i,-0.0048951+0.026053i,-0.0088226+0.010392i,-0.0096387+0.0091707i
-0.022198+0.013226i,-0.02398+0.046615i,-0.011742+0.048012i,-0.0047519+0.017923i,-0.00071027-0.002178i,0.017893+0.020849i,-0.0013568+0.031066i,-0.020463+0.043706i,-0.0087559+0.023273i,-0.0053719-0.001056i,-0.0019194+0.00019595i,0.0040273+0.0057182i,0.0033863+0.00032663i,0.0048492+0.003054i,0.0038642+0.00012856i,0.005807+0.0075159i,0.013024+0.015418i,0.0016097+0.0010128i,-0.0030171-0.0054325i,-0.0049457-0.0013419i,-0.0026309-0.00052383i,-0.0018377-0.0056809i,-0.0037941-0.0023989i,-0.0071502+0.0070413i,-0.0019648+0.002417i,-0.00023945+0.0025407i,-0.0014539+0.0019708i,-0.00098707-0.0012386i,-0.0016239+0.001128i,-0.0014371+0.00012036i,0.0057474+0.00053295i,0.0010838-0.00091526i,0.00050513-0.00070142i,-0.00025471+0.00020166i,0.0040688+0.001085i,-0.012355-0.0032035i,0.0013848+0.0032432i,0.00046052+0.001612i,-0.00010249-0.0012156i,0.0018986-0.0036674i,-0.0019585-0.0014203i,-0.00012226-0.0015979i,-0.0040551+0.0063463i,0.00042843+0.0022505i,-0.035706+0.0022821i,-0.057329-0.013997i,-0.049961+0.030744i,-0.044895+0.013933i,-0.058431+0.035612i,-0.025911+0.00923i,-0.0090945+0.040052i,-0.01105+0.01085i,-0.040253-0.022308i,-0.05893-0.020031i,-0.013562+0.025409i,-0.0036764+0.0025163i,0.011475-0.0028185i,0.005998-0.0085475i,-0.0045982+0.0081211i,-0.011045+0.027783i,0.0034837+0.0034013i,0.0083079+0.00018489i,0.0022683+0.00090787i,0.010522-0.0043855i,0.0053252+0.0071654i,0.0013907+0.0019315i,-0.0075896-0.0029655i,0.0029648+0.0065439i,0.0027964+0.0054865i,0.0035125+0.010849i,-0.00068146+0.00054279i,0.0044535-0.0050227i,0.0096284-0.0039822i,0.00074215-0.0015749i,-0.029944-0.015639i,0.0016944-0.0091904i,-0.0019075-0.0041591i,0.0046276-0.00035646i,0.001288-0.00027673i,0.0018409-0.010157i,0.0033252-0.00099557i,0.001625+0.0040827i,0.0036998+0.00072948i,0.0031399-0.003909i,-0.0076496-0.0067452i,-0.0020994-0.0038413i,-0.0017793-0.0050199i,0.00055418-0.0062651i,-0.0092857-0.009621i,-0.063141+0.014059i,-0.022896+0.0094017i,-0.013625-0.0073847i,-0.0089003+0.00061237i,0.0001809+0.023974i,-0.0074991+0.011666i,-0.0071159+0.0082257i
-0.020631+0.015108i,-0.015985+0.050467i,-0.0043432+0.051515i,-0.0039029+0.016269i,-0.0045252-0.0016327i,0.02095+0.017021i,0.0039012+0.028931i,-0.014346+0.046667i,-0.0047236+0.022982i,-0.0055553+0.00072539i,-0.00077011+0.0018353i,0.00716+0.0034312i,0.0035001+0.00047006i,0.0044667+0.0017167i,0.0039386-0.00025468i,0.0083382+0.0045956i,0.01689+0.0091098i,0.0020776-0.00012521i,-0.0042385-0.0047151i,-0.0045462+0.00093688i,-0.0018174+0.0001603i,-0.003294-0.0046239i,-0.0037886-0.001428i,-0.0045019+0.0085886i,-0.0010795+0.0033761i,0.00082945+0.0026571i,-0.0008532+0.0024787i,-0.0028328-0.00087673i,-0.001667+0.0014711i,-0.0011949+0.00055755i,0.0051798-0.0015671i,0.00099721-0.0016343i,0.00013363-0.0010407i,-0.00013475+0.00039806i,0.0033575-0.00078209i,-0.013258+0.00094911i,0.0022579+0.0028192i,0.00073632+0.0013282i,-0.0012387-0.0010499i,0.0014279-0.0032656i,-0.0018278-0.0011065i,-0.00033304-0.0017739i,-0.0033762+0.0066326i,0.0011844+0.0025519i,-0.034562+0.0067853i,-0.059127-0.0091854i,-0.045429+0.035722i,-0.040295+0.021673i,-0.045206+0.044315i,-0.026467+0.012778i,-0.00088886+0.034952i,-0.010137+0.0084856i,-0.041633-0.017832i,-0.059684-0.010125i,-0.0077565+0.026173i,-0.0028631+0.0028661i,0.004383-0.004179i,0.0011209-0.010444i,-0.0010621+0.011234i,-0.00088896+0.026763i,0.0026986+0.0019021i,0.0065461-0.0048644i,0.002162+0.00067475i,0.0075471-0.0078863i,0.0090819+0.0042353i,0.0030264+0.0025706i,-0.0070687+0.00089341i,0.0057497+0.0073836i,0.0053736+0.0061978i,0.0088787+0.0081578i,-0.00026102+0.0011015i,0.0037952-0.0060266i,0.0060841-0.0083096i,0.00010804+0.00024074i,-0.034782-0.0036136i,-0.00023809-0.0085968i,-0.0026322-0.0021552i,0.0056898-0.00091583i,0.0012589-0.00033713i,-3.5138e-05-0.012251i,0.0019052-0.0016891i,0.0033789+0.0032512i,0.0043043-0.00065348i,0.0038388-0.0046091i,-0.00913-0.0030246i,-0.0042484-0.0018871i,-0.0042878-0.0028519i,-0.001491-0.0068403i,-0.010857-0.0052815i,-0.058864+0.020314i,-0.021265+0.011049i,-0.013358-0.0079151i,-0.0090523+0.0025276i,0.0016543+0.022225i,-0.00721+0.012428i,-0.0053221+0.0075157i
-0.018677+0.017094i,-0.0063878+0.05246i,0.0055091+0.053352i,-0.0033724+0.015889i,-0.0065097+0.0014936i,0.023594+0.013061i,0.008177+0.025456i,-0.0061271+0.048902i,-0.0013391+0.02222i,-0.0052024+0.0024593i,0.00057261+0.0016731i,0.0075847-0.00059713i,0.0041097+4.4625e-05i,0.0044067+0.00078816i,0.0041068-0.0010042i,0.0083388+0.00092487i,0.017731+0.0024553i,0.00097119-0.0012606i,-0.0058485-0.0030297i,-0.0030903+0.0022633i,-0.00085238+4.5358e-05i,-0.0037869-0.0036832i,-0.0037615-0.00037267i,-0.0014431+0.0088161i,0.00048242+0.0036645i,0.0017481+0.0019423i,0.00018182+0.0026951i,-0.003452+0.00080095i,-0.0010234+0.0016683i,-0.00081724+0.00064001i,0.0038803-0.0031617i,0.00012015-0.0020103i,-0.0003884-0.00091475i,-0.00014417+0.00034339i,0.0021502-0.0017607i,-0.012052+0.0053013i,0.0027651+0.0020183i,0.0011441+0.001026i,-0.0018332-0.0002307i,0.00087837-0.0030133i,-0.0022818-0.00088606i,-0.00076924-0.0019265i,-0.0025571+0.0074707i,0.0022417+0.0025999i,-0.033444+0.011774i,-0.063072-0.00018495i,-0.039254+0.039322i,-0.032937+0.02751i,-0.032347+0.049562i,-0.025552+0.019764i,0.0060307+0.02772i,-0.0060361+0.0064427i,-0.042006-0.012409i,-0.057532+0.00024238i,-0.0023774+0.026377i,-0.0026032+0.0026527i,0.00014904-0.0037314i,-0.0044532-0.010167i,0.0047986+0.011226i,0.0053262+0.022927i,0.00065853+0.0013152i,0.0035376-0.0084294i,0.0032729+0.0022212i,0.002902-0.0094598i,0.010458-0.0012639i,0.004845+0.0019686i,-0.0065919+0.0043328i,0.010009+0.0066284i,0.009567+0.0042256i,0.011946+0.0028737i,0.00090661+0.0015955i,0.0019104-0.0071128i,-0.00037114-0.0094348i,0.0015021+0.0017885i,-0.034833+0.0096964i,-0.0022552-0.008188i,-0.0019628-0.00020592i,0.0062336-0.0051326i,0.0017579+8.4097e-05i,-0.0054008-0.013208i,0.00085111-0.0014819i,0.0044965+0.0011704i,0.003946-0.0016208i,0.0028723-0.0060137i,-0.0086303+0.0018038i,-0.0041329+0.00099684i,-0.0054798-0.00020969i,-0.0043261-0.0070553i,-0.010957-0.0015223i,-0.054989+0.026265i,-0.020078+0.016441i,-0.015204-0.010262i,-0.0059998+0.004343i,0.0040783+0.021659i,-0.0069686+0.015175i,-0.0031066+0.0054518i
-0.016106+0.018546i,0.0030399+0.051615i,0.016309+0.051474i,-0.0023841+0.016523i,-0.0057525+0.0052368i,0.025996+0.0084865i,0.011028+0.021651i,0.0028086+0.0485i,0.0016108+0.021155i,-0.0043592+0.003885i,0.00095387+0.0013132i,0.0056056-0.0033823i,0.0041683-0.0013163i,0.0039343+4.2363e-05i,0.0037687-0.0018321i,0.0065876-0.0010254i,0.016378-0.0027235i,0.0001047-0.00094827i,-0.0059606-0.00087799i,-0.0014779+0.0026889i,-0.00021481-0.00041743i,-0.004291-0.0031499i,-0.0032086+0.00047711i,0.0012027+0.0085043i,0.0017757+0.0028891i,0.0020931+0.0013175i,0.0012048+0.0023035i,-0.0026502+0.0024757i,-0.00037117+0.0016145i,-0.00082975+0.00087506i,0.0020463-0.0038378i,-0.00078089-0.001818i,-0.00057348-0.00056759i,-0.00022057+0.0002586i,0.00093502-0.0022264i,-0.0096178+0.0085872i,0.0030713+0.00095208i,0.0011608+0.00047127i,-0.0019844+0.0011211i,0.00041486-0.0031432i,-0.0025274-0.00012499i,-0.001338-0.0021778i,-0.0010347+0.0085405i,0.003301+0.0019996i,-0.031193+0.016673i,-0.063005+0.012974i,-0.03501+0.041674i,-0.025823+0.030489i,-0.018116+0.052262i,-0.019973+0.028001i,0.0090178+0.018866i,-0.0039332+1.9483e-05i,-0.039533-0.0079181i,-0.051667+0.010247i,0.0044957+0.024873i,-0.0027042+0.0032054i,-0.0040665-0.0017727i,-0.0088736-0.0073434i,0.0089807+0.0072535i,0.0098038+0.019159i,-0.0022333+0.0028063i,-0.00067418-0.011016i,0.0055565+0.00046777i,-0.0016599-0.0083665i,0.0078814-0.0053079i,0.0062679-0.00046887i,-0.0051335+0.0071903i,0.013685+0.0016472i,0.011086-0.0016511i,0.011145-0.0041088i,0.0027361+0.0010272i,-0.00065531-0.0072986i,-0.0042508-0.0059038i,0.0036321+0.00053736i,-0.028501+0.024545i,-0.0047306-0.0067306i,-0.00056821+0.00081124i,0.002457-0.007288i,0.0023787-0.00017994i,-0.011061-0.010197i,0.00086631-0.00059671i,0.0044947-0.0012961i,0.0028183-0.002514i,0.0013154-0.0061191i,-0.0060025+0.005797i,-0.0024653+0.0027423i,-0.0046566+0.0033259i,-0.0080124-0.0060031i,-0.010165+0.001242i,-0.049412+0.03413i,-0.011954+0.020838i,-0.020295-0.0099443i,-0.0025422+0.0029035i,0.0061611+0.020807i,-0.0041735+0.018507i,-0.0025738+0.0017788i
