-0.023902-0.037422i,-0.01155-0.050145i,-0.01779-0.044847i,-0.030532-0.035398i,-0.030032-0.016324i,-0.050443-0.0276i,-0.056782-0.027226i,-0.04347-0.036245i,-0.029583-0.032272i,0.008217+0.01234i,-0.0053194+0.015205i,-0.0047866+0.014451i,0.010015+0.021271i,0.00038392+0.004219i,0.0033722+0.003375i,0.0066343+0.018452i,0.019298+0.04122i,-0.0027622-0.0011025i,-0.0047359-0.0061598i,0.0071784+0.002732i,-0.00018045-0.0007483i,-0.0018495+0.0028111i,0.00010278-0.00024941i,-0.028936-0.0032842i,-0.0013896-0.0059429i,0.0015943+0.0046291i,0.0032137-0.00019113i,-0.00062066+0.00060807i,0.00063055-0.0004616i,-0.00072818-0.0026691i,-0.001941-0.00577i,-0.0045967-0.0049666i,-0.0022766-0.0045337i,0.0022141-0.00045314i,0.0020452-0.0029647i,-0.0012205+0.026637i,0.0012167-0.0031585i,0.0027137+0.00082686i,0.0057046+0.001013i,-0.010155-0.0024875i,-0.0037042+0.00019701i,0.0056097+0.00047004i,0.0059544-0.00026767i,-0.0036101+0.0047941i,0.0017998-0.0095426i,-0.011962+0.01783i,0.035869-0.090441i,0.01235-0.069939i,-0.015631-0.059992i,-0.015719-0.05617i,0.039596-0.045701i,0.017552-0.061857i,0.033214-0.055975i,0.030469-0.059371i,0.015754-0.013404i,0.0046507+0.016708i,0.016916-0.026548i,-0.011537+0.005404i,-0.00050641+0.005415i,-0.0052263-0.0016525i,-0.0023382-0.028832i,-0.02423+0.03149i,0.010114-0.011346i,-0.013022-0.0028077i,-0.00025694-0.0049813i,-0.00098726-0.015661i,-0.0081323+0.0044462i,0.0046933+0.0061564i,-0.0091518+0.029737i,0.0048798+0.0060795i,-0.0051621-0.00072472i,-0.0031375-0.00048664i,-0.012715-0.0087322i,-0.00097146-0.0039152i,-0.028299+0.0027136i,0.00018179-0.0099827i,-0.0095823-0.0016854i,-0.0067366-0.0024062i,0.006889+0.003256i,-0.0078833+0.0015624i,-0.00013982+0.00059068i,0.0072274+0.011702i,0.0037043+0.0014877i,-0.0093024-0.0099484i,0.0033001+0.0080741i,-0.021944+0.005612i,0.0082127+0.00034634i,-0.028819-0.003752i,-0.041236+0.0029272i,0.021257-0.097171i,-0.0020622-0.012379i,-0.051141-0.020469i,-0.023723-0.00043624i,0.018267+0.010631i,-0.024808+0.01308i,-0.019341-0.012951i
-0.032591+0.018001i,-0.051235+0.020584i,-0.031342+0.045869i,-0.030615+0.024424i,-0.027263+0.03939i,0.0052266+0.04562i,-0.0017175+0.023147i,-0.014642+0.039229i,-0.013037+0.021696i,-0.0037849-0.0037458i,-0.0044572-0.0035619i,-0.001738-0.0032596i,-0.0038279-0.00076044i,-0.0066828-0.0041766i,-0.0022039+0.0046626i,-0.0021991-0.0012415i,-0.010288-0.0049765i,-0.0013706-0.0005878i,0.0029573-0.0011153i,0.0021216-0.00084395i,0.0028166-0.0035799i,0.0024711-0.0040047i,0.00137-0.002539i,-0.0089624-0.0081859i,-0.0019678+0.000607i,-0.0037041+0.0012898i,-0.0017449-0.00022473i,-0.0035836-0.0010168i,-0.0011691-0.0014275i,0.0014084-0.0017821i,-0.0021541+0.006071i,0.0016066-6.6108e-05i,0.0027831-5.8402e-05i,0.0010801+0.0017313i,-0.0012031+0.0031104i,-0.00089033-0.0062967i,-0.0023216-0.00059778i,0.00016088-0.00021833i,-5.6057e-05+0.0047734i,0.0062927+0.004479i,0.0012307-0.0032789i,0.002752-0.0046334i,-0.0036718+0.0022611i,-0.0003545+0.0030549i,-0.032875-0.0043289i,0.01113-0.078266i,-0.092578-0.030476i,-0.051836-0.035699i,-0.075397-0.050535i,-0.058324-0.0062686i,-0.093174+0.018608i,-0.058468+0.011927i,-0.049199-0.023925i,-0.03165-0.057578i,-0.024182-0.029413i,0.0027911+0.0049111i,-0.018961+0.0105i,0.0093772+0.0036661i,0.01177+0.0039508i,0.0012477-0.0060244i,0.0083538+0.0013089i,-0.0075217-0.0037673i,0.0034028+0.014326i,-0.00095887+0.0082964i,0.00072824+0.0014877i,0.0058393+0.0024625i,0.0021012-0.00096779i,-0.00059662+0.014598i,0.00071844+0.012842i,0.0030587-0.0052729i,0.010234-0.0073212i,0.0022801+0.002413i,-0.0083512-0.0075163i,-0.0020456-0.0029397i,0.016925-0.028078i,0.0059477+0.0039073i,0.0034228+0.0041897i,-0.0034146+0.0023704i,0.0025591-0.0038536i,0.022193+0.0014308i,0.0020307-0.0023423i,-0.0007107-0.0086996i,0.00078658-0.0026647i,0.014251+0.0033169i,0.0046192+0.0005026i,0.003797-0.0063375i,0.0026193+0.0091643i,0.004111-0.00069551i,0.025265+0.0047431i,-0.081383-0.037271i,-0.0047725+0.019078i,0.0062592-0.002554i,-0.0026671+0.005243i,-0.036102+0.013203i,-0.0074407+0.0063328i,-0.016951+0.013487i
-0.028168+0.022218i,-0.04732+0.025532i,-0.020305+0.044169i,-0.026716+0.028376i,-0.020829+0.040655i,0.013671+0.043136i,0.0011742+0.022352i,-0.0067675+0.03978i,-0.0086338+0.019034i,-0.0049043-0.001573i,-0.0048094-0.00098655i,-0.0025583-0.0035154i,-0.0045593-0.00027731i,-0.0067987-0.0014343i,-0.00076145+0.0053307i,-0.0044695+0.00047897i,-0.012512-4.424e-05i,-0.0012429+0.00030046i,0.003159-0.001808i,0.0021261-0.0017676i,0.0014919-0.0040473i,0.0017605-0.0040479i,0.00094503-0.002564i,-0.010165-0.0048943i,-0.0012126+0.001044i,-0.0034855+0.0024115i,-0.0012745+0.00039615i,-0.0034284+0.00013014i,-0.0016126-0.0011331i,0.00079435-0.0018428i,0.00055936+0.0066874i,0.0010848-0.00034273i,0.0021344-0.0010043i,0.00095223+0.0014043i,-0.0010598+0.0026965i,-0.0012255-0.0054569i,-0.00065465+0.00046708i,-0.00063228-0.00043712i,0.00041243+0.0054212i,0.0067762+0.0011655i,0.00026159-0.0034177i,0.00054064-0.0058862i,-0.0033449+0.0034218i,0.00050229+0.0031547i,-0.033381-0.0034496i,-0.013019-0.089017i,-0.08982-0.011853i,-0.060747-0.034144i,-0.087715-0.03898i,-0.057602+0.0040942i,-0.083178+0.035722i,-0.053534+0.024137i,-0.040475-0.022808i,-0.039271-0.052872i,-0.030593-0.017989i,0.0039761+0.0020347i,-0.012805+0.019812i,0.0091411-0.00036312i,0.012419-0.002526i,-0.003559-0.010511i,0.0042518+0.00042198i,-0.0082316+0.0018111i,0.0084332+0.012065i,0.00076868+0.010025i,0.00086586+0.0012423i,0.0064173+0.0033958i,0.0024877-0.0001724i,0.005547+0.010878i,0.0064178+0.0075141i,-0.0019173-0.0071899i,0.0032508-0.007974i,0.0032247+0.0027541i,-0.011672-0.00042839i,-0.0027408-0.00026287i,0.0057821-0.028817i,0.0070033+0.0030329i,0.0075995+0.0022111i,-0.00067143+0.002913i,-0.00022379-0.0013699i,0.018496-0.0081642i,0.0002468-0.0032045i,-0.0053037-0.0066116i,-0.0025564-0.0019367i,0.012011-0.0019795i,0.0045775+0.00057195i,0.0015719-0.0046479i,0.0052546+0.0078473i,0.0029764-0.0012381i,0.02456-0.0031139i,-0.085851-0.02742i,0.0036114+0.007886i,0.0053368-0.0039705i,0.00027038+0.0032396i,-0.029621+0.023816i,-0.0056611+0.0074137i,-0.01376+0.01502i
-0.022784+0.024952i,-0.043849+0.030422i,-0.013709+0.040059i,-0.022303+0.030762i,-0.013431+0.042503i,0.021253+0.038585i,0.0042771+0.021756i,0.00084041+0.038374i,-0.0076963+0.017013i,-0.0051251+0.00078886i,-0.003824+0.0009358i,-0.0059243-0.0030782i,-0.0048939+0.0017107i,-0.0069083+0.00059096i,0.0011338+0.0057789i,-0.0053009+0.0036155i,-0.012272+0.0055763i,-9.991e-05+0.00098466i,0.0032303-0.003398i,0.001878-0.0029896i,7.5207e-05-0.0043963i,0.00075496-0.004797i,0.00053395-0.0027574i,-0.010841-0.0020635i,-0.00086727+0.0013269i,-0.0018239+0.0040802i,-0.00094937+0.00027112i,-0.0028096+0.0015593i,-0.0019625-0.00069365i,-0.0003215-0.0026686i,0.0027942+0.0061571i,0.00073079-0.00045862i,0.0015419-0.0015455i,0.0014669+0.00086589i,-0.00012114+0.0034326i,-0.00076236-0.0054596i,-0.00079242+0.00034818i,-0.0010442-0.00020087i,0.0043467+0.0033413i,0.0055745-0.0010762i,-0.00070468-0.0029313i,0.00085952-0.0038018i,-0.0027479+0.0048633i,0.0012461+0.0020746i,-0.035377-0.00036363i,-0.042082-0.087615i,-0.08023+0.0016513i,-0.070803-0.026607i,-0.095008-0.02352i,-0.053142+0.012641i,-0.068047+0.047352i,-0.039525+0.032666i,-0.042983-0.025484i,-0.045648-0.049046i,-0.031626-0.0063481i,0.0043211-0.0010069i,-0.0028547+0.022465i,0.0080956-0.0031462i,0.0079743-0.0077707i,-0.013617-0.010069i,0.0029496-0.00048157i,-0.0042153+0.0056498i,0.011363+0.0064532i,0.0038485+0.012117i,-8.7382e-05+0.0017716i,0.0077541-0.0005077i,0.0038789-0.0016793i,0.0070071+0.0057601i,0.0057576+0.0020885i,-0.0071114-0.0032436i,0.00082366-0.0061913i,0.0052684+0.0016749i,-0.0076483+0.010202i,-0.0011011+0.00121i,-0.00285-0.027083i,0.0089785-3.3532e-05i,0.0070988-0.0014861i,0.00027595+0.0022125i,0.00094672+0.00027097i,0.01183-0.012314i,-0.0022974-0.0004918i,-0.008261-0.0032726i,-0.0037326+0.0015407i,0.0077156-0.0048306i,0.0072288-0.0012613i,0.002392-0.0047332i,0.0089478+0.004892i,0.0045637-0.00264i,0.021494-0.010438i,-0.089636-0.013437i,0.00055247-0.0019231i,0.0018879-0.0073853i,0.0020495-0.00081645i,-0.015872+0.02727i,-0.0053748+0.0030201i,-0.0017461+0.014857i
-0.017164+0.025523i,-0.039317+0.036179i,-0.010446+0.036832i,-0.017406+0.03398i,-0.0050302+0.041415i,0.027612+0.032505i,0.0081167+0.020922i,0.0071639+0.035177i,-0.0070496+0.017349i,-0.0040468+0.0026272i,-0.0029301+0.0014348i,-0.0078233+0.00085556i,-0.0044498+0.0033788i,-0.0068847+0.0030416i,0.0030163+0.005157i,-0.0041332+0.0070338i,-0.0092137+0.010976i,0.00086322+0.00018113i,0.0016898-0.0045535i,0.00018214-0.0042063i,-0.001384-0.0041375i,-0.00067913-0.0047877i,4.5125e-06-0.0032477i,-0.01087+0.001238i,-0.00028722+0.00097882i,0.00014126+0.0031642i,-0.001072+0.00024454i,-0.0014577+0.001965i,-0.0022035+0.00017024i,-0.0018397-0.002053i,0.0048258+0.0049474i,0.00039216-0.00049103i,0.00071444-0.0019164i,0.00153+0.00025077i,0.0016161+0.0030008i,-0.0015143-0.0067921i,-0.00076549+0.00087862i,-0.001406+0.00044423i,0.0037994-0.0011313i,0.0042644-0.0020585i,-0.0012717-0.0024758i,0.0013819-0.0014257i,-0.0078727+0.0016694i,-0.0005245-0.00038944i,-0.036665+0.0041855i,-0.066953-0.071418i,-0.070512+0.007281i,-0.078108-0.014941i,-0.098902-0.0072261i,-0.047074+0.018483i,-0.054425+0.053025i,-0.025939+0.032561i,-0.046557-0.020661i,-0.052244-0.041823i,-0.029822+0.0021798i,0.0023869-0.0037003i,0.0056779+0.020313i,0.0066715-0.0057861i,0.0021628-0.0089834i,-0.02161+0.009087i,-0.000341+0.0003102i,-0.00043959+0.0053185i,0.010342+0.00072705i,0.0086626+0.011734i,0.00044338+0.0030725i,0.0047224-0.0023815i,0.0036277-0.004774i,0.005357+0.0016689i,0.0027949+0.00035047i,-0.0070551+0.00078579i,-0.0013129-0.0049202i,0.0058123-0.00039303i,0.0032217+0.010141i,-2.4759e-06+0.00088457i,-0.006073-0.021418i,0.008144-0.0031278i,0.0060243-0.0031236i,0.00168+0.0026595i,0.0013971-7.8774e-05i,0.0063636-0.012715i,-5.0311e-05+0.0018101i,-0.0094589+0.0012572i,-0.0013094+0.0036832i,0.0048201-0.0046858i,0.0060702-0.0052165i,0.00014985-0.0050552i,0.0095845-0.00057212i,0.002768-0.0058524i,0.016802-0.016683i,-0.086869+0.0018321i,-0.0069169-0.0051069i,0.0015701-0.01268i,0.0012035-0.0053443i,-0.011939+0.025112i,-0.0093128+0.0031639i,-0.0072662+0.013551i
-0.013182+0.025278i,-0.034385+0.040973i,-0.0091014+0.035545i,-0.011076+0.03585i,0.0017575+0.038461i,0.031914+0.02542i,0.012155+0.018837i,0.012317+0.031573i,-0.0050106+0.018694i,-0.0024053+0.0036755i,-0.0029597+0.0022609i,-0.0069033+0.0043682i,-0.0035651+0.0048257i,-0.0051948+0.0057255i,0.0046112+0.0039604i,-0.0013057+0.009251i,-0.0041485+0.013983i,0.00086175-0.00053046i,0.00045059-0.0046181i,-0.0018019-0.0038299i,-0.0028653-0.0034414i,-0.0021787-0.0041492i,-0.001264-0.0033789i,-0.0088873+0.0037019i,-0.00088313+0.00048849i,0.00032807+0.0018208i,-0.0011159+0.00034644i,-0.00063364+0.0017688i,-0.0017677+0.0011928i,-0.0019451-0.00068733i,0.0067209+0.0022478i,0.00031263-0.00055333i,-8.8038e-05-0.0015801i,0.0012882-0.00032896i,0.0021995+0.0017894i,-0.0040944-0.0076855i,-0.00049153+0.0012414i,-0.0011664+0.0013407i,0.00074046-0.0014018i,0.0031064-0.0022303i,-0.0016696-0.0019889i,0.00065588-0.0012351i,-0.0014412+0.0046083i,-0.0032906+0.0010765i,-0.036503+0.010555i,-0.076669-0.047534i,-0.064761+0.0089518i,-0.082933-0.0015619i,-0.10005+0.011395i,-0.042422+0.021131i,-0.041061+0.056291i,-0.016451+0.029312i,-0.047808-0.016395i,-0.056284-0.034595i,-0.027492+0.010212i,-0.00015176-0.0048384i,0.014827+0.015079i,0.0044536-0.0072427i,-0.0030324-0.0072653i,-0.019851+0.011218i,-0.0010571+0.0028012i,0.0023491+0.0052734i,0.0065159-0.0008835i,0.01338+0.008488i,0.0017995+0.0034041i,0.0026229-0.0013519i,0.0015982-0.0071951i,0.0026353+0.0019801i,0.00048026+0.0014203i,-0.0065061+0.005511i,-0.0028565-0.0023584i,0.0051473-0.002557i,0.0063745+0.0062818i,0.00051815+0.00051i,-0.0087453-0.018022i,0.0062365-0.0057476i,0.0044325-0.0049471i,0.0043883+0.0016304i,0.001652-1.3171e-05i,0.0029057-0.011698i,0.0016881+0.0013497i,-0.0070299+0.006513i,0.0012603+0.0036892i,0.0039635-0.0038472i,0.0028174-0.0087911i,-0.00026682-0.0043997i,0.0060832-0.0047004i,-0.00069699-0.0066463i,0.0090249-0.022355i,-0.080739+0.012212i,-0.014595-0.0013117i,-0.0017455-0.015128i,-0.0019093-0.0088624i,-0.0074882+0.02487i,-0.012306+0.0059894i,-0.0065687+0.013257i
-0.010055+0.025166i,-0.028818+0.045496i,-0.0075778+0.037039i,-0.004727+0.035486i,0.006221+0.034321i,0.034843+0.018568i,0.016125+0.015404i,0.016277+0.027695i,-0.0020989+0.018724i,-0.0011995+0.003663i,-0.0031265+0.003741i,-0.0049147+0.0067203i,-0.0019957+0.0062695i,-0.0027405+0.0067249i,0.0053359+0.0022931i,0.0019882+0.0098189i,0.0022918+0.014425i,0.0008996-0.00048448i,-0.0010394-0.0046954i,-0.0030867-0.0026722i,-0.0033679-0.0019245i,-0.0029601-0.0032133i,-0.0021971-0.0027026i,-0.0072024+0.0044522i,-0.0011422+0.0011887i,-1.1889e-05+0.0016192i,-0.0013801+0.00068375i,-4.7314e-05+0.0013825i,-0.00094245+0.0016015i,-0.0016034+5.3177e-05i,0.0063312-3.4155e-05i,7.2699e-05-0.00061913i,-0.00061452-0.001124i,0.00076184-0.0008725i,0.0022563+0.0012044i,-0.0070246-0.0067505i,-0.00019726+0.001244i,-0.00032501+0.001765i,0.00015253-0.001232i,0.002367-0.0021098i,-0.0019568-0.0012481i,4.4377e-05-0.002306i,0.00072125+0.0045727i,-0.003877+0.003957i,-0.034057+0.017213i,-0.074646-0.030132i,-0.062115+0.011627i,-0.083482+0.01549i,-0.094264+0.031948i,-0.040848+0.023928i,-0.029529+0.055841i,-0.0090928+0.024961i,-0.047729-0.010637i,-0.060475-0.026834i,-0.023412+0.01495i,-0.0035114-0.0044316i,0.018142+0.0022089i,0.002833-0.0089873i,-0.0061681-0.00335i,-0.013594+0.018766i,0.00019425+0.0036969i,0.0056098+0.0033817i,0.0052313+0.00023217i,0.017577+0.0014725i,0.0029773+0.0033557i,0.0022734-0.0005514i,-0.0034115-0.0083168i,0.0015924+0.0036957i,0.0006494+0.0036171i,-0.0016796+0.0092702i,-0.0017408-2.0658e-05i,0.0034669-0.0034873i,0.0085372+0.0013271i,0.0012765-0.00030266i,-0.013609-0.017368i,0.0033416-0.0068057i,0.0015056-0.006014i,0.0035075-0.00040124i,0.0018765+0.0003996i,0.001349-0.010401i,0.0023371-2.3528e-05i,-0.002215+0.0086592i,0.0026177+0.0017601i,0.002805-0.0040938i,-0.0026587-0.0092335i,-0.0013064-0.0052274i,0.0029408-0.0051052i,-0.0028006-0.0065745i,-0.0014739-0.02298i,-0.076541+0.020744i,-0.013034+0.0085605i,-0.0057796-0.015667i,-0.0064611-0.009217i,-0.0047423+0.024043i,-0.011522+0.011079i,-0.0030537+0.012717i
-0.0068739+0.0254i,-0.021823+0.049992i,-0.003789+0.03937i,0.00025691+0.033954i,0.0085647+0.03164i,0.036602+0.011358i,0.019032+0.011027i,0.019569+0.023962i,0.00052363+0.018647i,-0.00056145+0.0037484i,-0.0017251+0.0059882i,-0.0020915+0.0085304i,3.9296e-05+0.0068652i,-0.00057204+0.0066175i,0.005349+0.00073647i,0.0051827+0.0089644i,0.00743+0.012383i,0.00088896-0.00055963i,-0.0024256-0.0040836i,-0.0036367-0.0010644i,-0.0030843-0.00061274i,-0.0036216-0.002311i,-0.0027217-0.001832i,-0.006828+0.0058457i,-0.00065321+0.0016071i,-3.9948e-05+0.0020581i,-0.0010719+0.0015808i,-0.00014997+0.00090757i,-0.00040121+0.0014189i,-0.001304+0.0004239i,0.0067767-0.0029963i,0.00012605-0.00032931i,-0.00063973-0.00092199i,0.0003377-0.0010613i,0.0025094+0.00012145i,-0.0095206-0.0048695i,0.00015457+0.0012892i,0.00048311+0.0016747i,-0.00049149-0.0010833i,0.0018816-0.0022034i,-0.0019037-0.0004699i,-0.0009656-0.0022382i,0.0018305+0.0035906i,-0.0027469+0.0059006i,-0.029328+0.02226i,-0.073447-0.023101i,-0.060899+0.016031i,-0.076817+0.030997i,-0.082808+0.049261i,-0.038142+0.02982i,-0.019876+0.055431i,-0.0050434+0.019787i,-0.047294-0.0055724i,-0.062768-0.017738i,-0.019536+0.018571i,-0.0043665-0.0041367i,0.011506-0.0084621i,-0.00018605-0.010846i,-0.006418+0.00030561i,-0.0054428+0.020499i,0.0008777+0.0034242i,0.0068421-0.00077685i,0.0062554-0.00042337i,0.015835-0.0052697i,0.0049541+0.0025958i,0.0024727+0.00070042i,-0.0072374-0.0036223i,0.0034796+0.0051777i,0.0019322+0.0049243i,0.00368+0.008084i,-0.0010944+0.00012339i,0.002451-0.0039131i,0.0078327-0.0032582i,-0.00013046-0.00087392i,-0.020223-0.012779i,0.0011981-0.0064332i,-0.00094061-0.0042919i,0.0040688+0.00022804i,0.0020734-0.00024977i,0.00044231-0.011401i,0.0020236-0.0012665i,0.0013449+0.0067756i,0.0027357+0.0011916i,0.0023786-0.0032302i,-0.0059755-0.0052293i,-0.004611-0.0049946i,0.00024441-0.0050273i,-0.005276-0.0058945i,-0.008643-0.018863i,-0.070823+0.029543i,-0.0080705+0.0074221i,-0.0062645-0.014722i,-0.009017-0.0073918i,-0.00090988+0.022622i,-0.0097285+0.013201i,-0.001158+0.010578i
-0.0034781+0.025271i,-0.01365+0.053346i,0.0019657+0.041693i,0.0045513+0.032702i,0.010736+0.030182i,0.036924+0.0043687i,0.020864+0.0060473i,0.02271+0.020436i,0.0032691+0.018059i,0.00024707+0.0039482i,0.001227+0.0069262i,0.0014063+0.0084931i,0.002063+0.0067342i,0.0008757+0.0063464i,0.0051883-0.0005269i,0.0078424+0.0069395i,0.011006+0.0086484i,0.0012166-0.0014623i,-0.0033527-0.0032921i,-0.0032538+0.00067792i,-0.0025262+0.00027192i,-0.0038918-0.00088402i,-0.0029256-0.0010841i,-0.0045287+0.0077851i,-0.00020327+0.002088i,0.00080598+0.0022585i,-0.00036839+0.0018969i,-0.00051413+0.0010349i,1.0289e-05+0.0014066i,-0.001001+0.0007682i,0.0034424-0.0048042i,0.0004794-0.00067796i,-0.0010962-0.00083132i,-0.00019692-0.0010782i,0.0020415-0.00091194i,-0.01111-0.001509i,0.00039168+0.0012179i,0.00090063+0.0013691i,-0.0016296-0.00072642i,0.0017565-0.0020371i,-0.0014994-9.1993e-05i,-0.0014752-0.0012774i,0.002515+0.0026108i,-0.0010051+0.0074331i,-0.024999+0.024761i,-0.078437-0.016478i,-0.059399+0.021809i,-0.068379+0.042706i,-0.067428+0.060689i,-0.033938+0.034848i,-0.010055+0.053427i,-0.0027208+0.016566i,-0.046476-0.00017639i,-0.063162-0.0074802i,-0.015147+0.021601i,-0.005788-0.0031284i,0.0035069-0.0099044i,-0.0042797-0.011215i,-0.0049241+0.0040473i,0.0011249+0.01736i,0.000659+0.002883i,0.0052641-0.0047388i,0.0053138-0.0016631i,0.011569-0.011038i,0.0065613+0.00071447i,0.0037558+0.00086142i,-0.0075274-0.00045777i,0.005818+0.0053031i,0.0042434+0.0056029i,0.0075992+0.0050561i,-0.00082338+0.0010717i,0.0020561-0.0040539i,0.0052971-0.0068829i,-0.00042273+0.00090329i,-0.023304-0.0043311i,-8.4235e-05-0.0062542i,-0.0018089-0.0023655i,0.0050229-0.00018076i,0.0017629-0.00069955i,-0.0023998-0.012803i,0.00083918-0.0016843i,0.0037091+0.0058493i,0.003381+0.00015677i,0.0032728-0.0035466i,-0.0074233-0.0024292i,-0.007392-0.0013876i,-0.0028191-0.0038742i,-0.006864-0.0047957i,-0.013008-0.013544i,-0.064232+0.036289i,-0.0075886+0.0057255i,-0.0062737-0.017202i,-0.010437-0.0053642i,-1.2305e-05+0.02181i,-0.0088866+0.014874i,0.00035797+0.0092372i
0.00017358+0.025057i,-0.004027+0.054827i,0.0099013+0.042212i,0.0086917+0.031289i,0.014117+0.029968i,0.036229-0.0022227i,0.021323+0.00058465i,0.026053+0.016049i,0.0060856+0.016873i,0.0010169+0.0038181i,0.0037488+0.0055557i,0.003729+0.0064801i,0.0040207+0.0061257i,0.0026026+0.0059079i,0.0047221-0.0017842i,0.0091741+0.0039671i,0.013274+0.0040882i,0.0001295-0.0021849i,-0.00437-0.0019456i,-0.0019632+0.0016618i,-0.001612+0.00052582i,-0.0034408+0.00020396i,-0.0030476-0.00016295i,-0.0016017+0.0083209i,0.00059736+0.0021519i,0.0015979+0.0017143i,0.00041372+0.00197i,-0.00027433+0.0016287i,0.00049425+0.0010395i,-0.00064082+0.00084492i,0.0015103-0.0050385i,-5.243e-05-0.001048i,-0.0014347-0.00026333i,-0.00069971-0.00090298i,0.0013055-0.0015697i,-0.010711+0.0023735i,0.00065127+0.0011137i,0.0014152+0.00098596i,-0.0021653+0.00025713i,0.0015503-0.0024516i,-0.0012882+9.5275e-05i,-0.001445-0.00083i,0.0023965+0.0016629i,0.0014202+0.0086542i,-0.021176+0.027656i,-0.086388-0.0032963i,-0.055137+0.02759i,-0.056958+0.051414i,-0.052345+0.068349i,-0.028818+0.040999i,-0.00014278+0.049074i,0.0021667+0.01329i,-0.044206+0.0057686i,-0.060812+0.0027914i,-0.010202+0.02441i,-0.0074624-0.002012i,-0.0023157-0.0093888i,-0.0086434-0.0097885i,-0.00094209+0.0052988i,0.0031372+0.014248i,-0.00024912+0.0031131i,0.0031074-0.0076312i,0.0056098-0.0010921i,0.0048028-0.013543i,0.0067355-0.002788i,0.004984-0.00021444i,-0.007698+0.003415i,0.0089047+0.0042687i,0.0076393+0.0036723i,0.0095863+0.00071433i,0.00056183+0.0017998i,0.0011165-0.0043031i,-0.00045852-0.0084558i,0.0011521+0.0022154i,-0.020711+0.005991i,-0.0016356-0.0059133i,-0.0013381-0.00056937i,0.0057829-0.0041561i,0.0017413-0.00064719i,-0.0074579-0.012364i,-0.00011918-0.0013074i,0.0057702+0.0034888i,0.003313-0.00034325i,0.0026145-0.0046766i,-0.0068882+0.0018467i,-0.0069008+0.0031227i,-0.0047443-0.0017331i,-0.0087575-0.0035176i,-0.01494-0.0084688i,-0.058789+0.042525i,-0.0079199+0.0080686i,-0.0096544-0.022289i,-0.0087368-0.0034152i,0.0029752+0.022042i,-0.0079203+0.018042i,0.0024319+0.0063343i
0.0041645+0.023861i,0.0055623+0.053996i,0.017781+0.039615i,0.01291+0.029491i,0.018805+0.028875i,0.034808-0.0083323i,0.020115-0.0046363i,0.028098+0.010462i,0.0085671+0.015328i,0.0015989+0.0038999i,0.0045821+0.003964i,0.0044187+0.0045964i,0.0056959+0.0046519i,0.0039942+0.0047899i,0.0038113-0.0027493i,0.009044+0.0011161i,0.013448-0.00089193i,-0.00090192-0.0019104i,-0.0043691-0.0003131i,-0.00071515+0.0016864i,-0.00089085+0.00029476i,-0.002893+0.00081406i,-0.0025878+0.00065714i,0.0010013+0.0084948i,0.0014131+0.001649i,0.0020613+0.0011595i,0.0011475+0.0016739i,0.00050798+0.0017012i,0.00061815+0.00064793i,-0.00050427+0.00088955i,-0.00059644-0.0045404i,-0.00076974-0.00087264i,-0.0013295+0.00034365i,-0.0010569-0.00053633i,0.00048306-0.0017344i,-0.0090626+0.0051511i,0.00094589+0.00074895i,0.0016383+0.0002651i,-0.0018553+0.0013725i,0.0011328-0.0030274i,-0.0011397+0.00020929i,-0.0014139-0.00086017i,0.0021089+0.0011776i,0.0046801+0.0085308i,-0.016621+0.030136i,-0.088121+0.016725i,-0.052346+0.031538i,-0.046291+0.056099i,-0.035328+0.07304i,-0.020583+0.047123i,0.0078671+0.042095i,0.0046208+0.0061878i,-0.039073+0.010428i,-0.055341+0.01313i,-0.0036076+0.025061i,-0.0087828+0.00060357i,-0.0081752-0.0062607i,-0.011653-0.0061232i,0.001856+0.0034205i,0.0052172+0.012883i,-0.0018642+0.004469i,-0.00042268-0.010251i,0.0067637-0.0033274i,-0.0016392-0.012112i,0.0045016-0.0050692i,0.0053612-0.0026234i,-0.0061852+0.0068134i,0.011145+9.8744e-05i,0.0084474-0.0010425i,0.0086405-0.0048205i,0.0024746+0.0011774i,0.00015959-0.0044518i,-0.0043194-0.0050436i,0.0030675+0.0012285i,-0.0016239-0.0091496i,-0.0030146-0.0056754i,0.00015834+0.00041227i,0.0026702-0.0060476i,0.0016936-0.00082514i,-0.012436-0.0087469i,-1.3826e-05-0.00013792i,0.006511-8.6797e-05i,0.0028721-0.0010949i,0.0014322-0.0047018i,-0.0043907+0.0051116i,-0.0045662+0.005985i,-0.0048782+0.0017163i,-0.010672-0.0012843i,-0.015191-0.004374i,-0.051307+0.050863i,-0.0023311+0.010832i,-0.018309-0.024259i,-0.006265-0.0045977i,0.0054248+0.021308i,-0.0044159+0.021236i,0.0027248+0.002508i
