-0.023651-0.018643i,-0.032524-0.032842i,-0.022405-0.019574i,-0.032573-0.020301i,-0.023935+0.0041543i,-0.028871-0.017668i,-0.057765-0.044532i,-0.040952-0.043203i,-0.029798-0.023365i,0.005479+0.0055199i,-0.0035737+0.0063958i,-0.011011+0.011083i,0.0039569+0.0069329i,-0.0039358-0.0027262i,0.0028863+0.0015402i,0.003004+0.027061i,0.0265+0.032904i,-6.7041e-05+0.00016704i,-0.0029934-0.0028921i,0.0074791+0.0039435i,0.0020748+0.00060374i,-0.00015332+0.002595i,-0.00050485+0.00039271i,-0.032034+5.9296e-05i,-0.0032285-0.0048649i,-3.8039e-06+0.0024499i,0.0039845-0.0010015i,0.0010069-0.00025096i,-0.00061762-0.00051824i,-0.0010212-0.00188i,-0.002193-0.00060814i,-0.0040583-0.0037024i,-0.0029785-0.0055604i,0.00048219-0.0012549i,0.00056652-0.0031513i,-0.0013669+0.02583i,0.0018145-0.0031829i,0.0020175-0.0039982i,0.0042684-0.0023033i,-0.0065493-0.0013479i,0.00060954+0.0011601i,0.010265-0.0006127i,-0.001528+0.00041135i,-0.0030177+0.0013147i,-0.0091349-0.0023493i,-0.018672+0.021521i,-0.0080756-0.086355i,-0.0021379-0.061139i,-0.021198-0.054143i,-0.011429-0.045964i,0.05386-0.027156i,0.023572-0.0674i,0.041429-0.0545i,0.01882-0.039307i,0.026078-0.019763i,0.012329+0.01199i,0.025752-0.029496i,-0.011405-0.0011974i,-0.0015472-0.0010838i,-0.008091-0.0017085i,-0.0046538-0.029157i,-0.020869+0.026i,0.0077038-0.0092992i,-0.01055-0.0033804i,-0.0027203-0.0018262i,-0.00068684-0.014625i,-0.0085607+0.0053597i,0.0059443+0.010963i,-0.0099811+0.030385i,0.0066187+0.0075335i,-0.0034608-0.001692i,-0.0022791-0.0013874i,-0.012947-0.0059148i,0.00066835-0.0044216i,-0.032947+0.0027643i,0.00344-0.0085554i,-0.0072063-0.0020362i,-0.0052064-0.0031689i,0.0068641+0.0015675i,-0.010395+0.00049615i,0.0025578-0.00036559i,0.005984+0.0078428i,0.0055135+0.00088867i,-0.008152-0.010212i,0.0027715+0.0077752i,-0.019543+0.0075927i,0.0032569+0.0056505i,-0.021174-0.0090959i,-0.027323-0.0051469i,0.0096971-0.061428i,0.018536-0.014651i,-0.051291-0.028337i,-0.021833+0.0036621i,0.018775+0.010521i,-0.027078+0.011663i,-0.012799-0.0076769i
-0.011237+0.013474i,-0.021218+0.041657i,0.0014899+0.040607i,-0.010358+0.024934i,-0.00022091+0.021019i,0.0019297+0.023173i,-0.025532+0.014878i,-0.026067+0.032628i,0.0007091+0.01807i,-0.0012383-0.0013372i,-0.00085596+0.0015797i,0.0043201+0.0035252i,0.0034086+0.0049859i,-0.0030687+0.0016949i,-0.002978+0.0037892i,-6.4485e-05-0.0075867i,-0.0090726-0.0012513i,-0.0019525+0.000181i,5.7966e-05-0.0013017i,-0.00094898-0.00047967i,0.00063384-0.0032767i,0.0011756-0.0028164i,0.0010199-0.0014984i,-0.0093759-0.0082496i,-0.00020073-0.00038666i,-0.0015986+0.0002761i,-0.0024396+0.00013827i,-0.0028218-8.8326e-05i,-0.00096307-0.00088981i,0.00097392-0.00072115i,-0.0017664+0.00024178i,0.0015709-9.1358e-05i,0.0019143-0.00070799i,0.00050187+0.00037082i,-0.00061014+0.0018953i,-0.00038554-0.0070348i,-0.0013918+0.0010138i,0.0019118+1.1694e-05i,0.00078926+0.0025023i,0.0046582+0.0057406i,0.0010051-0.0015453i,-0.0015663-0.0010511i,-0.0018613-0.0020076i,0.0030369+0.0053151i,-0.0080229+0.0077932i,0.019884-0.058265i,-0.074007+0.01487i,-0.027629-0.018502i,-0.0615-0.047867i,-0.05354-0.0168i,-0.086526+0.0030072i,-0.073494+0.00149i,-0.04579-0.034689i,-0.0077058-0.046076i,-0.038139-0.026066i,-0.0061838+0.00026173i,-0.031184+0.010118i,0.0072344+0.011648i,0.0094607+0.0075287i,0.0017709-0.0080861i,0.010301+0.0033903i,-0.011638-0.0038983i,0.0032099+0.011978i,0.001582+0.0066741i,-6.4178e-06-0.0015538i,0.0051393+0.0021323i,0.003917+0.00078573i,-0.0046973+0.019305i,-0.00017722+0.0089422i,0.00058638-0.0042975i,0.0082245-0.0059057i,0.0012358+0.0042147i,-0.0085806-0.0070019i,-0.0027299-0.00081425i,0.021164-0.031142i,0.005277+0.0083589i,0.001873+0.0029857i,-0.0016809+0.0040451i,0.0026038-0.0038843i,0.019643+0.002964i,0.0011483-0.0020886i,-0.0028781-0.0062103i,-0.00075473-0.0019606i,0.011291+0.0048331i,0.0051164-0.00078227i,0.0034207-0.0077768i,0.0045964+0.0051898i,-0.0055843+0.0040302i,0.013542+0.0069389i,-0.04338-0.037872i,-0.011894+0.0056047i,-0.0017827-0.0015164i,6.5863e-05+0.001769i,-0.040459+0.011319i,-0.0069634+0.0088936i,-0.01375+0.003753i
-0.0085183+0.01424i,-0.014051+0.042188i,0.010664+0.034299i,-0.0053225+0.02565i,0.002648+0.018742i,0.0061942+0.021793i,-0.024516+0.019273i,-0.01869+0.034924i,0.004965+0.01245i,-0.0016384-0.000479i,-0.00011323+0.0027376i,0.0049107+0.0011211i,0.0042411+0.003086i,-0.0015711+0.0027881i,-0.0021927+0.0047502i,-0.0045933-0.0052798i,-0.0098219+0.0035089i,-0.0016834+0.00083692i,0.0008007-0.00071207i,-0.00048801-9.1959e-05i,-0.00018469-0.0031372i,0.0010147-0.0022618i,0.00078165-0.0013567i,-0.011048-0.0050634i,4.9302e-05-0.00025891i,-0.0015056+0.00077203i,-0.0016827+0.00099139i,-0.0023255+0.00066494i,-0.0012271-0.00077622i,0.00087364-0.0008443i,-0.0015709+0.0011739i,0.0010402-0.00040506i,0.0011145-0.0014166i,0.00012771+0.00050625i,-0.00093685+0.0015039i,-0.00049475-0.0059287i,-0.00087259+0.001085i,0.00087692-0.00055989i,0.0007089+0.0024877i,0.005707+0.002895i,0.00050196-0.001983i,-0.0024116-0.00081838i,-0.0030665-0.00096411i,0.0044098+0.0046355i,-0.0056434+0.005889i,0.0014023-0.067746i,-0.06487+0.028997i,-0.034527-0.02121i,-0.074252-0.038488i,-0.053601-0.0051715i,-0.078292+0.020593i,-0.071319+0.016053i,-0.040267-0.033404i,-0.013731-0.044533i,-0.044743-0.011474i,-0.0071084+0.00031282i,-0.02476+0.022756i,0.0099252+0.006327i,0.011618+0.0013154i,-0.0040045-0.012799i,0.0068595+0.0025305i,-0.011456+0.0025057i,0.0078485+0.0094821i,0.0036068+0.0076462i,-0.00085293-0.0010548i,0.0063725+0.0024856i,0.0048951+0.0006699i,0.0043513+0.016321i,0.0039705+0.0050531i,-0.0036987-0.0056735i,0.0021519-0.0067354i,0.0031254+0.0050475i,-0.010573+0.00043544i,-0.0022902+0.0019688i,0.0066079-0.032166i,0.008177+0.0072124i,0.0042848+0.0020812i,0.0018794+0.0027598i,-0.00033049-0.0015936i,0.017371-0.0061242i,-0.00024663-0.0024549i,-0.0059549-0.0040793i,-0.0031366-0.0005011i,0.010274+0.00057985i,0.0040996-0.00034961i,0.00042479-0.0062862i,0.0063228+0.0038261i,-0.0051142+0.0057241i,0.0137+0.0017371i,-0.049958-0.031648i,-0.0060983-0.0050494i,-0.0022293-0.0026687i,0.00092857+0.00010751i,-0.034172+0.0232i,-0.0046134+0.0099737i,-0.010712+0.0060169i
-0.0054043+0.014183i,-0.0075556+0.042638i,0.015425+0.026575i,-0.00067075+0.024401i,0.0062886+0.017568i,0.010089+0.019266i,-0.021449+0.023951i,-0.011821+0.034666i,0.004315+0.0074079i,-0.001666+0.00063376i,0.0016119+0.0032123i,0.0023639-0.00031191i,0.0043891+0.0017579i,-0.00073275+0.0029364i,-0.00084337+0.00561i,-0.0073609-0.00064024i,-0.007808+0.0080519i,-0.00083225+0.0014554i,0.0015233-0.0016791i,0.00016067-0.00037279i,-0.0010775-0.0030371i,0.00087975-0.0028876i,0.00079492-0.0015706i,-0.012195-0.0019637i,-0.00014344-0.00028544i,-0.00093204+0.0014638i,-0.00094267+0.00078671i,-0.0015141+0.0015367i,-0.0013871-0.00055905i,0.00045988-0.0013615i,-0.00077084+0.0017465i,0.00060872-0.00055984i,0.00029391-0.0013687i,0.00049652+0.00021253i,-0.00053655+0.0024551i,-0.00016187-0.0061091i,-0.00074384+0.00099194i,0.00023892-0.00071785i,0.0022858+0.0013496i,0.0052842+0.000715i,-0.00012433-0.0019456i,-0.0017965+0.00039394i,-0.0037605+0.00031555i,0.0054411+0.0029043i,-0.0050369+0.0043416i,-0.020827-0.067992i,-0.051127+0.038053i,-0.043191-0.018196i,-0.081894-0.023653i,-0.048737+0.0035299i,-0.06372+0.032468i,-0.05864+0.028864i,-0.044463-0.035259i,-0.019396-0.04362i,-0.043818+0.0031957i,-0.00731+0.0016004i,-0.012848+0.029168i,0.010545+0.0016068i,0.0083429-0.0047171i,-0.01525-0.011675i,0.0067389+0.00092223i,-0.0081056+0.006252i,0.010187+0.0044663i,0.0060861+0.0067657i,-0.0029287+0.00052148i,0.0067703-0.0012199i,0.0062829-0.0018093i,0.0078826+0.010259i,0.0035455+0.0015709i,-0.0085109-0.0022232i,-0.00015356-0.0047434i,0.0060538+0.0038706i,-0.0060778+0.0089041i,0.00023083+0.0028531i,-0.0040306-0.028071i,0.011714+0.0032402i,0.0041646+1.9829e-05i,0.0020056+0.0009312i,0.00067485+0.00025945i,0.011328-0.010837i,-0.0024794+0.00041779i,-0.0070718-0.00064817i,-0.0031549+0.0029716i,0.0071726-0.0019966i,0.0070286-0.0017072i,5.5264e-05-0.0058897i,0.0093606+0.0010679i,-0.0019308+0.0066338i,0.011997-0.0026508i,-0.054702-0.020891i,-0.012024-0.014323i,-0.0012597-0.0039045i,0.0016333-0.0023047i,-0.023759+0.029121i,-0.0034043+0.0060048i,-0.0074204+0.0016844i
-0.0026533+0.013023i,-0.00029186+0.042655i,0.017456+0.019536i,0.0040463+0.023303i,0.010419+0.014116i,0.013361+0.015869i,-0.016462+0.027748i,-0.0066319+0.032947i,0.0030703+0.0057111i,-0.0010421+0.0016758i,0.0028845+0.0020919i,0.0012097+0.0013919i,0.0041757+0.0006238i,-0.00056127+0.0036247i,0.00065215+0.0057077i,-0.006678+0.004976i,-0.0032096+0.011058i,4.3803e-05+0.0012283i,0.00068793-0.0022606i,-4.1779e-05-0.001006i,-0.0018438-0.0023944i,0.00026768-0.0030565i,0.0004855-0.0021799i,-0.012114+0.0022347i,-0.00011293-0.00029826i,0.00011559+0.0010939i,-0.000802+0.00039278i,-0.00039841+0.001503i,-0.0015375+0.00012572i,-0.00026031-0.001258i,5.2384e-05+0.0017333i,0.00022325-0.00060011i,-0.00050991-0.0010461i,0.00046943+0.0001217i,0.00091862+0.0023116i,-0.0010509-0.0077304i,-0.00018798+0.0013537i,-0.00041688-0.00054267i,0.0018118-0.00070083i,0.0046948-0.00072191i,-0.00059037-0.0018902i,-0.0010167+0.00034674i,-0.0036362+0.0020123i,0.0046215+0.00054204i,-0.0053542+0.0040173i,-0.039742-0.05649i,-0.037567+0.040386i,-0.049772-0.010901i,-0.085734-0.0081666i,-0.042485+0.0085369i,-0.050569+0.036708i,-0.045312+0.031804i,-0.049751-0.029681i,-0.025126-0.039266i,-0.039544+0.014472i,-0.0075363+0.0030203i,-0.00090691+0.029585i,0.0096076-0.0029962i,0.0030365-0.0064743i,-0.022619-0.0017041i,0.0042668+0.00032882i,-0.004432+0.0075364i,0.0088179-0.001265i,0.0084834+0.0054189i,-0.0026894+0.003091i,0.0036871-0.0024295i,0.0056393-0.0059869i,0.0077255+0.0042214i,0.00099243+7.8064e-05i,-0.0087952+0.0019374i,-0.0015818-0.0035129i,0.0071811+0.0012746i,0.0029018+0.0096773i,0.0016246+0.0016298i,-0.0098362-0.021876i,0.011609-0.0010857i,0.0037217-0.0013101i,0.0026593+0.0015662i,0.0011028-5.7049e-05i,0.0059718-0.010984i,7.0297e-05+0.002652i,-0.0065108+0.0026164i,-0.00042384+0.0044356i,0.005176-0.0018965i,0.0065956-0.0062043i,-0.0021399-0.0052735i,0.0086122-0.0045088i,2.084e-05+0.0052558i,0.01004-0.0067172i,-0.052961-0.0084963i,-0.02258-0.015975i,-0.0026116-0.0076828i,0.0012695-0.0056681i,-0.015867+0.029821i,-0.0064107+0.0047222i,-0.0099445-9.0123e-05i
-0.0010505+0.011759i,0.006271+0.040877i,0.016864+0.013916i,0.0086367+0.020422i,0.012815+0.0094998i,0.015235+0.012096i,-0.010373+0.029472i,-0.0025264+0.031418i,0.0031261+0.0052074i,0.00019508+0.0020482i,0.0030632+0.0011114i,0.0020546+0.002379i,0.0038687-0.00036317i,0.001042+0.0044999i,0.0021929+0.0054287i,-0.0032549+0.0083704i,0.0017435+0.011222i,0.00047925+0.00099417i,0.00032199-0.0021961i,-0.00064208-0.0011317i,-0.0026337-0.0017264i,-0.00050973-0.0029222i,-0.00042236-0.0023767i,-0.0095573+0.005346i,-0.00041284-0.00063244i,0.00011967+0.00025886i,-0.00081008+0.00036928i,0.00017845+0.00093588i,-0.0012739+0.00086761i,-0.00035604-0.000777i,0.00052378+0.001464i,5.0367e-05-0.00087002i,-0.00089633-0.00047504i,0.00031847-4.8771e-05i,0.0012247+0.0014728i,-0.0035643-0.0084347i,0.00015915+0.0012237i,-0.00051608+0.00020954i,0.00046778-0.0010775i,0.0037667-0.0012867i,-0.0010703-0.0017398i,-0.00080908+0.00035279i,-0.0022633+0.0034312i,0.0034543+0.00090279i,-0.0050106+0.0047093i,-0.046998-0.03953i,-0.027527+0.038365i,-0.054647-0.001204i,-0.086816+0.0088141i,-0.038239+0.009315i,-0.039177+0.038226i,-0.035652+0.031952i,-0.051667-0.02356i,-0.027784-0.035395i,-0.032378+0.02499i,-0.0069884+0.0047444i,0.012197+0.024917i,0.0074435-0.0060559i,-0.0015793-0.0054386i,-0.022521+0.0086946i,0.0036167+0.00083174i,-0.00075203+0.0090005i,0.0039021-0.0032915i,0.010382+0.0025566i,-0.0014135+0.0048162i,0.0016897-0.0014292i,0.0029656-0.0090038i,0.0044633+0.0024877i,-0.00091325+0.001632i,-0.0084453+0.0072808i,-0.0026246-0.0014209i,0.0070028-0.0015578i,0.0069158+0.0051212i,0.0019917+0.00087455i,-0.012598-0.019092i,0.0098689-0.0051402i,0.0026488-0.0023631i,0.0051095+0.00055559i,0.0013247-0.00022923i,0.0031146-0.0096904i,0.0022283+0.0018342i,-0.0039529+0.0055919i,0.00239+0.0039107i,0.0046941-0.0019003i,0.0032729-0.010308i,-0.0028135-0.0036055i,0.0043776-0.007993i,0.00021476+0.0038804i,0.005344-0.010567i,-0.046994-0.0020226i,-0.033633-0.0074425i,-0.0057917-0.0094268i,-0.00052785-0.0090219i,-0.0090039+0.029834i,-0.0095652+0.0070009i,-0.011344+0.0021964i
0.00028172+0.010848i,0.012141+0.038576i,0.016052+0.011081i,0.011733+0.016445i,0.012881+0.0047237i,0.016549+0.0087435i,-0.0039348+0.029053i,0.0009211+0.030115i,0.0035142+0.0035054i,0.00082894+0.0013554i,0.0025918+0.00034075i,0.0030764+0.0024339i,0.0032869-0.0011893i,0.002753+0.0036845i,0.0033817+0.0046138i,0.00068197+0.0093815i,0.0062572+0.0091901i,0.0008729+0.00078563i,-0.00027802-0.0023932i,-0.0012228-0.00098921i,-0.0026993-0.00053885i,-0.00096122-0.0026902i,-0.0010479-0.0019613i,-0.0074507+0.0061973i,-0.00091423-0.00037856i,-0.00019057+3.0635e-05i,-0.00087662+0.0004029i,0.00038573+0.00027023i,-0.00051522+0.001191i,-0.00026904-0.00065769i,0.0010247+0.0012882i,-0.00041019-0.00094736i,-0.00093626-3.0011e-06i,8.26e-05-0.00016255i,0.0013789+0.001454i,-0.0063864-0.0079584i,0.00017671+0.00082466i,-1.2892e-05+0.00037915i,-0.00019082-0.00077693i,0.0030697-0.0016337i,-0.0014898-0.0010231i,-0.000809+0.00042421i,-0.00036408+0.0037028i,0.0036519+0.0013444i,-0.0039669+0.005605i,-0.04558-0.027426i,-0.020457+0.036019i,-0.055196+0.012121i,-0.081558+0.028684i,-0.039038+0.0099832i,-0.029991+0.036877i,-0.02719+0.031013i,-0.051425-0.01675i,-0.031202-0.032145i,-0.023248+0.029892i,-0.0063805+0.0067697i,0.018675+0.01108i,0.0048612-0.0086154i,-0.0047744-0.0019159i,-0.016531+0.017637i,0.0040461-0.00014333i,0.0043345+0.0073889i,0.00093491-0.001439i,0.011585-0.0020743i,0.00050035+0.0065477i,0.0011382-0.00060325i,-0.0027627-0.010758i,0.0029495+0.0039275i,-0.0004455+0.0039189i,-0.0026681+0.012093i,-0.0015842+0.00055497i,0.0057392-0.0031274i,0.0079213+0.00084014i,0.0029213-0.00051571i,-0.018331-0.017679i,0.0063137-0.007603i,0.00090318-0.0028719i,0.0042719-0.0016792i,0.0010345+0.00043881i,0.0020406-0.0080083i,0.0030389+0.00030396i,-0.00083756+0.0064769i,0.0036168+0.0014982i,0.0040481-0.0029387i,-0.0028635-0.010457i,-0.0031684-0.0033417i,5.5125e-05-0.0078679i,0.00085817+0.0027048i,-0.00086904-0.010659i,-0.043978+0.0022641i,-0.031272+0.0075458i,-0.0093624-0.0095113i,-0.0040479-0.010649i,-0.0039578+0.028497i,-0.0082944+0.0117i,-0.008334+0.0034227i
0.0015344+0.0098598i,0.017815+0.035954i,0.016251+0.0088782i,0.01318+0.012208i,0.011429+0.0014683i,0.017504+0.0051889i,0.0015197+0.02726i,0.0042706+0.029117i,0.0035523+0.0024662i,0.00087096+0.0010518i,0.0021894+0.00044992i,0.0045123+0.0021965i,0.0024304-0.0016782i,0.0035844+0.0020085i,0.0041608+0.0036531i,0.004141+0.0087351i,0.009015+0.0057636i,0.0012281+0.00057569i,-0.00089217-0.0024208i,-0.0015884-0.00039246i,-0.0021738+0.00032439i,-0.0015432-0.0025467i,-0.0014226-0.0015197i,-0.0062966+0.0078576i,-0.00092012-3.7667e-05i,-0.00049612+0.00027234i,-0.00097908+0.00075823i,-0.00013886-0.00016285i,-0.00014452+0.00090192i,-0.00038236-0.00073365i,0.0015077+0.00077425i,-0.00044461-0.00043761i,-0.0004955+0.00015776i,-2.4636e-05-0.00012065i,0.0019075+0.00052382i,-0.0091284-0.0066579i,0.00031831+0.00083588i,5.4589e-05-4.9286e-05i,-0.00050213-0.00049164i,0.0024871-0.0020504i,-0.0013531-0.00033858i,-0.00042501+0.00061932i,0.00086404+0.0027649i,0.0040621+0.00070445i,-0.0022702+0.0058256i,-0.044058-0.022666i,-0.015325+0.034533i,-0.049563+0.024301i,-0.07025+0.044996i,-0.039454+0.015521i,-0.023061+0.035801i,-0.021378+0.028397i,-0.05039-0.011833i,-0.033777-0.027263i,-0.015524+0.032632i,-0.0035908+0.0073575i,0.013382-0.0016716i,0.00074949-0.010817i,-0.004851+0.0011997i,-0.0085907+0.02031i,0.0028455-0.0018008i,0.0063542+0.003188i,0.0016247-3.3302e-06i,0.0097056-0.0055487i,0.0048518+0.0065398i,0.0011521+0.0011254i,-0.0082185-0.0054457i,0.0040021+0.0051173i,0.0013239+0.0053684i,0.0035024+0.011588i,-0.00083844+0.00090766i,0.0045187-0.0045344i,0.0075991-0.0043951i,0.0016025-0.0015077i,-0.024775-0.011105i,0.0032321-0.0083424i,-0.00033573-0.0018081i,0.0044438-0.00086545i,0.0014928+0.00049267i,0.0024296-0.0091825i,0.0024544-0.0013779i,0.0018172+0.0052162i,0.0031364+0.00050118i,0.0035113-0.0026983i,-0.0064548-0.0067286i,-0.0047441-0.0025931i,-0.0032153-0.0061854i,0.00057812+0.0015185i,-0.0046944-0.0077054i,-0.040394+0.0071791i,-0.025093+0.0099453i,-0.0092821-0.0083805i,-0.0071003-0.01007i,0.00134+0.025386i,-0.0067164+0.012786i,-0.0080259+0.0025896i
0.0025304+0.008765i,0.023385+0.03264i,0.017147+0.0070365i,0.013575+0.0088064i,0.0095422-0.0004896i,0.01763+0.0017372i,0.0062031+0.024631i,0.0079944+0.028139i,0.0038819+0.0011011i,0.00096138+0.000895i,0.0026256+0.00063199i,0.0058731+0.00036284i,0.0016446-0.0017185i,0.0029305+0.00087938i,0.0048319+0.0027662i,0.006957+0.0061708i,0.0099556+0.0024887i,0.0016294-0.00010788i,-0.0016286-0.0022148i,-0.0014737+0.00054248i,-0.0014246+0.00085572i,-0.0020926-0.0017332i,-0.001604-0.001082i,-0.0031809+0.0094242i,-0.00074539+0.00031887i,-0.00033495+0.00062558i,-0.00079824+0.0012693i,-0.00083457+2.961e-05i,1.593e-05+0.00085146i,-0.00057857-0.00066008i,0.0015814+5.2811e-05i,-0.00017307-0.00055117i,-0.00053921+0.0001284i,-0.00018864-0.00012701i,0.0015236-0.0003375i,-0.011448-0.0036877i,0.00041572+0.000774i,-0.0001349-4.424e-05i,-0.00095787-0.00029121i,0.0020135-0.0022718i,-0.00095902-0.00013065i,-0.00013099+0.00043802i,0.001108+0.0017394i,0.0041094+0.00015555i,-0.00079075+0.0049513i,-0.046416-0.019109i,-0.011128+0.03286i,-0.042032+0.033589i,-0.055139+0.05536i,-0.038413+0.021174i,-0.01612+0.03371i,-0.017016+0.02693i,-0.04954-0.007964i,-0.034916-0.021427i,-0.0073396+0.034323i,-0.0018135+0.0067339i,0.0058156-0.0043415i,-0.0036632-0.010978i,-0.0031961+0.0044301i,-0.0015433+0.018994i,0.00046429-0.0026127i,0.0058271-0.001013i,0.0013976+0.00030845i,0.0068944-0.0088465i,0.0081127+0.0036625i,0.0024506+0.0016641i,-0.0089429-0.0011977i,0.0058644+0.0057781i,0.0038457+0.0059148i,0.0088948+0.0087753i,-0.00042388+0.0014944i,0.0036998-0.0054783i,0.0044819-0.0079558i,0.00085148-0.00043317i,-0.028341-0.0017141i,0.00096327-0.0082327i,-0.00033779-0.00051056i,0.0051935-0.0011752i,0.0019755+0.00019726i,0.0011069-0.011775i,0.00067263-0.0017417i,0.003644+0.0040375i,0.0032154-0.00024611i,0.0043854-0.0033516i,-0.0080516-0.0035963i,-0.0063891-6.1787e-05i,-0.0061547-0.0041062i,0.00018208+0.00066172i,-0.0061148-0.0047541i,-0.036741+0.010481i,-0.022865+0.011601i,-0.0090046-0.010084i,-0.0094025-0.0090624i,0.0025013+0.022723i,-0.0061507+0.013364i,-0.0074633+0.0029063i
0.0035842+0.0078746i,0.029312+0.027977i,0.01886+0.0044421i,0.013394+0.0060214i,0.0083066-0.00099454i,0.017257-0.0014473i,0.0096933+0.020824i,0.012466+0.02629i,0.0037857-0.00060526i,0.00097835+0.00059496i,0.0030119-0.00014728i,0.0053316-0.0023448i,0.0011346-0.0015372i,0.0026755+0.00045841i,0.0054608+0.0015509i,0.0075901+0.0029738i,0.009638-0.00077804i,0.0011227-0.00087003i,-0.0024613-0.0015328i,-0.00074369+0.00098141i,-0.00054919+0.0008086i,-0.002105-0.0011472i,-0.0017517-0.00061333i,0.00027731+0.0091651i,-0.0004935+0.00041347i,-8.5654e-05+0.00064972i,-0.00016872+0.0015876i,-0.00094212+0.00065213i,0.00036685+0.00048533i,-0.00073452-0.00054066i,0.0013116-0.00052259i,-0.00061583-0.0006055i,-0.00055418+0.00037919i,-0.00038047-2.3464e-05i,0.00088904-0.00072051i,-0.012052+0.00038496i,0.00043386+0.00061861i,-0.0001056+4.7634e-05i,-0.0012091+0.00022187i,0.0014397-0.0025211i,-0.00092456-0.000131i,-3.3302e-05+0.0001831i,0.00092336+0.0012042i,0.0041213-0.00047057i,-0.0002056+0.0038463i,-0.051408-0.012249i,-0.0072704+0.030972i,-0.031226+0.039326i,-0.040527+0.061779i,-0.03618+0.029306i,-0.0097377+0.029966i,-0.010667+0.0246i,-0.048894-0.0034719i,-0.033776-0.015221i,0.00051695+0.034037i,-0.0012532+0.0059792i,0.00061671-0.0050057i,-0.0083166-0.009647i,0.00063391+0.0052213i,0.0021944+0.015926i,-0.0025723-0.0019187i,0.0035807-0.0046601i,0.0027406+0.0021131i,0.0022211-0.010576i,0.0091523-0.00089597i,0.0036346+0.0010652i,-0.0089352+0.0036031i,0.0092771+0.0051485i,0.0076521+0.004309i,0.012299+0.003254i,0.00056651+0.0021282i,0.0021683-0.0062393i,-0.0009573-0.0084947i,0.0017635+0.00079135i,-0.028451+0.0089878i,-0.0011954-0.0079481i,0.00036728+0.00061425i,0.0054447-0.0047818i,0.0026367-0.00022124i,-0.0041162-0.013489i,-0.00035003-0.00093575i,0.0047259+0.0021636i,0.0032483-0.00060695i,0.0038981-0.0047623i,-0.0081824+0.00089843i,-0.0059163+0.0034137i,-0.0078205-0.00077902i,-0.0010168-0.00033151i,-0.0062188-0.0023716i,-0.03374+0.013095i,-0.020907+0.016778i,-0.011211-0.014139i,-0.0093252-0.0076798i,0.0048314+0.021673i,-0.0060467+0.015957i,-0.0057492+0.0017878i
0.0046528+0.0066183i,0.033836+0.02157i,0.020093+0.00031654i,0.013106+0.0038379i,0.0079403-0.0012385i,0.016653-0.0043798i,0.011645+0.016948i,0.016248+0.023098i,0.0029046-0.0023042i,0.00084012+0.00054101i,0.002793-0.00090124i,0.0032421-0.0037775i,0.00070594-0.0014115i,0.0023729+7.0274e-05i,0.0055397+0.00011947i,0.0066053+0.00082061i,0.0084046-0.0033164i,0.00061565-0.0010295i,-0.0025787-0.00060082i,-6.723e-05+0.00096341i,0.00020179+0.00040277i,-0.0020179-0.00080717i,-0.001596-0.00020756i,0.0030156+0.0084962i,-0.00032931+0.00040531i,8.4607e-05+0.00066758i,0.00043876+0.0012474i,-0.00054963+0.0011111i,0.00032553-7.6164e-05i,-0.0010193-0.00030252i,0.00093858-0.00083552i,-0.00099349-0.00016465i,-0.00030359+0.00072718i,-0.0004003+0.00026262i,0.00043141-0.00091322i,-0.011064+0.0037263i,0.0004807+0.00038685i,-0.00011116-6.5164e-05i,-0.0010999+0.00092274i,0.00083941-0.0029305i,-0.00086392+0.00013984i,-0.00017317-0.00017244i,0.00075747+0.0010177i,0.0041797-0.0012849i,0.00011786+0.0031787i,-0.053385-0.00093039i,-0.0050427+0.029345i,-0.021459+0.040467i,-0.024342+0.065889i,-0.029438+0.038323i,-0.006246+0.024473i,-0.0070283+0.018534i,-0.04701+0.00056195i,-0.03059-0.0096128i,0.0090081+0.031046i,-0.00087995+0.0059586i,-0.0052031-0.003097i,-0.011967-0.0060411i,0.003306+0.0031289i,0.0042669+0.013872i,-0.0057195+0.00063151i,-0.00028156-0.0070677i,0.0053938+0.00061813i,-0.0027143-0.0094248i,0.0070801-0.0044701i,0.0046658-0.00055075i,-0.0071503+0.007217i,0.012194+0.00097318i,0.0092241-0.00074557i,0.011922-0.0043369i,0.0020911+0.0018733i,0.00010997-0.0063552i,-0.0041185-0.0051759i,0.0033002-0.00046845i,-0.02342+0.021197i,-0.0032299-0.0067402i,0.001779+0.00094305i,0.0020736-0.0063718i,0.0028705-0.00062098i,-0.0099169-0.010841i,4.3617e-05+0.00052673i,0.0049421-0.00011249i,0.0028001-0.0014544i,0.0025694-0.0055471i,-0.0063906+0.0043711i,-0.0034561+0.0055988i,-0.0075615+0.0036845i,-0.0031023-3.208e-05i,-0.0058846-0.00086149i,-0.029844+0.017303i,-0.012+0.020248i,-0.017564-0.015238i,-0.0090726-0.0083892i,0.0058976+0.020178i,-0.0030277+0.019163i,-0.0055276-0.0014659i
