-0.0076753-0.039638i,-0.01134-0.044898i,0.0021266-0.046637i,-0.026995-0.028759i,-0.020977+0.013762i,-0.032718-0.033563i,-0.060599-0.063093i,-0.022281-0.072861i,-0.029004-0.075724i,0.0018532+0.015457i,-0.0077528+0.010607i,-0.015299+0.013817i,0.0017134+0.017103i,-0.0037237-0.0031358i,0.00037506+0.0068107i,0.00035818+0.039858i,0.019499+0.065034i,0.00079886-0.00047893i,-0.0055009-0.0084972i,0.0092453+0.0043847i,0.0017419+0.00093843i,-0.0012956+0.0036475i,0.0001051-0.0013555i,-0.035594-0.009409i,-0.0028447-0.0073443i,-0.00037102+0.0045011i,0.0049874-0.00036679i,0.00035194+0.00072386i,-7.5851e-05-0.0012931i,-0.00029888-0.002696i,-0.0010813-0.0056292i,-0.0023996-0.0043329i,-0.0011546-0.0080042i,0.0035579-0.00090368i,0.0031007-0.0026999i,-0.0037612+0.03579i,0.0063062-0.0045404i,0.0037661-0.0021261i,0.0047128-0.00021003i,-0.026748+0.0052215i,-8.4093e-05+0.00020681i,0.0090709+0.0030345i,0.0064357-0.0010669i,-0.0035341+0.0037515i,0.0022066+0.0021228i,-0.0027027+0.008472i,0.015159-0.087896i,-0.0064567-0.046999i,-0.023369-0.038007i,-0.018962-0.042559i,0.063741-0.016463i,0.02841-0.060966i,0.038514-0.044538i,0.030244-0.056598i,0.019141-0.015045i,0.0082563+0.0094041i,0.024395-0.032258i,-0.0077548-0.004711i,0.0024141-0.0022558i,-0.0045653-0.0061333i,0.0011025-0.03231i,-0.024803+0.030277i,0.0080162-0.010557i,-0.010925-0.0017204i,-0.0053051-0.0013048i,-0.0012691-0.013695i,-0.0099365+0.0040404i,0.0037309+0.0081443i,-0.010281+0.031242i,0.0054229+0.0076043i,-0.00556-0.0017024i,-0.0020499-0.002062i,-0.011866-0.006701i,0.00070165-0.0037551i,-0.033526-0.0028012i,0.0023335-0.012868i,-0.0091995-0.0020897i,-0.0063978-0.0025906i,0.0063399+0.0015478i,-0.0090913+0.0015019i,0.0013781+0.00081186i,0.005738+0.0095126i,0.0045484+0.00036871i,-0.0088826-0.0090936i,0.0024331+0.008727i,-0.018389+0.0054026i,0.0068226+0.0031041i,-0.028805-0.0087615i,-0.035266+0.0032409i,0.028266-0.080235i,0.012672-0.01008i,-0.042617-0.027479i,-0.022193-0.0042706i,0.018035+0.012583i,-0.026741+0.011934i,-0.01173-0.0086918i
-0.033507+0.00090127i,-0.049643+0.01646i,-0.050847+0.042414i,-0.028597+0.0060084i,-0.0062852+0.014764i,-0.010401+0.031798i,-0.031572+0.017236i,-0.058306+0.023179i,-0.021508+0.019931i,0.0013566-0.0093682i,0.0020008-0.0017018i,0.0036581-5.4084e-05i,0.003223+0.0087715i,-0.0039297+0.0010386i,0.001738+0.0023437i,0.0019253-0.0098065i,-0.011628-0.011243i,-0.0043395+0.00068831i,0.0040286-0.0026506i,0.0016233-0.0013255i,0.0022302-0.004318i,0.0017478-0.0043002i,0.0021274-0.0036392i,-0.01094-0.011365i,-0.0027632-0.00043155i,-0.0042079-0.00025849i,-0.0034882-0.0011929i,-0.0046552-0.0014691i,-0.0011468-0.0023704i,0.0013769-0.0019354i,-0.0041967+0.0042188i,0.0014466+0.0018913i,0.0018747+0.0014184i,0.0016695+0.00075964i,-0.0016469+0.0032884i,-0.0031635-0.0085268i,-0.0030752+0.00083304i,0.0014754+1.6388e-05i,-0.0008294+0.0040365i,0.011487+0.0072184i,0.00011987-0.0026146i,0.00086801-1.5055e-06i,-0.0047786-0.0037434i,0.0022852+0.0039428i,-0.01855-0.018169i,-0.00033117-0.06474i,-0.090653-0.011795i,-0.021754-0.020549i,-0.04521-0.03976i,-0.044026-0.0076943i,-0.093369+0.011761i,-0.061973+0.00029788i,-0.036376-0.028313i,-0.029578-0.055953i,-0.037937-0.02394i,-0.00037796+0.0019157i,-0.025042+0.013657i,0.0034605+0.016483i,0.0039262+0.0074079i,-1.4542e-05-0.0071721i,0.0086434+0.0043517i,-0.010272-0.0044241i,0.0021531+0.010563i,-0.00075951+0.0075935i,-0.0008452-0.0022605i,0.0051051+0.0027685i,0.003546-0.0013125i,-0.0037442+0.02001i,-0.00065432+0.013116i,0.001344-0.0042672i,0.010654-0.007311i,0.003388+0.0035599i,-0.0076625-0.0067284i,-0.0021558-0.0015941i,0.032194-0.035003i,0.0082471+0.0085626i,0.0041943+0.002597i,-0.001935+0.0029462i,0.0032545-0.0037207i,0.021365+0.0022653i,0.0011606-0.0019211i,-0.00071795-0.0072046i,0.0012496-0.002545i,0.010399+0.0052987i,0.0051873+0.00061972i,0.0030173-0.0058715i,0.0037085+0.0077958i,0.0038934+0.0031989i,0.017936+0.0009974i,-0.066205-0.044834i,-0.0104+0.010842i,-0.0066958-0.004428i,-0.0069649+0.0039802i,-0.034137+0.010322i,-0.0059453+0.0081154i,-0.015469+0.0046144i
-0.031371+0.0048065i,-0.045984+0.021425i,-0.038248+0.045015i,-0.027175+0.011862i,-0.0047441+0.012481i,-0.0047018+0.032195i,-0.029414+0.022054i,-0.050526+0.030259i,-0.017145+0.016905i,-0.0018439-0.0077919i,0.0015417-0.0012419i,0.0032236-0.0019033i,0.0056314+0.0056191i,-0.0023918+0.0031496i,0.002056+0.0024721i,-0.0037973-0.0072267i,-0.018463-0.0037943i,-0.0035349+0.0023685i,0.0044279-0.0031477i,0.0015027-0.0020705i,0.0010452-0.0042992i,0.0016446-0.0032665i,0.0017316-0.0037593i,-0.012637-0.0063797i,-0.0021591-1.4493e-05i,-0.0044514+0.001295i,-0.0029786+0.0001748i,-0.004255+0.00019859i,-0.0017037-0.001979i,0.00092119-0.0019492i,-0.0023937+0.0060323i,0.0015416+0.0015344i,0.0015616+0.00066831i,0.00058834+0.00032776i,-0.0020332+0.002736i,-0.003429-0.0073514i,-0.00238+0.0018831i,4.4988e-05-0.00079244i,-0.00062856+0.0045678i,0.01207+0.00010664i,0.0004584-0.0042835i,7.3254e-05-0.00065607i,-0.0064724-0.0025074i,0.003332+0.0034409i,-0.020264-0.019923i,-0.019849-0.070622i,-0.084724+0.0051228i,-0.028573-0.022094i,-0.056513-0.032859i,-0.041821+0.0022845i,-0.082708+0.032462i,-0.059314+0.013415i,-0.027708-0.027585i,-0.036236-0.05179i,-0.030513-0.0048756i,-0.00066452+7.5004e-05i,-0.017534+0.023152i,0.0079058+0.011858i,0.0060935+0.0027997i,-0.005178-0.013447i,0.0049336+0.0032222i,-0.010308+0.0020572i,0.0062939+0.0082139i,0.0015522+0.0092809i,-0.0018192-0.0018565i,0.0064487+0.0027865i,0.0032845-0.001017i,0.0055637+0.016716i,0.00578+0.0083152i,-0.0034315-0.0055853i,0.0031968-0.0082299i,0.004245+0.0037777i,-0.010773+0.00011254i,-0.0021792+0.00099767i,0.011357-0.037286i,0.010971+0.0063194i,0.0068584+0.00075642i,0.0012946+0.0019681i,5.2135e-05-0.0018004i,0.018079-0.0071489i,-0.0002347-0.0023214i,-0.0040452-0.0055238i,-0.0021373-0.00208i,0.0099568+0.00075838i,0.0048076+0.00078813i,0.0010975-0.003988i,0.0060159+0.0062602i,0.0039118+0.0027646i,0.016089-0.0047949i,-0.072701-0.035799i,-0.0028742-6.8952e-06i,-0.0073382-0.0038555i,-0.0056963+0.0035488i,-0.029133+0.021028i,-0.0037373+0.0088427i,-0.014897+0.0066282i
-0.028303+0.0076104i,-0.042872+0.026476i,-0.029821+0.044216i,-0.024352+0.015214i,-0.0020354+0.012499i,0.0010367+0.031361i,-0.025704+0.026865i,-0.042717+0.034687i,-0.017638+0.014606i,-0.002699-0.006274i,0.0019067-0.0011572i,-0.00081173-0.0028253i,0.0058968+0.0034067i,-0.0017831+0.0037899i,0.0026909+0.0026373i,-0.0073376-0.0015908i,-0.019586+0.0073224i,-0.0012116+0.0036681i,0.0045387-0.0052464i,0.0013279-0.0030787i,-0.00023893-0.0043578i,0.0020516-0.0043023i,0.0011447-0.0043887i,-0.012868-0.0025782i,-0.0026007+0.00051866i,-0.0034903+0.0032668i,-0.0023163+0.00069936i,-0.0029802+0.0020495i,-0.00215-0.0017768i,5.5184e-05-0.0028728i,0.00026331+0.006182i,0.0017853+0.0011052i,0.0017322-0.00012522i,0.00061765-5.0444e-05i,-0.0014032+0.0044074i,-0.0033758-0.0070907i,-0.0028643+0.0026387i,-0.000869-0.00048064i,0.0028682+0.0039175i,0.008855-0.0040572i,-0.00093676-0.00043881i,0.00049898+0.00029503i,-0.0081055-0.0010089i,0.0044456+0.0014899i,-0.024253-0.020749i,-0.041963-0.066438i,-0.074884+0.017101i,-0.035359-0.019143i,-0.063085-0.021449i,-0.035257+0.0089665i,-0.063458+0.046351i,-0.04513+0.025905i,-0.029076-0.032627i,-0.042539-0.048732i,-0.035923-0.0042593i,-0.0013673-0.00055621i,-0.0069906+0.026172i,0.0094178+0.0069874i,0.0033215-0.0016169i,-0.018787-0.013763i,0.0042963+0.0024248i,-0.0068366+0.0066725i,0.0083549+0.0040719i,0.0041219+0.0093253i,-0.0042507+0.00057433i,0.0069173-0.0012878i,0.0036723-0.0024749i,0.0093513+0.0096067i,0.0060723+0.0033707i,-0.008355-0.0021312i,0.00048482-0.006072i,0.0065591+0.0027856i,-0.0071059+0.0087631i,-0.0002248+0.0023571i,-0.0012498-0.032419i,0.014097+0.0012396i,0.0051071-0.0019073i,0.00074028+0.00067709i,0.00096446-0.00011843i,0.011734-0.011483i,-0.0030282+0.00085498i,-0.0059797-0.0027515i,-0.0034841+0.0017689i,0.007177-0.0023249i,0.0079185-0.00096021i,0.0017743-0.0037554i,0.0093262+0.0023714i,0.0059825+0.0013535i,0.012309-0.009469i,-0.077306-0.022328i,-0.0069019-0.010367i,-0.0059747-0.0038887i,-0.0048615+0.002326i,-0.018109+0.025539i,-0.0026913+0.0040047i,-0.01031+0.0036832i
-0.025134+0.0085882i,-0.038955+0.031967i,-0.023569+0.043271i,-0.020434+0.019418i,0.0019038+0.0097751i,0.0062556+0.029095i,-0.020384+0.030798i,-0.036089+0.036345i,-0.018661+0.016384i,-0.0043115-0.004615i,0.001822-0.0024609i,-0.0031378+0.0010029i,0.005431+0.001746i,-0.0014501+0.0055435i,0.0032018+0.0020481i,-0.0063102+0.0047959i,-0.013042+0.016728i,0.00075854+0.0027087i,0.0021127-0.0066936i,-0.00012924-0.0043476i,-0.0013875-0.003963i,0.0012926-0.004963i,-1.3901e-05-0.0053787i,-0.012621+0.0011469i,-0.0020989+0.0008423i,-0.00093645+0.0032878i,-0.0020315+0.00084685i,-0.0010281+0.0020018i,-0.0031014-0.00045441i,-0.0014521-0.0025213i,0.0019244+0.0054376i,0.0017507+0.00059879i,0.00092728-0.00029589i,0.00043025-7.1596e-05i,0.0012587+0.0047523i,-0.00457-0.0081734i,-0.0017305+0.003811i,-0.0013814+0.00012674i,0.0038267+0.00052361i,0.0063482-0.0049491i,-0.0010788-0.0017543i,0.0013668-9.4491e-05i,-0.0088313+0.0022851i,0.00252-0.0015756i,-0.030536-0.019466i,-0.059358-0.051191i,-0.063929+0.022447i,-0.041068-0.013754i,-0.066629-0.0096482i,-0.027534+0.011319i,-0.045065+0.049865i,-0.029746+0.025353i,-0.033253-0.030962i,-0.049571-0.04167i,-0.035464+0.008282i,-0.0027246-0.00056946i,0.0024934+0.025077i,0.0093086+0.0016803i,-0.0013613-0.0020317i,-0.030496-0.0020953i,0.0014227+0.002805i,-0.0020084+0.0075318i,0.0073286-0.00062335i,0.0074253+0.007974i,-0.0035312+0.0039405i,0.0035539-0.0025226i,0.0030883-0.0049651i,0.0084245+0.0020866i,0.0034521+0.0009448i,-0.0085247+0.0019481i,-0.0015862-0.0045381i,0.0073769+0.00032713i,0.0023689+0.010631i,0.0013025+0.0015338i,-0.0091333-0.026033i,0.012914-0.0039393i,0.0053074-0.0034376i,0.001528+0.0019582i,0.0012403-0.00049663i,0.0061627-0.01186i,-0.00012327+0.0033985i,-0.0067284+0.00095786i,-0.0011624+0.0043232i,0.0051526-0.0025027i,0.0071825-0.005712i,-6.3126e-06-0.0037889i,0.0083177-0.003273i,0.0056884-0.001823i,0.0080954-0.013004i,-0.074942-0.0084718i,-0.01736-0.013604i,-0.0061412-0.007008i,-0.0048914+0.00084556i,-0.014403+0.025748i,-0.0064496+0.0030683i,-0.012829+0.0032737i
-0.023629+0.0092918i,-0.034944+0.037051i,-0.019998+0.043048i,-0.014272+0.021581i,0.0041924+0.0055646i,0.010117+0.026606i,-0.014372+0.032857i,-0.03081+0.038121i,-0.016925+0.020341i,-0.004549-0.0026741i,0.00055056-0.0028948i,-0.0017351+0.0042443i,0.0047787+0.00060404i,0.0012228+0.0072538i,0.0037518+0.0014805i,-0.0023601+0.0082913i,-0.004083+0.020803i,0.001277+0.0015524i,0.00020484-0.0063171i,-0.0021154-0.0042778i,-0.0028131-0.0034305i,0.00040773-0.0050402i,-0.0023466-0.0052896i,-0.0098508+0.0044577i,-0.0024717+0.00073577i,-0.00031852+0.0020499i,-0.0020779+0.0014053i,-0.00017737+0.00099796i,-0.0028968+0.0010742i,-0.0019797-0.0011193i,0.0032567+0.0039936i,0.0015743-0.0002239i,0.001033+0.001153i,0.00014627-6.0994e-05i,0.0026039+0.0032595i,-0.0074779-0.0081207i,-0.00055594+0.0041265i,-0.0011551+0.001274i,0.0020042-0.00099852i,0.0040856-0.0049309i,-0.0015451-0.0022554i,0.0013219-0.00091313i,-0.010575+0.0096907i,-8.7499e-05-0.00042404i,-0.035626-0.013646i,-0.064119-0.031318i,-0.057445+0.023749i,-0.045792-0.0062418i,-0.06799+0.0037053i,-0.023014+0.008651i,-0.029217+0.048874i,-0.020619+0.021315i,-0.035862-0.029224i,-0.053061-0.034526i,-0.02892+0.019362i,-0.0035693-5.0595e-06i,0.013005+0.019758i,0.0090297-0.00082481i,-0.0048053+0.00042623i,-0.029452+0.01351i,0.0011769+0.0046352i,0.00146+0.0075456i,0.0033989-0.0019794i,0.010251+0.0051054i,-0.0012557+0.0060574i,0.0014965-0.0010074i,0.00091079-0.0065202i,0.0032143+0.0013895i,0.0010243+0.0021146i,-0.0079057+0.0067939i,-0.0029533-0.0019663i,0.0070002-0.0025587i,0.0073159+0.0066827i,0.0018311+0.00060033i,-0.014067-0.025109i,0.0099712-0.0079778i,0.0032291-0.0050429i,0.0047192+0.0018339i,0.0012303-0.00035583i,0.003115-0.010834i,0.002503+0.0027341i,-0.0044603+0.0048546i,0.0023193+0.0041893i,0.0049163-0.0026993i,0.0039057-0.010266i,-0.00010409-0.002907i,0.0038325-0.0063111i,0.0035971-0.0038987i,0.0020612-0.015468i,-0.070064-0.00050275i,-0.027796-0.0073065i,-0.0091103-0.0090205i,-0.0057598-0.00063567i,-0.0091289+0.026595i,-0.0094195+0.0054203i,-0.013733+0.0067572i
-0.022743+0.010395i,-0.029686+0.042116i,-0.0169+0.045786i,-0.0073239+0.020779i,0.0034218+0.00055859i,0.014223+0.024379i,-0.0076323+0.032944i,-0.026353+0.040328i,-0.013011+0.022044i,-0.0050538-0.001759i,-0.0014181-0.0023095i,0.00081954+0.0059461i,0.0039168+0.00022378i,0.0042507+0.0060125i,0.0038199+0.00078496i,0.0020101+0.0090081i,0.0060676+0.020242i,0.0014871+0.0011161i,-0.001602-0.0060003i,-0.0039955-0.0033289i,-0.0032405-0.0017527i,-0.00033409-0.0053465i,-0.0036243-0.0037781i,-0.0076013+0.0047297i,-0.0028976+0.0018084i,-0.00043615+0.0019563i,-0.0034171-0.00028375i,0.0001075-0.00018907i,-0.0016362+0.0017455i,-0.0017916-0.00047191i,0.0043137+0.0027088i,0.001143-0.00089617i,2.1967e-05-0.00041031i,-0.0001899-0.00012253i,0.0030443+0.0025804i,-0.010274-0.0064076i,0.00038153+0.0035832i,-0.00012773+0.0017329i,0.00083496-0.0012384i,0.0024132-0.0047882i,-0.0020338-0.0017921i,0.00086294-0.0014716i,-0.0072057+0.0052616i,-0.00031408+0.0015633i,-0.038228-0.0060953i,-0.059928-0.018129i,-0.053645+0.026473i,-0.047271+0.0048019i,-0.065159+0.019792i,-0.024588+0.0066366i,-0.017899+0.043982i,-0.013764+0.016965i,-0.038341-0.02536i,-0.056625-0.027927i,-0.02087+0.023735i,-0.0046686+0.0014079i,0.016836+0.007103i,0.0088929-0.0042985i,-0.0061926+0.0048083i,-0.021333+0.025567i,0.0027829+0.0047523i,0.0055248+0.0055862i,0.0011578-0.00011873i,0.011804-0.00028961i,0.0010585+0.0067121i,0.0012326+1.7636e-05i,-0.0028974-0.0077813i,0.0014042+0.0042383i,0.0014793+0.0041986i,-0.0024089+0.011465i,-0.0017032+0.00039027i,0.0054158-0.0040204i,0.008933+0.0019125i,0.0026074-0.00076091i,-0.021528-0.023528i,0.0055574-0.0099042i,0.00046016-0.0055211i,0.0050545-0.0014021i,0.00098122+6.8338e-05i,0.001736-0.0089078i,0.0034968+0.00079805i,-0.0014203+0.0060881i,0.00375+0.0013857i,0.0038597-0.0039148i,-0.003001-0.011128i,-0.00038631-0.0032076i,-0.00047485-0.0058846i,0.002514-0.0055335i,-0.0052609-0.014131i,-0.067763+0.0068771i,-0.027325+0.0067079i,-0.012911-0.0091735i,-0.0076312-0.00014912i,-0.0047531+0.026629i,-0.008729+0.010065i,-0.0091126+0.0089189i
-0.021806+0.012079i,-0.023208+0.0469i,-0.011199+0.049772i,-0.0041259+0.019132i,-0.00027955-0.0018512i,0.018347+0.021103i,-0.0016438+0.031736i,-0.021242+0.043687i,-0.0091377+0.023427i,-0.0063639-0.00033264i,-0.002025+5.2002e-06i,0.0044252+0.0061398i,0.0032664+0.00038703i,0.0054855+0.0034972i,0.0036521+0.00011518i,0.0057284+0.0077727i,0.013857+0.015463i,0.0017985+0.00084939i,-0.0029135-0.0053454i,-0.0048124-0.0012612i,-0.0026119-0.00054294i,-0.0017506-0.005621i,-0.0040358-0.0022605i,-0.0072484+0.0060613i,-0.002467+0.0028927i,-7.7196e-05+0.0023977i,-0.001444+0.0015674i,-0.001117-0.001137i,-0.0013079+0.0013603i,-0.001646-0.00019667i,0.0050562+0.0012497i,0.00096462-0.00091374i,0.00069744-0.0014591i,-0.00019309+0.00014464i,0.0038951+0.00069558i,-0.012323-0.0034658i,0.0014826+0.0035904i,0.00045075+0.001452i,-8.7686e-05-0.0012783i,0.0010425-0.0042959i,-0.002247-0.001102i,0.00060206-0.0016193i,-0.0050515+0.0064042i,0.00035101+0.002126i,-0.038101+0.00047327i,-0.057256-0.012596i,-0.050462+0.031278i,-0.043138+0.014718i,-0.056206+0.034106i,-0.025646+0.0096737i,-0.0099469+0.040189i,-0.010929+0.011793i,-0.039972-0.021336i,-0.059447-0.019751i,-0.013887+0.026151i,-0.0035788+0.0021276i,0.010756-0.0030241i,0.0057393-0.0084818i,-0.0045496+0.0079443i,-0.0099613+0.029816i,0.0032137+0.0034819i,0.0077368+0.0011076i,0.0022064+0.00077358i,0.010116-0.0038767i,0.0053689+0.0072248i,0.0013803+0.0017502i,-0.0073813-0.0029957i,0.0030082+0.0064569i,0.0028447+0.0054666i,0.0036544+0.01191i,-0.00071613+0.00051594i,0.0042772-0.0052673i,0.0094175-0.0038723i,0.00073851-0.0015607i,-0.029455-0.015732i,0.0019686-0.0097789i,-0.0016203-0.003983i,0.005082-0.00075513i,0.0011092-0.00029551i,0.0016994-0.010001i,0.0031517-0.0012307i,0.0012848+0.0046712i,0.003664+0.00053657i,0.0032301-0.0036737i,-0.0072576-0.0067669i,-0.0022001-0.0036015i,-0.0021343-0.0040116i,0.00010181-0.0066764i,-0.0094866-0.0097031i,-0.063742+0.014632i,-0.022819+0.0089596i,-0.01334-0.0070228i,-0.008345+0.0013414i,0.00026412+0.024064i,-0.0074779+0.011511i,-0.0068116+0.0077186i
-0.020541+0.01381i,-0.015277+0.050427i,-0.0030641+0.053044i,-0.0043141+0.017277i,-0.0041626-0.0012947i,0.021426+0.017185i,0.0037719+0.029562i,-0.014745+0.046812i,-0.0050129+0.023311i,-0.0068524+0.0014325i,-0.00087341+0.0016516i,0.0073295+0.0031819i,0.0035095+0.00057772i,0.0049939+0.0017108i,0.0038489-0.00014004i,0.008283+0.0047906i,0.017627+0.0083851i,0.0021801-0.00043993i,-0.0040108-0.0047003i,-0.0043351+0.00074632i,-0.0018528+7.037e-05i,-0.0032654-0.0046556i,-0.003956-0.0011545i,-0.005429+0.0078765i,-0.0014667+0.0039756i,0.00098714+0.0024365i,-0.00080623+0.0022749i,-0.0028589-0.00080262i,-0.0013063+0.0016556i,-0.0015709+0.00035155i,0.0050332-0.00083573i,0.00087707-0.0015145i,0.00023056-0.0018934i,-6.0237e-05+0.00031071i,0.0030803-0.0010247i,-0.013239+0.0007473i,0.0024989+0.003044i,0.00083533+0.0013023i,-0.0011482-0.0012986i,0.0005586-0.0034861i,-0.0020291-0.00091i,0.00013473-0.0018387i,-0.0037851+0.0067367i,0.0010312+0.0026084i,-0.037535+0.0056985i,-0.058863-0.0078585i,-0.045901+0.036618i,-0.038354+0.022058i,-0.043555+0.042395i,-0.026174+0.013205i,-0.0014667+0.035512i,-0.0097376+0.009319i,-0.041012-0.017037i,-0.060341-0.00991i,-0.0067999+0.027118i,-0.002933+0.0022964i,0.0037829-0.0043207i,0.00088732-0.010222i,-0.0012152+0.011151i,0.0023669+0.028934i,0.0024275+0.0019231i,0.0067695-0.0039414i,0.0021331+0.00056966i,0.00744-0.0073496i,0.0091249+0.0040806i,0.0029912+0.0024041i,-0.0069944+0.00063126i,0.0056429+0.0072694i,0.0052944+0.0064107i,0.010263+0.0099506i,-0.00025572+0.00097299i,0.0036641-0.0061645i,0.0022786-0.0040945i,1.982e-05+0.00021887i,-0.03395-0.0036086i,-0.00030573-0.0092454i,-0.0024767-0.0022613i,0.0058846-0.0018184i,0.0010421-0.00019226i,-0.00042986-0.012045i,0.0018664-0.0018343i,0.0033533+0.0037203i,0.0042514-0.00089675i,0.0038538-0.0041101i,-0.0089629-0.0032889i,-0.0040968-0.001884i,-0.003737-0.0020767i,-0.0021168-0.0070012i,-0.010836-0.0053572i,-0.059334+0.021029i,-0.021278+0.011093i,-0.012766-0.007924i,-0.0083708+0.0028825i,0.0016564+0.022705i,-0.0070872+0.012197i,-0.0052754+0.0069892i
-0.018926+0.015753i,-0.0057957+0.052232i,0.0065132+0.05381i,-0.0035757+0.016776i,-0.005899+0.0018877i,0.023974+0.013049i,0.0081231+0.026143i,-0.0060977+0.048897i,-0.0014178+0.022727i,-0.0066896+0.0035212i,0.0003091+0.0014262i,0.0075555-0.00067739i,0.0041572+0.00015038i,0.0048356+0.00058821i,0.0040602-0.00083733i,0.0083682+0.0011819i,0.017189+0.0016613i,0.00088681-0.0015476i,-0.0057776-0.0031869i,-0.0029774+0.0015774i,-0.00094326+0.00012372i,-0.0038776-0.003684i,-0.0037938-0.00012572i,-0.0024184+0.0090335i,0.00032869+0.0046435i,0.0017653+0.0016565i,0.00018479+0.0025242i,-0.0034504+0.00099806i,-0.00060014+0.0016115i,-0.0012627+0.00062756i,0.0040032-0.0025606i,1.8364e-05-0.0017676i,-0.00077244-0.0013043i,-0.00010388+0.00020746i,0.0017622-0.001983i,-0.012071+0.0047706i,0.0030491+0.0019715i,0.0011936+0.00093312i,-0.0020735-0.00049082i,0.00021077-0.0030485i,-0.0023878-0.0006531i,-0.00038015-0.0019366i,-0.0026831+0.0075845i,0.0020849+0.0027427i,-0.036417+0.011623i,-0.062626+0.00089828i,-0.039773+0.040416i,-0.030971+0.027378i,-0.031229+0.047642i,-0.025122+0.020104i,0.0054378+0.028073i,-0.0054324+0.0071226i,-0.041235-0.011658i,-0.058323+0.00040508i,-0.00062966+0.026554i,-0.0028605+0.0018209i,-0.00056797-0.003609i,-0.0044565-0.0096772i,0.0047843+0.011096i,0.011031+0.018014i,0.00034073+0.001489i,0.0040632-0.0080321i,0.0030866+0.0017987i,0.0029541-0.0091842i,0.010361-0.0015604i,0.0046948+0.0018086i,-0.0067352+0.0042765i,0.0097044+0.0066942i,0.0097479+0.0043116i,0.012252+0.0033789i,0.00082908+0.0015169i,0.0018249-0.0072327i,-0.00022389-0.008929i,0.0015118+0.0017784i,-0.033938+0.0094164i,-0.0026517-0.0085806i,-0.0019639-0.00029544i,0.0058727-0.0052468i,0.0016304+0.00010665i,-0.0054427-0.012714i,0.00092765-0.0015789i,0.0047861+0.0014896i,0.0037947-0.0017927i,0.0030988-0.0054982i,-0.0085535+0.0016687i,-0.0039759+0.00096886i,-0.0051571-0.00010465i,-0.0048613-0.0069507i,-0.011033-0.0015715i,-0.055641+0.026957i,-0.019926+0.016463i,-0.01529-0.010756i,-0.0053007+0.0041801i,0.0047181+0.021708i,-0.0071577+0.015044i,-0.0032373+0.0052387i
-0.016816+0.017232i,0.003522+0.051176i,0.016662+0.051721i,-0.0021266+0.017447i,-0.0050681+0.005277i,0.026273+0.0085037i,0.01117+0.022144i,0.0028468+0.048377i,0.0019427+0.021653i,-0.0050855+0.0055827i,0.00059552+0.0012755i,0.0055045-0.0034107i,0.0042414-0.0011114i,0.0042356-0.00029469i,0.0038295-0.0016414i,0.0066934-0.00087568i,0.015425-0.0027813i,-8.8656e-05-0.0011676i,-0.0060298-0.00098558i,-0.0027768+0.0033449i,-0.00022358-0.00027794i,-0.0044746-0.0030185i,-0.0031212+0.00063902i,0.00057085+0.0090508i,0.0023512+0.0037746i,0.0019873+0.0010737i,0.0011184+0.0021879i,-0.0025162+0.0027469i,-0.00020812+0.0013249i,-0.0011948+0.0010098i,0.002403-0.0034687i,-0.00071277-0.0014756i,-0.00053417-0.00063151i,-0.00027112+0.00017209i,0.00054338-0.0022112i,-0.0098406+0.0081322i,0.0032123+0.00078939i,0.0012585+0.00040506i,-0.0020833+0.00097741i,-0.00023952-0.0030127i,-0.0024615+5.6067e-05i,-0.00080623-0.0019524i,-0.0010238+0.0087076i,0.0031495+0.0021202i,-0.03389+0.017024i,-0.06242+0.01393i,-0.035384+0.043022i,-0.024027+0.030064i,-0.017821+0.050283i,-0.019042+0.028015i,0.0068217+0.021736i,-0.0029783+0.00061312i,-0.038579-0.0074086i,-0.052682+0.010644i,0.0058524+0.024446i,-0.0028371+0.0025853i,-0.0043832-0.001309i,-0.0084989-0.0069658i,0.0088215+0.0072305i,0.0087762+0.017262i,-0.0023137+0.0030606i,-9.2462e-05-0.010996i,0.005128+0.00025184i,-0.0015861-0.0081303i,0.0078915-0.0054778i,0.0059452-0.00055832i,-0.0050875+0.0071285i,0.013506+0.0019617i,0.011102-0.0017121i,0.011308-0.0035635i,0.002743+0.001012i,-0.00082222-0.007244i,-0.0038903-0.005599i,0.0036814+0.00060038i,-0.023252+0.026081i,-0.0054375-0.0069012i,-0.00061664+0.0007561i,0.0022225-0.0074288i,0.0021206-0.00015743i,-0.010945-0.0097285i,0.0010244-0.00064526i,0.0048928-0.0012568i,0.0028968-0.0027042i,0.0015292-0.005818i,-0.0059898+0.0054146i,-0.0026337+0.0028974i,-0.0043764+0.0033513i,-0.008346-0.0056235i,-0.010143+0.0011353i,-0.049728+0.035223i,-0.012027+0.02128i,-0.021213-0.0098036i,-0.002243+0.0025984i,0.0064447+0.020304i,-0.0042515+0.018713i,-0.0027237+0.001663i
