-0.026971-0.043085i,-0.021464-0.021129i,-0.01209-0.037429i,-0.029834-0.02132i,-0.024241-0.0015728i,-0.013067-0.0037472i,-0.052464-0.053187i,-0.046785-0.016305i,-0.038329-0.015646i,0.010026+0.01396i,-0.0087484+0.0059704i,-0.019697+0.019356i,0.0022314+0.012007i,-0.0041711-0.002577i,0.0010198+0.0008101i,-0.00016623+0.028267i,0.025951+0.026443i,0.0027547-0.001731i,-0.0019927-0.0066169i,0.0078736+0.0026818i,0.0026541+0.00084044i,0.00038331+0.0033937i,-0.00044813+8.0438e-05i,-0.035209-0.0095506i,0.00028963-0.0077485i,0.0016167+0.0023907i,0.005827+0.0012838i,0.002379+0.0002785i,0.001289-0.00073895i,-7.5696e-05-0.0026184i,0.0017965-0.0023873i,-0.0025092-0.0053959i,-0.00024667-0.0047756i,0.0031595-0.00089065i,0.0051678-0.0028132i,0.0031556+0.029078i,0.0041316-0.0033915i,0.0032859-0.0015231i,0.0088724-0.00068895i,-0.0047678-0.0020995i,-0.00041845+0.0011795i,0.010091+0.0010895i,0.0044171-0.0020849i,-0.0030621+0.0091382i,-0.017215-0.0077447i,-0.01762+0.016115i,-0.00041036-0.062027i,-0.004697-0.027073i,-0.025697-0.03346i,-0.010502-0.026946i,0.051739-0.024486i,0.016183-0.043941i,0.024419-0.048309i,0.0083211-0.054819i,0.027718-0.019629i,0.0088232+0.0061558i,0.026446-0.033666i,-0.008087-0.0061236i,0.0030667-0.0042747i,-0.0048429-0.0069438i,-0.0019261-0.033144i,-0.020046+0.029478i,0.0089297-0.011895i,-0.0093943-0.0039167i,-0.0042209-0.0017464i,0.00025181-0.012896i,-0.011+0.0043554i,0.0025942+0.010634i,-0.0054097+0.027012i,0.004747+0.002222i,-0.0054736-0.0017389i,-0.0020189-0.0023004i,-0.013228-0.0075302i,-0.00027189-0.0045866i,-0.036518-0.00036848i,0.0011944-0.010806i,-0.0085925+9.3305e-05i,-0.0071358-0.0024163i,0.0054984+0.00088858i,-0.0082742-0.0010111i,0.0018933-0.000361i,0.003991+0.0074005i,0.0044706+0.00047561i,-0.0078818-0.013718i,0.002759+0.0096141i,-0.015307+0.0044603i,0.0071734-0.00017644i,-0.022668-0.00093571i,-0.018202+0.0053087i,-0.0053246-0.065888i,0.008319-0.012599i,-0.047991-0.024563i,-0.020214-0.00060559i,0.016773+0.012933i,-0.023523+0.014558i,-0.019625-0.0060484i
-0.046482+0.028786i,-0.018052+0.018504i,-0.022222+0.042922i,-0.027471+0.013799i,-0.0044246+0.022617i,5.5662e-05+0.0080037i,-0.027911+0.022903i,-0.0025078+0.029573i,0.0071273+0.018801i,-0.0045065-0.0075798i,0.0031273+0.0030903i,0.0077914+0.00013896i,0.0052496-3.0491e-05i,-0.00098041+0.0023794i,0.00010247+0.0019339i,0.0050742-0.0048277i,-0.0065366-0.00087925i,-0.0030688-0.0010523i,0.0042255-0.0019514i,-0.00025409-0.00096979i,0.0021307-0.0045386i,0.0013757-0.0027566i,0.001479-0.00253i,-0.0087766-0.010658i,-0.00079374+0.0018087i,-0.0018299-0.00012022i,-0.0039875-0.0010513i,-0.0028116+0.0001031i,-0.00080289-0.0015437i,-0.00029678-0.00061899i,-0.0011692+0.0037577i,0.0007623+0.0010579i,0.0018139+0.00077731i,-0.00059818+0.0007697i,-0.0031145+0.0028206i,-0.0013843-0.0073079i,-0.0026623+0.00086724i,0.00077605-0.00070301i,-0.0017479+0.0031341i,0.0034841+0.0027491i,-5.6031e-05-0.001889i,-0.00050597-0.0035357i,-0.0033934-0.00054938i,0.0047876+0.001153i,-0.018815+0.021945i,0.0075705-0.040705i,-0.055091+0.0028602i,0.008023-0.032319i,-0.031964-0.04972i,-0.029098-0.020663i,-0.063117+0.02122i,-0.038817+0.0015124i,-0.034549-0.0075113i,-0.027095-0.024747i,-0.039448-0.025315i,-0.0051334+0.0032299i,-0.029043+0.0095895i,0.0062011+0.018236i,0.0030246+0.008131i,-0.0032371-0.0051509i,0.0020946+0.0016165i,-0.010891-0.0035349i,0.0056153+0.011913i,-0.00061962+0.0058946i,-0.001532-0.001351i,0.0012288+0.0024232i,0.0039484-0.00083035i,-0.0038918+0.017873i,0.0028934+0.014544i,0.0044497+6.5061e-06i,0.0094203-0.0067236i,0.0044433+0.0032352i,-0.0088818-0.00728i,-0.00095113-0.0029901i,0.027612-0.033903i,0.0084294+0.0098887i,0.0053203+0.0022149i,-0.002561+0.0029597i,0.0036041-0.0051959i,0.021722+0.009603i,0.0035743+0.0023347i,1.239e-05-0.006764i,0.0013687-0.0029947i,0.01428+0.0084807i,0.0050411+0.0014692i,0.0028528-0.0049103i,0.0037991+0.0091187i,-0.00031559+0.00072682i,0.0096652+0.0033756i,-0.040806-0.017677i,-0.0070083+0.012755i,-0.0023874-0.0041104i,-0.0075525+0.0046607i,-0.038182+0.010769i,-0.0057379+0.0073729i,-0.011109+0.014135i
-0.04115+0.03582i,-0.015163+0.018248i,-0.011317+0.038553i,-0.024733+0.017061i,-0.0013733+0.02071i,0.0014449+0.007852i,-0.025059+0.027325i,0.0031936+0.028586i,0.0097416+0.013402i,-0.0062314-0.0047446i,0.0042895+0.0034332i,0.0071239-0.0025714i,0.0047328-0.0019923i,0.00082842+0.0030552i,0.00037963+0.0020788i,0.0013753-0.0041871i,-0.0076707+0.0025853i,-0.0028235+3.3392e-05i,0.0041429-0.003019i,5.2861e-05-0.00091856i,0.00060029-0.0046282i,0.0011214-0.0024233i,0.00077742-0.0026443i,-0.010498-0.0075713i,0.00024315+0.0012512i,-0.0019453+0.00043119i,-0.0035171+0.00064869i,-0.0020554+0.00080183i,-0.0013571-0.0013911i,-0.00015745-0.00051491i,0.00038524+0.0039474i,0.00054116+0.00096029i,0.0015653-0.00029086i,-0.00068687+0.00090166i,-0.002956+0.0031666i,-0.0015957-0.006516i,-0.0021946+0.0013523i,-0.00036369-0.0012325i,-0.0011496+0.0036663i,0.0033418+0.00047968i,-0.0003873-0.0017903i,-0.0022261-0.0032235i,-0.0035098+0.00053636i,0.0052536-9.0615e-05i,-0.0154+0.021243i,-0.0070434-0.046562i,-0.048425+0.013491i,-0.0011634-0.039786i,-0.046172-0.043936i,-0.030283-0.01407i,-0.051465+0.032922i,-0.035698+0.010379i,-0.024735-0.0097341i,-0.029448-0.021029i,-0.045725-0.0096378i,-0.0043131+0.0028122i,-0.024232+0.021817i,0.011022+0.012474i,0.0055986+0.0044921i,-0.0083429-0.0077906i,-0.0010627+0.0034319i,-0.010821+0.0033403i,0.010187+0.0080688i,0.00042331+0.0077689i,-0.0016645-2.1484e-05i,0.0022999+0.003413i,0.0042223-0.0012472i,0.0044408+0.014761i,0.00839+0.0086451i,0.00049787-0.003512i,0.0029828-0.0079561i,0.004982+0.0027203i,-0.011582+0.00088152i,-0.0026507-0.00092068i,0.010898-0.037621i,0.012085+0.0071827i,0.0070318-0.00042247i,0.0010261+0.0027114i,-0.00027453-0.003135i,0.023764-0.00093664i,0.0034173+0.00067926i,-0.0034594-0.0052819i,-0.0025456-0.0019931i,0.014173+0.0023236i,0.0051301+0.0014115i,0.00099735-0.0035527i,0.0067684+0.0078306i,-0.00022761+0.0014645i,0.010214-0.00050449i,-0.044464-0.014223i,-0.0010997-0.001102i,-0.001335-0.0038949i,-0.006104+0.0051522i,-0.032178+0.022942i,-0.0037147+0.0083059i,-0.006536+0.01557i
-0.0341+0.041589i,-0.013229+0.018483i,-0.0063032+0.032094i,-0.021925+0.020075i,0.0021536+0.019863i,0.0030676+0.0071384i,-0.020221+0.031815i,0.0084503+0.026169i,0.0094357+0.0092624i,-0.006864-0.0016724i,0.0061927+0.0027437i,0.0030577-0.0036727i,0.0035801-0.0031604i,0.0016589+0.0026625i,0.00086863+0.0021605i,-0.0015986-0.0016105i,-0.0065925+0.0066511i,-0.0017589+0.00073509i,0.0035504-0.0048429i,0.00036394-0.0014467i,-0.00080622-0.0042858i,0.0011561-0.0027912i,0.00024261-0.0026249i,-0.012328-0.0049137i,0.00040861+0.00089821i,-0.0014551+0.0013137i,-0.0023852+0.00099336i,-0.00095118+0.0012382i,-0.0016088-0.0011266i,-0.00038731-0.00081116i,0.001821+0.0032391i,0.00041514+0.0010191i,0.0010907-0.00064342i,-0.0005012+0.00076419i,-0.0013923+0.0044113i,-0.0014796-0.0066908i,-0.0020318+0.0016166i,-0.0013081-0.0011023i,0.001813+0.0024805i,0.0024162-0.00063368i,-0.00085201-0.0014915i,-0.0018819-0.001544i,-0.003375+0.0013608i,0.0047686-0.0022308i,-0.013266+0.021334i,-0.024279-0.044639i,-0.038355+0.019788i,-0.013149-0.042035i,-0.054883-0.034429i,-0.027229-0.008239i,-0.036126+0.038805i,-0.024331+0.015819i,-0.025999-0.014321i,-0.03101-0.017773i,-0.043564+0.0054105i,-0.0035345+0.0029594i,-0.012726+0.029054i,0.012757+0.0066272i,0.0035676-0.00060897i,-0.017604-0.0048705i,-0.00032112+0.0048363i,-0.0065467+0.0071341i,0.011738+0.0021578i,0.0031442+0.007909i,-0.0033927+0.0014539i,0.0027259+0.0015089i,0.0040131-0.0029248i,0.007212+0.0083219i,0.008294+0.0030125i,-0.0044908-0.0010485i,8.7685e-05-0.0061004i,0.0067694+0.0017412i,-0.0068521+0.0097819i,-0.00067318+0.001209i,-0.0022084-0.034272i,0.015399+0.0011741i,0.0058477-0.0029731i,0.0010436+0.0012089i,-8.2218e-05-0.00087238i,0.019119-0.0096657i,0.0016388+0.0022495i,-0.0053739-0.0025875i,-0.0034626+0.0020685i,0.01112-0.0022361i,0.0087272-0.0007791i,0.0010695-0.0034466i,0.010481+0.0042601i,0.0024502+0.0019058i,0.0088758-0.0040409i,-0.048343-0.0053644i,-0.0090904-0.01009i,0.00094554-0.0067369i,-0.0046931+0.0043049i,-0.02205+0.028124i,-0.0030775+0.0035348i,-0.0018544+0.010961i
-0.026075+0.045395i,-0.010716+0.019734i,-0.0049297+0.027101i,-0.017805+0.023015i,0.0056611+0.016994i,0.0045468+0.0056491i,-0.013408+0.035081i,0.012932+0.02229i,0.0088677+0.0075151i,-0.006248+0.0010851i,0.0069713+0.00016162i,0.00080681-0.0012932i,0.0021195-0.0036283i,0.0016635+0.0026286i,0.0012772+0.0019249i,-0.001765+0.0021937i,-0.0027922+0.0098774i,-0.0012252+0.00048884i,0.0016136-0.0054733i,-0.00027434-0.002082i,-0.001865-0.0032504i,0.00080075-0.0031188i,-0.00034089-0.002775i,-0.013692-0.00068075i,0.00075008-3.8507e-05i,-0.00050904+0.0010478i,-0.0019305+0.0008882i,0.00013939+0.00064703i,-0.00183-0.00039787i,-0.00076715-0.00040611i,0.0026694+0.0020068i,0.00069534+0.0010557i,0.00034885-0.00088825i,-0.00031583+0.00091607i,0.00085867+0.0038548i,-0.0028301-0.0082075i,-0.0013112+0.0024721i,-0.0019646-0.00042158i,0.0014367-0.00033475i,0.0016986-0.0010193i,-0.00095826-0.0010305i,-0.0014647-0.0015311i,-0.0027914+0.0023385i,0.0020015-0.0046923i,-0.011125+0.022716i,-0.038168-0.031998i,-0.028925+0.020345i,-0.024337-0.038647i,-0.062767-0.02317i,-0.022734-0.0061952i,-0.022684+0.038026i,-0.014409+0.012043i,-0.027945-0.012043i,-0.032163-0.01257i,-0.037663+0.01604i,-0.0032597+0.0030741i,-0.00078074+0.029237i,0.013086+0.0013391i,-0.0011896-0.0012573i,-0.022115+0.0057249i,-0.00031741+0.0064655i,-0.0028255+0.0066746i,0.0091484-0.0037976i,0.005977+0.0069529i,-0.0028937+0.0045017i,0.00077967+0.0016965i,0.003076-0.0056648i,0.0058993+0.0025264i,0.0055033-4.6431e-05i,-0.003813+0.0020651i,-0.0015881-0.0044409i,0.0069736-0.00047729i,0.0029503+0.011307i,0.00030809+0.00041198i,-0.010048-0.027904i,0.013365-0.0047169i,0.0043532-0.0044553i,0.0019569+0.0026848i,0.00035822-0.0010043i,0.012758-0.013159i,0.0046098+0.0030506i,-0.0059089+0.00055542i,-0.00092041+0.0045206i,0.0082471-0.003243i,0.00828-0.0062287i,-0.00068607-0.0031821i,0.0099022-0.0022883i,0.003131-0.0010012i,0.0071506-0.0076073i,-0.045714+0.0060424i,-0.018534-0.009937i,-0.0016259-0.012407i,-0.0030665+0.0026648i,-0.013865+0.028875i,-0.0072602+0.0028569i,-0.0025505+0.0092528i
-0.018304+0.047773i,-0.0085958+0.020039i,-0.0057536+0.024823i,-0.013012+0.024602i,0.0076526+0.013675i,0.0050072+0.0038871i,-0.0057111+0.036002i,0.015845+0.01771i,0.0095107+0.0062435i,-0.0043594+0.0028525i,0.0058477-0.0017041i,0.0012526+0.00075855i,0.0010609-0.003633i,0.0027916+0.0028782i,0.001673+0.001636i,8.3993e-05+0.0045749i,0.0021431+0.010665i,-0.0011945+0.00046513i,0.00030186-0.0054249i,-0.0011653-0.00202i,-0.0024862-0.0023623i,7.1798e-05-0.0033342i,-0.0012037-0.0026339i,-0.011728+0.0036473i,-0.00016733-0.0012818i,-0.00049054+0.00038405i,-0.0015443+0.00099112i,0.00021343-0.00036245i,-0.0016856+0.00018852i,-0.00049291+2.5692e-05i,0.0028122+0.00073478i,0.0012976+0.00054265i,-0.00032053-0.00060842i,-0.00033317+0.0010071i,0.0013501+0.0028752i,-0.0058991-0.0086625i,-0.00049585+0.0025907i,-0.0019779+0.00074826i,-0.00048262-0.00077407i,0.00094992-0.00078384i,-0.00092771-0.00083943i,-0.0019555-0.0014792i,-0.0017076+0.0029053i,-0.00094131-0.0033609i,-0.0075834+0.024801i,-0.039458-0.015964i,-0.022847+0.018402i,-0.033585-0.031956i,-0.067791-0.0076971i,-0.019992-0.0080794i,-0.011933+0.034022i,-0.0099449+0.0070781i,-0.028113-0.010299i,-0.031516-0.0088829i,-0.030993+0.024087i,-0.0027986+0.0031815i,0.011672+0.025028i,0.011919-0.0031229i,-0.0044564+0.0012901i,-0.01964+0.015051i,0.0018098+0.0077428i,-0.00020291+0.0074269i,0.002697-0.0049142i,0.00818+0.0048929i,-0.0010683+0.0063808i,0.00057478+0.0036095i,0.0011887-0.0072322i,0.0018643+0.002482i,0.0026667+0.00036108i,-0.0030992+0.0038104i,-0.0024566-0.0021642i,0.006175-0.0027885i,0.0081879+0.0065499i,0.00043455-0.00016703i,-0.014697-0.025002i,0.0095209-0.0086301i,0.0022869-0.0054334i,0.0051055+0.0024008i,3.6967e-05-0.00047433i,0.0082271-0.013959i,0.0069925+0.00063072i,-0.0039223+0.0039009i,0.0019043+0.0042991i,0.0076082-0.0040037i,0.0033677-0.010901i,-0.00087608-0.0022776i,0.0058412-0.0060488i,0.0010584-0.0022919i,0.0028751-0.010746i,-0.038229+0.011251i,-0.026685-0.0028986i,-0.0063693-0.01408i,-0.0028706+0.0001331i,-0.0080582+0.028131i,-0.010232+0.0057242i,-0.0013517+0.0096228i
-0.010408+0.049123i,-0.0065898+0.021011i,-0.0060312+0.025775i,-0.0082441+0.024656i,0.0081561+0.010425i,0.0051718+0.0026439i,0.0021075+0.034571i,0.017405+0.013244i,0.010383+0.0039743i,-0.0028473+0.0029056i,0.0039726-0.0024732i,0.0023908+0.0017272i,-4.7589e-05-0.0035218i,0.0040045+0.0018284i,0.0018614+0.0011972i,0.0026652+0.0053908i,0.0068967+0.0088048i,-0.00095529+0.00078313i,-0.0014874-0.0053682i,-0.0018772-0.0015996i,-0.0025201-0.0012898i,-0.00062623-0.0034052i,-0.0018131-0.002069i,-0.009856+0.0052182i,-0.0015665-0.00099813i,-0.00091707+0.00025909i,-0.0012496+0.0012447i,-0.0002237-0.0011663i,-0.0013119+0.0006345i,-0.0003278-0.00010725i,0.0025891-0.00027213i,0.0013273-0.00040901i,-0.0005505-0.00025941i,-0.00012878+0.0010515i,0.0015614+0.0023939i,-0.0089272-0.0073321i,8.6519e-05+0.0023214i,-0.0013305+0.001396i,-0.0014817+0.00023673i,0.00061528-0.00026326i,-0.00095356-0.00045673i,-0.0022268-0.00066202i,-0.00066322+0.0027801i,-0.0019714-0.0010258i,-0.0032904+0.026369i,-0.034297-0.0069406i,-0.019343+0.016649i,-0.039171-0.021494i,-0.065091+0.011352i,-0.023389-0.010728i,-0.0052315+0.028001i,-0.0073945+0.0028253i,-0.027801-0.0074656i,-0.032037-0.0055447i,-0.022603+0.029333i,-0.0032898+0.0035091i,0.018689+0.011555i,0.0096835-0.0072538i,-0.0054489+0.0052236i,-0.012247+0.022489i,0.0044825+0.0065932i,0.0038639+0.0056945i,-0.0001977-0.0016665i,0.0099983+0.0012557i,0.0015011+0.0074888i,0.001913+0.0046111i,-0.0039321-0.0091715i,0.001097+0.0054547i,0.0025948+0.0019609i,-0.00065518+0.0071256i,-0.0015636-0.00052551i,0.0045564-0.0037713i,0.0097899+0.001425i,0.00086664-0.00091975i,-0.022892-0.023015i,0.0051151-0.010118i,-0.00013678-0.0054565i,0.0052831-0.00033361i,0.00012836+0.0006506i,0.0054403-0.013378i,0.0068146-0.0027i,-0.00092275+0.0049897i,0.0035303+0.0022016i,0.0062071-0.006024i,-0.0036426-0.010215i,-0.0012939-0.0024842i,0.0021752-0.0055218i,0.00047794-0.0029002i,-0.0025089-0.010263i,-0.034016+0.013687i,-0.025024+0.01061i,-0.011018-0.014086i,-0.0042757-0.0011629i,-0.0038094+0.02799i,-0.0095585+0.01065i,0.00232+0.0084172i
-0.0023432+0.049146i,-0.003923+0.022256i,-0.0042903+0.028081i,-0.004751+0.023636i,0.0076079+0.008381i,0.0052726+0.0013902i,0.0087812+0.031179i,0.017903+0.0092069i,0.010805+0.0019756i,-0.0020974+0.0030643i,0.0027173-0.0017746i,0.0045045+0.0019823i,-0.0011298-0.0030273i,0.0041869-0.00037053i,0.0018657+0.00082857i,0.0048279+0.0047985i,0.0097644+0.0052277i,-0.0005636+0.0010799i,-0.0027724-0.0045485i,-0.0023126-0.00072349i,-0.0021282-0.00036433i,-0.0015611-0.0032432i,-0.0021755-0.0014482i,-0.0086743+0.0076908i,-0.0022207-9.9182e-05i,-0.0012385+0.00075508i,-0.00086949+0.0014383i,-0.0013732-0.00146i,-0.0010471+0.00062018i,-0.00047156-0.00025362i,0.0021131-0.0010767i,0.0012024-0.000642i,-0.00025936-0.00011249i,0.00021596+0.00099991i,0.0021616+0.0013607i,-0.011569-0.0050437i,0.00074273+0.0022157i,-0.00080195+0.0014869i,-0.001631+0.00098871i,0.00062258+5.5401e-06i,-0.00084277-0.00013836i,-0.0018114-0.00020511i,-5.5135e-05+0.002288i,-0.0016843+0.00024796i,0.0020953+0.026177i,-0.030587-0.0045816i,-0.01683+0.016079i,-0.039471-0.011772i,-0.055073+0.026686i,-0.026746-0.0080267i,-0.00088613+0.02325i,-0.0074261-0.0011869i,-0.026632-0.0055156i,-0.031487-0.00046985i,-0.014652+0.032224i,-0.0022357+0.0038374i,0.013324-0.001139i,0.0054331-0.010692i,-0.0039042+0.0085732i,-0.0035208+0.023623i,0.0053054+0.0040803i,0.005244+0.0017462i,0.00082652+0.0001873i,0.0093419-0.001977i,0.0061975+0.0068012i,0.0035769+0.0056275i,-0.0083651-0.0036363i,0.0035612+0.0070361i,0.0040262+0.0026845i,0.0033372+0.007115i,-0.0010901-2.2408e-05i,0.0034578-0.0045714i,0.0092736-0.0048751i,-0.00096659-0.0012196i,-0.031587-0.014154i,0.0015762-0.0099367i,-0.0021243-0.004007i,0.005494-0.00047492i,0.00078044+0.00077739i,0.0037791-0.015385i,0.0051704-0.005363i,0.0014332+0.0039823i,0.00383+0.0011701i,0.0046673-0.0068673i,-0.0072538-0.0060876i,-0.0026075-0.0022882i,-0.00060152-0.0051482i,-0.0014008-0.0034719i,-0.005894-0.00759i,-0.028975+0.016323i,-0.018402+0.011474i,-0.011794-0.012789i,-0.0055766-0.001249i,0.0015088+0.026072i,-0.0077216+0.012417i,0.0028222+0.005551i
0.0052645+0.047832i,-0.00028623+0.023424i,-0.0003943+0.030621i,-0.0017462+0.023251i,0.0069097+0.0074377i,0.004963+0.00040843i,0.014136+0.026764i,0.01803+0.0059102i,0.01112-0.00046836i,-0.0013883+0.0032322i,0.0029033-0.0011116i,0.0064668-0.00021875i,-0.0019864-0.0021104i,0.0026238-0.001377i,0.0019667+0.00065372i,0.0065843+0.0030198i,0.010623+0.0014344i,6.5814e-05+0.00091269i,-0.0037904-0.003538i,-0.0020994+0.00042407i,-0.0015006+6.0668e-05i,-0.0022964-0.0023385i,-0.0023856-0.00084136i,-0.0051977+0.0097124i,-0.0022972+0.00096349i,-0.00092983+0.001434i,-0.00054471+0.0017558i,-0.0025668-0.00089191i,-0.00090924+0.0006729i,-0.00060136-0.00021904i,0.0013013-0.0016458i,0.0013665-0.0016284i,-0.00043656-0.00015437i,0.00031668+0.00085622i,0.0019138+0.00028066i,-0.013303-0.0011978i,0.0012771+0.0017665i,-0.00041149+0.0017464i,-0.0017492+0.0013813i,0.00098144+0.00024738i,-0.00044664-2.1044e-05i,-0.0014879-1.592e-05i,0.00016152+0.0017566i,-0.0010532+0.0011954i,0.0064559+0.024481i,-0.031064-0.002982i,-0.015184+0.015177i,-0.039183-0.0033283i,-0.041548+0.034972i,-0.029832-0.0046497i,0.0030344+0.017919i,-0.0080902-0.0028103i,-0.026236-0.0040509i,-0.02928+0.0051352i,-0.0061089+0.033874i,-0.0012455+0.0037902i,0.0061086-0.0029477i,0.00049429-0.011848i,9.7574e-05+0.011594i,0.0042507+0.020927i,0.0047458+0.0018887i,0.0040745-0.0019636i,0.00052821+0.00065291i,0.0074958-0.005413i,0.0096009+0.0034351i,0.0060972+0.0052324i,-0.0081093+0.00053782i,0.0064568+0.0074669i,0.0057254+0.0024662i,0.0077839+0.0052756i,-0.00059219+0.00067622i,0.0028894-0.0054259i,0.0051652-0.0085266i,-0.0012837+0.0010478i,-0.035545-0.0014093i,-0.00085209-0.0092532i,-0.002904-0.0020022i,0.0061058-0.0016543i,0.0010745+0.0004882i,-0.00063787-0.018204i,0.0025297-0.0066278i,0.0030613+0.003249i,0.0041911-0.0001329i,0.0042268-0.0077293i,-0.0092756-0.002974i,-0.0039118-0.00042474i,-0.0031956-0.0038011i,-0.0027744-0.0031142i,-0.0073495-0.0047786i,-0.024562+0.016945i,-0.01698+0.011691i,-0.012967-0.013659i,-0.0068997-0.00058896i,0.0039195+0.024752i,-0.0066145+0.013256i,0.0029186+0.0039359i
0.012806+0.045513i,0.0045115+0.023593i,0.0056692+0.031575i,0.0014352+0.022581i,0.0072055+0.0075052i,0.0047598-0.00017825i,0.017973+0.02125i,0.018068+0.0027288i,0.010613-0.0032264i,-0.00089368+0.0033084i,0.0032782-0.0017126i,0.0058122-0.0034953i,-0.0023466-0.0010194i,0.0018677-0.0013858i,0.0021511+0.00037733i,0.0069483+0.00059164i,0.0098347-0.0022087i,-6.6974e-05+0.00049374i,-0.0048068-0.0020708i,-0.0012509+0.00096703i,-0.0007519-0.00012239i,-0.0023646-0.0015026i,-0.0024055-0.00013256i,-0.0014083+0.0098227i,-0.0018557+0.0017803i,-0.00031875+0.0017145i,0.00020739+0.0017449i,-0.0030618+0.00038142i,-0.00064189+0.00056477i,-0.00069099-0.00012789i,0.00044065-0.0017981i,0.0001786-0.0023648i,-0.00067226+0.00010097i,0.00037184+0.00073711i,0.0013442-0.00030166i,-0.012952+0.0032551i,0.0014167+0.0011679i,0.00031452+0.0017714i,-0.0014631+0.0018782i,0.0013514+0.00011938i,-0.00031391-0.0001952i,-0.00098638+3.1893e-05i,8.0263e-05+0.0014211i,-0.0002336+0.0016107i,0.0097111+0.022776i,-0.033582+0.0020035i,-0.013979+0.014607i,-0.034493+0.0052002i,-0.028749+0.039358i,-0.032097+0.0026361i,0.0053988+0.011414i,-0.006212-0.0051031i,-0.025337-0.0012478i,-0.025101+0.010514i,0.0022541+0.033288i,-0.0008435+0.0030679i,0.0023731-0.0030382i,-0.0049486-0.011444i,0.0062225+0.010947i,0.0081076+0.015832i,0.0026063+0.00049645i,0.002282-0.0045998i,0.0015956+0.0033994i,0.003625-0.0074047i,0.010693-0.0022065i,0.0083207+0.0032506i,-0.0073519+0.0042871i,0.010822+0.0064508i,0.0078794+0.00015258i,0.010161+0.00034536i,0.00034133+0.0011545i,0.0013836-0.006144i,-0.00054589-0.009027i,0.00059515+0.0027461i,-0.034395+0.012398i,-0.0029575-0.0085145i,-0.002515-0.00012818i,0.0060834-0.0056919i,0.0014437+0.00082471i,-0.0078451-0.017914i,-0.00022191-0.0061226i,0.0042914+0.0015679i,0.0040387-0.00097445i,0.0023665-0.009109i,-0.0099502+0.002518i,-0.0033935+0.0019776i,-0.004696-0.0017165i,-0.0044293-0.0029117i,-0.0074611-0.0021679i,-0.022691+0.017484i,-0.016307+0.016345i,-0.015898-0.01591i,-0.0057814+0.00099732i,0.0080738+0.023819i,-0.0059702+0.015253i,0.0037776+0.0012626i
0.019768+0.041852i,0.0093395+0.022085i,0.012057+0.029555i,0.0046147+0.021419i,0.0083292+0.0072623i,0.0049042-0.00066074i,0.019925+0.01573i,0.017608-0.00048355i,0.0095807-0.0053831i,-0.00049935+0.0037615i,0.0029597-0.0022982i,0.0033578-0.0051326i,-0.0024146-0.00014472i,0.0011214-0.0012546i,0.0022144+1.4651e-05i,0.0058933-0.0012677i,0.0077681-0.0046787i,-0.00016468+0.00052355i,-0.0048077-0.0002852i,-0.00050482+0.0009324i,-0.00014699-0.00063897i,-0.0022854-0.0011519i,-0.0020934+0.00048929i,0.0015401+0.0091348i,-0.0011667+0.0021674i,0.0002378+0.0018114i,0.00078743+0.0012445i,-0.0026693+0.0017317i,-0.00063967+0.00030614i,-0.00097608+2.2907e-05i,-0.00032236-0.0015728i,-0.0011479-0.0021622i,-0.00054362+0.00041541i,0.00057369+0.00067058i,0.00072256-0.00057209i,-0.010889+0.0067518i,0.0014885+0.00063194i,0.00075831+0.0012861i,-0.00067688+0.0025451i,0.0014824-0.00048069i,-0.00032749-0.00027769i,-0.00070194-0.00038375i,-6.7768e-05+0.0013672i,0.00053915+0.0015896i,0.013138+0.021295i,-0.032515+0.010391i,-0.014147+0.014346i,-0.028373+0.008999i,-0.015792+0.040673i,-0.029839+0.011829i,0.0043039+0.0048301i,-0.0066878-0.010558i,-0.022129+0.00083398i,-0.017892+0.015113i,0.011504+0.029529i,-0.00093594+0.0029176i,-0.0015491-0.0021382i,-0.0094294-0.008378i,0.010204+0.0065512i,0.0099384+0.012631i,-0.00051638+0.0014024i,-0.00037645-0.0071452i,0.0054789+0.0022852i,-0.00044848-0.0068444i,0.0076964-0.0062198i,0.0095007-3.6494e-05i,-0.0059241+0.0069289i,0.014223+0.00085631i,0.0078156-0.0045428i,0.0090553-0.0049986i,0.0016055+0.00094704i,-0.00055905-0.0063914i,-0.0044262-0.0056455i,0.0029471+0.0017421i,-0.026512+0.026705i,-0.005053-0.0070367i,-0.001231+0.00096254i,0.0018712-0.0074475i,0.0024349+0.00051728i,-0.014638-0.013779i,-0.0014824-0.0043728i,0.0043266-0.00078112i,0.0035501-0.0018474i,-0.00051101-0.0091316i,-0.0063135+0.007191i,-0.0016469+0.0034615i,-0.0052727+0.0019888i,-0.0067909-0.0017706i,-0.0071347-0.00075919i,-0.019298+0.021431i,-0.0080322+0.020896i,-0.022201-0.01558i,-0.0037307-0.00010309i,0.011034+0.02119i,-0.0035417+0.018058i,0.0027194-0.0023949i
