-0.025679-0.0043851i,-0.022055-0.0070995i,-0.012249-0.012662i,-0.035097-0.0071312i,-0.027151+0.0016592i,-0.036036-0.0032361i,-0.066619-0.040512i,-0.032946-0.015646i,-0.022425+0.0032204i,0.0064336+0.0063028i,-0.0051215+0.007371i,-0.0079472+0.018054i,0.006112+0.0080112i,-0.0011489+0.003204i,0.0042191+0.0037989i,0.0037128+0.025903i,0.021697+0.019944i,0.0013296-0.00060289i,0.00076831-0.0046904i,0.0088393-9.2072e-06i,0.0052892-0.000448i,0.0023202+0.0015695i,0.0014113-0.00082778i,-0.024515-0.0018675i,-0.0047872-0.0041695i,-0.00051182+0.0028499i,0.0045367-0.0040735i,-0.0018219-0.00039609i,-0.00043385+0.0011735i,-0.0020911-0.0013845i,-0.0036945-0.00017158i,-0.0072491-0.0086829i,-0.0052262-0.0071259i,-0.00052683+0.00031136i,-0.00036054-0.0022496i,7.5708e-05+0.021896i,0.0022983-0.0040985i,0.00058253-0.0042285i,0.0028455-0.0020848i,-0.0029728-0.0029336i,0.00074124-5.6293e-06i,0.0080064-0.0021458i,0.0030346-0.0019666i,-4.8846e-05+0.0027698i,-0.014367+0.015371i,-0.02666+0.052873i,-0.0060409-0.037571i,-0.014174-0.018291i,-0.039697-0.016832i,-0.027785-0.012782i,0.036428-0.011725i,0.0059709-0.030496i,0.012973-0.038387i,-0.0083062-0.030511i,0.025941-0.023298i,0.013117+0.0072246i,0.028233-0.03569i,-0.0016642-0.0042751i,0.0058942-0.0087563i,-0.0013814-0.0060159i,0.00032098-0.035929i,-0.014415+0.02843i,0.0088301-0.011295i,-0.0084761-0.0045552i,-0.0024163-0.0022239i,0.00025594-0.01568i,-0.0081282+0.005903i,0.004537+0.006867i,-0.0017673+0.02849i,0.0023777+0.00037578i,-0.0071144-0.0044421i,-0.0039088-0.0062847i,-0.014747-0.0094349i,-0.0018843-0.0064949i,-0.034768+0.0055861i,-0.0048603-0.0087201i,-0.013044-0.0010774i,-0.01035-0.0057751i,0.0016096-0.0015029i,-0.013557+0.0020956i,-0.0015256-0.00020644i,0.0054731+0.0060031i,0.003736-0.0051179i,-0.013885-0.013679i,0.0072567+0.0087105i,-0.016178+0.0052419i,0.0049075+0.00033332i,-0.019209-0.0031212i,-0.015856-0.00436i,-0.015433-0.035603i,0.020741-0.010255i,-0.038523-0.023841i,-0.0091105+0.0043677i,0.018108+0.014667i,-0.022236+0.017117i,-0.0035074-0.0037601i
0.0045394+0.013922i,-0.0030702+0.015895i,-0.0019127+0.025892i,0.0021202+0.024773i,0.00040248+0.028999i,0.010762+0.02288i,-0.010119+0.025667i,-0.0053754+0.021606i,0.011712+0.0050444i,0.0018261-0.005352i,0.0017338-0.00010419i,0.0057681-0.0026422i,0.00058386-0.0016943i,0.00032787-0.0034763i,6.6065e-05-0.0018484i,0.0061402-0.006675i,-0.0036782-0.0042327i,-0.0014997+0.0023155i,-0.00020913+0.00010862i,-0.00024622+0.0021043i,-0.0028748+0.00016494i,-3.4462e-05+7.9325e-05i,0.001327+0.00026466i,-0.0077843-0.0043839i,-0.00064038-0.0007712i,-0.0024929+0.00062443i,-0.004259+1.2523e-05i,-0.0018196+0.00026818i,-0.0019755+0.00033633i,-0.00044875-0.00038538i,-0.0032983+0.00035017i,0.0012863-0.0023602i,0.0007415-0.0029479i,-0.00041383-0.0011739i,-0.0016023+0.00047249i,-0.00092378-0.0046427i,-0.0022828+0.0014498i,0.0020126-0.00026874i,-0.00045979+0.0023079i,0.0024673+0.0061016i,7.9981e-05+0.00085885i,-0.0015576+0.00039934i,-0.0012129-0.0017045i,0.0028763+0.003825i,0.014734+0.0072765i,0.043414-0.053514i,-0.026192+0.0060126i,0.019378-0.026044i,-0.022423-0.033912i,-0.012593+0.0028415i,-0.034678+0.0335i,-0.020181+0.0039832i,-0.015932+0.0080593i,-0.0025982-0.01755i,-0.040716-0.021691i,-0.0086057+0.0019846i,-0.029164+0.011291i,0.0020316+0.015025i,0.00056919+0.0054996i,-0.004767-0.0057162i,0.00014933+0.001589i,-0.013686-0.0046783i,0.005398+0.012731i,-0.0011874+0.007749i,-0.001923+0.0041495i,0.00061572+0.0059643i,0.0021823+0.0026683i,-0.0020605+0.018577i,0.0035426+0.01507i,0.0045948-0.0057543i,0.01132-0.0048078i,0.0087202+0.0028921i,-0.0044703-0.0061983i,-0.00039253-0.0019399i,0.019166-0.032378i,0.0090619+0.0042324i,0.0078844-0.001568i,0.0023836-0.0008325i,0.0057879-0.0086985i,0.021975-6.3378e-05i,0.0057728-0.0035068i,0.0015336-0.0070646i,0.0048611-0.0034364i,0.017435+0.0030818i,0.0068553+0.0033276i,0.003636-0.0033751i,0.0088979+0.009315i,-0.0021592+0.0054982i,0.0084279+0.0096567i,-0.013728-0.014903i,-0.0086821+0.0021443i,-0.0086551-0.013845i,-0.0075699-0.005391i,-0.039404+0.0064821i,-0.00614+0.0038595i,-0.011952+0.00015376i
0.0068869+0.012776i,-0.0010084+0.01366i,0.0043857+0.021572i,0.0059968+0.022392i,0.0044973+0.027128i,0.01405+0.020615i,-0.0068656+0.026738i,-0.0011398+0.021611i,0.0116+0.0011432i,9.2831e-05-0.0053328i,0.0019768+0.00045393i,0.0045633-0.0049763i,5.2486e-05-0.0023607i,0.00037258-0.0031878i,-0.00059097-0.001666i,0.0023888-0.006443i,-0.005652-0.0019828i,-0.00051091+0.002584i,0.0007835+0.00024965i,0.0011361+0.0017345i,-0.002003+0.0017212i,0.00050613+0.00051519i,0.001564-0.00028722i,-0.0077011-0.0019295i,-0.00066184-0.00038281i,-0.0020691+0.0016376i,-0.0032847+0.002135i,-0.0013157+0.00080088i,-0.0016115+0.0008476i,-0.00022223-3.3088e-05i,-0.0027881+0.0017797i,-0.0002944-0.0019977i,-0.0010299-0.0028916i,-0.0014957-0.00092973i,-0.0022403+0.00096522i,-0.00022663-0.003673i,-0.0012957+0.0021379i,0.0010243-0.0010697i,7.873e-05+0.0025581i,0.0040053+0.0039674i,0.00051693+0.00082289i,-0.0016975+0.00075346i,-0.0018038-0.0013805i,0.0039065+0.0030491i,0.015627+0.0029176i,0.023309-0.062917i,-0.020149+0.013609i,0.0094236-0.034542i,-0.034038-0.026082i,-0.0098361+0.0061088i,-0.023206+0.040058i,-0.016968+0.010095i,-0.005047+0.002493i,-0.0049589-0.01594i,-0.045766-0.0059834i,-0.0084448+0.0026578i,-0.024638+0.022989i,0.0060177+0.010832i,0.0014205+0.003838i,-0.0099953-0.0069599i,-0.0030173+0.0045415i,-0.013696+0.0036872i,0.010213+0.0091732i,0.0010095+0.0098729i,-0.00021841+0.0042233i,0.0030064+0.0069147i,0.0036647+0.0027384i,0.0058746+0.015084i,0.0085944+0.0087029i,-0.002087-0.0078334i,0.0057889-0.0062551i,0.0079284+0.0013123i,-0.0067569+0.00047758i,-0.00076435+0.00060094i,0.0046837-0.032587i,0.01074+0.0015927i,0.0079283-0.0046021i,0.0038361-0.0021131i,0.0013441-0.0059478i,0.020367-0.0095261i,0.0030821-0.0050089i,-0.0018649-0.0060595i,0.0010073-0.0030725i,0.015145-0.0033656i,0.0079945+0.0019926i,0.0028241-0.0022038i,0.011716+0.0058585i,-0.00025337+0.0060571i,0.0097596+0.0052241i,-0.019512-0.012834i,-0.004213-0.011851i,-0.0077116-0.011641i,-0.007958-0.0042481i,-0.033758+0.020293i,-0.0041492+0.0050743i,-0.010384+0.0020649i
0.009822+0.01103i,0.00043085+0.012215i,0.0073848+0.016087i,0.0089015+0.019786i,0.0093158+0.025466i,0.017259+0.017675i,-0.002584+0.02766i,0.0030482+0.020528i,0.010058-0.0017399i,-0.0015668-0.0046575i,0.0030451+0.00033519i,0.0010168-0.0056222i,-0.00072962-0.0024107i,-0.00030278-0.0031715i,-0.0010363-0.0013174i,-0.00080555-0.0044893i,-0.0059748+0.00090318i,0.00063952+0.0025034i,0.0012988-0.00075532i,0.002248+0.00058907i,-0.00067919+0.0021667i,0.0013158+0.00017701i,0.0014707-0.00091569i,-0.0077962-0.0005009i,-0.00061553+2.6666e-05i,-0.00084397+0.0026175i,-0.001526+0.0027513i,-0.00054533+0.0012186i,-0.0009827+0.0012624i,-0.00018861-0.00015598i,-0.0017357+0.0026993i,-0.001127-0.0011474i,-0.0021966-0.0016218i,-0.0021205-0.00013282i,-0.0017768+0.0021724i,0.0006468-0.0040131i,-0.00050202+0.0020432i,8.7042e-05-0.0013405i,0.0016475+0.0021252i,0.0043524+0.0021421i,0.00094941+0.00063766i,-0.0006754+0.001558i,-0.002373-0.00096762i,0.0042808+0.0011561i,0.015204-0.00099494i,0.0017861-0.062725i,-0.010014+0.016831i,-0.0025153-0.037031i,-0.037736-0.017025i,-0.0043217+0.007254i,-0.0085362+0.041245i,-0.0059474+0.011613i,-0.0052596-0.0046154i,-0.0063263-0.01466i,-0.042745+0.0087095i,-0.0075628+0.0043663i,-0.01272+0.030705i,0.007578+0.0066491i,-0.00037125+0.0013675i,-0.017883-0.0028212i,-0.0018987+0.0064653i,-0.0089149+0.0084806i,0.012042+0.0028402i,0.0045546+0.0098371i,-0.0011039+0.0048868i,0.0045469+0.0049137i,0.0050704+0.00066805i,0.0082724+0.0088507i,0.0082329+0.0032463i,-0.007164-0.0027173i,0.0037704-0.0057806i,0.0091636-4.8945e-05i,-0.0021943+0.007496i,0.0019617+0.0019735i,-0.0052844-0.027811i,0.011792-0.003315i,0.0052107-0.0070682i,0.002471-0.0039406i,0.00090468-0.0044113i,0.013336-0.016298i,-3.8954e-05-0.0020997i,-0.0042679-0.0035667i,-0.00030995+7.8264e-05i,0.01061-0.007052i,0.010493-0.0021064i,0.0033556-0.003238i,0.014341+0.00025606i,0.0031199+0.0052971i,0.0093859+0.0017015i,-0.022964-0.0053823i,-0.014995-0.020618i,-0.0062997-0.013858i,-0.0072135-0.0043871i,-0.023346+0.026521i,-0.0041319+0.00023319i,-0.0085708-0.0013979i
0.012539+0.007793i,0.0024669+0.011453i,0.008061+0.011106i,0.011435+0.017475i,0.013673+0.021747i,0.020059+0.013855i,0.0028079+0.027573i,0.0068549+0.018273i,0.0083965-0.0030519i,-0.0028352-0.0034642i,0.0035965-0.0012068i,-0.0012934-0.0038494i,-0.0015661-0.002264i,-0.0013445-0.0024954i,-0.0016064-0.00098526i,-0.0018846-0.0013571i,-0.0044175+0.0035912i,0.001535+0.0018435i,0.0010515-0.0011125i,0.0021316-0.0010642i,0.00040206+0.0019654i,0.0018233-0.00058574i,0.0011139-0.0015813i,-0.0078432+0.001581i,-0.00033568+6.3841e-05i,0.00097556+0.0018449i,4.3656e-05+0.0025248i,0.00021212+0.00092421i,-0.00014784+0.0015628i,-0.00018148+8.6016e-05i,-0.00054688+0.0029068i,-0.0015369-0.0005422i,-0.0028014-0.00028658i,-0.0020817+0.0010336i,-0.00068739+0.0025672i,0.00040942-0.005858i,0.00051342+0.0020313i,-0.0007112-0.00092756i,0.0021722+0.00069473i,0.0043092+0.00066991i,0.0014244-4.1081e-06i,0.00031854+0.0012614i,-0.0026549-0.00021944i,0.002732-0.0013544i,0.014091-0.0041966i,-0.015619-0.05138i,-0.0014934+0.013917i,-0.013594-0.034655i,-0.041403-0.0080297i,0.00075912+0.0049608i,0.003717+0.036467i,0.0020968+0.0045974i,-0.0061156-0.0054317i,-0.0060681-0.011783i,-0.035951+0.019107i,-0.0062393+0.005884i,0.00016226+0.030439i,0.00804+0.0029775i,-0.0035311+0.0023187i,-0.020871+0.0076024i,-0.0013684+0.0088352i,-0.0043135+0.0088809i,0.0091527-0.0032429i,0.0080758+0.0083981i,0.0001972+0.0069332i,0.0041513+0.0045189i,0.0052838-0.0026947i,0.0069856+0.0037318i,0.0049791+0.00040482i,-0.0055007+0.0016517i,0.0019055-0.005547i,0.0087623-0.0027115i,0.005956+0.0074512i,0.0032892+0.00013126i,-0.010447-0.021812i,0.009023-0.0071889i,0.0024972-0.0081175i,0.0014216-0.0030633i,-4.5109e-05-0.004919i,0.0054997-0.01757i,0.0024511-0.00082906i,-0.004677-0.00069004i,0.0021831+0.0017911i,0.0069371-0.0072329i,0.00833-0.0069999i,0.0014944-0.003722i,0.011372-0.0075211i,0.0040855+0.0016795i,0.0088789-0.002432i,-0.019091+0.003373i,-0.027154-0.018632i,-0.010565-0.018274i,-0.0076379-0.0056732i,-0.015028+0.027159i,-0.009088-0.00011852i,-0.011926-0.00042509i
0.013631+0.0040888i,0.0034109+0.0094714i,0.0068111+0.0074988i,0.013712+0.014797i,0.016606+0.017404i,0.021663+0.0095818i,0.0084427+0.0257i,0.0097369+0.015363i,0.0073352-0.0037975i,-0.0030378-0.0022596i,0.002587-0.0023971i,-0.0019658-0.0021427i,-0.0022925-0.0018909i,-0.0015492-0.0016551i,-0.0018976-0.00029363i,-0.0011551+0.0010152i,-0.0020471+0.0049801i,0.0018443+0.0010738i,0.0010474-0.0012564i,0.0011582-0.0020697i,0.00092623+0.0014625i,0.0015679-0.0014214i,0.00030786-0.0018691i,-0.0062118+0.0032806i,-0.00037184-0.00022106i,0.0012164+0.00028222i,0.0013057+0.001468i,0.00059242+0.00047092i,0.00071281+0.0012275i,0.00032413+0.00015113i,0.000384+0.0027784i,-0.0015704+3.9602e-06i,-0.0027132+0.0012922i,-0.0015216+0.0019381i,0.00012702+0.002575i,-0.001456-0.0075581i,0.0010884+0.0013196i,-0.00085135-0.0001179i,0.0018499-0.00022008i,0.0037037-0.00019788i,0.0013078-0.00075631i,0.00057324+0.00064658i,-0.0024414+0.00049671i,0.00070717-0.00078097i,0.012603-0.006461i,-0.01965-0.037082i,0.0034021+0.0088966i,-0.022881-0.028183i,-0.042837+0.0038195i,0.0032716+0.00012373i,0.012633+0.028905i,0.0043545-0.0024652i,-0.0054903-0.0067002i,-0.0046908-0.01223i,-0.028792+0.026835i,-0.0043537+0.0065463i,0.012628+0.025443i,0.0075273-0.00010599i,-0.0047562+0.0057857i,-0.017392+0.016428i,0.0017483+0.010244i,-0.00059794+0.0096647i,0.0034551-0.0040347i,0.010502+0.0055721i,0.0028277+0.0075238i,0.0050253+0.0047381i,0.0039997-0.0052114i,0.0041889+0.0035949i,0.0022856+0.0013484i,-0.0041827+0.0035616i,0.00057477-0.0043222i,0.0073075-0.0051721i,0.0095928+0.0023246i,0.0032098-0.0017055i,-0.013705-0.019394i,0.0055056-0.0093336i,-0.0008277-0.0082699i,0.0023719-0.0028334i,-0.0016612-0.0040536i,2.4177e-05-0.01592i,0.0033692-0.0029107i,-0.0026166+0.0019364i,0.0046442+0.00018162i,0.0052525-0.0078577i,0.0039179-0.011001i,0.0011465-0.0036545i,0.0048835-0.010692i,0.0029778+0.00020106i,0.0051974-0.0062404i,-0.012692+0.0047782i,-0.037071-0.0079502i,-0.016855-0.018125i,-0.0087151-0.0064486i,-0.0093505+0.026652i,-0.012557+0.0037073i,-0.011408+0.0038378i
0.013698+0.0006718i,0.0037082+0.0085933i,0.0053404+0.0060735i,0.015633+0.011677i,0.018043+0.012991i,0.022717+0.005447i,0.013656+0.021994i,0.011663+0.012192i,0.0067824-0.0047958i,-0.0032951-0.00182i,0.001003-0.0027552i,-0.0021035-0.00069454i,-0.0031343-0.0011799i,-0.0014995-0.0013249i,-0.001983+0.00037809i,0.00030688+0.0020781i,0.00067205+0.0050789i,0.0019286+0.00051056i,0.00045104-0.0016037i,-4.8437e-06-0.0023094i,0.0016216+0.00097821i,0.001095-0.002067i,-0.00030303-0.0016615i,-0.0052318+0.0036568i,-0.00051945-9.5892e-05i,0.0005386-0.00061448i,0.0014757+0.00022135i,0.00086463-0.00011453i,0.0012216+0.00046913i,0.0005538-0.00039005i,0.0013037+0.0025059i,-0.0014715+0.00042374i,-0.0016565+0.0024466i,-0.00052373+0.0023083i,0.00077685+0.0024819i,-0.0042757-0.0082711i,0.0013108+0.00035324i,-0.00053917+0.00015073i,0.0015379-0.00076753i,0.0031559-0.00051723i,0.00087822-0.00097518i,0.00060054+0.0004732i,-0.0020788+0.00081197i,0.00019861+0.00065251i,0.011127-0.0078923i,-0.017271-0.030199i,0.0053094+0.004664i,-0.027703-0.017934i,-0.036994+0.017938i,0.00058369-0.0045543i,0.017098+0.020583i,0.0046636-0.0082385i,-0.005209-0.0073767i,-0.0059718-0.012559i,-0.0202+0.031391i,-0.0036224+0.0072555i,0.018953+0.012233i,0.0061285-0.0029932i,-0.0028329+0.0092497i,-0.0094696+0.022788i,0.0050159+0.0089381i,0.0044656+0.0075013i,0.001217-0.0016609i,0.012535+0.0010728i,0.0054235+0.0073833i,0.0063645+0.0038428i,-0.0009242-0.0078817i,0.004272+0.0051997i,0.0029026+0.0031591i,-0.0015929+0.0066383i,0.00085266-0.0037273i,0.005588-0.006228i,0.0099186-0.0030753i,0.0024789-0.0033625i,-0.019797-0.017111i,0.0017222-0.0098729i,-0.0042484-0.0069329i,0.0010641-0.003891i,-0.0022771-0.0022273i,-0.0026761-0.012592i,0.0019657-0.0046487i,-0.00031202+0.002052i,0.0046541-0.003611i,0.0023827-0.0089674i,-0.0029688-0.010964i,0.0003533-0.0046478i,0.0003092-0.0089546i,0.0025266-0.0013252i,0.00012071-0.0058257i,-0.0094205+0.0045864i,-0.03436+0.0087244i,-0.022767-0.015373i,-0.010426-0.0062847i,-0.0049324+0.026267i,-0.011261+0.0093763i,-0.0064626+0.0048573i
0.013007-0.0025359i,0.004554+0.0082299i,0.0046105+0.0055787i,0.016864+0.0081057i,0.018585+0.0092596i,0.023125+0.00091078i,0.017503+0.016988i,0.012705+0.0091304i,0.0060472-0.005737i,-0.0038203-0.00091609i,-0.00026537-0.0021076i,-0.0010552+0.00052315i,-0.0036485-8.0737e-05i,-0.0019202-0.0014341i,-0.0019235+0.0010513i,0.00151+0.0023351i,0.002657+0.0039094i,0.0018515+6.1563e-05i,0.0001819-0.001605i,-0.0009206-0.0017957i,0.0020082+0.00024826i,0.00032198-0.0024441i,-0.00070976-0.0013023i,-0.0047405+0.0050071i,-0.00053506-0.00017701i,-0.00026524-0.00077925i,0.0012131-0.00073705i,0.00062606-0.00086444i,0.0011922-0.00048232i,0.0001814-0.0010074i,0.0021662+0.0017937i,-0.0010869+0.0012645i,4.3795e-05+0.0025916i,0.00046849+0.0021595i,0.0015238+0.0018578i,-0.0076765-0.0077179i,0.0011571-0.00032725i,-0.00042425-4.2724e-05i,0.001014-0.001388i,0.0028365-0.0008162i,0.00055537-0.0010426i,0.00096406+0.0001738i,-0.001911+0.00091188i,0.00055079+0.0011132i,0.010174-0.0097397i,-0.017348-0.029236i,0.0062578+0.001514i,-0.026234-0.0087531i,-0.025628+0.027537i,-0.0019473-0.0048714i,0.019738+0.013605i,0.0025011-0.013328i,-0.004866-0.0085262i,-0.0065279-0.01106i,-0.011643+0.034412i,-0.0012046+0.0072246i,0.01382+0.00040577i,0.0032131-0.0052494i,0.00051104+0.010584i,-0.00083921+0.023058i,0.006522+0.006316i,0.0062334+0.0031398i,0.0020607-0.00048487i,0.011902-0.0031482i,0.0097871+0.0054301i,0.0074735+0.0032592i,-0.0049763-0.0034604i,0.0063327+0.0052539i,0.0046825+0.0036748i,0.0024507+0.0065714i,-0.00014772-0.0042035i,0.0038998-0.0076076i,0.0078394-0.0091788i,-0.00027938-0.0037933i,-0.025694-0.0099826i,-0.0013493-0.0092283i,-0.0061852-0.0036049i,0.00095284-0.0022134i,-0.0022358-0.0011457i,-0.0038322-0.012334i,-0.000392-0.0056815i,0.00068014+0.00071036i,0.0019654-0.0050063i,-7.7698e-06-0.0085139i,-0.0068007-0.0065918i,-0.0019461-0.0052146i,-0.0033165-0.0073571i,0.00063404-0.001957i,-0.0019141-0.0030985i,-0.0060143+0.0046522i,-0.026544+0.010919i,-0.023391-0.010678i,-0.011741-0.0055305i,0.00035542+0.024027i,-0.0092262+0.011645i,-0.0048981+0.0033967i
0.011701-0.0052406i,0.0061676+0.00792i,0.0045134+0.0057941i,0.017246+0.0045977i,0.018528+0.0060162i,0.022352-0.0034955i,0.020103+0.011366i,0.013395+0.006458i,0.0052212-0.0068163i,-0.0039661+0.00019627i,-0.00047971-0.0010624i,3.5055e-05+0.00026011i,-0.0037713+0.0012741i,-0.0029672-0.00071388i,-0.0014873+0.0018204i,0.0027011+0.0016358i,0.0037612+0.0025048i,0.0019094-0.00028842i,-0.00010689-0.0016272i,-0.0012076-0.00093321i,0.0020686-0.00062812i,-0.0004271-0.0021789i,-0.00088369-0.00092179i,-0.0026436+0.0061821i,-0.00084483-0.00014304i,-0.00072883-0.00060419i,0.00035765-0.0014956i,-0.00010892-0.0013177i,0.00062753-0.0012985i,-0.00047896-0.0011737i,0.002479+0.00078918i,-0.00019213+0.0010344i,0.00083591+0.001811i,0.0011115+0.0016834i,0.0017539+0.0011318i,-0.010816-0.0052036i,0.00066026-0.00099038i,-0.00068219+4.2376e-05i,7.3643e-05-0.0019518i,0.002768-0.00097634i,0.00032193-0.0010939i,0.0010188-0.00019614i,-0.0018655+0.0010443i,0.00089147+0.0013736i,0.0084073-0.011994i,-0.021368-0.027944i,0.0058002-0.002172i,-0.024395-0.0022819i,-0.012705+0.02993i,-0.0045055-0.0047813i,0.02162+0.006195i,-0.00018881-0.015672i,-0.0051924-0.0092541i,-0.006023-0.0087582i,-0.0016301+0.034929i,0.0010441+0.0061836i,0.0078612-0.0014502i,-3.1765e-05-0.0058022i,0.0050382+0.011032i,0.0062953+0.019928i,0.0066236+0.0035037i,0.0055696-0.0011295i,0.0016237-3.707e-05i,0.0094884-0.0076921i,0.012466+0.00085235i,0.0087368+0.0016907i,-0.0050149-0.00032341i,0.0082871+0.0044094i,0.0067959+0.0032587i,0.0064278+0.0041859i,-0.0011402-0.0036797i,0.0020852-0.0088877i,0.0023589-0.01219i,-0.0013126-0.0017837i,-0.028226-0.00024992i,-0.0036125-0.0081447i,-0.0061603-0.00014355i,0.0015469-0.0018617i,-0.0022224-0.00048004i,-0.0073103-0.012429i,-0.0031117-0.0052411i,0.0013009+0.00023391i,-8.8936e-05-0.005022i,-0.00098946-0.0078566i,-0.0081748-0.003398i,-0.0044321-0.0034206i,-0.0061906-0.0046746i,-9.3038e-05-0.0020021i,-0.0018365-0.0015623i,-0.0030322+0.0038952i,-0.02485+0.012919i,-0.022823-0.0084079i,-0.013259-0.004372i,0.0024522+0.022426i,-0.007775+0.01252i,-0.0038654+0.002499i
0.010084-0.0072369i,0.008448+0.0065873i,0.005732+0.0058123i,0.016918+0.0012764i,0.01862+0.0033543i,0.0207-0.0074663i,0.020829+0.0048704i,0.013846+0.0037564i,0.0041143-0.0077845i,-0.0038269+0.0011654i,-0.00028121-0.0008013i,-6.4222e-05-0.00059531i,-0.0032576+0.0026763i,-0.0029999+0.00050438i,-0.00073237+0.0022625i,0.0030293+0.00031861i,0.0040219+0.00086493i,0.0016623-0.00088852i,-0.00059851-0.0013313i,-0.00095225-0.00036784i,0.001898-0.0014933i,-0.00076226-0.001846i,-0.00081826-0.00061695i,-0.00028372+0.006188i,-0.0011129+0.00012027i,-0.0012817-0.00030101i,-0.0010389-0.0017498i,-0.00099377-0.0012238i,-0.00031919-0.001782i,-0.0010995-0.00098453i,0.0023836-0.00010169i,-0.00024319+0.00089019i,0.0010264+0.0012858i,0.0015094+0.0010661i,0.001771+0.00052545i,-0.01234-0.0014063i,-0.00031588-0.0011824i,-0.00064697+0.0002545i,-0.001081-0.0019589i,0.0027509-0.0013713i,-1.0092e-06-0.0010435i,0.0009885-0.00056726i,-0.0018527+0.0013192i,0.0014139+0.0014614i,0.0056408-0.013253i,-0.026494-0.022176i,0.004481-0.0051331i,-0.018648+0.0037801i,-0.0017751+0.029686i,-0.0062902-0.0015623i,0.021369-0.0019495i,-0.00040804-0.018633i,-0.0047558-0.0091719i,-0.0038354-0.0061485i,0.0073432+0.032142i,0.0018118+0.0042171i,0.0043276-0.0024118i,-0.0036131-0.0050932i,0.010127+0.0081197i,0.010033+0.014938i,0.0048363+0.001555i,0.0035306-0.0047029i,0.0029399+0.0022508i,0.004765-0.010298i,0.012286-0.0054297i,0.0094169-0.00095199i,-0.004806+0.0024379i,0.011038+0.0025778i,0.0095402+0.00046702i,0.0074127-0.00064151i,-0.0015822-0.0030505i,-0.00091992-0.0091816i,-0.0043956-0.011546i,-0.00042851-0.0001106i,-0.027041+0.01014i,-0.005625-0.0070968i,-0.004509+0.0025655i,0.0020031-0.0045256i,-0.0017208+0.00078379i,-0.011699-0.0096901i,-0.0055184-0.0026396i,0.0014144-0.00089294i,-0.0017642-0.0043554i,-0.0029195-0.0074118i,-0.0081453+0.0011693i,-0.0048551-0.00042406i,-0.0077751-0.0012836i,-0.0014626-0.0028066i,-0.0012744-0.001153i,-0.00098645+0.0032466i,-0.023234+0.019869i,-0.023135-0.0088428i,-0.012556-0.0023641i,0.0065997+0.021392i,-0.0066841+0.014668i,-0.0023958+0.00026009i
0.0085035-0.008714i,0.01027+0.0043651i,0.007172+0.0045024i,0.015922-0.0018244i,0.018584+0.00065436i,0.018641-0.01059i,0.019327-0.00086442i,0.013782+0.001063i,0.002975-0.0085221i,-0.0036229+0.0022582i,-0.00047998-0.00071026i,-0.00088542-0.00063401i,-0.00226+0.003629i,-0.0025577+0.0015531i,-7.9899e-05+0.002333i,0.0021862-0.00069701i,0.0035225-0.00044578i,0.0013273-0.0011937i,-0.00059172-0.0010061i,-0.00052517-0.00011929i,0.0016024-0.0022564i,-0.00097003-0.0016284i,-0.00061204-0.00049859i,0.0016653+0.0057192i,-0.0011554+0.00039071i,-0.0016157+0.00041363i,-0.0023627-0.0010639i,-0.0015902-0.00069276i,-0.0014534-0.0016237i,-0.001723-0.00051283i,0.0020314-0.00078397i,-0.00012484+0.0011474i,0.0013429+0.00084833i,0.0017293+0.00039405i,0.0015737+3.3862e-05i,-0.012244+0.0024884i,-0.001126-0.0008424i,-0.00070723+0.00022256i,-0.0021395-0.0012835i,0.0025225-0.0020827i,-0.00012063-0.00084402i,0.00094932-0.00094697i,-0.0017773+0.0017982i,0.0018554+0.0012635i,0.0032842-0.013402i,-0.026608-0.013789i,0.0012353-0.0068618i,-0.012139+0.0047515i,0.0091321+0.026638i,-0.0051041+0.0026751i,0.017849-0.0089011i,-0.0034185-0.024147i,-0.0033321-0.0099864i,0.0010934-0.0046863i,0.015386+0.026115i,0.0017246+0.003127i,0.00075279-0.0020553i,-0.0059016-0.0024655i,0.012391+0.0022643i,0.01198+0.011171i,0.0022621+0.001841i,0.0001362-0.0074489i,0.0063356+0.00085157i,-0.0002616-0.0097632i,0.0081459-0.0096019i,0.0089079-0.0042332i,-0.0041007+0.0044441i,0.012473-0.0023891i,0.0092819-0.0049044i,0.0059749-0.0048301i,-0.0020545-0.0026678i,-0.0038423-0.0083987i,-0.0087595-0.0067541i,0.00093041-0.0004679i,-0.020882+0.020937i,-0.007889-0.0053194i,-0.0018945+0.0037649i,-0.0012337-0.0054002i,-0.00048618+0.001257i,-0.014844-0.0048951i,-0.0047188+0.00084847i,0.00025138-0.0021125i,-0.0033537-0.0029187i,-0.0046878-0.0055267i,-0.0055451+0.0043617i,-0.0035327+0.0017299i,-0.0074379+0.0030331i,-0.0041708-0.0024703i,-0.0016106-0.0012346i,0.0031262+0.0029371i,-0.012355+0.025218i,-0.027122-0.0072927i,-0.011462-0.002764i,0.0089566+0.018494i,-0.0037129+0.016809i,-0.0031034-0.0033124i
