-0.024692-0.0041921i,-0.022725+0.0021853i,-0.017342-0.0076503i,-0.029945-0.012379i,-0.028936+0.0041688i,-0.038436-0.0037263i,-0.061259-0.027578i,-0.032687-0.014108i,-0.030703-0.0025968i,0.0062215+0.0034221i,-0.0029313+0.0067396i,-0.005404+0.014125i,0.0059354+0.0086561i,-0.0013893+0.003967i,0.0048066+0.0043405i,0.0044766+0.025231i,0.022889+0.021752i,0.00080882-0.0010246i,0.00083451-0.0064405i,0.0063625-0.00060414i,0.0054772-0.0010539i,0.0032895+0.0021675i,0.00091857-0.00033124i,-0.025159-0.0013712i,-0.0056734-0.0045357i,-0.0015995+0.0033004i,0.00088537-0.0017976i,-0.00088853+0.00074832i,-0.0010904+0.00083696i,-0.0023208-0.0034079i,-0.0041657-0.0016856i,-0.006187-0.0063612i,-0.0022179+0.0006909i,-0.00059557-0.00018261i,0.0012685-0.0031868i,0.00062303+0.018711i,0.0013712-0.0025562i,0.00045919-0.0026749i,0.0038385-0.0024498i,-0.0017944-0.0035369i,0.00084158+0.00028582i,0.0071629+0.00050856i,0.0050122-0.0044793i,-0.0011249+0.0020931i,-0.013327+0.016736i,-0.029544+0.05726i,-0.0041266-0.037144i,-0.014601-0.017697i,-0.037119-0.016142i,-0.027383-0.011644i,0.032743-0.0098062i,0.0072652-0.031178i,0.01289-0.040784i,-0.012336-0.029532i,0.025087-0.023352i,0.013373+0.0069897i,0.030622-0.035686i,-0.0017013-0.0038042i,0.0060603-0.0078926i,0.00039608-0.0048969i,0.0016742-0.035969i,-0.012307+0.029739i,0.0081405-0.011471i,-0.0097792-0.0043959i,-0.00236-0.0022392i,0.00052964-0.014667i,-0.0078062+0.0056949i,0.0033936+0.0051147i,-0.0014985+0.027499i,0.0025619-0.00044987i,-0.0071993-0.0043854i,-0.0029269-0.0061754i,-0.013478-0.0096205i,-0.0027862-0.0060728i,-0.036864+0.0066903i,-0.0052751-0.0078766i,-0.013158-0.0017191i,-0.011445-0.008255i,0.0012079-0.0015128i,-0.014272+0.0025092i,-0.0016351-0.00020853i,0.0073727+0.0071946i,0.0032054-0.0049277i,-0.0087161-0.011015i,0.008281+0.0082144i,-0.017316+0.0041958i,0.0055652-0.00091342i,-0.019135-0.0018705i,-0.018407-0.0030955i,-0.01828-0.032383i,0.020676-0.009124i,-0.039228-0.022484i,-0.0084719+0.003717i,0.018295+0.015286i,-0.021519+0.017732i,-0.0042127-0.0038057i
0.0034471+0.01245i,0.0088092+0.015976i,0.0061055+0.022784i,-0.0062506+0.02079i,0.001916+0.031595i,0.014004+0.021047i,-0.007449+0.027948i,-0.0058809+0.021255i,0.012973+0.009913i,-0.0020107-0.0030651i,0.00087267-0.00017084i,0.0050021-0.0028439i,0.0022683-0.0011871i,0.0015042-0.0031682i,-0.00081694-0.0013395i,0.0068734-0.006837i,-0.0021521-0.0056895i,-0.0020468-0.00056598i,0.00064268+0.00050621i,0.00060107+0.0015974i,0.00019933-0.0014933i,-5.648e-08-0.00057824i,0.0020514+0.00026449i,-0.010089-0.0059887i,-0.00075666-0.00036106i,-0.0017394+0.00068874i,-0.0026664+0.00045425i,-0.0022129+0.0012936i,-0.0018021+0.00011831i,0.00083433-0.00094792i,-0.0030546+0.0018006i,0.00049717-0.0014581i,-0.0012741-0.00097213i,0.00074373-0.00093614i,-0.00069169+0.0014885i,-0.0010864-0.0037978i,-0.0015304+0.00097818i,0.0013136+0.00033559i,0.00053847+0.0058527i,0.0021174+0.0027814i,-0.00034557+0.00080711i,-0.00098117+0.00036729i,-0.0014219-0.0015314i,0.0032563+0.0074593i,0.01547+0.0047871i,0.042929-0.057505i,-0.02634+0.004812i,0.016583-0.026022i,-0.021755-0.033576i,-0.0099376+0.003254i,-0.028801+0.034375i,-0.021465+0.0051577i,-0.017299+0.0071011i,-0.0053401-0.016186i,-0.037442-0.020683i,-0.0087157+0.0023569i,-0.027893+0.012876i,0.0021375+0.011769i,8.0496e-05+0.0051641i,-0.0056342-0.003796i,-0.00019996+0.0022337i,-0.016105-0.0057017i,0.0057519+0.012289i,-0.00109+0.0075981i,-0.0013069+0.0038719i,0.0018265+0.0064129i,0.0019142+0.0032386i,-0.00098107+0.01904i,0.0032771+0.017413i,0.0056898-0.0054824i,0.012503-0.0051996i,0.0084252+0.002946i,-0.0023452-0.0071367i,0.00022001-0.0018452i,0.020135-0.031646i,0.0098665+0.0043242i,0.0092184+2.2292e-05i,0.0023942-0.00058916i,0.0059475-0.0083022i,0.02096-0.0011756i,0.0056516-0.0022986i,0.0013933-0.008129i,0.0046676-0.0033394i,0.017109+0.0022437i,0.0053771+0.0035012i,0.0033999-0.0041005i,0.0087211+0.0084414i,-0.0015366+0.0043385i,0.0096363+0.010174i,-0.012097-0.01299i,-0.0099035+0.00088303i,-0.0081569-0.01308i,-0.0087097-0.0039298i,-0.039242+0.0030778i,-0.0057235+0.0042566i,-0.011668-0.0014583i
0.0055817+0.011512i,0.010836+0.012989i,0.010666+0.018414i,-0.0029484+0.019805i,0.0065781+0.028663i,0.017077+0.017803i,-0.0036312+0.028543i,-0.0018502+0.021363i,0.013336+0.0045831i,-0.00093692-0.001401i,0.0012446+0.00038174i,0.0036602-0.0046182i,0.001637-0.002605i,0.0012806-0.002892i,-0.001296-0.00084454i,0.0029269-0.0066995i,-0.0050697-0.0040036i,-0.0010309+0.0018866i,0.0016677+0.00040251i,0.0013602+0.0010114i,-0.0040279+0.00079517i,0.00042803+0.00010298i,0.0024862-0.0005847i,-0.0098732-0.0018218i,-0.00029301+9.2852e-05i,-0.0014508+0.001397i,-0.0019327+0.001598i,-0.0012406+0.0016941i,-0.0015357+0.00013138i,0.00082185-0.0010287i,-0.0019288+0.0046834i,-0.00030103-0.00082728i,-0.0018643-0.00041936i,-0.0010743-0.0014826i,-0.0017426+0.0010165i,0.0002363-0.0026072i,-0.00056699+0.0014866i,0.0011285-0.00016706i,-0.00064603+0.011159i,0.0030946+0.00095492i,4.0937e-05+0.00095261i,-0.0011108+0.00061872i,-0.0020068-0.00091969i,0.0051284+0.0065741i,0.015649-0.00072199i,0.022289-0.066896i,-0.020002+0.013251i,0.0063598-0.033093i,-0.032201-0.025296i,-0.0078036+0.0063293i,-0.017065+0.038932i,-0.016978+0.010767i,-0.0071578+0.0020341i,-0.00675-0.013809i,-0.043053-0.0075915i,-0.0081904+0.0029595i,-0.02186+0.023692i,0.0043311+0.0086356i,0.0011395+0.0033315i,-0.0095133-0.0052612i,-0.0027508+0.005343i,-0.015987+0.0043979i,0.011057+0.009118i,0.00081332+0.0094699i,0.0001041+0.0037179i,0.0036406+0.0065207i,0.0033963+0.0032475i,0.0071387+0.014991i,0.0084658+0.010945i,-0.0014915-0.0084497i,0.0060031-0.0073163i,0.0074566+0.001422i,-0.0025857+0.0020778i,-0.00038707+0.00075736i,0.0076092-0.032348i,0.011152+0.0011585i,0.0093373-0.0033931i,0.004246-0.0019619i,0.00089377-0.005723i,0.019634-0.0098608i,0.0032881-0.0039735i,-0.0018626-0.0072465i,0.00059097-0.0028036i,0.014122-0.0022716i,0.0067675+0.0026838i,0.0027328-0.0028027i,0.010409+0.0048942i,-0.00047485+0.0047998i,0.011464+0.0054204i,-0.017788-0.01118i,-0.0049286-0.012886i,-0.0071758-0.011001i,-0.0081639-0.0024338i,-0.034405+0.017658i,-0.0033734+0.0052666i,-0.0098539+0.002548i
0.0083675+0.010134i,0.012601+0.010216i,0.012989+0.013193i,-0.00059855+0.018829i,0.012033+0.026069i,0.01955+0.013848i,0.00082832+0.02866i,0.0024006+0.020374i,0.01142+0.0008557i,-0.0010952-0.0017197i,0.0022797+0.00027084i,0.0006353-0.0053902i,0.00063039-0.0028692i,0.0004991-0.0033163i,-0.0013913-0.00028412i,-0.00051025-0.0048025i,-0.0062735-0.0010213i,0.00082787+0.0025606i,0.0021559-0.00079505i,0.0019522+4.0631e-05i,-0.0013289+0.001083i,0.0013524-0.00022908i,0.0024048-0.0016134i,-0.0091097+0.00069285i,-0.0001135+0.0003493i,-0.00035853+0.0022524i,-0.00080128+0.0017732i,-0.00023906+0.0018069i,-0.0016169+0.00081979i,0.00018395-0.0014615i,0.0010068+0.0074756i,-0.00043273-0.00025151i,-0.0019119+0.00053796i,-0.0018371-0.00067267i,-0.0016588+0.0022965i,0.0017851-0.0031865i,0.00016652+0.0012574i,0.00081447-0.0006892i,0.0024319+0.0084668i,0.0027493-9.2854e-05i,0.00038164+0.00078944i,-0.00037516+0.0013053i,-0.002412-0.00035666i,0.0066532+0.0041275i,0.014132-0.0049812i,-0.00060765-0.06638i,-0.0086159+0.016478i,-0.0051208-0.034526i,-0.036782-0.017081i,-0.0024412+0.0074543i,-0.0033115+0.038346i,-0.0072127+0.012532i,-0.0070119-0.0046693i,-0.0073495-0.012193i,-0.042155+0.0058494i,-0.0071425+0.0044228i,-0.010591+0.029734i,0.0036622+0.0054213i,-0.00048241+0.00081193i,-0.015891-0.0013565i,-0.0010858+0.0069985i,-0.011263+0.0096067i,0.012254+0.002206i,0.004437+0.0099696i,-0.0008656+0.0042907i,0.0043893+0.004909i,0.0050493+0.0013338i,0.0095679+0.0084024i,0.0082952+0.0050759i,-0.0071543-0.002737i,0.0036539-0.006109i,0.0087545-0.0003532i,-0.00080727+0.0066003i,0.0023718+0.0023398i,0.0023358-0.036359i,0.011503-0.0038818i,0.0075664-0.0066172i,0.0026727-0.0039458i,0.00064901-0.0040008i,0.012211-0.016504i,4.9508e-05-0.0015731i,0.0016441-0.00029033i,-0.00038929+0.00041386i,0.010606-0.0055496i,0.010509-0.00071795i,0.0030705-0.0041104i,0.013267+6.1337e-05i,0.002677+0.0040463i,0.01111+0.00089609i,-0.021262-0.004012i,-0.015177-0.019943i,-0.0060048-0.014602i,-0.0061761-0.0025573i,-0.025132+0.027235i,-0.0033032+0.00024035i,-0.0081279-0.00112i
0.010989+0.0072177i,0.01412+0.0070997i,0.013271+0.0083907i,0.0020045+0.018475i,0.016858+0.020846i,0.021332+0.0093244i,0.0059862+0.028035i,0.0060208+0.017899i,0.0094888-0.00055398i,-0.0016763-0.0013101i,0.0026971-0.0010907i,-0.0015252-0.0040119i,-0.00055247-0.0029598i,-0.0010878-0.0028258i,-0.0014332+0.00026943i,-0.0016737-0.0017393i,-0.0053276+0.0019495i,0.0018308+0.0014489i,0.0016333-0.0014134i,0.0018443-0.0012766i,-0.00041899+0.0009223i,0.001817-0.0010558i,0.0018396-0.0027125i,-0.0083356+0.0031386i,0.00042525+0.00015026i,0.001505+0.001081i,9.2687e-07+0.0015434i,0.00061325+0.0013387i,-0.00088506+0.001476i,-0.00024147-0.0010299i,0.0028722+0.0052561i,-0.00064909+3.906e-05i,-0.0016919+0.001229i,-0.0020186+0.00045528i,-0.00051946+0.0026002i,0.001943-0.0053442i,0.00083543+0.00095149i,0.00024773-0.00080998i,0.00047135+0.0025635i,0.0025852-0.00078183i,0.0007133+0.00045442i,0.00054418+0.0010095i,-0.0025137+0.00062442i,0.0053761+0.00015867i,0.01215-0.0080113i,-0.018992-0.054752i,0.00051896+0.012384i,-0.014744-0.031033i,-0.042106-0.0071466i,0.0022623+0.0050135i,0.0079432+0.031802i,0.001271+0.0067851i,-0.0076263-0.0049349i,-0.0070411-0.009881i,-0.035732+0.017067i,-0.0058569+0.0058541i,0.00064449+0.029264i,0.0062281+0.0034708i,-0.0039417+0.0018049i,-0.017935+0.0067932i,4.7176e-05+0.008296i,-0.0084386+0.010985i,0.0091602-0.0034745i,0.0082394+0.0082869i,0.00036639+0.0064435i,0.0039282+0.0045043i,0.0055878-0.0023766i,0.007977+0.0025273i,0.0058206+0.0023803i,-0.0044514+0.0018032i,0.0017477-0.0058111i,0.0086226-0.00294i,0.0062782+0.0059581i,0.0041398+0.00063273i,-0.01765-0.015939i,0.0084921-0.007745i,0.0048386-0.010136i,0.0017513-0.0027802i,-0.00016148-0.0045271i,0.0048451-0.017438i,0.0026335+0.00013927i,-0.0045615+0.0013197i,0.0023387+0.0022955i,0.008607-0.0060282i,0.0088071-0.0061342i,0.0011885-0.004339i,0.010509-0.0079675i,0.0028418+0.0010419i,0.0099588-0.0037637i,-0.016505+0.0042363i,-0.025946-0.017341i,-0.011093-0.018605i,-0.0062508-0.0049108i,-0.015784+0.026134i,-0.0084243-7.8969e-05i,-0.011585-0.00032706i
0.011935+0.0037945i,0.014341+0.0035383i,0.012137+0.0047792i,0.0052192+0.017374i,0.019602+0.015073i,0.021639+0.0046935i,0.011304+0.025859i,0.0082899+0.014996i,0.0086345-0.0012472i,-0.0017178-0.00067065i,0.0017954-0.002177i,-0.0023358-0.0023113i,-0.0014984-0.0025795i,-0.0015495-0.001832i,-0.0012996+0.0014863i,-0.001166+0.00060556i,-0.0038346+0.0041186i,0.0019189+0.00080605i,0.0012006-0.0015694i,0.00082711-0.0021609i,-0.00021663+0.00065826i,0.001383-0.0018296i,0.00059314-0.003343i,-0.0058302+0.0047165i,0.00058864-0.00040629i,0.0012092-0.00098453i,0.00057074+0.00091013i,0.0011171+0.0006126i,-0.00037866+0.0013152i,0.00014469-0.00076996i,0.0036733+0.0033334i,-0.00059419+0.00020706i,-0.0010394+0.0019905i,-0.0017682+0.0014497i,-5.3501e-06+0.0024107i,0.00041061-0.0070325i,0.0010136+0.00017303i,-7.197e-05-0.00055981i,0.00038386-0.00053606i,0.0021665-0.0012943i,0.00073304+5.1767e-05i,0.00080416+0.00037967i,-0.0013648+0.0016974i,0.0020398+0.00045596i,0.0099783-0.0099731i,-0.024334-0.038285i,0.0048709+0.006576i,-0.021975-0.024955i,-0.043171+0.0049004i,0.0047175+0.00051632i,0.017676+0.024699i,0.0050512-0.00050728i,-0.006503-0.006279i,-0.0058162-0.009565i,-0.028656+0.025313i,-0.0037866+0.0062151i,0.012781+0.024464i,0.0059204+0.0010213i,-0.0053918+0.0055769i,-0.015308+0.013926i,0.0023403+0.0092168i,-0.0031791+0.015759i,0.0037591-0.0045837i,0.01098+0.0058184i,0.0030631+0.0069796i,0.0049672+0.004568i,0.0043907-0.0048378i,0.0043988+0.0019004i,0.0036986+0.0029833i,-0.0031474+0.002996i,0.00038751-0.0047341i,0.0074178-0.0055711i,0.0089428+0.00096907i,0.0042879-0.0016867i,-0.014927-0.016305i,0.0047-0.0095025i,-0.0014572-0.010533i,0.0033116-0.002684i,-0.0013457-0.003633i,-0.00045205-0.0159i,0.0035217-0.0017126i,-0.0022408+0.0034577i,0.0052259+0.0005584i,0.006761-0.0077103i,0.0052308-0.011175i,0.00099342-0.0038465i,0.0034797-0.011252i,0.0016656+9.6833e-05i,0.0055114-0.0078418i,-0.0099826+0.005439i,-0.035587-0.0079426i,-0.016747-0.017639i,-0.0082767-0.0068934i,-0.0087979+0.026406i,-0.011818+0.0034875i,-0.010685+0.0036888i
0.012004+0.00078562i,0.013774+0.00062405i,0.010649+0.0025646i,0.0080482+0.015354i,0.020195+0.00924i,0.021673+0.00062668i,0.016159+0.022077i,0.0097246+0.012289i,0.008451-0.0024185i,-0.0016759-0.00027633i,0.00029908-0.0024565i,-0.0024239-0.00097403i,-0.0026006-0.0019222i,-0.0016148-0.0013882i,-0.0014523+0.0019037i,8.5567e-06+0.0019372i,-0.0011727+0.0056775i,0.0022162-0.00012462i,0.00053561-0.00192i,-0.00039806-0.0022673i,0.00038027+0.0006858i,0.00083464-0.0023712i,-0.00061163-0.003276i,-0.0044603+0.0043295i,0.0001128-0.0006433i,-0.00023021-0.0018254i,0.0007226+0.00016868i,0.0012807-0.00036551i,0.00046399+0.0013745i,0.00019922-0.0012333i,0.0046591+0.0013677i,-0.00048875+0.00023843i,3.2836e-05+0.0022868i,-0.00096942+0.002019i,0.00039124+0.002416i,-0.0020462-0.0077222i,0.00070158-0.00027714i,-0.00011452-0.00038663i,-1.1834e-05-0.00062626i,0.0014225-0.0014426i,0.00052333-9.1535e-05i,0.00074158+0.00011125i,-0.00099749+0.00054208i,0.0013579+0.0025617i,0.0079736-0.010775i,-0.023301-0.03012i,0.0063078+0.0017722i,-0.025904-0.015597i,-0.036735+0.017949i,0.0025537-0.0039222i,0.020311+0.017348i,0.0057405-0.0069688i,-0.0059238-0.0066351i,-0.0065835-0.0090249i,-0.020137+0.031112i,-0.0036184+0.0064826i,0.018304+0.010873i,0.0053932-0.0012701i,-0.0038117+0.0093937i,-0.0091475+0.019549i,0.0051654+0.0079592i,0.0049568+0.011859i,0.0015032-0.0025334i,0.013557+0.00078125i,0.0054296+0.0065366i,0.0060707+0.0033375i,6.4858e-05-0.0078869i,0.0038673+0.0035766i,0.0047177+0.0042546i,-0.0011022+0.0052967i,0.00051611-0.0041303i,0.0053839-0.0066613i,0.0087673-0.0036844i,0.0035292-0.0039147i,-0.019638-0.013516i,0.00095532-0.0099442i,-0.0049606-0.0080963i,0.0017672-0.0049053i,-0.001703-0.0022154i,-0.0032287-0.012938i,0.0027847-0.0032896i,0.00080611+0.0036134i,0.0056207-0.0032189i,0.0027245-0.0082706i,-0.0020879-0.012235i,0.00032698-0.0051743i,-0.0020605-0.0084998i,0.001645-0.00068906i,0.00013648-0.0071506i,-0.0067416+0.0047852i,-0.032426+0.0084144i,-0.022151-0.015122i,-0.011066-0.0063481i,-0.0044155+0.025699i,-0.010803+0.0090528i,-0.0061207+0.0042555i
0.011567-0.0019648i,0.012936-0.001641i,0.0093562+0.0012945i,0.010108+0.012743i,0.019138+0.0047584i,0.021165-0.0038018i,0.019951+0.017207i,0.010431+0.0098534i,0.008238-0.003591i,-0.001739+0.000295i,-0.00080403-0.0016538i,-0.0017456+9.3915e-05i,-0.0032694-0.00063801i,-0.0019764-0.001455i,-0.0011403+0.0023517i,0.0011263+0.002362i,0.0024081+0.0058412i,0.001829-0.00053382i,7.8564e-05-0.0017602i,-0.0010783-0.001829i,0.0008266+0.00024355i,1.3548e-05-0.0027855i,-0.0016264-0.002724i,-0.0041253+0.0050607i,-0.0002418-0.00085852i,-0.0012025-0.0016383i,0.00050584-0.0004874i,0.00074915-0.0013096i,0.0011287+0.00052164i,-0.00044979-0.0018477i,0.0050555+0.00042639i,-0.00021847+0.00053881i,0.0011663+0.0018823i,-0.00017799+0.0020373i,0.0011976+0.0017434i,-0.0049132-0.0072818i,0.00066793-0.00048742i,-0.00026408-0.00047746i,0.00012462-0.0008481i,0.00088228-0.0012119i,0.00048431-0.00017358i,0.00085816-5.0252e-05i,-0.001069+0.00041145i,0.002461+0.0031477i,0.0070777-0.012047i,-0.023821-0.028787i,0.0068931-0.0018711i,-0.024132-0.0076879i,-0.026869+0.027347i,0.00034071-0.0045761i,0.02163+0.01047i,0.0035766-0.013014i,-0.0052586-0.007798i,-0.006009-0.007436i,-0.011516+0.033261i,-0.0017354+0.0070016i,0.012315-5.5687e-05i,0.0034514-0.0035273i,-0.00028185+0.011345i,-0.0022568+0.020058i,0.0067946+0.0056244i,0.0055054+0.0071522i,0.0016682-0.0012896i,0.012904-0.003917i,0.0092033+0.0045748i,0.0070649+0.0027446i,-0.0042407-0.0039748i,0.0054515+0.0040133i,0.006183+0.0038827i,0.0023926+0.005672i,-0.00037024-0.0043132i,0.0036389-0.0077104i,0.0061178-0.0094039i,8.8152e-05-0.0050115i,-0.024836-0.0062519i,-0.0022675-0.0092851i,-0.0070032-0.0036828i,0.0012746-0.0031931i,-0.0018777-0.001774i,-0.0050593-0.012557i,0.0011114-0.0041007i,0.0025495+0.0011916i,0.0030934-0.0052997i,0.00067092-0.007427i,-0.0064939-0.0080249i,-0.0024567-0.0055292i,-0.0041658-0.0052698i,0.00051365-0.0015676i,-0.002241-0.0040312i,-0.0033426+0.0041917i,-0.025332+0.0093207i,-0.02291-0.010232i,-0.013099-0.0052202i,0.00067538+0.022834i,-0.0086632+0.011258i,-0.004405+0.0027387i
0.010658-0.0045185i,0.012177-0.0034674i,0.0086368+0.00086702i,0.011577+0.010032i,0.017517+0.0017451i,0.019537-0.0078741i,0.02252+0.011715i,0.01109+0.0078975i,0.0080259-0.005295i,-0.0014268+0.00098278i,-0.00074939-0.00059509i,-0.00091997+0.00014281i,-0.0033114+0.00084579i,-0.003003-0.00075138i,-0.000461+0.0029741i,0.0022668+0.0018735i,0.0053141+0.0034831i,0.0017517-0.0008615i,-0.00030574-0.0015785i,-0.0013283-0.00097838i,0.00097802-0.00034566i,-0.00093624-0.0024236i,-0.0022532-0.0019104i,-0.0026281+0.0062315i,-0.00084307-0.00086696i,-0.0015908-0.00087704i,-0.00010082-0.00092106i,-0.00030915-0.0018216i,0.0010179-0.00046134i,-0.0013696-0.0018073i,0.0095614+0.0011697i,0.0001671+0.000142i,0.0016303+0.00093005i,0.0004011+0.0019839i,0.0011964+0.00090462i,-0.0082701-0.004951i,0.00033906-0.00094393i,-0.00075299-0.00039452i,-0.00041716-0.0012511i,0.00081922-0.00090586i,0.00044274-0.00026402i,0.00090571-0.00033401i,-0.0012777+0.00023578i,0.0037856+0.0032341i,0.005276-0.014092i,-0.028316-0.02629i,0.005508-0.0059634i,-0.022567-0.0019417i,-0.014636+0.030947i,-0.0020793-0.0048955i,0.022413+0.003505i,0.00019446-0.015938i,-0.0056059-0.0089487i,-0.0045628-0.0061339i,-0.002078+0.034276i,0.00062362+0.0065856i,0.0068215-0.0006525i,0.00091479-0.0046201i,0.0045895+0.012174i,0.0036295+0.017852i,0.0070313+0.0025773i,0.0061684+0.0014529i,0.00075389-0.00077283i,0.0099668-0.0085753i,0.011154+0.00047235i,0.0086932+0.00086202i,-0.0045859-0.0012398i,0.0074696+0.0034675i,0.0079052+0.0034091i,0.005645+0.0035396i,-0.0014694-0.0038862i,0.0017792-0.0087357i,0.00056459-0.010907i,-0.0016736-0.0029483i,-0.025929+0.0025841i,-0.0044751-0.0080564i,-0.0059261-0.00036269i,0.0014263-0.0031284i,-0.0022841-0.0012503i,-0.0090341-0.011612i,-0.0016682-0.0045823i,0.0029613-0.00031322i,0.00056329-0.0056866i,-0.00039706-0.0072922i,-0.008313-0.0045468i,-0.005027-0.0030923i,-0.0056494-0.0011588i,9.4761e-05-0.0019007i,-0.0023716-0.0021289i,-0.00057961+0.0027396i,-0.02527+0.010676i,-0.021789-0.0077364i,-0.01483-0.0027797i,0.0019349+0.02123i,-0.0072922+0.011958i,-0.0034794+0.0015932i
0.0092444-0.0065796i,0.011506-0.0053118i,0.0087833+0.00024217i,0.012361+0.0073304i,0.016659-0.00020304i,0.017124-0.011261i,0.02351+0.0053646i,0.01173+0.0058131i,0.0070867-0.0071947i,-0.0010366+0.0012651i,-0.00056996-0.00078579i,-0.00090317-0.0003861i,-0.0027747+0.0022139i,-0.0031755+0.00055877i,0.00058176+0.0030842i,0.0027051+0.0008879i,0.0053982+0.00040966i,0.0012663-0.0014764i,-0.00077678-0.0012867i,-0.0010296-0.00040054i,0.00098487-0.0010056i,-0.0013415-0.0018757i,-0.0024165-0.0010112i,-0.00025486+0.0064528i,-0.0013083-0.00062118i,-0.0020579-0.00018134i,-0.00092891-0.00093923i,-0.0014054-0.0015125i,0.00051369-0.0012505i,-0.0021912-0.0012336i,-0.0017058-0.0016293i,-0.00022854+0.00018505i,0.0015658+0.00013949i,0.0010366+0.0016606i,0.0010118+0.00064417i,-0.0099356-0.0014692i,-0.00033482-0.0011472i,-0.00096891-2.3057e-05i,-0.0011414-0.0011238i,0.00081129-0.00076715i,0.00034162-0.00040982i,0.0007819-0.00060723i,-0.0015811+0.00034312i,0.0050405+0.0024669i,0.0022192-0.015067i,-0.033091-0.019253i,0.0033637-0.008514i,-0.017341+0.0038699i,-0.0044955+0.03109i,-0.0037384-0.002062i,0.021872-0.0040743i,-0.00050969-0.018526i,-0.005744-0.009056i,-0.0013242-0.0045961i,0.0067639+0.031709i,0.0016659+0.004664i,0.0044191-0.0011764i,-0.002307-0.0044077i,0.010249+0.0093519i,0.0070016+0.014815i,0.0048282+0.00061772i,0.0045609-0.003496i,0.0013301+0.0020607i,0.0047099-0.011071i,0.010752-0.005135i,0.0092636-0.0017518i,-0.0047181+0.0018363i,0.010058+0.0015579i,0.011228+0.0009251i,0.0067174-0.0006504i,-0.0020513-0.0031833i,-0.00090383-0.0091518i,-0.0069804-0.0084638i,-0.0010508-0.0010746i,-0.023583+0.011123i,-0.0065878-0.0067495i,-0.004553+0.0019423i,0.0010939-0.0062565i,-0.0021176+0.00044457i,-0.012899-0.0079722i,-0.0044221-0.0027893i,0.0023027-0.0024207i,-0.0015076-0.0048945i,-0.0021632-0.0070632i,-0.0082768+0.00057255i,-0.005239+0.00013343i,-0.0082326-0.0016264i,-0.0011036-0.0034403i,-0.0017787-0.0015728i,0.0011828+0.0011914i,-0.025092+0.018325i,-0.0215-0.0082635i,-0.012449+0.0015534i,0.0055887+0.020862i,-0.0063024+0.01405i,-0.0023222-0.000795i
0.0077487-0.0081096i,0.010589-0.0072373i,0.0090467-0.0010774i,0.012548+0.004773i,0.016211-0.0022854i,0.014473-0.013817i,0.022369-0.00046522i,0.011975+0.0037732i,0.005756-0.0086447i,-0.00094007+0.0015811i,-0.001068-0.00047746i,-0.0015122-0.00042614i,-0.0019049+0.0029764i,-0.0028002+0.0018074i,0.0017005+0.0027582i,0.0020837+9.3335e-05i,0.0041569-0.0013683i,0.00054603-0.0013222i,-0.0008915-0.0009709i,-0.00060943-0.00019239i,0.00077798-0.0016338i,-0.0014242-0.0015743i,-0.0021175-0.00035262i,0.0018408+0.0060538i,-0.0016172-0.00034782i,-0.0022892+0.00088796i,-0.0016887-0.00048219i,-0.0021129-0.00070551i,-0.00044563-0.0017218i,-0.0029344-0.00039245i,-7.4733e-05-0.00083352i,-0.00032143+0.00057935i,0.0012472-0.00043577i,0.0016931+0.0012017i,0.00080076+0.00046982i,-0.010345+0.0021789i,-0.00099032-0.0010223i,-0.0010123+0.00023052i,-0.0017868-0.00054263i,0.00090074-0.00053618i,0.00029889-0.00045134i,0.00073391-0.00083714i,-0.0018453+0.00072671i,0.0058239+0.0011265i,-0.0001421-0.014625i,-0.032131-0.0091283i,-0.00025787-0.0099718i,-0.011105+0.0047479i,0.0048372+0.029081i,-0.0024698+0.0014501i,0.01847-0.010643i,-0.003472-0.023633i,-0.0049892-0.0084464i,0.0031577-0.0030316i,0.014757+0.025701i,0.0024973+0.0038907i,0.0013931-0.00088416i,-0.0040882-0.0025797i,0.012834+0.0030057i,0.010154+0.01334i,0.0025527+0.0019137i,0.00038899-0.0064407i,0.0047046+0.00131i,-0.0006764-0.01026i,0.0069806-0.0087525i,0.0088334-0.0049155i,-0.0041949+0.0038166i,0.011079-0.0032561i,0.01036-0.0053157i,0.0051069-0.0043428i,-0.0025654-0.0025521i,-0.0039998-0.0083438i,-0.0051742-0.0050095i,2.8432e-05-0.001347i,-0.01792+0.021344i,-0.008711-0.0049253i,-0.0020722+0.003103i,-0.0033213-0.0073886i,-0.00086841+0.0010647i,-0.015147-0.0030205i,-0.0041606+0.00027623i,0.00052342-0.003721i,-0.0034497-0.0036294i,-0.0041273-0.0055702i,-0.0059135+0.0038362i,-0.0034446+0.0020529i,-0.0078832+0.0031676i,-0.0048226-0.0029833i,-0.0021514-0.0014597i,0.0043001+0.00015371i,-0.013963+0.02564i,-0.024786-0.007775i,-0.0104-0.00046673i,0.0078597+0.018204i,-0.0036513+0.016099i,-0.0034488-0.004036i
