-0.0099236-0.038988i,-0.01423-0.042554i,0.0011828-0.045391i,-0.026658-0.027325i,-0.020174+0.014191i,-0.033044-0.030502i,-0.060385-0.059852i,-0.022351-0.071269i,-0.03355-0.051069i,0.001412+0.014946i,-0.0068931+0.010496i,-0.014226+0.013881i,0.0018961+0.016015i,-0.0033469-0.0035353i,0.00057875+0.0062257i,0.00062302+0.037213i,0.019488+0.059832i,0.00083307-0.00083985i,-0.0050686-0.0083182i,0.0084635+0.0043462i,0.0015794+0.0010935i,-0.00094465+0.0035067i,0.00015708-0.0011544i,-0.035538-0.0097928i,-0.0022634-0.0072928i,-5.775e-05+0.0044757i,0.0050866+0.00024828i,-0.00013876+0.00061623i,-0.0001403-0.0011737i,-0.00021522-0.0024637i,-0.001247-0.0055328i,-0.0024276-0.0038112i,-0.00031858-0.007395i,0.0030955-0.001519i,0.0031365-0.0024861i,-0.0011091+0.032551i,0.005871-0.0037049i,0.0034101-0.0021326i,0.0049678+4.6593e-05i,-0.013961-0.0045682i,-0.0003267+0.00024814i,0.0093612-0.00052794i,0.0055154-0.00055543i,-0.0042279+0.0038255i,0.0025301+0.0002624i,-0.003105+0.0071684i,0.012672-0.087688i,-0.0071156-0.049949i,-0.025668-0.040599i,-0.020549-0.041852i,0.061599-0.017791i,0.026149-0.061671i,0.038651-0.046787i,0.028586-0.057708i,0.019022-0.015962i,0.0084337+0.010049i,0.024024-0.031299i,-0.0078498-0.0049724i,0.0030672-0.0030345i,-0.0048968-0.0061085i,0.00088048-0.032196i,-0.023569+0.031108i,0.0081016-0.01103i,-0.011272-0.001366i,-0.0048514-0.0010337i,-0.0012588-0.014211i,-0.010011+0.0040286i,0.0035198+0.0079127i,-0.01101+0.031477i,0.0057144+0.007346i,-0.0052904-0.0013698i,-0.001899-0.0019579i,-0.011356-0.0072633i,0.00030594-0.0034841i,-0.033784+0.0057851i,0.0019334-0.012939i,-0.0087245-0.002219i,-0.0064573-0.0027854i,0.0065097+0.0013574i,-0.0089725+0.0010889i,0.0014702+0.00057823i,0.005811+0.0085727i,0.0045965+0.00054554i,-0.0093096-0.0093975i,0.0027924+0.0091703i,-0.018935+0.0071294i,0.0066164+0.0030846i,-0.029742-0.0076371i,-0.033396+0.0039561i,0.023427-0.077853i,0.012783-0.010964i,-0.043247-0.02671i,-0.022892-0.002619i,0.018074+0.012496i,-0.026226+0.012782i,-0.011787-0.0071091i
-0.034449+0.0023711i,-0.046307+0.017619i,-0.047818+0.043124i,-0.027202+0.0068127i,-0.0044835+0.014068i,-0.0074421+0.03085i,-0.027964+0.018822i,-0.05788+0.025231i,-0.022108+0.02148i,0.001726-0.0086035i,0.0011772-0.0016792i,0.0032684+0.00035975i,0.0030668+0.0087524i,-0.0037513+0.0014338i,0.0013791+0.0023568i,0.0023293-0.0087701i,-0.012468-0.0088299i,-0.0042596+0.00031337i,0.0039028-0.0028397i,0.0013307-0.0013315i,0.0025776-0.0042014i,0.0018932-0.0043805i,0.00191-0.0032581i,-0.010755-0.011283i,-0.0022154-0.00044265i,-0.0041597-0.00034805i,-0.0032265-0.00094917i,-0.0050694-0.0015189i,-0.0011586-0.0024215i,0.0010336-0.0018066i,-0.0035362+0.0043292i,0.0012062+0.0017242i,0.002263+0.0015938i,0.0018187+0.00062544i,-0.0018356+0.0029806i,-0.0034166-0.0079314i,-0.0029845+0.0012541i,0.0010594-3.5213e-07i,-0.00068217+0.0039939i,0.0096632+0.0071704i,0.0014174-0.0025781i,0.00075692-0.00074076i,-0.004397-0.00393i,0.0028124+0.004123i,-0.020505-0.014365i,-0.0020046-0.061772i,-0.088349-0.0079507i,-0.023627-0.020774i,-0.049111-0.041162i,-0.043376-0.0059142i,-0.093627+0.015359i,-0.062465+0.0024529i,-0.038326-0.027252i,-0.031013-0.055025i,-0.034192-0.024751i,-0.00040114+0.0019719i,-0.025553+0.013508i,0.0042032+0.017075i,0.004636+0.0074571i,-2.7425e-05-0.0062285i,0.0087765+0.0043785i,-0.01004-0.0038756i,0.0030197+0.011419i,-0.00094645+0.0071028i,-0.00071194-0.0026386i,0.0062857+0.0020176i,0.0037095-0.0011081i,-0.0039786+0.02034i,-6.9258e-05+0.013281i,0.0015694-0.0042633i,0.010116-0.0073776i,0.0032547+0.0031201i,-0.0081385-0.0077394i,-0.0016626-0.00183i,0.025987-0.033331i,0.0082745+0.0080629i,0.0038988+0.0023875i,-0.0017314+0.0032293i,0.0037503-0.0037491i,0.02068+0.0021513i,0.0011495-0.0019612i,-0.0012597-0.0067034i,0.0012572-0.0024738i,0.012385+0.0051072i,0.0057468+8.0971e-06i,0.0030592-0.0055855i,0.003668+0.0074946i,0.0042306+0.0022494i,0.017329+0.0013742i,-0.067762-0.040542i,-0.010163+0.010708i,-0.0067954-0.003791i,-0.0045804+0.0051268i,-0.036429+0.010647i,-0.0051478+0.0074738i,-0.01459+0.0046079i
-0.031859+0.006589i,-0.042711+0.02219i,-0.035083+0.045149i,-0.025797+0.012307i,-0.0030835+0.011479i,-0.0020333+0.030733i,-0.025666+0.022901i,-0.049761+0.033205i,-0.016856+0.018473i,-0.00068932-0.0077674i,0.00081538-0.00079653i,0.0030184-0.0011839i,0.0052333+0.0056853i,-0.0019995+0.0031231i,0.001743+0.0025604i,-0.0032247-0.0065518i,-0.017741-0.0016717i,-0.0036622+0.0020778i,0.0038439-0.0033037i,0.0013293-0.0019472i,0.0010021-0.0043428i,0.0016785-0.0031807i,0.0015385-0.0033602i,-0.012441-0.0067083i,-0.001733-0.00013553i,-0.0043722+0.0011647i,-0.0028122+7.9858e-05i,-0.0045756+0.00015841i,-0.0019041-0.0022646i,0.00056093-0.0017048i,-0.0018461+0.0056579i,0.0013472+0.0014252i,0.0023416+0.00041458i,0.00045112+0.00026193i,-0.0024881+0.002694i,-0.0035367-0.0066033i,-0.0026079+0.0016683i,-0.00022409-0.00053359i,-0.0007933+0.004893i,0.010462+0.0015345i,0.00067589-0.0028746i,-4.8539e-06-0.0011582i,-0.0060751-0.0028607i,0.0040204+0.0034887i,-0.021812-0.015657i,-0.020544-0.067264i,-0.082538+0.0077944i,-0.030601-0.022415i,-0.06087-0.033454i,-0.041136+0.003524i,-0.081415+0.035352i,-0.059382+0.016004i,-0.029134-0.02678i,-0.037758-0.050819i,-0.040129-0.010473i,-0.0010201+7.8779e-05i,-0.017895+0.023611i,0.0085347+0.011888i,0.0065491+0.0026058i,-0.0051038-0.011398i,0.0049948+0.0034756i,-0.010317+0.0026936i,0.0074117+0.0086664i,0.0014583+0.0086955i,-0.0018871-0.0020808i,0.0069721+0.002105i,0.003473-0.00073229i,0.0057154+0.016605i,0.0060608+0.0084434i,-0.003337-0.0057291i,0.0026686-0.0081444i,0.0041843+0.0032807i,-0.011077-0.00035412i,-0.0016876+0.00073763i,0.010339-0.035933i,0.010599+0.0061566i,0.0062952+0.00075844i,0.0013386+0.001965i,0.00043495-0.0020807i,0.018063-0.0069527i,-0.00041193-0.0024582i,-0.0042488-0.0047429i,-0.0020775-0.0023216i,0.011383+6.6028e-05i,0.0053468+5.7269e-05i,0.0010975-0.003309i,0.0062439+0.0065119i,0.0037308+0.0019436i,0.015309-0.0042994i,-0.073087-0.03122i,-0.0029611-0.00032035i,-0.0071669-0.0030867i,-0.0034592+0.0036613i,-0.030289+0.021591i,-0.0032209+0.0081077i,-0.012965+0.006939i
-0.02852+0.0096644i,-0.039758+0.026935i,-0.026404+0.04373i,-0.022503+0.015343i,-0.00076385+0.011286i,0.0033898+0.029496i,-0.021865+0.026763i,-0.040945+0.037656i,-0.016955+0.016092i,-0.0026274-0.0064251i,0.0014618-0.00045266i,-0.00035355-0.0020546i,0.0058028+0.0036109i,-0.001318+0.003478i,0.0024652+0.0026782i,-0.0066403-0.00169i,-0.017822+0.0077539i,-0.0014362+0.0035631i,0.0039077-0.0052435i,0.0012242-0.0029513i,-0.00043537-0.0044016i,0.0020647-0.0040018i,0.0012599-0.0038057i,-0.013106-0.0028006i,-0.0021067+0.00045018i,-0.0034061+0.0032248i,-0.0021614+0.0005062i,-0.0032204+0.0019367i,-0.0023805-0.0019382i,-0.00023178-0.002365i,0.00053469+0.0058326i,0.0016234+0.0010408i,0.0019758-0.00021343i,0.00041763+0.00015747i,-0.0017063+0.0045625i,-0.0035439-0.0062127i,-0.0026711+0.0021138i,-0.00089345-0.00033472i,0.0033593+0.0041439i,0.0085084-0.0018121i,-0.00023176-0.0029377i,0.00020076-0.00055688i,-0.0079721-0.0015408i,0.0048428+0.0013789i,-0.024838-0.015741i,-0.041798-0.063397i,-0.072442+0.019089i,-0.037685-0.019033i,-0.067965-0.021151i,-0.034595+0.010111i,-0.061784+0.048641i,-0.043979+0.028229i,-0.029921-0.0321i,-0.043691-0.046925i,-0.038652+0.0030777i,-0.0019084-0.00041854i,-0.0070101+0.026762i,0.010475+0.0068314i,0.0034312-0.001761i,-0.017037-0.011645i,0.004453+0.0021839i,-0.0063883+0.0070013i,0.0091119+0.0038192i,0.0044427+0.0085171i,-0.0042841+0.00017996i,0.0069954-0.0016986i,0.0040588-0.0023967i,0.0090833+0.0092221i,0.0061847+0.003043i,-0.0079784-0.0022472i,0.00019451-0.0058472i,0.0064267+0.002188i,-0.007351+0.0091305i,-0.00017702+0.0023099i,-0.0020436-0.032734i,0.013513+0.001298i,0.0057991-0.0021006i,0.0012854+0.00067886i,0.00092781-0.00016681i,0.011366-0.011739i,-0.0032499+0.0010406i,-0.0057113-0.0019095i,-0.0038181+0.0015442i,0.008468-0.0030149i,0.0084162-0.0022855i,0.0020878-0.0032212i,0.0095562+0.0031767i,0.00564+0.00093924i,0.012147-0.0089558i,-0.075843-0.018661i,-0.0074982-0.010079i,-0.0058441-0.0039116i,-0.0032974+0.0020022i,-0.020482+0.026119i,-0.0025461+0.0031258i,-0.0096778+0.0036821i
-0.025186+0.011146i,-0.035848+0.032158i,-0.020694+0.041932i,-0.018747+0.018903i,0.0030395+0.0085057i,0.0082526+0.027004i,-0.016849+0.030027i,-0.03337+0.039005i,-0.017782+0.017731i,-0.0038947-0.0048153i,0.0015143-0.0015309i,-0.0022651+0.0011966i,0.0053083+0.0016686i,-0.0011228+0.004868i,0.0029947+0.0020993i,-0.0058289+0.0041276i,-0.012377+0.015906i,0.00051713+0.0027862i,0.0014595-0.0065054i,-0.00014736-0.0041284i,-0.0015798-0.0038555i,0.0013951-0.0045948i,0.00027378-0.0049276i,-0.012964+0.0012322i,-0.0014758+0.00087622i,-0.0010091+0.0033432i,-0.0019924+0.00072754i,-0.0011882+0.0018572i,-0.0030813-0.00078379i,-0.0016785-0.0018648i,0.0025242+0.0050534i,0.0017241+0.00051002i,0.0012257-0.00069721i,0.00029369+0.00016393i,0.0011181+0.0048737i,-0.0044351-0.0070742i,-0.0016332+0.0033385i,-0.0013404+0.00036118i,0.0036996+0.00021602i,0.0066865-0.0035441i,-0.00074189-0.0026854i,0.00062574-0.00096389i,-0.0087918+0.0017247i,0.0029746-0.0016616i,-0.029242-0.013903i,-0.058864-0.048222i,-0.062263+0.024332i,-0.043354-0.013058i,-0.071581-0.0078893i,-0.026566+0.012221i,-0.043272+0.051727i,-0.02803+0.026819i,-0.033348-0.030528i,-0.050063-0.040092i,-0.033816+0.012615i,-0.0032616-0.0002374i,0.0025858+0.025226i,0.010491+0.0022218i,-0.0012192-0.0018999i,-0.026195-0.0010125i,0.0016988+0.0024127i,-0.0018714+0.0074006i,0.0073243-0.00092709i,0.0075964+0.0073085i,-0.0035542+0.0036373i,0.0034367-0.0028368i,0.0033345-0.0050687i,0.0077095+0.0022337i,0.0033101+0.00090115i,-0.0081203+0.0018255i,-0.0016518-0.0043926i,0.0070809+6.3627e-05i,0.0023051+0.010952i,0.0013539+0.001471i,-0.0094004-0.026491i,0.01208-0.0036424i,0.00467-0.0037503i,0.0019438+0.0016364i,0.0015977-0.00067278i,0.0059926-0.011964i,-0.00025952+0.0036824i,-0.0060186+0.0011702i,-0.00095775+0.0044547i,0.0056696-0.0032424i,0.0069534-0.0070943i,0.00039904-0.0036159i,0.008715-0.0028334i,0.0053533-0.0021429i,0.0081389-0.012522i,-0.072724-0.0058477i,-0.01707-0.013034i,-0.006255-0.0068729i,-0.0033015+4.4294e-05i,-0.01349+0.026481i,-0.0066854+0.0026419i,-0.01219+0.0031362i
-0.023083+0.011907i,-0.031602+0.036509i,-0.017444+0.04156i,-0.013319+0.021037i,0.0049259+0.0041768i,0.011678+0.024158i,-0.010812+0.031677i,-0.027802+0.040249i,-0.015682+0.0214i,-0.0041759-0.0032447i,0.00062983-0.0018731i,-0.00099477+0.0038198i,0.0046045+0.0004554i,0.0012901+0.0062685i,0.0036334+0.0017064i,-0.002423+0.007367i,-0.0041335+0.019899i,0.0010717+0.0016155i,-0.00021811-0.0060351i,-0.0020752-0.0041439i,-0.0026826-0.0032691i,0.00030556-0.0048539i,-0.0018273-0.0049422i,-0.010387+0.0044302i,-0.0016866+0.00052456i,-0.00040453+0.002241i,-0.0017812+0.00098652i,-0.00032061+0.00087499i,-0.0029869+0.00056705i,-0.0019015-0.0005389i,0.003799+0.0036273i,0.0016845-0.00024138i,0.00063889-0.0006746i,-2.0062e-05+7.855e-05i,0.002297+0.0035748i,-0.0069579-0.0070548i,-0.00069558+0.0036296i,-0.0011656+0.0015312i,0.0017027-0.0011574i,0.004759-0.0040997i,-0.0012585-0.0025556i,0.00054002-0.0015492i,-0.0074024+0.0044338i,0.00028699-0.00054494i,-0.033029-0.0089146i,-0.063009-0.028481i,-0.055565+0.026154i,-0.048025-0.0052053i,-0.072613+0.0064006i,-0.021794+0.0092769i,-0.027734+0.050395i,-0.018738+0.022163i,-0.035704-0.029197i,-0.053665-0.033212i,-0.027067+0.020442i,-0.003914+0.00060643i,0.012706+0.020248i,0.009502-0.0004456i,-0.0044945+0.00061862i,-0.027337+0.011202i,0.0011276+0.0039235i,0.0020787+0.0073236i,0.003134-0.0022546i,0.010177+0.004455i,-0.0016536+0.0054735i,0.0013322-0.0013669i,0.0014849-0.0067886i,0.0029315+0.0013494i,0.0010877+0.0019401i,-0.0077481+0.0068451i,-0.0028332-0.0017839i,0.0068149-0.0024559i,0.0072587+0.0066477i,0.001875+0.00043563i,-0.013462-0.023645i,0.0091129-0.0075078i,0.0029478-0.0050974i,0.0047136+0.0011533i,0.0014456-0.00071161i,0.0028304-0.010873i,0.0024263+0.0029915i,-0.0038987+0.0046186i,0.0024659+0.0042342i,0.0051476-0.0031768i,0.0027219-0.01091i,6.2153e-05-0.00287i,0.0042491-0.0060923i,0.0032073-0.0037231i,0.001876-0.015081i,-0.067533+0.0016379i,-0.027466-0.0064579i,-0.0087738-0.008676i,-0.0042752-0.0019534i,-0.0080105+0.026207i,-0.0097374+0.0056029i,-0.013098+0.0060179i
-0.021596+0.013159i,-0.026745+0.041058i,-0.014542+0.043711i,-0.0075066+0.020426i,0.0037921-0.00063598i,0.015228+0.021707i,-0.0045026+0.031403i,-0.022796+0.041727i,-0.011534+0.022536i,-0.0045659-0.0024759i,-0.0011334-0.0016569i,0.0010321+0.0049748i,0.0037731+1.0786e-05i,0.0038732+0.0051268i,0.0039311+0.00078878i,0.0013409+0.0084847i,0.0048798+0.019539i,0.0014261+0.0013286i,-0.0019015-0.0056633i,-0.0038592-0.0031787i,-0.0032564-0.0018072i,-0.00038604-0.0050858i,-0.0030348-0.0036009i,-0.0081403+0.0050446i,-0.0022801+0.0012345i,-0.00043122+0.0020846i,-0.0016052+0.0014117i,5.9387e-05-0.00035106i,-0.001982+0.0014533i,-0.0016472+0.00016016i,0.0048182+0.0020747i,0.0012545-0.00077311i,0.00040771-0.00045181i,-0.00045041-7.5533e-05i,0.0029567+0.0028075i,-0.0094306-0.0055974i,0.00025335+0.0032759i,-0.00026198+0.0020695i,0.00079881-0.0011881i,0.0032304-0.0041693i,-0.0018052-0.0020782i,-9.3894e-05-0.0017832i,-0.0052956+0.005852i,-6.0901e-05+0.0013586i,-0.03468-0.0024727i,-0.058546-0.015505i,-0.051567+0.028739i,-0.049334+0.0066084i,-0.068388+0.023604i,-0.023277+0.0070415i,-0.016345+0.04549i,-0.012536+0.017095i,-0.038349-0.026009i,-0.057429-0.026049i,-0.019344+0.023884i,-0.0048417+0.0019864i,0.016946+0.0075522i,0.0088277-0.004336i,-0.0055871+0.0047364i,-0.02087+0.023061i,0.002002+0.0040624i,0.0061943+0.0044535i,0.0010727-0.00025468i,0.01166-0.00037361i,0.00053761+0.0069827i,0.0010247+7.2206e-06i,-0.0031474-0.0082792i,0.0012349+0.0040572i,0.0014259+0.0039566i,-0.0027126+0.011424i,-0.001387+0.0005097i,0.0053878-0.0039059i,0.0093148+0.0018265i,0.0023739-0.00092289i,-0.020886-0.021908i,0.0050777-0.0091991i,0.0001767-0.0054642i,0.0042099-0.0014618i,0.00099588-2.732e-05i,0.0016552-0.0088385i,0.0037391+0.0009534i,-0.00044185+0.0053533i,0.0039462+0.0015225i,0.0040854-0.0041473i,-0.0040651-0.010771i,-0.00020368-0.0032828i,0.00090673-0.0056422i,0.0024898-0.0049734i,-0.0052444-0.013254i,-0.065368+0.0081115i,-0.026125+0.0067043i,-0.012494-0.0090847i,-0.0066348-0.0022248i,-0.0044463+0.025485i,-0.0086733+0.010067i,-0.0089341+0.0082213i
-0.020068+0.014714i,-0.020438+0.045524i,-0.0093599+0.046955i,-0.0041426+0.017138i,8.3581e-05-0.0030599i,0.018768+0.018348i,0.0011323+0.029783i,-0.017877+0.043793i,-0.0079285+0.023566i,-0.0053237-0.0012211i,-0.0018879+0.00037405i,0.0038609+0.00513i,0.0031701+0.00016103i,0.0050267+0.0029392i,0.0036764+6.7403e-05i,0.0047521+0.0076296i,0.01209+0.015312i,0.0018379+0.00093027i,-0.0028526-0.0048654i,-0.0047288-0.001172i,-0.0027637-0.00054656i,-0.0018259-0.0055075i,-0.0035004-0.0022876i,-0.0074616+0.0066808i,-0.0019845+0.0021838i,-3.0371e-05+0.0025346i,-0.0012693+0.0019514i,-0.00094234-0.0011825i,-0.0015647+0.0012909i,-0.0013705+0.00038115i,0.0051118+0.00023085i,0.0010939-0.00094303i,0.00072274-0.00065176i,-0.00044538+0.00028153i,0.0041011+0.00098642i,-0.011497-0.0030429i,0.001189+0.0030627i,0.00048605+0.0016129i,-7.1983e-06-0.0012275i,0.0018557-0.0041195i,-0.002102-0.0014067i,-0.00039695-0.0016309i,-0.0036594+0.0059183i,0.00062257+0.0020274i,-0.033845+0.0029999i,-0.055343-0.010141i,-0.047562+0.033503i,-0.044858+0.017078i,-0.058317+0.038276i,-0.024459+0.010035i,-0.0081893+0.041553i,-0.010336+0.011795i,-0.040558-0.02227i,-0.059631-0.017509i,-0.013034+0.02537i,-0.0035251+0.0027125i,0.010693-0.0028917i,0.0053862-0.0084419i,-0.0039093+0.0078186i,-0.010375+0.027675i,0.0020543+0.0030522i,0.0075306-0.00034521i,0.0021708+0.0008064i,0.0098496-0.0040599i,0.0052858+0.0067667i,0.0014807+0.0019292i,-0.0076224-0.0031497i,0.0030034+0.0060849i,0.0029658+0.0052647i,0.0035515+0.011567i,-0.00038244+0.00055691i,0.00405-0.0049849i,0.0091601-0.0040907i,0.00037976-0.0015565i,-0.029125-0.014153i,0.0018062-0.0092388i,-0.0016891-0.0037741i,0.0045714-0.0007927i,0.0011029-8.9945e-06i,0.0016273-0.0097682i,0.0032802-0.00090268i,0.0017165+0.0036513i,0.0037113+0.00059056i,0.0034776-0.0039284i,-0.0078403-0.0062221i,-0.0019993-0.0038304i,-0.0018093-0.0049027i,-8.3126e-06-0.0063038i,-0.0089123-0.0089076i,-0.061419+0.015468i,-0.021433+0.0084484i,-0.012925-0.0069765i,-0.0083468-0.0013811i,0.000284+0.023494i,-0.0069907+0.01161i,-0.0069133+0.007251i
-0.018168+0.016041i,-0.012779+0.048803i,-0.0024066+0.049997i,-0.003319+0.015525i,-0.0038113-0.0025521i,0.021324+0.01447i,0.0060669+0.027219i,-0.011714+0.046409i,-0.0039985+0.023431i,-0.0055391+0.0004384i,-0.00068368+0.0019256i,0.0066996+0.0030438i,0.0032074+0.00023159i,0.0045959+0.0014519i,0.0036733-0.00025101i,0.0072963+0.0050716i,0.016176+0.009514i,0.002233-0.00020263i,-0.0039442-0.0042352i,-0.0043214+0.0010056i,-0.0018955+0.00015045i,-0.0033134-0.004425i,-0.0035545-0.0013518i,-0.0048906+0.0081471i,-0.0013201+0.0030169i,0.0010827+0.0025877i,-0.00067019+0.0024213i,-0.0026223-0.00065776i,-0.0013612+0.0015925i,-0.0012361+0.00060443i,0.0043973-0.0015397i,0.00098296-0.0016541i,0.00024474-0.0010116i,-8.5894e-05+0.00041874i,0.0034016-0.0008402i,-0.012432+0.00077156i,0.0019947+0.0026349i,0.00073056+0.0013069i,-0.001095-0.0010753i,0.0011638-0.0037332i,-0.0020155-0.0010298i,-0.0006049-0.0015688i,-0.0029113+0.0061995i,0.0015804+0.0023252i,-0.032794+0.0071356i,-0.056254-0.0056344i,-0.042651+0.037814i,-0.039403+0.024481i,-0.044321+0.046763i,-0.024835+0.01346i,8.903e-05+0.036597i,-0.0096138+0.0095723i,-0.042452-0.017695i,-0.060322-0.0079i,-0.0069293+0.026131i,-0.0027064+0.002908i,0.0037822-0.0037702i,0.00045587-0.010456i,-0.00063749+0.010693i,-0.00062781+0.026324i,0.0013338+0.0023547i,0.0059568-0.0052888i,0.0018482+0.00062647i,0.0070544-0.0072682i,0.0087069+0.00385i,0.0031825+0.002438i,-0.0070798+0.00058217i,0.0057337+0.006887i,0.00539+0.0057877i,0.0094122+0.0086388i,9.5782e-06+0.00086717i,0.0034286-0.005871i,0.0058608-0.0083302i,-9.2916e-05+0.00023332i,-0.033564-0.0025079i,-0.00041733-0.008567i,-0.0023581-0.0017996i,0.005306-0.0013605i,0.0011053+2.5806e-05i,-7.8144e-05-0.011906i,0.0020174-0.0017751i,0.0030731+0.0028357i,0.0040764-0.00067018i,0.0038479-0.0046224i,-0.0092082-0.0027203i,-0.0042534-0.0018899i,-0.004246-0.0028861i,-0.002157-0.0069168i,-0.010562-0.0049007i,-0.057245+0.021728i,-0.020664+0.010037i,-0.012633-0.0079131i,-0.0094604+0.00063583i,0.0013626+0.021847i,-0.0062467+0.012196i,-0.0055114+0.0064881i
-0.016075+0.017427i,-0.0036034+0.050279i,0.0071022+0.051561i,-0.002759+0.015142i,-0.0057353+0.00047973i,0.023427+0.010464i,0.010106+0.023438i,-0.0037091+0.048018i,-0.0004027+0.022798i,-0.0051979+0.0020613i,0.00062039+0.0017092i,0.0071629-0.00063i,0.0037223-3.9513e-05i,0.004515+0.00054693i,0.0038028-0.00086772i,0.0075087+0.0019985i,0.017307+0.0032036i,0.0010626-0.0014295i,-0.0053754-0.0027051i,-0.0028422+0.0022326i,-0.0009327+5.3481e-06i,-0.0037814-0.0036471i,-0.0035731-0.00035598i,-0.0017277+0.0085532i,-6.7094e-05+0.0032602i,0.0019018+0.0018225i,0.0002616+0.0025215i,-0.0033505+0.0010512i,-0.00082506+0.0016381i,-0.00093531+0.00078956i,0.003235-0.0028697i,0.00016373-0.0019677i,-0.00023021-0.00093543i,-5.8886e-07+0.00016628i,0.00214-0.0017676i,-0.011517+0.0047449i,0.0025306+0.0018574i,0.0010839+0.00092927i,-0.0018927-0.00017434i,0.00060737-0.0034796i,-0.0023381-0.00075523i,-0.00092515-0.0015414i,-0.0021211+0.0067698i,0.0024858+0.0022231i,-0.03192+0.011883i,-0.059407+0.0025923i,-0.036518+0.041016i,-0.031509+0.029936i,-0.030813+0.051529i,-0.024043+0.020153i,0.0069974+0.029295i,-0.0052659+0.007497i,-0.043124-0.012071i,-0.057941+0.0024382i,-0.0015636+0.026056i,-0.0025223+0.0026991i,-0.00023964-0.0030802i,-0.0051708-0.010128i,0.0050127+0.010398i,0.0054031+0.022739i,-0.00032417+0.0024012i,0.002967-0.0086987i,0.0031399+0.002215i,0.0026976-0.00886i,0.0096192-0.0016332i,0.0049361+0.0018877i,-0.0066797+0.0041177i,0.0098052+0.00605i,0.0091362+0.0038178i,0.012309+0.0028068i,0.00084464+0.0014073i,0.0016298-0.0069652i,-0.00033654-0.0093367i,0.0014656+0.0016616i,-0.033232+0.010541i,-0.0022397-0.0080647i,-0.0016446-8.7277e-06i,0.0059958-0.0050082i,0.0016065+0.00028468i,-0.0053468-0.012928i,0.00094881-0.001338i,0.0041019+0.00099904i,0.0036176-0.0017965i,0.002793-0.0058107i,-0.0089421+0.0022421i,-0.004085+0.00094149i,-0.0052543+0.00021166i,-0.0048862-0.0069374i,-0.010667-0.0012098i,-0.053526+0.027744i,-0.020205+0.015649i,-0.01528-0.010419i,-0.0072146+0.0033358i,0.0044639+0.021284i,-0.0064564+0.014689i,-0.0039505+0.0048301i
-0.01359+0.018217i,0.0054277+0.049096i,0.017541+0.049503i,-0.0018159+0.015724i,-0.0051026+0.0038964i,0.025266+0.0060984i,0.012684+0.019335i,0.0048265+0.047053i,0.002861+0.021612i,-0.0045899+0.0036398i,0.00081689+0.001354i,0.0053587-0.0031835i,0.0038765-0.0012188i,0.0039742-0.00035607i,0.0035041-0.0016762i,0.0061823+8.5631e-05i,0.016023-0.0020854i,0.00020957-0.0011828i,-0.0055477-0.00077058i,-0.0013529+0.0025629i,-0.00017072-0.00039588i,-0.0043536-0.0029534i,-0.0030429+0.00043559i,0.0008645+0.0084938i,0.0012706+0.0028564i,0.0021942+0.0011419i,0.001175+0.0022282i,-0.0026024+0.0026209i,-0.00028383+0.0013907i,-0.00078983+0.00096021i,0.0016797-0.0034097i,-0.00071472-0.0018034i,-0.00047266-0.00074271i,-0.000246+2.8097e-05i,0.00092387-0.0021924i,-0.0091835+0.0079091i,0.0028686+0.0008873i,0.0011271+0.00037793i,-0.0018919+0.0012776i,-3.1672e-05-0.0035416i,-0.0025015-5.8078e-05i,-0.0013572-0.0016092i,-0.00085858+0.0077431i,0.0032829+0.0015351i,-0.029404+0.016536i,-0.059066+0.014806i,-0.032177+0.043315i,-0.024157+0.03246i,-0.016463+0.053614i,-0.018249+0.027927i,0.0099579+0.020518i,-0.0030229+0.001104i,-0.041005-0.0067329i,-0.051625+0.012666i,0.005144+0.024244i,-0.0025075+0.0031207i,-0.0039932-0.0010853i,-0.0093232-0.0070789i,0.0087243+0.0065131i,0.0099808+0.019082i,-0.0024402+0.0040935i,-0.0014324-0.0112i,0.0054148+0.00080624i,-0.0015707-0.0078794i,0.0070948-0.0052779i,0.0062453-0.00048904i,-0.0050636+0.0069424i,0.013049+0.0012142i,0.010425-0.001635i,0.011317-0.004005i,0.0026031+0.00091014i,-0.0010109-0.0070346i,-0.0041483-0.0059276i,0.0035169+0.00061828i,-0.026665+0.024523i,-0.0044318-0.0066248i,-0.0002565+0.00085916i,0.0024339-0.007128i,0.0021796+4.5934e-05i,-0.011082-0.0098416i,0.0012148-0.00048495i,0.0042211-0.0012184i,0.0025242-0.0027109i,0.0012099-0.0060517i,-0.006388+0.0058216i,-0.0024581+0.0026673i,-0.0043376+0.003669i,-0.0081644-0.0058159i,-0.0097675+0.0014521i,-0.047453+0.035214i,-0.012442+0.02093i,-0.020696-0.0094405i,-0.0040229+0.0027413i,0.0063974+0.019752i,-0.0038939+0.018081i,-0.0035286+0.0020369i
