-0.0011641-0.042754i,-0.00015442-0.047317i,-0.0083866-0.048383i,-0.031028-0.023357i,-0.022944+0.010683i,-0.037061-0.033595i,-0.064841-0.057868i,-0.019354-0.071666i,-0.024217-0.044697i,-0.0011071+0.016436i,-0.010534+0.012593i,-0.014367+0.013828i,0.0039081+0.013587i,-0.0027858-0.0018114i,0.0019361+0.0061564i,0.00044258+0.033614i,0.019485+0.05707i,0.001117-0.00067644i,-0.0033847-0.0096451i,0.0075912+0.0040057i,0.0013754+0.0014022i,-0.00058997+0.0033061i,-0.00020764-0.00039096i,-0.038529-0.009553i,-0.0027207-0.0074484i,-0.0011022+0.0045774i,0.005454-0.00034605i,-8.6425e-05+0.00034225i,0.00058683-0.00080881i,5.4282e-05-0.0022769i,-0.0017692-0.0056358i,-0.0032416-0.0063267i,-0.0011358-0.0069111i,0.0032416-0.00022554i,0.0028687-0.0016533i,-0.0016588+0.038731i,0.0063022-0.0041313i,0.0030113-0.00077866i,0.0049168-0.00077482i,-0.013306-0.0058274i,-0.00086473+8.7964e-05i,0.0096586-0.0010241i,0.0039311+0.0013228i,-0.0042043+0.0018495i,-0.00027819+0.0093367i,-0.0042091+0.01647i,0.024862-0.083454i,-0.00040523-0.055475i,-0.023788-0.043663i,-0.020186-0.03764i,0.062331-0.017554i,0.030419-0.058672i,0.038927-0.045032i,0.034101-0.053308i,0.019193-0.015529i,0.0075789+0.012142i,0.022988-0.034687i,-0.008485-0.0052306i,0.0029756-0.0010745i,-0.002915-0.004886i,0.004076-0.031911i,-0.024981+0.03139i,0.0084447-0.010477i,-0.012493-0.0023022i,-0.0044633-0.0016452i,0.00033811-0.014533i,-0.010687+0.0050951i,0.0034219+0.0065996i,-0.013635+0.03047i,0.0057509+0.0068074i,-0.0059501-0.0014939i,-0.0012345-0.0024709i,-0.01211-0.0079503i,0.00010417-0.0034637i,-0.036205+0.0070017i,0.0014877-0.012387i,-0.0092103-0.0026828i,-0.0068452-0.0030662i,0.0064711+0.0019672i,-0.008825+0.0025489i,0.00026921+0.0018124i,0.0059306+0.0099423i,0.0046887+0.00080521i,-0.0094124-0.01018i,0.0020248+0.0085471i,-0.020152+0.005423i,0.0064632+0.0030648i,-0.028358-0.0082358i,-0.036233-0.0011267i,0.02627-0.080093i,0.013785-0.0092636i,-0.043288-0.028287i,-0.025133-0.0061322i,0.017889+0.011858i,-0.02703+0.011121i,-0.012545-0.0095752i
-0.042575-0.0059688i,-0.058626+0.0038892i,-0.041805+0.048246i,-0.019149+0.0099964i,-0.0048908+0.019275i,-0.0048683+0.038312i,-0.028204+0.017278i,-0.062907+0.024668i,-0.02108+0.017616i,0.0036923-0.01012i,0.0034181-0.0018491i,0.0028757+7.1374e-06i,0.0024602+0.0083107i,-0.003841+0.0012292i,-0.00019661+0.0017874i,0.002071-0.0079835i,-0.012804-0.0088305i,-0.0039126+0.00041134i,0.0037942-0.0032893i,0.001009+0.00012582i,0.0011948-0.005119i,0.0021122-0.0040093i,0.0016491-0.0028168i,-0.011246-0.011795i,-0.0028981-0.0016495i,-0.0038122-0.00015589i,-0.0030005-0.00064864i,-0.0044224-0.0012813i,-0.00091313-0.0025715i,0.0014319-0.001301i,-0.0039239+0.0040531i,0.0017436+0.0019668i,0.0020786+0.0017309i,0.0012199+0.00098716i,-0.0020847+0.0027042i,-0.0039938-0.009615i,-0.0035356+0.0014485i,0.0007988+0.00019396i,-0.00067012+0.0037459i,0.010286+0.0083274i,0.0015946-0.0014335i,0.001074-4.9259e-05i,-0.0034796-0.004339i,0.0013812+0.0055064i,-0.010103-0.017216i,0.013163-0.077882i,-0.088572-0.021793i,-0.025527-0.021323i,-0.052232-0.039994i,-0.04336-0.0074336i,-0.091516+0.018112i,-0.063233-0.0031724i,-0.039326-0.026896i,-0.027175-0.056597i,-0.033166-0.025214i,-0.00019809+0.0037281i,-0.026319+0.010724i,0.0067047+0.017626i,0.0041819+0.0078458i,-0.0022451-0.0059273i,0.0083525+0.0052641i,-0.011072-0.0050408i,0.0026272+0.012173i,0.00078049+0.0067707i,-0.0014934-0.0015732i,0.0067733+0.0022007i,0.0041371-0.00085419i,-0.0030962+0.020649i,-0.00079372+0.014779i,0.001694-0.0045726i,0.011099-0.0085741i,0.0039426+0.0041853i,-0.0083015-0.0081661i,-0.0015372-0.0016404i,0.025221-0.033134i,0.0090493+0.0087316i,0.0041615+0.0030758i,-0.0019349+0.002728i,0.0037299-0.0035976i,0.019623+0.0024828i,0.0018475-0.0019252i,-0.0011804-0.008257i,0.0018816-0.003149i,0.012785+0.0057792i,0.0056682+0.0004715i,0.0033386-0.0067457i,0.0046379+0.0079314i,0.0039185+0.0028924i,0.019282+0.0040775i,-0.068751-0.040948i,-0.011447+0.010323i,-0.007637-0.0032571i,-0.0084568+0.0051223i,-0.037533+0.0083496i,-0.0052881+0.0077951i,-0.016124+0.0043062i
-0.041602+0.00028057i,-0.056826+0.010128i,-0.029608+0.049148i,-0.017754+0.011951i,-0.0013501+0.016728i,0.0022522+0.037667i,-0.025954+0.021255i,-0.055113+0.032992i,-0.016463+0.016366i,0.00024771-0.009877i,0.0035471-0.0015669i,0.0026104-0.0014271i,0.0044067+0.0060117i,-0.002149+0.0031028i,-9.4869e-05+0.0024254i,-0.0028659-0.0059914i,-0.017451-0.0010704i,-0.0029841+0.0018034i,0.0039448-0.0035655i,0.0015822-0.0004959i,-9.7802e-05-0.0046149i,0.0016013-0.0033885i,0.0012332-0.0027474i,-0.012829-0.0072791i,-0.0029652-0.00078861i,-0.0039921+0.001239i,-0.0024692+0.00051167i,-0.0039395+0.00026515i,-0.0016737-0.002435i,0.0014085-0.0015552i,-0.0021559+0.005496i,0.0018674+0.0016756i,0.002481+0.00060722i,0.00045404+0.00082052i,-0.0026364+0.0022988i,-0.0038508-0.0083302i,-0.0029122+0.0020609i,-0.00015482-0.00040503i,-0.00020776+0.0047911i,0.01097+0.0020649i,0.0011681-0.0017709i,0.00058804-0.00066106i,-0.004918-0.0035444i,0.0027366+0.005233i,-0.011528-0.0206i,-0.0097456-0.086858i,-0.084271-0.0043852i,-0.032114-0.023564i,-0.062441-0.030623i,-0.040868+0.0014797i,-0.078386+0.037764i,-0.060729+0.011296i,-0.029899-0.02608i,-0.033772-0.052923i,-0.03969-0.011408i,0.00033318+0.0015007i,-0.020679+0.022423i,0.01098+0.011515i,0.0068551+0.0041426i,-0.0076643-0.0098274i,0.0045876+0.0035056i,-0.011305+0.0020538i,0.0077416+0.0095252i,0.0019159+0.0081678i,-0.0016736-0.00089021i,0.0069538+0.0024768i,0.0039341-0.0015491i,0.0065236+0.016453i,0.006185+0.010247i,-0.003903-0.0055894i,0.0029851-0.0094628i,0.0049081+0.0039128i,-0.011633-0.00040231i,-0.0021929+0.00075288i,0.0098212-0.035567i,0.011801+0.006085i,0.0071758+0.0015007i,0.0010849+0.0020758i,0.00044827-0.0015533i,0.018459-0.0066079i,0.0002252-0.0025275i,-0.0047864-0.0060968i,-0.0019554-0.0028223i,0.011613+0.00043531i,0.0054576+0.00042942i,0.0010752-0.0043773i,0.0069642+0.0062788i,0.0039304+0.0025287i,0.017785-0.0028262i,-0.074192-0.031361i,-0.0026501-0.00081085i,-0.0067877-0.0017206i,-0.0067192+0.0052147i,-0.031912+0.020739i,-0.0033283+0.0090496i,-0.014595+0.006623i
-0.038809+0.0055022i,-0.055905+0.016573i,-0.021732+0.047756i,-0.016604+0.014009i,0.0031925+0.015456i,0.0093631+0.035334i,-0.022288+0.024929i,-0.047028+0.038472i,-0.01581+0.014928i,-0.0027197-0.0085791i,0.0041113-0.0021278i,-0.00070023-0.0019874i,0.0056336+0.0041183i,-0.0018774+0.0034704i,0.00058347+0.0030502i,-0.0060367-0.0014903i,-0.016593+0.0081232i,-0.00090174+0.002827i,0.0039703-0.005851i,0.0021089-0.001862i,-0.0010152-0.0042007i,0.0015241-0.0040829i,0.00099761-0.0030955i,-0.014023-0.003426i,-0.00319+0.00051462i,-0.0030188+0.0032041i,-0.0016238+0.00064489i,-0.0027413+0.0015208i,-0.0024755-0.0022609i,0.00056697-0.0026343i,0.00018792+0.0057875i,0.002046+0.0011886i,0.0022527-0.00010097i,0.00061054+0.00058671i,-0.0017667+0.0040705i,-0.0038916-0.0083133i,-0.002728+0.0024136i,-0.00088991-0.00018271i,0.0036514+0.0035525i,0.0086865-0.0016835i,0.00069778-0.0018421i,0.0010476-6.7248e-05i,-0.0068015-0.0021593i,0.0040578+0.0032271i,-0.015816-0.022438i,-0.035735-0.084832i,-0.07438+0.0073772i,-0.040277-0.020635i,-0.067507-0.019393i,-0.035005+0.0077735i,-0.058431+0.050313i,-0.046538+0.024602i,-0.030887-0.030543i,-0.039781-0.050134i,-0.038475+0.0027461i,3.5351e-05-0.00012148i,-0.0090253+0.027465i,0.011947+0.0055817i,0.0044968-0.0014288i,-0.018091-0.0084551i,0.0043186+0.0025464i,-0.0074401+0.0066296i,0.0098779+0.0044276i,0.0047812+0.0082291i,-0.0037874+0.00069119i,0.0075765-0.0011894i,0.0037507-0.0031343i,0.0097462+0.0087087i,0.0071835+0.0046219i,-0.0081926-0.0010714i,-9.674e-05-0.0068274i,0.0070769+0.0027583i,-0.0082182+0.0092782i,-0.000227+0.0027135i,-0.0024236-0.03257i,0.014269+0.00079691i,0.0067247-0.0018038i,0.0014333+0.00084727i,0.00096369-0.00011403i,0.011768-0.011912i,-0.0027206+0.00063349i,-0.0071471-0.002704i,-0.0038346+0.0013145i,0.0082472-0.0031374i,0.0083066-0.0017937i,0.0017918-0.0041676i,0.010091+0.0029156i,0.0058051+0.0011367i,0.014569-0.00828i,-0.077743-0.018007i,-0.0077632-0.011792i,-0.0041055-0.0030579i,-0.0046174+0.0047472i,-0.022668+0.025951i,-0.0021279+0.0037968i,-0.01142+0.0037993i
-0.035441+0.0086176i,-0.053804+0.024821i,-0.015613+0.04649i,-0.013523+0.017136i,0.0076684+0.010476i,0.01543+0.031213i,-0.017587+0.027995i,-0.039498+0.0416i,-0.015838+0.01653i,-0.0047937-0.0068909i,0.003782-0.0040316i,-0.0023445+0.0011754i,0.0053337+0.0019533i,-0.0015493+0.0053597i,0.0012093+0.0030767i,-0.0056344+0.0036701i,-0.010165+0.015215i,0.00084014+0.0019187i,0.0013071-0.0068942i,0.00092258-0.003694i,-0.0020045-0.0036091i,0.00089087-0.004375i,0.00034114-0.0038922i,-0.014224+0.0010898i,-0.0024809+0.00089069i,-0.0004862+0.0031111i,-0.001336+0.00066429i,-0.0012444+0.0014403i,-0.003307-0.0010673i,-0.0010711-0.0024753i,0.0021342+0.0050863i,0.0019133+0.00056437i,0.0016292-0.00073514i,0.00053567+0.00038597i,0.00066375+0.0043021i,-0.0054846-0.0096207i,-0.0017115+0.0035661i,-0.0012025+0.00035913i,0.0036468-0.00025111i,0.0066718-0.0034147i,0.00046921-0.0019136i,0.0016918-0.00076033i,-0.0077041+0.00036349i,0.0024831-0.0003375i,-0.021003-0.022164i,-0.05739-0.070817i,-0.064948+0.012218i,-0.046655-0.014149i,-0.071859-0.0069602i,-0.027983+0.0097459i,-0.039692+0.052598i,-0.030722+0.024514i,-0.03376-0.028539i,-0.046474-0.044267i,-0.033097+0.01217i,-0.0015201-0.00087961i,0.0015713+0.02562i,0.011164+0.00063142i,-0.00063816-0.002365i,-0.025199+0.0017411i,0.001353+0.0024853i,-0.0031276+0.0068115i,0.0082202-0.0010867i,0.008+0.007127i,-0.0032847+0.0042001i,0.0040253-0.0029264i,0.0029624-0.005651i,0.0078182+0.0015708i,0.0045714+0.0014544i,-0.0072608+0.0033615i,-0.0019268-0.0050241i,0.0077478+0.0003507i,0.002064+0.012095i,0.0015914+0.0018526i,-0.010028-0.026224i,0.012613-0.0043192i,0.0057627-0.0039982i,0.0020357+0.0016839i,0.0013313-0.00059577i,0.0057858-0.012164i,-2.8608e-05+0.0033771i,-0.0078463+0.0013506i,-0.0010618+0.0043858i,0.0056527-0.0031369i,0.0072251-0.0064344i,-2.1814e-05-0.0042399i,0.0094762-0.003459i,0.0052879-0.0018299i,0.010537-0.012683i,-0.074687-0.0042713i,-0.017872-0.014365i,-0.0047466-0.0077128i,-0.0034787+0.0026083i,-0.015057+0.026813i,-0.0063729+0.002997i,-0.013952+0.0038155i
-0.033277+0.010923i,-0.050295+0.032249i,-0.011039+0.0458i,-0.0089752+0.018714i,0.0092377+0.0045287i,0.019594+0.026749i,-0.012187+0.029565i,-0.033071+0.044261i,-0.0135+0.019534i,-0.0057963-0.0047536i,0.0016748-0.0050574i,-0.0010028+0.003772i,0.0046171+0.00071925i,0.0010698+0.0067186i,0.0022248+0.0032086i,-0.0030291+0.0070444i,-0.00195+0.018031i,0.0010642+0.00075378i,-0.00016742-0.0061428i,-0.001216-0.0040512i,-0.003084-0.0030735i,7.5577e-05-0.0045776i,-0.0012483-0.004124i,-0.011309+0.0050212i,-0.0028104+0.00083692i,-9.834e-05+0.0015393i,-0.001275+0.00073563i,-0.00046941+0.00084552i,-0.0033917+0.0003369i,-0.0016419-0.0013524i,0.0034046+0.0039161i,0.0018521-0.0002894i,0.00090854-0.00078373i,0.00041175+0.00027702i,0.0017018+0.0035909i,-0.0089568-0.0094612i,-0.00054748+0.0039359i,-0.001042+0.0012238i,0.0014704-0.001238i,0.0046908-0.0036889i,0.00012945-0.0022085i,0.0016846-0.0016809i,-0.0070119+0.0028921i,-0.00055557+0.000692i,-0.026142-0.01915i,-0.066049-0.050542i,-0.059718+0.013675i,-0.051503-0.0053329i,-0.073115+0.0084336i,-0.023711+0.007532i,-0.02427+0.05038i,-0.021193+0.020743i,-0.035484-0.027082i,-0.050642-0.038328i,-0.026933+0.018963i,-0.0024922-0.00073732i,0.011398+0.020318i,0.0095108-0.0021682i,-0.004379+9.3385e-05i,-0.024904+0.012345i,0.00079087+0.0043291i,0.00034683+0.0075943i,0.0031849-0.0023836i,0.011006+0.0043661i,-0.0010028+0.0064801i,0.0013762-0.0016851i,0.00052456-0.006971i,0.0025186+0.00091354i,0.0019598+0.0022634i,-0.0057543+0.0066337i,-0.0031968-0.002158i,0.0074151-0.0022774i,0.0079501+0.007448i,0.0022453+0.00041921i,-0.013935-0.02346i,0.0093283-0.0081315i,0.003991-0.0059007i,0.0045324+0.001806i,0.00082263-0.00048767i,0.0025669-0.010639i,0.0025258+0.0027416i,-0.0051277+0.0060504i,0.0022173+0.004541i,0.0054123-0.0034483i,0.0028859-0.010665i,-0.00024801-0.0034575i,0.0052001-0.0067887i,0.0031491-0.0036668i,0.0041249-0.016013i,-0.069009+0.0037378i,-0.028272-0.0082966i,-0.008379-0.0091751i,-0.0039342-0.00015556i,-0.0096247+0.026186i,-0.0097138+0.0057177i,-0.013872+0.0074817i
-0.031934+0.013559i,-0.045856+0.039633i,-0.006983+0.047102i,-0.0042028+0.017903i,0.0073801-0.0013859i,0.023482+0.022701i,-0.006806+0.029338i,-0.026903+0.04665i,-0.0097754+0.02016i,-0.0064157-0.0034769i,-0.001419-0.0044796i,0.0012165+0.0047417i,0.0038688+0.00023866i,0.0038012+0.0055082i,0.0030831+0.0026405i,0.00043849+0.0085856i,0.0064176+0.016958i,0.0010672+0.00021473i,-0.0018005-0.0060747i,-0.0031053-0.0032601i,-0.0034657-0.0016961i,-0.00070082-0.0049343i,-0.002364-0.003313i,-0.0091609+0.0059979i,-0.0032478+0.0022313i,-0.00063532+0.0013363i,-0.0013722+0.00093302i,-0.00019661-0.00017796i,-0.0026238+0.0014777i,-0.0016428-0.00074086i,0.0045811+0.0027072i,0.0015373-0.00099659i,0.00064862-0.00078818i,0.00021038+3.0777e-05i,0.0023585+0.0032286i,-0.012287-0.0074188i,0.000562+0.0035517i,-0.00018769+0.0016509i,0.00025263-0.001169i,0.0034624-0.0034949i,-0.00032346-0.0020563i,0.0011064-0.0023917i,-0.0054569+0.0047529i,-0.00099857+0.003324i,-0.030047-0.013767i,-0.064936-0.036059i,-0.057414+0.016161i,-0.052783+0.0068104i,-0.067855+0.025839i,-0.025679+0.006009i,-0.013375+0.045049i,-0.014485+0.016293i,-0.037983-0.023464i,-0.055706-0.032188i,-0.019817+0.022713i,-0.0042463+0.0002429i,0.015552+0.008451i,0.0084123-0.0054338i,-0.0058278+0.0041252i,-0.018584+0.02238i,0.0019483+0.0044171i,0.0050725+0.0054419i,0.0013271+0.0002834i,0.013018-0.00088226i,0.001826+0.0072475i,0.00074553-9.0998e-05i,-0.0042024-0.0081722i,0.00063455+0.0042387i,0.0021792+0.0041101i,-0.0014305+0.01026i,-0.0016318+0.00039769i,0.0057764-0.0039299i,0.010034+0.0024882i,0.0027058-0.0013368i,-0.021801-0.021552i,0.004738-0.0099963i,0.00096684-0.0067459i,0.0046523-0.00069211i,0.0008462+0.0005683i,0.0015321-0.0087976i,0.0035584+0.00086912i,-0.00071163+0.0071928i,0.0040814+0.0019703i,0.0038419-0.0043476i,-0.0039032-0.01016i,-0.00083931-0.003932i,0.0014018-0.0062933i,0.002102-0.0047538i,-0.0036066-0.015413i,-0.066097+0.011027i,-0.028457+0.0066281i,-0.012012-0.0092836i,-0.0063663-0.00084514i,-0.005587+0.026079i,-0.0088031+0.010605i,-0.0091213+0.0097961i
-0.03019+0.017024i,-0.039691+0.047144i,-0.00079278+0.04908i,-0.0016334+0.015537i,0.0028637-0.0043356i,0.027192+0.017727i,-0.0017983+0.02819i,-0.020822+0.049024i,-0.0070852+0.020518i,-0.0073921-0.0016069i,-0.0029739-0.0018321i,0.0038896+0.0045896i,0.003484+5.2518e-05i,0.0050815+0.003244i,0.003363+0.0018861i,0.0038661+0.0083132i,0.012774+0.012106i,0.00093378-1.4799e-05i,-0.003083-0.0052497i,-0.0041939-0.0013602i,-0.0031149-0.00065193i,-0.002142-0.0050268i,-0.0029152-0.0023288i,-0.0082423+0.0080851i,-0.0026554+0.0032246i,-0.00064767+0.0020679i,-0.0012413+0.0015184i,-0.001408-0.00097661i,-0.002054+0.0018192i,-0.0017585-0.0004388i,0.0052206+0.0010081i,0.0013834-0.0011281i,0.00073675-0.00096261i,0.00021154-2.0718e-05i,0.0036931+0.0014446i,-0.015192-0.0038056i,0.0016491+0.0032711i,0.00056663+0.0013073i,-0.00049484-0.00098496i,0.0024012-0.0035186i,-0.00081565-0.001775i,0.00038769-0.0025789i,-0.0039024+0.0053281i,0.0001145+0.0042146i,-0.031567-0.0090682i,-0.064707-0.029843i,-0.055714+0.021329i,-0.047875+0.017858i,-0.056742+0.040009i,-0.026816+0.009401i,-0.0052931+0.040559i,-0.011668+0.0111i,-0.039669-0.020082i,-0.059298-0.023205i,-0.013682+0.024447i,-0.003929+0.00088006i,0.0093996-0.0017783i,0.0050926-0.0094018i,-0.0045522+0.0074058i,-0.0092814+0.025891i,0.0020683+0.0033247i,0.0067018+0.00046685i,0.002831+0.0010782i,0.011115-0.0051962i,0.0060727+0.0064893i,0.0010825+0.0021816i,-0.0084631-0.0025277i,0.0024041+0.0068356i,0.0035435+0.0053523i,0.0041165+0.0099935i,-0.00066774+0.00065145i,0.0044214-0.0050165i,0.010482-0.004138i,0.00048838-0.0020107i,-0.029786-0.01328i,0.0011575-0.0096744i,-0.0016649-0.0051805i,0.0052027-0.00014893i,0.0014418+0.00017405i,0.0014037-0.0096926i,0.0032116-0.00099231i,0.0022018+0.0052209i,0.0040288+0.00095605i,0.0032346-0.0035691i,-0.0072572-0.0060093i,-0.0028477-0.0041655i,-0.0016553-0.0053936i,-0.00036865-0.0056728i,-0.0084345-0.010884i,-0.061392+0.018575i,-0.022531+0.0090348i,-0.012716-0.0073797i,-0.0079989-2.2601e-06i,-0.00042671+0.023962i,-0.0072251+0.011904i,-0.0067425+0.0088251i
-0.027496+0.020112i,-0.031487+0.05353i,0.007179+0.050038i,-0.00039092+0.014528i,-0.0018571-0.0041323i,0.029703+0.01223i,0.0026472+0.026313i,-0.014055+0.05145i,-0.0041968+0.020898i,-0.0076805+0.00059613i,-0.0019657+0.00040739i,0.0063894+0.0024089i,0.003302-3.6293e-07i,0.0049596+0.0016919i,0.0038424+0.0014743i,0.006605+0.0063274i,0.015478+0.0063294i,0.00098359-0.00074071i,-0.0040586-0.0044469i,-0.0040382+0.00080467i,-0.0026481+0.00010739i,-0.003461-0.003845i,-0.0031571-0.0015075i,-0.004972+0.0097029i,-0.0018166+0.0045142i,0.00047086+0.0025161i,-0.00084464+0.0022122i,-0.0027875-0.00014674i,-0.001423+0.0022848i,-0.0017267+0.00013103i,0.0048894-0.00092731i,0.0013595-0.0020397i,0.00020487-0.0014069i,0.00016901+6.481e-05i,0.003261-0.00049554i,-0.016224+0.0016645i,0.0024489+0.0026959i,0.00087372+0.00092836i,-0.0015691-0.00060053i,0.0022309-0.0034038i,-0.00096647-0.0015321i,-0.00018076-0.002638i,-0.0029527+0.0056155i,0.0011204+0.0047692i,-0.03272-0.0049269i,-0.069401-0.023812i,-0.053348+0.02688i,-0.04228+0.025574i,-0.042144+0.047728i,-0.027099+0.01327i,0.0025253+0.034845i,-0.010537+0.0087494i,-0.041626-0.016117i,-0.060544-0.013119i,-0.0079791+0.024951i,-0.0038667+0.0017935i,0.002793-0.0018587i,-0.00028-0.011303i,-0.0011066+0.010881i,-0.00067839+0.024554i,0.0011202+0.0023123i,0.0052566-0.0042491i,0.0026552+0.00047067i,0.0077181-0.0091655i,0.0092639+0.003563i,0.0030991+0.0030033i,-0.0076676+0.0015124i,0.0054838+0.0081173i,0.00607+0.0059081i,0.0090135+0.0066597i,2.6505e-05+0.0011962i,0.0037324-0.0058576i,0.0069929-0.0090487i,-0.00019191-8.4931e-05i,-0.033906-0.0016653i,-0.001159-0.0089388i,-0.0027074-0.0030875i,0.0059108-0.0012545i,0.0013349-0.00027019i,-0.00042975-0.011595i,0.0020124-0.0019249i,0.0043914+0.0042708i,0.0046481-0.00036499i,0.0043555-0.0040496i,-0.0086599-0.0029404i,-0.0050596-0.0017962i,-0.0044842-0.0036257i,-0.0023612-0.0060763i,-0.010483-0.0063829i,-0.056424+0.024437i,-0.020758+0.010083i,-0.012936-0.0075295i,-0.0087202+0.0015589i,0.0012907+0.022212i,-0.0065838+0.012484i,-0.0047678+0.0081086i
-0.024284+0.023088i,-0.021285+0.05786i,0.016239+0.048923i,0.0012631+0.013802i,-0.0044012-0.00094248i,0.031401+0.0065846i,0.0063766+0.023251i,-0.005898+0.053091i,-0.0010523+0.020672i,-0.0073367+0.0028908i,-0.00072554+0.00083405i,0.0066315-0.0011193i,0.0036933-0.00027335i,0.0051163+0.00030197i,0.0043855+0.00066956i,0.0075821+0.0037637i,0.015419+0.00083943i,-0.00037946-0.0014669i,-0.0056067-0.0030193i,-0.0027331+0.0021978i,-0.0018074+0.00026252i,-0.0039802-0.0028407i,-0.0033252-0.00060882i,-0.0011949+0.0098658i,0.00023682+0.0050343i,0.0014097+0.001929i,1.0006e-05+0.0024456i,-0.0029855+0.0012772i,-0.0005298+0.0022341i,-0.0013333+0.00054993i,0.0039601-0.0025591i,0.00032744-0.0025573i,-0.00043037-0.0013538i,0.00013415+7.5437e-05i,0.0023335-0.0016355i,-0.014789+0.0069573i,0.0029139+0.0017437i,0.0011259+0.00047873i,-0.0020965+0.00050022i,0.0018128-0.0037048i,-0.0013407-0.0014089i,-0.00086152-0.0027212i,-0.0020219+0.0060821i,0.0023771+0.0049876i,-0.034371+0.00017713i,-0.076379-0.012204i,-0.048719+0.032208i,-0.033932+0.03205i,-0.028244+0.051735i,-0.025771+0.020015i,0.0088328+0.027223i,-0.0063482+0.0062765i,-0.042753-0.0097597i,-0.059316-0.0025547i,-0.0032018+0.025028i,-0.004031+0.0019643i,-0.00023252-0.00090889i,-0.0062954-0.010645i,0.0050546+0.01069i,0.0044522+0.021462i,-0.00095883+0.0021419i,0.0029705-0.0072418i,0.0036499+0.0021524i,0.0022485-0.010647i,0.010564-0.0019714i,0.0051144+0.0023682i,-0.0068272+0.005229i,0.01048+0.0074628i,0.010106+0.0036658i,0.010823+0.0012132i,0.0012235+0.0014585i,0.002263-0.0070487i,3.0983e-05-0.010682i,0.0011779+0.0012931i,-0.033403+0.011387i,-0.0030914-0.0082299i,-0.0023912-0.00078245i,0.0063791-0.0051348i,0.0016259+0.00016948i,-0.0053374-0.012282i,0.0008501-0.001719i,0.0060216+0.0015279i,0.0041416-0.0015965i,0.0035454-0.006023i,-0.0085988+0.0020076i,-0.0050173+0.0015114i,-0.005961-0.00060749i,-0.0050456-0.0060889i,-0.010749-0.0025059i,-0.052009+0.030295i,-0.021143+0.014793i,-0.01469-0.0097933i,-0.0064741+0.0034846i,0.0038696+0.022291i,-0.0066249+0.015139i,-0.0022585+0.0057742i
-0.020507+0.025297i,-0.010752+0.05926i,0.025261+0.045029i,0.0025983+0.013007i,-0.0041835+0.0024913i,0.032529+0.00060024i,0.0088133+0.019853i,0.0027782+0.052531i,0.001957+0.020236i,-0.0065564+0.0052243i,-0.00045738+0.00086207i,0.00478-0.0034398i,0.0036389-0.0013267i,0.0043632-0.00088995i,0.0043117-0.00041163i,0.0072411+0.0017324i,0.013697-0.0033474i,-0.0010867-0.00088987i,-0.005928-0.0008695i,-0.0012071+0.0025992i,-0.0011289+0.00010584i,-0.0042211-0.0020783i,-0.0029463+0.00025869i,0.0018337+0.0091636i,0.0023122+0.0043973i,0.00171+0.0014042i,0.00090877+0.0021729i,-0.0023345+0.0025679i,0.00014017+0.0018178i,-0.001146+0.00081516i,0.0024699-0.0034218i,-0.00079752-0.0022761i,-0.00084776-0.0010241i,8.1706e-05+1.1117e-05i,0.00096216-0.0024781i,-0.011605+0.011048i,0.0030612+0.00053208i,0.0010886-2.0304e-05i,-0.0015629+0.001782i,0.0009465-0.0041697i,-0.0016218-0.00090344i,-0.0016309-0.0028505i,-0.00078052+0.0066892i,0.0039205+0.004531i,-0.033836+0.0059547i,-0.077771+0.004092i,-0.045597+0.035862i,-0.025813+0.034588i,-0.014205+0.052521i,-0.019903+0.027309i,0.011353+0.018405i,-0.0043606-0.00048387i,-0.03962-0.003834i,-0.054304+0.00861i,0.0029632+0.024408i,-0.004561+0.0031989i,-0.0027831+0.0010191i,-0.010661-0.0072094i,0.0087635+0.006732i,0.0085424+0.01894i,-0.0037074+0.0038991i,-0.00060647-0.010461i,0.0067336+0.00021604i,-0.0029151-0.0091167i,0.0076328-0.0061605i,0.0067361+7.3476e-05i,-0.0047796+0.0073743i,0.01445+0.0016858i,0.011416-0.0021941i,0.009774-0.0039217i,0.0029848+0.00070079i,-0.00049439-0.0076991i,-0.0045837-0.0066477i,0.0029331+0.00034477i,-0.02661+0.025789i,-0.0050876-0.0069212i,-0.00094596+0.00071347i,0.002822-0.0076122i,0.0026137+4.97e-05i,-0.010433-0.0095988i,0.00075542-0.00085942i,0.0058148-0.0017334i,0.0031231-0.0026281i,0.0014972-0.0063541i,-0.0054328+0.0056572i,-0.0028457+0.0037211i,-0.0052814+0.003143i,-0.0087198-0.0047672i,-0.010098+0.0002661i,-0.045365+0.037479i,-0.013844+0.021035i,-0.019809-0.009857i,-0.0032535+0.0025815i,0.0064215+0.021395i,-0.0039905+0.018729i,-0.0021939+0.0016782i
