-0.0078471-0.038882i,-0.012956-0.042816i,0.0016168-0.045791i,-0.027417-0.027313i,-0.020169+0.014326i,-0.03297-0.031349i,-0.060916-0.059002i,-0.022758-0.072427i,-0.034268-0.049738i,0.0014945+0.014998i,-0.007469+0.010302i,-0.014686+0.013223i,0.001871+0.016175i,-0.0039869-0.0034691i,0.00077858+0.0061746i,0.00064812+0.037358i,0.019324+0.058256i,0.00093377-0.00058138i,-0.0051726-0.0082201i,0.0082004+0.0046092i,0.0019263+0.00076735i,-0.00086984+0.0036766i,1.8967e-06-0.00133i,-0.034908-0.008656i,-0.0023975-0.0073497i,-0.0001885+0.0043254i,0.0046137+0.00022072i,0.00014024+0.0010503i,-0.00026976-0.0010078i,-0.00012871-0.0026154i,-0.0011759-0.005946i,-0.0024774-0.0038168i,-0.00061581-0.0082411i,0.0032694-0.0015769i,0.0030889-0.0024101i,-0.00030749+0.034126i,0.0061579-0.0041621i,0.003633-0.002342i,0.0049601+0.00033112i,-0.013614-0.004278i,-0.00029494+0.00038735i,0.0098574-0.00084094i,0.0059577-0.00052555i,-0.0033389+0.0041054i,0.0031711+0.0027665i,-0.0041466+0.0079883i,0.013453-0.087078i,-0.007178-0.048877i,-0.024935-0.038913i,-0.020324-0.041306i,0.062558-0.018178i,0.026235-0.061898i,0.038222-0.045768i,0.02885-0.057579i,0.019063-0.015707i,0.0087695+0.0097767i,0.024141-0.033368i,-0.0076936-0.0049638i,0.0020417-0.0032673i,-0.0051922-0.0062198i,0.0011953-0.031894i,-0.024047+0.031106i,0.0077804-0.010391i,-0.011022-0.0014465i,-0.0051489-0.0011399i,-0.0011147-0.014087i,-0.010488+0.0044542i,0.0040194+0.0079745i,-0.010332+0.031198i,0.0059289+0.0074899i,-0.005414-0.0016488i,-0.0017416-0.0017494i,-0.010972-0.0074312i,0.0010545-0.0034624i,-0.034729+0.0053917i,0.0022245-0.012633i,-0.0090642-0.0022776i,-0.0060402-0.0029501i,0.0063429+0.0015655i,-0.0096711+0.0015544i,0.00086061+0.00011026i,0.0051486+0.0088474i,0.0044316+0.00060513i,-0.0091084-0.0098955i,0.0024227+0.0087283i,-0.018953+0.0066434i,0.0068185+0.0032824i,-0.028948-0.0080508i,-0.033723+0.0030136i,0.024196-0.077787i,0.011872-0.010166i,-0.044055-0.026537i,-0.022202-0.0028678i,0.017869+0.012406i,-0.026706+0.012718i,-0.011286-0.008056i
-0.033425+0.00062958i,-0.046467+0.017454i,-0.047927+0.042468i,-0.02754+0.005618i,-0.0052492+0.014017i,-0.008202+0.030954i,-0.029389+0.018572i,-0.057169+0.024149i,-0.019686+0.021559i,0.0015458-0.0086684i,0.0015019-0.0015668i,0.0036405+0.00034206i,0.0029832+0.0088602i,-0.0036112+0.0014582i,0.0016302+0.0023817i,0.00097642-0.009189i,-0.011964-0.0082805i,-0.0042922+0.00050005i,0.0041119-0.0025205i,0.0013555-0.0012596i,0.0022321-0.0042214i,0.0017317-0.0042177i,0.0019639-0.0033678i,-0.011169-0.010781i,-0.0024164-0.00017952i,-0.0041739-0.00016985i,-0.0036242-0.00088551i,-0.0051239-0.0017403i,-0.0012622-0.0023154i,0.0010677-0.00191i,-0.0037819+0.0045501i,0.0011457+0.0017602i,0.0018566+0.00161i,0.0018555+0.00065319i,-0.001934+0.0029067i,-0.0033105-0.0084493i,-0.003238+0.0013867i,0.0012649-1.025e-05i,-0.000591+0.0037629i,0.010055+0.0071836i,0.0013549-0.0025178i,0.00092452-0.00050048i,-0.0043466-0.0048039i,0.0018175+0.0040563i,-0.018853-0.016501i,0.00016254-0.062435i,-0.088028-0.0091294i,-0.02248-0.020367i,-0.047846-0.039905i,-0.043607-0.0058563i,-0.093589+0.014162i,-0.06258+0.0011762i,-0.036841-0.027835i,-0.030912-0.054489i,-0.034123-0.025523i,-0.00086154+0.0019028i,-0.025246+0.013545i,0.0041774+0.017246i,0.0043141+0.0076708i,-0.00094575-0.0076181i,0.0080568+0.0038596i,-0.010397-0.0042398i,0.002226+0.011203i,-0.0014286+0.0078198i,-0.0010538-0.0025607i,0.0058957+0.0025213i,0.0034618-0.0011735i,-0.0040864+0.019729i,-0.00023685+0.012675i,0.0008547-0.0043638i,0.010505-0.0070637i,0.0033276+0.0035252i,-0.0082959-0.0071812i,-0.0023096-0.0015927i,0.026072-0.033486i,0.0082228+0.0084408i,0.0041376+0.0026878i,-0.0018493+0.0029259i,0.0032071-0.0040585i,0.020774+0.0018246i,0.001756-0.0015988i,-0.00064236-0.0066303i,0.0011084-0.0026606i,0.011963+0.0048919i,0.0056396-0.00011907i,0.0031015-0.0057951i,0.0037401+0.0072624i,0.0041077+0.0033023i,0.017197+0.0010702i,-0.066108-0.042314i,-0.0095994+0.010201i,-0.0060977-0.0045288i,-0.0060573+0.0029501i,-0.036347+0.010876i,-0.0059331+0.0080976i,-0.015086+0.0041334i
-0.031365+0.0046718i,-0.042733+0.021991i,-0.035383+0.044401i,-0.026361+0.011396i,-0.0038599+0.011575i,-0.0027369+0.030898i,-0.026901+0.022909i,-0.049392+0.031851i,-0.014425+0.017613i,-0.0010236-0.0078063i,0.0012139-0.00098445i,0.0033664-0.001588i,0.0051991+0.0059313i,-0.0020175+0.0032569i,0.0019591+0.0025662i,-0.0043836-0.006281i,-0.017035-0.0012333i,-0.0037275+0.0020799i,0.0042011-0.0030994i,0.0014066-0.0019137i,0.00095995-0.0043582i,0.0017562-0.0032081i,0.0015671-0.0034827i,-0.01261-0.0061781i,-0.0018412+0.00019735i,-0.0043528+0.0012896i,-0.002943+0.00039824i,-0.0044854+3.7762e-05i,-0.0018506-0.0021836i,0.00065383-0.0017366i,-0.0018671+0.0060219i,0.0013237+0.0015207i,0.0019765+0.00068595i,0.00076456+0.0001583i,-0.0023592+0.0026596i,-0.0037335-0.0071188i,-0.0028758+0.0018937i,-4.8711e-05-0.00056124i,-0.00067445+0.0045261i,0.010342+0.0011933i,0.00058231-0.0029086i,6.9109e-05-0.0011518i,-0.0064479-0.0036423i,0.0030377+0.0035951i,-0.020385-0.018522i,-0.018751-0.068357i,-0.082398+0.0066603i,-0.029259-0.022016i,-0.058917-0.032266i,-0.040903+0.0037589i,-0.08215+0.034704i,-0.05977+0.015109i,-0.028426-0.028042i,-0.03733-0.050028i,-0.040558-0.011449i,-0.0012864+0.00023309i,-0.017552+0.023619i,0.0086028+0.011981i,0.0063618+0.0027541i,-0.0070017-0.012596i,0.0039553+0.0030734i,-0.010732+0.0026982i,0.0066105+0.0088455i,0.0015142+0.0093429i,-0.001906-0.0016736i,0.0068092+0.0025937i,0.0034717-0.00077417i,0.0053481+0.015998i,0.0057149+0.0081039i,-0.0036297-0.0058063i,0.0030971-0.0081475i,0.0043603+0.0035841i,-0.011107+0.00031261i,-0.0021733+0.0011294i,0.010207-0.035943i,0.010665+0.006344i,0.0064196+0.00082853i,0.00099398+0.0020941i,6.9258e-05-0.0021559i,0.017852-0.0071651i,0.00014386-0.0023054i,-0.0039529-0.0049886i,-0.0022146-0.0020826i,0.011107+0.00024161i,0.0049726+0.00013876i,0.0010375-0.0039459i,0.0062684+0.0057259i,0.0037976+0.002677i,0.015395-0.0045218i,-0.072244-0.033279i,-0.0029419-0.0010375i,-0.0066629-0.003912i,-0.0058258+0.0022665i,-0.030329+0.021413i,-0.0035524+0.0088958i,-0.013394+0.0067396i
-0.028338+0.0075512i,-0.039943+0.026454i,-0.027001+0.042914i,-0.023343+0.014752i,-0.0013132+0.011452i,0.0026522+0.029792i,-0.023027+0.02709i,-0.041319+0.036557i,-0.014981+0.014105i,-0.0031169-0.0062609i,0.0017137-0.00057099i,-0.00039558-0.0023925i,0.0059468+0.0037549i,-0.0013098+0.003616i,0.0027878+0.0025978i,-0.0074328-0.0006158i,-0.016907+0.0076321i,-0.001428+0.0035769i,0.0042441-0.0050996i,0.0013766-0.0029289i,-0.0004979-0.0045069i,0.0020277-0.0041276i,0.001137-0.0040353i,-0.013353-0.0025665i,-0.0020216+0.00073512i,-0.0033561+0.0033108i,-0.0021892+0.00073892i,-0.0029816+0.0017423i,-0.0022859-0.0019808i,-0.00012517-0.002601i,0.00071546+0.006239i,0.0015778+0.0012021i,0.0019092+0.00015127i,0.00086122-1.0988e-05i,-0.0014083+0.0045247i,-0.0038231-0.0064377i,-0.0028348+0.0023056i,-0.00079796-0.00036146i,0.0034899+0.0040674i,0.0080084-0.0022053i,-0.00027591-0.0028437i,0.00039499-0.00026566i,-0.0088321-0.001975i,0.004016+0.0017759i,-0.024342-0.018709i,-0.040214-0.064777i,-0.072242+0.018007i,-0.03589-0.019139i,-0.065426-0.020407i,-0.033985+0.0098152i,-0.062257+0.048749i,-0.045102+0.027517i,-0.030906-0.032726i,-0.043408-0.046637i,-0.039062+0.0026138i,-0.001966-0.0002992i,-0.0065061+0.026809i,0.010446+0.0067419i,0.0032167-0.0014832i,-0.019398-0.011327i,0.0035207+0.0024364i,-0.006802+0.0070003i,0.0088738+0.0042566i,0.0046789+0.0090967i,-0.0041573+0.00042786i,0.0071494-0.0011803i,0.004013-0.0024166i,0.0086483+0.0094068i,0.0058518+0.0032461i,-0.0083885-0.0025395i,0.00043366-0.0058658i,0.0066617+0.0024746i,-0.0072749+0.0091886i,-0.00022933+0.0025122i,-0.0019748-0.032658i,0.01361+0.0011653i,0.0058812-0.0018793i,0.0011047+0.00059635i,0.00089722-0.00023469i,0.011284-0.011606i,-0.0025705+0.00096322i,-0.0057727-0.002085i,-0.0033807+0.0016659i,0.0080816-0.0029093i,0.0079956-0.0017723i,0.0016075-0.0035803i,0.0097694+0.0023322i,0.0058513+0.0012008i,0.012059-0.0090476i,-0.076263-0.020165i,-0.0082935-0.011059i,-0.0053168-0.0041111i,-0.0060942+0.0017673i,-0.020946+0.025874i,-0.0023624+0.0039053i,-0.010205+0.0034137i
-0.025674+0.0087077i,-0.036104+0.031609i,-0.021426+0.041684i,-0.019535+0.018667i,0.0025599+0.0086814i,0.00758+0.027316i,-0.017658+0.030579i,-0.0341+0.038347i,-0.016808+0.015143i,-0.0044495-0.0043794i,0.0020092-0.001538i,-0.0023928+0.00098458i,0.0054864+0.0017927i,-0.00099562+0.0050152i,0.0032479+0.0019174i,-0.0058472+0.0056627i,-0.011299+0.015288i,0.00055427+0.002762i,0.0018913-0.0065083i,7.6874e-06-0.0041633i,-0.0017658-0.0038802i,0.0014624-0.0047989i,4.1147e-05-0.0050326i,-0.013213+0.0018367i,-0.0013954+0.00098551i,-0.00093451+0.0032779i,-0.0019578+0.00068419i,-0.0011682+0.0018107i,-0.0030618-0.00077224i,-0.0017088-0.0021255i,0.0028352+0.0052731i,0.0017031+0.00074184i,0.0012917-0.0004783i,0.00059737-6.9224e-05i,0.0013404+0.0046944i,-0.0047954-0.0071945i,-0.0017791+0.0033632i,-0.0013495+0.00017345i,0.0040307+0.00031957i,0.0059496-0.0035911i,-0.00073271-0.0027068i,0.00095989-0.00055826i,-0.0099466+0.0016569i,0.0023697-0.00099922i,-0.029783-0.016834i,-0.05749-0.049866i,-0.06201+0.023117i,-0.041839-0.013848i,-0.068978-0.0080916i,-0.026398+0.011495i,-0.043273+0.051932i,-0.029343+0.026934i,-0.035192-0.030312i,-0.049894-0.039705i,-0.034179+0.01238i,-0.0031117-0.00034486i,0.003258+0.025126i,0.010606+0.0021955i,-0.0013283-0.0018111i,-0.028098+0.00046446i,0.00097513+0.0030633i,-0.0023804+0.0078165i,0.0075852-0.00091572i,0.0080105+0.0079144i,-0.0037301+0.0036959i,0.0037739-0.0024734i,0.0031378-0.0050353i,0.0078646+0.0029798i,0.0031542+0.00095344i,-0.0086603+0.0018538i,-0.001396-0.0045062i,0.0072842+0.00013291i,0.0022256+0.01078i,0.0012217+0.0014602i,-0.009238-0.026215i,0.012185-0.0038365i,0.0050164-0.0036477i,0.0017633+0.0016873i,0.0014936-0.00069073i,0.0059838-0.0119i,0.00023891+0.0033204i,-0.0060181+0.001074i,-0.00099358+0.003833i,0.0056564-0.0029961i,0.0070352-0.0065424i,-3.5596e-05-0.0035626i,0.0087997-0.0036527i,0.0055265-0.0018584i,0.0078754-0.012398i,-0.073709-0.006547i,-0.01834-0.013391i,-0.0060794-0.0074306i,-0.0060203+0.0013026i,-0.014042+0.026182i,-0.0061881+0.0026985i,-0.012768+0.0031234i
-0.024234+0.0097427i,-0.031939+0.036129i,-0.018095+0.041418i,-0.014106+0.020822i,0.0045664+0.0043335i,0.011073+0.024687i,-0.011397+0.032246i,-0.028501+0.040032i,-0.015541+0.01897i,-0.0045919-0.0025338i,0.00098834-0.0020544i,-0.0011024+0.0037783i,0.0047476+0.00058889i,0.0013075+0.0062774i,0.0037895+0.001439i,-0.0015044+0.0086655i,-0.0034786+0.018775i,0.0011699+0.0017135i,6.9611e-05-0.0062627i,-0.001967-0.0042326i,-0.0027588-0.0032312i,0.00036001-0.0051251i,-0.0020797-0.0049029i,-0.010121+0.0052732i,-0.0015104+0.00066868i,-0.00037944+0.002142i,-0.0018566+0.00099306i,-0.00026187+0.0010463i,-0.0029525+0.0005524i,-0.0018838-0.00072851i,0.0041874+0.0037698i,0.0017447-0.00010765i,0.00054506-0.00043418i,0.00024564-3.5269e-05i,0.0023765+0.0033264i,-0.0072037-0.0070226i,-0.00071184+0.0037189i,-0.0013242+0.001381i,0.0017479-0.001111i,0.003907-0.0038454i,-0.001227-0.0026299i,0.0009728-0.0011777i,-0.008447+0.0049782i,-8.2909e-05-1.1305e-05i,-0.034017-0.01145i,-0.061974-0.030225i,-0.055472+0.024927i,-0.046838-0.0062826i,-0.07034+0.0056397i,-0.022023+0.0087787i,-0.027542+0.050486i,-0.019642+0.022966i,-0.037412-0.027521i,-0.052983-0.032855i,-0.027511+0.020288i,-0.0040219+0.00047928i,0.01352+0.019785i,0.0097253-0.00076308i,-0.0046622+0.00063348i,-0.027553+0.013598i,0.0010117+0.0049712i,0.0012991+0.008292i,0.0031421-0.0023595i,0.010852+0.0047658i,-0.0021002+0.0058029i,0.001661-0.0012963i,0.0013243-0.0067335i,0.0034627+0.0017518i,0.00088686+0.002092i,-0.0078021+0.0072461i,-0.0027636-0.0019931i,0.0067545-0.0024283i,0.0071962+0.0063826i,0.001564+0.00062254i,-0.012957-0.023436i,0.009242-0.0075679i,0.0032982-0.0052206i,0.0046454+0.0012076i,0.0014598-0.00079393i,0.0028871-0.010817i,0.00271+0.0026006i,-0.004105+0.0043888i,0.0018087+0.0037399i,0.0052681-0.0031865i,0.0028324-0.010765i,-5.149e-06-0.0027707i,0.0046278-0.0066683i,0.0032792-0.003603i,0.0019556-0.01471i,-0.068054+0.0012853i,-0.028621-0.0063362i,-0.0090871-0.0089359i,-0.0058724+0.00055535i,-0.0085695+0.026131i,-0.0091462+0.0054408i,-0.013481+0.0065602i
-0.023314+0.011053i,-0.026995+0.04069i,-0.015124+0.043577i,-0.0084389+0.020298i,0.0034203-0.00063352i,0.01483+0.022365i,-0.0048534+0.03181i,-0.023311+0.042023i,-0.012219+0.020668i,-0.0046418-0.0016354i,-0.00082553-0.0018435i,0.00092147+0.0051115i,0.0039471+8.0041e-05i,0.0038209+0.005148i,0.0038991+0.00064939i,0.0026176+0.0088966i,0.0052703+0.018429i,0.0016409+0.0012847i,-0.0016597-0.00585i,-0.0038223-0.0032646i,-0.0032757-0.0017552i,-0.0003951-0.0053814i,-0.0032392-0.0035352i,-0.0077004+0.0056265i,-0.0019566+0.0013208i,-0.00045202+0.0019608i,-0.0015834+0.0014186i,0.00025266-0.00013562i,-0.0019107+0.0013592i,-0.0015828-0.00012296i,0.0051925+0.0021218i,0.0013777-0.00070437i,0.00029892-0.00035679i,-0.00021605-0.0002321i,0.0028495+0.0026312i,-0.0096993-0.005447i,0.0001974+0.0033166i,-0.00028418+0.0019721i,0.00046073-0.0010705i,0.002689-0.0034492i,-0.0018544-0.0020776i,0.00034457-0.001597i,-0.0059548+0.0069858i,-0.00033473+0.0019544i,-0.036236-0.0045126i,-0.057785-0.01713i,-0.051761+0.027482i,-0.048291+0.0052368i,-0.066417+0.022064i,-0.023559+0.0068265i,-0.015873+0.045619i,-0.012642+0.018256i,-0.038978-0.023171i,-0.056494-0.026293i,-0.019788+0.023751i,-0.0046802+0.0021748i,0.017302+0.0072878i,0.0087417-0.0047832i,-0.0058927+0.0048492i,-0.019544+0.02466i,0.0029044+0.0049063i,0.0058796+0.0061584i,0.00090008-0.00025881i,0.012285-0.00080309i,0.0003833+0.0075634i,0.0011526-0.00028586i,-0.0031834-0.0081166i,0.001791+0.0040415i,0.0014291+0.0042146i,-0.0023322+0.01141i,-0.0015187+0.00032578i,0.0053376-0.0037534i,0.0089948+0.0017278i,0.0023875-0.00057515i,-0.020634-0.022055i,0.0050727-0.0092961i,0.00042126-0.0057291i,0.0044153-0.0012287i,0.00085621-0.00031063i,0.0016853-0.0090237i,0.003589+0.00048239i,-0.0010467+0.0055998i,0.0032808+0.0013001i,0.004071-0.0043685i,-0.0037533-0.010324i,-0.00031451-0.0033407i,0.0012078-0.0063366i,0.0022573-0.0049005i,-0.0049998-0.013339i,-0.065643+0.007991i,-0.027099+0.0068481i,-0.012856-0.0089173i,-0.006675+0.00050408i,-0.0049594+0.02565i,-0.008277+0.0098138i,-0.0088955+0.0085644i
-0.022298+0.013098i,-0.02083+0.045016i,-0.010073+0.046866i,-0.005051+0.017341i,-0.00037787-0.0029961i,0.018497+0.019026i,0.00090963+0.030208i,-0.01795+0.044449i,-0.0089274+0.022487i,-0.0050249-0.00039009i,-0.0016199+0.00016016i,0.0038537+0.00546i,0.0032923+0.00016073i,0.0049265+0.0028697i,0.0036196+2.7752e-05i,0.0060701+0.0075704i,0.012319+0.01427i,0.0019941+0.00092732i,-0.0028789-0.005188i,-0.004715-0.0012375i,-0.002655-0.00049268i,-0.0019223-0.0056752i,-0.0036948-0.0022149i,-0.0070682+0.0069914i,-0.0017007+0.002093i,-0.00012184+0.0024618i,-0.0012599+0.0018987i,-0.00079522-0.0011473i,-0.0017317+0.0012191i,-0.0014553+0.00016229i,0.0055117+0.00010665i,0.0011871-0.00094844i,0.00077672-0.00051502i,-0.00026832+0.00024096i,0.0039011+0.00090283i,-0.011656-0.0029265i,0.0011568+0.003296i,0.00040609+0.0014711i,-0.0001658-0.001089i,0.0019229-0.0032112i,-0.0020935-0.0013572i,-2.3954e-05-0.0015638i,-0.0038553+0.0072015i,0.00043881+0.002618i,-0.035613+0.0016227i,-0.054766-0.012047i,-0.048067+0.032396i,-0.043787+0.015523i,-0.056941+0.036127i,-0.02479+0.0099503i,-0.0071665+0.041443i,-0.0096369+0.012818i,-0.039555-0.019242i,-0.059069-0.018072i,-0.013392+0.025567i,-0.003405+0.0026456i,0.011058-0.0031985i,0.005287-0.0085905i,-0.0043357+0.0078407i,-0.0083693+0.02813i,0.003239+0.0031661i,0.0081856+0.0013167i,0.0020773+0.00065328i,0.010267-0.0044777i,0.0052745+0.0071692i,0.0013724+0.0015605i,-0.007773-0.0029797i,0.0032019+0.0057628i,0.0031585+0.0053324i,0.0037906+0.011234i,-0.00069057+0.00042365i,0.0041537-0.0050611i,0.0089233-0.0041729i,0.00060535-0.0014314i,-0.028898-0.014256i,0.0017081-0.0094372i,-0.001573-0.0040013i,0.0049024-0.00061037i,0.00090191-0.000278i,0.001631-0.0098857i,0.0030293-0.0012716i,0.0015612+0.0043955i,0.0033601+0.00064614i,0.0031871-0.0042108i,-0.0073754-0.0062527i,-0.002083-0.003571i,-0.001616-0.0051214i,0.00017475-0.0060423i,-0.0093347-0.0089925i,-0.061598+0.015512i,-0.022092+0.0090731i,-0.012759-0.0069869i,-0.0070221+0.00089048i,-4.5169e-05+0.023821i,-0.0073103+0.011472i,-0.0067896+0.0072164i
-0.020977+0.015071i,-0.013269+0.048433i,-0.0029399+0.050168i,-0.0040279+0.015854i,-0.0043343-0.002464i,0.021159+0.015179i,0.0060824+0.027711i,-0.011246+0.046738i,-0.0047101+0.023184i,-0.0049078+0.0012195i,-0.00050187+0.0017145i,0.0069642+0.0032699i,0.0032742+0.0003009i,0.0044021+0.0014338i,0.0035967-0.00018535i,0.0085994+0.0043499i,0.015898+0.0087506i,0.0023505-0.00035276i,-0.0040599-0.0046316i,-0.0043004+0.0009077i,-0.0018156+7.3663e-05i,-0.0033565-0.0045023i,-0.0036755-0.0011552i,-0.0043341+0.0085451i,-0.0011258+0.003001i,0.0009712+0.0025764i,-0.00072396+0.0023915i,-0.0025903-0.00080101i,-0.0015445+0.0017443i,-0.0013116+0.00064239i,0.0047779-0.0019048i,0.0010444-0.0016149i,0.00035369-0.0011186i,4.2722e-06+0.00040362i,0.0031288-0.00091993i,-0.01253+0.00079009i,0.0020782+0.002917i,0.00069103+0.001216i,-0.001085-0.0011427i,0.0016254-0.0029104i,-0.001893-0.0010433i,-0.00030869-0.0017225i,-0.0025152+0.0072749i,0.0013408+0.0030818i,-0.034626+0.006149i,-0.056284-0.0078222i,-0.043208+0.036903i,-0.038942+0.02286i,-0.043947+0.044555i,-0.025317+0.013493i,0.00097813+0.035863i,-0.0084574+0.0099567i,-0.039713-0.015618i,-0.059823-0.0081921i,-0.0073027+0.026261i,-0.0025972+0.0028575i,0.0040134-0.0043384i,0.00046315-0.01025i,-0.00095849+0.010837i,0.0015999+0.025797i,0.0023387+0.0018452i,0.0071319-0.0039282i,0.0018529+0.00060759i,0.0073703-0.0078531i,0.0088258+0.0039101i,0.0028366+0.0022783i,-0.0074419+0.00095447i,0.0054178+0.0067833i,0.0055362+0.0057551i,0.0094096+0.0082586i,-0.00028404+0.0010247i,0.0034272-0.0059662i,0.0055589-0.0081166i,-9.7882e-05+0.00011142i,-0.033453-0.002768i,-0.00050155-0.0086062i,-0.0022386-0.0021271i,0.0056635-0.0014353i,0.0010258-0.00012159i,-0.00022-0.012107i,0.0017245-0.0017461i,0.0034188+0.0035006i,0.0038485-0.00051494i,0.0034323-0.004652i,-0.0088533-0.0030735i,-0.0041517-0.0016923i,-0.0042143-0.0030102i,-0.0018467-0.0063174i,-0.010785-0.0045618i,-0.057203+0.02133i,-0.020688+0.010894i,-0.012566-0.0081126i,-0.0073889+0.0017633i,0.0017286+0.022127i,-0.0069797+0.012526i,-0.0055932+0.0065547i
-0.019044+0.017459i,-0.0041498+0.050012i,0.006668+0.051658i,-0.0035562+0.015551i,-0.0063911+0.00071399i,0.023481+0.011271i,0.010146+0.023803i,-0.00292+0.04785i,-0.00037807+0.022621i,-0.0043839+0.0026742i,0.0006452+0.0014788i,0.0073427-0.00070741i,0.0038508-2.3152e-05i,0.0042891+0.00062296i,0.0037508-0.00072543i,0.008376+0.00067488i,0.017038+0.0026212i,0.0010871-0.0015354i,-0.0057326-0.0030464i,-0.0028824+0.0021909i,-0.00090223-5.8628e-05i,-0.0039217-0.0035791i,-0.0035242-0.00019266i,-0.0011538+0.0087598i,0.00027255+0.0033467i,0.0018324+0.0018743i,0.0002679+0.002681i,-0.0033128+0.00085737i,-0.00078193+0.0017989i,-0.00098716+0.00083795i,0.0034631-0.0032342i,0.00015557-0.0020104i,-0.00036106-0.0011244i,-1.1535e-05+0.00014526i,0.0018036-0.0018665i,-0.011671+0.0048845i,0.0026992+0.0020448i,0.0010405+0.00093934i,-0.0020124-0.00028786i,0.0013105-0.0028939i,-0.0022879-0.00084991i,-0.00070635-0.001986i,-0.0014275+0.0075126i,0.0025349+0.003056i,-0.033668+0.01106i,-0.060143+0.00062803i,-0.037064+0.040158i,-0.031324+0.028337i,-0.030924+0.049744i,-0.024333+0.020458i,0.0076848+0.028368i,-0.00409+0.0073165i,-0.039868-0.011541i,-0.057505+0.0022951i,-0.0018856+0.02637i,-0.002452+0.0026768i,-0.00039746-0.0037747i,-0.0049782-0.0097504i,0.0047486+0.010599i,0.0072011+0.020794i,0.00036426+0.0014465i,0.0042372-0.0079184i,0.0030991+0.0021808i,0.0028336-0.0094433i,0.0099534-0.0014949i,0.0045806+0.0017227i,-0.006786+0.0045908i,0.0094637+0.0065201i,0.009503+0.0036317i,0.01229+0.0025216i,0.00077437+0.0016077i,0.0015752-0.0068661i,-0.00036352-0.0090088i,0.0011873+0.0017391i,-0.033359+0.0099872i,-0.0024-0.0079711i,-0.0017925-0.00030116i,0.0057713-0.0052054i,0.001574+3.8535e-05i,-0.0054637-0.01295i,0.0007385-0.00136i,0.004614+0.0014079i,0.0037418-0.0012615i,0.0025788-0.0058502i,-0.0087291+0.0017566i,-0.0041902+0.0011046i,-0.0052308+0.00010263i,-0.0043759-0.0064522i,-0.010588-0.00096525i,-0.053432+0.027024i,-0.019479+0.016509i,-0.014929-0.010424i,-0.0050732+0.0029923i,0.0046888+0.021311i,-0.0067148+0.015499i,-0.0036874+0.0049883i
-0.016388+0.019205i,0.0047074+0.04885i,0.01711+0.049647i,-0.0025716+0.016546i,-0.0057938+0.0043228i,0.025466+0.0067561i,0.012727+0.019611i,0.005508+0.04647i,0.0030755+0.020904i,-0.0035398+0.0039728i,0.00080533+0.0011859i,0.0053988-0.0033363i,0.0039564-0.0013109i,0.0039541-0.00017223i,0.0035746-0.0014495i,0.0063405-0.0012937i,0.016056-0.0024295i,0.00012475-0.0012746i,-0.0058486-0.00092603i,-0.0014284+0.0025984i,-0.00031582-0.0005119i,-0.0044608-0.0028479i,-0.0029176+0.00054475i,0.0014344+0.0083285i,0.0015329+0.0026889i,0.0021623+0.0011884i,0.0012807+0.0022858i,-0.0026471+0.0024203i,-0.00022345+0.0015055i,-0.00096667+0.0011401i,0.0017476-0.0037829i,-0.00076076-0.0017999i,-0.00069018-0.00073283i,-0.000276+6.7209e-05i,0.00075715-0.0021179i,-0.0094417+0.0080327i,0.0030466+0.00094047i,0.0011118+0.00041724i,-0.0017805+0.0011806i,0.00091238-0.0032739i,-0.0024931-0.0001359i,-0.0014172-0.0022399i,-0.00017017+0.0080486i,0.0037093+0.0023193i,-0.031395+0.015932i,-0.059986+0.013212i,-0.032774+0.042308i,-0.024248+0.030929i,-0.016708+0.052094i,-0.01844+0.028211i,0.010823+0.019393i,-0.0019419+0.00036737i,-0.037954-0.0080945i,-0.051618+0.012403i,0.0050395+0.024643i,-0.002438+0.0031163i,-0.0044909-0.0012471i,-0.0090774-0.0068672i,0.0086949+0.0067085i,0.010053+0.016246i,-0.0023162+0.003019i,1.8292e-05-0.011071i,0.0054491+0.00071818i,-0.0016959-0.0083741i,0.0074015-0.0055512i,0.0058946-0.00049422i,-0.0049984+0.0072032i,0.013248+0.0018976i,0.010771-0.0020413i,0.011142-0.0043811i,0.0026195+0.0012579i,-0.00077035-0.007061i,-0.003884-0.0057713i,0.0034066+0.0005908i,-0.027367+0.024239i,-0.0045201-0.0067289i,-0.00056272+0.00075127i,0.0021065-0.0069245i,0.0021809-9.2474e-05i,-0.011079-0.0099667i,0.00094455-0.00058283i,0.0047024-0.001172i,0.0029886-0.002335i,0.001162-0.0060944i,-0.0063443+0.0056718i,-0.002693+0.0030349i,-0.0045201+0.0034214i,-0.0076028-0.005453i,-0.0097416+0.0016172i,-0.047994+0.034473i,-0.011365+0.020924i,-0.020054-0.0096524i,-0.0027443+0.0013422i,0.0064702+0.019888i,-0.0036501+0.018559i,-0.0029754+0.0016756i
