-0.022982-0.019119i,-0.032315-0.034224i,-0.022525-0.019837i,-0.032367-0.020517i,-0.024168+0.0038234i,-0.029049-0.017842i,-0.054934-0.048164i,-0.040683-0.04426i,-0.029865-0.018086i,0.0049232+0.0048825i,-0.0041747+0.0067611i,-0.011141+0.011279i,0.0039882+0.0072869i,-0.003795-0.0027816i,0.0028516+0.0018786i,0.0016734+0.028753i,0.023046+0.012806i,-0.00027701-1.961e-05i,-0.0033618-0.0025782i,0.0081864+0.0039355i,0.0019326+0.00067986i,-0.00060048+0.0024135i,-0.00056568+0.00033376i,-0.030595-0.0026044i,-0.0038922-0.0050441i,-0.00017995+0.0024031i,0.0047186-0.00087796i,0.00084566-0.00016247i,-0.00068647-0.00049838i,-0.0011108-0.0018974i,-0.0022949-0.00058035i,-0.0040287-0.004101i,-0.0031039-0.0047172i,0.00065179-0.0012644i,0.00031585-0.0031777i,-0.0053795+0.026472i,0.0015132-0.0031175i,0.0024951-0.0039515i,0.0041606-0.0024442i,-0.0072087-0.001121i,0.00033314+0.0013617i,0.0085938-0.0029531i,-0.0020546+0.00022274i,-0.0032153+0.0009009i,-0.0088405-0.003625i,-0.01851+0.021409i,-0.008127-0.086626i,-0.0021096-0.061422i,-0.020701-0.053742i,-0.010957-0.046246i,0.053635-0.027127i,0.023855-0.066994i,0.039717-0.054023i,0.019918-0.040273i,0.026236-0.02022i,0.011954+0.011967i,0.025402-0.027989i,-0.011591-0.00093664i,-0.0014476-0.00096679i,-0.008309-0.0017346i,-0.0047314-0.030128i,-0.021837+0.026994i,0.0071101-0.0095703i,-0.010945-0.0036058i,-0.0026121-0.0018902i,-0.000513-0.014598i,-0.008268+0.005316i,0.0061048+0.010872i,-0.0092126+0.02965i,0.0059252+0.0077286i,-0.0033603-0.0016115i,-0.0023694-0.0013335i,-0.012922-0.0060068i,0.0006978-0.004498i,-0.032811+0.0022207i,0.003343-0.0087685i,-0.0073192-0.0016554i,-0.0052577-0.0032206i,0.0068203+0.0019775i,-0.010304+0.00021098i,0.0024511-0.00022962i,0.0061464+0.0074561i,0.0056046+0.0011515i,-0.0074658-0.010295i,0.0027282+0.008018i,-0.019958+0.0066265i,0.0035023+0.005569i,-0.021034-0.0091638i,-0.026766-0.0050192i,0.0094208-0.060181i,0.018494-0.015415i,-0.051177-0.027634i,-0.022517+0.0014116i,0.018834+0.010253i,-0.027379+0.011272i,-0.012085-0.0076995i
-0.011592+0.013604i,-0.022432+0.042551i,0.00058734+0.040636i,-0.010448+0.025073i,-0.00037331+0.021277i,0.0013446+0.023536i,-0.026512+0.014475i,-0.026653+0.03214i,0.00013153+0.016386i,-0.0013028-0.0013273i,-0.00084631+0.0016375i,0.0041022+0.003639i,0.0036567+0.004921i,-0.0030585+0.0016297i,-0.0030832+0.003669i,0.00059534-0.007823i,-0.0078963-0.00031792i,-0.0024371+4.4418e-07i,-8.9239e-06-0.0011434i,-0.0010529-0.00045645i,0.0005637-0.0031925i,0.0013611-0.002657i,0.001081-0.0016049i,-0.0094546-0.0091772i,-7.8798e-05-0.00039214i,-0.0015777+0.00036368i,-0.0024673+1.5562e-05i,-0.0028135-0.00029578i,-0.0010299-0.001008i,0.0010527-0.00057801i,-0.001716+9.9717e-08i,0.0015655-0.00021614i,0.0020678-0.00064623i,0.00062151+0.00042648i,-0.0003136+0.0018645i,-0.00080131-0.00774i,-0.0013295+0.0010146i,0.0019532+0.00016197i,0.00055254+0.0028578i,0.0049937+0.0056882i,0.0010529-0.0016364i,-0.0016276-0.0011284i,-0.0015112-0.0023794i,0.0030595+0.0058488i,-0.0073698+0.0075505i,0.019308-0.059289i,-0.074942+0.014119i,-0.027798-0.018382i,-0.060947-0.048376i,-0.053476-0.017163i,-0.086913+0.0025462i,-0.073539+0.0011892i,-0.045304-0.036089i,-0.009349-0.044739i,-0.038794-0.025203i,-0.0059977+0.00039332i,-0.031473+0.009933i,0.0076426+0.011651i,0.0094329+0.0073383i,0.0010934-0.0080229i,0.011134+0.0029887i,-0.01044-0.0023043i,0.003337+0.011486i,0.0010945+0.0057183i,-4.3312e-05-0.001525i,0.0052331+0.0022806i,0.0042089+0.00069022i,-0.0047078+0.019195i,0.00067594+0.0093233i,0.00085383-0.0041927i,0.0081793-0.0062072i,0.0012161+0.0040273i,-0.0085864-0.0067949i,-0.0023479-0.00083827i,0.023292-0.030543i,0.0052481+0.0086938i,0.0018677+0.0025806i,-0.0019639+0.0042257i,0.0025606-0.0036204i,0.01975+0.0030054i,0.0010445-0.002083i,-0.0022513-0.0066412i,-0.00061606-0.0018878i,0.009651+0.0048873i,0.0052968-0.00068514i,0.0031965-0.0074056i,0.004861+0.0054164i,-0.0058792+0.0032507i,0.013826+0.0066825i,-0.04163-0.038214i,-0.01364+0.006179i,-0.0021238-0.0015449i,-0.00053412+0.0020405i,-0.040524+0.010945i,-0.0067646+0.0087744i,-0.014118+0.0040279i
-0.0087913+0.014414i,-0.014916+0.043214i,0.0098235+0.03477i,-0.0054069+0.025689i,0.0025821+0.018977i,0.0058396+0.022246i,-0.025518+0.01932i,-0.019449+0.034167i,0.0034442+0.011095i,-0.0016631-0.00046188i,-2.9248e-05+0.0028169i,0.0048263+0.0012837i,0.004429+0.002934i,-0.0015371+0.0027732i,-0.0023006+0.0047167i,-0.004201-0.0056734i,-0.0086014+0.0041879i,-0.001906+0.0017078i,0.00072886-0.00060569i,-0.00051474+1.9182e-05i,-0.00010829-0.0030608i,0.001083-0.0023053i,0.00082208-0.0014933i,-0.011565-0.0060073i,0.00013655-0.0002877i,-0.0014576+0.00076037i,-0.0017557+0.0010675i,-0.0025015+0.00061026i,-0.001313-0.00071072i,0.0010701-0.00075959i,-0.0017117+0.00084061i,0.001075-0.00056532i,0.0013557-0.0015689i,0.00025087+0.00039665i,-0.00085189+0.0014946i,-0.0010522-0.0060218i,-0.0007217+0.0011207i,0.0010103-0.00046071i,0.001021+0.0028387i,0.0061928+0.0022531i,0.00065603-0.0020412i,-0.0025506-0.00083001i,-0.002739-0.0013571i,0.0048386+0.0053249i,-0.0052785+0.0053977i,0.00041038-0.068623i,-0.065925+0.029i,-0.034714-0.02128i,-0.073854-0.03951i,-0.053534-0.0055908i,-0.078672+0.020499i,-0.071219+0.015758i,-0.040258-0.035032i,-0.014591-0.042808i,-0.04434-0.01073i,-0.0070169+0.00027465i,-0.024554+0.022701i,0.010015+0.0063895i,0.011765+0.0013503i,-0.004724-0.012198i,0.0072933+0.0022017i,-0.0099746+0.0024063i,0.0077278+0.009121i,0.0032484+0.006935i,-0.00088314-0.001056i,0.006356+0.0025268i,0.0052591+0.0004445i,0.003851+0.016514i,0.0043865+0.0043528i,-0.0035624-0.005508i,0.0022266-0.0068467i,0.0030577+0.0048337i,-0.011112+0.00081813i,-0.0020944+0.0016206i,0.0069848-0.033213i,0.0084773+0.0075458i,0.0042062+0.0016149i,0.0015171+0.002923i,-0.00039445-0.0016877i,0.017388-0.0063955i,-0.00041687-0.0024697i,-0.0055486-0.0043477i,-0.0031275-0.00068629i,0.0098272+0.00093964i,0.0045718-9.2166e-05i,0.00034052-0.0059794i,0.0066362+0.0037782i,-0.0056981+0.0056293i,0.013764+0.0016289i,-0.048731-0.032236i,-0.0069323-0.0045304i,-0.0023405-0.0022385i,0.00073882+0.00062151i,-0.033783+0.023033i,-0.0046576+0.010086i,-0.011823+0.0070569i
-0.0056325+0.0145i,-0.0081071+0.043655i,0.015008+0.02744i,-0.00070383+0.02445i,0.0062282+0.017786i,0.0098419+0.019763i,-0.022066+0.024178i,-0.01282+0.034129i,0.0027331+0.0070341i,-0.001708+0.00078509i,0.0016964+0.003196i,0.0024671-0.00027787i,0.0044347+0.0015986i,-0.00067478+0.0029061i,-0.00093216+0.0056938i,-0.0071644-0.0010977i,-0.0064911+0.0079276i,-0.00052221+0.0018664i,0.0017618-0.0018207i,0.00014155-0.00030964i,-0.0010015-0.0030826i,0.00078754-0.0029079i,0.00078102-0.0016613i,-0.013108-0.0023937i,-0.00010542-0.00030635i,-0.00099687+0.0013819i,-0.0008427+0.00091361i,-0.0016721+0.0016857i,-0.0013294-0.00055887i,0.00065648-0.0014222i,-0.00087101+0.0013776i,0.00066235-0.00077202i,0.00039408-0.0016395i,0.00043723+0.00025222i,-0.00047371+0.0024044i,-0.00027621-0.0056081i,-0.00070257+0.0010546i,0.00036723-0.00068094i,0.0030249+0.001225i,0.0050791+0.00015881i,7.2987e-05-0.002101i,-0.0018287+0.00049369i,-0.003635-6.7494e-05i,0.0062031+0.0038508i,-0.0049116+0.003843i,-0.021947-0.068392i,-0.051731+0.038636i,-0.043605-0.018389i,-0.082313-0.024475i,-0.048779+0.0030601i,-0.063859+0.032436i,-0.058832+0.028607i,-0.045222-0.036506i,-0.019735-0.04148i,-0.04262+0.0040792i,-0.0072965+0.001694i,-0.012362+0.028202i,0.010903+0.0017342i,0.0085683-0.0049567i,-0.014897-0.010832i,0.0069818+0.00047681i,-0.0071076+0.0062335i,0.010011+0.0041845i,0.0055455+0.0068623i,-0.002881+0.00054249i,0.007032-0.0011923i,0.0064329-0.00194i,0.0077237+0.010256i,0.0037218+0.0014839i,-0.0083882-0.0020518i,-0.00019919-0.0050043i,0.0058929+0.0037945i,-0.0066216+0.0091992i,0.00029484+0.0029559i,-0.0035993-0.028703i,0.011971+0.0034522i,0.0038212-0.00042418i,0.0016067+0.0020871i,0.00068408+0.00023328i,0.010974-0.011452i,-0.0025288+0.00042123i,-0.0067847-0.0012276i,-0.003626+0.00284i,0.0069446-0.0020767i,0.0071545-0.0018039i,0.00013177-0.0057195i,0.0094091+0.00046637i,-0.0023039+0.0066917i,0.011896-0.002834i,-0.054027-0.021331i,-0.01246-0.013057i,-0.0016279-0.0033995i,0.0018502-0.0014112i,-0.022609+0.027468i,-0.0027806+0.0059024i,-0.0072193+0.0029491i
-0.0027978+0.013357i,-0.00064188+0.043498i,0.017311+0.020156i,0.0039461+0.023188i,0.010337+0.014338i,0.013277+0.016384i,-0.017089+0.027841i,-0.0073396+0.032023i,0.001774+0.0057248i,-0.00098495+0.0017801i,0.0029928+0.0021053i,0.0012413+0.0014198i,0.0041844+0.00060629i,-0.00052685+0.0035484i,0.00075645+0.0059065i,-0.006627+0.0043093i,-0.0023281+0.010559i,0.00036264+0.0014577i,0.00064487-0.0021749i,-5.2461e-05-0.00098964i,-0.0018602-0.0024537i,0.00023006-0.0030704i,0.00048618-0.002215i,-0.012799+0.0021641i,-3.3268e-05-0.00035663i,0.0001153+0.0011065i,-0.00068204+0.0003972i,-0.00035675+0.0016313i,-0.0015598+7.6214e-05i,-0.00013249-0.0013665i,-0.00012094+0.0015714i,0.00018916-0.00083501i,-0.00056-0.00090053i,0.00048296+0.00023241i,0.00095318+0.002223i,-0.00093629-0.0074169i,-0.00026223+0.0014011i,-0.00031332-0.00053512i,0.0020446-0.001007i,0.0041354-0.00092358i,-0.00045055-0.0022207i,-0.00089902+0.00033738i,-0.0034791+0.0017609i,0.0055377+0.0010931i,-0.0053754+0.0034278i,-0.040786-0.056163i,-0.037778+0.040959i,-0.050636-0.010757i,-0.086363-0.0083739i,-0.042594+0.0082174i,-0.050315+0.036608i,-0.045327+0.031549i,-0.050441-0.029981i,-0.024365-0.037351i,-0.037842+0.014157i,-0.0075296+0.0031891i,-0.0011913+0.029106i,0.0096985-0.0031846i,0.003029-0.0067042i,-0.021264-0.0018791i,0.004409-0.00015654i,-0.0034844+0.0066527i,0.0087578-0.0014334i,0.0083261+0.0054949i,-0.0027555+0.0031253i,0.0037344-0.0026437i,0.0058633-0.0061411i,0.0079711+0.0042001i,0.0015059+3.3515e-05i,-0.0087457+0.0020596i,-0.0017213-0.0036464i,0.007101+0.001258i,0.0026516+0.010722i,0.001791+0.0018012i,-0.0092999-0.021811i,0.01193-0.0009253i,0.0033874-0.0011648i,0.0028352+0.0024716i,0.0011396-0.00018218i,0.0052152-0.011253i,3.0385e-05+0.0026977i,-0.0067592+0.0019655i,-0.00063174+0.0045375i,0.0050088-0.0019411i,0.0066808-0.0060202i,-0.0020623-0.0051741i,0.0084717-0.005237i,-0.00059836+0.0055899i,0.0098176-0.0068979i,-0.052634-0.0087171i,-0.021926-0.015309i,-0.0028282-0.0074447i,0.0022696-0.0053019i,-0.016511+0.029154i,-0.0062677+0.0040178i,-0.0094875+0.00042075i
-0.001134+0.012049i,0.0058724+0.041486i,0.016847+0.014512i,0.0084764+0.020442i,0.012773+0.0096871i,0.015302+0.01251i,-0.010958+0.029623i,-0.0040071+0.030132i,0.0019948+0.0055632i,0.00024583+0.0020974i,0.0031719+0.0010621i,0.0020886+0.0024196i,0.0038434-0.00041802i,0.00098059+0.0044622i,0.0023633+0.0055629i,-0.0035268+0.0077165i,0.0021454+0.010786i,0.0008236+0.0010065i,0.00045856-0.0020164i,-0.00064778-0.0011621i,-0.0025769-0.0018101i,-0.00058162-0.0029502i,-0.00043653-0.0024322i,-0.0099986+0.0053482i,-4.3059e-05-0.00077284i,0.00015245+0.00024116i,-0.00081706+0.00031942i,0.00027759+0.00095372i,-0.0012729+0.00090931i,-0.0002492-0.00091629i,0.00044653+0.0015021i,7.3838e-05-0.00096628i,-0.00064728-0.00030244i,0.00046346-1.0113e-06i,0.0011543+0.0014003i,-0.0036463-0.0085285i,-0.00013698+0.0012199i,-0.00037786+0.0002404i,0.0005651-0.0011493i,0.0034583-0.0011945i,-0.0010464-0.0019434i,-0.00072752+0.00034988i,-0.0020677+0.0027741i,0.003992+0.0011436i,-0.0052449+0.0041618i,-0.047653-0.038771i,-0.027558+0.038635i,-0.055204-0.00046384i,-0.087164+0.0086857i,-0.038348+0.0091145i,-0.038696+0.037666i,-0.035474+0.031716i,-0.051495-0.023638i,-0.026672-0.034063i,-0.031491+0.024372i,-0.0069308+0.0046999i,0.011859+0.025135i,0.0071421-0.0061231i,-0.0016558-0.0055619i,-0.021821+0.0074304i,0.0034855+0.0004143i,-0.0010211+0.0079264i,0.0039143-0.0033201i,0.0099529+0.0024731i,-0.0012589+0.0052026i,0.0016219-0.0015064i,0.0026929-0.0094949i,0.0034127+0.0018139i,-0.00052127+0.00135i,-0.0084008+0.0070812i,-0.0028866-0.0014567i,0.0068738-0.0015481i,0.0075376+0.0059153i,0.0022581+0.00093977i,-0.012213-0.020345i,0.010283-0.0052625i,0.0026507-0.0021651i,0.0056563+0.00048829i,0.0013163-0.00016645i,0.0024454-0.0098402i,0.0022403+0.0017588i,-0.00453+0.0054281i,0.0019737+0.0041187i,0.0044378-0.0019382i,0.0030826-0.010208i,-0.0025425-0.0037084i,0.0037382-0.0083896i,-0.00015595+0.0044042i,0.0050806-0.010443i,-0.046778-0.0024611i,-0.0324-0.0073395i,-0.0058974-0.0094035i,0.00056637-0.0093493i,-0.0091892+0.03014i,-0.009809+0.0063372i,-0.011153+0.0021769i
0.00029079+0.011138i,0.011749+0.039301i,0.015945+0.01156i,0.011638+0.016329i,0.012852+0.0049516i,0.016637+0.0090571i,-0.0045012+0.029174i,-0.0010769+0.029515i,0.0027743+0.0039569i,0.00083933+0.0014153i,0.0026717+0.00027365i,0.0031077+0.0025309i,0.0032373-0.0012229i,0.0026601+0.0037326i,0.003552+0.0047102i,0.00015903+0.0089312i,0.0066562+0.0087075i,0.0010647+0.00070754i,-0.00010758-0.0024336i,-0.0012111-0.001005i,-0.0027529-0.00059627i,-0.00094333-0.0027093i,-0.0011156-0.0019923i,-0.0077723+0.0063589i,-0.0013411-0.00029282i,-0.00019938+6.3133e-06i,-0.00087673+0.00041074i,0.00045326+0.00026293i,-0.00040327+0.001174i,-0.00028751-0.00081321i,0.00097863+0.0014002i,-0.00041501-0.0011362i,-0.00042565+0.00024289i,0.00017361-0.00024222i,0.0013612+0.0013526i,-0.0065766-0.0076552i,7.2621e-08+0.00081796i,0.00017726+0.00039322i,-8.9086e-05-0.0008128i,0.002901-0.0014634i,-0.001338-0.0014214i,-0.00063521+0.00049861i,-0.00085727+0.0031283i,0.0040757+0.0015469i,-0.0044836+0.0051529i,-0.046021-0.026522i,-0.020435+0.036359i,-0.055588+0.01244i,-0.082302+0.028906i,-0.039091+0.0097167i,-0.02959+0.035855i,-0.026962+0.030472i,-0.05097-0.017487i,-0.030138-0.031586i,-0.023123+0.029737i,-0.0064875+0.0066177i,0.01879+0.011123i,0.0047426-0.0085378i,-0.0048114-0.0020741i,-0.016331+0.015986i,0.0039153-0.00060966i,0.0040495+0.0065009i,0.00093644-0.0014587i,0.010886-0.0015739i,0.0013163+0.0061241i,0.001031-0.00050364i,-0.0027803-0.010679i,0.002205+0.0040206i,-0.00017262+0.0036039i,-0.0033391+0.012514i,-0.0017413+0.00074028i,0.0057438-0.0031423i,0.0083076+0.00095456i,0.003117-0.00057359i,-0.019331-0.020836i,0.0065049-0.0080191i,0.00095313-0.0026195i,0.0040262-0.0020615i,0.0011451+0.00076503i,0.0014973-0.0077607i,0.0027591+0.00013282i,-0.0012719+0.006664i,0.0032375+0.0019024i,0.0035854-0.0029614i,-0.0024005-0.0099953i,-0.0029953-0.0037049i,0.00089442-0.0086773i,0.00057756+0.0032767i,-0.0010802-0.010463i,-0.044295+0.0017309i,-0.029908+0.0078537i,-0.0091969-0.0095074i,-0.003298-0.011658i,-0.0037617+0.028539i,-0.0090127+0.011701i,-0.0082897+0.003434i
0.0016388+0.010116i,0.017523+0.036756i,0.016138+0.0093595i,0.013054+0.012023i,0.011496+0.0016904i,0.017587+0.0054903i,0.00096313+0.027528i,0.0023463+0.02863i,0.003099+0.0029517i,0.00078968+0.0010985i,0.0022824+0.00041138i,0.004638+0.0023076i,0.0023678-0.0016457i,0.0035395+0.0020363i,0.0043254+0.0036525i,0.0035553+0.0085859i,0.0090323+0.0050819i,0.0014011+0.00044958i,-0.0008651-0.0024588i,-0.0015939-0.00043799i,-0.002215+0.00025493i,-0.0016495-0.002608i,-0.0014643-0.0015095i,-0.0064919+0.0082179i,-0.0010348+5.0065e-05i,-0.00054624+0.00028875i,-0.00097252+0.00084578i,-0.00010609-0.00022424i,-0.00011084+0.00085078i,-0.00050221-0.00082301i,0.0015058+0.0010378i,-0.00053155-0.00052431i,-0.00016374+0.00021371i,-4.098e-05-0.00020655i,0.0019187+0.00045354i,-0.008794-0.0067047i,0.00019619+0.00058312i,0.00017581-0.00016591i,-0.0004812-0.00065268i,0.0021743-0.0017729i,-0.001274-0.00082486i,-0.00017416+0.00059468i,0.00027098+0.0025081i,0.0044907+0.00054184i,-0.0028774+0.0054465i,-0.044341-0.021804i,-0.015309+0.034623i,-0.050078+0.024787i,-0.070607+0.04514i,-0.039569+0.015358i,-0.022979+0.034612i,-0.021411+0.027697i,-0.049938-0.013004i,-0.032931-0.026965i,-0.015488+0.032716i,-0.0037244+0.0074167i,0.013405-0.0018001i,0.00094488-0.010852i,-0.0049527+0.001114i,-0.0095248+0.01857i,0.0024992-0.0022145i,0.0056014+0.0017436i,0.0015441+1.2998e-05i,0.0094391-0.0050058i,0.0047159+0.0063978i,0.0011302+0.0012431i,-0.0082472-0.0055243i,0.0038018+0.0055534i,0.0012622+0.0050899i,0.0034023+0.01179i,-0.00078721+0.0010799i,0.0045368-0.0043722i,0.0080971-0.0051063i,0.0015266-0.0017155i,-0.026265-0.014016i,0.0035987-0.0088196i,-0.00027644-0.0017023i,0.0045897-0.0014601i,0.0016814+0.00052581i,0.0019953-0.0087802i,0.0021914-0.0014374i,0.001548+0.0055802i,0.0031221+0.00089709i,0.0031421-0.002557i,-0.006298-0.0069267i,-0.0047461-0.0027828i,-0.0046063-0.0060532i,0.00052824+0.0020448i,-0.0050215-0.0073919i,-0.040951+0.0069048i,-0.024492+0.0093938i,-0.0092658-0.0087393i,-0.0070199-0.011643i,0.0013153+0.02537i,-0.0068219+0.013235i,-0.0080494+0.0026654i
0.0026802+0.0089049i,0.022957+0.033458i,0.017165+0.0074447i,0.013235+0.0086764i,0.0096143-0.00035329i,0.017718+0.0019815i,0.0056457+0.024819i,0.0063121+0.027312i,0.0035421+0.0014966i,0.0008844+0.00097601i,0.0027753+0.00058196i,0.0060014+0.00037305i,0.0016145-0.0016861i,0.0030029+0.00095799i,0.0049343+0.0027657i,0.0064645+0.0061806i,0.009991+0.0024545i,0.0017188-0.00027726i,-0.0016868-0.002326i,-0.0014222+0.00048786i,-0.0015363+0.00078243i,-0.0021926-0.0017087i,-0.0015885-0.0011122i,-0.003141+0.009743i,-0.00087117+0.00038946i,-0.00034037+0.00067395i,-0.00078592+0.0013551i,-0.00084053-4.1662e-05i,6.3178e-05+0.00079003i,-0.00071375-0.00064797i,0.0019805+0.00028274i,-0.00025806-0.00056132i,-0.00036264+0.00013003i,-0.00021966-0.00017083i,0.0015395-0.00034861i,-0.011219-0.0045547i,0.00093828+0.00055825i,-0.00013793-0.00010858i,-0.0010332-0.00045919i,0.0017708-0.0017099i,-0.0010709-0.00076721i,-1.8963e-05+0.00030455i,0.00057428+0.0017461i,0.0042914-0.00031594i,-0.00141+0.004664i,-0.046625-0.018162i,-0.011212+0.032942i,-0.042297+0.034223i,-0.055738+0.055273i,-0.038385+0.021023i,-0.016341+0.032584i,-0.017257+0.026214i,-0.049641-0.0097074i,-0.034312-0.021162i,-0.0071944+0.0341i,-0.001648+0.0065627i,0.0057705-0.0041712i,-0.00356-0.011014i,-0.003237+0.0044523i,-0.003512+0.017323i,-0.00011357-0.0027007i,0.0032084-0.0013022i,0.0012735+0.00038151i,0.0067847-0.0083584i,0.0081265+0.0034922i,0.0024907+0.0017894i,-0.0088926-0.0013131i,0.0061011+0.0059294i,0.0035652+0.005735i,0.0089219+0.0081211i,-0.00032969+0.0015976i,0.0038346-0.0052961i,0.0026778-0.0089108i,0.0006257-0.0004872i,-0.028821-0.0056069i,0.00069476-0.0093326i,-0.00039152-0.00046697i,0.0050144-0.0019421i,0.0019237+0.00016444i,0.00068833-0.011079i,0.00060284-0.0016945i,0.003427+0.0043582i,0.0035371-0.00019881i,0.0042903-0.00335i,-0.0079842-0.0038612i,-0.0063156-0.00013894i,-0.0064714-0.0031808i,0.00046138+0.0011126i,-0.006074-0.0042589i,-0.037406+0.010232i,-0.023102+0.011649i,-0.0089779-0.010264i,-0.010181-0.010353i,0.0025858+0.023066i,-0.0060988+0.013123i,-0.0073792+0.0029572i
0.0037641+0.007968i,0.02907+0.028992i,0.01907+0.0046805i,0.013117+0.0062576i,0.0083728-0.0008724i,0.017314-0.0011858i,0.0091018+0.021035i,0.010822+0.024924i,0.0035087-0.00021328i,0.00095706+0.00071036i,0.0031701-0.00029757i,0.0054646-0.0023676i,0.0010979-0.0015333i,0.0028016+0.00047656i,0.0055099+0.0015709i,0.0070754+0.0031972i,0.010077-0.00098975i,0.001098-0.001063i,-0.0025988-0.0016318i,-0.00068624+0.00088407i,-0.00070193+0.00080826i,-0.0020463-0.0011024i,-0.0017539-0.00068813i,0.00034915+0.009324i,-0.00056395+0.00054501i,-7.3175e-05+0.00068217i,-0.00014729+0.0016476i,-0.00097757+0.000588i,0.00037425+0.00039945i,-0.00082044-0.00049552i,0.0016773-0.00058878i,-0.00063546-0.00059681i,-0.00044011+0.00038878i,-0.00035377-6.3351e-05i,0.00098299-0.00074951i,-0.012167-0.0010021i,0.00011568+0.00068558i,-7.6295e-05+3.9705e-05i,-0.0013669+0.00013089i,0.0015636-0.0019636i,-0.0012655-0.00088285i,2.529e-05+0.00014591i,0.00045124+0.0013153i,0.0041245-0.00089164i,-0.00080931+0.0038142i,-0.051207-0.011314i,-0.0074602+0.031188i,-0.030983+0.039845i,-0.040938+0.061935i,-0.036077+0.02904i,-0.010317+0.028801i,-0.011244+0.023948i,-0.050009-0.0048056i,-0.033062-0.015183i,0.00079507+0.033922i,-0.0013588+0.0055659i,0.00080767-0.0048087i,-0.0081786-0.0094246i,0.0006397+0.0053061i,0.0002827+0.015154i,-0.0033199-0.001573i,0.0056097-0.0059921i,0.0026031+0.0022516i,0.0021989-0.010333i,0.0090783-0.0012281i,0.0037211+0.0012747i,-0.0087729+0.0035341i,0.0095914+0.0052261i,0.0073585+0.0042734i,0.012005+0.0030815i,0.00072172+0.0021292i,0.0021752-0.0062281i,-0.00072374-0.0082755i,0.0015156+0.00082948i,-0.024683+0.0018912i,-0.00023868-0.0084104i,0.00036033+0.00073954i,0.004815-0.0047361i,0.0024844-0.00014249i,-0.0040227-0.012771i,-0.00043781-0.00099122i,0.0048435+0.0024477i,0.003348-0.00067232i,0.0037476-0.0048287i,-0.0081127+0.00067252i,-0.0057926+0.0032048i,-0.0072203-0.00077254i,-0.00068697-0.00021946i,-0.0061708-0.0021507i,-0.034538+0.013073i,-0.020574+0.01717i,-0.011195-0.014203i,-0.010354-0.0089715i,0.0051339+0.021749i,-0.0063989+0.015624i,-0.0056799+0.0020251i
0.0048713+0.006587i,0.033861+0.02254i,0.020154+0.00024484i,0.012921+0.0041005i,0.0080282-0.0011069i,0.016758-0.0040602i,0.010946+0.017325i,0.014945+0.021452i,0.0026883-0.0017718i,0.00085706+0.00067066i,0.0029011-0.0010262i,0.0032477-0.0039825i,0.00070392-0.0013692i,0.0025267+1.4642e-05i,0.0056121+0.00014767i,0.006126+0.0013037i,0.0081121-0.003946i,0.00053384-0.001186i,-0.0027702-0.00068724i,-1.6967e-05+0.00084453i,0.00015201+0.00054196i,-0.0019159-0.00095986i,-0.0016558-0.00028992i,0.0030354+0.008524i,-0.00039311+0.00045727i,0.00010384+0.00069482i,0.00046808+0.0012978i,-0.00068438+0.0011236i,0.00027638-0.00013685i,-0.0010603-0.00021265i,0.0012066-0.0010336i,-0.00099138-0.00015421i,-0.00012393+0.00069562i,-0.0004188+0.00016347i,0.00055976-0.0010092i,-0.011278+0.0017541i,0.00061021+0.00014814i,-0.00013024-0.00010509i,-0.0011431+0.0011349i,0.0011171-0.0024835i,-0.00076664+0.00057869i,-0.00010047-0.00021266i,0.00037159+0.0012984i,0.0038099-0.0015482i,-0.00032946+0.0033052i,-0.053096-0.00027445i,-0.0052883+0.029635i,-0.021249+0.040694i,-0.024593+0.066098i,-0.029422+0.037819i,-0.007212+0.023554i,-0.007974+0.018174i,-0.048206+0.00026598i,-0.030133-0.0095915i,0.0096374+0.030527i,-0.0010053+0.0060152i,-0.004785-0.0032476i,-0.01137-0.0057112i,0.0034359+0.0032912i,0.0031141+0.014381i,-0.0061818+0.0011988i,-8.0209e-05-0.0077258i,0.00531+0.00069714i,-0.0025764-0.0091278i,0.0069872-0.0047975i,0.0049347-0.00042649i,-0.0070415+0.0071118i,0.012548+0.0007915i,0.0091774-0.00067429i,0.011635-0.0037884i,0.0023173+0.0017803i,-5.3861e-06-0.0063221i,-0.0042489-0.005431i,0.0031231-0.00023731i,-0.012127+0.031274i,-0.0030521-0.0068928i,0.0019066+0.0010153i,0.0023773-0.0057775i,0.00279-0.00053786i,-0.009788-0.010269i,-8.9813e-05+0.00049168i,0.0051924-0.00027232i,0.0029055-0.0015193i,0.0024245-0.0054881i,-0.0061118+0.0042176i,-0.0034378+0.0055583i,-0.007106+0.0035149i,-0.0028878-7.8267e-05i,-0.0058253-0.00075585i,-0.030564+0.017739i,-0.011782+0.020263i,-0.017521-0.015095i,-0.011911-0.0085342i,0.0058886+0.019971i,-0.0035371+0.019387i,-0.0050417-0.0011671i
