-0.031614-0.038072i,-0.021278-0.019754i,-0.012954-0.035962i,-0.029788-0.020319i,-0.021927-0.0002723i,-0.01365-0.0058063i,-0.05574-0.058239i,-0.047018-0.017283i,-0.038414-0.016193i,0.012189+0.010984i,-0.0079189+0.0049337i,-0.020132+0.019191i,0.0024336+0.011904i,-0.0061682-0.0028185i,0.00017071+0.0012836i,-0.0022606+0.03069i,0.023782+0.026693i,0.0024929-0.0021588i,-0.0026013-0.007027i,0.0091691+0.0029481i,0.0026014+0.00077626i,0.00019069+0.0033385i,-0.0003478+0.00022813i,-0.03799-0.0085378i,-0.00013211-0.0090098i,0.0011465+0.0021928i,0.006056+0.00066172i,0.0021784+0.00065719i,0.00094415-0.00037546i,-0.00049057-0.0026023i,0.0014562-0.0023505i,-0.0020371-0.006194i,-0.00075032-0.0048288i,0.0030056-0.00054647i,0.0040652-0.0032584i,0.00022987+0.029847i,0.0039573-0.0039201i,0.0029423-0.0014005i,0.0075571-0.001554i,-0.0060141-0.0029048i,-0.00020727+0.0008578i,0.0071349+0.001726i,0.0046029-0.0020411i,-0.0020422+0.0080778i,-0.018562-0.0075176i,-0.019199+0.015596i,-0.0030702-0.061363i,-0.0044909-0.026883i,-0.026147-0.032933i,-0.010947-0.026779i,0.055067-0.020241i,0.017382-0.042434i,0.023178-0.048475i,0.0062578-0.054716i,0.026586-0.021548i,0.008302+0.0061398i,0.024134-0.034177i,-0.0092787-0.0067809i,0.0033874-0.004451i,-0.0046373-0.0072085i,-0.0016424-0.033391i,-0.019745+0.029452i,0.0084723-0.011674i,-0.0090855-0.0033187i,-0.004187-0.0014699i,0.00135-0.012674i,-0.01133+0.0048408i,0.0025245+0.010224i,-0.005356+0.026544i,0.0048593+0.0028743i,-0.0047624-0.0017765i,-0.0022208-0.0021498i,-0.011956-0.0074666i,-0.00046734-0.0044894i,-0.030659+0.0044646i,0.0012724-0.010542i,-0.0083986+0.00010835i,-0.0069371-0.0022372i,0.0054446+0.0017895i,-0.0079929+1.7908e-05i,0.002154+0.00019537i,0.0041564+0.0073314i,0.0044+0.00040429i,-0.0091538-0.012451i,0.0031368+0.0095285i,-0.015015+0.0037222i,0.0066704-4.7172e-05i,-0.022698-0.00090947i,-0.017605+0.0058594i,-0.0084571-0.066946i,0.0084857-0.012585i,-0.049287-0.023473i,-0.020335-0.00038843i,0.01729+0.012123i,-0.023214+0.015012i,-0.019954-0.0058281i
-0.037957+0.029699i,-0.016342+0.019573i,-0.021474+0.042335i,-0.026716+0.013436i,-0.0041679+0.021014i,-0.00084174+0.0076666i,-0.030127+0.017295i,-0.0033846+0.029039i,0.0088075+0.019117i,-0.0050864-0.0056641i,0.0026161+0.0037745i,0.0079061-0.00017408i,0.0056992+0.00032679i,-0.00045221+0.0033224i,0.0006546+0.0020969i,0.0062507-0.0047672i,-0.0059407+3.504e-05i,-0.0029874+0.0003764i,0.0039391-0.00071635i,-6.7176e-05-0.00096282i,0.002807-0.0051345i,0.0016076-0.0028299i,0.0013492-0.0024853i,-0.0091931-0.010863i,-0.0015866+0.0030248i,-0.0014767+0.00031511i,-0.0042828-0.0017592i,-0.0027984-0.00031308i,-0.0017868-0.0018495i,-2.8126e-05-0.00051213i,-0.00064718+0.0027136i,0.00072691+0.0010191i,0.0016217+0.00049791i,-0.00065735+0.00063483i,-0.0025746+0.0025833i,-0.0013174-0.0068571i,-0.00258+0.0013681i,0.00093855-0.00042837i,-0.001749+0.001953i,0.0036538+0.0031683i,-0.00051905-0.0017115i,-0.00012442-0.0031341i,-0.0038925-0.00072974i,0.0038639+0.0011092i,-0.014317+0.026279i,0.0079862-0.036204i,-0.053189+0.0045919i,0.0093108-0.031755i,-0.030132-0.049594i,-0.029052-0.01971i,-0.062652+0.02074i,-0.038201+0.00055125i,-0.033091-0.007198i,-0.028134-0.023054i,-0.039935-0.021757i,-0.0052944+0.0027884i,-0.028262+0.0097204i,0.0059765+0.01909i,0.002272+0.0086421i,-0.0036606-0.0045956i,0.0018783+0.0013282i,-0.01202-0.0044612i,0.0053165+0.01131i,-0.0011611+0.005857i,-0.0019809-0.0013563i,0.0010214+0.002245i,0.003936-0.00093955i,-0.0032875+0.017549i,0.0044293+0.015295i,0.0036497-0.00024395i,0.010032-0.0066042i,0.0040677+0.003155i,-0.008953-0.0078485i,-0.00099755-0.0028981i,0.014383-0.036177i,0.007573+0.010658i,0.004998+0.0020566i,-0.0027594+0.0027242i,0.0035018-0.0056159i,0.019716+0.0076979i,0.0032637+0.0026128i,0.00043668-0.0061461i,0.00089483-0.0028185i,0.016909+0.0044384i,0.0042622+0.0014691i,0.0029117-0.0047311i,0.0047034+0.0083604i,-0.00050204+0.0014948i,0.0088296+0.0030103i,-0.047144-0.014263i,-0.0050526+0.011584i,-0.0021675-0.004858i,-0.0071887+0.0047913i,-0.036853+0.013324i,-0.0056987+0.0072235i,-0.010595+0.014253i
-0.033475+0.034886i,-0.012904+0.019293i,-0.010756+0.038123i,-0.023855+0.016294i,-0.0013033+0.019144i,0.00054836+0.0076512i,-0.028757+0.022276i,0.0024833+0.028136i,0.011392+0.013297i,-0.0062293-0.0033533i,0.0039087+0.0042341i,0.0069692-0.0028548i,0.0050065-0.0018713i,0.0015588+0.0038462i,0.00087376+0.0021195i,0.0018422-0.0042295i,-0.0064782+0.0034987i,-0.0023713+0.0011741i,0.0045403-0.0013875i,0.00020817-0.00095963i,0.0012578-0.0052579i,0.0012719-0.0026001i,0.00076881-0.0025465i,-0.011952-0.0075432i,4.1923e-05+0.0029096i,-0.0015047+0.00062885i,-0.0039904+0.00028221i,-0.0020572+0.00052568i,-0.0024617-0.00044939i,0.00015386-0.00042681i,3.9769e-05+0.00256i,0.00039111+0.0010845i,0.0013051-0.00023119i,-0.00076797+0.00079453i,-0.0023839+0.0028987i,-0.0013979-0.005583i,-0.0022003+0.0020205i,-7.8262e-05-0.0010833i,-0.001253+0.0018147i,0.0035913+0.0010342i,-0.00081719-0.001432i,-0.0019755-0.0032687i,-0.0041583+0.00053847i,0.0042941+0.00022687i,-0.009537+0.024939i,-0.0053181-0.041652i,-0.046481+0.014637i,0.00026118-0.039878i,-0.045288-0.043823i,-0.02925-0.013038i,-0.050778+0.033209i,-0.036058+0.0092603i,-0.024319-0.0096775i,-0.03065-0.018518i,-0.045483-0.0054118i,-0.0045378+0.0025517i,-0.023663+0.021945i,0.011533+0.013212i,0.0051192+0.0053217i,-0.0091503-0.0075533i,-0.0017952+0.003589i,-0.012364+0.002372i,0.0098305+0.0080175i,-0.00046865+0.0083158i,-0.001854-9.8218e-05i,0.0022637+0.0034987i,0.004143-0.0014174i,0.0052431+0.014253i,0.0092837+0.0080738i,-0.00099313-0.0032046i,0.0033321-0.0076479i,0.0046317+0.0026021i,-0.010917+0.0011281i,-0.0024936-0.00073091i,-0.0035103-0.032538i,0.011713+0.0084135i,0.0062262-0.00070793i,0.00033955+0.0027421i,-0.00010492-0.0034281i,0.020909-0.0015242i,0.003299+0.0011467i,-0.0034403-0.0052444i,-0.0026265-0.0014974i,0.019555+0.003542i,0.0045089+0.0016886i,0.00088322-0.0035502i,0.0069188+0.0064567i,-0.00027799+0.0025922i,0.0092107-0.00018479i,-0.049625-0.0094817i,-0.0003744-0.003055i,-0.000927-0.0047748i,-0.0053474+0.0047798i,-0.029485+0.023716i,-0.003323+0.0081944i,-0.0039732+0.013121i
-0.027826+0.039699i,-0.010428+0.019153i,-0.0056013+0.031666i,-0.021112+0.018899i,0.0020126+0.018225i,0.00218+0.0070759i,-0.024786+0.027878i,0.00791+0.025714i,0.010785+0.0091114i,-0.0066581-0.00080501i,0.0057624+0.003759i,0.0028263-0.0040481i,0.0038057-0.0031051i,0.0024285+0.0032493i,0.0013763+0.0021138i,-0.0013288-0.0014553i,-0.0048111+0.0067746i,-0.0012323+0.0015657i,0.0047121-0.0040384i,0.00047106-0.0015906i,-0.00021953-0.0052361i,0.0013349-0.0030366i,0.00031511-0.002582i,-0.014547-0.0038019i,0.00083185+0.0024638i,-0.00090172+0.001406i,-0.0028221+0.00087575i,-0.00096719+0.0011135i,-0.002141-0.00041797i,-9.5695e-05-0.00085844i,0.00074052+0.0025603i,0.00076163+0.0012698i,0.00097315-0.00042358i,-0.00047199+0.00075279i,-0.00092031+0.0038362i,-0.00064263-0.0054515i,-0.0019851+0.0022806i,-0.00095822-0.00096386i,1.9943e-05+0.001605i,0.0027863-5.9108e-05i,-0.0010408-0.0012876i,-0.0020325-0.0015473i,-0.0039944+0.0016295i,0.0044409-0.0014323i,-0.0064744+0.024106i,-0.020936-0.039689i,-0.036624+0.020609i,-0.012077-0.042519i,-0.053343-0.03451i,-0.025769-0.0076559i,-0.034642+0.039352i,-0.02426+0.014962i,-0.026785-0.012958i,-0.031249-0.014316i,-0.041634+0.0079621i,-0.0039034+0.0029398i,-0.012321+0.029352i,0.014311+0.0070657i,0.0034892+0.00015538i,-0.017956-0.0045691i,-0.00087443+0.0052337i,-0.0072337+0.0067239i,0.011672+0.0029418i,0.0029934+0.0082472i,-0.0034572+0.0016458i,0.0026132+0.001591i,0.0039859-0.003091i,0.0078819+0.0073809i,0.0086519+0.0029426i,-0.0051418+0.00033035i,0.000256-0.0059668i,0.0063551+0.0016443i,-0.0058683+0.011676i,-0.00059592+0.0013437i,-0.0011568-0.022318i,0.015749+0.0019577i,0.0049246-0.0023351i,0.0013037+0.0016372i,4.6079e-05-0.0014797i,0.016573-0.0087372i,0.0015641+0.0028978i,-0.0052756-0.0028502i,-0.0030798+0.0022639i,0.012695-0.00027873i,0.0081487-0.00043439i,0.00074611-0.0033467i,0.010075+0.0025407i,0.0029017+0.0021496i,0.0081861-0.0031662i,-0.052701+0.00054019i,-0.009189-0.01166i,0.00082474-0.0079759i,-0.004319+0.0034105i,-0.019476+0.027732i,-0.0034535+0.0033786i,-0.0021775+0.0093245i
-0.020785+0.042506i,-0.0076947+0.020036i,-0.0039875+0.026539i,-0.017232+0.02179i,0.0049787+0.015249i,0.0037355+0.005511i,-0.01828+0.032391i,0.012218+0.021458i,0.010326+0.0071187i,-0.006102+0.0018651i,0.0071238+0.0024357i,0.00050078-0.0014832i,0.0022237-0.0034719i,0.0023085+0.0032808i,0.0019055+0.0015646i,-0.0017342+0.0026695i,-0.0012781+0.0088111i,-0.00043064+0.0012853i,0.0028403-0.0051661i,-0.00021255-0.0022159i,-0.0015249-0.0043341i,0.001004-0.0032856i,-0.00025195-0.0027947i,-0.014991+0.0022573i,0.0018086+0.0014851i,8.9235e-05+0.00088556i,-0.0022492+0.00012104i,0.00018675+0.00050236i,-0.0023619+0.00027866i,-0.00048603-0.00052683i,0.001712+0.0023118i,0.0013327+0.0011745i,0.00042321-0.00066607i,-0.00022895+0.00078836i,0.00080629+0.0031957i,-0.0012141-0.0073153i,-0.00079885+0.0030436i,-0.001347-0.00042145i,0.00032132+1.6789e-05i,0.0023619-0.000286i,-0.0011777-0.0009422i,-0.0015191-0.0015915i,-0.0032242+0.0026486i,0.0026358-0.0040503i,-0.003518+0.024173i,-0.033216-0.027967i,-0.027398+0.021072i,-0.024145-0.039829i,-0.061735-0.023614i,-0.020893-0.0060814i,-0.020547+0.038087i,-0.013871+0.01114i,-0.028076-0.010068i,-0.031368-0.0092176i,-0.035641+0.016271i,-0.0035551+0.0032896i,6.9714e-06+0.029724i,0.014223+0.0028835i,-0.0012287-0.00079417i,-0.022823+0.005818i,-0.00047394+0.0068763i,-0.0028356+0.0062403i,0.009344-0.003196i,0.0058194+0.0066672i,-0.0026766+0.0041413i,0.00042752+0.0018825i,0.0032392-0.0056955i,0.0060122+0.0016796i,0.0055895+0.00032433i,-0.0036562+0.0032659i,-0.0014615-0.0043172i,0.00674-0.00068069i,0.0065783+0.010594i,0.00035102+0.00072959i,-0.0081524-0.022522i,0.013686-0.004244i,0.0043376-0.0041295i,0.0016633+0.0023606i,0.0002562-0.001452i,0.010955-0.011899i,0.0050609+0.0038444i,-0.0060282+0.00035477i,-0.00070272+0.0040389i,0.0088069-0.0021187i,0.0073947-0.0055221i,-0.00068095-0.0028666i,0.0090721-0.0033353i,0.0028167-0.00067881i,0.0071421-0.0063263i,-0.048464+0.012622i,-0.01929-0.011104i,-0.0022182-0.013321i,-0.0030616+0.0018515i,-0.0128+0.027724i,-0.0073165+0.003271i,-0.0028762+0.0084737i
-0.014731+0.044515i,-0.005227+0.019767i,-0.004856+0.024178i,-0.012694+0.023237i,0.0064021+0.011944i,0.0040232+0.0036668i,-0.010724+0.034073i,0.014841+0.016848i,0.010773+0.00552i,-0.0041608+0.0036478i,0.0074511-0.0033821i,0.00098787+0.00063657i,0.0011849-0.0034978i,0.0036097+0.0037828i,0.0022126+0.0011759i,0.00023609+0.0053741i,0.0030402+0.0089312i,-0.00018115+0.0010075i,0.0015105-0.0055297i,-0.0011509-0.0020834i,-0.0027138-0.0035398i,0.00037411-0.0035344i,-0.0011521-0.0026491i,-0.0099305+0.0072305i,-0.0015451-0.0043829i,-0.0001446-1.4078e-05i,-0.0012499+0.00079831i,0.00025059-0.00060962i,-0.0013923+0.0021889i,-0.00019357-0.00026949i,0.0024244+0.0012082i,0.0018349+0.00035037i,-0.00028864-0.00058097i,-0.00024375+0.00076181i,0.0011925+0.0023427i,-0.0037128-0.0086034i,0.00027643+0.0029203i,0.00034442+0.0015612i,-0.00019696-0.00016807i,0.0017774-0.00035934i,-0.0010494-0.00063073i,-0.002204-0.0018187i,-0.0020401+0.003014i,-0.00020415-0.0035055i,0.00054+0.024339i,-0.033835-0.013592i,-0.021567+0.019271i,-0.034531-0.032678i,-0.066392-0.0083815i,-0.018282-0.0086876i,-0.0093061+0.033216i,-0.0091408+0.0059493i,-0.027622-0.0079236i,-0.030009-0.0060865i,-0.03053+0.023476i,-0.0027608+0.0034223i,0.012892+0.02478i,0.012497-0.0025182i,-0.0046177+0.0017734i,-0.020452+0.016067i,0.0019244+0.0077769i,-0.0007069+0.0068309i,0.0033055-0.0044584i,0.0077848+0.0044704i,-0.00090317+0.0062147i,0.00017396+0.0039156i,0.0012088-0.0069549i,0.0017771+0.0018393i,0.0028874+0.0010263i,-0.0029065+0.0052295i,-0.0025224-0.0021955i,0.0058034-0.0028864i,0.0076583+0.0042417i,0.00053877+0.00024828i,-0.012428-0.020853i,0.010013-0.0081193i,0.002279-0.0052912i,0.0041737+0.0027101i,-0.00016703-0.00095594i,0.0070802-0.012598i,0.0076786+0.000814i,-0.0040987+0.0037865i,0.0020177+0.0036492i,0.0081304-0.0030058i,0.0034309-0.0099749i,-0.00069243-0.0021524i,0.0041176-0.0065776i,0.00088422-0.0016639i,0.0036592-0.0093653i,-0.0398+0.017671i,-0.027895-0.0032263i,-0.0071857-0.014582i,-0.003152-0.00065705i,-0.0076588+0.026899i,-0.0099491+0.0061379i,-0.0018576+0.0090764i
-0.0079171+0.046168i,-0.0031031+0.019935i,-0.0052492+0.025089i,-0.0083482+0.023145i,0.0064216+0.0089614i,0.0040452+0.0025437i,-0.0025239+0.033117i,0.016064+0.012641i,0.01122+0.003072i,-0.0025535+0.0037587i,0.0040542-0.003367i,0.0021208+0.0016465i,4.9353e-05-0.0033352i,0.0052052+0.0026038i,0.0022215+0.00067221i,0.0031557+0.0062418i,0.0068413+0.0065994i,3.1094e-05+0.00098327i,-0.00057434-0.0056751i,-0.0018882-0.0015159i,-0.0028577-0.0022546i,-0.00032216-0.0036875i,-0.0017827-0.0021082i,-0.0059724+0.0061579i,-0.00092705-0.00042753i,-0.00072536-0.00013852i,-0.0013339+0.00094126i,-0.00036181-0.0015872i,-0.00035313+0.00095202i,-0.00013418-0.00046437i,0.0023226+5.4439e-05i,0.0018006-0.00073143i,-0.00055588-0.00026594i,-0.00011973+0.00076186i,0.0013488+0.0019439i,-0.0067136-0.0085915i,0.00077443+0.0024195i,-0.0016745+0.0018608i,-0.00030106+0.0014793i,0.0014837+0.00012634i,-0.00088744-0.00016352i,-0.0027511-0.00067305i,-0.00081538+0.0024832i,-0.0015793-0.0020489i,0.0045812+0.02402i,-0.028537-0.0059444i,-0.01787+0.017634i,-0.040362-0.021245i,-0.063707+0.010214i,-0.02182-0.011666i,-0.0025089+0.026337i,-0.0064054+0.0014818i,-0.026381-0.0050787i,-0.030071-0.0034377i,-0.022407+0.029969i,-0.0029363+0.003703i,0.018902+0.010525i,0.010568-0.0072116i,-0.0056435+0.0058189i,-0.012334+0.023737i,0.0043368+0.0064581i,0.0035046+0.0060032i,0.00048765-0.0014249i,0.0095603+0.0011188i,0.0015137+0.0078352i,0.0015371+0.0051014i,-0.0034294-0.0089828i,0.00068052+0.0049993i,0.0031446+0.0025943i,0.0004874+0.0083327i,-0.0017498-0.00042339i,0.004247-0.0036642i,0.0086135+0.0022953i,0.0010393-0.00065176i,-0.020601-0.018731i,0.0059238-0.010099i,-3.9001e-05-0.0053299i,0.0039695-0.0018266i,-0.00011348+0.00042942i,0.0045801-0.012027i,0.0073584-0.0025271i,-0.0013751+0.0048394i,0.0031073+0.0014706i,0.0065261-0.0052909i,-0.0035283-0.010148i,-0.00094598-0.0023529i,-0.00074521-0.0058088i,0.00021821-0.0026937i,-0.0010509-0.0091468i,-0.034602+0.021153i,-0.025446+0.010698i,-0.011797-0.014677i,-0.004837-0.0018026i,-0.003718+0.026212i,-0.0090708+0.0109i,0.0017712+0.0076968i
-0.00040503+0.046493i,-0.00053349+0.020451i,-0.0035916+0.027206i,-0.0052777+0.022118i,0.0054765+0.0073315i,0.0041371+0.0014552i,0.0042662+0.030091i,0.016302+0.0090894i,0.011384+0.0010372i,-0.0017873+0.0040417i,0.0027623-0.0023531i,0.0043125+0.0020268i,-0.00092812-0.0028061i,0.0057706-3.5229e-05i,0.0020037+0.0002767i,0.0057519+0.0054217i,0.008166+0.0031039i,0.000294+0.0010045i,-0.0020036-0.0050485i,-0.0021812-0.00064665i,-0.0026328-0.0010887i,-0.0013215-0.0035493i,-0.0022302-0.0014674i,-0.0062439+0.0059723i,-0.0010024-1.8836e-05i,-0.0012208+0.00034871i,-0.0011398+0.0012468i,-0.001688-0.0018017i,-0.00056037+0.00067319i,-0.00042463-0.00065054i,0.0021885-0.00064496i,0.0017391-0.001804i,-0.00021048-7.1797e-05i,8.7106e-05+0.0007079i,0.0018239+0.0010282i,-0.010038-0.0074653i,0.0013531+0.0020415i,-0.0011477+0.0018932i,-3.7119e-06+0.0020684i,0.001719+0.00057604i,-0.00070714+6.8405e-05i,-0.0018684+0.00033716i,-5.7058e-05+0.001861i,-0.0020017-0.001114i,0.009093+0.022241i,-0.024759-0.0048822i,-0.015195+0.016952i,-0.040295-0.010693i,-0.054163+0.025643i,-0.025605-0.0092933i,0.001474+0.021855i,-0.0062701-0.0028431i,-0.024673-0.003522i,-0.029254+0.00090023i,-0.013967+0.033124i,-0.0017472+0.0038661i,0.01319-0.0016258i,0.0060398-0.011263i,-0.0038951+0.0090051i,-0.0036526+0.024923i,0.0056125+0.0039145i,0.0052276+0.0019959i,0.0015296+0.00010749i,0.009194-0.0021278i,0.0061888+0.007134i,0.0033952+0.0063205i,-0.0080103-0.0035823i,0.0029771+0.0071077i,0.0045583+0.0031896i,0.0046578+0.0073279i,-0.0012063+4.8307e-05i,0.0034126-0.0044223i,0.0076769-0.0043381i,-0.0006338-0.0010607i,-0.027847-0.009863i,0.0021954-0.010157i,-0.0018331-0.004154i,0.0060704-0.0015303i,0.00038159+0.00068711i,0.0031248-0.013989i,0.0056128-0.0051455i,0.0010294+0.004228i,0.0031601+0.00068902i,0.0048689-0.0061717i,-0.0070531-0.0059033i,-0.0023535-0.0022186i,7.293e-05-0.0031141i,-0.0015594-0.0030195i,-0.0040302-0.0071193i,-0.028128+0.024119i,-0.019189+0.011736i,-0.012929-0.013002i,-0.0064042-0.0015942i,0.00099302+0.024245i,-0.0073985+0.012874i,0.0020918+0.0051484i
0.0069039+0.045791i,0.0027869+0.020719i,0.00018799+0.029707i,-0.0025892+0.022036i,0.0045269+0.0068892i,0.003751+0.00060047i,0.0095406+0.025989i,0.016418+0.0061837i,0.011533-0.0017535i,-0.00075689+0.0045419i,0.0027942-0.0015672i,0.0063894-0.00014786i,-0.0016547-0.001902i,0.0039966-0.0014982i,0.0019368+0.00013676i,0.0076238+0.0033292i,0.0077139+0.0005859i,0.00075035+0.00067428i,-0.0032824-0.0042501i,-0.0018577+0.00037026i,-0.0019939-0.00031517i,-0.002104-0.0026564i,-0.0024648-0.00078599i,-0.0055718+0.0079771i,-0.0011931+0.0005332i,-0.0010064+0.00098135i,-0.00079113+0.0016715i,-0.0029585-0.00092313i,-0.00053856+0.00072942i,-0.00075202-0.0005175i,0.0016885-0.0017701i,0.00041878-0.0029493i,-0.00029468-0.00024233i,9.3745e-05+0.0006084i,0.0015183+0.00016726i,-0.012585-0.0045362i,0.0017172+0.0014309i,-0.00022969+0.0020471i,-0.00034813+0.0022799i,0.00042442+0.0023769i,-0.00012941+0.00029644i,-0.0011603+0.0005518i,0.0004015+0.0011559i,-0.0022491-0.0001044i,0.01255+0.018933i,-0.0253-0.0042329i,-0.013369+0.015886i,-0.039372-0.002243i,-0.040964+0.03407i,-0.029101-0.0060426i,0.0056278+0.015329i,-0.0071995-0.0049584i,-0.023712-0.0027368i,-0.027405+0.0058147i,-0.0040438+0.034382i,-0.0010221+0.0035724i,0.0063023-0.0035787i,0.00093888-0.012657i,0.00011338+0.012032i,0.004117+0.022643i,0.0048098+0.0014319i,0.0044424-0.001854i,0.0013027+0.00035626i,0.007454-0.0053649i,0.0095483+0.0036386i,0.0061921+0.0060269i,-0.007839+0.00038427i,0.005649+0.0075971i,0.0063671+0.0030744i,0.008947+0.0041622i,-0.00078579+0.00077262i,0.0030502-0.0053032i,0.0054635-0.0092713i,-0.00087279+0.00095301i,-0.030457+0.0031768i,-0.00058941-0.0093772i,-0.0029403-0.0023098i,0.0062104-0.0021086i,0.00070834+0.00043617i,-0.0011942-0.016419i,0.0032286-0.0063628i,0.0027198+0.0034334i,0.0035806-0.00039863i,0.0045502-0.0071042i,-0.0087407-0.0029004i,-0.0035339-0.00066708i,-0.00079164-0.0030829i,-0.002546-0.0024953i,-0.0053419-0.004907i,-0.022412+0.02437i,-0.017466+0.012492i,-0.01374-0.013575i,-0.0075969-0.00031876i,0.002738+0.023167i,-0.0061013+0.013458i,0.0023713+0.0039194i
0.014684+0.043828i,0.0070204+0.019977i,0.006251+0.030871i,0.00043173+0.021528i,0.0048973+0.0075682i,0.0035259+0.00022401i,0.013119+0.020714i,0.016604+0.0032313i,0.010641-0.0045206i,0.00047679+0.0043487i,0.0028238-0.0021536i,0.0057929-0.003408i,-0.0018814-0.00091826i,0.0030518-0.001803i,0.0019621-5.4027e-05i,0.0080612+0.00045586i,0.0069764-0.00071577i,0.00052956+0.00016483i,-0.0045172-0.0029934i,-0.0011702+0.00072919i,-0.0011656-0.00034639i,-0.0022353-0.0019167i,-0.0024368-1.8133e-05i,-0.0021655+0.0091733i,-0.00087257+0.0010502i,-0.00046758+0.0013009i,-5.1355e-05+0.0019224i,-0.0032423+0.0007006i,-0.00041769+0.00054142i,-0.00094828-0.0003611i,0.00056338-0.0021817i,-0.00052621-0.0029072i,-0.00055434-5.0061e-05i,-2.1596e-06+0.00055665i,0.0010135-0.00033282i,-0.013599-0.00016134i,0.0016904+0.00087841i,0.00045817+0.0018896i,-3.1167e-05+0.0027722i,-6.1652e-05-0.0016634i,0.00075792-0.00017199i,-0.00049766+0.00048248i,0.00046153+0.00070145i,-0.0020307+0.0009074i,0.014661+0.016065i,-0.02784-0.00048529i,-0.011858+0.015218i,-0.034006+0.0061368i,-0.028276+0.038256i,-0.03189+0.0016262i,0.007654+0.0078399i,-0.0055784-0.0073413i,-0.023034-0.00076997i,-0.023338+0.010841i,0.0054331+0.032599i,-0.00088787+0.002836i,0.0021423-0.0036807i,-0.0048313-0.012256i,0.006286+0.011442i,0.0098094+0.018135i,0.002529+0.00033962i,0.0024098-0.0043345i,0.0023492+0.0027422i,0.0036356-0.007302i,0.010795-0.0019449i,0.0083761+0.0036228i,-0.0074036+0.0041472i,0.0098663+0.0069001i,0.0088318+0.00046845i,0.010393-0.00071882i,0.00010472+0.001373i,0.001534-0.0059683i,-0.00060171-0.0093923i,0.00094842+0.0023602i,-0.02801+0.015596i,-0.0026573-0.0082326i,-0.0026433-0.00022834i,0.0054808-0.00535i,0.0012549+0.00076484i,-0.0077601-0.015831i,0.00050434-0.00631i,0.0039084+0.0016694i,0.0035886-0.00086852i,0.0026564-0.008393i,-0.0088838+0.002327i,-0.0032743+0.001575i,-0.0047407-0.0026226i,-0.0038172-0.0023196i,-0.0056344-0.0028304i,-0.019249+0.025042i,-0.016471+0.017171i,-0.016047-0.015738i,-0.0060368+0.0015308i,0.0068157+0.022878i,-0.005623+0.015172i,0.0034729+0.0013775i
0.022153+0.040038i,0.010794+0.017957i,0.012866+0.028594i,0.0033498+0.020562i,0.0063131+0.0076851i,0.0038119-1.5568e-05i,0.014777+0.015552i,0.016271+0.00036085i,0.0092686-0.0067502i,0.0012792+0.004044i,0.002357-0.002562i,0.0032732-0.0050253i,-0.0018639-7.2511e-05i,0.0020739-0.0019405i,0.0019143-0.00032004i,0.0068689-0.0018905i,0.0066423-0.0019858i,0.00032945+0.00010183i,-0.00498-0.0015891i,-0.00065734+0.00092539i,-0.00048234-0.00058921i,-0.0023769-0.001501i,-0.0020928+0.00057013i,0.00095235+0.0091387i,-0.00054004+0.001148i,-9.4712e-05+0.0015239i,0.00065528+0.001484i,-0.0024845+0.0018896i,-0.00054148+0.00037262i,-0.001265+4.4139e-07i,-0.00049632-0.0020044i,-0.001868-0.0024521i,-0.00033212+0.0002231i,2.2335e-05+0.00061634i,0.00052059-0.00059404i,-0.012945+0.0040044i,0.0016335+0.00029933i,0.00071008+0.0014341i,0.0016194+0.0030796i,0.00027305-0.0016338i,-0.00072891+0.00019895i,0.0003128-0.00075655i,0.00043885+0.00057162i,-0.0013882+0.001767i,0.016367+0.01367i,-0.027431+0.0063954i,-0.011621+0.014785i,-0.027482+0.009579i,-0.015796+0.039837i,-0.030329+0.012028i,0.0058891+0.0005408i,-0.0062491-0.013099i,-0.01995+0.00069229i,-0.016496+0.015303i,0.013664+0.02688i,-0.0012756+0.0025915i,-0.0019414-0.0021984i,-0.0095888-0.0088321i,0.01048+0.0070031i,0.0097492+0.011035i,-0.00058101+0.0016241i,-5.1168e-05-0.0071059i,0.005753+0.0016699i,-0.00034212-0.0068188i,0.007733-0.0061197i,0.0095803+0.00028459i,-0.0060598+0.0071065i,0.013528+0.0015114i,0.0085764-0.0045818i,0.0093369-0.0061647i,0.0015558+0.0012858i,-0.00021292-0.0062588i,-0.0045115-0.005892i,0.003006+0.0012718i,-0.019424+0.026817i,-0.0054019-0.0067767i,-0.0013643+0.00097231i,0.0018266-0.0069791i,0.0021344+0.00052422i,-0.013371-0.011844i,-0.00094464-0.0045382i,0.0038587-0.00078125i,0.0033423-0.0015506i,-0.0002099-0.008475i,-0.0051424+0.0064257i,-0.0021139+0.0031775i,-0.0051876+0.0015432i,-0.0056814-0.0013474i,-0.0055023-0.0018618i,-0.014364+0.028646i,-0.0077994+0.021521i,-0.023093-0.015999i,-0.0032423+0.00014596i,0.009973+0.020697i,-0.0031189+0.017852i,0.0026428-0.0023023i
