-0.023089-0.019242i,-0.032472-0.03318i,-0.022413-0.01962i,-0.032528-0.02009i,-0.023934+0.0043095i,-0.028754-0.017369i,-0.057708-0.043744i,-0.040975-0.041698i,-0.030755-0.023434i,0.0053034+0.005749i,-0.0035221+0.0063988i,-0.011049+0.010985i,0.0039814+0.0069214i,-0.0037357-0.0027346i,0.0029444+0.0016039i,0.0042082+0.02788i,0.026277+0.032208i,0.00011436+0.00030311i,-0.0029095-0.00285i,0.0074935+0.0039816i,0.0021257+0.00069448i,-9.7404e-05+0.0025586i,-0.00060432+0.00031555i,-0.032468-0.00079832i,-0.0031524-0.0048022i,0.00013575+0.0024723i,0.0039041-0.0011232i,0.00076575-0.00017529i,-0.00044528-0.00056951i,-0.0010299-0.0018691i,-0.0022079-0.00058234i,-0.0037846-0.0038686i,-0.0029287-0.0053161i,0.00036251-0.0011824i,0.00069731-0.0030126i,-0.0015273+0.025246i,0.0021127-0.0030338i,0.0022348-0.0039451i,0.0045198-0.0025256i,-0.0065329-0.0016429i,0.00076863+0.0010368i,0.010186-0.00041258i,-0.0026145+0.00015412i,-0.0030855+0.0015441i,-0.0085899-0.0026277i,-0.018674+0.021431i,-0.0081343-0.086437i,-0.0024917-0.061032i,-0.021567-0.05361i,-0.010963-0.045915i,0.054277-0.026513i,0.024245-0.067735i,0.041112-0.053779i,0.01858-0.038863i,0.02608-0.019761i,0.012258+0.011933i,0.025459-0.029409i,-0.011414-0.001302i,-0.00089224-0.0011768i,-0.0075244-0.0015834i,-0.0051974-0.029006i,-0.020225+0.027265i,0.0076651-0.0094384i,-0.01042-0.0033228i,-0.0024658-0.0019559i,-0.00069547-0.014605i,-0.0082549+0.0047942i,0.005209+0.0103i,-0.0098552+0.030836i,0.0066089+0.0075616i,-0.0036548-0.0016758i,-0.0024284-0.0015277i,-0.013171-0.005558i,0.00045356-0.0039091i,-0.033306+0.0032439i,0.0032081-0.0087289i,-0.0071738-0.001829i,-0.0052224-0.0028989i,0.0069128+0.0018022i,-0.010321+0.00055273i,0.002425-0.00027894i,0.0059626+0.0079134i,0.0058552+0.00090071i,-0.00818-0.0098566i,0.0025703+0.008203i,-0.019646+0.0075598i,0.0030185+0.0058469i,-0.020996-0.0089797i,-0.027391-0.0051752i,0.0096496-0.061741i,0.018774-0.014117i,-0.051301-0.028913i,-0.023566+0.0030763i,0.019257+0.010355i,-0.027285+0.011694i,-0.01266-0.0080221i
-0.011442+0.013939i,-0.021334+0.041834i,0.001697+0.040553i,-0.010318+0.024442i,-8.8667e-05+0.020962i,0.0019434+0.023216i,-0.024614+0.01552i,-0.025783+0.033214i,0.00051891+0.017438i,-0.0013248-0.0012704i,-0.00096094+0.0016888i,0.0042693+0.003543i,0.0033131+0.0049253i,-0.0030093+0.001795i,-0.0030639+0.003733i,0.00098982-0.0071557i,-0.0087427-0.0018794i,-0.0020152+0.00029209i,0.00016335-0.0013051i,-0.00093945-0.00037058i,0.00075957-0.0033057i,0.0012199-0.0026895i,0.00099681-0.0014896i,-0.0094998-0.0082507i,-0.00018051-0.00039632i,-0.0014567+0.0002206i,-0.0023998+2.84e-05i,-0.0028077-0.00013703i,-0.00094365-0.00084766i,0.0011329-0.00069059i,-0.0018215+0.00021089i,0.0015303-0.00016016i,0.0019727-0.00068065i,0.00061651+0.00043345i,-0.00053587+0.0018643i,-0.00040603-0.0067232i,-0.0013438+0.00091184i,0.0017838+9.0336e-05i,0.00064325+0.0025151i,0.0043072+0.0059532i,0.0011596-0.0017087i,-0.0016678-0.0010003i,-0.0013982-0.002136i,0.0030005+0.0053854i,-0.0082229+0.0076516i,0.019796-0.057766i,-0.07455+0.015151i,-0.028112-0.018413i,-0.061016-0.047919i,-0.053199-0.017153i,-0.085394+0.004216i,-0.073458+0.002392i,-0.046861-0.033243i,-0.0079823-0.045745i,-0.038075-0.025788i,-0.0061877+0.00020365i,-0.030821+0.010316i,0.0075693+0.011064i,0.0097551+0.0069584i,0.0025987-0.0068075i,0.010676+0.0038248i,-0.011423-0.0037638i,0.0027475+0.012066i,0.001712+0.0065802i,-0.00026046-0.0012523i,0.005589+0.0017136i,0.0039376+0.00046397i,-0.0047963+0.019164i,0.00024572+0.0094678i,0.0010293-0.0036969i,0.0082951-0.0061096i,0.0013559+0.0041813i,-0.0082512-0.0072681i,-0.0027458-0.00088987i,0.021322-0.030732i,0.0053272+0.0086969i,0.0017144+0.0028902i,-0.001888+0.0041698i,0.0030191-0.0041853i,0.01967+0.0029441i,0.0014011-0.002079i,-0.0029962-0.0064206i,-0.00059585-0.0022316i,0.012047+0.0047695i,0.0054617-0.00053944i,0.0034124-0.0078124i,0.0044499+0.0046978i,-0.0058379+0.0034916i,0.013501+0.0070483i,-0.04362-0.038454i,-0.012398+0.0060722i,-0.0020977-0.0014984i,7.5084e-05+0.0032015i,-0.040446+0.011378i,-0.0068586+0.0083229i,-0.013318+0.0034965i
-0.0085984+0.014721i,-0.014178+0.042286i,0.010896+0.034126i,-0.0055007+0.02527i,0.0027749+0.018571i,0.0062556+0.021777i,-0.023364+0.019333i,-0.018308+0.03534i,0.0043036+0.012201i,-0.0016323-0.00036854i,-0.00017565+0.0028801i,0.0048358+0.0011287i,0.0041449+0.0031663i,-0.0014878+0.0028727i,-0.0022019+0.0047163i,-0.003385-0.0056209i,-0.0099715+0.0028401i,-0.0016541+0.0010105i,0.00078454-0.00084127i,-0.00046612-9.1805e-06i,-0.0001298-0.0032174i,0.0010602-0.0022609i,0.0008076-0.0013492i,-0.011-0.0049506i,6.4816e-05-0.00033135i,-0.0014476+0.00065006i,-0.0016927+0.00084751i,-0.0023234+0.00061933i,-0.0010399-0.00073767i,0.0010254-0.00083439i,-0.0016121+0.00113i,0.0010953-0.00048518i,0.0011534-0.0014256i,0.00024234+0.00050203i,-0.00096661+0.0014264i,-0.0001779-0.0056767i,-0.00080519+0.00098387i,0.00086837-0.00053079i,0.00076447+0.0026673i,0.0055027+0.0032332i,0.00058656-0.0021572i,-0.0023242-0.00067465i,-0.0025457-0.0012576i,0.004386+0.004687i,-0.006032+0.0059648i,0.0016251-0.067534i,-0.06506+0.02955i,-0.035007-0.02079i,-0.074291-0.038664i,-0.053494-0.0056767i,-0.076677+0.02087i,-0.070699+0.016656i,-0.040102-0.031249i,-0.013949-0.044299i,-0.044585-0.011172i,-0.0071332+0.00024756i,-0.024026+0.022769i,0.0096117+0.0058403i,0.011523+0.00074044i,-0.0022969-0.012161i,0.0076534+0.0026673i,-0.011536+0.0024576i,0.0077299+0.0099125i,0.0036139+0.0074486i,-0.00071334-0.00091746i,0.0064147+0.0020651i,0.0048755+0.00021416i,0.004281+0.016427i,0.004438+0.0054226i,-0.0030989-0.0054681i,0.0021228-0.0068178i,0.0031643+0.00491i,-0.010662-9.5863e-06i,-0.0022962+0.0020108i,0.006953-0.031978i,0.008255+0.0073883i,0.0042055+0.0021354i,0.0018858+0.0029376i,-0.00042174-0.0018387i,0.017249-0.0062934i,-0.00022078-0.0025764i,-0.0060626-0.0041506i,-0.003247-0.0010521i,0.010563+0.00032049i,0.0044215-0.00034353i,0.00052344-0.0061731i,0.0061549+0.0034881i,-0.0058998+0.0056003i,0.01375+0.001977i,-0.050524-0.032186i,-0.006476-0.004563i,-0.002538-0.002434i,0.0016888+0.0016778i,-0.03387+0.023488i,-0.0049404+0.0092754i,-0.010611+0.0056715i
-0.0053925+0.014669i,-0.0076665+0.042776i,0.015564+0.026544i,-0.00090156+0.024173i,0.0063391+0.017393i,0.010164+0.019248i,-0.020422+0.023362i,-0.01115+0.034894i,0.0039481+0.0078064i,-0.0016074+0.00069693i,0.0016387+0.003318i,0.002303-0.00030185i,0.0043952+0.0018309i,-0.00073645+0.0029742i,-0.0008395+0.0055417i,-0.0067064-0.0017716i,-0.0081028+0.007802i,-0.00076557+0.001556i,0.0014969-0.0017852i,0.00016528-0.00035308i,-0.0010393-0.003017i,0.00089586-0.0028381i,0.00078719-0.0015311i,-0.012025-0.0018251i,-8.0242e-05-0.00033598i,-0.00099361+0.0013918i,-0.0010056+0.00063553i,-0.0014582+0.0015192i,-0.001303-0.00063232i,0.00056509-0.0014051i,-0.00084348+0.0016747i,0.00064814-0.00080004i,0.00035635-0.0014117i,0.00052842+0.00020084i,-0.00061643+0.0023757i,0.00024621-0.006153i,-0.00073145+0.00086612i,0.00027071-0.00075285i,0.0025049+0.0012763i,0.0052218+0.0010816i,-0.00016023-0.0021092i,-0.0017114+0.0003576i,-0.0034102-0.00014494i,0.0054254+0.0029326i,-0.0053472+0.0046079i,-0.020689-0.067985i,-0.050957+0.038507i,-0.04334-0.017519i,-0.081828-0.023504i,-0.049081+0.0031641i,-0.062362+0.031812i,-0.057756+0.029244i,-0.042528-0.03406i,-0.019421-0.043548i,-0.043471+0.003416i,-0.0072713+0.0014736i,-0.012144+0.028464i,0.010154+0.0014277i,0.0079985-0.0048153i,-0.01312-0.012421i,0.0074592+0.00050452i,-0.0079326+0.0065113i,0.010552+0.0045355i,0.0059259+0.0066291i,-0.0029223+0.00037667i,0.0065867-0.0016306i,0.0057512-0.002355i,0.0079488+0.010284i,0.0039477+0.0014219i,-0.008159-0.0023044i,-0.00019857-0.004923i,0.0060581+0.0038501i,-0.0064354+0.0087024i,0.00013971+0.0031488i,-0.0037361-0.028249i,0.011798+0.0033881i,0.0041786+6.0875e-05i,0.0020642+0.00090396i,0.00052503+6.985e-05i,0.01101-0.010886i,-0.0024638+0.00029706i,-0.0072338-0.00058293i,-0.003867+0.0024065i,0.0071691-0.0022691i,0.0073463-0.0015677i,0.0002815-0.0058247i,0.0090456+0.00076902i,-0.0025604+0.0071374i,0.012253-0.0024728i,-0.055514-0.02133i,-0.0121-0.01345i,-0.0011236-0.0035193i,0.0039421-0.0015893i,-0.023448+0.029268i,-0.0038583+0.0054994i,-0.0072646+0.0013017i
-0.0024668+0.013532i,-0.00029242+0.042737i,0.017618+0.019275i,0.0038382+0.023085i,0.010396+0.013978i,0.013387+0.015766i,-0.015967+0.026804i,-0.005823+0.032661i,0.0032052+0.0060908i,-0.0010092+0.0016653i,0.0028997+0.0020986i,0.0011718+0.001486i,0.0041868+0.00064345i,-0.00051114+0.0036206i,0.00065106+0.0057021i,-0.0068278+0.0036842i,-0.0035173+0.011015i,6.3287e-05+0.0013591i,0.00058019-0.0024429i,-2.994e-05-0.001011i,-0.0018462-0.0023969i,0.00024957-0.0030406i,0.00057996-0.0021206i,-0.011913+0.0021259i,-4.9967e-05-0.00047305i,8.663e-05+0.0011092i,-0.00092917+0.00032752i,-0.00037675+0.0014083i,-0.0015738+8.9851e-05i,-0.00026657-0.0013305i,-2.697e-05+0.0017507i,8.6151e-05-0.00081851i,-0.00049682-0.0010837i,0.00045549+1.8942e-05i,0.00076944+0.0023117i,-0.00072024-0.0080232i,-0.00029265+0.0012621i,-0.00041909-0.00056588i,0.0019223-0.00069452i,0.0048534-0.00040374i,-0.00063799-0.0019403i,-0.00099848+0.00032733i,-0.0034121+0.0014736i,0.0045592+0.00060085i,-0.0054329+0.0043511i,-0.039607-0.056609i,-0.037402+0.040705i,-0.049642-0.010228i,-0.085596-0.0081039i,-0.042772+0.0085841i,-0.049765+0.035618i,-0.044254+0.031421i,-0.047349-0.030243i,-0.025193-0.039382i,-0.038859+0.014556i,-0.0075362+0.0030054i,-0.00089857+0.028484i,0.0092792-0.0029845i,0.0028596-0.0063493i,-0.021238-0.0038751i,0.0045068-0.00044303i,-0.003983+0.0075336i,0.0092865-0.0012409i,0.0082305+0.0054675i,-0.0028663+0.0031898i,0.0033237-0.0026682i,0.0050235-0.0060019i,0.0075928+0.0040123i,0.0012232-0.00023669i,-0.0084897+0.001569i,-0.0017542-0.0035395i,0.007212+0.0014181i,0.0028928+0.0097559i,0.0019192+0.0020102i,-0.0097167-0.022165i,0.011735-0.0011434i,0.0036893-0.0013048i,0.0026164+0.0013412i,0.00085171-0.000291i,0.0056691-0.010931i,6.3915e-05+0.0025587i,-0.0066975+0.0027274i,-0.0011367+0.0047635i,0.0050533-0.0018979i,0.0070888-0.0061625i,-0.0021741-0.0053488i,0.0082524-0.0045152i,-0.0001725+0.0058208i,0.010195-0.0066959i,-0.05407-0.0083773i,-0.022137-0.015158i,-0.0022528-0.0077607i,0.0031664-0.0066241i,-0.015159+0.029688i,-0.0069736+0.0048513i,-0.010604-0.00023795i
-0.00066298+0.012143i,0.0061824+0.040866i,0.01686+0.013691i,0.008362+0.020367i,0.012769+0.0094297i,0.015182+0.011911i,-0.010445+0.028547i,-0.0020471+0.030642i,0.0035299+0.0053299i,0.00020352+0.0020753i,0.0030406+0.0011796i,0.0020891+0.0024926i,0.0038871-0.00034649i,0.0010397+0.0044625i,0.002242+0.0054388i,-0.0040291+0.0074288i,0.0015937+0.011302i,0.00056926+0.0011007i,0.00015397-0.0022694i,-0.00060052-0.0011735i,-0.0026007-0.0016842i,-0.0005246-0.00292i,-0.00030277-0.0024074i,-0.0095416+0.0051929i,-0.00048253-0.00077787i,0.00010014+0.00030562i,-0.00086618+0.00037267i,0.00015575+0.00086474i,-0.0012349+0.00088054i,-0.00042222-0.0007852i,0.00053405+0.0015255i,-9.9345e-05-0.00092555i,-0.00090601-0.00045153i,0.00026891-9.1827e-05i,0.0011613+0.0015449i,-0.0034389-0.0088779i,5.1995e-05+0.0012173i,-0.00044228+0.00022304i,0.0006329-0.0010997i,0.0040606-0.0012162i,-0.0011008-0.00174i,-0.00086873+0.0003001i,-0.002272+0.002676i,0.0032527+0.00096495i,-0.0048777+0.0049096i,-0.047048-0.039725i,-0.02731+0.038578i,-0.054104-0.00081564i,-0.086728+0.0087675i,-0.038362+0.0094571i,-0.039097+0.036924i,-0.03509+0.03093i,-0.050395-0.025825i,-0.027851-0.035535i,-0.032128+0.02474i,-0.0070287+0.0046998i,0.011563+0.024247i,0.0070271-0.0055882i,-0.0016024-0.0052261i,-0.022922+0.0059435i,0.0032945+0.00021659i,-0.00033019+0.0083495i,0.0044636-0.0033241i,0.010286+0.0026905i,-0.0011014+0.0050046i,0.0012447-0.001433i,0.0025296-0.0086236i,0.0040534+0.0025632i,-0.00097473+0.001097i,-0.0084362+0.0069353i,-0.0027576-0.0012213i,0.0072258-0.0014644i,0.0070838+0.0052331i,0.0025288+0.00082743i,-0.012629-0.019466i,0.0098991-0.0055582i,0.0026692-0.0023301i,0.004896+0.00053369i,0.00093861-6.2141e-05i,0.002922-0.0095773i,0.0021586+0.0015905i,-0.0040431+0.0059167i,0.0024178+0.0045237i,0.0046338-0.00199i,0.003394-0.010696i,-0.002841-0.0035989i,0.0042344-0.007737i,0.00020498+0.0043092i,0.005413-0.010326i,-0.04804-0.0021245i,-0.032746-0.0070189i,-0.0055586-0.0097394i,-8.339e-05-0.010513i,-0.0085729+0.029078i,-0.0098993+0.0074423i,-0.012035+0.0023888i
0.00077733+0.011023i,0.01199+0.038593i,0.016105+0.010912i,0.011616+0.016505i,0.012867+0.0046983i,0.016373+0.0086084i,-0.0044746+0.028434i,0.00084534+0.029085i,0.0040866+0.0032941i,0.00089255+0.0013852i,0.002541+0.0003446i,0.0030781+0.0024824i,0.0033028-0.0012065i,0.0027302+0.0036053i,0.0034515+0.0046048i,-0.0002839+0.0090258i,0.0062102+0.0092827i,0.00096913+0.0007951i,-0.00044446-0.0024333i,-0.0012053-0.0010349i,-0.0026469-0.00047649i,-0.0009844-0.0026356i,-0.00099374-0.0020343i,-0.0074167+0.0061513i,-0.00094859-0.00041254i,-0.0002346+7.4551e-05i,-0.00094332+0.00043531i,0.00035108+0.00024099i,-0.00046225+0.0011573i,-0.00039687-0.00059035i,0.001056+0.0012907i,-0.00060654-0.00092343i,-0.00093317+4.303e-05i,-8.1622e-06-0.00018119i,0.0013357+0.0014334i,-0.0065535-0.0083217i,0.0002026+0.00082946i,9.3773e-05+0.00036415i,-5.1895e-05-0.0008512i,0.0033113-0.0018194i,-0.0015047-0.0010795i,-0.00091126+0.00040012i,-0.00079197+0.0029153i,0.0035594+0.0016449i,-0.003785+0.0056631i,-0.045532-0.027631i,-0.020218+0.036227i,-0.055069+0.012334i,-0.081574+0.028443i,-0.039139+0.010312i,-0.030559+0.035879i,-0.02734+0.029856i,-0.051883-0.019137i,-0.031432-0.032078i,-0.022993+0.029801i,-0.0064613+0.0068093i,0.018214+0.010719i,0.0048837-0.007956i,-0.0047704-0.0018441i,-0.018666+0.015891i,0.0033136-0.00035228i,0.0038415+0.0064007i,0.0015459-0.0016661i,0.011572-0.0018733i,0.00088192+0.0060846i,0.0009732-0.00034191i,-0.0027893-0.010207i,0.0026951+0.0044804i,-0.0007423+0.0036044i,-0.0027472+0.011791i,-0.0014582+0.00084489i,0.0057842-0.0032818i,0.0081868+0.0011886i,0.0031778-0.00087355i,-0.018503-0.017956i,0.0059492-0.0079345i,0.0010028-0.0028249i,0.0040686-0.0018149i,0.0011729+0.00075381i,0.0019955-0.0078944i,0.0027436-2.0294e-05i,-0.00049689+0.0065854i,0.0038739+0.0018239i,0.0037934-0.0029536i,-0.0030124-0.010475i,-0.0033156-0.0033944i,0.00012706-0.0074847i,0.0010612+0.0033487i,-0.00083628-0.010487i,-0.045167+0.0023922i,-0.030409+0.0076494i,-0.0092483-0.0099124i,-0.0047371-0.011517i,-0.0039283+0.027861i,-0.0082002+0.012275i,-0.0089081+0.0042104i
0.0020436+0.0099093i,0.017677+0.036104i,0.016151+0.0086973i,0.013227+0.012248i,0.011447+0.0013973i,0.017331+0.0051746i,0.00076599+0.026968i,0.0036118+0.028268i,0.0039117+0.001794i,0.00087047+0.0010779i,0.0021273+0.00050753i,0.0045611+0.0022518i,0.0024377-0.0017009i,0.0034672+0.0019449i,0.0041942+0.0036203i,0.0031842+0.008808i,0.009123+0.0056394i,0.0012711+0.00052599i,-0.0010469-0.002386i,-0.0015977-0.00043636i,-0.0021356+0.00036562i,-0.0015497-0.002462i,-0.0013733-0.001542i,-0.0062201+0.0078227i,-0.00093053-9.2909e-07i,-0.0005862+0.0003346i,-0.00096478+0.00086446i,-0.00017964-0.00014616i,-0.00011593+0.00079673i,-0.00048454-0.00058599i,0.0014976+0.0007843i,-0.00060452-0.000309i,-0.00048068+0.00017491i,-0.00012025-8.645e-05i,0.0018691+0.00056632i,-0.0094405-0.0068567i,0.00028254+0.00072292i,0.0001311-3.9934e-05i,-0.00046484-0.00060167i,0.0025689-0.0023227i,-0.0014328-0.00044414i,-0.00055009+0.0005578i,1.4851e-05+0.0022084i,0.0041974+0.0008851i,-0.0022112+0.0056934i,-0.04433-0.022856i,-0.015222+0.034658i,-0.049447+0.024536i,-0.07027+0.044949i,-0.039475+0.015888i,-0.023877+0.035335i,-0.022195+0.027534i,-0.052297-0.013694i,-0.033652-0.0269i,-0.015058+0.032416i,-0.003596+0.0074029i,0.012747-0.0018334i,0.0013751-0.010495i,-0.0048779+0.0013133i,-0.011122+0.02035i,0.0021863-0.0013492i,0.0055654+0.002907i,0.0018484-0.00044019i,0.0097912-0.0053401i,0.0046399+0.0060855i,0.0012155+0.0012526i,-0.0079708-0.0052083i,0.0042098+0.0056862i,0.00082379+0.0052456i,0.0032721+0.011404i,-0.00066948+0.001052i,0.0043956-0.0045274i,0.0082482-0.0042852i,0.0012594-0.0016963i,-0.025115-0.011297i,0.0029071-0.0082197i,-0.00031094-0.0017954i,0.0043395-0.00081309i,0.0018059+0.00047281i,0.002368-0.0089318i,0.0021884-0.0014587i,0.0018672+0.0049823i,0.0034496+0.0007948i,0.0035056-0.00252i,-0.0064365-0.0065867i,-0.0048413-0.0026732i,-0.0033148-0.0058408i,0.0010443+0.0020314i,-0.0045172-0.0075729i,-0.041667+0.0075941i,-0.024472+0.010027i,-0.0095007-0.0084885i,-0.008216-0.010348i,0.00096816+0.024724i,-0.0059875+0.012999i,-0.0077651+0.0034419i
0.0030896+0.0086939i,0.023244+0.032814i,0.017015+0.0068713i,0.013614+0.0088093i,0.0095515-0.00062001i,0.017513+0.0017466i,0.0053813+0.024693i,0.0069779+0.027751i,0.0035987+0.00015844i,0.00093406+0.00088784i,0.002536+0.00068458i,0.0059234+0.00039319i,0.0016341-0.0017511i,0.0028702+0.00090054i,0.0048448+0.0027306i,0.0061383+0.0068762i,0.0099609+0.0020973i,0.0016211-0.00020026i,-0.0016808-0.0021681i,-0.0014826+0.0004854i,-0.0013634+0.00093484i,-0.00205-0.0017105i,-0.0015386-0.0011266i,-0.0032253+0.0091852i,-0.00084322+0.00033545i,-0.00036205+0.00071785i,-0.00073622+0.0013383i,-0.00085614+6.3283e-05i,-1.5328e-05+0.00073021i,-0.00062391-0.0005194i,0.0015818+0.00010544i,-0.00023175-0.00033258i,-0.00054784+0.00017389i,-0.00018053-2.7575e-05i,0.0016081-0.00026906i,-0.011774-0.0036497i,0.00031597+0.0007112i,-0.00013484-7.814e-06i,-0.0010098-0.00030297i,0.0019578-0.0024824i,-0.0010808-0.00021878i,-0.00024678+0.00045613i,0.00013004+0.0017043i,0.0042927+0.00019035i,-0.00085942+0.0046583i,-0.046904-0.018985i,-0.011214+0.033043i,-0.041903+0.033728i,-0.055138+0.055182i,-0.038199+0.021602i,-0.016908+0.033773i,-0.018337+0.026603i,-0.052302-0.0081048i,-0.034688-0.021155i,-0.0072079+0.033606i,-0.0017917+0.0067963i,0.0051939-0.0039962i,-0.003109-0.01101i,-0.003264+0.0044569i,-0.0036222+0.020433i,0.00023973-0.0019821i,0.0048496-0.00091435i,0.0013829+5.3773e-05i,0.0069739-0.0087164i,0.0078253+0.0035845i,0.0025664+0.0017062i,-0.0083534-0.0011228i,0.0064347+0.0059668i,0.0033467+0.0060906i,0.008648+0.0090043i,-0.00027489+0.0015338i,0.0036166-0.0052979i,0.0049954-0.008136i,0.00057581-0.0002305i,-0.028666-0.0017298i,0.00083616-0.0080962i,-0.00041892-0.00048743i,0.00505-0.0010508i,0.002081+0.00012619i,0.00097103-0.011548i,0.00063438-0.0018423i,0.0034563+0.0039395i,0.0035686-0.00028417i,0.0044361-0.003495i,-0.0079799-0.0036753i,-0.0064142-8.329e-05i,-0.0060891-0.0037132i,0.00076488+0.00071044i,-0.0058778-0.0046174i,-0.037604+0.011114i,-0.022214+0.01132i,-0.0090514-0.010092i,-0.010714-0.0086323i,0.0018694+0.022409i,-0.0056227+0.012958i,-0.0065924+0.0032097i
0.0041125+0.0076065i,0.029153+0.028248i,0.018767+0.0043689i,0.013473+0.0060632i,0.0083201-0.0011434i,0.017178-0.0014502i,0.0090603+0.021212i,0.011395+0.026499i,0.0028458-0.001193i,0.0009656+0.00067037i,0.0029552-2.6214e-05i,0.0053514-0.0023486i,0.0011019-0.0015661i,0.002653+0.00043272i,0.0054299+0.0015135i,0.0073019+0.0040232i,0.0093814-0.0012388i,0.0010702-0.0010011i,-0.0024409-0.0015583i,-0.00077823+0.00096164i,-0.00044522+0.00085244i,-0.0020873-0.0011731i,-0.0017524-0.00070448i,6.7113e-05+0.009053i,-0.00056421+0.00054034i,-6.1833e-05+0.00073256i,-0.00012677+0.0015878i,-0.00092436+0.00066703i,0.00026794+0.00041347i,-0.00069672-0.00041384i,0.0013373-0.00049669i,-0.00054763-0.00039744i,-0.00052302+0.00041326i,-0.00032319+5.862e-05i,0.0010627-0.00079018i,-0.012271+0.0006128i,0.00034756+0.00063544i,-7.1563e-05+7.3371e-05i,-0.0012553+0.00026632i,0.0012888-0.0026251i,-0.0010546-0.0001284i,-4.4171e-05+0.00023782i,6.5775e-05+0.0015902i,0.004296-0.00044805i,-0.0004762+0.0037695i,-0.051822-0.012029i,-0.0072759+0.031267i,-0.031029+0.039327i,-0.040576+0.061625i,-0.035771+0.029595i,-0.010485+0.030311i,-0.012019+0.025126i,-0.051223-0.0018064i,-0.03354-0.015075i,4.0342e-05+0.033511i,-0.0010937+0.0058884i,0.00052256-0.0044929i,-0.0081581-0.0098379i,0.00058212+0.005366i,0.0014152+0.018489i,-0.0024297-0.0013183i,0.0030541-0.003891i,0.0024682+0.0019548i,0.0022631-0.010621i,0.0090359-0.0010249i,0.0037272+0.0010836i,-0.008476+0.0031914i,0.009831+0.0048536i,0.0072785+0.0045482i,0.012384+0.0036151i,0.00063476+0.0020149i,0.0021394-0.0062718i,-0.0010534-0.008686i,0.0016181+0.0010243i,-0.028534+0.0091324i,-0.0011874-0.0079526i,0.00039896+0.0006813i,0.005684-0.0046588i,0.0027191-0.00019348i,-0.004056-0.013177i,-0.00047831-0.00098075i,0.0045146+0.0022095i,0.0033101-0.00078964i,0.0037211-0.0049317i,-0.0081752+0.0006318i,-0.0058258+0.0032763i,-0.007683-0.00054577i,-0.0008102-0.00046838i,-0.0060718-0.002278i,-0.034261+0.013356i,-0.020842+0.016324i,-0.011365-0.013901i,-0.010134-0.006577i,0.0040431+0.021871i,-0.0059558+0.015469i,-0.0048269+0.0014902i
0.0050318+0.0062349i,0.033745+0.021915i,0.019999+0.00021649i,0.013271+0.0037973i,0.0079402-0.0014473i,0.016568-0.0043456i,0.011347+0.017479i,0.015472+0.023795i,0.0018048-0.0019853i,0.00082945+0.00064386i,0.0027505-0.00078197i,0.003284-0.0037965i,0.00067168-0.0014124i,0.0023373+9.0542e-05i,0.0054705+0.0001053i,0.0068064+0.0017492i,0.007836-0.0035978i,0.00056723-0.0011558i,-0.0025981-0.00062929i,-9.1705e-05+0.00095813i,0.00029694+0.00039729i,-0.0020047-0.00083121i,-0.0016829-0.00025493i,0.0028655+0.0084496i,-0.00027814+0.00052567i,0.00012331+0.00072565i,0.0004768+0.0012655i,-0.00050457+0.0011269i,0.00019468-2.8471e-05i,-0.0009378-0.00031902i,0.00091893-0.00086332i,-0.00084922-4.7339e-05i,-0.00029833+0.00070189i,-0.00029536+0.00027168i,0.00040293-0.0010604i,-0.011067+0.0040815i,0.0003972+0.00042307i,-0.00013226-4.5907e-05i,-0.001054+0.00097017i,0.00060659-0.0028896i,-0.00095451+0.00020524i,-8.063e-05-0.00016407i,0.00029534+0.0017152i,0.0044011-0.0012861i,-0.00014518+0.0032957i,-0.053575-0.00070376i,-0.0049331+0.02964i,-0.021552+0.040436i,-0.0244+0.065831i,-0.029029+0.038487i,-0.006717+0.025159i,-0.0079375+0.019845i,-0.047463+0.0032858i,-0.030445-0.0094158i,0.0087151+0.030905i,-0.00079097+0.0058933i,-0.0049387-0.0027062i,-0.011846-0.0062741i,0.0033267+0.0032848i,0.0054407+0.016197i,-0.0052966+0.00087639i,-0.00043171-0.0062359i,0.0048552+0.0006423i,-0.0027391-0.0095513i,0.0067641-0.0045828i,0.0047865-0.00063457i,-0.0069818+0.0069851i,0.01235+0.0001752i,0.0088776-0.00022065i,0.012097-0.0041859i,0.0020729+0.0016516i,1.6e-06-0.0063805i,-0.0044268-0.0051252i,0.0031587-0.0002252i,-0.023123+0.021487i,-0.0032638-0.0065861i,0.0018407+0.00093394i,0.0022972-0.0067305i,0.0029613-0.0007467i,-0.0098406-0.010713i,-9.2004e-05+0.00066816i,0.0048957+8.2255e-05i,0.002538-0.0015064i,0.0024615-0.0054306i,-0.0064043+0.0042475i,-0.0034703+0.0052635i,-0.0073777+0.0036889i,-0.003115+2.3185e-06i,-0.0057163-0.00081853i,-0.030274+0.017619i,-0.012224+0.019944i,-0.017436-0.014721i,-0.0089666-0.0070131i,0.0054713+0.020952i,-0.0031524+0.018913i,-0.0049381-0.0019214i
