-0.025798-0.00501i,-0.021056-0.0084888i,-0.013737-0.014594i,-0.03613-0.0093455i,-0.026982+0.0014913i,-0.036605-0.0029764i,-0.0687-0.035854i,-0.034056-0.014939i,-0.023999+0.002907i,0.0070283+0.0060178i,-0.0053014+0.0072903i,-0.0079673+0.018424i,0.0058533+0.0074093i,-0.00094669+0.0038429i,0.0041053+0.0043008i,0.0047485+0.025909i,0.021128+0.018368i,0.0011207-0.00079681i,0.00052062-0.0053013i,0.008679+0.00047175i,0.0052811-0.0010577i,0.0026127+0.0020793i,0.0011017-0.00024805i,-0.023723-9.9493e-05i,-0.0054523-0.0041166i,-0.00095188+0.0030817i,0.0035628-0.0036108i,-0.0020221-2.495e-05i,-0.00075613+0.0010882i,-0.0026188-0.001626i,-0.0041311-0.00041051i,-0.0069239-0.0088674i,-0.0065478-0.0049545i,-0.00071101-8.2402e-05i,-0.00060681-0.0024959i,-0.0014224+0.020039i,0.0025927-0.0042452i,0.0010951-0.0044533i,0.0028101-0.0021999i,-0.0026682-0.0032512i,0.00098279-5.4709e-05i,0.0081514-0.0010079i,0.003939-0.0031692i,0.0002217+0.0022627i,-0.013839+0.015791i,-0.026064+0.052598i,-0.0069002-0.036615i,-0.015881-0.018826i,-0.040403-0.015976i,-0.02791-0.011937i,0.033682-0.012203i,0.0053848-0.029576i,0.012714-0.038295i,-0.0095048-0.029461i,0.025482-0.023483i,0.013519+0.0070551i,0.027426-0.03755i,-0.0014742-0.0041678i,0.0058357-0.0090582i,-0.00062658-0.0056732i,-0.00018541-0.035369i,-0.012649+0.028596i,0.0088781-0.011724i,-0.0081078-0.0047981i,-0.0027753-0.002154i,-0.0005149-0.015571i,-0.0078995+0.0061281i,0.0038197+0.0065406i,-0.00068679+0.028508i,0.0024373+0.00032138i,-0.0070457-0.0043443i,-0.0039881-0.0063427i,-0.014162-0.010279i,-0.0028027-0.0059892i,-0.048054+0.0097644i,-0.0051281-0.0085581i,-0.013128-0.00081237i,-0.0090523-0.0045524i,0.0017266-0.0017477i,-0.014233+0.0025487i,-0.0013097-0.00049561i,0.0052127+0.0057852i,0.0031367-0.0051964i,-0.011542-0.0098333i,0.0077307+0.0081426i,-0.017812+0.0049697i,0.00509-0.00039694i,-0.019119-0.0024164i,-0.01615-0.0034693i,-0.016987-0.035395i,0.02044-0.01079i,-0.040007-0.023888i,-0.0094512+0.0037749i,0.018114+0.015776i,-0.020819+0.017558i,-0.0046316-0.0030145i
0.0034277+0.014797i,-0.0033986+0.016924i,-0.0011415+0.027364i,0.0011995+0.026018i,-3.0114e-05+0.029686i,0.010993+0.02337i,-0.010378+0.02654i,-0.0044219+0.021955i,0.012399+0.006027i,0.0013256-0.0036022i,0.0026488+0.00032634i,0.0066886-0.002743i,0.00074932-0.0015744i,0.00032253-0.0033455i,-1.7937e-05-0.0018694i,0.0066473-0.0071501i,-0.0025669-0.004832i,-0.0018819+0.00090729i,0.00072014-1.7708e-05i,-6.6036e-05+0.0017478i,-6.1525e-05+0.0021886i,-0.0002366-0.00014247i,0.0012925+0.00031108i,-0.00795-0.0035933i,-0.00051973-0.00062551i,-0.0024167+0.00054891i,-0.0041642+2.9129e-05i,-0.0017049+0.00038706i,-0.001802+0.00089037i,-9.2912e-05-0.00047184i,-0.002829+0.0010632i,0.0015457-0.0017936i,0.00055792-0.0036402i,0.00031811-0.0012619i,-0.0011269+0.0007202i,-0.00070849-0.0035088i,-0.0018649+0.001788i,0.0020558+0.0001203i,0.00069715+0.0036348i,0.0030512+0.0048095i,-0.00042273+0.0011251i,-0.0013069+0.00072574i,-0.0016216-0.0012403i,0.0033757+0.0046576i,0.014262+0.0070676i,0.04267-0.051019i,-0.02707+0.0069592i,0.017039-0.026706i,-0.023947-0.033133i,-0.011487+0.0030681i,-0.031781+0.034205i,-0.019009+0.0054831i,-0.017028+0.008663i,-0.0026188-0.017039i,-0.040197-0.020182i,-0.0086549+0.001801i,-0.027877+0.01288i,0.0029389+0.014038i,0.00049624+0.0049545i,-0.0050884-0.0039709i,-0.00031521+0.0016938i,-0.015818-0.0033234i,0.0055758+0.012667i,-0.0010774+0.0081464i,-0.0018096+0.0040515i,0.00066007+0.0057941i,0.0021317+0.0028842i,-0.00096664+0.019101i,0.0045329+0.016199i,0.004748-0.0049323i,0.011679-0.0047376i,0.0087987+0.0026851i,-0.003986-0.0082956i,-0.00016829-0.0018662i,0.019628-0.031509i,0.0095183+0.0039054i,0.008155-0.0014326i,0.0028342-0.00098551i,0.0058938-0.0087759i,0.021733+9.4273e-05i,0.00598-0.0030891i,0.0016105-0.006771i,0.0047749-0.0034417i,0.017607+0.0023502i,0.0061524+0.0037275i,0.0030129-0.0033204i,0.0089594+0.0093423i,-0.0016283+0.0044074i,0.0083484+0.0085919i,-0.013365-0.013139i,-0.0083671+0.001705i,-0.0089236-0.014153i,-0.0078188-0.0044383i,-0.040036+0.0071978i,-0.0059905+0.0040188i,-0.01193-0.00056646i
0.005995+0.013872i,-0.0011451+0.014408i,0.0052559+0.022574i,0.0050947+0.02366i,0.0041385+0.027732i,0.01453+0.020965i,-0.0068239+0.027679i,1.2081e-05+0.021566i,0.012319+0.0018943i,0.00057874-0.0037956i,0.0029748+0.00055915i,0.0051168-0.005326i,0.00019932-0.0024401i,0.00041452-0.0029605i,-0.00068509-0.0016524i,0.0029128-0.0068316i,-0.0051939-0.0028208i,-0.00043418+0.0027533i,0.0018129-9.8107e-05i,0.0011797+0.001371i,-0.0029236+0.002464i,0.00023892+0.00047958i,0.0016038-0.00030692i,-0.0073679-0.00091352i,-0.00036805-0.0002376i,-0.0019973+0.0015601i,-0.0032753+0.00206i,-0.0011191+0.00080628i,-0.00035316+0.00092901i,9.6911e-05-0.0002381i,-0.0019112+0.0025858i,0.00025898-0.0015801i,-0.0012151-0.0034407i,-0.0010782-0.0013732i,-0.001716+0.00095989i,0.0004656-0.0026738i,-0.00053455+0.0022945i,0.001443-0.00073746i,0.0022957+0.0046306i,0.0042026+0.0027311i,3.0161e-05+0.0013615i,-0.0012585+0.00099641i,-0.0021314-0.00073417i,0.0047505+0.0035597i,0.014966+0.0028485i,0.023257-0.06073i,-0.021056+0.014557i,0.0068892-0.033961i,-0.034231-0.024392i,-0.0090406+0.0062551i,-0.020425+0.039433i,-0.014875+0.01106i,-0.0058081+0.0035461i,-0.0047239-0.015667i,-0.04526-0.0056792i,-0.0083806+0.0027165i,-0.022402+0.023627i,0.005294+0.0092618i,0.0014127+0.0034572i,-0.008624-0.0057493i,-0.0026249+0.0047453i,-0.014381+0.0050296i,0.010902+0.0090227i,0.0014416+0.0101i,-0.0002492+0.004139i,0.0030379+0.0066208i,0.0035384+0.0028668i,0.0069232+0.01529i,0.0095402+0.0091812i,-0.0016907-0.0074562i,0.0059033-0.0063502i,0.0080214+0.0010898i,-0.003406-0.0017924i,-0.00047104+0.00058848i,0.0051876-0.033786i,0.010939+0.0011571i,0.0082522-0.0043805i,0.004513-0.0026045i,0.00080567-0.0060608i,0.020263-0.0094285i,0.0031191-0.0044093i,-0.0012085-0.0059833i,0.00072532-0.0028796i,0.015064-0.0035761i,0.0077566+0.0023839i,0.0021825-0.0018821i,0.011482+0.0057874i,-0.00040888+0.0052309i,0.0094175+0.0047947i,-0.018542-0.011186i,-0.0041231-0.013052i,-0.0075797-0.011689i,-0.0074975-0.0029837i,-0.031772+0.020536i,-0.0039806+0.005164i,-0.0093866+0.0026135i
0.0091352+0.012257i,0.00029026+0.013053i,0.0079115+0.016662i,0.0081788+0.021195i,0.0089868+0.025961i,0.017694+0.017861i,-0.002183+0.028343i,0.0042038+0.020128i,0.01075-0.0011269i,-0.00060044-0.0037067i,0.0039938+0.00018636i,0.0012221-0.0060935i,-0.00065417-0.0026376i,-0.0002461-0.0030608i,-0.001109-0.0012749i,-0.00055918-0.0049352i,-0.0060177+0.00025106i,0.0010032+0.0027121i,0.0022727-0.0014546i,0.0020996+8.5772e-05i,-0.0010408+0.0024477i,0.0011379+0.00020885i,0.0015228-0.00099516i,-0.00697+0.00037986i,-0.00018856-1.002e-05i,-0.00061075+0.0026391i,-0.001718+0.0025784i,-0.0004102+0.0010257i,-0.000449+0.0010041i,1.4443e-05-0.00043672i,-0.0003641+0.0033316i,-0.00035527-0.0011223i,-0.002444-0.0020412i,-0.0018867-0.00062407i,-0.0013389+0.0020001i,0.0016586-0.0033635i,0.00027152+0.0019992i,0.00065549-0.0012069i,0.0086865+0.0048389i,0.0042768+0.0011609i,0.0005951+0.00136i,-0.00039472+0.00171i,-0.0025291-0.00024941i,0.0052897+0.0011852i,0.014442-0.00078472i,0.0024565-0.060458i,-0.010528+0.018105i,-0.0047846-0.035591i,-0.037567-0.016411i,-0.003617+0.0074777i,-0.0062377+0.039526i,-0.005117+0.011897i,-0.0049242-0.0037734i,-0.0063675-0.014455i,-0.042843+0.0087867i,-0.0073606+0.0045835i,-0.010805+0.030784i,0.0058947+0.0074759i,-0.00039721+0.00099298i,-0.015978-0.0020267i,-0.0016844+0.0062184i,-0.0098116+0.0090875i,0.012138+0.0023677i,0.0050925+0.0099352i,-0.00098714+0.0046945i,0.0043498+0.0046767i,0.0050949+0.0007782i,0.0095343+0.0087413i,0.0087888+0.0035661i,-0.0067177-0.0023646i,0.0038866-0.0054717i,0.0087905-0.00045475i,-0.0013751+0.0065116i,0.0022571+0.0020648i,-0.0063153-0.035635i,0.011691-0.0038868i,0.005946-0.0072238i,0.0027876-0.0044622i,0.00052565-0.0041382i,0.013056-0.016053i,0.00035322-0.0013859i,-0.0015855+0.0020648i,-0.00032004+0.00037562i,0.011009-0.0067248i,0.0104-0.0015894i,0.0029641-0.002989i,0.014479+0.00065378i,0.0031029+0.0044247i,0.0091023+0.0011767i,-0.021996-0.0040616i,-0.015273-0.02074i,-0.0065516-0.014177i,-0.0057173-0.0036993i,-0.023211+0.026026i,-0.004022+0.00030267i,-0.0077155-0.0010272i
0.012167+0.0091385i,0.0026859+0.012408i,0.0082819+0.011597i,0.011025+0.019024i,0.013287+0.022297i,0.020407+0.013973i,0.0032644+0.028121i,0.0078+0.017406i,0.009244-0.002576i,-0.0017187-0.0030233i,0.0044482-0.0017148i,-0.0013329-0.004282i,-0.0016046-0.002532i,-0.0014144-0.0025039i,-0.0016515-0.00078305i,-0.001704-0.0017793i,-0.0046531+0.0030295i,0.0018797+0.0020425i,0.0014285-0.0020003i,0.0018497-0.0014835i,0.0001906+0.0020903i,0.001604-0.00055589i,0.0011677-0.0017538i,-0.0066567+0.0021089i,0.00017073-0.00011867i,0.0012443+0.0016906i,-0.00062383+0.0025595i,0.00019691+0.00070285i,0.00052707+0.00056272i,-5.1803e-05-0.00021754i,0.00053632+0.0029652i,-0.0010575-0.00081935i,-0.0032636-0.00065721i,-0.0019951+0.00051479i,-0.00045115+0.002411i,0.0016627-0.0052702i,0.0015005+0.0018776i,-0.0001297-0.0010177i,-0.0023387-0.00062062i,0.0039365-8.5579e-05i,0.0012874+0.00086352i,0.00062196+0.0013708i,-0.0027325+0.00057517i,0.003416-0.0016006i,0.013395-0.0037203i,-0.014332-0.049359i,-0.0012655+0.015269i,-0.0147-0.032151i,-0.040296-0.0070303i,0.0012943+0.0053014i,0.0061858+0.033488i,0.0028339+0.0054357i,-0.0055252-0.0047257i,-0.0066654-0.01199i,-0.036275+0.019373i,-0.0061201+0.0059936i,0.0015699+0.03051i,0.0070355+0.003364i,-0.0036722+0.0021226i,-0.018426+0.0069184i,-0.0010821+0.008511i,-0.0051678+0.0096286i,0.0090891-0.003i,0.0083096+0.0082618i,0.00028499+0.0068171i,0.0044882+0.00463i,0.0051904-0.0025019i,0.0080646+0.0031512i,0.0055565+0.00076979i,-0.0046162+0.001915i,0.0022162-0.0054639i,0.008237-0.0029573i,0.0061401+0.0064786i,0.0038974+0.00035028i,-0.013547-0.01996i,0.0086703-0.007385i,0.0025735-0.0087021i,0.0017051-0.0035246i,-0.00010572-0.0044988i,0.0053198-0.017673i,0.0030381-0.00023629i,-0.0040598+0.0007406i,0.0025403+0.0020121i,0.0081507-0.0066443i,0.0092093-0.0066218i,0.001135-0.0035243i,0.01166-0.0073466i,0.0036237+0.0013041i,0.008279-0.0027513i,-0.018065+0.0037518i,-0.026709-0.017618i,-0.010962-0.01895i,-0.0062345-0.0059221i,-0.013759+0.026847i,-0.0088976+0.00025131i,-0.011153+6.2687e-06i
0.013691+0.0057561i,0.0037928+0.0099635i,0.0068443+0.0081144i,0.013752+0.016277i,0.016266+0.018086i,0.021948+0.0096478i,0.0087038+0.026017i,0.010173+0.014236i,0.0082039-0.0035601i,-0.0019632-0.0021488i,0.0030256-0.0031901i,-0.0021345-0.0024968i,-0.0024582-0.0020553i,-0.0016504-0.0015903i,-0.0021452+0.00019975i,-0.0011662+0.00048011i,-0.0026416+0.0048583i,0.0024125+0.0010418i,0.001072-0.0018848i,0.00066063-0.0024028i,0.00068713+0.0015649i,0.0013827-0.0012155i,0.00028858-0.0021913i,-0.0048619+0.0032099i,0.00018066-0.00061107i,0.0014719-0.00010175i,0.00066212+0.0020089i,0.00041868+0.00032103i,0.00017973+0.0011768i,0.00039063-0.00017945i,0.0012871+0.0025055i,-0.0013083-0.00044092i,-0.0031416+0.0011873i,-0.0016834+0.0014691i,0.00023263+0.0024i,0.00020056-0.0069353i,0.0022719+0.00061113i,-0.00037277-0.00046651i,0.0012164-0.00085251i,0.0033959-0.00069424i,0.0014122+8.8132e-05i,0.00098034+0.0006826i,-0.0019331+0.0019435i,0.0010934-0.0006521i,0.011984-0.0057584i,-0.018751-0.035314i,0.0036607+0.0096866i,-0.022854-0.026022i,-0.039439+0.0049102i,0.0038136+0.00051996i,0.01512+0.027156i,0.0055341-0.0017452i,-0.0047778-0.0064837i,-0.0056289-0.011941i,-0.027626+0.02727i,-0.0044141+0.0067811i,0.013471+0.024569i,0.0066293+0.00058601i,-0.0047029+0.0058051i,-0.015668+0.014379i,0.00188+0.0097409i,-0.00090538+0.01176i,0.0041572-0.0033837i,0.010723+0.0054628i,0.0030353+0.0076607i,0.0056236+0.0046383i,0.0040097-0.00491i,0.0050379+0.0024899i,0.0032296+0.001784i,-0.0032836+0.0033671i,0.00087565-0.0045508i,0.0069449-0.0052989i,0.0094729+0.0015829i,0.003925-0.0018579i,-0.015778-0.017744i,0.0052235-0.0094356i,-0.0010282-0.0087765i,0.0028299-0.0034578i,-0.0014077-0.0036078i,-0.00056651-0.015891i,0.0039398-0.0023169i,-0.0017337+0.0025199i,0.0053082+0.00047858i,0.0064775-0.0075027i,0.0046886-0.010772i,0.00087748-0.0033408i,0.0047021-0.010612i,0.0019807+4.0856e-05i,0.0040488-0.0063442i,-0.011615+0.0050766i,-0.036445-0.0072507i,-0.017422-0.018251i,-0.0081722-0.0073692i,-0.0073896+0.025668i,-0.012265+0.0037663i,-0.01052+0.0036707i
0.014426+0.0022112i,0.0041152+0.0088395i,0.005334+0.0067836i,0.015859+0.013103i,0.017794+0.01373i,0.022924+0.0055104i,0.013841+0.022308i,0.011643+0.01109i,0.0076373-0.0047128i,-0.002204-0.0018102i,0.0010423-0.0035788i,-0.0024351-0.00088664i,-0.0034003-0.0012265i,-0.0016334-0.0012765i,-0.0025097+0.00064385i,1.1963e-05+0.0016518i,0.00022973+0.0055654i,0.0023503+4.4337e-05i,0.00046693-0.0022485i,-0.00063138-0.0023723i,0.0014285+0.0012213i,0.0010569-0.00173i,-0.00054786-0.0020155i,-0.0039972+0.0028837i,-0.00012482-0.00056606i,0.00060882-0.0013008i,0.0010407+0.00039347i,0.00063883-0.00017132i,0.00094568+0.00051795i,0.00047434-0.00077095i,0.0021741+0.0018122i,-0.0014233-6.7226e-05i,-0.0020689+0.0025414i,-0.00084351+0.0019738i,0.00083105+0.002249i,-0.0024786-0.0072773i,0.0013645-0.0012254i,-0.00022079-0.00029298i,0.00090874-0.0014476i,0.0029719-0.0010357i,0.0012413-0.00018412i,0.00093834+0.0003449i,-0.0010898+0.00056412i,0.00081248+0.0010326i,0.010729-0.0071305i,-0.017214-0.028626i,0.005566+0.0054264i,-0.027159-0.016135i,-0.034675+0.017562i,0.00095963-0.0040176i,0.017809+0.019574i,0.0061166-0.0081306i,-0.004689-0.0071513i,-0.0068156-0.01169i,-0.019249+0.03108i,-0.0035951+0.0075699i,0.018405+0.01177i,0.0057343-0.0019384i,-0.002928+0.0091824i,-0.0088942+0.020021i,0.005027+0.0084201i,0.0043635+0.0089317i,0.0022435-0.0015491i,0.01238+0.00068169i,0.0058258+0.0073707i,0.0066913+0.0036356i,-0.00041157-0.007567i,0.0046959+0.0041565i,0.0041877+0.0033443i,-0.00041399+0.0061504i,0.00082567-0.0040536i,0.0052488-0.0064144i,0.009673-0.0035207i,0.0030923-0.0038859i,-0.021619-0.01486i,0.0014254-0.01009i,-0.0048032-0.0069266i,0.00082457-0.0045935i,-0.0017055-0.0021699i,-0.0031558-0.012758i,0.0027177-0.0044307i,0.00050699+0.0020465i,0.0055816-0.0038908i,0.003417-0.0083673i,-0.0023965-0.011219i,0.00026172-0.0044706i,-7.2683e-05-0.0082672i,0.0017781-0.00077112i,-0.00077404-0.0052832i,-0.0084887+0.0046937i,-0.034025+0.0093464i,-0.022886-0.014863i,-0.010797-0.0071898i,-0.0041768+0.024875i,-0.010958+0.0092135i,-0.006471+0.0045239i
0.014226-0.0014945i,0.0049846+0.0082878i,0.0045736+0.0065138i,0.017332+0.0094579i,0.018444+0.010104i,0.023354+0.00093342i,0.017877+0.017408i,0.01235+0.0082408i,0.0070244-0.005839i,-0.0026283-0.0010926i,-0.00045669-0.0027476i,-0.0015065+0.00060047i,-0.0039285+9.2832e-05i,-0.0021191-0.0013171i,-0.0023649+0.0013512i,0.0010576+0.00203i,0.0029519+0.0048346i,0.0019827-0.00049759i,7.5082e-07-0.0023571i,-0.0013802-0.0016121i,0.0019954+0.0004988i,0.0004341-0.0022124i,-0.0010968-0.0015074i,-0.0038822+0.0036138i,-0.00032415-0.00062715i,-0.00054085-0.0014543i,0.00075772-0.00041672i,0.00040087-0.0009126i,0.0010698-0.00037895i,-5.0615e-05-0.0013478i,0.0027477+0.0008511i,-0.0011875+0.00077928i,-0.00021896+0.0027492i,-2.2507e-06+0.0020333i,0.0014968+0.0015329i,-0.0053332-0.0068648i,0.00079437-0.00079617i,-0.00034337-0.00048909i,0.00064413-0.0015949i,0.0025691-0.001456i,0.0012201-0.00063783i,0.0012357+5.6287e-05i,-0.0011371+0.00060307i,0.0014762+0.0014465i,0.010017-0.0089756i,-0.017933-0.02625i,0.0068667+0.0023851i,-0.025261-0.007295i,-0.024992+0.02661i,-0.0013188-0.0040985i,0.019949+0.01338i,0.0034651-0.013888i,-0.004607-0.0082622i,-0.0070079-0.0091675i,-0.011074+0.033455i,-0.00096705+0.0076531i,0.012812+0.00062552i,0.0034446-0.0044706i,0.00037069+0.010421i,-0.0017008+0.020731i,0.0063485+0.0059908i,0.0052889+0.0047468i,0.002805-0.00060259i,0.011642-0.0033353i,0.0099092+0.0050032i,0.0078254+0.0028858i,-0.0045631-0.0036693i,0.0065956+0.0042173i,0.0056529+0.0032826i,0.0032592+0.0052231i,-0.00014691-0.0044126i,0.0034233-0.0076546i,0.0072624-0.0096318i,-0.00018553-0.004547i,-0.026233-0.0081362i,-0.0018009-0.0095037i,-0.0062188-0.0030112i,0.00068979-0.0027472i,-0.0017776-0.0017702i,-0.0050928-0.012535i,0.00043791-0.0054222i,0.001326+0.00043662i,0.0025678-0.0056573i,0.0014159-0.008362i,-0.0065045-0.0069347i,-0.0020323-0.0048959i,-0.0031409-0.0061753i,0.00029715-0.0015729i,-0.0023149-0.0027228i,-0.0054178+0.0047058i,-0.025824+0.011433i,-0.02342-0.010295i,-0.013025-0.0056281i,0.00036238+0.023326i,-0.0086654+0.011198i,-0.0048769+0.0031052i
0.012968-0.0048146i,0.0063741+0.007976i,0.0048003+0.0068506i,0.01793+0.0058582i,0.018592+0.0069338i,0.022624-0.0035845i,0.020552+0.011892i,0.012844+0.0057727i,0.0062564-0.0072571i,-0.0025593-0.00045813i,-0.00092584-0.0012737i,-0.00035454+0.00061802i,-0.003865+0.0016356i,-0.003006-0.00053047i,-0.0019003+0.0022159i,0.0021167+0.0015302i,0.0048198+0.0028636i,0.0018091-0.00084392i,-0.00059187-0.0022993i,-0.0014539-0.00061168i,0.0021809-0.00035524i,-0.00030786-0.0020279i,-0.0013299-0.00096592i,-0.0024823+0.0045453i,-0.00071139-0.00062464i,-0.0010413-0.00099811i,0.00016873-0.0011313i,-0.00033623-0.0013131i,0.00056721-0.0011948i,-0.00080666-0.0014135i,0.0030247-0.00095118i,-0.00048519+0.00056995i,0.00055687+0.0019506i,0.00060448+0.0018022i,0.0016106+0.00078998i,-0.0080473-0.00449i,0.00038674-0.0012283i,-0.00070302-0.00033289i,-0.00025198-0.0022863i,0.0022069-0.0016526i,0.00097229-0.0010301i,0.0013525-0.00038191i,-0.0012814+0.00055265i,0.0020189+0.0014258i,0.0084447-0.011235i,-0.022132-0.024313i,0.0064115-0.001445i,-0.022933-0.00096597i,-0.012913+0.029099i,-0.00366-0.004035i,0.021542+0.0063921i,0.00020273-0.016213i,-0.0053713-0.0090033i,-0.0052926-0.0066024i,-0.0025245+0.034016i,0.0015706+0.0063598i,0.007363-0.00064155i,0.0004806-0.0051994i,0.0048578+0.011004i,0.0046946+0.018433i,0.006745+0.0034656i,0.0051032+0.00076259i,0.0022037-0.00059085i,0.009102-0.0077197i,0.012143+0.00067222i,0.0089379+0.0010355i,-0.004722-0.00056318i,0.0083072+0.0032056i,0.0074033+0.0026606i,0.0060258+0.0026289i,-0.0012801-0.0041401i,0.001791-0.0086782i,0.0010847-0.012672i,-0.001616-0.0024365i,-0.02903+0.00095401i,-0.004097-0.0084686i,-0.0053775-0.0002715i,0.0010048-0.0024645i,-0.0021928-0.0011852i,-0.0087447-0.011913i,-0.0028124-0.0048632i,0.0016898-0.00032842i,0.00011074-0.0057327i,-5.2916e-05-0.008165i,-0.0081105-0.0037203i,-0.0045679-0.0029628i,-0.004145-0.0042692i,-0.00025128-0.0016211i,-0.0022004-0.0011147i,-0.0023983+0.0037748i,-0.02364+0.012498i,-0.022351-0.0075633i,-0.014682-0.0026564i,0.0025397+0.021749i,-0.0075882+0.011743i,-0.0039927+0.0022433i
0.011224-0.0072005i,0.0086502+0.0066956i,0.0063086+0.0067849i,0.017827+0.0024416i,0.018939+0.0042023i,0.020979-0.007659i,0.021512+0.0053758i,0.013053+0.0033294i,0.0048349-0.0084887i,-0.0026938-1.3018e-05i,0.00060227-0.0015737i,-0.00020599-8.6948e-05i,-0.0032078+0.0030923i,-0.0029273+0.00063155i,-0.00093436+0.0027621i,0.0023238+0.00052461i,0.0050813+0.00040676i,0.0014716-0.0013955i,-0.0012842-0.0018695i,-0.0010322-2.6885e-05i,0.0021357-0.0013384i,-0.00054862-0.0016879i,-0.0012453-0.00047272i,-0.00075683+0.0046127i,-0.0011789-0.0004475i,-0.0016424-0.00057074i,-0.00095204-0.001419i,-0.0011599-0.0011338i,-0.00031787-0.0016711i,-0.0015267-0.0011036i,0.001492-0.001436i,-0.00068705+0.00066828i,0.00072654+0.0015326i,0.001112+0.0014366i,0.0014977+0.00022822i,-0.0098348-0.00044623i,-0.00048807-0.0012575i,-0.00076568-6.4484e-05i,-0.0014036-0.0020471i,0.0018775-0.0017723i,0.00053841-0.0012672i,0.001281-0.00071736i,-0.0014377+0.00069911i,0.0025395+0.0011646i,0.0059591-0.012565i,-0.026819-0.018634i,0.0050691-0.0044588i,-0.016817+0.0042348i,-0.0018318+0.029634i,-0.0050247-0.0011241i,0.02139-0.0012196i,-0.00057882-0.018928i,-0.005401-0.0084817i,-0.0024449-0.0044059i,0.0062058+0.032593i,0.0022124+0.0036403i,0.0043089-0.0017801i,-0.0029543-0.004923i,0.010154+0.0080344i,0.007919+0.014715i,0.0050632+0.0018134i,0.0038162-0.0031075i,0.0029443+0.0015611i,0.0042648-0.010067i,0.011848-0.0054802i,0.0094575-0.0017297i,-0.0047007+0.0020532i,0.010513+0.0012643i,0.0095887+0.00015232i,0.0064273-0.0012817i,-0.0021696-0.003435i,-0.00096404-0.0090056i,-0.0089813-0.0087424i,-0.00097382-0.0007553i,-0.028458+0.01177i,-0.0060787-0.0074249i,-0.0043254+0.0019803i,0.00080439-0.0053286i,-0.002023+0.0003577i,-0.012679-0.0087799i,-0.0046708-0.0025777i,0.0011974-0.0017323i,-0.0018497-0.0046253i,-0.0025727-0.0080547i,-0.008164+0.0010001i,-0.0046351+0.00020568i,-0.0071272-0.0022262i,-0.0011605-0.0029314i,-0.001523-0.00066153i,-0.00013552+0.0029609i,-0.022606+0.018463i,-0.022407-0.0083652i,-0.011777+0.00070933i,0.006037+0.020834i,-0.006599+0.014076i,-0.0026012+8.7978e-05i
0.0094013-0.0091025i,0.010523+0.0045045i,0.0080105+0.0054129i,0.017068-0.00081603i,0.019067+0.0013307i,0.018831-0.010986i,0.020347-0.00044832i,0.012886+0.0010353i,0.0033602-0.0092837i,-0.0028126+0.00079427i,-0.00072051-0.0012057i,-0.00076023-0.00015355i,-0.0020554+0.0039176i,-0.002482+0.0015802i,9.2201e-08+0.0029222i,0.0016908-0.00010678i,0.0041935-0.0013538i,0.0010194-0.0016323i,-0.0014354-0.0015512i,-0.00044175+0.00014094i,0.0017751-0.0022353i,-0.00054074-0.001663i,-0.00092715-0.00022672i,0.00065458+0.0044395i,-0.0015316-8.6142e-05i,-0.0020864+0.00037565i,-0.0020298-0.0010433i,-0.0016195-0.0005306i,-0.0014324-0.0015638i,-0.0021764-0.00045807i,0.00096141-0.001332i,-0.00052525+0.0011995i,0.0010922+0.0011421i,0.0015834+0.00099385i,0.0011846-0.00014835i,-0.010049+0.0035274i,-0.0010686-0.0010267i,-0.0009089-3.2356e-05i,-0.0021999-0.0012806i,0.0015013-0.0019605i,0.00027818-0.0012692i,0.0012874-0.0011234i,-0.0015699+0.0010194i,0.0029176+0.00067763i,0.003755-0.012932i,-0.026061-0.010796i,0.0022791-0.0061678i,-0.010527+0.0044598i,0.0091238+0.026042i,-0.0037625+0.0026369i,0.018433-0.0076394i,-0.0039293-0.023989i,-0.0038631-0.0083941i,0.0014819-0.0042262i,0.015965+0.028088i,0.001675+0.001669i,0.00087581-0.001329i,-0.005083-0.0024425i,0.012188+0.0021622i,0.010166+0.012937i,0.0027609+0.0023499i,0.00063951-0.0062018i,0.0059501+0.00030731i,-0.00070734-0.0092839i,0.0077418-0.0095016i,0.0086053-0.0047235i,-0.0043202+0.0042751i,0.011246-0.003442i,0.0094245-0.0049999i,0.004789-0.0048496i,-0.002752-0.0026999i,-0.0037679-0.0081678i,-0.0032669-0.0041413i,0.00012381-0.0010613i,-0.021019+0.024041i,-0.0085192-0.0057934i,-0.0021477+0.0032344i,-0.0033908-0.0058337i,-0.00091404+0.00084651i,-0.015158-0.0040271i,-0.0045037+0.0003494i,-0.0002215-0.0023725i,-0.0037336-0.0031864i,-0.0048429-0.006162i,-0.0053214+0.0035837i,-0.0029738+0.0018953i,-0.0070526+0.0027705i,-0.0044423-0.0027228i,-0.0016049-0.00074477i,0.0039296+0.002244i,-0.012053+0.024073i,-0.026279-0.0072264i,-0.010239-0.0019998i,0.0083007+0.018196i,-0.0037781+0.016016i,-0.0034142-0.003112i
